ParlaMint-HR_2022-04-28-0.u102862	- Mrs. Crescent. Hope Dreven Budinski will be the position of the HDZ Representatives Club, please.
ParlaMint-HR_2022-04-28-0.u106093	Thank you and everyone who participated in the debate. I'm closing the debate. We'll vote when the conditions are met. Now we move to the second point today - Proposal for a Law on Amendments and Supplements to the Law on Criminal Procedure, First Reading, P.Z. No. 265. The proposal is proposed by the Government of the Republic of Croatia on the basis of Article 85. The Constitution and Article 172. Rules of Procedure of the Croatian Parliament. When discussing this item of the agenda, the provisions of the Rules of Procedure relating to first reading of the law shall apply. The debate was conducted by the Committee on Law and the Committee on Justice, so I call again on the minister of justice and the administration of the respected Ivan Malenica to further explain this bill. Here you go. Before the minister, we have a request for a break. My fellow coat of arms, here you go.
ParlaMint-HR_2022-04-28-0.u106096	Thank you, Mr. President, dear colleagues and colleagues, Mr. Minister. I'm taking the opportunity to ask for a break on behalf of the club, and that deliberately between the discussions on these two laws, because no matter how much at first sight, one is a civil procedure, but also a number of topics covered by these laws are complementary. And if you were listening to the debate, and here you are, and I know you're watching the clock to say so in a colloquial way, then you could hear that most of the objections were focused on very specific issues, which is what we're bringing a legal solution that represents a certain shift, but are the funds and the material conditions for that being secured? I'm going to spread it a little bit not only to the question of audio visual recording the debate, to the tone recording debate I'm going to extend it to another question. The National Recovery and Resistance Plan provides for certain means of publication of all judicial decisions. And you and I both know that there are technical conditions in courts already in place because decisions in unanonymised form are, for example, available to us through the system of e-Citizens. However, my question to you is concrete and clear when will we withdraw the means of publication, public publication in a machine-readable form of all decisions, all courts anonymously, and how does this process, prepare for this progress? And this is an extremely important question. I'll show it only on the case of Judge Tomic. A known case from Bratsch where people were being kidnapped. If those decisions had been made public and made publicly available, the case would not have occurred. Thank you.
ParlaMint-HR_2022-04-28-0.u106097	Thank you. The apartment is approved. Comrade Oreshkovic, here you go.
ParlaMint-HR_2022-04-28-0.u106098	I'm looking for a break on behalf of the Center and GLAS Club for 10 minutes for further consultations. I'm partly moved by the search for this pause and the words of Peja Grbina. During the debate on the first point, I deeply pointed out this problem of transparency of the work of the judiciary that depends on the public availability of all court decisions and the possibility of searching in key terms. It's an important principle of building our citizens' trust, but it's not crucial, so I'm asking a question here and what we're actually doing. At this point, most of our MPs are focusing on the discussions that take place on committees, thinking about who will be the future minister in this government. And we have these discussions precisely because the previous ministers have been removed because of corruption affairs that will be discussed in the context of the criminal proceedings. And as trust in the judiciary will not be corrected by the adoption of this law, nor will trust in politics be corrected by the appointment of new ministers as long as the basis of both parliamentary majority is composed of HDZ members. Therefore, I think that public attention should also be focused differently and that we should ultimately discuss whether the entire government should be replaced at this point. Thank you.
ParlaMint-HR_2022-04-28-0.u106099	The apartment is approved. Comrade Habib, here you go.
ParlaMint-HR_2022-04-28-0.u106100	Dear President of the Croatian Parliament, on behalf of the HDZ Representatives Club, I am also asking for a 10-minute recess to be highlighted before the debate on this legislative proposal itself, but also on the legislative proposal that we had the opportunity to discuss recently as well as one and the other of this procedural law, which, in the first reading today, we are discussing presented a significant step in the first reading. This can therefore be said both from personal experience and from many colleagues who here and lawyers who are part of the justice system itself either in litigation or in criminal proceedings. As far as material resources are concerned, I think it is very clear in the explanation that, therefore, when we talk about the Criminal Procedure Act, how exactly the National Recovery and Resistance Plan provides for how these funds will be obtained, I think it is also very clear in the explanation on the last page, so what funds will be said after years in the budget so provided when we talk about the state budget. Therefore, if we miss this opportunity now when we talk about the NPO, the question is when else will be, if we have the true will to do something step in the Croatian judiciary, especially in modernization, digitisation of the process itself, then I think it is now and everyone who thinks differently or says otherwise obviously has other intentions. Therefore, I would like to say this debate on behalf of the HDZ Club of Representatives in the direction of constructiveity, to highlight all that is good and besides those who are stakeholders in this process are the vast majority of all Croatian citizens, so I do not only think about lawyers or state attorneys but many of our fellow citizens who are participants in themselves are either litigious, or criminal proceedings, ultimately it is for the benefit of all of them. Thank you very much.
ParlaMint-HR_2022-04-28-0.u106101	And this break, this request has been granted. He will now explain his request for a break and his colleague, Grmoy. Here you go.
ParlaMint-HR_2022-04-28-0.u106102	Thank you. I am looking for a break on behalf of the MOST Club in order to consult not on this bill, so some small improvements should certainly be welcomed, but what we need is to change the entire system, move policy from the work of independent institutions and actually too long the duration of criminal proceedings. We have yesterday a situation in Osijek-Baranja County where there is talk of a faction conflict within HDZ where one director of the county agency, a councilman, has been arrested, and in fact we all know that rulings have a strong influence on independent institutions, which should not have influence, have influence on the police, too. Here we have Mayor Decanic of Vukovar-Srijem County where police have actually assisted in saving his political head and today we also have a presentation of 3 government officials where we cannot talk at all about the government's reconstruction but we can talk eventually about decriminalisation of the government even though complete decriminalisation could only happen by leaving this government from key positions in the country and calling early elections. So all these cosmetic changes proposed by Minister Malenica will not have any real effect until these key changes occur, and I am primarily thinking about changing the political nomenclature. That's what we need, and that's the prerequisite for any change, and so is the change in our judiciary. Thank you.
ParlaMint-HR_2022-04-28-0.u106103	The apartment is approved. And fellow Sacic also wants to explain the break, please.
ParlaMint-HR_2022-04-28-0.u106104	Thank you very much. I am also looking for a break on behalf of the Club of Croatian Sovereigns for 10 minutes in order to point out to the Croatian public, as well as the Minister that these provisions amend and supplement the Law on Criminal Procedure will certainly contribute and contribute to a faster, more efficient, more effective trial in important cases of interest for the Republic of Croatia, in criminal cases. However, the key question is what is going on in this area of processing, prosecution and trial, how much effort we have done, and the fact that a department of USKOK, one of the most important departments of USKOK, the Department of Research for Financial Traces of Money is not filled, not staffed, has not been trained professionally at the highest level that we must ask OLAF for services from the EU in the absence of our experts involved in the detection of the most serious forms of crime in the Republic of Croatia, the ministry and the minister undertakes that this certainly improves and makes it necessary as soon as possible.
ParlaMint-HR_2022-04-28-0.u106105	Okay, we'll take a break by 11 o'clock and 10 minutes, and we'll continue the presentation of Minister Malenica. It's 11:00.59.
ParlaMint-HR_2022-04-28-0.u106106	Thank you so much for stopping talking. [[CONTINUATION AFTER MEETING AT 11:13 A.M.]] Would the applicant's representative like to give an additional explanation? The Minister of Justice and the Administration of Mr. Ivan Malenica is here with us. Here you go.
ParlaMint-HR_2022-04-28-0.u106107	Thank you very much, esteemed vice president of HS. Honorable MPs and MPs. The proposal to amend and supplement the Criminal Procedure Act extends the possibility of using digital technologies in criminal law. The amendments and additions to the laws that you are about to discuss today will allow for a tone recording of all discussions, extend the possibility of holding a hearing at a distance and introduce a system of e-Communications in the criminal branch of the trial. When we talk about e-communication on criminal proceedings, the introduction of electronic communication in criminal proceedings allows the sending of letters in electronic form to shorten the time and costs of proceedings, and the participants will be facilitated by communication with the court. e-Communication is already in force in all commercial, municipal and county courts and in the High Court of Commerce of the Republic of Croatia and the Supreme Court, and since January 2022 and in administrative courts. The system uses more than 70,000 users. In the case of sound recording of new legal amendments, the conditions for mandatory tone recording of criminal proceedings shall be established. In discussions where a certain audio recording will not be required, the President of the Council will decide on this when there are reasonable reasons for this, and in particular if it will be requested by a defendant who does not have a defender. Full use of the tone recording of the hearing will lead to speed up the process, easier monitoring of the debate and increasing the effectiveness of the judicial system, which shows the experience of other EU Member States. When it comes to remote hearings, amendments to the Criminal Procedure Act also extend the possibility of using an audio visual link in a criminal procedure or the possibility of maintaining a remote hearing with the existing possibility of using an audio video link, the possibility of using an audio video link at meetings of the accused council and on preparatory hearings shall also be provided. That possibility will be decided by the President of the Council depending on the circumstances of each case. This Code of Criminal Procedure is one of the key procedural laws. With the proposed changes, we plan to make certain steps to make these procedures faster. Electronic exchange of letters will simplify communication, and tone recording will allow certain phases of the process to be accelerated. Dear MPs and MPs, I believe that today's debate, that today's debate will actually recognise the importance of the proposed newspapers and that you will make your proposals a contribution to the amendments to this law to make court proceedings faster and more effective. Thank you.
ParlaMint-HR_2022-04-28-0.u106108	Thank you, too. Mr. Mazhar's first replica.
ParlaMint-HR_2022-04-28-0.u106109	Thank you very much. The Honorable Chairman, the Honorable Minister of Justice. Here we have seen today following the amendments and the addition of the Law on a litigation procedure that, before us now, the amendments and additions to the Law on Criminal Procedure on Track and the Parity Procedure, where the vast majority and opposition today welcomed all the changes that are going and towards a more efficient procedure, more transparent ultimately in the better quality of justice. We continue to do so today with amendments and additions to the Code of Criminal Procedure. What I am interested to hear from your exposure that as far as e-communication is concerned, administrative courts, poisoning courts, municipal and county courts, high commercial court or 70,000 users are already using e-communication, so can you perhaps from the application of practice even though it has not been long enough to say what effects e-communications are practically in all courts except criminal? Thank you.
ParlaMint-HR_2022-04-28-0.u106110	Here's your answer.
ParlaMint-HR_2022-04-28-0.u106111	Thank you very much, Your Honor. So you pointed out well that e-communication is important and important and that it has actually shown good results in practice. So, we have trade courts, high commercial courts, municipal, county court actually informing the entire judiciary is something important and something that is important and, in fact, with these amendments to the Criminal Procedure Act, we continue that information, i.e. we include the information and the criminal procedure itself. Therefore, only the introduction of e-Communication involves sending submissions, delivering letters by digital means, so not only by courts to parties or public bodies, but also by natural persons and I believe that promoting the e-Communication system itself will allow for easier communication of all parties tomorrow, all citizens that actually using the e-Citizen system can achieve certain advantages of this e-Communication system that we will continue to develop. Thank you.
ParlaMint-HR_2022-04-28-0.u106112	Mr. Grmoya.
ParlaMint-HR_2022-04-28-0.u106113	Thank you. Dear Minister. I will not, of course, criticise these changes here because they are nothing at all controversial, we all want to speed up and communicate, digitize as much of our judiciary as possible, but after this term, when you do it, how much will you actually be happy with the situation in our judiciary? Is our judiciary really independent? Are all the people who join our judicial institutions, our courts in the same position? What have we done to keep these processes from taking so long? And as far as we can put it, it will never be possible completely, but how much justice and just our judiciary are actually as much in a certain correlation, is there any justice at all, and can people come to justice in front of Croatian courts?
ParlaMint-HR_2022-04-28-0.u106114	Thank you. Answer.
ParlaMint-HR_2022-04-28-0.u106115	Thank you very much, Your Honor. So here I think that we will agree that there are certain problems in the judiciary itself, we treat them as certain challenges that are seen through the NPOO, this is also seen through the National Plan for the Development of Public Administration in the end through these today amendments to the Law on Criminal Procedure and the Law on Criminal Procedure, as well as those laws and regulations that we will change in the next period. The changes in the judiciary can't come overnight and I can't come with amendments to one law, and for that reason I mentioned that this year we have about 50 laws in HS that we're changing and agreeing on some kind of mosaic change that I'm sure I'll say after the passage of my mandate that I've received some positive changes in the Croatian judiciary. For example, I would point out the upcoming amendments to the Law on Peace where we strengthen this institute, the extraparation procedure, the court delivery, so we are going to go after that, and so is the DSV Act, the Law on the State's Attorney's Council, the Law on Judicial Exercises, the Law on the Judicial Academy, so a whole spectrum of different regulations that will certainly contribute to justice being more independent and effective. Thank you.
ParlaMint-HR_2022-04-28-0.u106116	Thank you, thank you very much. And Mrs. McNally. Dalia Oreshkovic.
ParlaMint-HR_2022-04-28-0.u106117	Ministers, the public lost confidence in the judiciary mostly because of poorly-leaded corruption proceedings against politicians, most of them were high-ranking HDZ members. Member States shall ensure that the measures provided for in this Regulation are in accordance with the opinion of the Standing Committee on Plants, Animals, Food and Feed, I referred HS, and I reiterated it once more as a representative in this conference the proposal of the Anti-Corruption Strategy, amongst the concrete proposals it was to follow the trail of the file. For example, a concrete file is the written by Milan Bandic, which was from 2014, until his death in 2021. was in the phase of rest. You didn't do it, you didn't touch even those problems that the state's attorney's office pointed to. For example, against an indictment dismissed by the accused council by the State Attorney's Office, there is no possibility of raising a legal remedy, while the accused councils in their decision extend their powers where they do not have them, enter into the foundation under examination at the further stage of the trial.
ParlaMint-HR_2022-04-28-0.u106118	Thank you. Answer.
ParlaMint-HR_2022-04-28-0.u106119	Thank you very much, distinguished MPs, so you came from this system, you were a lawyer and you know the way of work of Croatian courts and judges. So each case is in the hands of the judge who handles the case and actually determines the dynamics of the case itself. It also has specific procedural tools at its disposal to discipline parties in the process. On the other hand, we also have the independence of the judiciary and certain restrictions that the ministry or government or legislator has according to a particular judge or specific case, so each case is individual. We try to allow these judges in each particular case and file to have as high-quality tools as possible and, in fact, to solve certain items as soon as possible within the shortest possible. I can agree with you that certain criminal proceedings take too long, but as an executive authority and as a legislative authority, we cannot influence any specific subject matter but is in the hands of the judge and council who manages the case.
ParlaMint-HR_2022-04-28-0.u106120	Thank you, no more replicas, thank you. Do the committee's reporters want to take a word for it? No, I don't. I'm opening a debate, first of all, with the clubs of Mr. Nicole Grmoy, they'll represent the views of the Bridge, please.
ParlaMint-HR_2022-04-28-0.u106121	Thank you, Vice President, colleagues and colleagues, we are very few here in the assembly, and the issues are therefore the amendments to the laws that seek to improve things in our judiciary that many and in election campaigns say mean to the judiciary itself that it is actually a cancer of the early Croatian society, that all the problems we have from a lack of investment to the general dissatisfaction of Croatian citizens and emigration from the country are due to the poor situation in the judiciary. It is understandable that now few colleagues are here because here during this debate we also have committees where ministers are represented, where there is actually one, a tight schedule for which we are not responsible but ruling. Here's the prime minister had plenty of time to find replacements for three government officials who are under serious investigation, but apparently there's no interest in entering a government like this, so it went to this narrow reconstruction because no one wants to be part of this government. Mr. Habian, I see that you have not shown any desire to enter and ambition to enter such a government, so Plenkovic had to reach out to such people as Mr. Filipovic, who lost his election in Zagreb or his colleague Piletic, who, I guess, suppressed his ego to become part of the government, but no one standing firm with two legs on the ground would want to be part of this kind of government at the moment. But what is a much bigger problem than the very composition of Plenkovic's government is a whole system that does not really have the will and Prime Minister Plenkovic himself to deal with corruption and get rid of things in the Croatian judiciary, so we have these kind of cosmetic changes from time to time, and we all know that Croatian citizens have no primary confidence in the judiciary right here, a colleague Oreshkovic mentioned because of these criminal proceedings against politicians, famous public figures, so people who can influence the judiciary or their political influence, their acquaintances or we have the recognition of football managers as they have influenced the judges themselves, bribed them, and that is what actually ruins the trust of Croatian citizens in the judiciary, of course, and the longevity of the proceedings themselves. And I think the only way things can change is by leaving this corrupt structure from power, by coming one new set of people to power that won't mean having any tails behind, any affair and having enough strength, determination, enthusiasm, reckoning, dealing with corruption. And I think that time is coming, that time is very close and I can testify here how nervous really is the key people of HDZ, HDZ agents because of this change that's coming, so the announcement that I've been making here is just a little bit more to cause anxiety in the HDZ lines. He's laughing at fellow Habib that we're about to take up key positions in the country. So it's caused anxiety and it's become a major topic, so it's become a major topic for a colleague of HDZ's representatives, and that doesn't matter at all. It doesn't matter which people take over certain positions, so it's important that these people have nothing to do with any affairs, any crime or corruption. This has obviously become a problem in HDZ to find such ones, so Plenkovic boasts that these are young people who have no weight whatsoever. So now, the most important thing in HDZ is to become a minister of youth and to be as little as possible, so in some position because it's less likely that you're involved in some kind of corruption affair or scandal, here. So you co-workers had a lot of chances, too. I'm sorry this time it didn't happen, but maybe some other time. From this place, another judiciary. I don't get settled in. [[Please! Please! Just keep going.]] Thank you. [[I'm sorry, I'm gonna have to start making warnings. Let's not! Give me a minute to stop, give me back the chronometer, and here you go, Mr. Grmoy.]] And, well, I'm used to the Honorable Vice President when I say that there's a lot of anxiety in HDZ so I don't mind at all. So these are the situations I deal with every day, and I learned to deal with them. What I'm saying is, resolving the issue in the Croatian judiciary is a key problem, and I think that any government should first address the problem in the judiciary. We've lost 400,000 people in the last 10 years. Part of the people left Croatia due to existential problems. Part of the people left because they feel that there is no equal opportunity in Croatia, there is no equal opportunity for employment, there is no equal opportunity in front of institutions, there is no equal opportunity, there is no equal chance of proving it means their innocence or to prove the guilt of those who may have damaged him before Croatian courts. And that's why people leave. What have we had in the last 10 years? 400,000 people less, 4,000 employees only in these past few years more in public administration. We also have major problems, so around the city of Zagreb and Banovina, we now have huge inflation and price growth and these are the key problems of Croatian society but primarily the judiciary and we will focus on that. The fight against corruption as I think is a prerequisite for any economic and economic development of the Republic of Croatia. Here, thank you.
ParlaMint-HR_2022-04-28-0.u106122	You, too. Mrs. Dalia Oreskovic will represent the Centre and GLAS Representatives Club, please. It's on, yeah, okay.
ParlaMint-HR_2022-04-28-0.u106123	Honored Chairman, fellow MPs and MPs. First of all, I would suggest, and in fact I would ask the Honorable Minister then the members of the Committee on Justice, then the members of the Committee on Law and, if necessary, the members of the Committee on the Constitution, the Rules of Procedure and the political system to take into account the report of the main state attorney, even some of the old ones who have already adopted the Croatian Parliament from Dinko Cvitan. So there, somewhere from 2014, 2015 to today. And that they take the task of getting out of these reports everything that happens from year to year, and in the system it doesn't change, so it doesn't change through changes and additions to this law. Now I'm not going to talk about just having an insufficient number of state lawyers, I'm not going to talk about having only 33 judicial employees covering the entire Republic of Croatia's jurisdiction. 33 USKOK employees are not enough to comb through the corruption affairs of the bloated ministers of the government, let alone do anything else beyond that. And yes, it is a fact that since 2014, we have been planning to form special financial investigators at 4 main courts in Zagreb, Osijek, Rijeka and Split and that only last year we seem to have filled in 2, imagine just 2 special financial investigators. The reason is in inadequate coefficients. The fact is that in the city of Zagreb we have a ruined building in which UskoK and DORH were located without doing anything to restore the building. The fact is that all over Croatia are very bad conditions in which the state's attorneys work, but that is otherwise Croatia's trend how will you recognise that this is a judicial building? Well, since it's usually the busiest and most devastationed building in a city. However, the quality of the trial depends, above all, not on the introduction of these digital information tools, and that I am now not repeating in this debate everything I have said about the amendments to the Law on the Prosecution I will say something very specific to the criminal proceedings, and you will find in these reports submitted by the Attorney General. And now here's how much you're going to give yourself a year, so year after year back. Something that repeats itself is really about confirming the indictment. And the fact is, correct me if I'm wrong about the decision to return the indictment to the State's Attorney's office still not having the possibility of filing a complaint. Practice shows that the accused councils, when assessing the basis of the indictment, are crossing the limits of their powers and are very often engaged in assessing the evidence force of the evidence analysed, which is something that should only be done at some later stage of the criminal proceedings, so these are some basic mechanisms that must be resolved by changes and additions to criminal proceedings, and here we have now missed the opportunity to deal with the substance itself and matter itself. And what I was talking about in the replica, if we are talking about corruption affairs and if we are talking about a bad trial where it is the most sensitive issue, it is very easy to identify 5, 10, 15, 20 procedures against high-level politicians in which judges have either made wrong decisions or have not made them at all, so is it such great wisdom to take these files, comb them from cover to cover, except that you will come up with concrete data that are corrupt judges who do not do their job in the right way you will also get very reasonable explanations where the law needs to change how the procession part of so perhaps and some of the provisions of material law. Until we resolve this, unfortunately, these changes and additions that you are now proposing which could in principle be supported, are not bad, but are merely cosmetics. Thank you.
ParlaMint-HR_2022-04-28-0.u106124	You, too. - Mrs. Crescent. Romana Nikolic, Club of Representatives Social Democrats, please.
ParlaMint-HR_2022-04-28-0.u106125	I would like to thank the Vice-President of the Assembly, the Honorable Ministers, the Secretary of State, my fellow Members and fellow MPs. The proposed amendments introduce a newspaper that will modernise the criminal proceedings, speed up and provide instruments for a more effective criminal trial, all with a view to reducing the length of the proceedings, and therefore propose to introduce e-communication, extend the use of audio recording of the debate, as well as mandatory tone recording of discussions. As regards the introduction of e-communication, it has been introduced in the application of all already commercial courts, administrative courts, municipal and county courts, in litigation proceedings, and in high commercial courts, it is therefore logical to introduce it in criminal proceedings. The application in those courts has proved to be effective, therefore it is assumed that it could also be well received in criminal proceedings. The e-communication system will enable the sending of letters online, which will shorten the time and costs of the procedure, and make it easier for participants to communicate with the court. Amendments to the Criminal Procedure Act extend the possibility of using an audiovisual link in a criminal procedure or the possibility of holding discussions at a distance. A copy of the debate will not, will not be required, but will be decided by the president of the council when there is a reasonable reason for that. Full use of the tone recording of the hearing will lead to accelerated proceedings, easier monitoring of discussions and increased efficiency of the judicial system. In addition, everything mentioned just as with the amendment of the CAP, despite the legislator's efforts to speed up, to speed up the judicial procedure, it is doubtful how much longer it will take to achieve this objective. All amendments depend on the goodwill and time of adaptation of the judges themselves if, unless the application of the amendment does not exist, there is no sanction for them. Therefore, what could be introduced if the judges do not want to apply the amendments, and the disputes continue to be delayed and kept in the drawer, we propose some indication of themselves and an explanation of the situation that will continue to be decided by the competent authorities and to take firm measures. The established practice is difficult to change in view of the fact that this is already the ninth change in sequence and that it is necessary to give some time to adapt, but if we want to have an orderly and efficient judiciary this is a good way to do so. Also in view of the debate on both the Committee on Legislatives and the whole series of objections to this bill for the sake of the legal certainty of the Social Democrats Club, the Social Democrats believes it is necessary to approach the development of a whole new law. Thank you.
ParlaMint-HR_2022-04-28-0.u106126	You, too. Mr. Zeljko Sačić, Club of Representatives of Croatian Sovereigns. Please, go ahead.
ParlaMint-HR_2022-04-28-0.u106127	Dear Vice-President, Mr. Secretary, colleagues and colleagues and the Croatian public. Here is this, as I have already announced, a proposal to amend the Criminal Procedure Act was, in my opinion, a much more complex procedure than the amendments to the ZPP, because the provisions of that segment are far more extensive and complicated and refer to a whole series of these components of legal institutes and different procedures, while the Criminal Procedure Act can, in a far simpler way, intervene and disprove with this, with this innovation of our government with regard to digitisation or the application of information communication technologies, in order to speed up and simplify the legal procedure for the taking of statements and communication of all subjects of criminal proceedings. This is good, it is certainly one step towards speeding up the criminal proceedings themselves, and even the effectiveness of the bodies leading the proceedings and the trial, both in terms of the defence and in terms of determining the factual situation and the decision-making. We have certainly not entered this process for any reasonable reasons, but you have given them the opportunity to use modern technology with e-communication, to open an e-mail mailbox, for people who are ignorant of information, who do not have lawyers, you have allowed them to go through the old system, and if they want to get involved in it, if you do not continue to, or ours, our courts will continue to communicate in the way that is common. This is all we now have a chance to read assumptions, assuming one degree of security. I won't at all, I won't question at all, like colleagues Michelle and Mr. Zurovec about what would be if, if there was a possibility of hacking, is there any possibility of abuse of the information system, I won't discuss it, it's settled, it's a confused matter, you have professional services, technical services that, so where are we going to come if we're going to get more questions. Of course there is a possibility and of course they will be hacked, but professional services are that they prevent and reduce it to the least possible measure, and we take it as a assumption that it will not happen and that it will positively echo among the parties. What is not good at this, in this bill of law, is the possibility of delaying the application of these very good measures. You have put yourself as Minister for the right to allow certain municipal and county courts to apply these instruments when they reach the level of technical, technical readiness. So when this courtroom of 184 as many as there are in Croatia, it will be able to function in an audio visual or audio recording way. Don't delay work, you have money, you raise that level, you take from somewhere else, let the government from their reserves not only with 16 million planned for this modernization, modernization from support and resilience funds, but from other elements take that money and fix it. Of course, it's a priority to put the roof first so it doesn't leak ok, but parallel to that earthquake it's done its thing, we respect all of it, but you've secured 40, 50 billion money, out of these 40, 50 billion people who aren't so much of a priority, which isn't so nationalally important with the security and legal certainty of the citizens of the Republic of Croatia and invest in that criminal procedure system, not only 16 million, but if necessary for a litigation procedure, you've secured 68 million, so make sure here as long as it takes, that this is parallel and that we can really say here without delay, we're going to reform the criminal system, the functioning of criminal legislation and criminal proceedings both in criminal and criminal, criminal cases. Not that it will now and it will remain undetermined. You haven't given any time limit in which the minister may say so. You just said with a delay. How much? It could take 10, 15, 20 years, or what I know, maybe two years from now, God forbid. So make a commitment here somehow. It's about that, and about the other aspects, I think it'll certainly positively echo, our judges, the writers will have less to do, the presidents of the council too. You've given them a deadline now that they don't need to work for five days, but at the end of the day it's not the same problem, buy them those models which, which they have, are a little more expensive, but which turns phonetically into an expression into this writing form and the end of the story. It's easy to solve today, but a little more expensive, more expensive these expensive procedures. In any case, God forbid you make it on that road and don't delay, don't burn the money.
ParlaMint-HR_2022-04-28-0.u106128	Thank you. Mr. Michel Jaksic, SDP Representatives' Club. Here you go.
ParlaMint-HR_2022-04-28-0.u106129	Thank you, Vice President. Dear Secretary of State, colleagues and fellow MPs, I was about to say at the beginning of my presentation that today we agree in everything with my colleague Sacic, then he went a little bit to decide what we talked about, but I'm glad we understood that, too, but you from your previous career know that caution is never enough. When we talk about amendments to the Criminal Procedure Act, I must also say that the SDP Club feels that this is an attempt to make a positive step and it is certain that we are ready through further discussion and amendments, especially when another reading comes prepared to take a position that we can all together support this law. What we would certainly like to try once again is the fact that every step when we talk about making the system more efficient so that finally the judicial processes start to run in a faster way, and therefore likely at the end of the day to be and fairer is something that we certainly need to praise and that one step that we want to take in the direction of digitisation is something that will make the system better. But what we mustn't forget when we talk about changes to the CAP is that we can still look back at everything that has happened historically through our CAP and all the big criminal persecutions that we unfortunately had in Croatia. All those fugitives across the border, all the things that ended up out of date, all the things where people were arrested and their lives were destroyed so that after a 5, 10, 15, 20 years of litigation, or it ended up out of date or nowhere, it ended up being eaten by a donkey wolf. There was talk of some great damages, and in the end nothing other than that some other destroyed lives have been determined, but we would also like to talk about what we can all do together so that both the state's attorneyship and the USCOK would be even better and human and infrastructureally and financially teamed because what comes to us through a number of reports this assembly receives and gets is that simply these people are doing hard work in difficult circumstances in situations where crime becomes increasingly complex and may be done in some ways that no one 10, 20, 30 years ago could think of being possible, and simply through the budget we don't give enough space and we don't give enough motive, but I won't give a word of reason, but enough importance to those people who should protect us from such criminal activities. What remains of us hanging in the air as a question of these changes to the CAP is something that has been discussed on the Justice Committee itself and I must say that my colleague Martinovic explained it very vigorously and I am sure that what remains in the air will be even better explained by the second reading and even clearer. And today, several times, it has also been mentioned in the discussion of changes in both the CAP and the CAP, and we are asking only one question, okay video, audio, processing, hearings, trials, but what it means for those people who are unable to analyze and monitor it in a way that is needed to defend themselves in the processes in which they may possibly be. The question arises whether this work may not be too much against those who still have the right to defend themselves against those incriminating parts that are being burdened by the fact that just to draw this line, not everyone who is in prison may not be able to, but perhaps many times neither the knowledge of being so informatively written and that they are able to do so. And the second question is right now, what about those judges who won't respect all those norms, all those deadlines, and all that we're going to put before them as a chance for a new step. We didn't see until the end how much sanctions themselves were worked out. There is so much from the Club of the SDP with one final sentence that we welcome these efforts, but given what we can and can see and can hear, and what is encouraged in these discussions, perhaps in some future period we should think about a large comprehensive package of changes to the entire CAP that we do not have every little bit of work, processing because we have just now made a lot of subjects clear and filtered on which I think we could all do even better and even stronger steps together. Thank you very much.
