ParlaMint-HR_2013-06-26-0.u35491	Here you go, colleague Jandrokovic.
ParlaMint-HR_2013-06-26-0.u43910	The reply to the replica Gordan Jandrokovic.
ParlaMint-HR_2013-06-26-0.u43911	My colleague Mondekar, you have failed to convince me that these changes and what we're doing are not just cosmetics. So if the Government of Article 10 is obliged to inform the Parliament, then let's strengthen Article 10, then commit the Prime Minister to come and report to the Parliament why there has been a derogation. Or at least ministers. ... So let him come, let there be a debate. [[You can't hear the intruder.]] If they're going to inform us in writing and tell us we changed that because that's what Germany and France said, excellent, and what we've been making that conclusion. So let's go if we want to strengthen the role of Parliament, if we really hold it to the Croatian Parliament. So when it changes, when it steps away from our conclusion, then come to the Prime Minister, come to the President or the Minister and tell us why, explain to us, if you hold to our opinion, if it matters to you. If this law makes any sense. And no, we're gonna do everything nice, we're gonna try, we're gonna meet every Friday, we're gonna process a hundred papers I don't know how with five people working on us on the board. But, well, we'll do all that, and then the government will do something different, and then they'll let us know that she's very sorry for what she did differently and we'll just go home with our heads down. This is not it, this is not it, you have been saying since the beginning of this term that you want to strengthen the position of the Croatian Parliament, that you want to improve the image of the Croatian Parliament. With measures like this, you don't do this. I'm telling you, and in the opening statement, I said, everything goes hand in hand to the ruling majority and ruling party. In our time, you had the chairman of the Committee on European Integration, you had the chairman of the National Committee for Monitoring and Control of Negotiations. As an opposition today, not only the HDZ, no opposition party has anything, even according to the Rules of Procedure, to introduce another Vice-President of the European Affairs Committee, which also comes from the ruling majority. The joint parliamentary committee of the Croatian Parliament-European Parliament is being abolished where we had a president, and we no longer have that.
ParlaMint-HR_2013-06-26-0.u43912	Thank you. Branko Hrg, replica.
ParlaMint-HR_2013-06-26-0.u43913	Thank you very much, Madam Vice President. Comrade Jandroković, you said that changes were made in relation to the first reading but to the harm of the Parliament, that is, in favour of the Government and that it is strange to you. So I'd say we don't really have to be surprised, I don't think it's weird, and I think you'll finally agree that we shouldn't be surprised because otherwise we're people in Croatia obviously that when we pick someone out, then they think they've got the throne and that they can manage everyone and that they can do whatever they want. We do not understand in Croatia obviously in politics that no one gets power but that it only gets the ability to manage public goods and run the state or some system. The Croatian Parliament as an institution has been through history, and it has already been spoken here today about the history of the Croatian Parliament in a slightly negative way, yet it has mostly dealt with representing the interests of Croats, preserving language, preserving identity and everything else, and in this time when entering the Union we are in principle facing such a new challenge and it is very interesting to see that such a bill is being put aside by the Croatian Parliament, where in principle a group of people put themselves in a position to decide on the interests of Croats in a large community, in a community where we will have to fight very hard to preserve their identity. So I think that the role of the Croatian Parliament is absolutely necessary here, that it is even historical at the moment and that unfortunately nothing is strange when it is done here, but let's say the President of the Parliament will be able to say to you in the future I will not give you my Rules of Procedure and that Zoran can't do anything afterwards, you mentioned it yourself. Thank you.
ParlaMint-HR_2013-06-26-0.u43914	Replication response, Gordan Jandrokovic.
ParlaMint-HR_2013-06-26-0.u43915	Is colleague Hrg, we can talk whatever we want, we can invite a government official to explain to us how the government will function. After we asked him to do it, he left, so he left. Here's a dear colleague instead of hearing how the government is going to function, the government's representative goes away. So just when we asked him and started discussing what would make the government's representative rise and go, without an explanation. So I think this is really funny, I don't know how you from the ruling majority don't have a problem with the second time we're discussing this law, the first time no one comes, and the long way we go to discuss it now, being a government official here, inviting him to explain to us what the government is going to do, and he's going to do it instead of leaving. Well, I think it's funny.
ParlaMint-HR_2013-06-26-0.u43916	The deputy minister had to attend a meeting of the government, which is at 12 o'clock, so he will be back when the cabinet session is over because the foreign minister is not in Croatia. And the last replica, Vice President Zeljko Reiner.
ParlaMint-HR_2013-06-26-0.u43917	I have to admit that I don't really see the point of the replica anymore because I wanted to refer to the statement of the distinguished representative Jandrokovic, who I think is very important because this is taking away a series of powers from the Parliament and giving them to the Government and the government will really run 90 or 95% of the affairs in relation to the European Union, and my question has been directed towards the Deputy Prime Minister, a government representative, someone, now unfortunately there's no one else here, about how the government will also function, how the government has organized itself. We know what solves this law and the Rules of Procedure of the Parliament, it practically makes it impossible for us in any important intervention and important influence related to the European Union. All right, that's how they ruled out, so they set themselves up, but whether or not the government will be able to take over all these functions. That's what we wanted to hear, to hear clearly we won't. And the question is, of course, whether or not the representatives of the ruling here are actually aware of what is being done and how limited is the possibility of this Parliament's influence. Perhaps, subconsciously, they are somehow aware that during this entire debate in the hall is somewhere between so many 10 representatives of the ruling party, there is no one from the second largest party of the CNS, but for a long time, and there is an apology. But actually look, somewhere about a fifth or a sixth of all the ruling is here when it comes to this very important aspect, and then, of course, there's going to be everyone at the vote, and it's really asking whether consciously we're going to go into it all, or ruling, and we can unfortunately just protest, that this Parliament in some way give up its ingenuity. Thank you very much.
ParlaMint-HR_2013-06-26-0.u43918	Thank you very much. Replication response, Gordan Jandrokovic.
ParlaMint-HR_2013-06-26-0.u43919	Well, I agree with you, colleague Reiner, and I'd like to take a brief look at the position of the government. Madam Vice President, I appreciate you saying that he went to the government meeting, but couldn't he have said I was in a hurry before that, so I'll give you a brief explanation of what this is all about. So again it's an empty bench, don't laugh people, talk about the relationship between parliament and government, about the most important issue Croatia is waiting for in the next week. So we enter the European Union, we talk about the relationship between the parliament and the government, and there are no representatives of the government, but twice. We call him to explain, he's gone. So is that, I think, how do you expect us to keep our mouths shut? Well, I'd like to see that that's how it was in our time that you'd be doing, what would you do and what kind of circus you'd be doing here? And we're just asking and he's not coming back during this law because there's no time. We still have that hour of debate, and the cabinet session will take a long time. And again as in the first reading, the government actually shows this its relationship with the Croatian Parliament, and this law is just one rag in fact that should cover up what is actually going to happen.
ParlaMint-HR_2013-06-26-0.u43920	On behalf of the Club of Representatives of the Independent Representative Jadranka Kosor and HGS colleague Jadranka Kosor. Here you go.
ParlaMint-HR_2013-06-26-0.u43921	Thank you very much, Madam Vice President. So here's first something like a zero point of my debate on behalf of the club. I would gladly welcome Mr. Klisovic. I believe, I hope he will return and will be involved in the debate because this is a debate, as we know about the relationship between the Croatian Government and the Croatian Parliament. And I want to mention once again in my previous discussion something that I was discussing when we talked about the bill in the first reading. Namely, how much we ourselves hold to the dignity of the Croatian Parliament is also the fact that the proposer of this law is the Committee on the Constitution, and I closely followed how many members and members of the Committee on the Constitution were present in this assembly. There were times when no one was there. Look also at this moment which of the board members are here. I think that members of the board, all members of the board, should also discuss this bill and that it might be a small step in restoring the dignity and the Croatian Parliament, as well as committees and the work of the board. We have heard a lot today of big, important and beautiful words and these days, anyway and we will hear about the last minutes and seconds before Croatia enters the EU and about how we have to go straight, how we will do differently, how we have to do more, better, more effectively, how we have to stick to the agreed, how we do not need to open up unnecessary sides of political first of all. But as you can see also the debate on this bill and ultimately formulating the functions of the Croatian Parliament, the work of the Committee on European Affairs, but ultimately what the Parliament will do and how it will do, I dare say in a sad atmosphere full of divisions, indeterminateness, and I fear that in the end we will have a law in which, in fact, no one will be satisfied, i.e. the Croatian Government and the Croatian Parliament. I remind you once again, the foundation for this law comes from the Constitution of the Republic of Croatia which we changed in 2010. We then introduced the provisions of Article 144, in particular, once again, and once again mentioning paragraph 4 where it is clearly mentioned about the supervision of the Croatian Parliament over the work of the Government in these affairs relating to the membership of the Republic of Croatia in the EU. So, clearly and precisely, we're talking about surveillance. In fact, the legislator knowingly or unconsciously defines this in Article 3 where it is said in the exercise, where it is spoken of the Parliament's power to carry out European affairs, it is said that the Parliament monitors and monitors the work of the Government, monitors respect for the principle of subsidiarity, etc. Therefore, even in the very explanation of what is the framework within which the Croatian Parliament will act, it is about supervision. So what I would like to point out once again is that the name of the law itself is not adequate and should be changed if no other way is possible if this supervision cannot be entered into the name then I would suggest that we accept Mr. Pupovac's proposal and that we are talking here about the relations of the Croatian Government and the Croatian Parliament. I'll repeat something of course that's not news and nothing new or original, but ladies and gentlemen, by passing this law, we're not late, we're inaccessible as it is said. So, not that we should have passed the law, but that we should have defined all the specifics of the Committee's work, we should have chosen members and board members and the Committee should have started to function. If nothing else, the committee should meet on July 1st. If not otherwise ceremonially, the symbolic committee should begin to function, and today we are just discussing the frameworks of this law, the frameworks of work and the board and the Croatian Assembly. And I repeat, when there is a vote, probably no amendment will be accepted. This will be bad and we will have a law that will be brought to the public by constant co-workers and colleagues and, of course, by criticism in the Croatian Parliament. This will again generate the dissatisfaction of all those who look at us, taxpayers who pay us, citizens and citizens who have chosen us, and they will rightly comment that once again, even though we are EU members, we are unable to agree anything, we are not able to specify anything, and it is right to draw conclusions that we are not able to do anything to their advantage. And finally, of course, to the benefit of the state. That's bad. The perception of the Croatian Parliament is bad, that was already the case. Why is it bad? Look at the debate about when it's spoken in public, when polls are conducted to reduce wages. Only in the first place is always the talk of representatives in the Croatian Assembly who should reduce salaries, and we have now staged a debate that talks about almost seems insurmountable opposites. The Committee will have a big and important place for European affairs, and that has been a lot of words. I agree, however, the proposer did not, in any way, refer to the proposals that I made on behalf of the club in the debate in the first reading that in this committee, specifically at the beginning of our membership should they be representatives of all clubs represented in the Croatian Parliament. That would be a minimum, for example, if the board and symbolically represented all of us chosen. But let's not have illusions, we are today and every day faced with the fact that committees are struggling with quorums. This is, therefore, a committee that should be attended by representatives who will not only regularly come but all debates, all prepare well, will be extremely busy. And I cannot accept it to be one of the committees that will compete with one or two MPs who have come or have not come to the quorum, so that we can vote the conclusions because ladies and gentlemen on the conclusions, on the work of both the Committee and the Parliament as a whole, depends and that we will present ourselves as the 28th member of the EU for the first few months. So I ask the same answer to the question because today there will be a debate on the Rules of Procedure when we will form a committee and whether it is possible in any way to accept our club's proposal that all clubs, of course, be represented by a proportion of members who are members of the club. Now something very specific only about articles. Therefore, the Parliament's notification in Article 6 is said to be notified and added, and this is added in the second reading, to ensure the EU's access to the base or otherwise appropriate. It doesn't mean anything. In another appropriate way, it means nothing. I'm asking for it to be done. Certainly a key place is Article 8 on the discussion of the position of the Republic of Croatia, so the position of the Republic of Croatia is not the Government of the Republic of Croatia, but rather the position of the Republic of Croatia, so the state as a whole. However, in Article 10, I may repeat a few things that have already been said about the report by the Council of the EU Council on meetings, it is said that the Government is obliged to inform the Parliament if it deviates from the conclusions set out in Article 8 of this Law. So, it's ladies and gentlemen all by themselves absurd in their source. All conclusions in the Croatian Assembly at the plenary session are made on boards by the majority. They are brought thanks to the ruling majority. Today this one, tomorrow that one. And we ourselves suggest here that then the ruling majority who decided something in the Croatian Assembly at a plenary session or on a committee actually be hit by the ruling majority here in Parliament in the Government of the Republic of Croatia. It's basically absurd. Because if ruling here decides something then I guess even ruling if nothing else across the street has to respect it. This type of manipulation in Article 10 does not guarantee this. So, the government is obliged to report on this by the Croatian Parliament if it has given up on the committee's conclusions, or Parliament, and of course that's where the question arises, what after that? After that, ladies and gentlemen, nothing. It is also foreseen that, if necessary, Article 11 of the President-in-Office of the Parliament, the Prime Minister will present the position of the Republic of Croatia at a meeting of the Parliament or at a meeting of the Committee, as well as how and how the call of the President of the Croatian Parliament takes place. I think the minimum here would be that, for example, on a proposal of at least three club representatives in the Croatian Parliament, the President of the Parliament is obliged to call on the Prime Minister. So we need to find some fuse because the Prime Minister is always a member of the ruling party, and he is always a member of the ruling party, no matter what parties I repeat. So, the President of the Parliament will then consult with the Prime Minister in this logic where he will always be from the same party, if it suits you to come, it doesn't fit us, we won't call you. So I propose, it is a simple mechanism, on a proposal of at least 3 club representatives in the Croatian Parliament, the President of the Croatian Parliament will invite the Prime Minister. And of course again it is said that on the reports and the position of the Republic of Croatia, I repeat the Republic of Croatia not the Government of the Republic of Croatia but the Republic of Croatia, because the government is talking about the views of the Republic of Croatia that the debate will take place and what after that? Nothing. So there are no conclusions, none of these are mentioned here. So I suggest that this article be done absolutely. There are so many legal unnecessary gaps left here that they will definitely lead to complete confusion in interpreting this law, and then of course in interpreting the powers of the Croatian Parliament. And finally something that was not equally referred to by the motionor although it was brought forward in the debate on this law in the first reading, I return to the Constitution and return to constitutional provisions. It is said that the Republic of Croatia in the Council and the European Council represent according to the powers of the Government and the President of the Republic of Croatia. So here we are dealing with the views of the Government and what views the Government will make, what views the Government will be representing, but no one has referred to the views of the President, so we are not talking about the institution of the President in the Council and the European Council. It is a life situation that the government and the president, I repeat, do not talk about names, do not have to and often do not have the same views, and this will likely happen in the future. Then what? Ladies and gentlemen, the answer to that question is a constitutional provision we don't have and no one has opened it in any way. So I'm asking you a question. Can you, for example? The Croatian Parliament is asking the president to make his views known to the Croatian Parliament. We are in a system of parliamentary democracy of this I am aware and aware of all the powers of the President of the Republic whoever he is under the Constitution of the Republic but the answer to that question, and I do not think it is irrelevant, however, we do not. And what if I repeat any dispute over any important issue between the government of the Republic of Croatia and the president of the Republic of Croatia? I propose that once again the Committee on the Constitution, the Rules of Procedure and the political system meet and discuss all these views with representatives of all clubs in the Croatian Parliament before voting on this bill. Thank you very much.
ParlaMint-HR_2013-06-26-0.u43922	Thank you very much. We have three replicas. The first is a colleague of Dujomir Marasovic. Here you go.
ParlaMint-HR_2013-06-26-0.u43923	Honored Madam President of the Parliament, Mrs. Kosor. You're crying too much for this deputy foreign minister if he's coming back, he needs to come back, you'll enjoy coming back with him for some discussion. What are you talking about? This is only one indicator of the state of consciousness of the ruling furniture and their relationship to the Croatian reality. And I'd add what the people see is what they choose. It's not a private marriage election, so when you change your mind for three days at the mother's, that's it. This is a four-year marriage. Let the Croatian people see who he has chosen, what authority and how this authority applies. So what we're crying about is whether someone from the government is going to come here and get us 30 as long as we're here to listen. And you're talking now in the end about the Assembly Committee on the Constitution and so, there's the president of the Assembly Committee sitting there proudly, and he says he doesn't care that 780,000 people asked to ask a question in the referendum, he says he won't accept a mass of 780,000 people for it. And Mrs. Kosor, you've been a journalist as far as I know on Radio Zagreb, so this through the regimeal media government is channeling criticism towards the Parliament by gradually turning the Parliament into a public garbage can into a public spithole and in some way not using other attributes to get the people away from the government and move them to the Parliament. But in the end, and that's good if it's the role of the Parliament and the MPs to empty the electricity and frustration of the people in some way when the people yell at the Parliament then let's be so useful at least. I agree, and we use it to the Croatian people and the Croatian state. But don't expect anything else from this set and hope for something from them that they will hear you, God forbid or obey or listen to us and neither us here how many we are a hundred.
ParlaMint-HR_2013-06-26-0.u43924	Thank you very much. The answer to the replica of my colleague Kosor.
ParlaMint-HR_2013-06-26-0.u43925	Thank you very much. You told your colleague Marasovic that I am crying too much, I am not crying at all and in much worse situations than you know from the recent and my past, so I am not crying because the government's representative is not here at all, but I quote "I would gladly welcome him" and I would gladly welcome Mr. Klesovic if he were here and it's good that he was even brief. No one was at the first reading debate. And as for the media, you listed a lot in your replica. Yes, I was a journalist on Croatian Radio. I'm very proud of that period. By education, however, I am a lawyer, and I also tried to discuss this law exclusively from the legal point of view, taking into account the draft law but certainly the Constitution of the Republic of Croatia. And forget the crying.
ParlaMint-HR_2013-06-26-0.u43926	Replica Branko Vuksic.
ParlaMint-HR_2013-06-26-0.u43927	Dear colleagues, Kosor, our laws are in breach of practice. We are a constitutional parliamentary democracy, we know well that in practice it is not. You are instructed in fact one fact as to how the public perceives the Croatian Parliament. Perceiving us correctly, Parliament is an institution that has no power. The real power is on the other side of Mark's square, but you were Prime Minister of the Government, you know very well that's the case. And then it wasn't in your time that the majority of parliament opposed your proposals, she listened to you, there were decisions made as they are today, so she complied with most of your decisions. Nothing has changed in the last few years in two, three decades except this law formalizes this unnatural anti-constitutional relationship. So this law just formalizes what's in action for a part. And probably in the coming years, the next laws will further reduce Parliament's power and hardly fool the public because the public sees that there is no power here, that decisions are made elsewhere and I repeat, so it has been before.
ParlaMint-HR_2013-06-26-0.u43928	The answer to the replica of my colleague Kosor.
ParlaMint-HR_2013-06-26-0.u43929	I did not glorify my colleague Vuksic in any way how it was before and at the time when I led the Government of the Republic of Croatia. Of course, it is known how the Government is elected in Croatia. The government is elected in parliament, the majority is elected, those parties, those parties that have most MPs and of course choose the government. That's how it was, and it will be until we change the Constitution. But certainly, if I were never to sign a law like this, I would certainly ask it to be done, to fill these gaps, and not to have room for manipulation, or to blame the interpretations. That's for sure. The colleagues who were with me in the government know that I had repeatedly removed some bill proposals and from the narrow cabinet when we concluded that they needed to be completed, so we don't open unnecessary discussions. And about how it will be in the future, I think that we must work on it and that MPs are elected as much as possible directly, means that citizens decide who they choose, who will represent them in the Croatian Parliament, and that as far as possible they decide by their conscience, by accepting good suggestions. But it seems to me from this perspective that we'll be waiting a long time. As for the perception of the Croatian Parliament, it is bad, it will not improve, because today we have representatives who rarely come, who say nothing, who say nothing, who announce that they will not come to the Croatian Parliament and nothing happens to them.
ParlaMint-HR_2013-06-26-0.u43930	And Joseph Salapic, the replica.
ParlaMint-HR_2013-06-26-0.u43931	Thank you very much, Vice President. Dear Mrs Kosor, I agree with you in the part where you spoke about your proposal that we should strengthen the expertise and capacity of the Committee on European Affairs. This composition, given the great powers that the Committee has received, could so far have worked as to seek quorum, whether someone will come to the session or not, and these are important issues and issues of national interest to our country. And it would be good if all the representatives of the Clubs of Representatives in the Croatian Parliament were not already going as we suggested in the first reading of this Law, which is that regardless of these 6 external members of the Committee, it is true that these members are not obliged and do not have the obligation to come every time to the Committee, there is a higher power and various, different obligations of external members. We also suggested that the Committee be complemented by European law experts because we believe that this solution, given the great powers in accordance with Article 4, is not particularly good for the national interests of the Republic of Croatia. Therefore, this proposal, if the Committee were to step up with all representatives of the Clubs of Representatives, would give me the certainty of the quality and great contribution primarily due to the interests of our citizens. Thank you very much.
ParlaMint-HR_2013-06-26-0.u43932	The answer to the replica of Jadranka Kosor.
ParlaMint-HR_2013-06-26-0.u43933	Thank you very much. We are, of course, discussing the same and it is also on track in the European Parliament and elsewhere in the Member States of the European Union to strengthen the work on committees. Unfortunately for us in Croatia, in the Croatian Parliament it is still on weak feet because we are all witnessing countless times collecting quorums that I was talking about but also about the fact that sometimes there are very important laws and things, there are almost no debates. So, we have to admit that many of us are preparing poorly for the Committee's meetings, and there should be a key political debate, there should be a brush of views and always a ruling one, so those who decide should pass on to their centrals what is there, let alone something smart and constructive for the state to say and try to put it into proposals that come into the Croatian Parliament. However, insist, and here you are, that this Committee, if neither of us are to discuss amendments to the Rules of Procedure, is indeed to be conceived so that the representatives of all clubs sit there, can speak and that we then monitor them. So also in the number of arrivals, inconsistencies and debates. Everything is measureable, and then we can change the members of that committee. And I think that would be a good practice and guidance for improving our status in Croatian society.
ParlaMint-HR_2013-06-26-0.u43934	Thank you very much. We're continuing the debate. On behalf of the HDSSB representative club, colleague Josip Salapic.
ParlaMint-HR_2013-06-26-0.u43935	We don't know if anyone's coming or not, but here we go back to European affairs. It is not good to create here the wrong picture, first of all, for one debate, and then because of these day-to-day political events that are very important, the issue of the importance of the topic discussed today by representatives and MPs in the Croatian Parliament is being debated. What is not good and short I want to look back at that we MPs and MPs in the Croatian Parliament are also responsible for the credibility of the Croatian Parliament, we are responsible for the mandate that we received from our voters in our election units and through this picture of the highest legislative body in the country we send not only to the Croatian public to Croatian citizens and citizens but also to the public of the EU. This is one of the laws that we should firstly pass by consensus in one quality, one joint expert debate because it is not at least a constitutional category of this law, in view of Article 144, it is a historic new chapter in the Republic of Croatia, a Croatian future in the EU, and it is something that is primarily a newspaper, because we are sure that there will be problems with the functioning of the Croatian Parliament, the professional services of the Parliament, the Government of the Republic of Croatia and the people working in the government on European affairs issues. First of all, we are ready to adapt to this part of the adjustment everything we have done in this legal section, and now follow what is said in practice, followed by true problems and true things that will come before both the Croatian Parliament and the Croatian Government. What we must not lose, and the trend is following the development of the European Community, today the EU has since the very beginning so that national legislation or national parliaments in certain times of EU enlargement have weakened the issue of the principle of subsidiarity and this issue, which in a "determined part of the powers" of the Croatian Parliament, is transferred to the European institutions, to the EU institutions and the EU Parliament. It's something that's a fact. But the fact is also that this part of the delegation of power must not lose the dignity and credibility of any national parliament and in this case the Croatian Parliament, the Croatian Government and the president of the Republic of Croatia. We did not negotiate Croatia's entry into the EU nor our European future to convey our national sovereignty to anyone, nor the key national position of the Republic of Croatia, but as for our natural, geographical and geographical position, as well as our political place in the EU, and therefore this long-term job. It should not be forgotten that we are one of the EU countries that has come the most difficult way in the negotiation process and we are sure that every other next member in our neighbourhood that is looking for its European path will have a much easier question because everything that has gone wrong in the most difficult times has gone over the back of the Republic of Croatia. Therefore, we MPs must not forget that this is the most representative body in the Republic of Croatia to spring from our Parliament and come from the Croatian Government and Croatian ministers in the Government and that this is what needs to remain in our national legislation and in our key national interests. We are sure that this article 4 transfers of power to the Committee on European Affairs, which we said in the first reading of this law, if it is a matter of delegation of power, does not mean that in a complete sense these powers are transferred and that the Croatian Parliament will not have anything to do with what the Committee on European Affairs is doing. We have advocated this if it is the decision of the majority, we did not agree that in that part we should give such powers to the Committee on European Affairs without a plenary session of parliaments and without us legislators in key issues at least on the most important issues discussed in the EU institutions as representatives and club representatives. We have proposed and agreed that the Committee on European Affairs cannot carry that weight alone on the basis of the current composition of the board in accordance with current business provisions, but that this committee should first and foremost be filled in by representatives of all clubs in the Croatian Parliament, but what is not accepted and I am sorry that it is not accepted that the Committee consists of 6 external experts who are selected by expertise and by that public invitation, which the Croatian Parliament publishes. We have proposed and it is not accepted that the committee is strengthened and experts in the field of exclusive European law to gain first and foremost the quality of the work of the board, not because it would be a political picture of some new structure in the Rules of Procedure, but because it will be difficult to work on this committee and there will be great challenges for that committee and that it is not enough to have just such a key as it is today, and this is this political one, which, after the election in the Assembly, is chosen on the basis of a certain key, is a member of the committees. We believe that this solution is not good and that it will have consequences for the quality implementation of this law that we are discussing today, which is the Law on the Cooperation of the Croatian Parliament and the Government of the Republic of Croatia in European affairs. Our proposal is also not accepted that this law should have its name and the issue of supervision because the constitutional category mentions the issue of supervision and these are two key thesis. One issue is the cooperation of the Croatian Parliament and the Government of the Republic of Croatia, and the other issue is the issue of supervision, which is defined by the Constitution of the Republic of Croatia, and we believe that this would be a better solution for this law because one side is sure that it is crucial that the Croatian Parliament oversees the work of the representatives of the Government of the Republic of Croatia in the EU institutions. And we are also sorry that that change in Article 8 has not been accepted when it comes to key topics that will be discussed on national interests and issues that will be on the agenda in the EU that the issue of the conclusion to be reached by the Croatian Parliament towards the Government of the Republic of Croatia is acting binding, not as is now this structure that does not oblige the Government of the Republic of Croatia in the EU institutions. We have proposed to amend that Article 8 and it is not accepted in this final text of the law which is not good for us. We also disagree with the different formulation of Article 11 of the final bill where what is said in the first reading is now completely changed, which is that once a year the Prime Minister only addresses the Croatian Parliament on issues and policies and our positions in the EU's common institutions. We think that it is too little to say once a year about a year back on such important issues. It is not good that this article should be reformed and completely changed and returned to those original proposals on the basis of the first reading, but to strengthen Parliament's role through this article of the proposed final text of the law because I say it is also a constitutional category and therefore it is not necessary to mix what is the key, key solution and the Law and the Constitution of the Republic of Croatia itself. And that's why we're pushing for this article to be the 11th... Article 8 is to be amended. [[The speaker doesn't understand.]] We are also pleased that this Article 15th on the issue of representatives of the Republic of Croatia on the common bodies of the European Union is addressed in this way and that this is therefore a hybrid solution that only the Republic of Croatia has. It is good, but we have seen in the first step that we have, in a certain way, chosen our member for the Court of Auditors, so we can say to be embarrassed and we believe that we need to strengthen this control through here this proposed article, above all, a good solution, but that we need to strengthen this control and take care of what representatives from the Republic of Croatia will choose in the joint institutions of the European Union. A lot has been said today, perhaps more than was needed. We also talked about the credibility of the Parliament and the presence of our colleagues representatives and MPs in the Croatian Parliament. We think on behalf of the HDSSB Representatives Club that this is an important and key issue ahead of Croatia's entry into the European Union. We cannot support this final text of the law in this proposed text because there is not a single remark that is given in the first reading but we call on the Croatian Government to do, so there is little time left and it is not good that only a few days before Croatia's entry into the European Union we are discussing this Law. We call on these key articles to amend this final text of the Law on 11th and 8th and 4th. We have until Friday and to make the law above all a good law for all citizens and citizens of the Republic of Croatia. Because we don't sit here, whether the constituency chair is empty or full because of ourselves, but we sit because of the responsibility and trust that we have received from our citizens. And I am sure that this, responsibility and trust can only be justified by quality work in the Parliament and by the very role of the Parliament and by the laws that will first and foremost be in the interest of our citizens and people living in Croatia. And then the question that will show whether our European path is the right path, whether Croatia's membership in the European Union has really contributed primarily to our country, our country, our citizens. If that's not the case, then we haven't done much. We hope that this Final text of the Law will change until the vote and that, because of the interest of all, we will find a consensus in these key issues. If that's not how we do this final text of the law, we won't support it. Thank you very much.
ParlaMint-HR_2013-06-26-0.u43936	Thank you very much. Replica Zoran Vinkovic.
ParlaMint-HR_2013-06-26-0.u43937	Dear fellow Salapic, simply to supplement you and if I had my other tool, correcting the incorrect quote would probably be shorter. Since they've picked up those plates and that Rules of Procedure is in effect. But here, first of all, I would particularly like to apostrophe this article 4 and this article 10. So Article 4 is definitely saying that Parliament's powers are being taken over by the Committee on European Affairs, and there's a point, there's no more talking. All these further articles speak about the relationship between the Prime Minister and the Government to the Committee on European Affairs. Thus, Article 10, which states that the Government is obliged to inform the Parliament if it deviates from the conclusions set out in Article 8 of this Law. But it doesn't say what's going on, which is to say the penalty. There's no punishment. So he can and doesn't have to. And the most common will be the case I won't. Report. Now, on the other hand, perhaps this, today's defamation of the Government of the Republic of Croatia, I would not say Croatia as a whole of the Croatian people but as a Croatian government. Because this is not a Beyonce concert, so Beyonce cancelled this visit, not a visit, but a concert in Zagreb, but a visit from the Prime Minister of the Federal Republic of Germany who cancelled for the sole reason. For the sake of the yawning carried out by this government. And that's it, that's the only truth and the only story. It is also the law of diletantism, javaluk and all that the Croatian language in all its visions can say about a law that degrades this Croatian Parliament.
ParlaMint-HR_2013-06-26-0.u43938	Thank you very much. Reply to the replica Josip Salapic.
ParlaMint-HR_2013-06-26-0.u43939	Thank you, Vice President. We have repeated this many times today, but the truth is that instead of being a constructive one today, we can say, this week it will be a solemn week of work of the Croatian Parliament a few days ago Croatia's entry into the European Union we will get such a political slap in one of the worst ways possible and we will do it to ourselves and for unknown reasons. Those who have done so know for themselves and those who have done so return Croatia to the past and not to the future. And we're all drilling into that our future is in the European Union. I agree with you and we are on behalf of the Club of Representatives and we said that we should not weaken the role of the Croatian Parliament in this proposal, because that is, we also said in the debate, but through the Lisbon Treaty it is mentioned differently that the roles of national parliaments should be strengthened rather than weakened. That is why we have proposed a different formulation of Article 4, we have proposed a different formulation of Article 8, and we have suggested that, since we do not have a majority as an opposition, but we can give a constructive discussion of our contribution to a better law to strengthen this Committee with additional experts in the order of those who deal exclusively with the area of European law. And unfortunately, all of our proposals from the HDSSB Club and other opposition clubs are not respected in this final text of the Law. And that's what's not good. We said that one quality government and quality laws should first of all oppose a quality opposition. We need to strengthen the quality and expertise of the government's work through our discussions. Not every criticism of criticism sucks. Some criticism, some proposal should also be made for the reason that what is proposed and what will be concretely implemented in the Republic of Croatia has, above all, the benefit of those who live in our country, are our citizens. If that's not the case, then we really talk to ourselves and do no good to anyone. Neither our country nor our citizens, and we are doing great debauchery and great shame on Croatia through some of these historic days ahead of us which is certainly not good and I am sure that you and all the other representatives agree that we did not need it today. Thank you very much.
ParlaMint-HR_2013-06-26-0.u43940	We're moving on to an individual debate. The first is a colleague, Branko Vuksic. Here you go.
