ParlaMint-HR_2013-07-03-0.u35509	Here you go, Zeljko Reiner.
ParlaMint-HR_2013-07-03-0.u44900	Thank you very much. Now we have five replicas and since we have a significant number of replicas for each club and we have a lot of reports we're going to do without a break, to do this item on the agenda today. First in line, here you go, Comrade Shucker.
ParlaMint-HR_2013-07-03-0.u44901	Did this, Madam Vice President, begin the application of the new Rules of Procedure to announce the work schedule for that day at 11 o'clock? So if you're going to replicate there won't be a break, if you don't want to replicate there's going to be a pause. I think this kind of thing, if we've agreed before, I think it's time for them to make a deal today. The second thing, it was known to be the point of the agenda, that it was very interesting and that it would likely be open and debated about it. I don't think this practice just isn't good and it doesn't lead us any good.
ParlaMint-HR_2013-07-03-0.u44902	We cannot determine in advance how long the debate will take, and since we do not apply that provision in the Rules of Procedure to shorten the debate, I do not think there is any reason why we should not make or work without a break today. Comrade Lesar, here's your replica.
ParlaMint-HR_2013-07-03-0.u44903	I agree with you when you expressed concern about the government's great powers in implementing part of this law, and in particular Article 17. But the answer to your question, namely the background of that fear, is to say that Motovun forest in meadows beneath Motovun as well as the Mur forest in Međimurje by applying Article 17 can be excluded from the forest base and sold to a private owner. As spatial planning documentation is being brought in in Croatia, we are well known to all of you, and you know well how it was in Istria for... But the answer to the question of who should oversee the government in the implementation of this law is in the Constitution of the Republic of Croatia, in Articles 2 and 52. [[The speaker doesn't understand.]] For example, in Article 2(2) of the Treaty on the Functioning of the European Union, the European Union and its Member States, of the one part, and the United Kingdom, of the other part, of the other part, of the other part, of the other part, and of the other part, of the other part, of the other part, and of the other part, of the other part, and of the other part, of the other part, and of the other part, of the other part, The Constitution states that the In Article 52(2) and paragraph 1 of the list of special values protected by the Constitution, it states that the law lays down the way in which goods of interest to the Republic of Croatia can be used and exploited. But it does not foresee the government's right to transfer this good into property to give someone the right to acquire ownership of neither the sea nor the sea nor the waters nor the forest, nor the sea's good, nor the animal's world, the cultural goods. And this law, beyond that provision, allows the Constitution to give itself to a person the right to ownership of the protected goods referred to in Article 52. The Constitution.
ParlaMint-HR_2013-07-03-0.u44904	Replication response, Damir Cain.
ParlaMint-HR_2013-07-03-0.u44905	Yes, Mr. Lesar, you address the wrong address when you mention the Motovun forest or the Međimurje forest. But I agree with you, what happened in Istria, mostly recently before the amendment of the Agricultural Land Act, where a square de facto was sold for the equivalent of a cigarette is something that is better forgotten even though under quotes it "exempt" and tried. Where a thousand squares were sold for an equivalent of 5 pcs of cigarettes should also be condemned. Where individuals bought tens of hectares for a dozen salaries, they later urbanized it, and now they have value in assets measured by millions of euros is something that is certainly needed, what should be spoken of. I'm absolutely in favour of installing surveillance instruments in this law. I want to believe that the intensity of the promoter, meaning the Government of the Republic of Croatia or the RES, is, firstly, to speed up the procedure, parallel to the crime, and in some ways simply to stimulate one additional economic activity in these Croatian areas. Do not favor anyone, prefer no one, but simply allow people to work and not be prevented by administration or procedure in their intention.
ParlaMint-HR_2013-07-03-0.u44906	Ivan Shuker, replica.
ParlaMint-HR_2013-07-03-0.u44907	Thank you very much, Madam Vice President. My colleague Cain, you said in your debate, no one will be favored, no one will be privileged. Now, give me an explanation in accordance with Article 17. How is this supposed to be done? Because that article does not define anything, only unlimited powers are given to the Government. However, it is particularly interesting in paragraph 2 that it says without public collection of bids at market value. Now, some forest land isn't worth a damn, but if you say that tomorrow someone is going to be doing something then that land is worth a hell of a lot. And what is the market value if nothing within a 5 km radius of forest land or agricultural land is not sold? What's the market value? Is that a place where someone can be favored or not favored? Also an evaluation of a court expert who has a number of factors that can be plus and minus. After all, we have this in everyday practice application that you cannot set the price. Therefore, only this provision, paragraph 2. of Article 17, without public procurement and market value which does not exist for certain agricultural land. And finally, when you look at Article 18, paragraph 1, that practically after the government's decision, some government body will again say that the government's decision is fine. It can also, in a certain way, open up space for corruption guessing and all sorts of things. So any undefined provision in the law unfortunately opens up space for some things, and that's why we said that this article 17. It must be clearly defined. And you don't have to call a public tender, you can make invitation offers something in any way to see what the real value of something is. And secondly, we forget that in Croatia we have formed 200 more and some other economic zones that are practically formed on both agricultural and forest land and inspective military properties that the Government of the Republic of Croatia... [[The speakers speak at the same time, of course.]]
ParlaMint-HR_2013-07-03-0.u44908	Thank you very much. The answer to Damir Cain's replica.
ParlaMint-HR_2013-07-03-0.u44909	I agree, Mr Schucker... the questions and probably no legislator of all these issues that will arise will be unable to translate into legal text but I agree that they should be prescribed as closely as possible in order to inconceiv in some way avoid them. Let us only remember the controversy of the Golf Act, and some elements in this legal solution almost remind me of that famous Golf Act. However, what is good is that the law goes to another reading. And I want to believe that no one will benefit, that transparency will be that form in which they will respect the allocation of these spaces to future potential investors. That's why I'm proposing one surveillance where perhaps individual bodies of the Parliament could be involved in order for transparency to be absolutely guaranteed. We should normally fight for as Mr. Bačić said "suitable" projects not for similar projects. God forbid we have capital in the Republic of Croatia tomorrow, or we can direct that free capital from the Republic of Croatia to individual investments, but I'm afraid we won't be watching that story that soon. On the other hand, I ask myself an open question what can Croatia give potential investors at this time? It can give maybe some military spaces or some of those military spaces, it can give part of the forest, it can give part of the agricultural land, etc. And what is extremely important, it can speed up the procedure, it seems, for example, by this law, it must contain crime or corruption and try to win investors by an adequate tax policy, either by itself or by itself.
ParlaMint-HR_2013-07-03-0.u44910	Thank you very much. Branko Bacic, come in.
ParlaMint-HR_2013-07-03-0.u44911	Thank you, Madam Vice President. You said in your presentation that it was good, and you commended it that the strategic project is one that is among other things consistent with the documents of spatial order. That's not true. It's a grave delusion of this Parliament and the public. For what? Because according to a document of spatial arrangement for some kind of project, it is intended to create an urban plan of arrangement or a detailed plan of arrangement. And this law says you don't need it. It is therefore not a strategic project because it meets the criteria, and among them that it is in line with the document of spatial arrangement. However, this provision should be removed from the law and it should be said that the strategic project is only one that is in accordance with the law and is not at the same time in accordance with the spatial order documents. So let me tell you, for example. Now that you mention your Istria Brijuni, do you think it's possible to realize Brijuni I don't know Pineta, Hydrobazo, St. Katarina, Monuments or Muzil that it is possible without a plan of defense. Not possible, this project can be realised on the basis of a location permit some kind of strategic project just for some small plot of a single plot. But to claim that no urban planning should be done for a surface area of 50, 60 hectares where there is no municipal infrastructure, where there is no road, where there is no power, where there is no water, where there is no water, impossible. And you know it well. Therefore, it is not true that this law respects spatial-planning documentation, it is not true but that it goes against it. And secondly, it's not clear to me that you can praise the government for honoring us with the law being in normal procedure. Well, I guess it's normal for the government to send laws in the first and second readings and not the emergency procedures? On the low branches fell this Parliament if it praises the government for the fact that one law is in a regular procedure. I think we have to object not to go to the ER, not to praise the government for honoring us for the law in normal procedure.
ParlaMint-HR_2013-07-03-0.u44912	The answer to Damir Cain's replica. Two minutes.
ParlaMint-HR_2013-07-03-0.u44913	Well, I probably said that it's good that this law goes into second reading, although I agree that the public debate should have been a lot longer than it was. What I have the biggest grudge when it comes to this law is what big potential investors can be in a "privileged" position from those small ones. Those big, say, avoid these urban plans, and this kid's just gonna have to pay for it himself. I claim for some small investor 200 thousand kuna is a fortune that's huge money, as for someone maybe 20 million of those euros or 10 million or 20 million simply kuna. But I agree that investment should begin in a different way to treat and encourage. As for Brijuni Riviera, I have a lot of reservations on them. I don't think that the way it's conjectured is sustainable and I don't think that through such a form that it's almost anything that's going to happen there. But everyone will also agree that we need to enable a potential investor to work. Because if someone invests, it doesn't matter, 10 million euros or 20 million euros or those 100,000 kunas or 200 thousand kunas. This means that this investment will also pay the VAT, that someone will be hired, that a company will be allowed to perform some of the country's or I don't know what kind of work and all of this together simply raises our economy. Yes, once again, it is good that this Law is a delicate law going into a second reading, it would be good that between those two readings are conducted preferably as wide a public debate as possible and if it is possible to achieve any such consensus Although to be honest when it comes to Croatia in consensus I do not... [[Intruder: Thank you.]] [[The speaker doesn't understand.]]
ParlaMint-HR_2013-07-03-0.u44914	Josip Boric, replica.
ParlaMint-HR_2013-07-03-0.u44915	Thank you very much. Comrade Cain, you said in your debate that this government should be monitored, that this government should be supervised, and I'm glad that you're being hunted by these forces that you in the ruling coalition want to oversee the government that you support because you realize something's going on. And wise men long ago said that when money talks, the conscience shuts up. And it happens precisely through this bill of law without predetermined intent whether it is good or not. But what I'm saying is what's been happening in the last month clearly shows that this tsunami investment over the past year and a half has made us all so dazzled that we've started running from the roads that have been routed long ago through clear legal provisions of many laws. And slowly resort to the shortcut system. And when we take the shortcuts as proposed by this Law, it can be very easy for us to end up in the woods. That after that, we won't know where to go. Because the time has come, we have entered the European Union to make it clear whether we want to comply with the laws that have been passed in this House, or whether we want to invent shortcuts all the time. I remind you of last week when we invented a shortcut in the Household Activities Act where everyone can now deal with tourism regardless of what we have so far. Investors will not come to the Republic of Croatia because of this Law. They're clear and unequivocal. Now, I think we're somewhere 58 per table on the competitiveness of global economies. After this law is passed, we'll be no. 58. We'll be the last, 60th.
ParlaMint-HR_2013-07-03-0.u44916	The answer to Damir Cain's replica.
ParlaMint-HR_2013-07-03-0.u44917	Here, I think we'll all agree together that both this and every government should be monitored. And our ministries all ministries need to be monitored. Every body of public authority needs to be monitored. We also need to be monitored by the work of the Parliamentarians. So you need to monitor and... And that's why we have those annual reports that we can use for that purpose. [[The speaker doesn't understand.]] The D.A. needs to be monitored. And I think that surveillance is just essential and that the most important thing in all of this is just our public. But what it's really about. For two years, we should have said one or a year and a half of this legal text came before us. In the last year and a half, none, under quotes of a larger strategic investment, has almost been realised. But it hasn't been realized in four years, and we just have to be honest and admit it to ourselves. We simply need to do something, make it easier for this potential investor that some business in this country in that forest of administrative barriers can happen. And for the third time I'll say if we want to run this country, it's not just big enough, but in the same way we need to approach these small investors, or those small investors. That's how I experience this law. Whether this law will pull any new investments I don't know, but I know you should ease the procedure. And that's one of those assumptions that something's starting to happen in these rooms. But if we have bodies that have one enormous power but, as I said about the pay phone, both from the government and from the Ministry and from the President of the State and from the President of the Parliament and from these and from those bodies, then we need the control mechanism to incriminate them in some way so that they don't come out of those quotes so that the Istrians can say the furrows.
ParlaMint-HR_2013-07-03-0.u44918	Thank you very much. Stjepan Milinkovic, replica.
ParlaMint-HR_2013-07-03-0.u44919	Thank you, Madam Vice President. Well, my colleague Cain agreed with you when you said that Croatia is not only running major projects, but that attention should be paid to both small and small. But what I'm saying is, in reality, it's not like that. A short time ago, we were in this High House discussing the Law of Turning. When 83,000 craftsmen expressed their comments on page 9 and of course it was not respected. And it comes to 200 grand, 200 grand there's employees and a huge job loss. It's a similar situation with family farms that collapses 10 to 20 every day because of this government's disastrous relationship to agriculture, towards the village. And it's about agriculture as a strategic branch, and the people are full, and they're sick and tired of this strategy, the strategic branches. They expect deeds. Well, that's what you promised in program 21. You didn't promise 25% of the VAT, you didn't promise 20% of the power increase. And now, here we read today in the media that the economy minister says electricity needs to be cut. So what's the price of electricity going up when there's room to go down now? I don't get that at all. Indeed, then, these questions had to be answered long before. Thank you very much.
ParlaMint-HR_2013-07-03-0.u44920	The answer to Damir Cain's replica.
ParlaMint-HR_2013-07-03-0.u44921	There are only flowers left behind your government, dear colleague. Here, just the flowers. Where your foot really passed there, there all shines, all the flowers of the Intruder don't understand./... All growing up, growing up, the Istrians would say fishers, dragons.
ParlaMint-HR_2013-07-03-0.u44922	A little humor. On behalf of the National Minority Representatives Club, Danesh Shaw.
ParlaMint-HR_2013-07-03-0.u44923	Madam Vice President, colleagues and colleagues. I would like to say a few words about the proposal of this law, and I would like to point out in the introduction that it has been mentioned a lot lately and also here in this assembly, and otherwise in the means of communication, etc., that sounds very nice, creating an investment climate. I think we're all behind this, and that's good, I think it's really high time we created this investment climate, and in my opinion, by studying both the reasoning and the individual parts, the members of this bill, I think that this law is, in some way, in order to create an investment climate. Of course, the investment climate, what colleagues have just pointed out, at the highest level and this is worked out here in several articles related to criteria, to select from 20 million to 150. Then the Government set up a certain commission, the commission set up an operational group to do the job, I don't want to comment on it, and at least convince some of the contents of certain members of that law, and I think it's really on this trail if it works out to say that this investment climate is going to be created positive. There will certainly be some problems, but certainly it is good and it is one great incentive to create such a climate. It may only be concrete to read this point 11 in Article 11 where it states that members of the task force in that task force are representatives of the local and regional (regional) self-government units, are responsible for their own head or mayor or mayor, who are responsible for the implementation and urgency of the procedures in this section. It seems a little abstract to me. We, Commissioners, and I am one of the mayors or mayors, etc., what will in practice look like our responsibility because we are somehow responding to voters. Now it is likely that it is the operationality and speed of these people who will work in these operational groups from this local and regional self-government. Now I have said a few words about this positive climate, or I estimate that it will contribute to the creation of a positive climate. However, it is very interesting that the introductory part where an assessment of the situation is given and for the first time, at least for me, has in one place listed in fact how many legislative regulations predetermine and influence the efficiency, on speed, implementation of these projects. There are 16 of these different laws here, and I don't think there's a few other things that I'd like to say that they're not even listed that they can hold back or make this whole situation very difficult for certain investments. What is very important to me and that moment I have already pointed out several times here for this speaker, almost 90% of the institutions whether the ministries, whether agencies, which are working to implement these laws, or to issue certain documents, certificates, consent, etc. is centralized with its headquarters in Zagreb and each of the 412 or how many municipalities there are, if it goes into the realisation of the projects, it must address these institutions located in Zagreb. Therefore, I, as chief almost nothing in Osijek, can solve this matter or very little, but all this is settled in Zagreb, and it is not really the same. Allow me, time will allow, there is still so much time to say one particular example now, to take advantage of this pay phone, both in practice alongside the best will of both ministers and the government and the former and present, etc. in terms of this climate that I stress, how in practice this bureaucracy, those people in the second and third order can create vice versa, not a positive but a negative investment climate. My municipality and I set up a public procurement two months ago for the construction of roads. The value of the works is 3 million, it could be said for one municipality a strategic thing because it is a travel network that is very important for access to our orans etc. Among others in the criteria there, the law allows you to ask the bidder in technical documentation to attach, says he may not, but may ask the person who is calling the tender to present his contracts that he has performed in the last five years. In view of the experience and of the performers who complain about whether it is difficult for them to find in the archives some time in those contracts, we shortened it by thinking that it goes to them for three years with the possibility that anyone who competes can normally report that they are interested, to fix, correct, etc. And for a wonderful miracle, there is a lawyer from Zagreb on behalf of a Zagreb firm who, by the way, we have seen no reference for the road and filed a complaint as to why we cut five years to three years. And that was the beginning of the fifth month. We're the nice two months when you can work a lot, 5 and 6 months lost. Yesterday we got a solution from the state procurement commission that they were right, that we were very wrong about it. And I accept that according to these tariffs, that's what we discussed seven, eight days ago. We have to pay 9,000 kuna cost, okay, we can even accept it if that's how it's interpreted. But we're very, very hurt that with that solution was still assigned to that lawyer who wrote on behalf of that firm because they seem to have no legal service or illiterate, so they took a lawyer to pay 46,000 kuna. It's a very big slap for the investment climate. You can imagine that now. Well, it's going to go on now, I don't know what it's going to be, we're not too happy and we're in the mood to pay for it, but obviously now it would have to be one observation that, by any chance, the Minister of Justice is here that a little bit and that tariff established by the Bar of Law that binds to the amount of the dispute, etc. etc. Because that's all on one page and three, four sentences on the other, worth 46,000. It's just that nothing's complicated. What I said instead of three years of five etc. And so one very, very negative climate investment does not work for the government, for ministers, etc. rather than for certain bureaucratic structures. I don't want to go further into the details of bothering you. I can only point out that, there was a colleague of Cain's here talking about it, that he would be very happy if he were to talk about urgency, etc. that it may be extended to public investments over a million kunas, so that in some ways we can use the instrumentation that should be a little bit simple to make that bureaucracy work faster. Because it's finally and consistent here in an explanation. He says very nicely "The law on strategic investment projects of the Republic of Croatia wants to shorten and significantly speed up the processes of coming up with the total documentation necessary to achieve the projects both public and private, which are of strategic interest to the Republic." It would be good to be of strategic interest to the municipalities, because what's for the Republic of 150 million is for my municipality 3 or 1 million, that we also profit from something in this respect. This would be commendable in any case, but I do not know in the second reading whether there is a chance that something might spread and change in this regard. Thank you very much.
ParlaMint-HR_2013-07-03-0.u44924	Thank you, too. We have two replicas on your exhibit. The first one came from Stjepan Milinkovic. Here you go, buddy.
ParlaMint-HR_2013-07-03-0.u44925	Thank you, Mr. Vice President. Well, colleague Shoja, I'm glad you talked in this High House about the problems that the mayors of the municipalities face and how it works. Also, you've expressed a certain let's say restraint on the investment climate and these major projects. Well, it stands anyway, because if we just mention these commissions and these operational teams. If we think of a short time ago about the availability of agricultural land which is the ratio in these committees, what is the ratio and what will be the impact of these people from local self-government, which will be an impact and what way of voting will be to benefit the units of local self-government. And imagine now he says, he's going to have to report to the chief on these agreements and on those talks. We didn't even know we were so powerful and so significant. In reality it won't be, and the other thing about quality, the quality of these investments that are offered, let's say in our rural ones that are many times questionable qualities, and then they would have to convince us that it's good, that it's excellent. We are interested in the part where we are strongest, which is in agriculture, mainly in rural areas, to preserve this strategic branch, and not to bring it to these branches that it has reached that village before the break and that there is indeed no strategy. Thank you very much.
ParlaMint-HR_2013-07-03-0.u44926	Thank you, too. Answer me, colleague Shaw, go ahead.
ParlaMint-HR_2013-07-03-0.u44927	An esteemed colleague, very briefly to answer a little of what you've been saying, and I'm glad. But in fact, it could be summed up in one sentence that both this law and some other regulations and rules must actually be regulated, brought simply for the reason that part of red tape does not do its job or does not work up to speed. It just comes down to it. If everyone did their job and in record time, maybe a lot of things shouldn't be doubled in regulations. Thank you.
ParlaMint-HR_2013-07-03-0.u44928	Thank you, too. And another replica, Dujomir Marasovic. Here you go, buddy.
ParlaMint-HR_2013-07-03-0.u44929	Mr. Vice President, you said that it was practically the officials of the second, third echelon, bureaucracy because of the ineffectiveness of the state. I couldn't agree with you. It's politics and bad laws, and bad laws are passed here or there's one government, another government, third government. The officers must protect themselves. Everyone, let's say you listed a public procurement, so I'm going to replicate it for you. Anyone engaged in public procurement has been declared corrupt, a thief, an dishonest, adjudicated, in advance, that the process has begun. And every clerk has to protect himself because he's going to be reported to the DORH, he's going to go to jail. So we are invited here to fix the laws and simplify the laws. I want to tell you right now that I think the Public Procurement Act is a bad law, that it needs to be processed and simplified. Whoever wrote it made a Ph.D. on that very law, and he had to hold the stands to enforce that law. He's a de facto cause of inefficiency of the state, one of the causes of inefficiencies of the state is the Public Procurement Act. It needs to be modernised, simplified, shortened, etc. Well, then the clerks are working under that law. And how will the clerks work rather than by law? It says there for five years, you didn't put it, and who's gonna take responsibility? Well, they're not fools to themselves. It's not the rank that's wrong. It's our fault here.
ParlaMint-HR_2013-07-03-0.u44930	Thank you. We have an answer. Here's my colleague Shaw.
ParlaMint-HR_2013-07-03-0.u44931	My colleague, I'll answer that very briefly. With one part of this finding of yours, I agree, but it is obvious that ministers and their assistants and deputies or state secretaries as they are called are changing, and you have a certain structure that hasn't changed for 10, 15, 20 or more years. That's the problem. Certainly for the ultimate ineffectiveness of the work of an institution is the head man, that is clear. And what are his options for making radical moves in this regard and for the real service to work effectively, that's another question. And this case, what you mentioned for three years and five years, is a typical example of bureaucratic approach. I'm not a lawyer, but if somewhere it says it can, it's not the same as being prescribed it has to be. So now we can fight to the Supreme Court for 40 or 50 thousand kuna, unfortunately. That's the situation.
ParlaMint-HR_2013-07-03-0.u44932	Thank you. On behalf of HNS representative Natalija Martincevic. Here you go, pals.
ParlaMint-HR_2013-07-03-0.u44933	Dear Vice-President of the Parliament, distinguished ministers, deputy associates, respected colleagues and colleagues. Well, here comes one of the laws that may have been discussed more than any other law in this government's term. And the reason is probably clear awareness that we as a state have a serious problem with attracting investment, of course related to this serious problem with the opening of new companies and, of course, the most important problem with the creation of new jobs. All the statistics on investments in Croatia are well known, we have opportunities to listen to them all the time, I believe that fellow Milosevic, who is behind me, will remind us of them in his discussions. But of all the numbers today, the number of unemployed people is clearly saying that the first and basic task of this government is to change that. And in this sense, the adoption of this law is really important and necessary. In this process, of course, it is our responsibility for the representatives to help this law to be as good as possible, as best possible and to meet its objective and purpose. Of course he criticises that we are passing this law because the system and administration don't work the way they should be fully justified. Today, we can, of course, discuss who is to blame, whether he who has built and carefully cherished such a system for 20 years or perhaps this reform government does not implement quickly enough? However, we will not come to a solution and repair the situation that we need to fix urgently. Because the facts are clear, we are a state that is not eligible for investment and by foreign investors, foreign embassies, the government, we have opportunities to keep listening. They have, in fact, counted very precisely all the problems they face and can't skip. It is good that this government has started to listen to these signals, and in this sense I believe that a major step forward was also the adoption of the Investment Encouragement Act and the improvement of the investment environment, which provides for a whole series of measures and incentives, ranging from incentives for micro-enterprises, tax incentives, incentives for job creation to labour-intense projects. Because here's a recent country in the environment, for example. one Slovakia or Serbia had twice as much incentives on certain projects as Croatia had. And of course that took the investors to other locations, not us. This government recognized it and, in that sense, the law that was passed is extremely good. However, problems are not only in incentives, problems are also in our resolution of property-legal relations, disputes in the adoption of urban plans and, of course, long-term and uncertain public procurement procedures. This is what we were talking about today, so I'm inspired to mention, and I talked about it last week when we had amendments and additions to the Public Procurement Act on the agenda, a very specific varazdin example where the public procurement process was worth 130 million kuna and potential environmental hazards because it was a well-known case of Varazdin waste that lasted for a full year. And this is because of complaints from the company which was rejected from the first to the last appeal procedure due to lack of legal interest. So a company that has no legal interest can delay whether the investment, whether to solve the problem for a full year. Which will certainly say that we can have the best laws in the world, but if the administration doesn't work in a way that doesn't need to be done. Furthermore, what concerns and concerns potential investors are certainly permanent announcements of changes within the tax system. Every potential investor as one of the most important things they will check before starting investments are taxes. And the constant announcements of tax changes create uncertainty with investors. If we decide to introduce a new tax, if we consider it to be a good and smart moment then we need to prepare it well and then we need to implement it. However, the continued extraction of some new taxes and some new charges as a bogeyman from the drawer is not good and works really in relation to investors one continuous and large damage. But aside from all this, without what we are talking about today and it is an accelerated procedure not even accelerated but regular because in the normal investment environment we now have accelerated deadlines under special laws are normal and realistic deadlines, so without clear and rapid investment procedures will continue to run out. This law solves most of these problems in a good and quality way. The law is well-set and I think that in the woods of our legal regulations and barriers it has managed to find a way that will be resolved quickly and naturally completely legally. And I think that the great challenge in the making of this law was certainly to prepare a quality re-applicable document because we have witnessed too many times in examples when certain legal solutions satisfied the form and were generally in a real life completely inapplicable. Now I would briefly refer to a few key things, or those that have been discussed in this debate and in the debate since January when the law first appeared most discussed. So big investments why only big investments are being helped? Large investments are in no way neglecting the importance and impact of the smaller ones, however, of more significant interest to the state, and this is because of the high investment, the wider impact on economic activity in the country and related and greater employment. Large investments are always bigger or smaller, but they always involve smaller and medium-sized entrepreneurs. According to some expert analyses, one large project employee generates as many as 4 to 8 employees as those involved in the project. And, of course, great investment always helps develop infrastructure from transport, municipal, energy, etc. Also, the paper that is extremely important in relation to the first bill is that strategic investments are considered to be all investments greater than 20 million kuna, which are in assisted areas or in islands. As far as the total investment is concerned, however, it is not disputed that both the Government and all institutions must treat all investments and the adoption of this law in no way be a signal to the Government that everything is now settled. The government must continue even faster and even more up-to-date with the systemic changes that ultimately must lead to us one day not having to need this law because the system will function and this should be the goal of this government. The government set up a clear economic concept in its first year of office. For him, in the first year of the term of office of the Ministry of Economy, all the preconditions for realisation were created and a proactive government policy is now indeed expected to realise the plan and all the projects involved in it. Because it must not continue the practice of past governments that our projects stand for a largely vague reason for years. It must not happen to us that a big project like IKEA is 16 years old, that one signature from the Croatian highways waited for 4 months, that the Srdja project stands for 5 years, that projects like Omble stand because someone is playing with environmental studies for months not to say for years, so it will drive away any serious investor or bank who had the intention of supporting it. And there is an important and crucial role for the government to stand behind the projects it has decided on. Certain projects, especially from the energy sector, were part of the plan that led us to the elections. These projects are part of this government's strategy and they must be implemented as such. This is about Croatia at the moment with important projects, and these are projects that carry both industry and our construction sector, and these are projects that carry jobs, and this is how this government should be set up. In this regard, the adoption and implementation of this law should be taken into account. In fact, it's really our last time to start an economy and attract investors. It is good that this law goes in two readings although honestly speaking the procedure since January, and now it will end in September too long. This is an important law, however, well that until the second reading so that all these remarks that were given here could be well considered and some of them could be adopted. We have discussed and heard on the Committee on Economy the remarks concerning additional and unnecessary administration with various certificates, I agree in that part and I think that we need to adopt the experiences of the EU countries and I believe that we will be able to improve that law further. So, in conclusion, with the Investment and Investment Environment Encouragement Act, with the work of the Investment and Competitiveness Agency, which works on a concrete principle, with the government's active and determined policy in the realisation of projected projects and, of course, a favourable wind of EU membership, I believe that we can reverse the negative trend and ensure investment and therefore economic growth. Therefore, the HNS Club will support the adoption of this law. Thank you.
ParlaMint-HR_2013-07-03-0.u44934	Thank you, too. We've got a lot of replicas. The first reported to Domagoj Milosevic. Here you go, buddy.
ParlaMint-HR_2013-07-03-0.u44935	Thank you, Mr. Chairman. Dear counterpart Martincevic, so I agree greatly with you, but this government has not taken any structural reform that we must stress. This law is not structural reform anyway, there is no dilemma. And the fact that this government hasn't done anything in the past year and a half is the fact that, as you know, we are unfortunately reduced to investment garbage. And as for the cemetery and riots left by the HDZ government, the fact is best spoken of by the two quarters of economic growth in 2011 and minus 2% the result of the current government in 2012 and the fact that, as far as the riots are concerned, we have started and completed negotiations with the European Union, however, this has not been recognised in recent days, but never mind, history does not forget.
ParlaMint-HR_2013-07-03-0.u44936	Thank you. We have a reply from colleague Martincevic, please.
ParlaMint-HR_2013-07-03-0.u44937	Well, I knew that a fellow Milosevic would go straight with the numbers, so I would remind myself of the investments and competitiveness of some figures. For example. The figures from 2008 to 2011 when investments in Croatia fell 30% and their share in GDP by an additional 27%, which, of course, speaks enough about how much it was at the time and how it was about HDZ's investment.
ParlaMint-HR_2013-07-03-0.u44938	Thank you. Next replica Tomislav Klaric. Here you go, buddy.
ParlaMint-HR_2013-07-03-0.u44939	The Honorable Chairman, colleagues and fellow MPs. Here's Mrs. Martincevic. She said well that the government was starting to listen. And that in a good and quality way he solves problems. What I can agree with the representative is that we all looked forward to such a law. The only thing good about him is his title. What we can't agree on is that he has criteria, that the criteria are good. Why? Because according to the first criterion, the only one I could respect the moment my associates and I opened it up is good and writes according to the documents of the spatial arrangement. And then we remained found when we saw Article 28 that directly moved the authority of units of local and regional self-government, since local and construction permits and useful permits for such projects were issued without the obligation to adopt such spatial documents. As for the criteria mentioned in the monetary amounts at 150, 75, 20 million kunas, these are not exactly criteria. The criterion in my opinion would be exactly what this Law stipulates that it should contain the Government's decision in that decision where the description of the projects, objectives and impacts... to the economy which such projects will receive. [[The speaker doesn't understand.]] I'm telling you this from experience, not with the intention of criticizing neither the Government nor this Law, but I don't think this whole Law and I can't agree with you that it's set up the way one of these laws should be to encourage some kind of development. And yet another danger to the great law, on the speaker before me and touched Article 17(2) of the property, the assessment of the court witch to whom, which and how. When we associate with this article that deletes the adoption of spatial order documents, then I read this Law. I'm really scared. [[Intruder: Time.]]
ParlaMint-HR_2013-07-03-0.u44940	Thank you. We have a reply from colleague Martincevic, please.
ParlaMint-HR_2013-07-03-0.u44941	Well, you've counted a lot of things here now. If you have some good and quality suggestions here is the Law in two readings, you have the opportunity to present them in your debate, you have the opportunity to give them both to the Government and in the form of amendments. And if they're really good and good, I believe the government will adopt them as such. This Law itself, of course, will not attract and encourage economic growth, but it will solve a major problem that we have been facing for a really long number of years, which is that we are a country that has a tremendously large number of administrative barriers, an awful lot of obstacles to investment, and as such we are absolutely unattractive to our and foreign investors. In fact, it is the basis of this Law to amend this very procedure and of course the systematic and structural reforms that need to be implemented are very important that one day this very law would no longer be necessary.
ParlaMint-HR_2013-07-03-0.u44942	Thank you. Next replica Goran Maric. Here you go, buddy.
ParlaMint-HR_2013-07-03-0.u44943	Thank you very much. Mrs. Martincevic, you said that statistics on investment are known, but you did not say that these statistics are extremely negative. In 2011, total foreign investment amounted to almost two billion euros and in 2012, only 300 million euros. And this government, the Kukuriku government told the government when she came to the government to have a vision, to have a strategy and to have good intentions. And these extremely poor results that I'm not talking about economic activity show that the vision didn't come true, that there are no strategies and maybe they're just good intentions. Because the strategy was to invest in public enterprises and to make the main investment project holders public enterprises, which is why even 30% of the electricity prices have been collected once. To this day, the same minister would impose a cost of electricity. Of course, it takes investment law, but not the strategic investment project law. There must be no law discriminatory law, and this one indeed is. What are the benefits of the big ones compared to the little ones? We need investments, not just strategic projects. It is therefore necessary to have a general Investment Act, in particular on investments in production activities. Because we can't fall into a trap, because there's a trap that some investment projects that can open jobs, new jobs actually close existing jobs. And Croatia needs new jobs without the closure of existing jobs and most of the projects so far have been because it avoids investment in production. Thank you very much.
