ParlaMint-FR_2018-12-20-O1113.u1	The next item is the discussion, for final reading, of the 2019 Finance Bill (No. 1545, 1550).
ParlaMint-FR_2018-12-20-O1113.u82	I will start with the end: Members of the running Republic Group will not vote on this motion, I suppose you will not be surprised. I will not repeat what the rapporteur-general has said very well: with 10,000 amendments, hundreds of hours of discussion, the work has been done and well done. This budget is a good budget, which aims to solve – from this point of view, Mr Coquerel, I agree with you – one of the endemic problems of the French economy: that of the unemployed excluded from the labour market. On all the benches of this House, we wish to be able to put them back to work, but what differentiates us is that we do not agree on the solutions. You continue to think – what I respect, while in total disagreement with you – that companies and employees are in opposition. We continue to think – we campaigned on this subject, we were elected for it, and that is the policy we are implementing – that companies and employees are in the same boat, and that we can help French companies create more value, more jobs and more purchasing power, and at the same time improve the purchasing power of employees and the employment situation for those who do not. [[Applause on several benches of the LaREM group]] [[Applause on the benches of the LaREM group]] I want to correct a mistruth. You say we give companies a gift with overtime. We must be clear: we do not lower the employer burden on overtime. Some companies even blame us for that sometimes. We therefore do not favour the substitution of employment with overtime; We simply allow companies to distribute more purchasing power to employees, which is a very good thing.
ParlaMint-FR_2018-12-20-O1113.u83	Mr Gilles Carrez has the floor.
ParlaMint-FR_2018-12-20-O1113.u84	Members of the Republicans Group will obviously not vote in favour of the motion to reject it beforehand. However, I would like to draw your attention to the singular, unique nature of definitive reading. In a few days, I think it's never before seen, the budget deficit will have been increased by almost EUR 9 billion. It now stands at 107 billion euros. The deficit has not been so high for ten years. What does that mean? In 2019, our public debt will be over 100 per cent of GDP. Thus, due to the lack of savings, all these expenses are transferred to future generations. At this level of debt, we will face a real danger in terms of risk premium, a problem encountered not so long ago for the Spanish debt and which now arises for the Italian debt. Ministers, you are taking disproportionate and foolish risks in terms of financing our deficit, which, I would remind you, is covered by two thirds by foreign operators. In addition, the adjustments that you propose to us are very worrying because obviously insufficient. For example, neither the energy cheque nor the cost side nor the tax burden of overtime are taken into account in terms of revenue losses. Above all, you do not take into account the downward adjustment of the growth prospects.
ParlaMint-FR_2018-12-20-O1113.u85	That's right!
ParlaMint-FR_2018-12-20-O1113.u86	As INSEE told us at the beginning of the week that growth is likely to be limited, alas, to 1.3% in 2019, you keep your initial assessment of 1.7%. The growth of 2018 will also be much lower than expected, but you only take into account the effect of this retraction compared to the forecast, on the basis, of 2 billion euros. [[Applause on the benches of the LR group]] I mean my great concern for our public finances and the irresponsibility we show for future generations.
ParlaMint-FR_2018-12-20-O1113.u87	Mrs. Christine Pires Beaune has the floor.
ParlaMint-FR_2018-12-20-O1113.u88	The Socialist and Related Group will not take part in the vote, either on the motion to reject it beforehand or on the motion to refer it back to committee, as their adoption would lead to an impasse,...
ParlaMint-FR_2018-12-20-O1113.u89	All right!
ParlaMint-FR_2018-12-20-O1113.u90	Exactly!
ParlaMint-FR_2018-12-20-O1113.u91	... knowing that the PLF for 2019 must be promulgated before 31 December in order to be able to pay civil servants in January and collect taxes. However, I would like to say publicly that we share many of the arguments that have just been developed, particularly with regard to wealth sharing and taxation. We consider that the original fault of this government dates back to the 2018 Finance Bill, which included the introduction of the single lump sum levy and, above all, the abolition of the ISF. We have demonstrated, throughout the discussions, that another path was possible, that another fairer budget could be chosen. Finally, I will address my colleagues on the left bench in particular: the fight will continue, particularly in the Constitutional Council, because we have a lot to say about the insinuity of the budget. I am thinking, for example, of the progress made last night for our police officers: this is a good measure for their salaries but I do not believe that it can be translated into the 2019 budget.
ParlaMint-FR_2018-12-20-O1113.u92	Mr Jean-Louis Bourlanges has the floor.
ParlaMint-FR_2018-12-20-O1113.u93	It is without joy that the Group of the Democratic and Related Movement considers this debate. We are very appreciative of the concern expressed by Mr Carrez and we were in favour of other funding solutions, which were put forward last Thursday during the discussion on the motion of censure by our Chairman, Mr Mignola. [[Applause on the benches of the MODEM, LaREM and UDI-Agir groups]] However, we consider that there is an urgent need, that we cannot step back in front of the obstacle. Ladies and gentlemen of the opposition, I think you are all the more comfortable in challenging this budget because you have the certainty that it will be adopted. If it were not to be, you should be accountable to your constituents and to all the French for the inability we would find ourselves in to finance, for example, the activity premium. You have strong arguments, I admit, but there is an urgent need. You have the comfort of being in opposition, but we have the responsibility to respond immediately to the needs and demands expressed by the French. That is why we will vote against the motion to reject it beforehand.
ParlaMint-FR_2018-12-20-O1113.u94	Mrs Lise Magnier has the floor.
ParlaMint-FR_2018-12-20-O1113.u95	[[Applause on a few benches of the LaREM and MODEM groups]] Without adding to that, since the IUD, Act and Independent Group will be speaking in the general debate in a few moments, I am content to say that a motion to reject beforehand has no meaning with regard to a finance bill, only a few days from the beginning of the following year. The State obviously needs a budget to operate from 1 January 2019. As at first reading and again, we will not therefore vote in favour of the motion to reject it beforehand.
ParlaMint-FR_2018-12-20-O1113.u96	I have received a motion from Mr Jean-Luc Mélenchon and members of the La France group to refer the matter back to committee, tabled pursuant to Rule 91(6) of the Rules of Procedure. [[A whistle is heard on the benches of the LaREM group]] Mr Loïc Prud'homme has the floor.
ParlaMint-FR_2018-12-20-O1113.u97	They're whistling us now!
ParlaMint-FR_2018-12-20-O1113.u98	The rapporteur-general was surprised that procedural motions had been tabled, stating that it was technically impossible to amend the text, and Mr Jean-Louis Bourlanges had just said that he was surprised that Parliament was expected to fulfil its role. What is quite surprising is that you so docilely accept that our role is reduced to stamping out finance bills without being able to amend them. Having said that, I come to my point. After the motion of rejection, brilliantly defended by my colleague Éric Coquerel, I am here before you to propose that your draft budget for 2019 be referred back to committee. Perhaps you are not ill-intentioned, perhaps the members of La France insoumée were "too intelligent, too subtle, too technical", I would like to grant it to you. That is why I propose that you adopt a motion to refer it back to committee: in order to give you time for understanding and maturation. Perhaps you are as much as we are in favour of popular ecology. Inadvertence, no doubt, you have maintained tax niches that allow polluters to pollute free of charge. But how can you talk about popular ecology without giving back to the people the billions of gifts given to the rich? It's "too technical," I'll give it to you. How can we maintain an unfair course when 1,400 French industries, including Total, are not subject to the carbon tax and receive almost free rights to pollute via the European carbon market? It's "too subtle," really. Give the ISF back first! This is "too intelligent." Fortunately, after several weeks of demonstrations and general insurrection, you understand. There is no need to go to COP24 to defend the Paris agreement. Let's stay focused on the demands of the French and French. You acted fast and hard. Tuesday, within four hours, you canceled the few most precarious accompanying measures of the transition, then you canceled the cancellation, because the string was too big. Then, in one night, you sent the budget debate. This draft budget does not involve any increase in public investment for the ecological transition, while 20 billion a year is missing, nor is there any additional financial and human resources for the Ministry of the Ecological and Solidarity Transition and its operators, for public research or for climate change education. There is no change in your pro-rich roadmap after the yellow vest movement: you maintain the relaxation of the Doutreil pact, you virtually remove the exit tax, you unindex social benefits. The French want to live instead of survive, and you announce that you want to remove an additional 1.5 billion euros to finance measures they have never asked for. This is what remains of the last night of legislative slaughter. First, with regard to housing, your thermal renovation policy does not follow. What is the logic between the capping of the ANAH budget – the National Agency for Habitat Improvement – and the renovation objectives to date that have not been met? The energy check remains insufficient in view of the more than 12 million people in situations of energy insecurity, i.e. one fifth of the hexagonal population. With a cheque of an average value of 200 euros, it is impossible for households to significantly improve the energy situation of their housing, when it is known that the average heating expenditure exceeds 1200 euros per household. With regard to housing, we must mention the further decline in individualised housing subsidies: with more than 900 million savings by 2020, millions of households will be further plunged into economic and social insecurity. What will you do with these young workers, students, pensioners who will no longer be able to pay their rent from next year? In another register, agriculture and food, the account is not there either. The only measure we can welcome, which I am doing on behalf of my group, is the exclusion of palm oil from the list of biofuels. This measure was taken in high struggle, on the night of Tuesday to Wednesday, against the Government's opinion. But there is no measure in the text to move our agriculture towards a more sustainable model. Yet our farmers are actors in the ecological transition, and we must stop presenting them as opponents of respect for the environment. Agricultural production and respect for the environment are the two sides of an imperative transition to preserve our common goods: water, air, soil. This transition requires strong public actors. The ecological transition requires significant public investment, particularly in research, in order to find ever more efficient and innovative solutions. But again, your majority makes disastrous choices. Why continue to grant "a crazy money", the €6.2 billion research tax credit, to companies that do not advance research? The research tax credit has at most financed the change of title of some commercial directors, who, overnight, become research and development directors, so-called researchers, who seek nothing but the profit of their business. This money would be much more useful if it had actually been spent on research, for example by the CNRS – the National Centre for Scientific Research – who is in dire need of it. We are investing only about 1% of our GDP in research, which is far from enough for the ecological transition objectives that we must meet. It is a sign of a lack of political will. By comparison, the Nordic countries, at the forefront of the search for innovative solutions for the ecological transition, spend up to 3% of their GDP on research. With the budget we are going to vote on, we are very late. We need strong public actors to propose solutions to the release of glyphosate poison; we need strong public actors to fight junk food, a modern scourge that kills every day; We need strong public actors to get out of nuclear power. And yet, you choose to cut within the perimeter of the ecology, to remove posts in the ministry and its operators. These are losses of human, technical and material resources, losses of skills that we cannot do without. Of course, the ecological budget is increasing by €1 billion, but compared to the 34 billion that the ICTPE – the internal consumption tax on energy products – reports, it is a drop of water, especially since in 2019, only 19% of the revenue from this tax allocated directly to the ecological transition. In conclusion, I would like to take the example of a taxpayer who alone symbolizes the spirit and letter of your finance bill, your vision of tax and environmental justice; that taxpayer, or rather, I should say, this non-contributory, is one of those tax fraudsters that Minister Darmanin intends to track down on social networks. So I got myself into a virtual riddle of the Ministry of Finance. The fraudster is sneaky, and it took me a long search – about half a minute – to fall on the pictures of his yacht: you know, this kind of makeshift boat – or rather, I should say, a boat of fortune – that sails with tax-free diesel fuel, this kind of raft whose owner is not officially the owner, because it belongs to a Maltese company: it is more convenient not to pay taxes, whereas this shell of nuts is worth 130 million euros. To make sure the tax police don't catch up with this owner, in case, being as lucky as I am, she unexpectedly fell on her Facebook photos, this ship sails under the Cayman Islands flag. Bernard's boat – or Arnaud, I don't remember his name well – is called Symphony: a poetic name for this ode to tax evasion! [[Mr. Jean-Luc Mélenchon applauds]] Yet it would be easy to play a completely different score, a partition in major tax justice: by establishing, for example, the universal tax, also called differential taxation. In this system, the French citizen, wherever he resides in the world, must pay his contribution according to his means; If he pays less tax where he resides, then he has to pay the difference with the tax he should have paid in France. It would never be just the return of the classic adage: "From each one according to his means, to each according to his needs. » By tracking tax fraud and optimisation, we could recover a few tens of billions of euros recovered in a simple and basic way. When these billions have finally returned to the common pot, that of the general interest, they will allow to write this new partition. It would also be an ecological transition partition. Today, the 1 per cent of the wealthiest taxpayers emit 40 times as much carbon as the 10 per cent of our poorest citizens. And the French will pay four or six times as much carbon tax as industrialists like Total, which is the nineteenth largest polluter in the world! In other words, there are incredible margins for progress in achieving the ecological transition that will benefit all. This is an absolute urgency, as the IPCC – the Intergovernmental Panel on Climate Change – recalled in its last report a few weeks ago: we now have two years to change our course. But from this urgency and common sense, nothing goes back to you: this budget for 2019 is unbroken, without changing its course to try to save an ecosystem compatible with human life. It is enough to be convinced of this to note the absence of our top leaders at COP24, which has just led to a fiasco. [[Mr. Jean-Luc Mélenchon applauds]] This state budget is one more year lost over the two years we have. It is therefore imperative to rewrite it: I therefore request that it be referred back to committee.
ParlaMint-FR_2018-12-20-O1113.u99	In explanation of vote on the motion for referral to committee, the floor is Mr Eric Coquerel.
ParlaMint-FR_2018-12-20-O1113.u100	For two minutes!
ParlaMint-FR_2018-12-20-O1113.u101	It is a pity that my speech comes first: I was hoping to be able to respond to the explanations of vote of the other groups. However, I would like to take this opportunity to supplement my colleague Loïc Prud'homme's precise speech. I would like to return to one point which I mentioned briefly earlier. One thing surprises us: as all opposition groups warn you, you have refused to ease the shock for the local and regional authorities represented by the decrease in the overall operating allocation, which will decrease by 467 million euros, after having already decreased by 3.9 billion in 2017 and 2018. However, it is known that there is a link, in difficult areas, between territorial inequalities and the movement of yellow vests. In the same way, the Senate, following an appeal by parliamentarians from all sides to the Prime Minister in favour of the Seine-Saint-Denis, decided to set up an interdepartmental solidarity fund that would allow this department to recover some money from the wealthy departments. You cancelled this measure with a pen trait, while the Senate and all opposition groups in the National Assembly were in favour of it. I mentioned earlier the question of chambers of commerce and industry, the KICs. You may not expect the Insoumis or the Communists to defend them, but we pledge you not to reduce their endowments: it is a demand that is expressed everywhere, especially in rural areas. Again, you let the opportunity pass, sweeping these requests with a back of your hand. This budget provided you with the opportunity to repair many of the mistakes you made. If there had not been the movement of the yellow vests, you would not even have tried to repair some of them – I am thinking in particular of the increase of the carbon tax. But, once again, we judge that we do not go far enough. Your answer is next to the plate; That is why the Group of the European People's Party supports this motion to refer the matter back to committee.
ParlaMint-FR_2018-12-20-O1113.u102	Mr Pierre Dharréville has the floor.
ParlaMint-FR_2018-12-20-O1113.u103	The Group of the Democratic and Republican Left will vote on this motion for referral to committee. A number of amendments that we had tabled, in order to open up certain horizons by amending this bill, have been declared inadmissible, so they will not be considered in public sittings. We believe that we must go back to this discussion, that we must give it space. A very important debate is taking place in our country: we must live up to the aspirations of greater social justice and tax justice throughout the country. However, the budget you are proposing does not respond to this at all. Over time, you have agreed to move slightly back on some points. That is not enough: we must now move in the right direction. That is why we should give ourselves additional time to debate, to deliberate, to examine these provisions, to examine others. That would allow us to improve this budget. Then you could – to use the expression used by a majority speaker – really vote it with joy. We are fundamentally opposed to the direction of this finance bill. We therefore propose that you open a discussion so that we can really take into account what is happening in our country, and the aspirations that I referred to earlier. [[Applause on the benches of the GDR group. – Mr. Eric Coquerel also applauds]] The Prime Minister explained that today's issues come from far away. He's right about that. This means taking the time for a real reorientation. That is not what you are doing with this finance bill: you are content with light craftsmanship, keeping your course, which is deeply liberal. The Group of the Democratic and Republican Left will therefore vote on this motion for referral to committee.
ParlaMint-FR_2018-12-20-O1113.u104	All right!
ParlaMint-FR_2018-12-20-O1113.u105	Mrs Marie-Christine Dalloz has the floor.
ParlaMint-FR_2018-12-20-O1113.u106	Ministers, I will not go back to the economic data that Gilles Carrez put forward earlier, nor to the arguments he put forward when he put forward the motion to reject it beforehand. I would like to return, more specifically, to certain measures. The President of the Republic recently announced, in his great address on television, that he understood the message of the yellow vests and would show a little more humanity. At least that's what we expected: to be less distant from the French. It must be noted that this message, intended for all our fellow citizens, has not been applied here in the National Assembly. You ministers, like you, ladies and gentlemen of the majority, have a real difficulty hearing the oppositions. It is sufficient to look at certain measures, such as the one concerning the KICs. You cannot say that the solution chosen in this matter is satisfactory! With reductions in taxes allocated to industrial technical centres, you will undermine the competitiveness of companies in innovative sectors. Through the insurance tax on credit agreements, whether it be real estate loans or consumer credits, you will punctuate 600 million euros on households. It is not a measure of purchasing power, far from it! Finally, with regard to the energy transition, you have rejected our amendments to take account of fuels of agricultural origin. You've wiped out all these proposals with a back of your hand. Again, this is a mistake, because the crisis in our country is deep. It is not enough to say that you hear it: concrete steps must be taken to get out of it. This crisis reflects a feeling of downgrading, a sense of abandonment: this is what people in rural areas feel. However, this finance bill does not include any measures in favour of rural areas, far from it. [[Applause on the benches of the LR group]] The Republican Group will not, however, vote on this motion to refer it back to committee, because that is not the solution.
ParlaMint-FR_2018-12-20-O1113.u107	Mrs Patricia Lemoine has the floor.
ParlaMint-FR_2018-12-20-O1113.u108	Unsurprisingly, we will not vote on this motion for referral back to committee, particularly because of the very tight timing that we must respect. We regret, however, that we do not have enough visibility, particularly as regards the development of the government deficit. Nevertheless, we support these emergency measures, which largely meet the expectations of our fellow citizens. It is therefore in a spirit of responsibility that we will not vote on this motion for referral to committee. Of course, we will remain attentive to the implementation of this budget, and to its effect on the purchasing power of the French.
ParlaMint-FR_2018-12-20-O1113.u109	In the general debate, Mr Jean-Hugues Ratenon spoke.
ParlaMint-FR_2018-12-20-O1113.u110	We have arrived at the final reading of the 2019 Finance Bill. Every day, our fellow citizens, especially those from overseas, see public services shrink. Closure of local post offices, hospital beds, classrooms in schools, local courts: everyone is absent from rural areas, working-class neighbourhoods and overseas territories. People see, day after day, that they find it more and more difficult to make ends meet; The less fortunate find that their bank account is earlier and earlier in the red. And in the meantime, you're offering billions to your rich friends!
ParlaMint-FR_2018-12-20-O1113.u111	Yes!
ParlaMint-FR_2018-12-20-O1113.u112	This has given rise to the great social protest movement that we know. In La Réunion, this movement was extensive and strong: you decided to respond by sending the CRS, with tear gas and grenades. Then you parachuted a minister: she announced measures already voted, believing that the Creoles would remain calm! In this budget, much is lacking, much investment. I will only take the example of the budget for the Overseas Mission, which you announced an increase of 10 million euros. All right, but it's a lie, and you know it! Compared to inflation and population growth, the budget does not increase; Worse, it's down 1.2% compared to last year! To stay up to date, 25 million euros are missing. Nothing about housing; nothing about water quality; nothing about the accompaniment of our elderly people; nothing about training and youth employment. ; nothing about widespread poverty and unemployment; nothing about access to health; nothing about the protection of our environment; Nothing to revive the economy. Instead, you have decided to totovate the tax reduction, totovate the companies by removing the unrecoverable VAT, totovate the subsidies on social housing, and I will pass it on. Despite this, the overseas will remain standing, free to think and act in his soul and conscience. By saying this word, free, I can only address a deep thought to my island, La Réunion. Today is December 20, 2018. [[Conciliabules]] On December 20, 1848, 170 years ago, La Réunion was indeed aware of the abolition of slavery. On this anniversary date... please, ministers, it would be nice to listen to me...
ParlaMint-FR_2018-12-20-O1113.u113	Of course.
ParlaMint-FR_2018-12-20-O1113.u114	[[Conciliabules]] ...because a day like today is not like any other day. On this anniversary date, Happy Feast of Freedom to Réunionnaises and Réunionnais! I see that it is not of interest at all to Messrs. Ministers.
ParlaMint-FR_2018-12-20-O1113.u115	You could still listen to the ministers!
ParlaMint-FR_2018-12-20-O1113.u116	[[Applause on the benches of the FI, GDR and SOC Group]] Happy holiday to the Reunions and Reunions who live in the Hexagon. I have a thought for them because many rise at four o'clock in the morning to go to work in the cold, whereas today is a holiday in Reunion because it celebrates the abolition of slavery. I also have a thought for Réunionnais and Réunionnais who live in other overseas or elsewhere in the world. Happy holiday to all the French and to all of you who are in this Chamber.
ParlaMint-FR_2018-12-20-O1113.u117	Thank you!
ParlaMint-FR_2018-12-20-O1113.u118	[[Jean-Hugues Ratenon delivers several sentences in Creole Réunionnais]] [[Applause on the benches of the FI and GDR groups, as well as on a few benches of the SOC group]] Now, let me finish in Creole, please, because today is not a day like any other. I say again: today is not a day like any other.
ParlaMint-FR_2018-12-20-O1113.u119	Mr Jean-Paul Dufrègne has the floor.
ParlaMint-FR_2018-12-20-O1113.u120	[[Smile]] Avoid talking in Bourbonese patois!
ParlaMint-FR_2018-12-20-O1113.u121	We are voting on the nation's budget today, but let it be said with force, ministers: the party is not over, it is just beginning. From this afternoon onwards, we will continue to carry the iron and strongly defend the proposals that we have put forward since we arrived in this House, 18 months ago, all these proposals guaranteeing the cohesion of our country, respectful of republican values, oriented towards the common good and the best to live together. Ladies and gentlemen, this healthy anger, which has animated our people and irrigated the territories for several weeks, feeds our fight for equality and social justice. Hope reborn and began to drive away fatalism; the idea that we can't do anything about it disappears slowly. Create wealth, of course, even if you have to ask yourself under what conditions, but distribute it above all! All our proposals are part of this framework. Let's talk about wealth. Let us be clear: our country has never created so many. But like the vast majority of our citizens, the large number, all these workers, the precarious, the pensioners and the young people do not see the colour of it, there is not much to look for to explain the unique mobilization that our country is experiencing. Our country has never been so rich, I said, which makes unemployment, poverty, inequality, social and territorial divides and the lack of a comprehensive response to the ecological crisis even more unacceptable. Our fellow citizens, whether from mainland France or overseas, aspire to live with dignity and to be respected. They have a legitimate sense of having paid for this crisis for which they are not responsible. They feel that they have been sacrificed on the altar of globalization. They now want their daily lives to improve, especially through a better distribution of wealth. But the finance law for 2019 goes down this aspiration. Rather than facing the mechanisms that lead to an ever greater share of the wealth created by a minority, your budget fuels them! He's putting oil in the inequality machine. He's putting oil on the fire. Indeed, what steps are you taking to stop our country from parading on the podium of dividends distributed to shareholders for several years now? Faced with the cries of the people, you build dikes in order to make the taxation of capital, the ISF, the flat tax, the double CICE at 40 billion euros, and all these measures to the benefit of the small number. The announcements of the President of the Republic that we will be looking at this afternoon are no less than a smokescreen, a bone to eat, a strategy of diversion so that the keystones of your political project are not undermined: the sacrosanct competitiveness of companies and the freedom of movement of capital. So these are the untouchables, your totems that lead you to set up the activity premium, a gas factory that will lead to the financing of this measure for the people themselves. There is no question of touching the most fortunate: this philosophy drives your entire budget. So ask the overseas countries to finance their own development, turning their backs on national solidarity. So you will understand why we will vote against your finance bill. Faithful to our values, committed to the expression of our fellow citizens in the territories, we have approached these debates constructively, tried to engage in dialogue in order to find solutions to our country's difficulties and enable it to meet the challenges it faces. Four guidelines have animated the Communist and GDR MPs throughout the last few months: to guarantee to all our fellow citizens the means to enable them to live in dignity; reinvigorating our public services to ensure both better territorial networking and ambitious territorial networking; fight against tax evasion, cancer of the economy, and reform our taxation to ensure that it progresses both for businesses and for households so that small and large people pay big;...
ParlaMint-FR_2018-12-20-O1113.u122	[[Smile]] I do not know how to take it, Mr rapporteur-general!
ParlaMint-FR_2018-12-20-O1113.u123	It's not a matter of weight!
ParlaMint-FR_2018-12-20-O1113.u124	Ah!
ParlaMint-FR_2018-12-20-O1113.u125	... to succeed in the ecological transition, which implies large-scale public investments that must be financed by innovative instruments, in particular through the creation of a solidarity contribution for the planet. Faced with the certainties of a new world that is crumbling,...
ParlaMint-FR_2018-12-20-O1113.u126	Exactly!
ParlaMint-FR_2018-12-20-O1113.u127	... we are more convinced than ever of the validity of these four guidelines and will continue to carry them, here and everywhere in France, to meet the aspirations of the people. No one can be right against everyone!
ParlaMint-FR_2018-12-20-O1113.u128	Bravo!
ParlaMint-FR_2018-12-20-O1113.u129	Mr François Pupponi has the floor.
ParlaMint-FR_2018-12-20-O1113.u130	Let's make it clear: we cannot address the final reading of this 2019 finance bill without mentioning the movement of yellow vests, which will have marked our budgetary debates to the end. In the Libertés et Territoires Group, we are particularly committed to the defence of social justice, the fight against territorial divides, and the promotion of a sustainable development model, both in environmental terms and in terms of public finances. These are the main issues raised by this movement. That is why we believe that this budget should have answered three questions: is it socially just and economically effective? Does it promote ecological transition? Does it respect our European commitments? We consider that it is not fair, and that is why the Government was forced to urgently, and in some improvisation, provide a meaningful answer to the question of purchasing power through the text that the National Assembly will consider earlier. However, the measures announced raise real difficulties since the main beneficiaries of the desocialisation and defiance of the end-of-year premiums will be the employees of the major groups and not those of the TPE-SMEs. You are therefore increasing the inequalities between the French. And what about officials who won't receive this bonus? You forget five and a half million French people who work in the public service and who have already seen their point of indication stagnating since the beginning of the quinquennium. On the other hand, you are announcing the cancellation of the increase in the CSG for pensioners, but I would remind you that 13.5 million pensioners were not affected by this increase: what are you doing with these pensioners outside of minimum old age? This is a measure that does not solve the problem of small pensions! And then you announced a monthly gain of 100 euros for the people receiving the minimum wage, or finally – pardon – one in two according to your latest statements. To this end, you have allocated EUR 2 billion on the Solidarity, Integration and Equal Opportunities mission to finance this measure, but, as you know, it is insufficient and you will have to go back to it. Finally, this budget is not fair because it does not address territorial inequalities. And if I thank the Minister of Action and Public Accounts for sending us the simulations and the results, they only confirm this: for example, in 2019, the Seine-Saint-Denis will unfortunately lose 2 million euros of DPV – the city's political endowments – while I do not think it is one of the richest departments. Moreover, horizontal equalization stops and vertical equalization slows down with this 2019 finance bill: the numbers are there, and they are edifying. You are making a dramatic political choice by taking the risk of widening the territorial divide, especially since this finance bill foresees very heavy cuts in taxes for chambers of commerce and industry. This will be done at the expense of small KICs in our territories and therefore small businesses. However, the KICs are a local player thanks to their territorial network and, in many rural or landlocked areas, one of the last public services present for the development of these enterprises. That's what you're attacking! With regard to the ecological transition, I will turn to the fact that the Government has announced that it is renouncing the doubling of the premium for the acquisition of a cleaner vehicle, the extension of the energy check and the raising of the kilometric scale before abandoning the abolition of these measures, just two hours later... This shows that, in terms of energy transition, you are still looking for: the removal of the tax advantage for palm oil or the reintroduction of window eligibility to the energy transition tax credit – ISCED – are not enough to mask the extent of your renunciation. I am also thinking of the abolition of the zero-rate loan in the new system, which the Senate had maintained, which will have a severe impact on rural areas. In fact, last year, by mirror effect, you removed the old PTZ in the tense areas, which had a significant impact on the rehabilitation of the existing building. Finally, we regret that this text does not respect our European commitments in any way. These require a reduction of our structural deficit by 0.5 percentage points of GDP compared to only 0.2 percentage points expected before your announcements. You don't respect our European commitments, worse, you keep us away from them! However, our group believes that the emergency measures you have announced were necessary. But we regret that you are so unclear about how you intend to finance them. They still degrade the deficit by 8.5 billion! Behind this figure, there is a concern shared by many French: who will pay the bill? You juggle with the numbers and you lose the French who no longer follow you – just like us, by the way. What consistency is there to discuss a budget even though we are going to vote for 10 to 15 billion euros in additional expenditure just a few hours after the vote on this text? We therefore find this budget to be unethical. On the other hand, your methods often show the lack of respect you have for oppositions and for Parliament as a whole. [[Applause on the benches of the LT group. – Christine Pires Beaune and Jean-Paul Dufrègne also applaud]] We regret that you have not listened more to our proposals. Your finance bill does not provide a lasting response to social or territorial inequalities and does not in any way prepare the future of the country. That is why our group will again vote mostly against the 2019 Finance Bill.
ParlaMint-FR_2018-12-20-O1113.u131	Mrs Bénédicte Peyrol has the floor.
ParlaMint-FR_2018-12-20-O1113.u132	[[Applause on many benches of the LaREM and MODEM groups]] In recent weeks, at the same time as anger was expressed in France, I have drawn the thread of past years: the city center became desert of Varennes-sur-Allier where my grandparents had their charcuterie, while more than twenty years ago, it was still well animated; the memory of this campaign in Haute-Loire where I spent my holidays with my maternal grandparents in Soubrey, a place called Salettes, a commune of 140 inhabitants where there were already no more public services; I also remember Châtel-Montagne, in Montagne Bourbonnais, deserted by his artists a few years ago. These territories where my roots are, where I was born, where I grew up, are not forgotten France: they are France, the one that we love, so diverse by its geography and by its inhabitants, that France to which we want to restore optimism and with whom we want to project ourselves in the future.
ParlaMint-FR_2018-12-20-O1113.u133	The France you are sacrificing!
ParlaMint-FR_2018-12-20-O1113.u134	France is a one and indivisible Republic, with all its diversity.
ParlaMint-FR_2018-12-20-O1113.u135	You're fragmenting it!
ParlaMint-FR_2018-12-20-O1113.u136	I don't know if I understood the French anger, but what I know is that I felt it. I cannot say whether this anger resembles, by far or near, this anger that I also felt when I became aware of the difference in access to culture between rurality and the city, of the difference between the level of training provided by the universities of Paris and those of the provinces, and when I became aware that even if one worked hard, freedom was not always acquired and that the working conditions were not the same for all: I sometimes felt that the democratic debate escaped me. [[Applause on the benches of the LaREM groups as well as on some benches of the MODEM group]] I turned this anger, my anger, into a commitment, first associative, then political: I then committed myself to a project that seemed to me to propose answers in order to reduce the inequalities at the base, so that everyone would regain power over his life and take responsibility. [[Same movements]] This is a project in which sovereignty is strengthened through a European project. What would France be in the world without the European Union? It is also an ambitious project for the ecological transition. This is what this budget continues to say, first of all through, in particular, an increase in the appropriations for school education or solidarity. It is a budget which, with the reform of corporate tax, is taking the path of European convergence, a budget which places an important emphasis on the competitiveness of enterprises and a budget with a strong ecological connotation, even if the carbon trajectory has been cancelled. Yet you know how much I believed in it, and continue to believe in it, because in my view it is a real means of transforming our economic model.
ParlaMint-FR_2018-12-20-O1113.u137	But he must not be punitive!
ParlaMint-FR_2018-12-20-O1113.u138	What this rejection of carbon taxation has highlighted,...
ParlaMint-FR_2018-12-20-O1113.u139	It's all about taxation!
ParlaMint-FR_2018-12-20-O1113.u140	...it is our inability to put in place transitional public policies. The political world is losing the notion of time. I have the impression sometimes that we can only deal with the emergency or the long time, and that we have difficulty managing the in-between.
ParlaMint-FR_2018-12-20-O1113.u141	Maybe it's because you're too subtle and too intelligent?
ParlaMint-FR_2018-12-20-O1113.u142	It is a question of how we go from point A to point B, at what rate and with what adherence. [[Applause on a few benches of the LaREM group]] Very practically, since the issue of vulnerability must be associated with that of ecological transition, we support, in rural areas, relays that are not necessarily thought of, such as the communal centres for social action, which are key actors in our rural areas in social matters. With regard to ecological transition aid, they could be a real information and accompaniment relay for these families as well as for these vulnerable elderly people, whom these social centres are so familiar with. This start of operational response was blown to my ears by angry French people. A word, at last, about our public spending. Last weekend I found in my attic a book dating back to 1989: The Public Impower. He said the same thing: there is too much spending, and the French always have the impression that state taxation is ever more important. Too present or not enough, the state is poorly present.
ParlaMint-FR_2018-12-20-O1113.u143	Finally!
ParlaMint-FR_2018-12-20-O1113.u144	With regard to public expenditure, all reports were written. So let us now take our courage with two hands and reform public spending.
