ParlaMint-FR_2018-09-18-E2012.u1	The meeting was suspended.
ParlaMint-FR_2018-09-18-E2012.u132	The aim of this amendment is to combat tobacco trafficking by foreigners in France. It concerns all our territories, but especially the border regions: we had the opportunity to discuss it with the Members who are elected. The illicit trade in tobacco represents a considerable revenue shortfall for the State, since the trade in tobacco products is tax-free and fuelling the grey economy. It is therefore proposed here to step up the fight against the "mules" phenomenon, these smugglers who carry out a large number of round trips between countries, each time transporting small quantities of products for smuggling purposes. The amendment provides for strong measures against this scourge which, moreover, destroys the fabric of the Buralists without bringing anything back to the State coffers. The law enforcement agencies, with whom I have been able to discuss these issues, often declare themselves powerless in the face of this type of crime that is growing in our country. It is not uncommon, moreover, for police officers to call on the same dealer several times a week. Therefore, the amendment seeks to prohibit from French territory persons who are alleged to have committed one of the offences referred to in Article 10.
ParlaMint-FR_2018-09-18-E2012.u133	All right!
ParlaMint-FR_2018-09-18-E2012.u134	What is the opinion of the committee?
ParlaMint-FR_2018-09-18-E2012.u135	We have already had the opportunity to say so, the objective of the text is to strengthen our administrative capacity to detect and combat fraud. You are proposing here, my dear colleague, a substantial increase in sentence. I am not sure, moreover, that the penalties referred to in section 415 of the Customs Code relate to what you indicate in the summary statement. We will discuss criminal policy issues and the scale of sanctions in the context of the Justice Bill. The opinion is therefore unfavourable at this stage.
ParlaMint-FR_2018-09-18-E2012.u136	What is the Government's opinion?
ParlaMint-FR_2018-09-18-E2012.u137	The Government agreed with the rapporteur that the opinion was therefore unfavourable, for the same reasons. To echo the debate in the Senate and the presentation by Ms. Louwagie of her amendment, I would like to point out that the original Government text did not contain explicit provisions on combating tobacco trafficking or smuggling, nor on tobacco in general. Following extensive work by Gérald Darmanin and the Confederation of Ruralists, provisions were introduced in the Senate to empower customs forces to combat smuggling more effectively. You said, Mrs. Louwagie, that this smuggling was undermining the state's revenues. That's right. It also hurts, as you said, the recipes of the Buralists. In coordination with the Confederation of Ruralists, we have therefore, I said, introduced certain measures in the text, such as the one which sets out the quantities of tobacco transported by an individual from which a presumption of possession for commercial use is established. Many provisions have thus been incorporated; Beyond your amendment, which I am against for the same reasons as the rapporteur, we all share the aim of punishing tobacco smuggling more severely, of being more effective in the prosecution of its perpetrators and in its dismantling. It does not happen a week without the customs forces dismantling networks and seizing exorbitant quantities of tobacco. We are pleased to have the opportunity to salute their work.
ParlaMint-FR_2018-09-18-E2012.u138	There are still very few resources in the border departments!
ParlaMint-FR_2018-09-18-E2012.u139	To return to your amendment, the debate on the scale of penalties must take place at a later stage. In any case, I repeat, we all share the objective of combating tobacco smuggling.
ParlaMint-FR_2018-09-18-E2012.u140	Mrs Marie-Christine Dalloz has the floor.
ParlaMint-FR_2018-09-18-E2012.u141	You are essentially referring to the new Article 10 bis, Secretary of State. Now, through Mrs Louwagie's amendment, we were talking to you about Article 10. You've adopted a plan for the Buralists, I hear you. If he could save 10% of them, when so many others drop the pavilion of their establishment each year, it would be great.
ParlaMint-FR_2018-09-18-E2012.u142	That's right!
ParlaMint-FR_2018-09-18-E2012.u143	But, even if I would like to believe that, unfortunately, this will not be the case. Whether in the department of Jura, Doubs, Ardennes or Savoie, the existence of a border gives rise to these recurring phenomena of traffic. If they do not operate on a large scale, they penalize these territories much more than the others, in addition to the Buralists. They also contribute to small crime and serious crime at the local level. That is what this amendment deals with, of which I do not understand that you are sweeping it with a back of your hand invoking a simple plan for the Buralists. That's not acceptable.
ParlaMint-FR_2018-09-18-E2012.u144	All right!
ParlaMint-FR_2018-09-18-E2012.u145	Mrs Brigitte Kuster has the floor.
ParlaMint-FR_2018-09-18-E2012.u146	I have been asked about the fight against the illicit trade in tobacco. The World Health Organization's protocol signed on 20 November 2015 specifically aimed to eliminate the illicit trade in tobacco, this scourge, especially for young people, which, according to estimates, also represents a shortfall of €3 billion for the State. This Protocol will officially enter into force on September 30th; But, to date, the public authorities have not taken any measures to ensure its proper implementation. Worse, the Government approved the decision of the European Commission to entrust tobacco manufacturers with the task of ensuring the traceability of their products themselves, in clear contravention of article 8 of the Protocol, according to which the parties must establish independent monitoring systems based on existing best practices. How can tobacco manufacturers be given control of their own activities? Do you believe, Secretary of State, that with such measures, the fight against tobacco will be real? I would therefore like to hear from you on this subject and to know when the Government intends to ensure the proper implementation of this protocol.
ParlaMint-FR_2018-09-18-E2012.u147	The floor was for Mr Maxime Minot, who had been inscribed on rule 10 bis.
ParlaMint-FR_2018-09-18-E2012.u148	Whether it is this article or the next one, I can only support it. Indeed, like many colleagues, I am confronted with the legitimate anger of the Buralists in my constituency against the illegal trade in tobacco. But I will not teach anyone here about the role of our bulists in many rural communes: tobacco offices are very often the last trade, the last meeting point for the inhabitants, the last bulwark against the end of any activity in our communes. They have to face unfair competition, which no one disputes: I therefore welcome this increase in sanctions, at a time when one out of four packages is not purchased from a buralist. I agree with Mr Véronique Louwagie's amendment, which attacks buyers. But be assured, Mr Secretary of State, of my great vigilance with regard to the implementation of these provisions. Let me make one final point: without European-wide homogeneity in the price of the package and in anti-fraud policies, these measures are just an overbidding, the scope of which will surely remain limited.
ParlaMint-FR_2018-09-18-E2012.u149	All right!
ParlaMint-FR_2018-09-18-E2012.u150	Mrs Emilie Cariou, in support of Amendment No. 104, has the floor.
ParlaMint-FR_2018-09-18-E2012.u151	Editorial.
ParlaMint-FR_2018-09-18-E2012.u152	I call Mr Michel Castellani to support Amendment No. 128.
ParlaMint-FR_2018-09-18-E2012.u153	The current wording establishes a presumption of fraud when a person transports 800 cigarettes. This threshold seems to us to be really low; We even believe that raising the threshold to 1000 cigarettes would be entirely in the context of personal consumption and not fraud. This is therefore the subject of this amendment. I haveten to add that this amendment does not in any way call into question the need to curb tobacco consumption: these are two different areas. In this case, the adoption of this amendment would have no effect on the number of cigarettes smoked.
ParlaMint-FR_2018-09-18-E2012.u154	What is the opinion of the committee?
ParlaMint-FR_2018-09-18-E2012.u155	The thresholds proposed in Article 10a are the result of bringing French law into line with European Union law. They are set out in Article 32 of Directive 2008/ 118/EC of the European Commission on the general excise system. Since France did not properly transpose this directive, the Court of Justice of the European Union sanctioned us on 14 March 2013. The aim here is to comply with our European obligations; unfavorable opinion.
ParlaMint-FR_2018-09-18-E2012.u156	Mrs Véronique Louwagie has the floor to support Amendment No 42 on the additional Rule after Rule 10a.
ParlaMint-FR_2018-09-18-E2012.u157	This amendment aims to combat illicit sales of tobacco by proposing to create a new contravention in the event of the purchase of a small quantity of tobacco products as part of a saviour sale. Often minor, insolvent, resellers are very rarely sanctioned and can continue their sales activities without being overly concerned by the law. You are proposed to change your logic by sanctioning sellers, of course, through a number of devices that have been implemented, but not only: it is also appropriate to sanction the buyer, who would be forced to pay a fine, the amount of which would be fixed by a decree in the Council of State. It would be interesting to introduce even symbolic repression against these consumers. It is an effective deterrent to ending a harmful situation. You have responded to the previous amendment by making a number of arguments: by listening to you, I felt that you were totally in favour of this fight against the illicit trade in tobacco; However, you have given an unfavorable opinion. Here we offer you additional tools to go even further. There are real issues, especially in cross-border territories: you should hear us on these issues.
ParlaMint-FR_2018-09-18-E2012.u158	All right!
ParlaMint-FR_2018-09-18-E2012.u159	What is the opinion of the committee?
ParlaMint-FR_2018-09-18-E2012.u160	The sale by saviour is already the subject of a violation and is liable to a fine of 3750 euros. Moreover, the Constitution provides that the regulatory power is competent to create new contraventions, without the need for the legislator to intervene. Unfavorable opinion.
ParlaMint-FR_2018-09-18-E2012.u161	What is the Government's opinion?
ParlaMint-FR_2018-09-18-E2012.u162	Same opinion for the same reasons.
ParlaMint-FR_2018-09-18-E2012.u163	Then we're useless!
ParlaMint-FR_2018-09-18-E2012.u164	Mr Julien Aubert has the floor.
ParlaMint-FR_2018-09-18-E2012.u165	This excellent reminder in articles 34 and 37 of the Constitution honours you. It would also be very interesting, in other debates, to remember the prerogatives of Parliament and the administration – this is not always the case since the Government sometimes overflows. Nevertheless, the amendment proposed by Mrs Louwagie was an opportunity to open a debate on the substance: should the shoulder rifle be changed in order to combat the illegal sale of tobacco, by penalising not only the seller but also the buyer, that is, by attacking not only the supply but also the demand? This debate would be interesting because, even if you do not follow the recommendations made by my colleague Louwagie, it is quite possible for you to reorient the policy in Articles 34 and 37. It would therefore be interesting to know the opinion of the Secretary of State on this question: since we are talking about the fight against fraud, do you think, Mr. Secretary of State, that tobacco buyers should be punished by saviour?
ParlaMint-FR_2018-09-18-E2012.u166	The Chairman of the Committee on Finance has the floor.
ParlaMint-FR_2018-09-18-E2012.u167	Since it is a matter of regulatory power, I want to go in the direction of my colleague Julien Aubert: are you going to do it? This is a fairly simple question since the answer depends on you!
ParlaMint-FR_2018-09-18-E2012.u168	Very good question!
ParlaMint-FR_2018-09-18-E2012.u169	The Secretary of State has the floor.
ParlaMint-FR_2018-09-18-E2012.u170	To say that we will take either the decree or the necessary decree in the coming hours would certainly be presumptuous on my part; So I won't. On the other hand, I recalled earlier that we were discussing this subject in a working session; Gérald Darmanin regularly works with the National Confederation of Buralists. It will therefore be necessary to study this subject in order to see how, beyond the sale, the purchase could also be sanctioned.
ParlaMint-FR_2018-09-18-E2012.u171	It's not for tomorrow!
ParlaMint-FR_2018-09-18-E2012.u172	I have before me two identical amendments, Nos 20 and 289. Mrs Danièle Hérin has the floor to support Amendment No. 20.
ParlaMint-FR_2018-09-18-E2012.u173	Defendant.
ParlaMint-FR_2018-09-18-E2012.u174	I call Mr Michel Castellani to support Amendment No. 289.
ParlaMint-FR_2018-09-18-E2012.u175	The General Tax Code lays down the system and the amount of tax fines for the illicit manufacture, possession, sale or transport of tobacco. The purpose of this amendment is to increase the level of tax fines in the case of fraudulent tobacco manufacture, possession, sale or transport. It is of course a question of promoting the fight against illegal practices, but it is also a question of defending public health and better protecting the interests of the Buralists.
ParlaMint-FR_2018-09-18-E2012.u176	What is the opinion of the committee on these identical amendments?
ParlaMint-FR_2018-09-18-E2012.u177	We had this debate in committee. You propose to significantly increase the penalties for illicit tobacco activities, by multiplying by fifty or one hundred the amount of the fine provided for in Article 1791 of the General Tax Code, and by twenty the amounts applicable to offences committed in organized gangs. This seems unreasonable to us and could be considered manifestly disproportionate. On the other hand, I would like to point out that these penalties are in addition to the fines. For all these reasons, the opinion is unfavourable.
ParlaMint-FR_2018-09-18-E2012.u178	What is the Government's opinion?
ParlaMint-FR_2018-09-18-E2012.u179	Same opinion.
ParlaMint-FR_2018-09-18-E2012.u180	Mrs Danièle Herin has the floor.
ParlaMint-FR_2018-09-18-E2012.u181	I withdraw my amendment.
ParlaMint-FR_2018-09-18-E2012.u182	Mr Charles de Courson has the floor.
ParlaMint-FR_2018-09-18-E2012.u183	It is true that to multiply by twenty is a lot. But could the Government still be in favour of re-evaluation? In fact, these sums are often fixed and forgotten for ten years, twenty years, thirty years, and we find ourselves years later with fines that are unreasonable in the other direction. Would you be open to re-evaluation?
ParlaMint-FR_2018-09-18-E2012.u184	The Secretary of State has the floor.
ParlaMint-FR_2018-09-18-E2012.u185	I would point out to the Member of Parliament for Courson that the provisions adopted in the Senate allow for a doubling of the penalties imposed, i.e. a 100% increase, which shows that we have made progress in this area. As it stands, we believe it can be effective. Obviously, as with every provision adopted by your assembly, all this will be subject to evaluation.
ParlaMint-FR_2018-09-18-E2012.u186	As with retirement pensions, for example!
ParlaMint-FR_2018-09-18-E2012.u187	I call Mrs Danièle Herin to support Amendment No. 19.
ParlaMint-FR_2018-09-18-E2012.u188	Defendant.
ParlaMint-FR_2018-09-18-E2012.u189	What is the opinion of the committee?
ParlaMint-FR_2018-09-18-E2012.u190	Unfavorable.
ParlaMint-FR_2018-09-18-E2012.u191	What is the Government's opinion?
ParlaMint-FR_2018-09-18-E2012.u192	Same opinion.
ParlaMint-FR_2018-09-18-E2012.u193	Mrs Danièle Herin has the floor.
ParlaMint-FR_2018-09-18-E2012.u194	I withdraw that amendment.
ParlaMint-FR_2018-09-18-E2012.u195	Mrs Emilie Cariou has the floor to support Amendment No. 88.
ParlaMint-FR_2018-09-18-E2012.u196	Editorial.
ParlaMint-FR_2018-09-18-E2012.u197	Mrs Emilie Cariou has the floor to support Amendment No. 89.
ParlaMint-FR_2018-09-18-E2012.u198	Editorial.
ParlaMint-FR_2018-09-18-E2012.u199	The Secretary of State has the floor to support Amendment No. 215.
ParlaMint-FR_2018-09-18-E2012.u200	I shall spare the House the whole argument. This is a rewrite of a parliamentary amendment, introduced in the Senate, aimed at improving the transposition of the directive of 3 April 2014 and the regulation of 15 December 2017. The purpose of this amendment is therefore to make drafting more effective in relation to the objective sought.
ParlaMint-FR_2018-09-18-E2012.u201	I have before me several amendments, Nos 90, 91, 92, 102, 93, 94, 103, 97, 95, 96, 98, 99, 100, 101 and 247, which can be presented in a consolidated format. Mrs Emilie Cariou has the floor to support them.
ParlaMint-FR_2018-09-18-E2012.u202	These amendments are editorial.
ParlaMint-FR_2018-09-18-E2012.u203	Mrs Sylvie Charière, who is on the agenda, has the floor.
ParlaMint-FR_2018-09-18-E2012.u204	Luxleaks, Panama's papers, Paradise papers and most recently Dubai papers: financial scandals continue to build up and deepen the tax base of states around the world. We will not be able to fight this scourge alone. As we strengthen our legal arsenal against fraud, cooperation among States remains essential for effective prevention, deterrence and enforcement policies. The fight against fraud is also an international fight. By formally including in our domestic law the blacklist of non-cooperative states and territories, the ETNCs, adopted by the European Council, we endorse the unacceptable nature of fraud-related behaviour. But we go further by fully appropriating this list through this article. We anticipate the possibility of modifying it, which will allow us to remain attentive to the behaviour and cooperation of other countries in the fight against tax fraud. In addition, the Government's new obligation to inform Parliament's standing committees with competence in the field of finance and foreign affairs every year of the development of this list strengthens the parliamentary oversight and oversight role in this regard. We therefore bring to this list a real substance in that we add to its sanctification concrete and truly dissuasive fiscal measures and enhanced reporting obligations that will discourage fraudulent transactions by making them more complicated. Finally, I welcome the proposal to discuss this list at the time of consideration of the draft finance law and to include a discussion on the European Commission's analyses concerning, inter alia, the economic and social situation of the Member States. At a time when we need to talk about Europe, we must also show that the European Union's contribution to the effective conduct of public policies has a place in the parliamentary debate and in our national policy.
ParlaMint-FR_2018-09-18-E2012.u205	Mr Fabien Roussel has the floor.
ParlaMint-FR_2018-09-18-E2012.u206	Finally, we are at the heart of tax fraud. I would say: "Tax havens: how to get out of this hell? » Tax havens are 7,000 billion untaxed profits; 35 to 40 identified countries with fortunes, profits, but also the dirty money of drugs, prostitution, organ trafficking. In this general competition to which will attract the most money, dirty money like clean money, there are world champions: Switzerland, Luxembourg, Hong Kong, the Cayman Islands, Bermuda, the Netherlands, Ireland. Banks settle in these tax havens for reasons other than the climate and some are French: the Crédit Agricole, the BNP and the Société Générale, which has administered no less than 1129 offshore structures as revealed by Panama's papers. The stakes are huge for the states, it is huge for France. The recent study by three economists, including Gabriel Zucman, whose expertise is recognized on this subject, reveals that 3250 among the richest French households plant about 140 billion euros in tax havens. While in view of this issue we should be intransigent, you propose that we align ourselves with the European list, from which Luxembourg, Ireland, Switzerland and many other countries are absent from the main tax havens. Palau is a small island of Micronesia with 20,000 inhabitants! [[Vif applause on the benches of the GDR group]] We regret that you did not incorporate the criteria of the European Union into French law. You prefer to include the European list. As a result, we will remain subject to the Council of the European Union, which will decide which country will enter or leave this list. What a loss of sovereignty, what a failure in the face of the challenge we face!
ParlaMint-FR_2018-09-18-E2012.u207	Mrs. Christine Pires Beaune has the floor.
ParlaMint-FR_2018-09-18-E2012.u208	In November 2017, Gabriel Zucman published in Le Monde a forum entitled "40 per cent of multinational profits are relocated to tax havens". On page 302 of your report, Ms Cariou, is the list of ETNCs after the adoption of Article 11. In all and for everything, according to the French and European criteria there will therefore be 14 jurisdictions and among the seven entrants, only Palau – everyone is able to place it on a map I suppose – falls within the offshore criterion. Bermuda, Caymans, Bahamas, Malta, Luxembourg and Ireland, to name but a few, are strangely absent. Europe is the first victim of these tax havens, which is deprived of 60 billion a year, eleven of which are to the detriment of France alone. Beneficiaries are the shareholders of multinationals. Yet so far Europe has not shown a great determination to fight this scourge that is gangrenerating our republican pact. It was only in 2017 that she first adopted a blacklist and a greylist. [[Applause on the benches of the Socialist and related groups]] Is it surprising that more and more citizens are turning their backs on Europe? This is a question that I ask all of us on the eve of the European elections. This will be one of the main topics of the debates that will take place at that time, and I think we would benefit from going a little further this evening by adopting certain amendments tabled by the various groups.
ParlaMint-FR_2018-09-18-E2012.u209	I have before me three amendments, Nos 272, 64 and 149, which can be discussed jointly. Amendments Nos 64 and 149 are identical. Mrs Danièle Obono has the floor to support Amendment No. 272.
ParlaMint-FR_2018-09-18-E2012.u210	In line with the two previous amendments, the aim of this amendment is to redefine relevant criteria in order to establish a list of non-cooperative states and territories corresponding to the actual tax practices of States. In particular, it builds on the recommendations of the NGO Oxfam in this regard. Indeed, the simple transposition of the European list of tax havens will not tackle tax evasion practices since the list now includes only seven states, including no known tax havens. Together with the relevant sanctions provided for in French law, the mechanism that we propose would, on the contrary, constitute a major step forward in the fight against fraud and tax evasion. The proposed criteria are based on tax transparency, BEPS standards as a basis for taxation and profit transfer, and the absence of a harmful tax regime, in line with the recommendations of the Council of the European Union and the OECD. This will make it possible to include in the French list a number of States which should be considered tax havens, but which are currently not included in the list. These practices also exist within the European Union itself: in 2014, Apple paid 0.005% tax on its profits as a result of its residence in Ireland. Similarly, the Luxleaks scandal revealed that 340 companies have entered into secret tax agreements with Luxembourg to support a derisory tax rate. Expanding this list of tax havens will have very specific consequences. According to Oxfam, CAC 40 companies currently own 1,450 subsidiaries in tax havens. However, only ten of them are in one of the tax havens identified as such by the French and European lists. The extension of this list would sanction all of these 1,450 subsidiaries. In addition, this amendment strengthens the weight of Parliament, allowing it to discuss the effective application of the criteria and the list, on the basis of a report submitted by the Government. Finally, the amendment provides for a safeguard clause for the benefit of countries recognised as least developed countries. This common sense amendment should receive your approval.
ParlaMint-FR_2018-09-18-E2012.u211	I call Mr Fabien Roussel to support Amendment No. 64.
ParlaMint-FR_2018-09-18-E2012.u212	By this amendment, which takes up Article 1 of our draft law, which was discussed last March, we propose that you draw up a list of tax havens according to the criteria of the European Union and include them in our law. We had this discussion and I understood that you thought this solution was useful and effective. Unlike you, we propose to integrate them directly into our law, which would allow us to have a hand on their interpretation and to be sovereign in our choices. Among these criteria is of course the offshore criterion that characterizes many tax havens that artificially aspire wealth through a legal structure established in another country. It's a great classic of tax evasion. But we also target all other harmful tax practices: low or zero tax rates, legal opacity, which does not allow us to know who holds the legal structure in question. The number of exemptions shall be reduced to a minimum. There is no a priori exemption from the European states when there is an a priori exemption from your proposal. The only justified exception is that for developing countries, without financial centres, such as Palau. There is no need to target them through countermeasures that would prove to be counterproductive. Transparency, dialogue and debate: Parliament will be involved in an annual debate, which can take place both in committee and in plenary. [[Applause on the benches of the GDR group]] This amendment is also based on all the countermeasures provided for in our General Tax Code. That is the strength of our right. Let's get a real list! Let's mull these two legs, which are the list and the sanctions.
ParlaMint-FR_2018-09-18-E2012.u213	Mrs Marie-Noëlle Battistel has the floor to support Amendment No. 149.
ParlaMint-FR_2018-09-18-E2012.u214	This amendment rewrites Article 11 on the basis of the bill creating a French list of tax havens tabled on 24 January by our colleague Fabien Roussel. In its current version, article 11 makes a very small expansion of the French list of non-cooperative states and territories. In fact, according to the proceedings of the Senate, the French list would have only one new country, Palau, after the adoption of section 11. On March 8, the LaREM majority referred Fabien Roussel's bill back to committee because of the upcoming review of a more appropriate legislative vehicle, namely the anti-fraud bill – we are here. That is why the Socialist and Related Group proposes to rewrite Article 11 by resuming the work of Fabien Roussel, who had in particular been the subject of a very comprehensive report, and by incorporating the amendments he had tabled in the sitting. This amendment proposes a renovation of the criteria for the identification of tax havens provided for in French law based on those adopted by the EU, which correspond to the reality of the practices of these non-cooperative courts, on the understanding that these criteria must be objectively applied and that they would allow certain Member States of the European Union to be included. It also proposes a strengthened association of Parliament, in order to ensure that the institution plays its full monitoring and evaluation role in a highly sensitive area.
ParlaMint-FR_2018-09-18-E2012.u215	What is the opinion of the committee?
ParlaMint-FR_2018-09-18-E2012.u216	These amendments rewrite Article 11 by taking up, with some minor amendments, the operative part of Mr Fabien Roussel's bill, which was sent back to committee last March. They were rejected by the Finance Committee. Rewriting the entire article, they remove the modulation of sanctions, which seemed useful to our colleague Fabien Roussel last March. Furthermore, the proposed criteria are similar to those of the European Union, which Article 11 transposes. The amendments are therefore largely satisfied. On the other hand, they provide that one of the four criteria is sufficient to be considered as an ETNC, the fourth criterion being fulfilled if one of the many sub-criteria is satisfied. It seems to us that this condition is too broad and is likely to affect quite cooperative countries. On the other hand, the criterion related to the assessment of the World Forum may lead to a country not being judged as ETNC even though it may not cooperate with France. I would point out to you that if this blacklist provides for the additional integration of seven countries – one you say, but it is in application of the sole offshore criterion – 65 countries are included in the grey list. Among them are all the states you mentioned, such as Bermuda, the British Virgin Islands, the Cayman Islands, the Cook Islands, the United Arab Emirates, Guernsey and Switzerland. All those States on the grey list must meet a number of criteria for graduation. Otherwise, they will automatically switch to the blacklist. You may doubt the arrangements and the will of the European Union, but we are here. As for Parliament's involvement in examining developments in these states, remember the amendment adopted in the Committee on Finance. Paragraph 28 now provides that "The Government shall annually inform the Standing Committees of the National Assembly and the Senate competent in the field of finance and foreign affairs of the evolution of the list of non-cooperative States and territories referred to in Article 238-0 A of the General Tax Code. This development can be the subject of debate." Opinion against, therefore, these amendments.
ParlaMint-FR_2018-09-18-E2012.u217	What is the Government's opinion?
ParlaMint-FR_2018-09-18-E2012.u218	In addition to the rapporteur's remarks, the Government was opposed to these amendments aimed at creating a new national list of non-cooperative States and territories on the basis of a set of four criteria for the following reasons. First of all, these amendments could lead to a weakening of the French system for combating tax fraud and tax evasion. Indeed, relying on criteria relating to the exchange of intelligence, such as the positive rating of the World Forum and the ratification of participations in the mutual administrative convention in tax matters without taking into account the effectiveness of trade would constitute a step backwards from the current French list. In particular, these amendments would prevent France from including a State that does not comply with its commitments in the field of tax cooperation, even though it is precisely this point which, for us, guarantees the effectiveness of the scheme. Secondly, these amendments would lead to the inclusion of States on the national list on the basis of criteria under the OECD or identical to those chosen by the European Union for the establishment of its list without relying on the decisions of these institutions, since no reference is made to the list of these institutions. France would then be obliged to assess independently of these bodies whether or not States or territories comply with the criteria they have defined. Finally, your proposal to exclude the least developed countries is questionable because some of them could be encouraged to adopt harmful tax measures or, at the very least, be discouraged from joining the international standards for which they benefit from OECD technical assistance. In conclusion, I would like to point out that the Government is obviously willing to work with Parliament and to provide all the information requested – as it already does by participating in each of the hearings and answering all the questionnaires sent to it. The provisions of the new Article 11 IIa adopted in the Finance Committee are intended to strengthen Parliament's information on the development of the list. I therefore invite you to withdraw these amendments. Otherwise, we will ask for its rejection. In order to reinforce the rapporteur's point, I would add that the current list of the European Union may seem relatively short, but it must be borne in mind that, as the European approaches are recent – as Mrs Pires Beaune has pointed out – we are in a time when it is sufficient for a State to say, agree and commit to implement the necessary steps to get out of the list. From 1 January, we will enter a new period during which the European Union will verify the effectiveness of the actions implemented to meet the standards and assess the positioning of a state against the black or grey list. The hardening will of course be effective and the European Union will include more countries on the list.
ParlaMint-FR_2018-09-18-E2012.u219	Mr Michel Castellani has the floor.
ParlaMint-FR_2018-09-18-E2012.u220	I support these amendments. It is of course unnecessary to go back to the catastrophic role of tax havens against tax justice, against the civic spirit or, simply, by the damage caused in the public accounts. It is clear that effective criteria for defining, clarifying and thus identifying, explicitly naming and, above all, taking action against non-cooperative countries should be defined. We understand that this is beyond the authority or competence of a single country – in many respects it would be counterproductive to do otherwise – but we believe that it would be useful to work within the European framework to go further, which is quite part of the competence of the French State and Government.
ParlaMint-FR_2018-09-18-E2012.u221	Mr Julien Aubert has the floor.
ParlaMint-FR_2018-09-18-E2012.u222	There are two questions about tax havens. The first is whether it is up to the French Parliament to draw up its own list or whether we should keep the current system. The second is whether the criteria proposed in these amendments are suitable for us. On the first question, I answer yes. You mentioned the grey list earlier, the rapporteur, explaining that it covers 65 countries. I don't know if you've ever heard of Ueli Maurer, Minister of Finance of the Swiss Confederation – you know that Switzerland is on this list. When asked what it would change, he replied that this list was negligible and that it would not change anything...
ParlaMint-FR_2018-09-18-E2012.u223	Thank you!
ParlaMint-FR_2018-09-18-E2012.u224	... for Switzerland, which, I remind you, is according to some rankings the world's first tax haven. This grey list looks like a dog with no claws or hooks. In addition, the European system still has a small defect: non-cooperative states list. I know that the harem is entrusted to the eunuchs, but I have more confidence in the powers of the French Parliament to draw up an objective list of uncooperative territories. With regard to the criteria now, could there be room for debate. I am not convinced that there would be no mix, sometimes, between what is a matter of tax optimisation and what is a matter of the desire to create a tax haven, therefore, of a will detrimental to the French economy and to the French state budget. As we defend the interests of the latter here, I will vote in favour of this amendment, does it come from our colleagues on the left...
ParlaMint-FR_2018-09-18-E2012.u225	Bravo!
ParlaMint-FR_2018-09-18-E2012.u226	...and from the far left...
ParlaMint-FR_2018-09-18-E2012.u227	Not extreme!
ParlaMint-FR_2018-09-18-E2012.u228	...because at some point, in the face of such a subject, it is necessary to be clear: either we wage a ruthless struggle against those who hijack the money of the taxpayer and the state, or we continue to lull ourselves in the smirk of illusions by thinking that the European Union will change the system. However, we know that nothing has changed and, unfortunately, even after the transitional period, nothing will change.
ParlaMint-FR_2018-09-18-E2012.u229	Mr Fabien Roussel has the floor.
ParlaMint-FR_2018-09-18-E2012.u230	Madam rapporteur, Mr Minister, you cannot say that the criteria we are proposing in these amendments are imprecise and that they would lead to a list that is too broad: these are the European Union criteria set out in the Code of Good Conduct of the Union in 1997. Unfortunately, they remain in soft law when they should be enshrined in hard law, i.e. effective and constitute a genuine list. The European Union will not go so far – hence the grey list, which has no value and which scares no one. These European Union criteria must be enshrined in hard law and in French law. We must lead this fight sovereignly and be proud of it. You cannot therefore say that these criteria are imprecise: they are those of the European Union. Yes, the list of tax havens will be important! Contrary to what you have said, Madam rapporteur, I am in favour of gradating the sanctions against the countries listed in it according to the criteria for which they are included, i.e. it is quite possible to modulate the sanctions according to whether the country is an absolute or relative tax haven. We therefore integrate the criteria of the European Union, we adapt our rather high sanctions component, and we thus have a fair, honest position: in this respect, we must be incorruptible, intransigent. By drawing up a real blacklist of tax havens, we don't give them carte blanche!
ParlaMint-FR_2018-09-18-E2012.u231	Mr Daniel Labaronne has the floor.
ParlaMint-FR_2018-09-18-E2012.u232	It seems to us that the process of broadening the criteria for enrollment on the French ETNC lists to include courts refusing to engage in international tax cooperation is good. This article is intended to add to the list of non-cooperative States and territories for tax purposes the courts on a list adopted by the Council of the European Union on 5 December 2017. It was then recommended that Member States take certain coordinated defensive measures in the field of taxation against the states or territories on the European list. The purpose of this article is therefore to comply with this recommendation. It is dangerous for us to engage in "over-transposition" aimed at adding new criteria. That is why we will associate ourselves with the unfavourable position of the rapporteur and the Secretary of State on these amendments.
ParlaMint-FR_2018-09-18-E2012.u233	I'm disappointed...
ParlaMint-FR_2018-09-18-E2012.u234	Mrs Danièle Obono has the floor.
