ParlaMint-FR_2018-10-15-O1018.u1	The next item is the continuation of the discussion of the 2019 Finance Bill (No. 1255, 1302).
ParlaMint-FR_2018-10-15-O1018.u73	Please conclude, Mr. Member of Parliament.
ParlaMint-FR_2018-10-15-O1018.u74	As for the richest 1%, their purchasing power will increase by 6%.
ParlaMint-FR_2018-10-15-O1018.u75	Thank you, Congressman.
ParlaMint-FR_2018-10-15-O1018.u76	[["Yes" on the benches of the LaREM group]] [[Applause on the benches of the LR group]] In conclusion, is the 2019 finance bill a good budget? The answer is clearly negative: the text does not respect our European commitments, it is not economically effective, it is not socially fair.
ParlaMint-FR_2018-10-15-O1018.u77	So you're going to vote against it?
ParlaMint-FR_2018-10-15-O1018.u78	Unless in the course of the debate the Government greatly improves it, my group...
ParlaMint-FR_2018-10-15-O1018.u79	[[Rites and exclamations on various benches]] Thank you, Mr. de Courson. Mr François Pupponi has the floor.
ParlaMint-FR_2018-10-15-O1018.u80	Mr Secretary of State, the secretary of the committee, the rapporteur-general, ladies and gentlemen, I shall mention two subjects which concern me in particular: city policy and housing. As far as city policy is concerned, the paradox of the 2019 finance bill is that the only communes to which it will lose revenue are those that fall under the city's policy. Indeed, in 2018, the allocation of urban solidarity and social cohesion, the DSU, increased by €90 million; This time, you're only raising it by 60 million. As for the solidarity fund of the communes of the Île-de-France region, the FSRIF, which was experiencing an increase of 20 million in 2018, it does not increase in 2019. The national fund for equalization of intercommunal and communal resources, the FPIC, is terminated. [["But no! »on the benches of the LaREM group]] In addition, you are reforming the city's political endowment – DPV – that we created to help the poorest municipalities meet their educational, social and investment needs. You decide to increase the number of municipalities that will be eligible. Those who received funding in 2018 will receive less in 2019: it makes sense. If the same amount of EUR 150 million has to be allocated to more municipalities, those who were eligible last year will receive less this year! I congratulate you in advance if you can show me otherwise. Coming from you, I wouldn't be surprised. On the other hand, you continue to reduce the adjustment variables that made it possible to correct the reductions poorly compensated by the State. These municipalities, the most affected by these reductions, will receive less compensation in 2019 than in 2018.
ParlaMint-FR_2018-10-15-O1018.u81	That's very clear!
ParlaMint-FR_2018-10-15-O1018.u82	Of course, the DSU is increasing slightly, but the other allocations are decreasing: these municipalities will therefore receive less revenue in 2019. Mr Secretary of State, do you honestly believe that the time has come to reduce the revenues of these local authorities when social pressure is increasing and crime is getting worse in the neighbourhoods, as witnessed yesterday again by the death of a 13-year-old? I don't believe it! We will therefore table amendments, like last year, so that the municipalities concerned will receive in 2019 at least as much as in 2018. Moreover, the revenues of these municipalities will also decrease for a very simple reason. The Government has decided to split the classes of CP and CE1 into REP and REP+: this is a good measure that we have all welcomed. But the need for new premises to accommodate these new classes is particularly acute in the municipalities where these networks are concentrated; It is therefore necessary to invest in these territories in order to start work. Since 2017, we have been taking advantage of the FSIL, the local investment support fund, to finance your measures, in this case the duplication of classes. Two cities I know well, Sarcelles and Villiers-le-Bel, filed a file with the Prefect in 2018 to obtain funding from the SFIL for this purpose. The prefect of the region and the prefect of the department refused to grant them anything, because the money promised to help them finance the duplication of classes was used in the Coeur de ville scheme of the neighbouring commune! That is how your Government acts: it no longer wants to finance its own decisions, that is to say, to help develop educational measures in the priority areas of city policy. Next year, we are afraid that the sentence will be the same, as announced by the regional prefect. The FSIL will not fund the class duplication measure in the REPs and REPs that you have decided on yourself. We therefore hope that our amendments to increase the revenue of these municipalities will be adopted. As far as housing is concerned, during the examination of the draft finance law for 2018, we planned that it would put down the construction of housing in France during the year. Our prediction is fulfilled: our country has 20,000 social housing units less than two years ago and housing constructions, nearly 500,000 in 2017, will collapse in 2018, bringing down the revenues of the state. You were part of the previous majority, Mr. Secretary of State. So you know well that the government of the time, which we supported, made the mistake of missing the first two years of housing policy. Although we made up for this mistake later by relaunching housing policy, it was too late, and so we lost two growth points over the entire mandate. [[Applause on the SOC and GDR benches]] You're making the same mistake. By depriving the French of the housing to which they are entitled, by reducing the revenues of the State and by breaking a positive dynamic, you break a machine that works. You will be obliged, in 2019 or 2020, to relaunch it with tax benefits, but it will be too late. You too will miss, at the end of the term, the two essential growth points for the French economy.
ParlaMint-FR_2018-10-15-O1018.u83	Exactly!
ParlaMint-FR_2018-10-15-O1018.u84	Mrs Dominique David has the floor.
ParlaMint-FR_2018-10-15-O1018.u85	Madam President, the Secretary of State, the rapporteur-general, ladies and gentlemen, for my part – I think I'm not the only one – I prefer to announce good news rather than bad news.
ParlaMint-FR_2018-10-15-O1018.u86	So do we!
ParlaMint-FR_2018-10-15-O1018.u87	It's all right, Mrs. Marquise!
ParlaMint-FR_2018-10-15-O1018.u88	However, this finance bill includes, whether we like it or not, very good news. He announced that taxes would fall for all French people.
ParlaMint-FR_2018-10-15-O1018.u89	That's not true!
ParlaMint-FR_2018-10-15-O1018.u90	In fact, 6 billion euros will be returned to households next year, thanks to the abolition of the second tranche of the housing tax, the reduction of unemployment and sickness contributions,...
ParlaMint-FR_2018-10-15-O1018.u91	Yes!
ParlaMint-FR_2018-10-15-O1018.u92	... the exemption from overtime social contributions as of September 2019 and the CSG correction measure for 300,000 retirees.
ParlaMint-FR_2018-10-15-O1018.u93	The retirees will stay fuzzy!
ParlaMint-FR_2018-10-15-O1018.u94	This decrease of €6 billion has been the most marked since 2008. The finance bill then announces that the work will be valued and the attractiveness of our businesses increased. Thus, €2.5 billion will be invested in skills to deal in depth with the causes of unemployment. The activity premium will be increased by 20 euros per month at the SMIC level and the increase will reach 80 euros by 2022. The transformation of the CICE into burden relief will reduce the cost of labour, as will the further decline of the IS or the simplification of taxation by abolishing some 20 small taxes. It also announces that the French, especially the most fragile, will be better protected, thanks to the increase in the minimum age and the AAH, the measures announced in the framework of the plan to prevent and combat poverty, but also to the important strengthening of the resources allocated to the ministries of the armed forces, justice and the interior. Finally, he announces that we are giving ourselves the means to prepare for the future. I am referring here to budgetary efforts for education, research and ecological transition.
ParlaMint-FR_2018-10-15-O1018.u95	[[Smile]] It's too much!
ParlaMint-FR_2018-10-15-O1018.u96	[[Protests on several benches of the LR group]] Ladies and gentlemen, these are not opinions, they are facts. I heard earlier from our opposition colleagues that it was too much or not enough that we could have done differently. This is a matter of democratic debate, and I welcome it. But I have also heard in some speakers, sometimes with tremolos in the voice, a clear intention to arouse fear.
ParlaMint-FR_2018-10-15-O1018.u97	Are we scaring you?
ParlaMint-FR_2018-10-15-O1018.u98	And you, don't you want to scare the mayors?
ParlaMint-FR_2018-10-15-O1018.u99	[[Applause on the benches of the LaREM group]] Ladies and gentlemen, let me tell you that whatever your political objectives are, these are not responsible positions.
ParlaMint-FR_2018-10-15-O1018.u100	Your speech is quite totalitarian!
ParlaMint-FR_2018-10-15-O1018.u101	Because fear has an economic cost. It undermines the recovery that we want to do. It is not when you are afraid of buying to support consumption, when you decide to train to find a job or to change it, when you get out of your neighbourhood to find work, when you start your business, when you invest in our SMEs.
ParlaMint-FR_2018-10-15-O1018.u102	You're the one who scares the French!
ParlaMint-FR_2018-10-15-O1018.u103	I told you earlier that I preferred to announce good news.
ParlaMint-FR_2018-10-15-O1018.u104	Good news or real news?
ParlaMint-FR_2018-10-15-O1018.u105	A swallow isn't springtime!
ParlaMint-FR_2018-10-15-O1018.u106	[[Applause on the benches of the LaREM group]] You see, I don't think I'm wrong in saying that the French prefer to hear good news rather than bad news. We believe that it is our collective responsibility to put our country back in a positive spiral. We will all be judged on the results.
ParlaMint-FR_2018-10-15-O1018.u107	Mrs Valérie Lacroute has the floor.
ParlaMint-FR_2018-10-15-O1018.u108	It's going to be hard to intervene after Mrs. David!
ParlaMint-FR_2018-10-15-O1018.u109	Come on, scare us!
ParlaMint-FR_2018-10-15-O1018.u110	Be careful with the tremolos!
ParlaMint-FR_2018-10-15-O1018.u111	[[Claims on several banks of the LaREM Group]] Madam President, the Secretary of State, the rapporteur-general, the secretary of the committee, ladies and gentlemen, what a disappointment to read the budget for 2019 presented by the Government!
ParlaMint-FR_2018-10-15-O1018.u112	Yes!
ParlaMint-FR_2018-10-15-O1018.u113	What a wasteful feeling, to which is added the legitimate anger of the French and mayors after the launch of the famous hashtag « Balance your mayor »!
ParlaMint-FR_2018-10-15-O1018.u114	This is unacceptable!
ParlaMint-FR_2018-10-15-O1018.u115	Yes, this budget is disappointing: we were promised a step, a dynamic, a momentum towards the best, but we find nothing but the wanderings of the past. With an increase in the public deficit, rising to 2.8% of GDP from 2.6% in 2018, with an increase of €25 billion in public spending, Mr Macron is leading a public finance policy in reverse! In the absence of structural reform, only cosmetic budgetary adjustments are made. We take Paul's pocket to satisfy James. There is a €6 billion increase in purchasing power, while last year it fell by €4.5 billion. We were waiting for a reformer's breath on the wave of global growth, but the Government remained at the dock, missing the opportunity for a more than favourable economic cycle.
ParlaMint-FR_2018-10-15-O1018.u116	All right!
ParlaMint-FR_2018-10-15-O1018.u117	How many years will it take before such a situation arises? [[Claims on several banks of the LaREM Group]] Yes, the French are disappointed and angry – not only because the exemplary Republic so boasted has collapsed with the Benalla affair,...
ParlaMint-FR_2018-10-15-O1018.u118	You're angry with the truth!
ParlaMint-FR_2018-10-15-O1018.u119	What about Balkany?
ParlaMint-FR_2018-10-15-O1018.u120	...but, more sustainably, because Mr. Macron's government stole from them for a while the possibility of reviving prosperity. This results in a draft budget, incoherent, illegible. Indeed, where is the coherence when, on the one hand, the State abolishes the ISF in order to encourage capital investment, but, on the other hand, it grabs the cash flow of large companies by increasing IS's fifth down payment?
ParlaMint-FR_2018-10-15-O1018.u121	It is the "at the same time" dear to the majority!
ParlaMint-FR_2018-10-15-O1018.u122	The only logic reflected in this budget is that of a desperate search for savings, completely disconnected from the vital stakes of the French economy and the problems of the French.
ParlaMint-FR_2018-10-15-O1018.u123	All right!
ParlaMint-FR_2018-10-15-O1018.u124	SMEs and TPEs account for 99.8% of enterprises and employ half of the employees in France. They make the country's economic but also human heart beat. However, we do not count the number of tax increases that they will be subjected to on 1 January next, in disregard of the most elementary respect for the principle of legal certainty. Thus, while multi-year programming laws are intended to enable companies to develop a long-term economic strategy, the Government has decided abruptly to triple the ICTPE on non-road diesel, in the context of an article that we have succeeded in deleting in committee but which will probably return to a public meeting. In concrete terms, how will the companies concerned resist this tax shock? You're a licensor, aren't you? By increasing the prices of community procurement? Whatever they do, it will be the employee or the local taxpayer who will pay. And do not come here to talk about green taxation when, in the context of the source levy, you exclude tax credits for organic farming from the advance scheme, even though these farmers are already on the brink of bankruptcy because of the delay in the payment of state aid.
ParlaMint-FR_2018-10-15-O1018.u125	It's being settled!
ParlaMint-FR_2018-10-15-O1018.u126	The words "organic", "environmental" and "green" are only dead letters in the mouths of representatives of the majority. Mr. Hulot was not mistaken and drew the consequences upon leaving the Government. It is also totally hypocritical to increase the fuel tax when individuals living in rural or peri-urban areas have no means of transport other than their vehicle. You cannot ask the French to cross the road to find a job and then forbid them to take the road to work!
ParlaMint-FR_2018-10-15-O1018.u127	They can go in an electric car!
ParlaMint-FR_2018-10-15-O1018.u128	They are still the same people who are going to be subjected to the state's tax baton, the same people on whose back the state is going to make its cash. The removal of the housing tax is only a decoy that you act to conceal all the measures that will fall on the French. In addition, you accuse mayors of increasing taxes when they have no visibility.
ParlaMint-FR_2018-10-15-O1018.u129	Who increased VAT by 2 points?
ParlaMint-FR_2018-10-15-O1018.u130	If you had taken advantage of it again to lower public spending and reduce the deficit... Unfortunately, this is not the case! [[Applause on the benches of the LR group]] That is, in a few words, why this budget is so disappointing and will be worth the anger of the French and the mayors, Secretary of State.
ParlaMint-FR_2018-10-15-O1018.u131	Mr Bruno Questel has the floor.
ParlaMint-FR_2018-10-15-O1018.u132	Madam President, the Secretary of State, the Secretary of the Committee, the rapporteur-general, ladies and gentlemen, last year, the Government presented us with a budget that was based on a five-year perspective, corresponding to the duration of the mandate that the French and French gave the President of the Republic – a mandate that they confirmed by giving us the majority that brings us together today. For decades, the social treatment of unemployment, on the one hand, and the successive cotton alternations, on the other hand, have plunged our country into the economic slump in which we found it in 2017 and created the democratic fragility due to the collapse of the traditional parties, too busy they were to ensure the sustainability of a pendulum mechanism in which both finally found their account. Today, Mr Secretary of State, through this second fiscal year that you propose to us, you intend to state with good reason that the Government, under the leadership of the President of the Republic, wishes to forcibly rehabilitate the value of work, better care for our fellow citizens and better protect the French and French by increasing the budgets of defence, interior and justice. Of course, the method chosen can be surprising. It destabilizes the supporters of the established order and the conservatives of all tendencies. Indeed, the finance bill that we are now considering is also a five-year perspective. It has no other purpose than to reconnect with the development of employment, the development of our territories, the development of social protection and, finally, the development of our country as a whole and the achievement of the destiny of everyone. I have heard that many of the previous speakers – not to say all of them – do not hesitate to attribute responsibility for all the ills of the national economy to the policy pursued since June 2017. But, don't you mind, our fellow citizens are not fools. They know how much our country was bogged down in insoluble equations: increasing spending among some, lowering taxes among others, drastically reducing the number of civil servants for some, indiscriminately creating many public jobs for others – many many and varied proposals, without overall coherence or medium- or long-term vision. For our part, we intend to offer our fellow citizens real prospects. First of all, that of employment, the main value of our policy. On this subject, I refer to the comments made by my colleagues in the La République group on the move. Secondly, a renewed justice system, oriented towards the future and progress, with a budget that is 6.5% higher than in 2018. In particular, I would like to highlight the creation this year of 3,500 supervisory posts and 1500 probation officers, as well as the implementation of concrete measures aimed at enhancing the attractiveness of the prison administration's professions. The 2018-2022 programming and justice reform bill, currently being discussed in the Senate, demonstrates how public authorities have wished to understand all aspects of the issue, thus refusing the previous practice of segmenting the reflection and the decisions that might result from it. All operational and organizational fields have been dealt with in this text and, above all, budgeted. Article 1 states that the means of justice will be increased from EUR 7 billion to EUR 8.3 billion between 2018 and 2022, that 6500 posts will be created and that a possible updating of the programming will be carried out, if necessary, before 31 December 2021. Another essential perspective was the attention of the majority, which supported all the Government's policies and intended to affirm that the issue of communities could not be addressed as it had unfortunately been between 2002 and 2012. Mr. Secretary of State, last year, for the first time, the Government maintained the level of allocations to communities. Investment support allocations remain at more than EUR 2 billion, including EUR 1 billion for the provision of equipment in rural areas – DETR. For the departments, the overall allocation of equipment will be transformed into support for local investment – DSIL – for more than €200 million. I wish to conclude my statement by addressing the issue of contracting. While 322 communities – regions, departments, 145 communes and 62 intercommunal communities – fall within this scope, it is regrettable that those who refused to engage in this virtuous way did so for political reasons, because of the inability of their leaders to take part in the process of novation of public action and to escape from the inextricable conservatism that characterizes them. [[Applause on the benches of the LaREM group and on several benches of the MODEM group]] In any event, this finance bill takes into account the situation in our territories. It is intended to bring French and French together, to better educate our children, to train our fellow citizens, to protect them and to treat them.
ParlaMint-FR_2018-10-15-O1018.u133	Mr Julien Aubert has the floor.
ParlaMint-FR_2018-10-15-O1018.u134	Madam President, Secretary of State, you are presenting your second budget for the legislature. And this budget is yours! Last year, in fact, you had largely inherited the economic situation left by your predecessors, which had improved. But this year, we can see what you can do! [[Claims on several banks of the LaREM Group]] Unfortunately, the artificial swelling of budget revenues for 2019 reflects a willingness to make up the accounts in order to meet the sacrosanct deficit target.
ParlaMint-FR_2018-10-15-O1018.u135	This remark is out of place!
ParlaMint-FR_2018-10-15-O1018.u136	This is true of the budget's constitution as well as of the performance targets of the Organic Law on Finance Laws – LOLF: whatever the means, provided that we reach the target – keep the deficit below 3%. But it's already a mistake, a sin against the spirit. The important thing is not to be above or below 3%, but to present a balanced budget; But this one is not. So you made a budget of apothecary accounts, a kind of kaleidoscope – a device that, as you know, allows an indefinite number of combinations and allows to create something new by simply rearranging what already existed. For example, in your budget there is a real increase in income tax, which brings a little more than 3 billion euros into the state's coffers. Indeed, by creating the system of levying at source, which involves a lag, you will, in fact, tax people on their 2019 income, not on those of 2018 – Mrs de Montchalin has admitted that in 2019 we would pay the amount of tax that we should have paid in 2020: there is therefore a lag effect. For example, someone who collected 1300 euros a month in 2018 and who was taxed 10 % should have paid 130 euros, but if he received a promotion of 90 euros and thus earned 1390 euros in 2019, he will be charged 139 euros. There is, therefore, an increase, the product of which enters the state funds and of which you have little sought to hide a few billion in the appendices to the PLF by counting it in national accounts, not in budgetary accounts – but this has not escaped the eye of our friend Charles de Courson, who pointed out it in committee. There are also some forgotten about the tax credit deferral and tax reduction mechanism. Thus, in the case of the carry-forward land deficit, the implementation of the source levy will result in different treatments for owners with a land deficit, which can be carried forward to the following years. For those whose property deficit can be carried forward from 2017 to 2018, the effect of the tax reduction will simply be cancelled, as the new system will neutralize the 2018 tax on property income. This is a real increase in income tax. The project also leads to a real increase in the IS, with the measure on the fifth instalment: you were repatriating revenue that should have been received the following year, which is more than 2 billion euros. In addition, there has been a false reduction in the housing tax, of which much has been said. »
ParlaMint-FR_2018-10-15-O1018.u137	It's 30 percent!
ParlaMint-FR_2018-10-15-O1018.u138	In this story, the citizen will be bananad: he has been promised an exemption, but he sees only his tax tax and his income that is going down – which, Mr. Secretary of State, is somewhat problematic. The French understood that they had to wait until October to benefit from a tax cut, but unfortunately, at that time, the tax cut was not there because, when one engaged an arm of iron with the communes by pulling the carpet under their feet, they were avenging or, at least, trying to protect themselves by increasing the rates to keep their resources.
ParlaMint-FR_2018-10-15-O1018.u139	Of the 36,000 municipalities, 30,000 did not!
ParlaMint-FR_2018-10-15-O1018.u140	Finally, the real increase in environmental taxation represents an anti-social policy. Secretary of State, I know that you come from the Socialist Party and that – without tremolos in the voice – this argument will move us. When we puncture taxpayers who live in the countryside and have modest incomes, when we punish them because they drive diesel and heat up in fuel oil, and we redistribute this manna, from climate taxation, to attribute it to people who carry out energy renovations in pavilions, this amounts to taking it from the poor to redistribute among the rich. These are several billions of euros: one day we will have to ask ourselves whether we can continue in this way. I shall conclude by referring to the greatest inconsistency of this budget. If it had a positive element – the transformation of the CICE – I am very concerned that, in the PLFSS, you are removing the mechanism of burden exemptions for casual workers and job seekers – TODE – which is very important in agriculture. By way of illustration, a farmer who hires seasonal workers will have to pay 500 euros of expenses out of a gross income of 1200 euros, instead of 70: it is his entire margin that will disappear. The great transformation of the CICE is therefore useless if, at the same time, farmers – particularly those in the Vaucluse, department where I am elected – are faced with an increase in the cost of labour of around 12 million euros. They won't survive, Secretary of State. [[Applause on the benches of the LR group]] This budget must be political and must be aimed at defending the interests of the French. I therefore ask you to reconsider the removal of the TODE exemption.
ParlaMint-FR_2018-10-15-O1018.u141	Mrs Bénédicte Peyrol has the floor.
ParlaMint-FR_2018-10-15-O1018.u142	The answer comes, Mr. Aubert!
ParlaMint-FR_2018-10-15-O1018.u143	Madam President, Madam Secretary of the Committee, Mr Secretary of State, ladies and gentlemen, in keeping with the decisions taken in the first five-year budget, this budget reflects the common will of the Government and the majority to accelerate our transition to a more sustainable, dynamic and equitable economy. This budget contributes to the "greening" of our fiscal and fiscal policy. It is the translation of the policies announced and the ambitions that we have been defending for more than a year in environmental matters: the continued implementation of the climate plan, the presentation by the Prime Minister of the road map for the circular economy, which aims to break with the model of the linear economy, to transform our industry and to develop non-relocable jobs, the draft law on the growth and transformation of enterprises – PACTE – which modifies the social purpose of enterprises so that they take into account social and environmental issues, and finally the increase of private investment in the ecological transition, by promoting green finance, because we believe that the effort must come from the state and the private sector working hand in hand. [[Exclaims on the benches of the LR group]] As far as the environment is concerned, on the left and right banks we are accused of not doing enough or doing too much. However, ladies and gentlemen, on the environment, we are acting! Why don't you support it when France takes the lead and is ambitious? [[Applause on several benches of the LaREM group]] In this budget, as in last year's budget, we are mobilising the lever of environmental taxation and public spending on the environment. We are facilitating the transition of communities to incentive pricing, with a view to achieving the objectives set out in the Energy Transition Law and for green growth: 15 million households are expected to increase this rate by 2020 and 25 million by 2025, compared to only 5 million today. We are making waste recycling more competitive, with an increase in the general tax on polluting activities – TGAP – relating to waste incineration and storage.
ParlaMint-FR_2018-10-15-O1018.u144	You make rich people richer!
ParlaMint-FR_2018-10-15-O1018.u145	In return for this increase, we propose to apply a 5.5% VAT to waste prevention, recycling and sorting operations. We are also proposing a new malus scale, allowing additional revenue to be generated in order to amplify the vehicle conversion premium scheme, which has an effect on the reduction of CO2 emissions and which was a success in 2018. We are increasing the share of ICTPE allocated to the energy transition trust account, which finances renewable energy. Finally, I will return to the subject of one of our most heated debates in the Committee on Finance,...
ParlaMint-FR_2018-10-15-O1018.u146	Article 19!
ParlaMint-FR_2018-10-15-O1018.u147	... and in which approximation is no longer necessary: the climate-energy contribution. Our oppositions would like us to believe that the trajectory we voted for last year is too ambitious and disproportionately increases the price of fuel for our fellow citizens. However, the increase of 7 cents per litre on diesel weighed only less than a third on the overall increase. This – let us say clearly, for this to be the basis for our discussions – is the result of the year-long rise in the price of oil, which is the result of the acceleration of global demand, geopolitical tensions in the Middle East...
ParlaMint-FR_2018-10-15-O1018.u148	It's not because of the barrel course!
ParlaMint-FR_2018-10-15-O1018.u149	Adapt yourself!
ParlaMint-FR_2018-10-15-O1018.u150	... and the concerted action of the main producing countries. To question this trajectory is nothing less than to question the climate challenges facing our humanity. Everything is happening today and we should not be able to hear in this Chamber any more saying that "Tomorrow is far away! " [[Applause on several benches of the LaREM group]] It is irresponsible to question this trajectory. Irresponsibility means allowing for increased domestic fuel consumption, because it means nothing more than allowing greenhouse gas emissions to increase. It is a preference to defend wasteful sources of polluting energy, rather than moving towards a clean energy economy. It's about making politics every week, rather than tackling the underlying problem: the dependence on hydrocarbons on our economy, on our society and on our growth model.
ParlaMint-FR_2018-10-15-O1018.u151	All right!
ParlaMint-FR_2018-10-15-O1018.u152	We should mobilize to get out of it: it is a matter of sovereignty and independence. The models presented by the two Nobel laureates this year show that we must not wait to change the market. The responsibility is to intervene on innovation and new resources, which are our growth of tomorrow. However, we do not have the impact of this tax on the purchasing power of the most vulnerable and exposed households. On the contrary, we are facing it, by strengthening the accompanying measures that work, such as the conversion premium, the energy check and the support of the mechanisms to combat energy insecurity. [[Applause on the benches of the LaREM group and several benches of the MODEM group]] I can only invite those who use the word "environment" to divide to give up postures. These questions concern us all and are too serious not to rhyme with "union".
ParlaMint-FR_2018-10-15-O1018.u153	What about article 19?
ParlaMint-FR_2018-10-15-O1018.u154	Mr Benoit Potterie has the floor.
ParlaMint-FR_2018-10-15-O1018.u155	Madam President, the Secretary of State, the Secretary of the Committee, the rapporteur-general, ladies and gentlemen, this finance bill, the second in the quinquennium, translates and confirms the political choices of the Government and our majority. It is above all a responsible budget: we are continuing our efforts to reduce public expenditure, and thus the deficit. As a result, the deficit will fall below 3% for the third consecutive year, which had not occurred since 2000. I call this responsibility, because getting into debt means impoverishing future generations. It also means becoming dependent on our creditors, so losing a little of our sovereignty. Finally, it is to increase the share of interest in the budget, thus reducing the policy space. We do not give in to this facility. This budget, which is responsible, is no less ambitious. We keep our promise to ease the tax burden on taxpayers: we are continuing to reduce the housing tax, this unjust and incomprehensible tax for households; we reduce the CSG for modest pensioners; we are continuing the reduction in wage contributions; we challenge the interest and participation for employees of SMEs, thus encouraging their use for a better sharing of wealth in companies; and, from September onwards, we will exempt overtime from taxation. This budget is a tool for economic recovery. We want work to pay better, companies to be encouraged to hire and all French people to have access to a job. That is why we are investing an additional EUR 1.2 billion in education, higher education and research, and an additional EUR 2.5 billion in training for the unemployed and young people. These investments are the financial part of the measures we have taken to boost growth and create jobs – I am thinking in particular of the Labour Ordinances, the Vocational Training Act and the PACTE Act. This text is also a text to strengthen our institutions: it focuses on the legitimate budgets – defence, police and justice. We thus demonstrate the importance we attach to the safety of our fellow citizens. Finally, a word about the ecological transition: tragic news is an additional sign, if needed, that urgent action is needed. That is why we are increasing the appropriations allocated to the ministry and assuming the introduction of offensive taxation to speed up the energy transition and change the environmental model. [["Ah! » and smiles on the benches of the GDR group]] It encourages virtuous practices and penalizes polluting products. On some benches, Members deplore an alleged lack of ambition in environmental matters. They are also the first to complain about any measure that goes in the direction of ecological virtue. We, at least, are consistent and we act. Finally, this budget is a simplification logic. We want to make the tax simpler and easier to read. Thus, we are implementing the levy at source, we are starting the reform of tax collection and we are phasing out low-yield taxes – as it stands, the PLF is planning to abolish 19 of them for next year. It's a salutary measure. By removing these taxes, we are simplifying tax law, reducing the tax burden on businesses and individuals, reducing the reporting burden on businesses and reducing the cost of recovery for the state. Indeed, these taxes have a low yield but are complex and their collection is costly. Perhaps we can push this effort even further, in particular through a thorough reflection on the relevance of certain taxes affected. In short, today we are beginning to examine a text that is the realization of a clear philosophy. Our common goal, our course, is the emancipation of individuals.
ParlaMint-FR_2018-10-15-O1018.u156	That's it! It's heavy!
ParlaMint-FR_2018-10-15-O1018.u157	To this end, we are defending a text that aims to pay more for work, to strengthen the support of people looking for work, to improve the sharing of created value and to protect the most fragile. This text must be studied in relation to the PLFSS, which provides remedies for the suffering of the French, whether in terms of social benefits or access to care. [[Exclaims on the banks of the GDR Group]] Freeing and protecting: we promised to maintain that balance.
ParlaMint-FR_2018-10-15-O1018.u158	We've heard that before!
ParlaMint-FR_2018-10-15-O1018.u159	[[Applause on the benches of the LaREM group]] I am pleased to defend a project consistent with this promise.
ParlaMint-FR_2018-10-15-O1018.u160	Free us... but protect us from this freedom!
ParlaMint-FR_2018-10-15-O1018.u161	Mr Laurent Saint-Martin has the floor.
ParlaMint-FR_2018-10-15-O1018.u162	Madam President, the Secretary of State, the Secretary of the Committee, the rapporteur-general, the PLF for 2019 can first be described as a confirmation budget. That's why some measures echo what you heard during the 2018 budget review: it's normal, it's wanted and it's assumed. But it is above all a budget to confirm the commitments made by the Government and by the majority – and this majority is not at the command, Mr.Bricout: it is convinced by what it votes.
ParlaMint-FR_2018-10-15-O1018.u163	It's even worse!
ParlaMint-FR_2018-10-15-O1018.u164	This budget, as Minister Darmanin pointed out earlier, is also a confirmation of our sincere effort. This aspect is essential. A little over a year ago, we were voting on a public finance programming bill that included a growth projection of 1.7%; We will reach that figure by the end of this year. This is important: if growth is as we expected, it allows us to vote for a credible budget for the following year, to explain to our fellow citizens how public money is used through the tax we raise. Sincerity therefore makes it possible not to have to vote for decrees in advance, only a bill of amending finance reduced to the congruous, that is technical, portion, which will be used to adjust the appropriations of the current year, little more. [[Exclaims on the benches of the LR group]] It is a coherent budget, which enables both the public accounts to be rectified and the profound reforms undertaken last year, according to the famous triptych "liberating, protecting, investing", which we continue to assume unreservedly. It is a budget that is distinguished by a considerable effort to reduce the tax burden. For taxpayers, first of all: we have heard the expression of the fiscal ras-le-bol of our fellow citizens. Hence the €6 billion reduction in taxes and taxes for their benefit.
ParlaMint-FR_2018-10-15-O1018.u165	Let's get you back in the other hand!
ParlaMint-FR_2018-10-15-O1018.u166	That is factual: the figures are stubborn, ladies and gentlemen! This is reflected in the original finance bill. [[Exclaims on the benches of the LR group]] Naturally, as work is our priority, we want to focus this reduction first on those who work, thanks to the increase in the activity premium, the reduction in unemployment and sickness contributions, the abolition of contributions on overtime. All this has been said many times, but it is necessary to insist on it. On the other hand, we continue to upgrade social minima, which we began to do last year, especially the minimum old age and the AAH. The fall in the tax burden on businesses, then, will allow them to regain the points of competitiveness they need, in direct connection with everything we did last year, but also with the PACTE law, which we voted on at first reading a few days ago. Reinvigoration of investment, therefore of employment through the reduction of labour costs: this is the object of the abolition of the CICE and its replacement by a reduction of direct and lasting burdens. Some will complain of this bonus effect of 20 billion in 2019; For our part, we assume it, because it will allow companies to regain margins, invest and hire. In addition, the approach is perfectly complementary to the continued decline of the IS. Allow me, Mr Secretary of State, the rapporteur-general, to focus briefly on the abolition of low-yield taxes, which, as you know, is dear to me.
ParlaMint-FR_2018-10-15-O1018.u167	How much does it cost?
ParlaMint-FR_2018-10-15-O1018.u168	First of all, it is a commitment of the Government and I would like to commend it for its respect. It pursues a threefold objective: the reduction of the tax burden, simplification and readability, and the achievement of savings. The aim is to reduce public expenditure in the administrations that are now collecting and recovering, starting with the DGFIP – Directorate-General for Public Finance – and DGDDI – Directorate-General for Customs and Indirect Duties. The measure has a cost: the 17 small taxes proposed in the original finance law represent 137 million euros. I know you intend, Secretary of State, to go further next year, to a total of 400 million.
ParlaMint-FR_2018-10-15-O1018.u169	That's crazy money!
