ParlaMint-FR_2018-10-18-O1024.u1	The next item is the continuation of the discussion of the 2019 Finance Bill (No. 1255, 1302).
ParlaMint-FR_2018-10-18-O1024.u174	[[Protests on several benches of the LaREM group]] [[Protests on many benches of the LaREM group]] They will vote without understanding the debates. It's serious! On the other hand, you will not receive the premiums paid to metropolitans coming to the overseas. This is a detestable colonial vision! Our people will remember that.
ParlaMint-FR_2018-10-18-O1024.u175	Mr Philippe Dunoyer has the floor.
ParlaMint-FR_2018-10-18-O1024.u176	I wanted to be as discreet as possible during our debates. Anyway, a lot has already been said. I am a Member of Parliament for New Caledonia – not yet in Fiscal Polynesia (Sourries) – one of the territories enjoying wide autonomy and therefore one of the indirect beneficiaries of this measure. I would not say that we are unfair beneficiaries because, within the overseas countries and territories, we are all in solidarity. That is why I wanted to intervene: we must avoid falling into the trap – that is the term used by President Le Gendre, and I will come back a moment ago to another term that he used and that made me jump – that would be to oppose one another. It is no one's intention, and it is probably no coincidence that the president and members of the overseas delegation tell you the same thing, beyond their differences in sensitivities, including the tax approach to income tax, that should weigh more or less on the wealthiest. If we disagree, it is possible – it is even normal and legitimate. On the other hand, Mr Le Gendre, I am telling you very solemnly, as I said yesterday to Mrs de Montchalin, when you call the ultramarine Members to responsibility and you say, although you have very well introduced your remarks, that you defend the general interest – which means, in the end, that the ultramarine Members do not defend it –,...
ParlaMint-FR_2018-10-18-O1024.u177	We're all defending him together!
ParlaMint-FR_2018-10-18-O1024.u178	...you are facing the trap in which we must not fall.
ParlaMint-FR_2018-10-18-O1024.u179	Exactly!
ParlaMint-FR_2018-10-18-O1024.u180	Mr. Bourlanges, who used the metaphor that I very much appreciate of the dog's tail cut in one or three times, summed it up very well. We can object on the merits but, please, pay attention to the terms that you use and that resonate with us in a particular way. I am elected from a territory in which a referendum will be held in two weeks' time. For my part, of course, I hope that we do not leave the French Republic and that we remain firmly rooted in it. Of course, this is a very local specificity, as all the territories have, but at no time will you hear me calling the deputies of the Meuse, the Meurthe-et-Moselle or the Somme to more responsibility because we would disagree on the substance. Please be careful about what you're saying! We may disagree with this and the following measures, but they should not lead us to oppose each other when they are structural and sustainable measures.
ParlaMint-FR_2018-10-18-O1024.u181	That's not what we said!
ParlaMint-FR_2018-10-18-O1024.u182	[[Applause on several benches of the UDI-Agir and LR groups]] Minister, thank you for your commitment not to receive the overseas appropriations. Indeed, some of our questions relate to the sustainability of the measures we benefit from. But once again, let us not oppose each other. We can express our substantive differences without problems, but also hear that we can show responsibility and defend our positions according to our perception of the general interest.
ParlaMint-FR_2018-10-18-O1024.u183	Mrs Ericka Bareigts has the floor.
ParlaMint-FR_2018-10-18-O1024.u184	[[Applause on the benches of the SOC, FI and GDR groups, as well as on several benches of the LR groups]] I agree with what Mr Dunoyer has just said with great talent. Mr Minister, you have listed all that we cost and all that we owe to France, but you have never touched with your finger what we could bring to it.
ParlaMint-FR_2018-10-18-O1024.u185	This is a trial of intent!
ParlaMint-FR_2018-10-18-O1024.u186	I'm still saying it, Mr. Minister! If France is the world's second largest maritime power, it is because its ultramarine territories bring it their wealth, biodiversity, multiculturalism and presence in all oceans...
ParlaMint-FR_2018-10-18-O1024.u187	Exactly!
ParlaMint-FR_2018-10-18-O1024.u188	... which makes our country a great power. We bring to France young and dynamic territories, as well as real intelligence. We bring wealth to France.
ParlaMint-FR_2018-10-18-O1024.u189	Like all French territories!
ParlaMint-FR_2018-10-18-O1024.u190	Of course, my dear colleague, like all the French territories! Except you're drawing up a list of what we're costing! So let's do the same for all territories! On the other hand, of course, we benefit from European solidarity. In all the ultramarine territories, many politicians went up to the niche and fought for us to benefit from it. We are the outermost regions; Europe has recognised our structural handicaps...
ParlaMint-FR_2018-10-18-O1024.u191	Of course.
ParlaMint-FR_2018-10-18-O1024.u192	[[Exclaims on various benches]] ... and it accompanies us so that we can succeed in catching up with European solidarity, as we should do thanks to the national solidarity that you are refusing today. We are talking about a measure of 70 million euros – 170 million if we add the 100 million NPR VAT – not collected recoverable – that we will talk about later! I also wanted to say very quietly...
ParlaMint-FR_2018-10-18-O1024.u193	Thank you for closing, Mrs. Bareigts.
ParlaMint-FR_2018-10-18-O1024.u194	[[Claims on several banks of the LaREM Group]] Just a minute, Mr. President!
ParlaMint-FR_2018-10-18-O1024.u195	No, my dear colleague, I can't give you a minute!
ParlaMint-FR_2018-10-18-O1024.u196	[[Applause on several benches of the SOC, FI and GDR groups, as well as on a few benches of the LR and UDI-Agir groups]] In our local authorities, we do not expect you to give us lessons! In La Réunion, municipalities build schools, the region and departments build high schools and colleges. When you put in place a national strategy for the prevention and fight against poverty, we instigate free canteens. We know how to take on our responsibilities, and we do not expect you to give us lessons in this area.
ParlaMint-FR_2018-10-18-O1024.u197	Mr David Lorion has the floor.
ParlaMint-FR_2018-10-18-O1024.u198	Santa Claus arrives early this year as he passes in October! Who can believe for a moment, on a few benches, that the appropriations for a budget mission are increasing by 20%? Can you believe such a fable? While we need to save money, would the overseas budget increase suddenly by 20%?
ParlaMint-FR_2018-10-18-O1024.u199	Because overseas is one of our priorities!
ParlaMint-FR_2018-10-18-O1024.u200	[[Mr. Jean-Hugues Ratenon applauds]] [[Ericka Bareigts applauds]] Where does this rate come from? We didn't take anything from the pockets of the 4 per cent of the most affluent inhabitants: it's a lie! We can't count Réunion babies because they don't pay taxes! We are obliged to count the families who pay taxes: so it is not 4% but 25% of the people who will be affected! And it will not be from 40000 euros but from 35000 euros that all the inhabitants of the DOM will be contributing. [[Protests on several benches of the LaREM group]] [[Applause on several benches of the LR, SOC and FI groups]] By capping a tax reduction that increases purchasing power in the overseas departments, you are removing 170 million euros of resources. You raise the taxes by 10% to abound the appropriations of your budget mission, otherwise it would not pass, otherwise it would not be fed and it would fall. You take in the pocket of overseas departments to put in the pocket of these same overseas departments! Actually, you're playing the hat. You're making films saying you like overseas, but, in fact, you don't have a project for overseas. You only have plans to remove tax benefits because you don't like overseas. I'm not talking about you, I'm talking about Bercy.
ParlaMint-FR_2018-10-18-O1024.u201	We must now proceed to the vote!
ParlaMint-FR_2018-10-18-O1024.u202	Mr François Pupponi has the floor.
ParlaMint-FR_2018-10-18-O1024.u203	I have listened to all the speeches in this debate. I put aside the fiscal and purely financial aspect to express some malaise. Let me call on several of our colleagues to pay attention to the terms they use in the Chamber when talking about overseas. I am fortunate to be a Member of Parliament for an electoral district where the ultramarine populations are extremely present. They did not necessarily choose to come to this district near Paris. In the 1960s, the state had set up the BUMIDOM – Bureau for the Development of Migration in the Overseas Departments – which took the people living overseas to bring them to the metropolis without necessarily agreeing. This phenomenon was organized by the State. These ultramarine populations were thus found in the suburbs of Paris. I grew up with them, listened to them and learned many things. [[Mr. Jean-Hugues Ratenon applauds]] [[Murmures]] There are ideas, attitudes and words that these populations cannot and do not want to hear. Dear colleague Bourlanges, you talked about the tail of dogs. I'm going to tell you a story about dogs that didn't make me laugh at all. We are talking here about descendants of slaves. The slave system, we – France – have set it up collectively. We do not have to express repentance, but we have to say that we have organized it. How did these territories become French? Did they want it or did we impose it on them? This, too, is the history of France, which must not be forgotten. We have a certain debt vis-à-vis these people, at least morally, which we must bear collectively. So I'm going to this dog thing. One day, an Antillese told me: "Mr. Pupponi, you ask us what our trauma is, how we function and what our psychological and moral difficulties are. But 160 years ago, we were less than dogs in France, because they had the right to reproduce as they wanted! »
ParlaMint-FR_2018-10-18-O1024.u204	Mr. Serge Letchimy has the floor.
ParlaMint-FR_2018-10-18-O1024.u205	[[Claims on several banks of the LaREM and MODEM groups]] Mr Bourlanges, I asked for the floor for a point of order because, quite honestly, your metaphor can be confusing. Yes! You do not know an ounce of the history of slavery and colonization, which Mr. Pupponi mentioned.
ParlaMint-FR_2018-10-18-O1024.u206	On the contrary!
ParlaMint-FR_2018-10-18-O1024.u207	In fact, I expected you to take the floor to say that your remarks had nothing to do with the overseas, but that you were making a metaphor, perhaps unfortunate, with the notion of fiscal niche. I thought that was it... But if you don't confirm it, be careful: we are in an assembly where it is very important to look after the words we use! If you know the history of slavery, you know that it was also with hoolasses and dogs that people were bruised, enslaved, murdered and killed. I repeat, be very careful! Mr Minister, I understand the reasoning you put forward earlier: we are costing EUR 4 billion in tax benefits, but only EUR 800 million in revenue. But, quite honestly, why is France today a great global maritime power? At some point, we're going to have to look at new economic models, but, Minister, you put the plough before the ox.
ParlaMint-FR_2018-10-18-O1024.u208	Yes!
ParlaMint-FR_2018-10-18-O1024.u209	No, no, no, no, no, no, no,
ParlaMint-FR_2018-10-18-O1024.u210	When you touch taxation, you also touch on a development tool. I have been very active in changing the local economic model, to which you have contributed, but you have not yet undertaken all your actions. Free zones of activity have just emerged. In the meantime, you have slowed down economic dynamics through taxation. [[Applause on a few benches of the GDR group]] Finally, 80% of French biodiversity is found in the overseas regions. Of the 12 million square kilometres of French sea surface, 11 million are in the overseas countries and territories; From this point of view, France is the second power after the United States. So do not make accounting comparisons, otherwise we will forget, as we have done in the past, the human aspect that we find in each individual, in every man living in the territory of the Republic.
ParlaMint-FR_2018-10-18-O1024.u211	Mr Jean-Louis Bourlanges has the floor.
ParlaMint-FR_2018-10-18-O1024.u212	[[Applause on several benches of the MODEM and LaREM groups]] Without reinvigorating the controversy, I find the trial brought against me to be totally unfair. In fact, no one is more aware of the history of these populations than I am. I remember the books I read that deeply marked me. When I was fifteen years old, my favorite book was The Century of Enlightenment, by Alejo Carpentier: this book, which was read about France Culture, recounted the whole story of Toussaint Louverture's revolt, the massacre of blacks and the horrific attitude of Rochambeau – I am not talking about the liberator of America but about his son, an odious torturer. I am fully aware of all this!
ParlaMint-FR_2018-10-18-O1024.u213	All right!
ParlaMint-FR_2018-10-18-O1024.u214	[[Applause on several benches of the MODEM and LaREM groups. – Some Members of the LaREM Group stand up and continue to applaud]] The comparison I have made is only a metaphor intended to shed light on the idea that, when you take a measure, you must not multiply the acts of suffering. So I refuse this trial you're bringing to me! I understand that you all say that you are wary of us, because you have, in the past, suffered too much to really trust us, but I tell you despite everything to trust us,...
ParlaMint-FR_2018-10-18-O1024.u215	Oh, no!
ParlaMint-FR_2018-10-18-O1024.u216	[[Applause on the benches of the MODEM and LaREM groups]] ...because this money, you'll get it!
ParlaMint-FR_2018-10-18-O1024.u217	And why don't you trust them?
ParlaMint-FR_2018-10-18-O1024.u218	I put to the vote identical amendments Nos 487, 701, 1064, 1116, 1323, 1538, 1551, 1878, 2079, 2080 and 2081.
ParlaMint-FR_2018-10-18-O1024.u219	The result of the vote is as follows: Number of voters 126 Number of votes cast 124 Absolute majority 63 For adoption 39 Against 85
ParlaMint-FR_2018-10-18-O1024.u220	The Minister has the floor.
ParlaMint-FR_2018-10-18-O1024.u221	[[Applause on the benches of the LaREM group]] I thank the Minister for Overseas Territories for participating in our debate, as do other thematic ministers. I hope that the Assembly appreciates the Government's efforts to work with it.
ParlaMint-FR_2018-10-18-O1024.u222	Yes!
ParlaMint-FR_2018-10-18-O1024.u223	In order to give the House the best information, I would point out that we spent almost five hours on these first amendments. It seems to me that we have debated well and that we understand each other's arguments well, but also that we may have moved a little away, at the end of this discussion, from the purpose of the PLF itself. This is obviously something I do not have to discuss with the House, but I see it. Perhaps we could all say to each other, in order to move forward, that we have talked a lot about Article 4 and that the vote is quite unquestionable. Indeed, after this article, we still have to examine, by Monday, many tax articles that will separate us.
ParlaMint-FR_2018-10-18-O1024.u224	All right!
ParlaMint-FR_2018-10-18-O1024.u225	But we're here to debate!
ParlaMint-FR_2018-10-18-O1024.u226	Thank you, Minister, for enlightening the House on this point of order which, instead of my own, I can only support. I have before me four identical amendments, Nos 488, 699, 1113 and 1563. I call Mrs Guion-Firmin to support Amendment No. 488.
ParlaMint-FR_2018-10-18-O1024.u227	He's forbidden.
ParlaMint-FR_2018-10-18-O1024.u228	Mrs Marie-Christine Dalloz has the floor to support Amendment No. 699.
ParlaMint-FR_2018-10-18-O1024.u229	He is also defended.
ParlaMint-FR_2018-10-18-O1024.u230	Mrs Nathalie Bassire has the floor to support Amendment No. 1113.
ParlaMint-FR_2018-10-18-O1024.u231	I will be brief, as has been requested. In order to limit a policy of massive, brutal and repetitive social damage, as the ultramarine territories had never experienced in 35 years, we call for the deletion of paragraph 2 of Article 4.
ParlaMint-FR_2018-10-18-O1024.u232	I call Mr Letchimy to support Amendment No. 1563.
ParlaMint-FR_2018-10-18-O1024.u233	Defendant.
ParlaMint-FR_2018-10-18-O1024.u234	I have before me three amendments, Nos 1564, 700 and 1117, which can be discussed jointly. Amendments Nos 700 and 1117 are identical. I call Mr Letchimy to support Amendment No. 1564.
ParlaMint-FR_2018-10-18-O1024.u235	Minister, you have maintained your device. We take note of this because we are respectful of democracy and the Republic. There is, however, a gap between this decision – and I repeat that I am very open to this debate – and the question of investment. I therefore propose, instead of proceeding with the brutality that has been unanimously stressed, to move forward in steps, because families who do not pay the tax at present may be liable if the reduction is applied in accordance with the procedure laid down in your text. It would therefore be preferable to modulate its application, in order to prevent the middle classes from being hit with full force. I fear that your measure will not only affect the richest 4%: it will have an impact on family taxation from an income of 4400 or 4500 euros, or 50000 euros per year. Our amendment would meet one of the expectations expressed: not to reach the middle classes.
ParlaMint-FR_2018-10-18-O1024.u236	On Amendment No 1564, I have a request from the Socialist and Related Group for a public vote. The vote is announced in the National Assembly. Mrs Marie-Christine Dalloz has the floor to support Amendment No. 700.
ParlaMint-FR_2018-10-18-O1024.u237	In line with what has been said in general discussion and with the agreement of Mr Mansour Kamardine and the Republicans as a whole, we defend the idea of progress and propose to remedy the brutality of the measure by softening it over time.
ParlaMint-FR_2018-10-18-O1024.u238	Mrs Nathalie Bassire has the floor to support Amendment No. 1117.
ParlaMint-FR_2018-10-18-O1024.u239	In order to contribute to the financing of the measures announced in the "Blue Book Overseas", it is necessary to increase the limits of the overseas tax reduction to 4500 euros, instead of 5100, in Guadeloupe, Martinique and La Réunion, and to 6100 euros, instead of 6700, in Guyana and Mayotte.
ParlaMint-FR_2018-10-18-O1024.u240	What is the committee's opinion on these three amendments?
ParlaMint-FR_2018-10-18-O1024.u241	Unfavorable.
ParlaMint-FR_2018-10-18-O1024.u242	What is the Government's opinion?
ParlaMint-FR_2018-10-18-O1024.u243	I would like to point out that the planned scheme also aims to strengthen the progressivity of the IR, as you yourself mentioned with regard to the consideration to be given to taxation. The opinion is therefore unfavourable, and I refer you to the arguments put forward earlier.
ParlaMint-FR_2018-10-18-O1024.u244	I put to the vote Amendment No. 1564.
ParlaMint-FR_2018-10-18-O1024.u245	The result of the vote is as follows: Number of voters 69 Number of votes cast 69 Absolute majority 35 For adoption 26 Against 43
ParlaMint-FR_2018-10-18-O1024.u246	I call Mrs Vainqueur-Christophe to support Amendment No. 2237.
ParlaMint-FR_2018-10-18-O1024.u247	With Article 4, the Government proposes not only to challenge the tax reduction on income enjoyed by taxpayers, but also to adapt the default rate grids of the levy, which will greatly facilitate the entry of taxpayers into higher instalments. For example, if the source levy had been applied as early as 2018, a Guyalupian taxpayer would have entered the 14% tax bracket from 5587 euros of income, while in 2019 he will enter it from 4910 euros, i.e. close to 700 euros of difference! This amendment therefore seeks to apply the indexation of the thresholds of the tranches as provided for in the Hexagon, by applying a coefficient equal to 1,02616, as provided for in section 2 of the draft finance law. We naturally remain opposed to Article 4, but this fallback amendment at least allows ultramarine taxpayers to be treated, in the evolution of their taxation, on an equal footing with all their compatriots.
ParlaMint-FR_2018-10-18-O1024.u248	What is the opinion of the committee?
ParlaMint-FR_2018-10-18-O1024.u249	This draft amendment is based on some confusion, as the default rate grid is a tool for collecting at source, not a competing scale. So you have no cause for concern, dear colleague, and I would ask you to withdraw the amendment.
ParlaMint-FR_2018-10-18-O1024.u250	I have before me three amendments, Nos 489, 1552 and 1304, which can be discussed jointly. I call Mrs Guion-Firmin to support Amendment No. 489.
ParlaMint-FR_2018-10-18-O1024.u251	In the interests of tax justice and legal certainty, this withdrawal amendment aims to postpone to 2024 the entry into force of the scheme, in order to allow taxpayers who have less than five years of residence in Saint-Martin, and therefore considered as tax residents of their home department, to reach the five-year threshold of residence without going through the ceiling of the reduction.
ParlaMint-FR_2018-10-18-O1024.u252	Mrs Josette Manin has the floor to support Amendment No. 1552.
ParlaMint-FR_2018-10-18-O1024.u253	Since the request for deflation has been refused, this amendment tends to postpone the date of the arrangements provided for in Article 2 by two years in order to be able to put in place mechanisms neutralizing the consequences of the measure on the purchasing power of the middle classes and the professionals concerned, whose level of consumption and investment makes the overseas economies live.
ParlaMint-FR_2018-10-18-O1024.u254	Mrs Nathalie Bassire has the floor to support Amendment No. 1304.
ParlaMint-FR_2018-10-18-O1024.u255	He's forbidden.
ParlaMint-FR_2018-10-18-O1024.u256	What is the committee's opinion on these three amendments?
ParlaMint-FR_2018-10-18-O1024.u257	Unfavorable.
ParlaMint-FR_2018-10-18-O1024.u258	What is the Government's opinion?
ParlaMint-FR_2018-10-18-O1024.u259	I'll only say two things. First of all, Mr. President Letchimy, it is wrong to say that some people would become taxable because of the change in the scale. No one will fall into this category.
ParlaMint-FR_2018-10-18-O1024.u260	Don't worry!
ParlaMint-FR_2018-10-18-O1024.u261	I reassure you and confirm that this will not happen to anyone. You will come to me and we will explain – because it is impossible here, where we should all be explained together. In any event, I confirm that no one will be taxable if not previously taxable. Secondly, the impatience on the ground for infrastructure makes me say that reform should not be delayed. We must not lose sight of the vision of economic development – and let me not be told that it is thanks to the overseas countries that we have the first European maritime domain, because those who have been here for ten years with me know that this is one of my greatest battles, they know how much I blame France for not defending these economic zones. On that, therefore, there is nothing to say. Our view of the Overseas Territories is probably shared by most ultramarine Members. We must therefore go beyond the question of income tax, on which we are all crystallising, when it is only a tool to move faster towards what the Overseas Territories demand, as expressed in the context of the overseas foundations. All the people I've met are impatient. So I'm going to answer their patience by telling them that it's now that we're going to invest.
ParlaMint-FR_2018-10-18-O1024.u262	Mr François Pupponi has the floor.
ParlaMint-FR_2018-10-18-O1024.u263	Mr rapporteur-general, Mr Minister, if this measure applies on 1 January 2019, the taxpayers concerned will be affected as early as January, with the levy at source.
ParlaMint-FR_2018-10-18-O1024.u264	Exactly! It's gonna be quick!
ParlaMint-FR_2018-10-18-O1024.u265	But the point of the lag is not so much for public finances as for taxpayers. Minister, allow me to reassure you. You thought, by hearing what I was asking this morning, that we wanted to defend the very rich, or the rich, or the middle classes, but I take you to the word: I am in favour, like you, of increasing the income tax by 4% for the richest taxpayers in our country – and not only overseas, but also in metropolitan France. Here's the question I'm asking myself: for the taxpayers concerned – and you think it's normal for them to be – will this increase appear as early as January 31 on the payroll? If this is part of the withholding tax, the impact will be immediate.
ParlaMint-FR_2018-10-18-O1024.u266	The Minister has the floor.
ParlaMint-FR_2018-10-18-O1024.u267	Mr Pupponi, the question may, of course, arise, but the rate change planned for next year will apply to the adjustment of September, not January – unless, as we mentioned yesterday with Mrs Louwagie, the taxpayer wishes to anticipate and contact tax services to change its tax rate.
ParlaMint-FR_2018-10-18-O1024.u268	This will therefore involve the regularization of September.
ParlaMint-FR_2018-10-18-O1024.u269	This will apply in September 2019, not January.
ParlaMint-FR_2018-10-18-O1024.u270	I have before me a number of amendments to the additional article after Article 4. Mrs Véronique Louwagie has the floor to support Amendment No. 1377.
ParlaMint-FR_2018-10-18-O1024.u271	He's forbidden.
ParlaMint-FR_2018-10-18-O1024.u272	Mrs Véronique Louwagie has the floor to support Amendment No. 1051.
ParlaMint-FR_2018-10-18-O1024.u273	Defendant.
ParlaMint-FR_2018-10-18-O1024.u274	I have before me several amendments Nos 1079, 1119, 1184, 1230, 1293, 1322, 1354 and 1362 which can be presented in a consolidated format. Mrs Véronique Louwagie has the floor to support them.
ParlaMint-FR_2018-10-18-O1024.u275	They're being defended.
ParlaMint-FR_2018-10-18-O1024.u276	Mr Michel Castellani has the floor on Rule 5.
ParlaMint-FR_2018-10-18-O1024.u277	I will mention a particular aspect of this article. Currently, the reduced rate of VAT of 5.5% applies to the supply of heat when it is produced at least 50% from biomass, geothermal and waste – we know all that. It is difficult to explain why solar thermal energy, whose potential is known, is not included in this nomenclature. We will therefore support the amendments in this direction. On a general level, I would like to stress the need to shape a truly incentive taxation for the energy transition, to encourage private investment in this area and also to boost public investment in renewable energy. There is one key topic: the future cannot be built on non-renewable fossil fuels that have been largely started. This reality must be integrated as soon as possible into the mix of concrete achievements and therefore into budgetary policies.
ParlaMint-FR_2018-10-18-O1024.u278	I have before me several identical amendments, Nos 1135, 1324, 1553, 1882, 2008, 2085, 2155 and 2156, to delete the article. Mrs Nathalie Bassire has the floor to support Amendment No. 1135.
ParlaMint-FR_2018-10-18-O1024.u279	It aims to maintain NPR VAT, as this tax measure fully contributes to removing the threshold effect for the financing of productive investments. This would really allow our economic actors, who are very worried, to maintain confidence in government policy.
ParlaMint-FR_2018-10-18-O1024.u280	Mr Jean-Paul Dufrègne has the floor to support Amendment No. 1324.
ParlaMint-FR_2018-10-18-O1024.u281	It also tends to delete this article. Indeed, the abolition of the NPR VAT follows the same logic as the abolition of the tax reduction, of which we spoke a lot earlier: to have the overseas countries themselves finance their development.
ParlaMint-FR_2018-10-18-O1024.u282	I call Mr Letchimy to support Amendment No. 1553.
ParlaMint-FR_2018-10-18-O1024.u283	Based on a totally inappropriate semantics – I know your answer – you make the decision to remove an investment tool. It is true that uncollectible and recoverable VAT seems a bit odd. Besides, if that's what bothers you, I invite you to change his name! It may happen that you change your name, or even your first name, when it bothers you. I am prepared to table an amendment to that effect. However, we must not hide behind the question of the name to ignore what is happening, minister. You are well aware that this tool is intended to finance the cost of removal, recognised by Article 349 of the Treaty of Lisbon – the latter allows differences in treatment, which do not call into question the principle of equal rights applicable in the Republic. It is a tax aid for investment, which does not require approval or a heavy procedure for businesses – which is very important – and is completely transparent. Can you demonstrate that this aid is not transparent? As you know, if the normal rate is 8.50%, the base rate is not 8.50 but 5.66 percent. This is very important because it affects all companies; The NPR VAT makes it possible to build the industrial fabric necessary for these countries. I heard it didn't work. In my opinion, you're killing the nascent industrial fabric and that's a shame. The ZFANG – free zones of new-generation activity –, as you call them, have extremely important financial tools to revive the industrial fabric, but we must not limit ourselves to the tertiary sector. Territorial economic diplomacy makes it possible to import basic and processed raw materials but it is not necessary to import orange, Julie mangoes or other products: Martinique could enter into a process of domestic local production, which we need. We therefore fully agree with the creation of a new economic model. On the other hand, the methods you use are not the right ones: you put the plow before the ox!
ParlaMint-FR_2018-10-18-O1024.u284	Mr Jean-Hugues Ratenon has the floor to support Amendment No. 1882.
ParlaMint-FR_2018-10-18-O1024.u285	We are opposed, as you have understood, to the abolition of uncollectible VAT recoverable. Indeed, the abolition of this VAT is not completely compensated and will represent a revenue reduction for ultramarine companies, which will affect their financial health. You are proposing the creation of an intervention credit scheme, which you say is better targeted, but limited to EUR 100 million per year, while NPR VAT amounts to EUR 220 million to EUR 250 million. This pass-through, passing savings on the ultramarines' back for an increased investment by the state overseas, is, in my view, intolerable. When will you finally take into account the reality of ultramarine companies? Why don't you do a real impact assessment? Some time ago, the Court of Auditors pointed out that all your bills were marked by the weakness and inadequacy of the impact studies accompanying them. Ladies and gentlemen, do not confuse speed and hastyness! Right now, you're half-doing things and making hasty decisions, in an incredible blur. The economy of ultramarine companies is far too fragile to afford the slightest risk. Present us with real, nourished and in-depth impact studies; Then we will judge on a piecemeal basis. [[Mrs Panot applauds]] In the meantime, we call for the deletion of Article 5.
ParlaMint-FR_2018-10-18-O1024.u286	I call Mrs Emmanuelle Ménard to support Amendment No. 2008.
ParlaMint-FR_2018-10-18-O1024.u287	In line with Article 4, Article 5 provides for the financing of the necessary overseas investments by abolishing aid considered ineffective. Here, it is the non-collectible recoverable value added tax scheme applicable in Guadeloupe, Martinique and Réunion that is repealed – the purpose of this scheme was to facilitate the financing of enterprises in these territories. In fact, recently, during the overseas bases, the Government had concluded that the aid was inefficient, but had committed itself that its abolition would be offset by the creation of a €100 million intervention credit scheme. Of course, I do not object to the principle of this measure: to question the merits of aid is obviously the duty of the State. However, I am concerned that good promises are not always followed by action. With the removal of uncollectible VAT recoverable, we are faced with the same logic as for the capping of the income tax reduction, implemented by the previous article: the Government promises to abolish aid and undertakes to pay it back in full for the development of the overseas territories but does not take the necessary measures to keep its promise. Thus, Article 5 does indeed provide for the abolition of uncollectible VAT recoverable, without creating the €100 million scheme promised. So of course, I can only worry about the sincerity of this measure and ask for the deletion of the article, not to bury the measure but on the contrary to take the time necessary to create the compensation mechanism. Otherwise, the confidence of our overseas citizens would be seriously affected.
ParlaMint-FR_2018-10-18-O1024.u288	I call Mrs Bareigts to support Amendment No. 2085.
ParlaMint-FR_2018-10-18-O1024.u289	This is investment aid for SMEs – very small and small and medium-sized enterprises – facing strong competition. In our territories, 95% of companies are SMEs. In order to compete with neighbouring countries, they need investment. The NPR VAT is in fact a simple investment aid – Serge Letchimy reminded us at the moment that it did not require an authorisation procedure, which has the advantage of going fast. By promoting investment, it ensures sustainability, wealth creation and therefore employment. With this approach, the state itself finds itself there, since it recovers taxes on this creation of wealth. So unless you show us that the traceability and security of these devices are problematic, we believe that the current system is entirely relevant and that it must be maintained. That is why we are presenting this amendment.
ParlaMint-FR_2018-10-18-O1024.u290	I call Mrs Vainqueur-Christophe to support Amendment No. 2155.
ParlaMint-FR_2018-10-18-O1024.u291	This amendment, tabled by the Socialist and related group, goes back to the Government's intention to abolish the NPR VAT scheme. In line with that provided for in Article 4, the Government wishes, by this Article, to abolish the subsidy scheme for companies via the NPR VAT mechanism, and thus hopes to recover EUR 100 million per year at the expense of overseas companies. As your government proclaims itself to be decentralizing and liberal, it is a bit strange that it is operating, in this case, a recentralisation of funding. From a tax resource that can be directly mobilised by businesses, it moves to a logic of subsidies, provided and distributed by the Government alone to businesses. So I'm asking you three questions, minister. What will happen for companies that requested the scheme prior to the announcement of the abolition and that will not have paid the tax before 1 January? We have the impression that the figure of EUR 100 million has been made with a wet finger. Can you give us the exact figures for this tax expenditure? This is a budget for the Overseas Mission. What guarantee do you give us that these sums will be sanctuated in the next fiscal years?
ParlaMint-FR_2018-10-18-O1024.u292	Mrs Josette Manin has the floor to support Amendment No. 2156.
ParlaMint-FR_2018-10-18-O1024.u293	Defendant.
ParlaMint-FR_2018-10-18-O1024.u294	On identical amendments Nos 1135, 1324, 1553, 1882, 2008, 2085, 2155 and 2156, I have received a request for a public vote from the La France group. The vote is announced in the National Assembly. What is the committee's opinion on these deletion amendments?
ParlaMint-FR_2018-10-18-O1024.u295	To be clear, these amendments propose to maintain what is called "uncollectible VAT recoverable" – I know that semantics could be changed but it does say what it means. This mechanism is in fact a grant of 8.5 per cent of the acquisition of capital goods in Guadeloupe, Martinique and Réunion. This was originally presented as compensation for transport costs caused by island remoteness. The problem is that this must have had an impact on prices, which is not obvious, far from it. Secondly, a system of recovering VAT which was not initially collected is absolutely impossible to control. The advantage of the measure we are proposing is to recover EUR 100 million from this scheme to inject them directly into the economy of Guadeloupe, Martinique and Réunion, in a slightly healthier way. Indeed, in the second part of the finance bill, the Overseas Mission includes an increase in appropriations which offsets the abolition of the NPR VAT. This seems to me much healthier than the current system, which will in any case be challenged one day because it is not healthy to recover VAT that has not been collected.
ParlaMint-FR_2018-10-18-O1024.u296	What is the Government's opinion?
