ParlaMint-FR_2018-11-12-O1059.u1	The next item is the debate on the draft amending finance law for 2018 (No. 1371, 1395).
ParlaMint-FR_2018-11-12-O1059.u172	A wait, and above all anger!
ParlaMint-FR_2018-11-12-O1059.u173	Last year, we had already pulled the alarm bell and proposed to integrate the fuels into the energy check. You do not need to cancel these EUR 50 million within the programme. I therefore hope that the majority will also support this amendment.
ParlaMint-FR_2018-11-12-O1059.u174	What is the opinion of the committee?
ParlaMint-FR_2018-11-12-O1059.u175	As everyone knows, Madam President Rabault, the energy check replaced the social energy rates, for an expenditure estimated at 581 million euros by the initial finance law for 2018. The cancellations referred to here relate to appropriations put in reserve,...
ParlaMint-FR_2018-11-12-O1059.u176	Yes, up to 10%!
ParlaMint-FR_2018-11-12-O1059.u177	... which do not finance the energy check when they are unavailable, as you well know. Returning to this cancellation would therefore not imply any "extension" to the benefit of the energy check. On the other hand, I can reassure you about the future: the expenditure on the energy check, in the finance bill for 2019, is rising sharply, from 581 million to 711 million euros. [[Smile]] Unfavorable opinion – and I didn't even talk about the pledge.
ParlaMint-FR_2018-11-12-O1059.u178	What is the Government's opinion?
ParlaMint-FR_2018-11-12-O1059.u179	If I may, Mrs. Rabault is a little confused. However, I can understand that some clarification is needed here. The energy cheque was created in 2015, on an experimental basis, before being generalized, by the new government in 2017 to replace social electricity tariffs, for the benefit of non-taxed taxpayers. Let me point out that if the Government had decided to save money on the energy check, you would have already seen it, since it was as early as April that the Service and Payment Agency, the ASP, sent this cheque directly to the approximately 4 million taxpayers concerned – I quote the memory figure.
ParlaMint-FR_2018-11-12-O1059.u180	They are exactly 3.8 million.
ParlaMint-FR_2018-11-12-O1059.u181	As with any invention of a somewhat technocratic nature, it must be said, some difficulties have arisen. First, this cheque is not really one, since the interested parties do not cash it in their bank account; they enter the number on the invoice addressed to their supplier of fuel, wood or electricity – in particular Enedis. For many reasons – death of the person, loss of the cheque, confusion with an advertisement or lack of knowledge of how it works, something that is understandable in people with social difficulties – the rate of non-recourse is now 14%: that is precisely what corresponds to the 50 million cancelled here. I myself have asked the question that you raised, Madam Member: one could legitimately be led to believe, in fact, that the appropriations cancelled would fund something else, which is not in the spirit of the energy check, or that the calibration had been overvalued, which, we agree, would have been surprising. One of the proposals I made, with François de Rugy, to the Prime Minister was to simplify the energy cheque, in particular so as to ensure its actual use by its beneficiaries – a non-recourse rate of 10 to 14% being not negligible. This simplification may be one of the proposals that the Prime Minister will make in the coming days. Moreover, the appropriations allocated to the energy check will be increased next year since, in accordance with what you have passed in the finance bill for 2019, it will be increased from 150 to 200 euros. I have for more than three weeks, on my office as Minister of Action and Public Accounts, Madam President Rabault, a draft decree of 17 pages aimed at simplifying the energy check – admit that, in the case of simplification, one can suspect, with a text of such a volume, the presence of a small wolf...
ParlaMint-FR_2018-11-12-O1059.u182	[[Smile]] I didn't dare say it!
ParlaMint-FR_2018-11-12-O1059.u183	So, for the time being, I have refused to sign this decree. We therefore continue to reflect on this simplification. It is all but obvious, first of all because the ASP, which has a lot of work, must have, in order to send the energy check to its beneficiaries, their tax data, which are those of the current year; However, between these data and those which qualify for the income tax exemption, there may be a one-year lag. On the other hand, the Member, this cheque cannot be fully monetized. We could debate this, but the solution of a direct receipt on a bank account, to be obvious that it could appear at the beginning, would be equated, in the long run, with the payment of a social benefit disconnected from what had motivated the creation of the cheque in the law of 2015, in other words its social motives – according to the very spirit of the social tariffs of electricity – or economics, given the increase in carbon or fuel oil prices, sometimes so damaging in rural areas. In short, monetizing the energy check would probably not be the best solution on the technical level, even if it had the advantage of speed. We understand the meaning of your question. The cancellation of the appropriations we are talking about does not imply any savings measures.
ParlaMint-FR_2018-11-12-O1059.u184	Yes!
ParlaMint-FR_2018-11-12-O1059.u185	No, it's only based on a finding. Since the payment of the energy check is staggered in April, the question arises in the terms I indicated; In fact, the appropriations allocated to this cheque are increasing significantly in the 2019 Finance Bill. The only thing we could regret is that we did not perceive, last year – and you yourself did not know, in 2016, when you were the general rapporteur of the budget – the somewhat technocratic nature of these administrative documents, for a part of the population that is hardly accustomed to it. We will remedy this as soon as next year.
ParlaMint-FR_2018-11-12-O1059.u186	Mrs Valérie Rabault has the floor.
ParlaMint-FR_2018-11-12-O1059.u187	Thank you, Minister, for fighting "technology." You must have a lot of work to do – especially in Bercy!
ParlaMint-FR_2018-11-12-O1059.u188	Not just Bercy!
ParlaMint-FR_2018-11-12-O1059.u189	In any case, I welcome the energy that you are putting to this end. I guess it takes a lot! In this regard, the 17-page decree you mentioned is a revealing example. But let's not play with the words: if 15% of eligible households did not touch the cheque,...
ParlaMint-FR_2018-11-12-O1059.u190	14%!
ParlaMint-FR_2018-11-12-O1059.u191	...it represents 600,000 French.
ParlaMint-FR_2018-11-12-O1059.u192	500,000!
ParlaMint-FR_2018-11-12-O1059.u193	Let's say 550,000, if you like. Do you realize? It is 550,000 to 600,000 French who should have received this money in 2018 and who did not receive it! However, these French suffer the increase in energy taxes.
ParlaMint-FR_2018-11-12-O1059.u194	Of course!
ParlaMint-FR_2018-11-12-O1059.u195	You're the one who decided that!
ParlaMint-FR_2018-11-12-O1059.u196	Minister, you can say a lot, but not that: the increase on January 1, 2018, it was the current majority that voted for it. The trajectory voted under the previous quinquennium went up to 2017 and did not include the increases you had adopted. What had been determined was the price of the carbon tax; This has never been, in any case, the increase, to this extent, in energy taxes. There are therefore 500,000 French people who have suffered the effect of rising energy taxes on the price of their heating this year, and who have not received the energy check.
ParlaMint-FR_2018-11-12-O1059.u197	Give back the money!
ParlaMint-FR_2018-11-12-O1059.u198	And you cancel 50 million euros! Do we realize what we're talking about? It's huge! I would like to hear that there is a practical problem and I would like to thank you, I repeat, for the energy you are putting into trying to solve it, but do not cancel those EUR 50 million. At least postpone them! In the draft submitted to us, they are simply cancelled.
ParlaMint-FR_2018-11-12-O1059.u199	Mrs Véronique Louwagie has the floor.
ParlaMint-FR_2018-11-12-O1059.u200	I would like to go back to the various arguments that you have put forward, Minister. You speak of difficulties, of non-uses, and you say that you have thought about simplifications: we can only rejoice. However, by cancelling EUR 50 million in appropriations, you are depriving the beneficiaries of the scheme of this amount. However, compared to 550,000 households, this 50 million represents some 90 euros per household. For the people concerned, this is a relatively high amount. Many of them may have found it difficult to fill in the various printed materials; Maybe they're not able to pay for fluids, fuel oil, gas. You deprive the French of support worth about 100 euros per household: it's huge. It is also inconsistent at a time when you are thinking, let us learn from the media, how to help citizens faced with the significant tax increases that you have decided for next year. In addition to making the French support these increases, you deprive them of a device that you had planned to use! There is total inconsistency between, on the one hand, your speech, your communication, and, on the other hand, your actions.
ParlaMint-FR_2018-11-12-O1059.u201	Ladies and gentlemen, many of you are asking me to speak. I would remind you that our Rules of Procedure normally allow only two statements per amendment. However, I will give the floor – if you agree, Minister – to Messrs. Wulfranc and Vigier, then to the minister, after which we will vote on the amendment under discussion. I should like to inform you, however, that during this first hour of the sitting we have considered only fifteen amendments. Mr Hubert Wulfranc has the floor.
ParlaMint-FR_2018-11-12-O1059.u202	So this is a technology-based scheme, which my colleague Fabien Roussel told me was known in the North, but underused: the rate of non-recourse is particularly high, as in other regions which are very affected by energy poverty. At the same time, the Government tells us that it is working with the French to help them overcome the difficulties caused by the energy transition. It's political news; and, in view of this, Mrs Rabault suggests that we reserve our decision on the cancellation of the EUR 50 million in appropriations. We ask you to consider his request favourably.
ParlaMint-FR_2018-11-12-O1059.u203	Mr Philippe Vigier has the floor.
ParlaMint-FR_2018-11-12-O1059.u204	I can hear you, minister, when you invoke an economy linked to a finding. Nevertheless, I too want to support Valérie Rabault's amendment, as well as your own commitment to fighting technology, against all these very complicated processes that make people turn away from the devices created to accompany them, as Mr Wulfranc pointed out. What a bad signal you send to people who find it difficult to warm up because of the considerable increase in the cost of energy! The energy check is for them. Of course, it is under-consumption, because it is too complicated, but how do you want these people to understand that they are withdrawing 50 million euros – a sum, in terms of the budget and the cost of energy – from a device that, at the same time, they say they want to simplify or even extend? Indeed, if I understand correctly, the Prime Minister must announce Wednesday or Thursday, before the famous demonstration on 17 November, what measures are chosen among those on which you are working. However, the cost of heating is one of the two factors contributing to higher energy costs for households, along with fuel prices. This file reminds me of others, for which I had the responsibility as mayor – like you – concerning the aids of the National Housing Agency, the ANAH, for which the procedure was so complex, the misalignments so marked! Do not do this to those who are waiting for this sum: 500000 French are concerned; Let's not forget them!
ParlaMint-FR_2018-11-12-O1059.u205	The Minister has the floor.
ParlaMint-FR_2018-11-12-O1059.u206	Mrs Louwagie, the people eligible for the energy check do not fill in printouts. I would like to try to show that the Government is by its very nature mean and that the opposition is by its very nature kind, but things do not work that way; the energy check is automatically sent to the beneficiaries. Mrs Rabault, Bercy is not free from technocratisation, but in this case Bercy is not responsible. We have all, as ministers or as parliamentarians, taken part in a particular majority, and we can see together that the rate of non-recourse to social benefits amounts to 30% for the activity premium and can reach the same level for the RSA. Many of us could tell you, hand over heart, that when you were in power, you did not pay many benefits to people who could claim them.
ParlaMint-FR_2018-11-12-O1059.u207	And that would be true!
ParlaMint-FR_2018-11-12-O1059.u208	But it wouldn't be a good policy.
ParlaMint-FR_2018-11-12-O1059.u209	And that would not answer our arguments!
ParlaMint-FR_2018-11-12-O1059.u210	As for your proposal to postpone EUR 50 million, I am rather surprised that you did not congratulate us on increasing the appropriations by EUR 200 million next year! This is a bad trial that you are bringing to the Government. In fact, we find solutions to simplify the system. Your analysis, Madam Member, is not the right one: there is no economy on the back of its potential beneficiaries; On the contrary, thanks to us, all eligible persons will be able to access it.
ParlaMint-FR_2018-11-12-O1059.u211	But yes, of course...
ParlaMint-FR_2018-11-12-O1059.u212	I put to the vote Amendment No. 132.
ParlaMint-FR_2018-11-12-O1059.u213	The result of the vote is as follows: Number of voters 64 Number of votes cast 61 Absolute majority 31 For adoption 18 Against 43
ParlaMint-FR_2018-11-12-O1059.u214	I call Mrs Sabine Rubin to support Amendment No. 234.
ParlaMint-FR_2018-11-12-O1059.u215	With this amendment, we oppose the cancellation of more than EUR 56 million of the "Economy" mission.
ParlaMint-FR_2018-11-12-O1059.u216	What is the opinion of the committee?
ParlaMint-FR_2018-11-12-O1059.u217	Disadvantage: it is under-consumption that is found.
ParlaMint-FR_2018-11-12-O1059.u218	I call Mrs Sabine Rubin to support Amendment No. 235.
ParlaMint-FR_2018-11-12-O1059.u219	It is again a matter of returning to cancellations of appropriations, this time amounting to 90 million euros, including 13 million staff appropriations, affecting the budget of the tax administration. During the discussion of the anti-fraud bill, we have often referred to the pitting of public finance departments. Bercy's various administrations have lost 22% of their staff in ten years, and in the case of public finances itself, 35,000 posts were abolished between 2002 and the end of 2016. A further decrease of 1,673 jobs has been planned for 2019, even though we have just passed a bill to combat tax evasion. I insist: the continuous bleeding of the tax administration does not seem a good thing to us.
ParlaMint-FR_2018-11-12-O1059.u220	That's right!
ParlaMint-FR_2018-11-12-O1059.u221	What is the opinion of the committee?
ParlaMint-FR_2018-11-12-O1059.u222	Some details: the €90 million cancelled, to a total of €1.9 billion, is due for one third to the cancellation of the precautionary reserve, which was not mobilizable; In addition, more retirements than had been planned at the beginning of the year, amounting to EUR 12 million, under-execution of the reimbursement of EUR 15 million worth of securities-restaurants and control of IT expenditure, which amounts to EUR 22 million. These are purely technical reasons: it is not at all the department's policy that is involved in this matter. Unfavorable opinion.
ParlaMint-FR_2018-11-12-O1059.u223	I have before me two identical amendments, Nos 53 and 238. I call Mr Ludovic Pajot to support Amendment No. 53.
ParlaMint-FR_2018-11-12-O1059.u224	The Finance Amendment Bill re-aligns the funds from Program 303, "Immigration and Asylum", of the Immigration, Asylum and Integration Mission. This increase shows, on the one hand, that the objective of reducing the time taken to investigate asylum applications has not been achieved, on the other hand, that the Government, once again, does not address the causes of massive immigration to our country, since the reasons for the appropriations include the increase in asylum claims. By this amendment, we call for the cancellation of these additional appropriations.
ParlaMint-FR_2018-11-12-O1059.u225	I call Mrs Emmanuelle Ménard to support Amendment No. 238.
ParlaMint-FR_2018-11-12-O1059.u226	[[Exclaims on the banks of the LaREM Group]] There's not much money for our army anymore, but there's money for immigration!
ParlaMint-FR_2018-11-12-O1059.u227	It's been a long time!
ParlaMint-FR_2018-11-12-O1059.u228	I wanted to wake you... If this money were to be used to combat irregular immigration, it would be a pleasure to do so; But not at all: it bails out the caisses of the "Immigration and Asylum" programme. As too often for decades, France's migration policy is unfortunately disconnected from reality. Before welcoming new people to our territory, irregular immigration must first be dealt with. First, we control; Then, under the conditions laid down by France, we welcome, not suffered by it. It seems to me simple and full of common sense. The lack of control over immigration, whether irregular or regular, is increasingly evident; The figures we discover every day are simply staggering. Last Thursday, the Assemblée des départements de France alarmed at the number and cost of unaccompanied immigrant children. In 2018, the departments will have welcomed some 40,000 isolated minors from immigration, compared to 25,000 in 2017 and 13000 in 2016. The press reports the dismay of local elected officials, who fear not only the cost of taking over, but also the risk to which social cohesion is thus exposed. They can be understood: for the sole care of a minor in the framework of the social assistance for children, it is some 50,000 euros that must be paid out. At the end of the year, for this programme alone, EUR 2 billion must be found. While Emmanuel Macron had promised that these expenses would not be a burden on the communities, since the state would bear all of them, the government actually pays only 17 per cent. Those responsible are the Government and its majority, not to mention those who voted in favour of section 2 of the last Immigration Act, which specifically encourages this phenomenon. To control the migration flow, you have to do the opposite of what you propose, by allocating more money to the fight against irregular immigration instead of encouraging it.
ParlaMint-FR_2018-11-12-O1059.u229	What is the opinion of the committee on these identical amendments?
ParlaMint-FR_2018-11-12-O1059.u230	It will be said that the amendment you are defending is consistent with your political speech. It is essential to earmark these appropriations to finance the needs related to the material reception of asylum seekers, the allowance for asylum seekers and the upgrading of the supplement allocated to the unaccommodated applicant, which follows a decision of the Council of State. That's what you're told by the deputy from a very concerned border area. Unfavorable opinion.
ParlaMint-FR_2018-11-12-O1059.u231	What is the Government's opinion?
ParlaMint-FR_2018-11-12-O1059.u232	Same opinion.
ParlaMint-FR_2018-11-12-O1059.u233	Mrs Elise Fajgeles has the floor.
ParlaMint-FR_2018-11-12-O1059.u234	[[Applause on the benches of the LaREM and MODEM groups.– Bertrand Pancher also applauds]] Mrs Ménard, every time you talk about this confusion, I will answer you, in this Chamber or elsewhere. This is not about deciding to welcome more migrants, but about meeting our obligation to welcome asylum seekers and to integrate those who deserve our protection. You continue to confuse all the causes of migration. In the "Immigration, asylum and integration" mission, if the funds allocated to the reception of asylum seekers increase, those allocated to the fight against irregular immigration also increase, whether in 2018 compared to 2017 or for 2019 compared to 2018, in order to ensure the return to the border of the rejected asylum rights – but you know that very well. [[Applause on the benches of the LaREM and MODEM groups.– Bertrand Pancher also applauds]] Whatever happens, in France, it is a conventional, constitutional obligation and it is our tradition: we study all asylum applications and accept these applicants with dignity and humanity.
ParlaMint-FR_2018-11-12-O1059.u235	With what means?
ParlaMint-FR_2018-11-12-O1059.u236	Mrs Emmanuelle Ménard has the floor.
ParlaMint-FR_2018-11-12-O1059.u237	Mrs Fajgeles, since each time you take me back, I will answer you every time. Indeed, the tradition of asylum, in France, is an obligation and a tradition – and a beautiful tradition, I grant it to you. I'm not questioning him. On the other hand, you cannot deny that our asylum policy is completely distorted by migrants who come more and more to France. I will be told that the number of arrivals has fallen in Europe; But this is true only for the whole of Europe: in France, the number of asylum applications increased by 17% in 2017 and by 18% in 2018. There is therefore a tradition of receiving asylum seekers in France and it is very good, except that when this tradition is, I insist, misguided, used to bring in more illegal people, it is necessary to combat this phenomenon.
ParlaMint-FR_2018-11-12-O1059.u238	I call Mrs Sabine Rubin to support Amendment No. 233.
ParlaMint-FR_2018-11-12-O1059.u239	The text provides for the cancellation of EUR 60 million of the Justice Mission's appropriations, including EUR 4 million in staff appropriations. I wonder: at a time when you are planning an increase in the budget for justice by 2022, you are simultaneously canceling EUR 60 million in appropriations, or 2% of the total. The cancellations concerning Title 2, i.e. staff costs, represent eighteen jobs for the judiciary and thirty-two for the judicial protection of young people. However, magistrates in the Seine-Saint-Denis, for example, those in my constituency in particular, have questioned the guard of the seals on the lack of magistrates and the catastrophic state of judicial protection for young people. I would therefore like to know how you intend to reconcile your plan to increase, in the years to come, the appropriations for justice and the cancellation of the appropriations I have just mentioned.
ParlaMint-FR_2018-11-12-O1059.u240	What is the opinion of the committee?
ParlaMint-FR_2018-11-12-O1059.u241	Unfavorable. I would point out that this cancellation of appropriations represents only 0.7% of the total initial appropriations.
ParlaMint-FR_2018-11-12-O1059.u242	No, 2%!
ParlaMint-FR_2018-11-12-O1059.u243	I call Mr Ludovic Pajot to support Amendment No. 85.
ParlaMint-FR_2018-11-12-O1059.u244	He's forbidden.
ParlaMint-FR_2018-11-12-O1059.u245	I call Mrs Sabine Rubin to support Amendment No. 237.
ParlaMint-FR_2018-11-12-O1059.u246	We are still opposed to a reduction in appropriations. This is the cancellation of €204 million of the research and higher education mission's appropriations. It's incomprehensible. The universities of Lille and Rennes, in a state of quasi-bankruptcy, are almost under the supervision of the State. Why not allocate these credits to these universities?
ParlaMint-FR_2018-11-12-O1059.u247	What is the opinion of the committee?
ParlaMint-FR_2018-11-12-O1059.u248	The cancellation of the appropriations in question represents 0.8% of the total initial appropriations. The planned increase in the appropriations for the research and higher education mission, initially of 720 million euros, will nevertheless be more than 500 million euros. All we're canceling is credits put in reserve. Unfavorable opinion.
ParlaMint-FR_2018-11-12-O1059.u249	What is the Government's opinion?
ParlaMint-FR_2018-11-12-O1059.u250	Same opinion.
ParlaMint-FR_2018-11-12-O1059.u251	I put the amendment to the vote.
ParlaMint-FR_2018-11-12-O1059.u252	I wish I had answered, Mr. President!
ParlaMint-FR_2018-11-12-O1059.u253	I call Mr Ludovic Pajot to support Amendment No. 86.
ParlaMint-FR_2018-11-12-O1059.u254	Defendant.
ParlaMint-FR_2018-11-12-O1059.u255	I have before me two amendments, Nos 76 and 236, which may be submitted to a joint debate. I call Mr Ludovic Pajot to support Amendment No. 76.
ParlaMint-FR_2018-11-12-O1059.u256	The PLFR foresees an increase of more than EUR 11 million in funding for state medical aid, the AME. It should be recalled that the purpose of this scheme is to pay social benefits to individuals who are not French nationals and who are present illegally on French territory, i.e. exclusively to illegal immigrants. For our part, we are defending emergency medical aid and we are formally opposed to this new budgetary slippage. The increase in the AME is most scandalous while, at the same time, you are demanding more and more sacrifices from the French and that many of our compatriots give up treatment. Moreover, the AME participates in these pomps aspirants of immigration, in the increase of the flows of migrants who stay in France without rights or titles. Since the creation of the scheme on 1 January 2000 by Lionel Jospin and Martine Aubry, expenditure continues to explode. They increased from €546 million in 2009 to €923.7 million in initial finance law for 2018 and to over €1 billion in the 2019 Finance Bill. The EUR 11.6 million extension requested was largely predictable; Moreover, there is no indication that it will allow the under-budgeting of the AME, which the Caisse nationale de l'assurance maladie will have to bear temporarily once again. Rather than practicing foreign preference, let us allocate these public funds to the prevention of cancer and cardiovascular diseases and to improving the quality of care in our public hospitals.
ParlaMint-FR_2018-11-12-O1059.u257	I call Mrs Emmanuelle Ménard to support Amendment No. 236.
ParlaMint-FR_2018-11-12-O1059.u258	I will repeat this from the outset, since some of us here are quick to give moral lessons: this amendment does not in any way call into question the existence of emergency medical aid to treat people in critical condition or affected by epidemics. On the other hand, this aid must be limited to these very specific situations, because there is no justification for providing non-vital care free of charge for people who are staying in our territory in a way, I recall, illegal and without ever contributing a penny. Last week the Minister of Health considered this increase to be necessary, on the one hand to combat epidemics, and on the other hand because not treating them immediately would cost us much more. What hypocrisy! It is well known that the majority of the AME's budget is neither used to fund vital care nor to combat these famous epidemics. In fact, the French are not fools. It was not until 2011 that the thermal cures – I said well: the thermal cures – were no longer reimbursed by the AME. It is therefore difficult to justify that an AME foreign beneficiary costs an average of almost 3320 euros per year, compared to 2900 euros per French citizen. Many abuses persist; This should cost taxpayers 11643907 euros more than expected in 2018, because, as every year, the AME budget is undervalued. Such a policy is irresponsible. It is essential to reverse the process and reduce spending rather than increase it further. This would require courage in fighting illegal immigration and in changing the AME regime. The French cannot pay again and again for aid provided by a policy as dilatory as, I repeat, irresponsible.
ParlaMint-FR_2018-11-12-O1059.u259	What is the committee's opinion on these two amendments under joint discussion?
ParlaMint-FR_2018-11-12-O1059.u260	I will only recall that the forecast allocation for the AME amounted to EUR 882 million. The appropriations are therefore very modest, since they represent only 1.3 per cent of the expenditure. I express an unfavorable opinion on both amendments – as well as on the considerations expressed by their advocates.
ParlaMint-FR_2018-11-12-O1059.u261	I call Mrs Sabine Rubin to support Amendment No. 277.
ParlaMint-FR_2018-11-12-O1059.u262	With this amendment, we propose to go back to the cancellation of funding in the field of sport, amounting to EUR 11 million, which we consider to be considerable in view of the poor budget of the Sport, Youth and Associative Life mission. I would like to take this opportunity to return to the abolition of EUR 204 million from the research and higher education mission, when two universities are currently facing major budgetary difficulties. Why are these credits not allocated to them? I would like more specific answers to my questions.
ParlaMint-FR_2018-11-12-O1059.u263	What is the opinion of the committee?
ParlaMint-FR_2018-11-12-O1059.u264	With regard to Amendment No 277, the cancellation of EUR 11 million is due to the 40 % increase in appropriations; They have increased from 247 million to 347 million euros. The decrease seems to me to be small in relation to such growth. Unfavorable opinion.
ParlaMint-FR_2018-11-12-O1059.u265	I call Mrs Sabine Rubin to support Amendment No. 274.
ParlaMint-FR_2018-11-12-O1059.u266	I still haven't had an answer about the universities... With this amendment, we would like to go back to the cancellation of EUR 359 million of appropriations entered in the "Access and return to employment" programme of the "Work and employment" mission. This programme finances the aided contracts, which were missed this year by those who were able to benefit from them last year. I would like to have an answer to my question about universities.
ParlaMint-FR_2018-11-12-O1059.u267	What is the opinion of the committee?
ParlaMint-FR_2018-11-12-O1059.u268	With regard to the cancellation of appropriations covered by Amendment No 274, it is justified by lower requirements than provided for in the initial finance law of the Employment Inclusion Fund and by a decrease in expenditure on allowances for jobseekers. Unfavorable opinion.
ParlaMint-FR_2018-11-12-O1059.u269	Mrs Sabine Rubin has the floor to support Amendment No. 300.
ParlaMint-FR_2018-11-12-O1059.u270	We oppose this amendment to the cancellation of EUR 12 million of appropriations under programme 111, "Improving the quality of employment and labour relations". You will still reply that these credits have not been used. For my part, I think that it would be possible to use them usefully. I come back to the case of the two universities I mentioned. Why don't you tell me about the reallocation of appropriations? Is this money you're "sniffing," if I may say so, not necessary? Why, when universities go very badly, is the budget allocated to research and higher education reduced? I would like answers to these questions. Is this a debate or am I talking alone?
ParlaMint-FR_2018-11-12-O1059.u271	What is the opinion of the committee?
ParlaMint-FR_2018-11-12-O1059.u272	Once again, this is a finding of under-consumption of appropriations. Unfavorable opinion on this amendment, which aims to restore unused appropriations.
ParlaMint-FR_2018-11-12-O1059.u273	What is the Government's opinion?
ParlaMint-FR_2018-11-12-O1059.u274	Same opinion.
ParlaMint-FR_2018-11-12-O1059.u275	Do we call it a democratic debate?
ParlaMint-FR_2018-11-12-O1059.u276	Mrs Amélie de Montchalin has the floor.
ParlaMint-FR_2018-11-12-O1059.u277	Mrs Rubin, as part of the examination of the second part of the 2019 finance bill, we will debate tomorrow evening in the Chamber the mission "Research and higher education", of which I am special rapporteur. You will find in my report, published tonight,...
ParlaMint-FR_2018-11-12-O1059.u278	It's the minute of self-promotion!
ParlaMint-FR_2018-11-12-O1059.u279	... all matters relating to the implementation of its 2018 budget and management requirements, which will be subject, at the end of the fiscal year, to changes in appropriations. I would be delighted to discuss with you tomorrow on the one hand the actual under-consumption, on the other hand, the means that the department, with the help of budget management, is reassigning to other priorities. We will have the opportunity to take stock of the implementation of 2018 and to mention the ambitions for 2019. I recall that, by 2019, the budget for education and research will have exceeded EUR 28 billion, whereas this level was only foreseen for 2020 in the law on public finance programming. This represents more than €1.5 billion more than in 2017. We have taken a step ahead of our ambitions, and I think we can welcome that.
ParlaMint-FR_2018-11-12-O1059.u280	Mrs Valérie Rabault has the floor to support Amendment No. 131, which adds an additional Rule after Rule 5.
ParlaMint-FR_2018-11-12-O1059.u281	The purpose of this amendment is to request the Government to submit to Parliament, by 30 June 2019, a report that assesses the impact on the armed forces' equipment of the financing of OPEX through the budget of the Ministry of Armed Forces alone.
ParlaMint-FR_2018-11-12-O1059.u282	What is the opinion of the committee?
ParlaMint-FR_2018-11-12-O1059.u283	I had asked President Rabault, who had tabled a similar amendment in committee, to table it in public so that we could discuss it with the minister. I believe that, earlier, the latter has spoken widely on this issue.
ParlaMint-FR_2018-11-12-O1059.u284	[[Smile]] And with talent!
ParlaMint-FR_2018-11-12-O1059.u285	We will also have a number of elements on the subject: the Court of Auditors' performance report and the notes on the analysis of budgetary implementation for the financial year 2018; the report on the settlement law, together with the annual performance reports; the analysis of the Special Rapporteur of the Defence Mission, our colleague François Cornut-Gentille, and of the draftsmen; Finally, we will hear from the Minister of Armed Forces in May or June to take stock of the 2018 financial year. All of this can, I believe, take place as a report. Unfavorable opinion.
ParlaMint-FR_2018-11-12-O1059.u286	What is the Government's opinion?
ParlaMint-FR_2018-11-12-O1059.u287	Unfavorable.
ParlaMint-FR_2018-11-12-O1059.u288	Mrs Valérie Rabault has the floor.
ParlaMint-FR_2018-11-12-O1059.u289	I withdraw the amendment.
ParlaMint-FR_2018-11-12-O1059.u290	I have before me three identical amendments, Nos 52, 223 and 479, to delete Article 8. I call Mr Ludovic Pajot to support Amendment No. 52.
ParlaMint-FR_2018-11-12-O1059.u291	He's forbidden.
ParlaMint-FR_2018-11-12-O1059.u292	Mrs Rubin, is Amendment No 223 also being defended?
ParlaMint-FR_2018-11-12-O1059.u293	Indeed, Mr. President.
ParlaMint-FR_2018-11-12-O1059.u294	I call Mr Fabien Roussel to support Amendment No. 479.
ParlaMint-FR_2018-11-12-O1059.u295	Minister, on the basis of the Public Finance Programming Act for the years 2018 to 2022, you are proposing to reduce the authorized employment limits by more than 10800 full-time equivalents. The main ministerial departments concerned are national education, the army, public finances and ecology. Perhaps these jobs are not consumed at the moment, but what is certain is that by reducing the employment ceilings, you are reducing the possibilities of hiring tomorrow. In the long run, this means forcing our public policies into development. This is probably how you want to reduce public employment by 2022, according to the path proposed by the President of the Republic. We therefore call for the deletion of this article.
ParlaMint-FR_2018-11-12-O1059.u296	What is the committee's opinion on these three amendments?
ParlaMint-FR_2018-11-12-O1059.u297	I think we're dealing with a reading error. Article 8 is purely technical. It is only a coherence between the level of employment ceilings and the actual level of employment. It follows from section 11 of the Public Finance Programming Act for the years 2018 to 2022, which itself arose from a provision introduced during the Senate's consideration of this text. Article 8 does not remove employment ceilings, but merely shows a situation. Unfavorable opinion.
ParlaMint-FR_2018-11-12-O1059.u298	Ladies and gentlemen, we are now dealing with a long series of amendments with additional articles after Article 8. I call Mr Le Fur to support Amendment No. 272.
ParlaMint-FR_2018-11-12-O1059.u299	Housing is becoming a very sensitive subject. At present, things are not going so badly, activity is strong, but fears are increasing for the coming months. The mayors inform us that applications for building permits have decreased significantly, and we are alerted by various partners. I am thinking in particular of the social housing sector, which, during a recent meeting, expressed its fear that the pace of social housing construction in Brittany, which is 5000 housing units per year today, will fall by 1000 units – these data concern only Brittany, but they are significant. Similar difficulties are to be feared with respect to home ownership, due to the evolution of the PTZ, the zero-rate loan. The amendment is intended to restore the possibility of using PTZ for an acquisition in the nine rural areas, a possibility that you have deleted. We would like things to be put in perspective: what happened with social housing and with the "Pinel" scheme – I would have the opportunity to come back to it – the threats to the PTZ, all this worries us, especially since a construction crisis could occur by the end of 2019. The Crédit Terrain de France estimates that the use of PTZ can increase the investment capacity of families by about 15%. I've toured the heads of banking agencies in my constituency. They say that residents with modest incomes gain access to the property, but that most loan files include a PTZ file next to an ordinaryized loan. Without the first, they say, the second would not be possible. I therefore stress the threat to the entire housing sector in the coming months.
ParlaMint-FR_2018-11-12-O1059.u300	What is the opinion of the committee?
