ParlaMint-FR_2018-07-20-E1027.u1	The meeting was suspended.
ParlaMint-FR_2018-07-20-E1027.u162	But if someone is, let him assume it and make the same commitment as I do to everyone. Maybe President Jacob can do it. Mr.Fesneau, I loved Don Quixote so much that I quite agree – why not? – that it is exciting to fight mills. But don't fight things that don't exist! We have made a proposal for a withdrawal, which is what Mr Bernalicis has just said, in comparison with President Jacob, who himself has adopted a position of withdrawal. So do not blame us for positions that are not ours at this stage. [[Rires on several benches]] And then, be careful: find something else for me than the Inquisition! The Inquisition is rather... well... it's not the same house!
ParlaMint-FR_2018-07-20-E1027.u163	That's right!
ParlaMint-FR_2018-07-20-E1027.u164	Then let's drop the Inquisition and move on. The other patterns are even more ridiculous. The President of the Assembly has just rightly recalled this: the rule is that the debate is public. What are we talking about here? The debate is public, with exceptions: there may be situations where it is decided that it will be held in camera, because it is in the interest of the State...
ParlaMint-FR_2018-07-20-E1027.u165	That's exactly it!
ParlaMint-FR_2018-07-20-E1027.u166	... or a guarantee given to the person who comes to speak.
ParlaMint-FR_2018-07-20-E1027.u167	So it's a state business or not? You'd have to know!
ParlaMint-FR_2018-07-20-E1027.u168	So it's pointless to jump each other to the throat about a subject that doesn't exist! The hearings will be public except when the Commissioners decide otherwise, in the interest of the committee – and I am sure they will do so reasonably, because the first person who will raise his hand to ask that the hearing not be public will see his life become more complicated, we all know. Finally, Mr President, would you accept the principle of a suspension of the sitting so that we can consult with you on what we are going to do tonight?
ParlaMint-FR_2018-07-20-E1027.u169	That's what I asked!
ParlaMint-FR_2018-07-20-E1027.u170	The last speaker to speak on behalf of the groups is Mr Richard Ferrand.
ParlaMint-FR_2018-07-20-E1027.u171	We have just heard different bell sounds about how the office meeting took place, and I must say that this carillon did not shed much light on us.
ParlaMint-FR_2018-07-20-E1027.u172	Speaking of bells...
ParlaMint-FR_2018-07-20-E1027.u173	The image is risky!
ParlaMint-FR_2018-07-20-E1027.u174	We have simply found that the content of this meeting, which is supposed, as it should be, to be held in camera, has been ventilated. But it could only be done by those who were equipped to do so, which was not the case for all.
ParlaMint-FR_2018-07-20-E1027.u175	Elysean methods!
ParlaMint-FR_2018-07-20-E1027.u176	[[Applause on several benches of the LaREM group]] Similarly, it makes sense to think that those who say that in the event of a lock-up they will record everything and transmit on-line what will be said have immediately implemented the intention they have announced.
ParlaMint-FR_2018-07-20-E1027.u177	That's it! They had it all planned!
ParlaMint-FR_2018-07-20-E1027.u178	[[Exclaims on FI banks]] You're gonna tell me these are intentional lawsuits. But in these cases, you have to be careful. [[Applause on the benches of the LaREM group. "Mr. Erwan Balanant also applauds. – Exclaims on the benches of the NG and LR groups]] Chair Lagarde suggested that the group chairmen meet again. Well, I respect the rules and procedures. A commission of inquiry is established; an office met, obviously without success; a commission will meet tomorrow: it will decide. It is not for the group presidents to decide for her beyond the structures we choose.
ParlaMint-FR_2018-07-20-E1027.u179	You have a lot of insurance!
ParlaMint-FR_2018-07-20-E1027.u180	[[Exclaims on the benches of the LR group]] [[Applause on the benches of the LaREM group. – Mr. Erwan Balanant also applauds]] I can hear you stinging, sniffing, looking for trouble: do you see the minister at nine o'clock, at ten o'clock, Saturday, Monday? In short, confusion is organized; and we feel that those who, for hours and hours, have prevented the debate from holding themselves now want to prevent the commission of inquiry from working! [[Exclaims on the benches of the LR group]] But finally, boycott becomes a principle of operation, at home!
ParlaMint-FR_2018-07-20-E1027.u181	It's manipulation! Manipulator!
ParlaMint-FR_2018-07-20-E1027.u182	The exemplary Republic has lead in the wing!
ParlaMint-FR_2018-07-20-E1027.u183	[[Applause on the benches of the LaREM group. – Mr. Erwan Balanant also applauds]] As soon as we propose to work, you refuse; We make a commission of inquiry, you sabotage it. But you don't have anything else to do?
ParlaMint-FR_2018-07-20-E1027.u184	Bravo, congratulations! How right they are to applaud you: you are magisterial!
ParlaMint-FR_2018-07-20-E1027.u185	We said we had to work, we had to investigate, and you refused everything! Well?
ParlaMint-FR_2018-07-20-E1027.u186	You're the one who wants to bury everything!
ParlaMint-FR_2018-07-20-E1027.u187	[[Exclaims on the benches of the LR group]] Look, I don't know how to please you anymore. You are proposed to get back to work, to study amendments; We're proposing that the committee meet: it doesn't suit you. Be clear, assume!
ParlaMint-FR_2018-07-20-E1027.u188	You're evil!
ParlaMint-FR_2018-07-20-E1027.u189	[[Applause on the benches of the LaREM group]] [[Exclaims on the benches of the LR group]] [[Mrs. and Mr. Members of the LaREM Group and several members of the MODEM Group rise and applaud. – Exclaims on various benches]] In truth, you want to sideline parliamentary work, and take pride in it. You want to boycott, paralyze. We want to move forward. That is our intention.
ParlaMint-FR_2018-07-20-E1027.u190	You're a parliamentary barboze! You're lamentable!
ParlaMint-FR_2018-07-20-E1027.u191	Calm down!
ParlaMint-FR_2018-07-20-E1027.u192	We understand you're embarrassed...
ParlaMint-FR_2018-07-20-E1027.u193	[[Brouhahaha]] Ladies and gentlemen... All the groups have spoken, and everything has been said for tonight. The Chair of the Law Committee announced that she would convene the committee tomorrow morning at 9:30 a.m. But we said that we would not meet in parallel.
ParlaMint-FR_2018-07-20-E1027.u194	Therefore, next sitting, tomorrow, at 10.30 a.m.: Further discussion of the constitutional bill for a more representative, accountable and effective democracy. The meeting is adjourned.
