ParlaMint-NO_2018-05-15.ana.ud217e85	The representative, Petter Eide, will put forward a proposal for a representative.
ParlaMint-NO_2018-05-15.ana.ud217e1793	In the national health and hospital plan, the government says that there is expected to be an increased need in the future for both daily and daily treatment. It says that for those over 65 years, a 60 pst is expected. increase in daily and daily treatment by 2030, meaning ‘increased need for bed capacity’. This is the word of the government itself. Now no one has spoken in this debate, and perhaps only the centre party is concerned that new hospitals in Norway are being built too small, and that new hospitals are constantly being minimized because one does not have the economy in the enterprise to build adequately. When I listen to the Council of States, he defends today's practice. He's apparently not worried about what's happened at Ahus, and he's not worried about the experience of Kalnes. And when a draft of St. Olav's hospital was like the big example, it was among the hospitals in Norway that had the biggest problem with overcoating. There were many stories about patients not being well cared for at the time of printing because there were very short lay times. So it's asking you what you're comparing to, and what you're adding that a hospital is a rental star. Kalnes was also used as a good example of it, but then the other side came out. So that you now have an older reform, and that you should try to avoid hospitalization. Of course, everyone is a few in that we're going to try to prevent hospitalization. If one can do it without the installation, it's the best. But we know that when there are so many more older people, and the elderly are major consumers of hospital services, it will, when a cut bed capacity, go out on the elderly, and most of those over 80 years old. We have several new hospital buildings in progress – in Bergen with a new children's and youth centre, OUS here in Oslo, in More and up in the north – and I am concerned that it is not dimensioned according to the professional principles. Yesterday we had a seminar at Stortinget, which was also not well visited. But the big impression from there was that the hospital building, the rental, had a completely different description of reality than the professionals on the floor and how their experiences were with construction. Will the Council of State listen more to the professionals in the future to ensure good hospital construction in Norway?
ParlaMint-NO_2018-05-15.ana.ud217e1804	Yes, professionals are involved in all these planning processes, from the preparation of the new development plans, which will also end up in a new national health and hospital plan. This is put in a completely different way now, precisely to provide better planning tools and better ability to predict what will be needed in the future. I have also established Hospital Building HF as a joint-owned health company, just not to build hospitals in Norway as if every time it does it for the first time. One must gain experience, so that when one has positive and negative experiences from Eastfold hospitals, they are taken into account in planning, for example. the new hospital in the West Viken. That's the way we have to work. Corrections are always needed, for example: that we see that this new way of working requires better capacity at the emergency receptions. Interestingly, the representative chooses to draw up the old statements on Corridor Asians at St. Olav's hospital, and it illustrates my point in a very good way: all predictions at that time were very critical that St. Olav's was built too little. We now see that the bed use at St. Olavs is far below the lowest estimate when the hospital was planned. At the same time, St. Olavs is one of the hospitals with the lowest number of corridor Asians. If I don't remember completely wrong, they were down to 0.1 for major periods last year. Ahus is a good example of the same, a hospital that, after its opening, had a continuous look-up — just as Eastfold has today — about a large number of corridor Asians. Despite a significant population growth in the region of Aarhus, they are now in a completely different situation. It shows us very well that building hospitals today is not counting beds, as it might have been 30-40 years ago. Building hospitals today is about implementing completely new technologies, new ways of working, new ways of organizing work. It's hard. It is difficult because it presents completely different challenges linked to the fact that it is not just a construction project, it is an organisational project, and it is a conversion project. We have to recognize that working in new ways, using new technology, organizing new work, is not something done overnight. Although Østfold hospital did put a lot of work into e.g. To give the employees the opportunity to train in advance, we see that it takes time. It took time at Ahus, it took time at St. Olav's hospital, but hopefully, through the new way of working, this conversion time will also be shorter for the new hospitals because to a far greater extent than before one has the opportunity to learn from past experiences, precisely because it's put better in the system now.
ParlaMint-NO_2018-05-15.ana.ud217e1815	No one else has taken part in the debate. Does the interpellant wish to take advantage of the occasion of a three-minute closing installation? That is not what the interpellant wants, and the debate on substance. So 4 is done.
ParlaMint-NO_2018-05-15.ana.ud217e1831	At the request of the Supervisory and Constitutional Committee, the President will propose that speaking time be limited to 5 minutes to each party group and 5 minutes to members of the Government. In addition, the President will propose that, within the allocated speaking time, up to six rows be given, with replies from members of the Government, and that those on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2018-05-15.ana.ud217e1840	I would like to start by thanking the members of the Committee for a good and constructive cooperation. The Committee delivers a unanimous opinion on the Stortinget. In this management report, the National Audit Office has focused on the extent to which data from national health registries are used to achieve health policy objectives. Health records store health information and are a generic term for both statutory health records and medical quality records. The medical health records are established to provide systematic evidence of treatment outcomes. The statutory health records shall perform nationwide tasks such as health surveillance, prevention, preparedness, financing and health care management. The background to the study has been that some health records do not have sufficient data quality and that there is a risk that information from the registers will not be used to achieve their purpose. There are many actors involved in the work of health registers, and there is a risk that work is not well managed and coordinated. The investigation period is the years from 2015 to April 2017. The following are the points made in the report: Many of the registers have data that is little used. Many health records have not sought quality and are not suitable for comparisons over time. Regional health establishments do not meet the national requirements for registers. Norway lacks a health record for several major disease areas, such as Musculoskeletal and connective tissue disorders, mental disorders and psychosis. The Ministry of Health and Welfare’s use of instruments has not been adapted to health records’ objectives and challenges. It is important that the health records have the quality necessary to capture disease cases and compare trends over time. We need good medical quality records to document treatment outcomes systematically and to know which treatments have the best effect. Such data are an important basis for quality improvements and for research. Regional health establishments are responsible for the establishment, operation and financing of the national quality registers. The establishment of new national medical records depends on the local initiative and the agreement of all regional health establishments. The report states that since 2016 one of the health regions has been opposed to the approval of all applications for new national quality records, with the consequence that no applications have been submitted to the Health Directorate, even if the health care records consider it necessary. Such a practice cannot continue. The Committee agrees with the National Audit Office’s strong recommendation that health businesses should address this issue and establish a system to address the need for national medical quality records across health regions. The Committee also supports better coordination and cooperation between health regions on the national medical quality records, in order to achieve the objectives of the registers. The report refers to major deficiencies or uncertainties in 26 of the 64 examined records that capture all cases of disease. In one third of the registers, own data are not considered to be sufficiently up-to-date and in nearly half of the statutory registers, the data are not considered suitable for comparisons over time. What also emerges is that there are no health records for several major diseases, such as musculoskeletal disorders, mental disorders and drug addiction. These diseases are the main cause of disability and falling out of work. Therefore, health data and good medical quality records are particularly important in these health areas in order to identify the effects of treatment and follow-up. It is also important to be able to make comparisons within their own country, and also across borders, for example. Here in the North, where we live quite equal lives. The Committee asks the State Councils to take seriously the findings of the report and to follow up the recommendations of the National Audit Office. The development of new health records, the improvement of existing and the closure of out-of-date health records must be a priority and a continuous work. In its observations, the Committee calls on the Government to inform the Storting of this work annually in an appropriate manner.
ParlaMint-NO_2018-05-15.ana.ud217e1875	Medical development, improved patient treatment and an increasingly effective healthcare system are not self-evident and are stated health policy objectives. It requires that we constantly develop new knowledge, and then our health records are important sources of knowledge. Through better practice and research, we improve healthcare, and we want the results of research to contribute to better public health, both in the short and long term. The evaluation carried out by the Norwegian Research Council concludes that several Norwegian research communities are world leaders, but that research communities are not allowed to take advantage of their comparative advantage in research, based on both Norwegian biobanks and not least our health records, both the quality registers and the medical records. There are great opportunities in Norway’s consistent healthcare services through population studies, biobanks and health records. The data in our many health records are mainly used today for health research at universities and colleges and in healthcare itself. If the material is also to be used for the development of better diagnostic tests and new and better medicines, which are also health policy objectives, it is also necessary to cooperate with industry. This has been the initiative of Stortinget: to improve the availability of our health records in this way. The government is also among those who have pointed out that our health records are the new oil. That's what many people have done. The Minister of Health has also said that these are opportunities that should be exploited. Unfortunately, the framework for achieving this today is not very effective, and there is a lot of administrative and regulatory research available to each researcher. We in the Workers' Party believe that we need to make this data available through a national infrastructure and a law that can be manipulated in an ethically sound and efficient way. The National Audit Office points out a good deal of the same thing. Therefore, it is a little discouraging to read the attitude of the Control and Constitutional Committee, which explicitly assesses the objectives of health policy to be achieved to an excessive extent by using these effective and accurate health records. It is noted that some of the registers are of poor quality, and a number of improvements are noted. Here I just want to say as a health politician that I hope the Minister of Health will follow up the ambitions of the Storting in a better way in the future, and that the position of the Control and Constitutional Committee is taken seriously and made the recommended improvements.
ParlaMint-NO_2018-05-15.ana.ud217e1888	First, I want to thank the case spokesman for good cooperation and good work, and one can for the most part join the points she had. Just a few points: one sees that there are challenges with these health regulators – getting a system that works. I think that one of the goals set here is to make sure that there is also an economy in the work being done. And when you now see that a lot of health services use health regulators as a quality indicator and management tool, when the National Audit Office actually points out that there are only a few of the registers that are of good quality, there is a concern that this could lead to misassessment and incorrect development of health work in the future. For this reason, it is so important that a carer can take care of this, and that one is careful to use these records for the management of health services before one is able to do so.
ParlaMint-NO_2018-05-15.ana.ud217e1893	I am referring to the fact that the Ministry of Health and Health has taken a clear grip since 2016 on the strategic management of the health registry field. Furthermore, the Executive Board for eHealth from 2017 has been responsible for monitoring and coordinating the development work through the Health Data Programme. The central tasks of the Health Data Programme are the development and use of common solutions for registers, the establishment of a health analysis platform, harmonisation of codes and terminology and the contribution to the further development of legislation. The Programme shall contribute to better privacy and information security, better availability and increased use of data, better data quality and more efficient registry management. I would like to stress that through the role of national authority and through the national eHealth management system, the Directorate for eHealth has introduced the health registry field of new tools and new competences, which provide stronger development and which contribute to new solutions and better coordination in the future. The health record field is subject to ordinary account management and ownership management. The governance dialogue reflects the new priorities through mission, management parameters and performance requirements. The Directorate for eHealth has prepared a separate governance document for the Health Data Programme. The Directorate has also been entrusted with the task of investigating and proposing a model for national portfolio management of health registry measures. Overall, I believe that these measures contribute to better and more effective management of the health register field. I am concerned that more use of health data can bring great benefits to the individual patient and to the Norwegian healthcare system. In today’s system, access to health records data for quality improvement, health analysis and research can be both resource- and time-consuming. This was the background for the establishment of the Health Data Committee by the Ministry in June 2016. The Committee has proposed legal, organisational and technical measures for easier and safer access to health data. Several of the recommendations are followed up by the Health Data Programme and the development of a health analysis platform. Health regions are responsible for developing national medical quality records in areas where there is a need for knowledge. In 2017 and 2018 I have commissioned them to: develop a plan for the development and establishment of new medical quality records in priority disciplines; ensure a governance model that promotes quality records and contributes to the development of new cross-regional medical quality records; draw up an electronic status report for the national medical quality records with the aim of achieving the coverage and use of the quality records; The Health Directorate decides which medical quality records are to have national status. Each year, the registers shall be assessed in accordance with the criteria laid down and the Directorate shall decide whether the registers continue to qualify for national status. Continuous efforts are being made to improve the quality of national medical quality records. In the strategy for work on medical quality records for 2016-2020, health regions have set concrete efficacy targets related to coverage, the provision of results to data reporting entities, the presentation of results from clinical improvement work and the presentation of patient-reported data. In 2017, the results of 48 national medical quality records were published on quality registers.no. I would also like to use financial incentives to increase the coverage of the quality registers, and I would like to put in place a separate regulation on medical quality records that could have an impact on coverage and quality. As regards the need for better data on major disease areas, I believe it is right to give priority to the development of an infrastructure of health registers that overall will provide a better data base. Firstly, it is about prioritising the development of key key registers, such as municipal patient and user registers, which are established this year, the further development of the Norwegian patient register and the Cause of Death Register, and the development of a directly identifiable pharmaceutical register – based on the current Register of Recipes. Secondly, it is about making it easy and secure to compile data across existing registers and data sources. In this way, we can get better data in large disease areas, such as: Psychiatric disorders and disorders without entering the path of new registers. Further development of the health register field is continuous work. The Government will therefore inform the Government each year about the status and progress of the State through an overall review in the budget proposal of the Ministry of Health and Welfare.
ParlaMint-NO_2018-05-15.ana.ud217e1933	Several have not asked for the floor on case No. 5th@item: inlistbox
ParlaMint-NO_2018-05-15.ana.ud217e1949	At the request of the Supervisory and Constitutional Committee, the President will propose that speaking time be limited to 5 minutes to each party group and 5 minutes to members of the Government. In addition, the President will propose that, within the allocated speaking time, six rows be given, with replies from members of the Government, and that those who have to sign up to 3 minutes in addition to the allocated speaking time. – It shall be deemed to have been adopted.
ParlaMint-NO_2018-05-15.ana.ud217e1958	I would like to thank the members of the Committee for their good cooperation in this matter as well. The aim of this study has been to assess whether the authorities facilitate a good referral practice from the stipulators to the specialist healthcare service, so that the resources in this area are used well enough. The referral practices of decision-makers have a significant impact on the activities of hospitals. Norwegian healthcare is organised according to the LEON principle, i.e. The Lavest Effective Care Level Principle, which means that a greater part of the patient’s course should take place in the primary healthcare service. According to the Riksrevision report, much indicates that today’s referral practices are not working optimally and that healthcare resources are being wasted. More than every four regular laymen regularly refer patients to specialist healthcare even if they do not expect any medical benefit from it. At the same time, every third hospital doctor acknowledges that they regularly include patients for investigation even if the referral indicates that the patient should not have been referred to. This violates the LEON principle. The survey covers 650 hospital doctors who have evaluated and prioritised referrals in selected disciplines from 2014 to 2017 and nearly 700 permanent practitioners who have answered each of their questionnaires. The report shows that many decision-makers and hospital doctors do not cooperate well enough on the referrals. There is often a different understanding of what is necessary information in a referral. Reference is made to large variations in the number of references between municipalities and between permanent agencies. It is not the municipality size, the central location of the municipality, or the proportion of older people who can explain the differences. Both the medics and the hospital doctors say they lack tools for simple electronic dialogue with each other. The national audit suggests that the introduction of digital dialogue messages will hopefully improve the quality of referrals. It points to unclear responsibilities between primary and specialised health services, especially in the case of mentally ill and those with drug problems. The Council of State says that he takes this into account with the highest seriousness, and that new models for the interaction and organisation of the services offered to this patient group should be tested through different pilot projects, such as: municipal operation of DPS, district psychiatric centres, testing of follow-up teams, etc. The Committee believes that this is a good thing. People with mental or drug problems often require services from both levels of administration at the same time. That is why good interaction is important here. The National Audit Office considers it important to involve the decision-makers in the development and concreteisation of cooperation agreements between municipalities and health businesses. The report states that the Council of State does not agree with the Riksrevision's claim that the municipality's care-for-responsibilities towards the decision-makers and their referral are unclear. The Council of State refers to the provisions of Section 7 in conjunction with Section 24 which gives the municipalities a clear responsibility to ensure good referral practices by their decision-makers. Although it is so clear in the regulation, the Committee feels that this responsibility needs to be clarified and that the Ministry should support the municipalities in this work, so that the intention of the Storting can be fulfilled. The study shows that the referral guide is not known to the permanent doctors. Only half know the content. The National Audit Service assumes that the quality of referrals to the specialist health service will improve when the supervisor is in place and implemented in the medical records systems of the decision-makers. A unanimous committee expects the Council of State and the Ministry to take the report seriously and to follow up the recommendations of the Riksrevision. It is important that the municipalities understand what is in their care-for-responsibility regulations, and that good follow-up systems are facilitated. Municipalities need to know what measures they can take in their follow-up to their decision-makers. Health enterprises also need to take their share of responsibility and systematise information on the quality of referrals made by the local authorities in order to be able to pass them on to local authorities and the local authorities. It is recommended that good systems be developed for regular feedback to the decision-makers on their own practices and those of others. The National Audit Service recommends that the Ministry should clarify the responsibilities of patients in the field of mental health protection, and in this context examine how the specialist healthcare service can best provide training and guidance, so that the local health service is better able to provide a good offer to this patient group, and ensure that healthcare companies and municipalities clarify what conditions actually give the right to specialist healthcare for this patient group. Finally, I would like to make a small comment on the matter. The National Audit Office's report is about findings and recommendations. The majority of the Committee, the Labour Party, the Centre Party and the SV, have expressed their views on health policy in a separate comment on the cause of the findings. This has chosen the Committee's minority, the Right, the Advance Party and the Christian People's Party, not to comment because we believe it does not belong in the consideration of this report.
ParlaMint-NO_2018-05-15.ana.ud217e1986	In general, we can join the case spokesman and the work she has done in this matter, but I just want to have some comments to make that we have picked up some things and pointed out some things. I think it is important, when we deal with national audit reports, that we also dare to look at causes and see how we should improve our work in the future. I notice that the minister thinks there is nothing unclear between the firmaments and hospitals, but it does little to help when it is perceived as such by the municipal health service. I think it is important that a local health service is actually seen both professionally and economically able to deal with a much larger proportion of patients – more of the work, faster printing – and make this interaction work much better. I also think it is important that we be able to lift ourselves up so that a few smaller differences between the residents of the municipalities, and that the fixed and hospitalized people clearly lack a tool to get a better electronic dialogue with the other party. There's been a lot of work to do, and there's been a lot of spending on e-health. It's high time that a person manages to do this, so that one gets an effect that allows one to get more effective use, where both fixed and hospital doctors actually have the power to work together for the benefit of the patients.
ParlaMint-NO_2018-05-15.ana.ud217e1995	I thank the National Audit Office for a very interesting report, which, in my opinion, could have been favourably sent to the Health Committee for an opinion, because it also says something about the situation of decision-makers in Norway. I assume that poor referral practices have something to do with work requirements and the strain that the prescribers have received recently. Now we look forward to the evaluation of the fixed situation in the time coming, and maybe we can get back to this in this regard. When I take the floor, it is because I register that doctors and hospital doctors do not cooperate well enough on referrals, which often lack the necessary information. And then I wonder a little bit about the methodology of this report. I record that the medical team that has stood for, earlier at least, 30 pst. of the outpatient referrals to the specialist healthcare service have been withdrawn from this report. I did not find a good answer to that before I read the report and came to page 39, where it says that the contract specialists have been taken out of this report because the statistical basis is not satisfactory to the NPR and Helfo. I think this is strange, because if there is something that has been bothering the doctors lately, it must be the reporting requirement. I think this omission of the contract specialists slightly weakens the value of the report. I hope the Riksrevision remembers that and maybe comes back with an answer to that very thing. I find it a little bit more than funny, really. Now there are several contract specialists, the government has promised us. It's on the Jeleya platform. And there may be reason to take a closer look at this question because the contract specialists often — of course — have a very special relationship with their team members. The decision-makers like to have a one-to-one relationship with the contract specialists in their districts, and it's a much better relationship than turning to a large and often impersonal hospital where you don't know which hospital staff you get. I spoke to a contract specialist yesterday, and he said, "It never happens that I refuse referral from a permanent practitioner. I'd better get a phone.
ParlaMint-NO_2018-05-15.ana.ud217e2010	Only a few additional comments, after first joining in the presentation of what is agreed in the committee by the rapporteur, and to the extent that Nils T. Bjørke's contributions. One of the questions is how clearly care-care-responsibilities are in the community health service. I would like to stress what the rapporteur said that when it is clear that the message has not come forward, it can be said that the message is clear, but what defines whether the message is clear is whether it is understood. And it's obviously not. It is important, because we are talking about some of our best resources in the health sector, that the specialist health service is not abused simply, that there are wrong references – because there are scarce resources, and they need to be used as efficiently as possible. So I'm just going to be allowed to associate some comments with general health policy things, there's been some comments. This is part of the interaction reform, and it has several sides. Now we've looked at the reference to the specialist. But it's also a page that those who have been in the specialist health service have to be printed again, and it's a familiar situation that many municipalities feel that printing earlier than before is also a burden on the first level, i.e. the primary health service. We have seen reports that too many people who have been printed have to be put back in. There is no doubt that the Minister of Health has a challenge, we have a common challenge in getting two levels of government to interact. That, I think, is a challenge. But precisely because we have that challenge and are going to keep the patient in focus, it is important that the Council of State follows up the recommendations of the Riksrevision, which are underlined and have been endorsed by an overall committee.
ParlaMint-NO_2018-05-15.ana.ud217e2020	The National Audit Office’s study provides important knowledge that can be used in further work on developing and improving health and care services. I share many of the National Audit Office’s assessments and recommendations, and several measures have already been taken. The report of the National Audit Office is useful both for health authorities, for municipal health and care services, including emergency doctors, and for specialist health services. The report shows that we need better data from the care services. Reference practices should be seen in the context of other medical practice. The Ministry of Health and Welfare has now established a municipal register of patients and users, KPR. This will provide better data for planning, governance, financing and evaluation of municipal health and care services. The fixed medical scheme shall be evaluated, as requested by the Stortinget. When we get the overall results of the evaluation, we will complement an information that may affect referral practices. Recommendations have been made in the report that point to what the Ministry of Health and Welfare should do. I will do my job, but in order to follow up all the recommendations, I also depend on the local authorities, the local authorities and the specialist health services being conscious of their responsibilities. It is clear from the decree that the municipality is responsible for good referral practices. Municipalities may set up systems to follow the referral practices of their decision-makers and may set up systems to follow up decision-makers who do not meet the requirements of the regulation. They may also follow up when they depart from professional recommendations without justification. A national guide has been drawn up to refer to the specialist health service with which all permanent practitioners should be familiar. The Directorate for Health must continue the work of making known to the supervisor so that it is used by the prescribers. The Ministry shall also make it clear to health-care establishments that they are responsible for making available their knowledge of the referral practices of decision-makers. It is also working to integrate the referral guide into the firm’s electronic record-keeping systems so that it is more widely used. Through the so-called EPJ promise, the State and the Medical Association contribute to solutions that provide permanent access to specialist advice and guide directly from the electronic patient record system. It is serious when the provision of services to people with mental health problems and/or drug problems is not perceived as good enough. Municipalities are required to provide the necessary health and care services. It assumes that the municipality will ensure that the local authorities are also familiar with the provision of municipal services as well as the provision of specialist health services. Work is in progress on packaging processes in the field of mental health and alcohol, and implementation starts until the autumn. From January 2019, the first patients in mental health and drug treatment will be referred to the package. This will be an important tool for improving the quality, coherence and interaction of service provision. Municipalities and health enterprises are required to conclude cooperation agreements which clearly identify the tasks to be undertaken at which level. Possible ambiguity in the allocation of responsibilities and responsibilities shall be clarified in these agreements. I now want to assess whether there is a need to investigate whether municipalities and health businesses are gradually complying with the leadership of the cooperation agreements. I agree with the Riksrevision that it is appropriate to examine more closely how the service can provide training in a better way and fulfil the mutual obligation of guidance. I want to address this with the health regions and with KS in terms of municipalities. In the next National Health and Sickness Plan, to be submitted in autumn 2019, mental health protection will be one of the main areas. Cooperation between municipalities and specialist health services, including referral practices, will also be considered. I see that the majority of the Control and Constitutional Committee links the challenges of referral practices to the interaction reform, recruitment to the fixed system, digitisation, prioritisation, patient safety, patient health care, free treatment choices and citizens' expectations. It only shows that everything is interrelated and that referral practices can be improved through all actions undertaken in several areas. The KS, the Medical Association and the State have resumed their tripartite cooperation and have ongoing dialogue with the parties on measures to improve referral practices. The National Audit Office’s report is helpful in making changes, and as Minister of Health, I will follow up on the measures in question.
ParlaMint-NO_2018-05-15.ana.ud217e2037	Several have not asked for the floor on case No. 6th@item: inlistbox
ParlaMint-NO_2018-05-15.ana.ud217e2053	In this article, I do not wish to go into the individual proposals to which the Committee on Control and Constitutional Affairs has commented, but I would like to start by stressing that the Storting has, through its operation, a picture of instructions to the government, and that the government is obliged to implement its decisions as far as it can. If a single Council of State or Government fails to fulfil its obligations in accordance with its decisions, it may and should have some serious consequences. If this important principle in our system is broken, I think we will destroy what is meant by the Constitution, namely that the power of the people is to be exercised through the elected assemblies. At the same time, it is quite clear that the government has a responsibility to ensure that the Stortinget guide and give the Stortinget the information necessary for the Stortinget to take the most appropriate decisions. It's not like all these decisions come to the table on the day that Stortinget makes a decision. As a rule, decisions are the result of a relatively long process, where the government and the members of the government are also aware of what is going on. It therefore requires actual members of the government to take note of it in the Stortinget, in the Grandningssalalen, if, in their opinion, a decision cannot be implemented, as the Storting has ambitions. Often, political victories are celebrated when proposals are passed in the hall. The degree to which decisions are actually followed up is often less noticeable. Report. St. 7, which we have here, represents an important reminder and provides a good summary of the state of implementation of the individual decisions. The fact that more than one hundred decisions taken in this room in the period 2015–2016 are still not implemented builds up under the need for someone to systematically examine how Stortinget’s call decisions are followed up. Some decisions may not, however, be implemented so easily. For these cases, there is reason to stress that there is only one way to rewrite a decision. It is by the Storting itself making a different decision, or by the Storting itself interpreting how the decision is to be implemented. So if the government doesn't find it possible to implement a decision The Storting has ordered the government to implement, there's actually an obligation on the government to come back to the Storing and try to invite the Storing to make another decision. Let me stress that there is reason to be concerned about the strong increase in the number of instruction decisions that we have received in recent years. It is quite obvious that the large amount with a decision point – a total of 459 in the period 2016–2017 – allows questions to be asked about whether the balance between accumulation and government is actually being rocked. When a government does not have a sufficiently strong parliamentary basis in the Stortinget, it will of course be possible for the Stortinget to gather a number of decisions across the proposals of the government. The danger is that there will be many such ‘request decisions’, or appeal decisions, as I would call it – i.e. decisions taken by the Stortinget and signaled that such a decision would, but not implemented. If there's too many in this category, I'm afraid that in the long run, this could lead to people losing control of politics and our people's regime. In my view, some of the appeal decisions that Stortinget has taken could, with the advantage of our wording as an "exploratory decision", or a decision of distribution, which should be referred to as a fairer measure in my case. There will then be decisions in which the government is asked to settle questions, put them into a larger context and return to the Stortinget either with proposals or with big messages in the understanding of the signals given by Stortinget. Looking forward to looking for a better practice, there is reason to wonder if the Stortinge may also be more aware of the way we take call decisions, what kind of decisions we take, and what direction we give them. In a longer time perspective, we should also discuss the relationship between magnificence and government and make sure that we set the situation straight so that the government actually dares say no when the government thinks it, and not pretend that it is, and then come back and try to erase the quality of the decision that is taken. Report. St. 7 on call and distribution decisions, which we have to deal with today, covers only the periods 2015-2016 and 2016-2017, and thus says nothing about any previous stays. The Committee therefore asked the Prime Minister for an overview of non-implemented decisions from autumn 2013 to spring 2015. The letter of reply from the Prime Minister states that 27 decisions from this period are still not followed up. Finally, let me repeat what I started with: there must be no doubt that once the Storting has taken an appeal decision, the government has to stick to this. If you don't want to, you'll get to Stortinget and ask the Stortinge to make a different decision. Finally, a explanations of vote: The Labour Party cannot vote for the proposal of the Central Party, SV and the Christian People's Party as it is now formulated, where it is proposed that the Stortinget ask the Government to base the proposal for a representative in Document 8:123 S for 2016-2017 on the follow-up to the decision-making process 1035,1036, 1037, 1038, 1039 and 1040. If the proposers change the proposal for the adoption of the decision to be taken, the Workers' Party will be able to support this.
ParlaMint-NO_2018-05-15.ana.ud217e2083	Now the rapporteur has just gone through this matter in a good way, so I will be very brief, as the proposer. But I would like to make a comment on the proposal we are promoting together with the Senterpartiet and SV. In his statement, the representative, Mr Rommetvei, who is also the rapporteur on the matter, indicated that the Labour Party could support the proposal if one refers to the vote and not to the proposal. The point of the Christian People's Party is to ensure that the policy adopted by the Stortinget on the occasion of the case, and has its basis in Document 8:123 S for 2016-2017, is implemented in line with the intention. In this context, of course, it is the decision of the Stortinge to deal with, and for us, in this context, it is unproblematic to refer to the position and not to the proposal and precisely to what is the decision of the Stortinge. It is then to clarify the proposal as follows: 'The government is asking the Government to base option 427 S [[2016-2017]] [[...]]
ParlaMint-NO_2018-05-15.ana.ud217e2090	The representative Hans Fredrik Gruvan has taken up the proposal – with the correction made – he referred to.
ParlaMint-NO_2018-05-15.ana.ud217e2095	There is no need for a major review of this matter, it has been done in an excellent manner by the case-rapporteur, and I would like to pay tribute to the case-rapporteur for the very thorough handling of the matter. This is a demanding matter. As referred to in the Communication, there are many request decisions, and there are enough things we might need to discuss in terms of dealing with them for the future. It is an important document for us in the Control and Constitutional Committee to ensure that these decisions are followed up. It is also important that the technical committees, which have laid the basis for the policy adopted, be involved in these matters. I think we'll see about that in the future. With the change in the proposal of the Christian People's Party that was now presented, I think it is natural that the Right also supports that proposal. There was, of course, a unanimous committee behind that decision. Then it's also announced.
ParlaMint-NO_2018-05-15.ana.ud217e2102	I would also like to thank the President-in-Office for his good work and for finding a good principle in how to manage the role of the control committee in these matters. The general work of Stortingen is very central to the process of encouraging and distributing. It's an expression of the people's will. There's a big difference whether we have a minority government or a plural government. A multi-territorial government situation is much more reflected by what comes from the government. If we have a minority government, it's just through the appeal decisions and the distribution decisions this is expressed. One can see that developments here are very closely related to the parliamentary situation we actually have. Some decisions become too much water – perhaps already at the time of the introduction, i.e. at the time of the proposal, but also through the committee procedure, so that we end up with a call for decisions that are very unclear and only say that one should work out and evaluate something. So one makes it difficult for the Storting actually to follow it in a reasonable way, and it's of course easy for the government to get it out quite quickly. But clear decisions need to be followed up, and perhaps the biggest concern in the paleness we are dealing with today is that clear decisions are either not being followed up, being tried or understood in another way, or that it is taking a very long time to actually adopt them. If this persists, we are in a serious parliamentary situation at the next crossroads. It's totally unacceptable. This cannot continue over time – that we have a situation in which the Storting is perceived as being considerate. We have, quite simply, a basic law and clear rules in Stortingen's Rules of Procedure against the view of Stortinget as. And finally, I'm going to say that we have a lot of examples of different types of interpretation here. One example is that when the Stortinget asked the government to introduce annual reporting requirements in child protection, it was understood by the government that one should assess whether this should be legalised in one way or another. That's not what the Stortinget asked them to do, the Stortinget asked that annual reports on child protection should be introduced. We have a lot of different types of examples. The matter we are dealing with today is, of course, out of Rule 14 of the Rules of Procedure. 8 b. This is the matter of whether or not a call and exit decision should be accepted. It is not in the budget, in the revised national budget or elsewhere. There are, of course, discussions about the follow-up to the call-up decision, but this is a matter for receipt. In addition, I don't think we're going to have a reduction in the call and distribution decisions. It is only to look at the parliamentary situation, which probably will not change significantly during the coming year, and that situation will remain. Then I think it's important that at the next crossroads we look at the totality of this and see if the government actually delivers largely from the orders that come from Stortinget.
