ParlaMint-NO_2018-05-23.ana.ud447e28	The so-called alternate of Oslo, Mats A. Kirkebirkeland, is now taking its seat.
ParlaMint-NO_2018-05-23.ana.ud447e453	Initially, Kaski referred to various health business issues. I would ask you to address those questions to the Minister of Health who addresses them. I perceive that the question is primarily about red tape and efficiency reform, and I would like to respond to that. There is a reform this government introduced quite early in our period, where the whole point is to extract efficiency gains from state agencies. Now we're going to get about 1.7 billion. Every year we can spend on increasing well-being, strengthening the hospital economy, strengthening the community economy, strengthening the police budgets and strengthening the transport budget to mention something. I think it is very strange that SV is opposed to a reform, where the whole purpose is to streamline our bureaucracy, release resources, manage taxpayers' money in the best possible way so that we free up resources to strengthen our own well-being. I disagree with the claim that this reform leads to welfare protection – it is rather the opposite. This is a government that has systematically ensured the welfare arrangements, strengthened the well-being of our country, while getting through a difficult situation for the Norwegian economy in the wake of the oil price drop. Then it has been important and necessary to bring growth up, to reduce taxes. I'm standing by. It is not right, as the representative Kaski claims, that the main focus of the government is on giving tax credits to the rich. No, we have done what has been an international recommendation from the OECD, and which we got from our own tax range, we have reduced corporate tax and reduced taxes on labour, which are the most growth-promoting instruments, and that is documented. The fact that we have reduced the tax, along with other instruments, has helped to speed up the Norwegian economy again, and that unemployment is falling and employment is rising. We're going to enjoy that.
ParlaMint-NO_2018-05-23.ana.ud447e464	I don't think I could hear that I got some good answer as to whether the government actually follows up the consequences of its own policy. And it's not a claim that it leads to cut, it's a statement. When you take 9 billion. It has consequences away from hospitals, Nav and the State Radiation Protection Agency. Among other things, in the budget papers from health companies, we see that hospitals have to cut. For example, the Hospital Inland writes in the 2017 budget that it needs to be cut in the field of mental health. At Ahus, millions are saved on having newborns and families sent out of the hospital earlier. In criminal matters, cuts go beyond the number of employees, maintenance and provision of training for the prisoners, while we see an increase in violence and threats to the employees. This is the responsibility of this Minister of Finance. That is the reform of the Minister of Finance. My question -- let me repeat it: Is the government interested in investigating the consequences of these cuts, what are actually the effects of this?
ParlaMint-NO_2018-05-23.ana.ud447e472	This is a reform that facilitates the planning and predictable operation of state agencies for their activities. I expect from all state businesses that they are committed to streamlining, that they are committed to reducing bureaucracy, that they are committed to freeing resources, so that they can improve their operation. That's the whole of the government's budgets, which means something. We've been strengthening the hospitals' finances every year since we've been in government. We've strengthened the police budgets. We got rid of the prison queues. We've taken care of the welfare systems through the devices we've been using. Of course, it's an honest thing that SV's response to all the challenges we're going to face in the future is just to spend more money on everything. I think it's a very bad answer to taxpayers, who should expect politicians from us to keep their money in the best possible way. Then we have to be concerned about picking up efficiency gains.
ParlaMint-NO_2018-05-23.ana.ud447e481	It opens for follow-up questions – first Kari Elisabeth Kaski.
ParlaMint-NO_2018-05-23.ana.ud447e486	What I'm asking is whether the government has investigated the consequences. We don't get any answers as to whether you're actually interested in it. It seems from the Minister of Finance that it is only found that efficiency gains are obtained – but it is known with respect not to report. Now both employees and trustees in the various places where it is being cut warn that the cuts have great consequences. Unfortunately, these consequences are not more effective or bureaucratic, but less services for society and for the most part for people. There will be fewer employees, longer waiting and processing times, and the necessary services will be damaged. The Managing Director of the Children’s Ombudsman says that for them the effect is rather opposite. The Brønn Island Health Registers report an increase in the volume of cases and an increase in the length of proceedings. State radiation protection answers no to the question of whether there will be less bureaucracy. My question to the Minister of Finance is: have you really looked at whether this will make the public sector more efficient?
ParlaMint-NO_2018-05-23.ana.ud447e493	There are many examples of establishments that, through the predictability of this reform, can think in the long term, can think for years to come, can implement measures that improve efficiency, and where profits are systematically obtained in enterprises. I think much more businesses have to do that, simply because this is about how we manage taxpayers' money. This government has on several occasions informed the Storting that in the time to come we will have tighter budgets. If we are to continue to safeguard welfare systems, continue to facilitate growth in some areas that are important, both for the government parties and for the Storting, we need to pick up action spaces somewhere. We must then be looking for improvements in efficiency. We need to debureaucratize. We have to slim down the public sector, and we have to be able to pick up the gains. That is what the government has done through this red tape and efficiency reform. I'm waiting in suspense for other proposals from the Stortinget. So far we've only received proposals for expenditure increases.
ParlaMint-NO_2018-05-23.ana.ud447e502	Kari Elisabeth Kaski – for follow-up questions.
ParlaMint-NO_2018-05-23.ana.ud447e507	This government has – as we have heard earlier today – given 25 billion. kr in tax reliefs, mainly to the richest of us, while oil money consumption has been record high. The public sector should be streamlined. It should be digitised. But it requires a long-term willingness to invest, to invest in learning, to invest in investment in continuing education, in machinery and equipment. Flat cut is the opposite of this. In a case from January this year in the newspaper, the Ministry of Finance refuses to evaluate these cuts, but it is announced that they will be continued every year – without the government being interested in the consequences, even in terms of efficiency improvement. Then my question is to the Minister of Finance: why does the government not want to know what the consequences of the so-called reform, these flat cuts? It's established that it's successful, but the government doesn't know it. I wonder why the government does not want to evaluate this reform.
ParlaMint-NO_2018-05-23.ana.ud447e516	All government councils and ministries follow up the impact of this in their administrative areas. Then the representative Kaski comes with a blatant claim, that the government has essentially given tax relief to the rich. There is a claim that is repeated and repeated from Stortinget, but it is still wrong. It is such that most of the reliefs that this government has provided have been personal tax reliefs. But we've also given priority to giving relief to business, because we know that it works. We have done this both by reducing corporate taxes and by reducing property taxes. We're going to continue to be concerned with keeping the lowest tax burden in Norway because it's about the competitiveness of our businesses, because it's about allowing most people to keep more of their own income. When an average family has received NOK 10 000 in tax bills under this government, there is money. I don't think these are families that see themselves as the richest in our society. We're going to keep the tax pressure down.
ParlaMint-NO_2018-05-23.ana.ud447e527	Let's move on to the next main question.
ParlaMint-NO_2018-05-23.ana.ud447e532	The Minister of Finance may stand still. The Norwegian economy has had a strong development since the 1990s. This is due not only to high oil prices and a good trading relationship with the rest of the world, but also to a good population composition, which means that many have been working. Now it turns around. We have a grey shift. We are getting older, and birth rates have recently fallen dramatically, from 1.98 children per woman in 2009 to 1.62 children per woman in 2017, which is the lowest birth rate ever measured in Norway. This has great consequences. Although children provide public expenditure in the form of kindergartens, family policies and schools, it is more expensive for society to have a high proportion of older people in the population to have pensions, health care and care for the elderly. Fewer young people reduce the workforce and also the consumption, and fewer young people come up with new ideas and create new businesses. It is good for Norway that more children are born in this country. It's good for the economy, and it's good for the future's older people, who need warm hands in the care of the elderly. If you are in your 20s and have children, it's like today that a person is almost seen a little strangely. And if one chooses to have more than three children, it's completely incomprehensible. If you choose care for your own children rather than prioritizing your own career, people shake their heads. For the Christian People's Party, the family is the basic cell of society. The family is a value in itself and is crucial for society and for the quality of life of the individual, that is, completely independent of economic considerations. But since it is the Minister of Finance who is here, I would like to point out that good family policies are also good social economy. Research thus shows a link between the comprehensive family policies of the Nordic countries and slightly higher birth rates of the same countries than in many other European countries. Does the Minister of Finance agree that the importance of family policy for birth rates is one of several good reasons why we need to strengthen family policy in the years to come?
ParlaMint-NO_2018-05-23.ana.ud447e549	This is certainly strictly a question which should have been asked to the Minister for Children and Gender Equality, but a little overall, I can agree with the representative Roppstad on the importance of the welfare arrangements we have for the families with children in Norway. We have good maternity leave schemes, or parental leave schemes, we have recently increased one-off support for those who have not earned parental pension rights, we have cash support, we have child benefit, we have cheap kindergartens, and the sum of these are schemes that have facilitated increased equality in Norway, so that more women have been able to get out of work – schemes that, at least, do not stand in the way of the choice of childbirth. So what's the reason we've seen lower birth rates in the first quarter, the Minister of Finance is going to be a little careful to respond to. But I am aware that the Ministry of Children and Gender Equality has ordered a report from the Statistical Central Bureau to look at how fertility affects the social economy in a longer-term perspective. It's a report that I think will come at the turn of the year, and that can certainly provide interesting findings that both the government and the Christian People's Party can benefit from reading about.
ParlaMint-NO_2018-05-23.ana.ud447e554	I thank you for your answer. It is important that the Minister of Finance does not just lean on the Minister of Child and Family Affairs, although I know that much of the responsibility lies there, because it would be demanding for the Minister of Finance to get the budgets up if the birth figures are too low. That is why I believe that what the Minister for Finance has to do is important measures. She mentions e.g. the one-time carpentry. Since birth rates have dropped so much, one wonders – and researchers ask themselves – whether people don't have as many children as they really want. Much of the reason might be the joyous fact that more women are taking higher education, and that they are thus postponing to have children. But there's also an injustice in the birth grant scheme, because if you're a student or you're just finished studying and having children without a job, one can only get a few $63 000 in one-off social benefits, while if you've come to work and started to earn rights, a few hundred thousand can pay. Many people say they're taking abortion because they don't have the financial security to bring up children. Does the Council of State agree that one-off social benefits can be a scheme that one should increase even more?
ParlaMint-NO_2018-05-23.ana.ud447e562	At least I agree that we have a lot of good and rusty arrangements for families with children in Norway, so at least we can't say that that's why birth figures evolve in the direction they do. The OECD has just presented a report which makes it clear why the Nordic countries are as advanced in the field of equality as they are. This is due, inter alia, to: This. So there is no lack of good and well-functioning welfare arrangements for families with children that is our problem. The challenge of demography, i.e. population development, in Norway we have been familiar with a long time. We spent quite a lot of time substantiating this also in the context of the perspective announcement, and we know that we're going to get more older in the time to come. It's essentially positive. There are several older people who live longer, who live a good life, who can live in owner-occupied housing much longer – it's very positive. But it is true that over time more of the room for action will be seized in the budgets. So we have to give priority to that, make sure the old good conditions rather than perhaps spending even more money on families with children, who already have good arrangements.
ParlaMint-NO_2018-05-23.ana.ud447e569	There will be follow-up questions – first Kjell Ingolf Roppstad.
ParlaMint-NO_2018-05-23.ana.ud447e574	Then it's tempting to come forward Kåre Willoch, who very often points out that the economy of families with children is weakened, for example. child-responsiveness and other things. I do not entirely agree that we do not also need to raise the finances of families with children, but I agree that it is difficult to point out one reason why birth rates have become so low. What is most striking is perhaps the sum of all the schemes that have to be present. I think it would be important to make changes that ensure more full-time jobs for women, more permanent jobs for women, and that a better way of getting into the housing market. I think maybe one of the most important things is that you have security and predictability, stability around family life, and that one can choose to have children in the past. I think some reason is that someone chooses to postpone this for so long, and then maybe it keeps with a child less than that one could initially really think. But as politicians, we also need to make sure that one chooses to have the last child. Do the Councils agree with those considerations?
ParlaMint-NO_2018-05-23.ana.ud447e579	The finance minister should be very careful about wondering what is the cause of the choices that our different families take – they almost have to answer for themselves – but I don't think it's due to the lack of good arrangements for families with children. I agree that we must facilitate fewer involuntary part-time. It also shows the recent OECD report that we can pick up an even greater potential for growth in the Norwegian economy if more hours are worked. Much of the answer then lies in getting more women in full-time jobs, and then we have to do something about the involuntary part-time, which we might see in particular in the care sector.
ParlaMint-NO_2018-05-23.ana.ud447e584	Let's move on to a new main question.
ParlaMint-NO_2018-05-23.ana.ud447e589	One of Siv Jensen's proposals in the revised budget is a tax change for foreign workers in the short term. Instead of completing the ordinary tax return, they will pay a flat tax of 25 pst from next year. Red is for simplification, and I also see the reason that those who work here for short periods of time should be able to pay their taxes without too much plunder. But why does Siv Jensen propose a tax cut that gives a competitive advantage to foreign workers? The ministry writes that the change will lead to 50 million. SEK less in tax revenue to the community next year – 50 million. kr that non-resident workers pay in taxes today, but which they do not pay to next year, thanks to Siv Jensen's proposal. This is, in fact, tax subsidies for temporary workers in a situation where more than 100000 workers and workers are out of work in Norway. LO is worried. I get that. In the consultation round, the LO clearly stated that they are too simplified, as Red, but emphasises the importance of setting the rate high enough, so that there is no tax competition between workers living in Norway and workers on short-term contracts. In addition, we know that temporary employment is an obscurity that is falling under the Progress Party and the Right Government, which absolutely does not need to strengthen a tax subsidy targeted at temporary tasks. I wonder: why is the rate set so low that it gives a real tax cut, when the simplification would be just as simple if the rate were set higher?
ParlaMint-NO_2018-05-23.ana.ud447e596	Let me first say that what the government has done about changing the tax rules for foreign workers, is not a tax subsidy, and it is not supposed to be. It is primarily justified in the creation of errors, which has also been pointed out by the National Audit Office with all possible clarity. This is a proposal that has been put to the hearing. Both the NHO and the LO have expressed their views on it and have been concerned about the rate. The NHO was well concerned that the rate would be lower than that of the government. LO said they thought the rate should be something higher. That's why we've put ourselves at a rate of 25 pst, which is equal to the rate that we've introduced in Sweden. Then it is also important to say that you can choose this scheme, where you tax gross earnings at one rate without deduction. But one can also choose not to go for that scheme, and we are obliged to do so in order to comply with the provisions of EEA law. But this is primarily a cleaning-up in a problem that was subject to a lot of errors, and with which we had to do something.
ParlaMint-NO_2018-05-23.ana.ud447e601	When travelling workers are left with more pay after tax than their colleagues, who have a regular job in Norway, they will be able to accept a lower salary and become more attractive to employers, and this may put pressure on wages and salaries — downwards. In the spring, Siv Jensen has tried to produce the Progress Party as the Labour Party, but why does the Progress Party strike workers in Norway by providing a competitive advantage to foreign workers – at the top of a headless increase in the sugar levy, which affects Norwegian jobs – and dumping Norwegian jobs at sea by allowing shipowners to replace 700 Norwegian seafarers with foreign workers employed on local terms? Is social dumping the way the Progress Party supports workers in Norway?
ParlaMint-NO_2018-05-23.ana.ud447e608	Here the representative mixes quite a number of ingredients in the sauce before serving it.
ParlaMint-NO_2018-05-23.ana.ud447e613	Then it'll be good!
ParlaMint-NO_2018-05-23.ana.ud447e618	No, you have to be careful to balance the ingredients of a sauce, otherwise it can be quite uncomfortable, and so you don't have to mix as many relationships as the representative Moxnes is doing. I am against social dumping, and this government has taken many steps to sort out working conditions in Norway for Norwegian workers, and we will continue to do so. We have also strengthened efforts to combat crime at work, and we have provided flexibility for workers in Norway. What was the original question to the representative of Moxnes was related to this special scheme, in which the government has made changes – because we have been asked to do so, because the Riksrevision has pointed out that there is a system that has significant weaknesses. It is primarily a system that corrects it, and has nothing to do with how the remuneration is done in the individual enterprise. So I think we're going to be careful to mix too many relationships together in this sauce of the representative.
ParlaMint-NO_2018-05-23.ana.ud447e628	It opens for follow-up questions – Sigbjørn Gülsvik.
ParlaMint-NO_2018-05-23.ana.ud447e633	One does not escape the fact that this proposal implies a two-tier system in which Norwegian workers are required to pay full taxes, while non-resident workers must therefore be able to choose which tax they are subject to. Thus, foreign workers should be able to choose the amount of tax that gives them the lowest level of taxation, an option that Norwegian workers do not get. It implies, as stated in the proposition, a tax subsidy on non-resident workers. There will be a competitive disadvantage for Norwegian workers. In its first response, the Council of State shows that one of the reasons for doing so is imposed by the EEA Agreement. Is this the real reason why you have done this, or does the government feel at home that this is a sensible measure to implement?
ParlaMint-NO_2018-05-23.ana.ud447e640	There was at least one measure it was necessary to clean up, all the time the Riksaudition has pointed out that we had to make changes to it, and because we had to try to find a device that also responded to the requirements that we are faced with regarding the EEA Agreement. I think we've been able to do that. But then – and we also write that in the material for Stortinget – there is considerable uncertainty about the proceeds of this. But the goal of the government, which was also the basis for the hearing that was out, was not that this should be a tax subsidy or provide tax revenue. It was supposed to be a neutral system that cleaned up this. And let me remind you what we've proposed, so it's a gross tax without any right to deduction. Gross taxation without deduction. But you can choose to get taxed according to the same system that you and I and everyone else in this country are taxed after, and I think that answers the EEA legal obligations we have.
ParlaMint-NO_2018-05-23.ana.ud447e647	Let's move on to a new main question.
ParlaMint-NO_2018-05-23.ana.ud447e652	My question goes to the Minister of the Elderly, as the first in history. A short time ago, the senior minister presented his retirement message, Live all his life. Well, that's what we all hope to do, safely and well, also the day we need help to master everyday life. When the council presented her retirement bet, she said that there were no new paragraphs and no new appropriations, but that we have some carrots – not a whole field, but a nice bundle. Last week, the Health Directorate presented the first waiting lists of elderly people waiting for a day’s care throughout the country. The figure was 1,420 older people, and in the evening post today we can read that there have actually been 826 fewer places of good luck in the care of the elderly in the last ten years. The government of Solberg has ruled in five of these. Then my question becomes to the Minister of the Elderly: What kind of carrots does she have in order to secure the elderly who need the care of a lucky day, the security they need to live their whole lives?
ParlaMint-NO_2018-05-23.ana.ud447e661	This government has launched many measures. We've both increased the amount of grants for the construction of new nursing homes, we've spent extra money in each framework, and we've been very focused on the investment grant. So it's the individual municipality that's responsible for starting construction of new hospitals. In view of the commitment framework, we have already reached 13 100 places, and 99 pst. has been exploited by that framework during the period in which that government has held, or from 2013 to 2017. Former governments may have been up to 60-66 pst. What is important to us is that the municipalities recognise the need to start building new hospitals, sees the increase that will come and also facilitates those who want to live at home in different ways.
ParlaMint-NO_2018-05-23.ana.ud447e670	As the Council of State says, the municipalities are building these places. Then we know that the municipalities have to plan for these investments. That is why it was in the Count's time that the State contributed this grant. Now the numbers presented before the weekend and today show that you are at a very close range. The size decided earlier this year to equalise rehabilitation and new buildings, in order to increase capacity. In addition, the majority of the population, consisting of the opposition, have also decided to increase the State contribution so that municipalities can develop day-to-day spaces. Because, as the Council of State itself says, day-care facilities are also important for people with dementia in particular to be able to stay at home as far as possible. What is the status of these decisions from Stortinget, and when can municipalities get a clear signal to deploy daily spaces with 50 pst. State aid, and to rehabilitate double rooms for single rooms, which is also planned in many municipalities?
ParlaMint-NO_2018-05-23.ana.ud447e677	The request decision has come to us, and we take that very seriously. We will come back to this in the new budget that comes to the harvest, and then it is important to look at the need that is out there. But most importantly, as I said, the municipalities recognise the need that is there. And it's taken some time from a municipality to apply for grants, to build – whether it's new places, more and better places, investments related to rehabilitation, or adjustments to the available places take time. It takes everything from three to five years before that place is ready to move in. That's what's demanding, and in the evening post today we saw statistics that show that after this government joined, the arrows go up – even if we wanted it to go even faster.
ParlaMint-NO_2018-05-23.ana.ud447e684	It opens for follow-up questions - Tuva Moflag.
ParlaMint-NO_2018-05-23.ana.ud447e689	It is an explicit objective that residents of a nursing home should have exclusive rooms with their own bathroom. It's about dignity the last time in life. The Municipality of Oslo has an offensive commitment to ensure this. Therefore, the City Council does not extend the contract with a nursing home where residents have to use common baths in the hallway. Does the State Council support the community's investment in nursing homes that offer elderly ones with their own bathroom?
ParlaMint-NO_2018-05-23.ana.ud447e694	The most important thing for us is that each municipality knows its challenge and the places they have. Some municipalities see that their places are out of date and do not meet the needs of the elderly today. Then it is important for us that the flexibility that we give the municipalities to be able to make those choices must be there. But it is also possible to show discretion and take older people's need for security and dignity seriously. You might say, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey.
ParlaMint-NO_2018-05-23.ana.ud447e700	Let's go to the next main question.
ParlaMint-NO_2018-05-23.ana.ud447e705	My question goes to the Minister of Defence. As I mentioned in a previous follow-up question, the Committee on Foreign Affairs and Defence was on a committee mission in inner Troms last week. That's where I got it. information about why the Army is totally dependent on having a dedicated helicopter to function. Expressions such as the Helid of the Army were used as a decisive resource, a force multiplier that cannot be avoided. And there are some important reasons for that. One needs, among others setting up sensors to find out where the enemy is. One needs to transport strengths to disable enemies'sensors. One needs MEDAC, i.e. medical evacuation, which maintains motivation, moral and will to fight. One needs supplies to the front line, it's for ammunition, it's for food, etc. It's for border forces and helicopters to move, especially ours and fall, when you can't use either snowmobiles or quadruples or what else you have to use when there's either snow or fog. The competence must also be secured in the north, because we have the US Marines, who are in Norway to train. They shall also be trained to fly in this climate and in this topography. We know that the NH90 is no alternative, as some claim during the management of the land authority proposition. If the Army were to use it, it would also, according to information we got, five times the cost per flight hour. It was a collective mischief for the Army when the revised national budget was presented last week. One of the reasons is that the need for helicopter support for the Army is not taken seriously by the Minister of Defense. We know one needs it. The question is: does the Minister of Defense think that it is defensive that Norway, a country with our distances, should cut helicopters to the Norwegian army, while other countries view the helicopter as a completely necessary resource in their defense?
ParlaMint-NO_2018-05-23.ana.ud447e716	The long-term plan and the land-use proposition are based on the priorities of the professional military, from the head of defence. The Defence Manager is the contact point of the Ministry in relation to those priorities. It is fully possible to travel around and find someone who would have prioritised differently. This boss has been in the Chief of Defense's leadership. They've raised some priorities that make helicopters for the Army come down a bit on the list. Surveillance aircraft are given higher priority, the Marine is given higher priority, submarines are given higher priority. The ability of the Army to move and repair the equipment of the Army is a higher priority. We are now building the ground wall, and then we are building new capacities gradually. Artillery is a prior priority for the Army, The wholeness of the Norwegian defence force is, therefore, the head of defence who has provided it with the help of his leadership. We have followed those priorities to a great extent. If you travel to Bergen, someone is probably dissatisfied that we just order four submarines, no more. There you might find someone who thinks that the Norwegian defence stands and falls on exactly that. When you travel to the army commander, the commander said to me: I have been delivered my settings. I have had my settings delivered, and I agree with the defence manager's priorities. I stand behind the handovers that have been delivered from the head of defense to the department. If, as the commander of the army, I could have been given a different priority with the whole pot, I would have given a different priority, but building defence in Norway is about interaction between army, sea and marine. That's what's been delivered in the big deal. These are our priorities.
ParlaMint-NO_2018-05-23.ana.ud447e727	We got a statement here about what the head of defense is saying. I didn't ask for it. I asked if the Secretary of Defense is satisfied that a down-prioritized helicopter to the Army. I'm going to follow up with a specific question: one of the most important tasks of the Army's helicopter is medical evacuation, i.e. MEDEVAK. To work out whether there is a war or a crisis situation, a training course is needed – quantity training. One doesn't have to travel to Setermoen or Bardufoss or other places to get to know it. It should actually also know when sitting in an office in the government quarter of Oslo. In fact, those who are going to war together must know each other. They need to know how to train. And they have to train in the same way as other NATO countries if they're going to be involved in international operations. It's for the life and health of our solar data. It is incomprehensible that the government does not take responsibility and spend money on something that is so important. And what signal does it send to the solar data? How does the Council of State think that removing the helicopter and thereby showing that the government is depriving life and health of the solar data will affect their fighting morals, the will to stand in war?
ParlaMint-NO_2018-05-23.ana.ud447e736	If I was unclear in my previous answer, of course, I am behind the priorities of the documents we deliver to Stortinget. When we move the capacity down and practice with the special forces, we do it because it's a very complicated operation. What you practice there with the special forces in the case of flight can be transferred directly to the needs of the Army. The helicopters, with the crews, can go straight in and do Army duties with what they've been trained on – MEDACT, deploy spears, deploy supplies. Then we have said that a good part of the capacity of the Army's helicopters can be done with civil capabilities in peacetime. And we're going to have to find a solution for that. It's not like there's any soldiers in the Army up there and they're worried that the helicopter pilots can't make a MEET. No, they're getting more competent at what they're going to do, with the solution we've chosen.
ParlaMint-NO_2018-05-23.ana.ud447e745	Then we've come to the last main question.
ParlaMint-NO_2018-05-23.ana.ud447e750	I would like to take the opportunity to ask the Minister of Finance questions about some of the issues that we have seen revised. The revised report describes the economic situation of the country, and one of the areas of high attention in the document is productivity development. There is a description that productivity has taken on board, about conditions in countries around us and what the government has done to increase productivity. Increased productivity is described as making better use of scarce resources, and that the benefits from more efficient forms of production and organisation are initially partly due to lower prices, partial workers and owners of capital through higher wages and increased return on capital. But what's not in the revised national budget is how the distribution of this is, and how there have been changes in the distribution that have occurred in how you take out productivity gains. So I have two concrete questions to the Council of State: how have the distributions of the gains on increased productivity been through the time of government councils? And have the differences between people become smaller or larger through her time as the Council of State?
ParlaMint-NO_2018-05-23.ana.ud447e755	I guess I see that these are two different questions. First, to the question of inequality: there is a broad consensus in the Storting, that we should maintain the small inequality that we all have in Norway compared to very many other countries. The reason why we're able to do that is because we have tax-funded welfare schemes that are widely agreed on, and that we have a quite efficient driven economy, and I think that's an intention we're going to continue to pursue. Then there was the second question of productivity development. We have had falling productivity growth over many years, both under this government and under the previous government. The joy now is that we see that it's about to turn around. The numbers are getting better. We're going to enjoy that. But we have, among other things, referred to the productivity effects of the red tape and efficiency reform, which I was asked about a little earlier by the representative Kaski in this Questionnaire. It is clear that there are gains that we have made to strengthen both welfare schemes and other areas of activity above the budget, and I believe that it has benefited all citizens in this country by continuing to safeguard welfare systems, by finding room to keep tax and tax pressures at the lowest possible level, by strengthening investment in transport, by providing an offensive long-term defence plan, by strengthening the hospital economy, and by putting into a good community economy, which can provide us with better elderly care in the future. So the sum is that when we spend taxpayers' money more wisely, extract productivity gains and efficiency gains, we release resources that we can use to secure well-being. We're going to enjoy that. The question of the distribution I almost have to get back to the representative Aasrud.
ParlaMint-NO_2018-05-23.ana.ud447e762	I note that the Council of State will neither respond to the increase or decrease in disparities in her time, nor to how productivity growth has been divided between capital and work. I expect that the Council of State can come back to that. But I also hear the Council of State reply that it is important for her to use taxpayers' money wisely, and then I have another concrete question related to the revised national budget. The revised national budget proposes the use of 20 million. to make changes to the Tax Directorate's IT systems in order to keep the four largest municipalities in their municipality number. Is there a reasonable way to spend taxpayers' money?
ParlaMint-NO_2018-05-23.ana.ud447e769	First, to the claim that I will not answer. I tried to give quite adequate answers to both of the questions raised by the representative, both in terms of productivity and in terms of inequality, and we should be glad that the inequality in Norway is small and that we have good welfare arrangements to ensure it. But the most important thing we do to keep the inequality at the lowest possible level is to make it easier for people to get into work. Therefore, it has been important that we have managed to reverse the negative consequences of the oil price drop in 2014. Even more important is the efforts of the government in the future to reform inclusion, where we have more people on the outside of the labour market into the labour market. I hope that the Workers' Party will support action in this area, because it will help to secure well-being, and it will help to reduce differences. Then it is true that in the revised budget we have given additional appropriations to the tax rate. I think that has been absolutely necessary. They are biased in ICT development, and the alternative is that this money will have to be collected by itself, and thus it will go from operating.
ParlaMint-NO_2018-05-23.ana.ud447e776	So the oral question procedure is over.
ParlaMint-NO_2018-05-23.ana.ud447e790	There will be some changes to the questionnaire, and the President will refer to the electronic question list in this section.
ParlaMint-NO_2018-05-23.ana.ud447e795	The changes were as follows: Question 3, from the representative of Mr Sigbjørn Gülsvik to the Minister for Oil and Energy, has been transferred to the Minister for Foreign Affairs who is directing him. However, the question has to be postponed until the next Question Time, when the Minister for Foreign Affairs has left.
ParlaMint-NO_2018-05-23.ana.ud447e803	‘A number of urgent measures have been put in place to address the ongoing crisis in the air ambulance service, including an additional aeroplane picked up from the company Babcock. Can I ask for an overview of all the urgent measures put in place and what are the amounts of each of these measures so far?’
ParlaMint-NO_2018-05-23.ana.ud447e810	A number of urgent measures have been put in place to address the ongoing challenges of reduced preparedness in the air ambulance service, with a view to minimising the impact on patients. It is absolutely necessary to ensure medical preparedness throughout the country, but especially in North Norway. I have had a close dialogue on the emergency situation with Health North and through it also with the Air ambulance service. I have asked Health Nord to present a plan for how they will discharge their responsibilities in the future. The plan must necessarily be further developed and updated as the situation develops, not least in the event of changes in the capacity of Air Transport AS to provide services. The Ministry of Health and Welfare, through the Directorate of Health, has requested the defence. After that, the defense has deployed two manned helicopters in Finnmark. In addition, a supplementary aeroplane has been launched to remedy the situation. I have asked the Air Ambulance Service and Health Nord to explain the costs of the emergency measures that have been taken so far. The air ambulance service has reported the following measures and costs to them: it has contracted a Beech 250 ambulance aircraft from Sweden. The plane is on standby from Monday to Friday in Tromsø. The price will vary slightly, depending on the use, but is in the order of 600 000 kroner per week. It's been agreed to lease in May, i.e. for four weeks, for a total cost of 2.4 million. kr. There is also contracted assistance from Hospital Purchases HF, this at a cost of NOK 250000. There is also a purchase of legal competence for NOK 250000. Air ambulance services have the possibility to rent another aircraft, a jet plane from Sweden. This is then paid per hour, and the cost will then depend on the use. The price is NOK 31 000 per hour. Other planning measures are currently not cost-effective. Health Nord has implemented several remedies. They have stated the following costs relating to these: rent of two helicopters from the Defence Agency for between 350000 and 500000 kroner per week per helicopter. Four weeks have been agreed on, which means a cost of up to 4 million. kr. More ground-based measures have also been put in place to strengthen preparedness. There has been an upsizing of regional AMK at the University Hospital in North Norway at a cost of approx. 70,000 kroner per week. Additional preparedness for orthopaedic services has been established in Lofoten and the West Sea at a cost of approx. 150,000 kroner per week. The Finnish Hospital has had a reinforcement of the car ambulance service on single guards. The estimated cost is NOK 30 000–50000. In addition to this, of course, self-employed administrative staff, both in the Air ambulance service and in the Health North, have had increased preparedness during the period.
ParlaMint-NO_2018-05-23.ana.ud447e827	Thanks for the answer. Yesterday, Today’s Business reported that health peaks chose the worst preparedness for the air ambulance despite tightening requirements, and that Babcock will use fewer pilots and bets to buy the pilots off vacation if it’s blinking. They offered 15 fewer pilots and one less aircraft than the competitor Air Transport and won. The tender documents show that Babcock relies extensively on purchasing free flights from holidays and holidays, which is a voluntary scheme. This means that the preparedness that determines people's safety for life and health is based on pilots selling their leisure time – which we saw going, with Norwegian last summer. What many are asking about, and I hope we can get an answer, is how extensive holiday purchase Babcock informed about in the tendering round. They themselves will not respond to this, but they have referred to the authorities when the media have wanted to respond to this which is absolutely crucial for the future preparedness.
ParlaMint-NO_2018-05-23.ana.ud447e840	The HF Air ambulance service will, of course, respond to the claims made in today’s business yesterday. What is also important is that the overall preparedness of the new tender is higher than in the current situation. Of course, Babcock has undertaken to deliver it. This will be answered by the HF Air ambulance Service, and there will be a separate consultation in the Health and Care Committee tomorrow, where this issue will probably come up.
