ParlaMint-NO_2018-03-07.ana.ud465e28	The representative, Nicholas Wilkinson, will present a proposal for a representative.
ParlaMint-NO_2018-03-07.ana.ud465e547	Thanks for the answer. One of the concrete tools we have in the fight for equal opportunities in employment is the obligation to make representations, which according to the Equality Act is that employers should report on the status of enterprises in relation to gender equality. When we dealt with the Gender Equality Act last year, we received some feedback that this obligation to report was unnecessary bureaucracy for businesses, without sufficient concrete content or effect. So the duty of reporting has been through dangerous waters in recent years, but seems to be on its way safely again. On that basis, and with an eye to Iceland, I would therefore like to ask the Council of State whether she will consider including a part of the obligation to report back to the company, which goes into the company's equal pay situation.
ParlaMint-NO_2018-03-07.ana.ud465e556	As I previously answered a question here today, we are now going through the law, so that we can follow up the request decision of the Stortingen and file a case on the obligation to make representations. There we are concerned that small and medium-sized enterprises should not be over-bureaucratic but at the same time be able to maintain a gender perspective. I will come back to the recording by the representative Bekkevold, after the government has dealt with the matter.
ParlaMint-NO_2018-03-07.ana.ud465e561	It opens for follow-up questions – first Olaug V. Bollestad.
ParlaMint-NO_2018-03-07.ana.ud465e566	At the NRK today, it was noted that there are few female top managers compared to male top managers in Norwegian working life. In the oil and gas industry and shipping sector, a female senior executive serves 81.6 pst. of the remuneration of male top managers in the same profession. So my question to the council is, what does she think about women getting 81.6 pst? of the pay pot, while men get 100? And what will she do directly to smooth this pay gap? Because neither of us can say that we think this is fair when you do the same job.
ParlaMint-NO_2018-03-07.ana.ud465e571	As I also replied to the representative, Bekkevold, I think we have to do a lot of things in the education process, but also work with attitudes and motivations for a less gender-segregated working life than what we now have. Then we also need to stimulate more women to become both middle managers and top managers. I was at an event yesterday, and Berit Svendsen, Group Director of Telenor, was appointed to this year's boardwoman. What was discussed there was that now the Stortinget and our politicians have done enough with the law, now the business and the working life must come after. I hope that we also see a change not least in the case of an equal pay situation.
ParlaMint-NO_2018-03-07.ana.ud465e578	Olaug V. Bollestad – for follow-up questions.
ParlaMint-NO_2018-03-07.ana.ud465e583	I understand that we're pretty much in agreement that we want more female leaders, and I don't just want female middle managers, I also want female top managers. In health, there has been a different gender division. There's a lot of women working there, there's been a lot more female doctors. But it is now once that there are women, even though we have come a long way in many areas, who are still giving birth. We also know that there are women who also take the greatest care burden at home, and we know that the women who take care of them at home are the ones who are not allowed to be on a payroll or a career jump, because you see that they can be on leave arrangements to take care of children. It's a paradox to today's birth rate, I think. My question to the Council of State is: When the Council of State says that there are many other things that have to be done, are there things that have to be done to ensure that women who take care of themselves, who are those who bear children and have maternity responsibility, can also participate in the work and become top managers without there being a pay gap there, even if you take a social responsibility for having children?
ParlaMint-NO_2018-03-07.ana.ud465e590	I am delighted that the government will present a historic parental leave scheme, which is a third just to take care of the equality of the family. We know that when Father is home, it shows research, he takes more responsibility for the child and the home, and Mother goes back to work faster and can invest more in her professional career. I'm really looking forward to that third. That I think would have a lot to say for equality both at home and in the workplace. Then it is that pay discrimination is prohibited. We have to work against employers to ensure that some employers do not remain brake blocks in the workplace. I still believe that there are some industries where you have a long way to go, and there I hope to cooperate with the employers' organisations. Some industries are very good, but some are still hanging. We have to have several fathers who go home and pick up the nursery, who take out the whole family quota and also their share of the community leave, so it doesn't just belong to mom.
ParlaMint-NO_2018-03-07.ana.ud465e600	Let's move on to the next main question.
ParlaMint-NO_2018-03-07.ana.ud465e605	My question goes to the Dale State Council. Compared to the other Nordic countries, Norway is at the bottom of the statistics on the share of land under organic farming. The blue-blue government left in addition to last year's previous stated goal of 15 pst. food production in Norway shall come from organic farming. At the same time, there is reason to believe that demand for organic food will continue to increase in Norway. Demand increased by 14 pst. in the first half of 2017, according to a report by the Directorate for Agriculture. Demand is often greater than Norwegian production and thus requires increased imports. While Norway's targets are weakened, the arrows point in a completely opposite direction in the countries around us. Sweden and Denmark are actively committed to supporting ecosystems. Denmark has a target to double the ecological area up to 15 pst. already by 2020. In Sweden, the target is 30 pst. ecological area by 2030; It is becoming increasingly evident that the government’s lack of support for Norwegian eco-agriculture will lead to trade leakages, increased imports of organic products and loss of rural jobs and value creation, because Norwegian producers do not get the same good conditions as eco-obligors in our neighbouring country and therefore lose out on competition with this market. Will the Council of State present a strategy to correct this imbalance between support for Norwegian, Swedish and Danish eco-objectors?
ParlaMint-NO_2018-03-07.ana.ud465e614	I think I should start by encouraging the representative to read the agricultural policy from the last few years. If, above the agricultural agreement, we are to offset the imbalance between Norway and, for example, Norway. In Denmark, when there is an incentive to eco-production, transfers will definitely not rise. After all, at the top of fairly high transfers to agriculture to stimulate production across the country in all productions, organic producers often experience additional incentives beyond conventional production. Nevertheless, there has been a mismatch between what is produced in Norway and what is consumed in Norway – but in the sense that organic production has never been linked to what is actually demanded in the market, and that is the sensible approach. For Norwegian farmers, the possibility to produce organically shall exist, and Norwegian farmers will take advantage of that possibility as long as one produces the products consumed. But for many years we have had an overproduction on, for example. meat – organically produced, conventionally translated because there was no demand for it. In the milk sector it is partly the same. One area where we have grown is fruit and green, and that also explains why some of the numbers that come from the Directorate of Agriculture show what they do. This is precisely because for fruit and green we have more import needs than we have too many other productions, and that hangs among other things. together with our climatic conditions. So we're going to have an organic production in Norway, we're going to continue to stimulate it, but he should stick with what's actually demanded in the market, so that one doesn't use land to produce food that's not requested by the users. Rather, we should produce more efficiently.
ParlaMint-NO_2018-03-07.ana.ud465e621	The government has decided to put forward a strategy for eco-farming, and there should then be a strategy with high ambitions and concrete measures to take the market, as mentioned by the Dale Council. We need public purchasers to ensure predictable demand. We need more research on how eco-farming can become the best possible spearhead for the environment and animal-friendly agriculture. We need a better economic framework in the agricultural sector. In short, this is an important strategy. My next question will then be: will the Council of State present this strategy as a matter of its own, so that we can also get a proper treatment of it in Stortinget?
ParlaMint-NO_2018-03-07.ana.ud465e628	The answer to that is yes. Stortinget has ordered this, and Stortinget will be delivered. But there is reason to question how coherent the policy of the Green Party is in this area. Because we can, for example, Stimulate organic beef production – it is certainly quite possible, and it is probably possible to get a response to it too – but then the Greens will charge the same production to the Greens. So it's okay that everything is connected, and that one has a thoughtful policy in these areas instead of just running symbol policies. I think the most important thing about the eco-codbat is to move him away from the question of percentages for sales or purchases and to create a production that is related to market demand, so that consumers in Norway feel that they can buy the goods they want. It is the most important provision for happiness in organic production. That's what I'm going to address in the eco-strategy that we're going to put forward.
ParlaMint-NO_2018-03-07.ana.ud465e635	It opens for follow-up questions – Per Espen Stoknes.
ParlaMint-NO_2018-03-07.ana.ud465e640	I'm glad Dale acknowledges that demand for organic products is growing strongly in Norway. Switzerland is a very interesting country to learn from in this way. They have the world's highest per-capita consumption of organic food, with a total of 31 pst. of the area of organic production in 2015. My final question is: Will the Council of State ensure that the strategy acquires thorough knowledge from the Swiss experience — another mountain with enormously varied topography and soil — to look at what can be transferred to Norwegian conditions?
ParlaMint-NO_2018-03-07.ana.ud465e647	I always let myself be inspired by things other countries do right. I'm not sure Switzerland is the only place one has to go after it. Switzerland has a land area of about the same size as Trøndelag. It's easier to keep the cultural landscape up there. It is located in the centre of central Europe and has a significantly larger market around it. But I'm sure it's also possible to see what experience they've had. At the end of the day, this is about the fact that today we have had significantly higher organic production of many products than we have been on the market. An imbalance between production and turnover is not good for anyone. That is why we must have organic production that is linked to market demand.
ParlaMint-NO_2018-03-07.ana.ud465e652	Let's move on to the next main question.
ParlaMint-NO_2018-03-07.ana.ud465e657	My question goes to the Minister for Children and Gender Equality: It's March 8th tomorrow, a day to highlight the gender equality challenges we have in Norway, and they're many, despite the fact that we've come very far compared to most countries. One of the arrangements that have been crucial for equality, that women and men can combine family life with working life, is among other things. the parental leave scheme — with a large father’s quota, which allows mother to go back to work and father to go home and take part in the care of children, homes and homes. It's primarily good for the child, it's good for the father and the child's relationship, and it's good for equality at home and for equality in society in general. Because we know that when women have children, something happens about career development and gender equality in working life and in family life. Fortunately, the government has listened to the Left, who, like the Workers' Party, believes that a large part of the parental leave should be a father's quota reserved for father. Nevertheless, many thousands of fathers do not have the right to a single day of papacy leave, because mothers do not have earned rights before birth and do not have the opportunity to go into activity after birth. In these cases, Father loses everything and is not given the opportunity to be at home and bond closely with his child. It is unfair and is a quite obvious gender equality challenge in Norway today. It also believes that the EU, which has asked Norway to change the scheme, so that all dads get cardboard. What will the Council of State do to correct this, so that all fathers have the opportunity to have paper issue?
ParlaMint-NO_2018-03-07.ana.ud465e668	I am very pleased that the Workers' Party has expressed such clear support for the proposal of the third division, and I am pleased that the government will soon present it, that mother and father will have each their own corpse. But we also have a third to free distribution, which I hope many fathers are going to take out, and that this is not still going to be the mother's share. It's right, as the representative of the Trettebergstien has said, that we've got questions from ESA. There is currently no obligation to pay parental leave. Nevertheless, ESA considers that it may be discriminatory in relation to equality. I believe it should be up to national authorities what conditions are met for entitlement to the payment of parental leave. We have one of Europe's most noisy and equivocal parental leave schemes, and I do not believe that the requirement for mother's activity is contrary to the EU's gender equality directive. I believe it should be up to us as a national authority to decide for ourselves how best to arrange the payments of parental leave, and therefore Norway has sent a letter to ESA where we believe this is not correct. Then it is that removing the activity requirement could have a negative effect on employment. We haven't anchored in the Jelaua platform that we're going to do something about the obligation of activity, so far. [[The President clubs.]] It's also a budgetary question because it's about 800 million. kr.
ParlaMint-NO_2018-03-07.ana.ud465e678	Time's up.
ParlaMint-NO_2018-03-07.ana.ud465e683	I am pleased that the Council of State is pleased to file a case on three-part leave, because we know that the Council of State was previously opposed to the entire father's quota, but has turned around. It's a pleasure. But also on this question that we are now discussing, the Council of State has turned around, and it is not as joyful. In 2010, the current representative of Groningen, Hofstad Helleland, said that today fathers can have the job for 20 years and pay taxes and social security contributions without having the opportunity to withdraw a family allowance. ‘This discriminates against several thousand men in the law. It shall change to the right’, said the Council of State at that time. How did the Council of State, when she was a poacher, feel that all fathers were going to have a paper mission, and that the law is discriminating against fathers, but that it is now suddenly no longer doing so?
ParlaMint-NO_2018-03-07.ana.ud465e690	I see both sides of this case. As I said, the obligation of activity also contributes to a faster return to work, and we know that it contributes to increased equality at home as well. But when I now say that this is not discriminatory, it has to do with what ESA has said to us. I believe that what ESA tells us to change is not contrary to the Equality Act. All the time now there is no obligation to pay parental leave, I believe this must be up to the national authorities to decide for themselves. So to the activity requirement: for father to take out a common part, mother must be in work, in studies, in the introduction program or qualification program. If both have earned the right, this allowance does not apply. But if father has earned the right to parental leave and mother then goes into an activity, as mentioned earlier, then father may have the right to be at home with paid parental leave.
ParlaMint-NO_2018-03-07.ana.ud465e697	It opens for follow-up questions – first Anette Trettebergstien.
ParlaMint-NO_2018-03-07.ana.ud465e702	It is nice to explain the legislation, but we know the legislation. My question is what the Council of State should do to correct that injustice. The working party has been involved in introducing the activity requirement and thought it was right, but when we see that nearly 6,000 fathers lose the right to take out the paper issue because mother has no earned rights and has no activity to go into, we have to ask ourselves how well this activity requirement actually works. Does the Council of State see that it will be good for the equality at home and also for the equality and workline later that, despite Mom’s lack of activity, father can actually get away from home, take responsibility for home and home, and be home with children even in cases where mother is not active?
ParlaMint-NO_2018-03-07.ana.ud465e709	I remember when I was the women's political leader in the Right and had the position that I was going to kick the mother party a little behind, that I went out and said it was discriminatory that my father did not get his own right of withdrawal. Then the Workers' Party sat in government, and for eight years the Workers' Party chose not to do anything about it. They didn't think it was discriminatory. So the Labour Party challenges me now and asks me why I shouldn't do anything about it. Has the Labour Party prioritised one krone to correct this so-called discrimination against father in its alternative budget? No, the Labour Party has not put one penny in its own budget. If this is so discriminatory for father, perhaps the Workers' Party should give priority to doing something about it – before they attack and demand government answers. I am not saying that I do not see that this can be perceived unfairly by some fathers. What I do not agree with is discriminatory, is what ESA has specifically accused us of.
ParlaMint-NO_2018-03-07.ana.ud465e714	Kari Henriksen – for follow-up questions.
ParlaMint-NO_2018-03-07.ana.ud465e719	It is useful to record that the Council of State considers it more important to receive answers from the Workers' Party than to answer it itself. But that's another thing. The Labour Party has provided the most important gender equality reform in recent times, namely full childcare coverage. We can therefore see that the Minister for Children and Gender Equality has come up with better ideas on cardboard. The scrap safety of paperwork turned out to be of a short-term nature. Governments have also been short-sighted in the past in the wake of sloppy opinions on family policies. Before the government change, she said about kindergarten places that there would be a continuous recording with monthly counting points as the norm for kindergarten admissions in Norwegian municipalities. The first thing the Right-leaded government did was cut the kindergarten bet. There were longer cows and more expensive young children's parents to have room. Going high, but failing in the follow-up seems to be a bit of a trademark for Hofstad Helleland as the Council of State. Can we hope for a somewhat better date stamping of the political statement in the new role of the Council of State as Minister for Children?
ParlaMint-NO_2018-03-07.ana.ud465e724	There has probably been a nice workshop between the Workers' Party and SV when they have gone through quotes from me as the women's political leader from 2008, 2010 and 2012. Now we are in 2018. I am most concerned about the future, what we should do to improve equality, so that families can combine good care for their children and take care of family priorities in their everyday lives and at the same time be active. That's why I'm glad that more people go to kindergarten, that we've reduced the kindergarten payment for those who earn the least, and that we have trial projects to reduce the cost for the SFO as well. I'm glad that we have one of the world's most plentiful arrangements, and that there is a Right Party, Progress Party and Left Government that is going to present the most offensively equal parental leave ever in Norway.
ParlaMint-NO_2018-03-07.ana.ud465e729	Let's go to the next main question.
ParlaMint-NO_2018-03-07.ana.ud465e734	My question goes to the Dale State Council. This applies to the agricultural policy of the Right and the Advance Party. It appears in the Notice. St. 11 for 2016-2017, Change and development — A future-oriented agricultural production, under Chapter 8, Increased production in Norwegian resources, on the societal mission of agricultural policy: ‘The self-sufficiency rate corrected for imports of feed should not be a result target for increased food production based on Norwegian resources.’ Calculated in this way, the degree of maritime supply of agricultural food is about 50 pst. In its position, there was a note from the Workers' Party, the Centre Party, the SV and the Christian People's Party which took a distance from this definition, and proposed instead: ‘self-sufficiency corrected for imports of feed as a result target for Norwegian food production on Norwegian resources’.» When calculating the degree of maritime supply in this way, an international definition, the degree of maritime supply for Norwegian agricultural food will be about 40 pst. This is frighteningly low and needs to be increased. It requires larger plant production in Norway. We need better fertility in the soil and greater area in operation. Agricultural policy is a matter for society. The societal mission is food security — enough to be safe food. The holder is the instrument and has to have profitability in production in order to carry out the societal task, as is the role of health professionals in implementing health policy. The social mission of agriculture, food security, must be followed up in the agricultural settlement of the year. Greater profitability needs to be stimulated in the private sector to implement the content of this societal task. My question is: will the government follow up the majority comments of the Grand Duchy, or does the government need a decision to decide on the policy in line with this social mission?
ParlaMint-NO_2018-03-07.ana.ud465e756	I note that in the processing of the Storing Message to which the representative Lundtegegen refers, the Centre Party went away from the self-sufficiency targets that they themselves proposed from Stortinget, the last time they were in government. That the Center Party brings with it the other party on Stortinget to reverse what one itself was for once, does not surprise me in any way, and I am able to take the signal on it. The only thing that will happen is that we'll never be self-sufficient in Norway. The way to measure it will make us unable to do it. I accept that Storting may choose to believe that it is the best way to measure the degree of self-sufficiency. However, in a country that primarily has the potential to produce grass – from which comes animal production, which largely results in food production based on protein – it is very little smart to achieve results based on where it has been producing sugar for years, which gives us carbohydrates. If the Storting wants such a result measure, they'll get it. But we don't have to trick ourselves into thinking that it says something about our ability to keep food production at a high level – because we do. To a greater extent than ever before, we produce food in this country. This government has strengthened the agricultural division of labour and improved the production of fruit and vegetables and cereals in the best agricultural areas — at the expense of grassland, which may remain in the districts — and thus have agriculture throughout the country. So if you're busy with results, there might be other parameters you should be as attentive as how to measure this self-sufficiency rate, which will vary between 40 pst. and 50 pst. – depending on the crop – with the way Lundtigen speaks for, and at the top of 50 pst. And the portion of the centurion, when they were appointed to the government, which I charged to the great assembly last year.
ParlaMint-NO_2018-03-07.ana.ud465e767	These were many words to a concrete question. My question was simple: will the government follow up the majority comments of the Grand Duchy, or does the government need large numbers of people to change policy in line with this social mission? That's the central one.
ParlaMint-NO_2018-03-07.ana.ud465e772	I thought the Center Party was familiar with using a lot of words. At least they have done so in agricultural policy as long as I have followed. There have been few results. I will try to be an example card: As I said in my previous answer, I will base the plural comments from Stortinget, and I will report it to Stortinget, while making the Stortinget aware of what the number will look like if one calculates the other way.
ParlaMint-NO_2018-03-07.ana.ud465e777	Let's move on to the next main question.
ParlaMint-NO_2018-03-07.ana.ud465e782	My question goes to the Minister of State. A total construction industry was behind the report Simple to be serious, which was a response to an order from the government. When the report was available, the recommendations were ignored, which means that the construction industry is now asking itself if the government really meant the goal of facilitating the serious industry. Instead of following the recommendations of the report, the government has now come to the conclusion that they will set up an expert committee, but without representation by the social partners. It once again shows that the government does not understand or will use the tripartite cooperation to ensure a serious and organised working life. The industry is asking for measures that make it easy to be serious, but the government seems to be the easiest way to make new investigations, rather than political action. It shouldn't be on us. I can guarantee that the Storting would vote in favour of any proposal that would have actually strengthened the serious construction industry, if the government had agreed to make proposals. Why does the Council of State consider that the BNL and the Joint Alliance are not relevant to the expert committee, especially given that the background to the case is the report simple to be serious, which these very actors were behind?
ParlaMint-NO_2018-03-07.ana.ud465e795	I can assure you that this is a work the government is taking seriously. That's why it's a work that's been top priority the weeks I've been a municipal minister. We have had many meetings with representatives of the construction industry. It's big, it's important, and it's holding up all over the country. It consists of many small, many medium-sized and some large enterprises, and the challenges are quite different. They're very different whether you're working with masonry or you're a carpenter. There are also very many actors and many interest groups. I am responsible for the central approval authority. It has been a major debate on this. It's a code that's been patched up for 20 years now, and it's time to do a more thorough job. I feel that the parties agree very much on that. We've taken the parties' input seriously and invited them to make representations about who's going to sit in an expert group, and it's simply to get to work that's manageable. The BNL alone has pointed to 14 representatives in a party selection. I don't think we can handle that. We therefore need to get experts who are confident in doing a job and make recommendations. Then we have invited the parties to sit in an advisory body and work closely on the experts. It is the parties who know their challenges, who have knowledge, and they can provide the necessary information and have a dialogue with the Expert Committee. So this is simply about putting in place a new code that is being followed equally throughout the country, but which the different groups also have confidence in. It's a lot of work, but it's an important piece of work that we, as I said, prioritise.
ParlaMint-NO_2018-03-07.ana.ud465e806	I believe that the top experts in this field are those who represent the industry and the employees in these industries. And it is quite remarkable that the government does not listen to the recordings that come from the social partners to be taken seriously, to be involved in this work, but which are most graciously allowed to sit in a so-called reference group. I believe that it is no shame to turn to the Council of State, and I had met a signal that the parties would be invited to sit in this committee of experts. In parallel with this, however, the government has already accepted a new interpretation of the legislation of the Construction Quality Directorate, which allows a person to obtain central approval without permanent employees. This undermines the skilled worker, and it opens the door to unprofessional operators, to which the Workers' Party is strongly critical. Is the Council willing to reinterpret the legislation until the work on new legislation is in place?
ParlaMint-NO_2018-03-07.ana.ud465e813	I just have to stress: we take the parties' input very seriously. We have close dialogue, and I feel that we are very much in agreement that we need to put in place a new and appropriate legislation. But then there's a very big disagreement between the different groups about how this legislation should be, and then I'm concerned that we're getting a job that can give us some good advice based on the input from the parties. We need to take the knowledge they have very seriously, but we also need to get a job done and get a result of that work. We now have dialogue with the parties on how to deal with this interim period. When the directorate did an interpretation of the regulation, it was because they perceive not to have the authority for what they have demanded. We live in a state of law, we have to have a basis for the demands we make, but we are now in close dialogue with the parties on how the legislation should be until we have a new one in place.
ParlaMint-NO_2018-03-07.ana.ud465e822	It opens up for follow-up questions – first Arild Grande.
ParlaMint-NO_2018-03-07.ana.ud465e827	I get no answer from the Council of State to what is my question. Is the Council willing to wait until the work of the Committee of Experts has been completed to reinterpret the legislation? I hear the Council of State is interested in getting a recording. There is clear evidence from an overall industry that the new interpretation of the legislation is detrimental to serious actors. An expert committee is now to be set up and action is to be taken. Is the Council willing to put the new interpretation on hold until work is done?
ParlaMint-NO_2018-03-07.ana.ud465e832	I have answered the question. We're in dialogue with the parties about how we're going to behave now in an interim period. But I just have to repeat: we need to be allowed the requirements we set. We cannot make demands that we do not have the right to make. It is not legal under Norwegian law, it is not legal under the EEA Agreement. Therefore, we need to agree with the parties on how to behave in an interim period now, until we have a good and forward-looking system in place.
ParlaMint-NO_2018-03-07.ana.ud465e841	So the oral question procedure is over.
ParlaMint-NO_2018-03-07.ana.ud465e855	There will be some changes to the questionnaire, and the President will refer to the electronic question list in this section. The changes were as follows: Question 1, from the representative Jonas Gahr Støre to the Prime Minister, will be answered by the Minister of Health. Question 8, from the representative Tore Hagebakken to the Minister for Health, will be answered by the Minister for the Elderly and Public Health who directs him. At the request of the State Council, the question is moved and answered before question 15, to be answered by the same State Council. Question 11, from the representative of Mr Huitfeldt to the Minister for Foreign Affairs, must be postponed until the next Question Time, when the Minister for Foreign Affairs has left. Question 16, from the representative Nina Sandberg to the Minister for Research and Higher Education, will be answered by the Minister for Older People and Public Health on behalf of the Minister for Research and Higher Education, who has left. The first question is from the representative Jonas Gahr Støre to the Minister of Health. Gahr Støre is not present, and we will then proceed to question 2, which is from the representative of Kari Henriksen to the Minister of Finance.
ParlaMint-NO_2018-03-07.ana.ud465e875	‘The Municipality of Kvinesdal is notified by the Vest, Vest-Agder IKS Municipal Audit Office that they will not certify the requirement for VAT compensation for the 6th of semester 2017 to the swimming pool, without taking into account the fact that this is considered in competition with private operators. With this practice, the absence of VAT compensation could mean closed municipal bathing and swimming facilities throughout the country. What will the Council of State do to ensure that bathing and swimming facilities will continue to be accessible and affordable for all, and not just for those with a good economy?’
ParlaMint-NO_2018-03-07.ana.ud465e882	Framework financing is the main principle for financing the municipal sector. The fact that municipalities have freedom of action is important for the service to be well adapted to local needs and for the efficient use of local resources. It is up to each municipality to prioritize between good purposes in its municipality. The state contributes by providing municipalities with good and predictable financial framework conditions. The economic situation in the municipalities is good and has been strongly strengthened during this government. The real growth in the total income of the local government sector is estimated at 2.4 pst. annual in the four-year period from 2013 to 2017, against 2 pst. from 2009 to 2013. The government is concerned that our children will learn to swim, regardless of income. The government has followed up the strategy against child poverty. In the 2018 budget agreement, 30 million were prioritised. kr more for swimming training in kindergarten, so that the grant now amounts to 66 million. kr. In the case of the VAT compensation scheme for the municipal sector, it is based on self-determination. This means that the municipality itself provides the basis for VAT compensation in the tax notification. If the tax office examines this determination, the municipality may appeal against the decision. The Tax Directorate is the Board of Appeal, and the municipality may also bring the case before the courts. The Ministry of Finance is not a decision-making authority, so I cannot go into individual cases. Municipalities are initially outside the VAT system and, because of their lack of right to deduct, have an incentive to produce their own rather than to buy goods and services from others. The purpose of the compensation scheme is to counter this distortion of competition by providing compensation for VAT to municipalities. Thus, the compensation scheme is not a support scheme for the municipal sector. Municipalities also operate outside their core area and can offer a range of services that are partly provided in competition with private actors, such as the public sector. offer of sport through swimming facilities. As a general rule, sport is exempt from VAT. In that case, there is neither a right to deduct VAT nor a right to compensation. In such cases, compensation granted to municipalities would discriminate against private and local authorities. The aim of the rules is to ensure a level playing field and therefore no compensation is granted to municipalities in so far as they have economic activity in competition with other service providers. This rule was introduced in 2008, after ESA concluded that parts of the compensation scheme were in breach of State aid law. The purpose of the compensation rules is not to privatise municipal activities but to ensure that municipal and private activities in the same market are treated in a non-discriminatory manner.
ParlaMint-NO_2018-03-07.ana.ud465e905	Thanks for the answer. In terms of predictable framework conditions, as I understand it, these rules have changed during the construction period, but that is another matter. I record that the government is using the ESA code, and they also get criticism that they are using this code without carefully assessing the scope of action it provides. In the reduced Hjelmeng selection, KS and LO have taken it in some areas of that sample, precisely on the basis of this relationship between private and municipal services. L.O. economist Reegård even says that the government has turned its back on ESA. Can the Minister of Finance guarantee to Stortinget that there is no room for action to solve this by other means?
ParlaMint-NO_2018-03-07.ana.ud465e916	This code is known. It's known for Stortinget, it's known to the municipalities, it's known to the actors. This is a piece of legislation that we have to follow. This is a problem that comes up at regular intervals in Stortinget, but the legislation has been known for many years, including under previous governments. The problem is not the regulation itself. I think at least we should agree that non-discrimination between private and public operators in the same business is a prerequisite. That is why this legislation came into place in its time. It is therefore not a support scheme. Then, of course, the municipalities themselves need to figure out how they want to solve the organisation of different offers to their inhabitants.
ParlaMint-NO_2018-03-07.ana.ud465e921	I record that the Minister of Finance guarantees that there is no other room for action in these cases. But the reality is that Kvinesdal and other municipalities lose income because they have to compensate for this loss of VAT. For Kvinesdal municipality, that means between 13 and 14 million. kr. And so they're going to be in the state treasury instead of in the municipal register. It is possible that it will contribute to the financing of the tax cuts that the government has in progress. The alternative for municipalities to pay this is either that they have to borrow, or that they have to take it from the fund reserve. They've got a 14-million-dollar cultural budget. NOK, and they may then have to pay the repayment of loans of around NOK 700000 in instalments. This will affect the provision of services, for example: cultural activities of children and young people and public health activities in the municipality. What will the Council of State do to ensure that children and young people have reasonable access to bathing facilities and do not have to reduce the activity of the cultural offer in Kvinesdal and other municipalities that will be affected, such as: Buddy? Will she return the income she collects?
ParlaMint-NO_2018-03-07.ana.ud465e928	The question suggests that the representative speaks on the regulatory page. This is not a regulation intended as a support scheme for the municipal sector. It is intended as a zero game to facilitate non-discrimination in competition between operators operating in the same market. I thought the Workers' Party agreed to that, especially because this legislation came into place under a previous government. That being said, this government has given priority to the efforts of children and young people, among other things. through strong municipal budgets over several years, which have made the local economy stronger than it has been in many years, thus enabling municipalities to give priority to the most important tasks, which I think we can agree on, among other things. is about children and young people.
ParlaMint-NO_2018-03-07.ana.ud465e933	Then we go back to question 1.
ParlaMint-NO_2018-03-07.ana.ud465e941	This question, from the representative Jonas Gahr Støre to the Prime Minister, will be answered by the Minister of Health.
ParlaMint-NO_2018-03-07.ana.ud465e946	I am sorry that I was absent from the beginning of the meeting. ‘The Minister of State has had a lucrative commitment to both the UN’s Millennium Goal and the UN’s Sustainable Development Goal. But the new sustainability targets are very comprehensive: 17 targets and 169 targets. Norwegian development policy cannot have full speed in all directions at the same time. We must give priority. The Stoltenberg II government prioritised in particular maternal and paediatric health, thousand-year-olds 4 and 5. What will the government do to achieve sustainability targets 3.1. – that by 2030 the world society will reduce maternal mortality to less than 70 per 100,000 live births?’»
ParlaMint-NO_2018-03-07.ana.ud465e955	On behalf of the Prime Minister, I would like to answer this important question. The UN Sustainable Development Goal involves a time separation in development policy. The objectives are ambitious and universal and focus on partnership and cooperation between countries. In the Jeløya platform, the Blue-Green Government states that human rights and the UN's sustainability objectives are to be the overall framework of development policy. Within sustainability targets, the government will select some areas where Norway has particularly good conditions to make a difference. The government further developed the Norwegian global health leadership. Our priorities testify to long-term leadership and commitment to the work of sexual and reproductive health and rights. Norway has a rights-based approach and supports the work on access to safe abortion and means of contraception and combating sexual mutilation and child and forced marriage. Overall health assistance is high in record terms and targets women, children and young people in particular. Reduced maternal mortality, sustainability objective 3.1, is a high priority within the government’s health effort. Reduced maternal mortality was also one of the thousand-year targets that was not achieved and that was therefore passed on. The government contributes to this through a number of targeted efforts. The Prime Minister participated in the launch of the Global Finance Facility Every Woman Every Child, GFF, in 2015. Norway is today the largest contributor to the GFF, with a GDP of 3.6 billion. kr for the period 2015-2020. The GFF aims to ensure universal access to healthcare, in particular prevention, maternity and maternity services and services for children and young people. At the same time, efforts are being made to ensure a transition to long-term domestic funding in order to ensure sustainability. In the light of the international movements She Decides and Family Planning 2020, which mobilise the rights of girls to determine their own bodies and futures and to increase access to prevention, the government has committed itself to increasing investment in sexual and reproductive health and rights by 700 million. kr between 2017 and 2020, with particular emphasis on access to safe abortion, prevention and sexual education. Central partners in addition to the GFF are the UN Population Fund, UNAIDS, UNESCO, UNICEF and, in particular, civil society organisations. The efforts of these organisations are at the heart of our efforts to reduce maternal mortality. Teenage pregnancies and childbirth pose a significantly higher risk of death in mother and child than in later life. This is why the government’s efforts for girls’ education focus on continuing girls at school, which is an important contribution in this area. Sexual education is another important area, and Norway hosted an expert meeting on sexual education in December 2017.
