ParlaMint-NO_2018-02-28.ana.ud158e28	The representative, Mr Grøvan, will present a proposal for a representative.
ParlaMint-NO_2018-02-28.ana.ud158e495	Mona Fagerås – for follow-up questions.
ParlaMint-NO_2018-02-28.ana.ud158e500	In the introduction of the six-year reform, it was stressed that six-year-olds should enter school and take the game from kindergarten. There should be two pedagogues, the kindergarten teacher in combination with the general teacher, and, as the representative Hareide said, with the best from kindergarten and the best from school. Nevertheless, the result is that we have gained a more instrumentalistic learning vision, and that this learning vision has increasingly taken over for our younger kids as well. A theoretical and one-way day of school with demands and results, I overshadow school everyday life also at 1st to 4th stages. For SV, it is important to take care of all young people and to ensure that we have appropriate training for all. Does the Minister agree that the play and the self-esteem of childhood are to be maintained in school, and is this well maintained today? Or what does the Minister think you have to do in that case?
ParlaMint-NO_2018-02-28.ana.ud158e507	I have not met a single teacher who is not concerned with caring for the whole human being, rather on the contrary. I meet so many proud and good teachers in Norwegian school, who are concerned that students should have a safe and good school day, that they should facilitate the development of the whole human being, but also that the children should learn. From childhood to kindergarten, we know that they want to learn, but then you learn different ways: language development in kindergarten, and in school they have to learn to read, write and calculate. The investment we now have, both in the teaching norm, as a result of the budgetary agreement with the Christian People's Party, and also the government's great commitment to early efforts and the whole trade renewal that we've now started, will give the teacher more room to be a teacher. It will also help students learn more. Now we're going in the right direction, and we're going to get even better.
ParlaMint-NO_2018-02-28.ana.ud158e516	Let's go to the next main question.
ParlaMint-NO_2018-02-28.ana.ud158e521	I have a question for Minister of Health Höie. The Health Directorate states that 96 pst. believes that work is important for their mental health. This is very consistent with international studies on quality of life. A workplace can provide dignity, a sense of mastery and respect in the eyes of others — and thus in their own. All of this is crucial to quality of life, especially in those with mental disabilities. But we see the opposite now. More and more people are out of work because of mental illness. The perspective report shows that for more than half of those under 40 years of age who were granted disability benefit in 2014, the cause was mental illness. On the other hand, the National Institute for Safety and Health at Work has shown that long working days and shiftwork have a negative effect on mental health, and start falling out of work first, often mental disorders can also get worse, i.e. a vicious circle. So my question to the Minister of Health is: Will the Minister of Health take the initiative to assess shorter working hours as an instrument for reducing mental illness in the population?
ParlaMint-NO_2018-02-28.ana.ud158e532	The first part of the question is that I agree with a hundred percent – work is essentially healthful, and the fact that people are involved in the working life is given the opportunity to contribute to society, that society sends a signal to everyone that we need them, creates good health. There is some background to the fact that the blue-green government in its new platform has said that the state should take the lead in an integration process, where people with holes in the CV, perhaps as a result of a mental health challenge or drug addiction, are given priority and opportunity to get into work. The state has to go ahead. It is also the way in which health care is now leading more and more strongly to work being seen as part of the treatment. We have e.g. in my hometown, Stavanger, in mental health, something called a JobRecept, which means that when one is already being treated for mental health challenges, as part of the treatment, it comes to work. It's giving us very nice results. When it comes to the question itself, it is the responsibility of another Council of State, but I can only say that I have little faith that the answer to the fact that more people are going to work in Norway is that we are going to divide the tasks we have into even more. I believe that the answer to this is to create more profitable jobs in Norway, and not least to help more people get to work. Then there are some work tasks that in their nature are shiftwork. Some people have to work nights and weekends in our hospitals, in the care of the elderly, and it is important that they do so within a framework that is safe, although we have evidence that it can also provide health challenges for some.
ParlaMint-NO_2018-02-28.ana.ud158e543	Today, legislation is such that working time is reduced only if there is a health, social or welfare justification or if there is over 62 years of age. This means that those who feel that the labour pressure is too high must get sick and end up on sick pay and sick pay schemes or fall completely outside before they are entitled to a reduced working time. The consequence is that they have to work to the extent that they are worn out and they are permanently out of work before they can change. The question remains: instead of keeping food and finance separate from health, will the Council of State consider whether it is possible to grant the right to a reduced working time for more groups than today, possibly for anyone who wants it?
ParlaMint-NO_2018-02-28.ana.ud158e549	Now the representative is deeply involved in the responsibility of another State Council, namely the Minister of Labour, so I think I will refrain from answering that question. What I can say is that participating in the work force, experiencing that society needs one, is health-threatening, completely independent of age. I'm very happy to see that more people are now at work, because I think it contributes to better health in old age.
ParlaMint-NO_2018-02-28.ana.ud158e554	The focus on preventive health work has long been on focusing, not only on repairing treatment. This will also require a refocusing of health policies towards more holistic health. It's e.g. demonstrated a high effect of subjective quality of life on physical health. Simply put, if you feel better, you get less sick. But we still have a lack of data and knowledge about important groups. With better knowledge, we could prioritise better, not just in terms of dollars, but also in terms of the evidence of better life and better health. Today, for example. It is very unclear whether this responsibility is to be coordinated by the SSB or the Public Health Institute. Will the Council of State clarify whether it is the Institute of Public Health or the SSB that is the most appropriate entity for the coordination of such a quality of life measurement system and work towards sufficient resources for such a vitally important theme?
ParlaMint-NO_2018-02-28.ana.ud158e559	The SSB has overall responsibility for statistics in Norway across sectors. Under this government, the Institute of Public Health has gained a clearer and more purer role in providing a knowledge base for health decisions. It's a mission that I feel they're delivering well on, among other things. by providing good public health records for each municipality. Now the individual representative of the local government or the individual councillor can go in and read his public health profile and make a local public health policy based on it. I think that is very positive, and I am absolutely convinced that my new colleague in the government, Åse Michaelsen, who is responsible for public health policy, will follow this up very well and work on it in the context of the new public health policy report to be presented.
ParlaMint-NO_2018-02-28.ana.ud158e564	Let's go to the next main question.
ParlaMint-NO_2018-02-28.ana.ud158e569	The government thinks we have to change, and we have to increase productivity. But the government's policy on employment is taking us in the opposite direction, especially in some sectors. The SSB reported earlier this year that the productivity of construction has fallen by 10 pst. since the millennium. The SSB is moving forward, among others. increasing labour immigration as a cause of falling productivity. The trade union movement points to rentals as well as a major cause of falling productivity, the weakening of acquired knowledge, the fact that employers do not send temporary employees or rents on courses, and that no manning company is conducting vocational training with apprentices. This in total promotes short-termity and poor planning. Siv Jensen attended a so-called summit on the fight against crime at work and social dumping this week. After the meeting, it was said that ‘the situation of construction in the Oslo area is disturbing both the government and the social partners’. [[...]] But then the government parties – the Progress Party, the Right and the Left – go against what is now under discussion in the Stortinget, namely proposals from Red and other opposition parties to introduce measures against hiring and staffing agencies, which can solve the problem of just falling productivity. We will build on one of the most important things about the Norwegian model, namely the highly skilled, permanent workers. Does the Minister of Finance realise that the manning industry and government policy contribute to falling productivity in the construction sector?
ParlaMint-NO_2018-02-28.ana.ud158e578	I think I have to start by saying that the question from Moxnes should have been addressed to the Minister of Labour as the responsible State Council for those questions. That's why I think I'm going to try to approach the answer on a slightly more general basis, and say that the summit we had earlier this week on the crime of working life was a very good meeting – with the social partners, with the Labour Inspectorate, with the police, the tax authorities and other actors, who explained the interdisciplinary cooperation that is going on just to fight crime in the workplace. What's positive is that evolution is going in the right direction. Just because we've set up these seven centers around the country, and precisely because we now have cross-cutting cooperation, we see that the results are starting to come, but we're not in any way in goal. There's still a lot of darkness, there's still events that should be revealed, and then it's all about working on different types of tools – tools in the toolbox, if I can say it like that – to get it done. And then it's right, as the representative of Moxnes says, that the productivity of the construction industry is lower than it should be. But in any case, I suggest that the question be addressed to the responsible State Council.
ParlaMint-NO_2018-02-28.ana.ud158e587	Social dumping is growing with explosive labour force. It threatens productivity. The volume just increases, and it spreads to more and more industries. Saying that it's going in the right direction, as State Councillor Jensen says, is with respect to report some sort of dream from Disneyland. The reality is the inverse, as we now see. Productivity should be on the table of the Minister of Finance. It's a crucial question for our entire economy. And I wonder if the Minister of Finance can give an answer as to whether she does not see that, for example. shutting down the manning industry from the construction sites in the Oslofjord area – as we are proposing in Stortinget now, in order to secure permanent staff and ensure the productivity of the construction industry – is just a measure that is necessary to combat declining productivity, which I hope Siv Jensen also cares about.
ParlaMint-NO_2018-02-28.ana.ud158e594	It is quite right that I am concerned about getting productivity growth in Norway to a higher level than it has been. Growth in productivity has been falling for very many years. There are different reasons for that. That was one of the reasons why some of the first things this government did was to set down a productivity commission to both answer why Norway – like many other countries – sees a falling rate of growth in productivity, and then to make some suggestions on how to increase our own productivity. It's about a lot of things. It's about solving societal tasks in a smarter way than we've done in the past. This is why the government has, for example, establish the company New Weier AS, which challenges the methodology of road construction in society, and which has proved to be a very good tool, because it makes us get more money for it, to say it very simply. That is why we have also implemented a wide range of reforms to make money use more efficient. I am very pleased if Moxnes' representative has now suddenly become very concerned about this and can help support important reforms in the future for this government, which is about spending money smarter. [[President clubs]]
ParlaMint-NO_2018-02-28.ana.ud158e601	That's it.
ParlaMint-NO_2018-02-28.ana.ud158e606	Unregulated labour immigration in the EEA area places great pressure on productivity and employment in many sectors. Research shows that industries with high levels of labour migration and high levels of rent experience labour crime and social dumping, including the construction industry. During Siv Jensen, the Progress Party has become more and more active in its drive towards the EEA, but in practice it is doing very little. The boundaries are closed – that is true – to people on the run, but it is therefore free to move for the work-life mob across the Svinesund. The government hangs around the unregulated labour immigration, which puts pressure on the Norwegian model. Red will have an ordinary trade agreement with the EU rather than the EEA Husbands Agreement. Does the Minister of Finance see that the unregulated flow of labour and capital threatens the Norwegian model with strong trade unions and highly skilled, permanent employees?
ParlaMint-NO_2018-02-28.ana.ud158e613	‘Having it in mind’ is not a parliamentary expression.
ParlaMint-NO_2018-02-28.ana.ud158e619	I'm going to answer the question anyway, even if this question also falls to another Council of State. As far as I know, labour migration to Norway from the EEA region has decreased, among others. as a result of the fall in oil prices. Many migrant workers in Norway went home as a result of more difficult times in the labour market. How that development is going to be in the future, I'm not going to predict. But when it is claimed that we have a completely unregulated situation on the labour market, I do not agree with that. We have a well-organised working life, but we have some challenges that we are engaged in discussing with the social partners, working to find a good response to, among other things. through the good forum we have with the parties to discuss how we can get even better tools to combat work-life crime. And it is absolutely right that there is organised criminal activity across industries, across borders. Then, too, in addition to looking for our own tools, we need to work internationally to find solutions. [[President clubs]]
ParlaMint-NO_2018-02-28.ana.ud158e628	That's it. There will be follow-up questions – Arild Grande.
ParlaMint-NO_2018-02-28.ana.ud158e635	The high level of organisation is a competitive advantage for Norway that ensures high productivity, innovation and high adaptability. We have many examples of Norwegian companies that are world-class because they have stable, highly competent employees and a good cooperation between management and trustees. Therefore, it is worrying that the degree of organisation declines and is now below 50 pst. in Norway. This development is reinforced by the fact that the government weakens the level of organisation by making it more expensive to be organised, weakens the cooperation of the social partners with lack of dialogue and seems totally uninterested in doing something about the increasing use of rentals, which weakens the organised working life, the recruitment of skilled workers, the skills of industries and the productivity of society. How does the Minister of Finance see that this development will affect the social economy?
ParlaMint-NO_2018-02-28.ana.ud158e642	Once again, the question is a little bit on the side of what I have constitutional responsibility for, but what I can say is that this government hasn't arranged to make it more expensive to be organized. We have continued the trade union deduction every year and have also said in the new government platform that we intend to continue this. Then I agree that there is reason to consider why the level of organisation in Norway is falling. Of course, the parties are busy, and the government has stated that in cooperation with the parties we would like to look at what we can do to facilitate the strengthening of the degree of organisation, but it is also about ensuring that those who choose not to be organized for various reasons, also have good, orderly conditions at their place of work.
ParlaMint-NO_2018-02-28.ana.ud158e649	Let's move on to the next main question.
ParlaMint-NO_2018-02-28.ana.ud158e654	My question is to the Minister of Knowledge. The introduction of manning standards is important in order to ensure quality for all children in kindergarten. Toys, learning, challenges, care and a safe catch to sit on when needed will probably require qualified adults. That is why the Workers' Party has for many years wanted to set up a crew standard. What is happening now is that the government's introduction of the standard of manning, which should be an unparalleled positive matter, creates uncertainty. Municipalities must comply with the norm by August, but still lack concrete answers from the government. Both the KS and local elected representatives, such as the party trap of the Council of State in Kristiansand, rapporteur Harald Furre, believe that the government is under-funding the standard of personnel and is particularly concerned about the private kindergartens. The most serious concern is that in a survey conducted by the Landsförbund of Private Barnehager, one of four small kindergartens recently saw that the introduction of the standard of manning and pedagogical standards could mean that they had to go down. The entire 44 pst. of the small kindergartens they say they're not sure if they'll be able to move on. The government's response has been that they believe the staffing norm is funded because it is met on average. The Managing Director of the PBL stated on his behalf two weeks ago that: ‘The consequence of what is happening now is that the state is squabbling the small and single ones, who are then bought up. So if politicians want to preserve the diversity of ownership, they must take a closer look at this.» The working party is strongly attached to the standard of living, but we're concerned with a norm that works, that makes the kindergartens better, and that doesn't weaken the small and ideal kindergartens. Shares the concerns of the small private kindergartens when they say that the government's design and implementation of the staffing norm can mean that 25 pst. And what will the Council of State do about it?
ParlaMint-NO_2018-02-28.ana.ud158e668	I hope that the Workers' Party also agrees that we should have a standard of personnel to ensure that there are a sufficient number of adults in the kindergarten, and that we should have a standard of education that ensures that we have a sufficient number of pedagogical trainers. It is important that we have safe, good kindergartens, where children thrive, where children can play, but also ensure good language development for our children. We know kindergarten is important to the children. So it's true that the private kindergartens have been worried about whether this norm could be critical to the smallest kindergartens. What we have done is that we have ensured both a transitional arrangement in the Financial Regulation, which ensures that private kindergartens are compensated for increased expenditure as a result of reinforced educational standards, and a derogation, so that, if it is critical for the continued operation of the nursery, it is possible for the municipality to grant exemptions from the norm. There are two important steps taken, both through funding and an option of derogation. I'm going to have a meeting with the private kindergartens soon where we're going to have a dialogue on this, and we're of course going to follow this development in the future too, because it's important that we have a diversity in kindergarten. It is important that we now put in place both the standard of education and the standard of living to ensure good competence and a sufficient number of adults. It is important that children thrive in kindergarten, and that children are given the opportunity to develop in kindergarten.
ParlaMint-NO_2018-02-28.ana.ud158e677	Many, including me, would say that it is better to have a properly established and properly implemented standard that allows for the release of exemptions, exemptions and almost half a standard introduced. The concern that KS, PBL and others have, I believe, is a very strong signal for the government to engage in dialogue with the sector. If the government and the Minister of Knowledge do not want to do anything about financing the funds, one of the handles the Minister of Knowledge can take, is to listen to, among other things. PBL’s desire for a review of the funding system, as there are also challenges with today’s funding model. Private kindergartens receive their contribution based on two-year-old figures. They will initially receive money in two years, but they will meet the norm from August. The working party believes that this requirement is updated by the introduction of a pedagogical norm. When the Council of State is confronted with figures that one of four private kindergartens says they may have to go down, will the Council of State reject or be open to carry out such a review of the funding system, in order to secure the small and ideals?
ParlaMint-NO_2018-02-28.ana.ud158e684	Now I don't know if the representative followed up on my answer, but if the representative Henriksen had done so, he would have heard that I just said that there was a transitional arrangement in the financing regulation that ensures that private kindergartens are compensated for increased expenses as a result of the norm. In other words, we have done this. There's a strange position The Workers' Party has been placed in, as a purely commentator's party, attacking the private kindergartens in one debate, and now it's trying to appear to be the main friend of the private kindergartens. In one debate we want more stringent standards, and now it seems that the Workers' Party wants us to postpone the introduction of the norm. We implement because it is important for children in kindergarten that they have a sufficient number of adults, that there is a sufficient number of pedagogues. It is important for kindergarten to be safe, but also for children to be able to develop in kindergarten.
ParlaMint-NO_2018-02-28.ana.ud158e693	I thank you for the answer, but that is not what I asked for. I did not ask about transitional arrangements. I asked for, among other things: PBL's wish to review the financial instrument to ensure, inter alia, that: provide the small and ideal kindergartens. On 13 November 2017, the PBL sent an address to the Council of State. Today, the PBL has sent letters to the entire educational committee criticising the fact that the Council of State and the Government have not yet responded to that letter. Some of the reasons for the concern both from the PBL and from many municipalities, including the Council of State's own party trap, the rapporteur in Kristiansand, who believes the norm is underfunded, are that it is not properly investigated or implemented. The Labour Party proposed three years ago, among other things: that the government should present a plan for this deployment, so that it was well prepared. That was the end of the government's party. This case shows that it is important to be well prepared, including. that municipalities and private kindergarten owners are prepared for what is coming. I would like to reiterate the question of whether the Council of State is open to a review of the funding system.
ParlaMint-NO_2018-02-28.ana.ud158e700	You should always be open to look at the funding system, but if it were up to the Workers' Party, you would probably have tightened up for the private kindergartens. I notice that the representative Henriksen is constantly talking about the small, ideal kindergartens. The small, ideal kindergartens are very nice and an important part of diversity, but I dare remember that half of the children go to private kindergartens. The representative is consistently not talking about the private ones, and this may be because the Workers' Party wants to tighten up on the private kindergartens. Both the nursery standard and the pedagogical norm have been notified for a long time. It is good time for the municipalities and for the kindergarten owners to prepare for this reform, but again we see that the Workers' Party is sitting in the commentator's chair. You like to criticize, but you have few alternatives of your own.
ParlaMint-NO_2018-02-28.ana.ud158e708	There will be follow-up questions – first Nina Sandberg.
ParlaMint-NO_2018-02-28.ana.ud158e713	In BT yesterday, Toril Kalsås, the educational leader of a private kindergarten, came with a clear message: The notified standard of manning is too low. In the consultation note, which is the only description of the norm we have received from the government, the ministry says: ‘Since the calculation of the standard shall be based on the number of annual works per child and the opening time of the nursery is usually slightly longer than one working day, the requirement for ground crew will not necessarily be met throughout the day of kindergarten.’ The government norm does not take into account opening times, breaks, cooking, planning or illness. Does the Council of State believe that a standard of navigation is to ensure that the kindergartens experience that they are three young or six large children per adult through kindergarten, or are these norms to be met only as a theoretical desktop exercise in accounting and reporting?
ParlaMint-NO_2018-02-28.ana.ud158e727	I have not met any kindergarten owners – whether they are private or municipal – who view the number of employees in kindergarten as just a figure in an accounting and in a reporting system. Kindergarten owners, whether they are municipal, private or non-profit, are concerned about having good, safe kindergartens, and we have that in Norway. In fact, the parents are very happy with the kindergartens. We're going to be proud of that, we're going to be happy about that, and then we're going to extend further. In the first question from the Workers' Party, I got the impression that it was considered to be a strict standard of manning, but now it is shown that some people believe that the standard of manning is too weak. Well, the standard of manning helps us get a ‘floor’ – that means that no one should have fewer. But, of course, it is possible for kindergarten owners, whether they are private or municipal, to ensure that they have a stricter standard than that to which it is added, if you think it is necessary to create a good and safe kindergarten.
ParlaMint-NO_2018-02-28.ana.ud158e734	Hans Fredrik Gruvan – for follow-up questions.
ParlaMint-NO_2018-02-28.ana.ud158e739	Around 40,000 1-year-olds start in kindergarten every year. A research overview from the University of Oslo and Akershus analysed Norwegian and international research. This showed that some of the most important factors for children under the age of three to have a good childcare facility are the sensitivity and ability of employees to engage in important, good relationships with children. Thus, enough adults to see each individual child is crucial for the quality of the offer and the care of the very young. In addition, kindergarten teachers have a three-year education with emphasis on, for example: Relationship competence and, therefore, the professional group in Norway specialising in working with small children in groups, as we do in kindergartens. Many child care teachers are therefore important if the smallest children are to have good childcare facilities. What will the Council of State do to ensure that the youngest children have enough adults and kindergarten teachers to see them?
ParlaMint-NO_2018-02-28.ana.ud158e748	I thank you for the question, and I agree that we will have good staffing, so that there are enough adults in kindergarten. We're going to make sure that there's a sufficient number of educators, and we're going to get that with the new pedagogical norm. Then there will be one pedagogue per seven children under three years of age. We have also contributed, through the budgetary agreement with the Christian People's Party, to an increase of 424 million in the framework grant to the municipalities. kr to finance increased costs resulting from the tightening of the standard of education. And now we're going to get it into place. I am pleased that the blue-green government ensures this together with the Christian People's Party – that we both increase basic manning and make sure that there are more educators. Tomorrow, the Stortinget will be considering an important proposal on enhanced language requirements, as it is also important to speak Norwegian in kindergartens. We're also going to help increase the competence of kindergartens, so that there are good, safe kindergartens for our children.
ParlaMint-NO_2018-02-28.ana.ud158e755	Let's move on to the next main question.
ParlaMint-NO_2018-02-28.ana.ud158e760	My question goes to the Minister of Knowledge and Integration. On the IMDi website, they state that there is a national sample of residents responsible for concluding an agreement with municipalities on the settlement of refugees. Three factors are taken into account for requests for 2018: population, level of employment and results of the introduction programme over time. It says that there are mainly municipalities with at least 5000 people who have been requested. This is contrary to the will of the Storting. When examining the state budget for 2018, a majority of the Municipal and Administrative Committee, consisting of the Right, the Advance Party, the Christian People's Party and the Left, said that the size of the municipalities should not be decisive for allowing municipalities to accept refugees or not. This means that small municipalities should also be able to settle refugees. From the Workers' Party, the Centre Party and the SV, the following proposals were made: ‘The government asks the government to assume that the request to the municipalities for the residence of refugees shall not be based on the selection of municipalities by size, but on the results of integration into social life.’ So it's about how things are going – in work, culture, school, etc. Yesterday, there was a look-up in the Evening Post about the Fafo report, which included: has shown that Somalis have major difficulties in entering the labour market, in paid work, after reviewing the introduction programme. What is really the reason why Storting’s expressed will that even smaller municipalities should be taken into account in the selection of whom to accept refugees, has not been followed up by the Ministry and the IMFI?
ParlaMint-NO_2018-02-28.ana.ud158e776	I thank you for the question. The first thing that matters is that the government has got control of immigration. This means that the number to be settled now has fallen sharply. In 2017, there were 11,000 residents. This year, 5,000 will be settled. This means that there is much less to be settled in Norwegian municipalities. The municipalities have made a very good effort after the refugee crisis we had, but now it's far less. Then it is true that KS, which is the municipality's organisation, and the authorities, at IMDI, have for the current year assumed that emphasis should be placed on employment rates, results from the introduction programme and municipality size. The reason why the emphasis is also on municipal size is related to the fact that municipal size also says something about the environment of competence in order to ensure that refugees learn Norwegian and get to work more quickly. But that's not an absolute requirement of 5,000. If we look at a municipality like Vinje, they're asked to settle for ten people this year. This means that, even this year, other matters than size are taken into account, as the Storting has also stated. Then the government will follow up the size decision for 2019, so that there is no emphasis on size, but that it is the results of the introduction programme and employment that will be important measurement parameters for who will live in the coming years.
ParlaMint-NO_2018-02-28.ana.ud158e787	I thank you for your answer. I am pleased that the Council of State mentions Vinje, because Vinje Municipality has received a price for its work on housing and has many refugees who can show very good results when it is going to be working. So they have succeeded in their integration to a much greater extent than many others. The number from the SSB, which is represented in the nations on February 24, shows that 70.7 pst. Of the immigrants who have lived in Vinje for five to nine years, are at work. Corresponding figures for e.g. The ski is 56.9 and for Porsgrund 61.6. This shows that small municipalities can also do the integration work, and I am glad that the Council of State says that other criteria should be taken into account. But then I have to ask the Council of State: what is the reason why the Department and the Council of State have not followed up the Storting's will for 2018, namely that population numbers should not be decisive for the settlement?
ParlaMint-NO_2018-02-28.ana.ud158e794	The government has followed up this. Now it's the way KS and IMDI define the criteria. The focus has then been on employment, on the results of the introduction programme and on the size of the municipality, but the example of Vinje shows that size has not been decisive. But then it's a much more important question, and that's how we're going to succeed in integrating into the future. We have ordered a number of reports, which show that there are considerable differences between municipalities in the results achieved in the integration work. I believe it is absolutely essential that those who come to Norway and become part of the Norwegian community become part of large and small communities, learn Norwegian and get into work faster. It is important for us to be able to take care of a sustainable welfare society, to ensure that more people get to work faster, and there are too many differences between municipalities. That is why the government is going to reform the introduction programme, and that is why we are going to implement an integration promise.
ParlaMint-NO_2018-02-28.ana.ud158e804	Let's go to the last main question.
ParlaMint-NO_2018-02-28.ana.ud158e809	My question goes to the Minister of Finance. The theme is profit-making in well-being, and tax credits are going to give citizens the best possible well-being. Last year, the Stortinget decided to set down a public selection to map the cash flows of commercial companies operating in publicly funded welfare services, such as: in private childcare facilities and private kindergartens. The selection should propose solutions that would ensure that public funds go as far as possible to the production of actual well-being, and how to prevent unwanted tax adaptation in companies that are mainly funded by public funds. When the Stortinget debated the government statements, Rigmor Aasrud from the Labour Party asked the government council how this work was going. Governments replied: ‘First of all, by allowing the sample to do its job. And based on that, the government will come back to Stortinget." Based on the result, the selection was reduced and the work was started. I have tried, but I can't find anything about postponing the current selection or who is a member. Therefore, I ask the Council of State: when was the selection reduced, who are members, and how far have they come to work?
ParlaMint-NO_2018-02-28.ana.ud158e829	It's true that I answered that during the debate on the government platform, but it's based on that we're going to put this sample down. The committee has to do its job, and then we get back to Stortinget with it. But let me just answer the following question: I agree that it is important to look at how we can deal with unwanted tax adjustment in the area that the representative is now asking about, but also on a general basis. That is why we are systematically also working internationally to establish good cross-border agreements, which allow fewer companies, fewer companies, to avoid taxation in the countries to which they should legitimately tax.
ParlaMint-NO_2018-02-28.ana.ud158e836	This was an eye-catching answer. In fact, state councils replied – and confirmed that she replied – as if the selection had already been reduced, and that the selection had to get some rest. And then it's not down yet. It's very critical. It just shows that it's not very important for the government to put in place such a mapping, and that the government party is not concerned about what my and your tax money is actually going to do. It's very much also true of the fact that we can't find any trace of this in the government's political platform either. So I ask again, when is the Council of State going to act? When does the selection fall? And when can the Storting expect a rendition?
ParlaMint-NO_2018-02-28.ana.ud158e841	What the Workers' Party wanted me to do was to advance the outcome of such a review, and it is impossible for me to do, all that time the review has not yet been completed. As I said in my previous reply, the government is committed to preventing unwanted tax adaptation, and we have implemented a wide range of measures. So no matter how hard the representative shakes his head, this government has done it. We have concluded many good international agreements, which help to combat unwanted tax adaptation in many countries. Clearly, we're concerned about what our tax money goes to – not just what they go to, but that we get as much back for the tax dollars we charge from the population. There is a problem that I hope the Workers' Party will also become more concerned about in the time to come, all the time we now get into a more normal situation and get tighter budgets. This is because we have to improve the value of taxpayers' money, get better results again, and then I hope that the Workers' Party will continue – or perhaps especially in the future – to be more concerned with reforms that will make money use more effective in this country.
ParlaMint-NO_2018-02-28.ana.ud158e850	Then the oral question procedure is over.
ParlaMint-NO_2018-02-28.ana.ud158e864	There will be a number of changes in the set question list, and the President will refer to the electronic question list in the salap. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 2, from the representative of Anette Trettebergstien to the Prime Minister, has been withdrawn. Question 14, from the representative Trygve Schlagsvold Vedum to the Minister of Defence, will be answered by the Minister of Health on behalf of the Minister of Defence, who has been removed. The question is moved and answered in response to question 7, to be answered by the same State Council. Question 15, from the representative Lars Haltbrecken to the Minister for Oil and Energy, will be answered by the Minister for Transport on behalf of the Minister for Oil and Energy, who has been away. The question is moved and answered according to question 6, to be answered by the same State Council. Question 16, from the representative Arne Nävra to the Minister for Climate and Environment, will be answered by the Minister for Agriculture and Food who will direct him.
ParlaMint-NO_2018-02-28.ana.ud158e884	‘The President of the United States stated at the press conference after the meeting with the Prime Minister on 10 January on Norway and NATO’s two-percentage target: ‘In Believe Norway will get there quit soon’. At the same time, the government has admitted that Norway is being deleted, not moving towards NATO’s two-percentile target, but that, on the contrary, the GDP share of the defence budget will decline over the next few years. What was the message of the Norwegian Government to the US Government during the talks in Washington about Norway's compliance with our NATO obligations?’
ParlaMint-NO_2018-02-28.ana.ud158e891	The United States is our closest ally. We have close and good cooperation, and it was useful to meet President Trump on 10 January. We discussed a number of issues, including: cooperation in defence and security policy, developments in Russia, the situation in Afghanistan and trade and climate issues. In my conversation with Trump, I underlined that the government has increased the defence budgets every year after 2013 and will continue to do so in line with the escalation in the long-term plan. Let me stress that the real increase in the defence budget under this government has been about 24 p.m. This is a significant increase. Both the budgets and the investment share are expected to increase over the next few years. Norway’s significant investment in modern capacities was also a key topic in the conversation. I particularly drew out our purchases of F-35, maritime patrol aircraft and submarines. These will be of great importance, not only to our national defences, but also to NATO's collective security, which President Trump valued. In the Trump meeting, I stated that Norway is the country in NATO that uses the second most in defence per capita after the United States. The discussion of allied burden-sharing is a high priority in NATO. European allies must invest more in European and transatlantic security. The objective of moving towards using a minimum of 2 pst. GDP is fixed for defence purposes. For the period up to 2020, and beyond 2024, the forecasts are filled with significant uncertainty and depend on a number of factors, not least the premises and priorities of the next long-term plan. In the meeting with Trump, I was aware that Norway is currently using almost 1.6 p.p. of gross domestic product for defence purposes, and I assured the US President that Norway is at the heart of NATO's objectives. The basic idea behind NATO Defence Investment Pledge is that the alliance member states should use more in defence. Thus, Norway has substantially increased its defence budgets in recent years, and the long-term plan provides for a further increase in the years to come. There is an increased relative priority of defence in practice, in line with NATO's intentions.
ParlaMint-NO_2018-02-28.ana.ud158e906	This is important for me to clarify: When, after the press conference with the Prime Minister, President Trump says that he believes – not that Norway will increase its defence budgets, and not that Norway will continue to buy fighter aircraft, for we agree – Norway will move towards 2 pst. In order to fulfil NATO's obligations, the Prime Minister has his own calculations showing the exact opposite. We're not moving towards, we're moving away from the goal. It's a pretty important element about the Prime Minister, when she met with our most important allies, actually informed about this. That we use the second most in relation to the number of inhabitants, is something we've done over a long time. Now, what's new is the 2 percent. Did the Prime Minister inform President Trump about this?
ParlaMint-NO_2018-02-28.ana.ud158e911	We have had a strong increase in defence budgets in Norway – we have a strong increase in investment, we are well above the investment targets set by NATO. Through routine reporting to NATO, our allies are familiar with developments in Norway’s plans. The forecasts given at different times about the future development of the defence budget's share of GDP are in constant motion. They are associated with significant uncertainties. In this case, the forecasts do not necessarily reflect a changed priority in the defence sector or changes in Norwegian defence policy. As I said in my reply: I have underlined the themes mentioned here, and in the conversation I was ready that Norway today uses almost 1.6 pst. of gross domestic product for defence purposes. I assure you that Norway is committed to NATO's objectives. The government does. Today we have a government that actually prioritises money for increased defence and defence power in Norway.
