ParlaMint-NO_2018-11-28.ana.ud257e28	The representative of the Bears Moxnes will present two proposals for representatives.
ParlaMint-NO_2018-11-28.ana.ud257e458	I think the representative Haltbrecken is well aware of my view of the mining landfill in Førdefjorden, but here are the decisions that have been made, and there are also decisions that have been made before both me and the Left entered the government. The consensus is that we respect those decisions.
ParlaMint-NO_2018-11-28.ana.ud257e463	There will be follow-up questions – first Lars Haltbrecken.
ParlaMint-NO_2018-11-28.ana.ud257e468	The overrun of environmental and Sami interests by the large community has a particular historical significance in Finnmark. The Alta fight was a defining moment, which has marked both the environmental struggle and not least the struggle for Sami rights. One lesson from that time was the creation of the Sametinge. The pooling is opposite the planned sea deposit in Repparfjorden. Kvalsund is a seasamic area and one of the areas along the Finnish coast where seasamic fjord fishing and language have survived despite major challenges. In this fjord, toxic mining sludge shall be dumped, which will destroy the fjord bed. The government is now examining the operating concession, which has not yet been granted to these activities. Since the climate and environment minister has obviously given up the fight to save life in Fördefjorden, I wonder if he will save life in Repparfjorden.
ParlaMint-NO_2018-11-28.ana.ud257e475	We're going to relate to the unity we have from Jeløya. I think these matters and the questions illustrate the problems that are at sea landfills. I am pleased and think it is important that we do not allow new sea deposits in the future. I am also pleased that for the first time we have reached an agreement that this should be the case. This is a major shift in Norwegian policy and environmental policy. I also believe it is important that we have a thorough review of the environmental requirements of mining and landfilling. So I look forward and believe that we have made important decisions that will stand in the years to come.
ParlaMint-NO_2018-11-28.ana.ud257e480	Lars Haltbrecken – for follow-up questions.
ParlaMint-NO_2018-11-28.ana.ud257e485	What we are hearing now is a climate and environment minister who no longer stands by the party leader's words that 'never, never, never' should go into the fight for the Norwegian fjords. We also hear that we are going to have a review of environmental legislation related to these issues. I have previously asked the Minister for Climate and Environment about the plastic pollution from these mining projects. The Environment Directorate has asked mining companies to explain how much plastic is going to spread in the spring due to the explosion work to be carried out. None of the mining companies will be able to give an answer to this before you have the plans fully in place. Then my question is: Does this not show that there is a need to review these permits when there is no knowledge of significant aspects of pollution from these activities?
ParlaMint-NO_2018-11-28.ana.ud257e495	That's also why I asked the Environment Directorate to review how much plastic there is in these take-off masses. It's an important problem. The second is that it illustrates the problem of marine landfills, and therefore it is important that we now, for the first time, have reached an agreement that no new permits should be granted during this landfill period. I hope that there may be a time gap in these matters. This is a major and important breakthrough, and it has not been there in Norwegian policy in the past.
ParlaMint-NO_2018-11-28.ana.ud257e500	Tore Storehaug – for follow-up questions.
ParlaMint-NO_2018-11-28.ana.ud257e505	The Ministry of Climate and Environment has started work on a marine protection area in Dalsfjorden. The reason for this is that this area has some unique topographical and biological resources that one think are worthy of protection. Dalsfjorden is the area that lies on the other side of the Blegja mountain, only a few kilometres in the airline from the area where one is to dump in the Fördefjorden. There are two areas that are similar to each other, and that have much the same animal life. What my government council is is the big difference that makes it one area is skikka for marine protection and the other for 250 million. tons of mining waste?
ParlaMint-NO_2018-11-28.ana.ud257e512	The process of marine protection is in its own course. I do not know how far you have come with Dalsfjorden, whether it is still in the Environment Directorate, but I expect that we will get it for proper treatment. The fact that there is a sea deposit in Fördefjorden, which we have now discussed – Left and I respect the consensus we have from Jeløya – does not make other areas less important. On the contrary, it is even more important that we put in place marine protected areas if the protection values are present.
ParlaMint-NO_2018-11-28.ana.ud257e517	Let's move on to the next main question.
ParlaMint-NO_2018-11-28.ana.ud257e522	I am sorry that it took time, I had left my notes and did not realize that I would ask a new main question just after the follow-up question.
ParlaMint-NO_2018-11-28.ana.ud257e527	It's going very well.
ParlaMint-NO_2018-11-28.ana.ud257e532	State Council Elvesuen can come up again, because I want to ask him a question. The Council of State is responsible for Norwegian climate policy, and we now have a Prime Minister who has given an opinion that I think is a bit alarming. The Prime Minister has said that the person to close the light on the Norwegian socket is not yet born. In the light of the new IPCC report, which says that we are forced to take drastic and quick action if one is to manage to prevent global warming and limit it to 1.5 degrees, and that there will be a big difference between being able to limit global warming to 1.5 degrees or 2 degrees – is this an opinion that the Council of State agrees with?
ParlaMint-NO_2018-11-28.ana.ud257e539	As Minister for Climate and Environment, of course, I will never criticize the Prime Minister. What's important is that the 1.5 degree report is a shift, because what it shows is the difference between 1.5 and 2 degrees of global warming. At 1.5 degrees you can dramatically risk the Arctic being ice-free once every hundred years, with 2 degrees at risk every ten years. What this is all about is whether we're going to have a kind of a recognizable world or not. In order to reach 1.5 degrees – what is positive in the report is that it shows that this is still possible, which was not given – we need to have a dramatic and rapid drop in emissions, i.e. down to 40-50 pst. globally towards 2030. And we have to have net zeros – that is, not zero emissions, but less emissions than absorption – in 2050. It is clear that that decrease in emissions will also affect the use of both oil and gas, which must have a decline in the years to come and which will also affect the situation on Norwegian base and Norwegian production. How fast it's going, and just when you've finished the production, it's hard for me to say. But that we have to do everything we can, get up the pace and act now to reduce emissions as quickly as possible, there is no doubt about it. Norway is, after all, at the forefront of reductions, especially in the transport sector, where we are implementing measures that no other country is in the vicinity of.
ParlaMint-NO_2018-11-28.ana.ud257e548	I thank the Council of State for a good answer and thought he drew up good ambitions and reflections when he answered this question. I also think it is important that one assume that there is a new time in Norwegian climate policy, and that Norwegian oil policy must be followed. So the Council of State shows that there are many things that are far ahead of time, and that there are uncertainties associated with it, but there are some processes that go, and I don't think they necessarily go in the right direction. One might, for example: Take the trend that has developed since the last Left and Christian People's Party was in government, the time when the government listened to 29 p.m. of the environmental advice of the concession rounds, which under Stoltenberg changed to a blow in 80 pst. of them, and who under the government of Solberg have changed that they have added page 100 pst. of the environmental professional advice of the concession rounds. Oil policy is mainly in the OED, but after the hearing it is OED in the form of KLD that has the pre-government dialogue in plenary. I want to ask the State Council what it wants to do to ensure that more environmental advice is followed over the years.
ParlaMint-NO_2018-11-28.ana.ud257e557	First, I want to remind you of what we have already done. Now we also agree in this period that in the Lofoten, the Vestral and Senja there should be no petroleum activity. It's the same thing around Jan Mayen, on the Moorfields, north of the ice edge and along the South Coast. Basic decisions are important. So when we look forward, we're going to put forward a new management plan for the Barents Sea and the Lofoten, the Vestral and Senja. It will come in 2020. We also need an update of the other two management plans, for the Norwegian Sea and for the North Sea. It is a holistic administration, and it will also be a discussion that concerns this. I also believe that we should include the Climate Risk Committee, which is due to present its report now in December – an important knowledge base for the policy to be pursued in the future. It concerns the Norwegian economy as a whole and the petroleum policy, but it will also affect these areas.
ParlaMint-NO_2018-11-28.ana.ud257e567	Let's move on to the next main question.
ParlaMint-NO_2018-11-28.ana.ud257e572	Let's talk about the elephant in the room, what the Workers' Party didn't mention, the free flow of the EEA Agreement. State Council Hauglie has now asked employers to call Nav before calling Poland when there is a need for workers. After the financial crisis and the rise, the proportion of employees with a Norwegian background decreased, while the number of persons employed from Eastern Europe increased by 90,000. This did not happen because the employers had forgotten the telephone number for Nav. This happened because many immigrants have far worse pay and working conditions than is usual in Norway. They're shorter and cheaper. It gives the companies that use them a competitive advantage. Therefore, employers call Poland and not Nav. This is also the reason why large parts of the trade movement are now contrary to the EEA Agreement. It is not because they, or Red, are against labour immigration. For more than 60 years, Norway has lived well with a borderless labour market in the Nordic region, which has functioned as a result of labour migration between countries with similar living standards and similar wage and labour conditions. Today's labour migration from poor countries in Eastern Europe is quite different. Employers now have almost endless access to workers that are easier to exploit. Does the Minister of Labour see that it is in practice impossible to maintain Norwegian wage and working conditions when it is free to import labour from countries where price and salary levels and housing costs are a fraction of the level in Norway, and that this is why employers are just calling Poland and not Nav, as the Minister has now asked them to do?
ParlaMint-NO_2018-11-28.ana.ud257e585	One important reason why I encourage employers to take the Nav tour before they call the rest of the world is that after the previous boom in 2009, we saw that the vast majority of the jobs that were occupied went to Immigrants. Two out of three new jobs went to work immigrants. Now, what we're saying is that it can't continue, because that means that if we're going to be able to include more of the people on the outside of the world of work – 20 pst. of the working-age population is not at work today – we need to make sure that several of them come on the inside of Norwegian working life. This means that Norwegian employers must open the doors to Norwegian workers. That's also the background for our inclusion virtue. Then I disagree with the premise of the representative of Moxnes that the EEA agreement weakens Norwegian wage and working conditions. On the contrary, I believe that the EEA Agreement and the directives that have been drawn up and the initiatives that the EU is now taking help to strengthen the rights of workers in Europe and Norway. We also see that, through the EEA Agreement and through EU cooperation, the standard of living in the poorer countries of Europe has increased significantly. A result of this can be seen, among other things. is that fewer immigrants come from Poland, precisely because conditions in Poland have improved. There is no doubt that the EU has been important in raising tens of thousands of poor people in Europe out of poverty. The initiatives that have been taken in the past and which are now being taken by the EU, I believe that Norwegian workers are also positive. This does not mean that the EEA Agreement is only positive and that there are no negative aspects to it. Agreements are very often the result of giving and taking, and I believe that the benefits outweigh the disadvantages.
ParlaMint-NO_2018-11-28.ana.ud257e594	Here there was no answer to my question if they did not call Poland over to Nav because it is cheaper, and because it is easier to exploit people from poor countries than it is to exploit Norwegian workers. So I don't get an answer from the government to what's my main question. We see that the minister boasts of the agreement and believes it is good for Norwegian workers. She should then perhaps have a talk with industrial workers in the West who, in their trade union, have now turned against the EEA Agreement. They are against it because it causes the Supreme Court’s judgment to be thwarted by the EU competition force. The minister said instead that the government is committed to the Supreme Court judgment. So she said that she argues that ESA believes that the Supreme Court judgment is not in line with the EEA Agreement. The question then arises: will the government take any concrete action through the amendment of the law, regulation or implementation of new directives to prevent Norwegian membership of the EEA Agreement from overstepping Norwegian highest law and publicising Norwegian collective bargaining agreements?
ParlaMint-NO_2018-11-28.ana.ud257e601	I can assure the representative of Moxnes that the Norwegian Government is active in its meeting with Europe. We participate in all the venues where we can participate, and we also contribute with our competence, our views and our input through the channels we have the opportunity to participate in. My assessment is that the broadcasting directive is also a result of Norwegian and Nordic influence. To the question of cheaper labour: One of the main challenges in Norwegian working life today is, in fact, lack of labour. We see that large parts of the country are struggling to obtain labour. In a city like Tromsø, there are as many job vacancies as there are unemployed on Nav. It tells us one thing: there is not necessarily a match between the competences of those who are outside and the needs of the workforce. That is also the background to the fact that when the government presented its government budget, we added considerable sums to our inclusion mandate, mainly to enhance the competence of those who are in work, but who may be lacking a letter. We also change the actions in Nav, precisely to help more people gain the skills they need.
ParlaMint-NO_2018-11-28.ana.ud257e608	There will be follow-up questions – first the Bears of the Moxnes.
ParlaMint-NO_2018-11-28.ana.ud257e613	There are 100,000 people without a job. Many young people do not have an apprenticeship place. It's not that strange, because it's cheaper to take in fully skilled from Eastern Europe than to take in apprentices. The search for important construction subjects is dramatically declining in many large cities because of the unregulated flow of labour and employers have almost endless access to skilled people from Eastern Europe who are cheaper and easier to use than Norwegian workers. It is at least quite brave of the Minister to say that there is a shortage of labour in Norway when so many are out of work. I wonder what Hauglie really thinks about the so-called action space in the EEA Agreement when she said to an earlier question today that we are at risk of a breach of the Treaty if we use the EEA Agreement's space of action when it comes to the public service and the issue of travel, food and lodging. Is there any room for action if it would be a violation of the Treaty to use it?
ParlaMint-NO_2018-11-28.ana.ud257e620	There are many available hands, but the point in my previous answer is that there is not necessarily a match between the competences of those on the outside and the competences demanded by the labour market. There is also a background for us to take quite a large and important step in order to ensure that those who are unemployed have more relevant skills and, in this way, to ensure a job. It's wrong, what the representative of Moxnes says is that young people don't get a lesson. There are more young people now than ever before getting a lesson. Some of it might be associated with the government, among other things. tightened the procurement rules for public procurement, which require us to win public tenders, there is also a need to have apprentices, which was inspired by the civil council here in the city, which had the same requirements in the past. We see that the number of young people outside of work, school and other activities goes down, and we also see that the number of young people on social assistance is falling. We have a room for action in the EEA Agreement. We're also taking advantage of it, and of course the government is still going to do that.
ParlaMint-NO_2018-11-28.ana.ud257e629	Let's go to the next main question.
ParlaMint-NO_2018-11-28.ana.ud257e634	My question goes to the Minister for Climate and Environment. Next week, the climate summit will begin in Katowice, Poland, COP24, where both the Council of State Elvestuen, signed and several others from the Storting will be present. The climate crisis is humanity's greatest common challenge, and if our planet is to be habitable for future generations too, all policies must be aligned with an overall goal of governing within nature's tolerance limits. As the Council of State said in a previous response, the 1.5-degree report has shown this with even greater clarity. We also know that after the notifications made under the Paris Agreement, we are far behind the form. Therefore, from now on, we must use two budgets, and not one, when we discuss how we distribute benefits and burdens in society: the state budget and the climate emissions budget. There's a difference between the two. There will be new government budgets every year. Anyone who has negotiated a government budget knows that what you don't get through for this year can be given a new chance for next year. But the carbon budget is finally, we only have one. When it's used up, it's used up, and with today's consumption, we might have 20 years left. The Labour Party has therefore drawn up in its alternative state budget a concrete proposal for the emission budget by 2030, i.e. the period 2021-2030, with the help of the Environmental DG's figures, and we have found a way of overcoming the target of 40 pst. reduction in the non-quota sector without the use of the flexibility mechanisms included in the EU response mechanism. I therefore have the following questions to the Council of State Elvesuen: Does the Council of State agree that we must look in all budgeting from now on both to the disposal of the money in society, and also to how we dispose of the very limited emissions we still have? And if yes – will he ensure that next year we will have a national climate emissions budget in the context of the state budget?
ParlaMint-NO_2018-11-28.ana.ud257e649	Yes, we need to look at both greenhouse gas emissions and the figures and the economic situation when we are going to make a budget in the years ahead. There are several processes currently in progress that we have to go through. One is that we are in the final negotiations with the EU on the joint implementation of emission reductions by 2030. We need to put that in place, so that we have the common framework. Then it's the follow-up and what's going to happen in Katowice. The 1.5-degree report has changed the discussion and has also changed the situation. It doesn't keep having 2 degrees of heating as a measure, we have to go like the world to 1.5 degrees. That's what the report shows with all its clarity. Then we also have to follow up and show the so-called Talanoa dialog. the discussion on new objectives to be notified by the world country to the UN in 2020. We also have to be part of that discussion. We need to assess our own goal, whether we should strengthen it, and how much, and report to the UN in 2020. Then, when we have an agreement with the EU, the government will present a plan for how to achieve these objectives and have a plan in different sectors. We also have to do that by 2019-2020. We need to improve the climate reporting that we reported for the first time this year – under the Climate Change Act. We're going to do that. We must have an agreement with the European Union. We have to make an assessment of our own goal and plan how we're going to achieve that goal. How it should be concretely designed, what it is going to be, what it is going to be, and what it is going to be, I have to come back to.
ParlaMint-NO_2018-11-28.ana.ud257e659	I am pleased to note that the Council of State and I share the understanding of what needs to be done, but what I am concerned about is a slightly more concrete response to when we can set our own national emission targets, and whether we want to document achievement in relation to fully verifiable targets – not just ambitions, but concrete targets with concrete figures. Will the next government budget be in favour of an emission budget of more or less that type of Workers' Party now proposed in its alternative budget, or should you come back to it? When can we get a concrete answer as to whether this is a method that the Council of State and the government want to follow?
ParlaMint-NO_2018-11-28.ana.ud257e666	The progress is that, like all other countries, we will report our new targets to the UN in the first quarter of 2020, and that matter must then go to the Great Britain for the autumn next year. Then we will create a plan for how to achieve these objectives, which will also have to come in 2019/2020, and we will have to look at the framework accordingly. That's the progress we need. There is no doubt that we have the same ambition for both implementation and reductions — which both Norway and other countries need to implement.
ParlaMint-NO_2018-11-28.ana.ud257e673	There will be follow-up questions – first Åsmund Aukrust.
ParlaMint-NO_2018-11-28.ana.ud257e678	Now, Ola Elvestuen has been the State Council for almost a year without being able to take new climate initiatives, and we hear the answers here that he refers to the process and owes to postponements. Now he's the one who's learned Erna Solberg's word that it's tough to stand up for the climate in a government where people aren't so busy about it. The state budget was a great disappointment and also a reconciliation. The climate did not even get its own headline in what was agreed, which is now to be adopted. But I want to give the government credit for one thing, and that's that in the agreement they are now following the opposition parties and getting palm oil out of biofuels. It is good that we have a decision made, but now the government has to deliver. A year and a half ago, the Stortinget, with Ola Elvestuen's voice, decided that we should get palm oil out of all public tenders. Now, Ola Elvesuen has been the Council of State for over a year without being able to pursue its own policy. Therefore, my question to Ola Elvestuen is: can he confirm that the government is now going to follow the decision of the Stortinget, and that they are going to do it in a better way than the decisions the Stortinget has previously made on palm oil?
ParlaMint-NO_2018-11-28.ana.ud257e687	First, I notice that the representative believes that we have now been given a decision that we should have 50 pst. the reduction of emissions within transport is not significant. Clearly, our decision to continue the electric car advantages until 2021 is irrelevant. Clearly, the implementation and continuation of carbon capture and storage on the two projects we have does not matter. Also in the state budget we now have, we are intensifying the effort to convert the industry, Enova gets an increase of 344 million. SEK 444 million. with the agreement on the State budget. There are increases in efforts against municipalities in climate action, there are increases in other areas, such as support for environmental technologies. We have an electric car share that was up to 38 pst. during the previous period and there are 70 zero-emission ferries entering Norwegian fjords. In terms of area by area, a policy is being implemented where we are at the forefront, also internationally. So I completely disagree with the description of reality that is being presented.
ParlaMint-NO_2018-11-28.ana.ud257e694	Åsmund Aukrust – for follow-up questions.
ParlaMint-NO_2018-11-28.ana.ud257e699	When you get a question, at least it might be a good idea to ask that question. My question was about palm oil, if the Council of State is going to follow up on what the Storting is now deciding, unlike what he has done in the past with the other decisions. Then I hear a very self-satisfied state council that boasts of everything you get. I wanted to cheer for every CO 2 that Norway is able to reduce, but the truth is that the cuts that are now being implemented are being implemented because Norwegian climate policy is incredibly based on palm oil. That's why I want to repeat my question to Ola Elvesuen: can he now confirm that the government is going to follow up the decisions the Stortinge will make, in a better way than he has done before, and is he able to implement the decisions made on the question of palm oil?
ParlaMint-NO_2018-11-28.ana.ud257e709	I'm sorry, but I didn't get a little time. Yes, we are implementing the decisions that have been made, and the concrete decision on public acquisitions is two things to say. One is that the importance of a regulation in the case of public acquisitions is uncertain. The second is that of course we should bring down the palm oil part in public acquisitions. A diffi supervisor is now being developed to provide advice on how to do this. Otherwise we follow up the other parts of the decisions of Stortinget. In addition, the way to bring down palm oil is to raise the investment in advanced biofuels. Several investment decisions are being made. There's more going on. There is a reassessment in 2020 of the tax exemption for biofuels outside the placing on the market requirement and there is an even stronger commitment to zero-emission technology to reduce the amount of fuel.
ParlaMint-NO_2018-11-28.ana.ud257e714	Åsmund Aukrust – for follow-up questions.
ParlaMint-NO_2018-11-28.ana.ud257e719	In a number of areas, Ola Elvestuen has met himself in the door as the Council of State. He's gone away from us having our own national climate target. Where the Workers' Party wants us to make the emission cuts at home, the Council and the Government want an extensive use of quota purchases. We have seen that they have met themselves in the door of the question of palm oil, where the Council of State is unable to implement the decision he himself agreed to promote here in the Stortinget in June 2017, but he has actually also met himself in the door of the question of nature protection. This is an area where I actually thought that this government was going to deliver better with Ola Elvestuen as State Council. For several years now, we have reached a cross-political agreement to increase the appropriations for forest protection and have greater ambitions for it. That's very good. But amazingly, Ola Elvestuen would be the first climate and environment minister in very many years to implement a cut to forest protection. My question to Ola Elvestuen is: What does he think about being the first Environment Minister for many years now to carry out such a cut here in Stortinget?
ParlaMint-NO_2018-11-28.ana.ud257e724	First of all, it's a nice talk I have when I meet myself in the door of climate policy, because there we do. We have taken initiatives in the past, and we are now implementing the policy. As far as forest protection is concerned, we have increased every year since 2013 – from less than 200 million. kr for well over 400 mill. kr. It's an increase in forest protection that we haven't had before. We've doubled the funds spent on forest protection in the last 15 years, from when the red-greens were on. This year we're increasing again. That's 446 million. kr goes to voluntary forest protection and in addition there is an allocation decision against the forests of the country up to 795 million. kr. Forest protection activities are going to increase dramatically also to next year. So the reality description that we're reducing the effort on forest protection is wrong. Here's an allocation. It's also high this year, and then it's a supplement that's important to have increased activity.
ParlaMint-NO_2018-11-28.ana.ud257e732	Let's move on to the next main question.
ParlaMint-NO_2018-11-28.ana.ud257e737	I have a question for the Minister of Defence. We've asked the Council of State to explain what we know about the frigate legacy so far, because I think it's an advantage in this case that it's as open as possible. Yesterday there were probably several people who were stunned over a state council that went to attack the Norwegian press and the coverage of this matter. It's not just about openness in the process – and I expect the Council of State to come to the Grand Council and explain to the open hall – but my question is of a more principleal nature, because when there are accidents or incidents in Norway, it's a natural part of our democracy that the press often prints its version. Does the Council of State think that it is wrong for the press, in time to come, to publish articles on the reason for the frigate's failure, before the Commission's report is available?
ParlaMint-NO_2018-11-28.ana.ud257e746	Thank you to the representative for a very good question, a timely and important question. No, it's not like I'm somehow trying to limit the power of the press or the ability to do their work. After a long interview on the matter in my office, I had a conversation with the journalist who was about those things. For me, it's a little important that I have a special role as a government council. What has happened after the event and beyond, we have tried to be as open and informed as possible. But the fact is that the information on the course of events before the accident – in the form of audio log, data record, digital recording and navigation data – was collected from the frigate and delivered to the Marine Commission and the police immediately after the accident, simply because it is those who have been responsible for investigating that kind of accident. Then I can't wonder about the sequence of events. The defense is a party to the case. There are many other parties to the case. It's a loos, it's two tugs, it's a tanker, it's a traffic center. We have earned the most objective discovery of the course of events by the Disaster Commission and the police. The conversation was about my role, where I asked for respect for not speculating on this matter, about the course of events. It's a discussion I would like to include the media. What role should a Council of State play in such a picture? I believe that I am on a safe footing when I say that I do not want to speculate, and that I am waiting for the report from the Disaster Commission to see what the course of events may have been.
ParlaMint-NO_2018-11-28.ana.ud257e755	Now maybe the answer to the council has changed, because now he's discussing his role. I don't think anyone thinks he should conclude before the Commission's report is available. We have to wait for that report, but in the meantime, I think it's important that there is openness about the process, that we get a statement in the Stortinge about what we know so far, and that what is also being investigated is the recovery. As far as I know, it's not about any investigation of the recovery so far. So I'm recording that the Council of State is going back on the somewhat grueling play he had yesterday. We can also expect – and we are open – that the press in the coming year can write about the cause of the accident. There's nothing fundamentally wrong with that. Does the Council agree with such an opinion?
ParlaMint-NO_2018-11-28.ana.ud257e762	Then I must have been unclear, because that's exactly my point. In fact, a prerequisite for the press to be able to be present and check what happened before and after is that they also respect that there are others who have other roles in such an event. The damage commission has its role. The police have a role to play. I feel that it is largely respected that the police in such cases say that for research reasons they cannot comment now. That's exactly what it says right now. The Disaster Commission will have a press conference tomorrow to explain how far they have come. My point in the conversation I had with the journalist was that I also have a role as a Council of State – and that's not to speculate. But I have not in any way tried to limit the press's work on looking at what happened before, during and after the accident.
ParlaMint-NO_2018-11-28.ana.ud257e767	It opens for follow-up questions – first Anniken Huitfeldt.
ParlaMint-NO_2018-11-28.ana.ud257e772	Will the Council of State come to the Storting and explain what he knows so far, and will there be a study and an external review of the rescue work itself?
ParlaMint-NO_2018-11-28.ana.ud257e777	I have replied that we would like to come to Stortinget and explain it in the open hall – simply because it is important. The course of events is being investigated by many — by the police, to see if there is a criminal offence, by the State's Committee on Transport, to account for the course of events, to allocate responsibilities and to try to find out what happened, by the Defence's own accident commission, which also follows it. In addition, we've put down a group that follows the event, the recovery and all that work, for two reasons: we're going to describe what's going on, and we're going to learn as much of this as possible, because we want it not to happen again. So, yes, I'd like to go to Stortinget to explain this. And yes, we've invested quite a lot of resources to follow along the way so that we can pick up the maximum amount of learning from the event.
ParlaMint-NO_2018-11-28.ana.ud257e786	Anniken Huitfeldt – for follow-up questions.
ParlaMint-NO_2018-11-28.ana.ud257e791	Shall the recovery review be internal, or shall there be an external review?
ParlaMint-NO_2018-11-28.ana.ud257e796	The marine defense has set up an internal group to follow the recovery, simply to gather their knowledge of what happened, and learn from this course of events. Fortunately, this is something we don't experience very often, and then we're going to learn from this. I do not imagine that anything about this work or the reports that come after such work should be classified or graduated. No, I think this is important knowledge that we should be able to have in the public domain.
ParlaMint-NO_2018-11-28.ana.ud257e804	The oral question procedure is over, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2018-11-28.ana.ud257e818	There will be some changes to the questionnaire, and the President will refer to the electronic question list in this section. The proposed amendments are proposed for approval. – It shall be deemed to have been adopted. The changes were as follows: Question 5, from the representative Björn Moxnes to the Minister for Children and Gender Equality, must be postponed until the next Question Time, when the Council of State has left. Question 12, from the representative Elise Bjørnebeck-Waaagen to the Minister for Justice, Preparedness and Immigration, will be taken up by the representative Maria Aasen-Svensrud. Question 14, from the representative of Kjersti Toppe to the Minister for Oil and Energy, will be answered by the Minister for Transport on behalf of the Minister for Oil and Energy, who has left. The question is proposed, at the request of the Minister for Transport, moved and answered for question 4, to be answered by the same Council of State.
ParlaMint-NO_2018-11-28.ana.ud257e836	On the basis of press releases and feedback from both employees and the public on the railways, I would like to ask the Minister for Transport the following questions: ‘Does the correctness of the fact that there will be a lot of buses for trains on the Sørlandsbanen in the next few years, and in that case, the offer of Traffic Package 1 for the Sørlandsbanen is designed in such a way that this ratio is maintained?’
ParlaMint-NO_2018-11-28.ana.ud257e843	The short answer might be that there is as little bus for trains as possible and as much as necessary. The second could be 'yes'. The starting point is that the NSB, which runs the train on the route today, has also run the bus for trains for periods when it has our work on the route. Railway NOR has planned more infrastructure work on the South Coastal Railways also in 2020 and for years to come. This will cause one to have to organise a bus for a train for a period of time. This is what all the competitors in the competition knew about, and they have therefore designed their offerings in view of it. The planned work has no impact on the competition for the South Transport Package. Traffic settlement would therefore not have been another if SJ Norway or NSB had won the offer. The Railway Directorate has assessed the Go-Ahead supply very well in terms of punctuality, regularity and management of traffic deviations. It helps to have a government that invests in infrastructure and maintains more than one in the past. It will also look at these sections in the years to come, simply because it is the seventh and last decision whether we will over time maintain a qualitatively good enough supply on the Norwegian railway.
ParlaMint-NO_2018-11-28.ana.ud257e850	Thanks for the answer. An article on the free trade movement website.no indicates that there are a high number of settings on the Sørlandsbanen. During the period January 2017 to October 2018, 8,102 take-offs were cancelled due to planned work. And it was only in the South West. After all, it is expected that the railway will be upgraded with double tracks during the NTP period. Although the government has not yet committed any funds to this end, the work, together with other development and maintenance, will lead to a lot of work throughout the railway section. Is this also a prerequisite for all the tenderers, so that they have been able to take account of it, or is there anyone who has done it and others have not?
ParlaMint-NO_2018-11-28.ana.ud257e857	All providers have equal access to information. All the providers have been evaluated by the Railway Directorate when it applies to the extent to which they intend to deliver on the offer they have provided. I therefore assume that the Railway Directorate has also assessed all such parts of future work. We have an ambitious national transport plan. We're building railroads like never before. Only in the next year's budget, we're increasing the stakes on rail by almost 9 pst. It is clear that it affects regularity in some areas – simply because the infrastructure is too poor. The maintenance allowance has grown year after year under previous governments. It is imperative to reoccur now, despite significant investments. We're going to have new signalling systems, we're going to upgrade the infrastructure. It is clear that this may be challenging, but I expect all the actors to deliver the supplies they have supplied. They should have had the information they need in order to have made good judgements.
ParlaMint-NO_2018-11-28.ana.ud257e864	As we know, the new operator, Go-Ahead, must operate the South train and have up to two trainsets of type 69, three locomotives of type El-18, four sleepers of type WLAB II, seven trainsets of type 73, etc. etc. This material must be rented by Norwegian train AS. But the rental contract is said not to have been signed. At the same time, we know that Go-Ahead has said that they should make money on increased frequency and more passengers. Does the Minister think that this material is sufficient to satisfy Go-Ahead's demand for both increased frequency and increased number of passengers?
ParlaMint-NO_2018-11-28.ana.ud257e869	It is the company that has provided, which is responsible for keeping up what they have promised in the supply contract. That's what they're measured for. We're going to measure everyone who wins routes on the Norwegian railway, on the supply they've supplied. So that's what I'm referring to. At the same time, in this offer as in everyone else, it is the state that buys train services. They're not commercial driven at all. They're bought by the state. So one of these supply packages has now seen that different companies have assessed how they can increase the business potential, Go-Ahead, for example, through close cooperation with Columbus, which means that they believe they get the passenger base up. It's good if more people do well to take the train as a result of the fact that we've now had an offer round of train sections in Norway. I hope that's a good example of how we get more money from the infrastructure in the future, and not least make sure that we have supplies that passengers are happy with.
ParlaMint-NO_2018-11-28.ana.ud257e881	‘The Go-Ahead company won the offer on Sørlandsbana. Follow the Evening Post 19 November scora the better than NSB on one of the 15 quality criteria. On 12 out of 15 quality criteria scora NSB better than Go-Ahead. One of the leading experts in Norway on public procurement, lawyer Robert Myhre, says to Evening Post that «to me it is obvious that the companies do not come out equally. I want to say that the differences are quite large». Why my Council of State was it right to choose the company that will deliver clearly the worst quality?’
