ParlaMint-NO_2018-02-01.ana.ud515e32	The representative of Åslaug Sem-Jacobsen will present a proposal for a representative.
ParlaMint-NO_2018-02-01.ana.ud515e371	The left is concerned that we have sound welfare systems that ensure equal opportunities for all in society. Equal opportunities include: that all should have good assumptions for being active participants in society, and for immigrants, learning languages and getting out of work is the key to being able to participate in society on equivalent terms. After a long time of cash support, we have gained a lot of knowledge about the social effects it creates, and what research shows is that the scheme too often leads to mothers, especially in the immigrant environment, going home. This prevents active integration. Welfare schemes are unfortunate and actively facilitate the keeping of persons who have lived in Norway for a short time. It should be a clear goal to get as much work as possible. Not only will it be positive for the economy of the individual, for the family and for society; it is also important in terms of integration and gender equality. Then I notice that the proposers are busy pointing out that the requirement for living does not in itself contribute to more immigrant women coming to work. I believe that they ignore the knowledge we have about how the cash support actively acts as a barrier to this particular group, but at the same time I will give the proposers the right idea that this alone is not enough. That is why we need a set of measures, and that is precisely why the enlarged government in its declaration adds to an inclusion quo where getting people into work is one of the main objectives. In order to ensure the best possible starting point in life for children, it is important to give them the opportunity to develop language and social skills from an early age. They get this in kindergarten. This is particularly important for children of immigrant parents, because it is unfortunate that cash support actively deprives these children of the opportunity to improve their starting point in life. These effects will be enhanced in the absence of a housing requirement. For the Left, this is also a question of how to prioritize resources. We need to be sure that the welfare measures we spend money on actually work. We cannot afford to waste money if we are to ensure the sustainability of the welfare state in the future, and therefore, for the Left, it is important that we can just spend this money on measures that are more conducive to integration and inclusion. That's why I'm glad that the Left has had an impact on things, such as free core time in kindergarten for 3-5 year olds in low-income families. In addition, the government platform provides a similar scheme for SFO and AKS, with free half-day space for children in families where parents have poor advice. The left is concerned that we should lower the threshold for children to go to kindergarten and remove the financial barriers that prevent children from attending. At the same time, the Left is concerned that we should gain sufficient knowledge of the systems that exist. That is why we in the Left are going to support proposal No. 1 in this case. So I'll end by saying that the left is for freedom of choice, but also to give children and women the best possible starting point. That's what really creates more possibilities.
ParlaMint-NO_2018-02-01.ana.ud515e386	I just want to first remind a little bit about what this matter is really about. We are promoting this proposal because a decision was taken in this Chamber before the summer that has subsequently proved to have some unintended negative consequences, as the rapporteur pointed out. For example, if a woman who has been a member of the Norwegian population since she was born marries a man from Egypt, and it turns out that he has less than five years of residence, she is refused cash support. This was not said about anything from the parties who voted in favour of this requirement before the summer. Most disappointed in this matter is the Workers' Party, because when the Workers' Party discovered these unintended consequences, a question was quickly sent to the Council of State. The working party signaled that this is a problem, we have to do something about it. So we feel that the Workers' Party is stretching its arms into the weather and does not want to fix these unintended consequences at all. The Christian People's Party voted against five years of living requirements, but we made our own proposal, a proposal that they had to take compulsory Norwegian education for less than three years to receive the cash support. To those who push the question of integration ahead of themselves and use it as the most important argument: Why did the Christian People’s Party not vote in favour of the proposal, which just linked language training to the cash support for them with less than three years’ living time requirements? Thus, five years’ living requirements have been adopted without linking them up to, for example. Norwegian training. I think that's strange, all the time you use the integration perspective as one of the most important arguments. I still cannot understand the vote against the proposals of the Christian People's Party a few months ago. The Christian People's Party is concerned that we have a good babysitting, that we have full babysitting. We want a high-quality kindergarten. We must not set up cash support and kindergarten against each other; these two things are closely linked in Christian People's Party policy. But we want to turn the ring around the freedom of choice. We want to make sure that the parents who want to be a little longer at home with their 1-year-old are allowed to do so. Children are different, families are different, and then we're going to make it possible for families of children to make their choices. I am responding to the use of words related to the cash support. The Labour Party says it's anti-equality, it's anti-integration, we can't pay people who choose wrong. For me, it almost sounds as if those who use the cash support are acting hostilely towards the welfare state of the Workers' Party. Back to what is the starting point of this case: We now tried to correct some unintended consequences of the proposal that was adopted before the summer. I record that there is no willingness to correct the injustice that has occurred. Instead, you push, for example, Navel in front of itself. I can promise that Nav will solve far more complicated matters than this matter. I am incredibly disappointed – not on behalf of the Christian People's Party, first of all, but on behalf of all those from whom we have received signals, who think this is very unfair, and who are now hit by a decision that I do not think was very well thought out. I address the proposals of the Christian People's Party.
ParlaMint-NO_2018-02-01.ana.ud515e405	The representative Geir Jørgen Bekkewold has taken up the proposal he referred to.
ParlaMint-NO_2018-02-01.ana.ud515e411	Red is basically against cash support. Red wants to wind up the entire scheme. However, if this is to happen, there must be arrangements to ensure that families with poor finances do not become even poorer when cash support is removed. That's why we're going in for, among other things. free kindergartens, the doubling of family allowances, better Norwegian training and measures to prevent discrimination in the labour market. The proportion of children living in low-income families has increased sharply in recent years. Half of these have immigrant backgrounds. For us, it is important to avoid children's living conditions getting worse in a political draw. Good living conditions, having a job to go to, and not least having a kindergarten that is available, are fundamental to achieving good integration. On the other hand, living time requirements will increase poverty in low-income families. This requirement may also be discriminatory. In our view, it is unreasonable to introduce different standards for access to rights that are initially universal. Norway should not go in a direction where different standards become legitimate. It can create ground for conflict and poorer integration when it comes to feeling that someone does not deserve a right that everyone else gets. Although Red is against the cash support, we believe that as long as there is a support scheme, it should apply equally to all families with children. The requirement for living time is not conducive to integration; it is the creation of double standards. Therefore, Red is promoting proposals today to remove the requirement to live time introduced on 1 July 2017. We also support the proposal of the Central Party and the Christian People's Party to ask the government to acquire knowledge about who the cash beneficiaries are, with particular emphasis on professional status, educational background, reasons for using the scheme, and living conditions in general for this group. I'll bring this up on Red's proposal.
ParlaMint-NO_2018-02-01.ana.ud515e422	The representative Bears Moxnes has taken up the proposal he referred to.
ParlaMint-NO_2018-02-01.ana.ud515e427	The government is concerned that families of children should have freedom of choice, but at the same time we believe that it was right to tighten up cash support in the interests of integration. The introduction of five years of residence requirements was therefore a proposed restriction to be applied in general. The proposal was supported by, among others: The Directorate for Integration and Diversity, which stated that there should not be cash benefit schemes in the early years of Norway that make it economically beneficial to be away from the introduction programme. The proposal for a representative now under consideration implies that the requirement to live only applies to the cash beneficiary, nor should it affect Norwegian nationals who have been living abroad for a longer time. In the case of Norwegian citizens who have been abroad, I would like to point out that all living time earned in Norway is included in the assessment of whether the requirement to live is met. There is no requirement for an immediate prior residence. Therefore, only in very rare cases will Norwegian citizens not comply with the requirement to live. With regard to the proposal that only the cash beneficiary should meet the living requirement, I would say that if the living requirement is changed in this way, it would be very easy to bypass. It is not a requirement today that the beneficiary of the cash support is at home with the child. For example, the proposal for a representative and the amendments proposed there. imagine that one of the parents who is in full-time employment and who meets the requirement to live can be at home and receive cash support while the other parent is at home with the child. I believe that such a solution is not particularly fortunate. The five-year requirement for cash support is a general requirement, and I fully agree with those who say from this speaker that these families are different. They have different needs and different life situations. When it comes to the immigration perspective, these families are also different. Some are quickly integrated, and some may experience a general requirement for living as very unfair. I believe, however, that it will be a major challenge to make exceptions to the requirement for living time. The notion of non-discrimination speaks for a simple rule that everyone can relate to, and it will also be very difficult to design a provision that not only hits those who are not well integrated but who do not hit anyone else. As is so often the case with tightening up, situations and individual cases arise where the requirement can be perceived unfairly, but like several others from this pulpit, I am also of the opinion that this is weighed up by the positive consequences this bill change will have.
ParlaMint-NO_2018-02-01.ana.ud515e440	It's going to be line change.
ParlaMint-NO_2018-02-01.ana.ud515e445	Non-discrimination is of the utmost importance. But there is a lack of equal treatment that makes a lot of people now feel that they are being discriminated against. There are people who have been a member of the Norwegian population for their entire lives, and who have found love with a non-Norway border, who now lose the opportunity to make use of a welfare scheme that everyone else has the opportunity to make use of. The notion of non-discrimination – it is precisely the opposite of these people who feel they are being subjected to. They're being subjected to an injustice. There are some consequences here that I do not believe the government parties saw when they adopted the requirement of five years' residence. Does the Council of State understand how these people feel, who feel that double standards have arisen around such a welfare scheme as cash support?
ParlaMint-NO_2018-02-01.ana.ud515e454	I am concerned that we should ensure the families freedom of choice and flexibility. Therefore, I am pleased that we still have the cash support scheme, but I also believe that the Christian People's Party must agree that we have an arrangement where one parent can be in full employment and meet the living requirement, but get cash support and be at home while the other parent is, is not the purpose of the arrangement. I understand that it could be unfortunate for individuals when we are doing tightening up, but I think we should be on the change that was made earlier.
ParlaMint-NO_2018-02-01.ana.ud515e461	The Christian People's Party is not allergic to cash support criticism. We are always willing to look at the arrangements we have, both the cash support and other arrangements, to see if they can be improved or arranged so that we, among other things, can. have no integration-retardant arrangements. But I just want to ask the Council of State, because you push the line of work in front of you: does the Council of State think that today's working life is organized so that it's easy for immigrant women to get into the workplace?
ParlaMint-NO_2018-02-01.ana.ud515e468	I think we should do more to ensure that immigrant women enter the labour market. It is crucial for integration. It's about learning the Norwegian language, and it's about acquiring the skills you need to get a job. It's important not only for the individual woman, but also for the children and for the whole family. We're busy with that. I am glad that the Christian People's Party also says that one is concerned about assessing the cash support scheme, so that it among other things. shall not act as an integration inhibitor. That is why I am pleased that the Christian People's Party, together with the Center Party, has today promoted the proposal that the Stortinget ask the government to acquire additional knowledge about who the cash beneficiaries are, what the educational background is, and what is the reason they are using the cash support scheme. Although we have a lot of information that we're extracting from the SSB today, I'm not in doubt that it's useful to have broader knowledge.
ParlaMint-NO_2018-02-01.ana.ud515e475	Thanks for the answer. I think it's a little strange that you talk so much about how important it is to, among other things. learn Norwegian. That's the key to getting into both society and work. Nevertheless, the majority in this Chamber were able to vote against the Christian People's Party's proposal that they should have compulsory Norwegian education for less than three years of residence. We attached Norwegian training to the cash support. I don't quite understand. Governments believe it is important to facilitate good knowledge, Norwegian knowledge. Nevertheless, one is voting against the only proposal that was promoted that actually had this element in it. I find it difficult to understand that one could vote against such a constructive proposal as that. What is the reason why five years of living requirements have now been introduced without linking Norwegian training to the scheme?
ParlaMint-NO_2018-02-01.ana.ud515e484	I did not sit in this room and voted against that proposal, but in order to improve integration, especially in the case of minority women, we have to work along several lines. Then it is very important for the government to strengthen Norwegian education, not only for minority women, but also for men, while at the same time taking more steps to make it easier to get into Norwegian society, not only through work, but also in many other social arenas – within volunteering, within culture and sport. It is important to understand that children also participate in those arenas. It is important for children to grow up to be part of the communities we have around in our local communities.
ParlaMint-NO_2018-02-01.ana.ud515e489	In this room, it has been recognised today that the requirement for living has had some unintended and unfortunate consequences for some groups. Similarly, a majority – the Council of State too – wants us not to look at the proposals for changes that have been made in the case, including: Because it's better to have a simple rule. But even the Workers' Party has seen that this is troubling. The council also mentions it. I get a little insecure: is the Council of States going to look at schemes that can correct this unfairness? Maybe you didn't agree exactly what the proposal looked like today, but there might be other opportunities to do something about this that affects people in an unfair way.
ParlaMint-NO_2018-02-01.ana.ud515e495	We have said in the government statement that we want to maintain the overall transfers to the families with children, but we have also said that we want to look at the device. To look at how to ensure that families of children receive support that hits them will be part of that assessment. Now we're going to spend about 80 billion dollars. for support to families with children in Norway. We've got rust arrangements. I'm concerned that they're going to get there. At the same time, I would like to say that the decision on living requirements that was taken here last year, and for which there is a broad majority in the Stortinget, we are going to stand by. I admit that it is unfortunate that it may seem unreasonable for some, but it is compensated for by the positive effects that the requirement for living is intended to have.
ParlaMint-NO_2018-02-01.ana.ud515e500	The cord shift is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2018-02-01.ana.ud515e507	I take the floor to give an explanation of vote. The Group of the European People's Party (Christian Democrats) and European Democrats also supports proposal No. 1, to acquire more knowledge. It is well explained in the debate today that we may need to do so. We also expect the government to be based on previous evaluations, studies and information available in its knowledge acquisition.
ParlaMint-NO_2018-02-01.ana.ud515e512	Several have not asked for the floor on case No. 2nd@item: inlistbox
ParlaMint-NO_2018-02-01.ana.ud515e524	Then we're ready to go to voting.
ParlaMint-NO_2018-02-01.ana.ud515e549	Three proposals have been put forward in the course of the debate. It's proposal No 1, from Åslaug Sem-Jacobsen on behalf of the Center Party and the Christian People's Party proposal No 2, by Geir Jørgen Bekkewold on behalf of the Christian People's Party proposal No 3, from the Bears Moxnes on behalf of Red There is a vote on proposal No. Three from Red. The proposal reads as follows: ‘The Government asks the Government to return to Stortinget with a proposal to remove the housing requirement for the right to cash support introduced on 1 July 2017.’ The Central Party, the Socialist Left and the Greens have given their support to the proposal.
ParlaMint-NO_2018-02-01.ana.ud515e578	There is a vote on proposal No. 2, from the Christian People's Party. The proposal reads as follows: ‘The government asks the Government to return to Stortinget with a proposal for a modified cash support law, so that the housing requirement adopted by the Stortinget on 8 June 2017 only applies to the cash beneficiary and also does not affect Norwegian citizens who have had a longer stay abroad.’ The Socialist Left and the Greens have given their support to the proposal. Red has announced subsidized support for the proposal.
ParlaMint-NO_2018-02-01.ana.ud515e595	There is a vote on proposal No. 1, from the Center Party and the Christian People's Party. The proposal reads as follows: ‘The government is asked to acquire knowledge of who the cash beneficiaries are, with particular emphasis on professional status, educational background, reasons for using the scheme, and living conditions in general for this group.’ The Labour Party, the Right, the Advance Party, the Socialist Left, the Left, the Green Party and the Red Party have announced their support for the proposal. – No one has stood up, and it has been unanimously adopted.
ParlaMint-NO_2018-02-01.ana.ud515e607	There was a mistake in the President's explanation of vote. SV shall vote against.
ParlaMint-NO_2018-02-01.ana.ud515e612	Would SV vote against? – Well, then we'll take the vote again.
ParlaMint-NO_2018-02-01.ana.ud515e631	Behind the setting are the Working Party, Right, Advance Party and Left. The Central Party, the Socialist Left Party, the Christian People's Party, the Green Party and the Red Party have announced that they will vote against it.
ParlaMint-NO_2018-02-01.ana.ud515e701	Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - It doesn't seem so, and the meeting is cancelled.
