ParlaMint-UA_2019-10-29-m1.u1	Dear colleagues, please take your seats, prepare for registration.
ParlaMint-UA_2019-10-29-m1.u65	Honourable Dmitre Alexandrovich, distinguished national deputies, along with amendments to the Banking and Banking Act and the "On the Depositary System of Ukraine" ratification of the FATCA also requires amendments to the Ukrainian Tax Code. The proposed changes under this draft amendment to the Tax Code are intended to be determined accordingly. the definition of "sub-account and its owner", "financial agent" and "financial account", the characteristics of reporting on accounts, collection and receipt of tax information by financial agents' control bodies, the imposition of a non-payment fine, the filing of infringements or with unreliable information or errors in the accounts reports, other precise positions. The proposed changes have already been noted in legislation that will allow the Ministry of Finance, the National Bank, and the State Tax Service to further join the multilateral agreement of the competent authorities on automatic exchange of financial accounts. The adoption of this bill will allow us to fully implement the agreement that we have just ratified. So we would like to support this bill to amend the Tax Code. Thank you.
ParlaMint-UA_2019-10-29-m1.u66	Thank you, Your Honor. The word is given to the first deputy head of the Committee on Finance, Tax and Customs Policy, Železniak Jaroslav Ivanovich.
ParlaMint-UA_2019-10-29-m1.u67	Dear colleagues, we continue to discuss FATCA, this is a change to the Tax Code. We had a long discussion on the committee on these issues and there were technical comments written in the committee's decision, but as there is a desire for a hall on the ground, we ask that we support this bill simply on the basis of development and technical law. And the request to shorten the time of consideration.
ParlaMint-UA_2019-10-29-m1.u68	Thank you, Jaroslav Ivanovich. Please sign up: two-for-two-against, those factions that would like to come forward. Or one faction that would like to speak. Zinkevich Jan Vadimovna.
ParlaMint-UA_2019-10-29-m1.u69	Jan Zinkevich, "European Solidarity." Ninja Jujanini.
ParlaMint-UA_2019-10-29-m1.u70	Eugene Nina Petrovna.
ParlaMint-UA_2019-10-29-m1.u71	Dear colleagues! I'd like to ask you to take a closer look at this bill. He's one of the most important things we've been taking in the last 50 days. So you'll understand very well that we're giving our tax authorities new rules, new possibilities and part of the administration to the definition of the taxpayer's responsibility. I would just like to point out that these rules of automatic communication were developed back in 2008, and those countries that immediately joined the automatic exchange are, of course, already having a huge gain. Although they started in 2008 with 40 bilateral swap agreements, at the end of 2018 there are over 4,000 500 contracts between 90 jurisdictions based on this automatic exchange of the new SRS format. And what has this given to countries that have been brought together automatically? According to the results of the 18th year, this information on beneficiaries is about 4.9 trillion euros. In addition, some 95 billion euros were budgeted. But Ukraine, since one of the last ones joins such an automatic exchange, I just want you all to understand that such authorizations can only be given to our controlling authorities when they are ready to do so. So once again, I urge all forces to concentrate, first of all, on the protection of such information. Secondly, before it's automatically used, not for the discretion of the taxpayers, but as in all other countries, a system of automatic integration into the so-called tax system has been built.
ParlaMint-UA_2019-10-29-m1.u72	Thank you, Nina Petrovna. Dear colleagues, is further discussion necessary, or can we proceed to the vote? Shall we go? Dear colleagues, I am voting on the proposal to adopt a bill to amend the Ukrainian Tax Code in connection with the ratification of the Agreement between the Government of Ukraine and the Government of the United States of America to improve the implementation of the tax rules and the application of the U.S. Act on Tax Requirements for Foreign Accounts. Please prepare for the vote (registration 2103). Are you ready to vote, Your Honor? Please support and vote. [[17:07:15]] For 295 Decision taken. Thank you. Let's move on to the next question. Let's see the factions. "Serve of the People" – 215, "Responsible Platform for Life" – 13, "European Solidarity" – 19, "Fatherhood" – 13, "For the Future" – 8, "Voice" – 15, "non-factional" – 12. Huh? And, dear colleagues, there was an offer from our colleagues and Jaroslav Ironman to cut the procedure by half. So please prepare for the vote. In accordance with part two of article 116 of the Supreme Council of Ukraine’s Rules, I am voting on the proposal to cut back on half of the sentences and allowances and prepare for the second reading of Bill No. 2103. Ready to vote? Please support and vote. [[17:08:25]] For 248 Decision taken. Let's move on to the next question of order of the day. You have been proposed a bill amending some Ukrainian legislation on engineering and maintenance of the state border (registration number 0905), which is a second reading. The word is given to the head of the National Security, Defence, and Intelligence Committee of Zdeby Jury Viktorovich.
ParlaMint-UA_2019-10-29-m1.u73	Honourable Chairman, Honourable People's Deputies of Ukraine! I suggest that you consider the draft Act amending certain legislative acts on engineering and maintenance of the state border of Ukraine (registration No. 0905), adopted by the Supreme Council of Ukraine in its first reading and prepared by the Committee on State Security, Defence and Intelligence in the form of a comparative table to the second reading. The aim of the bill is to create the right conditions for the state border engineering and security of Ukraine with neighbouring States, notably the Russian Federation, namely to ensure that the State Border Service carries out tasks for the protection and protection of the state border through the regulatory and legal determination of the size of land areas provided to the authorities of the State Border Service of Ukraine for the construction, installation and maintenance of engineering facilities, fences, border signs, border crossings, communications and other facilities of border infrastructure of 30-50 metres wide, as well as the release of these bodies in connection with the loss of agricultural and forestry production. The current nature of this bill is that no legal act defines the size of land that is given to the military parts of the Ukrainian State Border Service for the creation of border infrastructure. There are also lands on the border today that are covered by article 3 of the Ukrainian Law on the Use of Lands of Defence, which are owned by the State, mainly on the border with post-Radians and private property. These lands can be divided into two categories. The first is the land that is put in breach of existing legislation or illegally captured. Such facts take place on the border of the former Soviet Union. The land is also legally acquired, and it is torn apart. Such facts take place on the border with the post - Soviet states. Honourable National MPs, I stress that Ukrainian-Russian, Ukrainian-Belarusian, Ukrainian-Moldovian district of the state border, are owned by agricultural enterprises and, in some cases, other areas, which are practically scattered along the state border and already have property rights in place without taking into account the requirements of article 3 of the Ukrainian Law on the Use of Lands of Defence. And so the adoption of this law by Ukraine will determine the legal mechanism for resolving issues with landowners, residents of border areas, will lead to the unification of the law of Ukraine to the legislation of the neighbouring states, where these issues have been settled since the 1990s. In view of the above, a comparative table is prepared in the second reading, and 10 amendments are all accepted. I ask the people's deputies to vote in favour of this bill as a whole. The report was completed. Thank you.
ParlaMint-UA_2019-10-29-m1.u74	Thank you. Dear colleagues, if I'm not mistaken, here are all the adjustments and suggestions that were made in preparation for the second reading. I'd like to give you a minute of the motive for Nikiforenko Volodymyr Stepanovich and. Who? What's the matter? No, I'll give it to you after Nikiforenko. And let's go to the vote. [[B in m in s a l in]] Let's vote. Well, there's no motive here. If there's an adjustment, let's do it straight. None. Then let's vote. Please give your word to the deputy head of the State Border Service.
ParlaMint-UA_2019-10-29-m1.u75	Thank you. Mr. Head, honourable national deputies, the purpose of the act is to regulate the issue of the allocation to the State Border Service of 30-50 metres wide to form quality border infrastructure within the border and controlled border area. So this law, if adopted, will define both the legal mechanisms for resolving the disputes that have already been discussed and will lead to the unification of Ukrainian legislation with the neighbouring countries where these issues have long been resolved. Please support the bill. Thank you.
ParlaMint-UA_2019-10-29-m1.u76	Thank you. Dear colleagues, I suggest we proceed to the vote and let the State Border Service go to work faster. I am betting on a second-reading vote and, in general, on the necessary technical and legal regulations, the draft Law amending certain Ukrainian legislation on engineering and maintenance of the state border (registration No. 0905). I can't hear you. All the changes are accounted for. Dear colleagues, we are about to go to the vote. Ready to vote? Please take your seats, prepare for the vote. Ready to vote? Please support and vote. [[17:14:41]] For 288 Decision taken. The law is passed in general. Thank you. Show by factions. People's Party 218, Opposition Platform – Life 1, European Solidarity – 19, Fathers – 12, Futures – 11, Voice – 14, non-fractional – 14. Let's move on to the next question of order of the day. You have been given a draft Act amending some Ukrainian legislation to ensure that citizens have unimpeded access to the coastline of water objects for general use (registration No. 0869). The report is given to the head of the Committee on Environmental Policy and Environmental Use by Andrievich Zinovija Miroslavovich. But, dear fellows, don't break up, there's very little line.
ParlaMint-UA_2019-10-29-m1.u77	Good day, Your Honor, dear friends, dear Ukrainians! For consideration by the Supreme Council of Ukraine, the second reading introduces a draft Ukrainian Law amending some Ukrainian legislation on ensuring that citizens have unimpeded access to the coastline of water objects for general use (registration No. 0869). Article 13 of the Ukrainian Constitution provides that the earth and its entrenched atmosphere, water and other natural resources within the territory of Ukraine, the natural resources of its continental shelf, and the maritime economic zone are subjects of the property rights of the Ukrainian people. Every citizen has the right to use natural property in accordance with the law. Draft Ukrainian Law adopted by the Supreme Council on 4 February 2015. The bill aims to ensure that citizens have the constitutional right to use natural objects — the right to property of the Ukrainian people; the creation of real legal mechanisms for free and free access by citizens to the shores of water objects for general use; the release of coastal protection lines from fences or other structures that prevent citizens from accessing the waterfront, the introduction of a mechanism for dismantling them; and the promotion of civilised and responsible use of coastal protection lanes. The bill provides for amendments to Ukraine’s Water and Land Codes, administrative offences, Ukraine’s laws on local self-government in Ukraine and local government administrations. Restrictions on the rights of general use are prohibited in connection with the provision of coastal protection lanes for the use of legal and physical persons. Changes to Ukraine’s Earth Code propose banning fences or other structures that hinder citizens’ access to waterfronts. The bill provides for administrative responsibility for the illegal restriction of unhindered or free access to the seashore, sea coves, lemons and islands in inland sea waters within the beach zone, as well as to the banks of rivers, waters and islands for general use, except in cases provided for by law. In accordance with article 116 of the Supreme Council's Rules of Procedure, amendments were made within 14 days of the introduction of the bill into the agenda. Of these, 54 are included in 48, including editorially and partially, 6 are rejected. The Committee on Environmental Policy and Use at its meeting on October 9, 2019, decided to introduce to the Supreme Council the Act on Amendments to Certain Legislative Acts on the Unhindered Access of Citizens to the Coast of Water Objects for General Use.
ParlaMint-UA_2019-10-29-m1.u78	Ten seconds.
ParlaMint-UA_2019-10-29-m1.u79	But his acceptance in the second reading and in general as a law. Please be supportive.
ParlaMint-UA_2019-10-29-m1.u80	Thank you. Dear colleagues, please don't break up with me. Edit 8, Feldman. Don't insist. 15th, Feldman. 17th, Lucenko. 39th, Bondarenko. 39th, Bondarenko. 40th, Lucenko. 54th, Labunska. Do you insist? Please turn on the Labunski microphone.
ParlaMint-UA_2019-10-29-m1.u81	I thank my dear colleagues that almost 10 lines, 9 out of 10 are included. But we did have a discussion, and yet we do have in this law a clearly undetermined body that will be responsible for controlling the dismantling. I'd still like to go back and put my turn to the vote. Thank you. Just so it doesn't work out, the law won't work.
ParlaMint-UA_2019-10-29-m1.u82	Again, I'm sorry, I didn't hear the last phrase.
ParlaMint-UA_2019-10-29-m1.u83	I ask for an amendment to be put to the vote because that is precisely the case. And support her, because that's what this is about. 54th. The same applies to determining the body responsible for dismantling. Because we may have a good law, but it won't work. Thank you.
ParlaMint-UA_2019-10-29-m1.u84	Yes, dear fellows, license number 54. Committee position.
ParlaMint-UA_2019-10-29-m1.u85	The position of the committee is to reject the fact that the structures that are illegally installed will be dismantled by the owner of the structure itself.
ParlaMint-UA_2019-10-29-m1.u86	Thank you. Dear colleagues, I'm putting the number 54 of the national deputy of Labunski to the vote. It was not counted by the committee, and now it needs to be voted on. Please identify and vote. [[17:21:16]] For 105 The decision is not taken. Dear colleagues, we can cross, can't we? Yvchenko.
ParlaMint-UA_2019-10-29-m1.u87	Vadim Yvchenko, "The Fatherland" faction. Dear colleagues! Once again, I want you to pay attention. For this law to work, and it really does have to be a responsible body. Because within 10 days of the adoption of this law, the owner of this fence is required to dismantle it at the request of the local administration or at the request of the executive authority. If he does not dismantle it, who is responsible for the dismantling? So it's important that you support this right so that this law works. This law protects the rights of people who want to have easy access to water, rivers, and so forth. Let's support, let's go back to Labunski's work and support this. Thank you.
ParlaMint-UA_2019-10-29-m1.u88	Thank you. Can we get to the vote? What's that? No, it's not. We voted it out, we're not coming back, Vadim Evgenovich. No, it's not. We can't go back to editing. The word is given to Deputy Minister Rybczyn Aleksija Mikhajlovich, a minute of motivation. And let's go to the vote.
ParlaMint-UA_2019-10-29-m1.u89	From Minecoenergo, we thank the MPs for the quality of the bill to those who applied. The Ministry supports the adoption of this bill. Thank you.
ParlaMint-UA_2019-10-29-m1.u90	Papiev Mikhailo Mikolaiovich.
ParlaMint-UA_2019-10-29-m1.u91	Thank you. Honorable National Deputies of Ukraine! The faction of the political party "The Opposition Platform for Life" will support this bill and vote in the second reading because we are in favour of having the citizens of Ukraine have their legitimate constitutional right to use water. But in all of this, I'm still drawing your attention and attention to the committee. You must have someone there with the experience of working in the local executive branch, and you are rightly told by the national deputy Labunska that there must be an authority authorized to do so if the owner does not want to do so. Although you have not even heard this perfectly logical request. Our faction will support this law even with the shortcomings it is with, because we will first vote for our people, for their constitutional rights. Thank you.
ParlaMint-UA_2019-10-29-m1.u92	Luschniak. Turn on the microphone, please.
ParlaMint-UA_2019-10-29-m1.u93	Mikola Lušnjak, 166th District, Ternopilska. Dear colleagues, as a result of the last 10 years, we have had a catastrophic situation with access to water, which is essentially state-owned. And today our constitutional right must be protected so that all people can have access. What happened? The fences, the shore-reinforcing buildings, which today do not allow easy citizens access to any of them. to any water supply in Ukraine. Dear colleagues, this law has come to light since 2005. I ask you to support it, the law in the second reading and in general. Thank you.
ParlaMint-UA_2019-10-29-m1.u94	Dear colleagues, have all those who wish to speak? Let's go to the vote. Please prepare for the vote. "The Voice" yet? Bobrovska Solomija Anatoliyevna
ParlaMint-UA_2019-10-29-m1.u95	Thank you very much. All the right things. Perhaps the inhabitants of Mikolayev and so on and so on, and the Donetsk region will be happy to finally reach the sea, the lemons, and so on. But the question is, Who will dismantle the defenses of these buildings that are built by humans? This time. The other one. Actually, it doesn't solve the complex issue yet. Because there's a variety of things going on right in the area of the sanitary area, the sanitation area, and so on and so forth. I would like to see the city of Odessa and, in particular, the Road of Health in full access to the coastline. Otherwise, as was the 15th year when the head of the administration carried his own hands on the building. And I'm very sorry that the amendment wasn't supported. Thank you. Who works in local or local administrations knows that very well.
ParlaMint-UA_2019-10-29-m1.u96	Thank you. No, we're not going to re-vote the bill, we're going to break the Rules. If you make any proposals for a change in legislation, we will vote. There is no such procedure as a return, unfortunately. Dear colleagues, please prepare for the vote. And the committee is asked to study more carefully those adjustments that are taken into account or not. Please prepare for the vote. I am voting on the proposal to adopt a second reading and, in general, with the necessary technical and legal rights, the draft Law amending certain Ukrainian legislation to ensure that citizens have free access to the coast of water objects for general use (registration No. 0869). Please support and vote. [[17:27:47]] For 314 Decision taken. Thank you. The law is passed in general. Show the factions, please. "People's Servant" – 228, "The Opposition Platform – Life" – 13, "European Solidarity" – 19, "The Fatherhood" – 11, "For the Future" – 11, "The Voice" – 16, "the non-fractional – 16. Dear colleagues, let's move on to the next question of order, order of the day, that's it. [[B in m in s a l in]] I'll give you a minute to speak to Raducci Mikhail Borisovich.
ParlaMint-UA_2019-10-29-m1.u97	Dear colleagues, Mrs. Stefanisina, our colleague from the Voice Party, has already told us about the situation in Ukraine today with diphtheria. Thus, the National Health Committee, through the leadership of the Supreme Council, organizes a free diphtheria vaccine at 2.30 p.m. at the Supreme Council Medical Center on its way to the buffet. Request: Anyone who wishes to be vaccinated by diphtheria and his own example to show the country that it is absolutely necessary to avoid the epidemic, please write to the National Health Committee Secretariat. At 2:30 a.m., we have a copy of the passport and a copy of the identification code. 2:30 P.M. at the Supreme Council Medical Center.
ParlaMint-UA_2019-10-29-m1.u98	Thank you, Mahalo Borisovich. Dear colleagues, let's move on to the next question: the draft concession law (registration number 0879). The Deputy Head of the Economic Development Committee, Podlas Rocksolan Andriyov, is invited to attend.
ParlaMint-UA_2019-10-29-m1.u99	Dear colleagues, good afternoon! It's going to be very short. You know, we've already voted in general on the concession bill 1046, and then Bill 0879, which was left to us as a legacy of the previous convocation, has lost its relevance. The Economic Development Committee therefore proposes that the draft Law 0879 be withdrawn. Thank you.
ParlaMint-UA_2019-10-29-m1.u100	Thank you. Dear colleagues, they are motivated. Let's do it with motive. Stéphane Ivanovich Kubyev, next – OIC. All of them? Three speeches per minute with a motive, and we move on to the vote. Stephen Ivanovich of Cuba.
ParlaMint-UA_2019-10-29-m1.u101	Dear Mr. Head, my fellow Members, I would like to say that this bill, which we have considered in our own time in the Supreme Council, has been discussed clearly at two committee meetings. He's out of date for today. We generally approved the bill under number 1046. Bill 1046 was also signed by the President of Ukraine. I want to say that this bill has a common form and has a common form, and it has successful work, generally approved at a committee meeting. We were aware of the decision that on our committee, along with the relevant ministries, a legislative act that is also public today, which is on a legislative basis supported by the President, was approved and approved by the country. And I would like to support the decision made by Mrs. Roxolan Podlas' deputy head. Thank you.
ParlaMint-UA_2019-10-29-m1.u102	Thank you. Coltunovich Alexander Sergiyovich.
ParlaMint-UA_2019-10-29-m1.u103	Honorable National MPs and chief, distinguished voters! I'm drawing your attention to the fact that this really draft law that was voted in the last Parliament, it really duplicates the draft law that we voted on, and it's already been signed. And most of all. I want to address you, dear voters, that the old faces, the representatives of the former team, are today's party, including the Servant of the People, who produce the same intellectual product. And that's why we don't have any change in economic policy or mechanisms for overcoming poverty. And that's why I'm warning the future that we don't have any more of these, and we were able to actually get that new intellectual product instead of getting old laws from the previous authorities. Thank you.
ParlaMint-UA_2019-10-29-m1.u104	Thank you, Alexander Sergiyovich. Shahov Sergei Volodymyrovich.
ParlaMint-UA_2019-10-29-m1.u105	Sergei Shahov, Luganshina. It is very good that the Lord has ruled so, that the bill is returned and there is no vote in this room for concessions. We fought exactly six years ago to get the Luganskvod concession back into the human realm at all. All state enterprises, monopolies should belong to people, to the Ukrainian people -- water, gas, oil, land, electricity. It is good that this bill is not being considered today. Thank you.
ParlaMint-UA_2019-10-29-m1.u106	Thank you. Dear colleagues, the committee's conclusion: withdraw. Take the bill off the table. So I ask you to prepare for the vote. Sergei Volodymyrovich, we've voted on the concession law before. Now it's really very important, yes. And it's very important to take it. I completely agree with you. Please prepare for the vote. I'm betting on a motion to withdraw the bill from consideration, the concession bill, the concessions bill, number 0879. Please support and vote. [[17:34:11]] For 290 Decision taken. Dear colleagues, the next question is very similar. This is a draft law amending the Ukrainian Law on State and Municipal Property Rental (registration No. 0876). The committee will also propose that it be removed from consideration. I give the floor to Roxolani Andriyevni. And the request just goes to the vote.
ParlaMint-UA_2019-10-29-m1.u107	I'll take this opportunity to stress that Bill 0876 is not the same as Bill 1055-1 that we voted with you, but it changes the old drafts of the bill. the law, so it's out of date. It is suggested that we withdraw.
ParlaMint-UA_2019-10-29-m1.u108	Stephen Ivanovich of Cuba insists on motive.
ParlaMint-UA_2019-10-29-m1.u109	Dear Mr. Golovo, Mrs. Roxolana, I would like to say that this bill regulates the area of rent relations with respect to state and municipal property. This is a very important bill on educational institutions. We've approved Bill 1055-1 as a whole, it's signed by the President, and it's very important today. What I'm saying is that the rent of government and utility property also solves problems that use the real-price area, the real deal, and the real-world perspective. Thank you.
ParlaMint-UA_2019-10-29-m1.u110	Dear colleagues, I propose we proceed to the vote. I'm betting on a motion to withdraw a bill amending the Ukrainian Law on State and Municipal Property Rent (registration No. 0876) from consideration. Ready to vote? Please support and vote. [[17:36:17]] For 295 Decision taken. Draft Law. You've been offered a bill on "Buy Ukrainians, Pay Ukrainians" (registration number 0878). He's reporting to Podlas Roxolan Andriyevn. The proposal will be the same: withdraw the bill from consideration.
ParlaMint-UA_2019-10-29-m1.u111	The Committee on Economic Development proposes that the draft Law on "Buy Ukrainians, Pay Ukrainians" be withdrawn as such, which became obsolete after the adoption of the new edition of the Public Procurement Act.
ParlaMint-UA_2019-10-29-m1.u112	Thank you. Jaroslav Ivanovich Železniak with a motive and we move on to. And Yvchenko after that.
ParlaMint-UA_2019-10-29-m1.u113	Dear colleagues, it would be right and fair if the authors called this law "buy in oligarchs," because it had nothing to do with "buy Ukrainian." Thank you to the committee for its position that it was rejected. Thank you very much for the large number of people who are now in this room who have not allowed the adoption of this bill to happen in the past. Thank you very much for your position at the time, Deputy Prime Minister Ivanni Klimpush-Cincadze, for the principle of the position that this bill was not adopted. And I very much hope that our calling will never make such mistakes or accept such a bill even in the first reading. Thank you.
ParlaMint-UA_2019-10-29-m1.u114	Thank you. Ivchenko Vadim Evgenovich.
ParlaMint-UA_2019-10-29-m1.u115	Vadim Yvchenko, "The Fatherland" faction. My colleagues, you know, here I hear my colleagues and I want to talk about how things are in other countries. For example, there is a policy of protectionism in Japan. In practice, government contracts are rarely made with foreign companies. Colleagues, there's a code of so-called Alba laws in Italy that represents the interests of national suppliers. Its positions are prohibited to hold certain types of products in companies that are not included in the register of such suppliers in that country. Colleagues, we have to respect the Ukrainian manufacturer, do the best we can to help them in purchasing and other financial and credit institutions, we mean that they worked with them to keep the added value in Ukraine. And now you're proposing to withdraw a bill that actually lays the foundation for small and medium-sized business development, and there's a real chance to launch a positive driver for economic growth. "Paternal" will hold, ah.
ParlaMint-UA_2019-10-29-m1.u116	Ten seconds.
ParlaMint-UA_2019-10-29-m1.u117	At the same time, we encourage our government to pay more attention to the Ukrainian producer so that VAT remains in Ukraine. Added value in Ukraine.
ParlaMint-UA_2019-10-29-m1.u118	Thank you. Klimpush-Cincadze.
ParlaMint-UA_2019-10-29-m1.u119	Dear Mr. Head, my fellow Members, I am very pleased to press the button myself to send this bill into existence and call upon all my colleagues to support such a decision by the committee because under a beautiful name it was not really about protecting the Ukrainian trader, but it was about a complete violation of both the Association Agreement and our obligations in the WTO system. And I'm very happy that finally those corrupt schemes that were put into this bill, along with its authors, will go into oblivion. Thank you.
ParlaMint-UA_2019-10-29-m1.u120	Coltunovich Alexander Sergiyovich. Turn it on from there.
ParlaMint-UA_2019-10-29-m1.u121	Please give me the word of Volosin.
ParlaMint-UA_2019-10-29-m1.u122	Volosin Oleg Anatolyevich.
ParlaMint-UA_2019-10-29-m1.u123	Dear colleagues, we could still hear the arguments if we saw an alternative similar bill for the consideration of the Supreme Council right now. But if this is really about what we're being asked not to follow the basic principle that Ukrainian taxpayers' money should, at any given opportunity, stay in Ukraine, I think it's just a crime to follow this rule. There is, of course, a product that is simply not physically produced in Ukraine or that is of insufficient quality. But at the same time, cancel it, as you know, with a list of enterprises that are not privatized. First we had to create a new list and then cancel the existing one. If we work for Western transnational corporations, I don't think this Parliament has the right to be called the Ukrainian Parliament. We have, first, if it's a bad law, a better law, a vote for it, and then we're going to take a look at this seemingly bad bill. Thank you.
ParlaMint-UA_2019-10-29-m1.u124	Thank you. You supported it, didn't you? I'm just seeing that it was Laity's bill. All right. I think there's an opportunity to make proposals. This will be a very good idea, and the hall will support it. In the meantime, I propose to put to the vote a motion to withdraw the draft bill "Buy Ukrainian, Pay Ukrainians" (0878) for consideration. Please prepare for the vote. And while colleagues are preparing, if I'm not mistaken, for a bill that will address these same issues, it is necessary that this bill, which colleagues say is lobbying, is not in the walls of the Supreme Council of Ukraine. So we have to take it off the table. Is everyone ready to vote? Please support and vote. [[17:42:20]] For 263 Decision taken. Thank you. Let's move on to the next question. This is a draft law amending some Ukrainian legislation on improving the protection of the rights to the design of semiconductors (0899). Reported to Podlas Rocksolan Andriyovn, deputy head of the Committee on Economic Development.
ParlaMint-UA_2019-10-29-m1.u125	Dear colleagues, since we have already supported the Law 1062 on Semiconductors, I propose that some other half-conductors be removed from consideration, because this will be too much for this Parliament. Thank you.
ParlaMint-UA_2019-10-29-m1.u126	Volosin Oleg Anatolyevich.
ParlaMint-UA_2019-10-29-m1.u127	Dear Mr. Speaker, I always appreciate your intelligence and wit, but it was learned in one institution. You know, if Mr. Lazko sometimes did more than just bad things, including offering a chemical castration of pedophiles, his very name shouldn't knock us down in that sense. And the same goes for the previous one. But with that in mind. If we're already here against some lobbyist bill, let's say that previously voted in term as an immediate bill on, the Law, more specifically, half-leaders, is usually lobbyist. And many of the deputies in your faction know very well, in the interests of which run representative of the government of Yanukovich this law was approved. So I'm just funny when this argument is used. Lobby always is and will be. If it's lobbyism in the interests of Ukrainian manufacturers, there's nothing wrong with that. Thank you.
ParlaMint-UA_2019-10-29-m1.u128	Thank you. The position of the committee and then I will give it to Stepan Ivanovich.
ParlaMint-UA_2019-10-29-m1.u129	Bill 1062 was totally non-discriminatory and did not create any special conditions for any oligarchs, and you know it. Thank you.
ParlaMint-UA_2019-10-29-m1.u130	Stephen Ivanovich of Cuba.
ParlaMint-UA_2019-10-29-m1.u131	Dear Mr. Head, my fellow Members, I would like to say that this bill, like the previous one, has been widely discussed on two readings at a committee meeting. The other one. What I'm saying is that this bill was essentially of a technical and up-to-date nature, which was extended. was introduced by the government in the past. And the third. I want to say that Bill 1062, which was approved in the first and second readings, is also signed by the President. The very fact that the bill is supported tells us that it is similar, but it is modern, and it is supported, signed by the President. Thank you.
ParlaMint-UA_2019-10-29-m1.u132	Thank you. Dear colleagues, let's go to the vote. I am voting on the proposal to withdraw the draft Act amending certain Ukrainian legislative acts to improve the protection of the rights to the design of semiconductor products (registration number 0899) from the review. Please prepare for the vote. Ready to vote? Please support and vote. [[17:45:43]] For 298 Decision taken. Let's go. Show the factions, please. "Serve of the People" – 215, "Responsible Platform for Life" – 12, "European Solidarity" – 17, "Fatherhood" – 13, "For the Future" – 11, "Voice" – 15, "non-factional" – 15. Let's move on to the next question, dear colleagues. You have been proposed to amend some of Ukraine’s legislative acts to improve the legal regulation of the guarantee (registration number 0937). Reported to the head of the Committee on Legal Policy’s subcommittee, Mr.
ParlaMint-UA_2019-10-29-m1.u133	Dear Head, dear colleagues! At its meeting, the Committee on Legal Policy considered a bill (registration number 0937) amending some of the Ukrainian legislative acts to improve the legal regulation of the guarantee, and considering that the bill nullifies the notion of guarantee as such, the Committee proposes to reject it. Thank you.
ParlaMint-UA_2019-10-29-m1.u134	Dear colleagues, there is a proposal to vote and reject. I am voting on the proposal to reject the draft Act amending certain Ukrainian legislative acts to improve the legal regulation of the guarantee (registration number 0937). Please prepare for the vote. Ready to vote? Please support and vote. [[17:47:33]] For 269 Decision taken. Let's move on to the next question. You have been given a draft Act amending the Civil Code of Ukraine (for the right to change according to your father) (registration number 0938). Reported to the head of the Committee on Legal Policy’s subcommittee, Mr.
ParlaMint-UA_2019-10-29-m1.u135	At the request of the Head of the Legal Policy Committee on 30 August 2019, at its meeting, the draft Law on Amendments to the Civil Code (as regards the rights to change in father) (registration number 0938) was considered and, having considered it, we recommend that the Supreme Council reject the bill.
ParlaMint-UA_2019-10-29-m1.u136	Dear colleagues, if this does not require discussion. Needs it? Prince Ruslan Petrovich, European Solidarity.
ParlaMint-UA_2019-10-29-m1.u137	Thank you, Mr. Head. Dear colleagues, the point is that this bill is quite unforgivable. This is a bill that, you know, no citizen in Ukraine now has any restrictions on changing their name or surname, but there are limits to their father's. This bill, in accordance with our international legal obligations, offers this opportunity for Ukrainian citizens. And just like that, we have to realize right now that it would be good if we made decisions right now, as in the previous ones, that we're going to somehow fill this legal gap with new legislation. As we have a large number, for example, of the Hungarian or Romanian population that wants to have a Ukrainian transliteration of their father, and in these countries, that is, in countries where they actually received their father, there is no father at all. And we have to decide what to do with these cases: whether to adapt this legislation to Ukrainian realities, or whether to allow them to simply reproduce this transliteration. This is a difficult task that the Supreme Council, for example, has not been able to solve in a number of calls. So I'd like to ask fairly reasonablely.
ParlaMint-UA_2019-10-29-m1.u138	Dear colleagues. Give me 10 seconds to finish. No, it's not. Thank you. Dear colleagues, let's go to the vote. I am voting against the proposal to reject the draft Act amending the Civil Code of Ukraine (for the right to change according to the father) (registration number 0938). Please support and vote. [[17:50:24]] For 284 Decision taken. Dear colleagues, you have been invited to consider a draft Act amending some of the Ukrainian legislative acts to increase the resistance to trafficking and protect the victims (registration number 0940). Reported to the head of the Committee on Legal Policy, Fries Igor Pavlovich.
ParlaMint-UA_2019-10-29-m1.u139	Good evening, dear fellows! The Committee of the Supreme Council of Ukraine on Legal Policy considered a bill amending some of Ukraine’s legislative acts to increase opposition to human trafficking and protect victims (register No. 0940). It came to us as an inheritance from the previous calling of the Supreme Council and the committee for second reading were prepared. a comparative table has been drawn up for a bill containing four amendments and proposals that propose rejecting the bill. Let me tell you very briefly why this happened. The bill proposes that the delegated powers of the executive bodies of rural, rural, city councils should be amended accordingly, and that they should be empowered to make payments of the disposable financial assistance. At the same time, in preparation for the consideration of this bill, the committee members were appointed, and we found this confirmation that during. On October 3, 2017, the Supreme Council of Ukraine adopted the Ukrainian Law on the Amendment of the various Codes of the Master Code of Ukraine, Civil Procedure, the Code of Administrative Justice and others, by introducing these relevant codes in a new edition. And this bill is trying to make changes to standards that haven't changed, so it's lost its relevance today. On the basis of this, members of the Legal Policy Committee have reached agreement and recommendations to the Supreme Council for a bill number 0940 to be rejected.
ParlaMint-UA_2019-10-29-m1.u140	Thank you. Dear colleagues, if you will. Yes. Of course. Ruslan Petrovich Knazevich.
