ParlaMint-UA_2020-11-05-m0.u1	Please approach the rostrum for a moment.
ParlaMint-UA_2020-11-05-m0.u51	Ladies and gentlemen, I would like to thank the honourable chairman for his initiative in drafting this bill. Ukraine has been a state for seven years that stands for its sovereignty and territorial integrity with weapons in hand, and so we lose and have sad statistics, we lose our people. At the same time, let us keep in mind that each lost life is primarily the result of family life and that children are the primary ones. Law 4130 is designed to support children whose parents died protecting our country. We need to establish this standard at the legislative level, even though we do have the Law on the Status of War Veterans, the Guarantees of Their Social Protection, but it is not anticipated that children whose parents have died (missing unconscious) died, protecting the sovereignty, independence and territorial integrity of the state, are provided with free food. In this way the decision to provide free nutrition for these children can only be made to the discretion of local self - government authorities regarding the educational institutions of municipal property. This leads to an inequality in the social protection of such children. Because in practice some local authorities make the right decision, others ignore the problem. The authors believe that the standard of this bill should be established at the legislative level. The Committee of the Supreme Council of Ukraine on Social Policy and Veterans' Rights discussed at its meeting on September 28, a bill to amend certain Ukrainian laws on the provision of free nutrition for children whose parents died (a loss of consciousness), died in the protection of Ukraine's independence and sovereignty (registration number 4130), submitted by the Ukrainian National Deputies, Arahamaia, Kornienkom and other Ukrainian National Deputies. According to the explanatory note to the bill, there is an additional need to provide 2,000 709 children. The number of children was calculated according to the Department of Veterans. I am grateful to the Ministry of Veterans for their statistics. According to this statistics, the amount of money we need to separate for such free nutrition is about 10 million 467 thousand 576 dollars. We ask that we include these numbers in the Cabinet of Ministers in the State Budget. The main scientific and expert administration of the Supreme Council of Ukraine does not object to the adoption of the bill and believes that the adoption of the project will create additional social guarantees for the identified category of children. The authorized Supreme Council of Ukraine for Human Rights supports this bill. The Department of Veterans supports the adoption of the bill. The Committee of the Supreme Council of Ukraine on Anticorruption Policy has failed to identify corrupting factors that can contribute to corruption. The Ministry of Finance determines that the implementation of the bill will have an impact on the expenditure, and the impact figure has already been given. Thus, the committee on the outcome of the review and discussion of the bill decided to recommend to the Supreme Council of Ukraine in its first reading to accept as a basis and as a whole draft Law 4130. Please support the committee's decision. Once again, I am grateful for the initiative of the honourable chairman of the Supreme Council. Thank you.
ParlaMint-UA_2020-11-05-m0.u52	Dear colleagues, do you need a discussion? Let's just have five minutes to 12, let's take one minute each faction, vote and move on to the next meeting. Yeah? We've got 5 minutes till 12. Are we going to call it a break? Then, dear fellows, please invite the national deputies to the hall so it won't be like last time. Honorary colleagues, the committee recommends a foundation as a whole. Is there no objection? No, I'm fine. The author, yes. Then we vote. Mikhail Mikhailovich, we have agreed that we are voting without discussion. I thank you for your support. Please invite the people's deputies into the hall, and then we'll move on to an extraordinary meeting. Ready to vote? I am voting on the proposal for adoption on the basis of the draft Law amending certain Ukrainian laws on the provision of free nutrition for children whose parents died (missing) while protecting Ukraine’s independence and sovereignty (registration number 4130). Ready? Please support and vote. [[11:56:04]] For 321 Decision taken. Mikola Mikolaiovich, that's not what you're saying. That's my bill. I am voting on the proposal for adoption in general with the necessary technical and legal regulations, the draft Law amending certain laws of Ukraine concerning the provision of free nutrition for children (registration No. 4130). Please support and vote. [[11:56:42]] For 324 Decision taken. Thank you again, dear fellows. Dear colleagues, let's move on to. We're on a break, but we don't want to break up.
ParlaMint-UA_2020-11-05-m0.u53	Dear colleagues, please invite the national deputies to the hall. Let's move on to the budget. Dear colleagues, let us go to the draft Ukrainian State Budget Act of 2021 (Registration No. 4000) in the first reading. In accordance with article 157 of the Supreme Council of Ukraine’s Rules, the matter is being discussed in full. In accordance with the Rules, the following procedure is proposed: a report by the deputy head of the Committee on Budget Affairs, Truhín Alexandr Mikolajovic, in up to 5 minutes; a reply by the committee's representative to a question of up to 3 minutes; a statement by the finance minister, Sergey Mihajlovich Marchenka, in 5 minutes; a reply by the minister, in 3 minutes; a statement by Valery Vasilovich Packana, Head of the Court of Auditors, in 5 minutes; statements by representatives of the deputy factions and groups, in 21 minutes; statements by the national deputies, before. [[B in m in s a l in]] Three minutes until 9:00. Seven factions, three minutes. All by standard procedure. After that, the national MPs spoke for up to 9 minutes, after that vote on the basis, and then immediately the vote in general. Is there no objection? Very good. The Deputy Head of the Committee on Budget Affairs, Truhin Alexander Mikolayovich, is invited to attend, in up to five minutes.
ParlaMint-UA_2020-11-05-m0.u54	Dear Dmitri Alexanderovich, distinguished national deputies and invited! The Budget Committee has been preparing the State Budget Bill for 2021. For consideration in the first reading, according to Rule 156 of the Rules, the Committee thoroughly drafted a bill taking into account the conclusions of the Court of Auditors and the General Scientific and Scientific Administration. The draft budget for 2021 has been developed taking into account government bills 4100 - on changes to the Budget Code and 4101 - on changes to the Tax Code. Thus, such bills should be considered and adopted in a mutually agreed manner. The Committee's list of issues and indicators of the bill, including comparisons with the current year and the assessment of compliance with the rules of the Budget Code and other legislation, is presented and presented in a general way. In preparing the bill for the first reading, the budget committee, with the participation of the Ministry of Finance and the Court of Auditors, dealt with the proposals of the national deputies and committees, which are listed in the general table and have the number of allowances of two thousand and 451. Some proposals do not meet the regulatory requirements for their balance. Individual national MPs have also submitted only formally balanced remedies and proposals. Because the proposed sources for additional expenditure are not well-accounted for and therefore cannot be considered realistic. Individual proposals contain amendments to other laws, although according to the Rules, the State Budget Bill cannot contain provisions that amend other bills. According to the previous estimate, it took about 1.5 trillion dollars in total to take into account the proposals. According to the committee’s work, a draft Supreme Council Regulation on Conclusions and Proposals for a Bill and a table of proposals for legislative initiatives were prepared. The committee is asked to take fully or partly one thousand 276 straights into account and to reject one thousand 175 rights. First of all, it is proposed to support proposals for the clarification or exclusion of specific provisions of the draft law to comply with the rules of the Budget Code, in particular the need to determine the limits of government guaranteed debt and State guarantees, the allocation of unallocated expenditure on public capital investments on the basis of a decision of the relevant interdepartmental commission, and the provision of parliamentary control over the allocation of funds under certain budgetary programmes. Some proposals have also been taken into account to increase the expenditure of the State budget on individual programmes and measures in the fields of medicine, education, science, social protection, culture and sport, the functioning of foreign diplomatic institutions, the provision of State support to farmers, the disposal of solid rocket fuels and the implementation of state investment projects and certain infrastructure projects. At the same time, the proposals of the National Deputies for the provision of individual subsidies to the local budgets are proposed to decide, within the framework of the envisaged subsidy, on the socio-economic development of individual territories, which will enable the National Deputies to participate in the determination of the relevant directions and the purpose of the use of the subsidy. The source of additional expenditure is the increase in individual incomes and the redistribution of expenditure by some programs. At the same time, it is suggested that the government should be entrusted with careful consideration before second reading of issues relating to: raising public social standards, primarily the minimum of living, arising from the financial capacity of the State; increasing revenues from the privatization of state property, with appropriate reductions in government borrowings and the marginal volume of government debt; increasing individual expenditure on the basis of the proposed proposals, drawing on the available financial resources of the budget and assessing the basis of additional budgetary requirements; providing adequate financial support for the remuneration of teaching staff; and paying off the debt generated in the wholesale electricity market; and settling the "green" energy bills. In addition, the draft decree entrusts the Government, when preparing the bill for second reading, to further develop the rejected proposals of the National Deputies and Committees of the Supreme Council in the relevant table of proposals. In view of the above, the Committee on Budgetary Questions recommends that the Supreme Council adopt a draft regulation 4,000-P on the conclusions and proposals to the bill as a whole. Please support the committee's decision. With the above-mentioned decree adopted, the State Budget Bill for 2021 will be considered to be adopted in the first reading. It should be stressed that the adoption of such a decision would essentially unlock the further development of the draft State budget and allow the government to prepare it for second reading, taking into account the budgetary conclusions of the Supreme Council. Thank you for your attention.
ParlaMint-UA_2020-11-05-m0.u55	Please sign up for a question to the reporter. One minute to question, two minutes to answer. Bobrovska Solomija Anatoliyevna
ParlaMint-UA_2020-11-05-m0.u56	Please pass on the word to Cabal Volodymyr.
ParlaMint-UA_2020-11-05-m0.u57	Good afternoon, dear colleagues. I have one particular question. We know that medicine, according to the Budget Code, has to be financed at 5 percent of GDP. Now there's actually been an increase in funding, but that's still 4.2 percent, we're not reaching 5 percent. In the revisions that were accepted and in those assignments, unfortunately, various colleagues from different factions were not accepted to increase their funding for medicine. But it is good that there is at least a government mandate on this issue. I have a question for you. What's your prognosis, do you see that the government can increase this funding anyway, is it more of a formality that we've given the government a mandate and the government really isn't ready to increase the cost of medicine? Thank you.
ParlaMint-UA_2020-11-05-m0.u58	Thank you, my dear colleague, for a very meaningful question. You know my personal position on the implementation of all the laws that we have adopted in the walls of the Supreme Council, and I support you that we should fund all the measures that are and not only in medicine, in full compliance with the laws that we have adopted. So we've given you a government commission together, and we'll hope that the Ministry of Finance will also be able to find additional funds to meet these standards. But what I want to point out is that the Minister of Finance has already found an opportunity to increase the budget, what you've pointed out, by more than 27 percent on the financing of medicine. Thank you.
ParlaMint-UA_2020-11-05-m0.u59	Zinkevich Jan Vadimovna.
ParlaMint-UA_2020-11-05-m0.u60	Please pass the word to Alexia Potter.
ParlaMint-UA_2020-11-05-m0.u61	Alexeiovich Honcharenko
ParlaMint-UA_2020-11-05-m0.u62	Alexei Hotcharenko, European Solidarity. I have a few more questions. First. On November 1, 2020, the State budget was not implemented by nearly 8 billion dollars, a share of income. The 2021 budget plans to increase by almost 100 billion. After further processing, another 20 billion came into existence. How solid do you think this is, and isn't this budget just a nice bubble that the state won't really be able to provide? That's question number one. Question number two. During the process, we see that there's no change in the numbers on the force, and they're showing a big increase again. At this point, the number of the Ministry of Defense remained the same as the Cabinet of Ministers had suggested, i.e. with a decrease. What do you think we should do as a parliament to remedy this situation? How do you see priorities in this regard? Thank you.
ParlaMint-UA_2020-11-05-m0.u63	Thank you for two meaningful questions. The first question and the very short answer. Yeah, I think it's realistic, I voted for it on the committee, and I'm gonna vote in the room. I believe that all those indicators that were provided by the Ministry of Finance and all the professional ministries that took part in the formation of this budget have been further developed within the committee and committee work along with you. So I think we're going to do this budget, or maybe even improve the indicators, because there are very good macroeconomic trends that can help our country to overcome even these indicators. In terms of wages, I want to point out that we don't only have the first question, colleagues, the medical standard. For example, we have separate positions in the power sector, such as the Public Prosecutor's Office. You know they don't get the standard on them and on their wages. So I think there's some categories where we need to work on this. Thank you.
ParlaMint-UA_2020-11-05-m0.u64	Thank you. Time's up. Thank you. Alexander Mikolaiovich, please sit down. Sergey Mihajlovich Marchenko, Minister of Finance of Ukraine, is invited to attend.
ParlaMint-UA_2020-11-05-m0.u65	Dear Dmitre Alexanderovich, distinguished national MPs, respected Ukrainians! On September 14, the government submitted to the Supreme Council of Ukraine a draft State budget for 2021, as defined by the Constitution and the Budget Code. The project is completely balanced and realistic. It's not just a financial asset. This is a tool for the development and growth of the country. The budget provides sufficient funding for all priority needs of the state. In addition to taxpayers, the cost of the result will be used effectively and will benefit people and the economy. We'll be able to deal with the coronary crisis, ensure financial stability, restore the economy and increase the welfare of citizens. This is a budget of opportunities for further development. It creates the basis for the necessary transformations that will make our country a successful country and the economy strong in the medium term. People's deputies, factions, groups and committees have made over 2,000 proposals to the 2021 State Budget project, which is essentially another budget. In close cooperation between the Ministry of Finance and the National Deputies and Parliamentary Committees, a working group of the Committee of Budgets worked out proposals that were reflected in the draft decree of the Supreme Council of Ukraine on conclusions and proposals for the draft Ukrainian State Budget Act of 2021. The draft regulation proposes to increase the expenditure of the general budget of the state budget by more than 20 billion dollars. First of all, there are additional funding for the development of areas – 4.3 billion dollars, infrastructure projects – 7.5 billion dollars, culture and sport – 3 billion dollars, health care – 2 billion dollars, support for agrarians – 500 million dollars, social protection – 200 million dollars, ecology – 90, education and science, support for the military. With a view to continuing the reform of the law enforcement agencies, we will be looking for ways to address the issue of the wages of prosecutors. And until the second reading stage, we will also look for opportunities for all other law enforcement agencies. Minfin will thoroughly process all the regulations and proposals of the people’s deputies and will try to take them into account, based on the priorities of the expenditure and the possibilities of the income part of the budget. Today's approval of the Supreme Council's draft Decision on Conclusions and Proposals for the Draft National Budget Act of Ukraine 21st will allow us to work qualitatively on these initiatives, prepare and submit to the Supreme Council a draft budget for second reading. I am grateful to the people's deputies of Ukraine for the constructive dialogue and understanding of the importance and balance of the budget. We're going to get out of our current capacities and economics, so we want all of our expenditures to be supported by real revenue. We have a common goal: to get to the financial document of the maximum quality. This is what people expect of us, waiting for our actions and decisions that will allow us to really feel and ensure the development of our country's economy, the rise in wages, the increase in well-being. Thank you for your attention. Please be supportive.
ParlaMint-UA_2020-11-05-m0.u66	Thank you, Sergey Mikhailovich. Please sign up for the interview. It'll take up to three minutes. Christmas, Valery Ivanovich.
ParlaMint-UA_2020-11-05-m0.u67	Please tell me, Minister, do you know the situation with regard to financing the needs of law enforcement agencies, such as the prosecutor's office, which has been associated with the determination of a living minimum of thousands of dollars? And in this regard, what steps are you going to take?
ParlaMint-UA_2020-11-05-m0.u68	Ladies and gentlemen, thank you for asking. Indeed, we have an objective opportunity to look for the possibilities of a balanced budget project, so we will take into account the need to reform law enforcement agencies, including prosecutors, before the second reading stages, as I mentioned in my report. I think we're going to be looking for more opportunities to meet these needs. Thank you.
ParlaMint-UA_2020-11-05-m0.u69	Thank you. Please, Bondar Mikhailo Leontijovich, faction of the political party "European Solidarity".
ParlaMint-UA_2020-11-05-m0.u70	Please tell Mashi Ionova.
ParlaMint-UA_2020-11-05-m0.u71	Maria Ionova, please.
ParlaMint-UA_2020-11-05-m0.u72	Thank you. I have two specific questions. First. Why is there still a lack of funding for the army, and instead of increasing funding for the President's Office, the DSS and the DBR? And the previous speaker said that they had to do the Law on Raising Pays for Prosecutors, according to the D.B.I., but somehow they forget about doctors, forget about education, and forget about scientists. So how much longer are you going to postpone implementation of the Order on Increase in Educational Wages No.822, which was approved by the previous authorities in 2019? I mean, when will the Education Act be implemented? Thank you.
ParlaMint-UA_2020-11-05-m0.u73	Thank you for asking. We will seek as much resources as possible to ensure that your actions are implemented and to look for opportunities, including in the areas of education, science, and the support and defence directions you have mentioned, will also find their support at the stage of the second reading.
ParlaMint-UA_2020-11-05-m0.u74	The word is given to the national deputy Vasilchenko Galina Ivanovna, the faction of the political party "The Voice".
ParlaMint-UA_2020-11-05-m0.u75	Please pass the word to Volodymyr Cabal.
ParlaMint-UA_2020-11-05-m0.u76	Vladimir Tsabal, please.
ParlaMint-UA_2020-11-05-m0.u77	Mr. Secretary of Finance, I have two questions for you. First question. Do you really believe that those domestic borrowings on the Ukrainian market that are planned to finance the government budget, its deficit, more specifically, are realistic? Do you really believe that Ukrainian citizens and Ukrainian businesses have enough money to lend to the state more than all those years ago, even in the 18th and 19th years? And the second question is this. I remember when you just submitted this draft budget, everyone wasn't very pleased that the President's Office was being funded by a third, and including the O.P. saying that they weren't aware, and this amount would be reduced? So there's no regulation to reduce the funding of the President's Office, there's only one-third increase. Thank you.
ParlaMint-UA_2020-11-05-m0.u78	As for the first question. We have the possibility, in accordance with the Budget Code, to replace domestic sources of borrowing with external and privatization. And your point is right, and I think at the refinement stage, we're going to increase the total borrowing by external sources of borrowing, and we're going to reduce it by internal sources of borrowing. On the issue of financing the President's Office. I think at the second reading stage we'll also find ways of optimizing expenditure.
ParlaMint-UA_2020-11-05-m0.u79	Thank you. Thank you, Sergey Mikhailovich, please sit down. The Head of the Court of Auditors Valerius Vasilovich Packan is invited to attend.
ParlaMint-UA_2020-11-05-m0.u80	Dear Dmitre Alexandrovich, distinguished national deputies, members of the government and invited! The Court of Auditors carried out an analysis of the state budget project for 2021 and approved the relevant conclusions and proposals made to the Supreme Council. I'll stop at some of them. First. The government is predicting a 4.6 percent growth in the economy. That's pretty optimistic. Taking into account the situation, there are risks that such growth will not be achieved. Quarantine restrictions will continue until the end of the year, the statistic shows an increase in the number of COVID-19 patients in both Ukraine and the world. There is a recession in industry and other fields. There has been a decline in the lending of the economy to foreign capital flows, a significant decline in capital investment, and this will lead to a lack of income in the budgeted amounts. The other one. The government's offering a six-month "freeze" minimum of $2,189. At the same time, its actual size is 3,763 bracelets. This is 1.6 times the government's size for December of this year. The Court of Auditors has repeatedly emphasized the change in approaches to the formation of a minimum of living. Third. Income is projected to rise by 9.4 percent. But in reality, we estimate a 2.2 percent reduction compared to the year's expectation. Four. The Court of Auditors found additional reserves for four sources of income totalling 20.6 billion dollars. I'm going to point out that three of the four proposals taken into account by the Committee on Budget Affairs are in your conclusions to the draft of this budget. Fifth. Unfortunately, there is a real reduction in spending on consumption and development. When working on a project, you need to pay attention to the formation of individual expenses. I'll stop at some of them. The topic of concern for Ukrainians is the fight against the epidemic. This includes 19.4 billion dollars, of which 2.6 billion dollars is for vaccination. We see the risks of buying at higher prices of medical goods and insufficiently researched vaccines. If quarantine continues, the cost of fighting the epidemic and its consequences may increase. It's about the social sphere. There are 561 million dollars less than in 2020 to pay for the benefits and housing subsidies. There has been a significant increase in gas prices since November of this year. This will result in an increase in housing services and an increase in the number of recipients of subsidies, and therefore in planned expenditures. One hundred and forty-seven billion dollars is planned to target roads. Development and maintenance of roads are usually provided by means of the funds involved by Ukraine under State guarantees. Six. 6 percent of GDP or 270 billion is a government deficit. This is twice the limit set in the Codex Budget. The deficit of the budget and the ratio of debt to GDP in Ukraine and to other countries can be compared, but the average cost and the term of borrowing should also be compared. Our borrowings are more expensive and shorter. Part of government borrowing is 39 percent of all government funding. Seven. Debt payments include a third of the government budget’s spending, nearly 620 billion dollars. Only one in seven bracelets will serve the government’s debt. The amount of government and government debt guaranteed will generally increase to 2.9 trillion dollars, nearly 65 percent of GDP exceeding the limit set in the Budget Code. Eight. The proportion of self - sufficient budgets will fall to 25 percent. So the result of the decentralization reform was, not a declaration of self-sufficient communities, but an artificial strengthening of the administrative and territorial units. Ladies and gentlemen, the Court of Auditors is ready to continue its cooperation with the preparation of a high-quality asset for 2021. Thank you for your attention.
ParlaMint-UA_2020-11-05-m0.u81	Thank you, Valery Vasilovich. There won't be a question for you. Please sign up from the MP factions and groups. Each faction and group will have up to three minutes to perform. Kisse Anton Ivanovich. Batenko Taras Ivanovich.
ParlaMint-UA_2020-11-05-m0.u82	Dear colleagues, the first thing we want to say is that we need to solve some of the problems that we today have at the compromise that we started yesterday during the vote, and we haven't solved it, it's a matter of the FOPs. I think that we should not delay this question, but rather find strength and courage to return to it as soon as possible, to this question. At the request of the FOPs, draft Law 3853-1 will begin to be considered. This petition was received by 25,000 citizens. And as the petition is to be considered in a 10-day term in the Supreme Council of Ukraine, and to start looking at this issue today or at the nearest plenary meeting. The other one. It's a question of Europlums. I think it's also a compromise issue. There are drafts that have been drafted: 3704. People expect us to make such an emergency decision. Friends, about the budget. What do we want? We want this budget to be primarily the budget of life, not death, and not the budget of survival. We want a clear commitment by the government to raise the minimum of living for all population groups to the level of the actual subsistence minimum that has been developed and calculated by the Ministry of Social Policy. Similarly, we want minimum pensions. We want the medical community to have a decent wage in pandemic conditions. We want mandatory state insurance in case of COVID disease for employees of state and municipal institutions, both in health - care facilities and in educational institutions. We want the government to stop further attacks on the financial resources of the local budgets. And here we have a question to the government, to the Ministry of Profiles and to the Prime Minister of Ukraine, to preserve the mechanism of accounting for excise duties, excise taxes on fuel imported into the customs territory of Ukraine, which has been a major resource in recent years to finance a number of social programs and to make the capital expenditures of local governments. That's 13.5 percent, the excise tax. As you recall, last year, when we fought this position and discussed with the government, the Parliament stood firm for this position and preserved it for local taxes. And this was actually one of the main bailouts for local budgets. We want to see in the budget the appropriate compensations for the loss of local budgets. We want local budgets not to deprive financial resources of payment for land that was to go to local budgets through Ukrzalznica. A small victory for the MP's corps is the decision of the profile committee to return to the social and economic development grant holder a total of 7 billion dollars. And we want the government to finally have the power, the ability and the mind to master the pandemic and the severe economic crisis, and to listen to the position of MPs so that this budget is a budget of hope for millions of our fellow citizens. In this situation, if the government listens to our positions, we are ready to support the budget in the first reading. Thank you.
ParlaMint-UA_2020-11-05-m0.u83	Vasilchenko Galina Ivanovna
ParlaMint-UA_2020-11-05-m0.u84	Please give the word of Volodymyr the Cabal.
ParlaMint-UA_2020-11-05-m0.u85	Cabal Volodymyr Volodymyrovich.
ParlaMint-UA_2020-11-05-m0.u86	Dear colleagues, today we've heard a lot of different things about both the positive things that are in this budget and not very positive things that are still hard to understand. But I don't really want to concentrate right now and tell you where and where the money wasn't added and where it was done well, where it was bad. We've been talking about this a lot since the government made the budget. And I want to take a more global perspective and think, are we, like Ukraine, the right government, moving in the long run from the perspective of fiscal policy? If we look at the deficit -- 270 billion -- that's a very large amount. We've managed to keep it at 2-3 percent before. So this year we increased it to 7.5. I was even 5 to 6 percent myself, but it was planned as a one-time action. Unfortunately, we see in this project that the government is planning a significant deficit of 6 percent for the next year, regardless of economic growth. That's 25 percent we're going to be spending more than we're making. Is that right? The government justifies this by claiming that all Western countries are doing so now, and the crisis is not over. And that's right. Indeed, all Western countries do, and the crisis is not over, and the state has to compensate for the collapse of the private sector at the expense of the state. But is this the right way for Ukraine? I think given our specifics, this path is not right for Ukraine. Why? And there are five reasons. First of all, the state is not using money as effectively in Ukraine as in the West, when the state is spending 100 dollars at the expense of, excuse me, taking away corruption risks. This money increases the economy less than it does in the West. Secondly, we still have a fresh memory of the uncontrolled growth of government spending that led to an increase in inflation. We need at least 10 years to live with inflation 3-5 percent so that we can have two years in a row or three years in a row with such a high deficit. Thirdly, we don't have a consistent tax and fiscal policy, because in the West, when government increases deficits, it thinks 5 years ahead. Because when even voters don't choose them, they mention it. And we don't have the government thinking about five years ahead, and they leave problems to the predecessors. And fourthly, we have more flexible conditions. Business is able to get the state out of the crisis by reducing taxes better and easier than an inefficient state can do. And the last. Our debt burden - 15 percent of us pay. Even in Italy, where the debt to GDP is 130 percent, they pay 9 percent of the income per cent. So we still have a pretty high level of debt. Therefore, the Voice faction cannot vote in favour of this draft Budget Act. Thank you for your attention.
ParlaMint-UA_2020-11-05-m0.u87	Thank you. Windstorm. Peter Alexiovich Poroshenko?
ParlaMint-UA_2020-11-05-m0.u88	Dear colleagues, dear Ukrainians! Mr. Prime Minister, I would ask that those national MPs who are trying to solve the often-difficult lobbying problems do not prevent me from addressing the Prime Minister. I would like to point out that according to the draft budget, he is Mr. Greensky's personal receipt in his own incompetence and diletation. I firmly believe that the Ukrainian word for "head to head" is now a vivid demonstration. According to the draft budget, Zelensky is not going to make pre-election commitments, and the following year he is already the equator of his presidential office. Greens and the government had 9 months and 66 billion crowns to prepare the country well for the challenges of the pandemic. Nothing is done with the word "at all." Neither HlV, nor oxygen, nor medicines, nor beds equipped with all the necessary equipment, have Ukraine's hospitals been left alone with these problems. I emphasize it's a crime, and the price of this crime goes up every day. Nearly 10,000 patients in one day, in 24 hours. In Kiev, thousands of people are sick. Nearly 200 dead. The dead are at home because there is no room in hospitals that are dead in hospitals, because there is no oxygen, they suffocated, they are sick because there is no protection. And in the budget, there's a program that requires free masks, free tests that can be done in an hour, free protective suits, free seats in hospitals with oxygen, free drugs -- all of this is for the Ukrainians, because the Crown Fund was spending money on a big program called "The Big Thieves," because that's where they're stealing. I am firmly convinced that in 72 hours, and this is my address to the Prime Minister, we must immediately open a well-known hospital, including Feofany, where Mr. Zelensky must decide. And put those who don't have enough room in hospitals. But I'm pretty sure, as we won the local elections, we're going to win the COVID. Ukrainians, everything will be fine. Thank you.
ParlaMint-UA_2020-11-05-m0.u89	Zarski Maksim Valentinovich.
ParlaMint-UA_2020-11-05-m0.u90	Please give it to Trukin.
ParlaMint-UA_2020-11-05-m0.u91	Trukin Alexander Mikolayovich.
ParlaMint-UA_2020-11-05-m0.u92	Dear colleagues, I think it's time to stop all politics, vote count and such local small wars that are taking place in our Ukraine. It's time to either work together, not just talk about what we want and can do. You've had your time, you've seen the results, you've given your assessment. So please either join in and let's have really fruitful results or hare say some incomprehensible things. I'll tell you a very simple word. The budget is set aside for decentralization and the fight against the coronavirus. We have, thank God, I'm telling you, very good results from the numbers of people who have experienced coronary disease. Please see what is happening in other parts of the world. The money, the infrastructure, the money, it's also put into medicine plus, it's put into the army. Money is provided for all subjects who have applied for their budget. So I think it is necessary to unite the efforts of Parliament, to show that there are really patriotic factions, to actually gather together, to hear each other, to work, to exchange experiences. And to the second reading, if there are really solid and meaningful suggestions and very reasonable thoughts of my colleagues, join. I believe that both the Prime Minister and the Minister of Finance are here with us, we can confirm this, we will go out together really on a patriotic and national budget. Thank you.
ParlaMint-UA_2020-11-05-m0.u93	The word is given to the national deputy Coltunovich Aleksandro Sergiyovich, faction of "The Opposition Platform for Life"
ParlaMint-UA_2020-11-05-m0.u94	Thank you, Your Honor, Ruslan Alexiovich. The previous speaker mentioned figures and successes. Let's talk about the numbers. Look, the budget, first of all, a lot of people were asking questions about his name -- total poverty, speculative capital, and actually no future. Now it's the numbers. 270 billion dollars is a budget deficit, it's just an unrealistic figure. And based on the fact that even today's budget is not being implemented. Then the second one, which I think is the killer's chest number: 702 billion dollars is an extra external and internal loan. Two thirds of the budget’s income, 66 percent of us lend to meet our expenses. And next year, how will we live? And in the 23rd, in the 25th, we're going to borrow 100 percent of the income part of the budget to do basic things at least on pensions. Next, you appealed to the fifth president. They had a subsidy of 71 billion dollars a year, and the price of gas was 8,550. You now have the price of 9200 gas, it has increased, and the subsidy has 36.6 billion dollars, two times less. So when you appeal to someone by number, you can at least study them. I'm not protecting anyone, but that's objectivity, and that's a fact: 9 million families have received subsidies, now less than 3. Let's move on. These are official numbers. Let's move on. Six thousand is the minimum. You can set any minimum wage you want until you raise the minimum wage, which is 2 thousand 255 dollars. Whatever you do, it's got to be. The first tariff charge is going to be 6,000 dollars. Then, after taxes and congregations, the person will receive 5,000 dollars, 5 with small coins. Retired. One thousand and seven hundred and sixty-seven dollars. Do you realize that this is just a tiny little number -- 1 thousand 769 dollars? We have, I specifically counted, out of 11.2 million pensioners, 63 percent of pensioners have pensions that are roughly equal to that figure. This is how our pensioners will live. Next. As far as budget policy is concerned. We are totally unacceptable to the priorities that exist today. When we have a downturn in engineering, in industrial production, we can't invest money on roads, because there's a low multiplier effect, low return. One job is not going to give jobs in adjacent 4-5 jobs. We're in favour of support and road construction. First, however, it is necessary to maintain the machinery. This should not be "The Opposition Platform for Life" but today's Cabinet of Ministers. And unfortunately, you're down 22 percent. Well, most importantly, local budgets. Many say for fiscal decentralization. So why did you take the land tax for the Cruise Station from the local budgets? Local budgets are declining. We're not going to vote for this kind of budget. Thank you.
ParlaMint-UA_2020-11-05-m0.u95	Please, National Deputy Bakunetz Pavel Andriyovich, Deputy Group "Trust".
ParlaMint-UA_2020-11-05-m0.u96	Dear Prime Minister, dear Ukrainian people, honourable fellow MPs! Paul Bakunets, Deputy Group "Trust", Lvivščina, Jovkovsky, Yavorovsk oblasts. First of all, I note that we are in the budgetary process with you, and we are looking at the core document almost in time for the next 2021. I'm going to say, this document is far from perfect, it's a budget for survival, not for the development of our country. It clearly lacks funds and costs to increase the standard of living of all the population in our country. And I also have a lot of questions and comments about this document from my colleagues in the Trust MP group. However, I emphasize that the Trust MP group has taken an active part in the work of the core budget document for the following year. We have introduced a series of rights to increase or restore expenditure on various sectors and to various construction projects in almost all areas of our country. Our group's proposals can be called trust budget, both in terms of direct and figurative meaning, because we were primarily social initiatives, and equally, I emphasize, the budgets of local self-government. The members of the Trust Group hope that the money from the excise goods, which is tobacco, alcohol and especially fuel, will remain in the local budgets for the next year, as well as in the local budgets, the cost of rent and land tax that you want to clean up so that the cruiser doesn't pay money. We hope that these funds will remain in local budgets, and they will also be able to build gardens, schools, roads, and other things. The decentralization process is also being completed, and it is vital that these newly created united territorial communities provide quality administrative services, so the CNAPs need to be built. And as we know, almost 500 new OTBs don't have DNA, which means we have to predict money on CNAP. We also need to provide funds to increase funding so that there is money in local budgets for personal protection for schools and for our doctors. So the "Trust" group in the first reading votes in favour of this document with the hope that the government will work on the second reading. Thank you.
ParlaMint-UA_2020-11-05-m0.u97	Thank you. Julia Volodymyrna Timoshenko. And then nine minutes later, they're going to be out of the country's national deputies.
