ParlaMint-UA_2020-02-20-m1.u1	Dear colleagues, please prepare for registration. Ruslan Alexiovich Stefanchuk
ParlaMint-UA_2020-02-20-m1.u105	The next amendment concerns part one of the 130th Earth Code, which we propose to complement with the following content: "Other persons acquire ownership of land solely as a discovery of an inheritance. In doing so, the obtained land must be alienated during the calendar year from the day following the adoption of the inheritance." Because this inheritance has to be guaranteed the possibility of changing ownership rights today, and everything else can be considered, and first and foremost the issue of buying and selling, only after the national referendum. What our political force insists on is "The Opposition Platform for Life."
ParlaMint-UA_2020-02-20-m1.u106	I'm betting on the vote on this amendment. Please identify and vote. [[17:14:10]] For-59 The decision is not taken. 1145.
ParlaMint-UA_2020-02-20-m1.u107	Thank you, Your Honor Chairman. The following amendments apply. the following four amendments. Dear Chairman! Dmitri Alexanderovich! Dmitri Alexanderovich! I'm sorry, the next four amendments (please add 30 seconds), the next four amendments, they respond, although they are different from each other. So Amendments 1145, 1146, 1147 and 1149, they settle individual questions about the possibility of changing property rights, but all of this can only happen after a national referendum is held, which is the main requirement of our political force "The Opposition Platform for Life", which is decisively opposed to the ability to sell.
ParlaMint-UA_2020-02-20-m1.u108	Add 30 seconds. Time's coming.
ParlaMint-UA_2020-02-20-m1.u109	The very possibility of selling Ukrainian land in conditions that are not perceived by two thirds of our citizens. I ask you to place each amendment of the marked ones separately for the vote. Thank you.
ParlaMint-UA_2020-02-20-m1.u110	I'll bet you 1145. Please identify and vote. [[17:16:01]] Z-62 The decision is not taken. 1146. Please identify and vote. [[17:16:19]] Z-62 Not accepted. 1147. Please identify and vote. [[17:16:36]] For-60 The decision is not taken. Cannot initialise Evolution's mail component. 1148. Please identify and vote. [[17:16:58]] For-58 The decision is not taken. 1149. Please identify and vote. [[17:17:14]] For-58 The decision is not taken. Cannot initialise Evolution's mail component. 1150.
ParlaMint-UA_2020-02-20-m1.u111	Thank you, Your Honor Chairman. Amendment 1150 also refers to the possibility of controlling the alienation of agricultural land from the Cabinet of Ministers of Ukraine and authorized authorities. Taking into account the requirement for the resignation of the current Cabinet of Ministers of Ukraine, we find it impossible to adopt this law when today's government is in operation, and therefore in the absence of a national referendum. I therefore insist on the vote on amendment 1150. Thank you for your attention.
ParlaMint-UA_2020-02-20-m1.u112	1150. Please identify and vote. [[17:18:35]] For-59 The decision is not taken. Cannot initialise Evolution's mail component. 1152.
ParlaMint-UA_2020-02-20-m1.u113	The presiding officer, the amendments 1152, 1153 and 1154 are three amendments, they are not the same, but they correspond. And they set out the principle, on the one hand, of controlling the Cabinet of Ministers of Ukraine on the circulation and change of land ownership of agriculture, on the other hand, we insist in these amendments on the necessity and ability to make any changes solely after a national referendum on which the people of Ukraine should determine the very possibility of settling the land market. And this is the main requirement, both for the Ukrainian people and for party number 2.
ParlaMint-UA_2020-02-20-m1.u114	I'll bet you a vote. Three, yeah? Everybody have to be set up, Nestor Ivanovich? Please add 10 seconds to the next line.
ParlaMint-UA_2020-02-20-m1.u115	This is a requirement of a party that, at the level of support today, takes second place, "The Opposition Platform for Life" stands on the basis of a referendum on the subject.
ParlaMint-UA_2020-02-20-m1.u116	I'll bet you 1152. Please identify and vote. [[17:20:32]] For-65 The decision is not taken. 1153. Please identify and vote. [[17:20:49]] For-58 The decision is not taken. 1154. Please identify and vote. [[17:21:07]] For-59 The decision is not taken. Cannot initialise Evolution's mail component. 1155.
ParlaMint-UA_2020-02-20-m1.u117	Information for our television viewers. When you see the opposition platform for life in the faction, you see the vote in red, which is against, it's our colleagues from other factions coming up and expressing their opinions. The position of our faction is clear. We support all the adjustments that apply to our main requirement. The consideration of any novelty of this law and, in principle, the sale of land procedure is only after a nationwide referendum, which is the main requirement and principle of our political power, "The Opposition Platform for Life", which corresponds to two thirds of our citizens. And I don't rule out that these are the two thirds that supported Zelensky during the second round. And that's 30 percent that's part of it now.
ParlaMint-UA_2020-02-20-m1.u118	I'll bet you 1155. Please identify and vote. [[17:22:39]] For-57 The decision is not taken. Cannot initialise Evolution's mail component. 1157. I'm sorry, I missed 1156.
ParlaMint-UA_2020-02-20-m1.u119	You know, I can now assume that in 30 percent that voted for Zelensky in the first round, maybe there were proponents for selling land. But you have to treat with respect two thirds of our citizens who are today shouting, "Stop! We Ukrainians are not ready to introduce such a market for land that will provoke our robbery, which will be approved by this law." So as opposition party number one and the U.S. party number two, we insist on securing the principle of the people's government and holding a national referendum on the very possibility of introducing the land market.
ParlaMint-UA_2020-02-20-m1.u120	What's important is that it's not the only party, it's all good. 1156, please identify and vote. [[17:24:07]] For-56 The decision is not taken. Cannot initialise Evolution's mail component. 1158.
ParlaMint-UA_2020-02-20-m1.u121	Thank you, Mr. Head. You know, I just went to a normal Soviet school and I can count as a minimum to a hundred. I mean, up to a hundred percent, I'm clearly oriented. So I can strongly insist that right now we are the opposition party number one, and in general, the support level, for which we are very grateful to our citizens, we are now party number two. And once this law is passed, I'm sure we're not just going to become opposition, but the whole party is going to be number one in this country, with the support of our citizens. And you know why? Because we're with the people and we're insisting on a national referendum. By the way, the requirement to hold a national referendum on these amendments regardless of the authorship of more than a thousand amendments to this law. So it's almost a quarter today.
ParlaMint-UA_2020-02-20-m1.u122	1158. Please identify and vote. Nestor Ivanovich, I just wanted to know if you could just after, just tell me how it's the first party and the opposition at the same time. How's that? [[17:25:36]] For-54 Thank you. The decision is not taken. 1159.
ParlaMint-UA_2020-02-20-m1.u123	Dmitri Alexanderovich, you have a tradition when you're done talking to the deputies, and I'll explain to you how that is.
ParlaMint-UA_2020-02-20-m1.u124	I think it's interesting for everyone.
ParlaMint-UA_2020-02-20-m1.u125	So what you are now at the level of support for the first party of Ukraine is a temporary phenomenon, believe my experience, I've seen a lot of things in this room. That's why we're in pain right now, so that, in order to execute an external order, because I can't imagine what it is that "ministers of the people" can insist on such an anti-national law. By expressing our will to the people of Ukraine and our own position, we insist on holding a national referendum. Thank you for your attention.
ParlaMint-UA_2020-02-20-m1.u126	That's exactly the proposal I'm putting to the vote. Please identify and vote. [[17:26:58]] For-59 The decision is not taken. Cannot initialise Evolution's mail component. 1162.
ParlaMint-UA_2020-02-20-m1.u127	Dear Chairman, Amendments 1162, 1163, 1164. They communicate with each other, they address the issue of the transfer of ownership rights, which can only be considered if we positively approve the possibility of running the land of agriculture after a national referendum is held, which is the main requirement of our political party. And today we do not deviate from this principle, we will insist on it, and we will be with the people of Ukraine, who are now afraid of the possibility of penetrating this law. Thank you for your attention.
ParlaMint-UA_2020-02-20-m1.u128	Thank you, Nestor Ivanovich. I'm betting on vote 1162. Please identify and vote. Nestor Ivanovich, while the vote is coming, I wanted to know, I just looked at 1165, very similar to the previous three. [[17:28:28]] For-58 1163. Please identify and vote. [[17:28:47]] For-58 The decision is not taken. 1164. Please identify and vote. [[17:29:04]] For-57 The decision is not taken. We can vote 1165, right? They are. No, he insists. It's a big deal.
ParlaMint-UA_2020-02-20-m1.u129	Dear Chairman, I have not accidentally stopped at Amendment 1165, because it deals with the issues of agreements that may be made during the ban on sale or in other ways of alienating the land of the land of the land of the land of the land of the land of the land of destination. So I'm drawing your attention to this very aspect and I'm asking you to vote on this amendment separately. And in expressing respect for the very procedure of considering this law, I insist once again that more than a thousand amendments that have been proposed and required the inclusion of a national referendum on the very issue of land sales, which is the main requirement of the Ukrainian people and our political power, "The Opposition Platform for Life," unfortunately, while they were not.
ParlaMint-UA_2020-02-20-m1.u130	Well, let's try again. 1165, please identify and vote. [[17:30:41]] For-57 The decision is not taken. Cannot initialise Evolution's mail component. 1167.
ParlaMint-UA_2020-02-20-m1.u131	And here's the next four papers, the honourable chairman, 1167, 11/11, 1167, 1168 and 1169, actually, corresponding with each other, they're different according to their wording, which was determined by a working group that worked on the basis of a memorandum, until this memorandum was defiantly corrected and cancelled, it's still to be considered in the Constitutional Court, by the way. But the principles on the possibility of transfer of property, as defined in these amendments, are only possible after a nationwide referendum, which is the main requirement of our political party, "The Opposition Platform for Life."
ParlaMint-UA_2020-02-20-m1.u132	And I'll bet. I'm going to put these different things in order, but they're the same as the text, the voting rights. 1166, please identify and vote. [[17:32:20]] For-61 The decision is not taken. Dear colleagues, dear colleagues, Oksana Alexandrovna, you will unfortunately miss important adjustments. I'm still a little quieter. Thank you. 1167, please identify and vote. [[17:32:49]] For-59 Again, no decision has been made. 59 for. 1168, please identify and vote. [[17:33:09]] For-57 Again, no decision has been made. 1169 votes in favour. Please identify and vote. [[17:33:28]] For-55 The decision is not taken. Amendment 1170.
ParlaMint-UA_2020-02-20-m1.u133	Mr. Chairman, I now ask you to be as careful as possible, because there will be a number of lines that I ask you to consider after each other. These questions relate to making changes to article 130 of the first Ukrainian Land Code in the settlement part of the question of the possibility of changing ownership only after a referendum that would give the right to carry out similar operations. In addition, this must be reconciled with the possibility of introducing all necessary changes to the State cadastre and other acts and authorities governing and fixing ownership of land. Thank you for your attention.
ParlaMint-UA_2020-02-20-m1.u134	Yes, indeed, 1170. Dear colleagues, I put her to the vote. Please identify and vote. [[17:34:56]] For-55 The decision is not taken. Nestor Ivanovich, what's your next correction?
ParlaMint-UA_2020-02-20-m1.u135	1171.
ParlaMint-UA_2020-02-20-m1.u136	Yeah, that's right.
ParlaMint-UA_2020-02-20-m1.u137	Thank you, Your Honor Chairman, for allowing me to announce my next amendment. It is a principle. I'll be honest with you, we could probably come to the conclusion of this law by now, if you said two lovely words, excuse me, three: back up and vote on the following amendment, 1171. Then we would see in this law that all the novices that regulate the future sale of the land of the land of the land of the land of the land of the land of the land of the land of the land of the land of the land of the land of the land of the land of the land of the land can only be implemented after a national referendum, as the law says.
ParlaMint-UA_2020-02-20-m1.u138	Yes, I'm putting her to a vote, 1171. Please identify and vote. [[17:36:28]] For-54 The decision is not taken. 1172.
ParlaMint-UA_2020-02-20-m1.u139	Thank you, Your Honor Chairman. We ask that article 130, paragraph 1 (b), of the Ukrainian Code of Land should be amended as follows: "Legal persons, residents of Ukraine – exclusively residents of Ukraine, I stress – payers of income tax in the general tax system and end-users who are exclusively citizens of Ukraine." Thus again, we point out to you that the landowners in Ukraine can be exclusively Ukrainian citizens, and this right is guaranteed by the Constitution today. And we insist on that.
ParlaMint-UA_2020-02-20-m1.u140	I'm betting this vote, 1172. Please identify and vote. [[17:38:06]] For-55 The decision is not taken. 1173.
ParlaMint-UA_2020-02-20-m1.u141	Thank you, Your Honor Chairman. This amendment also regulates various aspects of the possibility of changing ownership. So once again, we emphasize openness to discussion, we show mutual respect for our own. We show respect for our political opponents who are ready to discuss the substance of this law, but this is possible only in one case if the rule is voted out that this law enters into force after agreement has been reached on its implementation in an all-U.S. referendum that says "yes" to this process. And without the Ukrainian people, we believe that this law will stimulate.
ParlaMint-UA_2020-02-20-m1.u142	1173. Please identify and vote. [[17:39:35]] For-54 The decision is not taken. 1175.
ParlaMint-UA_2020-02-20-m1.u143	Amendment 1175, which proposes to supplement article 130 of the Ukrainian Land Code with the following provisions: "The conduct and establishment of results by a nationwide referendum on land circulation is a requirement for free circulation of land. Over the course of the year, an analysis of the efficiency of land use should be carried out and published from the acquisition of these provisions." So it's not a rush to meet someone's demands, and for the benefit of the agroholdings who are planning to take over Ukrainian land, we're proposing this amendment. Thank you.
ParlaMint-UA_2020-02-20-m1.u144	Dear colleagues, amendment 1175 of the Shufric People’s Deputies is put to the vote. The committee's proposing a rejection. Please identify and vote. [[17:41:09]] For-54 The decision is not taken. Next line is 1177. Please, Nestor Ivanovich.
ParlaMint-UA_2020-02-20-m1.u145	Dear colleagues from the "Serve of the People" faction, one of your main reasons why the market for the land needs to be introduced, is the position that Ukrainians today are not allowed to receive a single monetary reward due to their limited ability to sell land. Please tell me, is this the only way to get money? Maybe we should address the issue of mortgages in the current Earth Code, but only in state banks under 10, or maybe 12 and 15 years under a small percentage, which will allow our citizens to get some money once and for all, and preserve property rights. That would be stately. Now.
ParlaMint-UA_2020-02-20-m1.u146	Thank you. Amendment 1177 of People’s Deputies Shufrich is being voted on. Please identify and vote. [[17:42:39]] For-55 Unfortunately, no decision is made. 1180, Nestor Ivanovich, repair.
ParlaMint-UA_2020-02-20-m1.u147	I'm going to continue my position on how to obtain, on the need to be able to get a one-time reward without disposing of ownership when you get a mortgage at a state bank for 12-15 years. During this period, the landowner or his relatives, who may receive this land as an inheritance, may be able to determine whether they will leave the land to the state bank, which will buy it and increase the state land fund, perhaps resell it in another way, or they will keep the land further off by returning the loan. And we have to make this possible. Instead, we're the law. You, distinguished "ministers of the people," offer to sell.
ParlaMint-UA_2020-02-20-m1.u148	Dear colleagues, the 1180 edition of Nestor Ivanovich Šufrich is now under way. The committee turned her down. Please identify and vote. [[17:44:11]] For-52 Unfortunately, no decision is made. Next line 1181, Nestor Ivanovich.
ParlaMint-UA_2020-02-20-m1.u149	Excuse me, one?
ParlaMint-UA_2020-02-20-m1.u150	One, eight, one.
ParlaMint-UA_2020-02-20-m1.u151	I'm sorry, I have 1179.
ParlaMint-UA_2020-02-20-m1.u152	No, we've been through 1180 last time. 1181, please.
ParlaMint-UA_2020-02-20-m1.u153	Mr. Chairman, speaking of amendment 1181, which also regulates one of the possibilities for the transfer of ownership today, but only after the results of the national referendum, I would like to go back to the discussion on the possibility of receiving one-off cash in the course of the mortgage of land to the state bank, while preserving ownership. Then we can provide and, frankly, implement your vision of getting money.
ParlaMint-UA_2020-02-20-m1.u154	A vote is taken on amendment 1181 of the Sufrich People’s Deputy. The committee's proposing a rejection. Please identify and vote. [[17:45:42]] For-54 The decision is not taken. Next system update, 1182. Nestor Ivanovich, please.
ParlaMint-UA_2020-02-20-m1.u155	Thank you, Your Honor Chairman. This issue again addresses the issue of banning land rights (pai) to statutory capitals of farm societies to determine the very possibility of purchasing Ukrainian land before a national referendum is held. And once again, your main argument about the need to give our citizens the opportunity once again to get a certain amount of money can be solved through loans made by state banks for 12-15 years, under low interest rates, for example, 5 percent. Such an opportunity will address both the possibility of the coming of funds and the preservation of property rights in the long run.
ParlaMint-UA_2020-02-20-m1.u156	I'm willing to vote 1182. Please identify and vote. [[17:47:16]] For-54 The decision is not taken. 1183.
ParlaMint-UA_2020-02-20-m1.u157	Thank you, Your Honor Chairman. The article once again, taking into account certain aspects of the likely possibility of changing property rights, insists that any changes of a similar nature are possible only after the adoption of these rules during a national referendum, which is the main requirement of our political power, "The Opposition Platform for Life," and this is the requirement of two thirds of Ukrainian citizens. And the explanation of what needs to be done to enable our citizens to make one-off payments is that we can decide through fair lending through state banks, by preserving the principle.
ParlaMint-UA_2020-02-20-m1.u158	I'll bet you 1183. Please identify and vote. [[17:48:46]] For-55 The decision is not taken. 1186.
ParlaMint-UA_2020-02-20-m1.u159	I'm sorry, 1184. Dear Chairman! Sorry, that's what you said. Thank you. 1184. Dear Chairman, this amendment once again brings us back to the possibility of concentrating property rights on land rations of not more than 10 percent within one inhabited area. This question must certainly be settled. But this rule can only come into force after a national referendum on the possibility of establishing a land market, only after the will of our citizens. Not in any way.
ParlaMint-UA_2020-02-20-m1.u160	I'm betting on the 1184 vote. Please identify and vote. [[17:50:18]] For-54 The decision is not taken. 1185.
ParlaMint-UA_2020-02-20-m1.u161	The President-in-chief, Amendment 1185, has specified that the results of the all-U.S. referendum, the established purchase-sales of agricultural land, are prohibited from alienating the land of the land of the land of the land of the land of the land of the land of the land of the land of the land of the land of the land of the land of the land of the land of the land of the land of the land of the land of the land of the land of the land of the land of the land of the land of the land of the land of the land of the land of the land of the land of the land of the land of the land: (including the transfer, as a contribution to the statutory fund of the capital of the legal person, the delay in entering into agreements of the emphitevizsis, and so forth the transfer to the property of the State or organs of the local self-government of the land of the land of the land of the land of the land). And this is possible only after an all-U.S. referendum has been held to determine the right to sell and change the ownership of Ukrainian lands.
ParlaMint-UA_2020-02-20-m1.u162	I see. It's 1185, Shufric's national deputy for the vote. The committee's proposing a rejection. Please identify and vote. [[5:51:55]] For-51
ParlaMint-UA_2020-02-20-m1.u163	The decision is not taken. 1186.
ParlaMint-UA_2020-02-20-m1.u164	Dear Chairman, my amendment contains several parts, each of which has its own legal meaning, so in accordance with part six of article 45 of the Rules, I request that a procedural decision be taken on the examination and voting of each of its parts separately. And in considering Amendment 1186, I would like to point out once again that it relates to the question of the resolution of individual circumstances of the possibility of modifying property rights, but this is possible only after a national referendum is held, which is to grant the right or prohibit it until the Ukrainian people make a positive statement on this initiative, which today is urged by the "Serve of the People".
ParlaMint-UA_2020-02-20-m1.u165	I'm betting on the 1186 Schuffritch vote. Please identify and vote. [[17:53:27]] For-47 To - 1186. It's good to have a laugh among your colleagues. 1187.
ParlaMint-UA_2020-02-20-m1.u166	Dear Chairman! Now I'm asking for the following amendments: 1186,1187, 1188 and 1189 -- put to the vote one after the other, and give me an extra 30 to 40 seconds to express my position on those amendments -- they're different. I've just expressed to you our position on the possibility of even dealing with individual rights paragraphs, and these adjustments regulate the possibility of changing ownership rights. But this right, this possibility can only be provided after the positive approval of the national referendum. And only after a positive decision has been reached by the people of Ukraine in the national referendum will we be obliged to resolve all the issues that are now in this amendment. And now I ask you to put all four amendments to the vote.
ParlaMint-UA_2020-02-20-m1.u167	I'm betting on the 1187 vote. Please identify and vote. [[17:55:40]] For-50 The decision is not taken. 1188. [[17:55:57]] For-51 The decision is not taken. 1189. [[17:56:12]] For-51 1190. I bet on the vote, four changes said. Please identify and vote. [[17:56:31]] For-52 The decision is not taken. 1191.
ParlaMint-UA_2020-02-20-m1.u168	The Chairman-in-Office, the following regulation regulates the allocation of land in kind (in the area) to landowners of land rations, except for the removal of the ransom for social needs, which are regulated by another law. Item "b". The sale or other disposal of land is only possible after a national referendum is held to address these issues. Thank you for your attention and please vote.
ParlaMint-UA_2020-02-20-m1.u169	Thank you. I'm betting on a vote of 11,91 people's deputies, Shufric. Please identify and vote. [[17:57:46]] For-48
ParlaMint-UA_2020-02-20-m1.u170	No decision taken, no correction counted. Next issue is 1192 of the People's Deputies of Shufrich.
ParlaMint-UA_2020-02-20-m1.u171	Thank you, Your Honor Chairman. I would like to point out once again the amendments and additions to article 130 of the Ukrainian Code of Land: "The land area of agriculture that is not privately owned cannot be alienated without the establishment of the results of the U.S. referendum and the positive approval of the possibility of alienation itself." Thank you. Please put to the vote.
ParlaMint-UA_2020-02-20-m1.u172	I'm betting on a vote of 11,92 people's deputies, Shufric. The committee is not supported. Please identify and vote. [[17:58:55]] For-52 The decision is not taken. 1193.
ParlaMint-UA_2020-02-20-m1.u173	Thank you, Your Honor Chairman. A corresponding amendment is a principle that has been urged by various Ukrainian national deputies, namely, a Ukrainian citizen who receives an agricultural education speciality, can receive land within 100 hectares [100 ha]. And that's what we're doing today for those who go to work in the country to become landowners again. Please put an appropriate amendment to the vote and support it. Thank you.
ParlaMint-UA_2020-02-20-m1.u174	I'll bet you 1193. Please identify and vote. [[18:00:09]] For-54
ParlaMint-UA_2020-02-20-m1.u175	The decision is not taken. Cannot initialise Evolution's mail component. Nestor Ivanovich, I am sure that both I and my colleagues would continue to listen and listen to your corrections, but unfortunately for today the meeting is over. I declare the evening session of the Supreme Council of Ukraine closed.
