ParlaMint-UA_2020-03-03-m1.u1	Good evening, dear colleagues. Please prepare for registration.
ParlaMint-UA_2020-03-03-m1.u90	Taruta, the Fatherland faction. Dear colleagues, this right provides for the preservation of citizens who have been granted the right to eternally inherited possession and permanent use of land, such a right under conditions under which it was granted earlier. Further registration of such rights is also proposed in the State Register of Real Estate Rights. My right is to protect the common man and to protect his constitutional rights. And so I insist that Mr. Solski answer, not just stand there today and smile, but answer very important questions. Because the question of the earth is a sacral question. And unfortunately, what's happening now is this editorial that the committee is proposing today.
ParlaMint-UA_2020-03-03-m1.u91	I'll bet you a vote, one minute, 2215 Taruts. Please identify and vote. [[16:59:02]] For-78 The decision is not taken. 2216, Yvchenko.
ParlaMint-UA_2020-03-03-m1.u92	Vadim Yvchenko, "The Fatherland" faction. Mr. Chairman, the previous National MP has asked you to be able to comment to the committee's head on the proposals coming from the deputies. Please let the committee head answer, however, at the request of the National Deputies. The question is, and I agree with Sergey Vlasenk, once a land of constant use as such, they've been useful to farmers and they've been talking about ownership, and they've been processing these land all their lives, they realize that it's their property. Now they're being offered some of this property. Colleagues, that's not fair! It's just unfair to farmers. And now I understand why no one came to the 20th Jubilee gathering except for the "Fatherland" party, other opposition forces, no one came out of power, because you didn't tell them anything about the land of permanent use, including. So I'm asking you, colleagues, to support this amendment now.
ParlaMint-UA_2020-03-03-m1.u93	Vadim Evgenovich, since you have addressed me, I would like to remind you that: (a) the right of national deputies to speak is exactly what no one takes, as is in the head of the committee. At the same time, I would like to remind you that the Rules provide that you report on your claim. No, no, no. There are no monotonousities, minorities or other political forces, as are the other issues that you have mentioned in your statement. Thank you very much. Committee position.
ParlaMint-UA_2020-03-03-m1.u94	The revisions were considered in a similar way. The committee's position is to reject. I can tell you once again, Vadim Evgenovich, that when you talk about land of continuous use, if I'm not mistaken, it's about 300,000 hectares that have been given at the time, check how many of them, farm farms, have been reselled into "syrian" through the introduction into non-family members and then reorganization into T.O. Let's get the cheese out of the white. Thank you. Edit rejected.
ParlaMint-UA_2020-03-03-m1.u95	I'm betting on the vote of Ichchenka 2216. Please identify and vote. [[17:01:46]] For-79 Against 58, holding 201. Thank you. The decision is not taken. Papieuve, 2217
ParlaMint-UA_2020-03-03-m1.u96	Thank you. Dear Ukrainian National Deputies, dear colleagues, I am primarily addressing Ukrainian citizens who are watching the events in the plenary on television. You know, this little work of ours, it refers to the very important rights and freedoms of Ukrainian citizens. First of all, it's about our people who, after the adoption of this law, can be in a state of slaves and absolutely homeless, homeless, and all the other things that are going to be related. My amendment is very simple. In general, 6-1 in X, in End Positions, delete. But, Mr. Chairman, you know that the Supreme Council of Ukraine directs, directs and controls the activities of the Cabinet of Ministers of Ukraine. Tomorrow will be a very important plenary meeting. I would ask you a lot of questions about restoring the Ministry of Agrarian Politics with professional people dealing with these issues, and then we don't have to sell land. Thank you.
ParlaMint-UA_2020-03-03-m1.u97	Thank you. Can we get to the vote? Are you insisting? I'm betting on a vote of 2217 Papieva. Please identify and vote. I don't hear, with all due respect, we can't vote for the Ministry right now. [[17:03:24]] For-74. The decision is not taken. Cannot initialise Evolution's mail component. Chewchenko, 2218. Don't insist. Savichuk, 2219.
ParlaMint-UA_2020-03-03-m1.u98	Oksana Savchuk, The All-Ukrainian Freedom Union, the city of Ivano-Frankivsk. I'd like to say on the right hand side, it's about the fact that in Transitional Positions, we're focusing on the key: the land is not a subject of sale. Let us now remember the basic of our oath, where we swore to observe the Constitution of Ukraine, the laws of Ukraine, to carry out our duties in the interests of all fellow countrymen. And the Constitution of Ukraine clearly states articles 13 and 14 that the earth is the property of the Ukrainian people. So if you go back to the original source, first the Ukrainian people have to say their word, as they see, the development of the Ukrainian land. And after Parliament as its carrier has the right to make any decision. That's why this bill that we're looking at doesn't meet the rules of the Constitution. And that's the most important thing. And I'm asking you to understand this and all your colleagues to support this amendment.
ParlaMint-UA_2020-03-03-m1.u99	Thank you, Oksana Vasilovna. Shall we go to the vote? I'm betting on the vote of 2219 Saucuk. Please identify and vote. [[17:05:04]] Z-85 The decision is not taken. Duck, 2220. Don't insist. Kaltsov, 2221. No, no, respectable colleagues, 22, Caltz. Please turn on 2221.
ParlaMint-UA_2020-03-03-m1.u100	Dear colleagues! Thank you, Dmitri Alexanderovich, for your word. Vladimir Kaltsev, Zaporozhye. I've got five rights, two of them just as technical. But I'm going to read two because they're very important. But I wanted to say a few words about what we met last week, we had a few meetings with landowners and farmers or middle-sized farmers who work the land. I would like to convey to you their opinion that most of them are most concerned. First of all, they are not concerned about the arrival of a foreign company, perhaps. First of all, they are concerned that they do not have the opportunity to buy back the land they cultivate. And that's question number one. I'll keep going.
ParlaMint-UA_2020-03-03-m1.u101	Thank you. I'm betting on the vote of 2221 Caltzeva. Please identify and vote. [[17:06:51]] For-74. The decision is not taken. Cannot initialise Evolution's mail component. There's four papers, can we get together? Two minutes. 2222.
ParlaMint-UA_2020-03-03-m1.u102	Thank you. Zaporozhye, Vladimir Kaltsev. I'm going on. So the first question they are concerned about is the ransom of the earth. They estimate their capabilities to a maximum of 10-20 percent of the cost of land. It's the money they say they can raise to buy the land they're processing. Unfortunately, in this bill, which we don't support, and I'll remind you that "The Opposition Platform for Life" is definitely against the adoption of the Land Circumstances Act in this paper, the unresolved issue of people who process land, some 20, 15, 10 years, no less, being able to get a loan that will allow them to buy land and own the land they're processing.
ParlaMint-UA_2020-03-03-m1.u103	I'm betting on a vote of 2222. Please identify and vote. [[17:08:28]] For-74. The decision is not taken. 2223, Kaltsov.
ParlaMint-UA_2020-03-03-m1.u104	It's important, I'll read it. Paragraph 6-1 of section X of the Transitional Regulations of the Ukrainian Land Code in paragraph 1 of the First Amendment states: “The citizens of Ukraine, who are entitled to permanent use, the right to permanent ownership of land owned by, or are in the process of, the conduct of agricultural or agricultural property, as well as the tenants of land that have acquired land ownership through the transformation of the right to permanent use in respect of, or are in the process of, designated land conversion, shall be entitled to purchase such land with a payment schedule of up to 4 years at a price equivalent to the expert valuation of such land areas, without the execution of land trades”. This amendment to the development of what I've been talking about. Please put to the vote.
ParlaMint-UA_2020-03-03-m1.u105	I'm betting on a vote of 2223. Please identify and vote. [[17:09:59]] For-75 The decision is not taken. Cannot initialise Evolution's mail component. 2224.
ParlaMint-UA_2020-03-03-m1.u106	Thank you. This amendment is important from the point of view of the position that is reflected in our program, and we have repeatedly said that "The Opposition Platform - Life" does not support this bill and considers it necessary for such important things, such an important law that we are currently considering is needed only after a referendum, where all Ukrainian citizens have the right to express their views. So I propose in turn 2224 in section X, paragraph 6-1, of the Land Code of Ukraine to add the second paragraph of this paragraph: "The rule of this paragraph takes effect after the conduct and establishment of the results of the country-wide referendum on the acquisition of agricultural land." I am.
ParlaMint-UA_2020-03-03-m1.u107	I'm betting on a vote of 2224. Please identify and vote. [[17:11:29]] For-75 The decision is not taken. 2225, Caltz again.
ParlaMint-UA_2020-03-03-m1.u108	My last amendment is in this chapter. It is technical and is more relevant to the expert assessment of the earth. But I'm continuing and I think it's very important that we do have a tool that will help our Ukrainian nationals, first of all the producers of agriculture, get farmers to get a loan to buy out the land they're processing. This is primarily true of farmers who process up to 500 hectares, because they are the kind of class that will solve the issue for us and in food security, food security. And they will also make such a strong family class that they will inherit.
ParlaMint-UA_2020-03-03-m1.u109	Thank you. The vote is subject to the decree of the People’s Deputy. Please identify and vote. [[17:13:09]] For-73 The decision is not taken. Next line 2226, National Deputy Speedhod. It doesn't, does it? Thank you. Next issue is 2227, National Deputy Kaczyny.
ParlaMint-UA_2020-03-03-m1.u110	Good afternoon, dear colleagues. Alexander Kaczyny, "The Opposition Platform for Life." Corrections first and then questions. In section X, "Transitional positions" in paragraph 6.1 of the Ukraine Code of Land, the word and the figure "up to 5 years" should be replaced by the word and the figure "up to 6 years". Dear colleagues, and I have a question, Your Honor, Mikola Tarasovich, for you as a politician. Please tell me, do you know what's going on in the government right now? Tell me, please, what do you think if the head of the ministry of Milovanov is changed tomorrow, will the new leader call off this bill as a disgrace to the Ukrainian state?
ParlaMint-UA_2020-03-03-m1.u111	Thank you. There is a vote of 2,227 people's deputies of Kacny. The committee turned her down. Please identify and vote. [[17:14:38]] For-72
ParlaMint-UA_2020-03-03-m1.u112	The decision is not taken. Taruta, 2228.
ParlaMint-UA_2020-03-03-m1.u113	Dear colleagues, this right is proposed in section X of the Transitional Positions of the Ukrainian Code of Land to supplement the paragraph that stipulates that "citizens who have been granted the right of permanent inheritance and permanent use in accordance with the law are given the opportunity, without applying competitive procedures and land trade, to enter into a contract for the sale of such land at the market price or a contract for the lease of land at the price of the average size of the land lease of the municipal and state ownership of the area where such land is located." Legal property cannot be an object of trade as a minimum during a transitional period until a basic legal basis for the competitive market of land and instruments for the protection of the right to property and predominant rights is created.
ParlaMint-UA_2020-03-03-m1.u114	Thank you. 2228. Please identify and vote. [[17:16:11]] For-72 The decision is not taken. 2230, Pavlovsky. Don't insist. Labazuk. Don't insist. Vasilevska Smagluk. Don't insist. Double, 2236. Don't insist.
ParlaMint-UA_2020-03-03-m1.u115	He's insisting!
ParlaMint-UA_2020-03-03-m1.u116	He insists. I'm sorry.
ParlaMint-UA_2020-03-03-m1.u117	Honorable National Deputies, reverend Ukrainian people! Again and again, I repeat that the "Fatherland" faction, like 73 percent of the people of Ukraine, is clearly against this bill in terms of war, the sale of Ukrainian land. I recall that article 13 of the Constitution of Ukraine speaks of the land as an object of property rights of the Ukrainian people themselves. Article 14 says that the earth and its nadra are national wealth and are under special protection. Therefore, we can only do so after the referendum is held when our Ukrainian people agree. As far as the readjustment is concerned. If, for 5 years, a natural person or an enterprise has an effective farm on earth, pays taxes, is profitable, meets all the conditions of land use, the State Land Agency may decide to transfer it to a fixed-term buyout with a schedule of at least 10 years. Please put an order to the vote.
ParlaMint-UA_2020-03-03-m1.u118	I'm betting on a vote of 2236, please identify and vote. [[17:17:55]] Z-71 The decision is not taken. 2237, Dubyl.
ParlaMint-UA_2020-03-03-m1.u119	Dear colleagues, dear Ukrainian people! Once again, I repeat that 73 percent of the Ukrainian people are, in terms of war, strongly opposed to this bill to the sale of Ukrainian land. It is not a secret that most people make up for this decision. Many, many appeals came from district councils, communities, village councils to get this bill off the table. Do you not pay attention? I want to read the oath again and again for all the deputies who took it for the first time. "I swear allegiance to Ukraine. I commit myself to upholding Ukraine’s sovereignty and independence by all my actions, caring for the welfare and welfare of Ukraine’s people. I pledge to abide by the Constitution of Ukraine and the laws of Ukraine, to carry out my duties in the interests of all compatriots." For the benefit of all the countrymen, this bill will be removed from consideration. As far as the readjustment is concerned. Only after 5 years of effective management and only on the basis of its assessment by the State Land Agency of Ukraine.
ParlaMint-UA_2020-03-03-m1.u120	Thank you. I'm betting on a vote of 2237. Please identify and vote. [[17:19:25]] Z-77 The decision is not taken. Cannot initialise Evolution's mail component. Next issue is 2239, Kulinich. Don't insist. Krulko, 2240.
ParlaMint-UA_2020-03-03-m1.u121	Ivan Krulko, "The Fatherland" faction. Dear colleagues, I'd like to make an offer to the entire session room. Tomorrow, as we know, is scheduled for the next meeting of the Supreme Council, where, it seems, the Ministry of Agrarian Policy may be restored. Which was eliminated at first, and now they can reinstate its activities. In connection with this important decision for the whole country, let us film this bill, send it to the department of profile that may appear tomorrow. And have the Ministry of Profiles draft a bill that will bring Ukraine together to protect Ukrainian land, Ukrainian peasants, and farmers. And we're not going to break wood here. Let the new ministry, if it is created tomorrow, submit a bill that will work in the interests of the Ukrainian State, prevent foreigners from selling Ukrainian land, establish leases, protect state land and eventually show that the Ukrainian Parliament and Ukrainian authorities support Ukraine's national interests rather than sell them out. Thank you. And my bill, please support me.
ParlaMint-UA_2020-03-03-m1.u122	Thank you. There is a vote of 2,240 people's deputies Krulka. The committee's proposing a rejection. Please identify and vote. [[17:21:04]] For-79 The decision is not taken. Next line is 2242, national deputy Shkrum.
ParlaMint-UA_2020-03-03-m1.u123	Thank you. Alona's splinter, Fatherland faction. My colleagues, once again, we point out that we are basically talking about what economic policy is today, which is generally in the wrong direction. And it's not just the "Fatherland" faction talking about it, it's the socialization that we're relying on, as we understand it, and the President, and the majority, that's what a lot of local, district councils are talking about. For today, there is information that the Odessa District Council similarly addressed Mr. Zelensky and asked him to withdraw the bill. And my amendment is about the same land of constant use that we're talking about here, probably the last 50 licenses, and unfortunately we haven't received an answer as to what we're going to do with these lands over and over again. Mr. Solski is saying that it's as if let's say "sir" we're going to put it in white. That's wonderful and understandable, but how are you going to get them out if you're saying that long ago these lands were sold out by corporations that were abused? So maybe we should first consider this and then try to sell these lands, and who are you going to sell them to? That's my question for my amendment. Thank you.
ParlaMint-UA_2020-03-03-m1.u124	Thank you. The committee, will you answer? Mikola Tarasovich.
ParlaMint-UA_2020-03-03-m1.u125	Neither I, nor you, Alona, can sell these lands independently of my or your desire, if it is. It's up to the farmer. We're allowing the law committee to buy these lands if they want to turn into property with a seven-year schedule of regulations. Because there are many problems, especially if the land is formed, not on the SFT, but as a farmer, with inheritance and other things. It's just a request from farmers about what so often sounds like in this room. Thank you.
ParlaMint-UA_2020-03-03-m1.u126	Thank you. There is a vote of 2,242 national deputy Shkrum. The committee's proposing a rejection. Please identify and vote. [[17:23:27]] For-82 The decision is not taken. Next issue is 2243, Demchenko People's Demchenko. Don't insist. Next line 2245, National Deputy Pavlovenko. Please, National Deputy Pavlovenko.
ParlaMint-UA_2020-03-03-m1.u127	I think there's another 2,244 Germans.
ParlaMint-UA_2020-03-03-m1.u128	I'm sorry, I've got her here deleted as someone they've turned down. If that's the wrong mark, I'll give you 2244, National Deputy Germany. Please, Vasil Ivanovich.
ParlaMint-UA_2020-03-03-m1.u129	Dear colleagues, I would like to draw your attention once again to what is proposed in this bill, in fact, the idea of turning the land into a commodity is nothing more than to sell our sovereignty. I want to say again, read the declaration confirmed by the All-U.S. referendum on December 1st, 91st. These are our people, our nation said that the earth is the material foundation of sovereignty and the only natural source of existence. I'd like to say that if you change that, this position of the Constitution, let's sell along with the bathing suits and the cars, as our colleagues here think that what a car can be sold and the ground can't be sold. Please support your amendment.
ParlaMint-UA_2020-03-03-m1.u130	Thank you. There is a vote of 2244, national deputy of Germany. The committee's proposing a rejection. Please identify and vote. [[17:25:28]] For-73 Unfortunately, the decision is not taken, Vasil Ivanovich. The next 2245 law, the national deputy of Pavlovenko. Please.
ParlaMint-UA_2020-03-03-m1.u131	Yuri Pavlenko, "The Opposition Platform for Life." Dear Chairman, distinguished Ukrainian people! We are in a position to ensure that the bill is not approved and that the sale of land does not begin. And today this position of our opposition platform for life supports the vast majority of Ukrainian citizens. My amendment refers to the amendments to section X, section X, of the Code of Land Transitions and is intended to ensure that this law is not approved so that Ukrainian citizens do not deprive their land and that Ukrainian citizens continue to own their land. Please put to the vote.
ParlaMint-UA_2020-03-03-m1.u132	Thank you. There is a vote of 2245 of Pauline’s national deputy. The committee's proposing a rejection. Please identify and vote. [[17:26:49]] For-73 The decision is not taken. Next line 2246, National Deputy Pavlovenko.
ParlaMint-UA_2020-03-03-m1.u133	Dear colleagues, honourable Ukrainians, in today's conditions, when we are experiencing not only a socio-economic deep crisis, but also a political crisis, in my opinion, it would be advisable to refuse to consider this law, to resign the government tomorrow, to create a Ministry of Agriculture, to appoint a minister, for example, Mr. Solski, who would also be able to prove in this position that there can be order in land relations, to make an assessment, register, cadastra, delimitation and then to report to the Supreme Council that the state is ready to market the land. During this time, the honourable chairman, to approve your referendum law, to hold a referendum, to hear the opinion of the people, and only then, when the state is ready when people say their point of view, to go to the question of what kind of land policy should be in Ukraine, coming out of the will of the Ukrainian people. Actually, that's what my job is about. Thank you.
ParlaMint-UA_2020-03-03-m1.u134	Thank you. The number 2246 of the Pavlovka People’s Deputy is the right to vote. The committee's proposing a rejection. Please identify and vote. [[17:28:20]] For-68 Unfortunately, the decision is not taken. Next line is 2247, Mazurau. Don't insist. Next issue is 2248, Lubinets national deputy. Don't insist. Next line 2249, National Deputy Volodyna. Don't insist, yes. Next issue is 2250, Royal People's Deputy. Don't insist. Next line is 2251, National Deputy Fries. Please.
ParlaMint-UA_2020-03-03-m1.u135	Mikola Tarasovich, thank you for taking into account the many rights that I was applying. I mean, the two amendments that applied to the contract for the sale and sale of land in the agricultural field and the calculation had to be done in cash-free form, found their reflection in the committee's rights. That's one question. And the second question is that the price of selling land cannot be less than its expert value. This question, to be noted, would be equally subject to inclusion, because you left about the land area, which is the monetary valuation of the land. But the land is generally sold at expert cost, and it is much larger. Therefore, it may be necessary to make changes in the future and still resolve this issue, that it should be no less than an expert’s cost. Because all taxes and congregations are paid directly from the sale of land, and the cost of this land should be expert. Thank you. There's no need to vote.
ParlaMint-UA_2020-03-03-m1.u136	Thank you, Igor Pavlovich. Yes, the next issue is 2252, People's Deputy Puziychuk.
ParlaMint-UA_2020-03-03-m1.u137	Dear colleagues, my amendment is about giving priority to landowners, including farmers who rent land today. Mikola Tarasovich, please tell me, if you're constantly claiming that Ukrainian land is the same thing that our farmers will have a priority right, farmers who rent land purchases. Why are you rejecting my amendment? Why are you opposed to letting the renter have a priority right of redemption? Please place my amendment for confirmation. Thank you.
ParlaMint-UA_2020-03-03-m1.u138	Not for confirmation, but a vote of 2,252 people’s deputies, Puziyczuk. The committee's proposing a rejection. Please identify and vote. [[17:31:10]] For-73 The decision is not taken. Next issue is 2253, Puzijchuk People's Deputy.
ParlaMint-UA_2020-03-03-m1.u139	Ladies and gentlemen, have you repeatedly heard the MPs' appeal to the majority asking for an explanation, why 10,000 hectares? Why don't you take the best world experience -- 500 acres in one hand? Even if you look at your logic, a family of four may have 2,000 acres [2,000 ha]. It's a big farm. There are no such farms in Europe. That is, take better world practice. Mikola Tarasovich, going back to the previous amendments, is still protecting the interests of the President of the United States of America. Take a state position, hear the people, set a standard — 500 acres [500 ha] in hand. Get the support of the hall. Thank you.
ParlaMint-UA_2020-03-03-m1.u140	Thank you. There is a vote of 2,253 people's MP Puziyczuk. The committee's proposing a rejection. Please identify and vote. [[17:32:41.]] For-80 The decision is not taken. Next issue is 2254, national deputy Kostuk. Don't insist. Next line 2255, National Deputy Puziychuk, please.
ParlaMint-UA_2020-03-03-m1.u141	Dear citizens, I continue to draw your attention. Regrettably, the majority hears no deputy from any faction. Corrections rejected by the committee are suggested by the committee’s chairman to reject similar amendments. Why do you take your adjustments into account, not taking our adjustments into account? Mikola Tarasovich, explain to the community, to the citizens, why is no amendment of 2,000,255 amendments taken into account? Why don't you give us a chance to have a nationwide referendum, to hear people? To hear people, to hear common sense, and to create a real labor law on the earth’s market, not the market that you offer to embalm the earth. I insist on voting for my amendment. Thank you.
ParlaMint-UA_2020-03-03-m1.u142	Vote number 2255 of the Puzijczuk People's Deputy. The committee suggests rejecting Please identify and vote. [[17:34:18]] Z-71 The decision is not taken. Next issue is 2256, Zablotsky People's Deputy. Don't insist. Next line 2257, National Deputy of Germany. Please.
ParlaMint-UA_2020-03-03-m1.u143	Dear colleagues, you and I have been having a conversation for the second month about how to sell the land, and we have forgotten about the water that will be sold from the ground. What's in these bills that we're talking about in the second month about the water "Pleso." I want to tell you for information that in the last 15 years, as a result of submerged agricultural land, we have lost land in the Mikolai district, in the Herson region. Read the statistics. So I'd like you here, when we talk about selling everything, tell people, how are you going to sell rivers, how did you write down the standards, what is that? You know that the Law on Earth was passed three times in early 2000, three laws. Read it, reporter. And please.
ParlaMint-UA_2020-03-03-m1.u144	Thank you, Vasil Ivanovich. I just want to remind you, you have a very concise readjustment that sounds like it's been ruled out. There is a vote of 2257 German national MP. The committee invites her to reject Please identify and vote. [[17:36:05]] For-69 The decision is not taken. Next issue is 2258, Puzijchuk People's Deputy.
ParlaMint-UA_2020-03-03-m1.u145	Dear colleagues, you and I have heard on numerous occasions that in the author's writing, in the drafting of the party of power, this law is designed to protect the owner of the land. Including telling us that this law will provide a fair price. Listen carefully to my amendment that I propose: "The redemption by the State of land is done in an order established by law, on the basis of a contract and at a market price determined by taking into account the prices of agricultural land in the States of the European Union." Would you please say that in the European Union, the price is lower than the price for today in Ukraine? A constructive amendment to allow the country to buy land in Ukrainian peasants at prices similar to that of Europe. Why Are You Rejecting?
ParlaMint-UA_2020-03-03-m1.u146	Vote number 2258 of the Puzijczuk People's Deputy. The committee's proposing a rejection. Please identify and vote. [[17:37:41]] Z-71 The decision is not taken. Next issue is 2259, People's Deputy Puskarenko. Don't insist. Next issue is 2,260, Bakunec People's Deputy.
ParlaMint-UA_2020-03-03-m1.u147	Paul Bakunets, the "Trust" MP. With this right of hand, I offered to introduce the earth’s market in a step - by - step way. So first of all, to allow us to enter this market only for natural persons, and then when we realize that a small Ukrainian farmer has acquired enough land, that small Ukrainian farming, agrarian production is developing in rural areas, it's not until two years later that we allow legal persons to enter this market. That is, by January 1, 2022, legal persons were not allowed to acquire property rights. That's it. Please vote on my amendment.
ParlaMint-UA_2020-03-03-m1.u148	Edit 2260 Bakunka. Please identify and vote. [[17:39:08]] For-78 The decision is not taken. Cannot initialise Evolution's mail component. 2263, Gnutenko.
ParlaMint-UA_2020-03-03-m1.u149	Thank you, Your Honor Chairman. Regulation 2263. 49 constituency, Donetsk district, Gnatenko. Article 14 of our Constitution, as well as article 1 of the Code of Land, which is in force, is identical to that of Ukraine. And they emphasize the same thing about the earth as the basic national wealth under the personal protection of the State. Can anyone continue to guarantee these national values? And that's what my amendment is about. And I ask in section X of the Transitional Regulations, paragraph 14, to be supplemented by the following paragraph: "Agrochemical land passport is a mandatory document when the owner changes (except land ownership)." Please support and vote for this amendment. Thank you.
ParlaMint-UA_2020-03-03-m1.u150	Thank you. I'll put it to a vote of 2263. Please identify and vote. [[17:40:36]] For-69 The decision is not taken. Cannot initialise Evolution's mail component. Ice cream, 2266.
ParlaMint-UA_2020-03-03-m1.u151	Thank you, Your Honor Chairman. Moroz Volodymir, 59 constituency, Donetskina. At some point, I'm reminding you that "The Opposition Platform for Life" is against selling land. I'm talking about a referendum. And only after the referendum will we be able to talk to you about what we can do with our land, with our assets. Edit 2266, paragraph 14, of section X, "Transient positions" of the Ukrainian Code of Land to be deleted. Thank you. Please be supportive.
ParlaMint-UA_2020-03-03-m1.u152	Do you insist on voting? I'm betting on a vote of 2266. Please identify and vote. [[17:41:44]] For-66 The decision is not taken. 2267, Frost.
ParlaMint-UA_2020-03-03-m1.u153	Thank you, Your Honor Chairman. Moroz Volodymir, 59 constituency, Donetskina. Edit 2267: in section X "Transient positions", paragraph 14 reads as follows: "14. It is prohibited to introduce land rights or pies to statutory capitals of legal persons whose documents provide for agricultural production, to hold and establish the results of the all-U.S. referendum on free sale and purchase of agricultural land." Thank you. Please support my work.
ParlaMint-UA_2020-03-03-m1.u154	I'll bet you a vote of 2267. Please identify and vote. [[17:42:52]] For-69 The decision is not taken. Cannot initialise Evolution's mail component. Ponomariov, 2270. Don't you insist?
ParlaMint-UA_2020-03-03-m1.u155	I insist. Alexander Ponomaryov, 78 constituency, Zaporezka District. Dear colleagues, once again, I note that our faction opposes the opening of the land market without the holding of an all-Ukrainian referendum. But I ask you to consider my law, which strengthens the responsibility for the consequences of agreements that can be concluded if the code is voted on. I propose in section X, "Transitional positions", to add the following to paragraph 4 of paragraph 14 of the First paragraph of the Ukraine Earth Code: "3. The responsibility for the conformity and consequences of the said agreements shall be determined by the relevant rules of applicable legislation." Thank you. Please put to the vote.
ParlaMint-UA_2020-03-03-m1.u156	I'm betting on a vote of 2270, Ponomarov. Please identify and vote. [[17:44:13]] For-66 The decision is not taken. 2271, Ponomariov.
ParlaMint-UA_2020-03-03-m1.u157	Thank you. Thank you again. Dear colleagues, I am very confident that those 3-4 years for which the draft amendment of the Code limits foreign companies and people without Ukrainian citizenship in part of the right to rule over Ukrainian land, that is very, very little. During this time, it is unlikely that all citizens will be able to make use of their rights to obtain land. So I suggest in section X, "Transitional positions" in paragraph one part of paragraph 14 of the statement, the Earth Code, "and also land particles (pai) delete." Thank you.
ParlaMint-UA_2020-03-03-m1.u158	Thank you. I'm betting on a vote of 2271. Please identify and vote. [[17:45:26]] For-67 No decision taken, no correction counted. Ponomariov, 2272.
ParlaMint-UA_2020-03-03-m1.u159	Thanks again. This draft Law on the Earth’s Market is called the eating of the earth. He will not protect a peasant who wants to sell the land, for the law is aimed at speeding the sale of the land. The majority faction in the media has repeatedly claimed that the people are a direct democracy, and the referendum is one of the forms of government that allows the people of Ukraine to identify the most important issues in the country and in the local referendums. So putting a question about the possibility of buying Ukrainian land to foreigners and foreign companies in an all-U.S. referendum is what most factions do, and asking our citizens whether they even support the opening of the land market does not fit the concept of the people's government.
ParlaMint-UA_2020-03-03-m1.u160	I'm betting on a vote of 2272. Please identify and vote. [[17:47:00]] For-65 The decision is not taken. 2262, Schofrich.
ParlaMint-UA_2020-03-03-m1.u161	Thank you, Your Honor Chairman. I'm asking you to make an appropriate amendment. It deals with section X, paragraph 14, of the Transitional Regulations, and deals with the ownership of agricultural areas that are state-owned and can be alienated only after the results of the U.S. referendum. This is our principle position. Thank you and I'd like to make an amendment for confirmation.
ParlaMint-UA_2020-03-03-m1.u162	I'll bet 2262 Schuffritch. Please identify and vote. [[17:48:00]] For-67 The decision is not taken. Cannot initialise Evolution's mail component. 2273, Scorch. None. 2282, Royal. None. Gnutenko, 2283.
ParlaMint-UA_2020-03-03-m1.u163	Thank you, Your Honor Chairman. 49 constituency, Donetsk district, Gnatenko. I'm asking you to do the following. In the third paragraph of paragraph 14, section X of the “Transitional Regulations” of the Ukrainian Land Code, after the words “for farming” add the words “and farming”. Please consider and vote for this amendment. Thank you.
ParlaMint-UA_2020-03-03-m1.u164	Thank you. I'm betting on a vote of 2283. Please identify and vote. [[17:49:14]] Z-70. The decision is not taken. Cannot initialise Evolution's mail component. 2284, Gnutenko.
ParlaMint-UA_2020-03-03-m1.u165	Thank you, Your Honor Chairman. I would also like to include in paragraph 14 of section X, paragraph 2, of the Land Code, after the words "public and municipal property," the words "for agricultural production and agriculture." Please put to the vote and support.
ParlaMint-UA_2020-03-03-m1.u166	I'm betting on a vote of 2284. Please identify and vote. [[17:50:01]] For-67 The decision is not taken. 2285, Gnutenko.
ParlaMint-UA_2020-03-03-m1.u167	Thank you. In paragraph 14 of the first paragraph of section X of the “Transitional Regulations” of the Ukrainian Code of Land, it is prohibited to acquire foreign and stateless persons, foreign legal persons, without citizenship, until the entry into force of the law on the circulation of agricultural land, but no later than 1 January 2024. Please put this amendment and others to the vote. Thank you.
ParlaMint-UA_2020-03-03-m1.u168	Thank you. There is a vote of 2,285 national MP Gnatenka. The committee's proposing a rejection. Please identify and vote. [[17:50:57]] For-66 The decision is not taken. Next issue is 2286, National Deputy Gnatenko.
ParlaMint-UA_2020-03-03-m1.u169	Thank you, Your Honor Chairman. Please take this into account, too. And in paragraph 14 of the first paragraph of section X of the "Transitional Provisions" of the Ukraine Code, add the words "legal persons created under legislation other than Ukraine's legislation" to replace the words "foreign legal persons." I would like this amendment, and 87th, 88th, to be put to the vote as well.
ParlaMint-UA_2020-03-03-m1.u170	Thank you. It is the vote of the 2286 People's Deputy of Gnatenka. The committee's proposing a rejection. Please identify and vote. [[17:51:49]] For-65
ParlaMint-UA_2020-03-03-m1.u171	Thank you. I'll bet you a vote. 65, no decision taken, no action taken. 2287. Please identify and vote. [[17:52:10]] For-65 The decision is not taken. 2288. Please identify and vote. [[17:52:27]] For-63 The decision is not taken. Kabachenko, 2293. Please turn on the microphone.
ParlaMint-UA_2020-03-03-m1.u172	Dmitri Alexanderovich, I want to talk to you first, because I have ten rights to go one after the other. And in order to save time, I suggest you give me five minutes in exchange for these ten lines.
ParlaMint-UA_2020-03-03-m1.u173	Let's do 4 so we can still vote so we can get out. Okay? Thank you. Please turn the time on.
