ParlaMint-NO_2021-11-17.ana.ud541e28	The representative of Mr Wetrhus Thorsvik will put forward a proposal for a representative.
ParlaMint-NO_2021-11-17.ana.ud541e593	When the representative Astrup refers to 1.5 to 2 million tonnes, it is true if this was to be completed by 2030. We should not, of course, because climate policy must be tightened up to a strong year after year. So, as the Council of State knows very well, the Ministry of Finance calculates what would be the effect if this were repeated year after year. But we have no plans for that, because we are definitely going to tighten this up in a number of areas. So it's like we felt that it's important to bring people on climate policy. Such a huge jump in the fuel and diesel tax so quickly I think I would create quite a lot of resistance from many. That's why we've chosen some other grip, which compensates for this. The price of petrol and diesel is now rising relatively sharply, but less than it would have done with the arrangements of the Solberg Government. Then we move a lot of money to get out charging stations all over the country, because we think the most important thing we can do now is to make sure that people in both the city and the city can make the choice in their lives that is going over to, for example. zero-emission transport. Then we have a number of other steps to start processes that don't get climate impact in 2022, but in the long run, compared to what is now done with, for example. a more active green industrial policy, in which there is a good deal of money in the budget. So I mean we've set the direction for more. But what I want to say is our most important act is the action climate partnership with business. It has to be negotiated. It is a carbon budget, or climate change budget, for each sector, and it will have an impact in the years that come, and not in 2022, because it takes a little time before this comes into place. I would like to stress strongly that we have a very strong ambition to achieve the climate goals, and that we are going to do so in a way that is both effective and experienced as fair.
ParlaMint-NO_2021-11-17.ana.ud541e604	The Council of State said that the Council of State is well-known that it must be tightened year after year. I think he meant the ‘representative’, but I am glad that the Council of State also agrees. With regard to the importance of tightening up year by year, it is quite clear that this must be done, but at the same time, we know that cutting early is crucial to achieving the 2050 targets. The Web site of the Workers' Party states: ‘The budget for 2021’ – this is clearly written a while ago – ‘plays a crucial role for the 2050 target image. What we're about to do now will make it easier to achieve our goals in time» Then my question is: if the budget for 2021 played a crucial role in achieving the climate objectives in 2050, why does the budget not play an equally decisive role in 2022? In what way is it in line with Norway’s climate objectives to propose increased emissions compared to the Solberg Government’s proposals? Will it not only make it more difficult to achieve the climate goals in 2050 that the Council of State has chosen to go for higher emissions in 2022 than the Solberg government proposed?
ParlaMint-NO_2021-11-17.ana.ud541e618	I would like to remind you once again that we are going too lower emissions than the Solberg government provided in some budget for eight years, because the government that former government council Astrup was part of, actually fully compensated for the user charge, which we do not. So I have a relatively good conscience for it. The most important thing we do is to increase the CO 2 tax pretty strongly, 28 pst, and it has the effect in much larger parts of the economy than just petrol and diesel. I believe that is a very important signal, and by that it begins the escalation of a CO 2 tax of NOK 2000 to which the Stortinget joined when the climate plan was dealt with. So that's the most important signal about the future. This government believes that the polluter should pay, it must be more expensive to get out, but then we also believe that it must be easier not to do so. For the most part, for the most part, and for the most part for the most part, we have to think about how we do this so that people can make the choices that make you live climate-friendly, without having to interfere unnaturally with their everyday lives, beyond what is necessary.
ParlaMint-NO_2021-11-17.ana.ud541e633	President...
ParlaMint-NO_2021-11-17.ana.ud541e638	If the representative wishes to speak, he must ask for it.
ParlaMint-NO_2021-11-17.ana.ud541e643	Yes, I ask for the floor.
ParlaMint-NO_2021-11-17.ana.ud541e648	Nicolai Astrup – for follow-up questions. Here you go.
ParlaMint-NO_2021-11-17.ana.ud541e653	Thank you. I'm a little rusty about asking questions to state councils, but I'm going to improve in the future. Governments have mentioned several measures that the government wants to implement, and Prime Minister Gahr Støre was also high and dark before the additional proposition was presented and promised an additional green billion for climate and environmental action. What he didn't say was that the green billion is funded by cuts in other climate and environmental measures. And not just that: if we add it up, you go negative net. If you keep climate aid inside, but also if you keep climate aid out, it actually goes significantly in minus – by cutting 400 million. SEK in Nysnø, 30 million. SEK in Green Platform, 70 million. NOK 120 million in Innovation Norway's Eco-Technology Scheme. kr to voluntary forest protection, to mention something. Does the Council of State think that this is in line with the Labour Party's policy, that what we are about to do quickly makes it easier to achieve goals?
ParlaMint-NO_2021-11-17.ana.ud541e661	I would like to refer to the wise words that Minister of Health Kjerkol said earlier today about what a supplementary number is. So it's an adjustment to an already submitted budget that came a few weeks after we took over. What Norway needs is a structured review of all sectors of society in order to achieve a very serious climate, and we have very ambitious plans for that. That is why we will produce an up-to-date climate plan, and we will come up with concrete measures in each and every sector. One of our most important steps will be to sit down with all relevant sectors of society and think about how we – business and the state – can work together on significantly faster cuts. I am asking for this to be understood that we had not started after two weeks in government, but it is very high at the level of both the Minister of Industry, the Minister of Oil and Energy, the Minister of Transport, the Minister of Fisheries and the Minister of Agriculture, the Minister of Agriculture and all other relevant Councils of State. So we're definitely going to do that. And then we can discuss how these operations are done, but that we're going to do more, at least there's no doubt about it.
ParlaMint-NO_2021-11-17.ana.ud541e666	Nikolai Astrup – for follow-up questions.
ParlaMint-NO_2021-11-17.ana.ud541e671	The Council of State agrees that there is misleading marketing when the Prime Minister goes out before the additional proposition is made, saying that there is a fresh billion coming to new climate measures, and that, when you see the additional proposition as a whole, it turns out to be a cut – and a little depending on how you calculate – of perhaps up to 750 million. kr in domestic climate action? Does the Council of State believe that it is proper marketing to say that this was an increase in domestic climate action? And that's the exact opposite of it. This is a clear weakening. Not only with regard to the excise duty on fuel, but in a number of other areas important measures are being cut. Does the Council of State think that Prime Minister Gahr Støre's words that it was a freshly green billion stand in the light of the future?
ParlaMint-NO_2021-11-17.ana.ud541e676	I believe that the measures that the Prime Minister presented that day are real measures that actually exist. So there's a lot of ways to figure this out -- what you take in as climate action, and what the effects you calculate of it -- that I think it would be wise to come back to in a slightly more organized context. What is important for the climate is first what actual cuts can be achieved by 2030, and the second is what we do to bring forward the industries and solutions that will help us into a renewable, circular and sustainable future. It's so complex and complex that I think it requires a little bit more basic review. But I believe that the measures presented by the Prime Minister are, of course, real measures in the budget.
ParlaMint-NO_2021-11-17.ana.ud541e681	Nikolai Astrup – for follow-up questions.
ParlaMint-NO_2021-11-17.ana.ud541e686	It is quite right that there are real measures in the budget, but the cuts you make are also real cut, as shown by the same additional proposition. The question is whether the Council of State recognizes that climate action – and other good environmental measures, in and on its own – is more important than what you put on, i.e. that you net down. There is a clear deterioration in the climate and environmental performance of 2022 that the government has chosen to promote through the additional proposition. Then the question is, is this in line with all the other beautiful words that the Council of State here makes about the efforts to be made, both in 2022 and later?
ParlaMint-NO_2021-11-17.ana.ud541e691	I will then repeat that the most important climate change grip after all is the increase of the CO 2 tax by 28 pst. So you have to do a calculation: what is the climate effect of that grip? It's the beginning of an increase over many years, and it's the previous government's own statement that this was the most important step. For example: pilot projects and efforts to develop new green industries cannot count the krona. It needs to be seen how effective that action is in relation to the kind of climate ahead. I think it's going to be a little bit too simple. But we'll see the whole of this when we get the opportunity to present a comprehensive climate plan and show how these climate budgets, or carbon budgets, are starting to work. And so we have a main act, which is increasing CO 2 tax, and we want to add a number of concrete measures to change, for example. the efforts of different sectors. [[President clubs]] [[The President Clubs Again]]
ParlaMint-NO_2021-11-17.ana.ud541e704	One may try to stay within time, and I would like to remind the Council of State to speak through the President. Nikolai Astrup – for follow-up questions.
ParlaMint-NO_2021-11-17.ana.ud541e711	It is clearly well within the Council of States to recognise that there is a net cut in climate action in Norway in 2022, as a result of the additional proposition made by the Council of State. So I'm going to make it a little bit easier for the council and change the theme a little bit. We know we have to cut in all sectors. It also applies to shipping, not least internationally, which is responsible for significant emissions. Both the Norwegian Shipowners’ Association and the International Shipowners’ Associations believe that a global CO 2 tax adopted through the IMO would be the most effective measure to contribute to this. My question is therefore: will the Norwegian authorities support this proposal when the climate policy framework is to be discussed in the IMO next week?
ParlaMint-NO_2021-11-17.ana.ud541e721	In the context of the climate summit, we had a number of meetings. I had a number of meetings with both Norwegian and international shipping and with people from the IMO, and this is an extremely important issue to be resolved in the near future. I don't have a complete answer to that particular question, because there has been a slightly different view of what was the right way to approach it, but at least I can promise the representative that this is very central. We have to get in the direction of what the Norwegian shipping industry itself says: to have a zero-emission sector from 2050, you have to stop contracting ships with emissions from 2030. I personally believe that it would be a good idea to have a CO 2 tax that contributes to it.
ParlaMint-NO_2021-11-17.ana.ud541e729	Let's move on to the next main question.
ParlaMint-NO_2021-11-17.ana.ud541e735	My question goes to the Minister of Health. For the Advancement Party, it is important that we give older people priority by providing them with safe, dignified, good and warm care for the elderly. In too many municipalities, municipal politicians lower the priority of care for the elderly. The party clearly rejects the lotto states in the care of the elderly and was therefore very pleased that we were able to carry out the pilot project with state-funded care for the elderly. In the municipalities of Arendal, Askøy, Björnafjorden, Enebakk, Fromand, Innere Østfold, Lillesand, Lvgal, Lødingen, Selbu and Stjørdal, the offer to the elderly in the municipality has been strongly strengthened, as well as to others in need of care. The last thing Solberg government did was put forward a government budget where they removed the trial scheme. This means that several municipalities, such as is directed by the Labour Party and the Centre Party, losing revenues of several tens of millions of dollars. The rapporteurs have called an alarm and have asked the government to keep the system. This has obviously not been listened to by the Minister of Health, because there is still no money to continue this good project. This means that these municipalities need to reduce the provision they provide in the care of their inhabitants. Is it not embarrassing for the Council of State that the Labour Party should ensure that the State becomes a non-profit-making partner, and what is the reason why the government will not listen to its own rapporteurs?
ParlaMint-NO_2021-11-17.ana.ud541e746	It is not this government that has signed an agreement with the municipalities. The parties that make up the government have had a different profile on the care of the elderly and our priorities all the way. This is the Performance Project of the Advance Party, and I really believe that the Progress Party has done a little too bad work against the government they've been part of for seven years, and supported for eight years, to secure this baby. The fact that the municipalities are in a difficult situation, I understand, but this government has provided an additional letter, an adjustment to the Solberg government's budget. If we had found the money that the Solberg government had removed when they broke the agreement with these municipalities, it wouldn't be in line with our priorities. We've chosen to strengthen all the municipalities, by 2.5 billion. kr in the additional letter. It is for all municipalities to be able to provide sound and good care for the elderly, a warm and individually adapted care for the elderly, as the representative says in his post, and which I fully agree with. We want there to be no big difference for the elderly in the offer that meets them locally, but we believe that the municipalities are the best ones to just make an offer locally. For there are differences in investing in extensive day activities, for example: There are differences in whether you have a large number of institutional places, compared to having more organized housing and a stronger home service. These assessments are made locally, according to the population of each municipality. What we in the government are going to do to help the municipalities is to ensure that they have enough skills in the care of the elderly, to ensure that full-time becomes a standard, so that you get the same faces to deal with when you need help, and that it is also possible to invest and expand the day care and care in the years to come.
ParlaMint-NO_2021-11-17.ana.ud541e755	I guess I feel a little bit that we've got a disclaimer minister, because this is the second time today that the Council of State refers to someone else, to the previous government. It's now this government that is presenting the supplementary proposition. So all the sun brands show that the system of state-funded care for the elderly is working very well in the municipalities that have it, and when the rapporteurs from the State Council's own party are in favour of maintaining the system, it does indeed speak quite well for themselves. However, when the Council of State does not take into account the concerns of the rapporteurs, it shows that either there is a lack of willingness to give priority to the elderly, or the government is in favour of taking off the ideological skyscrapers they have in front of their eyes. Does the Council believe that rapporteurs who believe it is dramatic to remove the system of state-funded care for the elderly are wrong?
ParlaMint-NO_2021-11-17.ana.ud541e764	The representative Hoksrud is trying to give me responsibility for a policy that is not the policy of this government. The two batches that make up the Big Government have never entered into this experiment. This is the agreement of the Progress Party with the municipalities. It is the Progress Party that has shot it badly. Here the Progress Party has been both part of the right-wing government for seven years and supported it for eight years. It was as surprising to me as it was probably both for the rapporteur in the municipality in which I live, who is a SIO municipality – SIO is the abbreviation for this project – and for the representative Hoksrud, that the Solberg government here broke a signed agreement. My predecessor, Health Minister Bent Höie, was as late as in the election campaign on a visit to Stjørdal, my municipality of residence, and guaranteed this project. The priority we have done in the supplemental letter is to strengthen the ability of all municipalities to provide adequate care for the elderly, through an increase of 2.5 billion. kr in free income.
ParlaMint-NO_2021-11-17.ana.ud541e771	Let's go to the next main question.
ParlaMint-NO_2021-11-17.ana.ud541e776	My question goes to Minister for Climate and Environment Espen Barth Eide. Methane is a 28 times stronger greenhouse gas than CO 2 and cutting methane emissions will be able to slow down climate change quite quickly in the short term. It is therefore gratifying that the government committed Norway in Glasgow to a global initiative with 90 other countries to reduce methane emissions by 30 pst. by 2030. Norway has already reduced our methane emissions by 25 pst. from 1990 to 2019, in particular by cutting waste and oil and gas sectors. That's good, but this new initiative is about 30 pst. cut from 2020 level. It is clear that several interventions need to be taken, including in Norway. Today, agriculture is the largest source of methane emissions in Norway. Agriculture has very high ambitions on behalf of, for example: the development of breeding and feed, which is important for the reduction of methane emissions. At the same time, we know that in the climate agreement with agriculture there is no concrete question of cutting methane emissions. Since 1990, agriculture has cut 7 pst. Compared to 25 pst. otherwise. Since the government has committed Norway to this initiative, I believe that it is more than a PR stunt and that concrete action should be followed up. My question is whether the Minister for Climate and Environment can tell us what concrete new measures and initiatives, perhaps especially in the agricultural sector, that the government intends to take in the next few years so that we can take our share of it.
ParlaMint-NO_2021-11-17.ana.ud541e790	I thank the representative Tybring-Gjedde for her commitment to methaneputt. It is, as was said, very important that we see that there are different types of greenhouse gases, so methane is a much more dangerous greenhouse gas, but in return for card life. It has the good news that if you cut the emissions, you will notice the effect in the much shorter term and in our own lifetime. In fact, implementing what was now adopted from a large number of countries in Glasgow can lead to 0.2–0.3 degrees less heating. I'm very proud that we were in on it. And yes, we will definitely look at our own methane emissions. We have clear formulations on more sustainable feed in the Hurdal platform. There is also a lot of exciting research, including. at NMBU on Ås, as regards how to obtain feed types that are more sustainable but that also reduce methane emissions from the animals eating the feed. And there is also the possibility of working with fertiliser production, and also fertiliser, which can make fertiliser use more efficient and thus reduce methane emissions also from fertilizers, which are perhaps the most important sources of agriculture. The Minister of Agriculture and I have agreed that we should sit down and look at how we can contribute to this field, so that we can help reduce methane emissions in Norway as well. Then, for the sake of order, I would like to stress that 30 pst. Cut is a global cut, it is not a commitment for each country. It is also explicitly stated, because a number of countries have done little, many have done something and some have done a lot. We're among those who've done a lot already, but of course we have to help cut methane emissions where we can.
ParlaMint-NO_2021-11-17.ana.ud541e799	I was a little surprised at the answer, because last week the Minister of Agriculture, Sandra Borch, was here in the Questionnaire and answered a similar question, and then the Minister of Agriculture could stress that this global initiative would not change anything for Norwegian agricultural policy, but that it was the climate agreement with agriculture that was firm, and that the only thing Norway was going to contribute was really experience transfers to other countries about how they could cut their methane emissions. As I hear it now, I guess there are other tones from the climate and environment minister about what you're going to do. In that case, it is a relief for us who hope that when you are at press conferences in Glasgow, you will follow up here at home. But then my question to the Council of State is, Is this agreed in government with the Minister of Agriculture? And does the Council believe that Norway should perhaps have its own targets for methane emissions if we are to take part in the agreement we have become part of?
ParlaMint-NO_2021-11-17.ana.ud541e806	The government has agreed on the Hurdal platform, and it says that we should work on feed production and stretch towards more sustainable feed production. The objectives of reducing methane emissions will coincide, and the natural development of agriculture, for example, is a natural development. with more efficient fertiliser methods, emissions can be reduced. More precision fertiliser, for example, is a contribution to it. So that's what we're going to work on in the follow-up to this, because each sector is of course going to contribute to emissions cuts where you can, and I think it's fully compatible with other agricultural policy objectives, such as. increasing the degree of self-storage, which we are also strongly behind.
ParlaMint-NO_2021-11-17.ana.ud541e811	There will be follow-up questions – Mathilde Tybring Gädde.
ParlaMint-NO_2021-11-17.ana.ud541e816	Yes, agriculture is now in the process of much follow-up to the climate agreement – reducing food waste, improving efficiency, improving the quality of the grass harvested, developing sustainable feed, and research, which the minister also has to deal with. But what surprised me was the announcement from the government after Glasgow that the global initiative we were part of was not going to change our policy in the agricultural sector, and that it was primarily an experience transfer we were going to contribute to. Also in the nations, the Minister for Climate and Environment confirmed that this would not create new expectations or demands on agriculture. Then, again, my question: What new concrete measures, beyond the climate agreement with agriculture, in addition to the measures that the Council of State now mentions, which are already in the climate agreement, does he want to promote for the future of the Storting in order to follow up the global initiative?
ParlaMint-NO_2021-11-17.ana.ud541e824	I mean, two things are true at the same time. One is that Norway is already reducing methane emissions in many areas and that part of what is already on the Hurdal platform will contribute more to it. The second is that the agreement itself will not change those plans, precisely because those plans are already under way. So I believe that our current Norwegian policy, with the leaders on the Hurdal platform, helps us to fulfil our share of this. What I said in the nation, which I gladly admit, is that it is not a duty for every country to cut exactly 30 pst. Of course, it has to do with different countries having completely different starting points for what they have already cut. Therefore, experience transfer becomes very important. For some of the things we have learned – which have helped us cut, as the representative correctly says, up to 25 pst. in methane emissions – based on transferable and scaleable measures to allow large global methane emissions reductions.
ParlaMint-NO_2021-11-17.ana.ud541e831	Mathilde Tybring-Gjedde – for follow-up questions.
ParlaMint-NO_2021-11-17.ana.ud541e836	I can then follow up the Council of State a little more concretely: if it is the case that one now wants to sit down with the Minister of Agriculture and look at new measures in the agricultural sector in addition to what is in the climate agreement with agriculture, does the Council believe that Norway should have its own targets for methane emissions cuts? It is not within the climate agreement now. Does the Council of State want to do anything else in red meat? What kind of action does the Council of State think of then? The reason I ask is that I feel that the government is coming with me, for example. new climate objectives without following up concretely with new climate action. Methane emissions are also now mentioned without any concrete follow-up, either in terms of objectives or in terms of new measures.
ParlaMint-NO_2021-11-17.ana.ud541e841	I feel like I have to repeat myself a little. It is therefore an important technological development that is also affecting agriculture. Fertilizers are both used for fertiliser production, as are fertilizers and feed, which will contribute to the reduction of methane emissions. Furthering it is a contribution to reducing methane emissions in Norway, together with the other measures, such as: in the production of gas, which has already been largely carried out or is planned. So we're actually in a pretty good path towards 2030, to have cut the methane emissions a lot more, and I think that's compatible with the agreement we made. But the agreement itself commits the world as a collective to cut 30 pst. Not every country is going to cut 30 pst. So we'd better get back to if we set our own targets. We haven't done that at the moment.
ParlaMint-NO_2021-11-17.ana.ud541e848	The oral question time is over, and we go over to the ordinary question hour.
ParlaMint-NO_2021-11-17.ana.ud541e862	There will be some changes in the set question list, and the President will see in that context the electronic question list. The changes were as follows: Question 1, from the representative Frank Edvard Sve to the Minister of Finance, has been transferred to the Minister of Local and District Affairs as the appropriate representative. Following a request from the Minister of Local and District Affairs, this question will be moved and answered before question 12, which will be answered by the same Council of State. Question 9, from the representative of Mr Elvenes to the Minister for Defence, must be postponed until the next Question Time, when the Council of State has left. Question 15, from the representative Alfred Jens Bjørlo to the Minister for Transport, has been transferred to the Minister for Fisheries and the Sea as the appropriate representative. Following a request from the Minister for Fisheries and the Sea, this question is moved and answered in response to question 7, which is to be answered by the same Council of State. Question 20, from the representative Alfred Jens Bjørlo to the Minister for Industry, has been transferred to the Minister for Climate and Environment as the appropriate representative. The question has been moved and will be answered for question 11, which will be answered by the same State Council. Question 25, from the representative Tage Pettersen to the Minister for Justice and Security, has been withdrawn.
ParlaMint-NO_2021-11-17.ana.ud541e879	Question 1 has been moved and will be answered before question 12. So we go to question 2, from the representative Sivert Bjørnstad to the Minister of Finance.
ParlaMint-NO_2021-11-17.ana.ud541e887	I allow myself to ask the following questions to the Minister of Finance: ‘When the country closed down and the borders of our neighbouring country were closed as a result of the pandemic, the daily food trade and the food industry experienced an upturn in both the number of employees and the turnover. This recovery is close to linking to smaller border trade in our neighbouring countries. Now that the boundaries are largely open again, the same industries, in particular along the border, experience a loss of turnover and the disappearance of the basis for many jobs. What action has the government taken in the state budget for 2022 to remedy this situation?’
ParlaMint-NO_2021-11-17.ana.ud541e896	The government is very concerned about the Norwegian food industry, Norwegian goods trading and ensuring safe Norwegian jobs. The commercial industry is an industry that employs many people all over the country. It contributes to living communities and the active local environment. The Hurdal Platform states that government parties will review the border trade problem in the light of the experience gained from the coronary apathy and from other countries, such as Denmark, and propose concrete measures to reduce border trade and strengthen the competitiveness of Norwegian business. Furthermore, the travel restrictions imposed by the pandemic have greatly reduced the travel activity of the North and have contributed to a significant increase in turnover on, for example: The wine monopoly and in Norwegian grocery stores. The reasons for increased turnover for actors such as the Vinmonopolet and the grocery stores under the pandemic are very complex — and more than one stop in the border trade. There is no possibility of making use of the importance of the tax-free system for the domestic placing on the market of alcohol and tobacco products. Closed restaurants have also played a role in increasing the turnover of the wine monopoly. Furthermore, very many Norwegians have ferried in their own country, and food and drink that would otherwise have been purchased and consumed abroad has been bought in Norway instead. This isn't the first time I've been involved in this issue as a state councillor. The last time I joined the government, I took up the fight for the Norwegian food industry against the EU system under what was called the cheese duty case. This was an important step for which the Progress Party was very critical when it was implemented. It turns out to be of great importance to the entire food industry and the value chain. It has ensured jobs and value creation around the whole of Norway. It is too early to say whether closed borders under the pandemic have brought about lasting changes in the pattern of trade. It is also too early to say what effect the tax reductions carried out in 2021 will have on the scale of border trade. After all, the fees for wine, beer and snuff were reduced, and the charges for chocolate, confectionery and non-alcoholic beverages, which have been important border products, were also changed. The Ministry of Industry and Fisheries has concluded an agreement with the SSB on a new and better border trade statistics, which will provide more information on the behaviour of the Nordics across borders. Hopefully, this will be a useful tool to monitor developments in border trade in the future. Because we're concerned that the most jobs are going to be in Norway. In the additional proposal for the State budget for 2022, we have made small adjustments to the tax-free system that will strengthen Norwegian commerce, including Norwegian grocery trade, while having a tax-free system that can work. We have been able to balance it in a way that allows us to get more jobs and more value creation domestically while also carrying on with the tax-free system. Then it will be important for the government and me as Minister of Finance to continuously assess what steps we can take to reduce border trade.
ParlaMint-NO_2021-11-17.ana.ud541e913	I thank you for your answer. It is very good that we now have an agreement with the SSB on a new and improved border trade statistics that will be able to provide more information on how this is happening. But that is, first and foremost, a tool to monitor developments in border trade, not an instrument to reduce border trade, which I believe is also a goal for the Minister of Finance. This is basically about Norwegian jobs. And we know that there's one thing in particular that's important for whether you border trade or not, and that's the price of the goods. The price is influenced by many things. You don't get to do anything about it, for example. the overall level of costs higher in Norway than in Sweden. Something's hard to do with, for example. customs protection. But something is simply to do with it, and it is to lower the excise duty on the baits. Why does Minister of Finance Schlagsvold Vedum not want to introduce lower charges on baits, so that we can keep many of the jobs created in Norway under the pandemic, also in the coming years?
ParlaMint-NO_2021-11-17.ana.ud541e924	As a magnificent representative, I was particularly concerned with part of the arrangements put in place by the previous government, among others. that you had a duty-free quota you could shop for at online shops, which led a lot of online commerce out of Norway and did so, for example. the cost of buying a shower free of charge in Norwegian online shops. We were also very critical of the charging shops they did, both on alcohol and non-alcoholic beverages and on chocolate – typically border-traded goods. So for the Centre Party, it has been important over time to raise the issue, and both for the Workers' Party and the Centre Party, ensuring jobs and value creation in the Norwegian food industry and Norwegian food trade has been crucial. That is why we were very critical of the fees rounds that took place during the previous government. There was a lot of anxiety, which we also believe contributed to extra pressure in Norwegian shops.
ParlaMint-NO_2021-11-17.ana.ud541e937	In the last year there has been no fee shop at all. In the last year, excise duties on border products have been reduced by nearly 5 billion. kr because the Progress Party gave this the highest priority when we negotiated the State budget with the Solberg government. The fee for chocolate and confectionery was removed on 1 April. In addition, the fee was reduced by 25 pst., wine and beer by 10 pst., and from 1 July the levy on non-alcoholic beverages disappeared. It's a very good start, but it's probably not enough to do everything you have to do, related to the fundamental problem of border trade. We are many who remember the TV 2 news about a year ago, where Battle Violence Vedum tried to joke away the problem by saying that for the Center Party it was more important to have lower fees on sausage and pizza than on pylons and darts. But then at least the Senterpartie had an answer, and there was lower VAT on Norwegian food. Today, the Minister of Finance is left without a single answer. Is it such that the Centre Party and the Battle of Vedum have forgotten those who work in the food industry and in the grocery trade?
ParlaMint-NO_2021-11-17.ana.ud541e946	No – the government has actively prioritised that we should have a lower level of charges for border products next year. So there's going to be a lower charge and a zero charge on non-alcoholic beverages. That's what the government's proposal will be next year. There will be lower taxes on chocolate compared to what was used to, as the border was open. There are a number of lower taxes that the government has now prioritised. We believe it is a right priority, and then we will have experience when the border is now open, how it will turn out on trade statistics between Norway and Sweden. Then, fortunately, the Nordics most have a higher salary. There are also slightly higher costs for Norwegian grocery stores and slightly higher prices. Fortunately, we also have a Norwegian food industry which employs tens of thousands of people, but which makes it a little more expensive for Norwegian food shops. In the case of fees, the government prioritises a lower level of fees than what we were used to before the coronary apathy came, and we believe it is wise and good.
ParlaMint-NO_2021-11-17.ana.ud541e958	‘In March, the parliamentary leader, Marit Arnstad, declared to the VG on behalf of the Central Party that the party could not sit in a government with gas prices above 20 kronor liters. Now the petrol price has increased to over 20 dollars a litre, and the Senterparte proposes to increase the taxes on diesel and petrol further next year. Why does the government propose to punish the drivers even harder?’
ParlaMint-NO_2021-11-17.ana.ud541e965	Now we are in the year 2021. Then it is important to remember that in 2014 it was the Progress Party that was the second largest party to adopt the budget. In 2015, the Progress Party was the second largest party in government and had the Minister of Finance, and in 2016, the Finance Minister of the Progress Party proposed higher fees than what happened in eight red-green years. In 2017, 2018, 2019 and in 2020, the Progress Party has adopted the level of fees, and the level of fees people see around in Norway, the Progress Party has adopted – neither the Labour Party nor the Centre Party has been part of a budgetary settlement for the last eight years. So if the representative Listhaug is now shocked, indignant or headlong about the prices of Norwegian consumer goods, I would say that it is the power of the Progress Party over eight years that has led us to have the prices we have on different products in Norway. If you look at the government's draft budget: biodiesel, we're proposing to reduce the fees by 62 cents. We think it's wise because we know that in the case of normal cars, less and less consumption of diesel products will be achieved over time, while for example. in heavy goods transport, within installations – that part of the transport sector – it will also be used more in the future. This is why we reduce charges, for example. on biodiesel with 62 ears, which increased last year. The idea of the government, which is based on the Workers' Party and the Centre Party, is that we must be able to also use the charging policy to create new industries and new jobs in Norway – therefore this approach. In the case of those who depend on transport in everyday life, in everyday life, we do some heavy grips. We will reduce, among other things: Prices of the ferry because we believe it is important to link Norway together. We're starting to phase in a free ferry on the smallest connections and we've set aside $30 million. So let's start with that. We're improving the terms of the country's commuters, which is something like the Advance Party for some reason, when the Advance Party put in government with the Right, once and for all tightened up. Now it's getting better. A commuter who commutes Hamar-Oslo – that’s a thoughtful, good example from my own constituency – gets NOK 4 700 less in tax if the proposal to the Workers’ Party-Center Party government gets a majority in Stortinget, of course whether you’re driving a car or if you’re driving a train. It's a good system that helps bring down the transportation costs to people.
ParlaMint-NO_2021-11-17.ana.ud541e974	When the Progress Party had a hand on the steering wheel, we reduced the car charges by 1.5 billion. kr. We made it cheaper to buy a car. What Battle Violence Vedum performs in his first budget is to make it much more expensive. We have seen desperate people all over the country who have ordered a new car and who are now being presented for an extra charge of up to NOK 80000. In addition, there is an increase in diesel and petrol taxes, which the voters were promised not to do. The Minister for Climate and Environment was recently in the Questionnaire and called it a sharp increase in the fees that will hit the drivers hard. Now not all people in Norway are commuters and can get these deductions. For many, this will sting heavily in the wallet. Why is the Council of State running away from its promises from the election campaign and making it simply more expensive for people to buy and drive a car?
ParlaMint-NO_2021-11-17.ana.ud541e981	It is sometimes a bit interesting to listen to the representative, Mr Listhaug, because what is contained in the proposal from the Workers' Party-Center Party Government is that we propose 31 cents of a lower tax on diesel, which becomes a mixture of fossil and bio, than the Erna Solberg, who is the preferred budgetary partner of the Advance Party, wants. So we have a lower fee level than what Right wants. And when the Progress Party itself had the finance minister and presented its own proposal, Siv Jensen proposed an increase of 35 ør per litre in 2016. The pump price we see today is the desired level of the Progress Party, because they have been in and adopted those budgets. Then we've reduced traffic insurance charges, we're reducing ferry prices, we're improving commuter deductions, and we're going to do a lot of things to bind Norway together, because we're busy binding Norway together.
ParlaMint-NO_2021-11-17.ana.ud541e986	We have to conclude that the desired level of the Centre party is much higher than the 20 kroner that we now see. We have to draw that end, since you're proposing to increase. Yes, you suggest a lower fee increase than Erna Solberg, but it does very little for all the drivers who are already bleeding. This is the belly pad of the times, and I think it's strange that you're just trying to talk it out and owe it to previous governments when you're making suggestions about heavy tax cuts. Then you have to go into budget negotiations with SV, as we know hate the car, look at the car as a problem and believe that there is a T-Bahn, bus, car and tram throughout the country, which it does not. We're worried that this is going to be even more expensive. Can't it be an idea for the government to come to the Progress Party – let's sit down together to reduce the cost of the cars and the taxes on diesel and petrol?
ParlaMint-NO_2021-11-17.ana.ud541e993	Let me first take the fuel prices: Fortunately, some of us are able to fill fuel when prices are not at the highest level. I can still get a lot of fuel under 16 kroner, because I am aware when I fill the tank. I think that is a good advice for everyone, that one goes with the market economy, and that there is competition in that market too, so that one does not allow the gas station chains to get too much of the profit. Because it varies a lot over a week. And then to a proven fact. What are important taxes for people? Now it's e.g. current. People are worried about now -- the power bill. There the government proposes to reduce the fees by 47 p.m. in January, February and March. – from the level adopted by the Progress Party. But when the Progress Party had the Minister of Finance, it was even higher level of fees. It went down a little bit when Jan Tore Sanner took over – please a little – and now we're reducing, because it was historically high. In our draft budget, it is a lower level of fees than the right-hand proposal, which the Progress Party has as its preferred partner.
