ParlaMint-NO_2021-12-08.ana.ud311e28	The representative, Mr Kristjánsson, will present a proposal for a representative.
ParlaMint-NO_2021-12-08.ana.ud311e454	It will serve Norway, the electricity customers and our business very badly if we now report to Europe that we are going out of the cooperation that binds Europe and the Nordic countries together in a power market, and then we are going to take action for ourselves, and then the others will say that they will take action on their own. Over time, there is a poor solution for Norway, there is no government going into it, and it is not a social democratic answer. A social democratic answer is to make sure that we continue to distribute fairly in Norway, that some time now, with exceptionally high revenues for the state because of power, we allocate as we are now going to – to the power customers, so that they can deal with everyday life. A social democratic response is to plan for industrial development where we have renewable energy – which we are going to develop, which requires decisions and investments, and on which the community takes the lead, so that we get more renewable power in our power-generating industry. But it's not breaking agreements we have with other countries, and it's not to say that every country is going to be okay, because over time Norway will lose it.
ParlaMint-NO_2021-12-08.ana.ud311e459	Let's go to the next main question.
ParlaMint-NO_2021-12-08.ana.ud311e464	Yesterday, the government held a press conference with new measures in relation to the coronary apathy and also measures against industry. But that press conference has strengthened and created a huge uncertainty in the outdoor industry, travel and cultural life. That's what it's done here in the city and elsewhere in the country. What happens is that you have a lot of cancellations, Christmas tables are cancelled, events are cancelled, you have a situation where permit notices are now sent out. On the part of the government, there was an extension of the compensation scheme. That's good. At the same time, they are vague and unclear in terms of wage compensation, which would have had an impact now. There is nothing about deferred tax payments. There is no initiative to find solutions that can reduce or also postpone the employer’s period of leave. The only government that has come so far that can come quickly is 200 million. kr, which was set aside by the previous government in our revised budget, where there are again funds that can be used through the municipal compensation scheme, which can be distributed. There's also a description that it's going to be 1 billion. kr to the municipal scheme. My question is, last year we were in a similar situation. Then the majority – the blue-green majority on Stortinget – found a solution via the new age, where we granted 250 million. kr directly down to the municipalities. It had an immediate effect in the outdoor industry. Is the Prime Minister open that the Labour Party and the Center Party can participate in a similar solution this year, to get the money out quickly?
ParlaMint-NO_2021-12-08.ana.ud311e473	This municipal framework has been strengthened in connection with the effusion, so we're notifying 1 billion. In addition, kr, because the municipalities can then hit this quite well when they are close to it. I would remind you that the worst thing for our outdoors would be if we didn't take action yesterday. The worst thing for our outdoor life would be to say that the omicron variant gets to come and go, we don't know what it means, and then we get an explosive increase in infection. Then we'll have a shut-down. We haven't decided that now. It is still possible to go to the Christmas table, it is still possible to go out, but you have to follow the rules that apply to the individual outdoor areas. We've been busy not shutting down, but we're hitting the rules that are in keeping distance. It's necessary. As the Holden Committee pointed out, it is important to consider the socio-economic interests of pandemic management. The worst thing for the social economy is that the disease goes free and the health system breaks down. It has great consequences. On short notice, we have revived the compensation scheme that has been in place. It's available, it's known. We have extended the daily allowance period one month for workers and self-employed people, and today we have dialogue with the different organisations in society to have action in place. I'm busy here and now, but it's not like when the various infectious diseases measures came under the government of Elvesuen were part of and supporter, measures came in parallel with infectious diseases. On the contrary, they came long after, and they were largely designed here in Stortinget. Now we have a package that has been presented. We make the different arrangements. We're going to listen to cultural life, we're going to look at how these arrangements work, and we're going to make any adjustments and reorganizations to make them the best they can. Then we're going to hope that these are measures that won't last too long, and that we'll get through and get back to a situation that's more normal. Nothing would be better than that, but then it requires that we also take the measures now, and that we end up with them.
ParlaMint-NO_2021-12-08.ana.ud311e484	It doesn't help that the Prime Minister says you can go to the Christmas table. The situation is that they are cancelled — and they are cancelled in many places. There's no doubt that what's happening now is that the incomes are going to go away, especially in the nightlife. This is income in December, and many places depend on it for the rest of the year. That's what's now going to be gone. What will be decisive in the near future if the alerts will also arrive this year is what signals the government will provide. Then the days run. It's 14 days, and then the cost starts to go for these businesses. They become my question: Will the Prime Minister take an initiative – and it must be towards the LO, the NHO and the parties – to ensure that you can get a daily allowance from the first day, that they can now extend the scheme so that formerly-closed enterprises are freed from the employer's period now when they have to close down? It was done in spring, out of September, but now it's back.
ParlaMint-NO_2021-12-08.ana.ud311e491	What I'm concerned about is that we don't now have mechanisms that stimulate more permissiveness than necessary. I hope that the duration of what we have now decided on by measures to prevent infection will not be too long. We don't know, but we need to be ready for that. I hope that the most vulnerable companies will find the opportunity to keep in touch with those who work, so that you do not need to permit. We have a situation in the Norwegian economy today where the economy is going well, it's high activity, a lot of businesses are making good money, but it's sectors of society that are being hard hit. That is why we are concerned that there are measures available to them. We've used the compensation scheme, which is known. The self-employed are given a system. We discuss with the parties how we can best organise it, so that we do not lose competence in these important industries.
ParlaMint-NO_2021-12-08.ana.ud311e496	There will be follow-up questions – first Guri Melby.
ParlaMint-NO_2021-12-08.ana.ud311e501	The anti-infectious measures presented yesterday were based on professional advice, and no one here really contests the need for that type of action. What I think is important is that we now discuss, first of all, how we should live with this over a longer period of time. And secondly, how are we going to deal with the negative consequences? Now there's been a lot of talk about business compensation, it's important. For most of us, it's boring that Christmas tables and stuff like that are canceled – but we're fine, we're fine. For many others, there are some events that are now being canceled, which may be one of the few things they have to enjoy. We got the news earlier this week that Alternative Christmas is now being cancelled because it is not possible to accept as many guests as you care. They're going to get something outdoors, but we all understand that it's not going to be an equally comprehensive offer. My question to the Prime Minister is therefore: What is the government's plan to ensure that the addicts and others of the most disadvantaged in our society get a Christmas they can enjoy, and that the measures aimed at the most disadvantaged are maintained despite the infection?
ParlaMint-NO_2021-12-08.ana.ud311e508	It's good questions, and we remember from the last period of closures and restrictions that there were vulnerable people in a more vulnerable situation. We also remember that differences that were there before were reinforced by the pandemic. There were also many vulnerable people who were not seen and heard, because they do not have strong speakers. It's the government's attention. So I hope that the framework that we have now laid makes it possible to have social meeting venues, have activities and see people. It is quite clear that within the provisions we have made, it is not closure. The organisations, the government representative and the arrangements that work against people who are struggling with abusing or other social problems are not shut down, they are working. I have the belief that they know the experience with the rules on infectious diseases and can handle the close contact and activities that are needed to minimise the harm to this group.
ParlaMint-NO_2021-12-08.ana.ud311e516	Linda Hofstad Helleland – for follow-up questions.
ParlaMint-NO_2021-12-08.ana.ud311e521	Now the hotels, restaurants and the outdoor industry report that the cancellations run in, and in a time of pre-Christmas and Rome Christmas that would collect much of the income lost in the last and a half years. If the industry does not receive guests, they do not receive any income, and it is difficult to pay for those who work. More people now also report that they see no other way out than going to the lay-offs. This I think concerns everyone in the room here, because those who are now in danger of being permitted are very many young people who have no alternative or other job to go to. Here's the thing about young people who don't have that long seniority. So what is the message from the prime minister of all the young people in the industry who are now afraid that they will go into Christmas without a job?
ParlaMint-NO_2021-12-08.ana.ud311e526	It bothers me too. Many young people have their part-time jobs in these industries. I want to come back to it that if we don't now take measures against a variant of infection that has a very high frequency of infection, as the health director calls a game changer in how we have to deal with this, the consequences will be far, far greater. We are now doing these measures with the aim of getting control, so that the economy can function as normally as possible, and that we protect our health care system. It is also important for young people. What I hope is that we get a situation where these outdoors, hotels, restaurants are able to keep in touch as much as possible – and some activity – with those who work there, because we hope to get back to normal activity. We have had compensation schemes in place, we have extended the day-to-day pay legislation so that workers are assured if they are in a difficult situation. And then we get to hope that the measures work, so that we get back to a more normal situation as soon as possible.
ParlaMint-NO_2021-12-08.ana.ud311e533	Let's move on to the next main question.
ParlaMint-NO_2021-12-08.ana.ud311e538	There is a difficult situation — it soon begins to be in the third year — for Norwegian hospitals. It's an enormous pressure on the total capacity. The population needs security in order to seek health care. We see that more leaves are not looking for help, and it's important that they actually do, because then we can do more for them. Acute suffering continues to occur, accidents continue, and intensive capacity is required. When we see the pressure rising day by day, I am also grateful for the requests and decisions made yesterday, for example. to use mouthbands and to keep distance. The head of intensive nurses in Bærum said that if people keep this, it is one of the most important measures we can do. I think the government was waiting quite a long time to come up with that advice. The Health Minister replied that there was a proportionately large intervention, and therefore they expected it. My question is: we are committed to getting all the good measures that can strengthen capacity, and these are long-term measures. Getting enough people trained, getting intensive places are long-term measures. But I'm concerned that hospitals in Oslo yesterday reported that they want to cut down on the surgical capacity, because they need intensive care. What does the Prime Minister think to do to secure capacity in the future, in the short term, not just because of infection, but because of other diseases, where one now leaves to use the capacity that we really need?
ParlaMint-NO_2021-12-08.ana.ud311e545	This is one of the main reasons behind yesterday’s action: ensuring that we do not get so much pressure on hospitals that they need to shift all attention to intensive capacity and respiratory treatment, reducing elective treatment, reducing cancer treatment, and reducing acute levels. That's what's the challenge. Now we have 320 inmates -- I hear some say 320 inmates up to 5.5 million people in Norway. Well, if this omicron variant is as contagious as it looks, and we don't get control of it, those numbers can rise very, very fast, with consequences for the hospitals. So the reason we have the measures is to prevent hospital congestion. The representative here says, let's look at the short term. But it's interesting to look at the long term. For the eight years the representative was behind the budgets here in Stortinget, the hospitals were too heavily funded, and the municipal health service was too heavily funded. There are two important premises for the concern of the Health Directorate today. It is that we lack intensive capacity in hospitals, it is too poorly developed, preparedness is not good enough. It is a long-term measure. It is also that there is a lack of staff in the municipalities, which means that the municipal doctors and their employees are out of work. So here we have a responsibility over time, which I think we also have to take with us. How do we plan this for the future? For this government it has been important to give priority to the municipalities. It has been important to follow up the municipalities with a better economy, and we will have to do new steps to ensure that the fixed medical system does not collapse. It's my real concern – close to people. Then we have to plan the operations of hospitals so that they have an enhanced preparedness. They're too vulnerable today. Nor is there anything that it is possible to do from one day to another, it needs long-term planning. There are now several educational positions, more money has come in, we have increased the allocation to the hospitals, but this needs to be put on a good plan, and the government intends to do so.
ParlaMint-NO_2021-12-08.ana.ud311e556	I agree that it could certainly have been done more in the eight years that we have behind us. I also fully agree that long-term planning is needed in order to reach a capacity that is responsible for the population not only when it is a pandemic but also otherwise. In acute crises, when there is a great deal of pressure on the health system – it is today, although capacity is not completely detonated – nurses and doctors are now in a spa every day to make priorities. They even double guard. Usually when hospitals have crises, it's like you have a debrifing and make sure that the staff are followed up in a way that makes them able to stand in this every single day. What does the Prime Minister think about the follow-up of the staff now in that spaga, not because of the new virus, but because of the delta virus? That's what the NRK reported today. We haven't gotten there yet that it's the new virus that overloads the hospitals, but it's the delta virus.
ParlaMint-NO_2021-12-08.ana.ud311e565	I think about it that we're going to do everything we can to ensure that they don't get overloaded. We – the representative Bollestad, me and everyone else – will take steps to keep away and bring down the infection pressure so that they can get a Christmas, that they can get a vacation, get a vacation, get a night off, avoid going double watches, could debrife. That's what we've taken over, that's what the system in the hospitals we've taken over. So the representative's commitment I value, because we're going to have to discuss this in the future, but it's also necessary to see ourselves in the mirror: how did we get there? A wholesale notification was submitted in 2013 summarising the Norwegian experience with the swine flu. It concluded that these types of infectious influenza had to lead to increased intensive hospital capacity. That it's not followed up, is one of the reasons we're there today. But now we have to deal with the situation as it is. We need to see the importance of the personnel, both in hospitals and in the community health services, around the community doctors, those who are vaccinated, and those who provide the close support. Then we have to put a plan for enhanced preparedness in both primary and specialist health care.
ParlaMint-NO_2021-12-08.ana.ud311e572	There will be follow-up questions – first Olaug Vervik Bollestad.
ParlaMint-NO_2021-12-08.ana.ud311e577	I fully agree – and I said that in the previous follow-up question too – that the capacity has to rise. There we have a common responsibility and a common task. I fully agree with that. At the same time, we also have a responsibility to keep those who are already there, both by seeing them and by making sure that they are able to double guard. Then there is a special signal when the health minister, who is your councillor, says: It is not necessary to bring mouthbands now – it was said a week ago – we continue to go to Christmas table, and I do not want to be a party brake. What signal does it send, seems the Prime Minister, to those in the spaga every day, with double guards, and who get people not with the new virus, but with the delta virus? Today, it's actually what's most of it in the hospitals. What kind of signal does it send to the population when one is in a situation where one has to take more stringent measures – which I agree with? What does the Prime Minister think of such different versions in a few days?
ParlaMint-NO_2021-12-08.ana.ud311e582	This is because we have followed the health advice of the Public Health Institute and the Health Directorate. Until the highly probable omicronvarian is throughout the country, the strategy was to have regional responses. When we took over the responsibility, it was a normal working day with increased readiness. Then we have strengthened preparedness and put in place strong measures regionally. A week ago, strong measures were introduced in the Oslo region. Some municipalities in the interior and the bay also joined, the Drammen came in, and Lier came in. Then there was no point in saying that you had to wear a mouthband if you were in Namdalen, and it wasn't infected. So here you take measures closely. Now we have reason to believe that the omicron variant has been in Norway maybe a little longer, it's more contagious, it's a national phenomenon, and then we introduce the one meter rule, in line with the guidelines and advice that are. If you can't keep the distance of 1 meter, you should use a mouthband. I feel that there are powerful measures, which are precisely designed to protect our health services and our working life – and not least to protect children and young people.
ParlaMint-NO_2021-12-08.ana.ud311e590	Tone Wilhelmsen Trøen – for follow-up questions.
ParlaMint-NO_2021-12-08.ana.ud311e595	I listened interested in the answers the Prime Minister gave to the previous questioner. I just want to remind you that after nine budgets with the Solberg government, it has been prepared for an activity growth of 19 p.m. in hospitals. There are about 8.5 percentage points higher than eight budgets under the red-green government. We need to distinguish between intensive capacity in a normal situation and under a pandemic. When the pandemic came, our government strengthened intensive capacity in the short term. There were 289 permanent intensive sites. Basic appropriations were increased by 5.5 billion in May 2020. kr, the equipment situation improved, and 3 100 employees have undergone internal training in intensive treatment of covid 19 patients. We believe that there is a need to increase permanent intensive capacity in the long term and have started work on it by establishing 100 new educational positions. What new steps has the Støre Government taken to improve intensive capacity, which has not already been implemented or launched by the Solberg Government?
ParlaMint-NO_2021-12-08.ana.ud311e604	A lot of what's done here is good, and I said it in opposition. For the 100 posts: there are no intensive staff coming out of an oil fund or out of a budgetary arrangement. They must be trained, they must be recruited, and there must be working conditions in which they find it useful to enter. So that's good. What has the Støre government done? It has increased the hospital appropriations by 700 million. kr. It is basic appropriations that need to be taken into account in the follow-up – several educational positions. Then we have to look at the whole spectrum, because yes, it's good that the level of activity increases, but if the level of activity increases and it wears people out, we become vulnerable. So there has to be a relationship between the capacity in a normal situation and an extra capacity in readiness. This is also linked to what is happening in communities. I'm worried that the fixed crisis, which is the overloading of the municipal health system, also has consequences in the hospitals, because it's the fixer that's a door opener, that takes away a lot of the health problems we have. And when it doesn't work, we also have to deal with it. This government has done and granted more money.
ParlaMint-NO_2021-12-08.ana.ud311e613	Let's move on to the next main question.
ParlaMint-NO_2021-12-08.ana.ud311e618	Even under a pandemic, we have to create room to raise other important questions, and mine is about school. The government of Solberg increased quality and knowledge at all levels of the education system, and an important result was that more and more young people are completing secondary school. We are facing a wide range of challenges that we need to deal with wisely: climate crisis, migration, digitisation, the need for change in the labour market. This requires the willingness and ability to prioritize knowledge at all levels in order to create learning joys and to adapt to the needs of the labour market. It is therefore discouraging to see that the steps taken by the government are to reverse measures that raise knowledge and quality, to the benefit of structure and school leisure. The government cuts in the introduction of an extra hour at the youth level, abolishes the teacher-specialist system, cuts funds that were set aside for lost learning during the pandemic, cuts Norwegian, math and English skills requirements for all teachers, removes the absenteeism threshold that ensures increased presence – not just under the pandemic, but up to the next autumn – cuts grant to universities and colleges, among others. measures to develop digital education, prioritize large amounts of money at lower kindergarten and SFO – not to low-income families, but to all others – and prioritise municipalities to maintain old school structures. In addition, the government has already abolished the Workers' Party's reading, writing and calculation guarantee. My question is simply whether this down-priority of knowledge and quality is to respond to the major challenges facing us as a nation.
ParlaMint-NO_2021-12-08.ana.ud311e629	It may not surprise the representative Sanner that I do not agree with this description. For this government and for the Hurdal platform, the ambition is to build a school that sees all children and that has high quality and more accurate requirements for recruiting more quality teachers. Competence in a wider range of subjects is central. An important challenge – I think the representative and I agree on that, in the light of what I have heard him say before – is that we have to make sure that those who enter high school have the prerequisites for doing it, whether it be study specialisation or professional. We have a powerful plan for upgrading the professions, both on the equipment side and on the teacher side. We all agree that it is also necessary to take action through high school and early years in order to facilitate that more students may have the prerequisites to enter the wider course, for example. through a strengthened practical part of the subjects. This means that those students who have practical skills and can really be successful with them will also be seen and will be able to move on. Then I would say that we have faced a situation of pressure on teachers, lack of teachers, and we believe that more accurate skills requirements, as we have suggested, will be able to recruit more people. We will also be able to bring back more teachers who have trained as teachers and who are now out in society – when they are not separated, then they can come back to work – and facilitate it. We are also concerned that the municipal economy, which is important for those who run schools, municipalities and counties, is also crucial for the security that is to be in school. So we have a broad commitment to bet on knowledge and school – and, of course, what comes later, with lifelong learning and cooperation with the parties so that you can fill your skills through working life.
ParlaMint-NO_2021-12-08.ana.ud311e642	I noticed that the Prime Minister said he did not want teachers to be separated. Now the government is making sure that almost 2,000 teachers are separated. Teacher specialists are supposed to make sure that we keep skilled teachers in school. It shall ensure the professional community and school development. There was a final report from NIFU a few days after the government parties together with SV decided to wind up the whole scheme. The final evaluation is positive. It shows that more skilled teachers are kept in school, and it contributes positively to the professional community and school development. So my question is, what is it that the Prime Minister, who is otherwise concerned about not separating teachers, wants to separate 2,000 teacher specialists who are in school, and that one decides this only days before there comes a final report from NIFU?
ParlaMint-NO_2021-12-08.ana.ud311e649	The students who are in that training shall complete that training and pursue it. One of the challenges in school life is that up to 50 pst. of the special education given by people who do not have vocational training as a teacher, so that measures to recruit more teachers, get more people through teacher training and ensure that we do not have temporary work needs to be taken over time. There the government has intervened. So I just want to point out this with the absenteeism limit. The working party is for an absence limit, but as the situation has now been, in the pandemic, we believe it is an unwise practice of a system, with the burden it is for permanent practitioners and for others. When we get to summer, we see what the plan is for next year. We should have the absence limit, but it should also be adjusted in relation to the experience we are reaping.
ParlaMint-NO_2021-12-08.ana.ud311e656	There will be follow-up questions – Jan Tore Sanner.
ParlaMint-NO_2021-12-08.ana.ud311e661	I agree with the need to raise special education. That's why we started a lift for special pedagogical competence. I respect the fact that the Prime Minister has not had time to read the final report of the NIFU on the teacher-specialist system, but I would recommend the Prime Minister to ask the Minister of Knowledge to do so. Because it's a little funny, to say it carefully, that you wind up a system days before there comes a final report. And the final report is positive -- it shows that more skilled teachers want to stay in school. My other question relates to the conciliation, where you cut into funds that would go to lost progress and close knowledge gaps for students who have lost valuable teaching time during the pandemic. What comes from the fact that the government, along with SV, chooses to cut into such a targeted scheme, which is about children and young people who have been in home school and have lost their teaching time? It's going to be especially special when we're now on our way into a new wave of infection.
ParlaMint-NO_2021-12-08.ana.ud311e668	The question is how targeted it is – how sure it is. I'd like to say that a municipal economy strengthened by $2.50. kr, and which ensures that municipalities can recruit enough teachers, is the important investment we have in having good teachers even through difficult times. It takes a lot of our schools when we go into a pandemic. I said yesterday that we're protecting about children and young people, but I also said that if this is going in the wrong direction, we might have to introduce a yellow level in the traffic light model in the schools. Then it is important that those who are in school are able to provide the adapted education to be given, whether it is going to be switched to digital, or – as we hope – it can still be in school everyday life. It is probably skilled teachers and a secure economy that is the main strategy for the school to deliver the important mission it has.
ParlaMint-NO_2021-12-08.ana.ud311e676	So the oral question procedure is over.
ParlaMint-NO_2021-12-08.ana.ud311e690	There will be some changes to the questionnaire, and the President will refer to the electronic question list in the salapp. The changes were as follows: Question 3, from the representative Mimir Kristjánsson to the Minister for Labour and Inclusion, has been withdrawn. Question 5, from the representative Freddy André Hövstegård to the Minister for Research and Higher Education, will be taken up by the representative Mona Fagerås. Questions 9 and 10 from the representatives of Mathilde Tybring-Gjedde and Olve Grotle, respectively, to the Minister for Climate and Environment, must be postponed to the next Question Time, as the Council of State is prevented from meeting in Stortinget. Question 11, from the representative of Mudasar Kapur to the Minister for Local and District Affairs, has been withdrawn.
ParlaMint-NO_2021-12-08.ana.ud311e708	‘After a few months with the Central Party in government, we already see the outcome of the policy. Business owners Ola Braanaas move from the District Municipality of Yellow because the tax pressure is getting so high and he won't lose money out of the district business to pay taxes to the Department of Finance. FrP has always said that district policy is to ensure local jobs in the private sector. Would the Council make it better to have jobs in the districts?’
ParlaMint-NO_2021-12-08.ana.ud311e715	It is a goal of this government that people should be able to live throughout the country. This stands in contrast to the government Progress Party was part of, which had centralization as a solution. The government will pursue a tax policy that reduces differences, provides growth and value creation and stimulates employment. The tax system shall contribute to greater social and geographical redistribution. We're going to get more people to work and create activity across the country. We will pursue a forward-looking industrial policy. Norwegian enterprises must have good, predictable and stable framework conditions that facilitate investment and further growth. This is why the government has provided a budget for 2022 which takes Norway in a new and fairer direction. We are betting in the districts and providing opportunities for people and businesses throughout Norway. For example, we start developing rural growth agreements, which will contribute to growth and development by strengthening business and housing in vulnerable parts of District Norway. We are increasing the grant for broadband development to contribute to housing and jobs across the country. A third example is the increased allocation of flood and escape insurance measures. It will make it safer to live and work in District Norway, where floods and hazards can be a challenge. And then we're going to reduce the ferry charges by 30 pst. compared to 1 January 2021, so that people across the country can use the ferries along the coast. We also take measures to start with free ferries for many of the smaller island communities along our coast. This is an important first step towards making transport along the long-distance coast cheaper. In the field of taxation, we increase the specific deductions for farmers, fishermen and seafarers, and the special deduction from income in the Nord-Troms and Finnmark action zone is increased by 15 500 kroner to 20 000 kroner. A total relief is passed through the commuting deduction of 800 million. kr in force from 2021 to 2022. In Norway, we have a good welfare offer for people, no matter where you live. That's how we want it to still be. It requires that we all contribute to the community. The difference between this government and the previous one, supported by the Progress Party, is that we want to redistribute more. Ordinary people with ordinary incomes get a little less tax, while those who have the most have to do something more. In this way, the tax system contributes to more justice, while building new, good services throughout Norway. The budget agreement for 2022 is also a step towards making the taxes on wealth more distributive and fairer. Valuation of shares and operating assets, etc., expensive primary dwellings, secondary dwellings and recreational dwellings has increased, and the deduction is made. That means that those who have the most have to contribute more, while there are about 10,600 fewer who have to pay property taxes next year compared to the Solberg government proposal for 2022. This means that there are several small family-run businesses around the country that might drop property taxes next year. The Hurdal Platform underlines the need for a redistributive tax policy, good public welfare services, roads and technology, change and knowledge to ensure settlement and business throughout the country. Summary: This is a budget that will create activity and development in all parts of Norway.
ParlaMint-NO_2021-12-08.ana.ud311e732	I don't think anyone in District Norway is impressed by that listing, that a building growth agreement should be awarded for small money as compensation for a tax on district work places. Governments said something about equity in property taxes. Then I'll take him to a little experiment. One has auctions that now form the basis for which one is required to pay in taxes on property under cultivation concessions. There are Norwegian family-owned founders competing along the coast with e.g. foreign Cermaq, which operates and bids prices, which in turn means that a person is required to pay taxes on wealth. I don't know if those who are out on the island think it's fair that an actor who has completely different conditions of competition, who skips this property tax, can use more of their surplus to buy new concessions, which in turn means that their competitors will be taxed all over and will have to move out of the country or out of their municipality. Does the Council of State really think this is fair tax policy, as he referred to the wealth tax as?
ParlaMint-NO_2021-12-08.ana.ud311e739	Today the tax lists have arrived, and fortunately we see that many along the coast are making good money and that many families are also making good money, for example. rearing. It's very good for us all that we've had a policy that allows you to create jobs and have value creation, and that some people have also managed to create billions of wealth. We need that kind of entrepreneur in Norway. One of the reasons why we have that value creation, growth and development in all of Norway is that we have a good welfare society, and it's a spice layer. The whole idea of the Workers' Party-Center Party government is that those with the strongest backs should contribute a little more, and then we give the tax cuts to those with the lowest incomes. That's the redistribution that we think is right, and that everyone enjoys. Those who have managed to create large wealth and high incomes, too, enjoy the common welfare society that we all enjoy and that enables us to create good economic growth and development in all parts of Norway.
ParlaMint-NO_2021-12-08.ana.ud311e746	Interestingly, the Council of State takes the credit for the tax lists now published, which are based on the level of taxation that has been under eight years of civil plurality. He has a double tax on these players here, so one has to look at future tax lists – if they're still taxes to Norway. That's what I'm worried about, that you have to watch yourself sell out or move out, like Brananaas, who moved to Bø because they have a more competitive tax system than the rest of Norway's municipalities. I think it's a strange argument you have. It's not like these actors are just enriching themselves. The actors that are out in District Norway are contributing to more employment, they buy services, they contribute to sports, they are patriots. I can't believe that taxing them, taking the money into the Ministry of Finance and handing it over again are better than actually being actors in the community. This is good district policy. Is that not agreed by the Minister of Finance?
ParlaMint-NO_2021-12-08.ana.ud311e751	We in the government are very happy that there are many who are able to create values, jobs and development throughout Norway, and that there are also some who, of course, are able to create a fortune on the basis that they are capable, that it is a well-functioning community, that one has been given access to common natural resources – there are many reasons why one has managed to create that business. Honor them for it! It's important to all of us that we have that kind of nutritionist. But it is also important for us all that we have had a redistributive tax system in Norway, that if one has particularly high incomes, a little more contributes to the community. If one has particularly high wealth, one contributes a little more to the community, but one has also built up the incomes and wealth of the society that Norway is. What one sees, is that Norway is one of the societies in the world where it is easiest to create high incomes, and also wealth, because we have a well-functioning, good society and a good public sector that also facilitates value creation and industrial development.
ParlaMint-NO_2021-12-08.ana.ud311e761	‘Working for more is our most important job. Therefore, on the right-hand side, we introduced an activity obligation for young social welfare recipients. It's important to give people the follow-up and dignity they deserve. Helping more people stay active helps to give more people a chance to get back to work. In the Hurdal platform we can read that the government will introduce an activity reform for new recipients of redundancy payments and disability benefits and provide a job guarantee. Can the Council of State clarify how this should be done in concrete terms?’
ParlaMint-NO_2021-12-08.ana.ud311e768	For this government, work is a primary goal for all. It is the key to a more equitable distribution and more freedom for the individual. It's a goal for us that more young people will have a proper chance in the world of work. Anyone who can and wants to work will have the opportunity. We base our work on labour and welfare policies, and that also means that the community must set up more and better measures than one has today. It is particularly important to get young people who are recipients of passive social security benefits into action. It is important for us that it is easier to combine it to accept social security benefits and to be at work. This means that working life should be open and inclusive also for those with disabilities and/or other health challenges. One of the measures to achieve this is an activity reform for new recipients of redundancy money and disability benefit. As the platform points out, those who can work something should receive a job guarantee that really guarantees the ability to combine social security and work. Nav is the one who will have a superior responsibility for securing jobs that are adapted to this group, while the municipalities will have a duty to ensure that this group gets a job. The system should be phased in gradually, starting with the young. We are following up the platform, and this point involves a reform that will have meaning both for the recipients, for Nav and also for the municipalities. That means that the details around it I will come back to at a later date, so that things can be done in the right order.
ParlaMint-NO_2021-12-08.ana.ud311e785	It's very good to hear that we share the goal of getting more in activity, and there are some positive elements in this proposal that we're looking forward to. It was just to get people in action that the Right in its time introduced an activity obligation, an intensified youth effort, which helps young people quickly into work, education and other activities, and the research shows good results. It is very good that the Minister of Labour will learn and continue this work. But I am still a little curious and would like to have a specific answer – yes or no – as it is a job guarantee. When this proposal is put in place, can the Council of State guarantee and promise that everyone who can and wants to work has a job?
ParlaMint-NO_2021-12-08.ana.ud311e792	I think I want to nuance the representative Stokkebø's view of the effect of the obligation of activity on the beneficiaries of social assistance, which he draws out here, directed at those who are less than 30 years old. One has received a first interim report, which has evaluated some of the effects, and he shows that there is a general and significant lack of getting Nav offices to give meaningful and effective activity to the entire width of a group of users. One also sees in interim report II that there are no signs of increased participation in education or work, but I can assure the representative Stokkebø that we can't find the opposite either – so one gets no negative effect. But I'm going to think that when this is drawn out as a big effort, which has been important for young people outside the labour market, it's most regrettable that the results don't seem to be building up in such high-quality languages. I look forward to rolling out the activity reform for young people with a job guarantee, and the details of it I will come back to at an appropriate time.
ParlaMint-NO_2021-12-08.ana.ud311e797	It is actually a Fafo report that shows that the youth effort we made in Nav has led to better results in getting young people into work, education and other activities, and that the Nav offices are now working much better against young people. It's the facts; it's research. I noticed that I did not get a complete answer to the question. In the previous Question Time, the Council of State baptized me into the 'Walking Council of Languages' and it is a commitment that rests heavily on my shoulders. So I checked with the Language Council, and it says that ‘guarantee’ is a commitment, not a goal. The reason I am asking about this is that I am a little worried that this guarantee will end up as a Workers' Party guarantee otherwise, that they will not be guaranteed. We saw that the Labour Party's guarantee not to increase the tax on ordinary people broke quite quickly. So I want to give the Council of State the opportunity to be clear here: will she guarantee, when this measure is in place, that everyone who wants and can work has a job? That must be the point of a guarantee.
ParlaMint-NO_2021-12-08.ana.ud311e804	The Tax Charge for the Workers' Party is held by the Government. Saying something else is directly wrong. If it is the case that the representative Stokkebø is concerned about something, it is optional for him whether he will continue to worry about the activity reform of young people with job guarantees. But I can assure the representative Stokkebø that we will work systematically and thoroughly to ensure that there will be a reform both for the recipients, for Nav and for the municipalities. The representative Stakkebø refers to research. So it was research that I referred to when I took up the results that the social welfare activity obligation has had. When it comes to Nav’s youth effort, I will give the representative Stokkebø the right to have an evaluation from Fafo show that the effort has had a significant positive impact on the likelihood of young Nav users taking formal education, but unfortunately the evaluation shows no corresponding effect on the transition to work. And it must be important that we encourage young people to get into work.
