ParlaMint-NO_2021-06-14.ana.ud492e551	The representative Per Espen Stoknes will present a proposal for a representative.
ParlaMint-NO_2021-06-14.ana.ud492e1823	The President asks the representative, Mr Nävra, to remember that he will also address the President in the change of line. Now he has escaped for three rounds – so here, but no longer.
ParlaMint-NO_2021-06-14.ana.ud492e1828	SV is happy in the railway, we know that, and it is also the representative Nävra. They say that they will maintain the requirement for dual-track intercity, both internal and external, and it will continue to be put on the railway during this NTP period. What is the level of ambition for the development of intercity, and when should this be in place? I might be a little bit concrete on one of the distances. When should there be opportunities for two trains per hour from Lillehammer? When shall it be possible to have double-track parcels in place? And how much money is SV willing to put in the pot to get to this ambition?
ParlaMint-NO_2021-06-14.ana.ud492e1835	I thank you for this question too, which goes straight into my heart. It's now that we're transferring $96 billion. kr to the railway in our alternative arrangement – $96 billion. kr. It helps a good part, and at least there's some honesty in SV, we're trying to find coverage for the means we're transferring. It's a bunch of parties that don't have it on their heads. We'll find cover. 96 B.C.E. kr, i.e. That's 8 billion. kr per year. It helps a lot on the way. We want to maintain the old objective of former NTPs. That is, by the end of the planning period now, we should have outer intercity in place. We also look at other sources of income, because we see that it's expensive to build a railway. But it takes a long time, it's almost eternal values, and it's environmentally very sensible in the long term. So we're looking at the possibility of charging freight, we're also looking at the possibility of a ten for trains, into the big cities, which can finance the railways. For marine SV's large grip in the budget may not be enough.
ParlaMint-NO_2021-06-14.ana.ud492e1842	The cord shift is over.
ParlaMint-NO_2021-06-14.ana.ud492e1847	Next to the pandemic that still hangs, the climate is the greatest challenge of our time. Transport systems globally and nationally can contribute to the reduction of excessive CO 2 emissions. Our obligations in the Paris Agreement must be fulfilled, and therefore we must address the problem areas to a greater extent than we do today. It does not help to say that we should go from car to rail and sea, from aircraft to fast trains: road traffic, rail, the marine sector and air traffic must be electrified. Whether the energy carrier is overhead line, battery or hydrogen, is not obvious, but the future is electrical. We do not reach all of this transport plan, within the next twelve-year period. But the objectives and obligations of the Paris Agreement by 2050 are clear. When even NATO's summit today determines the need for all moving war materials to have the same objective, we realize that it is serious. The left has high goals in the NTP, and we really need to thank our government partners Right and Christian People's Party for a good process, good dialogues and transfer of competences, and not least for our clear priorities. Today, portfolio management, outsourcing, role-sharing, and not least the results to be measured, are very important. For example, we have to. know that the zero growth target for urban cars works by measuring the number of cars on the road or by interviewing citizens about their transport patterns. If we don't meet the targets, we have to put in action. It's as simple as we have to have both whip and carrot. The medium-sized cities came out of this NTP very well. The left and government have gone in to help more cities than before. More public transport and more pedestrian and cycle routes are important for medium-sized cities, and the range of urban growth agreements increases the investment in medium-sized cities. The goal is better cities with green, climate-friendly growth. The new agreements are good news for Kristiansand, for Fredrikstad and Sarpsborg, for Grenland, for Tromsø and for the Drammen area. In addition, a new grant scheme shall allocate 600 million. SEK over four years for such projects in Bodø, Ålesund, Haugesund, Arendal/Grimstad and Vestfoldbyen, i.e. Tønsberg, Sandefjord and Larvik. The agreements with the metropolitan cities of Oslo, Bergen, Trondheim and Stavanger are still very much under way. For example, there will be a lot of money for urban railway construction in Bergen and T-Bahn construction in Oslo. The government presented a good transport plan on 19 March. The plan has become even better after we have dealt with it in Stortinget. In particular, there is one area that needed a clearer priority, and it was industrial traffic – heavy goods vehicles. A dead road in Troms, in the Lavang valley, should have its middle parts. We have a drop-down bridge in the Drammen that serves the port area and not least the area where all the electric cars come in. The stryne mountain has bad tunnels and racial areas and is frequented by fifty-ton freight cars throughout the day and the whole year. In addition, we want to give priority to the bypass outside of Bergen, which today has endless queues, and a derailment of E14 from E6 that goes through Tøndelag. The E14 from Stjørdal to the Swedish border is in poor condition and has been exposed to many road accidents. In addition, it is important that we get ahead of freight terminal development in Trondheim with a new uniform solution to the Heggstadmoen, and that we get a timber terminal on Kongswinger. A number of such nutritional measures need to be put in place. There is still more than 1000 km of highway that does not have a yellow middle stripe in Norway, because the road width is too narrow. Such a stretch is in Rogaland on E134 between Bakka and Solheim. That is why we have now given priority to this road section, so that heavy goods vehicles will have a forward-looking solution.
ParlaMint-NO_2021-06-14.ana.ud492e1867	It's going to be line change.
ParlaMint-NO_2021-06-14.ana.ud492e1872	The left is a champion of the railway reform. In recent weeks we have been able to read in the media about great dissatisfaction and bad experiences for customers, and employees who experience that their environment of competence is being powdered. Skilled staff in operation and maintenance have been terminated. Those who are left have less influence on their working day, unclear orders and no one who takes responsibility for the whole and the practical tasks. One is more concerned with writing hours and deviations than with solving problems, they say. What does the representative say to the desperate staff who experience that their competence is no longer desired?
ParlaMint-NO_2021-06-14.ana.ud492e1879	It is clear that passengers have had a fantastic development in the railway sector. There's a lot more people who spend it, 62 million in 2012 and now more than 80 million. The ambition of the left is that we're going to reach 100 million pretty soon. It's really obvious that we, for example, on the Trunder Railway, which will receive half-hourly departures, may increase from 1.5 million passengers today to 3 million. Then it's defining the responsibilities of these different companies. Once again, train tickets are being sold all over the country. And Bane NOR makes it easier for operators to run properly. In addition, Norwegian trains are purchasers of the train sets.
ParlaMint-NO_2021-06-14.ana.ud492e1886	I do not experience an answer to what the Left would say to the employees of the railway and the situation for them. But we can agree that it is desirable for the number of travellers to increase, perhaps especially in the Trondelag, for our part. Two trains per hour are signed in the urban growth agreement. Both the Mid-Norway and SJ Railway Forums say that they do not keep the 14 new train sets that have been ordered. They either want the old diesel trains to continue running, or they want new ones to be ordered, and we know that it will take five years from us to order new trains until they are ready for operation on the railway. My question is: what do the Left think we should do to ensure that the urban growth agreement with two trains per hour is complied with?
ParlaMint-NO_2021-06-14.ana.ud492e1895	I think we're going to be able to keep those promises. What delights me is that these train sets are to be launched in Trøndelag now in June. They're coming now, and it's going to be amazing, instead of the old sets. They are twice as big and have much more comfort. Of course, we have to deal with Melhus – Stjørdal, which is the first half-hour target. It's the government and the government's great ambition to do this. And then, of course, we're going all the way to Steinkjer with a half-hour frequency. I believe the potential of this route is very great, and the new train sets can certainly be supplemented. For example, the Meråkerbahn must: electrified, so that there is electric train running.
ParlaMint-NO_2021-06-14.ana.ud492e1901	Just a few hours ago, Gunnes and Elvestuen and I were on the outside talking to the action group and the people who live on Manglerud, who are concerned that you have to put the Mangle OUT Tunnel in place. There, the left said they were very good for the Manglerut Tunnel. That's why I want to challenge now. Will the Left support what is contained as a separate proposal being voted on, namely: ‘The Government requests priority to the E6 Oslo East project for the first six-year period, given local commitment to the project after 2023.’ So that means if there's a change in Oslo -- we have another proposal, which is a little clearer and clearer. But if you're going to mean something about what you stood out here and just said a few hours ago to the people who stand there and are concerned about noise and local pollution, which I think the Left is concerned about, are you going to support that proposal now and make sure they don't have to wait for decades before you do anything? Because there is a majority in the Great Britain to implement if the Left and the other government parties will.
ParlaMint-NO_2021-06-14.ana.ud492e1911	I've been working on urban environmental agreements. In Trondheim, it was clear that it was actually the city's politicians, the locals, who took the initiative to get both road construction and new collective action. It must be a local anchoring if this is to be a really good project, and that is what is missing. The left is not in the City Council in Oslo, but we have a clear wish all the time. In two years' time, there will be elections again, and we want Oslo to really go into this Mangleut tunnel. But we are not going to vote in favour of the proposal by the Progress Party now. We are going to vote in full for our proposal, which is a good and priority proposal.
ParlaMint-NO_2021-06-14.ana.ud492e1916	A lot of money is being spent on improving public transport in the largest cities. There is a lot of money being put into urban growth agreements. The projects have a high degree of implementation, and that's good, and the government, with the Left in the head, is willing to spend even more money with an increasing government funding share. The centre party believes it is important to ensure better public transport throughout the country. The centre party therefore wants several so-called urban regions to benefit from the money used for public transport/urban growth agreements. In concrete terms, in the NTP, we mentioned Mjøsbyen and Inherredsbyen as possible urban regions that should be able to make changes in this money. We're actually just writing that note. Why will the Left not support such initiatives?
ParlaMint-NO_2021-06-14.ana.ud492e1923	I have also seen that there has been a great deal of interest in urban agreements both in Mjøsbyen and in Inherred. Then I have received a letter from the county food rapporteur in Trøndelag. He's from the Center Party. He says, yes, we also want that kind of money, but we don't want to impose tolls – we're against that. The left has faith that there are a lot of different projects that lead us to meet the zero growth targets. One of them is actually that we have traffic control measures with tolls, both to finance and to reduce traffic in the urban area, because it must be the whole purpose, that we also reach the zero growth target. You make a commitment. It's whip and carrot.
ParlaMint-NO_2021-06-14.ana.ud492e1928	The electrification of the Trønderbanen was a very important matter in the 2017 election campaign. And President, it's probably more than the undersigned and the president who's lost the number of soft cakes Gunnes' representative has eaten to celebrate that now there's going to be electrification on the Thrønderban. The intention was to electrify the Trønderbanen all the way from Trondheim to Steinkjer and up to Storlien. Now it is possible to electrify only until Stjørdal and up to Storlien, but not to Steinkjer. There shall be bimodal trains running on diesel the rest of the stretch to Steinkjer. My question to Gunnes' representative is: why has the Left given up the fight for full electrification of the entire Trønderbanen?
ParlaMint-NO_2021-06-14.ana.ud492e1933	I guess it's happened more on the Thrønderbahn in the last four years than the 40 years before that. Let's do it a little bit and divide it. The meråker track up to Storlien is now electrified. It was a priority in the agreements that have been made with Swedish actors as well. Then you found out that there are actually bimodal trains, so you can run something electrical and something with diesel for the time being, but you can replace them with a battery pack, so that you get electric all the way. It's very expensive, perhaps too expensive in relation to the option, which is now bringing the energy carrier on the train and exploiting it instead of hanging overhead lines everywhere.
ParlaMint-NO_2021-06-14.ana.ud492e1938	That's the line change.
ParlaMint-NO_2021-06-14.ana.ud492e1943	The transport plan we are debating today is an ambitious plan, yet realistic and well adapted to the needs we have in the transport sector over the next twelve years. We're facilitating increased mobility, but we're going to do it in a safe, environmentally friendly and efficient way. This is a plan with a clear rural profile that looks at the whole of Norway’s needs and that, within the economic framework we are building, helps to solve people’s transport challenges. We approach the climate targets and take another long step towards approaching the zero-killed and hard-damaged vision in traffic. We promised an ambitious and realistic transport plan. It is such a plan that we have delivered. The Christian People's Party has been a proponent of putting in place Barna's transport plan. It became part of the NTP for the first time in 2017. This time it's in place with dedicated funds of 500 million. kr in the first six-year period, which shall benefit children and young people in particular. Yes, so important is Barna’s transport plan in the NTP that the front page is decorated with important transport challenges with children’s eyes. Safe school roads are central to the establishment of heart zones around schools, which invite more bikes and walks safely. Strengthening traffic training is necessary from an early age in order to create healthy attitudes and safe traffic behaviour from childhood onwards. We want to play on teams with Safe Traffic and other actors that have an important role in the work on road safety campaigns and various training tools to approach the zero vision target. The Christian People's Party and the government have high ambitions for road safety. The zero vision, where no one is killed or seriously injured in traffic, when we do not without a significant commitment to road safety work. Fortunately, developments are going the right way, and we are offensively focusing on different measures to halve the number of deaths by 2030, with zero deaths by 2050. We are pleased that our county roads have for the first time entered the NTP with a completely new grant scheme. The increased investment shall contribute to the reduction of delays and, in addition to the ordinary resources, the county authorities themselves use on their own roads. The grant is distributed through an ear-marked system according to the size of the maintenance seat suspension. The counties themselves prioritise their needs on the basis of two main criteria: enlargement of housing and labour market regions and important economic pathways. Our county road network is a very important part of the transport system. With a total of 45 000 km, the county roads are important for people and jobs, not least in the districts. So it's very happy, and historically, that we've got a huge investment on county roads in this NTP with a new 18 billion. kr. It is indisputable that New Veger has been a great success. Although not all parties will realize this, the company has achieved an average of 19 pst. cost reduction in their projects. It means a little bit more for the money. The result has been so good that Nye Weier is now also able to try to develop the railway. The Ringerix Railway/E16 will be an important joint road and runway project, because we have reason to believe that it can be an offensive and efficient development. With the extended New Roads framework now being extended until 2041, we are contributing to a strong commitment to more coherent and efficient road development. Several urban areas face challenges with poor accessibility, air pollution and noise. The zero growth target for passenger transport is a well-established target in the major urban areas. Urban growth agreements continue with the aim of reducing greenhouse gas emissions, reducing queues and increasing the share of collective travellers, cycling and walking. This ambitious effort is now being extended from the four largest cities to the five second largest: Kristiansand, Buskerudbyen, Grenland, Lower Glomma and Tromsø. The State contributes reward funds to local actions and the operation of local public transport and small investments in collective, bicycle and gangways. It is a good and proper step in the right direction when urban growth agreements are extended to the second largest urban areas, which obliges both municipalities, counties and the state to facilitate the achievement of the long-term objectives. Also smaller urban areas are included in a new grant scheme: Bodø, Ålesund, Haugesund, Arendal, Grimstad and Vestfoldbyen. The grant should also contribute here to the promotion of public transport, bicycles and corridors. Otherwise, I refer you to the rapporteur's good review.
ParlaMint-NO_2021-06-14.ana.ud492e1966	It's going to be line change.
ParlaMint-NO_2021-06-14.ana.ud492e1971	In the Workers' Party, we are also very concerned in the NTP with combating social dumping and the unemployment society. The Christian People's Party often talks about families having freedom of choice in order to have a good family life. Working only when it is work to get, without regulated working hours, is called unemployable work. Does the representative of the Countess think that the dissolved Christian People's Party in government has contributed to the taxi industry, giving families the freedom of choice they hold so high?
ParlaMint-NO_2021-06-14.ana.ud492e1976	That was how ESA, in the last growing-up period, raised a case against Norway for our way of organising the taxi transport. We are concerned that we should have a taxi offer and a taxi market that should be a business path for those who run in the industry, that is important, but we also need to have a good offer for everyone, no matter which municipality you live in. That's why we've changed something about the permission requirement. However, the requirements for drivers remain important. We believe that we both have a system that benefits the districts, we have a more customer-friendly system, and we have also given the county councils the opportunity to grant exclusive rights in municipalities where there is no basis in the market for a satisfactory offer, nor for doing a good business.
ParlaMint-NO_2021-06-14.ana.ud492e1984	That was an answer, but it was an answer in which this representative and the Labour Party deeply disagree. ‘Taxi – everywhere, always’ is the pilot’s slogan. It can actually now be over, and who knows what kind of consequences this can have. The driving obligation has now been removed with new taxi legislation. Preparedness is important, and for the Workers' Party it is also important that individuals can feel safe. In the event of an assault, or when someone feels threatened, it is important that there is someone to help one away from the threat or to assist by calling for assistance from the police, fire services or ambulance. An app does not see that. How does the Christian People's Party perceive that this should be carried out on the emergency side at a time of day as it is not a shop to be on the road because it is not a customer?
ParlaMint-NO_2021-06-14.ana.ud492e1989	With the requirements we make for driving tickets in order to operate a taxi, and for the drivers to drive the taxi, we do not see that we have made any changes in this area that would ensure that safety and safety are not maintained in the same way as before. As mentioned, we also have an opportunity in those municipalities that do not have the same good customer base, to use the exclusive right model and to be able to award this. We believe that we have a taxi industry that has a slightly different framework. We believe that this is a framework that takes care of both the customer and the security and security of the business as well as the mechanisms and mechanisms that allow us to adapt this according to the kind of municipality and district in which this industry is run.
ParlaMint-NO_2021-06-14.ana.ud492e1994	A new route from E39 to Spangereid is essential for industrial development and jobs in the region of flax. A new route from E18 to Arendal port is essential for industrial development and jobs in the Arendal region. That's why Agder NHO has promised it as its main concern in the NTP. The municipality, the municipality of Arendal and the municipality of Lindesne have done the same. These are projects of a total of 1 billion. kr as the government, where the Christian People's Party is, has not prioritised. What they've given priority, on the other hand, is 600 million. SEK to a reward scheme for smaller municipalities implementing bombing, inter alia. Arendal. Both the municipality of Grimstad, the municipality of Arendal and the municipality of Tvedestrand have said no to this, no later than 2019. So they don't want bombing or these rewards, but the Christian People's Party has backed it up anyway. My question to the Christian People's Party will then be: Who has chosen you to listen to when you have chosen to prioritise 600 million. kr in rewards for the Arendal region, which do not want them, rather than giving priority to important food routes that the whole region wants?
ParlaMint-NO_2021-06-14.ana.ud492e2001	With regard to the economic pathways that the representative mentions, these are important road projects that we hope and believe can be realised. But it is the Wee owner who is responsible for realising these, in this case the county. Just as they are responsible for higher education, they must also take responsibility for financing road sections. In this NTP — as opposed to former NTPs — the State has actually entered and opted to grant additional grants to the county municipalities. 18 B.C.E. kr has been added to the table over a 12-year period, which will also be a contribution the counties can make to priority sections which are important economic pathways. Of course, in terms of the funds now given to the smaller urban areas, it is up to the individual urban regions to decide whether they want to use them. We feel that this is a call from large parts of the country to get funds to strengthen public transport and bring down greenhouse gas emissions, and then it is up to the urban areas to decide whether they will use them.
ParlaMint-NO_2021-06-14.ana.ud492e2008	The Christian People's Party and Councillor Hareide took over a transport sector with large costs. The government's reforms have led to a massive cost development on the road, but especially on the railways. I'm going to say that Stortinget has been set up a checkmate. Even SV is worried, even if they can add 90 billion. kr extra in relation to this NTP. The government has also set checkmate. We see that when we describe how railway development is going to be. At the latest, before the treatment of NTP, we had another blow on our face, in the form of 10 billion. kr in exceedances on the Eastfold Railway. Will the Christian People's Party support the proposal of the Centre Party for clearer responsibilities in the railway sector, so that we can get control of costs?
ParlaMint-NO_2021-06-14.ana.ud492e2015	First, I would like to stress my concern – which I fully share with the Permanentraune representative – about the significant cost figures we have received on the railways. It was a great surprise and a great disappointment that it happened, especially in the Eastfold area. I am aware that the government and the Council of State have now taken important steps to strengthen control, with better procedures and more quality assurance, so that one can get better planning and thus also better implementation of important railway projects in the future. We believe that the clearance made in connection with the rail reform was important. It was important to have a clearer division of responsibilities between management and those to be carried out. It was one of the main intentions behind the railway reform. Then things have to take some time – we haven't reached the goal yet, but we're on the right track.
ParlaMint-NO_2021-06-14.ana.ud492e2020	I think of the Christian People's Party as a party that in several contexts – at least verbally and in its programme – has good environmental thoughts. It's a party to talk to, at least outside the government, about environmental issues. The representative Countess has certainly noticed the road construction that is taking place on both sides of Kristiansand, both E18 southward and E39 westward, towards Stavanger. My question is whether the representative Gruvan is left with a little bad feeling when he sees what is happening, for example. on the E39 between Kristiansand and Stavanger – if he has driven that stretch recently – with the areas that go with the huge expansions. Could he imagine a more sobering expansion of our roads to two and three fields? I am absolutely sure that the representative Gruvan also knows about Dørdal–Tvedestrand, which I use as a scare example.
ParlaMint-NO_2021-06-14.ana.ud492e2025	I must probably disappoint Nävra by saying that I do not share his concern about, for example. E39 westward towards Stavanger, as he mentioned. I've lived along that road for enough years. This is actually one of the worst death routes we have in Norway, and I would like to stress the importance of better roads to improve road safety. That's where I think Nävra and I agree; we share that vision. Then one has to take important steps that are not good for just the next five to ten years. These are two regions that are increasingly linked as housing and labour market regions, and then we need to build roads that withstand growth and development for the next 10, 20, 30 and 50 years. That's why I think it's important that we now think in the long term, that we don't waste the money and make partial solutions that are going to be good for a few years, and then we have to start again. I think we need to think in the long term.
ParlaMint-NO_2021-06-14.ana.ud492e2030	The cord shift is over.
ParlaMint-NO_2021-06-14.ana.ud492e2035	The Green Party is presenting today its proposal for a green national transport plan, a ‘GreenNTP’, together with proposals for representatives on safe and child-friendly transport and clean air for cities and towns. Together with these proposals, we draw a very concrete picture of what Norwegian transport policy might look like if we were serious about halving emissions from the transport sector by 2030, and if we had taken on board that we have no more nature to destroy again – something that the setting does not do. In our alternative «GreenNTP» we begin with a chapter we have called «From word to action», for action is precisely both our children and grandchildren and poor people around the world demand in these times – action that requires willingness to give priority to genuine green mobility. Unlike some other parties' seemingly homeless car cultivation, we have re-prioritized within the same overall framework as the government has presented, but saves money compared to it. With our priorities, it's about spending money on much smarter, collective and climate-friendly transport solutions rather than just new motorways, because less road means more to public transport, road safety, bicycles and corridors. You don't have to go in the luxury trap to the Progress Party or to the drunken party, as the representative Nävra called it, to build modern infrastructure throughout the country. We just have to dry to re-prioritize. Some say that by saying no to the very largest road projects, we say no to safer roads, industrial development in districts and environmental improvements in cities. It's completely wrong, of course. On the contrary, that's precisely why we say no to these major road projects, because there are cheaper alternatives that cut emissions much faster and that make everyday life in cities simpler and, not least, safer – alternatives based on evidence-based knowledge. We know that motorways are many times more expensive than targeted road safety measures, such as lower speeds, middle parts, two- and three-field roads, the aim of which is to save as much life as possible in traffic. We also know that several motorways provide increased traffic to cities and greater pressures on urban living conditions, and that it undermines the enormous effort that has been made around the country to allow more people to travel collectively, walk or cycle. We also know that the biggest loser here is nature and climate. Some of the government's wildest road projects represent some of the largest and most dramatic interventions in Norwegian nature in modern times. The government's performance project Hordfast will burst through the archipelago of Os and the coastal rain forest of Tysnes. E6 will crush irreplaceable wetlands on Ringerijke, and the E6 motorway asphalts the Lowendella nature reserve at Lillehammer. We are many who are appalled by these interventions, which are also caused by new wind turbines in vulnerable rural areas, but is it not also time for us to look more critically at the irreparable damage that this government has both caused to Norwegian nature and to apply Norwegian nature over years with massive motorway expansion? The Greens believe that transport policy must be based on evidence-based knowledge and that we must act accordingly. The government has chosen to provide a transport plan that ignores well-documented negative effects of increasing road construction. Nor does the government seem to have taken on board the fact that the world is in the midst of a transport technological revolution – a development that allows massive investment in motorways to turn out to be quite wasted within a few years. At the same time, the government has failed to provide fully basic knowledge of the amount of greenhouse gas emissions that will result from the national transport plan. Nor does anyone know how much nature to cover the asphalt in the next 12 years. These are profoundly serious shortcomings in one of our main investment plans for the future. I would therefore like to end by thanking SV for promoting several of our proposals from the representative proposal, and I hope that several parties will join. The Green Party believes that «National motorway plan» must be sent back to the government and that NTP must be turned on its head. It is a transport plan which in 2021 is based on the transport planning of the past. This cannot be known by the Storting. With that, I will address the Greens' proposals to the Environment Party.
ParlaMint-NO_2021-06-14.ana.ud492e2056	The representative Per Espen Stoknes has taken up the suggestions he referred to. It's going to be line change.
ParlaMint-NO_2021-06-14.ana.ud492e2064	I have read with interest the proposals from the Green Party to the National Transport Plan, over 100 pieces. A good piece of work is behind it. The Greens often say that one should cut out large road projects in cities and densely built districts. I think it is a little surprising for people that the Greens also propose to cut road construction in the districts. It seems like one is very skeptical about the E10 expansion in Lofoten, and one actually wants to scrape the E6 expansion through Sørfold in Northernland. I hope the Environment Party of the Greens has driven this road. There is a very poor standard road that absolutely needs an upgrade. The fact that the Green Party is proposing that this road be paved might be interesting to get a more detailed explanation of, so that's just my question to Stoknes.
ParlaMint-NO_2021-06-14.ana.ud492e2071	The representative here reiterates the view that we should invest less on safe roads in the districts. Luckily, that's completely wrong. We're increasing by 11 billion. in addition to that proposed by the government of the NTP, to provide additional guarantees for the county roads. We're putting more money into racial and anti-slip protection than they have done, we're going to rebuild the highways in the big cities, and we're going for a natural-neutral and fossil-free expansion of new roads, combined with at least 10,000 high-speed trucks along the roads across the country, by 2025. This together provides a strong strengthening of road standards in the districts.
ParlaMint-NO_2021-06-14.ana.ud492e2076	Now my question was E6 through Sørfold, the project called E6 Megården-Mørsvikbotn. It wisely proposes that the Green Party should scrape – it says in one of the proposals. What may surprise you more is that the Green Party is proposing to stop one of the really big railway extensions, namely the Ringeriks Railway – Ringeriksbahnen, which can connect Hönefoss, Ringerikes, Hallingdal and so far the whole Bergensbanen faster to Oslo, and where we really have the opportunity to get more people to travel collectively into and out of the capital region. I now understand that the Green Party, if we are to take the proposals literally, will have a rematch on the trasé elections for the Ringerix Railway. My question is simply: how many years is the delay in the construction of the Ringeriksbanen, does the representative think we need to calculate if the Greens' proposals were to be adopted?
ParlaMint-NO_2021-06-14.ana.ud492e2083	I thank you for the question and stress that we are going for a strong commitment on the railway, for example. on intercity, with 20 billion. kr more to new train tunnel under Oslo and better punctuality to outer intercity. It will then be especially for Fredrikstad, Hamar and Porsgrund. We also go too much better punctuality and departures in the entire outer intercity area, with 41 billion. kr to new double tracks – instead of more motorways into Stavanger, Bergen, Trondheim – on Jærbanen, Vossebanen and Trønderbanen. And then we have 7 billion. kr in State aid for new high-speed trains in the direction of Stockholm and Gothenburg from Oslo. I mention this because we have a plan that is comprehensive and looks at the whole railway system as a whole, while the representative has dug himself into a single proposal, detached from the big picture, which is our core in «GreenNTP».
ParlaMint-NO_2021-06-14.ana.ud492e2088	For me, the proposal by the Greens seems quite wild. I hear the argument, and it's good to build up intercity between Lillehammer, Porsgrund and Halden, but the Green Party is proposing, among other things. to stop and scrape the project E134 Saggrenda-Elgsjö. There's not much going on by rail, and there you drive from a highway and right on a bridge, which means you have to get down to 40 km/h from a really good highway. It's not just in the urban areas that the Green Party is going to cut out the road; it's actually raging the districts and making it even worse for people who live around the country. The Green Party actually has some votes in some of these places. I can't see it after this, so I'm glad we now know what the Green Party wants. I hope they're at least going to get votes in Telemark when people see what rage they want on the way, which means a lot to people all over Telemark.
ParlaMint-NO_2021-06-14.ana.ud492e2095	So, as I said instead, we're increasing our investment on safer roads and taking better care of the roads we have. We want to spend 423 billion. NOK in order to take better care of the roads, including SEK 11 billion. more to the county roads. That's why we cut and scale down 36 of the big ones – what to say – the wild-way projects that the Progress Party is trying to sell in as best they can. So we can re-prioritize 170 billion. kr for much more environmentally friendly transport and collective efforts. Because we're reducing the number of large road projects, tolls are also cut, which the Progress Party would like to increase, plus a total of 62 billion. kr. It is a halve of the government's proposals. Let's say 2 billion. for the introduction of climate-friendly and nature-neutral development, so that all new development projects become environmentally friendly.
ParlaMint-NO_2021-06-14.ana.ud492e2106	The President wants to inform us that she has registered that there are now intrusions, but the President has approved a number of lines, so now we are running the scheme that has been approved by me.
ParlaMint-NO_2021-06-14.ana.ud492e2111	For the Central Party, it is important to invest heavily in the railway sector. This is certainly the case for the Greens too. Now, the representative Myrli smeared a little bit away at the Ringerix Railway, and I assume that such issues will also arise when you are going to expand more railway and perhaps railway outside the inner and outer intercity circle. You have clearly outlined the attitudes you have toward motorways. Then my question after listening to the line change here is: What are the priorities of the Green Party for promoting the railways outside the big cities, outside the intercity areas?
ParlaMint-NO_2021-06-14.ana.ud492e2118	As I was going to say, we're going to increase by 174 billion. kr more for the railway. So we have a total of 567 billion. kr, i.e. half the NTP for trains. In this it is quite right, as the representative has captured, that we give particular priority to the intercity deployment and connection of Norway to Stockholm and Gothenburg. We're going to build the North Norwegian Railway, and it's 30 billion. kr to get started there. In addition, we're going to cut the travel time by 1.5 hours from Oslo to Bergen, Trondheim and Stavanger, and we're going to make 18 billion. kr to connect the Southern Railway to the Westfold Railway. How the Center Party makes this a section of the railroad in the districts, to me, is a mystery.
ParlaMint-NO_2021-06-14.ana.ud492e2123	It goes a little bit on the same track, it's clear, when the Green Party goes out and announces 36 road projects that they don't want, and says they're going to scrap them for the benefit of rail development. The left is really the railway party. We have a great desire for the railway to develop, but it cannot be anywhere. We have heard several examples from replicators now that it is difficult to get a better living and working environment on, for example. The West. There's no railway there, and I don't think the Green Party is going to start building completely new railway lines everywhere, even though the Genist calculator is a nice arrangement. Is it, then, that the Green Party does not at all assess whether there are any of these 36 ways that are really needed, for example. for commercial traffic?
ParlaMint-NO_2021-06-14.ana.ud492e2137	The main concept of the Green Party is that we see how we can achieve an efficient transport system without increasing motorway and car capacity. When we move investment from the major road projects, which are very toll-intensive, to collective investment, which includes rail, but also bus, and electrification of the existing road sections that are not available with charging stations, etc., you get a lot more security, because we give priority to race safety, maintenance and road safety along all national and county roads instead of spending billions of billions on building new roads. For example, we remove. VAT also applies to public transport. We cut the prices of public transport by 20 pst. and uses 1 billion. kr on a bus package for the districts, for several express buses and more flexible bus solutions. In this way, we believe that we do not need the massive motorway construction that NTP adds to.
ParlaMint-NO_2021-06-14.ana.ud492e2144	The cord shift is over.
