ParlaMint-NO_2021-10-27.ana.ud17e28	The representative, Mr Bård Hoksrud, will put forward a proposal for a representative.
ParlaMint-NO_2021-10-27.ana.ud17e680	If this is necessary in order to clarify Norway’s policy regarding the Korona, there is something the Prime Minister will consider, but I do not feel that there is an uncertainty about it. I feel that this is ongoing information from the health authorities. We also need to shift to a more normal level of information activities. The government is not required to have one to two press conferences a week when the picture is as it is today. We're in a normal situation of increased preparedness, and it's about repeating and stressing what that means. That means that the front line is still the municipalities. We have to follow up the municipalities and make sure they have resources and that they have follow-up, and of course be vigilant if measures are needed that go beyond that. We will ensure that the population is kept informed, we will have occasion to do so tomorrow when the Minister of Health will have his press conference with the Institute of Public Health and the Directorate of Health, and of course also the Stortinget.
ParlaMint-NO_2021-10-27.ana.ud17e687	There will be follow-up questions – first Tone Wilhelmsen Trøen.
ParlaMint-NO_2021-10-27.ana.ud17e692	The priority of the previous government was to put children and young people first when action needs to be taken, secure jobs and then take care of the rest of society. It is important for the Storting to know what priority the new government is doing. We are all concerned that the measures taken so far have been to reduce the risk of infection and to protect as much as possible the situation of children and young people. As I said, the first priority of the Solberg government was to care for children and young people all the way. Will it still be this way for the Prime Minister's government? How will the government ensure that children and young people get the most presence at school, as we know is extremely important for children?
ParlaMint-NO_2021-10-27.ana.ud17e699	This was not the priority of the government of Solberg alone. Children and young people first we've been busy all along. And we've called for more measures in the period of the pandemic. Of course, children and young people and jobs have been important. I am now concerned that those who are particularly vulnerable, those who have underlying diseases, and who experience that the vaccine may not provide the coverage it will provide, now get an offer for a third dose, and that they get a follow-up. There is a group of people in our country who carried a very heavy burden through the pandemic because they had lost services and offered the time it was shut-down and they did not get follow-up and help. There is also a part in the field of mental health that comes vulnerable out of the pandemic, which we will also follow up and focus on in the future. When it comes to children and young people going to school, and the schools are prepared: I think the schools have delivered impressively under the demanding circumstances that have existed, and of course we will follow them up in particular.
ParlaMint-NO_2021-10-27.ana.ud17e708	Tone Wilhelmsen Trøen – for follow-up questions.
ParlaMint-NO_2021-10-27.ana.ud17e713	The Prime Minister now mentioned the possibility of a third vaccination. I mentioned it in my main question, and the Prime Minister also confirmed the challenge that we still have a lot of unvaccinated people. What's the government's plan to speed up the vaccination again?
ParlaMint-NO_2021-10-27.ana.ud17e719	It's voluntary vaccination, and I think that's the right line. It has great consequences not to have it. As we learn more about who is not vaccinated, we need to have a good press for information directed at those groups. We are now beginning to know some of the characteristics of the unvaccinated part of the population. What is needed to achieve them may be linked to culture, language and accessibility in the context of health care. Then the strategy is general information: the vaccine protects, the vaccine allows for opening up society and making it available to people in the life situation they are in.
ParlaMint-NO_2021-10-27.ana.ud17e724	The oral question procedure is over.
ParlaMint-NO_2021-10-27.ana.ud17e738	There will be some changes to the questionnaire, and the President will refer to the electronic question list in this section. The changes were as follows: Question 12, from the representative Mathilde Tybring-Gjedde to the Minister for Climate and Environment, has been transferred to the Minister for Finance who is directing him. The question was, at the request of the Minister of Finance, moved and answered in response to question 2, to be answered by the same Council of State. Question 13, from the representative Turid Kristensen to the Minister for Children and Family Affairs, has been transferred to the Minister for Culture and Gender Equality who is directing him. The question is, at the request of the Minister for Culture and Gender Equality, moved and answered before question 26, to be answered by the same Council of State. Question 27, from the representative Heidi Nordby Lunde to the Minister for Industry, has been withdrawn.
ParlaMint-NO_2021-10-27.ana.ud17e754	‘The Solberg Government has launched important government digitisation projects, such as in the tax haven. Common solutions help to make everyday life easier and safer for citizens and businesses. The advisory industry represents an important point of reference in several digitisation projects, but in the Hurdal platform, the government will ‘Kutte in Consultant Use in the State by developing its own competences’. How will digitisation projects under the Ministry of Finance continue without the use of private sector advisors with the right top competence?’
ParlaMint-NO_2021-10-27.ana.ud17e761	I think I want to take that freedom and say that here I think the representative of Hofstad Helleland – consciously or unconsciously – misunderstands what the government has said. What we're concerned about is cutting public spending on PR consultants and public relations agencies. We want the cost down. It's true that we also want to reduce the general use of consultants in the state. We want public money to be used as efficiently as possible, but we should of course be able to use external competence for digitisation or other types of public sector projects. The government's starting point is that we're going to reverse the trend that the state is spending more and more money on expensive consultants. We'll bet on building our own management capabilities and competences. We think we need to be careful about how we spend taxpayers' money. Different public enterprises cannot have peak competence in all areas, and therefore it is natural that one in, for example, digitisation projects hire skills and use consultants, and also do so in the tax system in a way that enables one to gain more knowledge of his own establishment. That's what the new government is going to do – how do we build our own skills, how do we get costs down, and how do we make public migration work? Of course, we're going to rent help when we need it, but over time we're going to bring down the costs of using external consultants. The government is crystal clear that when it comes to purchasing PR services, we believe that there are services to be purchased to the minimum possible. You have to stop buying clean communications services over time. That's the government's clear goal. The reason for this is respect for the fact that all the money we manage in the public sector has been paid in by Norwegian taxpayers. Therefore, they must be used efficiently and efficiently. We're going to use consultants, but of course it has to be done with the least possible cost for the community. We have specifically pointed to PR and communication consultancy; there we want to tighten strongly.
ParlaMint-NO_2021-10-27.ana.ud17e778	I don't think we need to spend so much time on the use of PR consultants, because I think all the political parties on the Stortinget agree that it's nice to reduce and limit it. But there are completely new signals from the Minister of Finance today when he says that the government will hire help when you need it. It's quite different from what the Hurdal platform says, because it says that you have to cut the use of consultants and build up your own skills. We're talking about an industry with over 100,000 employees. 60 pst. Of them, working in District Norway, outside Oslo. They're wearing their helmets. How many profitable jobs in the private sector does the Minister of Finance estimate will be cut off because the government will prevent state agencies from taking advantage of this top competence?
ParlaMint-NO_2021-10-27.ana.ud17e785	We haven't said that we're going to prevent government or the state from using top skills when you need it. But the Center Party and the Workers' Party believe that it is wise to spend public money as efficiently as possible. We want, for example: prioritizing that people who earn less than DKK 750000 will receive less taxes and taxes. Ergo we have to see how we can spend public money more efficiently, and then one of the ways we want to go into it, is to look at the use of consulting services, because it's expensive. I mean to remember that it was used 12 billion. kr to consultants in the state for the last year as the representative Linda Hofstad Helleland was the Council of State. Of course, we have to see if we can save money there. According to an official response from Jan Tore Sanner, when he was Minister of Finance, the state spent over 600 million dollars. kr on organisational advice and public relations advice. Then we start cutting, and we're already in the budget in the autumn to make it clear that we want to tighten up, for example. The purchase of organisational advice and PR counselling, because we believe that one should use that money in a different and better way.
ParlaMint-NO_2021-10-27.ana.ud17e790	I think it's very confusing for Stortinget when there's so much distance between what's on the platform and what the finance minister says here. Now the Minister of Finance says that the government will use services and help when you need it, and rent in when you need it. And the platform says that you want to cut the consulting and build up your own expertise in the departments and administration. Here you need a preparation. Can the Minister of Finance respond to whether he has deviated from the wording of the Hurdal platform and the promises given to people throughout the election campaign to cut the use of consultancy services? The Minister of Finance would also like to respond to what the cut in consulting services would mean for increased red tape and more public employees in the government sector.
ParlaMint-NO_2021-10-27.ana.ud17e797	I'm saying exactly what's on the Hurdal platform, that we're going to cut the consulting. That's the government's goal. But cutting the consulting is not the same as cutting all the consulting, and it's not in the Hurdal platform. But we also point out that it's an area we're really going to cut, and that's the purchase of PR services and organisational advice. I notice that the Right is becoming incredibly concerned that we are saying that the State will spend the money more efficiently. That is really the whole purpose of the Hurdal platform – how to use public money more effectively. We want to turn around, for example. the development of the state’s start to purchase more organisational advice and public relations advice. We need to spend public money as efficiently as possible, for example. by resolving many tasks internally. The fact that the Right is concerned that we are going to look at how we can save money on public consulting is going to be Right's concern. The government wants to cut and save money there.
ParlaMint-NO_2021-10-27.ana.ud17e809	‘The new government will introduce a geographically differentiated user charge. How does the Council of State want to design this, in a fair way that also ensures that we achieve our climate objectives?’
ParlaMint-NO_2021-10-27.ana.ud17e816	The user charge is used to obtain money for the community, so that we can build roads and bind Norway together, and to charge for the costs involved in using the roads. What's on the government platform is that we're busy looking at how we can manage to have a traffic system that binds all of Norway together. In some parts of the country it is easier to replace the car with e.g. bus, train, tram or other transport sources, while others do not have that choice. This is why the Hurdal Platform provides a number of measures. The one to be assessed is whether it is possible to differentiate the user charge. We raise it with commuters, air transport where there are challenges with it, ferry where there are challenges with it – we're going to do a lot of action to reduce the distance disadvantages for those who don't have an alternative to the car, who may not be able to take the train. That's what's on the platform. We have now started working on the additional budget for this year. We're going to start by doing some grips there considering what we think is the right way, and then there's going to be a more holistic approach in the coming years.
ParlaMint-NO_2021-10-27.ana.ud17e827	I specifically asked how this cut in the user charge can actually be implemented. I understand very well that the government will now deliver an additional proposition in a few weeks, and that we will have to wait to see the proper content until it comes. But I think – with all due respect – that it does not keep the answer that the Minister of Finance is now giving. I have been through the election campaign in quite a number of debates with party leader Trygve Schlagsvold Vedum where he has talked about tying the whole country together, what Norway we are so happy about. But now I actually expect more – I expect something more concrete about what's going to be one of the most important measures. At the same time, the government says that they should keep the level of taxation unchanged. If it still applies, it means, for example, that the user charge or other charges will be increased for someone, in order for someone else to receive lower charges – because you might have to compensate for it? Does the Minister of Finance have any thoughts about that? Who will get higher fees?
ParlaMint-NO_2021-10-27.ana.ud17e834	The main objective of the government is that for those who are dependent on transport, costs shall not rise. So we have to do it in a way that makes us also get Norwegian greenhouse gas emissions down at the same time. Our criticism of the previous government was that it was not conscious enough of how it created unfortunate distributional effects when, for example, one was. tightened up commuting deductions and made other types of grip, as the Right and Advance Party did when they were in government. Therefore, when we are going to present our supplementary proposal in November, we will of course look at how we can also take action in tax policy to reduce Norwegian greenhouse gas emissions, which at the same time does not make everyday life more difficult for those who depend on cars, those who depend on the ferry, and those who depend on feeding in places where transport is needed. That's what the entrance to this government is. Then we will come up with different measures and different steps in the proposition, when the proposal comes to the Storting.
ParlaMint-NO_2021-10-27.ana.ud17e843	I really think that most of the parties agree that we need to look at how we can avoid unfortunate distributional effects, as the Minister of Finance talks about. But then the question is, why hasn't the Minister of Finance thought a little bit more about how to actually avoid it? He repeats the same thing he repeated in the election campaign, but it is not concrete. So then I can try a different angle of incidence, because I don't get an answer. NAF has launched a map where they refer to how such geographical differentiation might be possible to protect those who use the car the most. However, given that the overall level of taxation and charges should not increase, as the platform writes, it may mean that a single mother in Egersund – who is not one of the municipalities that NAF points to – gets a higher fuel price, while a wealthy family in Sokndal, who is one of the municipalities that is identified as one that can get a lower price, gets it. Is that fair?
ParlaMint-NO_2021-10-27.ana.ud17e850	The representative Tina Bru will note, when the Centre Party and the Workers' Party present their additional proposition, that the distribution profile is significantly better than that presented by the previous government. They then forgot in a lot of the grips how it turned out to be distributive. For those who are dependent on transport and who do not live near their own jobs, you will see how to take action to facilitate their everyday lives. So I don't really think the representative Bru needs to worry so much about the problem she's raising. When she sees the additional propositions coming, she will see that there is a completely different policy, where one actually sees the whole of Norway and has a tax policy that helps those who depend on transport in everyday life.
ParlaMint-NO_2021-10-27.ana.ud17e855	We move on to question 12, from the representative Mathilde Tybring-Gjedde, who has been transferred to the Minister of Finance as the right Council of State.
ParlaMint-NO_2021-10-27.ana.ud17e863	This question, from the representative Mathilde Tybring-Gjedde to the Minister for Climate and Environment, has been transferred to the Minister for Finance, who is directing him.
ParlaMint-NO_2021-10-27.ana.ud17e868	‘In the Climate Plan, the Solberg Government proposed to increase the CO 2 tax to NOK 2000 per tonne of CO 2 in 2030. The CO 2 tax is an effective means of reducing emissions and ensuring that new alternatives to fossil fuels can grow. In the Hurdals platform, the government comes up with proposals to cancel the CO 2 tax with various exceptions, including proposals to reduce fuel taxes. Can the State Council then guarantee that the emission effect of the CO 2 tax will not be reduced?’
ParlaMint-NO_2021-10-27.ana.ud17e890	In the government platform, we have assumed that we should gradually increase the CO 2 tax. It is an important tool in climate policy. We have also announced that we will take a number of other measures to reduce Norwegian greenhouse gas emissions — get a more active industrial policy, make sure that the public sector changes faster, make it easier for you and me to choose environmentally friendly in everyday life. The sum of all climate action that the new government is about to start to present as early as 8 November will show that it is a completely different force and direction, and that one should not only think of punishment and indexation in climate policy, but also how to create more jobs. In terms of charging policy, we are committed to looking at how we can use different charging approaches. One thing is to increase the CO 2 tax, which we have announced, and we can also learn from e.g. what we have done on electric cars in the past, where we also use positive instruments to reduce Norwegian CO 2 emissions. I noticed that it was almost always the negative instrument that was lifted up when the Right and Advance Party ran. We believe it is important to use taxes, but we are also concerned that we should look at how it impacts socially and geographically, how we can achieve better distribution, and that in climate policy we should also create new green jobs, while at the same time having a clear objective that Norway should fulfil its obligations and contribute to the efforts of reducing global greenhouse gas emissions.
ParlaMint-NO_2021-10-27.ana.ud17e908	I hope the finance minister is better at counting money than he is at counting CO 2 emissions, because that's actually where we've come in the climate debate now. There is, of course, no question of setting up good-sounding measures. We have presented a climate plan that specifically sets out what each action will result in of reduced tonnes of CO 2 emissions. The calculation on the Hurdals platform does not go up. You can't increase the target to 55 pst. cut while weakening more climate action. In order to have an impact on the increase in CO 2 tax, which is, moreover, the most important means of achieving migration also in the transport sector, it cannot be reduced for individual actors or sectors. The climate plan says that if you actually compensate for an increase in CO 2 tax by e.g. reduced user charges will cut three million tonnes of CO 2 less than if you did not. Then the question to the Council of State is more specific: when the government is going to cut 55 pst. at the same time as reducing fuel taxes – what concrete new measures in the platform does it cover in tonnes the emission gap?
ParlaMint-NO_2021-10-27.ana.ud17e930	Now it's on the Hurdal platform, and the government is very clear that we're going to use the CO 2 tax. When we are so clear that we are going to have a clear direction for the use of the CO 2 tax, it must be done in a way that does not create too much resistance and uncertainty about how it turns out both socially and geographically. We need to take into account some human considerations – that is what the platform says – taking into account the way Norway is, taking into account different industries, so that there is no intervention that affects very badly socially. The direction and course are clear: the CO 2 fee should gradually escalate up to 2030. Then we say that we should also do many other things in climate policy, and we should have a thought about how to create more industry, more jobs, more value creation in Norway. Then we have to go through the different sectors of transport, agriculture, industry, you and me, all the grips we have to do in sum. We have also announced that, in the context of the State budget, we want to have a more thorough review of how, in addition to achieving the economic objectives, we can achieve the climate policy objectives.
ParlaMint-NO_2021-10-27.ana.ud17e948	The problem with the Minister of Finance is that there are no new measures in the Hurdal platform beyond what was already in the climate plan. You have to have it if you want to increase the target and also hollow out the CO 2 tax. Then you actually have to mention something quite specific like cutting emissions. Take the transport sector: in the climate plan we say that we should cut 50 pst. emissions in the transport sector by 2030. The Hurdal platform only states that emissions should be reduced. I understand that you don't want to figure it out any more, when you at the same time cancel the CO 2 tax. When you cancel the CO 2 fee by e.g. the reduction of fuel taxes does not result in the conversion of heavy goods vehicles. Even hydrogen will not be profitable because you do not have an increased CO 2 tax. Then my question to the Minister of Finance is finally: when so many sectors are now to be exempted from this CO 2 tax, while suddenly reaching 55 pst. cut, it must mean that other sectors will have to pay even more in CO 2 tax. Is Battle Violence Vedum willing to break the climate targets, or is he willing to increase the CO 2 tax over NOK 2000 for selected sectors that can withstand it?
ParlaMint-NO_2021-10-27.ana.ud17e978	We have announced a gradual escalation of the CO 2 tax, it is in the Hurdal platform, and we have announced that it will be done in a way that takes some human interest. I think it is really a good thing that climate policy too sees how it affects different industries and groups, and that you do not send the biggest bill to those who have the most demanding. For example, in the case of a tax change that the Right chose to do with the Advance Party as the increased fees on biofuels, we have announced in the Hurdals platform that it is one of the grips we want to look at to make it more profitable to use bio in the Norwegian transport sector. It can also be a very effective tool too much within heavy transport and installations. Then we can use positive means of charging and assess whether you should perhaps reduce some charges. It is not like in climate policy that we should have just one thought in our head: increased taxes. We have said that we need a gradual increase in the CO 2 tax, and then we want to use a variety of tools to create jobs and activity while getting Norwegian CO 2 emissions down.
ParlaMint-NO_2021-10-27.ana.ud17e999	‘What will the Council of State do to meet the demands of the construction unions for an immediate ban on the use of manning agencies in the construction industry in the Oslofjord area, as the Workers’ Party and the Centre have repeatedly proposed in the Stortinget earlier, and how quickly can we count on this to be put into place?’
ParlaMint-NO_2021-10-27.ana.ud17e1004	This government will ensure that workers gain more power over their own everyday lives. It's one of our most important projects, and that's why we're going to do more things. We're going to remove the general access to temporary additions. We're going to reintroduce collective redress. We're going to double the union deduction. We're also going to follow up the Fuugner selection. The many good suggestions there when it comes to preventing employers from organizing themselves away from their employer responsibility are things that we want to address. In addition, we will also end up with the kind of penetrator that pushes fixed additions. I mean quite clearly that the amount of housing for the construction industry is significantly larger than the average. In the Oslo area, we see that the level is even higher than that, and that's why we're already doing a legal work to limit the scope and role of the crew industry. I'm going to look at more tools and more formulations that I'm busy with, too, over time, so that the problem not only shifts geographically or just changes character, but that the reality of the workers on the floor ends up becoming the same. So I'm also busy that the social partners are also going to be able to participate in their assessments. This is a work which, on my part, and on the part of the government, has a high priority, and I look forward to a very good, constructive proposal for solutions from the representative Mimir Kristjánsson.
ParlaMint-NO_2021-10-27.ana.ud17e1013	Thank you for the reply from the Minister for Labour and Inclusion. We in Red will applaud many of the initiatives that you mention here, that are very good, and that we agree on. At the same time, we have to say that we are disappointed that part of the promises that came from the Workers' Party in the opposition, now at least seems to go out significantly in time. The representative of Trine-Lise Sundnes, for example, said last August that such a ban in the Oslo area, i.e. an immediate ban, “only requires a regulation, and we will take care of that as soon as we receive the government offices”. Another party colleague of the Council of State, Arild Grande, said: “We cannot use winter and spring with long investigations on this.” And on the other hand, “We have said that we will immediately ban tenants within the Oslo area.” So there was an impatience here from the Workers' Party and the trade movement that just now seems to be a little away. My question is: what has happened, other than that the Workers' Party has occupied the department?
ParlaMint-NO_2021-10-27.ana.ud17e1030	No was the representative of Mimir Kristjánsson at the LO's regional conference in Rogaland, but it was me. One of the things that was discussed there was how we could best streamline the use of hired labour, so that it should not delay fixed additions. At the LO regional conference in Rogaland, there was also a concern that if one uses the regulatory approach without considering it to a greater extent, the problem will move geographically, i.e. there will no longer be a problem in the Oslofjord area, but that one will be able to see that the kind of conditions that one has seen in this region in some construction sites will move to other parts of the country. I have to admit that there is a concern that I share. For this reason, I am busy evaluating the regulatory approach, taking into account both local and national concerns. Then I can assure the representative that I am also impatient to get these things in place, and this work has a high priority.
ParlaMint-NO_2021-10-27.ana.ud17e1035	Like Councillor Tajik, I'm also nervous that this is going to spread to other parts of the country, and that's why my party supports the Joint Union's demand to wind up the manning industry in its present form, which the Tajik Party actually does not. I understand the need for legal work, for a hearing, for a process, but the strange thing is that there can't be a guarantee from the government that that round will end up in such a ban, as the construction unions around Oslofjorden have demanded, and so the opposition Workers' Party has obviously had no problem both in proposing, going in for and taking the order for repeated hearings, without the need for further hearings.
ParlaMint-NO_2021-10-27.ana.ud17e1042	The President would just like to remind you that the speech of the representatives must go through the President.
ParlaMint-NO_2021-10-27.ana.ud17e1047	Our ambition is like before, and that's that we'll end up with the kind of penthouse that pushes fixed additions. That's what the Labour Party wants, and that's what the Center Party wants. I have great faith that when we are going to conduct negotiations on the Stortinget, it will be possible to agree to make the necessary restrictions on the use of hired labour, so that there is a firm, whole set that is again the one that gets a stronger position in the law, and that it makes the workers feel that it is a reality for them and for their everyday lives. Now you should not ask the State Council any questions, so the representative does not have to answer this question now. But I would like to know: if the Red Party wants to phase out the manning industry in its current form, what form do they think the maning industry should have? It is also necessary for the Red Party to decide whether or not to accept responsibility.
ParlaMint-NO_2021-10-27.ana.ud17e1057	‘The Solberg Government amended the AAP scheme for the less than 25 years with effect from 1 January 2020. The change resulted in a change in the minimum rate from 2 G to 2/3 of 2 G for new recipients. In addition, the new default plug-in of the AAP was discontinued for new recipients. Does the Council intend to reverse these changes, or will they be continued by the new government?’
ParlaMint-NO_2021-10-27.ana.ud17e1064	The previous government did a lot wrong – much more than I think we have time to discuss. I also want to remind you that all that the previous government was going to do in the course of eight, it's not possible to correct it in one budget. I dare say that we have already done important things. Already on the first day of the Minister of Labour and Inclusion, I assumed that the government would extend the benefit period for the recipients of redundancy payments until the new year. And in the Hurdal platform, we also say that we want to ensure that people who receive redundancy money are allowed to extend their benefit period if they are not completed by Nav or Health Services. Of course, it may also be relevant to consider other changes to the rules on redundancy, and I will come back to that at a later date. The most important thing for me as Minister of Labour and Inclusion is to avoid people getting into a situation where they feel that the working life doesn't have room for them. It's one of our priorities, that it's possible for people to use their abilities and resources, and not least, when they first end up on redundancy money, that they experience the follow-up they need to get the needed clarifications.
ParlaMint-NO_2021-10-27.ana.ud17e1071	Let me, because it's so strict that you just read the question first, get to congratulate the Council of State and wish her happiness in an important job. The council said in its reply that the previous government did a lot wrong, referring to the question I asked. Now we probably disagree on what is right and wrong to clean politically, but it must indicate that the Council of State believes it was wrong to equate the benefits of the AAP for young people under 25 with the benefits obtained in the qualification programme and the introduction benefit. I can fully support the wishes of the Council of State and I also want to cooperate with the government on how we can include more people in the labour market and ensure that several of them on the AAP are cleared for work and not just for disability, but my specific question was about this measure, i.e. reducing the performance of young AAP recipients. Is there any government council at least able to give a signal as to whether she is positive to continue, or whether she wants to change it?
ParlaMint-NO_2021-10-27.ana.ud17e1078	Both the government and I can give a very clear signal that we are going to give priority to social justice. It shows the Hurdal platform very clearly. In several areas, the previous government has shown that they do not prioritize the everyday life of ordinary lives around the country, and some of the unsocial cuts that the previous government has carried out because they have simply not prioritised it, are acting for example. that trade unions have experienced that it has been more expensive to be trade-organised, that commuters feel that it has been more expensive to commute. We're going to clean up in these conditions. We're also going to cut the maximum price in kindergartens. We have also proposed that the Hurdal platform introduce free core time into the first-class school leisure system. There are some examples of social justice that we're going to give priority to. I want to remind the representative that social justice is not just about simple things. It's about the sum of everything. And that's the sum of all this government is going to focus on.
ParlaMint-NO_2021-10-27.ana.ud17e1085	There was a long answer to a lot of other questions than what I was asking, and I understand that when the Council of State starts talking about kindergarten prices and other measures, which we would like to discuss, it is a sign that at least the Council of State has not decided whether or not she wants to continue this change. So I'm actually going to end by asking the question again: can we interpret it so that the Council of State has not decided to reverse the change for young AAP recipients?
ParlaMint-NO_2021-10-27.ana.ud17e1090	I just think I have to remind you that what this government has prioritised, is that people who are in a difficult situation are going to get it easier. On the day one took note of the fact that if they fell out of the redundancy scheme, or were in danger of falling out of the scheme, they would extend the scheme until the New Year. There may also be a need to assess other aspects of the redundancy payments, and I will come back to that in that case. What's going to be important to me is that young people get more opportunities. And in the Hurdal platform, we outline, among other things, a better youth guarantee for those under 30 years of age. We outline an activity reform for young people with a job guarantee at the other end, which means that one does not risk going into nothing – which unfortunately has been the reality during the Right-Registration.
ParlaMint-NO_2021-10-27.ana.ud17e1100	‘The Hurdal Declaration confirms that access to general temporary employment introduced by the previous Government should be removed. Many in the business community and individuals who have gained a foothold in the workplace have now appreciated this flexibility. Can the Council of State respond to whether she sees any advantages, both for businesses and for unemployed jobseekers, with such general access to temporary employment?’
ParlaMint-NO_2021-10-27.ana.ud17e1107	This government believes that fixed settings should be the main rule in Norwegian working life, and that temporary additions should be limited to work that meets a temporary need. In recent years, a number of surveys have been carried out to show the use of temporary additions and to address other forms of association with the world of work. They're showing a slightly different reality than the one the representative here sketches. In a survey in the municipal sector, Fafo found that employers benefit little from the scheme, and that they even perceived it as complicated and not necessary according to their needs. I also know that many of my colleagues in the vocabulary have not wanted to use that access locally, because they want to promote a working life with firm, whole settings. The research done in this area shows that temporary additions also do not seem to contribute to higher employment gathering sets. OECD summaries show that temporary additions can act as a springboard for someone, but that it can also act as a blindway, because it makes it harder to obtain fixed additions. In Norway, we see that only less than half of those temporarily employed achieve a permanent job after one year. The research even indicates that it is less likely that those groups which traditionally have difficulty entering the labour market go from temporary to permanent work. So here's a number of reasons why there's all the real reason why one should remove the general access to temporary additions. In addition, today's government feels that it is pointing in the wrong direction for the future development of working life. We're going to be a government that guarantees workers more power over their own everyday lives.
ParlaMint-NO_2021-10-27.ana.ud17e1120	Thank you very much for your answer, Councillor. It is quite right, as the Council of State says, that the introduction of general access has not led to the explosion of temporary employment in Norway. We're stable on about 8 pst. However, rather than restricting the flexibility of the Work Environment Act, we believe that universal access to temporary employment gives more opportunities to enter the labour market. It could be the way to a firm and a full position, and it also gives companies the opportunity to hire people up to one year without having to fulfil conditions, as you had to do in the past. On 25 October, the Council of State in the VG claims: ‘For eight years, the government has implemented weaknesses in the Work Environment Act and the position of employees, inter alia, by introducing general access to temporary employment; [[...]] Why does the Council of State in the VG believe that universal access to temporary employment has weakened the work environment law and the position of workers?
ParlaMint-NO_2021-10-27.ana.ud17e1134	When this proposal was discussed at the beginning of its period of right-wing rule, a collective employee page warned against it. Several employers also showed that this was not a desired development for the labour market. So the big question is not why we think that this weakens the position of the employees, the big question is why the right part and the previous right government despite the fact that the employee side is unison that it weakens the position of the employees, and several of the employers also warn against it, could not take the feedback into account in the work they were doing. Someone would say that it is a fallacy for the previous government that this scheme, this access, was not used as much as it was claimed to be. What we also see is that the degree of use that has been, in no way is consistent with the ideological declarations from the Right to give people outside the labour market a simpler way in – on the contrary.
ParlaMint-NO_2021-10-27.ana.ud17e1141	Let me just stress that the Council of State and I fully agree that permanent posts should be the general rule of the labour market. But in the election campaign, I visited a small agency in Kongsvinger, my constituency, called Active Manning. They help the industry in the region to generate labour, and they help people get into the labour market. In fact, a flexible labour-environment law is crucial for enterprises like this. We have many similar examples of local recruitment agencies that help get ordinary people to work throughout the country. When we see the consequences of liberalisation in the Working Environment Act, that it is as undramatic as the Council of State is, why is it so important for the Workers' Party to risk limiting the possibilities of getting more people into work – when they want to tighten the screw?
ParlaMint-NO_2021-10-27.ana.ud17e1148	We're not exposed to such a risk. The research and knowledge that one has associated with the use of the general access to temporary additions does not suggest that it would favour the suspension of groups to an adequate extent, by being temporarily added. Too few people get that possibility. However, when one has a general access to temporary additions to the law, one then has a law that does not give rise to the basic principle of fixed additions. That's what this government is going to give priority to, and there's also some reason why we want to remove the general access to temporary additions, and do it quite quickly. Had it been such that it contributed to postponing groups, had a good and thorough research that pointed in the direction claimed by the representative from the Right, one could have made other types of assessments, but the reality is that with the knowledge that we have on the table, it is not even possible to say that there is a greater incentive to work together.
ParlaMint-NO_2021-10-27.ana.ud17e1158	First, I would like to congratulate Mr Selnes Schjörn as the Council of State in a very important area for our country, and I hope for good cooperation in the future. So to the question: ‘The last eight years have been very good for Norwegian fishing. In the nations on August 20 this year, the Workers’ Party’s Fisheries Commissioner Cecilie Myrseth draws a different picture and claims that there is a perpetual chaos and a disturbance along the coast. Myrseth notes that the Workers' Party will strengthen coastal communities by transferring a greater share of the quotas from the sea fishing fleet to the coastal fishing fleet, claiming that the sea fishing fleet and the major coastal fleets have long dominated the fisheries policy. Will the Council transfer quotas from the sea fishing fleet to the coastal fishing fleet?’
ParlaMint-NO_2021-10-27.ana.ud17e1167	The representative Grotle points out that the last few years have been good for Norwegian fisheries. He's quite right about that, because it's been a long time in the Norwegian fishing industry. That's the way it should be, and the government has great ambitions for the industry. However, there is always room for improvement. If we are to achieve the objectives of which I believe there is a broad political consensus, we must have an active fisheries policy. In 2020, the National Audit Service provided a survey of the quota system in coastal and marine fisheries. They pointed out that although Norwegian fisheries are sustainable and have good profitability, there are improvement points in employment and settlement in coastal communities. I take this very seriously and will follow it up to Stortinget. This government is committed to the central objectives of fisheries policy. The Fisheries Sale Act, the Participant Act and the Marine Resource Act are in place. I have great ambitions for the further development of the fishing industry, to create more secure all-year jobs on land, and it requires a varied fishing fleet. We will continue to have sustainability and profitability, but it is also important to pursue the rural policy objectives of fisheries legislation on jobs and settlement in coastal communities. This government has therefore signalled a new allowance message. Firstly, there is a need to look at some of the issues that the Solberg government did not target, and therefore there is a need for clarification. The distribution of structural gains is such a problem. Secondly, we are going to take the initiative to see that the quotas can be allocated in a predictable and fairer way. I have already taken the initiative to start this work and will come back to what concrete measures it may be appropriate to take. It will be important for me to draw up a new quota notification in close dialogue with the industry to ensure the necessary legitimacy. It will also be an objective to seek broad political anchoring in Stortinget, in order to ensure that industry is as stable as possible in the framework conditions.
