ParlaMint-NO_2021-10-20.ana.ud207e37	The representative, Kristoffer Robin Haug, will present a proposal for a representative.
ParlaMint-NO_2021-10-20.ana.ud207e8346	The representative Sylvi Listhaug has taken up the suggestions she referred to. It's going to be line change.
ParlaMint-NO_2021-10-20.ana.ud207e8353	In Norway, we are to be proud that we have the world's leading areas of expertise in oil and gas. But the world is changing, and if we are to be a leading energy nation, we cannot choose the Nutrient Neutrality of the Advance Party, zero climate considerations and cut in wealth tax in response to everything, while other countries are developing new green industries and getting the lead in international competition. In this way, the representative Listhaug symbolizes himself as the director of today's hermetic boxes, unless surprising for a party that would give up oil revenue to foreign owners. Or we can choose the social democratic path: active industrial policy, demand for cuts, build future energy sources on the shoulders of today's oil and gas industry, but still in the hands of the community to secure the welfare state. My question is: does not the Progress Party understand that with their policies the consequences will be to liquidate the industrial environments in Norway, not develop?
ParlaMint-NO_2021-10-20.ana.ud207e8360	Definitely not – the propulsion party will develop, not liquidate the oil and gas industry. We are ready to support the new government in getting it done. But we've seen that the new government is going to lean on SV, and we're worried about what comes out of that cooperation, also for the oil and gas sectors. The Progress Party has faith in private business – that they are the very best people to develop new solutions and develop new technologies, that entrepreneurs in Norway will succeed, and that we cannot live on subsidies that this government is going to run away with on an even larger scale just because it is about climate. Now a state hydrogen company is also to be set up, while very many private environments are trying to develop this industry, i.e. in competition with private operators. The working party has tried this before when they opened a door factory in Årdal. It didn't go very well. Therefore, the Progress Party believes that the most important thing is for the State to establish framework conditions, and then the private sector must be the creators of these technologies.
ParlaMint-NO_2021-10-20.ana.ud207e8365	The working party wants to develop and not to liquidate. We want to be the industry's best friend, because the industry is absolutely crucial to the success of the entire business life in Norway. The Norwegian oil and gas industry and the skilled worker understand that the industrial policy of the future is not about roaring, but about showing political power. Norway needs to have competitive advantages in order to secure jobs, to build alternative energy sources such as sea wind and hydrogen, to build the technology needed by the world to cut emissions, to strengthen the export industry, to have the world's leading environments of competence, and to own the natural resources to finance the welfare state. The Progress Party believes that the market should control itself. But what industry demands is a more active industrial policy, state ownership and capital, to build the industry further. That's what the Progress Party says no. Why doesn't the Progress Party listen to the industry?
ParlaMint-NO_2021-10-20.ana.ud207e8376	Of course, many in private businesses, the NHO and others would like to have a suction tube into the treasury. We get it. We do not disagree that the state should contribute – absolutely – but we must look at the level of it. The working party will now turn even more billions on this CO 2 capture and storage project. Already the state's 16-billion-billion-dollar state. And now you have to go in even more. Many may remember the first CO 2 capture project the Workers' Party started in Mongstad. It crashed the country and threw away billions of dollars of taxpayers' money, which is subliminal. That is why our approach is that we should have a good framework for business. Yes, we're also going to make some money and some assistance, but we want to leave the value creation to private businesses and not set up competitors in public, like you, for example. proposes here in the case of hydrogen saturation. That's the wrong way to go.
ParlaMint-NO_2021-10-20.ana.ud207e8389	I have a little trouble understanding what is the argument of the Advance Party in the matter of nutrition. Never before has the use of oil money been higher than under the previous governments of which the Progress Party was part or support. The trade balance has also deteriorated sharply since 2013. This government has a target of increasing Norwegian exports – excluding oil and gas – by at least 50 pst. by 2030. Policies shall contribute to the growth of sustainable industries. We need to use our oil wealth in combination with the expertise given by the oil and gas industry to reinvest in the mainland industry. The oil and gas industries shall be developed, not phased out. Partnerships with compensation schemes and/or business tax reductions shall be established. Norwegian enterprises must have good, predictable and stable framework conditions to facilitate private investment. Does the representative, Mr Listhaug, think that this is a gray and boring policy that the Progress Party cannot associate with?
ParlaMint-NO_2021-10-20.ana.ud207e8398	The Progress Party does not support the fact that we are going to raise even more money from the private sector in the form of increased taxes and taxes. The Senterpartiet has now completely lost the fight against the CO 2 tax. You're going to triple it in the future. We get sky-high, extraordinary fees in Norway compared to our competitors in the rest of Europe. We're against that. We are also opposed to the waste we see, by spending a lot of money on industrial policy – simply because we believe that private business is better able to do it than state-owned companies that are supposed to be competitors of those who are trying to create values. When I talk to people on Sunnmare who run these businesses, they're concerned that more of the values should be left in the districts instead of being sent down to Oslo. That is what you do when you increase taxes and taxes – you take more money into Oslo, bottle up businesses in the districts for money, and thus reduce the possibility of developing.
ParlaMint-NO_2021-10-20.ana.ud207e8410	The President reminds the representative that the speech must be made through the President.
ParlaMint-NO_2021-10-20.ana.ud207e8415	There's little answer to what you really want to do to change this. But to preserve a society with popular support for climate policy, we must stop moralizing. We need to set up environmental and climate taxes in a socially equitable way and differentiate geographically if possible. The State shall commit itself to the provision of the necessary infrastructure, enter into partnerships that combine cost-cutting and industrial development, contribute capital and use its purchasing power. We're going to have more people working, create activity across the country, increase exports and cut greenhouse gas emissions by 55 pst. These four objectives are to be achieved jointly through an active and forward-looking industrial policy. So we need the income from the mainland industry, we need jobs, and we need more climate-friendly production of goods and services, to replace uncritical imports. Is the representative still of the opinion that this is gray and boring?
ParlaMint-NO_2021-10-20.ana.ud207e8422	The Progress Party is critical of the use of money that we see, for example. in the climate area, because we believe that Norway is supposed to save the world, and only the word ‘climate’ comes up, money is to be spent. The most important thing for technology development is to provide good framework conditions for our companies. Therefore, we believe that the most important thing we can do is to have a competitive level of taxes and taxes. Unfortunately, the signals from the new government are that you want to increase that level for Norwegian businesses. We believe that is the wrong way to go. There may be a lot of businesses in the districts, where having a job to go to is the whole starting point for being able to live there. The party of progress does not have as much faith in the state as the new government has. We have more faith in individuals, businesses, the private business and the creative power that exists outside the state. That's what's important to stimulate in the future.
ParlaMint-NO_2021-10-20.ana.ud207e8432	On 16 May 2011, the representative, Mr Listhaug, said to the VG: ‘Human CO 2 emissions have not been proven to lead to climate change. It is primarily an excuse to introduce more taxes and taxes.» When she was an oil and energy minister, I asked her if she was wrong in 2011. She would not answer that, but she replied, ‘I record that the representative refers to a time when the country had a different government.’ She further replied: «The government of the day will pursue an ambitious climate and environmental policy [[...]] She also showed that the government was working to cut greenhouse gas emissions. Thus, the representative, Mr Listhaug, has a rather unclear view of the climate crisis, and it seems that she is letting what government this country has be decisive for whether or not she believes we have a climate crisis. Then I would like to ask the representative: does she think that with today's Workers' Party-Center Party government we have a climate crisis, right?
ParlaMint-NO_2021-10-20.ana.ud207e8451	I hope the representative has read newspapers and followed the news since 2012. In that case, he should have known that I have been very clear that we have a climate challenge that Norway must be involved in. That is why the Progress Party has also presented a complete plan for how to reduce emissions in Norway. What we are critical of, however, is uncritical use of money. We're critical of the starting point for which not least SV is an exponent, where you act as if Norway can save the whole world, and that, with our little country, we're going to take a huge part of the load to bring down the emissions. Many people find it unreasonable to punish the drivers when one sees that China is building coal-fired power stations like that, when one sees that other countries are letting out more and more, while we are going to whip and plague the population. We're going to continue to fight against ordinary people being punished. Now we also have hope that the government will show these rates.
ParlaMint-NO_2021-10-20.ana.ud207e8458	Then I hope that I can get a clear answer on the question I asked the representative when she was a minister, if she was wrong in 2011 when she said that it was not proven that human CO 2 emissions lead to climate change. It should be a question it's pretty straightforward to answer right now.
ParlaMint-NO_2021-10-20.ana.ud207e8466	This has been happening a lot since 2012. There have been many reports. The debate has definitely come much further. There is, of course, broad agreement in this room that we should reduce greenhouse gas emissions. The Progress Party also has a plan on it. And then it becomes very interesting now to see what SV is doing in the future in negotiations with the new government. We are concerned that SV now gets a hand on the steering wheel in terms of the oil and gas industry, because we know that SV will not develop, but will liquidate. SV will be involved in budgetary negotiations with the government and is eager to increase taxes that affect ordinary people, and even if you put up some housing support for the flow, it is clear that there are very many common people who will in any case have challenges to pay. Many ordinary people can't afford to buy an electric car either, because everyone doesn't. That is why we are also afraid that SV will now help punish those who have diesel and petrol cars in the future. It's going to be interesting.
ParlaMint-NO_2021-10-20.ana.ud207e8471	The representative was in his intervention busy talking about so-called IS women. Instead, I want to ask questions about another group of women that it might seem that the representative and her party have forgotten. These are the hundreds of thousands of women, and in particular men, who work in the health and care sector in Norway, and who have experienced for many decades that they are lagging behind in wage developments. The Advance Party has given this group beautiful promises, including: at the national meeting in ours, that there would be a pay gap for these. But when it came to budgeting here in the Chamber, there wasn't one penny to find a paycheck for these groups when the Progress Party made up the revised budget together with the previous government. Instead, the Progress Party voted for a forced pay bill on a weak basis, which went beyond the ability of these groups to strike for better pay. My question is, what is left of the promises of the Advancement Party to these groups other than just empty words and empty applause?
ParlaMint-NO_2021-10-20.ana.ud207e8478	I have registered that the representative Mimir Kristjánsson has previously stated that he is a Communist on Fridays. I do not know what day this was treated in Stortinget, but I would say that if you are going to sit in the main hall and decide to settle your salary, it is pure communism. It is the parties who agree on a payroll settlement, and therefore our signal was very clear that we wanted a stepping-up plan for health professionals and nurses, that kind of profession, and that the government should present it now in connection with the state budget. Unfortunately, as we can see, the outgoing government has not submitted such a plan, and I therefore hope that the newly elected government will follow this up. There is no doubt that these women and men who work in these professions deserve a higher salary for their efforts. And to the extent that we can help stimulate it, we will definitely do it in the future.
ParlaMint-NO_2021-10-20.ana.ud207e8483	The cord shift is over.
ParlaMint-NO_2021-10-20.ana.ud207e8488	People have sent 100 representatives to this process with a clear mandate for change. If you look at it historically, it's actually the second strongest overall result for the centre-left side of Norwegian politics, at least if you go back a century in time, only turned percent in 1949, hairy in front of the election in 1936. It is an expression of a desire for a change in Norwegian policy. We also know from the polls that have been made, that when people were asked what were the most important questions, most of them pointed to Difference Norway and the climate crisis. So this big business and the government that is now running has a mandate to deliver real change. 1936 and 1949 are not random times in Norwegian history. It was the year after the crisis settlement between the labour movement and the peasant movement, and it was in connection with the repatriation and the beginning of a new working life and our welfare state. In many ways we are at such a historic crossroads even today, where the inequality of power and wealth has reached a level where very many people in our country want to see a real redistribution of both money and power, where centralization has led to uprisings in the districts, and where climate change is going to take us through major changes in the years to come. So the question is whether we're going to meet those changes in a way that leads to polarization and decline, or whether it's going to be a new spring for our country, where we get the differences down, creates optimism across the country and implements a fair green shift. In SV we feel joy over the change of government. We are pleased that a new government is in place. We are also disappointed that we did not achieve what was our goal, namely the creation of a red-green government. We didn't get that because the Workers' Party and the Centre would not stretch far enough politically enough for us to do so. With the platform presented, I think everyone can see why it had to be like this. It's too much gray and too little red and green. But let there be no doubt about what is our setting. We're going to contribute powerful policies for fair distribution and environment if the government comes to us to negotiate small and big issues in the years to come. And there are a number of measures in the platform that are based on agreement between the SV, the Workers' Party and the Central Party of the Stortinge in the last period. It is positive that the government will follow up red-green consensus on a wide range of issues: the establishment of a climate budget, the phasing out of commercial actors in child protection, the reduction of child care prices, full-time employment, the introduction of school food, the cessation of the separation of experienced teachers, the College of Nesna, the Nord-Norway Railway, the scrapping of the aupair system, consent law, that Norway should join the CRPD Convention, which protects the rights of disabled people, collective redress, the doubling of the trade union deduction, the cessation of taxi industry. SV is ready to form a majority in Stortinget for things like this. Nevertheless, it is necessary to say that in order to solve the most important challenges we face – those that our party has talked about most, both in the four years that have passed, in the four years before that and in the election campaign that we have fought behind us, namely, the growing inequalities in power and wealth, the climate and nature crisis – the platform and the government's ambitions are not powerful enough. There are not enough concrete measures to significantly reduce the differences in Norway with what is on the Hurdal platform, either in terms of the necessary shift in the treatment of those who have the most in this country, those who have got everything they have pointed out over eight years with bourgeois rule, or the way we meet those who have the least. Without the will for the richest and the more to live off for people with little, the differences will not go down significantly. That is why we must get to that in the years to come. If we carry on with most of the Right Tax Cut, there will be no money for new welfare reforms and good enough municipal economy. SV will work for the school leisure system to be free of charge and for us to have a proper dental reform that closes the biggest hole in the Norwegian welfare state. And we're busy reversing the brutal unsocial cuts that the Right Rule has been exposing poor and sick for the past few years. That is not the case, for example, with fine wording. to reduce poverty among families with children. We need concrete action. SV will be concerned with redistribution of power, whether it is about moving fishing quotas from the large trawlers to the coastal fleet or doing something about what we experience is too much of a rescue of welfare capitalists and crew agencies in the government platform. Nor is the platform powerful enough to achieve the climate targets or clearly enough to address the seriousness of the natural crisis. It has in common with the dwindling government, which bombed the climate targets for 2020, which presented a plan in which they had no response to more than half of the Norwegian climate targets for 2030. But that's not the scale. The scale now is what is really going to do to make a green and fair transition. SV will carry out a fair green shift, such as: increased CO2 tax goes directly back to people through a green people's bonus. We have to see that there are fair solutions, get out of the eternal discussions where the climate crisis and distribution issues are set up against each other. We have to look for the solutions that unite both of them. Because we have to solve both of them. If we are to develop green industry and secure jobs for the future, Norway cannot continue its dependence on oil. Today, the United Nations has shown that the global plans for the development, production and sale of fossil energy in the world today will destroy the climate targets to which countries have joined. It's planned to produce 57 pst. more oil and 71 pst. more gas than the 1,5 degree target permitted. It's a paradox that the majority of the Storting has to answer. So a majority of the parties have to invest too much resources to produce and find, and at the same time they are asking for credibility that they have a plan for it not to happen. It's not going to jump. That is why there is also a need for a change in oil policy. There is a need for a better response to the UN's call to stop looking for new fossil energy. It is about the climate, but it is also about the workplaces, about how we equip the Norwegian economy for what is to come, how we can ensure that it is a future for the industry along the coast. The new government wants us to be happy today. There is a government that chooses what it will be – center government or part of a red-green cooperation. We now get a big one with a government in the middle, a bourgeois opposition and a red-green opposition where SV is the largest party. I think that the choices made by the government, of course, will also determine how red-green voters will look at it, not only the nearly half a million who voted in favour of the SV, the Red or the Green Party, and who may have given the most obvious signals of change in this election, but also very many of those who voted in favour of the Workers' Party and the Center Party. We're ready to seek red-green cooperation in this big business. We're going to meet the government constructively if it seeks cooperation with us. Such cooperation means that we have to meet the government, but it will also mean that the government has to change the course in matters that are important to SV. Finally, right now, the issue of power prices is a very important question for people in Norway, and most of all for those who have the least, those who turn off the heat in fear of electricity billing. We can't have it so that a cold harvest and a cold winter lead to those people who have the least in our country, can't have heat in their houses. Therefore, the SV has made proposals today on urgent measures both in the area of housing support, and not least in the area of including measures for those with a little more than qualifying for housing support. For housing aid, a number of tough cuts have been made in practice during the right-hand government. It is good that the government says there will be something in a few weeks, but we believe it is urgent to give people security before the next electricity bill comes, and therefore ask the Stortinge to make a decision that can give direction tomorrow. I would like to address the SV's proposal.
ParlaMint-NO_2021-10-20.ana.ud207e8522	Then the representative Audun Lysbakken has drawn up the proposals he referred to. It's going to be line change.
ParlaMint-NO_2021-10-20.ana.ud207e8529	All children shall have equal opportunities for good education irrespective of their country of residence. Then qualified teachers are an important factor. We have an increasing teaching shortage that particularly affects the districts. The working party and SV have agreed on very many important and good proposals in Stortingen to get this done. There was an overall approach to solving this challenge, which wanted to give teachers better time and better working conditions, secure admission requirements to teacher training, and to stop the separation of skilled, experienced teachers. We have to train more, we have to keep people standing in the professions, and we have to do something to get those who have been in the profession back again. What does the representative Lighthouse think we can do together in Stortinget to get to what you're ambitious about?
ParlaMint-NO_2021-10-20.ana.ud207e8534	That, I think, is an important question, and there is a lot of red-green consensus from the previous period that can be implemented quickly. It's about stopping the separation of experienced teachers, who have been a form of meaningless symbolism policy where you risk pushing experienced teachers out of school in a situation where the number of hours taught by unqualified people has increased steadily. We can't have it like that, so it's a good move. Removing the four-dimensional requirement in math is also a good measure, simply because other intake requirements, such as: sectional characters, are smarter requirements. That is why I am absolutely sure that we can work together on such measures. Then it is important to remember that what kind of framework conditions we have for the school, also – I think – is crucial for the enthusiasm for working there in the future. That's why proper redistribution, taxing the richest harder so that we can increase the municipal economy, is also important. I hope the Working Party can be with us on that.
ParlaMint-NO_2021-10-20.ana.ud207e8540	I would like to take this opportunity to begin by congratulating the representative on the election and also on the very important role of the cooperation party for the new government here in Stortinget. The representative spoke in his post here today a lot about the Hurdal platform not being strong enough on climate. In the Hurdal platform, we can read that you want to ‘reduce taxes that affect people most, such as electricity taxes and fuel taxes, including differentiated user charges’. What I'm asking is whether SV can support a budget that proposes to reduce the user charge, thereby weakening the incentives for green conversion, as you escalate the CO 2 tax. Can SV support such an approach and support such a budget if it is proposed?
ParlaMint-NO_2021-10-20.ana.ud207e8555	When I emphasize that the government statement is too weak in climate, it is because I measure it up against what we now have to do. I see that it may be tempting on the civil side to use that opportunity for the greening of the Right profile. There is a lot to go about when it comes to the Right and climate policy as well. We are very clear on what we think about the CO 2 tax. It has to be stepped up linearly. We are opposed to measures that weaken the climate effect. I feel that what government parties are after is finding ways to implement this, which at the same time takes care of social and geographical considerations. We're also very concerned about that. And then we think there's smarter ways to do it than the Workers' Party and the Center's pointed out right now. That is what is in our proposal for a green people's bonus.
ParlaMint-NO_2021-10-20.ana.ud207e8565	I think we all agree with the principle that when you increase taxes that affect people most, it's also nice to bring down someone else. My specific question was whether SV is willing to support proposals that simply weaken the point of increasing the CO 2 tax, the point of setting a price on it to pollute. If you compensate for something that actually keeps it at rest, you don't achieve that effect. That is why we put forward proposals in our budget to also lower some taxes, to give some other deductions – the commuter deduction is an example – to just fine the increase in the CO 2 tax. But the representative does not respond to what I am asking, which is whether he can support a budget that actually weakens the important mechanism of increasing the CO 2 tax. We don't get to the goal if we're going to drive and compensate for what it's meant to be. I want a clearer answer to that. It would also have been nice to know whether SV agrees that it is urgent that the government submit this new climate plan they have announced, whether they will support the proposal we have promoted in Stortinget that it must come by the end of February 2022.
ParlaMint-NO_2021-10-20.ana.ud207e8581	First of all, I would like to thank you for your congratulations and to welcome the representative, Bru, to the House. I look forward to good cooperation with the Right when we agree. So let's look at the Right's suggestion now, we might be able to figure something out right now. It is good that the representative, Bru, is now very clear on the weaknesses of eroding the CO 2 tax, because that is exactly what the bourgeois majority has been doing in recent years through their budgetary cooperation with the Progress Party. Then the government has now presented something that is clearer, in confidence that this time they will not negotiate with the Progress Party. I think it's nice to raise the level of ambition, but I think we should now be able to acknowledge that we are now fortunately in a situation that is opposite to what has been going on in recent years, namely that the sitting government will meet a party for negotiations that have higher climate ambitions, while the government of Tina Bru set in, based on cooperation with a party that would always reduce climate ambition.
ParlaMint-NO_2021-10-20.ana.ud207e8591	I would like to congratulate and, to the extent also, thank the representative Lightbakken for having a minority government, which is making it much more exciting on the Stortinget. We now have many politicians in Norway, in both SV and other parties, who want to shut down the oil and gas industries and talk it down, even though we see that they spend the money that this industry creates, with both hands. SV has been working on doomsday prophecies about the industry for a number of years, but opinions on the oil tax package take cake. The representative Kaski said there is no guarantee that the oil will still be profitable after the crisis. And on the other hand, ‘I think we are entering into a more or less permanent state of lower oil prices now, both next year and in the decades to come.’ Never before has Norway served more on oil and gas than in recent months. How does the representative Lysbakken think the party's oil analysis has taken place, and will SV include oil policy in the budgetary negotiations with the Workers' Party and the Centre's Party?
ParlaMint-NO_2021-10-20.ana.ud207e8605	First of all, I say thank you for all the congratulations, but I would like to stress that although it may have the side effect of making the representative of Listhaug more exciting – which I think is nice to see – the whole point for SV to go in opposition is that we think we can get more in that way. My goal is that the representative, Listhaug in sum, will be more dissatisfied that we made that choice when we get out in the period. Yes, I mean SV's analysis of oil is good, because in the oil policy of the majority of Norwegian politics you don't take into account what is the brutal mathematics of climate policy: it's already found more fossil energy in the world than what we can burn. Then it is very risky to put this country's economic future – the future of our industry – on a bet that we should be able to sell as much as the Progress Party and a number of other parties add.
ParlaMint-NO_2021-10-20.ana.ud207e8612	It's creative to say that the analysis is good at a time when we earn more than ever, but it's now. I am interested in getting an answer to my second question. The Progress Party has experience in budget negotiations. We have included in some of the negotiations issues that are not necessarily part of the budget. I can mention that in this year's budget we finally managed to get both the Left and the Christian People's Party to kneel and tighten up on the number of years you have to stay in Norway before you get permanent residence. That is why my question is once again: Will the representative Lysbakken and SV take oil policy with them into negotiations on the state budget and demand that what we know about the party is implemented, namely to start a liquidation and not a development of this industry? There are many people who are concerned about, and I think it would have been very nice if we could get an answer and a clarification on this right now.
ParlaMint-NO_2021-10-20.ana.ud207e8619	SV will, of course, use its influence in Stortinget to try to express also oil and gas policy. Of course we will. Why is this important? Well, it's important for climate reasons, but it's also an incredibly important discussion and some incredibly important road choices that are now taking place about the future of Norwegian industry. This ‘developing, not liquidating’ slogan is a bit strange, because it seems that it is the oil that should never be dissolved, even though everyone really realizes that the world is gradually going away from fossil energy. The United States and the EU shall be carbon neutral by 2050. China shall be carbon neutral in 2060. We have to prepare for a world where it will no longer be a large market for fossil energy. Something else is an economic downfall recipe for this country. Then the question is not how we develop or liquidate the oil, but how we develop or wind up the industry. Then a more oil-independent policy is a recipe for developing and maintaining our industry, while the Progress Party line is a line for liquidation.
ParlaMint-NO_2021-10-20.ana.ud207e8626	Time's up. - Lightbox has to wait a bit, another line comes up.
ParlaMint-NO_2021-10-20.ana.ud207e8631	The president knocked so excited that I felt it was time to go down!
ParlaMint-NO_2021-10-20.ana.ud207e8636	That's the good representative has respect, but everything is in a way!
ParlaMint-NO_2021-10-20.ana.ud207e8642	Let me also start by congratulating the representative Lightbakken with a good choice and congratulating him that it did not lead to government participation for his party. But this is just as fully a government he has let go, and it was even a government that the representative in his post said he knew how pleased he was. It is tempting to conclude that the representative Lighthouse must be easy to enjoy. But let's now drill a little bit in what this government stands for, and it's special about climate and nature. When I read the Hurdal platform, and I read about what's going on about the climate and nature, I see unprecedented weaknesses in today's policy. In the climate field, it shall be cheaper to fly, cheaper fuel, more expensive to buy an electric car and a weaker electric car target itself. By nature, a hunt for exterminated predators, landowners shall be vetoed against protection, and one shall have a more relaxed land policy than today. Then my question to SV is very simple, and it is: Does SV think that the climate and environmental policy of the Hurdal platform in total is better for climate and environment than the one that led the previous government?
ParlaMint-NO_2021-10-20.ana.ud207e8651	When we are pleased with the change of government, it is because the Left Government has been part of it, a government that has systematically led an unsocial policy of distribution and that has not achieved the main objectives of climate policy – the bombing of the 2020 targets and setting a plan to bomb the 2030 targets. As for the hero story that Left is now trying to create for itself – and I acknowledge that the Left has stood on the right side and tried to do a good job for the climate and the environment – the climate issue is not worth making a hero story about a government that failed. I understand that the Left may have party-tactical needs for it, but the climate issue is not served by it, because the government of Rotevatn was the climate minister, delivered too badly. Then I don't answer for the Hurdal platform – climate and nature were one of the reasons we left Hurdal. I am answering for SV's policy and what we intend to do. This is a new fresh one, so the government gets to show its cards, and then we're going to negotiate with it. [[President clubs]] We're going to make tough climate and nature demands.
ParlaMint-NO_2021-10-20.ana.ud207e8660	Time's up.
ParlaMint-NO_2021-10-20.ana.ud207e8665	You don't get the answer from the representative Light Hill. He would certainly be actively not answering the question, for he says he does not answer for the Hurdal platform. He makes it easy to take that approach, because it's easy to compare with his own party program or to compare it with an ideal, but when we talk about which government governs Norway, it's not entirely unnatural or unnatural to compare a government's policy with the previous government's policy. There may be a reason why the representative will not answer yes or no to that question, and it is because it is not possible to see in this government platform that there is some strengthening of climate or nature policy – rather the opposite. I am perhaps the most concerned about it in the field of nature, because much of the climate policy is about taxes, and there is going to be a negotiation in the state budget, but when it comes to protection issues, predatory issues, issues of caring for vulnerable ecosystems, it is largely determined in government. Is the representative Lysbakken comfortable with it when you see how weak the political basis here is?
ParlaMint-NO_2021-10-20.ana.ud207e8672	I'm not interested in the problem because the dwindling government can't be the scale. Retirement government, where the representative Rotevatn was sitting, failed. That's what's fasitating after eight years of bourgeois government. It failed to achieve the 2020 targets, failed to put in place a sustainable plan to achieve the 2030 targets. Now we have a new government that has barely begun to work. Fortunately, it is too early to say whether they will fail or not, but what they have presented on the government platform is not enough to succeed. Still, there's a new start. We're done with a government that didn't get it done. We have got a new government that now has an opportunity, and that has to negotiate in Stortinget – we hope – with a party with far greater ambitions. Then we'll meet again – we'll probably get a lot of opportunities along the way too – and sum up when it's time, when we get to 2025. That's when we know the answer to Rotevatn's question.
ParlaMint-NO_2021-10-20.ana.ud207e8679	Replicate cord shift complete.
