ParlaMint-NO_2021-06-02.ana.ud52e210	The representative, Mr Hemdal, will put forward a proposal for a representative.
ParlaMint-NO_2021-06-02.ana.ud52e1229	Several have not asked for the floor on case No. Eight.
ParlaMint-NO_2021-06-02.ana.ud52e1246	At the request of the Committee on Family Affairs and Culture, the President will arrange the debate as follows: 3 minutes for each party group and 3 minutes for members of the Government. Furthermore, within the allocated speaking time, up to six lines of response will be given after contributions from members of the Government and those who have to sign up to the allocated speaking time will also have a speaking time of up to 3 minutes.
ParlaMint-NO_2021-06-02.ana.ud52e1253	Today, we rejoice that the labelling of reticent advertising is finally introduced, and we rejoice that young commitment and activism can lead all the way to goals. In 2010, many different youth organisations and youth parties joined forces to create a broad front against the advertising industry making money on the poor self-esteem of young people through Photoshop and advertising that shows totally unattainable ideals of beauty. Youth against Retusert Advertising was founded that year. Until 2018, young people have gone out and glued alerts to photoshopped ads that can lead to body pressure. The demand was that advertising with the retouching of the models should be noticed, so that those who are exposed to the advertisement see that this is not real. In 2018, the report Projekt came perfectly from Press – Save Barna Youth, which shows that 43 pst. of all those involved in the study agreed that they know about body pressure in their own everyday life. Previously, we knew, among other things, that: on the report Retusion advertising and body pressure from SIFO, which shows links between advertising, body pressure and mental health. That was the background for me and SV to promote a proposal for a representative on, among other things, the introduction of reticent advertising labelling in 2018, which was adopted. I would like to thank the Cooperation Committee on the matter we are dealing with today, which is the government's follow-up to the 2018 request decisions, and I would like to thank the Minister for Children and Family Affairs for a good follow-up to the Storting decision. The proposal implies a statutory obligation to label reticent or otherwise manipulated advertising where manipulation results in a deviation of the body of persons in advertising from the reality, enforcement of the labelling requirement by the Consumer Authority and the Market Council, inclusion of body pressure as a criterion for assessing good marketing practice, and a number of additional measures against body pressure. The proposals received broad support in the consultation round and there is a broad majority behind the position today. It's a pleasure. After eleven years of young involvement in this matter, we can state that it is useful when you go together to raise a case.
ParlaMint-NO_2021-06-02.ana.ud52e1268	Thanks to SV, who raised the matter, and to the representative of the Supreme Court, who has been the case rapporteur for this case. When I grew up, we used to say that a picture does not lie. But today it's not like that. Now we can no longer see if a picture is real or false, because the technology has become so good that it is almost impossible to separate. Retreaded images are quite common in the advertising industry. A keypress edits the images used to sell products. They must create a perfect look, where people get narrower waist, larger dolls or thinner thighs. Such images of unnaturally edited bodies meet children and young people every day in a society with ever-increasing advertising pressures. Today, social media and access to information are particularly vulnerable to social pressure and to unwanted marketing and advertising. Much of the advertising becomes expectations of children and young people about what they should actually look like. When you can't distinguish between what's edited and what's not edited, it creates a false image of what's a normal body, even though at times some of these bodies may look completely natural. Advertising industry's reticent images contribute to increased body pressure and unhealthy ideals, ideals that allow young people to feel dissatisfied with their own bodies and get unrealistic expectations about what to look like. The working party believes it is serious for children and young people to become mentally ill or to be plagued by the experience of not complying with the ideals of beauty of the advertising industry. I'm happy with today's decision, because it's part of helping raise awareness, changing the focus on appearance and preventing body pressure. Three years ago, as the rapporteur said, a proposal was put forward in which we went along with the SV, the Central Party and the Christian People's Party, which is the background to this matter. An overall committee voted in favour of the proposal, but it has taken more than three years to come back to the Storting. Now, first of all, it's going to be a change. The working party is concerned that we take children and young people's mental health very seriously. That is why, in recent years, we have been promoting a number of proposals, which unfortunately have been voted down. We have proposed the adoption of a separate action plan against body pressure, the ban on advertising for cosmetic surgery and measures to limit advertising in public spaces, for example. by establishing advertising-free zones in close proximity to schools. These are proposals that the Right, the Advance Party and the Left have voted against. Fortunately, the Christian People's Party has been a little bit more concerned with the topic, and it was through their support that we received a majority of the Workers' Party's representative proposal for a more regulated market for cosmetic injections. Here too, the Right, the Left and the Progressive Party voted against the proposal. But today is a good day, and we are satisfied with the proposal that lies in the matter.
ParlaMint-NO_2021-06-02.ana.ud52e1289	We are pleased that the department has spent a lot of time, because this is a complex field of action. With this proposition dealt with by the Committee, we amend Section 2 of the Marketing Act, where advertiser and designer of advertising are to ensure that advertising where a body's shape, size or skin is altered by retouching or other manipulation is marked. The Ministry lays down detailed rules on how advertising is to be labelled and on exemptions from the obligation to make a trade mark. The addendum to the provision allows for exemption from the obligation to make a trade mark in the regulation. It is not any change in the manufacture of an original that should be subject to the labelling requirement. In that case, ordinary editing would constitute a trade mark obligation. If all the advertising is noticed, the message that is in the labelling could be lost, because you become blind because all the advertising is marked. Therefore, exemptions from the general obligation to make a trade mark are cases where changes are made which cannot be considered as contributing to the pressure of appearance and must be included in the regulation. As changes that do not have to be noticed, one might think of removing an unfortunate twig or that it is made on makeup, as well as changing the hair shape. The provision also allows for detailed rules on advertising marking, i.e. the location and size of the marking and the appearance of a standardised marking. With this change in the marketing law, Stortinget also adopts a clarification in Section 21 of the Act, in particular on good marketing practice for children, point (b). When it is to be assessed for marketing to children in accordance with Section 21, it must, among other things, emphasis is placed on whether the marketing is based on social uncertainty, a lack of conscience or lack of self-confidence. With the changes we are adopting today, body pressure will also be part of Section 21(b), and this makes the law clear. You could say that one of the unfortunate consequences of young people being on social media as much as you are today is that you often become passive recipients of impressions, where the very amount of these poses a great danger that young people develop a distorted image of the body. This law will apply to marketing by Norwegian companies. Instagram is more of a global network of image sharing, so the law will not apply to everything consumed, but it sets a standard here in Norway. However, we also see countercultures internationally in social media, which capture celebrities who edit and reveal their own images. These accounts have many followers and are picked up by, among others. Sladdremedia. I'm very happy that the department has spent a lot of time on this, because it's very complex to say what kind of advertising is contributing to body pressure. Then it's important not to introduce marketing denials against all kinds of pretty ladies who have a nice body, and that they should also be allowed to market products in magazines.
ParlaMint-NO_2021-06-02.ana.ud52e1312	Unfortunately, there is no doubt that many in Norway, and many young people in particular, both in Norway and elsewhere, experience body pressure and that we have challenges with eating disorders and other things that can be associated with this. But it's not just through advertising that you can be exposed to that kind of body pressure. You also see it in social media, like Instagram, in music videos and in other parts of our pop culture. For this reason, the Progress Party believes that what is proposed here is probably a small effective tool to tackle the challenges that we all agree on must be tackled, such as body pressure, eating disorders and related challenges. I would quote from a chronicle that Julianne Ofstad had in the VG a few weeks ago. There she wrote: "We live in an international world, and a very large part of what we see and those we follow in social media are not Norwegian." As I mentioned, it's not only advertising we're exposed to, but also social media, videos and other things. Much of the content is not Norwegian either and is therefore unlikely to be affected by this type of decision. The progress party shares the intention to prevent body pressure in society, but unfortunately, we have also had body pressure before, both before advertising became as widespread as it is now and before social media became as widespread as it is now, and we will probably have these phenomena regardless of how much we are exposed to this kind of advertising, and regardless of whether we notice reticent advertising or not. We therefore believe that the proposal is a disproportionate intervention compared to the assumed impact of the measures. We believe that there are more appropriate ways to combat body pressure, eating disorders, related mental distress and other similar challenges, with more targeted efforts, awareness campaigns and not least help for those who experience these disorders and are plagued by it, regardless of whether it is due to being exposed to reticent advertising, or body pressure that is experienced due to other circumstances.
ParlaMint-NO_2021-06-02.ana.ud52e1326	This proposition has come true. I have been waiting for it since I was present at the presentation of the findings in the report Project perfect, as Press – Redd Barna Youth, presented in 2018. It had so much serious in itself that there is a great reason to be very happy that SV raised the issue, that there was a majority in the Stortinget for the request proposal, and that today we are simply adopting a law that can improve the situation of the body pressure to which children and young people are exposed via advertising. So many as 43 pst. of all those who participated in the Project perfectly agreed that they know about body pressure in their everyday lives, and that feeling was reinforced by the tendency of advertising to misrepresent what is the right picture of shape, size and skin color. Advertising is a lot of, of course, on television and in other traditional media, but also on the websites and social platforms where young people live most, for hours a day. It is therefore problematic that this group should feel wrong or inadequate in relation to its own body, because advertising often displays body ideals that are either improper and/or unrealistic, as well as little nuanced. We have to limit the possibilities for advertisers to misrepresented children and young people with a leftover impression that only some shapes, sizes or skin colors are defined as within. Yes, it is high time we made it clear that driving with such a negative impact on children and young people's mental health is out of the question. Year after year, young data have told us about an increasing proportion of young people with mental disorders, and they also state that there is a significant statistical overlap between all those who experience mental health disorders and those who are dissatisfied with their own appearance. We in the Center Party believe, hope and believe that the changes in laws we are making today will help bring down these gloomy numbers. We are now looking forward to well-produced advertisements in the future, how diversity and space to be different are put on the agenda, as it should have been done a while ago. Fortunately, we see traces of it in some of the summer commercials of the big chains, and it delights me. Also on social media like TikTok, a platform with many very young users, who have an extremely high level of body focus, there are calls for more and more accounts that promote diversity and body-positiveism. But, unfortunately, there are few. These accounts are in a minority, and I think the big community has a task of trying to figure out how we're going to interact with all the more or less professional influences and influences that continue to contribute to a negative body pressure. But we have to take one step at a time, and today we took this. I'm glad.
ParlaMint-NO_2021-06-02.ana.ud52e1339	Every day, girls and boys, women and men are subjected to body pressure from countless advertisements, advertisements and various posts. Web pages up and down and down show us images of completely unattainable beauty ideals and tell us how to get the perfect summer body, or how to lose weight as quickly as possible. We know that social media in recent years have contributed to a significant increase in this pressure. Yes, even as an adult you know that it can be difficult to manage it and avoid being influenced, and then we can only imagine how difficult it is to be a child or a youth in dealing with all of this. Studies and reports clearly show that our perception of body and appearance is influenced by the advertisements that are coming our way. Advertising greatly contributes to setting the standard of what people want to look like, and they produce an ideal that is very often completely unrealistic for people to reach. Yes, because the truth is that those images are often retreaded in retrospect, so that those that are depicted should appear even better than what they really are. The change in the marketing law that we are going to adopt today is the result of the fact that our party's youth organization Christian People's Party Youth has fought a hard fight to dampen the massive pressure that young people face in different channels every single day. I am very proud that we have a youth organization with great impact, and I am also proud that the government is now following up and demanding that all advertising that shows pampered or idealized people should make us aware that that is exactly what they are doing, and that the person in the picture or in the film is fixed on – that what they are making is unrealistic. The marking of reticent advertising is a very important step in the work against body pressure. Although we live in an international world, on which the representative of the Progress Party was involved, it is important that Norway sets a good example in this area as well. We politicians can make a lot of decisions, but unfortunately we cannot adopt a ban on body pressure. It's something that every one of us and we as society have to work to counteract together. We still have a way of promoting healthy and natural ideals, but the labelling of reticent advertising is so absolutely a step in the right direction to counteract the pressure to have a perfect exterior. That's why we in the Christian People's Party are very happy that the majority of the committee has joined the government's proposal, and that we finally get this important change in place.
ParlaMint-NO_2021-06-02.ana.ud52e1352	Young people today experience extensive and harmful body pressure. Seven out of ten young people say they feel the pressure to have a so-called fine body, and nine out of ten 16-year-olds say they want to change their bodies. These are discouraging numbers, and it's part of ruining young people's self-image and not least relationships with their own bodies. Red Youth has been working to label this kind of advertising since the last century. For approx. Ten years ago, Red Youth was involved in the launch of the Youth against Retuster advertising network. After what was then far too little action from the political team, hundreds of activists across Norway took the matter into their own hands and hung warnings on reticent advertising posters. The goal was to show that what you see on the posters is an ideal designed in Photoshop, which doesn't really exist. In connection with one of the actions, there was a 16-year-old girl who sent an e-mail that I would like to read a little from. She wrote: I've been walking around this planet for a long time with a bad confidence. I have felt ugly, stupid and not least fat, precisely because of the perfect models I have seen on TV and advertising posters. The ones with skin that glows, the hair that shines, the ones with slim bodies. I've been crying, and I've been weak. But now, at the time of writing, I was saved, and that's because of their advertising. I felt struck at several of the points you mentioned. Thank you very much, you have no idea how many girls and boys will help you. There has been no lack of facts or stories that the massive pressure of appearance experienced by young people is harmful. What has been missing is the political will to do something about it. Therefore, it is very gratifying that Stortinget is going in today to notice all the reticent advertising. It shifts responsibility away from the individual and places it where it belongs, with a cynical advertising industry and a fashion and beauty industry that knows that it is good money to earn on poor self-confidence. Today, we need to stand up to an industry that, as a business model, has just to impose and exploit the poor self-esteem of young people. The party of progress writes, I see, that it is important to combat body pressure, but votes against the proposal and has no own proposals to combat body pressure instead. But it's no shame to turn around. It's a good idea to listen to good arguments, which several parties have made here in the Chamber today.
ParlaMint-NO_2021-06-02.ana.ud52e1365	The government has put forward a proposal for an obligation to label reticent advertising. There is one of several instruments this government wants to use to combat the body pressure in society. I want to start by thanking the Committee for the work that has been done, and thanking you for the debate that has taken place. I wish many children and young people had heard the good posts that were held, and not least the memory that they are good enough as they are. When the rapporteur had his statement, I was sitting and reflecting back in history. I was the leader of the Youth of the Christian People's Party in 2010 and I remember well the discussions that were at that time, and the common propaganda that was between the various youth parties. I had no idea that I would be here eleven years later as leader of the Christian People's Party and the Minister for Children's Affairs and Family Affairs and would be allowed to present the proposal and see it adopted. It's an important job that's been done by the youth parties, and I want to acknowledge that. There are many studies and reports that show that idealized bodies that are produced in the ads affect the perception of our own body and our own appearance. This applies in particular to children and young people. A lot of people are striving to like the people in the ads. They often use different and more or less invasive tools to change their appearance. We cannot ban all advertising that contributes to body pressure, but we can demand that the advertising that shows beautified or idealized people draws our attention to the fact that they are – that the characters in the picture or the film are fixed on. In this proposition, the government proposes that a requirement to label advertising should be part of the marketing law’s requirements for good marketing practice. When Stortinget now joins our bill on the obligation to label reticent or otherwise manipulated advertising, I believe that Stortinget is taking an important step in the work against body pressure. Compliance with the marking requirement shall not be costly for traders. We're going to create a standardized brand that everyone is going to use. I hope, however, that the brand obligation will contribute to more diversity in advertising because advertisers will show more people who are not fixed. I am pleased and proud that the majority of the committee has joined the government's proposal. The demand for reticent advertising will not end the body pressure in our society. There will still be many who want to change their appearance for different reasons. Our wish is that the brand obligation should help more people accept themselves as they are, that they perceive that they are good enough, and that they drop the efforts to resemble the idealized people who are made in advertising. Then we have to work on many other tools to make sure that children and young people understand that they are good enough as they are.
ParlaMint-NO_2021-06-02.ana.ud52e1381	It's going to be line change.
ParlaMint-NO_2021-06-02.ana.ud52e1386	I would once again like to thank the Council of State for the very good follow-up to the Storting decision in this important matter. I think it is very nice that just this is a matter that has been fought by a broad coalition of youth organisations. It shows that it's useful. The proposal on the labelling of reticent advertising was one of several proposals in an SV representative proposal in 2018, where someone was adopted and others were not. Another proposal that was adopted was the investigation of tightening up the regulation of the marketing of cosmetic surgery. The government has not accepted a ban on this marketing, but other regulations. I hope, however, that this case too can come to an end. I see that more and more parties support the requirement that that type of marketing should not be allowed. So my question to the Council of State is whether it's relevant for him to consider it more closely.
ParlaMint-NO_2021-06-02.ana.ud52e1393	I think the pandemic has shown us a great growth in the desire for cosmetic surgery and intervention, which I worry about. I don't know if it's because you're sitting in a lot of digital meetings and looking at yourself, and that leads to a simple desire to fix your appearance. But at least that's a serious signal. The government has been busy looking at e.g. The age limits and a ban on when interventions can be taken, and I am absolutely willing to discuss different measures regarding the marketing of advertising. I also know that there are different issues that obviously have to be taken into account. I believe that this is an important element, but I also believe in all the other mind-creating work and what I believe the parties have a common desire, namely lifelong learning in school, which has been an important requirement of the Christian People's Party and so far as the Youth Party has also for a long time. I think that kind of instrument is extremely important, but I'm open to looking at other proposals as well.
ParlaMint-NO_2021-06-02.ana.ud52e1402	The cord shift is over. The following speakers also have a speaking time of up to 3 minutes.
ParlaMint-NO_2021-06-02.ana.ud52e1409	It is an important matter that we are getting adopted today, and it is as many have mentioned, also on the basis of proposals from the Labour Party and the Swedish Labour Party. But those who want the real thanks for this becoming a reality are the broad coalition of youth organisations and youth parties that have really been involved in this. This is important, because the beauty press that both girls and boys are facing today is one of the major equality challenges we have, because the framework for being a girl or being a boy is tight. You have to be and look in certain ways to be successful. When I was young, of course, there were also unrealistic ideals of beauty. It will be at all times. It is in the nature of youth to want to reach for something, and so it has always been. In Christmas my little sister, who is now 17 years old, found some pictures of me from when I was 16, and then she exclaimed: Anette, you should be happy there was no Instagram when you were 16 years old! She's probably right about that, because I didn't look like it. I looked like a newborn camel with too long legs and tooth control, and I had inherited clothes, but it didn't do anything. Those who are young today are being subjected to pressure through social media and a advertising industry that did not exist at that time and that is growing more and more. As the Council of State also said correctly, it is not the way we politicians can decide that there should not be unrealistic ideals of beauty, or that the advertising should not exist. It's come to stay. But what we can do is do more to stop the cynical industry that's playing and that's fuelling the youth's unrealistic expectations, and that's also telling them that they're not good enough. That is why this proposal that is now being adopted on the labelling of reticent advertising is so important, and therefore the Stortinget should also have voted in favour of the Workers' Party and the SV's proposal to ban advertising for cosmetic surgery, which we are now seeing.
ParlaMint-NO_2021-06-02.ana.ud52e1418	No more people have asked for the floor on case No. 9th@item: inlistbox
ParlaMint-NO_2021-06-02.ana.ud52e1435	At the request of the Family and Culture Committee, the President will organise the debate as follows: 3 minutes for each party group and 3 minutes for members of the Government. In addition, within the allocated speaking time, up to six rows of replies will be given after contributions from members of the government, and those who have to sign up to the speaking list in addition to the allocated speaking time will also have a speaking time of up to 3 minutes.
ParlaMint-NO_2021-06-02.ana.ud52e1442	With regard to the proposition that is the basis for the matter we are dealing with today, important things are now being adopted in this Chamber. The proposition indicates that there is a need for legal regulation of a lower age limit in order to recognise marriages made under foreign law. This also applies in cases where the parties are not associated with Norway. This was especially updated during the refugee crisis in 2015. It is noted that the prevalence of children’s marriages is a serious problem with a high geographical and numerical extent. The Ministry also points out that current legislation presents a risk of different practices and discrimination, because different authorities consider the conditions for recognising marriages according to marriage law differently and are not bound by each other’s decisions. It is now proposed that marriages made under foreign law should not, as a general rule, be recognised if one or both parties were under the age of 18 when they married. The proposal applies where the parties were unrelated to Norway in the form of citizenship or residence at the time of marriage. This means that such marriages shall not have legal effects under Norwegian law. Thus, the general rule is the same as today’s rule that applies to persons who were related to Norway when they married. The amendments also provide for an adjustment to the 18-year limit for the conclusion of Norwegian marriage under Norwegian law, which is absolute. As rapporteur of the case, I am very pleased that the government finally, after a long time, put forward the proposal that responded to the success of the Progress Party for the Enlargement's request decision 742 for 2017-2018. The Committee's recommendation is promoted by an overall committee, with the exception of the second paragraph of Article 18b and the second paragraph of Article 18c, promoted by the Workers' Party, the Right, the Centre Party, the Socialist Left Party and the Christian People's Party. The Progress Party believes that there are no good reasons in this world to grant exemptions from the ban on child marriage. I want to draw myself back to a Progress Party post.
ParlaMint-NO_2021-06-02.ana.ud52e1459	Every year, 12 million girls get married. It's a huge challenge for equality and not least the sustainability of the world. These girls are hindered in education and have little chance of caring for themselves. It is contrary to the UN Convention on the Rights of the Child and, in particular, to the objectives of sustainability, which states that children under the age of 18 should not be remarried. Child marriage is widely used as a negotiated commodity in order to secure the needs and finances of families. This is also very much about poverty in the world, which we all want to combat. I am very pleased that today we are adopting restrictions on the current law, because today's legislation poses a risk of different practices because different authorities consider the conditions for recognising marriage differently. Today, marriages with minors concluded in a country under foreign law are not to be recognised. That means we get a more similar practice. Marriage shall not be recognised if one or both of the parties are under 18 years of age, even if they married before they were 18. There are some exceptions. I note that the Progress Party does not support it, but if you have married and one of the parties – and that is explicitly mentioned – was 16 years when the marriage was concluded, and you may be 50 years old today, and they live well together, have children, and both agree in writing that the marriage should not be dissolved, we believe that it is not right that the state should intervene and dissolve this marriage. But this belongs to the exceptions, and it is the Governor who is given authority to oversee it. Thank you to the President-in-Office of the Committee on the Rules of Procedure, the Verification of Credentials and Immunities. We've been drivers together to get to this law, and I'm very happy that it's coming in this magnification period.
ParlaMint-NO_2021-06-02.ana.ud52e1472	Thanks to the employees at Stortinget who do a brilliant job under the pandemic. I'll take the opportunity to say that. In this proposition, we're going to have some important legislative changes that send out clear and intelligible signals. During the coronary pandemic, both the WHO, that is, the World Health Organization, and the UN have alerted the negative developments in child marriage. An article in Our Country on 14 February says: ‘The UN expects that the pandemic and its economic consequences will result in 13 million child marriages between 2020 and 2030, which would otherwise not have occurred.’;» ‘Unlikely to have occurred’ — therefore, this topic is being updated at an extra moment. We in the Centre Party are in favour of making changes to the marriage law that strengthen the protection of minors. With these changes, Norway will make it clear that we do not recognise marriage concluded where both parties or one were minors, i.e. under 18 years of age. The refugee crisis in 2015 gave us an insight into the spread of child marriages, and so it is – the pandemic taken into account – that unfortunately this practice has not become less widespread in recent years. The UN also points out that child marriage is a harmful practice, and most know it. The challenge that today's situation is what it is is that it is very difficult to get an overview of how many are involved, and therefore, of course, it is difficult to punish or help those who may be in these marriages under coercion. Therefore, it is appropriate that we fulfil our human rights obligations to protect children from such marriages with adjustments to the law on the legal instrument to define what is law, how the law should be interpreted and practiced, and to whom the law should apply. With this proposition, Norway as a nation says that we do not accept this form of marriage.
ParlaMint-NO_2021-06-02.ana.ud52e1490	Child marriage is a serious problem in large parts of the world, and Norway has a human rights obligation to protect children from it. As the previous speaker pointed out, we see that the numbers from the pandemic show that there are very many children — and especially girls — who lose school and are married instead. There are dramatic stories that are told, and therefore I just want to remind you how important it is to work internationally and through assistance with education for girls, because it is one of the most effective means of avoiding child marriage. I am also very pleased that the Stortinget today joins the government's proposal for changes to the laws that will help protect children who come to Norway from being considered married here. This gives a signal that Norway does not accept child marriage and that we are following the UN’s sustainability goal to eliminate all harmful practices such as child marriage, early marriage and forced marriage. Today, there is an absolute 18-year limit for marriage in Norway. We also have a general rule that those who marry under foreign law and are related to Norway must be 18 years old in order for marriage to be recognised. What we're doing today is we're tightening the law so that the 18-year limit also applies to those who at the time of the wedding had no connection to Norway. In addition, the government proposes some clever exceptions, including: in the interests of our obligations under human and EEA law. In the event of a derogation, only the manager of the State is required to deal with applications to that effect. The assessment is therefore moved from several different authorities to one authority. This will provide more effective and consistent treatment and will contribute to peak competence in the field. This also implies the ability to keep statistics and to get an overview of the exemptions granted, so that we can assess whether there is a long-term need and basis for further legislative changes. It is, according to Norwegian law, unclear whether parties to a marriage that is not recognised here can remarry. The proposal proposes that the parties may remarry under certain conditions in the event of non-recognition. It is also proposed that the time limit for bringing proceedings on the validity of compulsory marriages be extended from six months to one year in order to improve the time available to parties who are subject to forced marriages to decide whether or not to bring proceedings. But I am very pleased that the Storting today is behind the proposal, and I think it will be both an important signal and important for those who are in the terrible situation.
ParlaMint-NO_2021-06-02.ana.ud52e1507	It's going to be line change.
ParlaMint-NO_2021-06-02.ana.ud52e1512	I am very pleased that the government has finally presented this matter. And then we can agree that the Christian People's Party believes that there are good reasons to grant exemptions from child marriage, while the Advance Party believes that this should not be the case. However, what I think is fine is that this will also be the theme of this year's TV action, focusing specifically on just child marriage, not only in Norway, but as a global challenge. I think that the Council of State definitely shares the concerns that I have for it. But I could imagine challenging the Council of State a little bit as to what he thinks Norway can do internationally to send a crystal clear signal that child marriage is not acceptable.
ParlaMint-NO_2021-06-02.ana.ud52e1519	I'm glad of that question. But first of all, I just want to say that if the representative and I had sat down and evaluated some of the examples of which exceptions must be granted, there are cases where you may have been 17 years old when you have made a marriage. I want to remind you that it's not very long since it was also allowed in Norway to apply for an exemption when you were over 16, but under 18, and when you may be 40 today, you have children, and some are possibly women without a job, you will stand on the bar and be very alone if you're not allowed to be married anymore. But on the other hand, it is an important question from the representative. I think sending crystal clear signals, as we do now, is important, but I also think Norway needs to use the position we have, as I said in my post, to channel funds into education for girls. It's been a major priority for me to say the non-socialist parties over a long time. We know that it's hard to work with those kinds of values and attitudes, because it has to come down a little bit, too, so using the different NGOs, the voluntary organizations, to play with them, I think it's a very important tool to create attitude changes.
ParlaMint-NO_2021-06-02.ana.ud52e1524	Disagreements or not, can the Council of State confirm that, although these marriages had not been recognised, they had the freedom to remarry in Norway?
ParlaMint-NO_2021-06-02.ana.ud52e1529	Yes, it is clear that if it is not a recognised marriage, there is no obstacle to remarriage. But as the representative probably knows well, there are religious reasons why you might not be able to remarry, so it could also be a hindrance to these people. But I would like to stress that there will be a very narrow exception to this. As I said, there are some human rights and also EEA legal obligations that we have to follow, and that is why we have proposed these exceptions as well.
ParlaMint-NO_2021-06-02.ana.ud52e1535	Can the Council of State then clarify whether he believes that religious reasons are troubling children’s legal certainty and fundamental human rights?
ParlaMint-NO_2021-06-02.ana.ud52e1540	I would like to say that it may affect the legal security of children and the safety of their children if their parents cannot remarry and that one of these reasons loses, for example. different rights or not at least one spouse, who may be entitled to no rights. I think that is a serious problem. The Norwegian law will apply to everyone, but if one of the different religious reasons does not want to remarry, there is not something we can adopt in this room. It's about a conviction, a belief that's there. So I think that in most cases there will probably be different ways to solve this, but that's what's the reason for us, that we have some human and EEA legal obligations that we have to adopt in line with. That's why it's also a very narrow exception, and I mean as I said, it's possible to come up with good examples that it might be possible to give such types of exceptions, where both want it and really love each other, even if it was concluded when they were 17.
ParlaMint-NO_2021-06-02.ana.ud52e1545	The cord shift is over. The following speakers also have a speaking time of up to 3 minutes.
ParlaMint-NO_2021-06-02.ana.ud52e1552	The last time we discussed this matter in Stortinget about introducing an absolute 18-year-old limit, we had some very committed young people in the audience gallery. Unfortunately, it is not possible today, but I would like to extend a special thanks to Wedding Busters, incredibly committed and competent youth, who went ahead and took the initiative to get an absolute 18-year-old marriage limit in Norway. This is, as was said earlier today, a very important issue of equality policy — yes, in Norway, but also internationally. In fact, it's one of the things I've drawn up several times on the occasion of women's day. I believe that the matter we are adopting here today is important, but I am afraid that the signal will not be strong enough, as you accept exceptions. It is entirely permissible to disagree, and that the Council of State argues that religious reasons should be something that trumps the rights of children, of course, all the parties in this Chamber are free to support. However, this cannot be left behind by the Progress Party. As the child's representative, I believe it is as important to send that signal here in the country as it is beyond our borders. Under the corona pandemic, we've seen cruel explosions in numbers in several places in the world. The UN Children's Committee and the UN Committee on Women's Discrimination consider child marriage to be a very harmful practice. Such regulation could be an example of follow-up to the authorities of other countries, thus contributing to the abolition of this undesirable practice of marriage with children. The Progress Party believes that the exemption will undermine the work against child marriage. Therefore, we believe that there should be no possibility of exemption, and we therefore do not support the second paragraph of Section 18(b) of the bill and the second paragraph of Section 18(c). Children should have children – in Norway, but also in other countries.
ParlaMint-NO_2021-06-02.ana.ud52e1565	No more people have asked for the floor on case No. 10th@item: inlistbox
ParlaMint-NO_2021-06-02.ana.ud52e1582	At the request of the Business Committee, the President will organise the debate as follows: 3 minutes per party group and 3 minutes per government member. In addition, within the allocated speaking time, up to six rows of replies will be given after contributions from members of the government, and those who have to sign up to the speaking list in addition to the allocated speaking time will also have a speaking time of up to 3 minutes.
ParlaMint-NO_2021-06-02.ana.ud52e1589	Norway is a rich and important port, not least in terms of our fishing resources. It provides many and important jobs across the coast, and it contributes to creating important values for our country. In 2020, the total catch value came to 53 billion. kr. This is a matter which we receive annually for treatment in Stortinget, and which shows how important international cooperation is for the maritime food industry. The notification provides a good overview of the resources and management of the agreements we have with other countries. We're dividing by 90 pst. of our resources that we harvest, with other countries. With our long and proud tradition as a fishing nation, it is important that we also contribute to sustainable management of the sea, and illegal fishing is still a major threat to fishing resources. So much as 15 pst. of all fishing is illegal, and the fight against illegal, unreported and unregulated fishing, known as UUU fishing, which former fisheries minister Helga Pedersen seriously put on the agenda, is still important. So it is important that Norway is still a driving force in that work. The United Kingdom has now become an autonomous and important coastal country after its exit from the EU. New of the year is the tripartite agreement concluded with the EU and the United Kingdom on the management of the common fish stocks that we have in the North Sea. Norway and the United Kingdom concluded an overall framework agreement on fisheries cooperation last year, but we have failed to reach a bilateral fisheries agreement for 2021. It is a joint committee which notes that it is regrettable that it has not been possible to reach an agreement with the United Kingdom, but it is important that Norwegian interests are safeguarded and that we maintain key principles of mutual fisheries management. I would also like to say that the free trade agreement with the United Kingdom, which I hope will come soon, also has a major impact on maritime nutrition. It is important to get it in place very quickly, and it is regrettable that there is not yet an agreement on the table for treatment in Stortinget. So I hope we see that agreement fairly quickly, because it matters to so many industries, and not least to the seafood industry. With that, I recommend the overall attitude of the committee.
