ParlaMint-NO_2011-11-25.ana.ud135e39	The representative, Frank Bakke-Jensen, will present a proposal for a representative.
ParlaMint-NO_2011-11-25.ana.ud135e391	It was a wonderful experience to hear the debate today, not least because a government council from the Red-Green government used the word commercialization without the ironic undertone that a general has when we discuss how private can contribute good health care solutions. Commercialisation is almost an idealist approach. If we think about it, the whole community is based on us doing things that pay off. Without a commercial sector, politicians would not have had a single crown for distribution. I registered that the Council of State said that there was a wide range of instruments to promote research and innovation, and that is right. But then the question is, do these instruments work, have we seen in total this research and innovation climate as the previous speaker, Warloe, was involved, which is so important? Then I believe that the task now is not just to get even better benchmarks in the Nordic region, which the Council of State had in mind in an earlier article. I believe that it is possible to do something as simple as go to the patent authorities in the Nordic countries and hear how many newly registered patents there have been, and how Norway is in that race. Compared to the population, I can give the answer: Norway is the lowest in the Nordic region in terms of newly registered patents. What I was going to ask the Council of State about in a line, and she might come back to in a later article, is if the Council of State has asked herself why. You can react to it in two ways. There's no problem, we're going to live by being a commodity exporter, so we're not going to process or add so much competence into our goods. That's an answer. The second is that it's a problem. If we agree that it is alarming that we have a lower rate of innovation and research than other countries with which it is natural to compare, the question is what we are doing. What I see from the government in this debate is that, in addition to agreeing on good proposals from the proposers, there will be no concern about improving the general framework conditions, will not do anything about tax incentives, will not go further with the tax FUNN scheme. At all, one is not willing to see other distortions of the current tax system, for example. the taxes on wealth, which are also assessed and payable by non-profit enterprises, and this is typical of many start-ups. I would also like to strike a blow so that we could discuss it openly if you did not raise the child with the bath water in its time, when you cut the option system to make it a pale shadow of yourself.
ParlaMint-NO_2011-11-25.ana.ud135e404	I still believe, of course, that this is an important, interesting and informative debate, but what is happening on the proposal page is a bit ritual. The opposition is asking for a plan and a strategy, and government and position say we don't need plans, we already have a lot going on. For the fourth, or the fifth, or the sixth, or the seventh time from this pulpit, it still surprises me a little bit that it is the opposition who is going to ask for plans and strategies, while we are in position to say that there is a need for action here. Especially now when we're going into research reporting, it's funny that we're going to stop and start planning and strategy work, when there's so much going on, which the Council of State told us in a very good way. I am therefore in favour of what is proposed here. There are two types of proposals. On the one hand, the measures actually under way are as follows: What I said, and cf. the review carried out by the Council of State, e.g. The FORNY programme and the SkattenFUNN programme. And on the one hand, there are proposals that are direct contributions to the ongoing budget debate we have. As far as barometers are concerned, I fully agree that it is important, we are going to process it further, and we have had good debates on this. We're going to count and capture what is possible on a barometer. Similarly, in the debate on award criteria, the funding debate applies. Once again – I have to get back when I am praised from the pulpit – I would like to ask that we listen to the Progress Party and Tord Lien's reflections on it. We also need stories as well as censuses to capture the benefits of the entire research. Some of it can probably be placed in a barometer, it's going to be interesting to continue working on the future. To break the idyll with the Progress Party to the end and make a message to the Right: I think it's a bit funny that the two parties are so excited that the regional research funds are a wrong tool. In order to capture that part of the business that we need to gain more research awareness into – Dagrun Eriksen had an article about that business – we need one – we should say – low-threshold services. In addition, we need a meeting between research environments and business and society in our country. It's very good for business, and it's very good for researchers. I think that will at first give an increased understanding and curiosity of research and R & D work, and it will also make researchers good at meeting the needs of the type of business and local and regional society. Regional research funds, I think, are a good tool if we want to increase both the level of commercialisation and the value added of research.
ParlaMint-NO_2011-11-25.ana.ud135e417	Several have not asked for the floor on case No. 1st@item: inlistbox [[See page 851]]
ParlaMint-NO_2011-11-25.ana.ud135e433	At the request of the Committee, the President will propose that speaking time be limited to 40 minutes and allocated up to 5 minutes to each party and up to 5 minutes to the member of the Government. Furthermore, the President will propose the possibility of a replacement of lines of up to five lines with replies after contributions by a member of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2011-11-25.ana.ud135e442	It should be a wish of the Progress Party to improve the scheme, not prepare the scheme, but we will come back to that. It is an objective for us as politicians that people with disabilities should be guaranteed the possibility of an active, independent life in line with everyone else. A clearly crucial part of achieving that objective is the availability of various tools to compensate for some of the practical problems that arise for the disabled person in the face of society and the practical barriers that prevent it from actually participating. The issue we are dealing with today is just about that – one important tool to increase the possibility of participation in work, the possibility of active leisure time and other forms of participation in society. An organized car is important to make everyday life as simple as possible. Therefore, State aid is also granted to these types of cars, divided into two categories, which are granted according to certain criteria and the degree of functional impairment. That there must be rules for who can be allocated cars, and what kind of cars, is obvious. In 2003, the Bondevik II government made changes to the car code, which meant that a distinction was made between so-called Group 1 car and Group 2 car. The reason for the conversion was to increase resources to follow up users who have the most severe disabilities, and with the greatest need for a specially adapted car. The size was unanimous in that the conversion was correct, and criteria were then set for who would have access to the different car categories. The system of change has worked for eight years, and over the two years this committee has been in operation, we have been made aware of cases where it seems unreasonable that Group 2 cars have not been granted. In a system of award criteria, it will always be that someone who thinks they should be given does not get – unfortunately. The question we politicians then have to ask is, of course, whether the border is set in a reasonable place. I think everyone remembers the Filip case from 2010, about little Filip that wasn't assigned to a van because Nav thought he could go a little bit, even though the parents' application was based on the fact that Filip had to be carried in and out of the family car. A growing boy gave the family more and more stress, but Filip didn't fit into the criteria. The case and other, different individual cases have shown that there may be a need for changes in the system, and the entire committee, and also the government, believes that today's practice, where Group 2 cars are given only to those who depend entirely on using a lift or ramp to get in and out of the car, can become too snowy. That is also why the government in the 2012 budget extends the Group 2 car scheme to children and young people with some timeliness. It is a step in the right direction, and with such a strengthening of the scheme, we can improve the daily lives of some families with disabled children who have not received such support in the past. That's good, because this arrangement is and will become, whether we like it or not, a budgetary question. I'm glad we found room for this in next year's budget. I am also pleased that the Council of State has announced that we will go through the entire car welfare system, and I look forward to getting back to that matter with discussions on changes and reinforcements in that connection. Then I want to point out that people who do not meet the criteria for Group 2 car, but obviously have a different need than Group 1 car, are offered a trailer as an intermediate solution between Group 1 and Group 2 in order to carry aids, like wheelchairs, by car. It may seem unreasonable for those who are referred to such a trailer but who feel that the need is quite different. Then I'm glad we're going to have an opportunity and come back to these things in this room. I am also pleased that the government has found room to extend the scheme already now, and that the Council of State is on the offensive and believes that improvements are needed. That's what we're going to get back to after the evaluation.
ParlaMint-NO_2011-11-25.ana.ud135e472	In the case of long-term mobility difficulties, subsidies may be granted for the acquisition or re-acquisition of a car, depending on your own car in the case of transport to and from work or in order to improve the functioning of daily life. It is assumed that the user has a real and comprehensive transport needs, and it actually has most people today. In St. prp. No 1 for 2002–03, a simplification of the car support system of public interest was proposed. A differentiation was proposed between users in need of a normal passenger car and users in need of a specially designed van. For Group 2, it was proposed that the existing social security scheme should be maintained in substance. This group would be better off with the new scheme. The latter regulation was designed, and as it is practised today, does not fulfil the Storting intention, but instead results in many more people with severe immobilisation being denied an application for Group 2 car – many more now than before. The Progress Party therefore had great hopes that the Storting would put the closet in place as they became aware of how the allocation practices had developed, and how this daily affects people who do not have their rights to participate in the world of work, in leisure and in social settings. Some users have filed a complaint with the Social Security Court without receiving any support. In one case, the applicant was granted the law of the law, but lost to the Supreme Court when the Directorate of Labour and Welfare referred the matter to it. Allocation practices were further reinforced. The most famous media issue is perhaps the Filip case, which was mentioned here, and which TV 2 has followed up at regular intervals. Other parents who have not been granted their applications have also appeared in the media to show how hopeless today’s award practices are. These parents have now been heard to some extent. From next year the rules will become somewhat more flexible for children under 18 years of age, but why will the government not also be able to change the regulation for them over 18 years of age to meet their needs? Government parties may be impossible in the belief that the need for transport and their own car will fail when a person reaches the age of 18 and can drive himself. In the last few years, the budget line for vans has been reduced by over 200 million. kr, which testifies to the fact that fewer and fewer applications are accepted. Most people who get a discount are actually adults. TV 2 has also had several entries about Henrik, who was taken away from his van without getting any new car at all. This was justified by the fact that he had no extensive transport needs. That's what Nav decided. In the NRK news on Wednesday we got the story of Odd Arne Mathisen, who needs a custom car to get a job, but it wouldn't Nav give him because he's not at work. It may not be so strange that the government has so far failed to help more disabled people get into work, when many have to spend years and effort to prove to Nav what they need. Unfortunately, there are many who give up the fight in such cases. On 9 February this year, the Council of State answered a question from me whether she would consider a change in the car regulations. The Council of State then replied by referring to the judgment of the Supreme Court. That's exactly what we were hoping to change today, because it's a regulatory change that needs to be made in order for this practice not to continue. She also pointed out that there was a budgetary matter, and said the following: ‘Then, like the representative, I can say that I could also wish that anyone who needed it got it. But as a responsible government party, there are also some financial priorities for the budget." The government is now granting only 18 million. kr extra to a car arrangement, so that they are kept under 18 years of age. There would be a need for approx. 300 million. kr to ensure that adults are also taken care of. It's a small amount in the big government budget. The reason they give in to children is that TV 2 has repeatedly made the hopeless situation visible to the parents of Philip and others. But what about all those who can drive a car themselves, all of them over the age of 18? The government is fully aware of the fact that many are being refused despite the fact that they have severe immobilisation and the need for a van. Is this a responsible policy? Many who were previously qualified for Class 2 cars are now offered a car with a normal trailer. Those with whom we have spoken believe that this is an inappropriate tool, and aids should be appropriate. Thus, despite what has emerged in consultations, through the media and through direct contacts from applicants, the government parties will not join the proposal. This shows how aids to disabled people are systematically deprived by the red-green government. I am sincerely disappointed and take up the proposal of the Advancement Party, the Right and Christian People's Party.
ParlaMint-NO_2011-11-25.ana.ud135e499	The representative of Vigdis Giltun has taken up the proposal to which she referred.
ParlaMint-NO_2011-11-25.ana.ud135e502	For the Right, it's important to give individuals the chance to develop themselves with all their abilities. It shall facilitate a society with opportunities for all, where everyone shall have the freedom to live independently. Everyone who falls outside has to get a new chance. Then it is important that those who have the greatest need for society to facilitate them – those who need a little more to have the same amount – have access to what they need. One of these groups is just those with strong motion inhibitions. It doesn't make any sense to me that those who are persons with reduced mobility, but who have any function at all, should stand completely without the right to group 2 cars. The alternative, as we've heard before here today, is, as it is today, a normal car with a trailer. For many of them, it's almost an insult to expect to be offered this. While they could have lived with a group 2 car to a large extent free, independent life, they wouldn't have been able to do this with a car with a trailer. A trailer is unmanageable for obvious reasons and is something quite different than a group 2-car. In addition, it is almost completely impossible to use it normally, for just finding a parking space is almost impossible. It is nice that the government has found money in the next year's budget to at least be able to offer Group 2 cars to children under 18, but there is no relevant difference between a 17-year-old and a 19-year-old. He in 19 years needs such a car in order to live a free and independent life, get educated and get back to and from, for example. job. It will serve society, and for the individual person concerned, it could mean the difference between an isolated social security and an active life in work. To this end, the right would like to thank the proposers for a good and constructive proposal, which would be of great importance in the everyday life of many individuals if adopted. We support the proposal, and we have also spent money on such an extended arrangement in our alternative budget. We hope that the government parties will also see more light in this matter, although I fear that those who so many times otherwise agree to a good proposal because it comes from the wrong person and party. I would also like to express my concern about the length of the procedure for such car applications, which could lead to a deterioration in the ability of new users in particular to participate in society as a result of having to wait a long time for the decision to be taken on a car. I am pleased that the Council of State writes in a response to the red-green parties in the forthcoming draft budget that changes to the car aid scheme have now been in force for more than eight years, that she has taken the initiative to evaluate the scheme now, that she aims to initiate such an evaluation as soon as possible, and that any proposals for further adjustments to the interface between Group 1 and Group 2 will be considered in the light of the results of such an evaluation. So the welfare state can't be all for everyone, but it has to be strong enough for those who really need it to get what they need. Some people have to have a little bit more to get as much freedom as the rest of us.
ParlaMint-NO_2011-11-25.ana.ud135e519	This matter is at the very bottom about the possibility of participation, about equivalency, about being able to participate in leisure activities, about being able to participate in work, and not least about building social networks, which you can get through work and leisure activities. Today, there is a system where, fortunately, a person can at least get some support, but as several have already pointed out, it is often not very appropriate. There are many people with severe disabilities who have been denied the benefit application for Group 2 car. The system has been in place for eight years, and once one has seen the verdicts and not least the Supreme Court judgment, to which several have already referred, it also shows the need for change. If you go back to the paperwork and the decision that was unanimous in Stortinget, the change was not meant to be what has been decided. It may show the changes in the year's budget and also the contribution to the rapporteur, which was a good contribution and which describes a clear willingness to and a clear agreement that there should be changes. We have all seen users like Filip and Henry, who are mentioned, and more who have been rejected, and some have been given a trailer – with all the disadvantages it brings. Just because they are able to get in and out of the car without using the wheelchair, they have been refused, even though they have a severely reduced functionality otherwise. The Christian People's Party supports the proposal promoted by the Progress Party. We have also invested money in our alternative state budget, because we want to expand the arrangement for those over 18 years of age. We all agree on the division into social security schemes for car group 1 and group 2. But this case is about better targeting the target audience based on what is really the intention, which is also agreed in the hall. When you look at both the comments from the government parties and the response letter from the government council, you will find that an evaluation has been started – which is good. There is also a clear consensus when the government has gone in to provide Group 2 car support to those under 18 years of age through the State budget. That's good, too. I must also point out that we do not have all the world with time in these kinds of things. The previous speaker pointed to a long trial period. The representative Giltun also pointed out that there are many who have a difficult or degraded life situation because they have been denied and who are waiting and waiting. That is why I would encourage the government to proceed with the matter. If you agree, at least you have to be able to get ahead, so that you can solve this. It's not about crazy big sums, either.
ParlaMint-NO_2011-11-25.ana.ud135e536	Support for cars, and in particular the demarcation between Group 1 and Group 2, has been highly debated in recent years, both in political space, among user organisations and in the media. The proposers want the Group 2 car scheme to be extended. In concrete terms, the proposal states that all those with ‘difficult mobility difficulties and a real transport need for Group 2 cars are entitled to car benefits in this group in accordance with the applicable legislation’. The group we are discussing here receives a subsidy for a car in Group 1 under today's legislation – a scheme in which you can choose which car you want to buy. The motor vehicle compensation legislation was amended from 1 April 2003. The main purpose of the change was to make better arrangements for them with the most extensive disabilities. This meant that, within the overall financial framework of the car system, attention should be paid to the needs of the group that needed the most assistance. A new scheme was therefore set up, setting up a distinction between social benefits for those with normal needs, Group 1 and those with the need for a specially adapted car, Group 2. The entry conditions for entitlement to motor assistance were not changed in 2003. However, changes were made in the measurement of the benefit. As a result, persons in need of a specially adapted cashier receive a need-tested interest-free and discount-free loan. The scheme was economically more favourable than before, as according to today's legislation only 150 000 kroner of the car's total price were tested. This avoids a higher proportion of persons in need of expensive cars than persons in need of less extensive ones. It has been an ongoing government assessment whether the interface between the Group 1 scheme and the Group 2 scheme is correct. In view of the experience gained from the Employment and Welfare Act, as well as the input from users themselves, we have now proposed in the 2012 State budget to extend the Group 2 scheme to children and young people under the age of 18 with very limited walking capacity. I am pleased that a joint committee thinks this is a good proposal. The implementation of legislation in this area has been demanding. I have therefore notified the Stortinget that the legislation we are discussing here should be evaluated. The aim is for such an evaluation to start in the spring of 2012. I believe it is important to go thoroughly through the legislation and its practice before considering whether the interface between Group 1 and Group 2 should be further adjusted. As of today, we do not have enough knowledge to conclude on how the criteria for Group 2 should be in the future. The first step is therefore that the legislation is now being evaluated. I will return to Stortinget in an appropriate manner with a review of this legislation after the evaluation has been carried out and evaluated. Otherwise, I understand the Committee's concern about the length of the procedure in the field of cars. Reorganisation of the procedure in the field of cars is not part of this case. However, the report I get from the Directorate of Labour and Welfare shows that it is an improvement in the processing time. There are also clear indications that the practice of legislation is more consistent than in the past. I will continue to follow this up in dialogue with the department and will keep Stortinget properly informed about developments.
ParlaMint-NO_2011-11-25.ana.ud135e553	It's going to be line change.
ParlaMint-NO_2011-11-25.ana.ud135e556	At the 2003 reading, the scheme was intended to improve for those in need of vans. How will the Council of State explain what has happened in the last two to three years? There has been a dramatic decline in the allocation of the type of cars, while we see a lot of applicants who would have previously got vans, standing up and saying that they no longer get it. Is this an improvement for the group mentioned in 2003? So I want to say something about this with the 18-year limit that is now being introduced. Isn't that an age discrimination? Is there any technical justification for this, or is there a purely economic issue that makes it impossible for the Council of State to decide now to give them with a real need a better offer than they have today?
ParlaMint-NO_2011-11-25.ana.ud135e564	When it comes to better or not better, I think you have to separate two things. Firstly, one of the points of what was done in 2003 was to give priority to a group with a greater need. That's what you've done. Then the representative points out that in practice it doesn't work this way. The following must be borne in mind: there has been criticism from the National Audit Office regarding the management of this scheme, that there was a big gap in how this was carried out and distributed around the country. That is why the system has now been reorganized, so that it has gone from 20 – well – or 19 different arrangements to five offices that make these decisions. A more consistent practice has then been established. That practice may have been more stringent, but some of the background has been that initially, an award has been made under bad conditions. There has been a more consistent practice, which may have indicated that some people feel that they would have a van in the past, but do not get it now. The most important thing for me is that the processing time is too long, and it has also done that you have not received an award in line with what you might get.
ParlaMint-NO_2011-11-25.ana.ud135e571	The establishment of car centres should lead to better conditions for users. Has the Council received many feedback from users that they are satisfied with the new scheme and what has happened in recent years in terms of the allocation of car, waiting time, etc.? Or is it that what has happened in the last few years is affecting people with reduced mobility, so that they no longer get what they once had the opportunity to do, that is, that they have had worse relationships, are they against what the government is trying to give the impression of? When it comes to getting back to work, it's like you don't always get back to work. Very often you have a time in society – in social life. You are active in other areas before you can get back to work. How should Nav really assess who needs a car, i.e. Do you need a lot of transport? Don't most people have it today?
ParlaMint-NO_2011-11-25.ana.ud135e578	I have been quite clear in my answer, both now and in connection with the case that has been raised, that we are not satisfied with the way this arrangement is being practised today. That's also the background for us to be clear that we're going to evaluate the system, both how to manage it, and the boundary between Group 1 and Group 2, i.e. the regulatory framework for who gets cars today. Just so that it is clear that I have said it: I fully understand this. So it's my point that you have to do this properly. And when the representative asks who to assess whether you have a need or not, it should not be understood that these are expensive schemes. The expensive, good arrangements must be given to those who have a right and a right to do so, but it requires good regulation, which must be well managed, and some must decide and enforce it. So that's what Nav is going to do, and I have faith that they're doing it in a good way. But the important thing for me is that we now go through the system and see if there is a need to change the legislation.
ParlaMint-NO_2011-11-25.ana.ud135e585	I understand that the practice of a code that is not fully boxed is demanding. However, it is also the case that in a statistics collected from the Norwegian Handicap Association of Car Importers for Group 2 cars, there is a halve of delivered Group 2 cars, from 700 to 340, in the period 2007/2008–2010. There's a pretty big decline, and that decline seems to continue in 2011. Now it is possible for the Council of State to give Nav new guidelines for the allocation of resources. I understand that she intends to do so after the review, but I would like to ask her if she is willing to meet more people.
ParlaMint-NO_2011-11-25.ana.ud135e592	So I have to remind the representative that the legislation we have is not the one that has given this government. Then it is seen that there are some consequences of having legislation for Group 1 and Group 2, and the consequences are further – perhaps you might say – tightened when you practise the legislation more equally across the country, based on what is the actual content of the legislation. It has also been confirmed by the Supreme Court. Now it's very important to distinguish between what's legal and what's political. Politically, I very much agree that it is important to do something about this group and this matter. I will – we have said that we should do that. But we can't say that because the consequences of a regulation are something that we kind of don't like here and now, we have to relax. If Nav had done this in some areas where we did not agree that the legislation should be relaxed, we would be very tight when it came to it. Nav practises this code, according to the Supreme Court, in line with the rules we have given. Now we have to see if the rules are good enough.
ParlaMint-NO_2011-11-25.ana.ud135e597	I hear what the Council of State says, and I understand that she will evaluate the scheme. But there is a drop that is relatively fresh, which came a long time after the last government went off, as I pointed out, in the period 2007/2008–2010. But let's move on to the trial period, because it doesn't necessarily have anything to do with the law. It's long, and it's worrying. When can it be changed? And what will the Council of State do immediately to improve the processing time – because here we do not have to wait for an evaluation of the legislation?
ParlaMint-NO_2011-11-25.ana.ud135e604	I am pleased with this issue, because it also shows – and it is important that I emphasise – the relationship between the length of proceedings and legislation. As I also said to the previous representative, it is clear that fewer applications are being dealt with because there is too much time to deal with – among others. in the current year, this is the case – reducing the number of offers. That's not good. I'm quite clear that we have to follow up all the time. One of the reasons why the processing time has been longer is the conversion of the entire car system, which I think everyone agreed was correct, because – and it was criticised by the Riksrevision – a system that did not work well enough, and that led to very large differences around the country. Then there has been a conversion that has taken time, and has delayed the procedure. It is not good either, but it has been a consequence of this. Now we see that the procedure starts to go down. But I can promise the representative that I am also concerned about this and follow this carefully. However, this is probably also linked to the evaluation. This does not mean that I should wait to “press” the processing time. But things are connected.
ParlaMint-NO_2011-11-25.ana.ud135e611	So the chord change is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2011-11-25.ana.ud135e616	First of all, it is positive that the government is drifting on a matter like this. We in the Progress Party are all equalizing their age. We're going to show them the need to be able to participate in life in the same way as others. That is why we are presenting this proposal. I want to see another thing. The applicant has applied for Group 2 car and received a refusal. At the same time, Nav writes in the rejection that the person meets all the requirements for Group 1 car and all the requirements for Group 2 car, but Nav wants one to try out first hangs, even though both the seeker, the legend and the help center have advised this because the seeker cannot stop one. Then there came a new case handler, who would also replace that hanger with another hanger. And one is not finished here, no then, the hanger came, and he's been standing there from August 18th, 2009. First, he cannot handle the hangar himself, much less drive a car with him. In addition, he does not have any help with the wizard. Even if lizards, specialists, physiotherapists and ergot therapists express themselves and go thoroughly into the searcher's situation based on health and possibilities, Nav skips this. Here, Nav's unlikely ability to sit far above those who know and finish the seeker, by not accepting the application for a group 2-car, but statues say power with the delivery of a hanger, a hanger that perhaps others could have used. The council itself has said that when a seeker is unable to handle hangings on his own, and neither family nor others can help, they will not be able to provide support for the hangers. Words and actions are not the same. It doesn't end here. The seeker is left with an unused trailer, which has been standing for over two years, and his electric wheelchair. Then Nav says he can get a lot around this with a hot bag for outdoor use. In the center, the seeker must cross a bridge. To that the Vegvesen says this must be nonsense. Due to climatic conditions with a lot of weather and wind and a fork width that did not fit the wheelchair, he was not allowed to pass the bridge. One must also note that the rise is so steep that the wheelchair may choke, and one cannot tolerate it. There are also no plans for an improvement of the bridge. So what are we going to say -- a little bit special? Is it perhaps time to come up with an admission that one has a rigid code that is used against humans? Instead, a person should use the power to rely on professionals and their distributions to make everyday life better for them, so that they can participate in life as much as possible. As the picture shows: The hangar stands there today.
ParlaMint-NO_2011-11-25.ana.ud135e633	The last article contains a kind of story that several of us have heard. Something is about the legislation, and something is enough about the fact that the practice of some places is fairly rigorous – if I can say so. When these car centers were laid, the law was wanted to be practiced in the same way as well as to be properly practiced. In my view, the story that my co-representative now had in mind is not a proper practice of the legislation. But I just remind you that the Council of State in its comments and in its reply replies was quite clear that she was not satisfied with how this works today, and that you should evaluate it and come back to it. I also think I have to admit that if I were to get into a situation where I would need such a car – and I have now been driving a car for over 40 years – it would probably be very difficult for me to handle such a trailer while mastering life in a wheelchair. And the community is actually not organized so that you can drive around with the hanger anywhere and park it near where you're going. It is well in the nature of the matter that if you are sitting in a wheelchair, it is also a bit difficult to have a long transport route from the parking lot to where you are going. Of course, this can also be done in practical ways, but I think you have to find a code here that goes within what most of us would think is reasonable. Then I think we also need to know – and I think everyone here knows – that when you live with the kind of challenges in your life, the small and big tasks of everyday life are more demanding. It costs more energy and much more planning, and it takes much more cumbersome processes than for us who are so lucky to be able to walk. That's why I look forward to this conversion. But I also see that it is important to get this similarity in the practice of today's legislation, and that one has to practice it according to what has been the intention of the rules, that people should get the car they need, in order to live a somewhat equivalent and independent life.
ParlaMint-NO_2011-11-25.ana.ud135e644	Things take time, we're used to making changes. But the practice that has now been implemented in the allocation of a car, we have been very aware of for two years now. The case has been up here many times in the last year. It has been shown on TV many times, and I think it is strange if not also the government parties and the government council have thought about this with evaluation and new rules something earlier than when this matter comes to consideration. The proposal that we promoted was launched in April, and we set aside extra lengthy procedural time to try to arrive at a system. The little thing you've come up with today, 18 million. kr, compared to the large reduction that applies to only a few – there are only a few who benefit from what is happening today – I think it is not good if you really mean to meet, and you see that the need is not met. The Council of State itself has said that many do not meet the needs and would like to provide it, but that it is a budgetary matter. Why is more money not included in the budget when it is being dealt with now? 300 million. NOK 200 million. kr, is fine little, but if the government can't get it into a budget when it's had half a year on it, then I have to say that I'm skeptical to when there can be a change. Of course, it's an advantage that it's being looked at further. Nor can I understand why the government parties cannot agree to the proposal today, because what the proposal says is that those who have a real need for that type of car should have it. We should be able to agree on that. And then, in the light of that proposal and that decision, you can design new criteria that are adapted to it. It is strange that as long as the Progress Party is promoting a proposal, it must be voted down at all costs. At the same time, everyone here says that those with a lot of PRM, who really need that type of car, should get it. So we agree. How long will it take to design these criteria? Perhaps the Council of State could say something about that, not just about the evaluation. When can you expect changes? So I'm really wondering how to practice this at the 18th anniversary. Is it so that someone who gets a car when he is 17 years old can have it until he is 27 years old, while one who unfortunately ends up in a traffic accident when he is 19 years old is not supposed to get a car? This won't be easy. I hope that the government can be quick with this evaluation, so something can happen already until spring, at the latest in the revised national budget, and do not withdraw this matter beyond what is necessary. This is about small money, but it hits a lot of people in a serious way.
ParlaMint-NO_2011-11-25.ana.ud135e658	Several have not asked for the floor on case No. 2nd@item: inlistbox [[See page 851]]
