ParlaMint-NO_2011-01-13.ana.ud1737e51	The representative, Linda C. Hofstad Helleland, will present a proposal for a representative.
ParlaMint-NO_2011-01-13.ana.ud1737e555	I would also like to thank the interpellant Höie for putting public procurement practices on the Stortinget agenda. Höie points to important challenges that the Christian People's Party has spent a lot of time on, and will still spend a lot of time and energy on. Today, public purchases of welfare services are not working well. With today's system, very many of the services we need and want are being pushed out of society. Hojee is entitled to ensure the diversity and quality of welfare procurement – and not least the predictability and stability of the users of the services, the employees and the operators of the services. I have no doubt that we share this goal with Höie and Right too. I do not think the government parties want the development and the situation we have today either. However, I must say that I believe that the Right Medicine is wrong. And I think the government parties fail the patients and the ideal actors when they don't use the majority power to save all the offers that have been made, that one is laying down, or struggling to keep his head above the water. It is difficult to understand that some people have to lose tenders and make offers when their services are still needed in society. Why do you put down high-quality offers that could help those who are queueing today? I don't get it. Regardless of system and bid and competition and price efficiency: Why does society no longer have room for the offerings of the Salvation Army, the Blue Cross, the Church Social Service, the Church Bymission and the Sanity Women? Why does Norway no longer have room for the small treatment sites run by fires, which have so much to offer? This is the question – not why the market is not working, or why the government does not see that their policies lead to the creation of monopolies and non-discrimination. The Christian People's Party has for a long time fought to ensure the voluntary and non-profit actors a wider future in the health and social sector. Just before Christmas, the Business Committee examined a proposal by the undersigned and several other Christian People's Party representatives. In this context, the majority of the Committee stated that ‘there is an urgent need to establish more long-term and predictable framework conditions’ for healthcare actors and that this ‘should be clarified as soon as possible’. The majority further considered that all possibilities for using different procurement procedures need to be exploited in order to improve procurement. The majority provided that the space for action is used to achieve public procurement in line with political leadership. The majority underlined the need to ensure political governance through public procurement in order to meet the need for good and proper procurement through clear purchasing strategies. The Christian People's Party welcomes the fact that the government parties went so far as to say that they wanted a regime change to save the non-profit sector. What remains now is to find solutions that meet these policy objectives, solutions that are in line with EEA legislation, but provide a different regime than today. The Christian People's Party has promoted four proposals that we hope the government parties will follow up. Because despite political will and good political intentions, the situation in the sector is very critical. An increasing number of non-profit actors are giving up due to difficult framework conditions and, with today’s system, non-profit actors will disappear in a short time. Therefore, the Christian People’s Party wishes to seek special arrangements and derogations from the general principles of tender and market which apply to this type of cooperation between public authorities and private operators. The Christian People's Party believes that the government must put in place a full stop immediately to prevent further damage. We believe that all current procurement processes must be frozen until new guidelines are in place. New guidelines must enter into force as soon as possible. The Christian People's Party also proposes that non-profit actors be lifted from the bidding rounds and that all agreements with non-profit actors be concluded by direct negotiations on contracts rather than by competitive tendering. The general principle should be that the procurement of health and social services from non-profit institutions serving households is subject to direct negotiations on operating contracts, not to competitive tendering. The non-profit sector has its own value. Ensuring the survival of the sector is a political responsibility. Then a completely new regime is necessary. The Christian People's Party has invited all the other parties to a broad settlement in the Grand Duchy. The government parties have still not shown political will enough or political ability to save the non-profit sector. The right-hand side considers that competition and non-discrimination remain the solution for these sectors. The Christian People's Party believes that just a lack of political control from the government parties and competition, that all actors must undergo bidding rounds... [[President clubs]]
ParlaMint-NO_2011-01-13.ana.ud1737e576	The representative may terminate the sentence, but hardly start new reasoning after the president has clubbed.
ParlaMint-NO_2011-01-13.ana.ud1737e579	Okay. Thank you.
ParlaMint-NO_2011-01-13.ana.ud1737e584	Then it turns out that two more representatives have asked for the floor, and there is room for it within the timeframe.
ParlaMint-NO_2011-01-13.ana.ud1737e587	In the past, government has often been both a stupid and a poor buyer. Many independent consultants have said to me that no one pays a higher hourly rate than the public, and they do not negotiate the price either. That's why we have to have laws and rules in this area. The rules we have in Norway have many very strong sides, and they have some weak sides. A strong regulatory aspect is that it actually prevents and prevents corruption. But, as I said, there are also some weak sides. I want to draw out one of these. I think that parts of what we see around public acquisitions may be reminiscent of a rocket that cannot be controlled after it has taken off the ramp. If you've entered the wrong coordinates, or you've forgotten to enter coordinates, you're going to do what you can, because you can't change it after the rocket's out. The same applies today with the public tenders. If you've forgotten to type something in the text, or if you've written it wrong, it goes the way it goes, and we know it's going to end like this, even when it happens. To make it a little closer to us who are here today: if the presidency had come to the conclusion that they would like to put the Business Health Service of the Stortinge to tender, and the call text would forget to say that the service should be given on Stortinget, it may be that an offer as good as all the others, but cheapest, comes from a business health service at Hamar. In this case, the employees of the Storting and the representatives of the Storting will have to go up to Hamar to get their health studies. It probably won't be considered very appropriate. Interpellant Bent Höie addresses a concern that we get very large players and, in part, monopolistic formations. There have been a good deal of consolidations among private health establishments in recent years. Wherever this occurs, such mergers or acquisitions have had to be assessed by the competition authorities. Everything that has happened has been approved by the competition authorities. It has been mainly because the competition authorities have ended up assessing it in such a way that it does not become monopoly companies because many of these companies are in real competition with the public sector. I believe that this will lead to some new debates in time, where harmonisation of EU/EEA law may lead to a much greater need for the total outsourcing of public enterprises with a partial activity in a private market. There are going to be very demanding debates. Law and legislation on public procurement should take into account quite complex aspects. That's why the process is going to be difficult. I have great humility toward it, and I have a great understanding of how difficult it must be to stand in exactly that role for the people who are going to make it daily. But the reality out there in healthcare is even more difficult, because there's no law on public acquisitions. There are at least ten other major and important laws and perhaps a hundred different regulations. Therefore, our policy must be to ensure that the process of public acquisitions does not become an end in itself, but becomes something to support an overall good and a general purpose. It is to be supported that we are able to provide good and equivalent health services, that we are able to have short waiting times, and that we are able to have an overall good use of resources in society.
ParlaMint-NO_2011-01-13.ana.ud1737e609	The President will probably note that it is some time since the Storting met near Hamar, more specifically Elverum. So the president expects it to be a relatively hypothetical example the representative brought forward.
ParlaMint-NO_2011-01-13.ana.ud1737e612	It is an important topic we are discussing again today. There is a lot of money used to buy private services, and then it is very important that everything goes right, and that we get the best quality possible for the money used. The representative, Tetzschner, claimed that health care businesses are withdrawing private funds to save money. I have to say that I think was a bit of a claim. I would simply say that that is not the case. For example, regional health enterprises have increased their purchases of private rehabilitation services from DKK 995 million in 2005 to SEK 1.3 billion. kr in 2009. Also in 2010 the purchase of such services increased from private individuals. It is clear in the budget, and it will also be stated in the governance papers for regional health enterprises that at least purchases should be made at the same level next year as this year – it was wrong. It shall be at least at the same level this year as it was last year. I think that was correct. Tetzschner will also not accept that in a tendering procedure not everyone can be successful. Besides, it's interesting to note how the Christian People's Party stands for the ideals, and that's what we think is a good commitment, while the two right parties are primarily very important for the commercial ones. So it happens that they also use the ideals – I'm sorry to say that – and maybe push them a little in front of them. But I think that precisely the ideals, of which the Christian People's Party and many of us are particularly concerned – we depend on the others – will lose against the commercials if we let this go for free. I think we are balancing well where we are today, but we have challenges related to tenders being made. That's why we need to ensure quality of these processes, so that they become the very best.
ParlaMint-NO_2011-01-13.ana.ud1737e624	I record that both the representative Tove Karoline Knutsen and the representative Hagebakken are trying to make this a debate for or against tenders, or for or against private ideal and private commercial ones. That is not the debate to which this interpellation really invites. However, if these two representatives believe that tenders should not be used, I suggest that the majority government reject the use of tenders, or that they reject the use of tenders with respect to them. They have the full opportunity. They're in majority. They can do it, but I haven't seen anything about it yet. What one sees, however, is that this government manages health companies that make bids with blindfolds for their eyes, giving totally unsustainable results for Norwegian patients. It is soon time for them to stand up and defend it. The representative Kjersti Toppe and the representative Health had, in my opinion, very good posts. I agree with almost everything, except that the representative Toppe initially does not want a tender. But in those cases where you have a tender, the representative Toppe had a very good input into what you have to pay attention to. Governments in their speeches were very concerned that the tender for the harvest would result in an evaluation. Then it is important for the Stortinget to know what evaluation the Council of State is talking about, for the letter from Health South-East on the radio call in Health South-East concludes that Health South-East will carry out an evaluation of this tender. If that is the evaluation the Council of State refers to, I am in no way reassured, for this is Health South-East's own evaluation of its own bid in a very limited area. If it is the case that the Minister for Health intends to initiate an independent evaluation of all the tenders carried out during the harvest, including: However, in psychiatry, intoxication, rehabilitation and x-ray, one talks about a much more offensive approach that can actually lead to a good political discussion on how to conduct tenders. But that health south-east evaluates its own bids will not bring any change in this area. The Council of State also indicates that the Health West has signed an agreement with many ideals in the field of drugs, and that there is therefore a diversity of offers. What the Council of State does not say is that this diversity lies scattered along the entire West Coast. My concern was the diversity of patients living on the North Jären, because I know that drug addicts living in Sandnes, who need follow-up and post-protection, do not take the bus to Stavanger Railway Station and then change the bus and take it on to the Keyna to get post-protection. Then they become drug users on the way back.
ParlaMint-NO_2011-01-13.ana.ud1737e639	This has been an interesting debate, not least because it has actually revealed quite a few of the dilemmas of tendering. What is interesting is to listen to those representatives who initially want more tenders but who are not satisfied with the processes. We're going to go through them. I told you. If Health South-East is to carry out an evaluation and it is to be done independently, it is essential to have confidence in such an evaluation. But we're going to go through the tenders that have been made, and then I'm going to get back to how it should be done in detail. I see that the discussion that has been has pointed to a number of issues that are worth taking along. The starting point when you have a tender is that someone is offered, and therefore others are not given it and are selected in a way. What is important is that the rules governing the tender, the framework for the tender and the professional requirements are known to all and, as the representative of Health rightly pointed out, all these factors must be included in advance, so that this does not go wrong. Then you also have to look at this with competition to make sure that you are not left with monopolies, which may indicate that at least we are not doing after the harvest. So I would say to the Christian People's Party that when we go out to just non-profit sector with bids in health west and in mental health in health south-east, it's precisely because we want to give priority to the non-profit sector and to create good framework conditions for the non-profit sector. It's important. We fully agree that they have done a fantastic job for many years – much more in some areas than in public health. But it's also like that, for example. Health West this year has a bigger offer out there than they had before. They've increased their frames. Then there is someone who has not received any further tenders. I hear that the Christian People's Party wants direct contracts. I find it difficult to see – if you want to choose, and you have more players to choose from – how to avoid tenders. This does not mean that we should not go through legislation, that we should not go through the framework and see if there are any other things that we should have stressed that have not been properly emphasised. Because it's important that you're not left with the impression that things haven't really happened here. We need to have confidence in what's going on.
ParlaMint-NO_2011-01-13.ana.ud1737e652	Case No. So 2 is done.
ParlaMint-NO_2011-01-13.ana.ud1737e671	Mobile telephony and other sources of electromagnetic radiation surround us in everyday life everywhere. It is not possible for the individual citizen to choose whether he or she will be exposed to this radiation or not. If you choose to leave your mobile phone, you will nevertheless be exposed to passive radiation from other people's mobile phones, and from cell phones, transmitters in the new emergency and emergency networks, wireless networks and wireless fixed telephone networks, in schools, workplaces and in public service buildings. Even in one’s own home, you can decide for yourself today’s regulations. Electrically sensitive persons are forced to move because antennas and their neighbours' wireless devices pollute their homes. It's very difficult to find a permanent place without electromagnetic radiation. At the end of the 1990s, several expert groups went critically through the indications available at that time on low-power radiofrequency radiation and possible health effects. They recommended more research on the potential negative health effects of mobile use. On this basis, the International Agency for Research on Cancer, IARC, a WHO body, initiated an international study in 1998–99. Interphone was launched in 2000 as an international group of epidemiological case-control studies in 13 countries worldwide. One was to focus on tumor types in tissues that absorb the most energy from mobile use. Data collection took place between 2000 and 2004. The data included about 2,700 cases of glioma, 2,400 cases of meningea, 1,100 cases of cortical cancer and 100 cases of malignant cancer in the salivary gland, plus a random sample of control persons matched by age, gender and region — about 7,600 combined. The IARC of Professor Elisabeth Cardis has conducted and coordinated the studies. In the coming years after data collection, a number of national studies were published. In 2004, for example, a Swedish study on auditory nerve cancer, which raised significant concerns. The hearing nerve is the tissue in the head that is most exposed when holding the cell phone to the ear. After ten years of mobile use, a risk increase of 90 pst was found. - or 290 pst. when considering which side of the person's head used to hold the phone. In 2007, an Israeli study on cancer occurred in the salivary gland, such as the U.S. 50–60 pst. increased risk when considering which side of the person’s head used to hold the phone. The publication of the final international report, summarising all findings from participating countries, took a long time. The explanation from Elisabeth Cardis was that there was disagreement about the manuscript. During the latent period, the professional journal Microwave News and major international newspapers such as Le Monde, Daily Telegraph and the Los Angeles Times pressed for the results to be published. Only in May 2010 came the final international report. For some reason, the analysis of cancer on the auditory nerve and the salivary gland was missing – according to Cardis, because the complete raw data is still not circulated – after all these years. The main study concludes with a two-part conclusion, which can be interpreted in exactly the direction you want, depending on which part you place the most emphasis on: the data suggest an increased risk of glioma, and a much smaller increase in risk of meningea, at the highest exposure levels, and for cancer development on the side of the head you keep mobile, and, in the case of glioma, an increased risk of tumours in the tincer. But battle sites and errors limit the strength of the conclusion we can draw from these analyses, and prevent us from interpreting the results as cause-effect. Ten years and 19 million. According to this conclusion, we are at the heart of the euro later on. Most strange of the results in the main study is that most analyses show a reduced risk of brain tumors in mobile applications. Mobile use must therefore protect against cancer! This is such an unlikely result that scientists do not believe it either. They agree that the outcome must be due to errors and data gaps. Let me list some of the defects in the design and datasets of the Interphone study: People who used a wireless fixed phone were considered to be unexposed – despite the fact that this radiation is of the same type as that from mobile phones and, in addition, 24 hours a day on a continuous basis, and despite the fact that information on the use of microwave devices other than mobile phones had actually been obtained in the interviews. wireless phone. Insufficient latency for the development of cancer: studies have shown that carcinogens such as tobacco and X-rays do not result in cancer until at least 10-20 years after the first exposure, except in very rare cases. Therefore, the fact that Interphone starts to see the drawing of increased risks already after two to four years of mobile use is particularly alarming. Unrealistic definition of ‘usual’ mobile user: A normal mobile user was defined to be one calling at least once a week for at least six months. A major user is a mobile phone user for 1 640 hours, equivalent to half an hour a day for 10 years. For me, it's a very normal mobile phone user. Exclusion of children and the elderly from the survey: The study is limited to adults aged 30–59 years, i.e. the most robust age group. Exclusion of several types of brain tumor. Exclusion of persons who had died or were too sick to be interviewed as a result of their brain tumor. Participant page: This is a case in point. on a number of lower participation rates in the control group than in the testing group and on lower participation rates among those who used their mobile phone less than among those who used their mobile phone a lot. The main findings were presented in the final report as no connection between mobile use and brain tumors among normal mobile users, but it was also found that they called cell phone users have 40 pst. increased risk of brain tumor. The strange thing is that Annex 2 provides a revised analysis with a different data base, which the authors said was required because of design and method problems in the main study. When there is an unclear control group, as the author admits, it is recommended to run a risk calculation with another reference group, namely the test group that was at least exposed to radiation. This was done in Annex 2. In the corrected analysis in Annex 2, the final report has a 40 pst. increase in the risk of glioma in the so-called major users to 82 pst. increased risk. There is also a statistically significant increased risk, 68 pst., for the development of glioma in those who had used mobile phones as little as two to four years, and 118 pst. increased risk to those who had used a mobile phone for 10 years or more. The figures in Annex 2 show that the risk of glioma increases relatively evenly over the number of years of mobile phone use. Furthermore, the risk increases quite evenly with the number of daily telephone calls. Remarkably, attachment 2 was not sent to the press. The World Health Organisation website contains a press release that refers only to the findings in the main report. It must be allowed to ask why the corrected analysis in Annex 2 was not presented during the discussion of the results of the main report, as indicated in the Convention. The state's radiation protection system has contented itself with reproducing the WHO press release on Interphone. Why has not Staten Radiation Protection itself studied both the main report and Annex 2 and provided more accurate and complete information to Norwegian citizens and politicians? The exclusion of the final report is due to disagreement between two fractions of the Interphone group. This leaked to the public during a meeting of the Bioelectromagnetics Society in San Diego in the summer of 2008. The distinction goes between the group that repeats that there is no risk and the group that states that the data show an increased risk of cancer in mobile use, and pre-war measures are necessary. There has been a struggle for the final publication. The consensus was never reached. A compromise was reached in the two-part conclusion and in the two different analyses of the data. The question is, Whom should we believe in? Elisabeth Cardis is clear in all his answers to the press: in my opinion, the results show a real increase in risk. The question we need to ask ourselves is: Is this enough to base a precautionary practice in Norway as well?
ParlaMint-NO_2011-01-13.ana.ud1737e761	The Interphone study is the largest study on the risk of tumour development after mobile phone use that has been carried out to date. The study comprises 13 countries, and the World Health Organisation's cancer research institute has carried out the study. Norway was represented at the Cancer Register and Staten Radiation Protection. When the study was published, the State Radiation Protection Agency sent out a press release on the results. The representative Gitmark points out that the press release refers only to the majority of the report and not to the attachments – which showed a higher risk. The straw supplier chose to send out a press release containing the same information as the press release from the International Cancer Research Institute, IARC. The straw supplier then elaborates detailed information on the results of the Interphone study. The main study is a regular patient-control study and a standard method has been used in epidemiological studies. In such studies, there are always many elements that are difficult to predict during planning. The straw supplier emphasises that in the case of research into mobile phone use, there may be more uncertainties than in other areas. An example is that mobile use is self-reported and not objectively measured. Methodological weaknesses are found in all epidemiological studies. Researchers always seek to minimise the uncertainty of the method. In its information on the Interphone study, Straw liver details the contents of the annexes to the main study. Information is provided that the annexes contain analyses where they have used a different control group than in the main study — which will affect the outcome. There was an increased risk among people who started with a mobile phone ten years ago or more, and with those who had spoken for most hours. The change of control group reduces the credibility of the analyses in the Annex, but nevertheless warrants further research. The straw liver informs that the researchers who have planned and completed the Interphone study are well-known epidemiologists. In the report, they also discuss weaknesses and uncertainties in the results. The straw supplier states that the analyses in the main article are the original one and must be emphasised. The Interphone study is the largest in its kind, and is thus an important contribution to the research on mobile use and health risks. I would like to stress that the Straw Delivery does not manage this area on the basis of individual studies alone. The results of the Interphone study must be seen in conjunction with all other knowledge available in this field before conclusions can be drawn. In particular, this is important when the findings are not unambiguous and when there are methodological weaknesses in the study. Mobile phone use has increased significantly in recent years. Today has 80-90 pst. of the population mobile phone, and base stations are installed throughout the country. Wireless networks are spreading and increasingly being installed in homes, offices, schools and urban centres. The increased use of mobile phones has led to increased concerns about potential health effects associated with mobile phones and driving near base stations. The government takes the concern about radiation related to communication technology seriously. Until possible health effects are known, it is important that the international recommendations on limit values are followed. The Radiation Protection Regulation also requires that all exposures be kept as low as practicable, including in areas where health risks are not documented. This implies seeking to further reduce exposure even if it is already below the maximum levels. The assumption is that it can be done without significant disadvantages. In order to minimise exposure, the Radiation Protection Authority recommends the use of hand-free equipment so that the phone is kept away from the head during conversation. They also recommend that they have good mobile coverage and use SMS. These recommendations are based on a precautionary principle. I would also like to mention that the National Institute of Public Health has appointed an expert group in the field of electromagnetic fields and health. The group is broadly composed of professionals with competence in medicine, epidemiology, biology, physics, philosophy, statistics and technology. None of the members have an industry connection. The electrical hypersensitivity association has an observer in the group and thus contributes to the transparency of this work. The team shall summarise all available knowledge on the health effects of exposure to weak high frequency fields. Today, different practices exist in different countries in the handling of mobile masts, base stations and wireless networks. The Ministry has therefore requested that the expert group also look into Norwegian administration and legislation in this area. The Group will deliver its report in autumn 2011. When the report of the expert group is available, the Department will take a position on further follow-up, including the national recommendations on how to achieve low exposure in the environment in which people live and move.
ParlaMint-NO_2011-01-13.ana.ud1737e804	The Interphone Final Report does not summarise the results of previous research in this area, as it is appropriate to do. It would have been natural to refer to, among other things. a 2009 meta-analysis, based on 23 studies and over 12000 cancer patients plus around 25000 control persons. The study found a significant positive covariance, i.e. harmful effect, by adding together the results of eight ‘high-quality’ studies with blinding, most of which were also similar to those of participants in the testing and control group. These were the seven studies of Professor Lennart Hardell and staff at Örebro University, plus a previous Interphone study of melanoma, Stag 2001. However, overall results from 15 other studies — with lower quality — show a significant negative covariance. This is mainly concerned with Interphone studies without blinding and with lower absorption in the control group than in the test group. The term ‘blinding’ indicates that researchers have not been informed about who actually suffered from brain tumors and who did not, while doing the interviews on mobile use. The point, then, is that the studies where researchers did not know whether or not the interview objects had developed a relationship between mobile use and brain tumor. There the researchers during the interviews knew who patients were, and who was the control group, they found the opposite: that mobile use prevents cancer on the brain. The meta-analysis also mentions that the Hardell group’s research, which concludes with an increased risk of cancer, is characterised by unreserved researchers. Unlike the 15 other studies, the Hardell Group had not received money from the mobile industry. In this context, it can be mentioned that American professor Henry Lai had made a census of research in electromagnetic fields and health. The enumeration shows that 72 pst. of the industry-funded studies have not found a negative health effect of mobile radiation, while the corresponding numbers for the independent studies are 33 pst. Governments say several things that it's worth focusing on. In particular, the fact that no clear results have been found is worth focusing on. That's exactly where we agree. There are more and more reports referring to health damage, but there is also a significant number, and the large majority, who do the opposite. The question remains: is this enough to underpin the precautionary principle when we set our radiation limits here in Norway? Governments also say that the government takes the health effects of radiation seriously. The problem is that it is very difficult to see changes over the last few years in relation to just the precautionary principle.
ParlaMint-NO_2011-01-13.ana.ud1737e825	This is a very technical and very professional interpellation that most of the time really requires some professional answers. What is a political answer in this is how you act, and who you listen to, in a situation where you don't necessarily have all the answers, or it's not unambiguous. Then we follow the World Health Organization's cancer research institute, which provides leadership. We have done that in this context, while saying that we will also follow up in other areas, especially with regard to the expert group that I mentioned and that has no industry connection. It is important that they are perceived as independent and totally unhindered in relation to these areas, where, after all, economic motives for conclusions can be suspected. I'm not saying it's done here, but it can be very easily connected to it. So it's important that the work done should be independent. It is also such that the radiation protection regulation we follow follows international recommendations on limit values. In addition, this Regulation requires all exposures to be kept as low as practicable, including in areas where there is no evidence of health risk. I believe that as long as there are no other findings that have also been internationally agreed, it will be important to follow the precautionary principle. When we say this with radiation is an area that the government follows closely, that's the reality of it. We have an institute to follow this field, the State Radiation Protection, and as said this group of experts, which is important, and which we should follow further in what is happening both in Norway and internationally in the area.
ParlaMint-NO_2011-01-13.ana.ud1737e840	Thank you to the interpellant, who addresses an important theme that interests many. The problem is relatively new because mobile technology is young. I would also like to thank you for the opportunity to discuss a topic that has addressed me over several years in another role. Interpellence refers to the so-called Interphone project, with participants from 13 countries, including Norway, and led by the World Health Organisation’s International Cancer Research Institute. The design of the study is to investigate whether mobile use results in statistical analyses as an independent explanation variable for brain tumours. There have been high expectations for the Interphone study, and many had hoped that it would give a final answer as to whether mobile phone use increases the risk of brain tumors. It must be said that the study has not provided a definitive answer to the fundamental problem. This is regrettable, because many are concerned about the question, and many are concerned. In our environment, we are constantly exposed to background radiation. However, radiation from electrical articles is different from that from communication equipment. The biological effects are very different and cannot be addressed together, as we often see in the media. Since mobile phones are relatively new and involve a new exposure to electromagnetic fields, professional environments recommend a pre-war behaviour by using hands-free and ensuring good coverage – this last because the radiation load from the phone itself increases by distance from the transmission mast. The Interphone study has been published in the reputable journal International Journal of Epidemiology, and the main scientific conclusions are that there was no increased risk of brain tumor development of the type of gliomer and meningeomas associated with the use of mobile phones. Gliomers are malignant tumours with different growth rates, and meningomers are predominantly benign tumours. An increased risk of brain tumours was observed among those in the highest exposure groups, but biases and errors in the material lead to difficult interpretation of a causal relationship. When you go into the individual results, you see that most of the analyses show a protective effect of mobile use. This is surprising and indicates that there are biases in the material. When a consistent pattern is not found in the results, it is difficult to focus unilaterally on elevated values in small subgroups. If a similar finding were to occur in a smoking and lung cancer study, the use of five cigarettes a day could have been protected from lung cancer development, while a subset of major users had more lung cancer. It would be difficult to explain such a finding, also because a biological mechanism would not be known. Furthermore, the study shows that the risk ratio was highest among those who used the mobile phone for a short period of time, but who had spoken for many hours. Based on the usual biological understanding of cancer development, it is unusual that time from exposure to solid tumour development should be so short. Especially surprising is that this should be the case for an assumed slow-growing tumor as a meningo. We have to be honest and acknowledge that over the last 20 years, there has been little progress in causality in brain tumors. This is a difficult subject. Old and new hypotheses must be tested using scientific methods. International expert committees and our national professional authorities have an overview of the research results and the strengths and weaknesses of each study. The expert committees have now found that there is no increased risk of brain tumors using mobile phones. The Interphone study therefore recommends further research. As long as the fasitoid responses with three lines below are not available, we should all use our heads. It means two things: Use hands-free, and make sure you have good coverage. Then there's a completely different debate if we need to use the phone as much as we do. I think it would create better public health if more people turned off the phone more often.
ParlaMint-NO_2011-01-13.ana.ud1737e880	Let me first commend the Minister of Health for a thorough and good answer in his statement and also for having a sensible approach to the issue. The interpellant addresses a subject on which information is limited in terms of adverse effects. Anyway, I think it's important that we always have a focus that ensures the population. I believe that today we have a generally good protection in Norway versus other countries in this area. There are countries that operate at lower levels but do not comply at the same time because they send much stronger signals. There are international rules for this today, as I said, and I think we here in the country are good versus other countries to comply with what is acceptable. There is a lot of research and reports that crack as much as the number of reports that have been made. I believe this, among other things. because it is relatively short time we have had with this type of means of communication. At the same time, it's very individual what is perceived as unpleasant and/or annoying radiation. However, when it is claimed from some teams that a high level of mobile phone use poses an increased risk for, among other things. tumor on the brain, yes, we'll take it seriously. I think we should have more research in this area before we conclude with one or the other, on the basis of all the different reports that are not consistent. I don't think it will be possible to protect everyone at any time from any radiation hazard in this field – this because we all have different levels of sensitivity – but I welcome a greater effort to get a good qualitative research in place to get an even better and safer knowledge in this area, because some people claim to have trouble with this, and because some claim that there is an increased risk associated with mobile use and radiation.
ParlaMint-NO_2011-01-13.ana.ud1737e898	First, I would like to thank the representative Gitmark for the interference. I'm going to admit that I'm no expert in this field, but it's an important topic that very many people are concerned about, and it's a trick to see if there's any cancer in mobile use. We know that there is radiation in mobile phone use, and mobile phone is something that many people use. 80-90 pst. of the population have mobile phones. My particular concern is that there are increasing numbers of children and growing younger children who use mobile phones every day. Therefore, we have concerns about possible health effects using mobile phones and wireless networks. As elected representatives, we must take this concern seriously from those we represent. And then there's one reason that's said here. It's that most of us as we sit here today are major consumers as defined in the report. Based on what the Health Committee has been busy about in this matter, I would like to mention that in the budget review for both 2010 and 2011, there were several comments on mobile radiation. We have underlined the need for more knowledge about the potential health risks of radiation from mobile phones and wireless networks. We have referred to the multidisciplinary expert group that the government has seen down in the field of electromagnetic fields and health. This group, as mentioned by the Minister of Health, is broadly composed and will deliver his report in the autumn of 2011. In the Committee's budgetary statement, the group has taken the view that it is linked to the necessary international expertise and that it takes good account of the user perspective. So the interpellant asked the question about the follow-up to the final report of the international Interphone project and asked questions about the analysis. I do not have knowledge that can verify that there are biases and errors in this study, which limit the possibility of drawing conclusions and assessing causality, or whether it is such that the worst results are hidden in the appendixes of the study. I thought it was important that a follow the precautionary principle. I think it's done well in the debate here today, both from the Council of State and from the representative of Are Health, that it's hard to focus on one-sided results from this investigation that attract high values among the major consumers. The answer given is that we need further research in this area, that an Interphone study is the basis for it, and that we have to wait for the expert group to decide. So I agree with Are Health that it's also interesting from a health perspective to look at how much we use the phone, and what it has to say for health.
