ParlaMint-NO_2011-04-06.ana.ud2177e26	The representative, Arve Kambe, will put forward a proposal for a representative.
ParlaMint-NO_2011-04-06.ana.ud2177e479	Six years have passed since the Red-Green Government took over and the Senter Party took over the Ministry of Local Affairs. Every week we get new revelations about the care of the elderly in Kommune-Noreg that do not indicate in any way that she has improved somewhat in recent years – rather the opposite. Last night we got on the TV 2 news story about Borgny in 84 years as a fall and printed on the security alarm, but that didn't get the help she should get. Recent observations have been made: the nurses slaughter the care offered in Norwegian care for the elderly, one of three home care recipients needs institutional space, municipalities break the law in the treatment of hospital applications. Feedback from local spokesmen, advisers and others suggests a tight local economy and poor supply for many old people who follow it. Yesterday, the Stortinget decided on something that the Progress Party has been fighting for a long time, i.e. increasing state investment for the construction of health homes and nursing homes. That's good, it's a step in the right direction, but that's not enough. Unfortunately, our proposal on state support for the operation of sick homes was voted down. State support for the operation of sick homes is something that could have helped in the situation. We know this is something that works in other areas: getting sick, getting an automatic sick pay from the state, becoming an unemployed person, getting an automatic unemployment benefit from the state. My question to the municipal minister is: how bad must it be in the care of the elderly in Kommune-Noreg before the municipal minister also assesses the introduction of state funding when it concerns the operation of the care of the elderly in Norway?
ParlaMint-NO_2011-04-06.ana.ud2177e491	I thank you for the question, even though the question in its nature should have our rights to the Minister of Health and Care, who has the professional responsibility for both health care centres and the care sector. However, I choose to answer the question, because it also has a device against local economy, against free revenues against ear-marked revenues, which is my responsibility. Therefore, I also choose to answer more on the general basis. It has been a significant growth in municipal services under the red-green government. It has our growth in employment, it has our growth in investment, it has our growth in municipal budgets. It is activity and activity growth, which is important to meet the challenges of care and care, school and kindergarten, child protection and all the other important societal tasks that municipalities are set to take care of. Earmarking has many sides. I'm not against it when it comes to stepping up new areas, when it comes to bet areas, where you have to go in and make a special bet. But when it comes to areas where municipalities have been responsible over time, earmarking will favor and reward those municipalities that have not done their job. The municipalities that have a good supply for the elderly – and there are actually many of them as well – I visit many municipalities where older people make good use of the offer they have – may now be spending money on school because they have spent the money on the care of the elderly. They will then come into dispute with the Progress Party's proposal. Audience is not solutionable. What is the solution is the policy that the government is pursuing, simply to increase the permissions both to cover demography and to give the municipalities some free resources to bet areas that they see locally need to be strengthened.
ParlaMint-NO_2011-04-06.ana.ud2177e502	What is the starting point of the Progress Party and its clear perception is that, when it comes to care for the elderly, it is a fundamental welfare service that is so important that it should not be possible for a cage in a rich or poor municipality to receive help. It has to be a government funding. It must be that the need triggers funding: if you have a need, you get government funding in the same way that you get if you get sick, or if you get unemployed. This must be automatic in. The Minister of Local Affairs has been very good at blaming the municipalities in the past – now it is also the responsibility of the Minister of Health that the municipalities do not get enough money. Local authorities have received some more money, but more inhabitants and more tasks have been given to them. The question to the municipal minister must then be: if not, as she calls it, needs-driven financing, does it work here, why does it work in other areas?
ParlaMint-NO_2011-04-06.ana.ud2177e511	Under this government, we have a historically low earmarking of funds for the local government sector. The nursery sector was introduced into the municipal framework this year. I think we're at 5 pst. on earmarks — very, very low — giving local authorities room for action to prioritise what is most needed in each municipality. It provides the most effective services, it provides the best priority efficiency, and it provides the best services to the population in this country that a local user uses the local wit and local ability to prioritise, but that one then has a government that would like to spend resources so that the municipalities have something to give priority to. It actually does this government.
ParlaMint-NO_2011-04-06.ana.ud2177e516	Three follow-up questions will be raised – first Jon Hunter Gåssvatn.
ParlaMint-NO_2011-04-06.ana.ud2177e519	Governments often talk about welfare municipalities, and she has underlined the need for the State to ensure a space for action and a sound economy. The Fafo report now presented shows that around 25 000 old sick nursing people receive an offer at a low level of care, at the border of what is professionally sound: there are too few sick homes, there are too few qualified health professionals, there is no money for operation. Is it, then, the State or the municipalities that have failed, so that old caregiving gets hurt?
ParlaMint-NO_2011-04-06.ana.ud2177e524	Instead of looking for scapegoats when we see that there are unresolved tasks that need to be tackled, we have to stick with the municipal sector and work together between the state and the municipality, so that we solve the challenges, so that our older people who have lived hopefully good lives, and contribute to society in a very good way, can get a safe and dignified care for the elderly. They must be given the freedom of choice to live home as long as they have the power to do so – to choose it and to be safe to get the home services they need. And there must be a sick home place on the day it is necessary, and one chooses it. It's the government's goal, it's what we're working for, and it's going to keep working with the municipalities for. We have received 20,000 more annual works in the care services. We need even more capable heads and warm hands into the sector. We need more resources, and we work daily to ensure that the municipalities get the funds they need, but trust that a municipal and local authorities will also be able to bet on and solve the problems that make our older people a worthwhile old age.
ParlaMint-NO_2011-04-06.ana.ud2177e531	Trond Helleland – for follow-up questions.
ParlaMint-NO_2011-04-06.ana.ud2177e534	Yesterday, we discussed a case on grant schemes for nursing homes and nursing homes. In addition to the increase in grants, the main change now was that the ministry and the government have removed the ideological skyscrapers and opened up cooperation with both housing law and private – a requirement Right and opposition have had a long time. Now this is fulfilled. So from 2008 to 2010, there were 1000 fewer hospitals than the government itself had estimated. And many projects were stopped just for the ideological reason that you couldn't cooperate with private people. But if you do not get the expected increase in hospitals, will the government also open up to the scheme proposed by the Right in the 2011 government budget, namely interest-free loans to build hospitals, in line with what has been proposed for school buildings? It will give municipalities the freedom to assess, and it will give them the opportunity to build more places.
ParlaMint-NO_2011-04-06.ana.ud2177e541	I am very pleased with the broad support of the government's proposal to increase the government's contribution to health care facilities and nursing homes with full-time care. It is important for municipalities to be able to receive a larger contribution and a more secure financing for their investments. As I also said yesterday, the government is going to follow these developments very closely. The care sector is an important sector of government. The fact that our older people are going to have a safe and worthy old age is one of our most important areas, together with our kids having good days in kindergarten and school. That's why we're going to follow along and see if the municipalities are now able to get up the rate of expansion. If you don't, well, let's discuss it. So far it indicates that we get a stronger expansion and a larger expansion rate now, but it gets us in that case to come back again.
ParlaMint-NO_2011-04-06.ana.ud2177e546	Geir Jørgen Bekkevold – for follow-up questions.
ParlaMint-NO_2011-04-06.ana.ud2177e549	The representative, Mr Hagesetter, has already referred to the Fafo report on parental care under pressure, which includes: states that the nurses believe that 22 pst. by the elderly who receive home care, in their own home, should actually have a sick home. Health surveillance recently revealed that two out of three supervision did not comply with the service provision required by the law. This was in services for the sickest elderly with large and complex needs. According to figures collected by the counties in 2007, there is a real need for nursing homes and nursing homes of 20 000, rather than 12 000, as the government aims to achieve. Does the Minister of State think that the need for institutional space will be met in 2015, so that everyone who needs it will have a place to stay?
ParlaMint-NO_2011-04-06.ana.ud2177e557	I ask for an understanding that the supervision that was done in the municipalities and the Health Authority's report is not known in detail by me. It is, whether you like it or not, the Minister of Health and Care. So I can't go into details when it comes to the supervision that has been. But what I can say, and as I said in my previous answer, it's one of the government's most important areas of commitment: that our elderly people should be safe from their old age, that they should be able to have freedom of choice in relation to whether they want to stay home and get home help and home care, or whether they want a sick home place. But then the last thing that has been said was that there are enough places for health care or nursing homes with a full day’s care available. I know that the Minister of Health and Health is working on every single day, this often discusses the government, and it is clear that there is an important part of the budgetary discussions ahead. We will follow closely both the need and what has been notified by the county councillors and municipalities in this area.
ParlaMint-NO_2011-04-06.ana.ud2177e562	Let's go to the next main question.
ParlaMint-NO_2011-04-06.ana.ud2177e565	My question goes to the Minister of State. On Friday 25 March, the government adopted new government guidelines for the beach zone. In recent years, the right to dispose of large areas and large values has moved from local municipalities to government offices and to government. In many places, this has led to a solid crisis of confidence between Kommune-Norway and the government. We saw it again last Friday when the government once again tightened up for the possibility of building houses, cabins, nausts, boating grounds and travel facilities in the beach zone. In particular, the uprising, of course, has been great in the West, in Trøndelag, on the south coast, along the Oslofjord and Telemark. In fact, the government believes that the pressure on land in these areas is so great that local authorities cannot themselves be held responsible for saying yes or no to building measures in the coastal zone. At first, the government proposed a robust intervention in the possibility, something on which the Right protested. Then the government has moderated for some municipalities, but it is still considerably worse for landowners and municipalities throughout the country. Municipalities such as Haugesund, Karmøy, Tysvær, Rennesøy, municipalities in Ryfylke, Bergensregionen, Trondheimsregionen, Kristiansandregionen and many other municipalities now feel quite strongly. It has in any case become more difficult to build something in the beach zone under this government. We have state guidelines for municipal plans, we have state plans for municipal plans, we have national expectations for municipal plans, we have state objections to municipal plans, and we have state guides to municipal plans! Local politicians all over Norway are quite tired of being overrun by the government and the Stortinge in local self-government, even in the case of the beach zone. The Government is discriminating against municipalities. Some may decide more, while others may decide less. Right wants all municipalities to decide more. The question to Navarsete is why the Senterpartiet – of all – believes that it is Erik Solheim and Lars Sponheim who are to determine the coastal zone policy over the municipalities themselves.
ParlaMint-NO_2011-04-06.ana.ud2177e582	As Minister of Local and Regional Affairs, I am very busy with municipal self-government. I'm also a leader in the Center Party. In fact, the mentioned date was a good day both for the central party leader and for the regional minister. It was a day when a moderated significantly what had been presented to the beach sonata. Large parts of the country, large parts of our coast, got freer and more local authority over the beach sonals. Some of the largest and most densely built areas were given stricter descriptions. I mean, that's right. I think it's right to see that our country is different. It's okay to see that we can't have one-size-fits-all in this country. The Oslo soil is not comparable to the Helgeland coast. Then it is not possible to have the same policy and the same policy. It takes this government's consequence off. The large people's areas should have access to the beach sona, have an open-air area, have the opportunity to enjoy what we have in my area, in Sogn and Fjordane, have very abundantly, but as one here at the Oslo Earth and in the South is actually getting little of because most of it is deconstructed. We also see that in the vicinity of other major cities. Thus, there was a differentiation, so there was also an experiment in the Sunnhordland municipalities – a trust statement to the Sunnhordland Council – that they, even though parts of it are press areas, should be able to manage their beach areas locally. I also think it is important to keep in mind that we listen to local voices – in this case we listen to Sunnhordland. They got the answer they wanted from the government. It also did a lot of other municipalities. I mean, the line we've put on is a balance of the need to keep the stranded sonar available to people, and that business should be able to evolve where there's actually plenty of space.
ParlaMint-NO_2011-04-06.ana.ud2177e593	I understand that the Central Party's politicians in District Norway and the Central Party's voters are dissatisfied with the pervasiveness of private property rights in the Center Party and local self-government. It gets worse after this article. She was talking about a statement of trust to the Sunnhordland municipalities, which clearly deserves it. These are my neighbouring municipalities in the north, which I support. But it also means that it is a distrust statement to all other regions that their politicians cannot control the beach zone. For a long time, the centre party has facilitated the review of local community decisions by the county. What's happening now is that a lot of statesmen come up with objections based on office meetings. They object to the plots the case handler has never even been on. Objections are the worst tool that the State can use at municipal level, and the Right will therefore eliminate the right of objection of the statesman based on judgement. Does the Council of State think it might be a good idea at least to set as a minimum that the representatives of the county must have been on the site themselves before it is refused?
ParlaMint-NO_2011-04-06.ana.ud2177e604	The center party is certainly not the most eager to create new possibilities for objections to the state – I think I can say that safely. I will present a big message later this year about the relationship between the state and the municipality, where exactly what has happened, also at a time when the Right put in government, a tightening of the local action space, is being discussed. It is not that there was suddenly a shift in 2005 when it relates to the room of action that municipalities have to exercise local discretion. A large diffi report shows that it has happened over quite a number of years and with alternating governments. That is exactly why it is important that we take a foot in the ground and discuss how local democracy should develop further. The county is in some areas its best friend. When it comes to objections, I think it's not that hot a friendship. I thought that what the representative Mr. Kambe is addressing is a point I at least think we should discuss carefully.
ParlaMint-NO_2011-04-06.ana.ud2177e613	There will be follow-up questions – first Anders B. Werp.
ParlaMint-NO_2011-04-06.ana.ud2177e616	The question here concerns state level guidelines for differentiated management of the coastal zone along the sea. There are 13 pages full of listing of reasons for state override of municipal decisions. There is one sentence in these guidelines that refers to the local self-government. Then we hear the Council of State commend this document, that it is a long step in the right direction even when municipal autonomy is to be respected. The centre party has programmed the construction of the community from below and is committed to the constitutionalisation of local self-government. A few days ago, we heard the Minister for the Environment confirm that there are several thousand objections from state authorities to municipal plans. The rapporteurs agree, from all sides, that there is an ever-increasing increase in over-management by state authorities. Does the Minister of State think that this harmonizes with the principle that society should be built from below?
ParlaMint-NO_2011-04-06.ana.ud2177e627	It is a perfectly correct description that the state's grip on the municipal sector has been strained, even in the years Right put in government. Right-wing stands out today as the party that is to release the municipalities. It's, with respect to reporting, not what you can write in history books when you look back and analyze what Right has done in government position. I'm not going to rip that up, but one has to bring it with me. Of course, this has happened when I have been working on it for some time and have to give a big message about the relationship between the state and the municipality, because it is not just a plan and guidelines for the beach zone, or the edge of the sea, which we sometimes say in the West – there are not so many beaches in all places, there are many crunches and hammers – there are also a lot of other areas. We need to see the totality of how local democracy is to be exercised by the local sector. This is a piece of it. And how municipalities can plan is an important piece. We're going to search that in the big news, but there's also a lot of other areas that we're going to have to discuss in the future.
ParlaMint-NO_2011-04-06.ana.ud2177e634	Åge Starheim – to the last follow-up question.
ParlaMint-NO_2011-04-06.ana.ud2177e637	Some time ago, Stortinget discussed a representative proposal from some Right-Representatives where there were seven proposals from the Progress Party and the Right that were downrooted by the majority on Stortinget. These proposals would really give the possibility of what the Center Party and the Liv Signe Navarsete have been talking a lot about, that is, local democracy's governance of its own municipality. I'm hearing the council say they're going to look at this relationship. I'm glad. I would like to ask the Council of State: will it go back and look at these seven proposals – and maybe use them as a template, to really set local politicians to control their own municipality?
ParlaMint-NO_2011-04-06.ana.ud2177e645	I have to respectfully say that I can't remember all the seven suggestions here and now. But the suggestions made in this room are not just deleted. They will be set up and included in their evaluation in the future. It's important what the Storting thinks about different things, and it's also important what the minority thinks. I am busy that we should be looking for broad multiples in more matters than today. It provides stability and sustainable conditions, not least for one sector as important as the local government sector. I can't promise that I'll take up the seven suggestions, because unfortunately I can't memorize exactly them. I just want to say on a general basis that I'm busy that we should also listen to the plurality of the opposition when the government's policy is chiseled out.
ParlaMint-NO_2011-04-06.ana.ud2177e654	So the oral question procedure is changed, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2011-04-06.ana.ud2177e666	There will be some changes to the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 2, from the representative Elisabeth Aspaker to the Minister of Knowledge, has been transferred to the Minister of Labour who is responsible. Question 5, from the representative Bent Höie to the Minister of Health and Welfare, will be addressed by the representative Sonja Irene Sjøli. Questions 6, 7 and 8 from the representatives of Per Roar Bredvold, Oskar J. Grimstad and Arve Kambe respectively to the Minister for the Environment and Development are moved and answered before question 1, i.e. first in the Questionnaire. Question 9, from the representative Mr Øyvind Håbreek to the Minister for Culture, has been transferred to the Minister for Knowledge who is responsible. At the request of the Minister of Knowledge, this question is moved and answered in response to question 1, to be answered by the same Council of State. Question 12, from the representative Jenny Klinge to the Minister for Renewal, Administration and Church Affairs, has been transferred to the Minister for Industry who is directing him.
ParlaMint-NO_2011-04-06.ana.ud2177e683	So let's start with question 6.
ParlaMint-NO_2011-04-06.ana.ud2177e690	I would like to ask the Minister for the Environment and Development the following questions: ‘The decision on where E6 will be at Akersvika near Hamar has been going on for a very long time. Any move will cost approx. 170 million. kr extra, and many residents will have their quality of life reduced. Is it not best now to decide to expand the original trajectory?’
ParlaMint-NO_2011-04-06.ana.ud2177e704	Let me first give the questioner right because this matter has taken a long time. I have a considerable understanding of the frustration that many in the Hamar region feel about the slowness of the procedure here. But the reason is that it is a very important matter, a matter in which a fairly clear local perception stands against international principles that Norway has committed itself to. There's no easy balance between these. As you know, the Ministry of the Environment has raised objections to both of the existing municipal planning options. The objections to option A, following today’s E6 trasé, are justified in terms of nature values and ecological balance in Åkersvika nature reserve. Objections to Option B, which go beyond parts of the nature reserve, are justified for the purposes of soil protection. So the two options are going to look pretty similar. I have received many enquiries, both from individuals and institutions in Hedmark, about this matter. So there's one thing there's a lot of commitment to. I think it is very important that everyone involved is told their own. I think making a right decision here is more important than exactly what day the decision is made. The Ministry of the Environment is now in a process with other departments, above all, of course, the Ministry of Transport and others at the heart of the matter, in order to find the right solution. But ultimately, the decisive balance here is between a wetland area with Ramsar status, which will be adversely affected by one option, and local considerations, which are particularly related to soil protection, and which point in the opposite direction. There is no easy balance between international commitments and local perceptions.
ParlaMint-NO_2011-04-06.ana.ud2177e715	I thank the Council of State for the answer, which was not exactly a response to how progress continues. The next Thursday is exactly two years since this case came to the department – it was 14 April two years ago. It went about that. a year before you were on an inspection in the area. And time goes by. You've come up with the following price tag: if you move the road, it's going to be $170 million. kr. more. You want to take 93 measures, a larger area than the other one. Some houses need to be demolished. Many get closer to their home and property and thus their quality of life deteriorated, of course. You have to move a river approx. 500 meters. And you have to move adjacent roads and some junctions. There will probably be longer construction time and longer construction time. So there's a lot of things that make this case seem to take even longer. On my question, I had hoped that the Council of State would say that now we are so and so far in the process, and before that and that date there will be a final decision on how we do it. That's what I'm asking.
ParlaMint-NO_2011-04-06.ana.ud2177e724	I've learned through a long life in politics that if you give an exact date, there'll be a colossal dishes with the opposition if there's going to be as much as three hours beyond that date. That's why I don't want to give you a date. But there's an answer to this relatively quickly. I also think that Bredvold must agree that it is more important to make the right decision. The questioner sets out all the good reasons why it is to choose the option for which there is the greatest localization, but he does not emphasise the other consideration Norway has, that we have an international obligation. We have the Ramsar Convention, on wetlands that need protection, and the institutions that are in Ramsar point in the opposite direction. Now I'm not going to be too polemic, but if the Progress Party had shown similar commitment to soil protection in other issues in Norway as they do in this, it would have been a great step forward both for Norway and for humanity.
ParlaMint-NO_2011-04-06.ana.ud2177e733	I thank the Council of State for the answer. Now it's not just soil protection I'm thinking about. I'm thinking of $170 million. kr, as I mentioned, I think of those who get a degraded quality of life because their house is torn, and those who get closer – so there are many. It doesn't just apply to this thing with 93 dimensions. There are also other measures that make the quality of life, as said, worse for those living nearby. Now it is also said that there may be remedial measures that can maintain the level we have, if we keep the road where it is today. Has the Council seen anything about it, keeping the line where it is today, expanding it to be good enough, but that we have remedial measures in addition, so that we maintain and meet the requirements we have against us?
ParlaMint-NO_2011-04-06.ana.ud2177e742	A good thing about the matter having taken a long time is that I think every stone has turned around. One should never say in such a case. It may be something that has not been evaluated, but I think all the aspects of this, both costs and the different environmental aspects, are well weighed up against each other. I give Bredvold credit to present the arguments for one option, which is, in other words, a broad uprising in the Hamar area, in a good way. I am not really questioning any of the arguments, but they must therefore be weighed against the arguments that are linked to the significant disadvantage of internationally recognised wetlands, which point in the opposite direction. It may not matter when Norway accedes to international conventions. We can't just break them at our own discretion. So you have to weigh these two factors up to each other.
ParlaMint-NO_2011-04-06.ana.ud2177e753	‘One of the main reasons for the high school dropout is the lack of apprenticeship after leaving school. Despite the fact that there are, in some cases, many employees in job categories with a professional background in the departments and agencies, fewer apprentices are admitted to the country than in the private sector. What will the State Council do to ensure that the Ministry of the Environment with its underlying agencies contributes more to increasing the number of apprentices than is the case today?’
ParlaMint-NO_2011-04-06.ana.ud2177e760	The work on multiple learning places and increased implementation in secondary education is an important topic. Completed secondary education is the most appropriate platform to be equipped for participation in the labour market. Good trade union workers are the prerequisite for a sustainable and well-functioning society and business. An important job for the government is therefore to provide both high-quality training and that many people choose vocational training. We have a great need for skilled labour in the future, both in the private and public sectors. As the questioner says, of course, it is important that central government takes its share of responsibility for multiple learning places, fully in line with the private sector. In 2010, the Ministry of Knowledge and the Ministry of Renewal and Administration carried out a survey of the potential of more apprentices in all central government establishments. The survey shows with some reservations that there is a potential for more apprentices. About half of the state establishments reported an increase potential. In order to take responsibility for the activities of the central government, the government decided for 2011 to include a pooling of its letters of allocation with the aim of increasing the number of apprentices. The number of apprentices by subject shall be set out in the annual reports. In the light of the surveys carried out and the follow-up of joint management activities in the current year, developments will be followed up in the governance dialogue between each department and the underlying establishments. We aim to increase the number of apprenticeship places in central government. At the August 2010 survey, environmental management had two teaching places in the ICT service sector in the Staten Kartverk. It was considered possible to increase with two additional places of learning up to the autumn of 2012. Most of the subjects in which vocational training is provided are in industry, crafts and service subjects. The environmental management does not have many tasks or employees working in practice in these areas. The effectiveness of ICT services in enterprises and the changes in the interface between processing and purely office tasks create challenges for finding more suitable teaching places. The joint presentation by the Ministry of Knowledge on an increase in the number of apprentices in the country is otherwise included in the Ministry of the Environment's 2011 letter of award to all underlying agencies.
ParlaMint-NO_2011-04-06.ana.ud2177e773	I thank the Council of State for your answer. I find it positive that one has gone in and made concrete assessments when it comes to the possibilities of getting more apprentices. But now it is also true that both the counties and the municipalities are large employers. Is there a signal or an active strategy for these bodies or management levels to assume their obligations as apprentices?
ParlaMint-NO_2011-04-06.ana.ud2177e780	As the questioner is certainly aware, this is not my professional responsibility. However, I take it for granted that corresponding signals are also sent to the local government sector that it is desirable. Now, by doing things right yourself, the state can be an example for others. But I assume you also make such a recommendation to the municipal sector. Otherwise, taking in apprentices, as the questioner also says, is a very important and positive thing. Many students have problems with the purely theoretical subjects and want practical vocational training. Then you have to make the best possible arrangements. In addition, many of Norway’s professions have the highest recruitment needs in the years to come, so this is good for both students and for Norway as a society.
ParlaMint-NO_2011-04-06.ana.ud2177e791	I allow myself to ask the Minister for the Environment and Development the following questions: ‘The whole of the West stood up in revolt against new proposed state guidelines in the coastal zone. On 25 March 2011, the government introduced new rules that have been positive for Sunnhordland, but for neighbouring municipalities of Haugesund, Tysvær and Karmøy in Rogaland there have been minimal adjustments. In particular, the location of Tysvær appears strange and is in my opinion in the wrong category. How does the Council of State justify this discrimination, and is he willing to make adjustments for Haugesund, Karmøy and especially Tysvær?’
ParlaMint-NO_2011-04-06.ana.ud2177e800	I followed with a certain wonder the line change between the questioner and the municipal minister earlier today, and as I could record it, there were two fundamental issues that the questioner had not gotten along at that time. One was that the red-green government has now done what the Bondevik government has done, and so the Right never managed to get involved, namely to make a real differentiation of the country and thus make it easier to expand into Norwegian branches, while maintaining a strict regime in the Oslofjorden. It is not the strict regime in Oslofjord that is the new one here; the new one is the geographical differentiation. I think that the Right should give the Red-Green Government credit because we have done what the Right couldn't do. The second, which is also a little strange that the questioner has not got along with it, is that the new guidelines that the Prime Minister, the Minister and I have presented, have generally been very well received along the coast – as I have been able to record it. We have had positive reactions in leadership positions in many important district newspapers, and there has been little noise associated with them. So the general reception has been good. I think that's precisely because you've seen that this has been a reasonable grip. But the questioner can of course be right that there are limitations in how to do it. When we chose to exempt the six Sunnhordland municipalities Austevoll, Bømlo, Fitjar, Stord, Sveio and Tysnes, it is because they are part of a pilot project with differentiated beach zone management. They have received approval of a cross-municipal planning cooperation project. This work runs until 2014 and will then be assessed. So it's a positive gesture to these municipalities, because they've actually taken good action and are part of this project. The location of municipalities has otherwise been carefully assessed, and we are not making any changes now, but of course we will have to evaluate and assess the need for revision of the guidelines at a later stage. So the questioner specifically asks about Tysvær. I'm glad he's separating Tysvær from Haugesund and Karmøy, but Tysvær has also been very thoroughly evaluated. The conclusion reached is that Tysvær is a municipality with a relatively small beach area available, but with an attractive landscape, and it is a municipality that needs to be seen in connection with the rest of the Haugesund region, which is an area with significant land pressure. Unfortunately, it also borders municipalities like Sveio and Wind farmland, which you will certainly feel natural to compare with, and which are located in the lowest category in terms of pressure. But these kinds of boundaries, where no one will feel perfectly satisfied, I think it is a necessity to divide Norway into three groups. Had we stayed as under the Bondevik government with only one group, it would have been easy, but when we're going to have this differentiation, in which I thought the Right was interested, we're going to have this kind of demarcation problem.
ParlaMint-NO_2011-04-06.ana.ud2177e811	Statsrådet Solheim is not quite satisfied that the Right, as he says, did not ‘get over’ to get state guidelines for the beach zone when we were in government. Well, we're not going to do that the next time we get into government. In fact, the Storting rejected a Right proposal last week that we should not have government planning guidelines, either in the beach zone or elsewhere, because we take local self-government in a much more serious way than the Center Party should have done, and SV has never done. With regard to what Navarsete State Council said for a short time ago is a statement of trust to the Sunnhordland region, which got this as a trial project, we actually want all over 430 municipalities in Norway to have a trust statement, so that they can decide for themselves, without any objections being raised by the county council. Then I had a question to the Council of State Navarsete about office objections without an inspection. What does the State Council of Solheim think about that?
ParlaMint-NO_2011-04-06.ana.ud2177e821	Let me first say that the difference between the Bondevik government and the Red-Green government is not that there were no guidelines for the beach zone under the Bondevik government, but we were the ones who introduced it. There are two significant differences between the Bondevik government and us. One is that we are trying to enforce the guidelines that also existed under the Bondevik administration. The second is that we have differentiated the coastal zone policy, so that now there are three groups: the peripheral municipalities of one group, the group of municipalities with – let's say – a medium but significant pressure on the development areas, such as the Haugesund area, for example, in the second group and the Oslo soil of the third group. That's when I want to come back to the fact that we've done what the Right is talking about, and should get paid for it, instead of screwing it up. I don't want to interfere in the details of what the statesmen do, but will always encourage that inspection is a good thing to do when making decisions. The more you know about something – whether it's the county or the central authorities – the better it is. So it's a strong wish for an inspection.
ParlaMint-NO_2011-04-06.ana.ud2177e826	It is rather strange to hear a state council claim that dividing the country into three categories strengthens municipal autonomy, when the Right option is that municipalities can decide this for themselves. This means that you can have the categories that local businesses, local residents, voters, advisers and technical establishments themselves find useful. You have to have been a party leader for a little too long in SV in order to say that it is local self-government. The guidelines are as follows: ‘Old plans allowing for development contrary to the guidelines should be reviewed or repealed.’ It's about the municipalities we're talking about. In the case of people who, a few years ago, were admitted to the cabin, the plot for cabin expansion or a travel facility for other things, does this now mean that the Ministry of the Environment is going to raise several objections because of these plans, or can landowners who have already received approved plans actually sleep well at night, in the belief that they are actually allowed to build what they have been allowed to build?
ParlaMint-NO_2011-04-06.ana.ud2177e840	First of all, I hate to have to be arrogant, but I have to do the adult education to say that it is not the Ministry of the Environment that makes the objections; it is the statesmen who raise the objections. Then we treat them, and in almost all cases there will be a local consensus between the county and the municipalities, in a few cases it will come to us. But what the questioner is now saying is a firm confirmation of what I've been saying in the Stortinge all along, that the Right has failed its history. For what he says is that the Right now stands for something quite different than they stood for under the Bondevik administration. That is what I have been saying over and over again from Stortinget's pulpit, that the Right Norway knew under Børge Brende – and for that matter also under the Minister of Environmental Protection from the Christian People's Party – was a Right that took the environment seriously in a good deal of things, and that also carried out a good deal of things. The new Right we now know is a Right that does not implement that policy, but that stands for a completely different and new policy. Then it should be said to the voters in an honest way.
ParlaMint-NO_2011-04-06.ana.ud2177e849	We go back to question 1.
ParlaMint-NO_2011-04-06.ana.ud2177e856	I will ask the Minister of Knowledge the following questions: ‘Senior analyst at OECD Michael Davidson points to four school factors that provide good results: discipline, teacher behaviour, parental exposure and a good student-teacher relationship. At the same time, we know that unrest, strife and disrespect for the teacher steal about a year of teaching from Norwegian students. In view of this, will the government prioritise the development of a school-based post-secondary education offer in classroom management and contribute to the provision of this to all schools and teachers in the country during 2012?’»
ParlaMint-NO_2011-04-06.ana.ud2177e865	I had such an incredible desire to ask for a reply to the previous question, but then the release of the presidency did not make it possible.
ParlaMint-NO_2011-04-06.ana.ud2177e870	I'm sorry.
ParlaMint-NO_2011-04-06.ana.ud2177e873	We therefore answer another very important question, and it is about what Svein Harberg has raised. We are very aware – and it is well documented as well – that there is a link between the academic achievements of the students and the learning environment they have. We also know that there are great differences between schools, and that many teachers do a very good job and are good class leaders. I expect that Svein Harberg and I will agree. Analyses from NOVA suggest that strengthening the learning environment can both improve the performance of pupils in general and help reduce the differences in performance between pupils. Many teachers in Norway have very good relations with their students. A very high proportion of youth students in Norway experience fair, interested and listening teachers. The 2009 PISA survey shows that three out of four students at the 10th stage are well compatible with most teachers. About half of the students agree that the teachers are interested in how they feel and that they really listen to what they say. These figures confirm that we have a good starting point, but of course still challenges in Norwegian school. The 2010 student survey shows that students are largely comfortable with the teacher. The students at the 7th stage are consistently the most positive, and the students at the 10th stage are the most negative in terms of well-being with teachers. This gives rise to a particular youth effort. Trouble and anxiety inhibit learning and are a problem in Norwegian classrooms. 40 pst. by the students, there are troubles and concerns in the hours. The proportion of students who say that the teacher has to wait a long time before the students settle down, and that it takes time before they get help, has fallen from 42 pst. in 2000 to 34 pst. in 2009. This means that a better job is now done with this problem around the schools. A good class leader handles troubles and turmoil, including: through a good structure of teaching and clear expectations for students. The teacher's work as a leader is the single factor that is most relevant to the learning environment and the learning outcomes. This is why the role of the teacher in the message that we are now putting the last hand in the field of youth is crucial. Class management is also something that is specifically mentioned there. I think the most important thing about class management is to have a good teacher training at the bottom, it's about having guidance for new teachers when they get to a school, and it's about having a collegial relationship, so you have an exchange of experience and a management at school that all the time pushers on this.
