ParlaMint-NO_2011-06-01.ana.ud1111e26	The representative Anne Marit Bjørnfacen, who has been licensed, has once again taken the seat.
ParlaMint-NO_2011-06-01.ana.ud1111e439	I can't go into a single matter concretely. But I can give some general considerations on the question. I have recorded that in the media there is a warning of the local authority's handling of this matter. In that case, the statutory audit will be carried out by the county, which will be responsible. On a general basis, I would like to make it clear that the municipalities have an obligation to be careful about complying with the rules in the municipality. It is important for the confidence of the citizens that one is careful about it, and it is of course unfortunate if, in the context of meetings, there are doubts about the rules of procedure that have been followed, on the basis of which the decision is valid. There are clear rules in the municipality of Elva on the right and duty of elected representatives to attend – § 40. It is very clear that a local government member has the right and obligation to participate in his or her meeting, unless it is a valid maturity. So it's about both a right, but also an obligation, to meet. There are rules for calling an alternate, how it should be done, and it should be in the number order in which they are selected – as far as possible. Kommunelova is not to be misunderstood here, and from my point of view, it is important to point out that we have an important regional body in the county, because the county council is for the first time closer to the municipalities, and of course he also has an obligation to do this law enforcement to check that the decision has been made legally. If that's not the case, one has to take things up again.
ParlaMint-NO_2011-06-01.ana.ud1111e446	I thank the Council of State for a thorough answer. Some of the problem here is that a person – the head of the Harstad Workers' Party – refuses physical access to the City Hall. There is nothing that was just claimed in the Harstad Official Journal last Friday. This is also confirmed in the Official Journal of today’s Harstad by the representative who would stop this person. It just shows the seriousness of this. It is important, as the Council of State points out, that this is addressed by the State and that a law enforcement check is carried out. Luckily, the media was present and covered the event, and not least so uprising representatives were serious. Among other things, representatives from the government's own party saw the need for law enforcement. But what I ask you is, what in all the cases where there is no media present, where the representatives are not well enough schooled? I fear that in the country's 430 municipalities it is all too often wrong, and undemocratic principles are being implemented – so democracy's rules of play are not being followed.
ParlaMint-NO_2011-06-01.ana.ud1111e455	I have no reason as a municipal minister to be with and build up under such a pessimistic picture of local democracy in our country. I have no reason to believe that a user of local democracy in such a way that in many cases one is almost conscious – now I am not going to use the word ‘corruption’ – trying to influence the outcome in the case through the procedure that, among other things. is outlined here, and I will not comment any closer. On the contrary, I have the impression that Norwegian municipalities are doing a solid job ensuring that the legal rules are followed. They do that in very good cooperation with the county council. The county does a good job towards the county in providing guidance, not least within the legal framework, within the law, where, of course, there will be varying degrees of competence. This country is going to be used very much. I think it's important that one has such an instance that can both guide and carry out law enforcement.
ParlaMint-NO_2011-06-01.ana.ud1111e462	One follow-up question has been asked – Gjermund Hagesetter.
ParlaMint-NO_2011-06-01.ana.ud1111e465	There's no doubt that there's alarming information coming out here. What gives added cause for concern is that Harstad must be able to be a large municipality in Norway, with more than 20,000 inhabitants, so it is a municipality that is several times larger than the average of Norwegian municipalities. So that means that Harstad will be much more closely followed up by both the audience and the media than many of the smaller municipalities we have. Of the 430 municipalities we have in Norway, there are 30 municipalities that have less than 1,000 inhabitants. The Utsira is the smallest with a little over 200 inhabitants. There are also other problems associated with small municipalities, among others. inability, which may be difficult to practice. Then is my question to the Council of State: What has been done since the Central Party took over the Ministry of Local Affairs to ensure that democratic principles are followed up, and that laws and rules are followed in the Municipality of Norway?
ParlaMint-NO_2011-06-01.ana.ud1111e474	First, I have to comment on the insinuation that the small municipalities necessarily have a worse view than the larger ones. Maybe it's the other way around? Perhaps in smaller municipalities there are more transparency, more transparency, greater openness and easier and shorter paths between the controllers and the controllers? So when it comes to democracy, I don't think there's necessarily any inconvenience that there's a short way between the different authorities in a municipality. From the department's point of view, we are very concerned to emphasise the importance of the role of municipalities in democracy. It has also been linked to the role of the municipalities, and it will also be linked to matters that we are going to present in the future. The largest and closest now will be the Land and Municipality Storingsbericht.
ParlaMint-NO_2011-06-01.ana.ud1111e481	Let's move on to the next and last main question.
ParlaMint-NO_2011-06-01.ana.ud1111e484	My question goes to the Minister of Culture. The last day, I've had the pleasure of thinking highly with the Center Party in the case of the Norwegian Cultural Council, because the Center Party would like to move the tasks out to the county councils. In addition to that highly thought, I have also noticed that the other government parties in Stortinget have thrown themselves on a frustration in relation to the concentration of power and centralization about Oslo. The Chairman of the Committee, the Labour Party Gunn Karin Gjul, was out in winter on the financial side of this in terms of where the money was spent. When the Central Party now chooses to take up this frustration and pass it on, and uses the Culture Council as an example, it must mean that they are not necessarily concerned about where the money is going, because the Council of Culture's money also gets a lot around the country – there are general arrangements that everyone can apply for. Then I guess that's the power concentration they worry about. Six years with the Labour Party in government have shown a significant concentration of power in relation to how the tasks are to be solved. We have seen a concentration of power on the Council of Culture, in the sense that the Council of Culture has been given more and more tasks. We have it in relation to the National Library, which has been given more and more tasks. We have it in relation to the National Museum, like this. took over the National Exhibitions. So you look at the area by area that there are fewer people who decide more. In addition, the budgets speak clearly in their own language, although there are changes there. Something is recorded at Oslo, which is going out in the country, but nevertheless there is no doubt that much of the money is going out in the big cities. My question to the Minister of Culture is: Is it time for a change of course? Will she listen to her fractions in Stortinget in making a turn of this policy?
ParlaMint-NO_2011-06-01.ana.ud1111e497	The most important thing we can do to shift power from Oslo to Norway is to build stronger institutions in Norway. Construction of the North Norwegian Symphony Orchestra is one such example, Theater Inland is another such example. I mean, the conversion that we're now doing of the Riks Concerts, where we're actually moving more power out to local scenes, where they're allowed to decide who's going to go on the Norway Tour, is about the decentralization of power. I believe that it is no longer such that in order for us to get quality concerts all over Norway, we need two state directors to pick out the musicians who are going to spread concert experiences all over Norway. So I agree that we're going to decentralize more power in the cultural field, but I think what the representative is Thommessen's medicine is wrong. He believes that money should be transferred from the Council of Culture to an organisation responsible for managing business and culture interests. In my opinion, it is not to set cultural policy objectives in the high seat. However, we continue to monitor the way in which the funds go to the Council of Culture. We have said, in connection with the fact that we have transferred more power from the Ministry of Culture to the Council of Culture, that they should take greater account of regional policy. So this is an important discussion. But what's Right Medicine, I think is wrong in these questions.
ParlaMint-NO_2011-06-01.ana.ud1111e504	Then the Council of State may not have fully understood what is Right Medicine. It is true that we want an organisation next to the Norwegian Cultural Council to spread power, but it is not an organisation that is to build on business; it is to be based on cultural policy considerations. What is Right Medicine, the Council of State would be able to read out of the budgets of the last few years. The right has taken money from the big institutions and transferred it to the free field. We've taken money from what's city centre to what it'll be possible to apply for everyone, and through it contribute to building a culture from below, across the country. We have wanted a stronger strengthening of the Regional Film Fund, which the Minister of Culture has not followed up, despite the very power-concentrating grip on the House of Film. We want to strengthen just the local environments around the country. So there is a bigger grip that is required, and that has to be reflected in the budget.
ParlaMint-NO_2011-06-01.ana.ud1111e512	I haven't had a meeting with all the major cultural organisations in Norway for so long, because they're busy making representations on how to build cultural policy in the future. I've asked them if they want to transfer money from the Cultural Council to the County Council, and the answer is unisontly no. On the contrary, they want the Cultural Council and others to be very concerned about spreading power and money throughout Norway, but no one says that the distribution of county funds is a way of spreading power and money. I totally disagree with what the representative says about our cultural policy. Indeed, the largest increase in the cultural budget during this period is VAT compensation for non-governmental organisations. There's more money for choirs. There is more money for those who work with the theater for children and young people. There's more money for local scenes. That's what we're primarily betting on in the cultural promise now. It's building Norwegian culture from below.
ParlaMint-NO_2011-06-01.ana.ud1111e519	Four follow-up questions are raised – first Svein Harberg.
ParlaMint-NO_2011-06-01.ana.ud1111e522	I notice that the Council of State mentions building strong organisations around the country as one of the most important ways of delegating cultural power and commitment. It's bad with what we've seen in the last few years. I have been so lucky to be rapporteur in Grimstad, the city of the poets, and led the city through two author's birthdays. Before the Hamsun jubilee we contacted the other Hamsun communities in Norway, formed a community, created a preliminary project and sent a letter to the ministry that we were ready to arrange the anniversary. We had a lot of commitment: we'll do this -- how can we get help? After a long time, we received a reply that this was to be added to the National Library. Then we contacted the National Library to find out how to do this. They said we had to wait and see, because they had not received any funds. Is it building strong organisations around the country and taking care of the commitment around the country? What is the strategy behind this type of activity?
ParlaMint-NO_2011-06-01.ana.ud1111e527	This is, of course, a strategy that we, for example: has had when we have celebrated great Norwegian authors. The Bjørnson anniversary last year was coordinated by the National Library, but the largest events were at Aulestad and at Nesset. There were celebrations and markings all over Norway. So I believe that we have a strong national library that manages these funds, does not mean that there will be no activities elsewhere in the country. On the contrary, I have felt that otherwise in the country you are very pleased with the way such celebrations are arranged.
ParlaMint-NO_2011-06-01.ana.ud1111e532	Ib Thomsen – for follow-up questions.
ParlaMint-NO_2011-06-01.ana.ud1111e535	There has been a lot of debate about the Riks Concerts and the clipping of the Riks Concerts. The national concerts have had the primary task of travelling around the country and spreading good concerts in all districts. As a cultural politician in the Progress Party, I get many enquiries from the districts that much is centralised in Oslo – the Culture Council, the Ministry of Culture. The Culture Council gets more tasks, and you feel a frustration out there. Then it's a little bit daunting when the Center Party comes up with the idea that they want to decentralize, to add more to the municipalities. After all, it's all the municipalities that see and have local knowledge of culture, and where to spend the money. So this is in line with what the Progress Party means in the districts. What must be done, and what can be done? What will the Council of State do to create this model, which is the new government policy and the Central Party? This is fascinating.
ParlaMint-NO_2011-06-01.ana.ud1111e542	We will change this, for example. through the Riks Concerts. Let's take a place like Eidsvoll, which hasn't been visited by the Riks Concerts in many years. Now we're converting the scheme by transferring more to local organizers. Then Eidsvoll jazz club, then Karmøy Metal, then Blackland jazz club can arrange their own concerts themselves, without it being a state director who has picked out who is going to tour around Norway. I believe this has to do with the decentralization of power. I believe that the most important thing we do within the cultural promise now is to give more money to local cultural organizations, more money to choirs, more money to corps, so that those who are on the line will sell less cake weight and stand on more for their kids. For me, it's about building culture from below.
ParlaMint-NO_2011-06-01.ana.ud1111e549	Øyvind Hope - for follow-up questions.
ParlaMint-NO_2011-06-01.ana.ud1111e552	As cultural workers, we receive many requests from people around the country who are concerned about the power concentrated in Oslo, particularly in the Council of Culture. It's not surprising, what the Council of State says, that if you ask the big national cultural organizations, they don't want to deal with 19 county councils, but they think it's very good that you have one big, strong, powerful and national Norwegian cultural council. But it must just be the critical voices that are around the country, which the cultural-political spokesmen of the Central Party have caught up when she – yesterday – says that the county councils have to say more. So the question for the Minister of Culture must be: what is the Central Party's cultural-political spokeswoman who has misunderstood, since she believes that more power needs to be spread out into the country, into the counties, so that they can get more to say about how to distribute the funds?
ParlaMint-NO_2011-06-01.ana.ud1111e557	In recent years, we have committed a larger transfer of funds to counties and municipalities. This allows the counties to distribute more cultural crowns around the whole of Norway. But I am not a member of a scheme in which we transfer money from the Council of Culture to the county councils. It's not that those who are against this are big, strong actors. It is the League of Corsica, it is the League of Corps, which is more satisfied with these means, among other things. be distributed through Freefonds funds. I think it's worth listening to those who have experience, democratically built cultural organisations that are democratically anchored. They do not recommend such a solution. I believe that the Culture Council should distribute funds more widely throughout Norway. But the most important changes we have made in the field of culture lately are transferring power from the Ministry of Culture to the Council of Culture, so that they can spread funds across Norway. For me, it's about the decentralization of power.
ParlaMint-NO_2011-06-01.ana.ud1111e566	Yes, now the Council of State admits it. She has transferred a lot of power from the Ministry of Culture to the Council of Culture, from a Council of State that has to answer for itself in Parliament, to an organisation that is quite closed, which is run by a few professional communities, which do not ask questions in the Storting and must be responsible for the things they do. It is a massive transfer of power that the Council of State has made to the Council of Culture, she must admit that. The production of culture is something other than the production of hip operations or the construction of houses. Culture is an opinion. That is why we are now fighting for freedom of expression in Norway when we fight for culture and for cultural expressions. The move of power into enclosed spaces, the move of power away from a councillor – who has to be put to the wall here in the staging room – and into a room where no one can really ask questions, and the fact that there are actually a few artists in certain artistic environments who decide: Isn't there any reflection in the council that this is actually about freedom of expression and is a cultural policy question besides that?
ParlaMint-NO_2011-06-01.ana.ud1111e577	The representative can put me to the wall whenever she wishes. But the truth is that the various Committees of the Council of Culture – whether they are musicians or artists or theatre artists – consist of a variety of people from all over Norway. In the past, it was more important to know someone on the Culture Committee in order to increase their budget. I think it's crazy politics. On the contrary, I believe that there are those who know the music life, throughout Norway, who should manage cultural resources more fully. For me, it's about the decentralization of power. The Council of Culture and the tasks of the Council of Culture have increased, and I believe that this is very important, because they have a competence that is useful to bring with them. For me, it's about less power for the Ministry of Culture and more power for cultural life itself.
ParlaMint-NO_2011-06-01.ana.ud1111e584	The oral question procedure is over.
ParlaMint-NO_2011-06-01.ana.ud1111e596	There will be two changes in the list of questions set out, and in this context the President will refer to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 2, from the representative Torgeir Tåldal to the Minister for Transport, has been withdrawn. Question 6, from the representative Abid Q. Raja to the Minister for the Environment and Development, will be answered by the Minister for Justice on behalf of the Minister for the Environment and Development, who has been removed.
ParlaMint-NO_2011-06-01.ana.ud1111e609	‘On 24 May, the Revy announced that some host municipalities for farming facilities would like to have an opportunity to tax the establishments in order to increase the benefit of the community. The arguments put forward were taken from the Right's justification for keeping a share of the corporation tax locally. Would the Council consider going back to a system where a small proportion of corporation tax falls to municipalities in order to promote both understanding and positive attitudes towards business locally?’
ParlaMint-NO_2011-06-01.ana.ud1111e621	From 2005 to 2008, municipalities received a share of the corporate tax. The tax revenue was added to the municipalities via the framework transfers, and the distribution of corporation tax between municipalities was based on a municipal distribution of employment in the enterprises tax equalisation. That scheme was terminated in 2009. The municipalities were then compensated for by the increase in other revenues. The conversion must be seen in the context of the fact that corporation tax has significant weaknesses as the basis of income for municipalities. An important reason is that corporation tax fluctuates significantly. By making the corporation tax state and giving other income to municipalities instead, the income of the municipal sector has become more predictable. It is an advantage in relation to the planning and operation of the important welfare services for which the municipalities are responsible. In view of the size of the municipal sector, predictability is also important for the development of Norwegian municipalities and of the Norwegian economy. Income from corporate taxes is not evenly distributed geographically. As a result, the liquidation of municipal corporation tax has contributed to a more even distribution of income between municipalities. Then there may be arguments that by giving company tax back to the municipalities, one gives local incentives for economic development. But I would argue that the main incentive for industrial development in municipalities is to obtain more stable and predictable taxpayers, and then it's the population and personal taxpayers who probably have the greatest interest and the most important weight in that way. The income system for municipalities involves a high degree of cohesion between municipalities. In practice, municipalities with low tax revenues per capita are raised to a level of income of 93-94 pst. of the national average through tax equalisation. Many municipalities with coastal farming facilities have relatively low tax revenues per capita. For example, Steigen, who was brought forward in the news release on 24 May, had a tax income per capita of about approx. 70 pst. of the national average. The reintroduction of municipal corporation tax could, in isolation, give more tax revenue to, for example: The rise, but for municipalities where the tax revenue per capita is not brought over 90 pst. in relation to the national average, the increased revenue will be broadly matched by the corresponding lower tax equalisation. My answer is, with reference to a discussion we had in Stortinget yesterday in connection with a document proposal, that we have no plans to reintroduce a share of the corporate tax to the municipalities. I believe that the system we have today gives greater predictability to the local government sector, and that is good.
ParlaMint-NO_2011-06-01.ana.ud1111e638	I thank the Council of State for the answer. In my home country, the South Throne Team, we have a very beautiful coast. I don't know if the Minister of Finance has had the pleasure of visiting the beautiful island, not least the municipalities of Hitra and Frøya, where the farming industry means a lot to the total value creation. My impression is that municipalities with such industries are stretching very far in order to enable the industry to develop further in order to create more jobs, leading to our common well-being. Now, when we see that so many of the rapporteurs are calling for more funds to be returned to the municipalities, and we not least see that the industry itself is very positive in contributing to the development of local communities, I just have to ask whether the Council of State thinks it is right to introduce other bureaucratic and costly arrangements rather than corporate taxation.
ParlaMint-NO_2011-06-01.ana.ud1111e645	I've had the pleasure of traveling in the South-Trøndelag and the North-Trøndelag and otherwise, and I think it's nice there too, as there are many other places in the country. What I referred to was that in Stortinget yesterday we discussed a Document 8 proposal, Document 8:137 LS for 2010–2011, about returning parts of the corporate tax. That proposal was defeated, but I see that there may be arguments that corporate tax is important in this way. This is in so far a discussion that has been going on for a time, in which company tax has gone out a little and into the local government sector a little depending on the economic situation in the business world. I still believe that the most important thing is that the municipalities have predictable tax revenues, and that the personal tax is more predictable. I think both Hitra and Frøya and other municipalities are probably so concerned that these companies create lasting jobs for people living in the area. As a result, there is a strong incentive for business development.
ParlaMint-NO_2011-06-01.ana.ud1111e652	Now we see that the fisheries and aquaculture industry itself is very concerned about having a good relationship with the communities, and wants to contribute to the further development of these small communities. Not least, we see that the rapporteurs are quite clear that even if the government says no, they do not intend to give in to this matter. I guess the Minister of Finance got it too. When I hear that the Minister of Finance himself says that the local incentive for business is important, I wonder what can be a response to these rapporteurs and not least to the industry itself, when they want to contribute more.
ParlaMint-NO_2011-06-01.ana.ud1111e657	There may be many answers to this, including: the development of more regional policy and district policy instruments. At the same time, it will be that, in addition to personal taxes, they are linked to those who work on, for example: a farm, the ringing effects of a farm may be quite significant for other industries in the community that provide commercial activities and other things. I would like to think that driving economic development in a municipality from a slightly broader perspective is important anyway. Then, in my view, the corporate tax becomes somewhat less in that context. Then I would like to remind you that the municipalities of course have the opportunity to obtain more long-term and predictable tax revenues through property taxes, so that the municipalities have more instruments. But yes, rapporteurs are engaged, and that is good. And rapporteurs who are engaged, we should have, also in the field of business development. I think that corporate tax is important, but a far less important than the other things I've pointed out.
ParlaMint-NO_2011-06-01.ana.ud1111e675	This question has been withdrawn.
ParlaMint-NO_2011-06-01.ana.ud1111e682	‘At DPS Hamar, there are now 26 weeks waiting time from the time of referral until the patient meets a specialist. According to Hamar Arbeiderblad 15 and 23 May, some patients wait up to 19 months. Many patients also wait about the same hour in a psychologist’s office. When patients, who are in many cases suicidal, have to wait too long for treatment, this has serious consequences. What is the reason why, despite the availability of available capacity, the government will not ensure that mentally ill people receive treatment within a reasonable period of time?’
ParlaMint-NO_2011-06-01.ana.ud1111e689	Patients in need of immediate help will receive treatment without waiting. Otherwise, priority guides are used in assessing the maximum waiting time for different diagnostics. The Patient Rights Act shall assess the right to necessary health care and the maximum waiting time for treatment within a maximum of 30 days. For children and young people up to 23 years of age, the waiting time guarantee applies in the field of mental health protection and interdisciplinary specialised drug treatment. This implies that these assessments shall take place within 10 days of receipt of the referral and that no person entitled to the necessary health care shall wait longer for treatment than 65 working days. In the case of questions about the need for immediate assistance and assessment of maximum waiting time, the risk of suicide is a central assessment theme. If treatment cannot be provided within the deadline, the patient should be briefed and the service should take the initiative to offer from other DPS. If a patient has not received treatment within the maximum scheduled waiting time, this will be a deadline. The patient may notify the deadline breach to HELFO, which will then find an alternative offer at the expense of the health business. Experience has shown that most patients choose to remain on the waiting list at their DPS. The proportion of time-limit breaks has been included as a management parameter in the 2011 mission document and the target is zero time-limits. Health South-East states that this has been included in the order and order for all health businesses. Follow-up to the objectives is carried out through ongoing reporting and is submitted to the Management Board in monthly and quarterly reports, in annual reporting. It shall also be part of the ongoing and reported risk assessment of the group of undertakings. The Hospital Inland HF is systematically working to reduce the number of deadlines, and Health South-East reports that the number has been reduced, from 83 in January to 28 in February and 22 in March. In the case of the 19-month waiting newspaper, Health South-East informed that the Hospital Inland is following this case specifically with a view to assessing failure and deviation. The sharp increase in the number of referrals during and after the Roadworthiness Plan for Mental Health has given health professionals a challenge in complying with the legislation relating to maximum time limits for evaluation and treatment. This is not enough reason for not complying with the rules, and I expect the governance signals to be followed up loyally by regional health companies. The size will be kept informed of developments in this area.
ParlaMint-NO_2011-06-01.ana.ud1111e700	I thank you for your answer. I am also aware that this patient has received help. But this applies to a lot of people. Now the state council has explained to the systems and how they work, and it's precisely these systems that lead to very, very many people not getting help. After the long waiting period, it is only when you reach a DPS that you get a proper diagnosis and have to assess your situation in relation to the priority regulation. People get referral from their doctors, but they don't get to DPS. The waiting time is too long, and it's suicidal people. Does the Council not agree that there are too many serious incidents in the media where the sick person has sought help up to many times but has not been treated? So they get help too late after the serious incident, or they have to stand up in the media with the stress it brings on the sick and their families, as this lady has done – whether it is sick people who are not being treated in time and who are in a queue for treatment. Is there not a poor prevention of disease development?
ParlaMint-NO_2011-06-01.ana.ud1111e707	Well, standing too long in a queue is not good prevention for anyone. However, as I tried to explain, after receiving a referral, there should be an assessment within 10 working days in the case of persons under 23 years of age, and otherwise within 30 days. What is important is that these deadlines are respected. Otherwise, you have to use the usual priority guides, which are designed precisely because you have to get hold of the sick first. So I want to say that in the case of the Inland Hospital, I have looked at average waiting times. Average expectations are higher than those likely to be expected, but they have decreased — from 73 days in January to 63 days in March. Also in mental health it goes the right way.
ParlaMint-NO_2011-06-01.ana.ud1111e714	The fact that it's going the right way doesn't help all those who stand for too long and wait. In the case of those in need of emergency assistance, it takes 14 days today. It was a case we heard about now, with one who self-damaged, and who sat at home and was in a terribly difficult situation. The person mentioned in the paper here was a suicidal person. I am also aware of serious illness with suicidal thoughts that have succeeded in taking their own life because they have not been treated in time. This applies to a lot of people. It's big numbers of darkness. Why does the Council of State not want to open up time for treatment, by using private psychologists and psychiatrists and the capacity that actually exists in the healthcare system, rather than having long waiting times with the serious consequences that it has for both the sick and their families? I also see that mentally ill people have an increase in disability and long-term sick messages. It must be a goal in itself to cut the waiting time. There shall be no waiting time whatsoever for those who are suicidal. They must receive continuous follow-up. Don't the Council of State agree?
ParlaMint-NO_2011-06-01.ana.ud1111e721	Those in need of emergency treatment should be treated in an emergency and should be treated in an acute manner. Obviously, when we say that there are deadlines, when we say that HELFO has to help the patient find an alternative, it's just that you shouldn't wait beyond the treatment deadline set. That's the system, and that's the way it should be. Patients shall be protected within the time limits set as sound time limits. When it comes to using private or alternatives, you do it, but it's also the way you use them, you have to have an agreement with them in advance, so you know what they actually offer. Here we have been talking about referring to another DPS in the Inland Hospital. I just have to say that here, in fact, it is very important that healthcare companies work actively to ensure that patients do not wait longer than what is set as a proper treatment deadline.
ParlaMint-NO_2011-06-01.ana.ud1111e732	I will ask the Minister for Health the following questions: ‘The National Strategy Plan for Work and Mental Health 2007–2012 triggered resources for actions related to an increasing group of young people. Establishing new services for people with mental disorders requires thorough preparation and careful approach, and is not least a long and fragile process. Exciting measures are now in place, and experience shows that new groups of young people can be helped to complete studies and to participate in the labour market. How will the Council of State ensure resources for continued efforts at the end of the planning period?’
ParlaMint-NO_2011-06-01.ana.ud1111e741	The current national strategy plan for work and mental health is an important initiative to be continued in 2012. The Ministry of Labour and the Ministry of Health and Welfare are responsible for the strategy plan and the plan is jointly implemented by the Directorate of Labour and the Directorate of Health. Although one and a half years remain until the end of the strategy plan, the two departments and the Directorates have started to assess how the follow-up to the initiative is to be carried out. I intend to return to Stortinget with a statement on the matter in connection with the State budget for 2012.
ParlaMint-NO_2011-06-01.ana.ud1111e748	I thank you for the answer, but I was afraid that it was something like that. These diseases with depression and anxiety are one of the fastest growing health disorders. This project aims to prevent disability and an important contribution is to help young people complete education. Such projects have now been established. As for the University of Agder, I've had the pleasure of visiting the project that's there. There, an individual is employed through this project to follow, to support, to encourage, and this enables new young people to complete their education. They've started on a long run. What is important for these persons — both employees and users — is predictability. Getting it into the 2012 budget – i.e. in October/November 2011 – is very late, because long-term efforts are needed here. Doesn't the Council of State see that challenge?
ParlaMint-NO_2011-06-01.ana.ud1111e757	But I have just said that this project will be continued in 2012, and it will be from 2013 onwards to look at the continuation. I must, with all due respect, say that I believe I have answered the question when the representative asks: How will the Council of State secure resources for continued efforts when the planning period expires? It will be continued in 2012, and in the 2012 budget – almost a year and a half before 2013 – we will be briefing on how to continue this and how to continue it. Here, too, I just have to say that there are two departments in there, and the Ministry of Labour is actually heavier than the Ministry of Health, with 225 million. The Ministry of Health and Health has 25 million. kr, which is managed through the Directorate for Health, which carries out this work.
ParlaMint-NO_2011-06-01.ana.ud1111e762	I heard what the Council of State said, and I understand that there is probably some text in the budget for 2012. What is the great fear of those who are in this system, and of not talking about those who are not in the system, is that this should end up as one of the normal Nav measures. This is a group that demands predictability and resources, and is growing. At the health services of the student organisations at the University of Oslo, there were 1,200 who were denied their last semester of psychology. Of these, there was 10 pst. which was not received later in the semester but which had to wait until next year. So there's a growing group here and now, that really needs follow-up, and that needs to know that they can get help in the future. It's a long run. Will the Council take it seriously and promise this project, and not just come back to it in the budget with a comment?
ParlaMint-NO_2011-06-01.ana.ud1111e767	I fully agree with Mr Harberg that this is an important target group, an important group that absolutely needs support and guidance. As far as I have heard from this project, there are many good measures, and that is a good project. So the planning period is out of 2012, and then I say that I'm going back to the 2012 budget – so at the beginning of October, the representative will be briefed on how this is going to go on from 2013. And then we have to do all the assessments of the project, also about how this should be in the future in view of other measures. After all, as I understand it, it is also widespread use of volunteers here who assist in various projects around. All of this we need to get an overview of before we can say how this is going to continue from 2013. But that it is an important target group, I fully agree with that.
ParlaMint-NO_2011-06-01.ana.ud1111e776	I will ask the Minister for Health the following questions: ‘The costs to health businesses related to the use of medicinal products are very high, and it is important, with the hospital economy we now see, that we always focus on how to make the most of the resources available. Since its inception in 1995, drug procurement cooperation has saved Norwegian hospitals from excessive costs through their efforts to improve purchasing systems and obtain good tenders. However, the scheme has not been evaluated since its last reorganisation in 2002/2003. Will the Council of State initiate an evaluation?’
ParlaMint-NO_2011-06-01.ana.ud1111e785	Regional health undertakings have concluded a cooperation agreement on the procurement of medicinal products to health businesses. The name of the contract is Medical Products Purchasing Cooperation, abbreviated to LIS. LIS is an administrative part of the Hospital Apotetes and has its own board of directors appointed by the RHF Directors. Hospital pharmacists are under contract obliged to make administrative resources available for cooperation. There is also a separate technical council to advise the LIS administration on recommendations and the choice of medicinal products on behalf of the participants. The purpose of drug procurement cooperation is to provide the basis for contracts for the purchase and supply of medicinal products and other pharmaceutical products on the behalf of health-care establishments, thereby reducing costs. The LIS obtains offers for all medicinal products used in health establishments. It's a considerable amount of money that we're talking about. In 2009, health care businesses purchased medicinal products for 3.4 billion. kr. I am well aware of the significant savings that have been achieved in the last 15 years through the cooperation on drug procurement organised by the LIS in Norwegian hospitals. There is a high level of professional activity in the many local committees, the pharmacies staff contribute to a large extent, and the purchasing authorities have streamlined contacts with the pharmaceutical suppliers. Of course, regional health enterprises, such as LIS owners, also have a great interest in the optimal functioning of cooperation. I would therefore like, in consultation with regional health businesses, to assess the need for an evaluation of drug procurement cooperation.
ParlaMint-NO_2011-06-01.ana.ud1111e796	I interpret it as a very positive response from the Minister of Health and Care, that the Minister of Health and Care will now look at this. Because it is clear that the most important thing to get a well-functioning LIS collaboration is that you have a transfer of competences, not only within Health South-East, which has the primary responsibility here, as LIS is actually subject to the Hospital Apotetes in Health South-East, but also that the other RHFs benefit from the knowledge that is there. The LIS cooperation and the purchasing system have resulted in significant savings for the State, and perhaps it is also appropriate to consider whether there are other public establishments that have something to learn in this context. One of the things you should definitely be looking at is the organization. At least I would recommend the Council of State, among others. to assess a model that transforms LIS into a separate undertaking or an AS, each of which has its own member of the board of directors — regional health enterprises — just for ownership of this cooperation, and hopes that this may be part of the evaluation.
ParlaMint-NO_2011-06-01.ana.ud1111e801	I thank you for the recording, and I'll definitely look at it. But as I understand it, it's the RHFs that are together on the LIS, who also appoint the representatives of the board.
ParlaMint-NO_2011-06-01.ana.ud1111e806	In fact, LIS is now deployed as an integral part of the ANS, as it is hot, in Health South-East. But these are things you should look at. The background for not doing anything special about this could be that you've seen that LIS has worked and that you've had a lot of savings. The only thing is that we have to look at how we can exploit this further, to the joy of both the public and, not least, of the patients. It is clear that if we can bring down, among other things, the prices of hospitals also on the expensive and more effective medicinal products, freeing it of actual resources for other tasks, so that more people can receive treatment, and, in particular, proper treatment. I hope at least that evaluation will take place. In any case, the undersigned very much wishes to make representations on the matter, as formerly rapporteur for both the Pharmacy Act and other pharmaceutical matters. But it's important to get started, so you learn from the process that LIS has opened up to.
ParlaMint-NO_2011-06-01.ana.ud1111e813	I've said that we will do this, but there's something that has to be done with the RHFs, and I'm going to follow that up.
ParlaMint-NO_2011-06-01.ana.ud1111e822	This question, from the representative Abid Q. Raja to the Minister for the Environment and Development, will be answered by the Minister for Justice on behalf of the Minister for the Environment and Development, who has been removed.
ParlaMint-NO_2011-06-01.ana.ud1111e825	‘The population of wild salmon in Norway is at a historically low level, although the incidence of salmon increased slightly in 2010, a report by the Scientific Council for Salmon Management delivered to Minister for the Environment and Development Erik Solheim on Wednesday 25 May. The Council of State stated: ‘What we need to do now is to take new steps to help the farming industry overcome the problems.’ What new grip does the Council of State see?’
