ParlaMint-NO_2011-05-25.ana.ud1979e26	The representative of Sonja Mandt, who has been licensed, has once again taken his seat.
ParlaMint-NO_2011-05-25.ana.ud1979e454	It is quite a fact that there is a great aftermath on Norwegian roads, and we in the left are very concerned that we have to make the Norwegian roads safer and build several middle parts. In the transport sector, the Left was informed by the Council of State in a written reply last week that the NSB has been delayed in insane 30 200 hours since the 2009 fallout – with a cost of hundreds of millions of dollars, perhaps up to a billion. On the same day that the left received the Minister of Transport's response, there was again a signal error and a train stop throughout the Oslo area. The council has said several times today that she does not have the full overview of some things, but we have now been informed from the Progress Party what we Norwegians think about Norwegian roads. What I'm asking is what the Council of State thinks, maybe ticks, a similar poll would show what we nordics think about the NSB and the railway offer.
ParlaMint-NO_2011-05-25.ana.ud1979e463	What is at least the case with rail is that if we look at winter last year – punctuality and delay hours – we were at the bottom of Scandinavia. If we look at winter this year, tell the corresponding numbers that we're on top. There is something to say that it benefits from the maintenance and renewal work under way, both the large Oslo project that will be completed in 2012 and the maintenance and renewal work that will take place on the other tracks. Then I don't care about spending time speculating about investigations that are not intended. I'm glad there are more people who are happy this year than last year.
ParlaMint-NO_2011-05-25.ana.ud1979e470	Then we go to the next and last main question.
ParlaMint-NO_2011-05-25.ana.ud1979e473	Then I can relieve the Minister for Transport and ask a question to the Minister for Fisheries and Coastal Affairs. She is responsible for the framework conditions of the farming industry, and part of the responsibility must be the overall behaviour of the authorities towards the industry. That is why the long-standing conflict between the industry and the Directorate for Nature Management is also part of her extended responsibilities, where the Directorate politicises its activities. The right has addressed this many times with the Minister for Fisheries. The last turn of this is that the organisations of the farming industry had to wait nine months to get a response on the ground figures from the wild game management. When they reminded them of this, and informed the Business of the day that they had reminded them, they received a reply from the directorate that they were almost less gifted who could not find out for themselves. In extending this response, Terje Aasland, the head of the Business Committee, said on Monday this week to Today's Business that he would be ‘fully matted’ by such conduct from the Directorate. He strongly disagrees with the way industry is treated – he is responsible for it in the committee – and he says that political authorities can no longer sit and watch the directorate act more and more politically in many cases. In fact, there is a majority in the Stortinget – if he represents the Workers' Party – who believe this. My question is: does the Council of State of Berg-Hansen share the concerns of Terje Aaslands and of the Right about how the farming industry is treated, and what can she do to reduce the concerns of the committee leader, my concerns and the concerns of the farming industry about this development?
ParlaMint-NO_2011-05-25.ana.ud1979e486	The representative of the Fleet here, as I see it, is a criticism of the Directorate of Nature Management and their openness. It is a body subject to another State Council, namely the Minister for the Environment, and the Minister for the Environment is, of course, responsible for the public and administration of the Directorate for Nature Management. The agencies for which I am responsible practice more openness. I am very concerned that all the knowledge that my offices have, whatever professional questions, is being made public. However, the issue related to the Directorate for Nature Management must almost be addressed with the Minister for the Environment.
ParlaMint-NO_2011-05-25.ana.ud1979e494	This was no criticism of the directorate. I initially said that I was fully aware that it was not the responsibility of the Council of State. My criticism is what the government council responsible for the farming industry is doing to improve the overall management of the government she represents. It also includes, of course, what the Directorate of Nature Management does, and how they talk to their Council of State. Now I understand that committee leader Aasland has been planning to talk to State Councillor Solheim. But I would hope that during the time she has been in the ministry, the Minister of Fisheries and the Coast has also been given the opportunity to talk to the Council of State of Solheim about this. So I'm essentially repeating my question about what she can do to reduce the concern that very many now have. And then I'm talking to the State Council Berg-Hansen and not DN.
ParlaMint-NO_2011-05-25.ana.ud1979e501	What I am responsible for is the management of the aquaculture industry and the further impact of the aquaculture industry on the wild species. The wild salmon and the management of the economic part of the wild salmon have been assigned to the Minister for the Environment. I and the Minister for the Environment have good dialogue. We arranged, among other things, a joint knowledge seminar to gain knowledge, where our underlying agencies of course participated in that area. We have now seen that the Marine Research Institute and the NINA have cooperated on knowledge related to the wilderness axis and its challenges. My approach to the aquaculture industry related to these issues is precisely to focus on the challenges that the aquaculture industry poses to the wild. Of course, I am committed to getting as good a knowledge base as possible in order to contribute to the success of the objectives we have in terms of an environmentally sustainable aquaculture industry.
ParlaMint-NO_2011-05-25.ana.ud1979e510	Two additional questions have been asked and are raised – first Elisabeth Røbekk Nørve.
ParlaMint-NO_2011-05-25.ana.ud1979e513	SINTEF Fisheries and aquaculture believes that farms are likely to be positive to the wild fish stocks around the farms and that there are no scientifically recognisable studies to reflect fishermen’s views on how the farming industry affects wild fish around those holdings. Scientific advice for salmon management today presents its annual report, the main conclusion of which is that more salmon populations are now at risk of extinction and that salmon and escaped farmed salmon are the cause. How does the Minister for Fisheries view the conflicting research reports available and will the Council of State take action to ensure that the administration is more interconnected?
ParlaMint-NO_2011-05-25.ana.ud1979e522	The report to which it is referred, which is to be presented today after what I am familiar with, naturally I have not read – nothing other than what is written in the media. There has been cooperation between researchers on knowledge acquisition and knowledge building. Two other reports are also published. One is from the Marine Research Institute, for which I am responsible, and then there comes one in addition, to which it was referred. Here – as otherwise – the researchers of course do not always agree. I think we should be happy that we have more research environments that contribute to good debate and good knowledge. I'm sure it'll strengthen the research. Then it's us politicians who get to draw the essence out of it, and take the conclusions that research has to give in relation to the management of the industry.
ParlaMint-NO_2011-05-25.ana.ud1979e529	Harald T. Nesvik – for follow-up questions.
ParlaMint-NO_2011-05-25.ana.ud1979e532	I just want to point out that the answer that the Council gave to the agent Fleet, in many ways, shows just the problem that we have different types of agencies that speak differently, but like the same area. But what is important is that the government speaks with the same tongue and the same message. It is a further worsening of the problem that the Minister of Fisheries and Coastal Affairs is speaking the business of the industry in an excellent way, and then we have a councillor, Solheim, who appears in the background at regular intervals, and makes some statements in his area that create great uncertainty. I want to grasp one of the things that the Directorate of Nature Management has been very persuasive. Of course, it is related to the influence of salmonids from farms on wild-tailed populations. It turns out that there is very little research that shows the direct causality of how salmonitus affects the wild species, and whether it is actually the trigger. That's why it's important that we get knowledge in this field. My question to the Council of State is this: Will the Council of State take an initiative to give us an independent research, preferably under the direction of the Institute of the Marine Research, which will look at the causal link between salmonmus and the influence of the wild stocks? Then we can once and for all have discussed research-based knowledge.
ParlaMint-NO_2011-05-25.ana.ud1979e541	The government speaks absolutely in the same voice as regards the importance of the aquaculture industry. That's what we're gonna do in Soria Moria. Minister for the Environment Erik Solheim is the one who has gone all the way to reflect the importance of the farming industry. He even says that the breeding industry is a diamond that needs to be whitewashed. So there's no doubt that we fully agree on the meaning of that industry. Then there's a question of the importance of the industry to the wild and, on this question, the importance of salmonnus. We have scientists who are independent, in many environments, who are researching the effects of salmon and salmon. It is a strength in Norwegian research that we have independent researchers who come with their knowledge. Here, as usual, we need to gain more knowledge and broader knowledge. The most important thing I have been busy since I came in has been to ensure that the wild axis can wander into the sea in the spring. It's done that in the last two years. I sincerely hope it does this year as well.
ParlaMint-NO_2011-05-25.ana.ud1979e548	So the oral question procedure is over.
ParlaMint-NO_2011-05-25.ana.ud1979e560	There will be two changes to the configured question list. The President refers to the list distributed at the seats of the representatives in the Chamber. The proposed changes to the ordinary Questionnaire are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 4, from the representative of Mr Gunnar Gundersen to the Minister for Justice, has been withdrawn. Question 5, from the representative of Olemic Thommess to the Minister of Culture, is postponed until the next Question Time, when the Council of State has left.
ParlaMint-NO_2011-05-25.ana.ud1979e575	‘The Councils of State were very concerned about the safety of traffic data storage. However, Stortingen has adopted a tightening of storage and deletion of traffic data, which is one of the most stringent in Europe. Now it shall be possible to obtain letters and other in the electronic mailbox as an alternative to the more ageing ordinary mailbox. How will the Council of State organise security around the digital services of the Post?’
ParlaMint-NO_2011-05-25.ana.ud1979e587	I know that I have expressed concerns about the security of traffic data storage in electronic communications. Following the Storting decision to introduce the Data Storage Directive, an enormous amount of data will be stored in the future by over 200 providers of electronic communications. Many of them have procedures for storing and deleting data, but several of them do not because they have no obligation to store data. I have no doubt that all the providers will do what they can to meet the requirements of the laws, but my concern is that the small providers do not have the same resources as the large ones to meet the requirements. Setting up good data storage and security systems can be economically demanding for the small ones. On the other hand, I am not worried about the item’s security measures in relation to digital services. The entry is a large player with resources to manage large amounts of data safely. Digipost is a new digital mail system for important mail, and it should be possible to send any type of document through the solution. The solution has therefore been developed with a very high level of security. Digipost has been launched with the same security as in online banks. Reading messages is encrypted and all messages and personal data are stored in line with the requirements of the personal data law. The post has a good dialogue with the Data Protection Authority, and they consult on the supervision of any major changes related to security. Whether the new service Digipost should be a success for the Post, it is absolutely necessary that they take the security seriously. I have great faith in that they do, and the Post itself says that security is the most important thing in the development of Digipost.
ParlaMint-NO_2011-05-25.ana.ud1979e598	I would like to thank the Council of State for the answer and briefly link some comments to what the Council of State spent most time on. So, despite the Council of State, the Storting got into a law that we didn't have before, for securing traffic data. We also got a frame-up and a protection of privacy in a completely different way from what we have today, which is likely to be one of the most stringent things we have in Europe. So to the Post and Digipost: I have to say that I am well pleased with the intention and intention of the Council of State to ensure that we are more likely to retain what is the content of letters that are to be sent to us through this digital mailbox, and that we use the bank, banking services and network services as a starting point. I want to follow up anyway, because although we have the Post today, there may be other actors. Is the Council of State concerned with thinking about concession, authorization, etc.?
ParlaMint-NO_2011-05-25.ana.ud1979e605	Yes, all the applications that might have to come, we have to evaluate very carefully, precisely for security. Let me say that when it concerns the Post, they use accepted standards throughout the entire solution. Digipost benefits, for example: the following known hedging mechanisms: authentication of users at security level 4 on registration and for all messages with sensitive information Encryption of all traffic Encryption of all documents stored unique encryption keys per user to store all personal documents possibility for end-to-end encryption on message from senders to Digipost possibility for signing messages from senders' machines to Digipost event registration to signed logs In addition, the Post Norway has regular dialogue with the Data Protection Authority, and they consult on all major changes.
ParlaMint-NO_2011-05-25.ana.ud1979e634	Then at least the Council of State shows that it is possible to encrypt, and that it is done in a large way. But I'll follow up anyway, because in the future it might be that we got what you had at New Zealand, Jimmy's Post, that took mail delivery in rural areas, and there might come more actors than just a monopolist who delivers mail. Is it the case that the Council of State will ensure that you get concession rules if it should be applicable, and that there is authorisation for the staff who are going to be able to enter and store this type of post, so that I can get it in my mailbox? Will it set track, so that I can know who it is that has handled my post, in the form that you also have logging systems, in the same way that we got into the security that was tightened up for traffic data? In conclusion, 200 operators with electronic communications in traffic data can thus cooperate and make systems simpler and cheaper by associating with larger actors.
ParlaMint-NO_2011-05-25.ana.ud1979e643	What has been a dilemma so far with the Data Storage Directive is that it does not specify what to encrypt. There's a disturbance between small and larger players, because for the small natural ones, it's going to increase costs. Then, of course, there can be a change in the market towards larger players – that’s something I’ve pointed out before. But let me just stress when it comes to the Post, that, in addition to consulting regularly with the Data Protection Agency, they use reputable external companies for security testing. The last review gave a full score — seven out of seven possible points — no security stakes were found.
ParlaMint-NO_2011-05-25.ana.ud1979e656	My question also goes to the Minister for Transport: ‘The use of tolls to finance roads and other transport measures has increased under the red-green government. The government's signals are that the increase will continue, and that the use of tolls for things other than roads will be extended. So the government's transport tax will increase. There are now OECD observations that Norway should increase the cost of fuel and tolls throughout the road network, i.e. even more expensive transport, for climate reasons. Will the Council consider submitting a separate communication on the widespread use of tolls in Norway?’
ParlaMint-NO_2011-05-25.ana.ud1979e665	I am aware of OECD assessments that we in Norway should increase the level of private car rental charges in order to achieve the target of reduced emissions. The size has joined the toll policy pursued in Norway — both through the management of the national transport plan and through the management of individual toll proposals. Tolls can now be used for roadside purposes and for investment and operation in public transport. This is the area of use for which the Storting has agreed by dealing with various legislative proposals in recent years. No proposals have been made for the extension of the scope of tolls beyond what is currently provided for by the Toll Code. Toll policy is naturally referred to in the national transport plan, so I do not intend to submit a separate communication on the use of tolls.
ParlaMint-NO_2011-05-25.ana.ud1979e676	That's too bad. Unfortunately, tolls are used after a long history in Norway. In the last decade, Norway has become much richer every year, while the use of tolls as an alternative to state funding of roads has increased sharply. In the period 2005-2009 – if we keep Oslopackak 3 out, even if it stands for 54 billion. kr – approved all lots, except for the Advance Party, projects for 36 billion. kr, there 26 br. kr was financed by tolls, but the total bill for the drivers was 36 billion. kr. So far in this period, the figures are 19 billion, respectively. SEK in investment, toll contribution of 11 billion. kr and a bill for the Transport taxes are high and increasing. Should not the Stortinge therefore make an overall assessment of the use of tolls?
ParlaMint-NO_2011-05-25.ana.ud1979e685	The following two principles are fundamental to toll financing: local anchoring — projects must be based on local initiative and decisions — and the principle of usefulness. Those who pay should be useful, as well as those who benefit. So there's a pressure across the country to realize more road projects. Some of them have found their priorities and solutions in connection with their national transport plan. When any of the projects failed in an ambitious plan, however, were given place in a combination of tolls and state funding, it has the basis of local initiatives, either to support a project or to achieve it at all.
ParlaMint-NO_2011-05-25.ana.ud1979e692	And it is that this alleged local pressure is due to a blackmail from central political authorities. But there is a well-known reason, and there is a reason that is used by all the other parties on the Stortinget to approve the use of tolls, that it is done on so-called local initiative. But there is not one toll project where local or regional residents have been asked in advance if they want tolls. One of the disadvantages of using tolls as a financing solution is that it incurs considerable additional costs, and I referred to it in the previous question, and I repeat it now. Purchase of road for hire costed 10 billion in the previous period. And so far, in this period, it's cost 7 billion. kr. It's a pretty comprehensive extra tax. But then I try again with the question of not the Storing for the sake of the extensive consequences, and not least for the sake of the extensive extra costs, can conduct a discussion on the use of tolls.
ParlaMint-NO_2011-05-25.ana.ud1979e701	Toll collection has a cost. Then it is important to have an effective collection system, so that as much as possible of the collected tolls are used to finance infrastructure projects. In connection with that, I have taken an initiative to collect different collecting societies in a maximum of one per county. It could mean a slightly less total amount compared to collection. It could mean more money. But every time there's a toll project ready to be realized, there's a discussion in Stortinget. So it's not like the Stortinget isn't allowed to say it in relation to the toll project.
ParlaMint-NO_2011-05-25.ana.ud1979e717	The president was elected for approx. A minute and a half ago, the representative Frank Bakke-Jensen was not at the house, and I am sorry that the Council of State has not received that message before. Neither has the President. That means that question 3 cancels out.
ParlaMint-NO_2011-05-25.ana.ud1979e731	This question has been withdrawn.
ParlaMint-NO_2011-05-25.ana.ud1979e745	This issue is postponed to the next Question Time, when the Council of State has left. The President is pleased that we have both the representative Svein Flätten and the Minister for Agriculture. So we go to question 6.
ParlaMint-NO_2011-05-25.ana.ud1979e754	I'm glad to be able to help us get on with the program. I have a question for the Minister of Agriculture and Food: ‘A farmer in Rogaland bought a small use from a neighbor. The total area was 125 dekar and is subject to concession. The area under cultivation is 20 decks and is below the price regulation limit. The bidding round gave a high price, as the property is almost freely negotiable. After the purchase, the municipality places as concession terms that the property coincides with the farmer's principal property, which is a regulated use, which will result in impairment of the new property. What will the Council of State do to avoid such results from the amendment of the law on price regulation on small uses?’
ParlaMint-NO_2011-05-25.ana.ud1979e765	Prices of agricultural property must be kept at such a level as to facilitate long-term ownership and provide opportunities for a useful economy for those who are to acquire and operate the agricultural property. It is to ensure that we have a price control when acquiring agricultural property. In deciding on applications for a concession for the acquisition of property to be used for agricultural purposes, it shall, inter alia: emphasis is placed on whether the agreed price accommodates socially sound price developments. I believe that this is an important and correct objective of agricultural property policy. At the latest in the context of amendments to the 2009 concession law, a majority of the Business Committee in Stortinget also stated that it is important to maintain price control. At the same time, the Committee signalled a desire to increase the rate of turnover of agricultural properties. This is the background to the adoption by the Ministry of Agriculture and Food in 2010 of some changes in price controls, including: such that smaller, built-in properties are exempted from price control. The aim of this was to make rules easier to deal with, but also to allow that smaller agricultural properties where the housing function is more prominent than the business aspect could be traded at a price that is closer to market value. Therefore, when such property is purchased as additional land, the purchaser operates in a free market in terms of price. It follows from the Land Act that property purchased as additional land becomes a holding together with the buyer's former property. Therefore, sharing consent is necessary if the property is to be redivided afterwards. In addition, concession terms are usually set in the same way at the time of purchase. In my opinion, these conditions are something that the purchaser has to assess and take into account when buying property without price regulation as an additional land. I assume that the buyer of additional land is intended to operate agriculture on the property, and that the purchase is business based on this as a starting point. I do not see sufficient reason to change the decision that the price control should be reserved for properties of a certain size. I do not think the representative fleet wants to reverse this decoration that has recently happened.
ParlaMint-NO_2011-05-25.ana.ud1979e778	I thank you for the answer, which I am not satisfied with. What this detail of price regulation applies is that when you buy a use that is freely negotiable and not priced — perhaps at a very high price — to use it in agricultural terms, you are forced to add it to the main use. The total use is then subject to price regulation, and it simply means that the investment you have made becomes very uncertain — or not ‘uncertain’ — in value. At a time when farmers are asking for increased profitability and, not least, increased investment capacity, I believe that this type of regulation – this is a detail of price regulation – should be subject to change.
ParlaMint-NO_2011-05-25.ana.ud1979e785	As I said in my first answer, it follows from the law of the land that property purchased as an additional land is to be converted into one operating unit together with the buyer's former property. It is also true that when a property is purchased as an additional land, and you buy it below the price regulation limit, you have to operate in a free market in terms of price. And, as I said, there are conditions that the buyer must take into account when buying a property without price regulation as an additional land. It is clear that it may seem unreasonable for the person conducting such a trade, but at the same time it is the individual farmer and the individual business operator who has to assess the profitability and the appropriateness of operations, etc. in such a case, when you enter into a price agreement.
ParlaMint-NO_2011-05-25.ana.ud1979e792	That's exactly where I'm in line with the Council of State. These are nutritionists who need to assess the risk. But that doesn't mean that you can't have flexibility in the law so that you can fulfill our desire that more people can drive, that more people can run profitable, even with additional soils. I have to say that I am a little surprised that the Council of State refers to the law of the land – yes, I know what it says in the law of the land, but the law of the land is, after all, not the Constitution, and it is not stoned that it must be. What I'm really asking the Council of State about here is, can he imagine looking at the law of the land, whether it might be possible for the farmers to achieve such flexibility? That's who I'm talking on behalf of.
ParlaMint-NO_2011-05-25.ana.ud1979e799	I also see that the representative Fleet here is speaking on behalf of the farmer who is experiencing this situation, and probably believes that there is an unfairness in that law and practice we have today. It must also be said that there are many aspects of property law in agriculture that are for discussion and that we have also discussed in this Chamber. I'm one of those people who think that we have to constantly develop the law so that it fits with society, with operating patterns and the opportunities we have to run economically. So in this way, I follow the request from the representative of the fleet. I can stress that this issue – as well as other issues related to property law – is something we look at and work with in connection with the big message that we will later get to Stortinget.
ParlaMint-NO_2011-05-25.ana.ud1979e812	I would like to ask the Minister for Agriculture and Food the following questions: ‘Statskog SF bought in 2010 among others. Borregaard Skoger, etc. for SEK 1,725 billion kr. There is now an unwarranted amount of cutting in that part of the property that is located in Hedmark. The withdrawal now, as well as the announced withdrawals in the coming period, has doubled compared to the previous owner. Does the Council of State agree that this could be an irresponsible amount of cubic timber being extracted?’»
ParlaMint-NO_2011-05-25.ana.ud1979e821	The purchase of these properties provides State Forest SF with a better basis for efficient operation, while at the same time strengthening opportunities for hunting, fishing and outdoor life. This was also explained in Prop. 11 S for 2010–2011, and Stortinget underlined during her treatment of the case the same. State forest SF’s investment decision was commercially motivated, and the price was based on a thorough review of the property’s resources and income opportunities. This process included: discovered that the properties have significantly greater potential for logging than previously assumed. The main part of the value of the properties is linked to the harvest and sale of timber. The former owner has invested a lot in forest production and infrastructure, and I am well aware that it is now possible to increase the yield of the purchased properties. I assume that State Forest SF operates sustainable forestry, and indicates that State Forest SF must comply with the same rules as all other forest owners in this country. Environmental certification of forestry, in which State Forest SF is also involved, provides a high degree of internal control in the industry. The Forestry Act and its environmental regulations also provide a framework for activities, and Statskog SF must comply with them. I don't have the prerequisite to make any assessment of what is the proper logging of the individual property, either at Statskog SF or other forest owners. On a general basis, I would like to point out that increased activity in forestry is desirable as a basis for increased value creation and strengthening of jobs far beyond forestry.
ParlaMint-NO_2011-05-25.ana.ud1979e834	I thank the Council of State for the answer, which was an answer, but I guess I'm not quite satisfied with that. There are many in Hedmark who are concerned about the cutting that is now taking place in the properties of the former Borregaard Forests. There is an unwarranted cut, and the Vice-President of Elverum, the party colleague of the minister, says that he fears state robbery. That is what the rapporteur, who is a party colleague of the Council of State, says. When you buy a property at a high price, in this case at a price that most people who have prepared for the forest thought was too high, and at the same time you have a return claim of 7 p.m., the demand for money will mean that you have to cut a lot of timber. That's why many now are afraid that forests will be cut out and lost their value. They also lose value in many other ways. So that's what's in this question: that you fear state robbery because of high price and 7 pst. returns.
ParlaMint-NO_2011-05-25.ana.ud1979e843	I would like to stress that the price fixing in connection with the purchase of Borregaard’s various forest companies, among others. in Hedmark, was based on a thorough review also of the value of the forest lying there, and through that evaluation it was found that there was a significant possibility of higher forest extraction than Borregaard Forest had previously done. I assume, of course, that state forest, which is going to be commercially profitable, but which is also going to follow all the legislation on sustainable forestry, is doing the necessary balance-sheet assessments, so that it is doing well, but at the same time economically profitable. I have no reason to say anything but that it is also done through the plans outlined here for the activity in Hedmark in the future. So, as I said, this is the board's responsibility, and within the framework they have, they do a good job.
ParlaMint-NO_2011-05-25.ana.ud1979e852	I thank you once again for your answer. Of course, what is justifiable or not, can be discussed, but when a new owner in the current year chops up twice what the previous owner did – and the previous owner, Borregaard Forester, was a very skilled forest owner who drove the farm and the forest in a very sound and good way – and at the same time announces that it should be done for many years to come, it goes without saying that there will be little timber left after a few years. And then there are many, including the Vice-President of the Elverum, who says that this type of forest is unsavory. When we also talk about forest, I hope it will soon be a reaction to reselling part of the property you already have in Statskog. It is a different matter, but it is also mentioned in the context of this case that you have to get ahead of it.
ParlaMint-NO_2011-05-25.ana.ud1979e861	I am not familiar with the description that what Stadskog is planning to do is unwarrantable logging of the forest properties that they have acquired in Hedmark. I assume that Statskog, as said in my first post, operates a sustainable forestry, and that State forest deals with the same rules as all other forest owners in Hedland and elsewhere in the country. The assumption here is that they should operate commercially economically while at the same time complying with – call it – sustainability requirements imposed by the Forestry Act. With regard to the issue of the resale of properties, there is a matter that is being worked on, and one that of course will also follow up according to what the Storting has decided in the previous handling of the case.
ParlaMint-NO_2011-05-25.ana.ud1979e870	Case No. So 2 is done.
ParlaMint-NO_2011-05-25.ana.ud1979e883	There is no record. Thus, today's map has been processed. The President assumes that the last representative in the Chamber does not ask for the floor before the meeting is cancelled? The meeting has thus been cancelled.
