ParlaMint-NO_2011-03-10.ana.ud2107e122	The representative of Borghild Tenden will put forward a proposal for a representative.
ParlaMint-NO_2011-03-10.ana.ud2107e1414	First, I will also be allowed to thank the interpellant for raising an important issue and for the good contributions that have been made in the debate. The fight against social dumping must continue. For the Christian People's Party, it is also about the protection of the weak party and that we as authorities have a great responsibility to ensure that working life is in a way that we can be proud of. What I also think it is important to raise, is that in this industry, there is a desire to be serious. I say it that way because there are actually many companies and companies that want to run seriously, but who experience that they are losing tenders to more unprofessional parties. I think that might be some of the things that are important to address. As many people have been involved, for example: NHO Service has been busy doing something about the industry in order to get it more serious, and it means that we need to be even better, even more impatient about making demands, come up with measures that make those unprofessional, those who abuse the workers, those who make sure that there is social dumping, are taken. So I think the idea of ID cards is going to be good, and I'm going to help out there. Good cooperation between employers, employee organisations and authorities or the Nordic model may be one of the most important tools. For the Christian People's Party, it's important that one continues to cooperate in a good way, because it's precisely where one can be involved in revealing social dumping. If, for example: the trade union movement through trustees in companies and employers who are involved in it focuses on it, and one could also be involved in revealing it. Many say that this is, put on the head, jobs that we don't want, at all times of the day. One also knows that many immigrants work as cleaners. For many immigrants, this job is no. 1st@item: inlistbox The industry is characterised by a low level of organisation, both among employers and among employees. Many asylum seekers who receive a temporary work permit while waiting for the application for asylum to be finalised have the opportunity to work for them to do something meaningful during that waiting period, and it also facilitates their integration into society if they are allowed to do so. Temporary work permit asylum seekers may also be legally recruited to the industry. We know that many of the people who have been exploited are in this group. We must prevent people from being exploited in Norwegian working life. The Labour Inspectorate has carried out a number of inspections in the clean-up sector, and there have been unexplained cases of breaches of health, environmental and safety rules, black work and lack of employment contracts. From this point of view, I think the theme on which the representative Pollestad was involved in the previous article is important, because it is not all that is easy to capture, either by employees, employers or authorities. In this way, it will also be important to be able to hold individuals accountable. The fact that a person experiences that there are so many private individuals who want to buy black labour, and in that way maintain social dumping, is something we have to work with. There I have to challenge the Council of State, if one can make more demands, make proposals that can improve the quality of the industry, for example. through what Pollestad said, with tax arrangements that make it profitable to go away from undeclared work and over to do it properly. As there are so many immigrants and asylum seekers working in the clean-up sector, I would also like to challenge the Council of State whether there are other measures that you can come with to perhaps facilitate integration. Even if it's job number. 1 for many, it is also important to be able to make sure that they can get a job no. 2, that they can get better Norwegian training, and that they can know how things work to move on in the workplace. That's why it's important to get a serious business, just to get them to take a job that many North people unfortunately don't want to have. Then I think it might be an opportunity to help them get integrated, and also help them get an education and maybe other jobs in the long term.
ParlaMint-NO_2011-03-10.ana.ud2107e1431	First, I want to thank the interpellant for taking on a very important theme, the ratio in the cleaning industry. This is a branch that needs to be cleaned up. In the media, it's called "dirty laundry". I am pleased that the government has taken the matter up and is taking action, but I also think it is important that we here in Stortinget discuss this. Let me start with some numbers: 1 January this year there were 6,142 sewage treatment plants in Norway. On March 1, there were 6,303, so over 100 companies more in two months. Then you have to ask some questions: what's going on? Why are there so many new companies in such a short time? I'm very much in favour of people starting their own business. I'm happy about it, but not if it's a design for employers to tell off their employer's responsibilities. What's covered is that a lot of people start one-man businesses. The employer fills in the form and they only sign. At the same time, they say that they have all the rights of employees, such as the right to leave, the right to leave and the right to leave. It's actually social dumping in practice. In fact, a judgment from the construction industry says that this is illegal. A self-employed person from Estonia works in the construction industry here in Norway. He was home on vacation. Then he was told that the assignment was over, i.e. that he simply got fired. That person went to court, and the court recognized that he was self-contained, was just a designed model. In fact, he was assigned, and he actually had to have both cancellation time, holiday money, etc. It appears that such structures for the purpose of exemption from employer obligations are illegal. This person was resource-intensive, but what do we hear about, which is in the same situation, and which can hardly speak Norwegian? Some people are entitled to work every seven hours for free and at very low hourly rates. The newspaper has run a case about this industry, and here there are unlikely many examples of unworthy relationships, such as: people from outside the EU who receive Italian passports and flights to Norway, and then they are added to the treatment industry, which states that their salary is DKK 120, but then they are taken for passports, for air travel and for losji – and then the hourly price is far below the five-step. It's totally unacceptable. Fortunately, something positive happens at times. In the Sunnmørspost on Monday this week we could read about happy boys from Estonia who got their quadruple pay. They worked at night, they didn't have night plugins, and they didn't have overpayment the same time they worked. But when this was covered, they got both tariff and night supplements. It's good when it's done. It is quite serious when we see that public etatar has also had a cleaning company operating illegally. Then I would like to point out that the public has a very important responsibility, even though things are outsourcing. It is important for the public to go ahead with a good example — both when they enter into the contracts and when it applies to subsequent follow-up. It is not that one may lose responsibility when the contract is signed. So we have to ask ourselves what to do. It is important that the minister has taken care of this, and we are very pleased about that. Regulation on pay and working conditions in public contracts is an important step. Generalisation of the collective bargaining agreement is an important step. ID cards and regional protection measures are important. In fact, I believe that it is also very important that we have an authorisation system for a reindeer company, so that those who buy the services can be sure that they are dealing with a company that operates according to the law. In addition, they must also be responsible for the companies under consideration. It is necessary to be responsible for solidarity – only in this way can we be sure that the services are properly performed. This is about people who are working in our country, and we can't actually accept that one has a kind of subclass that lives under completely different conditions than what we accept for ourselves. Therefore, I am very happy that our government is taking action, and I look forward to the results of the work.
ParlaMint-NO_2011-03-10.ana.ud2107e1452	I would like to thank all those who have participated for a good debate. I find it particularly interesting to note that the Christian People's Party appreciates more the right of access for those elected to trust than what one has done by previous decisions taken in the Stortinget. It's positive, and it could also make it more obvious to the bourgeois parties that this problem needs strong instruments. I also very much agree with Karin Andersen, who in his post specifically mentions that we have to have a sanction regime in place so that it is suffocating. We need an effective policy for those companies that want to run seriously. I think there are several proposals that are up in this debate, which it is important to take part in the further work and discuss the possibilities for. A proposal that has been made is collective action, especially in those companies in the private sector where the fear of organizing is quite great and it is difficult to stand up. But we have some allies with us in this work. This applies to all the thousands of trustees in the trade unions around, and to the protection ombudsmen, who have a special type of role. It may also be interesting for us to see in the future whether we should have a strengthened role with opportunities to stop work where there are irregularities in subcontracting, for example. I think it is striking that the Right Party and the Advance Party today seem to be very concerned about those to whom this topic applies. There is nothing in the political issues proposed by the Right and the Progressive Party which, when there have been voting on various proposals here, confirms such an offensive attitude towards them. On the contrary, one believes that competition is healthy in this area, and one is not as concerned that people have an income that they can actually live off. But it's revealing for the debate. I wish that the Right Party and the Advance Party actually dared to be a little more ideologically open about their commitment – they have great faith that the market will solve this. That is what I would like to see more strongly in this debate. Some have pointed to the Labour Inspectorate. The Labour Inspectorate is important in terms of both tools and personnel in order to exercise effective supervision and impose penalties, but it is impossible to imagine that the Labour Inspectorate should be able to handle this job alone. We need strong partners of alliances – in the NHO, in the trade unions – but not least we need the structures we have in the workplace, with the protection ombudsmen and trust leaders, who are to ensure that this is done properly and properly.
ParlaMint-NO_2011-03-10.ana.ud2107e1465	Again: Thank you to the inter-pellant, and thank you to those who have taken part in the debate for a good debate. If we get a two-track working life, we undermine the entire Norwegian model, while at the same time giving our state of law a powerful battle side if we allow black work, human trafficking and other crime in the labour market. There are many examples of countries that have already come so far, and we must not get there. As an advanced society, we also need to ensure that those who keep laws and regulations in Norway can actually compete on the right terms, and that people do not compete that they actually break Norwegian law. I'm still being asked, when have you settled everything with social dumping, councillor? That's a journalistic question. I underline, as many others here have done, that this is a continuous work. We're facing pretty big forces, I think. That's why I'm very concerned that we have to use all possible, imaginable means. I think that's where some of the conflict goes at the opposition – or at least at the Right. When they say that they have supported many of the proposals that the government has made, it is precisely those that have not been supported, which at least the government believes are very important – in addition to others. That is why I would like to thank representatives from both the Christian People's Party and the Central Party, who have made good proposals that we should look into. Here we need to look at everything that is possible to do something about this matter. Finally, some have mentioned the role of the Labour Inspectorate. It has also been part of the debate recently. The Labour Inspectorate shall do his/her job — be sure. The labour inspectorate shall make the necessary inspections, whether unannounced or not. I trust that the Labour Inspectorate will make a concrete and correct assessment. What is important is that – as the representative Pollestad was also involved – this should not be dealt with through supervision. You sort this out by having clear rules, which the people who are actually responsible for keeping, keep. We have clear rules today that the municipalities have a responsibility to ensure that when they buy services, they are supplied in line with Norwegian laws and regulations. The municipalities have to do that. Of course, those who provide these services also have to deliver according to Norwegian rules, and not – as I have said before – to make offers that you do not actually comply with Norwegian law.
ParlaMint-NO_2011-03-10.ana.ud2107e1476	Then there's case no. 6 finished.
ParlaMint-NO_2011-03-10.ana.ud2107e1492	There were high expectations for Nav when the Nav reform was adopted by a broad majority in the United Kingdom in 2005. The intention behind the Nav reform was, of course, to want more holistic thinking, and one wanted to help more people to be or get into activity and work rather than go on passive benefits. As many people remember, there was a big discussion about whether there should be one or two floors. But after discussion in Stortinget, it ended up wanting one. At the same time, it has also been an important part of the reform — and the intention — that a highly competent first line be sought. I would like to quote from the position of the Social Committee in 2005, which states: ‘In addition to good availability, the Committee will place great emphasis on the need for the first line to have a level of competence and decision-making responsibilities that make these offices a place where people really feel the guidance and assistance they need, as far as possible without having to refer to other offices, bodies and ‘doors’. The common first line must comply with clear requirements for rapid clearance, removal of grey zones and throwing-ball trends and the rapid commencement of action.’;» It was a good intention and a good decision that the Stortinget made. We are many who have faith in Nav, who believe that Nav is important. Nav is precisely where the public can meet the people who have fallen outside, or the people who are in a difficult situation, and who need it publicly to stand up for themselves. That way, Nav might be one of the tools, or one of the great possibilities, that public has to be able to help people get an even better life and help them get back to work. There are incredible opportunities that lie in Nav. What is one of the keys to making Nav work is, of course, that you can have good cooperation between the state and the municipality. One of the important elements of that cooperation is, of course, that you have a common sense of reality, that you experience the same situation, and that you experience that you have the tools you need to meet this reality. In this way, labour market measures are an important instrument, and qualification programmes can also be discussed. Both parts are about releasing more resources to be able to work to get people into work. Or the ICT system: the fact that employees in the Nav offices feel that you have the tools you need, and do this effectively, in order to concentrate on how to get people out of work. This is where I come to my concern, my sense of reality and my feedback on how Nav works. Unfortunately, for my experience, the government has actually lost some of its control. If they've had the steering wheel, at least they've released the steering wheel. While there have been four state councils in the last five years who have worked with Nav – one of the most important and major reforms that Norway has implemented, which brings together different agencies and different cultures, which may require extra-large governance from the state and from the state councils. At least what I'm experiencing, and what you're looking at, is that you haven't been able to create a unit between the different offices or the different levels – and between the state and the municipality as well. An example of treatment now available in the United Kingdom is the Riksrevision report on the follow-up of the sick. This is a simple example, where the variation from state to state is relatively large, and where one sees that the implementation of dialogue meetings is 20 pst. in one state, and it's up to 60 pst. in another State. It tells me that at least there are different guides or different signals coming out to the states. What are the consequences of Nav not working? Well, as we've seen, and as we get feedback, users don't get their money. Those who are waiting for their social security or waiting to get social assistance, experience customs duties with computer systems, or unfortunately there are too many applications or so many cases for treatment that they cannot be dealt with quickly enough. It affects people who need the money. Or one sees that applications «disappear»: the application is submitted to the local Nav office, and when one has not received a reply and asks how far the application has come, it feels as if the application has disappeared because they have no knowledge of the application at the local Nav office. Or as several Nav leaders say to me, the result of Nav not working properly is that several ends end up in long-term social benefits instead of getting into activity. For the possibilities that you have in Nav, you can also turn around. When one doesn't make it work, that's exactly the opposite: when one doesn't get to the early effort, when one doesn't get to the tight follow-up, one won't succeed in getting more in action. And the losers are the people who need our help most. One can look at the Moor and the Romsdal and the local Nav uprising as I pointed out there, where the councillor in Herøy municipality sent letters to all the country's rapporteurs, and one knows that the KS in Møre and Romsdal, or KS in Agder for that matter, describes the situation as very dramatic. Or you can look at the situation in Northern Ireland, where there are challenges. Or one might see that in the office in Kristiansand, which was supposed to be the last office and probably one of the good examples of how to make Nav work, it was 35 pst. search messages. One experienced that the Nav leader ended up protesting what he called irresponsible appropriations. The head of the Nav office in Kvinesdal, who is close by, did exactly the same thing, ended up protesting irresponsible appropriations. If that means that reality is the same, if that means that the appropriations are good enough, it doesn't feel like that in some municipalities. One sees that the municipalities, the counties and the KS say clearly and clearly in the form of letters to us or to the Council of State that one feels that the state is taking the potential gain out of the Nav reform too early. They call it a rank and feel that the state is stepping down on the number of employees, while the municipalities have to increase the number of employees in order to also be able to take over the tasks that the real state would have to do. There is a challenge with two guidelines, one with the state on one side and the municipalities on the other. But it also affects employees. We have a lot of thousands of Nav employees who make a great effort, and who in many ways are everyday heroes, because they do an important job to help people who have come into a difficult situation. But the efforts they make cannot help the challenges and frustrations they experience. One sees that someone chooses to quit, but one at least sees that there are many who experience a stressed work situation, and that goes beyond the cooperation. When employees experience that the state, or to the extent of the municipality, does not take seriously the challenges they face, they also experience that there is such an unsustainable situation that they feel that they are powerless to face the challenges. So my challenge to the Council of State is to show constructive impatience, how we can meet the challenges, how we can improve our cooperation, and how we can, on the state side, look at the challenges in Nav that are described in the municipalities and states. I just want to ask the Council of State: how will the Council of State proceed to improve cooperation between the municipality and the state so that users can get a better offer?
ParlaMint-NO_2011-03-10.ana.ud2107e1525	The interpellant asks how I want to improve cooperation between the municipality and the state so that users can get a better offer. My opinion is that the cooperation between the municipality and the state in the Nav offices is consistently good. It is in the nature of the partnership that it is challenging. A number of practical challenges, cultures and approaches are being met when close cooperation is to be established between the State and the municipality. My clear impression, however, is that both the municipality and the state have an understanding of each other's roles and show the willingness to find good solutions. The dispute resolution mechanism established to resolve conflicts between municipalities and countries has been used for illustration only on two occasions. The fact that most Nav offices have elected one joint head of offices also underpins the positive attitude of the partnership. The vision of the Nav reform is to increase work and activity through labour rights and user rights. The Nav Offices shall provide coordinated assistance to the users of the Office through a coherent view of state and local authorities. The Nav offices shall appear as a unit to users. During the reform period, it has been challenging to ensure a sufficient focus on the objectives behind the reform. The reorganisation and improvement of the performance treatment on the State side have taken a lot of attention. The book Nav, which was presented on 20 January of this year, points out that the heads of the Nav offices can now return to the reform and that the introduction of work performance assessments and redundancy benefits have contributed to it. Furthermore, I have noticed the final chapter where two of the researchers give the following professional advice: ‘... if overall levels, from politicians and down, are able to show an awareness of their own ambitions on behalf of the Nav agencies, so that they are not assigned new tasks until they have begun to respond to the old ones, then the visions of the reform can be tested in practice.’ This does not mean that we are not going to do anything, but I believe that it underlines the importance now that we have to give the Nav offices the opportunity to develop and deliver and perform. I also see that the recent reforms, such as the introduction of work capacity assessments, provide a good basis for further developing the offer for the benefit of users. The interpellant refers to cuts in government employees at the Nav offices. It is true that several municipalities have signaled that they are concerned about reduced appropriations, although I may not say that this can be characterised as a Nav uprising in Kommune-Norway. The overall operational framework of the State of Labour and Welfare is laid down in the annual budgets and the framework of the State of Labour and Welfare must be assessed against both the tasks to be carried out and the overall budget line. During the reform period, the State of Labour and Welfare has been significantly strengthened. From the 2009 budget balance to the 2010 budget balance, the budget went up by 1.1 billion. kr. Fewer government employees at the Nav offices in 2011 are mainly due to a reduction in the level of action in 2011. When the level of action is reduced, the tasks of the Staff Regulations will also be reduced and the operational framework of the Agency will be corrected to this end. In addition, the State of Labour and Welfare has had a growth in ICT operating costs that the establishment must cover within the scope of the operation of the establishment. The Directorate of Labour and Welfare has stated that the line in the building, such as the includes the Nav offices, has been significantly shielded once increased ICT expenditure has been covered. The Directorate of Labour and Welfare has estimated that the savings in the district line in 2011 will reduce crews of about 350 to 400 year-olds. It is up to each county office to give priority to the use of resources between the different units such as the Nav Office, the Administrative Unit and the County Office. In total, there are about 9 000 annual works in the line. The State of work and welfare shall have resources to ensure that it is able to carry out its tasks and achieve the objectives set. At the same time, we also have to demand that the department can solve the problems effectively. It is a difficult but important balancing process to ensure an adequate framework for good resolution while at the same time ensuring pressure on the efficient use of public funds. It is particularly important when the State of Labour and Welfare manages as large Community values as it does. The establishment of pension units and administrative units are examples of organisational measures that will in the long term both increase efficiency and ensure equal treatment for non-user tasks. At the same time, Nav offices have been given the opportunity to concentrate more of their efforts on individual guidance and follow-up. In its question, the inter-pellant has shown that the burden on municipalities increases when government personnel are reduced. Municipal and State employees may perform tasks under each other's responsibilities. It's the very idea of the seamless Nav office. If municipal employees carry out more tasks in State responsibility than vice versa, they may be produced as a form of cost over-valuation from state to municipal. The Directorate of Labour and Welfare has examined this in recent years. The studies show that in 2008 and 2009, municipal employees spent more of their working time on government tasks than state employees spent on municipal tasks. In 2010, however, the study shows that government and municipal employees spend the same amount of their working time on the other partner’s tasks. In my opinion, there is a clear sign that the partnership is starting to become more equivalent, not the opposite. It also shows that municipalities were flexible in 2008 and 2009, when the Employment and Welfare Act had major problems in the performance management. We also trust the municipalities in addition to this. The qualification program was started with an earmarked allocation. Once the Nav office is established in all municipalities, the money is included in the framework grant. I assume that municipalities use this increased freedom of action to do good social and preventive work, with a view to reducing the number of long-term beneficiaries of social assistance and ensuring that those entitled to a qualification programme are offered it. In conclusion, I would like to point out that there is ongoing contact between the KS and the Ministry on the situation in the management of labour and welfare, and that KS and the Directorate have more frequent practical cooperation. In the future, the Ministry, in cooperation with the KS, will consider how we can further develop the partnership and whether there is a basis for making changes. But as I started with: I think it is essential for both users and employees that the Nav offices now have the opportunity to continue working on developing the tools and working methods that the Nav reform provides.
ParlaMint-NO_2011-03-10.ana.ud2107e1552	I would like to thank the Council of State for the answer. I'm not going to claim that the Council of State has low ambitions, but I notice that the Council of State was very concerned about clarifying that things have to sit down, that one has to spend time and not necessarily come up with new measures now. There I know that my sense of reality is different. The Council of State says that when the level of intervention falls, there will be less to do. My experience outside is that there are many people waiting in line for action because they want to get back to work. My experience is that there are many employees in the Nav offices who have people they should have helped because they have made clarifications. They should have sent them on to measures, but they feel that they have no measures to send them to. It has not been said that the Nav offices have less to do. What I see as a challenge, and as I mentioned so far in my post, is for example. ICT system. One of the major areas in which the Council of State can do something to improve cooperation is ICT – to make a decision on investment in ICT, so that one can facilitate everyday life, so that employees do not have to operate with eight, nine, ten, eleven – or what it is – different computer programs, which are MS-DOS-based, or which at least do not cooperate, and which do not do a good enough job. And so, when I mentioned in my post that it was cut in government employees or transferred tasks, I guess I thought so much about the guarantee offices, because that one has seen in some states, is that when one cannot cut more government employees because there is a guarantee on the number of employees, they feel that they are being pressured on tasks, and that they have to solve tasks such as that. was on management before. I won't blacken more than I have to, but I still want to have a pressure on Nav, because there's so much that can be improved in Nav. There is so much one can do from the state side to be able to improve cooperation with the municipalities, because one thing is the users, one thing is the employees, and another thing is the municipalities – and the state has a responsibility for all three. So it's also, as I was in my post, a challenge that one has two guidelines. This means that employees in small municipalities such as has offices with three to four employees, each with an employer. They have different pay and working conditions. Finally, I will challenge the Council of State on that. Is that how the government wants Nav to be organized in the future?
ParlaMint-NO_2011-03-10.ana.ud2107e1565	I can assure the interpellant that I am very concerned about developments in Nav, and I am what the interpellant called constructively impatient. At the same time, I'm concerned that by pushing too much on the system now, I don't think we're going to succeed as we are. I have to put the good framework conditions in place for Nav to work well, but I also have to make sure that we continue to make good use of the community's resources. I have to stress – as I did in the post – that Nav has received significantly increased appropriations. During the period 2006–2010, Nav has had an increase in the number of yearly works of 360. So we have to hold on to the fact that this isn't a plant that's kind of hungry. At the same time, it's clear that the process you've been through, the expectations you've had for Nav, as I've said before, has probably been somewhat twisted up, and you've had an idea that this could be done quickly and painlessly. I think you should generally remind yourself that you have a tendency to do so when you want new reforms. These are things that can feel good there and there, but that can feel more difficult over time. With what I do as a back carpet, I'm very busy following Nav closely, but I also have to let – as I said – things get settled. I'm not going to do that by not doing anything. I would like to stress that Nav has basically followed the tracks they were going to do. The organisational reform was established when it was to be established. The first step in the ICT bet was finished when it was supposed to be. The pension system was finished when it was supposed to be. It's amazing – there were no exceedances on the ICT system. Now we're working on a new ICT system that's going to, and I fully agree with the representative in it, make it easier for employees, so they don't have to work on the x number of different systems, which at all have to be absolutely fundamental to implementing the whole reform. We're doing a KS1 assessment. I am particularly impatient, as the representative said, on that point, but I stress the constructive. If you hurry too much here, it'll come back in the next round. And we've seen that before. I'm very concerned that I'm going to have a good basis for making decisions about ICT, and then I'm going to get to Stortinget. I promise that this government will ensure that Nav has a good, forward-looking ICT system. I do not entirely share the views of the representative on the views of the employees. Of course, I feel that the employees are constantly concerned that Nav is not working properly, that it does not have the framework conditions they should have. But I also feel that the employees are very proud of their job and that they feel that things are going better in Nav. They have reduced the processing time, and now they are working to achieve the Nav reform. I feel that they are very happy and proud of it, and look forward to working more on it.
ParlaMint-NO_2011-03-10.ana.ud2107e1580	I would like to thank the interpellant for the commitment to Nav. When many people would need more follow-up on their own and professional grounds, it's not popular with cut. Drown 3 pst. reduction in jobs is manageable but demanding. This can be particularly demanding because, at the same time, through the partnership with the municipalities, we have decided that the minimum crew should be three yearly shifts at local level. That means that the larger offices have to do a larger part of the cuts. The cuts Nav is now struggling with are due to better business cycles and, therefore, less need for urgent assistance from new job vacancies. The positioning resources in Nav fluctuate with unemployment. This is particularly important when increasing and extra effort is required. With regard to a policy based on the desire for everyone to join, it is also necessary to assess the criteria for maintaining and recruiting skills in order to increase an already high employment rate. We have an ambition to adapt welfare systems and services so that fewer change to sustainable social security benefits. Yesterday, a report was submitted on the number of persons registered, registered or posted by the labour market. The report provides a better understanding of the current situation and hence the basis for reforms. It is not certain that the automatic link between the volume of action and job opportunities is optimal. The effects of the financial crisis may be long-term in the form of multiple beneficiaries of redundancy benefits and social assistance. This also means that there is a greater need for follow-up. In an ambitious employment strategy, a main challenge may be to increase employers’ demand for workers who cannot provide 100 pst. at all times. It could require resources in Nav. Additional emphasis on employing disabled young people will require human resources. If we want a higher ambition than that 50 pst. by those who receive redundancy benefits, in the workplace, follow-up resources need to be strengthened. If we want to do something about 32,000 unemployed people wanting a job, they need better assistance. 58 pst. they do not participate in the labour market because of a lack of assistance from Nav. Nav cannot do the job alone, but in the future it must be the auxiliary device too high for employment. I therefore look forward to more initiatives to strengthen Nav in the future – not just to strengthen the partnership between the state and the municipalities, but to invest more and better in people.
ParlaMint-NO_2011-03-10.ana.ud2107e1593	I think the interpellant is raising an important debate. At the same time, there is a debate that has been in this house and in this room a number of times, and one might have wished that one had not had eternal repetitions of matters and debates. When you get those debates up and up again, it's because the conditions are not solved, and the conditions are not good enough for those who are going to have these welfare services, which are the users. If we go back in time, we know that there have been a lot of users who feel that they have been met with unworthiness in the Nav system. We're still experiencing it. At the same time, I record Nav saying that things are improving, and that things are getting better. Yes, we've also heard that every year, but nevertheless we see that the criticism from the Riksrevision gets stronger every year that goes. Then they say that yes, but the Riksrevision's criticism is the snow that fell last year. That's to some extent true, but the criticism comes year after year and gets stronger. The government can probably shake its head, but the criticism of the last national audit report, which was in force in 2009, was stronger than that in force in 2008. There's no doubt about it. In that case, the State Council has been given a completely different national audit report than the one we received at Stortinget. But what's important is how we solve these problems in the future. In the spring of 2009, we had a big debate about the crisis in Nav in connection with St.prp. No 51 for 2008-2009. A number of measures were then outlined, which were to be implemented and returned. Among other things, a review of the skills gap in Nav was to be carried out. My questions are, Is it done? How far have you come? When is the Stortinge informed about what has been done, and how far has it come? We have not been informed of this so far. Furthermore, it was also said that the interface had to be raised to a limit for what was to be allocated to local offices, versus what was to be in the administration. We know when we talk to representatives from Nav, that you've started doing that, and you've made some changes. What changes have been made is my question. When will the Stortinge be presented with a briefing and a review of the changes that have been made? Or is it that we should not be informed about it, considering that we have, after all, dealt with that matter? So for the most part – I think – that the interpellant picks up, and as I understand it, it's demanding that we have two hubs in the same hub – that is, one state and one municipality. Nav himself also points out that it is a major challenge to be able to have a partnership with 430 different partners. Can you imagine merging this partnership, getting a simpler and better organisation to ensure consistent management and a coherent philosophy and strategy for the functioning of the welfare system in Norway? I think that's important. So we know that Nav has been allocated considerable resources. The fact that some of these resources have been deducted from this state budget may not come as a surprise, because when we dealt with the matter in 2009, it was also said that this was an additional addition, and that it had to be expected that you would fall back to normal once the situation had normalised. But what we're seeing here is you're starting to decrease the number of employees. In any case, the point of skepticism is that the number of employees is reduced before the situation has stabilised. That's the real thing. So I don't think -- and that's the core of this -- that you solve the problems in Nav by driving even more people into the system. It's going to be in many ways the same as hiring more carpenters to build a house, but you don't give the carpenter nails and hammers. And as long as you don't have the tool, you can't do your job either. That's why it's incredibly important to have a job no. one for Nav is to ensure that an ICT system is in place to enable employees to do the job they are going to do.
ParlaMint-NO_2011-03-10.ana.ud2107e1615	I want to give honey to the interpellant, which brings up an important theme. But it's true, as it's said here, that this is a theme that's still coming to the Biggest. I think one of the reasons might not be so much what's in the state and municipality, but that this is primarily a matter for 2.8 million users every year. A good part of the users are making enquiries on the desks of individual representatives, regardless of which committee they are in. I can underline that. I think it's in special class those who are most intriguing. Now it does not have to mean that reorganization and reform are not working. I will be the first to agree that this has been very demanding. Everyone understands that, with everything that is to be implemented. But it's also that we have to think first of all about those who use this, who are out in the first line. Then I must say that I have heard several times in this type of debate from different governments – many have tried in this area – that there is a need for peace. It also ended the Council of State's intervention. I don't think she said, "Leave me alone." I think more she said that the system needs peace. But I don't think the system needs too much calm. Those who use it hope for a little bit more anxiety. They're probably hoping to see that there's a governance and some measures that can correct some of the distortions we've seen. I'm going to give the council a boost to have a number of good intentions, she's had in many ways. But I think it'll be a little too retrospective to write the whole story over and over again. We must gradually become, I think, more forward-looking on this, because there are perfectly obvious problems. The Council of State says that partnership is demanding. Of course, it is demanding – with all kinds of partnerships. But partnership is also by its very nature a positive factor. The Supervisory and Constitutional Committee and the National Audit Office have repeatedly made some strong observations on this. The last time they treated it was probably a year ago. Then the Council of State promised to come back with analyses to be submitted to Stortinget. I do not know how far you have come with this, I do not know this work in detail. But I think that no matter what the Council of State must have promised the Committee of Control and Constitution or the Stortinget at an earlier time, perhaps the time has come to re-examine this, and by someone who looks a little bit more forward on what can be done for the users. We really can't have it this way, not because representatives shouldn't be bothered with this – it's their case – but the whole Stortinget agreed on the reform, and we also feel a responsibility for the government council to continue this with a little more dynamic progress than I think we have seen so far. Then I want to end with a theme that the representative Forsberg addresses, when he says that Nav cannot do this job alone. No, it's completely impossible because those people this is about – a large part of them – are going to work. They do not get into work without employers. That's exactly why I think Nav should also look at and use business in a different way, stimulating business – I know how they are involved – even stronger to contribute, to see what both parties can do; simply draw them closer to the work that the Storting has agreed on, namely to get more people out of inaction and into work.
