ParlaMint-NO_2011-06-16.ana.ud1149e148	The representative, Bent Höie, will put forward a proposal for a representative.
ParlaMint-NO_2011-06-16.ana.ud1149e2882	I understand that the Christian People's Party has decided in advance what picture they will draw of the government's view. Instead of listening to what I said, where I am, among other things. spent time describing my reaction to the figures that have come from Oslo, and show that we have a problem with anti-semitism in Oslo School, the representative Syversen is busy drawing an image that we are not concerned with this. That's wrong. The representative Syverse will also draw a picture that we're not doing anything. As I have explained, therefore, we have a comprehensive action plan against racism and ethnic discrimination. This work has been stepped up since the time the Christian People's Party was in government. We have a whole in the work against racism that we believe is also well able to prevent anti-semitism, among other things. at school. Then we'll get more knowledge when we get the study that the HL-Center is going to do for us. It will also give us the basis to see if there are any further measures we can put in. So it's not the opposite of doing anything today.
ParlaMint-NO_2011-06-16.ana.ud1149e2891	I actually don't get all the clarity about what the Council of States thinks, except to try to polemize against the opposition, so I just want to ask: Does the Council of States now believe that there is a basis for saying that there is an increasing antisemitism in Norway, or not?
ParlaMint-NO_2011-06-16.ana.ud1149e2896	I said both in my post and in my reply to the representative Syversen that I am concerned about the increase in antisemitism that we have seen in the Oslo school. That's what the Seven has heard me say twice. Now I've said it for the third time. I'd like to say it several times if he needs it.
ParlaMint-NO_2011-06-16.ana.ud1149e2901	The cord shift is over.
ParlaMint-NO_2011-06-16.ana.ud1149e2904	This is a real and serious problem for the proposers. The survey from Oslo that was presented last week, to which several have already referred, is alarming in itself. It is a serious custodian for parents, teachers, principals, local and central school authorities, but also for us here at the Stortinget. For me, it is most alarming that one in three Jewish high school students experience negative events several times a month. In addition, it's very alarming that the entire 51,5 pst. by the students, the word ‘Jew’ is used to describe something negative. The study clearly shows that there is a link between attitudes and actions. Misspelled words are not randomly chosen words. Everyone must be entitled to protection against heat and discrimination. At the same time, we must be clear that the Jewish population in Norway is in a special position. It should be sufficient to recall that half of the Jews who lived in Norway prior to World War II were sent to concentration camps and killed. In Denmark, the figure was under 1 pst. Why was there so much worse here? Elie Wiesel has said that the opposite of love is not hate, but indifference. Oslo's numbers don't make sense of indifference. We must and must take Jewish hatred seriously. For the individual, it is equally serious to be hounded, harassed or killed because you are black, Muslim, female, disabled or belong to another group. Per-Willy Amundsen made a passionate contribution to Jewish hatred. Is he equally concerned about harassment because of skin color and cultural background? It is worth recalling the killing of Benjamin Hermansen in 2001, and the shooting at Hvalstad asylum recipients in 2008. Christian People's Party begins its proposal with the wording ‘The Christian People’s Party has the human dignity at its centre and fights against any discrimination.’ I wish it were just as clear and unambiguously expressed also to another minority who has been persecuted through history: gay. The protection against violent and hate crime must embrace everyone, not end up in a competition for who has the worst, or deserve our attention most. Of course it has to be done. The representative Becquerad calls for the majority to act, but with all due respect, there is a difference between not doing anything and not doing what the Christian People's Party wants. Knowledge is crucial in the fight against extremism and hate crime. I want to take the opportunity to praise the Municipality of Oslo for carrying out the above-mentioned attitude study, and it must not stop there. The initiatives outlined by the Council of State in its reply to the Committee are all important and there is no doubt about the views and clarity of the Workers' Party. Extremism, racism and Jewry must be combated, and we both want to and must contribute to the development of the necessary tools and their use.
ParlaMint-NO_2011-06-16.ana.ud1149e2926	I'm glad of the last article. That's what I think was actually the first post from the position that took up real issues, and that also addresses what we're actually dealing with here today. There is no reference to the letter of reply sent by the Council of State to the Committee. I also don't think it seems that the figures of the government parties – until Håkon Haugli now – have fully understood the severity of what we are talking about. In 2004, the European Monitoring Centre for Racism and Xenophobia produced a status report on antisemitism in EU countries. The report presents a clear picture of the situation: violence against Jews in Europe has increased sharply since 2000. I think I would recommend reading this book "Jewish Hat", as it seems a little unclear as to why we are talking about antisemitism and racism and not just able to summarize these terms. This book is written by Trond Berg Eriksen, Håkon Harket and Einhart Lorentz and should really be mandatory if you're going to work seriously on these questions. They conclude that ‘Jewish hatred has again been heard in today’s Europe’. Then we don't have to, as the Council of State did – now fortunately he's changed his mind since he wrote the letter – wonder if there's a growing anti-semitism in this country. That's enough of personal testimony. In addition, we have received the report, which has been commendably ordered by the Municipality of Oslo, which unfortunately supports what we have basically known. What strikes you, in my opinion, is lack of political leadership. When the leader of the Norwegian Jewish Student Association, Anja Savosnick, after much about and dares to stand up in the Norwegian press and tell what she and her friends are exposed to, it is silenced by the Norwegian government – taust. This is where I believe it is a serious failure in this and similar matters. It's, as Lysbakken said, a national minority we're talking about. This is really a minority. There may be 1,300-1,400 Jews in Norwegian society, and there are people today who, in many cases, do not dare stand out as they are, and with their background. That is why I find it very disappointing that there will be no real changes in the light of the debate we have today.
ParlaMint-NO_2011-06-16.ana.ud1149e2939	It is a serious matter that we are discussing today. One should really have hoped that it would be unnecessary to discuss Jewish hatred and antisemitism in 2011. It is unfortunately necessary to discuss it, in the light of a story that we all know well, and that has a lot of darkness and tragedy in it. When I hear the council here today, I don't think the government has taken the seriousness of this situation. You're talking about the reality of the opposition, you're talking about all the other groups, and you're trying to angle this over to all the other things that actually matter. It seems to me to be a very strong discharge in relation to the situation. What would have been important would have been for the political board to send out a clear signal that this is completely unacceptable. One way you could have done it was that this case had been unanimously adopted as it stands. Then they had sent a clear signal that this is a completely unacceptable situation, and that some grip was needed to help with this. When I read what parliamentarian leader in SV, big-time representative Bård Vegar Solhjell, says in our country, I actually think he has a much better approach to this than what the council has here today. He says in our country today: «We have believed that antisemitism could be managed in the same breath as Islamophobia and other racist attitudes. Now we have understood that antisemitism must be handled separately." In fact, I fully agree with Mr Solhjell. Unfortunately, the Council of State of the same party is not saying the same thing here today. He says, on the contrary, that you're going to figure this out, you're going to see it in relation to all of the other groups. This then floats out to become something quite different than what it would have been important that it was, and what Solhjell says to our country that it should be. So you say you need more knowledge, that it has to be knowledge-based. It is a good principle, but also here, both Solhjell and Barth Eide say today that they have ‘undervalued anti-Semitic attitudes in Muslim environments’. In addition, it says: ‘We have not seen this ‘new’ version of antisemitism early enough. We haven't taken this seriously enough, probably because we don't want to criticize weak groups in society," said Barth Eide." I would almost suggest that the Lighthouse sit down with a cup of coffee and take a talk with Barth Eide and Board Vegar Solhell. They have a much more nuanced and principled approach to this than what I feel the Council of State has here today. Had what these say, were the starting point, we might have got a good case, a clear signal out of this case, and perhaps the government had then seen this as so important that one had said: Here you have to do something, and you have to do something now. Then you might have voted in favour of the proposal. It is a tragedy that this proposal is not adopted unanimously in the Grand Duchy today.
ParlaMint-NO_2011-06-16.ana.ud1149e2965	I want to start with a comment on something that the representative Holmås was in the house. He drew an important distinction between criticism of Jews and criticism of Israelis. I'm glad he did. It reminds me so far of a different matter than the one being discussed today. I got an answer from the Foreign Minister today to a question that concerns President Abbas, who has recently spent time talking about a new Palestine that will be Jew-free – a clear racist statement that the Minister of Foreign Affairs does not distance himself from. I believe that, although there is one thing on the page, it shows that it is important to clarify that one has to be able to distinguish between talking about Israelis and talking about Jews. There are many worrying points in this case. I think it is an important point that bullying today is not such that it only happens in the school yard or on the way home from school. Bullying takes place in full – electronically, through social media, SMS, e-mail and the like. In other words, the bullying has become something the victims bring home. There are many ways that they can't escape. Children and young people no longer have any temptation from bullying. So now you see that bullying, based on ethnicity or religious background, is growing radically. Our proposal may have become even more topical from the report on the Oslo school that most people have quoted, where one sees one in three Jews being bullied several times a month. It requires action. I want to comment on a few suggestions. The Mosaic Religion is among those who most notice the new Jewish hatred. The synagogue has been subjected to terrorist attempts and the security measures around the Jewish institutions are strict. In recent times, the religious community has felt that the police are less visible, present, than before. The religious community estimates that as much as one third of the membership quota goes to security measures alone. They have now submitted an application to the Ministry of Justice for support for the renewal of existing safety equipment and for continuous vigilance at the Jewish institutions. It is a democratic problem when freedom of belief, freedom of movement and freedom of expression are threatened by terrorism and hate crime. The Christian People's Party therefore believes that there is a need for the government to meet the desire of the Mosaic Religious Society to support the renewal of security equipment and a watch at the institutions. It is not just the attitudes in Norway that threaten freedom of belief. Foreign organisations also have an impact on attitudes in some settings in Norway. I want to present the organization Hizb ut-Tahrir. The organisation was established in Jerusalem in 1953 and is working for the creation of a worldwide caliphate in which all converts from Islam are to be executed, only men shall have the highest positions of power, and non-Muslims shall be denied voting rights. Members of the organisation have been sentenced to prison in Denmark for handing out banknotes that encourage the killing of Jews wherever they may be found. Other countries have also banned the organisation. One of the proposals to the Christian People's Party is just about to assess this, and the government should have agreed to that.
ParlaMint-NO_2011-06-16.ana.ud1149e2978	This issue is about attitudes, unfortunately represented in many groups of the population. We need to work together to change these attitudes. We cannot have the freedom of expression, freedom of movement and freedom of belief threatened without the government showing the power of action and the will to change. I would like to repeat the statement made by the Lighthouse that: ‘it is serious if there is a growing antisemitism in Norway’; And... ‘If such a trend is the situation in Norway, targeted measures should be developed.’ But the State Secretary of the Ministry of Foreign Affairs, Espen Barth Eide, acknowledges the following: ‘We have not seen this ‘new’ version of antisemitism early enough. We have not taken this seriously enough." These are not misspelt quotes. This is not reconstructed. In other words, the government representative Barth Eide acknowledges that this is a problem that the government has not taken seriously enough. However, although repeated reports have been submitted that Jewish children are exposed to significantly more bullying and shenanigans than other children, the government does not show the power of action. Even when there are proposals for ten concrete measures in the Storting, the government is leaning back, staying away and cannot support any of them. And the reason for this was the parliamentary leader of the SV, Mr Bård Vegar Solhjell, in a debate on Tuesday. He said the following: ‘You know as well as I do that a document 8 proposal like this is not going through. This applies to all such proposals.’» Thus, the SV parliamentary leader reveals the following: No matter how serious a problem is, no matter how important and documented a challenge is, or how good the measures are promoted in this Chamber, the government will not lift a finger if the proposals come from the opposition. You just wait. This matter is largely about the everyday life of Norwegian children. Some teachers can tell about students who are notoriously hanging out Jewish fellow students. One of three Jewish children is bullied, harassed or even killed several times a month. The Christian People's Party thought we should stand together on this matter, but then we feel that in such a serious matter the government awaits and has an arrogant attitude to the proposals of the opposition. Worst of all, the government's arrogance can go down on innocent children's lives and health.
ParlaMint-NO_2011-06-16.ana.ud1149e3012	Racism and, in particular, antisemitism, which we are discussing today, are a major and growing problem, as studies have shown, among other things. the one it's been shown to here in Oslo. But we've also heard stories from students at school like that. the teacher feels that it is quite right and logical, when visiting groups are created between families in the class, that the Palestinian family refuses to invite the Jewish, and that there is something the school puts on an OK stamp. Or stories from the Jewish Museum, which experienced that school classes cancelled visits during the war in Gaza, because they didn't consider it logical to visit a Jewish museum as long as there was war on the Gaza Strip. It's a warning to us as politicians. There are attitudes we have to do something about both school and society in general. I think it is very important to distinguish between the criticism of the State of Israel and what is called anti-Semitism and racism against Jews. That's why I very much agree with what Kjell Ingolf Ropstad said about taking away statements about the dream of the Jew-free states, but it's also important for us politicians to take away from what we now see, that non-Jewish people are deprived of their citizenship and become stateless because of their ethnicity and religion, which is also happening in Israel today. I want to illustrate this with a story. A good friend of mine sat in Falstad concentration camp. He called me about a film about Falstad, to which he was very critical. Then I say, "Why were you – it shows all the horrible Falstad stood for? Then he said, "But then you didn't understand. Because when I was in Falstad, one day I came into the dining room, and then there was a prisoner and singing at a wing and a German jailer played. It's also a picture from Falstad. It's also an image from a concentration camp. If you just show off all the horrible, you don't recognize the terrible when it comes back. Then I'm back to my main score. I think over so long we've stopped communicating history to children, stopped focusing on the knowledge of history in our society, that we've become an arrogant people who don't understand what historical tradition we're actually in. We don't recognize what's really threatening to our civilization, because we've created something that's not about us. We should have recognized all the small signals that make it possible to create that kind of hate – and shut it down from day one. We should have known what all the small comments can lead to if we don't knock it down. But it takes knowledge. Over time, we've weakened our history and weakened our respect for the fact that we're in a historical tradition. We've weakened the knowledge that our civilization is just a tiny ferniss. If we don't fight for that fern every day, which is about civilization, brutality breaks through. That's what the fight is for us as politicians, even when we're going to make rules for how the school works, what you learn, and how we talk to each other. That's why it's important to fight against all kinds of racism, but we've really seen what happens when we accept all the small drops. Racism and stigmatisation of groups – and all that Håkon Haugli spoke about – is important to attack from Day 1. Here we really have a historical tradition that we should have learned from. We should have learned from what such comments lead to. It should not be possible for a Norwegian teacher to say that we cannot visit a Jewish museum that is about Jewish culture because there is war in Gaza. That's not supposed to be true. It is so ignorant that you should have been disqualified from your job as a teacher, because then you really didn't realize it. We must convey our cultural and historical knowledge in such a way that we understand the tradition we stand in. I think we have a great job to do, because we have an arrogance with our own culture and the ideality of our own historical position that makes us not understand what history we're actually in.
ParlaMint-NO_2011-06-16.ana.ud1149e3025	In conclusion, I just want to say that I think it is sad that this debate was as it was. It's crucial, I think, that we sometimes manage to put aside party-tactical considerations – the need to mark one party over another – and show that we are facing some societal problems, some attitudes, which are, in fact, widely agreed on in this room that we want to fight. There is no doubt – if you read the Committee’s position – that this is the case. There is an overall political environment in Norway that wants to send a signal both to the Jewish population in Norway and to all other parts of our population that we will never accept antisemitism. It's not a problem, if you read the setting, to read it out. The Christian People's Party and the Advance Party choose to use this debate to present another picture. You choose to read the other games in the worst possible way. I would like to encourage the representatives of the two parties to think a little bit about it. I think it would be far more valuable for the people involved, that we together managed to send a signal that we actually agree on, than that someone should use all of their forces in this room to make it look like the rest of us are really not concerned about this. I thought that was disappointing. I am determined to continue working on measures to stop both anti-semitism and other forms of racism in Norway. I believe that this debate gives us a good basis, and I have explained some of the things we are doing. It is not the case that the government parties are voting against this because it is a document 8 proposal. To a large extent, we are already implementing, or will implement, a number of the proposals contained in the private proposal. And then there's something that we're factually in disagreement with. But the goal we agree on, and the Storting should be able to send a signal that we take that goal seriously – and believe each other in it.
ParlaMint-NO_2011-06-16.ana.ud1149e3034	I didn't really intend to redraw, but I was forced to do so, because the representative Holmås was able to make this debate also a debate on Islam and a debate on Muslims. As rapporteur-in-Office, I was very clear that it was not my intention. On the contrary: the seriousness of the Jewish hatred should be enough for us to be able to discuss this as the important thing it is. Instead, the representative Holmås is able to compete between the groups on which of them is the most discriminated against. Then he goes so far on the same line as the Secretary-General of the Islamic Council Norway, Mehtab Afsar, who said to our country that Muslim children have much worse than Jewish children in the Oslo schools. It makes it a competition between minorities. It was not my intention as case rapporteur, but it is clear that the representative Holmås is unable to stay too good to make this a competition between minorities. That's not right. If you want to take seriously what's coming out of the study in the Municipality of Oslo, Buddhists are more vulnerable to harassment than Muslims are. I think it's very special -- when we in Stortinget are invited to debate Jewish hatred -- that you can get this to be about everything else than what it's about. But it may be that it's a little bit about bad conscience from SV and the representative Holmås' side, when you have to involve all the other external issues instead of discussing the matter that is important, and which we should be discussing today.
ParlaMint-NO_2011-06-16.ana.ud1149e3043	First of all, I don't know to what extent it's reasonable that state councils should stand here and evaluate big debates and turn into some kind of over-judgment about how they should be and shouldn't be. The ratio is that we have put forward ten proposals for the Storting in a sincere sense. The setting shows that there is a lot of verbal goodwill. The approach also shows that there is no, on a provisional basis, a particular willingness to adopt what needs to be done in practice. And it's actually not that we're standing here debating to satisfy the government's desire that there should be a total accumulation that expresses one thing or another. This government gets to be so good at being measured by what it does, what it says, and not least what it doesn't say. I have to say I was very excited to hear how the government parties would put on this debate. I gave praise to the representative Haugli, and I do it because I mean it, but I can't stand here and say I am satisfied with the passivity shown by the government. And the government itself has shown to a large extent that it feels that this is something it has not taken care of. Why is it that today, suddenly, the Council of State, Kristin Halvorsen, comes with its proposals? They are not mentioned in the reply to the Committee, but they are mentioned in connection with the fact that there is now a large Jewish delegation here in the country who also asks how the Norwegian authorities address this important issue. I would be more concerned with that than evaluating the Greatness debate.
ParlaMint-NO_2011-06-16.ana.ud1149e3052	Just a short answer to Per-Willy Amundsen. The fact that the issue of Islam is also being discussed in this debate is, in fact, the rapporteurs themselves, and the rapporteur, who have comments to make on this in the position of the case. However, I assume that the rapporteur himself reflected on this when this became part of the matter. To what was said by Hans Olav Syversen: I understand that what the Christian People's Party says is that one could well imagine that the government ended up with the proposals. I understand that; that is why proposals are being made. But I also think, when the debate goes as it goes, that it would be positive if you said that the grips that the government is doing are actually going in the right direction. Because there can't be any disagreement that they are. And when we then, in comments throughout this setting, strongly agree that anti-semitism is not acceptable and is something we have to turn down, I don't understand why this is not accepted in a more all right way. Finally, I just want to read a poem that has been read here before, which shows how important it is what Michael Tetzschner was about, to say something about that this is about making sure that individuals do not get hurt, it's about the universal of human dignity, for which we have to stand up. It's written by the theologian and priest Martin Niemöller. He says in the poem "Legality": ‘First, they took the Communists But I didn't care 'Cause I wasn't a communist. Then they took the trade unionists. But I didn't care Because I wasn't a unionist. Then they took the Jews. But I didn't care Because I wasn't Jewish. Finally they took me. But then there was no one left to care about." I think it's a very straightforward summary of the debate.
ParlaMint-NO_2011-06-16.ana.ud1149e3084	What is going on after this debate is that several representatives have raised doubts as to whether what we are seeing is an increasing problem, namely that the hatred of the Jews is growing in Norway. However, the Council of State has corrected its own letter, and I think it is good. Perhaps the representatives who have said the same from this pulpit during the debate should do so too, but they get the answer for themselves. At least what I think is a little strange – and that's also a little bit why I drew – is that you use so-called quotations that you attach to other representatives, which are directly wrong – and rejected. Again: The representative Holmås was able to serve a claim that is completely erroneous in relation to the undersigned should have made statements in some context. He should keep doing that too well, because that was not at all correct in relation to what I have said. What I have said is that immigrants from Muslim countries have lower labour participation than other non-Western immigrants. And so that's in reference to a NOU, from the Brochmann committee, where this is a statistical fact. There is nothing else; it has been known for a long time. Nevertheless, it is possible to twist it as the representative Holmås does, in order to place co-representatives in such a bad light as you apply and can. At least I think you should stay too good. But again: I record that in this debate one is more concerned with involving external things, other minority groups, and turning this into a debate on everything else than it should be on the part of the government parties. It is not even certain, at least for several representatives from the government parties, whether or not a growing problem is being observed in Norway with regard to Jew hatred. It is left after this debate.
ParlaMint-NO_2011-06-16.ana.ud1149e3093	The representative Heikki Holmås has had the word twice before and gets the word to a short remark, limited to 1 minute.
ParlaMint-NO_2011-06-16.ana.ud1149e3096	I had hoped that my post would be my last, but I find it difficult to let it remain such an impression that it leaves Per-Willy Amundsen. I'm just taking to heart the clarification of his statement, but I mean what I'm saying is, that when the representative Amundsen uses it, that someone is from Muslim countries, as an argument in a debate, then it's a fundamental fact that he's starting to touch things that are not good. That's what's my whole point, and that's what's the whole point of the poem I read instead. Any kind of interrelationship between ethnicity and religion – to accept that you can use it as an argument in contexts about this – does not belong anywhere. We're going to be clear against all forms of racism, and we're going to put pressure where the need is greater, and I see that the Council of State has said it will.
ParlaMint-NO_2011-06-16.ana.ud1149e3101	Several have not asked for the floor on case No. 12th@item: inlistbox [[See page 5001]]
ParlaMint-NO_2011-06-16.ana.ud1149e3117	At the request of the Municipal and Administrative Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to a member of the Government. Furthermore, the President will propose the possibility of a replacement of lines of up to three lines with replies after contributions by the member of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2011-06-16.ana.ud1149e3126	The requirement for equal pay for women and men has long traditions. The first demands for equal pay in industry were made by female workers in the 1880s and 1890s. It would be 80 years for the LO and Norwegian Employers' Association to enter into a framework agreement on equal pay between women and men in 1961. In 1947, the Ministry of Social Affairs took the initiative to monitor women’s and men’s wages, and it showed, among other things, that they were able to do so. that it was difficult to defend the pay gap between 20 and 40 pst. depending on family circumstances and depending on the burden of living. In 1949, the Equal pay Commission was set up, with a mandate to both give an overview of women’s wages and salaries in the labour market and discuss how inequalities could be corrected. In 1951, the ILO Convention on Equal Pay for Women and Male Workers was adopted for work of equal value, and the majority of the Committee voted in favour of ratification from 1958. Finally, in the EU, the principle of equal pay was incorporated into Article 119 of the Treaty of Rome. The reason was to prevent distortions of competition. With the long story, and the tradition of fighting for equal pay, I'm glad that the proposers are concerned with what is a struggle for the movement of workers, but we disagree with the medicine they prescribe. The Equality Act provides in Section 5 that women and men in the same undertaking should have equal pay for equal work and work of equal value. The remuneration shall be determined in the same way for both women and men and shall apply irrespective of whether the work belongs to different trades or whether the remuneration is regulated in different collective agreements. The value of the work shall be determined on the basis of an overall assessment focusing on the competences necessary to carry out the work and other relevant factors, such as: effort, responsibilities and working conditions. So pay is not a relevant factor. When the Progress Party wants to intervene politically in the determination of wages, it is attacking one of the foundations of the Norwegian social model. An organised working life with a strong element of central negotiations is one of the most important contributions to a low level of conflict, high employment and relatively small income differences. Wages and salaries are the responsibility of the parties, as is also initially shown in the context of the proposal. In the state tariff area, women have an average of 94 pst. of men's statutory wages and salaries. Adjusted for age, education, work experience, seniority and working time, women have 98–99 pst. of men's statutory wages and salaries. The parties to the State tariff area have good processes to reach an agreement on measures to balance the pay gap between women and men, and we assume that the same is true in the other areas of public sector negotiation. Of course, we also expect the private sector to follow up on its own. There is an overall committee, with the exception of the Progress Party, which supports the position on this matter.
ParlaMint-NO_2011-06-16.ana.ud1149e3145	As I said, this is a proposal made by the Progress Party to ensure a wage rise in low pay, focusing on the public sector educational groups. We think this is a very important matter. I find here that the case-speaker, who is going through this, is disunity in medicine, but I can't see that the rest – only the Progress Party – has some suggestions and comes up with some alternative medicine for how to solve this. This is a matter which we think is important and which we think should be debated. Of course, it is quite right that the pay settlement is initially the responsibility of the parties, but here we believe that it is possible that the government will come and help the parties so that one can get anywhere in this matter. We also believe that the government party created great expectations in the run-up to the 2009 elections, before the wage resolution in spring 2010, that something would happen – without it being followed up by concrete action. But in 2009, there was a campaign, and then it made a sense that something was going to happen, but it didn't. As the case spokesman also said, the Progress Party stands alone with a proposal, but in the comments we are not alone. That's where we stand with the Christian People's Party. We have said that one of the measures for effective follow-up to equal pay is an equal pay pot. But we realize that by this crossroads we don't get multiples for the proposal we're going to make. We still think it is important that we have taken this matter up, and we will continue to consider taking this matter up to a new debate. Finally, I would like to make the proposal that is attached here, and I would also like to read the proposal: ‘The size calls on the government in the extension of the salary line in 2011 to implement measures that ensure a pay gap for the low-wage professions with a focus on the public sector educational groups and as a result of ensuring that municipalities are fully compensated for such a wage increase.’
ParlaMint-NO_2011-06-16.ana.ud1149e3163	The representative of Gjermund Hageseter has taken up the proposal he mentioned and referred to.
ParlaMint-NO_2011-06-16.ana.ud1149e3166	The right considers the wage settlement to be the responsibility of the parties and that the actors in the different tariff areas themselves must be given the opportunity to find solutions to pay issues. We have previously proposed a pool of skills for public sector education groups, but at the same time we refer to ‘the tradition of the parties for good processes to reach an agreement, both in the area of balancing wage differences and in other areas’. In other words, we agree with what the Council of State writes in its reply to the Committee, that we do not want wage fixing through representational proposals in Stortinget. It might have been interesting to get the price tag on this too, but then we might have to hold on for a while before we got the final conclusion. So here I think, unfortunately, I have to say that we cannot support the line on which the Progress Party has committed itself. We fully believe that the parties must take this responsibility. The letter of reply to the Council of State also shows that if one takes into account seniority, age, etc. in the public sector, the difference between man’s wages and women’s wages and salaries is approx. 1-2 pst., and the parties continue to work on this.
ParlaMint-NO_2011-06-16.ana.ud1149e3173	It is amazing that the Progress Party has suddenly become heavily involved in equality and equal pay. It's very interesting if you look at the concepts of ‘equal pay’ and ‘equal pay’ in the programme of the Progress Party for this major period. Then you will find that the word ‘equal pay’ does not exist and that the word ‘equal pay’ exists in one place in the programme, and that it is about equality in support of public and private kindergartens. So let's hope that this is a kind of new beginning for the Progress Party. But I see that they have a piece to go, because they haven't quite understood how things work. So when we've gone to elections and said that we want to fight for equal pay between women and men in Norway, it's just about getting a pay gap in the public sector and about the levels of pay in the public sector. If we're going to do that, we're going to be dependent on the parties agreeing. It is particularly important that the trade unions and trade unions agree that this is something you have to do in the years to come, otherwise you won't get anywhere. How else does Gjermund Hagesett believe that it would be, if we in the industrial sector say that there has been an increase in the municipal population that is higher than what we have received in the industry? We'll have compensated for this the following year, they say. That's how the social partners negotiate, and that's how it works. If we're going to do something about this, we're going to have to agree between the parties. If we come to an agreement between the parties, the government has said it is willing to participate and make sure to achieve such a paylift. One part of equal pay has been perceived to be about the difference in pay levels between public and private. The second part of the work for equal pay, said the Equal pay Commission, with Anne Enger at the head, is about the discrimination that occurs every time a woman has children. Then women sink in the stern. The government has also delivered. So, contrary to what the Right Party and the Advance Party wanted, we have delivered in relation to what is about equality between women and men in parenthood. We believe that more equality in responsibility for children, over time will lead to more equality in housework, more equality in the distribution of efforts between women and men, more recognition that hiring a young woman or a young man will lead to equal absences and equal care for the children, and the same men and women will be more equal in terms of how they are viewed in the individual workplace. The Right Party and the Advance Party have been inconceivable against this. They have said that this part of the equal pay struggle we are not at all concerned with. Luckily, the rest of the Stortinget, from the Christian People's Party to the SV, stands here on a sensible and correct policy, and then we get to hope that the Right Party and the Advance Party will never get an impact on that part of their policy. The second part of what is about different pay between women and men is part of the other things that are important to address, namely that women work much more in part-time jobs; they do not get full-time jobs. It's about much more means, isn't it? Some of this leads to women, in order to have a full-time job, much more jobs in temporary contracts. This is as of today's date as it works in public. We have said from the government that we want a real boost for people to have full - time jobs instead. We want to make sure that public wages are good, and make sure that people who work in public have real jobs. This requires a joint effort on our part. If it had been up to the right side, it had become much more temporary work. Then there had been more temporary work both in public and elsewhere, both for women and for men, but we see that there is a much larger proportion of women working in the kind of temporary jobs in the public sector. Here we go to the elections with an employer guarantee in thirteen points – say very clearly from: We want to work; where there are SVs selected and SVs get power in the municipalities, we want to work for a greater degree of full-time jobs. We're going to work for tournaments that ensure that people get the opportunity to stand in full-time positions. We want to work against temporary employment, against social dumping and for real work for equal pay. I believe that systematic work in this way, both in relation to family policy, in relation to public employment policy and cooperation with the trade and social partners on equal pay is what is going on – not this proposal from the Progress Party.
ParlaMint-NO_2011-06-16.ana.ud1149e3206	This matter is essentially about equal pay. It's a fight that's been fought for over 100 years. For the same time, the matter has been researched, investigated, discussed and debated. Still, it's a lot of way to go to get equal pay for equal education and equal work. This matter is about everyone getting a payoff for the education they have taken. It is about giving everyone the opportunity to support themselves and to ensure economic security for themselves. Equal pay is about recruitment to professions that are important for the welfare of Norway. But most of all, equal pay is about justice. In the case of wage negotiations and equal pay pots, government policy is characterised by good intentions. It's great with good intentions and good will. The government should be commended for promoting an equal pay report for the Storting, but it is actually only concrete action that leads us to the goal. Therefore, I do not have the power to do something concrete that actually brings us closer to the objectives of equal pay and equal opportunities. As we refer to in the suspension, the Committee on Gender Equality and Discrimination stated in the hearing organised in connection with the treatment of the equal pay report by the Stortinge, that the government must contribute fresh funds to women-dominated professions in the public sector and that the parties must commit themselves to prioritizing this group in the future. The Christian People's Party fully agrees with this. In our society, it is largely the family that is the foundation. Therefore, it is essential that the labour market be adapted to family life and not the other way around. The family must be at the centre to ensure safe growth for the smallest and most vulnerable. It should not come to that point that the young people, the time spent with young people and leavers are an obstacle to equal pay and a good working life. We know that many women become dependent on income as a consequence of births and leave. It's a problem. This problem is not solved by women discontinuing or discontinuing leave. No, the solution must be in the workplace. Part of the solution may be found in the majority proposal of the Equal Pay Commission that workers in parental leave should be entitled to average wage growth. The Christian People's Party believes the fair thing would be that everyone got to participate in the wage development that happens at their workplace while they're on leave. Such an automatic right to pay adjustment can be an important instrument to balance the negative pay effects of parental leave. If we ensure that workers do not suffer from impaired pay and working conditions as a result of taking parental leave, we have come a little further on the road to equal pay. In St.meld. No 70 for 1991-1992, the government of Harlem Brundtland wrote that the main unresolved problems were equal pay and equal care. The Communication stated that the main work had to be done at the workplace and through the social partners and their organisations. The reason why I mention this is that it supports whether the Christian People's Party is so busy in this area. It is not with changes in family life that equal pay challenges are to be solved. Changes in the labour force are the most important. There are structures in society that prevent gender equality. It is crucial for Norwegian families that employers and society in general facilitate a good family life, and that it is possible to combine careers, children and families in a good way. Unfortunately, despite considerable attention over time, equal pay challenges are still high, and we still have a job to do.
