ParlaMint-NO_2011-01-19.ana.ud2356e26	The representative, Dagrun Eriksen, will present a proposal for a representative.
ParlaMint-NO_2011-01-19.ana.ud2356e463	Here the Prime Minister goes so far to the right that the Progress Party is holding his coat to make sure he doesn't run by. What we see is that we are now making an asylum and immigration policy that means that we do not take care of those that Norwegian society also needs. For Norwegian society – to preserve our well-being – people need to be able to contribute to Norwegian society. Therefore, labour immigration is actually a purely selfish act of Norwegian society. We want people like that, we want people who can contribute. But today, the Prime Minister, with his hard line, is making sure that those people who could actually have been involved and helped build Norwegian society are also thrown into the dragonfly by being the toughest in Europe, the toughest, the least humane and the least humane, who are not to see individuals but who are to be riders of the rules.
ParlaMint-NO_2011-01-19.ana.ud2356e470	As I pointed out before, we need rules, and we've made rules that just look at the individual. If we don't have rules that see individuals, we have to change the rules. That's exactly why we have these comprehensive arrangements. This specific case has been dealt with twice in the UDI, twice in the UN, one additional time now in the autumn and in the winter, and in addition to a Norwegian law. It's assessing the individual. And we're going to keep doing that. But when those decisions are taken, they must be respected. That's my message. In the case of labour immigration, the size has opened up for increased access to it. There's an allowance there of 5,000. I think that's very correct and very important. But when the Storting did it recently, the majority stressed that it was very important to separate it from the institution of asylum, so that the institution of asylum did not become an institution of labour immigration and that it was destroying the immigration of labour by first coming and applying for asylum, having this extensive procedure, perhaps being here for many years, then getting rejected, here are many years illegal, and so, when you are taken, start applying for labour immigration. Then the asylum institute breaks down. Then we will have even more unfounded asylum applications to Norway. Therefore, Stortinget has been clear that with a few exceptions it should be that you should apply from your home country. There are two completely different tracks, and I am concerned about that in terms of labour immigration and asylum.
ParlaMint-NO_2011-01-19.ana.ud2356e477	There are only two follow-up questions – first Per-Willy Amundsen. The president reminds us that you can move down to the pulpit in advance.
ParlaMint-NO_2011-01-19.ana.ud2356e480	The questioner from the Left obviously lives in the error that a human asylum policy is about giving residence to people who have forced themselves to be here without having a legal right to do so and who are taking care of themselves in a way. You can turn the problem around, because you can use the system for years by suing cases, resuming cases, trying them before the courts, and even if you get a rejection, you can live in hiding here for years, doesn't work very humanely in itself. Living in an unexplained situation over a long period of time — you may also have children living up under such conditions — is at least not very humane from the point of view of the Progress Party; that is, putting people in that situation because public authorities are unwilling to take the measures they need to clean up the situation. Does the Prime Minister agree?
ParlaMint-NO_2011-01-19.ana.ud2356e489	I'm a little unsure if the question was really for me. I agree that people are not going to abuse the system, and the best way we can do it is that it doesn't pay to abuse the system. That's also why we're saying that there has to be an individual treatment, an individual assessment, of every individual human being because it's an individual creature, it's people we have to care about. Then it is that when you are here illegally after a decision has been made – and then it may have been many years – the time you have been here is illegal, not counting when you, for example. assesses the connection to the Reich, in which case it will pay to be illegal here. Then more people will be illegal here, and then we will have even bigger problems, both in dealing with integration policy and in dealing with immigration policy itself. Our policy is that we adopt rules to take care of the individual, and then we have to enforce the rules. That's the task of the police.
ParlaMint-NO_2011-01-19.ana.ud2356e496	Michael Tetzschner – the last follow-up question.
ParlaMint-NO_2011-01-19.ana.ud2356e499	I don't know if the prime minister has read the law professor Graver's article that if UNE had come to the opposite conclusion, it would have been within the law as well. I'm not so sure that there's something wrong with the law – that's the beauty exercise. It happens every day in the Norwegian administration that bad and unreasonable administrative decisions are taken without necessarily trending towards abuse of power, or so much unfair that they become illegal. Then politicians must be able to have an opinion on the reasonableness of individual questions, and I see that the Prime Minister, on a purely human basis, is unable to assess, or at least to express to the public, whether he thinks it is reasonable treatment, and whether he sees, like us, that there might be reason to go in and guide the judgment so that we can avoid such types of cases as we have seen in the Maria Amelie case. So my question is, just as a little further test of the Prime Minister's discretion here: does he think it was reasonable to use eight policemen to arrest a young, peaceful woman?
ParlaMint-NO_2011-01-19.ana.ud2356e509	I fully agree that politicians can guide discretion, but when politicians have decided, under different governments and with a broad majority here in the Grand Duchy, that the judgement should be exercised by the Foreign Minister, that we should not overdo that discretion, and that the judgement should also be exercised by the judge in a court, then the Prime Minister should not say that the judges are wrong. I think that is completely wrong. I'm going to both be involved in the adoption of laws, and I'm going to provide guidelines on the exercise of judgement, but I'm not going to exercise the judgement that judges or foreign students of ours have been set to exercise. I believe that it is very wrong and very unfair and very arbitrary. I want a fair and not an arbitrary foreign policy. If there's something wrong with the rules, we'll change them. If there's something wrong with the guidelines for the exercise of discretion, we'll change them. But then we do it so that it covers everyone in a neat and proper way – not by putting pressure on an arbitrary unfair foreign policy because a matter gets a lot of attention.
ParlaMint-NO_2011-01-19.ana.ud2356e514	We're going to the next main question, from Jon Hunter Gåssvatn. Last main question goes to Bent Höie. Two follow-up questions are permitted for these key issues.
ParlaMint-NO_2011-01-19.ana.ud2356e517	In his new year’s year, the Prime Minister said that all the elderly will receive the help they need. In recent times, we have had a number of disturbing stories about the quality of care for the elderly in Norway. Older caregivers are sent home, older caregivers are offered happiness pills rather than nursing homes, older people have to live in double rooms despite the promise of single rooms by nine health ministers. The promises of the Prime Minister’s New Year speech appear to be of little credibility, especially given that the Workers’ Party has voted against the Progress Party’s proposal on system change by earmarked means and massive investment in health home development according to the same model as we had in the kindergarten agreement, where the majority of the reform was private. If the answer to the Prime Minister is the guarantee of dignity, the elderly have little to look forward to, in my opinion. This guarantee is zero value. There are no statutory rights, and 430 municipalities will be able to practice it differently. The Prime Minister takes every opportunity to criticise the care of the elderly in municipalities where the Workers' Party does not govern, for example: in Oslo. In the evening post we saw an overview of the different municipalities, where Trondheim – which is the big city in Norway with the lowest exclusive coverage, and the exhibition window to the Workers' Party – was on the top ten list of the worst municipalities. We find here eight working party-driven municipalities and zero progress party-driven municipalities. I am not to blame for the local politicians of the Labour Party in Sarpsborg, Trondheim, Tromsø or other places where the care of the elderly is unworthy, because I think they are the victims of a system – a system that the Workers' Party has defended in this Chamber every year. It would have been liberating if the Prime Minister could now start discussing the system that makes it difficult for municipal politicians from all parties to give older people the care and dignity they need. My question to the Prime Minister is as follows: Does the Prime Minister acknowledge that there is a systemic failure in the care of the elderly? Or is he of the opinion that the care of the elderly in Trondheim, Sarpsborg, Tromsø and a number of other workers' party-driven municipalities is good enough, despite the fact that they have a worse care than they do in Oslo, which he is very happy to criticize?
ParlaMint-NO_2011-01-19.ana.ud2356e530	Elder care in Norway is not good enough, and there are many municipalities where care for the elderly needs to be strengthened and expanded. The need to expand care for the elderly will also increase in the years to come, because, fortunately, there are more elderly people. It is very good that there are more elderly people, but then we also need more care for the elderly. That is why a broad majority of the Grand Duchy has adopted an older settlement. In fact, we agreed on a settlement that means that we will expand Norwegian care for the elderly until 2015. We have created a stepping-up plan with several thousand new nursing homes and nursing homes, with several thousand new annual works, with stricter requirements for quality and the content of care for the elderly, and also a new law to simplify access to justice for those who feel that they do not receive adequate care for the elderly. Now that we've made a plan, implemented, and are about to step up our efforts towards 2015, it's precisely because we're not satisfied with the state of things. If we had been satisfied, we would not have had to make an escalating plan towards 2015. Trondheim is the municipality of the country that has expanded most hospitals, and they have also managed to formulate a goal of full health care coverage during 2011. If there is a need for hospitalisation, after a certain period of time, you should have a place to stay in hospital. There are many municipalities that have a lot to do, and we're working with the municipalities to solve the problems they're facing, and they're doing well.
ParlaMint-NO_2011-01-19.ana.ud2356e541	I thank you for the answer, but I record that the Prime Minister, like the Minister of Health, is distanced from the reality that we see out there. In the 2009 election campaign, the prime minister of Sarpsborg, at Borgen Hospital, was a new nursing home with exclusive rooms. There he distributed roses in a well-known style and boasted by the municipality that the Workers' Party has run for a hundred years. Now Sarpsborg runs the municipality and turns it into a double room, so-called fortification. Similarly, they continue in Trondheim. Can the Prime Minister explain why this happens when the Workers' Party has power both in the state and in the municipality? There was an older nurturing lady who said that if she were to get a stranger into her solitary room, she would pay no more than half of what she pays today by her social security. The question is whether the Prime Minister is willing to meet such a requirement, as he is unable to honour the promise of exclusive space for many years.
ParlaMint-NO_2011-01-19.ana.ud2356e550	When we, once again by a broad majority in Stortinget, formulated the goal of full coverage of energy – it was said in the Action Plan for Older People in 1996 – that the goal was to reach over 90 pst. in exclusive rooms by 2005. Today, the exclusive share is 96.8 pst. Almost 97 pst. Some people want to live in double rooms with their spouse, but of course many don't want to. This is why we will continue to develop care for the elderly in Norway. In most municipalities, in most places, it is a good exclusive coverage, and over the 90 pst. As the Stortinget formulated in 1996, there are still examples of people living in double rooms. Often it has a temporary character. It may be related to refurbishment/reconversion. But we won't be satisfied until everyone who wants it has exclusive.
ParlaMint-NO_2011-01-19.ana.ud2356e555	They will be two follow-up questions – first Kari Kjönnaas Kjos.
ParlaMint-NO_2011-01-19.ana.ud2356e558	Darwin should have once said that it's madness to do the same thing over and over again and believe that you're going to get a better result. So nine health ministers have promised exclusiveness to all those who want it. In 1996, the former Minister of Social Affairs, Hill-Marta Solberg, pledged exclusive rights to all. Today, 15 years later, the Health Minister is aware that many still have to voluntarily share rooms with another, despite the fact that everyone knows that we lack several thousand sick homes. The answers that the Prime Minister gives here today are really the same answers that we've heard for 15 years. Today's system obviously doesn't work. Will the Prime Minister now attend and look at a change in the system, so that nine new health ministers do not come up with false hopes? And to make sure I understand the Prime Minister's answer, I ask for a yes or no. [[President clubs]]
ParlaMint-NO_2011-01-19.ana.ud2356e565	Maybe you can wait until you get the answer - speaking time is up.
ParlaMint-NO_2011-01-19.ana.ud2356e568	I'm constantly willing to improve the system, change the system, do things in new ways. Not later than Christmas, we did two-three important things in relation to the development of care for the elderly. We increased the free income of the municipality by 1 billion. NOK so that they could get something extra, among other things. for care. We increased the earmarked grant for the development of nursing homes and nursing homes by 40 p.m., so that municipalities would get more money to expand nursing homes and nursing homes, so we have notified a law that would allow people to have better access to complaints if you are not satisfied with the care of the elderly. It will probably come in the spring, or will at least be sent to the hearing. We're constantly going to change the system, improve the system, and do things differently, because the overall goal is always to give people better care. The basic thing is that we are willing to spend enough money on it together, and therefore we cannot promise tax relief, but spend the money on care for the elderly.
ParlaMint-NO_2011-01-19.ana.ud2356e575	Bent Höie – for follow-up questions.
ParlaMint-NO_2011-01-19.ana.ud2356e579	I am convinced that when Stoltenberg comes to London tonight, he would not have accepted to pay the full price of the hotel if he had shared the hotel room with a total stranger. But that is actually the situation of very many older people in Norway today. At the same time, the government feels that it has new, big ambitions for municipalities to use even more in hospitals. In fact, the government now, at the hearing, has a proposal that municipalities should pay a hospital fee if older people over 80 years of age are hospitalised. This will obviously lead to several older people waiting in line for a sick home, in a situation where the government has not yet been able to fulfill the promise that a total accumulation has given to them very, very many years ago, that is, that all the elderly who want to live in a single room will be allowed to do so. Is it not reasonable first to fulfill one promise before imposing even greater obligations on municipalities to offer to older people where there is no offer?
ParlaMint-NO_2011-01-19.ana.ud2356e586	Once we have sent a proposal to the hearing – I do not know the details of it – it has been sent to the hearing, and then we will listen to objections and suggestions, and then we will decide afterwards. Then we'll hear about the hearing. So in terms of the one-room coverage, it was 94.6 pst in 2005. So today it's increased to 96.8 pst. That means that there are still people who don't live on exclusive spaces. We're not sure how many of those who live in double rooms, who want to live in double rooms, but there are at least too many who live in two in the room who don't want it. That is why we are not satisfied, and that is why we are doing the measures we are taking to strengthen the development of care and care. But the basic challenges are that if we are to succeed in the massive expansion of care and care in Norway, we need to spend the money on the big tasks, such as care and care. We can't then promise tens of billions of lower taxes, because then it becomes less of care and care.
ParlaMint-NO_2011-01-19.ana.ud2356e593	We're going to go to the last main question.
ParlaMint-NO_2011-01-19.ana.ud2356e596	In the Questionnaire on 15 December before Christmas, the discussion on regional health businesses was ongoing. Then the Prime Minister brought it, which at least everyone who listened to it experienced as a pretty big news, that he said in answer to the questions from the undersigned: «So we can discuss how we organise it, but that the state should be responsible, I am sure of that.» Later, the Prime Minister said: ‘So it is that even if you abolish the regional health enterprises, you do not abolish the business model.’ This means that everyone perceived that the Prime Minister was open to discuss the closure of regional health businesses, to allow policymakers to regain control of health policy, and to leave the management of hospitals to the local hospital companies within a state model. While the Minister of Health of the VG on Sunday 16 January said: ‘It is not appropriate to change the business model.’ Then there is reason to ask the Prime Minister – in a situation where all parties other than the Workers' Party are discussing how to govern and organise our healthcare system in such a way that the population is once again experiencing that vital decisions are not taken by faceless bureaucrats but taken by elected politicians, it now seems that we have a health minister who is not at all interested in entering into this discussion: Is it the Prime Minister's words before Christmas, that one is open to discussing the business model, which applies, or is it the health minister's words on Sunday, that it is not relevant to discuss the business model, which applies?
ParlaMint-NO_2011-01-19.ana.ud2356e616	I think we have a challenge in Norwegian political debate in general – and that concerns us all. It's that if you don't rule out anything, you're open to it. If you don't rule out anything, you're almost done with it. What I want to convey is that I have an open and pragmatic view of instruments. The key is the goal: a good health offer for everyone living in our country. Then we should always be a little cheated on the tools, only we are faithful to the goals – always be open to change and adjust things. At the same time, if you have that attitude, you can't always have everything in play. I think that creates a lot of uncertainty and a lot of problems for big organisations like health companies, with about 100,000 employees and with many, many people being treated every single day. What we have said, and as the Minister of Health and I fully agree, is what is stated in the consultation proposal for the national health plan, namely that we are committed to an evaluation of the entire health business model, an investigation work, and that we are aiming to do so during this majority period. When it's done, I think it's time to discuss big and small changes and have an open mind. I can, of course, have an attitude, a sort of assessment of what I think I'm going to mean when this evaluation is over. If I'm going to tip what I might mean, I think I'm going to think that the state is still going to own the hospitals. That was the big question in 2001. And I feel that there are fewer and fewer people who believe that we should have 19 county municipalities and the state that owns again, because I think everyone does not understand – at least most. So how is the state supposed to organise its ownership? Well, we can always discuss that, but I strongly warn against saying that we don't have political governance. We have political governance. We can intervene in the decisions we want, and at least we have more national hospital control now than when there were 20 hospital owners. Then it was actually that nobody took responsibility, because then the county authorities said that we have no opportunity, because it is the state that has the money. And the state said, no, it's not our responsibility, because it's the county councils that own the hospitals. Now we have the control we want. We can use it. And that's the most important thing.
ParlaMint-NO_2011-01-19.ana.ud2356e629	I fully agree with the Prime Minister that it is quite clear that the conclusion will not be any other than that the State will own the hospitals. That is exactly what we agree with. Where the Prime Minister finds that debate, I don't know. There may be a kind of a little bit more separate debates going on internally in the government between the Workers' Party and the Center Party, but I haven't seen anyone else on that track. That's why it's not the discussion I invite the Prime Minister to attend, but the discussion about what is the alternative to dividing Health Norway into four different health regions, which lead different health policies, which patients experience as a problem in everyday life. If the Workers' Party stands on the point of having regional health enterprises, it is actually the Workers' Party that declares itself out of what all other parties today experience as a very important and significant debate at that time – not in four years’ time.
ParlaMint-NO_2011-01-19.ana.ud2356e636	I believe that the hospital service is such a large and important organisation that we cannot create uncertainty about it all the time. Now we invite you to an evaluation. Then we're going to review the experience, and then we're going to make the changes and adjustments, big or small, we're going to think right. Then I think it's a little dangerous to rule things out, but I have an assessment of what I think I'm going to mean when the evaluation is done. When I say that, it's among other things. because the experience is mainly good. We've had a huge increase in the number of patients being treated. We have, among other things: because we have regional coordination, a much better division of work between hospitals. Before we treated cancer in very many hospitals. Now we treat cancer in many fewer hospitals, and the survival rate has increased sharply. In terms of heart, it's one of the same thing. But the fact that we get a work division between hospitals requires some kind of body that gets to that work division between hospitals. Then we can't have a system that doesn't make sense work sharing between hospitals in a region. In addition, the economy is in balance. It never happened during the county. It happens under the state.
ParlaMint-NO_2011-01-19.ana.ud2356e645	There will be two follow-up questions – first Sonja Irene Sjøli.
ParlaMint-NO_2011-01-19.ana.ud2356e648	The government has announced that it will submit a national health plan to spring, and the Prime Minister now says that there should be a review of the work distribution between the different hospitals. ‘The size should be given the opportunity to discuss broad guidelines on health policy.’ That's what the prime minister said just before Christmas. There are very many of us waiting in suspense at this health and morbidity plan. I would therefore like to ask the Prime Minister whether there will be an operational national health plan, where the Stortinget is leading the way the hospital structure will look like in the future, or whether it will still be up to regional health companies to decide the structure.
ParlaMint-NO_2011-01-19.ana.ud2356e660	With a few exceptions, I feel that the most important discussion around hospitals is not about where the hospitals should be – at least there is one important exception – but it is about what hospitals should do. Now we've definitely got a new hospital in Eastfold. We have a discussion about hospitals in More and Romesdal, i.e. in Molde. But otherwise, most of the discussion is related to departments and functions. What I'm saying is that I want to be very careful about adding that the Storting is going to mean something about departments. We should mean something overall. The government should also be careful about that. That is why we have, for example: in relation to the supply of food, made a quality requirement. It's planned, and then we're going to follow it up. But adding up to it every time there is a change in work distribution, departmental structure, between different hospitals, I think it would be easy for us to get a worse health service because it becomes too complicated and extensive to make absolutely necessary adjustments. The big business and the government believe just as much the big business and the government itself will. But we're the ones delegating things from us if we want to, and I think it's right with a certain delegation in this area.
ParlaMint-NO_2011-01-19.ana.ud2356e667	Dagfinn Højbråten – for follow-up questions.
ParlaMint-NO_2011-01-19.ana.ud2356e671	I'm going to resist the temptation to comment on the Prime Minister's very far-reaching image of the county council's management of hospitals. In fact, I am the only one in this country who has been the Minister of Health both at county level responsibility for hospitals and state responsibility for hospitals, and it is not as black and white as the Prime Minister is now making it. But the Prime Minister is right that there will be fewer and fewer people who believe that the state should give up ownership of the hospitals. On the other hand, more and more people believe that the time has come to remove this regional, bureaucratic intermediary between the state, national government, which must lie here, and the local operational responsibility that must lie in the local health establishments. I want to remind the Prime Minister that thanks to regional health companies, we now only have twenty local health companies, while we had over 50 local health companies when this reform was introduced. Structural changes have been made in many ways, and the question is whether or not time is now needed to reverse policy. It is absolutely right that politicians can rule, but the problem is that this government is taking very little advantage of the opportunity to rule.
ParlaMint-NO_2011-01-19.ana.ud2356e678	Politicians can rule, will rule, and we rule. The main goal of whether we run is whether we succeed in achieving our goals, that's not the number of decisions, the number of documents or the number of papers. But as we treat more and more patients, it's an expression of our success in health. When we succeed in getting more money back and more efficient use of the heads in the health care system, it is an expression that we succeed in something very important. When we succeed in getting a significantly better division of work between hospitals, we succeed with something. And when we succeed in balancing the economy, for the first time in many years, there's something important going on. I believe that the only goal of whether we run well or poorly, much or not, is whether we reach the goals we set – not how many decisions we make, but how far we are going to achieve the political objectives we have set ourselves. So we've come a long way, but I'm open to discuss further adjustments and changes all the time. I'm an open, pragmatic person who listens to arguments, and I adjust when I hear good arguments. It's been my whole life and I'm going to keep going.
ParlaMint-NO_2011-01-19.ana.ud2356e683	So we're done with the oral question procedure, and we're going over to the ordinary question procedure.
ParlaMint-NO_2011-01-19.ana.ud2356e695	There will be some changes to the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 1, from the representative Henning Warloe to the Minister of Knowledge, will be answered by the Minister of Research and Higher Education on behalf of the Minister of Knowledge, who has been away. At the request of the Minister of Research and Higher Education, this question is moved and answered in response to question 13, to be answered by the same Council of State. Question 10, from the representative Morten Ørsal Johansen to the Minister of Justice, is moved and answered at the request of the Council of State before question 2, i.e. first in the Questionnaire. Questions 11 and 12 from the representatives of Trine Skei Grande and Ketil Solvik-Olsen, respectively, to the Minister for Oil and Energy, will be postponed to the next Question Time when the Council of State has left. Question 15, from the representative of Mr Harald T. Nesvik to the Minister for Fisheries and Coastal Affairs, has been transferred to the Minister for Food and Trade, who is directly responsible.
ParlaMint-NO_2011-01-19.ana.ud2356e710	The first question is question 10.
ParlaMint-NO_2011-01-19.ana.ud2356e717	‘Persons who fill their cars with petrol, and then leave the bill, have become an increasing problem, despite the fact that petrol dealers have invested in expensive and advanced monitoring equipment where it is clear who the detonators are. It turns out more and more that the police are laying these matters down. Does the Council of State believe that it is right for the police not to prosecute such cases, but, on the other hand, to prosecute them, and has the Council of State come up with any thoughts as to what kind of signal effect this gives?’
ParlaMint-NO_2011-01-19.ana.ud2356e724	In the case of decisions on criminal investigations, this falls within the competence of the prosecution authorities. In its exercise of the prosecution authority, the Advocate General is not subject to the Ministry of Justice of the Council of State, so it is difficult for me to go into individual cases or the assessments on which prosecution is based. However, I have asked the national lawyer for an orientation on these matters, and I would quote what the national lawyer has said about this: there is no separate statistical group on the criminal situation the representative describes. The statistical group on which most of these matters are located is assumed to be under ‘theft of a service station’. Of course, this may also include factors other than what are commonly referred to as ‘pump sticks’, but it is assumed that most of the conditions of this nature are captured by this statistical group. The country-wide statistics JUS 065 on reported cases show that 831 thefts were reported from refuelling stations in 2009 and 713 in 2010 — in other words, a decline, as we, fortunately, see in the crime scene for the rest of the last year. Country-wide percentage of information in the statistics JUS 309 shows a percentage of information for the statistical group of 55,9 for 2009 and 56 for 2010, which is known to be higher than the general percentage of information. Based on these figures, it does not appear that the field of action represents an increasing problem, or that the police increasingly resolve such cases. I have not considered myself a member of the risk group for ‘pump stick’, but I have registered that petrol dealers can choose not to open pumps if they are not clearly identified with a vehicle, or the customer pays with a credit card. I assume that the industry will also take responsibility if it perceives “pumpstik” as an increasing problem.
ParlaMint-NO_2011-01-19.ana.ud2356e740	As I said in my first question, the petrol dealers have done a lot, it is invested in a lot of advanced monitoring equipment. Now it's like this advanced equipment gives clear images of those who fill petrol and run off – it shows signs, it shows face, and there's no doubt about who the people are. It is registered that the same person has filled and stabbed up to 20 times without paying the bill, and up to five, six, seven times from the same station. The police in Buskerud have chosen to order these matters because of the position of the evidence. And the chief of police even says the pictures are too bad. When there is a clear sign, when there is a clear appearance on the face, and the petrol dealers even have a clear identification by name, what more is needed to ensure that the police do not settle the case because of the position of the evidence?
ParlaMint-NO_2011-01-19.ana.ud2356e749	So, as I was talking about initially, the prosecution authorities and the national attorney assess these questions. But I want to say that many of the technological possibilities we have, that there are images, that the representative is also in, and that you also have the opportunity to defend yourself against this, just as I was in my post, that's some of the explanation for lower numbers in terms of this phenomenon. There must also be some explanation that the percentage of information in relation to this type of crime is actually increasing and is higher than the general level. So my general approach to this is that here the police actually do their job to a large extent. It is difficult for me to go into a specific matter in Buskerud and what kind of reasons the police give in relation to this, in addition to the fact that in these matters too one must be prepared to prove that it is beyond reasonable doubt.
ParlaMint-NO_2011-01-19.ana.ud2356e754	It has been told me that at least much of the reason why the number of cases goes down is that the industry is not going to report, because when the cases are ordered again after time, a well after every interest in reporting the cases is lost, and starts almost to give up. In a few of these cases, where one moved to Buskerud, the cases were transferred to the neighbouring district. The neighbourhood had no problem identifying the person from the picture, and this person was also fined. Now it's like some of these people get fined, keep filling, they're giving the flakes of it, and the criminal reaction around it, i.e., with fines, doesn't seem to work. In some cases of traffic offences, police have actually seized vehicles and driving licences before it has actually been a crime, but as a preventative measure. Does the Council see the possibility of using such a criminal reaction against people who run away from the gas bill repeatedly?
ParlaMint-NO_2011-01-19.ana.ud2356e759	In any case, if crime occurs repeatedly, whether it is against gas stations or others, whether it is gain or violence, it is punishable, so that it can result in longer penalties, more severe penalties. It could also mean moving from a different type of criminal reaction to what you have originally received, for example. from fines, community sentences to prison sentences. It must also apply in these cases, obviously. If it is repeated ‘pumpstik’, it must qualify for both stricter criminal species and stricter penalties. So I've been concerned about all kinds of fight against crime, that we have to think more creatively than just putting people in prison to prevent relapse. And there it is at least so that when you have the right to withdraw from the objects you use in criminal behaviour, the police should use it more than now, so that there we are in line with the representative.
ParlaMint-NO_2011-01-19.ana.ud2356e766	So we go to question 2.
ParlaMint-NO_2011-01-19.ana.ud2356e773	‘According to The Times on Wednesday 24 November, the Russian secret service FSB was behind the killing of six Red Cross nurses, including two Norwegians, in Chechnya in 1996. It's been assumed in the past that Chechen rebels were behind, but an FSB defector has now appeared in The Times with new evidence. What are the Norwegian authorities doing now to clarify the facts of the case, and what will be done to the Russian authorities if the allegations prove to be correct?’
ParlaMint-NO_2011-01-19.ana.ud2356e780	The killings of two Norwegian and four other foreign workers at the International Red Cross Hospital in Chechnya on 17 December 1996 were a very serious attack on international humanitarian engagement and a major tragedy for the families affected. I have been involved from my Red Cross background to light up for these two December 17th. This is done annually in the Norwegian Red Cross. From the outset, Norway has demanded that Russian authorities do everything in their power to find these perpetrators and to put them in charge. It is sad to note that 14 years after the killings, the perpetrators have not yet been arrested and convicted. In the years since this upheaval, Norway, in cooperation with the authorities of the countries from which the other victims came, and in cooperation with the International Red Cross Committee, has raised the matter with the Russian authorities on several occasions. We have done this both at the political level and in contacts at the level of office. Like the International Red Cross Committee, we have repeatedly expressed concerns about the lack of progress in this investigation. We have received insurance from the Russian authorities that the investigation continues, and that such crimes have no limitation period. The conflicts in Chechnya, which were behind the attack on the hospital, have obviously distorted the investigation, and over the years have produced a number of conflicting theories in the media about who was behind it. We have not had the basis to assess the credibility of these claims. In such a broader perspective, the look in The Times adds itself to this picture of different versions and theories. On the basis of the information provided in the paper, we have re-addressed the Russian authorities and asked for information on the state of the investigation. We have broad cooperation with Russia in a number of areas, including relevant to this region. We are continuing assistance to North Caucasus and, in particular, Chechnya. It concerns both humanitarian aid, the promotion of respect for human rights and the strengthening of legal certainty. We expect the Russian authorities to do their utmost to resolve the crime and put the guilty ones to the test. Taking into account the security of humanitarian workers is essential for the possibility of effective humanitarian aid, and this type of event sends out ring-fences in time and space with regard to the safety of relief workers. Under international humanitarian law, the parties to a conflict are obliged to fully respect the neutrality of humanitarian personnel. In order to avoid the impunity of attacks on humanitarian workers, attacks must be investigated and the culprits judged and punished. We expect that from Russia, and we expect new information to come out, which has one, we shall say, some quality and credibility, and that it will be commented on and followed up on the Russian side. We're going to keep the pressure on it even in the time that's coming.
ParlaMint-NO_2011-01-19.ana.ud2356e797	I thank the Minister of Foreign Affairs for the answer, and I also find it reassuring that, in particular, these recent events, the latest information that emerges, have also provided the basis for renewed contact with the Russian authorities. As the Minister for Foreign Affairs also rightly points out, over the 14 years that have passed, there have been many different versions of what may have happened. But what I think separates this new information from what has appeared before is that at a very detailed level from a person who is just enough now defecting from the FSB, a very clear picture is given of an incident course that provides a more detailed basis for investigating and investigating it. I would also like to ask the Minister for Foreign Affairs if there are any specific timeframes for when the Norwegian authorities have asked for feedback from the Russian authorities on precisely this latest development.
ParlaMint-NO_2011-01-19.ana.ud2356e802	On that question I will answer that it is not that there is a formal deadline for answering, but when we ask detailed questions, we will after some time ask where there will be answers to those questions. So it's true, as the representative says, that this information has come from a defector. It is then natural that cooperative services assess the quality of the information they provide in this case and in other cases. It will take some time on the analysis page to position this information in relation to other information, and their credibility. But as the representative says, this is serious and detailed information that we're going to be putting pressure on the Russian authorities beyond the weeks and months now in 2011 – after we've got the information that's come out of this otherwise credible newspaper.
ParlaMint-NO_2011-01-19.ana.ud2356e809	It is obvious that neither the Minister for Foreign Affairs nor I can stand here and assess the credibility of those who provide information. It is therefore good and reasonable that both Russian authorities and cooperative services have now been set in motion to assess this. But it's also interesting for me, and for Stortinget, to know what the Norwegian authorities might be doing to the Russian authorities if these claims were to prove to be correct.
ParlaMint-NO_2011-01-19.ana.ud2356e814	I hope you understand that giving a hypothetical answer to such a serious claim – if it turns out to be correct – I should be careful. I will go back to what is the starting point, namely the fight against impunity, a very clear demand that it be investigated, and that those suspected of having committed such acts should be prosecuted. And should it be such a sensitive fact as these statements show, it's that this is now out in the way it is, another reason to keep pressure to get clear answers from the Russian side. But the principle of criminal prosecution, investigation, and the fact that those who have committed the acts are judged, must be our starting point, whether the perpetrators of this monstrous act come from one background or the other.
ParlaMint-NO_2011-01-19.ana.ud2356e825	I have a question for the Minister for Transport: «We again experience reports of poorly-shoeed car combinations on Norwegian winter roads. This creates road-hazardous situations with a high risk to life and health for other road users. In particular, foreign vehicle combinations are often very unsatisfactory protection for Norwegian conditions. The state’s road system is alerting more frequent checks, yet there are many dangerous incidents daily. What new measures will the Council of State take to change this unsustainable situation?’
