ParlaMint-NO_2011-05-05.ana.ud1933e53	The representative of Mr Morten Ørsal Johansen will put forward a proposal for a representative.
ParlaMint-NO_2011-05-05.ana.ud1933e415	It's being opened for line change.
ParlaMint-NO_2011-05-05.ana.ud1933e418	There is now a growing debate on Schengen and border control. Some parties in Denmark have been out there notifying what they think about it, and we see that Italy and France now, in connection with Lampedusa and what is happening in Libya, have arranged for much more border controls to be introduced. The Progress Party will have a resolution dealing with this at our national meeting, and we will certainly have a major debate on this. We want so much to look at restrictions on border control. But my question is to the representative Klinge: Where is the Central Party? If so, will the Central Party participate in a reassessment, an evaluation, an innovation in Schengen cooperation, and also, where appropriate, in the introduction of border controls at internal borders between the Schengen co-operation countries?
ParlaMint-NO_2011-05-05.ana.ud1933e425	I thank you for the question. I was a little into it in the post, and I thought it was okay to follow up. It is important to bear in mind that both Bulgaria and Romania will soon enter into the Schengen cooperation and that Italy and Greece already have major problems with their external borders. There is something called making the door tall and the door wide, but it is clear that the door may be too high and the door too wide for those who want to come. from African and Baltic countries to engage in organised and serious crime. So I share the view of the Progress Party and the representative that Schengen cooperation must both be evaluated and, if necessary, amended in order to achieve that we are actually taking good steps to fight this type of crime.
ParlaMint-NO_2011-05-05.ana.ud1933e432	5 minutes is very short time to present their party's vision in such a comprehensive case as this one. I understand. It is possible that I heard errors, or that I misunderstood, but I interpreted what the representative Klinge said about the data storage directive, to the point that she intended to express that the data storage directive and the implementation of it, as we have done in Norway, would prevent the police from resolving crimes. So my challenge to the representative is that she can then get 1 minute more to explain what she actually meant to say about the data storage directive, or whether I misunderstood the representative's posts.
ParlaMint-NO_2011-05-05.ana.ud1933e437	I'm glad to follow up. I was concerned with the protection of witnesses and informants as a special topic, because it has also been in the message and in the comments of the Committee. What the police on the one hand say is that they want the Data Storage Directive as a tool to solve crime. On the other hand, there is little evidence to suggest that there is so much to pick up. Rather, it is, as the representative himself was inside his post, uncertain computer system almost everywhere in society, also in the Pentagon. The fact that people who call the police to provide important information, or communicate by e-mail or other means, can trust and be confident that they are not discovered by those who are criminals, and who can do serious acts against themselves, I think I'm important to have with them. Even if it is not tracked, the insecurity will be there and unfortunately could prevent important information.
ParlaMint-NO_2011-05-05.ana.ud1933e444	The cord shift is over.
ParlaMint-NO_2011-05-05.ana.ud1933e447	First, I must be allowed to praise the Council of State for this communication on the fight against organised crime. It is a good and thorough report, which largely addresses the main issues we face in terms of organised crime. I would also like to commend the Committee on Work. I'm glad there's such a big consensus about such an important field. It is not insignificant that the Committee is so united in its comments and so offensive. The threat from organised criminal environments has increased in recent years, especially due to the increased influx of foreign criminal actors. At the same time, the efforts of the authorities have not been sufficiently targeted and coordinated, as pointed out by the National Audit Office. In my post I will try in a short time to get inside at least some themes. The prostitution environment in Oslo's streets is currently spreading, and more and more women from the particular Roma people are prostitution themselves. Many are concerned that minors are being exploited. A clear trend in the prostitution community is that more and more of those who are prostitutes are foreign. More and more of the women who come to Norway to start a new and better life are brought here by cynical backers. They believed in the promises of the great opportunities that existed in different countries – promises of wealth and jobs – but were met with an existence of begging or prostitution. This shows the importance of stopping the criminal backers in prostitution and trafficking in human beings. Just trafficking in human beings was one of the themes that was lifted at the Christian People's Party's national meeting this weekend. The fight against trafficking in human beings, the slavery of our time, must be higher on the agenda. I am pleased that the committee emphasises this and that they are impatient. The motivation behind the work against human smuggling must primarily be to help people in deep distress. The criminalisation of human smuggling must not be used as an excuse or a measure to ensure a most restrictive refugee policy, which some parties often call for. We in the Christian People's Party long reminded of a new action plan related to the fight against trafficking in human beings. It was good that one came now, just before the turn of the year, and it is important that this is followed up. The Christian People's Party has called for an action plan specifically aimed at children who are victims of trafficking in human beings. In particular, minor asylum seekers are at risk of being recruited for trafficking in human beings. There is reason to believe that several of the hundreds of children who have disappeared from the reception of asylum have been victims of trafficking in human beings, without adequate follow-up from the police. Few children are identified as victims of trafficking in human beings in Norway. It's probably not because they don't exist, but because it's so hard to detect. In the past, the Advocate General has raised the need for the protection of witnesses and police informants. That the problem of organised crime is increasing may be a sign that it is lucrative for the backers to conduct this activity in Norway. It is important that the victims be adequately protected if they choose to report their behindrs. Today many foreign informants are sent out of the country after they have witnessed, and then they are in real danger of represals from the rearmen. Only by offering a well-functioning witness protection program can we get informants and witnesses who voluntarily report to the police if they are in possession of valuable information. The Christian People’s Party is pleased that the committee is so clear that they want a change in the law in this area. Efforts towards organised profit-criminality need to be stepped up. The theft raids that we've experienced in recent years are devastating to people's perception of their own security. The Committee's wish to prioritise this type of crime must be followed up. Police have often pointed to the link between profit crime and organised begging. In other words, a more offensive response to begging can lead to a decline in the profitability rate. The review of the National Audit Office’s investigation into police action against organised crime revealed that we are facing a couple of billions of investment needs in order for the police to have an up-to-date ICT platform. In that respect, a Joint Control and Constitutional Committee pointed out that new ICT solutions are ‘a critical point for police action against crime in general and in relation to organised crime in particular’. Despite the fact that the Riksrevision and a Joint Control and Constitution Committee have pointed out that the improvement of the ICT system of the police must be a higher priority task, the Government responds in its communication that there will be no changes to the plans and that the correction will continue at the same pace as before. The Christian People's Party supports the position on the matter and also thinks it is good that the proposals No. 6 and 7 are sent.
ParlaMint-NO_2011-05-05.ana.ud1933e481	In the job I have, I often ask myself the question: is it possible to achieve results that create more security for people through political decisions, and that it happens quickly? The efforts of the police and the justice sector over the last two years – with the help of all parties in the Stortinget – have shown me that this is possible. It is therefore very gratifying that the Stortinget, through the treatment of the bigmouth message, has managed – with good efforts from all parties – to gather around very important sizes to combat the type of crime that we consider to be perhaps the most brutal, which goes deeper and which can hit the toughest. I just have to stress that I think that the effect of the proposed measures is even stronger when we manifest that all the political parties choose to stand behind them. I just have to say that, as far as the historical and political experience of each of us is concerned, what you look back on is when you manage to gather as broad and good solutions as you have actually done in this matter. It wasn't obvious. It started with the Riksrevisions report, which contained clear and clear signals to all of us – also to the Ministry of Justice and the Government. Nevertheless, it has been clear, through the committee consultation process and now here today, to manifest just that pressure. I stress this, because I believe that Police Norway, Justice Norway, the Public Prosecutor's Office and all the other actors may see it as a very clear signal. So many of the measures outlined in the communication are already in progress. That's why I could answer the initial question yes to the fact that it's possible to get a quick impact, even in terms of the crime that might be most difficult for us. There is reason to pay attention to the fact that over the last two and a half years, police Norway has contributed to a decline, for example, in the past two and a half years. in gross thefts in Oslo by 36 p.m. - It's a big number. The project Grensenlös, which has been brought forward several times, I just have to give all sorts of credit, because it is an example of how to organise the effort against organized crime. From October 2009, when this initiative was taken – I called it the intervention force in the debate then – and until April 2011, the Borderless Project has apprehended 326 people from Lithuania, Poland and Romania, and recently also from Chile and Serbia. We see that in the case of such criminal acts as these groups have been behind, the number has begun to fall considerably. Among other things, in Asker and Bærum and Søndre Buskerud police districts, we see a significant decline, for example. in the number of gross thefts from dwellings. We have good numbers on this -- people register it and report it. We see a fall of 52 pst, respectively. in one state and 19 pst. in the second. We have to be happy about that. It's one of the best signs that it's useful. It's useful to give more resources. But it's also useful to think about structure and how to work. The creation of cooperation, among other things: Over the boundaries of police districts is absolutely crucial. I believe and have mentioned – and this is not just the case with the judiciary – that future political debates need and will be much more about how we organise and use the resources, and not just how much resources you pump in. There are often heavy debates, but the debate and process that have been in the committee has shown us that at least the justice politicians in all parties are prepared to take that debate, and that it is growing from just such a political debate. I would therefore like to thank the Committee, the Enlarged Bureau and the rapporteur for their excellent work. So I would point out that perhaps the greatest challenge in the future in combating organized crime from the government and my side is to get further strengthening of international cooperation. There, too, it was perceived that Norway might be abroad and would not have the opportunity to register in the ongoing processes. It was not right that Norway had no options. With regard to the work of the government, with the support of the political parties in the United Kingdom, to join the Prüm cooperation, i.e. extended police cooperation with the possibility of direct searches, among other things. in DNA profiles, fingerprints and some car registration, I am pleased that Norway was not abroad, and that we are actively involved in this. There is also reason to stress that the way Norway is welcomed in cooperation with Europol and Eurojust is good. We reap a lot of it, and get good help from these cooperatives both in charge and in police to combat organized crime and to address specific issues. I would also like to point out that it is absolutely essential that we carry with us the whole chain of punishment when we are thinking of combating organised crime. It's not just about apprehending, prisoning and punishing. We also have to think about what kind of punishment we face these people, including. to prevent their return, but also to prevent those who are convicted of such acts in Norway from planning new crimes with further strength while incarcerated in a Norwegian prison. For this reason, it has been imperative for me to notify Norway in connection with the adoption of the EU framework decision on settlement transfer. We have not yet achieved that – it has not come into force in the EU either. In addition, it has been imperative to have bilateral agreements with the country concerned. I am happy to be able to report the following to the Stortinget: As far as Romania is concerned, what is known is a bilateral, good agreement – there are legislative changes related to this. But a few weeks ago, we also signed an agreement with Lithuania. Among the groups of non-residents in Norwegian prisons, they are high in Lithuania. So we got a redemption transfer agreement. Last week it was well, I was in Riga, Latvia, and signed a settlement transfer agreement with the Latvians. We have a model of this which is very similar to the EU framework decision and which shows that Norway is involved. And here's more work to do. But it's positive that we now seem to have got some holes in the bush in getting these types of agreements in place. There may be important policy tools for the future to combat this crime. But we are totally dependent on the fact that even atoning and sanctioning are being adjusted up and, I kept saying, calibrated in, in order to be able to be rusted against the kind of crime that we are discussing here today. It is also important to stress on our part that one of the most important measures has been to establish what I have called the response force to organised crime. It was done in 2009, and I have to say that it almost surpasses my own optimism about the results it has achieved in combating mobile profit crime. The fact that we're strengthening Kripos, that we're strengthening the U.S. police force, and that we're adding these together with the police districts, makes sure that if there's a raid in one state, you have the opportunity to deploy an intervention force quite as quickly to stop it. It is amazing to see that the emergency police — in fact, in the last few months — are appreciating more than 150 people per month for another type of crime. So I would strongly recommend the Progress Party to go from its proposal to assign the task of the P.D. to the police districts. The blackmail police are a vital player in the work that is now being done. I would also like to point out that we are totally dependent on adjusting the law, both in terms of the specific criminal provisions, which have been discussed by many – I will return to Stortinget with as quickly as possible – and the protection of informants. We have given a clear signal that we will, and I am pleased that the Committee is also in agreement on our need for this. Finally, I just want to say that the decision made in the Storting concerning the storage of data is absolutely crucial. It's not a piece to fight this kind of crime, it's, as the managers of the Grenenselos project have said, actually absolutely crucial. And it's not like there's something new coming, it's a method you've been using. The data storage agreement will help make it a method that we will be able to use with greater pressure also for the future.
ParlaMint-NO_2011-05-05.ana.ud1933e507	It's being opened for line change.
ParlaMint-NO_2011-05-05.ana.ud1933e511	The police are not allocated entirely insignificant financial resources throughout the year, and resources are also increasing every year. It is necessary for the police to be able to carry out the task which, among other things: The size has given. Does the Council of State think that the police can be reorganized and work in a completely different way, and that this can mean that one can reduce transfers to the police, or at least avoid increasing police resources year after year?
ParlaMint-NO_2011-05-05.ana.ud1933e518	This is drawing to be a good day. For now we are getting the Progress Party with us that the police are being allocated resources, and also with the question of whether we need structural or other types of change in the police. My answer is that I think the police need more resources in the future. That's why I've never provided a budget in Stortinget where the police don't give more resources. Especially against ICT, we need more resources. But I am very concerned, especially at a time when we are increasing resources so significantly, that you also have a discussion about how that money is spent. And I would recommend everyone to look at the story of Follo police districts. I was there yesterday. It is a fantastic restructuring that has been done in Follo, and which, according to my concepts, has contributed to a significantly more efficient police service. The rapporteurs also say that. Then you can discuss that you want more money. At the same time, however, there is a significant decline in crime, including: a reduction of 40 pst. in the crime of violence. These are amazing police results.
ParlaMint-NO_2011-05-05.ana.ud1933e527	The Minister of Justice was in several important areas, and in particular that of foreign criminals. Now we have a situation where we have sixfold the number of foreign profit criminals in Norway in the last ten years. The Minister of Justice refers to the agreement with Romania and that several agreements are now to be concluded. The Progress Party has supported these agreements and has called for more. But my question to the Minister of Justice is: are these agreements accurate in relation to profit-criminals, as these agreements explicitly state that the extradition agreements relate to judges over one and a half years? Is it so that with these agreements we are able to send out foreign criminals with judges in six months, eight months, one year, for example, or do you actually have to commit a criminal act and get a sentence of more than one and a half years in order for us to at all manage to send out these foreign criminals?
ParlaMint-NO_2011-05-05.ana.ud1933e532	That is a very good question, because I believe that the agreements that are now being concluded, and what is also happening in the European Union, will not be entirely accurate to those who get judges such as those. is located in the six-, seven-, eight-month level. That's what we're struggling with. I just have to admit, that's the way it is. We've set the "all hour high", which is the highest number of accumulators last year, but the number is considerably too low based on what we want. One of the reasons is that criminal convictions become too short, so that the process in any case takes too long. And then it's important to do what the government did last year, and what we do this year, that at least when the punishment is done, people are expelled by force. It was over 700 convictions that were sent out by force last year, as far as I recall – subject to the number, but I think it is there. Therefore, it is important that we also use the Foreign Affairs Unit as actively as we do now, because effective expulsion is an important measure.
ParlaMint-NO_2011-05-05.ana.ud1933e539	Criminal services and prison inmates can tell quite serious stories that there is a lot of networking in Norwegian prisons, both in the case of established organised criminals, and also in the case of recruitment of new ones. My question to the Minister of Justice is: Where is the work in relation to obtaining separate departments for foreign nationals who make judgments in Norway, possibly their own prisons? And does the Minister of Justice have any views on this by financing foreign detention places for their respective citizens from the countries for which it might be relevant?
ParlaMint-NO_2011-05-05.ana.ud1933e544	I have previously said in Stortinget that we want to assess the question of our own places for the foreign convicted, and that is something we have to assess. I'll come back to Stortinget when we're done with it. As far as the second part of the question is concerned, it is quite clear that there are no prison sites available for sale, so we have problems with direct funding of our sites. It's also very difficult to construct. But what I've been very concerned about is that when Norway uses EEA funds in Latvia, in Lithuania, or elsewhere, it has to be possible to have more thoughts in mind at one time, so that we can connect some of the EEA funds to providing better, and more, capacity in the country's criminal services, alongside that we can pay for transport. So when I signed the agreement with the finance minister in Latvia last week, I was very happy that the largest share of EEA funds for Latvia was money for the criminal services. We even opened a new youth prison — while signing a settlement transfer agreement.
ParlaMint-NO_2011-05-05.ana.ud1933e555	Earlier in the debate, both an SV representative and one from the Central Party have been concerned by Schengen and the challenges associated with Schengen cooperation. I have seen that the Nordic Police Association has sent a letter and input to the Minister of Justice in connection with that 80 pst. organised crime in the Nordic region is linked to persons from the Baltic countries. To this extent, it has also been interesting to see that the Minister of Justice has stated that Schengen cooperation can hardly be changed, but that he appreciates the recording and will take it further with him in his work. Then it would have been interesting to hear a little about what the Minister of Justice thinks about this, whether it's a video he's taking with him in his international work. Is there a proposal that the Minister of Justice seems to have something to do with it, or is it a proposal that he will not follow up?
ParlaMint-NO_2011-05-05.ana.ud1933e562	I always believe that in Europe – and especially in the future – there will be a debate on the impact of Schengen cooperation. I think Norway has to be there. There may be adjustments, but there may also be measures within the Schengen area of justice policy, which I believe are important to us. I don't want to close the door for that. But the importance of almost closing the boundaries, controlling every single person who comes, I think is considerably exaggerated in combating crime. It is not written in the face of anyone that they intend to break into Asker and Bærum or elsewhere. I must remind you that the large groups with which we have struggled in the case of foreign nationals who commit criminal offences also represented a large proportion of the crime in Norway before participating in a borderless Europe. That's why I think you should be careful to think that that's the solution. Then I have said that, among other things, shall carry out border checks. It's strengthened in Eastfold, and I think we have more to go on there.
ParlaMint-NO_2011-05-05.ana.ud1933e569	The cord shift is over.
ParlaMint-NO_2011-05-05.ana.ud1933e572	Organised crime is a clear threat to well-being and security and has received considerable attention in recent years. This type of crime can be quite daunting to discover and reveal – this is because the crime is spreading across borders and police districts. The hallmark of organised crime is that it is practiced in the hidden and by groups that are both smart and well-organised. The crime scene we're talking about here is, among other things, drugs, trafficking in human beings, trafficking in human beings, ICT crime, financial crime and mobile crime. Organised crime is a growing challenge both nationally and internationally. Therefore, it is very important to exchange and interact with the countries around us. The Storing Message provides a good situational review. It is largely based on trend and threat analyses. One of the most important strategic issues is the coordination and governance of efforts, both nationally and internationally. I think that the big message, and the attitude of the committee, gives a lot of good answers to this. The message points to an adequate and effective response, not least through active and targeted international police and prosecution cooperation. There is a clear link between organised crime and conflict situations in several countries. These are situations that lead to serious violations of basic human rights. It is important to harmonise measures and laws across borders, and to end the work done by various international organisations, for example by acceding to and ratifying the UN Convention and its protocols against cross-border organised crime and the United Nations Convention against Corruption. The Schengen agreements have been actively discussed in recent times both in Norway and in some EU countries, including today, for a number of reasons. In Norway, some claims that the abolition of internal borders means more crime and that the solution is to pursue a more restrictive border policy. I mean, this might not be the way to go. We need more cooperation, not less. We need good international tools to fight this type of crime. A single country will not be able to do this alone. The Schengen Information System (SIS) is a common database which is important in the fight against organised crime. The database is designed to enable the administrative powers of the Schengen countries to exchange information on persons and objects easily and efficiently. The SIS compensates for the abolition of border checks at internal borders. But I also see that it may be possible to change and improve the Schengen Agreements, as the European Commission is also calling for today. Finally, there is reason to commend the government for a strong commitment to the police in recent years. We see that this initiative gives good results in the form of several solved issues, and it also shows figures from the Statistical Central Bureau. Operation Boundary-free, and other such projects, must have much of the era for this. When it comes to Operation Borderless, there is a cross-police cooperation where an inconclusive one is working to fight against the profit crime of travelling gangs. Many of those taken and imprisoned come from other countries, often countries in Eastern Europe. The good results of the police have led to new challenges for criminal services – prisons are full. In order to remedy this situation, more use of housing transfers is important. By date, there are about 1,200 foreign citizens in Norwegian prisons. Many of them would rather have their own sentence in their home country, so that the detention centres were released. The work on reconciliation transfer is a lengthy and circumstantial process. I am pleased that the Minister of Justice has put in place settlement agreements with Lithuania, Romania and Latvia, and that he is working hard to get Norway into a new European cooperation on settlement transfer that will come into force from December this year.
ParlaMint-NO_2011-05-05.ana.ud1933e589	I was about to say that this is almost Christmas Eve. I also agree with all those who have distributed gifts as to the fact that this position, which exists from the Committee on Justice, is largely grouped. I also agree with what has been said, and I think the right tools are now in this setting. I record that the Minister of Justice has said that much of this has already been done, or is about to be implemented, and we get to believe that it will have an effect. I also believe that in such a context we must not believe that the solutions to the future challenges of foreign criminals, organised crime, are being solved only by making this decision today. We have to ensure that it has operational activities, and then the Minister of Justice – I think – is in an important area. If a card is to try to draw and predict and believe something about future organized crime – you have to call it organized crime, I don't find any other concept, but it's all about different forms of cooperation to engage in criminal activity – it's the economy that's at the top. Then you have to figure out who is involved in these different forms of cooperation, and it's getting more and more complicated. It goes across all possible borders, it goes across all kinds of nationalities, it goes across all sorts of cultural origins. There are different groupings, different professions that involve different forms of cooperation, which I fear have a small advantage, at least on us politicians. But in fact, I also believe that they have not only a small head start on the Norwegian police, but on the police in general, because there is so much economy in it. I refer to it as for example: referred to as corruption in the setting, which I also think we need to pay much more attention to. The numbers shown in the setting are alarming. It is clear that although many new forms of cooperation can be seen in organised crime, more and more people still operate as individuals, without communicating with each other – the network does not communicate at all. And then I'm not going to deal with the discussion about the Data Storage Directive, it's not going to be accurate. We're going to have a lot of focus on organized crime in every way, but we can't focus so much on it that we forget what is everyday crime -- the one that people meet every day, but which we may also have a tendency to consider and talk about as organized crime. There I think it might be that we're wondering ourselves a little bit in this context. Because if we don't shut down -- I was trying to say beat the hell -- the everyday crime that you see every day, right away, if we don't make it possible to get a real zero vision, it's all about siphoning, army, etc., we're making it easier to recruit for organized crime. So I also want to focus more on what goes on in the zero vision. That's right, we need to have an overall approach to combat both organized crime and everyday crime. That is why the Progress Party has put forward proposal No. 1, which is about to get to a national unit that coordinates this. Then I'm going to finish -- it's going to be too little time. But I am sure of what the Minister of Justice said, that the task of the future for us politicians to fight crime is to provide a structure and an organisation that is boundless, that we are able to place responsibility and sharpen competence to a much greater extent than what we are doing today. Then I would have liked to have said a lot about Schengen and internal borders and the external borders, but I think we can do that on another occasion.
ParlaMint-NO_2011-05-05.ana.ud1933e607	In particular, the time suggests that this is a correct assessment.
ParlaMint-NO_2011-05-05.ana.ud1933e610	It's almost so I get the desire to polish the silverware myself and invite everyone who has contributed, to celebrate that we have actually done a good job together. I don't want to say for once – because it's quite common – but as the Council of State and others have been involved, it's like we've been together, and it's essential given that organized crime is a fundamental attack on democracy. I think there is reason to boast that in public vocabulary too, parties and individuals who have done a job are actually famous. It has been done in the media to the Right, which has made a number of proposals included in the communication. That's what I think is rust, and I think it's fair – that's what it's said. Of course, the right will continue to challenge the government on individual elements, on the resource situation, on instruments. But I believe that we have now laid a good foundation for further work, regardless of which party constellations, politicians and individuals run the government and the Ministry of Justice after 2013. In the future, of course, the right will continue to focus on the need for resource access and basic manning. For this, as the representative Sandberg was in, also the daily. There are no watertight shots between organized crime and so-called everyday crime. No crime should be counted as everyday. Of course, we're going to continue to challenge the better and more use of civil servants. We are going to continue to challenge that all politicians should try to avoid planting flags on all kinds of things, calling something for a project, such as that. vacuuming the police districts of people needed in daily life to combat everyday crime that can develop into something more. We are going to continue to challenge that we need our own prison departments, our own prisons, but I want to commend the Council of State for being open here today that he is positive that we can also use EEA funds to increase the capacity of those countries. It's been challenged by the Right for a long time. It hasn't been as transparent, but transparency is now at least crystal clear, and we're only waiting for feedback when you can see the results of the approach that the Council of State has now taken. As far as Schengen is concerned, like others, the right is concerned that we need to follow up the initiatives that have come from, for example. Italy and France. It is also part of the Stockholm Programme to avoid fraud and abuse of freedom of movement. There is a central point on which several Norwegian politicians are concerned. So a little bit into DLD. I think it's interesting to hear from some people that people will stop tipping at the police because of the uncertainty in the computer systems. That uncertainty was there long before anyone started discussing the Data Storage Directive. To put it that way, lack of tips is the police's least problem – has never been a problem, nor will it be. That was a little bit of an obscure argument. Then there are the different, slightly temporary, representatives of privacy -- I say temporarily, for the commitment has not just gone like a red thread through either this period or the previous one. It is a paradox that the Right and Workers' Party in their agreement got far more than SV and the Center Party did well in government. I also think it is special that there are proposals here today that go far beyond the data storage directive in terms of possibly violating privacy. It does say a little about the reasons for voting against the Data Storage Directive. One point I'd like to address that we haven't come up with far enough is the so-called new crime and ID theft. It is a paradox that it was the Data Storage Directive that had to start discussing these kinds of issues properly, it was not a debate we started ourselves. It's a paradox. It is also paradoxical that the strongest opponents of the Data Storage Directive are those who are most eager to publish information about most of themselves and the family on different social media, etc. I'm not going to pull it anymore, but it says something about the attitude to what we put out is important. It is incredibly important to continue to focus on personal responsibility and responsibility for others. We can't be naive. Then to the level of authority. There's a lot of things to do when it comes to coordinating the total work. The fact that things that are reasonably confidential are still sent out by post, in a mailbox that is relatively easily accessible also to organized criminals, we have to look at. In addition, we need to start looking at computer systems evenly over, not just in the police, but not least in the health services, with all the examples we've seen of leaks, which organized criminals will, of course, use to the extent that you don't have enough security.
ParlaMint-NO_2011-05-05.ana.ud1933e636	Organised crime represents, in part, new challenges for business, the local population and, in particular, police and prosecution authorities. The fight against organised crime is not of new date. It has been fighting through all times and with different means. As the police have introduced new methods of investigation, criminals have gone new ways. It's right – and important – to keep closing this gap. For us politicians, therefore, it is a challenge to constantly upgrade the police with the most appropriate tools. The Data Storage Directive is in this way the last means of action of a reasonable majority here at Stortinget has put at the disposal of the police. My post here today will mainly focus on MC crime, which is a challenging field in organised crime. MC crime requires new forms of police work and also broad, unorthodox alliances in each community where these environments are established or under establishment. I want to commend the Police Directorate for their efforts to combat one-percent-MC clubs. Furthermore, I would like to commend KS for their commitment and for the important initiative they took this winter, when they invited to a conference to put the spotlight on this challenge. The so-called one-percent clubs are characterised by the fact that they are defined out of the established society and must in no way be burdened with the vast majority of law-abiding motorcyclists. In the choice between Norwegian law and internal clubblover and rules, they opt out to follow Norwegian law. It can't be accepted. Internally, the membership of the club and the rest of the community is a priority above all, including their own family. The KS initiative was a start-up shot for a broad alliance in the fight against one percent environments, a wake-up to the entire Commune-Norway. Media was also present and – and they do – an important and necessary work by focusing on both recruitment to the environment and on the crime that finances the operation of MC clubs. Last time we saw this in Focus Tuesday this week. In my time as rapporteur, I experienced that a MC club went from being a relatively ordinary club to becoming a fully-fledged Hell Angels club. The recording test was the explosion of the Bandidos premises in the Drammen. Here human life was lost. In addition, large economic values were also lost. The withdrawal of values should be an important tool here. When there is a final judgment, it is important that the judgment be followed by the enforcement of the withdrawal requirement. This is essential for combating newly organised crime. We have to go after the money. In the case I refer to, Mutual has an outstanding claim of approximately 300 million. kr, which they have shown very little interest in driving in. When I first want unorthodox alliances on the ground to combat these environments, the insurance industry is also in such an alliance. In the case of Hedmark, Reciprocal, which appears in many other contexts as an important social actor, has been spectacularly passive. Hope this isn't afraid of the environment. It is important that insurance companies should not be perceived as more cautious of this group than of others who owe money otherwise. Finally, some words about what characterises the activities of these clubs. Torpedo and violence, extortion, violation of the Arms Act and, in particular, trafficking and trafficking of drugs have been identified. Members of my local Hells Angels department were taken with 30 kg of amphetamine just before Christmas. This is an example of where they pick up the income from, and this hopefully left a damper at the Christmas party.
ParlaMint-NO_2011-05-05.ana.ud1933e655	As the Storting must have noticed, there is a great deal of commitment to this message. The main lines of division between batches may focus on the concreteisation and timing of actions that need to be implemented. Norway is part of Schengen, which poses major challenges in knowing who is in the country at all times. As long as the outer border-Schengen is holed and perforated, the criminals who have entered the area will search for the country that is possibly the most lucrative, such as Norway. Much of organised crime is rooted in other European countries. Norway and the other Scandinavian countries, with their open societies based on trust, have major challenges with criminal groups that want to exploit the system and not least build new networks to conduct their crime. When we know that it's e.g. In Oslo prisons are killers, violent offenders and drug traffickers from 60 countries gathered in one airport, it goes without saying that there are contacts here. Or to quote one of the prisoners, Beudin Azimov of Chechnya said to VG on 4 December: ‘Here is the Latvian, Lithuanian and Chechen Mafia gathered in one sofa.’ Increased networking with Norwegian criminal environments has also been registered. Then it goes without saying that we need to get far better control of who's here in the country, and not least monitor and split up these environments. This requires resources, and much better coordination and exchange of information between public bodies is needed in the fight against organised crime. But cross-border organised crime is not just happening on the land, it is happening so much via ICT and new media. Data or cybercrime will be one of the greatest challenges society will face in the future. The National Safety Authority’s strategy for cybersecurity states that the police are familiar with the challenges, but at present they do not have the tool in place to meet these challenges. EOS services believe that the level of threats associated with ICT-based instruments has increased considerably in recent years. Experience from NorCERT – CERT stands for the Computer Emergency Response Team – subject to NSM, our national safety authority, shows that this is becoming increasingly serious, and not least more difficult to deal with. Intruders have two objectives: either they are out to obtain information, for example. empty your bank account, ID theft, or they want computer power to use the individual's PC to attack others, so-called botnets with multiple computers that are run together. Remotely controlled by a malicious broadcaster, the PC armada is used to attack another user and can quickly put large important businesses out of play. So the outsider can break in today and control e.g. oil production at a platform in the North Sea or the power generation at a waterworks. Our communities have become incredibly vulnerable. Simple IT problems can cause major accidents, and it is possible for criminals to do great damage. Based on experience, there is reason to highlight intelligence and organised crime as the most important threats in Norway today, says NorcERT, who thus confirms that the Progress Party here is in charge. That is why we are promoting concrete proposals which will be much more able to detect and prevent this crime. Our allies are looking at the threats online with increasing concern. The NATO Parliamentary Assembly has produced cyberattacks along with terrorism and the proliferation of nuclear weapons as one of the most serious threats facing the alliance and the Member States. I have recorded during the debate that the government parties are in favour of the two proposals of the Progress Party on cybercrime. This is a good sign that we in common will be able to find a solution that will serve the country and our inhabitants.
