ParlaMint-NO_2011-12-16.ana.ud856e63	The representative, Robert Eriksson, will put forward a proposal for a representative.
ParlaMint-NO_2011-12-16.ana.ud856e571	About the environmental aspect, I could send an enquiry to the former representative Heidi Sørensen from SV, who said the project had to be stopped. But that was before she became State Secretary in the Ministry of the Environment. I could send an enquiry to the Council of State, Erik Solheim, but he is probably on a trip. But I can send a recommendation to the representative Langeland of the environmental party SV, who spoke little about environmental considerations in his statement, but it is more like reminding representatives Langeland that he is also a member of the Supervisory and Constitutional Committee of Storting. Here is a project with a maximum unexplained cost framework that a majority will now adopt. It is a project in which we are shown that the state's own guidelines and frameworks for the quality assurance of large, heavy and costly projects are likely to be slightly sidelined, and this may be followed up by the Storting's Committee on Control and Constitutional Affairs. In any case, in the light of the little experience I have – I have been in the Transport Committee since the last period, i.e. now for six years – I do not remember having such an eye-catchingly poor case basis to make a decision on an investment that can pass 10 billion. kr. The Progress Party is responsible for the use of money. We want to modernise today's railway, but we want to do it with the responsible use of money. Since this has become a central and important issue in this matter with quality assurance reports and procedures, there is reason to recall that these reports do not actually follow matters up to the Stortinget. It has been a matter for the Progress Party for many, many years to demand and demand that the quality assurance reports that are actually being produced follow the projects up to the Scientific Committee of the Storting in dealing with large and important transport projects with large, heavy investments. It's still missing. I am constantly trying to get the Council of State to guarantee that it will happen, and we are still striving to do so in the Advance Party. It's bad reception. So to the final velocity. The Progress Party will modernise today's rail system. One of the paradoxes here is that those who are most eager to have the highest possible speed, now will use an unknown number of billions to build a low-speed line. You could say a lot about it, but at least we have that view, that when you're going to modernise today's rail system, it should have a speed that's well over 200 km/h, so that newly ordered trains can actually run at the speed they're going to drive, and can drive at. This case shows that the majority stabs their heads in the camp. It must certainly be comprehensive in this matter.
ParlaMint-NO_2011-12-16.ana.ud856e587	I might have hoped when I saw the postponement proposal from the Christian People's Party, the Right and the Left, that the president had assessed whether this was not just a rematch on the first postponement proposal. At least that's how we interpret what's there. That's why we're probably going to vote against it as well. We have suggestions that both the Right Party, the Christian People's Party and the Left could vote for, if they really meant anything about it, and if they had been busy putting in place the Eastern Line and getting a better train offer. We actually think the most important thing is to get the best offer. We think that the Eastern Line is a much better option than the option you're now adopting, both for the environment, for speed and for everyone who's going to use the railway. When I heard the representative, Mr. Schlagsvold Vedum, on the speaker's chair boasting of how good the government has been, and of the fact that it's now being built – that's not how it works – it's okay to bring with it the history. When E6 between Gardermoen and Colomoen has a total cost of 8.35 billion. kr, how much are the drivers going to pay on this route? Yes, they have to pay 5.85 billion. kr to build the road – for investment. They have to pay approx. 3.5 B.C.E. NOK in interest expenses. They have to pay 450 million. Just to get on the road – in addition to the cost of the road, and in addition to the other things, a total of 9.8 billion. kr. Instead of boasting of former Ministers of Transport, the current Minister of Transport, the government and all the other Battle Violence Vedum always boasts of, he should actually boast of the drivers. It's the drivers that pay the entire bill and more, it's not the red-green government that pays money. It's the drivers who pay for the fun. Unfortunately, we have a political majority who are not willing to spend more government money, but who are very happy to hire Norwegian drivers with more taxes and more extra tax in the form of tolls. I had actually hoped that the Council of State would have been clearer about this with the quality assurance report, because it is a paradox that a project that is therefore costing less than 7 billion kroner. Now it's over 10 billion. NOK – we do not know the final sum of the project we are adopting today. This is serious, but at least it gives a good signal to the Advancement Party. That means it's not going to be on money, because the government has enough of it, and it's not that dangerous to ensure the quality of the projects. We're busy doing things faster. Therefore, I don't understand why you have spent so much time investigating and doing this back and forth, because the quality assurance is not very important anymore. It is important to initiate the projects. We very much agree with that, but we also think it is important to look after taxpayers' money. So we want to shrink in – which we come back to a little later today – and we want to make sure that it is also quality assured, so that taxpayers know what they pay for, and get a cheaper bill.
ParlaMint-NO_2011-12-16.ana.ud856e600	The railway station is now planning the route between Eidsvoll and Minnesund. The railway will pass straight through a protected area along Vorma. The politicians in Eidsvoll now say that they did not understand what they said yes to when the main route on the Eidsvoll–Minnesund route was adopted by the local government in 2009. In the municipal sub-plan, you had a 50-metre sloop to each side of the line that goes partly on today's line. But what does the Railway Agency do? Well, they choose to go east and end up in Vorma with a massive rocking. Now both the Workers' Party and the Right in Eidsvoll say that if the local government now rejects the regulation proposed by the Railway Agency over the New Year, the state must regulate. It's a very clear message to the government. The environment along Vorma, from Eidsvoll to Minnesund, is very vulnerable, and it is protected. I would strongly encourage the Council of State and the Government to at least ensure that the railway route from Minnesund to Eidsvoll takes account of the protected areas, the environment, the local population and local democracy. I myself live on Minnesund, I live in the middle of this area where it is now to be built. I am, in fact, deeply concerned about what is happening now on behalf of future generations. As I said, I would encourage the Council of State to now go in and look at this distance, from Minnesund to Eidsvoll. Finally, it is in the setting, as the rapporteur took up, a train station – a train stop – on Minnesund. There has been a lot of work both from the local government in Eidsvoll and from the local population. It will be a sensible project, both from an environmental point of view and from a point of view of accessibility, by allowing people to use the train in front of the car. I don't see the idea that the government parties say this must be followed closely, and that a new station must be assessed when the population base so warrants. I think it's important now for two reasons that this train station is being built at the same time as the railway project. First of all, it means an important infrastructure to get people to move to Minnesund, we want more people to live there, and second, I think it would be cost-effective to take this expansion at the same time as the railway is being built.
ParlaMint-NO_2011-12-16.ana.ud856e615	Road and rail projects in Norway are not easy. The last example comes from the representative Sonja Irene Sjøli, where the local politicians in her municipality now regret the decision they have made, and would like to have a different solution from that on which the case was sent here. We could have framed a number of issues where there are new local politicians, new costs, local government, who would like to have a slightly different solution than what was previously agreed on and which is now in the plan. It won't be easy if we keep taking fights in all things and taking along all the recordings that all the action groups or whoever it might be, come along with. In fact, sometimes you just have to cut through and finish a case. Map to the representatives of Gundersen and Vosskensen, who note that it is sized to 250 km/h. I made it clear in my report that the line south of Langset and north of Kleverud will be re-assessed with a view to increasing the speed to 250 km/h – just so I have said it. So, to the debate on the postponement of the proposal by the Progress Party. If you postpone one part of the project, you postpone the entire project, because of course you lose the synergies, and you have to start new planning processes. You can't just take one now and separate from the other. So to the suggestion that appeared a few minutes ago. That's interesting. Here, therefore, the Right Christian People's Party and the Left ask for the following: ‘The Government asks the Government to clarify all objections and allegations raised about the case and the procedure so that a reluctance process can be pursued.’ This has been going on for over ten years. And then you have to go through all the objections and statements that have been made in this case! Then we cannot dream of getting the matter back in this period at least. This increase is not going to be able to deal with this matter if we are going to support the proposal that is now on the table. It'll take years.
ParlaMint-NO_2011-12-16.ana.ud856e633	I would like to remind the representative, Mr Schlagsvold Vedum, of what both the representative, Mr Halleraker and I ourselves have said. It's with a heavy heart I'm voting for. The representative Halleraker has also underlined how special it is for the Right not to go in for immediate support for such a project. I don't think that has happened – if something is going on in the right direction, it's the development of infrastructure. I have to say – customs and clothes are not a parliamentary expression – that when you say nothing happened under the bourgeois government, it is quite special. Then the OPS concept was created, which would have been very good for infrastructure development, and Nybakk – Klöfta was adopted. 2nd@item: inlistbox It is completely central to large parts of Hedmark and should have been completed for Kongswinger. We've had a lot of discussions about that before. I am concerned that the decisions and assumptions of the Storting should be respected, and I am concerned that society's resource use should be efficient and rational. Then I do not understand that the government can present a project that has created so much debate after the proposition came to Stortinget. I'm not reassured by what you say about the lack of execution of the KS1. The representative of Sønsterud insists that they have written a majority comment that the speed is going up to 250 km/h. Then there are guaranteed cost excesses, if that happens. Otherwise, I'll assume that when you've been planning something for ten years, you would have managed to get it into the project that's here. So it has to be a hidden costorientation already. Then I'd like to point out what the department itself said at a review around the millennia: «A review of 11 specific projects showed that unsatisfactory project results were very often due to insufficient work being done in the early stages of the projects.» So you say about KS1 that for «all projects shall be listed specifying how to reduce costs if the established cost framework is found not to be sufficient. In addition, the cost framework must include a provision to cover unforeseen costs.’;» Finally, they say: ‘The starting point for KS1 is to ensure that the choice of concepts is subject to real political governance.’ As a member of the Financial Committee, I'm actually concerned that all of this is going to be satisfied. And to everyone else who also sits and waits for projects: one should be extremely concerned that the projects that are adopted do not get cost excesses, because then it becomes less for other things. It's actually pretty serious things we're discussing when we're talking about projects up to 10 billion. kr.
ParlaMint-NO_2011-12-16.ana.ud856e662	It is just nonsense that you cannot run through the road project even if you choose the proposals of the Progress Party. The savings from having a common project are much lower than the risk of large cost gaps. We've already seen that. But I record that the Council of State has been in Stortinget today and guaranteed that the cost estimates that are now there are going to end with that. That's interesting, and we'll notice the reply from the Council of State to the representative of Sortevik. So it's a little special when the representative, Sjøli from the Right, argues for the proposal of the Progress Party, but will nevertheless vote against it. I had hoped that when you argue for something, you would also vote for it when there is a proposal there. Unlike the Right, who just wants to send everything back, you can go in for the Eastern line, as it is a large majority for local, and as many others want to get in place. So I really hope now that Right turns and remembers and votes for the proposal they really agree with.
ParlaMint-NO_2011-12-16.ana.ud856e669	I record that the representative Langeland and SV did not get an impact on the government either in terms of the speed gain in this case or in terms of the environmental assessment. This case, which is currently under consideration, runs a high-speed train between Oslo and Lillehammer. There are many places there will be exceptions for 250 km/h. I'm happy in trains, and I'm happy in double tracks too, but there's bounds for double tracks times two up. It's unrealistic. If we put the railway track up now, we put it the way it's sketched by the government, and now it looks like it's majority. But we're recording that SV has not won out. To the representatives of Hoksrud and the Progress Party, I would like to say that, when we do not agree with the proposal that the Progress Party has made, it is because we want to be careful, we want to be real, we want to be thorough, and we want it to be a quality assurance both when assessing the Eastern Trasé elections and when assessing the Western – what is now in the Dovrebanen trajectory, that is, the proposal promoted by the government. The proposal of the Progress Party is based on an eastern trajectory without any reservations, and we cannot accept that kind of treatment. We have proposed that the matter be referred back to the Committee. The Progress Party has chosen not to support it. We have now made a proposal – which will be an alternative to paragraph 3 – where we will actually be able to highlight all sides, including what has been presented by the government, and also all the information that has emerged afterwards. There is a new information in Today's Business today, namely that the Railway Agency assessed the eastern trajectory to be cheaper and faster. It's not mentioned in the proposition, but it's a very clear and new information. I asked the Council of State a question on Wednesday, December 7. That's not answered. More than six working days ago, and it's about something important – which is related to today's information in Today's Business – namely that the Railway Agency has assessed the eastern trajectory to be cheaper and faster. The costs of the Eidsvoll-Sørli line that have now been selected have now risen to 10 billion. kr. The initial estimate in 2008 was 6.9 billion. kr. Today's Economy refers to December 6th, the 10th anniversary of the Railway Agency. kr as an old estimate of costs. It signals that there are further price increases in this case. When the Council of State has not responded in writing to this, I in fact ask her to answer this in the Chamber today. Thus, the railway works do not have an overview of the total investment costs. There is also a cost explosion in this case that is missing.
ParlaMint-NO_2011-12-16.ana.ud856e685	Let me bring you a little sigh from the outside. I'm not a member of the Transport and Communications Committee, but I'm asking a lot of questions about the procedure in this committee. The fact is that the opposition parties have a majority in the committee, and thus the same majority do not use the option during committee procedure to present the necessary proposals in this case. I see that the Progress Party has followed up well in relation to the objections raised during this process, but that the Right and Christian People's Party is not using the committee procedure for information that has been well known for a long time, I wonder. In this case, the representative Sonja Irene Sjøli has been a moving target. She first went out on two pages in the Austrian magazine with all possible arguments long before the case was given and said that the matter had to be postponed. The next day the same representative came in the same newspaper and said: No, however, the right will not go for a postponement. And then we have this seance that we have here today. This policy is not worthy of policy, nor is it worthy of the local population, who have been waiting for these pathways for a long time. The most interesting thing that has been said in this debate so far is that the State Council, Kleppa, said in a line change – I believe – that she will not exclude her own eastern high-speed rhinestone at a later stage. Then I'll ask you what kind of quality assurances it is that we're involved in this society. Norway should have all the possibilities to ensure the quality of all aspects of such a project, with the expertise we have, for example. from the base, with large, heavy investment projects. What will it mean for this community to get another trajectory through the municipality with those security zones etc. which we know a high-speed path will have? This thing we have to learn a lot from. When you get different cost estimates from different actors, it's hard for a politician to know what's really right. But that we're good at quality assurance, we can't say after this debate.
ParlaMint-NO_2011-12-16.ana.ud856e696	The representative, Sonja Irene Sjøli, has spoken twice before and is given the floor to a brief comment, limited to 1 minute.
ParlaMint-NO_2011-12-16.ana.ud856e699	This force-salve from Kielland Asmyhr falls on his own unreasonableness. The right proposed to postpone the case until we received an answer to some questions from the Council of State. We got that. They were added to the setting, and we saw no reason to postpone. But later, after the suspension was given, new information has come up that we have promoted the proposal that we have made today. Then I heard the representative Sønsterud from the Workers' Party almost contemptuously and disrespectfully punished local politicians from the Workers' Party regarding the proposal of the Railway Agency for a trajectory between Eidsvoll and Minnesund. It is the Workers' Party that has expressed itself most strongly in this matter – with the support of the Right – and the proposal of the Railway Agency has become quite different from what it was when the Municipal Council gave its approval in 2009. So if the Workers' Party does not respect local democracy, I hope at least that the Council of State and the Central Party have it.
ParlaMint-NO_2011-12-16.ana.ud856e708	The representative Arne Sortevik has spoken twice in the past and is given the floor to a brief comment, limited to 1 minute.
ParlaMint-NO_2011-12-16.ana.ud856e711	It was set up in the Committee a week or so ago. In the comments, the Right expresses a certain skepticism, a certain concern, but it is only after release that the Right has become seriously concerned. Take responsibility, is my call – supported proposals by the Progress Party. Quality assurance has been introduced to reduce project uncertainties and risks, and the background was, inter alia, heavy exceedances on large, heavy transport projects. Now we have the State Council's guarantee that this project will not crack. We have the State Council's guarantee that the costs of this project will not crack. The government is now building a low-speed train line. The belief in their own high-speed project was demonstrated – it cannot be very large. We share that scepticism, but we want a modern version of today's railway, so that newly purchased trains can at least run at the speed they're supposed to be able to drive.
ParlaMint-NO_2011-12-16.ana.ud856e718	Let me first of all say to Arne Sortevik that rematch was probably not the right expression for the Progress Party's announcement of the view on lightning today. But the rematch is linked to the following: the Hausten 2008 came after extensive processes closer to clarifications regarding where the line was going. In spring 2009, this was finally determined and followed up in the national transport plan, and it was confirmed by the Stortinget in spring 2009. This means that objections were assessed in advance. That means that claims were investigated. When I used the expression "a turn of events", it was related to some of the same claims that have now appeared again, and they were already evaluated a few years ago. I am so happy because today, after these two years, we are in a different situation than we were in 2009. The punctuality on the railway is much better, we're planning for intercity, we're about to get one out of the way, and there are more and more people taking the train. So to camp. ‘Leire’ is a familiar cover for those who work on this trail along Mjøsa, where we have been in the planning process, and where we are involved, with professionals. Cost estimate: I have nothing new to report about it today, but I would like to refer to page 3 of the proposal that both makes sense for the proposal, which underlines that it is in line with the external quality assurance proposal, and that also leads to what we call an extended quality assurance of the project. At high speed: what has been presented so far in the highcolor aspect ratio is a possible tracer. Then the costs come, then the political processes come, and then any proposals come in the big news in 2013. That's why I think of it this way. Yes, it is possible to choose today. Should we postpone this project further? That's what's going on. It's going to start over, but it's a little bit forward. And I'm glad that the plural does not support that proposal.
ParlaMint-NO_2011-12-16.ana.ud856e733	It was the representative of Kielland Asmyhr who made me speak. He may hardly have read our comments in the matter. We have expressed great concern about this project, unfortunately, because we have also said in the case that we are very pleased that we have finally come to a project in Norway, a large project, where you coordinate the railway and road. We agree with the government that this is a very good step forward. But we have expressed concern as a result of everything that has come up in the wake of the handling of the matter. The information that came out after the release – I will clarify once again: after the release – was what led us to throw this matter into a different understanding, namely that we should have taken a little better time than we did in the committee. The Council of State is standing here saying that this matter has been worked on for ten years, so now there was no room for more postponement! At least the Storting has not worked on the matter for ten years. We have had an express handling of this matter after we got it from the government – too quickly, clearly. That's what's wrong with this case. We should have given ourselves a little bit better time. That's what I said in my post when we started the meeting today, that we should have done. At least we had felt quite confident that we had got the government's view of all the issues that have been raised and that would give us a safe and good decision. But it has been rejected by the majority. That is why we are promoting an alternative proposal, in which we are asking the government to look through this after a decision has been taken. Then again to the Progress Party. I have to say that I'm being given a little bit. Here are several of the speakers of the Progress Party with great bravour and criticise the Right that we did not use the majority in the Committee to stop the matter. The same gentlemen stand on this pulpit and criticize us for wanting it today, eight days later. Where in the world is the logic of such thinking? If there's one thing we're going to take with us further from the consideration of this matter, it's that the committee has to give itself better time in matters that come from the government, and don't let itself be pushed to such quick treatment.
ParlaMint-NO_2011-12-16.ana.ud856e747	The entries from the Halleraker representative cannot be unanswered. I have been following this case for very many years, both as a county representative in Akershus and since 2005 as a staging representative from Akershus, and I have been well acquainted with a lot of, almost all, these arguments all the time. So I am surprised that a parliamentarian as experienced as Mr Halleraker does not understand the need to use the possibilities offered by the committee procedure to make the necessary proposals. I think that's weird. That is what I have allowed myself to point out when I refer to the fact that, in the Committee's observations, the Progress Party has made the necessary proposals. I think it is nice that the Right and an experienced parliamentarian like the representative Halleraker do not see it.
ParlaMint-NO_2011-12-16.ana.ud856e754	There were three questions I didn't get time for in my previous post. The one was Sonja Sjøli and the underlining of Langset. It has to be followed up. We will look closely at how we can follow up on what has been said both from her and from the committee and in several other requests in the past. So to the representative Ingerd Schou and her question no. 406. It's supposed to be black. But then let me, as she asked, also answer here from the pulpit that the cost size was 10 billion. 2008-kroner for Eidsvoll–Sørli–Hamar. It is from the Railway Agency’s original Eidsvoll-Hamar release, which was launched in 2004 and updated in 2007/2008. I Prop. 13 S, which we are dealing with today, is therefore presented a quality governance framework for Langset-Kleverud of 4.2 billion. 2011-kronor. It corresponds to a cost increase, including an increase in prices, of about 40 pst. from the Railway Agency's original statement. The question is, why? It is precisely because one has taken care of local requests that have come, taking into account both increased tunnel section and more stringent requirements for escape and safety in tunnels. Then there are no updated cost estimates for the whole route Eidsvoll–Sørli at this time. This is because the costs and concept of the railway works are to be assessed more closely in their ongoing work on the IC area concept selection. The costs will depend on the tunnel section, route, speed standard and the need for, not least, remedial measures on different sections of the road. I promise that it will be well distributed in the next national transport plan, for 2014-2023. So let me say in the end: now the first offer is bright, with deadline 5 February. That means there's a lot of joy waiting here. But then, of course, this project is followed closely, even when costs are involved. On page 3 of the proposal, the quality assurance indicator points to, and the Ministry will continue to improve the management of the project in order to limit the uncertainty of the project.
ParlaMint-NO_2011-12-16.ana.ud856e765	It is not from a new date that concerns have been expressed by the Right for the project. In the setting, it is said in a note where the Right is also included: ‘This majority has been signalled that additional billion-class cost increases could occur in the foundation of the coastal zone and will at the same time indicate that the preferred railway station parcels require a future repair of 3 billion. crowns of the bottleneck between Eidsvoll and Venjar.» It is such that almost all of the information we had received when this case was being dealt with. We also see that the matter has been going on for ten years, and the right here in this room claims that it is the development of the last eight days that is crucial for the choice we are going to make. Actually, I don't believe it. What the right is doing is supporting an eastern trajectory in its comments, while at the same time supporting the government's proposal. There are limits to how long self-appointed sanctuaries can last in politics. Sometimes it is also necessary to decide.
ParlaMint-NO_2011-12-16.ana.ud856e777	To the representative Halleraker: I am somewhat surprised when I think I hear some undertones of criticism of the treatment in the committee, especially with regard to the timetable. It was said that the matter was dealt with at express speed. I only have two years of experience from the committee. Halleraker has much longer experience than I have. But I want to say that from what I've learned over the two years I've been there, it was well added here to a quite normal schedule. In the course of the case, no one at any time asked for a better time. It was only yesterday afternoon – yesterday evening – long after the matter was given, that I was told about the postponement proposal that the Right had been promoted here earlier today, together with, among others. Christian People's Party. I just want to stress that this case has not been subjected to any quick-working way of dealing with a matter. So a little visit to Sonja Sjouli: I can reassure Sonja Sjouli that I am in favour of local democracy. But it surprises me a little bit in these kinds of cases, because the right is really among those who want us to deal with the matter a lot faster, that the state should run more of the processes, and is very excited that we are going down in all the processes where the local is involved. I think that was also a bit surprising in the debate.
ParlaMint-NO_2011-12-16.ana.ud856e787	Once again, we're shown how far there is between the opposition parties on the transport area. I want to say that here we see an opposition that is not just disagreeable with itself, but in total resolution. We have an opposition party that believes that they are informed about the matter, and we have another opposition party that believes that there is a total lack of knowledge about the matter. There is a complete disagreement about the solution. We have an opposition party, the Progress Party, which is so powerful that here you want to go for an alternative that we don't know the consequences of adopting, don't know the extent and don't know what will cost, and we have another opposition party, the Right, that suffers from total refusal of decision at the opposite end, and that wants a postponement. I have to agree with Bård Hoksrud on one point. For me, it seems more and more, as I have followed the debate, as if right here is trying to secure a back cover, because it is primarily about the internal disagreement with yourself. I have to say that after listening to the representatives of Sjøli, Gundersen and Schou, I am becoming more and more confused as to what the Right really means in this matter, what kind of trasé elections do you want, what kind of process do you want, and how do you care for local democracy? I experience it so that all the parties in this room, not least the Right, have demanded that we have a faster progress in the field of transport. That means that we should listen to local democracy, but at the end of the day, there are some people who have to make decisions, and so we are sitting in this room. Yes, we have to listen to local democracy, but in things like this how so many are involved, there will often be local disagreement about the decisions we end up with. Then it's about standing by the decisions we're making, and not, as I feel right is doing here, sending an incredible number of different signals and trying to make sure you say you're going to have a postponement. If the Stortinge were to adopt the proposal presented today by the Right, which I believe is actually a postponement proposal, it would have major consequences. This will not cause the matter to come back to the committee and we can examine it during the spring. This will mean that we have to re-take the whole process. As the Minister explained, tenders are already out. It will lead to a year's postponement of the case. We do not want that. I believe that the matter has been thoroughly clarified and that we can therefore take the decision today.
ParlaMint-NO_2011-12-16.ana.ud856e800	The representative Ingerd Schou has had the word twice before and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2011-12-16.ana.ud856e803	I record that the government party SV disagrees with the rest of the government about the solutions, and that you have to go for an alternative you really don't want to go for. So that's the way the challenges lie in the government parties as well. I thank the Council of State for the answer. It came in at 0 p.m. 10.38, while I was standing here last, so we haven't pulled over to look at it, so I don't get it on the phone. It was okay that the Council of State actually presented it, well overtime in relation to what is the deadline for replying. Today's industry today shows that Deutsche Bahn's proposal for an eastern trasé is cheaper than the solution that the government will now implement. It shows a report that the Railway Agency kept secret until yesterday. I think transparency would have been wise in this matter, and I remind you that an overall opposition has asked for input from external actors in this matter. It is because we experience that, along the way in the case, but also in retrospect, information we have not known about has been information.
ParlaMint-NO_2011-12-16.ana.ud856e812	The representative Øyvind Halleraker has spoken twice earlier and gets the word for a short remark, limited to 1 minute.
ParlaMint-NO_2011-12-16.ana.ud856e815	We're starting to go in for landing here. I have to say to Fredriksen that we are not postponing the matter as such – at least not as much as the Progress Party does with its proposal – but we want a more thorough assessment. To the Bear Face: I fully agree with the heart, and if we agree on that, we have come a long way. We want faster progress through management in large-scale transport. Let's work out solutions together so that we can do it. Then she raises questions about what signal the Right sends from her many representatives who have had the word. Let me clarify what's the Right Main signal, there's no doubt about it. We are not behind the government's treatment of this matter, after what has come to light, and we have tried to do so in two different ways by getting more knowledge. That's why we vote the way we do it.
ParlaMint-NO_2011-12-16.ana.ud856e824	The representative Jan-Henrik Fredriksen has spoken twice in the past and is given the floor to a brief comment, limited to 1 minute.
ParlaMint-NO_2011-12-16.ana.ud856e827	Yes, in fact, our proposal will delay the railway for some time. Nor is it the case that you do not have investigations in the area. You have. But the Right's proposal will postpone the whole case, also E6. When the representative Schou is up and says that this is new information, it is actually that the Committee has been fully aware – it is also in the form of a note – that it would be more reasonable to be able to expand the eastern route with reference to Deutsche Bahn's proposal. This is not something that has emerged in the debate today. That's something the committee has known about when it was being discussed.
ParlaMint-NO_2011-12-16.ana.ud856e832	Several have not asked for the floor on case No. 1st@item: inlistbox [[Fotation, see page 1821]]
ParlaMint-NO_2011-12-16.ana.ud856e848	At the request of the Committee on Transport and Communications, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to a member of the Government. Furthermore, the President will propose the possibility of a replacement of lines of up to three lines with replies after contributions by the member of the Government within the allocated speaking time. Furthermore, it is proposed that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2011-12-16.ana.ud856e857	North-Jearen is a strong growth area with enormous traffic challenges because of its very high image density. Prognosis and various projects under planning or preparation mean that the growth in passenger car traffic seems to increase considerably more. Allerie no there are large cows in some areas on the Sandnes–Stavanger motorway. The cars run for 5 km per hour on a road with a speed limit of 90 km per hour. This applies both in the Forus area and in the Stavanger area. Politicians in the Stavanger area have shown little willingness to do so through restrictive measures. It may have its reasons, but one of the main conclusions of the great majority of the Stortinget in this case is that one wants Stavanger to fill up, like Trondheim, by applying for money in the form of reward for increased public transport, as long as one then does something to reduce car traffic in the area. That says all games, except for the Advance Party, in the option. It is a concrete follow-up to the climate agreement, on which all the parties have signed, except for the Progress Party. So here, right and all the other parties, including SV, are clear that now the North-Jear must join forces with the leader of the county in the head, along with the local spokesmen, says the committee. Then it's clear that if one gets to this, it'll have great benefits when it's related to possible follow-up versus the climate deal. One will also be able to make this quite specific in relation to the coming climate communication. Then it's very important to clarify as the government has now done, that one should take two thirds of the emissions in Norway. But there are also reasons for health policy to reduce car traffic. Ein knows that in Bergen e.g. is the big problem when it's winter. It's also in Stavanger, not least in the Kannik area, where there's actually a great health hazard when it's called – people get sick from going out in traffic. So here it's absolutely necessary to make local grip. SV has been orbiting this area since 1993. It has been distributed and is still being distributed, and there was a broad majority that eventually, at the beginning of the 21st century, concluded that this was a good idea. Then the Workers' Party began to wing locally. I've often been on the late state spokesman Tom Tvedt's office because I wanted a bigger activity, kneading up to the town track on the North Jären, from the county council's side. I was constantly in contact with the county manager and the manager of the relationship to ensure that this would be followed up in a proper way. Then it turns out – and I have to say disappoints SV – that three days before the election in the fall, the Labour Party turned with the County Spokesman at the head of the city track question. They'd figure out this busway system. When it comes to this point, a joint committee, minus the Progress Party, says that one hopes that one from the North Year's side will now come back when it comes to the progress of this, so that one gets a clarification of what is now the will of the North Year. A joint committee further states that the State is of course willing to contribute when it comes to such urban packages, including urban-rail-related packages. This has been illustrated by the government of the Red-Green Government in the draft budget by the fact that one has allowed six million. NOK once and SEK 0.5 million. kr for the planning of the city track on the North Jären. The majority, minus the Progress Party, are quite clear that one goes in to extend this package by five years, but one has been clear that North-Jear has to step up in terms of the challenges you face in the traffic sector, and make sure that there are fewer cars on the roads, and that more travel collectively. This can help the state to ensure that the North-Jear is properly searched in relation to what is agreed in the climate agreement.
ParlaMint-NO_2011-12-16.ana.ud856e874	I'm tempted to say as an entrance here that it's rather that the government should step up a little in terms of contributing to the public transport in the big cities. This case concerns the extension of an additional transport tax scheme for Northern Ireland. The government is obvious for such extra taxes — and an extension of such extra taxes — and the Right and Christian People's Party is obviously also for such extra taxes and for the extension of the collection of such extra taxes. It's the Progress Party against it. For the inhabitants of this area, it will total over 5 billion between 1998 and 2015. 2011-kronor. We in the Progress Party are working to reduce, not increase, taxes. The Progress Party believes that the State should finance road construction. We believe that oil money should be used for infrastructure, road and rail. The Progress Party is opposed to regional bombings to finance transport systems involving both state, county and municipal projects and actions. We believe that the State should – and should – take a much greater responsibility for a comprehensive transport system in the largest cities. The Stavanger region is one of these urban areas. I refer to the proposal of the Advance Party in the matter. We reject extended toll use, and we want a separate case on the implementation of national road projects in the area based on state funding. Otherwise, I refer you to our comments on the matter. However, I would like to say a few words about the so-called reward scheme that the government is using to allocate state collective funds. The Party wishes State non-discrimination schemes based on transport needs, not based on specific transport mode and restriction requirements. In our alternative proposal for the 2012 state budget, we added 500 million. SEK for the extra government purchase of public transport services in Oslo, Bergen, Stavanger and Trondheim. For Stavanger-Sandnes this would be $65 billion. kr annually. Better solutions are needed for public transport in metropolitan areas. The need for public transport must be met both through road-based and rail-based solutions. In particular, we would point out that the so-called urban railways, modern trams, which cannot be connected to a national railway network, in the opinion of the Progress Party, are a less suitable collective solution. In the largest Norwegian cities, modern, safe and environmentally friendly roads are still needed to ensure good transport solutions, including bus-based public transport. The Progress Party believes that the State must take far more responsibility for the financing of public transport in the major cities. Today, the regime of the government receives special treatment from Oslo through extensive State purchases of passenger transport by rail, while the other major cities, which have much less developed railways, receive similar lower government purchases of public transport. The Party considers that the purchase by the State of passenger transport services in the largest cities must be carried out independently of the means of transport. Then I've saved some time. After the long debate we had in the first case, it might be good to bring you on a Friday.
