ParlaMint-NO_2011-11-23.ana.ud1456e26	The representative Anne Tingelstad Wøien, who has been licensed, has once again taken the seat.
ParlaMint-NO_2011-11-23.ana.ud1456e401	It sounds like Skei Grande thinks the government will hurt the research. Of course, that's not the case. The government wants research, and the government wants to secure research with the daring grip we take – yes, that arouses discussion, because it's something else than what we've done before. But the reason why we do that is because we want to secure the research. In that case, it is better to rely on a fixed system of basic research on infrastructure to be established by important decisions in the Stortinget. In any case, the amounts entered into a research fund must be adopted in accordance with the model that Trine Skei Grande clearly wants to continue. But I have noticed that the opposition parties have also recognised that the fund structure was not good enough to ensure the long-termity of research, and that the opposition has even made a joint proposal on how to do this. We'll get back to that. In the case of the 3 pst. goal, it's been a long time since we stopped governing after that. It'll be like ruling after something that goes up and down all the time, and we can't be dependent on a gross domestic product that keeps changing. So we're going to go after other targets.
ParlaMint-NO_2011-11-23.ana.ud1456e412	The President would point out that it is at least important that one governs after the goal that the post is finished when the clock shows zero. Four follow-up questions are raised – first Borghild Tenden.
ParlaMint-NO_2011-11-23.ana.ud1456e417	It's nice to have the Council of State standing. My question is specifically about the gift-enhancing scheme mentioned by the representative Skei Grande. Governments have stated that it is uncertain whether the gift-enhancing scheme will help to increase the gifts of private donors to research. I don't quite understand this. Since 2006, private individuals, enterprises and foundations have given about 10 % of the total population. Bn. 1,3 kr for research by various public institutions, and the gifts have led to a peak of 300 million. kr – so this scheme works. My question to the Council of State must be: Is it only ideological reasons — the private entry — that make the Council of State put an end to this system?
ParlaMint-NO_2011-11-23.ana.ud1456e426	Of course, these are not ideological reasons. We think this has been an exciting measure, but it is true that it has not worked as intended. The most important reason why this is proposed for withdrawal from the government budget next year is the economic situation in which the government is located. Under tight framework conditions, from the research side, we have prioritised Free Project Support and other important research actions rather than continuing the gift-enhancing scheme. I would like to admit that it can be discussed how successful it is and how well it has taken, but there are clear indications that it could have made better. But in the tight situation we are in, we have therefore chosen to give priority to important research activities, such as: One hundred million. kr extra for Free project support. This is something the research community has asked for and wanted, and we have always had an imbalance between what is the framework research and the free project support – so here we have done a clear priority.
ParlaMint-NO_2011-11-23.ana.ud1456e433	Tord Lien – for follow-up questions.
ParlaMint-NO_2011-11-23.ana.ud1456e437	It's always nice to discuss how much money you spend. I agree more with the representative of the Skei Grande than with the Council of State. The Research Council has just looked at how to spend money now, and I will allow myself to mention, among other things. the following: In the case of physiology, Norway could have played a more dominant role if small and geographically separated groups were merged. In the case of clinical research: the formation of major research groups has been a success factor, but there is still a need for increased research cooperation and more competition for funding at national level. In the case of psychology, the common denominator for weak environments is that they are small, with little or no cooperation with other groups. In terms of health in general: a greater proportion of funding should have been made at national level, and there should have been reductions in the thematic research programmes. I am not going to say that those who have made this have read the alternative budget of the Progress Party. But in what way will the Council of State follow this up, which can ensure better use of research funds in the future?
ParlaMint-NO_2011-11-23.ana.ud1456e454	These are evaluations that are very useful in providing the necessary guidance signals for research. I fully agree with the representative that we have some challenges with regard to perhaps some of the small and vulnerable environments — including some of the research fields that are young and new and that have not established themselves as strongly as for example. Nursing science, compared to some other medical research. My grip on this is that I have started important processes for collaboration, division of labour and professional concentration, including in the field of research. Here it is necessary to cooperate more. At the same time, we have expanded the competitive area called Free Project Support, so we try to strike a good balance between both inspiring competition for the free project resources and stimulating cooperation and division of labour where it is necessary to strengthen the professional base. I believe in such processes. I think that is the way we in Norway can promote good research.
ParlaMint-NO_2011-11-23.ana.ud1456e461	Henning Warloe – for follow-up questions.
ParlaMint-NO_2011-11-23.ana.ud1456e464	I want to go back to the gift enhancement system. If the budgets are tight, it must be great that others will contribute. So we have had private donors through this scheme that have contributed 1.3 billion. kr in the last five years for important research. One of the most advanced areas has been cancer research. Now these scientists are at risk of losing the funds they've been given in recent years. The donors may actually disappear when the state acts the way the state does, saying that this is not so important. So what will the Minister of Research do with the researchers who can now stand without money?
ParlaMint-NO_2011-11-23.ana.ud1456e473	It is tempting to quote one of the donors as when he was confronted with the government wanting to remove this gift enhancement scheme, said the following: then we just have to give more. There is absolutely no notice to the donors that they should not continue to give. It's basic research, relatively narrow basic research, that's what this system is about. Of course, we want people to give. It was just to be lacking that we don't inspire and invite people with money to spend their money on research. But there are two important reasons why we have this proposal: one is the consideration of tight budgets, a tightness that means that research must also be involved and take part in it. That's 60 million. kr, so it's not big in a 25-billion research budget. kr. The second is that we're actually not sure if the scheme has taken place, because here it's about an incentive that goes to the recipient of the gift, not to the donor.
ParlaMint-NO_2011-11-23.ana.ud1456e480	Dagrun Eriksen - to the last follow-up question.
ParlaMint-NO_2011-11-23.ana.ud1456e483	When the Council of State Lilletun launched the Research Fund, it was because it was a strong experience that it was incredibly difficult to prioritize research in the annual budgets when it was to be set up against kindergarten, school and nursing homes. After that fund came, the Ministry of Finance was frustrated because there was money that was not received, that was not given to the sewer and that was not part of the common pot in the same way. Since then, the Ministry of Finance has repeatedly tried to change the protection of the research money that Lilletun received at the time. How does the Council of State think it is possible in times of recession, in difficult economic times, to give priority to research when the protection provided by the Fund is no longer available?
ParlaMint-NO_2011-11-23.ana.ud1456e490	I can assure you that the establishment of the fund in its time also created great enthusiasm in all political parties, including my party. We've been for that arrangement, and it's done a lot of good with research. But everyone knew that there was an inherent weakness in the one that would arise after ten years, based on some of the most important and largest deposits. We've had deposits all the time at different interest rates, but here you depended on how high the interest rate was when you were going to convert these loans. It's a complicated mechanism, but the sum total: The most important thing for us was to secure research as well as Lilletun and the government at the time secured the research through the fund. This is about approx. 17 pst. of all research. So it's a small part, but it's an important part. It's basic, long-term research, and it's funding research infrastructure. We have now secured this through political decisions in Stortinget. I do not know if the representative Eriksen has any confidence that the political decisions of the Stortinget have hold. But I trust it.
ParlaMint-NO_2011-11-23.ana.ud1456e497	Then we go to the next main question. It's going to be today's last main question.
ParlaMint-NO_2011-11-23.ana.ud1456e500	The last ones are going to be the first ones, I guess that's called. I want to go back to the Minister of Research and ask her a question. We know that it is important for a country to invest in new knowledge. Even if things are going well today, we need new knowledge to meet the challenges tomorrow. We also see that other countries with major economic problems are able to invest in research. The British Finance Minister said when he put out a budget with cuts across almost the whole line, that it was important to protect the research budget, because there were investments that were going to get the country out of the crisis. Most countries have a 3pst. target, i.e. at 3 pst. of gross domestic product shall be used to develop new knowledge. Norway also has this objective. The government's Soria Moria statement of 2005 said that this goal was to be achieved in 2010, but that was not the case. The 2009 Soria Moria II Declaration states that the objective is firm, but it does not say when it is to be achieved. For the time being, Norway is the worst in the Nordic region. While all the other Nordic countries have achieved their targets, Norway has not done so. We're actually just a little over halfway to the goal. So my question to the Council of State becomes whether she really has faith in this goal, for her own Secretary of State has actually written a few places that it is both a pointless goal and an idiotic goal. Does the Council of State agree with this, or does she still hold on to this goal?
ParlaMint-NO_2011-11-23.ana.ud1456e513	First of all, I want to say that the goal is divided into two – two pst. of the 3 pst. is the business to provide, and 1 pst. the State shall provide for it. With us, there's a lot to do for business, to say it like that. That's the main reason we're different from the other countries. What we're all saying about this goal is that it's very hard to control. Our gross domestic product is not entirely like the gross domestic product of other countries. When, for example: is war in the world, it's bad for research because then the percentage is low. When there is a financial crisis, it is good for research because then you get a low GDP and thus a high research share. What we're doing is directing research for research policy objectives, and then we've actually gotten quite a lot. We've had a growth in research since 2005 at 50 pst. And what has this done? Well, there has been a better knowledge of climate, an effort for climate research, an increased support for what we call curiosity-driven research, a great deal of provision for scientific equipment, and it has gone to the foundation of our universities and colleges in order to provide students with the best education in all disciplines and fields. So this research benefits society, and it's important for the country's research efforts. I believe that the vast majority of countries now with the 3 p.m. target – which we still have quite rightly – have gone beyond an annual celebration of that target. We have it as a long-term goal, but it's not the way we run the research. There are many other ways to measure research efforts that are more important to us.
ParlaMint-NO_2011-11-23.ana.ud1456e525	It may be that many other countries do not have to govern when they are going to achieve this goal, because they have actually achieved the goal already. However, the government has obviously not intended Norway to do so. I think I can almost say that if the government sits for 10–15 years, it will still not achieve the goal – at least not at the rate that the research budgets have reached. Right now there's no growth, right now it's still standing. It's been quiet this year, and it'll stand still until next year, if we look at the real growth. I think the Council of State should be honest when she talks about a budget having increased by 50 pst. in a few years, and say that the real growth is about. half that the real growth in all budgets has been at that level, at least, and that research has thus lost ground in government budgets. The Council of State for Research has not been a budget winner, but a budget paper in the last few years – so she could be so honest that she admits it. So, when business research is the big challenge, what does the government do to boost business research?
ParlaMint-NO_2011-11-23.ana.ud1456e534	Research is one of the winners of the government. Then I fully agree that real growth is at 27 p.m., but it is also a significantly higher real growth than many other areas have received in the budgets. So there's no doubt that we've reached a high level of research. We keep that level, but we're actually concerned about what we're researching, what the quality of research is, and that our research is also an important contribution to international research. The most important thing we can do to achieve the 3pst. goal is that the government makes sure that the state's share is one percent that's our share. We're pretty close. And then we have some way to go about the business 2 pst. And then there's a lot of ways to stimulate it. I choose to believe that one thing is the economic incentives, but that business itself realizes the importance of acquiring new knowledge in order to be more offensive in a market with demanding customers. I think that Warloe and I can agree that maybe there should have been more thinking about this from the business side.
ParlaMint-NO_2011-11-23.ana.ud1456e541	Two follow-up questions are raised – first the representative Svein Harberg.
ParlaMint-NO_2011-11-23.ana.ud1456e544	Governments were concerned about the need to increase the contribution from non-public sources. This was also a subject for debate in the Research Council yesterday, and I believe that to the extent that it agrees. When one then wants people other than the public to increase their efforts, I'm a little surprised when the Council of State starts talking about the research as the winner of the state budget. So now, a loss of long-termity has been made by shutting down the Research Fund – one that will take it over the annual budget – and the gift-enhancing mechanism has been removed. How does the Council of State think that, in order to use her own words, these measures inspire and stimulate business, organisations and private individuals to step up their efforts?
ParlaMint-NO_2011-11-23.ana.ud1456e551	As far as I have registered, the NHO has applauded our conversion of the Research Fund. I also thought that the NHO – which I thought represented business – understood how these mechanisms worked, and that they actually realized that we were here facing a situation where it was absolutely necessary to do something, just to ensure the long-termity of research. That's what the government is doing. We ensure the long-termity of research, which must also be a signal for business. But I share the representative's concern that business is not researching enough. I don't think, as I said, that it only has financial arrangements to do, we have the TaxFUNN, we have a nutrition doctorate, and we have a public effort that gives a good dragon help, also for business. But I should have liked to see that we had made business research even more, so let's then maybe form a small alliance to be able to motivate and stimulate business for more research. There's a need!
ParlaMint-NO_2011-11-23.ana.ud1456e556	Tord Lien – to today's last follow-up question.
ParlaMint-NO_2011-11-23.ana.ud1456e559	We might have done more research on social economy, and at least we would have been able to agree on whether or not research is increasing. But if the new approach to the Council of State continues to increase the research that has now been done on the new system, we will never reach the 3pst target, as far as I can see. So the Council of State says that the 3 pst. goal is to be achieved primarily by strengthening industry's involvement in research. Of course, it is important, and therefore it is very strange to remove the gift-enhancing scheme. I don't understand why you do that either. Both the Council of State and various other politicians sometimes say that it is to save money, release money for other things, and then they say at other times that it does not work – without evaluating the scheme or considering extending it to, for example. The university hospitals, which might have thought to be involved. So what really makes you remove the gift enhancement scheme? And what measures are more targeted to make business more researchable?
ParlaMint-NO_2011-11-23.ana.ud1456e568	There are many measures that stimulate business to research. But I think, as I said, the most important measure is that business itself sees the importance of research, acquire new knowledge to improve the environmentally friendly production of the different products, acquire knowledge to meet the climate challenges and to meet more demanding customers both in Norway and in the rest of the world. We know that there is a need for knowledge, and we also know that Norwegian businesses are actually doing a lot of research, but that many of them are not included in these statistics as the 3 pst. goal is about. Can we not now agree that the most important thing for us is that we are making an effort, that the state is making an effort, and that the state's efforts are stimulating, hopefully, the business community to also make an effort? Then we have an important job to do with showing the world how necessary it is with more knowledge in the vitals.
ParlaMint-NO_2011-11-23.ana.ud1456e575	So the oral question procedure is over.
ParlaMint-NO_2011-11-23.ana.ud1456e587	There will be one change in the set-up of the question list, and the President will show in that context the overview that has been distributed in the seats of the representatives in the Chamber. The proposed amendment to today’s Question Time is proposed. – It shall be deemed to have been adopted. The change was as follows: Question 6, from the representative Per Roar Bredvold to the Minister for Agriculture, must be postponed until the next Question Time, when the Council of State has left.
ParlaMint-NO_2011-11-23.ana.ud1456e596	The first question is from the representative of Øyvind Korsberg to the Minister of Justice. This is the first time the Minister of Justice has met with the constitutional and parliamentary responsibility, so we welcome the new Minister of Justice to cooperate with the Stortinget.
ParlaMint-NO_2011-11-23.ana.ud1456e603	Let me also take the opportunity to congratulate the Minister of Justice and to congratulate her on the job and the challenges she faces. So to the question: ‘The undersigned refers to Nordlys on 10 November, where it appears that a police lawyer ends as a result of major bureaucracy in the police sector. Furthermore, reference is made to the need for increased access to police posts in visible operational service. What concrete action will the Council of State take to ensure less bureaucracy in the police sector, thereby increasing the proportion of annual work used in visible operational service?’
ParlaMint-NO_2011-11-23.ana.ud1456e619	The question has been referred to the national lawyer as in his response, inter alia: pronunciation: ‘We have, as we know, a two-track system with regard to the management of Norwegian police, among others. based on guarantees of legal certainty and an explicit wish – and long tradition of the political independence of criminal proceedings in individual cases. According to the national lawyer’s assessment, this system does not lead to an increase in red tape that shifts operational resources to administration, rather to the opposite. Proximity — also organisational — between legal and investigators facilitates effective and good task-solving.’ [[the prosecution authority;]] The Ministry of Justice has started work such as: shall review the tasks and organisation of the police — the performance reform — and the further development of the police and officers’ seat. The purpose of the reform is to make more efficient and targeted use of the resources available at all times. The reform is anchored in the government’s political platform for 2009–2013. The reform is widespread and will contribute to the reduction of crime, increased clarification and a close and strong police force. The government will maintain a decentralised police structure and have less administration to get a more visible and accessible police force. The work on the performance reform will include issues such as governance, management, tasks, technology and methodology, competence and learning. The district structure of the establishment will be reviewed, with particular emphasis on police first line service and the relationship with local communities and the public. These measures will be discussed in the main Communication on the further development of the Police and Lenavian Setaten, which is planned to be transmitted to the Stortinget in the autumn of 2012. It is an overall objective of the government to ensure that the Police and the National Assembly has sufficient staff and competence for the tasks to be carried out. In 2012, the figure is set at 12.2 billion. kr to the police and the prosecution authority. In the period 2005-2011, the government has thus increased the appropriations for police and prosecution by 4 billion. kr, 48,8 pst. I Prop. 1 S for 2012 — i.e. the budget proposal for next year — proposes an increase in the budget of 696 million. kr. In 2008, the police directorate presented the police report against 2020 – The need for manpower and competence in the police. The police directorate and police organisations agreed to recommend that police staff be increased by 2 700 police officers and 1 000 civilian posts up to 2020 in order to achieve the target of two police officers per 1 000 inhabitants by 2020. So far, the government has followed the recommendations of the police directorate's report. However, I cannot guarantee that there will be two officials per 1000 inhabitants by 2020. This will include, inter alia: depends on the annual proposals for the State budget and their impact on 2020.
ParlaMint-NO_2011-11-23.ana.ud1456e635	I thank the Council of State for the answer. It is good to know that there are things going on in the form of a reform. Since I asked the question, this issue has definitely been raised in connection with the National Audit Office's report, which is critical of the resources available to the police, and how little they can get out of these resources. In addition, there was a big headline in the evening post yesterday, where the head of the Justice Committee pointed out the same thing, that too little of the resources went to the police. This is not a new issue for the justice sector and the Minister of Justice. There is a reform going on, but I will assume that there are clearly parts that you can already do something about to reduce red tape. Then my question is: will the Council of State intervene and get to Stortinget at an early stage with some parts in order to implement a smaller bureaucracy?
ParlaMint-NO_2011-11-23.ana.ud1456e644	This is of course a matter which concerns me as Minister of Justice. First of all, I was committed to making it clear how the division of labour is between law enforcement and the police, and that we have good and effective cooperation arrangements here. The second is of course resources and effective use of them in the police. The thorough analysis that is now being carried out in the context of the performance reform, I think, will provide a good basis for a good discussion also in this Chamber on the fight against crime, the resources and whether we have an effective use of them.
ParlaMint-NO_2011-11-23.ana.ud1456e651	I thank you for your answer. I am well aware of the division of labour and that this is subject to assessments in each budget. But what is also quite clear is, among other things, If you have more police in the streets, you get results. It showed the weekend two weeks ago in Oslo, when you had more visible police. Crime went down considerably. So here it might be more urgent than to sit and wait for a reform that comes in 2012. It is already possible to get started and take action, for some of those who have joined the police have stated as a reason for them to stop, that it is a major bureaucracy. Then my question to the Council of State is, how do you take care of the feedback that comes from inside the police? Those who end up in the police state that there is too much bureaucracy. How are they being heard in this matter?
ParlaMint-NO_2011-11-23.ana.ud1456e658	The picture of crime is complex — and so are the challenges. This is some of the background to the extensive work that is now being done in advance of the message that we are going to present to the Stortinget. We also have close and good cooperation, of course, with the civil servants' organisations on both whole and single solutions. The effort in Oslo we know has been reinforced by the police this week before Christmas. We know that important work is also being done in the police council in the city. My challenge both to the Police Directorate and to the police districts is how we can ensure effective learning transfer, and also how we can apply new technologies.
ParlaMint-NO_2011-11-23.ana.ud1456e669	I would also like to congratulate the Council of State on a new job. She's probably going to do a good job – as her predecessor: ‘Haugaland and Sunnhordland police districts have been among the country’s worst police coverage for a long time, with a number of less than 1.1 posts per 1000 inhabitants. This undermines the security of the citizens of the entire police district and reduces the police's ability to do the job they're going to do for society. Will the Council of State change the allocation fraction so that the police district can have posts at least in line with the average for the police districts?’
ParlaMint-NO_2011-11-23.ana.ud1456e678	Over the period 2005–2011, the government increased the appropriations for police and prosecution from 8.2 billion. NOK 12,2 billion, which I have already mentioned in a previous question. This is a gain of 4 billion. Nominal kr. The reinforcement carried out during the period has also benefited Haugaland and Sunnhordland police districts. In the same period, the budget for the district has been strengthened – after what I have been informed – by 35,2 pst. On the basis of today's management system, it is my job as Minister of Justice to provide the police with a budget, while the Police Directorate is the one who disposes and distributes the funds to the police districts. Police districts receive a framework appropriation to cover all expenditure, such as salaries, operations, premises and investments. In each police district, it is the police chief’s responsibility as a result to ensure a balanced disposal of allocated funds, which takes care of both key priorities and the needs of the local population for police services. This also includes a responsibility for establishing an annual work framework. Good allocation between resources and tasks is a prerequisite for good use of resources. Today’s resource allocation model relies on a number of criteria related to police response and where crime prevention and security represent the main areas. Before the model was introduced, it was sent to all police departments for consultation. There was broad agreement on the model, on the criteria selected and on the weighting of the criteria. At the same time, several districts point to differences in resource allocation between their own and other police districts. It is therefore decided, as part of the performance reform, that the model should be reviewed. Since parts of the structure of the model are linked to the police district structure, a full revision of the model will only take place after a decision on any new police district structure has been taken.
ParlaMint-NO_2011-11-23.ana.ud1456e689	I just want to advise the Council of State to have a different approach to the questions than what Storberget had for six years, namely, how much money has been allocated in the last few years. The Stortinget has now brought it. The point is how to prioritize the money that is granted at all times. It is not often the police officers criticise the budgets that have been fairly loyal. But in the Haugesunds Avis last week – after a meeting that the police chief had had with the police director – the police chief goes out and says that it goes beyond preparedness, that the difference between the police districts in Norway has become too big and that he has been clear that it can no longer continue. The police district has approx. 1 200 more crimes and 25,000 more people than, for example: Trom's police district, without me criticizing the crew there. So they are about 40 fewer policemen – there are more people and larger regions. I believe that the Minister of Justice is well served to get into the model and try to influence it himself.
ParlaMint-NO_2011-11-23.ana.ud1456e698	That gives the review a good basis for doing. This is a model where one has to take over the whole, and where it is necessary for us, of course, to know that the criteria underlying it are based on both demographic and crime. This review will also provide the basis for the allocation of specific funds, as it has done in the past. If we review the model, it will of course also provide the basis for the revised allocation of funds to different districts.
ParlaMint-NO_2011-11-23.ana.ud1456e703	I fully understand that the Minister of Justice is new and has no detailed knowledge of the circumstances surrounding this. I have suggested that the job she did as Minister of Defense made her relatively limited knowledge of the Haugesund region, because there are relatively few defence facilities of importance. In this way, I believe that by taking a tour of this part of Norway, she would see the need for the new prison that is on the stairs – it is a very high priority, says the rumors in criminal custody – and also the precarious need for police personnel. So I hope that the Council of State will reasonably quickly take a trip to an area she may have been small in. It gives me the impression when, in a review with the Police Directorate, the management of the police district is informed that there is a real decline in the police budget for this police district to next year. I think the Council of State and the Ministry of Justice should take a little review of that. Because it is quite obvious that there are errors when the trend is towards less than 1.1 policemen per 1,000 inhabitants. Then it has gone too far, and then the Ministry of Justice has to take responsibility.
ParlaMint-NO_2011-11-23.ana.ud1456e710	I appreciate the nice invitations. It is obvious to me that I also consider visits to that district, just as I also have to consider other invitations that have arrived. I find it difficult to understand that an increase in the budget for Haugaland and Sunnhordland police districts between 2005 and 2011 by 35,2 pst. may be described as a decrease in the budget. But how we get the best possible use of resources, and how we get a police service as close to the public as possible, are important issues that will also be addressed in the already mentioned performance reform, and with which we will return to the Stortinget.
ParlaMint-NO_2011-11-23.ana.ud1456e721	‘On several occasions, the Minister of Finance expresses the view that investment in road and rail infrastructure is best placed above the State budget and not as independent project financing. Most of the other state infrastructure is realised through companies that cannot be governed by government's fiscal policies, but rather are part of the overall level of activity of society regulated by monetary policy. How does the Council explain this discrimination on, for example: Aerodrome and railway investments?’»
ParlaMint-NO_2011-11-23.ana.ud1456e728	It is such that over time one has chosen to finance parts of State infrastructure outside the State budget. This applies, for example: aerodromes, as stated, and the transmission system for power. In addition, many road projects are financed by tolls. A common feature of these things is that the activity is financed by user payment and not by government budget appropriations. Avinor has e.g. tax-free sales and other business activities, bringing large revenues into Avinor. Statnet finances the electrical network through network leases and user payments in that way. But there are many priority purposes that are not financed by user payments: police, justice, health and school services. If objectives are shifted out of the budget, with earmarked funding, it becomes more difficult to ensure overall and good priorities. The more one moves out of the budget, the less appropriate the government budget will also be in the management of cyclical events. An overall government budget contributes to a good overview and control of the state's activity and economy, and I think it also provides a good framework for making good policy priorities. Loan financing is in fact repayable, and if it is done in the manner the representative Halleraker wishes, it will have to be repaid by means of State budget appropriations, and could be a circumvention of the action rule and thus burden future budgets. The budgetary system does not prevent priority being given to roads and railways. This has been shown by the government through the transport plan. Nor does the budgetary system prevent a person from ensuring good progress and ensuring that good projects receive appropriations over several years. One can also do this by placing particularly important transport investments on own items in the State budget. We've opened it up on several different projects. So finally, I just want to say that the problems in many of the countries that now have significant economic challenges clearly show how important it is to keep budgetary policy in order. Sound budgetary principles and an open and comprehensive budgetary process provide a good basis for us to succeed in the years ahead in keeping order in the Norwegian economy. I believe it is important that good objectives to be financed by the State are financed through the State budget and not by different ways of circumventing the rule of action by financing it outside the State budget.
ParlaMint-NO_2011-11-23.ana.ud1456e743	I thank you for the answer and will immediately hurry to say that we fully agree that we are going to keep good order in the Norwegian economy. What I have tried to put on the search light is the discrimination that is taking place. When we know that road investment in the annual government budget is in the order of 6 billion. NOK 1 000 billion. it is not possible for road investment as such to bring the major accident over an expansive or less expansive state budget. I am concerned about whether this can be seen better as part of monetary policy, where investment competes with all other investments in society. In fact, I think that many road investments would be preferable in the future to the level of activity, for example. increasing activity in households would lead to Norwegian economy, thus governing the overall investment framework, as is the case with oil investments and power investments.
ParlaMint-NO_2011-11-23.ana.ud1456e750	There are several things you can grasp here, but there are at least two important differences. One is, as I pointed out in the answer, that for example. Avinor is financed through large user payments, albeit indirectly, including: through duty-free sales. The second is that there is enough socio-economic difference between many of the heavy investments being made in the oil sector and many of the investments that one makes, for example. in the road sector. There is a significant difference in profitability. I think the main point is that we are betting on transport, we have an opportunity to project finance over the state budget, have a long-term perspective by having multi-annual opportunities on the budget side, while I believe that the state budget is exceptionally important as an instrument also for balancing fluctuations in the economy. The more we move out of the budget, the greater the burden the other priority objectives must take – if one is to pursue such a policy.
ParlaMint-NO_2011-11-23.ana.ud1456e757	The last thing I actually agree with the Minister of Finance. I think it would have been healthy if we had got a better and stronger competition in what projects would affect the overall monetary policy of society. The problem today is that profitable investment projects in transport are not allowed to compete with other projects. So the Minister of Finance says in his first answer that we have a lot of road projects that are financed and financed through user payments. It sounds like there's a good reason to keep them partly outside. The Prime Minister stood here a few weeks ago and said that if we go into borrowing ways, we're bad out there. It seemed as if he did not have the exact same understanding as the finance minister of this. I would like a little more depth of what the Minister of Finance meant by this in his first answer.
ParlaMint-NO_2011-11-23.ana.ud1456e764	In this area, as in most other areas, the Prime Minister and the Minister of Finance are well synchronised, so to speak. Toll financing has come to be. It is a form of pre-shooting to get projects going, among other things, but it is an important part of the financing of important and heavy road projects. The point of a possible loan in addition is that the Norwegian State does not actually need to borrow for important priority purposes. The most important thing we can do then is to prioritise such investments over the state budget, and that is the full possibility within a framework of about 1000 billion. kr.
ParlaMint-NO_2011-11-23.ana.ud1456e773	The question is as follows: ‘Of the 15 fatalities in traffic in October 2011, two are in Hordaland. Until this year, Hordaland is also very clearly represented in the statistics on fatal accidents with 16 deaths of a total of 147. Overall, the number of fatal accidents is clearly decreasing, but unfortunately not Hordaland. Much more of the road network is now a municipal responsibility. However, I assume that the government and the Council of State take responsibility for road safety on both national and county roads, and that there is a special focus on counties with many fatal accidents. How?’
ParlaMint-NO_2011-11-23.ana.ud1456e782	In recent years there has been a clear reduction in the number of people killed and seriously injured in Norway. In 2010, 208 people were killed in road traffic. This is the lowest number of road traffic fatalities since 1954. This year’s development suggests that the number will be even lower in 2011. At the same time, there has been some increase in the number of deaths in Hordaland. Occurrence figures up to no this year show that Hordaland has fewer people who have lost their lives in traffic than at the same time last year. Equally full is still one of the states in the country with the most killed, which I focus on. When it was badly damaged, it has been a steady decline in the last ten years. Most of the deadlocks in Hordaland have occurred on national roads, and efforts are being made to improve the situation. Active and comprehensive efforts are also being made to improve road safety in Hordaland, where several partners work together. The Road Safety Selection in Hordaland is led by the County Municipality, but also Statens vägvesen and Trygg Trafik are represented. In the selection, there is good cooperation between different public organisations and voluntary organisations. They have established an action plan on road safety covering both road and roadside measures. In the Bergen programme, the Stadens vägvesen cooperates with both the municipality of the county and the municipality of Bergen. Here, an action plan has been drawn up in line with the Road Safety Action Plan for the County and Municipal Road Safety Plan. In the same way, the State Road Administration cooperates with the County Municipality and the Municipality of Bømlo in the Bømlo package. In the Haugalands package, the State Road Administration and County Council cooperate with the municipality of Etne and the municipality of Sveio, where road safety measures on the county road network are also given priority. The state road authority, the county council, the municipality and the police are also cooperating on a project on e.g. 57 – towards Mongstad – in North Hordland. The state road authority continued to participate in the work of municipal plans to improve road safety in the county. The representative Sortevik has several times recorded the accident situation at E16 between Bergen and Voss. I refer to my answer to question No. 211 for written answers. The report from the working group on which the immediate action should be taken has now been completed. That means that the projects that are notified there will be started in turn and in order. The State has an overall responsibility for road safety, regardless of road authority. It is a government responsibility, through the transfer of sufficient economic resources, to enable the counties to build, operate and maintain an effective and secure name.
ParlaMint-NO_2011-11-23.ana.ud1456e799	Thanks for the answer. At least I'm glad the Council of State confirms that the state has a responsibility. After the presentation of this report related to the E16 between Hngereid and Voss last week, which means that this issue only comes today, one could get the impression that the state and the government are using as an excuse for a very worrying accident situation on the E16, that there has been a lack of pressure from the affected state. I assume that the state is doing what is to be done, regardless of whether the pressure from the state that borrows land into a state road, i.e. a European road and highway, is perceived as high or low. I would like the Council of State to confirm that we actually agree on that, and that, in addition to plans that are now in fact described by the Council of State in the first answer, they also follow the actual developments on the accident side and make sure that action is taken if that development is unfortunate.
ParlaMint-NO_2011-11-23.ana.ud1456e804	For the results of the E16 priority given to the county, the county will give its opinion on the most important priorities in the context of the national transport plans. In that context, I have been told that former member of the board of directors Torill Selsvold Nyborg has confirmed that this is the case. It has also been followed up by my political adviser. I haven't said anything about it and I'm not going to do it either. I think we should be busy with the notes and the situation in the notes, and of the future, what can be done to prevent new clocks, and that's what my task is to follow up now.
ParlaMint-NO_2011-11-23.ana.ud1456e809	I am pleased that the Council of State has a focus on improving road safety in Hordaland, both in the short and longer term. The report submitted has some shortcomings regarding medium-term measures. What's long-term is building a safer road. As far as the E16 is concerned, it is actually the case that on the other side of Voss there is a detailed planning for a new tunnel from Vinje towards Oppheim in the municipality of Voss. So it looks like you're picking a bad solution, a short tunnel, which is still driving traffic through Uppheim, instead of choosing a long tunnel, which will provide safer transport and safer traffic, because you're driving the traffic outside of built-up roads. The aim is to increase the speed of newly built sections, but the newly built section will partially pass through densely built strips. Will the Council of State take a closer look at this?
ParlaMint-NO_2011-11-23.ana.ud1456e814	Let me first say that what is important now in the short term is to follow up the 21 actions that the working group has identified for the E16. There was a rather strange presentation of this in parts of the media afterwards, where it seemed that there was no money for these measures. But when Regional West gets its funds up in 2012 as a result of our budget proposal, they have funds, and then the Council of State doesn't have to bring new money to Waksdal – that day last week. Then there's the E16 and the challenges there. It is important to get more of the traffic on track – because of this cooperation project between track and road. So to the E16 on the other side of the Voss. There's my answer: it's a matter that I know too little at present, but I'll look closer to it.
ParlaMint-NO_2011-11-23.ana.ud1456e823	The next question is still Arne Sortevik, but it is the Minister of Health to answer.
