ParlaMint-NO_2007-10-10.ana.ud1506e24	The representative of Laila Bavøy, who has been licensed, has once again taken the seat.
ParlaMint-NO_2007-10-10.ana.ud1506e502	I think an assessment of the test in Nittedal also has its place in such a big message. Perhaps one of the most important things to do with greater attention is how to increase both the electoral process and the political commitment among young people, which is, of course, future for all of us. In this context, I have had a meeting with representatives of the various youth organisations. They are now working on a separate discussion of various measures that can help to strengthen local democracy. They have a deadline for December with that, just to get the recording rated in connection with the crash message. An action with a lot of positive attention and experience are youth councils in different municipalities, and right now I have a mission in Alta to get feedback on their experience in youth councils.
ParlaMint-NO_2007-10-10.ana.ud1506e507	There will be follow-up questions – first Ib Thomsen.
ParlaMint-NO_2007-10-10.ana.ud1506e510	After another low-participation election, we have to look at new solutions, and there has been an excellent proposal by Kolberg, after the view of the Progress Party. We regret it if he is not heard in the Government – at least in terms of this good proposal. In assessing this, you should also look at Sweden. Local elections and parliamentary elections have been held on the same day, and an increase in electoral participation has been achieved. Can we afford not to consider this good proposal from the Labour Party and Martin Kolberg? Still lower turnout is a democratic problem. What will the Council of State do with this proposal from the Workers' Party? Will she put it in the drawer, or will she seriously consider it and see that our neighbours have been successful in it? So in the end, I just want to bring a case report from Nittedal. The previous speakers mentioned that the turnout was on the ground — on the contrary, it was dramatically lower by having one’s own election day.
ParlaMint-NO_2007-10-10.ana.ud1506e519	The representative Thomsen asks if we can afford not to evaluate the experiences of Sweden. My answer is that we should evaluate the experiences of Sweden. But we also need to consider the counter-representatives that are both in the Local Democratic Commission and with other actors, where one is warned of the danger of focusing on national policies. What must then be an important thing is to assess whether we should continue in the same way as now with options every other year. We will then need to consider further measures with regard to what one can do in order for more people to get involved both in political and electoral contexts.
ParlaMint-NO_2007-10-10.ana.ud1506e524	Kari Lise Holmberg – for follow-up questions.
ParlaMint-NO_2007-10-10.ana.ud1506e527	The right clear impression from the municipal elections is that the voters were very frustrated that the local elections were too much dominated by national politicians. This means that the voters are concerned that local elections are local, and that the politicians they choose locally are those who also decide in their municipality. This believes that the right has a major impact on the electoral process. Former municipal minister Åslaug Haga has told Stavanger Aftenblad that she put her foot down for SV's proposal to deprive local politicians of the local governance of the coastal zones. Now in the throne, it was announced that the new planning and building law will be presented from the Government this autumn. Can the Minister of Local Affairs confirm that the Central Party has still placed its foot firmly on the neck of the Minister of Environmental Protection and that there will be no further reduction in the power of local politicians? In this case, it will lead to less interest in local policies.
ParlaMint-NO_2007-10-10.ana.ud1506e536	I can confirm that sitting with the foot on the neck of another minister is not the best starting point for a good dialogue and to find good solutions to a matter that the Government has actually warned in the Soria Moria statement. In the Soria Moria statement, there is a warning of a narrowing in the practice of exemptions in the hundred meter belt, and there is also a warning of a review of a new planning and building law in connection with it. This matter will come to Stortinget early next year or around the turn of the year, so the representative Holmberg will live in excitement until then. But there are also strong wordings in the Soria Moria Declaration to strengthen local self-government. Let it also be said in this matter.
ParlaMint-NO_2007-10-10.ana.ud1506e542	Anne Margrethe Larsen – for follow-up questions.
ParlaMint-NO_2007-10-10.ana.ud1506e545	Yes, the Center Party and the Left are deeply concerned with local democracy, and it's under pressure from many teams. The left fears that a common election day will help to weaken local democracy. I'm recording the response of the State Council of Meltveit Kleppa that you'll see. The Left is pleased that the Government has notified the follow-up of the Local Democratic Commission with its own message to spring, and we hope for a broad debate in the Stortinge on this. So said government councillor Meltveit Kleppa this with youth and political activity. So the question is, LNU is for it, and the left is for it. Why not assess the age of voting rights of 16 years?
ParlaMint-NO_2007-10-10.ana.ud1506e552	Let me first – to fix something that I was a little confused about – tell you what youth organisations are invited to make recordings. There is also one of the organisations in the LNU, as well as the Student Organisation. It's not just the political ones, it would be a little too sloppy. So the question of lowering the voting age to 16 years has recently been in the Stortinget, now in ours, by handling a constitution proposal, which was not then joined here. I see that this is a proposal that is now going to come into contact with the message work, both from the LNU and from the Children's Environment. That means that we should also give our assessment of it, but I'm probably mainly busy with other measures that should also have wide support here.
ParlaMint-NO_2007-10-10.ana.ud1506e559	Let's move on to the last main question.
ParlaMint-NO_2007-10-10.ana.ud1506e562	It looks as if the Council of State is working to get on the track, so my question is going to go to him. It now appears that three or four of the country's eleven bishops are going to go off in 2008. This occurs in a situation where the Norwegian Church faces major and important structural discussions, both in the Church-State relationship, in the development of church democracy, theological discussions that have taken place for a number of years, etc. The Advance Party believes it is important that the Church itself appoints its top leaders. We recognise, of course, that it is not the system today, but we believe it is important that they have broad support among those whom they should actually lead. Then we see from previous statements by the Council of State that he is concerned about retaining the political appointment of the Church's top leaders. We see that more and more representatives from the government parties, when it comes to the appointment of business stops, go to leaders' party books in front of appointment. It worries me, because if there are both party books and political opinions that will underlie the assessment of who will be the Church's future leaders, I think the Church is facing very great challenges. I therefore want to challenge the Council of State to be clear as to what elements he will focus on when appointing the future leaders of the Church. Is it the case that the Council of State will go to party books and theological position, or will the Council of State, as the Party of Advancement recommends, base the Church's own recommendations on its recommendation to the Council of Churches?
ParlaMint-NO_2007-10-10.ana.ud1506e571	Thank you for the question! For a while I was concerned that the only thing that was in my field was the Secretary of Fisheries' comment on pop stars. I'm happy to have a question. First, a clarification: when the Church Council appoints bishops, i.e. the members of the Church of the Government, in the King of the Council of State, it is the Church itself. It's like church members and government members we do it. It's an organ in the Norwegian Church. It is not politicians who rule the Church, it is church members who have a word with them in church decision-making issues. This happens after a comprehensive nomination process. First, the Bishops' Council nominees, so many different organs in the Norwegian Church pronounce themselves before the church council appoints a bishop. I guess we have a tradition in Norway that what comes out through the nomination, the electoral systems, in advance, is given very great weight. Sometimes, however, the Church Council of State does not conclude with the person who has received the most votes. One has to weigh the different groups that have voted. One must also, in my and the government's view, try to get to an overall college of bishops of eleven people who reflect the wide range of views in the Norwegian Church. If, for example: Only were liberal bishops among the eleven, a more theological conservative bishop should be appointed, so that the vision was reflected in the college, and vice versa. We should also try to achieve a better gender balance than the one we've had. It's beginning to be a few years since the first female bishop was appointed, but still we're far from a steady balance. So here's a lot of considerations to consider. That's why it makes sense that we have a system where you can't just automatically take the one that gets the most votes.
ParlaMint-NO_2007-10-10.ana.ud1506e580	I am grateful for the answer, but I was quite disturbed by the answer, because what the Council of State confirms is that there are assessments by the Council of State and the Church Council of State of the various candidates that will be the tongue on the scale when the bishops are to be appointed. It is worrying in a situation where one can then risk appointing bishops who do not have the necessary strength and trust among those to be led. I'm sorry for that answer. I had hoped that the view of the Advance Party, which is that one by appointment in the Church Council of State should follow the recommendations you have received, and take into account those who have received the most votes. In other contexts, there are government representatives who are very clear that one believes that the wit is fairly evenly distributed across the country. Then the follow-up question becomes: why is it that the Council of State believes that there is a common sense in the Church Council of State than it is in other church organs?
ParlaMint-NO_2007-10-10.ana.ud1506e589	Now I believe that there is an unusual amount of knowledge in the congregation that constitutes the Church Council of State, but I do not overlook the fact that there is at least as much knowledge in other church organs. The question is how to create a purely mathematical system. Here, there are quite different groups who vote and express their opinion in the nomination up to the final conclusion. Many of them are themselves appointed. The bishops, for example, are not elected by any other than the Church Council of State in a previous process. We have community council, which is elected by 3 pst. by the members, and then we have the Church Council of State, which emerges from a government and a magnificence, which is elected by 70-80 pst. by the members of the churches participating in those elections. So what's most democratic, and what's best reflects the Church itself, I think is a topic that can very well be discussed, and which has strong arguments that the church council also represents the Church itself in a good way.
ParlaMint-NO_2007-10-10.ana.ud1506e596	There will be follow-up questions – Gunnar Gundersen.
ParlaMint-NO_2007-10-10.ana.ud1506e599	Yes, the discussion of democracy in the Church is fast becoming a discussion about chicken and eggs. I really assume that the Council of Churches believes that it is more important to have faith in God than to have faith in the Labour Party in the Norwegian Church. We are facing a rather demanding process in the matter of church and state. The Council of State has repeatedly said that more decisions and more power, including the appointment of bishops, should be left to the Church's organs themselves "after each" and that there must be more democracy in the Church. So a natural follow-up question is: does the Council of State have any clear signals to the Church about what is going to happen to achieve greater power?
ParlaMint-NO_2007-10-10.ana.ud1506e608	Again, the Church Council of State is an organ of the Norwegian Church. It's part of the Church itself. As Minister of the Church, I am a member of the Norwegian Church. I am also part of the Church itself, and it is my colleagues who are members of the Church. It is absolutely an important objective to provide better democratic systems in the Norwegian Church. It will be part of the state church discussion how we can get a completely different participation in the church elections in 2009. Should more than one body be selected by direct selection? In Sweden, a system has been introduced whereby the Church Meeting is chosen by direct elections. All of these questions will be dealt with in depth in the big message that the Government gives about state and church, and I hope that we have a common position both in position and in opposition, that we need to get more participation in the church elections.
ParlaMint-NO_2007-10-10.ana.ud1506e616	Dagrun Eriksen – for follow-up questions.
ParlaMint-NO_2007-10-10.ana.ud1506e619	The appointment of bishops is about church autonomy, and it is also about respecting freedom of belief. I think it's a little bit suspicious that the Council of State doesn't even mention this with freedom of faith in this context. But self-government is also about economics. It was a shock to read in the state budget that the ownership of the Church Fund, where we have been united politically, is to make a political decision about who owns it, now is only determined and placed with the state. It's tempting to say that this is the biggest robbery we've seen since the Vikings were in Europe. I think it promises a little bad for the cooperation on the church-state case. We are several people who have said that economic issues must also be brought into such a context. My specific question is: What legal considerations does the Council of State have as a basis for making such a provision that the Church Fund is now the State's fund?
ParlaMint-NO_2007-10-10.ana.ud1506e628	If the representative Eriksen was shocked at that, it must also be about her own government, the previous government, for in St.meld. No 41 for 2004-2005, the following can be read, with reference to the Ministry of Justice Department: ‘The division of law concluded that it must be considered as certain that the State is the owner of the fund.’ So this isn't just our government has said to the Storting. The previous government has also referred to the law department’s old assessment of the State as the owner of the fund. Of course, because the Church of State is part of the state. It's not a legal entity of its own, so when we have a state church, the property of the Church is also the property of the state. What is going to happen to a distinction is a political question. It's not a legal question. What we have said is that if there is a distinction, of course, the state and the community must still have a great responsibility for religious practice, even for the Norwegian Church. Then it's about a lot, a lot more than just the fund. The fund is enough to run the Church for two to three years. One has to go a lot harder to help the Church's economy even after a divorce – if that should happen.
ParlaMint-NO_2007-10-10.ana.ud1506e638	Odd Einar Dørum – for follow-up questions.
ParlaMint-NO_2007-10-10.ana.ud1506e641	What was done in the previous round was to refer to the Law Department, and everyone who knows legal practice knows that the Law Department sometimes speaks ex cathedra, and that the Government has its own discretion. To my question: The left considers the Norwegian Church – although it is a state church, which the Left opposes – as a religious community. I was one of those people who didn't think we were going to get the arrangement that the Church meeting has become. It has evolved into a living body, where what we call both the tradition of office and the tradition of children's playthings, meets in quite arduous debates. We also see that they find solutions to challenging questions, including: in the attitude to respect the existence of two visions in the homophilic matter. The church meeting in its time said that one should select bishop among the three who had the most votes in the church vote. By this one on Steelset was Steelset within that frame – I think he was number two. By those who I myself had in his time on Pettersen, he was also within that frame. Can the Council of State Giske confirm that the Government will adhere to the Council of the Church to elect a bishop among the three who have received the most votes in the church vote?
ParlaMint-NO_2007-10-10.ana.ud1506e650	We've even had a trial plan with that system. The natural thing will probably be to choose from the three that have received the most votes and have been cancelled, but we have to take an overall assessment. I have already participated in the preparation and participation of the Church Council of State and appointed two bishops – Tor Berger Jørgensen in Sør-Hålogaland and Solvency Fishing in Hamar. I have the impression that both appointments were well received, and that they felt that the church council had respected the previous nomination process. I think you can feel confident that we will also work in the same way with the upcoming appointments. The question of whether other church bodies can take over these appointments is very closely linked to better democratic elections in the Church, greater electoral participation and possibly more direct elections. But we're going to work on this together in connection with the big message that's coming.
ParlaMint-NO_2007-10-10.ana.ud1506e657	Åse M. Schmidt – for follow-up questions.
ParlaMint-NO_2007-10-10.ana.ud1506e660	We know that the Council of State is very eloquent. He has proved that both in this room and outside that he is, so I'm actually going to make it pretty simple for the council, and I just want a yes or no. Does the Council of State think that he is better qualified to make decisions about the appointment of management than the Church itself?
ParlaMint-NO_2007-10-10.ana.ud1506e667	There is a question that unfortunately cannot be answered yes or no, so I reserve the right to use the speaking ability to answer a little more fully. I think that a system how many people speak, and how many people participate, is a good system. I don't think one person or one organ alone knows best. That is why we have a very comprehensive system of nomination and vote around a bishop's election, which is concluded by the Church Council of State. This is a good system. It ensures that we get a width. This ensures that we have many views reflected, and it ensures, among other things, that: that we can take into account gender balance, different theological sites, etc. It may be that this can change in the future, and perhaps even improve, but if one is to move this decision from the church council to other church bodies, it is required that these bodies are better anchored in elections among church members than they are today. We are working on this in the preparation of the Land and Church paper.
ParlaMint-NO_2007-10-10.ana.ud1506e674	The oral question procedure is now over, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2007-10-10.ana.ud1506e681	There will be some changes to the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 3, from the representative Per Roar Bredvold to the Minister of Defence, is postponed until the next Question Time, when the Council of State has left. Question 4, from the representative Hans Olav Syversen to the Minister for the Environment, will be answered by the Minister of Knowledge on behalf of the Minister for the Environment, who has been removed. Questions 5 and 6 from the representatives Arne Sortevik and Borghild Tenden respectively to the Minister for Transport are postponed to the next Question Time when the Council of State has left. Question 7, from the representative Harald Victor Hove to the Minister for Transport, will be answered by the Minister for Oil and Energy on behalf of the Minister for Transport, who has been away.
ParlaMint-NO_2007-10-10.ana.ud1506e700	My question goes to the Minister of Finance: ‘The voluntary registration of companies which are required to make VAT compulsory rentals under Regulation 117 must be made no later than the charging date for the first lease to be deducted from VAT. on construction costs. If, for various reasons, you are delayed so that the rental relationship has run only a short time before registration, the right to deduct is lost for all VAT. at construction costs. What will the Council of State do to ensure that such delayed registration can be corrected when all other formalities are in proportion to VAT. can be documented?’
ParlaMint-NO_2007-10-10.ana.ud1506e714	On 1 January, new provisions for capital goods shall enter into force. They shall include, inter alia: real estate and means that we come to the request of the representative Fleet. The new adjustment provisions result in a subsequent right to deduct if a capital product acquired for use in non-taxable activities is subsequently used in taxable activities. In the case of rental of real estate, the deduction as a starting point will apply for the period of voluntary registration of the rental activity. Initially, only registered traders operating on a fee-based basis, as the representative of the Fleet, have the right to deduct input VAT. Since the rental of premises falls outside the charging area, the lessor must register voluntarily in order to obtain the right to deduct. In general, a room rented for a period prior to the voluntary registration of the establishment has not been entitled to an in-depth charge on the entry costs. However, there are legal proceedings here concerning the understanding of the legislation. The new adjustment provisions will give us more flexibility in the VAT system. Thus, companies renting real estate but which have not provided for voluntary registration in the term in which the rental relationship takes effect will be able to obtain a subsequent right of deduction for the inward charge paid for the construction of the property. Therefore, the adjustment provisions could remedy the unfortunate consequences of late voluntary registration of the rental activity.
ParlaMint-NO_2007-10-10.ana.ud1506e725	I thank you for the answer, which is positive. I know there's things on the stairs. But my question is also a gateway to the purely general attitude of the authorities to the consequences of non-registration. This is because, without going into difficult details, if there are formal errors, the administration of the VAT you should have deducted is very often denied, although it can be shown that it is formally in order. Then you will also very often be charged 15 pst. additional tax, and interest will be calculated on the total amount of VAT. The question is: will you look at the possibilities not to avoid VAT, but to make it a little simpler in cases where it is quite obvious that there was no intention?
ParlaMint-NO_2007-10-10.ana.ud1506e730	This is a very general question. I fear, however, that there are some very specific issues or examples at the back, so I have no further signals to give than those I have already given with regard to what are now the adjustment provisions, which are being implemented from 1 January, and which will create a more flexible system in relation to the main issue raised by the Fleet. If there are further clues on this issue and concrete examples, I would suggest that the representative fleet sends me a written question about it. Then he will receive a detailed and written answer, so that there is no misunderstanding about how this is to be understood.
ParlaMint-NO_2007-10-10.ana.ud1506e735	I really don't understand why the Council of State thinks that there's pinnacles behind my questions. There's no reason for that. This is a general consideration. The VAT code is strict. It has to be. I wasn't really looking for the Council of State to wash out anything here, but just after having a confirmation that she could agree with me a little bit on the way, that you can generally see in retrospect that things are really okay, but that because of a difficult regulation it has been made wrong, maybe look at the relief of the sanctions in such cases. It's still a very rigid exercise, even after the changes that are coming.
ParlaMint-NO_2007-10-10.ana.ud1506e742	It's always demanding to enforce a code that needs to have some boundaries somewhere. If it doesn't, if the degree of discretion is very high, we quickly get into many examples of discrimination. We are trying to manage this regulation with flexibility, but at the same time within the limits that it stands there. On a general basis, I just want to say, we have a regulation. It's tough. There is fair practice, but also flexibility. I'm not coming up with any new signals now that we're going to base anything else on the future. If the representative fleet has some single examples he thinks is completely unreasonablely handled by us, I would like to accept them, then we can go through them for example. But I think it's dangerous to express yourself in general terms that can give signals that can't be followed up later, if you're going to stick to the legislation.
ParlaMint-NO_2007-10-10.ana.ud1506e753	‘The government has long promised comprehensive measures to prevent a power crisis in Central Norway. One of the measures envisaged was mobile gas power plants, but now the Council of State has announced that they should not be used. The government has done nothing to stimulate gas power projects in the region, and the Government's renewable effort has put most renewable projects on ice. What concrete instruments will the Government use to prevent a power crisis in Middle Norway in the coming years?’
ParlaMint-NO_2007-10-10.ana.ud1506e760	The government takes the vulnerability of the Norwegian power supply seriously and has been active in this area since the accession. A lot of work has been done. Several concessions have been granted for hydropower projects, such as: to the CHP plant at Mongstad. At the same time, the 2008 budget for energy efficiency, heat and electricity from renewable sources is being increased. These are important contributions to improving the power balance. Before Christmas last year, the main features of the Middle Norway Action Plan were presented. The Government’s plan to strengthen the power situation in the region is based on measures for increased transmission capacity, increased investment in energy conversion and new production, and other measures to ensure security of supply in central Norway. Several major network investments, specifically linked to the expansion of Norsk Hydro’s aluminiumworks on Sunndalsøra and the Worm Lange extension, have been carried out. Statnet has invested in voltage support in the network that will improve transmission capacity in and into central Norway from this autumn. Statnet has also decided to invest in increased transmission capacity between Central Norway and Sweden to be in place in 2009. In addition, Statnett has submitted a concession request for a new transmission link between Sogn and More to NVE. Facilitating different types of new power generation and focusing on energy efficiency is important to improve the power situation in Central Norway. The 2008 State budget provided for a significant increase in the investment in energy conversion measures under the auspices of Enova. The overall envelope is approximately 1 450 million. kr for 2008. This is an increase of 660 million. kr from 2007. In addition, the renewable electricity support scheme is reinforced by an additional 200 million. kr. At the same time, the NVE strengthens case handling capacity and prioritises concession cases for water and wind power in Central Norway. Furthermore, the NVE has a strong focus on the effective concession treatment of generation and transfer facilities in the region. Norway has a good basis for significantly increasing environmentally friendly energy production, and we need to use energy more efficiently than we do today. The increases in the 2008 budget for energy efficiency improvement, heat and electricity from renewable energy sources will be an important contribution to achieving this. Plans have been presented for several gas power projects in central Norway. The government is reviewing the possibility of realising new gas power projects with CO2 management. I am about to contact the current developers in central Norway and ask for meetings to get a better understanding of the various projects. The aim is to achieve a solution as quickly as possible. Finally, significant efforts are being made to improve the power situation in central Norway. A wide range of measures are being implemented such as increased transmission capacity, increased investment in energy conversion and different types of new production, as well as other measures to ensure security of supply in the region. I will follow the situation closely, and the work to improve the power situation in Central Norway will have a very high priority in the future.
ParlaMint-NO_2007-10-10.ana.ud1506e778	I notice, of course, that the Council of State elegantly jumps over mobile gas power plants, which were part of the question. Norway is the net importer of power, and the predecessor of the Council of State, Odd Roger Enoxen, so soon a year ago that Norway is probably the only country in the world that has no reserve power solutions. Then you have to ask the question: if you are not going to use these mobile gas power plants, what does the Council of State want to do?
ParlaMint-NO_2007-10-10.ana.ud1506e785	Statnett has invested in two reserve power plants in Central Norway, each of 150 MW. Reserve power is an emergency measure intended only to be used in so-called very demanding power situations and should therefore not be used as an ordinary power generation. It is therefore quite right that, initially, reserve power should not be used, but should only be a measure as a last resort when the likelihood of rationalisation is high. There are very restrictive conditions for the use of reserve power and this will continue to be the case in the future.
ParlaMint-NO_2007-10-10.ana.ud1506e790	I guess I'll say I'm partly satisfied with the answer, but I expect this debate to come up again. In the end, what was mentioned about the renewable action. The government has increased the budget line - that is correct. But it has done nothing about the concrete support schemes. They believe that the aid schemes are too poor, and this means that the projects are being put on ice. So finally, I'm going to ask, what kind of grip will the Council of State take to secure the increase they want? Will they increase the rates of aid schemes?
ParlaMint-NO_2007-10-10.ana.ud1506e797	Now it is important to stress that there are a good deal of plans in Middle Norway on the renewable side, and we have to hope that many of these can be realised. At the same time, there is a wide-ranging discussion also in the trade unions related to the various support schemes that we have. I can repeat what I said earlier, namely that I am concerned about having a full review of the various support schemes that we have on the renewable side, because this is important for energy supply in the future. We get signals that things can be done better, so we need to have a full review of the support schemes. It will take some time, but I will promise that I will do what I can to keep pace with this work.
ParlaMint-NO_2007-10-10.ana.ud1506e815	This question has been raised.
ParlaMint-NO_2007-10-10.ana.ud1506e822	This question, from the representative Hans Olav Syversen to the Minister for the Environment, will be answered by the Minister for Knowledge and Research on behalf of the Minister for Environmental Protection.
ParlaMint-NO_2007-10-10.ana.ud1506e825	Since the Minister for the Environment will not be present in an ordinary Question Time before 7 November, I am confident that the Minister of Knowledge will take care of her interests. ‘There is great concern among the population both in Oslo, Oppegård and Nesodden related to the poison dumping at the Malmøykalven in the inner Oslofjord. In the past, the Council of State has expressed an understanding of such unrest and has assured itself that State pollution control is closely monitoring compliance with the emissions permit. Similarly, Secora now admits that the rock masses have been dumped at the Malmøykalven contrary to the permit, but without that SFT noticed anything. Are state councils satisfied with SFT’s management of the situation?’
ParlaMint-NO_2007-10-10.ana.ud1506e834	The Ren Oslo soil project is a comprehensive environmental measure to which polluted masses in the Oslo port area are either removed or covered – for the benefit of all those who use the inner Oslo soil. It is a very thoroughly prepared project with a very comprehensive environmental monitoring. Environmental monitoring of both the dredging and the landfill is carried out by the Norwegian Geotechnical Institute, NGI, and the Norwegian Institute for Water Research, NIVA. The SFT has authorised the project and supervises compliance with the strict environmental requirements of the permit. Work is being monitored with an environmental monitoring programme that is the most comprehensive we have ever seen. Some examples of this are that: in the water around the landfill area, even at the outlet pipe, there are particle meters that indicate that there is more moisture in the water than the SFT has permitted. In this case, the landfill stops temporarily, and water samples are taken to see if the leaky environmental poisons in the water around the landfill area are also placed and any environmental contaminants from the landfill are controlled by underwater cameras, and the seabed is monitored by profiling camera that detects dirt leaking out of the landfill and deposits on the bottom of the sea are sampled by blue mussel because blue mussel easily absorbs environmental pollutants in the water, and fish and shrimp samples are also taken. So far, all the studies have shown that the project is going according to plan. State company Secora carries out the dredging and deposit on behalf of Oslo port. The company's work is now being examined by Veritas, and the police are investigating the company for possible environmental crime. SFT awaits feedback from Oslo Port in week 42 on the review to Veritas. If this demonstrates that illegal methods have been used in the landfill, the SFT will take the necessary measures and will also assess police reporting. However, the Minister for the Environment will stress that she strongly responds to the illegal acts that Secora has admitted. Secora has informed that they have taken measures to avoid anything similar from happening again, and she sees it as crucial to have confidence in the work that Secora has been set to do. NIVA has assessed the possible environmental impact of Secora’s dumping of stone. NIVA has concluded that the dumping of pure stone will not contribute to a significant increase in the spread out of the landfill area or to the spread of environmental pollutants to the area outside the Basin. NGI says that if the dumping of cleaned stone has led to the spread out of the landfill area, this would have been captured by the monitoring system. The SFT has helped to ensure that this project is implemented with a very comprehensive environmental monitoring. They follow the case very closely and take the necessary measures on an ongoing basis.
ParlaMint-NO_2007-10-10.ana.ud1506e864	The Council of State said that this happening at the Malmøykalven and in the interior of Oslofjord is subject to a very comprehensive environmental monitoring. However, the fact is that those who were then to monitor that this is happening under the permits have not revealed what Secora has done and that they have admitted that they have actually done. So the state council said SFT is waiting. I think that is quite indicative of what many feel SFT's handling of this matter involves, that is, waiting. Should something go wrong, it would really go wrong in a very vulnerable area. So my question in this matter that has so much significance is: Wouldn't it be better to have a lead was-prince tip instead of waiting and seeing if anything wrong has actually happened?
ParlaMint-NO_2007-10-10.ana.ud1506e875	The Minister for the Environment underlines very strongly that she is responding to the illegal acts of Secora. This is being investigated by Veritas, and the police are also investigating whether there is a possibility of environmental crime. It is relatively normal to wait for what this investigation will reveal, and as far as I know, you will receive feedback from Oslo Harbour in week 42 about the investigation carried out by Veritas. It is clear that it is serious what has been revealed, and therefore it is also handled by the Minister for the Environment with the seriousness of the matter required.
ParlaMint-NO_2007-10-10.ana.ud1506e882	I probably don't need to remind you of what the party traps of both the Minister for the Environment and the Minister of Knowledge at local level think about this, for example. on the Nesodden. I'm sure the state council knows that well. The situation is now, according to legislation, so that there is no dumping of contaminated mass that has been on land in the sea. But you can dump contaminated mass that's been taken up from the sea, in the sea. My final question is: does the Council of State think it's a paradox?
ParlaMint-NO_2007-10-10.ana.ud1506e889	I ask for understanding that I take this issue with me to the Minister for the Environment. I don't even have such an in-depth knowledge of this that I think I'm going to give an answer to the kick here in the Questionnaire. But I promise that I will take this with me to the Minister for the Environment, and then the representative Syversen will get a supplementary answer to his question.
ParlaMint-NO_2007-10-10.ana.ud1506e916	These questions are postponed.
ParlaMint-NO_2007-10-10.ana.ud1506e926	‘By decision of the Bergen City Council, a heavy-duty tariff was introduced for motorists in the municipality of Bergen. However, the condition for this decision was that it would be not only a local policy decision on implementation but also the abolition of that charge. The Bergen City Council has taken its decision to abolish the tax imposed by the municipality itself, but the answer from the Road Directorate is no. Does the Council of State consider that the management by the Directorate of Road Affairs of the municipality’s application for the settlement of fees to be in line with the Minister’s local democratic mindset?’
ParlaMint-NO_2007-10-10.ana.ud1506e933	The municipality of Bergen took its decision on the imposition of a heavy duty charge and was followed by an application to the Directorate of Road Transport. This is according to Section 2 of the Regulation of 7 May 1999 concerning the charge for the use of high-speed tyres and additional charges, which states that: ‘Decisions on the introduction of heavy duty tyres in the municipalities of Oslo, Bergen, Trondheim and Stavanger require the agreement of the Directorate of Roads.’ It is also stated in the same regulation that: ‘a municipality may apply to the Directorate of Road for the winding-up of the scheme as described in this Regulation’. See. the second paragraph of Section 14 of the regulation. In other words, it is clear from the regulation that the winding-up of the scheme must also be approved by the Road Directorate. It is not possible to impose assumptions contrary to the regulation on a decision on the charging of heavy duty tyres. The municipality of Bergen sent an application for the termination of the tipping fee to the Directorate of Road. The Road Directorate examined the application and gave its response to the municipality, cf. letter of 19 September 2007, in which they reject the municipality of Bergen’s application. The procedure for dealing with this matter is therefore entirely in line with the legislation in force. Any complaint to the Directorate of Roads’ decision will be dealt with by the Ministry of Transport.
ParlaMint-NO_2007-10-10.ana.ud1506e952	I thank you for the answer from the Council of State. I understand that it is not possible to go directly into a matter that the Ministry might consider, but I think it is important to clarify whether there is consistency between the government's stated policy on the introduction of charges to reduce car use and environmental promotion taxes, as the Government itself refers to them, i.e. the rush time charge and the heavy duty charge, and the directorate's management of this matter and the policy of several government councils on the basis of which a local decision and a local responsibility must be based if such charges are to be imposed or abolished. At least such a policy does not seem to be present now. There is a great uncertainty among several municipalities that this is a sign that you can risk having to continue a fee that you do not want to continue, if you have first introduced it.
ParlaMint-NO_2007-10-10.ana.ud1506e957	I have to deal with the legislation today. How to handle this is defined in the regulation, from which I have quoted the different paragraphs. And so is it, if we look at the facts of the case, that the experience from Oslo shows that if you stop charging the tipping tyre, the use of the tipping tyre goes up again. The municipality of Oslo closed the electrical tyre system after it had worked for two seasons. The number of spikes fell from 79 pst. in 2001 to 68 pst. in 2002. The peak tyre scheme was reintroduced in Oslo from 2005. This shows that the reality of the matter is such that the impact of the tipping charge is on one of the challenges that we are dealing with, namely, that we're all going to have to breathe in the best possible way, even in our cities.
ParlaMint-NO_2007-10-10.ana.ud1506e966	I agree with the Council of State that it is positive that such a charge can be imposed as you see the peak tyre ratio from season to season. Therefore, I am also very pleased that the Municipality of Oslo was given the opportunity to reintroduce the heavy-duty tyre charge after the local politicians there took up the elements pointed to by the Council of State. But the question here is: can the Council of State clarify whether it is the government's policy that reintroduction or liquidation of such a charge is a local responsibility? I feel that the Council of State is now trying to find other assumptions, which the Directorate of Roads has also pointed to, and base them on their answer in the Questionnaire today. It helps create new uncertainties. It must be possible to expect some shocks, even if this government is only two years old and not as much as you can expect from a two-year-old, and that there can be a clear answer as to whether it is a local responsibility to introduce, liquidate or possibly reintroduce such a fee, and that there will be no other reason to consider an application for the directorate and an appeal to the department.
ParlaMint-NO_2007-10-10.ana.ud1506e971	The government's policy is very clear in this area. That's exactly why I've been careful to quote from the paragraphs that regulate this area. There is no doubt about what is the government's policy. Then it is said that in the budget agreement in Bergen between the City Council and the Progress Party last November, a budget settlement was made that the heavy-duty tyre fee should be removed after only one season. Taking that decision into account, we should all take into account what the legislation is – we should all follow – that it is up to the Directorate of Roads to take the final position on this.
