ParlaMint-NO_2007-05-15.ana.ud2683e51	The representative of Mr Sonja Irene Sjøli will present a proposal for a representative.
ParlaMint-NO_2007-05-15.ana.ud2683e609	With regard to the role of the Coastal Works in this matter, I have full confidence in the work done by the Coastal Works. The background for a new round of work to be carried out is that we have not mistrusted the way the Coast Guard has handled the matter. The background for a new round is that new information has emerged. It's important for the Government that we use the profession that has competence in this field. That competence lies in the Coastal Works and the Ministry of Fisheries and Coastal Affairs. It would not be appropriate to transfer this matter to an agency which does not have competence in that area.
ParlaMint-NO_2007-05-15.ana.ud2683e614	Interestingly, the Prime Minister'sbastant concluded in winter that the submarine was to be covered. Other solutions were out-of-date. The Council of State now informs that during the consultation in Stortinget, information was provided that the Prime Minister’s bastant attitude had to be adjusted. Then it has to be that lifting the case into the Storting and having attention to the matter in the media has brought new actors, new information. On that basis, I'm going to repeat the question that Jan Sahl had: does the Council of State consider the attention of the newspaper about this matter as a problem? Is it also a problem that the local people have said clearly that the opposition has been engaged? Or is it that the commitment, the pressure, adjusted the price at which the Prime Minister was absolutely blatant, and that media attention has not been the problem, but the prerequisite for a new solution?
ParlaMint-NO_2007-05-15.ana.ud2683e621	The government has had a position in this matter based on the best available advice we had. Then there has been new information in the case that has made us decide that we will take a new round to consider the cancellation option. The government's position will then finally be decided after we have the new assessments in place. I have no problem that there is a debate around U-864 and the handling of it, but I would especially warn the Advance Party against trying to knock political coins on this case and conclude that raising is the best option, before going rounds with the professional assessments and the professional advice we have to borrow the final decision.
ParlaMint-NO_2007-05-15.ana.ud2683e630	I record that the Council of State is very concerned about the Progress Party in a reply reply to a representative from another party. But first, the Council of State did not answer the question from the representative of Sortevik – do we get answers to the questions sent by the Committee that have still not been answered? And so, the government has decided that the Coastal Plant should be responsible for assessing the option of re-elevating the submarine. During the consultation within the Committee, the coastal director stated that the authorities involved in raising the submarine were engaged in qualified vision. With such statements by the Coastal Administration, does not the Council of State see that there will be problems, that there might be doubts about the objectivity of the investigation, when these are the ones who should be responsible for assessing an alternative they clearly do not want? And doesn't the Council of State see that it would be natural that perhaps another department was given the responsibility to ensure that those who are going to evaluate all the options do so on an objective basis? I registered that a letter has also been sent to the Ministry of Justice, which is not public. It might have been interesting to know if there should be another department to assess the matter. But we haven't got a hold of that either.
ParlaMint-NO_2007-05-15.ana.ud2683e641	It is the Ministry of Fisheries and Coastal Affairs that deals with this matter in the Government, and the Coastal Agency is the department responsible for the further investigations in this area. The role of the coastal facility is also to go to the expertise they think it is natural to ask, and to seek advice, to distinguish between the advice coming from different teams — to separate the clint from the wheat — and to make a final assessment and recommendation to the Government. I have full confidence that the Coastal Works will do that job in a proper way also in the continuation.
ParlaMint-NO_2007-05-15.ana.ud2683e646	Then the cord shift is over. The speakers who take the floor below shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2007-05-15.ana.ud2683e651	So the government decided to dig. The proposers would deal with this matter in Stortinget immediately. A possible rapid decision to lift – if that was the objective – we think we would be directly irresponsible, all the time the Coastal Plant with all the national and international professional bodies to which they have supported it has concluded that it would be too risky in view of the spread of mercury. In that case, a decision on the possible lifting or other removal of mercury must also be based on a thorough professional assessment, particularly of neutral professional competence. Entrepreneurs who sketch solutions do not necessarily need to be what I call professionally neutral – without me being able to benefit from or oppose their proposals. I do not have the competence to do that, and I do not believe that others in this room have the professional competence to point out the right solution here. The Ministry and the Government have had one goal. It's doing what's safest to prevent a major environmental disaster because the submarine contains mercury and TNT. It would be a belief that everyone had respect for. When, after very thorough work, the Coast Guard concluded that the best thing to do was cover him up, yes, in my view it would at least be alarming if the Government had gone for something else. When many people have later said that the Coastal Works conclusion is wrong, that it would be possible to lift the boat safely, yes, I am glad that the Government will go through the cancellation option again. I fully understand that it will be best to get rid of the whole thing, and thus get rid of all the fear that mercury will pollute the environment once in a while. But I expect those who from the beginning have been so sure that raising is possible, will stand up and take responsibility for not spreading the mercury by raising. After all, one talks about Norwegian coastal areas with Norwegian weather conditions. In the setting, there is criticism from the opposition that no emphasis has been placed on the reputation of Norwegian food – it has also been mentioned here – and one responds to the fact that it has not been part of the decision base. As I said, the goal is always to do what is environmentally safe and best, and of course it will also be best for Norwegian food reputation. What kind of reputation would there be if something went wrong during the upliftment, so that the mercury got spread? The husband of a big business must look for a long time when the opposition is now pointing to the individual company to be invited and individual solutions to be evaluated in particular – a suggestion that it is done. I see, of course, that when the department now enters and conducts a thorough assessment, all options will be assessed, and that the department itself is able to do so in the best possible way.
ParlaMint-NO_2007-05-15.ana.ud2683e666	It is a difficult matter we have to deal with here today. The whole thing is difficult. What is important is that there is no prestige in the matter in any way. Based on today's debate, I'm afraid it's getting closer to a prestige case for parts of the opposition. Here we talk about technical questions. We're talking about questions of which there's a professional disagreement. What we all agree on is that we want an environmentally good solution to the matter. When we have so many technical points in the case, and there's such a professional disagreement about it, this case is little suitable to score political points on, or to draw political conclusions on, at the stage we're now. When the representative Sortevik calls this an environmental scandal – and nothing less than an international environmental scandal – I think he is anticipating the course of events. There is no environmental scandal that there is a submarine on the bottom outside of Fedje. What will be an environmental scandal is whether it goes wrong when it comes to dealing with it. As the matter stands, raising the wreck is associated with a great risk. We know that. Covering the wreck is also associated with a long-term risk. We know that, too. Here are some assessments of what's the best solution, because we're all concerned with finding the best environmental solution, a safe solution. What we do has to be safe. It's also that what we're doing has to be perceived as safe. This has been the big issue for the people of Fedje and Hordaland, that you have to make sure that what you do is safe. As the case developed, and as the involvement of the local population in Fedje also mobilised views other than those expressed in the study conducted by the Coastal Administration, it turned out that there was reason to ask whether the cancellation option was well enough investigated. Then I think it is very reassuring that we have a process both in Stortinget, in the contact between Stortinget and the Government and in the contact between the local people at Fedje and the Government, which means that the Government has no record of this, but says yes, we will assess this further. I do not recognize the description of the Government as ‘bastant’ in this case. On the contrary, I also believe that the local people in Fedje will be with me to say that there has been very good contact, and that they have listened well to voices other than the Coastal Administration in this matter. We're also going to keep going, because this is a government that listens.
ParlaMint-NO_2007-05-15.ana.ud2683e682	The government has listened, both to the public reaction and to the fisheries organisations, but the announcement came when the Prime Minister visited the annual meeting in the Hordaland Labour Party – and it was very clear about what had been listened to in many rounds before: the urgency of starting coverage. This is what is the scandal, both nationally and internationally, about a solution of cover – contrary to the input and calls that came, among other things. from the public reaction and from fisheries organisations. This was observed with increasing wonder also by international media and international organisations. The political point in this case is that, at the initiative of the Stortinget, the coverage is now stopped in 2007. What we can at least note with satisfaction is that the time window in this case is such that nothing happens in 2007. Something happens at the earliest in 2008. We still hope that it will be removed. That's our solution. It's been the whole time. I note, if I correctly interpret the answer given in the reply here, that the Council of State has now turned for the second time. First she stopped covering, now she also opens up to seriously consider the removal option. I sincerely hope, on behalf of the Advancement Party, that the Council of State will ensure that removal is assessed as the independent option it is and is pointed out from very competent teams, among others. during hearings in Stortinget. But it is the political initiative that has come through the proposal of representatives of the Progress Party – and not least the consultation that the proposal has caused in the Stortinget – that makes us there today. A new approach to coverage has also been adopted through the consultation at Stortinget. These are aspects of cover that are not good. The council said this matter is too serious to take a chance. Yeah, we don't want to take chances. We rely on the risk assessment that is currently on the table, that of the Norwegian Veritas. The long-term environmental risk has been assessed as highest in coverage. New information on cancellation has been received. The solutions mentioned are partially wrongly referred to by both the Coastal Authority and the Department. It has also come to light during the hearing. Information on removal has also been provided — removal as an independent and active alternative. That is why I am particularly pleased that we have now reached the conclusion that the Council of State will also look at it. The removal is the most important thing, the mercury has to go away.
ParlaMint-NO_2007-05-15.ana.ud2683e691	The representative Rudihagen expressed that he was above the opposition's positions, especially to the Coastal State Department, and that we have questioned their conclusions. But we are not, in fact, alone about that. So the Council of State itself, the sitting government, is turning around on the bombastic decision and going for a spin. Once this case has been resolved, we will deal with one more matter where the Coastal Commission's recommendation was just as bombastic, namely the matter of moving the main protection pool. There too, this government has turned around – it must have all the credit for it. So to this with reputational risk. In my opinion, reputational risk is a strategic decision-making practice that is common in decision-making. I do not think you should dismiss it as something that really concerns the whole matter. It is quite common in strategic and important decision-making processes. This is not exactly what the representative Rudihagen also said, that we are trying to instruct the government in which individual companies are to be invited. Rather, on the contrary, it is the Government itself and the Coastal Agency that write in their reports that these companies were invited, but that they did not have the opportunity to come. And it is precisely the state council that has stated as the reason that these different cancellation options were deficiently investigated. That's why she wants to go another round. I have to say that there's going to be a way of being hairy. You have to figure out that the opposition also has opinions.
ParlaMint-NO_2007-05-15.ana.ud2683e698	There's a couple of rhetorical points that are used here, which I'm reacting to. When talking about Veritas’ risk assessment, it is strongly emphasised that Veritas says that the cover option poses the highest risk in the long term. That's absolutely right. It has also been part of the assessments throughout. But what Veritas also says is that the lifting option gives the highest risk in the short term. If you don't bring both of them here, it just becomes a rhetorical point and nothing more when you're quoting the Veritas report. Since I'm probably the only one in this room who was present at the Hordaland Labour Party's national meeting and heard the Prime Minister's statements and what was actually said about the submarine situation on Fedje, I can again deny that there were some great conclusions that were drawn on this point. What was said by the Prime Minister is the same as has been said by the Council of State in the case, which has also been said by the Council of State – and the Government Appliances – namely that the professional basis so far as the cover option was most appropriate. It was said that time. In the Hordaland Labour Party we decided that we wanted a new round on this. I note that representatives Halleraker and Sortevik are happy to quote our decision in the Hordaland Labour Party on this point. I can also refer to a number of other good decisions that were taken at our annual meeting, which could be an inspiration for day-to-day political work, and encourage the representatives to read this. Then something has been said about the role of the Coastal Works in this matter. I certainly believe that it is the government that deals with this matter, and that it is the appropriate department that has the matter to deal with. But it is also regrettablely a point that the reputation of the Coastal Works in Hordaland is somewhat weakened because of the handling of other matters than the matter we have to deal with here. One is, like Halleraker's representative, the conclusion that the Coastal Plant had with regard to the oil warehousing pot. The second case concerned a relatively poor opinion on the ‘Server’ loss, and insofar as the management of the ‘Server’ loss was concerned. So there's Coastal Works a challenge in restoring trust. But I feel it would be irresponsible to use the cases as an argument against the Coastal Works handling this matter that we have here today. I think it has been raised beyond any doubt that the professional competence on these issues lies with the Coastal Administration. My trust in the Government is completely unaffected by some unfortunate statements made by the Coastal Agency in the past.
ParlaMint-NO_2007-05-15.ana.ud2683e711	Several have not asked for the floor on case No. 1st@item: inlistbox [[See page 3022]]
ParlaMint-NO_2007-05-15.ana.ud2683e727	At the request of the Transport and Communications Committee, the President will propose that speaking time be limited to 5 minutes for each group and 5 minutes for the Council of State. In addition, the President will propose that there be a change of line of up to five lines with replies from members of the Government – within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2007-05-15.ana.ud2683e736	First, I would like to say that the Norwegian oil protection system is based on an efficient and comprehensive use of society's available resources and a good cooperation between private, municipal and state actors. There is great satisfaction with the Government’s decision to re-establish the main depot of oil protection equipment in Fedje, North Hordland. The shipwreck and accident MS ‘Server’ was a strong reminder of the importance of coastal preparedness and updated the question of the need for a main oil protection depot in this area. It was the Bondevik II government that in 2005 converted the main depot of Fedje into a middle depot and moved the main depot to Florø. The decision now being taken is of major importance and involves a substantial strengthening of oil protection in an area of high seas traffic. The re-establishment of the Fedje main depot means more and better oil protection equipment, and not least the restoration of a trained crew force capable of mobilising and operating the equipment, as at the other 15 main depots. We have also noticed that the government's professionally reasoned opinion that there is no immediate need for further changes in the depot structure, but that it is the equipment of the individual depot that is important now. There are also important signals when the Government says that the current actions will be prioritised in the light of the risk assessment and monitored through the forthcoming budgetary processes. There is also, as I said earlier, significant shipping in North Hordland, both in the form of tanker traffic to Mongstad and Sture, and in the form of local and ordinary coastal traffic. So finally, it's good that this government rates in terms of maritime safety and oil protection in the time to come, and assesses it so that it's most relevant in the first instance to upgrade the main depots and replace old equipment. It also appears that everyone is satisfied that there has been an arrangement on this matter. Seaway is highway No. 1st@item: inlistbox
ParlaMint-NO_2007-05-15.ana.ud2683e755	At first, I want to say that the Progress Party is very pleased that the government, after strong pressure, is now finally going in to reestablish the main depot on Fedje. However, I would like to point out that this only happens after the strong pressure, such as. The progress party has had in the matter, and that there had actually to be an accident before the government really got on the track and said that it now wants to restore the depot. The recovery following the ‘Server’ accident has so far resulted in expenditure of more than 200 million. kr. We are of the clear conviction that if the depot in Fedje had been there at the time of the accident, the damage and extent of oil spills on animals and nature would have been far less than the result. This debate is also in many ways a continuation of the inter-pelling debate we had here on Tuesday, May 8. The Progress Party is very pleased that oil protection is now really being put on the political agenda and that this is likely to contribute to the strengthening of oil protection in the future. However, I would like to point out that in 2006, the Council of State chose to keep a report from the Coastal Directorate where there was a review of the need for new acquisition and replacement of oil protection equipment. The report was published as known, but only after the parliamentary leader of the Progress Party sent a letter to the Prime Minister in February 2007. We believe it is very unfortunate when the Government tries to present itself as a government occupied by more publicity, whereas in practice it unfortunately refers to less publicity by exempting the document from public disclosure. The report made it clear that there are serious defects in the equipment we have in the depots and that there is a great need to purchase new equipment. In two years, there has been an increase of over 100 million. kr. There is information that the Council of State has obviously not wanted to inform us about, and that means that we have had a very serious situation in the sense that we have an oil protection preparedness that is both deficient and far from as it should be. This is in stark contrast to what the Council of State said in its article in the interpellation debate last week: ‘The refrigerator has recorded a need for approx. 260 million. spent over five years in order to maintain the oil protection system at an acceptable level. [[...]] So we still have time to follow the recommendations made by the Coastal Agency." It is not the case that the Kystsverk has made a recommendation saying that over five years, 260 million are needed. kr. No, they said that one must have replaced and invested in equipment for 52 million. NOK 2006, SEK 71 million. SEK 2007, 51 million. NOK 56 million in 2008. SEK in 2009 and 30 million. kr in 2010. When we then know that the Labour Party's Tore Nordtun in the debate boasted that the Government has granted 11 million. kr in 2006 and 2007, it shows that the government does not want to help us get a proper oil protection system along our coast. I should also like to refer to the motion for a resolution tabled by the Committee on the Rules of Procedure, the Verification of Credentials and Immunities, on behalf of the Committee on the Rules of Procedure, the Verification of Credentials and Immunities, on behalf of the Committee on the Rules of Procedure, the Verification of Credentials and Immunities, on behalf of the Committee on the Rules of Procedure, the Verification of Credentials and Immunities, on the Rules of Procedure, the Verification of Credentials and Immunities, on the Rules of Procedure, the Verification of It should not be the case that oil conservation is not satisfactory in many places in the country. I would like to point to an area like this. Grenland, where many ships carry dangerous cargo each year, and where a foundation or other would have enormous consequences for wildlife and plant life along the coast. Another example is Frøya/Hitra in the South-Trundelag, where about. 50 pst. of all exports from the South-Trøndelag, most of which consist of resources from the sea, and where you are totally dependent on a marine diet and a fish to feed on. An oil accident in this area would be a disaster both for industry and for the settlement there. We would therefore point out that it is important to ensure good oil protection throughout the country, so that, when the accident is over, it does not have resources to ensure that the damage is minimised. I hope that last week's commitment and debate will help many of the parties to join the Progress Party's proposal, No. 2, which I have explained earlier in my article. I would like to mention proposal No. 1 by the Group of the European People's Party (Christian Democrats) and European Democrats, on behalf of the Group of the European Liberal, Democrat and Reform Party (Christian Democrats) and European Democrats, and of the European People's Party (Christian Democrats) and European Democrats, on behalf of the Group of the European Liberal, Democrat and Reform Party (Christian Democrats) and European Democrats, on behalf of the Group Of course, we are pleased that we are now restoring a main depot for oil protection on Fedje.
ParlaMint-NO_2007-05-15.ana.ud2683e782	The representative, Mr. Bård Hoksrud, has taken up the suggestions he referred to.
ParlaMint-NO_2007-05-15.ana.ud2683e785	The Sture/Mongstad area has more than 3000 ship movements per year. There are more than 1000 tanker calls in these two locations. So there are formidable values and a formidable risk of pollution associated with this traffic. You don't talk about tankers in defined ship managers far off the coast – no, these are tankers that are going to go all the way into the rocks every time. Tor-Arne Stroem said that there is great satisfaction in restoring the main depot. That's what I'm going to do. This is a matter that the undersigned has worked with a lot and for a long time. However, I have to remind you that when Bondevik II went in to move the depot to Florø, it was after a professional recommendation from the Coast Guard. The reason was that there were so many private resources in the area that you could get the help you needed. We saw what happened to the server accident. Just the private resources in the area were not called up. Once again, we see that the Coastal Administration's recommendation was crazy. Therefore, it is also appropriate to note that it was in the time of the Bondevik II government that initiatives were taken to reconsider this decision — in a broader perspective. It is important that people along the coast feel secure that the high level of tanker traffic is as safe as possible and that, in the event of an accident, maximum preparedness is provided for clean-up.
ParlaMint-NO_2007-05-15.ana.ud2683e798	I found it very interesting to follow up on what Right says – also in this case. Not least we have refreshed the interference from Børge Burnde in memory. One has suddenly come on the offensive when it comes to oil preparedness, an offensive that is completely unparalleled in Norway’s history – and at least in the history of the Right. The husband of the right-hand person in this case shall search for a long time to find. In spring 2005, Halleraker and Børge Burnde – and others – decided to move the oil warehousing pot from Fedje. They decided to make oil protection much worse in an area with high tank traffic, local traffic and national boat traffic. With open eyes Halleraker and Børge Burnde participated in this spring 2005. So they're so rude that they say they're missing this issue in the 2006 budget. So in the budget that they wrote, and that we took from them, this government was going to have this deposit back in place. Six months after Halleraker and Børge Burnde joined in laying it down, the new government is expected to put it back in place. The policy is indisposed when a person behaves the way Right does in this matter. I don't know if it's conscious from Halleraker's side when he's on this trick game, but Børge Burnde is very clear that this is a profile that's useful to the Right. For my part, I just want to say that it is very useless for policy – in general – to behave as Right now does. It is a pleasure for SV to be able to repeat the arguments that one had when this matter was dealt with in spring 2005, when Bondevik II, with Børge Burnde at the head, dropped – and moved – this depot. All the arguments used today to restore the depot had SV in their comments when one dropped it. The fact that all the parties now seem to be some of the comments and the conclusions that SV had in spring 2005, I see as positive. The right and second parties should listen more to SV’s conclusions at an early stage, so that one can avoid making such whistles as one did in spring 2005. Today, the revised budget is presented. Today, it is clear that the government has 29 million rights. kr for this cause. So we're dealing with -- we're not saving money on this important depot, we're spending money on it. Then a question, as some parties do, about oil protection in general, as we discussed last time. My advice to the Government and my future is that of course we should increase our efforts more than we have done so far. I am very pleased that the government is now spending money on restoring the deposit in Fedje, which is what Kvassheim and Børge Burnde and Knut Arild Hareide from the previous government put down, despite the fact that the same arguments they use today to restore the deposit were used by SV and the other party in spring 2005.
ParlaMint-NO_2007-05-15.ana.ud2683e815	The Christian People's Party supports the reestablishment of the main depot in Fedje and the strengthening of oil protection in this area. When MS «Server» appeared outside of Fedje in January this year, there was little indication that environmental damage could have been avoided as a result of the accident if Fedje had had a higher deposit status. The Christian People's Party claimed that there was a derailment in the debate to say that the main reason for the environmental damage was that they did not have a main depot. We're still holding on to that. There are other factors that have to explain why the accident was not handled better. I think that part of the answer is that we have too old an outrage placed on the depots. There are newly developed equipment that we need to put in place as soon as possible, whether it is a main depot or an intermediate depot. Serious accidents often occur in severe weather conditions. Then we have to have a readiness that works. With regard to the transfer of the main depot from Fedje to Florø, supported, as far as I know, the majority of the Storting – all except the Advance Party – this, because we were recommended by professional authorities, such as the State Pollution Agency and the Coastal Agency. The move was justified by the need to reduce the response time to the northwards regions towards City. At the same time, oil protection in North Hordland would be satisfactory with only the mid-deposit of Fedje. It also turned out that there were good reasons why a main depot was established in Florø, but, as the Christian People's Party, the Right and Workers' Party pointed out when we dealt with the maritime safety announcement in spring 2005, there were good reasons why it had to be considered that it was also necessary to restore its own main depot in Fedje. In the autumn of 2006, an overall opposition reiterated the need to restore a main depot in Fedje. That is why we are pleased that the Government has now taken this decision, and that a total increase today supports the restoration of the main depot in Fedje.
ParlaMint-NO_2007-05-15.ana.ud2683e826	Maritime traffic along the coast is a visible sign of value creation and of the globalised economy. The prosperity of our country is largely linked to what's happening in the ocean. That is why maritime transport is very positive. At the same time, this maritime traffic also poses a significant threat to the environment. So oil protection is a topical and important issue. We are constantly reminded of how vulnerable our nature is to the spreading of chemicals and the greed that emissions into the sea lead to. After MS "Server" appeared in winter, the discussion of a main depot for oil protection equipment on Fedje came back strongly on the agenda. Fat is centrally located in relation to tanker traffic to Mongstad and Sture, and there is also much other traffic in the area. Contrary to what Jan Sahl from the Christian People's Party just said, the Center Party has always felt that there is a need for a main depot in Fedje. We're glad that the government thinks the same thing, and that there's money coming to this now. These funds lead to the strengthening of the oil protection equipment and to the restoration of a clear crew force that can use the equipment. The risk of loss and discharge into the sea is never eliminated. However, measures to reduce the risk are important, and it is important that we have a good oil protection system that can work quickly and efficiently when accidents are out.
ParlaMint-NO_2007-05-15.ana.ud2683e835	Gunnar Kvassheim has asked for the floor, and he is given the floor before the Council of State, Helga Pedersen.
ParlaMint-NO_2007-05-15.ana.ud2683e838	I would like to start by pointing out that I was subscribed as a left-wing speaker both in the previous case and in this case. In this case, it shall be relatively rapid. It was a right decision to strengthen oil protection by establishing a main depot in Florø, but it was wrong to do so at the expense of the depot in Fedje, even if it was done on the basis of the professional recommendations that had been obtained. The left is pleased that there is now a system of main depots both in Florø and in Fedje. We took note of the 2007 budget, where we wanted this to be done as quickly as possible. Although the representative Hallgeir H. Langeland acts as offended when one points out that today’s government has also previously had the opportunity to restore the depot in Fedje, one must be able to point out that such a proposal did not come into the budget for 2007. However, that is history. The most important thing now is that the deposit is put in place, and it is gratifying that it has also been followed up with an allocation in the revised budget today, so that this can be done quickly. I want to make a few comments on oil protection in general, because it is important that you realize that the job of strengthening oil protection has come a little, but important, step forward with today's decision. But a lot of work remains. The Bondevik II government put these issues on the agenda with full emphasis through its own communication on the marine environment and a number of actions. Measures were put in place to strengthen the tug-boat capacity, get new sailors, etc., a work that has been followed up by today's government. But in the light of the attention given to today's case and other matters, I expect that there will be appropriations in the state budget that reflect an increased priority in this area. I would also like to express some concern about the follow-up to the Northern Region Management Plan, where there was a premise that there would be an increased preparedness for oil activity. There should also be increased preparedness when it comes to environmental information and monitoring, including in relation to seismics. As far as seismic activity is concerned, it has been followed up, but a similar follow-up in the case of oil protection equipment has not been seen. I expect something to be done in the 2008 budget.
ParlaMint-NO_2007-05-15.ana.ud2683e854	The cargo boat accident MS ‘Server’, which sank outside of Fedje in January of this year, updated the question of the need for a main oil protection depot in this area. It was Bondevik's second government that in 2005 closed the main depot in Fedje, despite massive protests, especially locally. There is considerable shipping in Northern Hordland, both in the form of tanker traffic to Mongstad and Sture and in the form of local and ordinary coastal traffic. Fats are centrally located in relation to this traffic, and the Government therefore considers it important to strengthen oil protection in the area and see it as important to repatriate the depot in Fedje as its main depot. I am counting on Stortinget's support for the Government's proposal to grant 29 million. kr for this in the revised national budget, so that the main deposit in Fedje may be in place already during 2007. In this way, there is a significant strengthening of the oil protection equipment in Fedje, and a trained crew force capable of mobilising and operating the equipment is established. Re-establishment of the Fedje depot is in addition to the 15 main depots already established along the coast. This therefore means strengthening the overall preparedness for acute contamination. Then the Coastal Authority's report on the upgrading of oil protection equipment has been mentioned from the pulpit. I should therefore like to comment on it. I hear that the opposition is talking about this report as if it were not public. It's not. It is public and has been so for several months. It has even been mentioned in the 2007 budget term, so there has been no secret that such a report is available. The report we are talking about here was completed in October 2005 and is seen as a status for oil protection as it looked when the Bondevik II government went off. Once the Coastal Plant has estimated a need for investment of 260 million. kr in five years, it includes a aftermath from the previous government. In 2001, the SFT was the department responsible for oil protection, and SFT is known under the Ministry of Environmental Protection. In 2001, SFT said in a report that 60 million were needed. Three years in order to upgrade the oil protection equipment. This resulted in a real increase of a little over 2 million. in 2002, when the then Minister for the Environment, Børge Brende, was responsible for oil protection. The status today is that the preparedness is satisfactory in relation to the risk assessments carried out, but the Coastal Plant has therefore proposed a five-year upgrade plan for the replacement of the oil protection equipment. It is a matter to which the Government shall return in the annual budgets. The Government shall, when designing the oil protection equipment, rely on technical advice from the Coastal Works, but the oil protection equipment is ultimately the responsibility of the Government, regardless of the colour of that government. Therefore, the Right cannot cover itself behind the Coastal Works in the case of Fedje. It wasn't the Coast Guard that put down the main depot in Fedje. It was the Bondevik II government that did, with the then Right State Council Svein Ludvigsen in the head. There has been a lot of talk about turning operations today. I am pleased that the Right now turns around in this matter. I also think it is both pleasing and interesting to note that the opposition is making greater demands and has greater expectations and confidence that the Stoltenberg II government will be upgrading the oil protection equipment than it had to its own government, which went off a year and a half ago.
ParlaMint-NO_2007-05-15.ana.ud2683e874	It's going to be line change.
ParlaMint-NO_2007-05-15.ana.ud2683e877	First of all, the report. I think it is a little special that the Council of State says that the report has been public for many months. It is true that the report was completed on 9 January 2006 and on 20 February 2007, the Progress Party Group receives a reply from the Ministry that it has now gone through the Coastal Authority's letter, which can be exempted from public disclosure. The Ministry writes: ‘The Ministry of Fisheries and the Coastal Region has, on the basis of your enquiry, re-examined the matter and, in line with the third paragraph of Section 2 of the Public Health Act on more publicity and the considerations behind the Environmental Information Act, has decided that the document should be transparent. In line with the second paragraph of Section 33 of the Administrative Act, the Ministry of Fisheries and Coastal Affairs has thus decided that the document is public.» It's not been months, it's been a very short time. It is therefore especially when the Council of State in the Interpellation debate on 8 May says that ‘from today’s risk assessment, oil protection is satisfactory’. The Council of State still believes that oil protection is satisfactory, when it is about missing. One hundred million. kr in relation to the needs mentioned in the report exempted from public disclosure by the Council of State on 9 January 2006?
ParlaMint-NO_2007-05-15.ana.ud2683e889	This report is mentioned in the 2007 budget proposal. It has not been secret that this report is available. It's public. Now let's agree on that and then discuss the contents of the report. It is not uncommon for the departments to take time to assess the advice of the professional authorities before publishing the report and the supporting material itself. 19th concession round was a glittering example of that, in which the previous government refused to supply material from, among other things. SFT, Marine Research, Coastal Works and Fisheries Directorate. It was this government that had to take the job of publishing that material. I would like to reiterate that oil protection is satisfactory today in the light of the risk assessments that have been carried out. The Coastal Works report points to some of the challenges that we have, but they have spent a five-year run on those investments. A multiannual perspective is needed to assess that report, and the Government will come back to that.
ParlaMint-NO_2007-05-15.ana.ud2683e898	As a representative of the party that sat in the previous government, I of course do not deny that we went in on advice from the trade union to move the depot. However, as has been said by this government representative here today, it is precisely the profession to be trusted in such decisions – then with reference to the previous case. Now it turns out that both in this case and in the previous one, you have chosen not to do so in the longer term. However, my question goes to the Council of State, which says in the Evening Post today that oil protection is currently satisfactory in relation to the risk assessments available. But it is not in line with the report that has been presented. Except for the 29 million. for the restoration of Fedje, no more money has been brought into the budgets for oil protection. Can the State Council of the Pedersen respond to this?
ParlaMint-NO_2007-05-15.ana.ud2683e905	We should listen to and base our policies on professional advice, in this case from the Coastal Agency. It is important for the Government that we do not act in spite of the professional advice given by the Coastal Administration, and that is among other things. central to the previous case we were dealing with, on the U-864. But when the Coast Guard provides professional advice, there is nothing in the way that the Government can do anything more than what the trade unions propose. In that light, we are now proposing to re-establish the main depot in Fedje – among others. in order for the local population of Fedje to feel secure for their daily lives, in addition to strengthening oil protection. I just want to repeat that the report from the Coastal Works we are discussing here needs to be read in a five-year perspective. It is not that the oil protection equipment has suddenly become so much older and more out of place in the year and a half since the Bondevik II government left the government offices. There was also a report in 2001 that the Bondevik government and Børge Brende did not choose to follow up.
ParlaMint-NO_2007-05-15.ana.ud2683e914	The Council of State points out that the debated report, with recommendations from the Coastal Agency, was discussed in the budget. But these were not the recommendations made by the Swedish Coast Guard Agency, which would have been an important decision-making basis for the Storting when we were going to decide how much resources would be used in this area. On the contrary, when an attempt was made to obtain access to the report, it was notified that it was not public. It was after a lengthy work by the Progress Party’s large-scale group that one assessed more publicity and nevertheless considered not to do so for the sake of the public debate. In any case, it tells us that the duty of a public authority to assess more publicity was not followed in the ministry at the time it should have been done, but only after pressure from the Progress Party and one year afterwards. Can the Council of State ensure that the principle of more transparency as described in the Public Health Act will be practised continuously in the Ministry and not only by external pressure?
