ParlaMint-NO_2007-11-21.ana.ud1835e24	The representative, Odd Einar Dørum, will put forward a proposal for a representative.
ParlaMint-NO_2007-11-21.ana.ud1835e532	Lars Sponheim – for follow-up questions.
ParlaMint-NO_2007-11-21.ana.ud1835e535	We'll have to take the climate negotiations when that time comes. I believe that it is the polluter-pays principle that carries these requirements. Since this is also a bit of an environmental and climate history, I remember well back to the middle of the 1990s when the then representative Solheim and I walked around and was very angry – to say it like this – at the plans of Naturkraft, among others. about building Kårstø. I remember that then the manager, Auke Lont, was a guy we at least didn't like so much in that context. He says today about this: «In my period from 1994 to 1997, I said that the polluter should pay. Based on that, a polluter has to buy allowances. I didn't see it as a problem either. Wages are falling, but electricity prices would have risen because coal power stations had to buy even more allowances.» Although they pay for these allowances, it would also be the way that their competitors pay even more for the allowances. I certainly know that the Council of State is fighting everything he can for this environmental position internally in the Government. But then he has to show some procedural answers here today. So my question is quite simply: do I need to wish the Council of State happiness?
ParlaMint-NO_2007-11-21.ana.ud1835e547	Yes!
ParlaMint-NO_2007-11-21.ana.ud1835e552	Thank you! I don't need any more, President.
ParlaMint-NO_2007-11-21.ana.ud1835e557	I always want the Stortinget to wish me luck in the environmental struggles I'm going to engage in. It's just joyous. Let me add: Although Sponheim well understands that I have nothing more to say about the quota reserve right now, there's one thing we can be proud of in common, and that's the fight we've been fighting against gas power plants for many years. We would have been in a much better situation if this had not happened. I am proud of the camps I attended under the auspices of the Federation of Nature and Youth. Sponheim may be proud of part of the position taken by the Bondevik I government in this area. We would have been in a better situation if this had not happened. Now it's happened. Now, what we're facing is finding a national compromise on how to solve the immediate situation right now. However, it is essential that after 2012, we enter into a long-term, committed, international allowance system in which the principle must be that the polluter pays, and that, after that, there are no exceptions and transitional arrangements.
ParlaMint-NO_2007-11-21.ana.ud1835e564	Let's move on to the next main question.
ParlaMint-NO_2007-11-21.ana.ud1835e567	I have a question for the Minister for the Environment. The government pushed through a climate quota law at the end of the summer, even they were so in a hurry that the Storting had to extend their session. The previous round of questions showed that the Government has not in any way clarified what the climate allowance law should actually contain when six weeks before it comes into force, cannot say which principle to base. I understand that the Council of State cannot say in detail what the law means, but that he is unable to clarify the principles, says that this is really poorly prepared. The fact that the draft consultation has not even been completed six weeks before its entry into force indicates little about the predictability of the policy pursued. However, the law will undoubtedly give Norwegian industry a significant extra bill. Former Minister for the Environment, Bjørnøy. 560 million. kr per year, or DKK 2,5 billion during the working period. Holdings are at risk of closure. NorFra Kalk in the South-Trøndelag is an example. Kårstø may be another example if the Government does not reason. It is not just the quota costs that will be affected. Power prices will also be significantly influenced by the climate quota law to be implemented by both Norway and the EU. Energy analysts assume that current prices will increase by at least 10 øre per. kWh as a result of CO2 costs for coal-fired power plants. For power consumers in Norway, this will mean an extra charge of at least DKK 12 billion per year. The price increase is therefore due to the cost of CO2 from foreign coal power stations. This is a paradox and is perceived as improperly unfair for Norwegian electricity customers, which is largely based on hydropower – i.e. CO2-free power. It is a bit of coal power imports, but with a more efficient energy policy, one could avoid this. Current customers are then victims of a misguided energy policy and a misunderstood environmental policy. Will the State Council do anything to prevent Norwegian electricity consumers from getting this shock increase in electricity prices as a result of CO2 emissions from coal-fired power stations in Europe?
ParlaMint-NO_2007-11-21.ana.ud1835e594	If Solvik-Olsen was to make a contribution to justify why the Progress Party is not a current partner in the hopeful climate agreement, he can keep the very post that was held here now. It's to find one reason after another for why you shouldn't do anything in this area, and the very opposite of what Kvassheim and Sponheim previously recommended that we do. It is not possible to conduct climate negotiations with those who will definitely make the climate worse and go against any sensible action in practice in this area, and with a bourgeois opposition of the Right, the Christian People's Party and the Left who have made some constructive proposals on how to develop policies in this area. It is not possible to satisfy both of these, and we want a dialogue with the constructive bourgeois opposition, not with the Progress Party. So touch the representative into a series of questions. NorFra Kalk is a matter that is now in ESA, and we will await the conclusion there. If I can end by enjoying Solvik-Olsen, since we had a dispute yesterday about the biomembrane, we have now been in contact with the founder behind this invention. We'll try to meet him in the near future and see if there's anything we can do to help him through the system. The first response we received was that there are not so many questions about money as about other arrangements that he may need to move on. I hope at least there can be a good news for Solvik-Olsen.
ParlaMint-NO_2007-11-21.ana.ud1835e604	I was actually standing here waiting for an answer to the question. This was not an argument against the climate quota law as such. The question is: how are we to prevent the unintended effects that are only a cost to Norwegian electricity customers – a cost of DKK 12 billion – when, after all, CO2 free power is used? That's what the question was about. Governments should be aware that the Progress Party has presented a comprehensive action plan with over 30 points on how we want to comply with the Kyoto agreement, but I do not think he has read the document. So this is not a debate about or against the Kyoto agreement, it is not a debate about or against doing anything to reduce CO2 emissions, but it is a debate about doing so in a smarter way than just reducing costs to consumers, as the government is doing by introducing a law that is flagging emissions out of the country but not reducing them globally, because it makes it impossible to do this in Norway. So I ask you one more time: will the Council of State try to do something to prevent the unintended consequences, that Norwegian electricity customers have to pay for there being CO2 emissions on the continent?
ParlaMint-NO_2007-11-21.ana.ud1835e622	Now, if we get what we all want: a well-functioning international carbon and carbon emission allowance system that has carbon in it, it will lead to a higher price on something as valuable as Norwegian electricity. An increased carbon price internationally will simply give one of Norway's largest resources, hydropower, greater value. It's an unintended effect in itself, but it's not necessarily negative. It can also help us, precisely because this is such a great value for us, start to house better with it. We've been waiting for Norway – it's about myself, and I want to tip it off about Solvik-Olsen too – not to be so very careful about the use of our hydropower resource, our electricity use, because it's had a very low price. So if the price of this very valuable positive Norwegian resource was going to increase somewhat, then it's an unintended effect of what's happening internationally, but it's basically also positive, because it'll make us appreciate it more and reduce its use.
ParlaMint-NO_2007-11-21.ana.ud1835e627	Due to the time, there are two follow-up questions – first Svein Flötten.
ParlaMint-NO_2007-11-21.ana.ud1835e630	My follow-up question goes to the Minister of Finance. Solvik-Olsen was concerned with the electricity price, which is a function of what was built out of hydropower. There has been a stream of small-scale owners in the financial committee this autumn who have said that the new rules on interest-rate taxation will destroy the profitability of existing small-scale power plants and prevent the development of new small-scale power plants. If it is that you are busy with electricity prices, that you are busy building renewable energy, environmentally friendly energy, why is the right approach to provide significant tax increases that make this activity unprofitable?
ParlaMint-NO_2007-11-21.ana.ud1835e639	If we first say a few words about the power price, it will be that those who want to build out small power plants, as an effect of what previous questions asked, are in the vicinity of projects that can yield even better returns than they previously saw. So to the proposal contained in the State budget. Now the Financial Committee is presenting its position today, and I know that the majority there is asking for a closer look at the framework conditions for new and renewable energy. But it is not the case that these proposals for taxation in the case of small-scale power plants make previously profitable investments unprofitable. The real interest rate tax is geared towards an exceptionally high rate of return, because a common natural resource, namely hydropower, is used. And that's how a basic interest tax is to be set up.
ParlaMint-NO_2007-11-21.ana.ud1835e646	My follow-up question goes to Environment Minister Erik Solheim. With the last interim report of the Intergovernmental Panel on Climate Change in mind, the Christian People's Party is concerned that in Norway we need to be more effective in streamlining the use of our power. We've been blessed for a number of years with a lot of clean force, which means we've wasted a lot. The fact that the electricity prices resulting from the CO2 charges in the Kyoto Agreement will now increase from 1 January will hopefully help us to improve energy efficiency in our homes, in our industry and in the public sector. That's good, and we've already seen trends of that. But at the same time, the increased electricity prices will lead to increased revenues from the energy companies and their owners, which are mostly the state and municipalities. In order to counteract any dissatisfaction among people most when prices increase, I believe that the investment in climate action must be as high as the income that the state will now receive. Then my question is: will the Council of State work to ensure that the expected increase in revenue from a publicly owned energy company next year goes to climate action?
ParlaMint-NO_2007-11-21.ana.ud1835e660	I do not know whether that type of direct ringing is appropriate, but I fully share the two basic reasoning contained in the representative's articles. Getting a gradual increase in the price of energy, of course including an environmentally friendly form of energy like hydropower, will only be positive. Anyone who has had a person from Italy, for example, on a visit at home, knows that he runs around the apartment and turns off every break before she goes out, because they're used to, while we've been used to, even in the middle of the summer, letting it all just stand on because the power price has been historically very, very low with us. It's an advantage if we make friends to save, and energy efficiency is globally one of the most important measures against climate change. It is a tragedy that many poor countries perceive this as something we have made to thin them. Several UN conferences have emerged. Energy efficiency has enormous potential. When China’s prime minister was in Japan shortly back, it was found that Japan is six times eight times as energy efficient as China. It shows the enormous potential of global energy efficiency improvement.
ParlaMint-NO_2007-11-21.ana.ud1835e667	Let's go to the last main question.
ParlaMint-NO_2007-11-21.ana.ud1835e670	My question goes to the Minister of Health and Care. In my view, health and care services, as well as welfare services, are for the benefit of users. The overall obligation for us politicians is to ensure that users receive qualitatively good services at the time they need the services. Earlier in today's Question Time, we heard the Minister of Finance providing a glittering defence for the private initiative and for the market mechanism for child care. I really appreciated that. But then it's mysterious why the government the Minister of Finance is in, has written in his Soria Moria statement that in the health and care sector, you want to reduce the use of private providers. Then you have to ask, what's the reason for that? Is that consideration for the users? It can't be. There must be some very specific ideological principles, namely that these services are for the sake of the public sector and for the bureaucratic system that administers the public sector. In the last year, we have seen numerous examples of private rehabilitation and training institutions working heavier and heavier because they are not allowed to use their capacity. We have seen that the health cows in the last year have increased for the first time since the hospital reform, with 20,000 where the previous years have decreased on average by 20,000 – i.e. in reality a difference of 40,000 in one calendar year. Will the Minister of Health take on board the consequences of the now ambiguity of the figures and start to assume that even in the health and care sector, there is a need for users to weigh more heavily?
ParlaMint-NO_2007-11-21.ana.ud1835e679	It is a matter of course of concern to users and patients who count most in terms of health policy. It was just supposed to be missing. So to the representative's pay statement that the queues are growing. Yes, it is true that others are in line, but that is not the main problem. The time they're in line is actually shorter now than when we took over the government after the government put in the right. One reason why more people are in line is that we are still getting more treatment options, which means that things we couldn't deal with before, we can treat today. The challenge is that people should be there for the shortest possible time. So it's not right, the picture that the representative Wage and other representatives from the same party are trying to create that we're going to have an allergy or something similar to private. No, we have extensive cooperation – and a good cooperation, I would say – with private ideals. It's about hospitals – we've just had a round about it – and it's also about private rehabilitation institutions, of which I'm a strong supporter. Not least, the system hastening back will lead to us being able to fill up many more of them as well. What we have said, on the other hand, is that in the case of private commercials, with which we also have good cooperation, and with which we are now exploiting even more, not least through the Accelerate Back Scheme, it is important that we also use the capacity of the public sector. In Hedmark, we now have an experiment with something we call patient helpers. It is simply people who in four selected municipalities are employed to help people get into hospitals faster. Just by that grip, people get faster. It's mainly in public hospitals. It shows, together with much other evidence, that in parts of the country there is still free capacity, even in some public hospitals. We have to take advantage of that. In addition, we will have good cooperation, extensive cooperation, with private ideas – we have a lot of them – but also with private commercials. There we also run something more on now, not least in relation to the speed up back system.
ParlaMint-NO_2007-11-21.ana.ud1835e690	It was just supposed to be missing, said the Council of State, and I agree with that with the heart, but then one has to ask again: why has the statement written in the Soria Moria Declaration been written, and said in the form of a charge to regional health firms, that they should step down the use of the capacity that actually exists in both private health institutions and rehabilitation and training institutions? Is this message the Government's message still, or has the Government now changed the message, which I believe could be heard out of the Council's response, where she almost embraced both private ideal and private commercial service providers? The government has to decide: if it is serious about imposing a reduction in the use of private capacity, yes, hospital queues will continue to increase. It's bombproof, and the Council of State's own profession has said so publicly. It is not credible to say that it is the last calendar year that medical science has made such enormous progress. That progress has been going on for all the years.
ParlaMint-NO_2007-11-21.ana.ud1835e696	I hear that the representative now says that I should have said that it is the last calendar year that technology has speeded up. I've never said that. I have said that in a very short time the technology is moving forward. I understand that the representative for the payroll is looking to hear that the waiting time is now shorter than when we took over after the Right sat in government. It is also true that the waiting time within very many areas from other tertiary last year to other tertiary this year has also fallen. But we're not satisfied with that, because we're going on. So once again, the problem is not that people are in line, because we can deal with even more. The challenge is that they should be there for the shortest possible time. So I would say, we haven't given a management message that one should not use private rehabilitation institutions. It doesn't say anything. What we have given a management message about is that, in the case of hospitals, one should primarily take advantage of the public hospitals. There are also volunteers, the ideals, because in parts of the country there is free capacity. Then we've said that when it's done, a seafarer should also use private, commercial to the extent necessary for patients to get to the fastest possible. That's what's in it. But there is capacity in public, and it should be used with respect, so that we make the best possible use of public funds.
ParlaMint-NO_2007-11-21.ana.ud1835e705	Now there are only two follow-up questions, for the sake of time – first Harald T. Nesvik.
ParlaMint-NO_2007-11-21.ana.ud1835e708	It is true that until 2006, queues fell, but the problem to the Council of State is, of course, what has happened from 2006 to 2007. Then the positive trend one was in, turned around, and the queues increase seriously in Health-Norway. Furthermore, reference is still made to the period 2005-2007. It is now possible to start using 2006–2007. Then you can see that the queues have increased and the waiting time has increased. So the council says something that it's nice to listen to, and then we'll see if it's right. The Council of State said the following: first you have to see what capacity you have in public, and if you don't have capacity there, you should also be able to use commercial private hospitals. Then I ask the Council of State the following questions: What is acceptable waiting time for a patient? If a patient is in line for nearly three months, it must be because there is no capacity in the public health system. Will the Minister of Health then ensure that private use is possible?
ParlaMint-NO_2007-11-21.ana.ud1835e715	Let me first draw my attention to that 66 pst. of all patients come in for immediate help, i.e. they come in on the day and at the hour if necessary. Those in line are usually patients waiting for scheduled surgery. How long it is acceptable to wait will depend on what kind of suffering it is. What is joyous is that the overview now shows that it is the sickest people – and it should just be lacking – who are now the fastest. That's the way we want it to be. Then, as the representative Nesvik says, I would like to keep to the figures from 2006 to 2007. Then it's actually wrong what the representative here says, that the waiting times are increasing, because they don't. The waiting times have fallen for most, but the queues are increasing. But once again, it can't be that we make it a problem that as technology moves forward, we can treat more diseases! There are many people who would not have been in line if we had not had treatment options, and here I can point out many areas. But the waiting times have to go down further. Not least, the Government has now made a new proposal to provide a specific waiting list guarantee for children and young people in the field of mental health protection, to mention one example.
ParlaMint-NO_2007-11-21.ana.ud1835e722	Laila Bavøy - for follow-up questions.
ParlaMint-NO_2007-11-21.ana.ud1835e725	It is in fact a reality that the Government, with its policy, ensures that private rehabilitation institutions either have to wind up or reduce the number of places. If we take figures from the Government's own strategy plan for rehabilitation, it says that there have been 4 500 fewer stays in these institutions from 2005 to 2006. Then the Government points out – and the Council of State has also done it here in its first response – that ideal private rehabilitation institutions have got agreements through the Rapid Rehabilitation Scheme. Yeah, they do, but there won't be any patients there. We know about rehabilitation institutions that have got agreements, but faster back hasn't exactly been a success. So they're standing there with empty beds. We need a lot more rehabilitation. And if patients who need rehabilitation do not stand in line – it is possible that the queues do not grow – they do not actually get rehabilitation, because the right that they have under the law is very poorly cared for, and it is known to the Council of State. What are we going to do, Councillor, with this big problem?
ParlaMint-NO_2007-11-21.ana.ud1835e734	I fully agree with the representative Davøy that we need more rehabilitation, we are not in the target when it comes to it. However, it is also important to stress that the vast majority of rehabilitation in Norway today takes place in our hospitals. Then it happens in the municipalities, and much more probably also has to happen in the municipalities, because that's where people live. And then we have the private rehabilitation institutions. We believe that they play an important role. So it's true that there have been some changes. These include: that there is more attention to quality, and I assume that we agree that there is a point that those in rehabilitation institutions are actually being rehabilitated. Unfortunately, there is a slight variation in the quality of any of the offers that have been made. I wonder that the representative Davøy now falls such a negative judgment over the order of the Raskers, because through it there are a good many people who are rehabilitated. What also turns out is that there are people who often have more complex disorders, who can't cut their fingers off and make one offer. It is often a multidisciplinary offer, which requires much greater efforts both in hospitals and in rehabilitation institutions. However, rehabilitation institutions are now in the process of being filled up more, not least through that scheme.
ParlaMint-NO_2007-11-21.ana.ud1835e743	The oral question procedure is now over, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2007-11-21.ana.ud1835e749	There will be some changes to the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 6, from the representative of Mr Ingreig S. Sørfonn to the Minister for Foreign Affairs, will be answered by the Minister for the Environment and Development on behalf of the Minister for Foreign Affairs, who has left. Question 19, from Robert Eriksson to the Minister for Labour and Inclusion, is answered by the Minister for Health and Welfare on behalf of the Minister for Labour and Inclusion, who has been away. Question 20, from the representative Christian Tybring-Gjedde to the Minister of Justice, is moved and answered at the request of the Council of State for question 11. Question 21, from the representative Ola T. Loan to the Minister of Culture and the Church, is postponed until the next Question Time, when the Council of State has left. Question 24, from the representative André N. Skkelstad to the Minister for Agriculture and Food, is postponed until the next Question Time, when the Council of State has left. Question 25, from the representative Torbjørn Hansen to the Minister for Agriculture and Food, has been withdrawn.
ParlaMint-NO_2007-11-21.ana.ud1835e772	I have the following questions for the Minister of Finance: «The Tax Act sets the tax liability limit for income of DKK 140000 for charitable and non-profit institutions and organisations. This amount has remained unchanged for a series of years, so that the real value of the tax exemption for income below that threshold has gradually been reduced. Will the Council of State contribute to the adjustment of this ceiling on the amount so that, for example, there is room for increased organisational hard work without triggering tax obligations?’
ParlaMint-NO_2007-11-21.ana.ud1835e781	The scheme with a lower level of taxation in charitable and non-profit organisations intends to benefit small local teams by simplifying the working conditions of these types of organisations. The goal is, among others: to create better conditions for income creation and paid work, for example: trainers, instructors, conductors, etc. The tax liability limit in charitable and non-profit organisations was last changed in 1998 when it was raised from NOK 70 000 to NOK 140 000. So the representative Kvassheim has been in position at previous intersections to do something about this sea. Through the current amount limit, non-governmental organisations have been granted a competitive advantage over ordinary traders. An increase in the amount limit will reinforce this distortion of competition. I also point out that non-governmental organisations have already been given a number of reliefs in relation to the ordinary tax rules, for example. related to VAT. At the same time, I remind you that the Government of this year’s government budget has proposed a significant increase in the limits on the payment of the employer’s contribution and the obligation to pay wages and salaries of non-governmental organisations. The limits for the payment of the employer’s fee have been proposed increased from NOK 300000 to NOK 450000 for the organisation’s total wage and salary costs, and from NOK 30000 to NOK 45000 for the individual employee when the organisation’s total payments are less than NOK 450000. These limits were last amended in 1997. The salary obligation limit has been proposed double in the year’s budget, from NOK 2000 to NOK 4000. This limit was last amended in 1992. The government’s proposals contribute to improving the framework conditions for this type of organisation. In any case, issues relating to changes to the tax regime must be assessed against other measures and the expenditure side of the budget in the ordinary budgetary procedure.
ParlaMint-NO_2007-11-21.ana.ud1835e792	I thank you for your answer. I have no problem understanding that one must have a delimitation in relation to competing businesses. Once this case has been raised, it is because a sports team in Rogaland got tax liability because one stood guard at a parking lot at Viking's home matches. There is no competition with business. My supplementary question to the Council of State is: Will she go through the law to see if a person can create a greater opening for that kind of income, without going beyond what is meant by this limit, namely to protect competition with business? Then I am glad that the Council of State refers to what has been done with regard to the employer's fee. It was a proposal from me on behalf of the Left, in which we received clear feedback from the Ministry of Finance that it was a bad proposal, because it would undermine the basis for the tax reform and should therefore be rejected. That's why it's very positive that the government looked at its own keel to bring this into the next state budget. Can we expect a similar positive news from the proposal I am suggesting today?
ParlaMint-NO_2007-11-21.ana.ud1835e799	As the representative of Kvassheim noted, we have made various improvements in the case of non-governmental organisations, and changed the amount limits that have not been changed in very many years, over 10–15 years. This means that today’s government has a positive attitude to finding a good framework for voluntary work. I tend to say that it is the janitor who is the real hero in voluntary Norway, because it is perhaps the work that seems the least, which is the most wooden, and which is going around the kitchen tables, often after the evening news! So it's important that a layer is as simple, transparent and liberal as possible. You also have, as Kvassheim says, consideration for those who are engaged in business and who can be out-competitive by large and perhaps more professional sports. I'm looking all the way at whether there are more reasonable boundaries to where these competitions go, and I'm going to continue to do that. That's this balance we have to figure out all the way out.
ParlaMint-NO_2007-11-21.ana.ud1835e806	I thank you for the additional reply. What is my concern is that there is developing a kind of gainful work in the voluntary sector that is affected by this provision, which was not intended to be affected by it. For me, there's two ways to approach it. One way is to clarify the determination, as many agencies have said it is necessary, because it is interpreted differently from the municipality to the municipality. There's no good situation. I hope I can perceive the Minister of Finance's answer so that she will go through the law on the basis of the examples that have been, to see if there is room to make adjustments that make what is unintentional not affected by this provision.
ParlaMint-NO_2007-11-21.ana.ud1835e813	I would like to take a closer look at the issue raised by Kvassheim. I also see that there are two ways to approach this. One is to raise the boundaries, which there are quite a number of counter-conceptions against self-employed workers, in other words to look at the interfaces in question and whether they are real in terms of competition with regard to private business. I'll take a closer look at that.
ParlaMint-NO_2007-11-21.ana.ud1835e823	I have the following questions for the Minister of Finance: ‘With the pressure of drag, large police forces and the tax administration recently acted against a named entrepreneur company in the Oslo area, then targeting the company for extensive crimes. According to the Evening Post on 9 November, there is a great deal of evidence that the intended parties have not done anything wrong, and the tax rate has also dropped the guarantee of the claim completely. What will the Council of State do to ensure that the implementation of the necessary bookkeeping and accounting controls in Norwegian enterprises does not degenerate into a public jam with full press coverage?’
ParlaMint-NO_2007-11-21.ana.ud1835e832	The issue referred to in the question is a criminal matter. Its handling falls within the responsibility of the police and prosecution authorities. I cannot go into this specific matter in the further answer. Accounting supervision and control is an important part of the control activities of the tax administration. This type of control may have different rating. The tax base uses both controls where those to be checked are notified in advance and checks carried out without warning. Furthermore, the nature of the checks may be such that the entire accounts and documents of the establishment are reviewed, while at other times only parts of the establishment are checked. The control activities of the tax authorities are governed by strict rules of professional secrecy. Employees in the tax system are obliged to prevent unauthorised persons from being given access to information on any person's property, income or other economic, business or personal circumstances. This places considerable restrictions on the right of the tax administration to inform press or others about bookkeeping in specific establishments. Different information measures are important to make taxpayers comply with tax law. However, experience shows that information and knowledge about obligations is not sufficient for many taxpayers to comply with the legislation. The control activities of the tax administration are important to ensure compliance. It is clear that the tax rate does not have the resources to constantly control all those operating. Therefore, an important element of the monitoring work of the establishment will be to provide generally anonymous information on the checks carried out, where appropriate, to be carried out. This contributes to a better understanding of the risk of being discovered. Using media for such general information is both necessary and legitimate. However, it is important that the information activities of the tax administration, with a view to working preventively, do not go beyond the limits of professional secrecy of individual taxpayers. The establishment shall not give prior notice to the media of any action against named companies nor shall it do so, as the Ministry of Finance is aware. In order to increase the risk of discovery experienced, it is also important that the media inform about taxpayers convicted of serious tax evasion. The freedom to provide information on criminal prosecution/crime is governed by the law applicable to the police and prosecution authorities and to the courts. The fact that the tax rate occasionally assists the police in criminal proceedings, which for various reasons are put up in the media, does not mean that the agency is the source of the petitions.
ParlaMint-NO_2007-11-21.ana.ud1835e852	I thank you for your answer. Of course, I was not concerned about this particular matter, but I think the newspaper essay was a very good illustration on the two sides we have in tax evasion, namely that of course we should inform and invest a lot of resources to discover and reveal that kind of thing. On the other hand, taxpayers and businesses must have a guarantee that they are anonymised, that they are treated in a real and fair way. I see the Council's answer as – although it is not entirely stated – that it might be inculcated that it should be anonymity, and that at least the Ministry does not know that the tax rate was the source of this. I think we have to take this quite seriously also in order to get the companies to follow the laws and regulations that it is about.
ParlaMint-NO_2007-11-21.ana.ud1835e861	I believe that my answer is to understand that a very high standard is maintained by the tax administration in terms of publication, anonymisation and protection of taxpayers' rights in connection with controls. The emphasis that I also give of how to proceed, that you don't tip the media in this kind of case, and that there are two completely different regimes before and while you're doing investigations, and after you've fallen, suggests that the tax rate has a very high attention on these issues. The matter which is the starting point for the question of the fleet is therefore dealt with by the police and prosecution authorities.
ParlaMint-NO_2007-11-21.ana.ud1835e868	I believe the Council of State when she says this, but the Council of State also said in its first answer that information to taxpayers is important, perhaps not only about what they have to deal with, but it might also have been an idea to inform more widely about the anonymity to be available, about the rights that people have. I would think that very many people would appreciate seeing e.g. a newspaper article, a headline, that went into something similar to what the Council of State has said to me here today, about what rights you have, and that it is not free, that very many have actually got the impression.
ParlaMint-NO_2007-11-21.ana.ud1835e873	The representative of the fleet has now made it possible to broadcast in addition to the country what kind of rights taxpayers have, what they can expect from treatment for anonymisation, and how the tax rate goes about control activities. My impression is that people are well aware of what kind of rights they have, and that there are not many examples – if any – of the fact that the tax rate has broken them. I believe that the tax rate holds a high standard in these questions. We have to balance respect for the individual taxpayer while at the same time informing ourselves of the checks that we know it is absolutely necessary to make, so that most people and businesses are guided by what is regulation, and the risk of discovery is an important part of their seas. But this is done by taking into account individual taxpayers and not by hanging out some of them.
ParlaMint-NO_2007-11-21.ana.ud1835e884	«To Trønder-Avisa on 17 January 2006, the then Minister of Energy, Enoksen, said that Mid-Norway is heading towards a severe power crisis and that solutions were urgent. Corresponding recognition came from the Council of State in Rome's Budstikken on 27 October this year. The red-green government has been running for over two years. The government has not initiated any new concrete measures that have given new power investments in central Norway in addition to mobile gas plants. For new gas power plants in the region, would it require the installation of CO2 cleaning from day 1?’»
ParlaMint-NO_2007-11-21.ana.ud1835e894	The representative's question is specifically addressed to gas power plants. However, the answer to this question is the power crisis in Central Norway. I therefore take a slightly broader approach to the answer than just answering the question of gas power plants. Since its accession, the government has given high priority to reducing the vulnerability of the Norwegian power supply. We have special attention to the situation in Middle Norway. During the last year, significant efforts have been made to put in place measures to improve the power situation in Central Norway. State networks have an important role to play in the work that is now being done. The transmission capacity of the network between Sweden and Middle Norway shall be strengthened in 2009. The investment decision has been made on both the Swedish and Norwegian sides. In addition, Statnett works with the Ørskog-Fardal line and concession treatment under the Energy Act is ongoing. In addition, Statnett has invested in several network voltage measures that are put into service in the autumn and the next harvest to improve transmission capacity into Central Norway. Statnett also introduced a separate price range for Mid-Norway in November 2006, inter alia: to facilitate the maximum import of power into the region. Renewable efforts play an important role in the challenges we face in relation to new production capacity in the region. Enova has a number of measures for energy saving, increased renewable energy production and information measures. A doubling of Enova’s framework allows for a significant increase in investment in this work. A new renewable electricity support scheme through Enova for the realisation of wind, water and biofuels projects in the area has been initiated. Furthermore, district and local heating projects could help relieve electricity demand. There are several plans for such projects in the region. It is also important to provide for the fastest possible concessional treatment of current developments in the region. The NVE has strengthened case handling capacity and prioritises concession cases for water and wind in Central Norway. Furthermore, provision has been made for the area to be sufficiently prepared for very demanding situations through Statennet’s investments in two spare power plants of a total of 300 MW. The facilities shall be located in central Norway. The objectives of the State network are that they will be prepared and ready from the beginning of 2008. The Ministry is now dealing with complaints about the installation concessions and emission permits for the two facilities on the Tjeldbergodden and Nyhamna, and submits to a rapid clarification thereof. There are several plans for new gas power generation in Central Norway that can help ensure a permanent and robust power supply. I have recently completed meetings with the three current developers. They have presented their projects and challenges related to their realisation. These are useful input into further efforts to realise new power generation in the region. With regard to CO2 management requirements in relation to new gas power plants, the Government's policy is that we will, through economic instruments and investment in new technologies, ensure that new gas power concessions will be based on CO2 removal. We are already doing this well. At the testing centre in Mongstad, we will try to help reduce technical risks and reduce the costs associated with the capture and storage of CO2 by testing technology. On Kårstø existing technology will be scaled down by a factor of ten. Both of these projects are pioneering projects and will make an important contribution to the commercial availability of CO2 capture and storage outside Norway. By means of economic instruments and investing in new technologies, we will ensure that new gas power concessions are based on CO2 removal, starting with clean-up from start-up.
ParlaMint-NO_2007-11-21.ana.ud1835e930	We have heard the description of the situation for two years, so it was not necessary. The question was about the power crisis in Central Norway. The focus on gas power plants from my side is that it is the only realistic solution in which a significant volume can be obtained within a relatively reasonable time horizon. I remember that even then the state council, before giving up, called for the stimulation of the construction of gas power plants in central Norway, because he saw it as the only realistic solution. In Romesdal's Budstikke on 27 October, it appears that the Council of State visited Industrial Power More, and that is a possible, good gas power project. What they wanted to respond to was the CO2 framework conditions. I have heard a lot about things going on based on CO2 cleaning without the government wanting to clarify when the point of impact of cleaning is actually going to take place. It was also an attempt to clarify the oral question procedure, in relation to Kårstø. Can I interpret the last sentence in the Council's response so that the cleaning must be in place from day one in order for Industrikraft Møre to be granted a concession and an emission permit?
ParlaMint-NO_2007-11-21.ana.ud1835e943	First of all, there's a continuous effort to secure the power situation in Middle Norway, and as I've already made clear, it's going through different channels. Statnett is doing an important job, Enova is doing an important job, and the NVE is doing an important job in bringing the concessions forward. So this is going on and on. Then there's a question of new production in the area. There are three current builders. I'm in conversations and discussions with all three. There are clear expectations from the three actors about significant State involvement in the realisation of the projects. We will think carefully about what is the wisest social approach to these three projects in order to ensure increased production in the area.
