ParlaMint-NO_2007-12-19.ana.ud897e24	The representative, Robert Eriksson, will put forward a proposal for a representative.
ParlaMint-NO_2007-12-19.ana.ud897e465	The extra hours that come next year will apply to the school in all Norwegian municipalities. We now see that there is a significant leverage for teachers with funds from the state, the state and the municipalities. My clear impression is that it happens all over the country, in the vast majority, if not all, Norwegian municipalities, and that it hits elephants and teachers across the country. It is also such that when we have improved the municipal economy, it has given room for increased bets across the country. But – and that’s important – it’s that Norway looks quite different in different places. We therefore place great emphasis on the fact that some places are particularly concentrated on care for the elderly who are given priority; in other places, there is a particular focus on schooling or perhaps culture — or even on paying off debts. Therefore, it is smart to improve the local economy, because then local politicians, elected by the people, will have the opportunity to prioritise locally.
ParlaMint-NO_2007-12-19.ana.ud897e472	Bjørg Tørersdal – for follow-up questions.
ParlaMint-NO_2007-12-19.ana.ud897e475	The Christian People's Party is very concerned that there is a lot of competence in school today. It's important to take care of it. That is why we have proposed in our alternative budget a mentoring system that consists of teachers who have good knowledge and long experience from school, transferring it, mentoring and following new teachers who start school. I would like to know if the Council of State would like to include it, both because it is good that the competence stays at school, and because it is a good senior policy and a meaningful task for teachers who do a good job at school today. That's the one. The second is that we see that the teacher's density goes down, despite an improved municipal economy, at least there are trends to it in many municipalities. Then my question is, is it right to give priority to full-time school instead of increasing teacher's density? The Christian People's Party would like there to be enough time for every student in school.
ParlaMint-NO_2007-12-19.ana.ud897e485	Let me just say that the number we're comparing, because this year and last year, shows that there's a very stable trend in learning density. Of course, this means that there are better places and worse places elsewhere. We are of the opinion that it is right to prioritize the combination of teachers and several hours on the road towards the all-day ball, as was also the previous government, in which the Christian People's Party participated, prioritised, through an extension of the hour. So I thought it's an interesting suggestion the Christian People's Party has. I have previously reported here from the Stockholm Chair that I want to look at proposals that are being made in the Stortingen in terms of skills requirements and other things in order to improve school leadership. I also want to look at a number of suggestions on how to improve the skills of teachers, which can be even better than today. I think it's an interesting suggestion, which I want to take a closer look at.
ParlaMint-NO_2007-12-19.ana.ud897e492	Gunnar Gundersen – for follow-up questions.
ParlaMint-NO_2007-12-19.ana.ud897e495	In the Right, we are pleased that SV is pursuing school policy, and that the Minister of Knowledge is now most concerned about scrapping SV's own school policy platform. But this must not lead to paralysis in school policy. We talk a lot about the teacher being in the center, and we all agree on that. This is why the opposition has just made a number of proposals in terms of both recruitment and teacher empowerment. What they're being met with from the Minister of Knowledge is that you have to evaluate and maybe also make a big message. The school benefit today was expressed by the representative of Dørum. There'll be a lot of words. The previous government, on the other hand, acted, and the Minister of Knowledge is also so lucky that he has a number of municipalities, including Oslo, that continue to act and exercise a very active ownership in school. It's actually pretty important to get there. Will the Minister of Knowledge use the municipalities that have an active school policy as an inspiration for school policy?
ParlaMint-NO_2007-12-19.ana.ud897e504	Firstly, I will follow up the Soria Moria Declaration of the Government, where the main parts of SV's programme have been implemented and the direction is very clear – towards SV. So to the question, yes, there are many municipalities, Oslo, Skedsmo and many others I myself have visited, who do a very good job when it comes to school, and there's a lot to learn from. I'm going to take a closer look at how they've done it in these municipalities and in a number of other municipalities when it comes to different relationships in the future, because I think there's a lot to learn there. So I've noticed that when there's good results in a municipality run by the Right, like Oslo at school, the Right attaches great importance to the fact that this comes from good political efforts from the Right, but when there's something worse in the same municipality in another area, that's when it comes to kindergartens, they put far less emphasis on the responsibility that the Right has for the results in the municipality.
ParlaMint-NO_2007-12-19.ana.ud897e513	Let's go to the next main question.
ParlaMint-NO_2007-12-19.ana.ud897e516	My question also goes to the Minister of Knowledge. We have just received the results of the PIRLS and PISA studies, which show that Norwegian students are at the bottom of their reading, writing and calculating skills. If one goes further into the results, we find that students with a minority background are two years behind ethnic Norwegian schoolchildren. Norwegian school is currently using substantial resources in native language training. Neither Norwegian nor international research shows that the teaching of the mother tongue gives each student some benefit. What research shows is that these students spend relatively longer time achieving good results. In order to be qualified, the student has to be surveyed, and it has to be documented that the student is poor in Norwegian. On the day that the student becomes a good student in Norwegian, the student loses the right to training in the native language. The mother tongue teacher loses his job, and the school no longer receives a grant to have a student with Norwegian as a second language. So there's no incentive to improve your student's Norwegian skills, rather on the contrary. Then we have a number of schools that have deliberately invested in training in Norwegian and read understanding and used individual mapping and follow-up. Reading skills have gone up. In order to be able to read and understand, the students have moved with them to other subjects, and the progress has not been missed. The progress party believes that the parent language training needs to be out of school, and that the resources released need to be used to strengthen the reading training and understanding of the Norwegian language further. In our opinion, lack of knowledge in Norwegian, combined with problems and unrest in classrooms and low learning pressures, will lead to minority students becoming school losers, and we risk creating a subclass if we do not reduce the performance gap between ethnic Norwegian and minority languages. So my question is: will the Council of State take the initiative to use the funds currently used for parent language training to strengthen the ability of minority language students to read and understand Norwegian, so that this student group can have the opportunity to improve their performance?
ParlaMint-NO_2007-12-19.ana.ud897e533	The results of the international studies mentioned here are very serious, and perhaps the most important ones in terms of reading. So we see that the reading results are worse in the PISA survey 2006 measured against 2000. Too many people don't learn the basics of reading and writing, which is important for all other subjects. It is also important for the possibilities of working life and, in general, of growing up. It is an important social issue, and it is an important knowledge issue for everyone to have equal opportunities. Unfortunately, we also see that the differences between elephants in Norway are greater than between elephants in other Nordic countries. Among other things, sadly elephants with a minority background make it even worse than average in all countries. It's a very big challenge. I have a number of actions and systematics in my work ahead when it comes to reading, which should benefit both the elephants with a minority background and all other elephants. There is a commitment to teacher training and continuing training and several hours, and there is a commitment to reading in all subjects. Furthermore, we need to look at kindergartens and language training there, the collaboration with the home, osb. Then there's a discussion related to native language training about how it works to learn another language. There are different views, which the representative is probably aware of, but I have no plans to change the system we have today that it is possible to get language training under certain conditions. On the other hand, I want to do other things to improve the reading skills of all the elephants, which will also take the elephants with a minority background.
ParlaMint-NO_2007-12-19.ana.ud897e542	I thank you for your answer. I expect the Council of State to also agree that we are spending a lot of resources in Norwegian school, but that the results are out of proportion to the resources we spend at school, and that there is reason for critically looking at what we are actually using resources on. Much of the money currently spent on parenting education is devoted to monitoring and documenting and archiving decisions, precisely to ensuring that schools are safe in the event of an ex-post legal case. The supervisory authorities do not have the possibility to follow up. When we see at the same time that the results of this teaching do not give the students any relief, I expect that the Council of State might also look at it in its future assessment to make the Norwegian school better.
ParlaMint-NO_2007-12-19.ana.ud897e549	Åse M. Schmidt – for follow-up questions. No, I'm sorry. State Council Solhjell answers.
ParlaMint-NO_2007-12-19.ana.ud897e554	Thank you, I was in doubt if it was necessary to answer after that. But let me say briefly that I agree that we're not getting enough for the resources we put in, because we need better results in school. It's actually a context, and it also shows the PISA study, between resources and results, but there's a number of other things that are at least equally important for achieving results. Parental education is important to many elephants in the Norwegian school, and there are many good offers. I don't have any plans to change it, because I think there are completely different things and broader measures that are more important to improve the skills in reading to Norwegian elephants.
ParlaMint-NO_2007-12-19.ana.ud897e563	Then it's Åse M. Schmidt – for follow-up questions.
ParlaMint-NO_2007-12-19.ana.ud897e567	We heard here the representative Gåsvatn talk about mother tongue training. We also see that the legislation is very unclear. The municipalities interpret this differently. We see that there are children, maybe with German background, with Romanian background, who get native language training, so it should be good to talk to their grandparents. I might think that it's not entirely the intention of the Council of State to use native language training in that direction. Now the government doesn't want to change this. SV will continue to have parent language training as it is today. Will the Council of State also look at the use and make the legislation clearer? And one last question: can it be relevant to think about labeling for the school?
ParlaMint-NO_2007-12-19.ana.ud897e576	I am of the opinion that there is a lot of good language training in the Norwegian school, and I know that many elephants need it. I don't see any need to make any changes to the legislation, or to stop with native language training and today's offer. I would like to send a big message about language the following year, and in connection with that message I will go through some aspects of the native language training, and then come back to Stortinget with it. I also have no plans to change the way we transfer money to Norwegian municipalities. We're giving the municipalities money, and we're giving far more money than the previous government gave, because it's going to be possible to prioritize different relationships in many places. Fortunately, many of the important areas in which the Government is busy are heavily invested.
ParlaMint-NO_2007-12-19.ana.ud897e583	Let's move on to the next main question.
ParlaMint-NO_2007-12-19.ana.ud897e586	My question goes to the Minister of Justice. In the election campaign, red-green justice politicians promised that 2008 would be the year of the police. Now the line is set for the 2008 budget, and it is a fact that 2008 is not going to be the year of the police. This week, the Council of State has expressed concern about the balance of power between police and sentinels in the public space, and today, the VG has a first page that the hearings have taken over Karl Johan's gate. It is in this situation that 2008 was to be the year of the police, that the government is adding to a 2008 police budget that means more unoccupied positions and a less visible police force in all the police districts of the country. While the Bondevik II government had a real growth of 3 pst. in its last budget for justice, this government is now down in 1 pst. I find that there is a greater and greater distance in the reality of the everyday life of the police. So there's been some sort of glamour in the department, while the operative business is not so beautiful out there. There is a short interval between press reports from the Council of State on new initiatives in the field of criminal law, but there is a very wide gap between similar news about the police. That's a lot of talk. Except for increased admissions at 72 places to the Police College, there's little to pick up in that budget. I don't think it's worth boasting about a senior bet in one trial team, Hordaland, and so there won't be any more civil servants in the police when there's no room to pay them in the 2008 budget. My question to the Council of State is: if there is a real concern the Council of State has with regard to the weights and the police, why isn't the police a priority in the 2008 budget? Why is it that very important police intervention areas are fed with short-term project funding instead of sustainable funding – I can mention rape, recriminalism and trafficking in human beings?
ParlaMint-NO_2007-12-19.ana.ud897e602	First of all, I want to wish the questioner a good new year. It is going to be a better new year, at least as far as justice policy is concerned. The percentages she refers to when it comes to the budget, I can't say I share. Next year, the justice effort within the Ministry of Justice’s budget – if we also include the investments made in other budgets – is on record DKK 1.9 billion. That's what we're going to spend extra on the justice sector. There are large investments that contribute to increased police force. I believe that you should allow yourself to think something further than just on the appropriations for the police, which are also increasing. Until next year, the appropriations will be at their highest level. I have problems understanding that there is a defensive police effort when extra SEK 1.9 billion is added to the justice budget and the justice sector by building a very high prison rate, by establishing a completely new emergency link, such as a new one. The police have been asking for many years, when you have a recording at the 432-secondary high school, and when you start one of the biggest reforms, which in my opinion contribute to increased clarification, namely the DNA reform, which is funded by between 60 and 70 million. kr. I could mention several measures. Yesterday we opened the Hamar Children's House, which is also run by the police. We've opened one in Bergen. We're going to open up three new ones for next year. We meet children in a completely different way. These are not just words on the issue of strengthening the police, yes, the entire justice sector, efforts and responsibilities. Next year we will face major challenges. Among other things, we need to: use new methods that will solve more crime. I also believe that we have spent the last few years building up the reconciliation queue, which this week is less than 1 100 judges. It's a significant reduction since the Right set with government. Then it was up to 3,000. We're going to have to get the payoff down to zero. It will also give the police greater power and opportunities for custody and redress.
ParlaMint-NO_2007-12-19.ana.ud897e613	I'm also going to use the chance to wish the Council of State a good new year, but it's not going to be a good new year of police operation. It is correct, as the Council of State said, that significant investments have been made in emergency networks, DNA and child care. However, in the operational everyday life, the police experience that they are still short, that they are still being fed with project funding in key areas of action. This means that you have less continuity with regard to staffing and applications for this type of job. So the Council of State will not avoid 2008 being a very difficult year for the police. I want to challenge the Council of State. He's concerned that we should have a knowledge-driven justice policy. Why, then, is it that the Council of State and the Government parties cannot support a police study, which would in fact be a much more thorough review of what kind of police needs we want in the future than the manning project currently being carried out by the Department?
ParlaMint-NO_2007-12-19.ana.ud897e622	It is true that we are doing the work that lies in the representative's questions, namely looking at the situation in the police. I guess the representative's familiar with that. There will be a report for next year looking at crew needs, response time, equipment questions and questions about how to recruit even more police officers than we do. There, to my knowledge, we are in a debate about what you call the work that you do. I understand that the Right has chosen to call it a police study. I'm glad we're doing that work. At the same time, I would like to stress: what is more useful for the Norwegian police, what creates more police force and a better resource situation outside, than that we actually give the police in Norway the opportunity, among other things. using DNA to a much greater extent than when the Right sat with the Governmental Power? It has to be one of the most important things we do now to solve more crime. The percentage of information goes up, but it's too low. I believe that the reform that we are about to launch will remedy it.
ParlaMint-NO_2007-12-19.ana.ud897e629	André Oktay Dahl – for follow-up questions.
ParlaMint-NO_2007-12-19.ana.ud897e632	I record that a knowledge-based policy is that the Council of State is giving lectures, or not relevant research. Of today's VG, it appears that a male growth representative has been exposed to something he naturally does not like. The most special thing is the input of the female wholesalers into how to solve it. This is to be done by tightening up police regulations, and by prioritising this to the police. Is there any reason to believe that the female representatives of big business are being heard, for example. in revised? In the past, this has been voted in favour of the Stortinget, both in terms of budgets and in terms of police regulations. Since it's Christmas, and since Christmas cards have been sent, I would like to extend a greeting to the Council of State on the debate we are going to have on these women. It's very strange to see that as soon as it's dark-skinned women, they're whores. If they're white, they're prostitutes. I think there is something I say about the signal effect and the really small racist vision that underpins some of the representatives – not from here, but partly from the debate – view of these women in order to solve a serious social problem.
ParlaMint-NO_2007-12-19.ana.ud897e641	When dealing with the problems we see out in the public space associated with prostitution, I'm very concerned that you should be careful to think easy solutions. These are people living in a bottomless, tragic situation. If you want to put more police into the kind of challenges we are facing here, I am concerned – which I also believe the previous government was concerned about – with taking those who organize this human trafficking. That's why the government decided to set up its own group in the Oslo police district to get in touch with the girls and the boys, so you can get behind them. The entire human trafficking plan of the Government, which includes: provided increased reflection time for these girls and the possibility of more assistance in the form of an aid lawyer, etc., is just about not solving this problem by chasing them around the city. They need a completely different offer. That's the challenge.
ParlaMint-NO_2007-12-19.ana.ud897e646	Hans Olav Syversen – for follow-up questions.
ParlaMint-NO_2007-12-19.ana.ud897e650	There is no evidence that the Minister of Justice will be unemployed next year. I want to grasp one side of the representative that Aspaker brought up, namely the capacity of the police. In Oslo police district, we have had a number of quite ugly tax evasion cases that affect entire industries to the extent. In November, the director of the Oslo Equation Office expressed great concern that serious tax fraud reported by the tax authorities is not being prosecuted, solely on the grounds that the police have no capacity and would rather not want to report. With the 2008 operating budget, does the Minister of Justice think that the Director of the Oslo Equation Office has any reason to have a different assumption for 2008?
ParlaMint-NO_2007-12-19.ana.ud897e657	I clearly believe that we have major challenges in dealing with the economic criminal acts that the tax rate covers, and also other types of industries. We can never guarantee – nor can I – that we can investigate all the matters we would like to have investigated. One important reason why the government believes that we need more police resources out, and that we have given more money to the police is that we want to address these issues. That was also why we chose, among other things, to grant money to an outsourced auditor. But these are very complex issues, and I believe that if we are to have a more effective law enforcement of special tax crime, we will probably have to see the need to have two tracks – where some cases are solved by civil law instruments, criminal taxes, and the most serious are being investigated by the police and corrected by the court.
ParlaMint-NO_2007-12-19.ana.ud897e666	Then today's oral Question Time is over, and we're going to the ordinary Question Time.
ParlaMint-NO_2007-12-19.ana.ud897e672	There will be a wide range of changes in the list of questions drawn up, and in this context the President will refer to the overview distributed at the premises of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Questions 3, 6 and 7 from the representatives of Ketil Solvik-Olsen, Vera Lyskleätt and Tord Lien of the Minister for Oil and Energy, respectively, are answered by the Minister for Agriculture and Food on behalf of the Minister for Oil and Energy, who has been removed. Question 4, from the representative Line Henriette Holten Hemdal to the Minister for Oil and Energy, has been withdrawn. Question 5, from the representative Ivar Kristiansen to the Minister for Oil and Energy, is postponed until the next Question Time, when the Council of State has left. Question 8, from the representative Finn Martin Vallersnes to the Minister for Foreign Affairs, is postponed until the next Question Time, when the Minister for Foreign Affairs has left. Questions 10 and 11, from the representatives of Øyvind Korsberg and Torbjørn Hansen respectively to the Minister of Defence, are moved and answered at the request of the Council of State before question 1, i.e. first in the Questionnaire. Question 20, from the representative of Trond Helleland to the Minister for Renewal and Administration, is postponed until the next Question Time, when the Council of State has left. Question 21, from the representative of André N. Skjelstad to the Minister for Agriculture and Food, is moved and answered at the request of the Council of State for question 7, to be answered by the same Council of State. Question 22, from the representative of Dagrun Eriksen to the Minister of Knowledge, will be raised by the representative Line Henriette Holten Hemdal.
ParlaMint-NO_2007-12-19.ana.ud897e695	The changes mean that the first questions to be addressed are questions 10 and 11.
ParlaMint-NO_2007-12-19.ana.ud897e702	I have the following questions for the Minister of Defence: ‘According to Defence Study 07, the proposed closure of the Control and Reporting Centre is: [[CRC]] Does the Council of State consider it scientifically sound to terminate the CRC system?’
ParlaMint-NO_2007-12-19.ana.ud897e711	Before Easter, the government will present the new long-term proposal for the Defence of the Storting. In the work on the proposition, the Government will draw on several recordings, including the Defence Study 07, FS 07 of the Defence Manager, and the Defence Policy Selection report, FPU, as well as all the other recordings that came in the process. The government is concerned that we will continue to ensure a robust capacity for monitoring Norwegian airspace in the future. That is why, in the next long term, we will also provide a device for the air surveillance and combat management system, the LOS system, which will meet our national needs for air surveillance and combat management, and which will also ensure that we can make a good contribution to the NATO air surveillance chain. The Defence Manager has recommended the establishment of a single unit for air surveillance and combat management on Retan, with the same capacity as the current two units on Mågerø and in Sørreisa respectively. No conclusions have yet been drawn on the future base structure and geographic location of the defence. The question of the future activity related to Mågerø and Sørreisa will be addressed as an integral part of the overall work on the long-term proposition. FS 07, together with the recommendations from the FPU, is a central input into the work we do on the long-term proposition. We're going through these thoroughly. Particular attention is paid to ensuring that the recommendations to be made to the Storting are comprehensive and robust. In such a context, both security and defence policy, operational, economic, environmental and a number of other considerations will be considered. It is not appropriate to go out and deal with specific individual matters piece by piece and divided before the Government has concluded with regard to the whole to be presented to the Stortinget. For the Government, it is important that the basic structure of the defence is structured in such a way that the defence can best perform its tasks. The Government will therefore seek solutions that cover the needs of the defence as much as possible, including both the need to ensure robust and sustainable professional environments and the ability to be able to be present quickly with the right capabilities.
ParlaMint-NO_2007-12-19.ana.ud897e724	I thank the Council of State for the answer. I'm also familiar with a long-term proposition where you have to go through the base structure, but that's not what I'm asking. What I'm asking is the situation right now, when we write December 2007. That's the situation I'm starting from today, and then I just have to be allowed to repeat the question. I recommend that the Council of State either answer yes, that it is scientifically sound to shut down the CRC system – and then I would like to have a reason – or no, and then I don't need any justification. I just want to repeat the question to the Council of State: Is it professionally sound to shut down the CRC system?
ParlaMint-NO_2007-12-19.ana.ud897e733	In his proposal for a Defence Study 07, the Chief of Defense has recommended a different way of solving this than that of the two bases of Sørreisa and Mågerø today. These are proposals that we will go through in depth. I can't come here and now make a yes or no answer to it. We're in a process and we're going to include this in the long-term plan.
ParlaMint-NO_2007-12-19.ana.ud897e738	I thank the Council of State for the answer. It's the defense minister I'm asking the question to, not the defense chief. I just find that the Council of State does not have a professional basis to answer either yes or no to the question. I think that is quite strange, because it must be completely possible to ask questions of a defence-related nature in the Storting before we get the so-called long-term proposition. So that's the situation now, and as the Minister of Defence only stresses, everything has to stay calm. You don't have to have any opinions about the structure of the defense. I think that's weird. I want to challenge the Minister of Defence once again to make a concrete assessment of the CRC system.
ParlaMint-NO_2007-12-19.ana.ud897e745	As of today, there are two bases, Mågerø and Sørreisa. The Defence Manager has proposed to change this to one place and add it to Retan. I have to deal with the fact that the head of defence thinks this is a perfectly sound proposal. So we're going to make our assessment of this. We're in that process. It's per. at present a fully acceptable solution, but the head of defence is enough of the opinion that there will still be a fully acceptable solution on Retan. I have said that we will come back to this in connection with the long-term plan, which will be put before the Storting before Easter.
ParlaMint-NO_2007-12-19.ana.ud897e754	I will ask the Minister for Defence the following question: ‘The size decided in 2003 to invest 5 billion. krones in new MTB vessels adapted to the current safety situation. Norway needs a strong maritime defence system capable of carrying out a wide range of defence tasks, as well as environmental and economic interests. The proposal to scrape Skold class will weaken the Marine greatly and has created uncertainty as to whether the Maritime Defense could have sufficient presence in both the north and the south. Does the Council not see that the situation around the MTBs should be clarified immediately?’
ParlaMint-NO_2007-12-19.ana.ud897e763	I agree with Mr Hansen that it is important that Norway has a strong maritime defence. As I have just explained in the reply to the representative of Korsberg, the Government will present, before Easter, proposals for a new long-term plan. The question of future use of the shield class MTBs cannot be seen detached from the overall structure, which will be addressed in the context of the new long-term proposition. It would not be appropriate to draw out one capacity and say what it will be like in the future in relation to the other proposals available from the Defence Policy Survey and from the Defence Study. So I don't see it as appropriate to go into individual matters at the moment, until there are thorough assessments, and before we put this proposition ahead of the Storting.
ParlaMint-NO_2007-12-19.ana.ud897e772	I would like to thank the Council of State for the answer, which may not have been so surprising, and I would like to say that I have a great understanding that the defence needs to be transformed in order to solve its tasks in the future. But this is a proposal that has created shock waves inside the Maritime Defense. It is alarming that both the Defence Chief and the Defence Policy Committee make a recommendation that is so much contrary to the professional judgements made by many in the Maritime Defence Department. Håkon Tronstad, the flag commander and the head of the Coast Guard, said to the Official Journal of Bergen on 13 December that the consequence of removing the MTBs is a marine that may not be present both north and south. If this proposal for the closure of the MTBs is adopted, we will have a fleet of only 19 vessels, five frigates, six submarines, two miners and two logistic vessels. It's weak for a coastal nation. Does not the Council of State see that this proposal leads to a severely weakened marine, and that it sends a very negative signal into the Maritime Defense? The matter needs a rapid political clarification.
ParlaMint-NO_2007-12-19.ana.ud897e781	I can see that there are many of the proposals that have been made in the Defence Study, from which it would be desirable for too many people around locally to have a quick clarification. Equally full, we have to have a real and a complete process. Here I would also like to point out what has been the point both from the Defence Commissioner and from the Defence Policy Committee, that there might be other capacities that can do the job that these MTBs would do. It is a point of view that I have not concluded, and that the government has not taken a decision on either. That's why this is going to be treated as part of the long-term proposition. It's enough that everyone has to deal with us having to see the defense together before we can make the final assessment and say what capacities we're going to recommend for the future, and which bases and camps we're going to have.
ParlaMint-NO_2007-12-19.ana.ud897e790	This is a very special case. It's only been four years since the Storting decided to build the Skold class for 5 billion kroner. This is a modern, heavily equipped warship with a top speed of 60 knots. The shield class is significantly larger than the current MTB fleet and adapted to future challenges. They are mobile, and they may also be present in an area over a longer period of time. We see in these days many signs of increased activity and presence from the Russian Navy. Our neighbour has a better economy, one is more confident and more active in the marine areas. So this is a discussion of operating costs of about 200 million. kr set up for an investment of DKK 5 billion, made by Stortinget four years ago. The operating costs are approx. 0.5 pst. by the entire defence budget. It doesn't make sense to scrape an investment of $5 billion to save 200 million. kr in operation? And what is the reason why the Workers' Party is so powerful in this matter?
ParlaMint-NO_2007-12-19.ana.ud897e799	Now, the representative is once again trying to address the facts of the matter. I have said that I want to see this comprehensively, also on the basis of the recommendations available. I would like to point out that the Defence Policy Selection, which is a selection of representatives of all the political parties on the Stortinget, also the Right, would not go against the Defence Manager's recommendation when it came to the MTBs. Similarly, I say that it is important that we go through this and look at it completely again. That process is in progress. The matter is put before the Storting before Easter.
ParlaMint-NO_2007-12-19.ana.ud897e811	So we go to question 1.
ParlaMint-NO_2007-12-19.ana.ud897e818	I have a question for the Minister of Finance: ‘Gross tax fraud reported by the tax authorities is not punishable because the police have no capacity, says the director of the Oslo Equation Office in a newspaper release in November. This may mean that serious infringements do not result in any penalty or prosecution. What action will the Council of State take in its responsibility to ensure that the poor manning situation in the police does not mean that very many avoid serious tax fraud without consequences?’
ParlaMint-NO_2007-12-19.ana.ud897e827	The tax administration reports cases to the police on the basis of its notification instructions. It is true that in some police districts, and in particular in Oslo, there are capacity problems associated with criminal prosecution of that part of the case which should have ideally been reported from the tax office according to the instructions, and that therefore the number of notifications is somewhat limited. The tax administration does not consider it useful to produce reports that cannot be expected to be investigated by the police. Instead, the department concentrates its reporting practices on the most serious and punishable cases in such cases. I understand that the tax rate considers it necessary to set it up this way, but of course it would have been desirable to have more research capacity and reporting volume, so that the applicable notification instructions for the State had been followed more consistently. In recent years, the Tax Directorate has set up five tax crime units operating in the area of serious and widespread tax crime. Specialisation and administration of, inter alia: investigation competence has strengthened the capacity of the establishment to detect and pursue such cases. It's set at 10 million. kr in earmarked funds for the extension of the police aid auditor’s scheme. The reason for this is that a desire to ensure a more effective criminal prosecution of tax matters by providing audit, accounting and tax jurisdictions in the police districts. Furthermore, in 2005, the National Attorney General, the Police Director, the Head of Ecocrim and the Tax Director concluded a cooperation agreement containing principles for appropriate forms of cooperation between police/prosecution authorities and the tax administration. The agreement regulates cooperation at both central and regional/local level. Cooperation, particularly at regional/local level, includes, inter alia: assessments of which cases should be prosecuted by the police. The extension of the cooperation agreement also developed a separate ‘Instructions for operational cooperation between police/enforcement authorities and the tax haven’, which was launched from February 2007. The purpose of the instructions is to further develop cooperation between the agencies in order to ensure effective and good handling of cases where criminal proceedings are used as an instrument. In the operational cooperation between the departments, these instructions shall be followed. This does not mean that there is a zero response in the unannounced cases. Today, additional taxes may be imposed by up to 30 pst. if the case is also prosecuted, and up to 60 pst. when there is no criminal prosecution. In Oslo, roughly 60 pst is used. additional tax on unannounced cases, in order to contribute to a significant overall response to identified tax evasions in these cases. 60 pst. additional taxes may also be combined with the reporting and tax follow-up of the accounting failures that are often behind tax evasion. The lack of accounting can be severalfold easier to prosecute, so that police capacity problems do not apply to the same extent as in some tax evasion issues. The government wants to strengthen its efforts against economic crime, and not least against tax evasion. Questions about the resources for such efforts must also be dealt with in the budget in this area.
ParlaMint-NO_2007-12-19.ana.ud897e840	I thank you for your answer. Yes, I know that a lot of resources are deployed and a lot is also done in the organisational context. For its part, the right has also granted more to this area. What the question really is about is the fact that if you don't impose additional taxes, but send them to the report, you can risk, if the police don't follow up, that they don't get any response at all. And this is the state council at the end of its answer here, that one should have an eye on the load in the police, so that on the one hand one uses additional taxes, while on the other hand one finds a different basis for the notification. That's how I understand you might want to deal with it, but doesn't the Council of State think it might be necessary to go into this even a little bit more, so that no one falls between you and escapes completely?
ParlaMint-NO_2007-12-19.ana.ud897e845	It is a very important question that the representative Fleet addresses, both because we know that tax evasion is a major economic problem – it is money that should otherwise have been paid into the community – and also because it has to do with the general respect for paying taxes, and especially among ordinary employees and small businesses, if one sees that tax evasions of a significant amount are not dropped. Therefore, this is a high priority case for the tax rate. We are now also implementing the ROS project, which can release capacity in the tax haven to strengthen work on this. Then, as described in the answer, it is of course so that the tax rate prioritizes the matters that are the most serious in terms of which ones are passed on to the police, but also then uses the penal tax of 60 pst. on the matters you can't count on the police being ready to go into. So I think we have a good system for this. But I am very pleased with the commitment of the fleet's representative and take it into account in the internal budgetary negotiations in the government.
ParlaMint-NO_2007-12-19.ana.ud897e850	I think it is good that the Council of State is concerned about this. I've taken this up from three different angles this fall. One angle is the one on the question that I address to the Council of State today, that is, if you fall completely out of the penalty if this goes to the notification. Another angle I picked up earlier was the role of the media in e.g. bookshelf. We had a case here in Oslo. The third angle was the opinion of the Council of State at a seminar on the publication of the names of those added to the premium tax at the high levels. This is seen from different angles, but overall I think it might suggest that this area of extra tax, a maybe a little unknown and not so very interesting area for us politicians, should be explored to make sure that it works well for all those involved – that is, that the state gets its reactions, but that it also takes account of the taxpayers.
ParlaMint-NO_2007-12-19.ana.ud897e855	It's very important to have a lot of angles, like the fleet's representative, in relation to how to combat tax evasion. Now we have not concluded in the issue of the publication of criminal taxes, but it has been said, especially from those who work on the really big tax evasions, that the burden on tax evasions can be as great by publishing as with the actual criminal tax. That is why there is an issue that is being considered, but it is a delicate issue, which also limits privacy. I have a strong commitment in this field and am going to follow these matters carefully. I am also going to make sure that the Tax Agency has the resources and competence to do an important job. If the President allows, I would like to wish the representative Fleet a really good Christmas and a good new year. We have weekly meeting meetings in all the public in the Questionnaire, and I look forward to that in the next year.
ParlaMint-NO_2007-12-19.ana.ud897e862	Thank you for that.
ParlaMint-NO_2007-12-19.ana.ud897e871	I have the following questions for the Minister of Finance: ‘In the analysis by the Statistical Centre, the EEA 6/2007 states ‘from an allocation point of view, it is important to take into account the indirect effects of tax changes. [[SSB]] Tax reliefs at lower income levels may, for example, be motivated by a desire to stimulate increased professional activity in order to increase the income of persons in the lower distribution of income.» Is the Council of State in agreement with the SSB, and will the Council of State, like the Right, use the tax system to stimulate people to work?’
