ParlaMint-NO_2007-06-19.ana.ud1045e39	The representative, Mr. Bård Hoksrud, who has been on leave, has once again taken the seat.
ParlaMint-NO_2007-06-19.ana.ud1045e332	When it comes to investment in defence, there are of course two things to ask first of all: Do they have a use, and are they relative to what we are supposed to defend? I am not going to go into any of the things related to the purchase of transport aircraft, but I am going to draw up an important element that applies to all investments to be made in the defence: all the tenderers should have equal opportunity to make a defense offer. Either a seat shoe or a fighter plane to the Defense shall have an opportunity to make an offer. It's turning things down a little bit, but at the same time we know that there can actually competition work well, just by using the administration law. Using good bidding processes establishes the competitive situation to which it is subject. We know that since this government came to power, we've done this by maybe the largest investment that one might make, in the hunting business. It was an autopilot flight purchase that was on-going. This government cleared this up, got it established so that others could make it available, and of course got to put on as point 1 that we can even extend the lifetime of the F-16 planes that we already have. Then I see that we're getting into a siding with what we're going to have as a principle, as a basis, for investment. That's where we're going to make this quick purchase, get on a siding. But I'd like to call it a siding, because the good trend in taking the financial management of Defense is there, and no government has done this better than this government has, for a long, long time. We've got an alert phone, we've seen down selections, we're taking financial management seriously, and that's what this government is going to keep going on, I'm overindulging in. And it's the most important thing for SV that we get this right. We have to be aware that in the previous period, under the previous regime, the maritime defense was actually at berth, precisely because an unbalanced investment and operation in defense. This government is honoured to have done what you can to get this done. And then we're going to ignore that sometimes you can't follow the principle as well as you can. All those who have spoken here have said that this has been a lengthy process. I have not taken with me the pile I have with the file on this. I'm not going to go into that debate, but I'm also going to learn that I believe that what we're adopting today is also the result that we saw fast when we came to power, said stop a lot of investments that we actually doubted. We also know that one has a problem with the crew in FLO Investment, one can't do enough with the good people who are left, to get good enough investment projects to decide. So there was an opportunity to jump on a quick purchase via the US Air Force. It may well be that this is the best option, which I am not able to assess today. But I think the reason why we chose it is that we also get to spend the money in the investment budget, instead of spending it in 2014, 2016, which was suggested by the defence professionals who work best on this. I also thought this should be mentioned in this debate. I think that's the main reason, and not what we've been listening to and having hours of discussions about, the different qualities of the tenderers. I also see that there has been a debate in the media. It peaks today with Today's Business, which has a comment on the various agencies that have influenced us by the big business representatives. There's no doubt that there's been a lot of activity from the different advertisers, and it's no wonder that their activity gets bigger the less they get to talk to the people they should be talking to, the people in the Ministry of Defence, to get in with their offerings in the usual way. Therefore, the activity becomes even larger ‘inside the back door’, one might say. I don't see anything wrong with it. I would like to stress that my greatest sources of information, except for what has come from the department, have been John McCain, an American senator who makes presidential elections. He's had a lot of thoughts about the plane we're going to buy. In addition, the Internet has a very large amount of information. We haven't been against the Internet in this country yet. There are other countries that are a little tired of it. But there we will immediately be able to go in and see that in defence cases, in large investments, there will always have to be great caution in relation to what the different tenderers do. It is important to have an open debate and to provide the most information possible. I believe that the Government has absolutely in place when a company invests in the defence. Then we also know when to look forward – and we have established that this is a one-time case – that the administration law should be followed. There's going to be good supply processes. If we look back, we see a result of non-compliance when it comes to this with transport flight capacity. It's a shame, of course, that what's been a long process is going to end so fast, but we're only going to have to take it forward, so that we can do a better job. I believe that all the signals that have come, including: Eva Joly, from various agencies and from various media commentaries, from state-owned corruption hunters, shows that we should be even more aware that in the future there will have to be even stricter demands for investment in the Defence. I can think of airing an idea like that maybe one should get a moratorium on let's say two to three years for people who have worked as defence officials, so that they can't go into an organization that 14 days later is going to sell defense equipment. I think we should be very careful to draw up new guidelines, so that the opinion is absolutely certain that there are things going on that are open and that there are good processes behind.
ParlaMint-NO_2007-06-19.ana.ud1045e351	It's going to be line change.
ParlaMint-NO_2007-06-19.ana.ud1045e354	I saw the representative Jacobsen on TV this day, and then he was interviewed on this matter. He then stated that he was comfortable with the situation we now have, and that he was comfortable with the government going in for purchase today. But I feel a little sorry for the representative Jacobsen and SV, because I don't think Jacobsen is quite comfortable with today's situation. I think he and SV might have done this a little bit differently. Now, when we think back, the Swedish authorities have stated several times that they are involved in the oil fund, and that it should not invest in companies they believe violate human rights and operate the development of weapon systems such as nuclear weapons. landmines. SV has stated this several times, and they have also stated that they do not want any further cooperation with Lockheed Martin, and that it should be boycotted by the oil fund. Then my question becomes: how can SV go in for such an investment, i.e. trade with a company that breaks all this? And what would SV have done if the SV had had a majority today? What would they have voted?
ParlaMint-NO_2007-06-19.ana.ud1045e364	The representative, Bredvold, is quite right in saying that the investment rules in the oil fund, and not least the advice we received from the ethics board, have led us to withdraw from Lockheed Martin. So we all know that this should create circles in the water. It should create water constraints in relation to the fact that not only when it relates to the portfolio of investments but also when a policy of purchasing is pursued, it should be followed by the same. I totally agree with Mr Bredvold that this should be consistent. But then all of us who have politics know a time, that it takes a while before the good intentions that one has in the Ethical Council come to government procurement policy, in this case to the Defence. It'll take a while, but I'm overconfident that it won't take very long before it might be for the Air Force to buy something from Lockheed Martin. We'll see what good case handlers do, and what we get from good advice, among other things. by the Ethical Council of the State Pension Fund.
ParlaMint-NO_2007-06-19.ana.ud1045e371	Bjørn Jacobsen described the pile of file documents he has in his office, and I saw the hand movement indicating that the pile was not quite small. We, who have joined the newspapers, know that the government fraction here in Stortinget has had week on week and certainly very good conditions to get involved in this matter. Now it's like the other half of the Storting has only had a few days on it. My question is whether Bjørn Jacobsen sees that there is a democratic problem that the representatives have such a different working environment. Or is it that the power now tastes so good that he no longer thinks this is so dangerous?
ParlaMint-NO_2007-06-19.ana.ud1045e378	Now I have great confidence that we have a capable opposition here in this country. They have not been shown at least in the handling of this matter. They have made a lot of positive and good contributions to the debate today. But I agree that expecting them to do it in three and a half days that I've spent up to four months on, is not reasonable when it comes to time. But when that is said, I would say that the opposition has also shown itself willing to run the case so quickly in the Storting, and I think we can be happy for that. One could, for example: have chosen another solution and postponed the matter to the fall, but it would have implications if a quick purchase at all would have been possible. I'm not going to say what SV would have done if one in the case had come up with such good suggestions from the opposition.
ParlaMint-NO_2007-06-19.ana.ud1045e383	The representative, Bjørn Jacobsen, must be commended for being a libertarian, even in government position. He started his article by asking two questions that he would not answer, but went more to the procedure. The questions were, do we need them, and do they fit the mission we're going to carry out? Then he moved his post to the competition perspective. SV has not been so intensely involved in other cases as to introduce competition in different areas. But here you're very busy with competition. My specific question to the representative Bjørn Jacobsen is – it’s very important and some of what has been the main point here, and we’ve had to look for a little: Do we need them, and do they fit the mission we’re going to carry out?
ParlaMint-NO_2007-06-19.ana.ud1045e394	First, I want to say that a person meets the transport aircraft requirement in Norway in several ways. Tactical coverage includes: through a pool we've got together with 14 to 15 other countries. It is not bad to get such an international agreement about it. I think that makes it possible for us to save money in the future. The councils have been in favour of this with life and light. We can save money, because there's no clue that every country is going to sit on every capacity. When it comes to tactics, I will also – if that is what the Christian People's Party indicates – ask questions as to whether we really need such a capacity as this. air refuelling of aeroplanes? Do we need a capacity to enter the most war-laden areas? I'm not so sure. I don't see any need for this in the Nordic countries, nor in the future UN operations we're going to participate in. As sharp a capacity as one might add up here, we don't see from SV's side the great need for it.
ParlaMint-NO_2007-06-19.ana.ud1045e401	Several have not asked for the word for a line.
ParlaMint-NO_2007-06-19.ana.ud1045e404	This investment proposal contains a number of issues: some information that the Committee has decided to deal with for the autumn, as well as a number of investment matters that are being dealt with today. I want to focus on the important issue in the proposition, namely the transport purchases. There is also a great deal of agreement on the other issues. There is no doubt that the Storting in this case is in a very difficult position. The Christian People's Party agrees with the Right and Advance Party that the Stortinget has been given far too little time for proceedings, and that the matter is, in addition, too poorly investigated in the department. The size has not been given time to deal properly with all the elements and consequences of the case, nor has the Storting provided all the information required for the handling of such a large case. Alternatives have not been determined. A proper bidding round has not been completed. The government claims that our need for tactical air transport in the foreseeable future can only be covered by Hercules C 130J or Airbus A400M, several alternatives do not exist. Now several studies have identified the Airbus option as the best. It is not certain, therefore, that with this quick purchase, we will get the plane that best meets Norway’s needs. There is an offer from the Airbus Military to which the Government considers it to be linked to important uncertainties. Airbus Military operates with times and other prices than what the Government says are feasible. The size has neither had time nor been suitable to address such questions. And then it's unfortunate that the department has not sought to clarify these issues through more thorough discussions and discussions with Airbus Military, so that we could be clear on all the surrounding issues. The government has put the Storting under pressure to make an urgent decision that it really does not have good enough prerequisites to do. It is, after all, the Storting that has the granting authority. The size shall take the decision of reality. It's still not the government that has the granting authority, nor a majority government, although it can sometimes look like that. The Christian People's Party believes that the government should now take the opposition's objections seriously and draw the case, and then, after more thorough investigations, come back to the Stortingen with the flight purchase to the fall. When the government chooses to run the case despite objections, the Christian People's Party will vote primarily for the proposal from the Right to send the matter back. After all, we do not have a return and a better basis for the decision, we need to take a real stand today. The Christian People's Party believes that the premises made by the Government mean that we are dubious to vote subsidiaryly for the Government's position. The Christian People's Party strongly focuses on the security of our soldiers in Afghanistan. We have just had a critical situation in which the lack of Norwegian surgical response could create a crisis situation. We can't stand any more such events based on a lack of preparedness. Therefore, despite the lack of investigation, we will vote for the purchase today. When the government informs us that Norway is in practice without operational availability of tactical transport aircraft capacity, and that it goes beyond the safety level of our soldiers out, it gives premise that we cannot oversample and that we cannot ignore. It is alarming that the Storting has been placed in such a position that we need to make a decision on an unsatisfactory basis and that we need to make a decision while there is uncertainty about all alternatives. However, the Christian People's Party has no other option than to take over the premises imposed by the Government and trust them. Subject to the reservations I have now raised about any lack of full information, the Christian People's Party supports the quick purchase of Hercules C 130J subsidiary. Then we have noticed that it is said that it does not cause problems to phase in so much expenditure over so short a time and so fast. This can only mean that there are relatively large unsponsored amounts in the investment budgets in the next few years, as is the case with the Right. has been highlighted in the configuration. It might have been interesting to hear the Minister of Defence's comment on this observation. So just briefly, since I took it up in a line change with the Workers' Party's spokeswoman, this which is in the note from the position that previous governments should have seen the picture in terms of what could happen. If you look at it historically, many previous governments might have noticed that we were going to replace our transport planes once in the future. There was a race that went in the direction of replacing the outer wings of the planes and getting new avionics. It is the government that has then been given the responsibility to implement this. And when you didn't know six months ago that there were problems with the repair that was going to happen, it doesn't matter in the setting to owe to previous governments. I want to refer to the proposals that we are co-sponsors of, and I will finally recommend the Stortinget to vote for the purchase of new transport aircraft.
ParlaMint-NO_2007-06-19.ana.ud1045e427	Has the representative Jan Sahl made proposals?
ParlaMint-NO_2007-06-19.ana.ud1045e430	I just referred to the proposals that we want to support.
ParlaMint-NO_2007-06-19.ana.ud1045e435	The representative referred to the proposals. - It's okay. It's going to be line change.
ParlaMint-NO_2007-06-19.ana.ud1045e440	The proposition shows that Norway currently does not have a real tactical transport aeroplane capacity, due to the state of our old transport aircraft. The transport into and out of Afghanistan is currently being carried out on leased civil charter aircraft. Transport within Afghanistan is carried out on a civil passenger aircraft and accommodation is carried out on military transport aircraft of other countries participating in the ISAF air transport system. I heard the representative Sahl say that the Christian People's Party will subsidiaryly support the proposal for purchase. But this really means a postponement. Does not the Christian People's Party see the importance of the rapid acquisition of new transport aircraft – to ensure that our soldiers are as effective as possible and to ensure a future humanitarian response? If not, what is the Christian People's Party's solution to these common challenges? That's now the contract has to be signed – if we're going to buy planes quickly.
ParlaMint-NO_2007-06-19.ana.ud1045e450	That is exactly what is happening for the Christian People's Party: we have been put in a situation where we have had to take responsibility for such a large purchase in record time – without having received a full investigation of the matter. That's what we're asking questions about. We assume that what the Government of the Proposition has as the basis for the flight purchase is correct. That means that in order to ensure the safety of Norwegian soldiers in Afghanistan, this purchase must take place quickly. Therefore, the Christian People's Party will vote subsidiaryly – when we are put under that pressure – for us to buy the planes. But we saw a different situation, namely that we had got the case on the table earlier, that the Storting had been able to handle it in a good way, and that all the information had been in place.
ParlaMint-NO_2007-06-19.ana.ud1045e459	It is not really possible for the Christian People's Party to be co-sponsors of a proposal, all the time when the party is not represented in the defence committee. But after hearing Sahl's comments, we have at least made it clear that the Christian People's Party will vote in favour of the Right's proposal during the voting today. The debate today and the committee setting show that there are different opinions and different opinions about the rapid acquisition of new transport aircraft. However, I think there is a point that, in addition to the government and defence minister's, there is a unique professional-military recommendation from the Defence Chief, from the Air Force Inspector General, GIL, and from the Chief FLO, the Defence Logistics Organisation, on a rapid acquisition – due to an urgent need – of new transport aircraft. Then we are essentially left with the following question: Does the Christian People's Party believe that the Minister of Defence and the leadership of the defence operate with what we can almost call deliberately manipulation towards the Storting regarding the proposal to quickly procure transport aircraft, which some speakers in today's debate have suggested between the lines?
ParlaMint-NO_2007-06-19.ana.ud1045e468	No, not at all. The Christian People's Party has great confidence in the information that the Defense has included in this case. And the Christian People's Party has never spoken against that we need new transport planes. There was a race to get new transport planes. It was reported by the Government when the budget was last autumn, that the work on repairing our transport aircraft was well under way, and that it went so far. And then all of a sudden – with a very short treatment period in Stortinget – we are told that we are now adding previous plans dead and going to the quick purchase of transport aircraft. It's the process that makes us primarily want to vote for a postponement of the case and get it investigated. But when a majority wants to deal with the matter today, we will vote in favour – mainly because of the security of our soldiers in Afghanistan.
ParlaMint-NO_2007-06-19.ana.ud1045e477	Several have not asked for the word for a line.
ParlaMint-NO_2007-06-19.ana.ud1045e480	I want to show that the purpose of the proposition is to obtain the approval of the Stortinge for two new property, construction and civil engineering projects, namely the multipurpose hall at Setermoen garrison and the settlements at Rena clay. Furthermore, two new material projects — new target missiles and new C-130J Hercules transport aircraft respectively — are approved. An amended cost framework is also proposed for projects concerning new facilities for the rescue helicopter service in Bodø and the acquisition of satellite communications for frigates and MTB boats. In addition, there are some information. I am also pleased that the review of the down-and-out processes in the Defence will be dealt with in depth, as a separate matter, at a later stage. As far as construction projects are concerned, I would like to mention that it is important that Østerdalen garrison – as one of the two centres of gravity in the Army – is given an extension of the belaying capacity in Rena clay. Recruitment to Defense and maintaining the good skills we have there are important. It is natural that we have good belaying capacities both inside and outside Rena clay. The defence must enable those who wish to do so to settle with the family in the municipality in which they have their main place of work. The case that has of course received the most attention in the proposition is the approval of the material project C-130J. I will therefore add some comments to that. The aim of the Central Party’s defence, security and preparedness policy is to secure the Government of the People’s Republic, asserted Norwegian sovereignty and contribute to ensuring international stability. Norway must have an independent defence with components from all arms, both on land, in air and at sea. In the Central Party, we have had discussions about the need for the acquisition of new transport aircraft, as our existing Hercules C-130H is approaching its last operational year of life. In our assessment, there have been two things that have been very important to us. One has been that we need our own national tactical transport aircraft capacity. Although we lease strategic transport aircraft capacity, we have considered it necessary to own our own tactical transport aircraft capacity in order to meet our own military needs in addition to civilian needs for such capabilities. The second thing that has been a topic with us is that we need to have the best possible security for our forces in Afghanistan. We need to solve this in cooperation with our partners in NATO. In addition, we need to be able to set up our own tactical flight capacity for our international operations in Afghanistan or elsewhere if this is necessary. In the Central Party, we have discussed both the rental and upgrade of aircraft towards the fast-buying offer from the Americans. With us, as we know through the media, it's also been different assessments of what's the best solution now. Nevertheless, we will support the proposals in the proposal. We are concerned that, in the future, we need to redefine the concept of investment, so that investments, in addition to the purchase of equipment, also include the training and training of those to use and operate the equipment. In future, the costs of this must be part of the decision-making basis for the adoption of investments. I would like to point out that, in connection with this purchase, an external quality assurance of the project has been carried out in accordance with the guidelines of the Ministry of Finance for a so-called simplified generation solution. I am pleased that the Ministry of Defence in its implementation mission for Defence will follow up the uncertainty mitigation measures recommended by external quality assurance. These measures include, inter alia: the establishment of a comprehensive project organisation and a concrete governance document with a progress plan for the implementation phase in accordance with the normal standard for large-scale government projects. It is also essential to explain how the project objectives relate to self-protection, etc. can be fully met in the future so that our transport aircraft can participate in any type of operation without restriction. Finally, I would like to point out that in line with the guidelines for the purchase of defence equipment from foreign suppliers, it will be required to buy back 100 pst. the value of the contract for the rapid acquisition of the four C-130J transport aeroplanes. I am very pleased with that. I hope that the repurchases negotiated will contribute to the development of the Norwegian defence industry, with ring-effects for the civil industry.
ParlaMint-NO_2007-06-19.ana.ud1045e506	It's going to be line change.
ParlaMint-NO_2007-06-19.ana.ud1045e509	In the course of previous military procurement, the Centre Party has always been very concerned with repurchase. I'm sure they are this time, too. However, what concerns both engineering organisations, research communities and industry is that this buy-back can be a volume purchase rather than high tech. A good example of this is JSF and British participation in that project, although it is a development project. The air purchase agreement must be signed before the repurchase agreement is concluded. Then the question is, does the Senterpartie not worry that there is no repurchase agreement before signing the contract for the purchase of the flight?
ParlaMint-NO_2007-06-19.ana.ud1045e516	I would like to insist on what Mr Skumsvoll also stressed that it has always been important for the Central Party with proper repurchase agreements in defence acquisitions. Not least we're concerned about it too in this case. We are concerned that it will help to further develop the Norwegian defence industry, and we are concerned that it will help to further develop Norwegian industry through button shooting from the defence industry. In this situation that we now have, the Ministry of Defence has assured the Minister of Defence that 100 pst will be demanded. repurchase. We take that insurance with us, and we will follow it up in the further work on this matter.
ParlaMint-NO_2007-06-19.ana.ud1045e523	The United States has a number of Hercules planes. Now they're going to upgrade 500 of these planes. These Hercules planes are older than the Norwegians, they've gone a lot longer, so they've had longer flight time, and they're generally worse off than the Norwegians. The United States chooses to extend these planes for life. This could perhaps be done with the Norwegians as well, and in that way perhaps bought more time to make the right decision, so Norway had the time and opportunity to buy the plane that Norway needs. It's not certain it's Hercules. All of the reports that the defense has received say that Airbus is the right plane for Norway. Doesn't the Centre Party feel a little uncomfortable, in line with SV – as I interpret it – that you haven't had more time to make the right decisions?
ParlaMint-NO_2007-06-19.ana.ud1045e530	The centre batch has always been a supporter of purchasing new transport aircraft. Our discussion has focused on whether we are going to carry out an ordinary procurement process with tenders and competition, or whether we have to approve a quick purchase, which we are discussing today, and which the representative Bredvold also explains in the question. What has been essential for us has been to have good enough quality assurance in the work that takes place around larger acquisitions in the Defence. We are therefore pleased that there is now a premise in the conclusion of the contract to establish an integrated and well-defined project organisation, and that a governance document is to be established with a progress plan that is common to large projects. Furthermore, we are pleased to see how the project objectives in terms of self-protection can be fully achieved in the future. It has been very important for us to take with us. Then we would have liked better time. I'd like to underline that. It's been part of the discussion in the Center Party Group. But when there were questions about the security of the soldiers in Afghanistan, it weighed more heavily than the discussion about time to ordinary process. Then we fell to the position that we're now going to go into.
ParlaMint-NO_2007-06-19.ana.ud1045e539	Several have not asked for the word for a line.
ParlaMint-NO_2007-06-19.ana.ud1045e543	We have a comprehensive attitude. It is about many important measures for defence. The debate on new transport aircraft is rightly concentrated. I want to make one point at today's attitude that illustrates something I'm coming back to, namely, when we're going through investments in areas other than aviation, we see that being a prophet – or being precise – about how investment costs can run in large defence projects, that's not easy. And I'm not saying it any other way than that it's not easy. As the left approaches the matter we are dealing with now, we have three basic assumptions. Point 1: We want new transport planes. However, point 2: We have gradually come to a surprise – and I cannot express it in any other way – not in relation to whether the defence has critical competence, but in relation to whether the defence has sufficient critical competence to assess at the same time many demanding, ongoing investments. I need to say it this way, and I'm not saying it because I don't believe that the sitting management is trying to manage its pound wisely, because I'm convinced that it does. I have even – based on long life experience in different arenas – come to the conclusion that in this case there may be a gap, because one has free investment that combines that one can do something that the Government believes is right. But I want to leave it – beyond this debate – a wonder and a question of sufficient competence, not if there are good people, but whether there are many enough good people. That is an important question, because the defence has been through incredibly demanding and important changes. They've had the majority of the Storing behind them. But I think it's okay to ask that question. With regard to the situation in Afghanistan, I have to say the following: I want to start with the statements made by the current government, and not least by the Chief of Defence, that soldiers should be safe in Afghanistan, there must be civil effort in the country that makes the civilian population in Afghanistan see that soldiers fight for them from the outside, see what it is going to be after. Some of what really bothered me deeply — not because the Norwegian government is not doing it — is the total lack of international coordination and efforts to ensure that civil structures are built. I don't use the term 'civil society' because then we're talking about non-governmental organisations, and it's not transferable. But ‘sivile structures’ are perhaps the structures that good soldiers at best know what is when they drill a well while ensuring an area, that is, a very important competence that many people have, as we know that Norwegian soldiers in Afghanistan have, and that I believe – built on a large scale – is quite crucial. We see it very strongly and clearly in the debate that has not been the subject here, between who is now receiving the income of opium poppies, and what are alternative incomes. I am absolutely convinced that if we do not bring this under control, the security of very many very uncertain people in Afghanistan. The second point that is far on the way – or quite on the way – is my impression after reading the available, open sources I can read as a Norwegian citizen, and after talking to defence politicians in a series of European countries, is how to gradually create a patchwork of ties across and across how military forces act in Afghanistan. We know parts of that debate in Norway, and I'm not going to pursue it here. But when you, for example, hear that German helicopters are moving German soldiers, you are near a carpet that becomes quite demanding. It's demanding. In any case, in those areas where it may be easier than in other areas to soften this, one should try to do so. I'll say it that way. I am absolutely convinced that our Minister of Defense is doing a job to get to it, but I would like to say it that way. And I'm not saying it any other way than that I think this is very important. When we get to the point of today, as a politician, I have – I kept saying – a long time at sea a certain sympathy for a majority government to make progress on the internal path. I understand. I even understand how minority governments have done it. That is why I also understand why the majority government needs it. But I fully agree with the representative Petersen that then time can be out of control. It may even become so scarce that others who are going to be involved and contribute to what everyone wants, namely the widest possible collection of defence policy tasks, are given an almost impossible task. In addition, I represent a party that is not on the Defence Committee, and there are some documents that are graduated and go to the committee that I don't get, so I have to fall back on my public knowledge and public awareness after working on defence issues for over 25 years. That's the public eye and the general knowledge I have to use today, too, when I'm going to review the various proposals on behalf of the party I represent. That insight has taught me that heavy investments that have to do with the future should be made properly and thoroughly. It may well be that there are incredibly intelligent improvisations. I don't want to reject it. I don't even want to deny the possibility that the defense in a slot has managed to get an excellent deal about the planes that are there now, but I'm not sure. Because I'm not sure of that, I don't want to deviate from the principle that heavy investments that will last for a few years must be created properly and tidy processes around. Secondly, I am absolutely convinced of the following: if NATO in Afghanistan is based on a lack of transport aircraft, NATO is in a deeper crisis than I am so far in some form that citizens of this country have had insight. If logistics, moving someone from A to B in Afghanistan, is the real, critical flaw, NATO is in a bigger crisis as an organization than I've had insight into. I have come to realize that it is very difficult and demanding to get different countries – and we stay out of this room, because here we have done so far what we are going to do with each other – to set up. And I agree that when Norway joins 700 soldiers, it is respectable in every respect, even when the special forces are assessed as the government has done. But the insight you get by talking to defence politicians from other European countries makes it quite clumsy about how detailed management prevents – we should call it – flexibility from what can be called technical assistance. I understand that it can be a difficult debate about who could be at risk of being killed in conflict, but having that kind of bond on technical assistance is beyond my ability to understand. There should be something that we can solve for, and that we can do something about. I have thus come to the following conclusion on behalf of the Left: I find it all in all right to vote in favour of the postponement proposal promoted by the Right, which has been endorsed here by the Progress Party and the Christian People's Party. I have then come to the conclusion that I cannot vote in favour of the proposed allocation, but will vote in favour of a full bidding round, because I am convinced that when the defence is to bet on investments, they must be assessed and evaluated as best they can. I hear that earlier in the debate it has been said that when you buy defence efforts, you are exposed to lobbying. I'm familiar with that, I've had an earlier role in life when someone tried to "lob" in relation to rescue helicopters. It has a significant intensity. I've learned how to fight, how to keep the lobbyists at the distance they're actually supposed to be at, how wise the government is talking to lobbyists, and that those who are going to have a star in the book to talk to the council don't get a star in the book. So I have no naivety to lobbyists. I also have no naivety as to how they appear, and how it can be done in many areas. I don't have enough imagination to understand all the lobbyism in the area of Defense. I guess it's no less advanced than it's on the purchase of rescue helicopters. In other words, I expect it to be significant, because it is about large investments and a lot of progress. It is quite legitimate that some ‘lobbers’, but it is also perfectly legitimate that they are not naive but professional in dealing with it. The fact that it happens, I take for granted, and having a relationship of consciousness with that, I also take for granted, that's a necessity. I am in that situation that I am convinced that the Minister of Defense and the Defence Department, given what I started by saying in the beginning about the demanding thing about looking in the glass ball in relation to investment, trying to make it optimal out of the situation. I am absolutely convinced of that. However, I have come to the conclusion, on the basis of what I have reasoned, that if I want to mark where I believe the course will go – not least because we are now in front of a new long-term plan for the defence, with which it is to be worked – I cannot sit here and vote for something that I believe is across all the principles that I will try to cooperate on next round. Because that's what I'm really interested in. Then I have to break some rules of the game that will be fundamental to that cooperation. That means a tendering round. Secondly, from my general understanding as a Norwegian citizen, based on reading what I can from internationally available publications, I am convinced that the basic security situation in Afghanistan goes far beyond technical assistance by moving forces from a to b. It is linked to relations that I have previously praised from this pulpit, and I would like to repeat it, where both the Norwegian government and Norwegian officers – and the head of defence are among them – have determined in an incredibly clear way what is needed to give a meaningful civil goal for what to do, and what to use military power to do. I have no reason to criticize the Norwegian Government for that, because I am convinced that it is actually doing what it can. But I have a deep wonder about the lack of obligatory thinking throughout the overall NATO cooperation in this regard. Then I believe that, in relation to what NATO is going to do in Afghanistan, it must be possible to begin moving on to some of the clauses relating to the use of effort, technical assistance, etc. That must be possible. If that's not possible, we've made so many bonds that it's almost hard to handle it. I have chosen to address a major topic that goes beyond this debate: how are we sure that the defence always has good competence to handle not only one, but many demanding investments at the same time? I have also addressed the issue of what is the fundamental concern about the security situation in Afghanistan. Then I have reached the conclusions I have presented. I can't stand here, refer to, say and believe that some of those who do the job don't do the job. I'm assuming they're doing the job. I'm actually assuming that they're doing their job, but I have to say, just like the representative Petersen, that we're going to go into a debate about a possible defence settlement based on the fact that there's a job done by the head of defence in a politically impaired selection, there must be some basic rules. Sometimes I have the feeling that I'm almost in a kind of Western movie, in what in the Western movie is called 'hotgun marriage', i.e. that the bride's father comes to the groom and says, "Are you going to marry the girl?" Haila's excited. – I don’t like the Western edition, nor the Norwegian Storing’s edition, and I take the consequence of it at the vote that comes later.
ParlaMint-NO_2007-06-19.ana.ud1045e581	It's going to be line change.
ParlaMint-NO_2007-06-19.ana.ud1045e584	As the Left is not in the Committee, I was actually very excited about what the Left's decision was in this matter, and what the Left would vote for. I have to say that it is with great wonder that I hear what the representative Dørum says about them – when the return proposal falls, which after all was a proposal that could mean some postponement in time – they will not at all go for the acquisition of new transport aircraft now, but will choose a variant that can allow us to wait for three to four years before we get tactical planes that can take care of the security our soldiers are entitled to in Afghanistan. Then it's not useful to talk about that it's NATO or something else that makes you push it in front of you. Does the representative, in fact, believe that our soldiers should remain in second row in the event of a possible evacuation?
ParlaMint-NO_2007-06-19.ana.ud1045e593	I think it's a bold question. In fact, the left has tried to support under the existing government, which, despite internal tensions, has tried to ensure that our forces are available where necessary in Afghanistan. However, since the representative is in cash, the representative must receive a cash reply. If the sitting government solves its internal tensions, so that Norwegian forces can be deployed in Afghanistan where it is militaryly correct and not just where it is political opportunity, it will probably give more impact to NATO as a whole in Afghanistan than it is. However, the Left has chosen to try to help make that situation the best possible, including: for the Minister of Defence. I thought the representative Eye would appreciate it. Just because we've done it, knowing that the government has internal tensions, we haven't tried to dig in it. We have tried to contribute to the best possible solution. I feel that the government has also bit by bit done such a job. Then I think it is a good idea to be accused of not thinking about safety. The government can start at its own table by doing something about it. The left is happy to support it when we get that far, and you can be absolutely sure that freer use of military forces gets the full support of the Left in this room.
ParlaMint-NO_2007-06-19.ana.ud1045e600	The representative Dørum raised questions about competence or lack of such competence. In addition to the Government and the Minister of Defence, the Chief of Defence, the Director-General of the Air Force and the Head of the FLO have made a clear technical recommendation that there is an urgent need for new transport aircraft. They therefore recommend the rapid acquisition of these aeroplanes. Does not the representative of Dørum trust the advice of the professional soldiers in this matter, that it is urgent with a flight purchase? To what extent does the Left believe that consideration should be given to the professional military recommendations in this matter? If you don't want to take into account the professional military recommendations, who are you supposed to listen to?
ParlaMint-NO_2007-06-19.ana.ud1045e609	I am absolutely sure, as I said in my speech, that both professional and political authorities, given the situation we have – I tried to analyse the possibility of being good enough to hold many investment projects at the same time – then it gives the advice that, in the current situation, is the best possible. It's my private hypothesis that the government right now has free budgetary resources, and then it's good to use such free budgetary resources, because you know that budgetary resources don't always come back. Anyone who's been in a government conference knows that. Wise people, whether they're wearing stars on their shoulders, or they're chosen by the citizens, understand the practical situation and at the same time try to make something out of it. I then allow myself to use my life experience not to dispute these people's wisdom or loyalty to the system they are set to serve, but to try to define the framework conditions around it. I was very ready to say that to go into something that is far-reaching, namely a new defence plan, we need to have different framework conditions. That's why I vote as I do. And then I've been very clear about what I think is the most important thing for the security situation in Afghanistan. It is my answer to the representative who asks me the question.
ParlaMint-NO_2007-06-19.ana.ud1045e620	The cord shift is over.
