ParlaMint-NO_2007-06-01.ana.ud1321e51	The representative of Laila Bavøy, who has been licensed, has once again taken the seat.
ParlaMint-NO_2007-06-01.ana.ud1321e723	Thank you to the Council of State for your answer. I think that was a good answer in many areas, but I want to challenge the Council of State in some areas that I think were less clear and slightly unclear. I am very pleased that the Council of State prioritises this and underlines so strongly that the language declaration is politically committed to us. He was quite clear that this is a political commitment that the various countries have to implement and to facilitate what the language declaration provides for us. I also think it is important, as the Council of State stressed, that close contact between the different departments responsible for language policy in this country – it is the Ministry of Knowledge and the Ministry of Culture in the first place, but also other departments – that there should be close links between the departments on these issues. For me, it is also important, as the Council of State also stressed, that the declaration is a way of raising language policy, a way of making us aware of the position of language and also of the language being the most important cultural carrier we have, and is – as I said in my introduction – what constitutes us as human beings, what creates our identity as human beings. Governments spent relatively much time going through some of the things happening at Nordic level – Nordic cooperation and the North Plus programmes. I fully agree with the Council of State that this is extremely important, including the new pilots who are now going to be tested around schools in the Nordic region. What I might have expected a little bit more was that the Council in its response could be a little more specific about how to implement the language declaration in Norway. What are we going to do in Norway? Are we going to do something about teacher training? Is there a need to address teacher training in order to strengthen the position of neighbouring national languages in teacher training? Can we do more about school? Is there a need to go through the curricula? Is there a need to initiate activities aimed at strengthening texts, literature texts, in the neighbouring language? It is, of course, the teachers of each school who select texts with the students, but it is important that there is some incentive to use neighbouring language texts. Can resources be allocated in relation to student exchanges, etc., not only through the Nordplus programmes, but also as a separate Norwegian action? Such things I think are terribly important, and I would like the Council of State to be a little more specific about it, and ask him to consider whether there is a need for some of these measures.
ParlaMint-NO_2007-06-01.ana.ud1321e743	In the interpellation, the interpellant refers primarily to the Nordic Council's declaration. It is the follow-up to what we now need to translate into concrete action through understanding across national borders and cooperation areas for it, cooperation projects that I described in the response to the interpellant, and, of course, also a number of national measures. As I said in my reply, the government comes with a comprehensive language message. Both the Ministry of Language, that is, the Ministry of Culture, and of course the department that may have most of the concrete follow-up tools, that is, the Ministry of Knowledge, come back to what the interpellant is asking for. So how much I'm going to lighten up the veil in relation to what's coming, I'm a little uncertain about. We'll have to take the formal rounds before we can flag it. However, the language declaration to the Nordic Council is a political commitment and an ambition that we are going to achieve through the measures we are describing is quite clear. Now it's not like the Nordics are the only area in the world where you have related languages, and where you can communicate across borders with slightly different variants of languages where you understand each other, despite their unique and distinctness. But there is hardly any area in the world where the political desire to maintain that understanding and that knowledge across borders is so strong. We're in a media revolution. I think some of these old visions about Norsat and Nordic channels across borders might be easier to realize now, when we have other technological possibilities. We can more easily follow up on what is happening in other countries. We also see how the different Nordic countries build up a very large industry in the form of television drama productions. There are probably not a few who have sat at home and seen the chronicler and thus got a pretty good insight into Danish. Similarly, we hope that we will have similar production in Norway that other Nordic countries can benefit from. The kind of practical, concrete tools are the best tools, I think, to increase the understanding of languages between our Nordic countries, as well as all that is under knowledge, education and research.
ParlaMint-NO_2007-06-01.ana.ud1321e754	Together with common culture and history, the community of languages is a fundamental prerequisite for Nordic cooperation, which is becoming more important and important in a globalised world where market-side cultural expressions are colonising smaller countries and nations. And precisely in this context, the geographical regions are becoming significant political counter-powers. The Nordic community therefore becomes a key to further developing Nordic cooperation on essential social and cultural values. It is therefore of great importance that the Nordic Council adopted a declaration on Nordic language policy at its last session in Copenhagen. Although the declaration is not legally binding, the Education Ministers have stated through the document a clear political commitment to work for the areas and objectives covered by the declaration. It is true that from Norway we are actively involved in the process of developing a new language convention and in the review and organisation of the Nordic Language Council. This work will also provide a good starting point for a renewed Nordic language debate. During the session and through many years of work at the Nordic Council, a broad consensus has been expressed on the key objectives of Nordic language policy. The Council of Ministers was therefore unanimously invited to draw up an action plan to specify how to work with the four main areas outlined in the declaration: language understanding, parallel linguisticity, multilingualism and the Nordic region as a language precursor. It is a wish that Norway becomes a driving force in this context. I am pleased that the Minister already seems to follow the Nordic Council's recommendations on culture and education, which are precisely that the area of language understanding is given the highest priority in the coming years. In this context, it points to the importance of targeting the North Plus language programme in the development of new Nordplus programmes and that teacher training and teaching students should be important target groups. It was also pointed out by the Culture Committee that translation aid should be included in a comprehensive action plan to strengthen language understanding. Over several years, the Nordic Council has also reached a cross-political agreement to provide sign language with the same position as the legal minority languages in the Nordic region. The legal minority languages in the Nordic countries are Sami, Yiddish, female and romance. This was also reflected in a unanimous proposal by the Culture Committee at the Nordic Council. However, during the Council of Ministers' examination of the language declaration, this point was weakened, and the terms of the ministers were that sign language should also be given a strong position. It is clear that this wording also obliges further work, but when the Council of Ministers was not prepared to go further than that, it was related to the fact that sign language does not have the status of legal minority language in all Nordic countries. Among other things, we in Norway have not yet given this status to sign languages. It is therefore even more important for Norway to maintain and strengthen the position of the sign language in the Nordic context in the further work on the language declaration, and in particular when the Nordic Language Convention is to be re-established.
ParlaMint-NO_2007-06-01.ana.ud1321e769	There's a lot of interpellations going on in this room, and the matter we're dealing with now may not be of the issues that we've had the most focus on. The question is whether we should then focus so strongly on this area. In my notes for this interpellation, there are quite a number of question marks. I ask the question whether this is such a central and important topic as the interpellant claims. I notice that the interpellant is in charge of strengthening training in neighbouring languages. He suggests machine translation, and that neighboring search in databases should be facilitated. I want to ask the question, what is the purpose? Is it that we don't understand each other in Danish, Swedish and Norwegian? Most of us have grown up with Swedish television and after each Danish film, and we have a great tourism and trade exchange between countries. It would therefore be appropriate to ask questions about whether this is actually a problem that should be solved by politicians. In such a debate one should be careful to use English, but in England one has a quite striking saying: ‘If it is not broken, don’t fix it.’ Machine translation, multilingual databases or searches, etc. Do we need this? Is it interesting for more than a handful of academics and some teachers? At least I think it has limited interest. On the other hand, when it comes to language policy in general, it is clear that it is an important topic, which is also addressed by the Progress Party. The adoption of the Norwegian language will be important in the future. In this area, there is no disagreement whatsoever. We are under pressure from the world's languages, and we need to strengthen Norwegian both in the media, in the professional environments, in school and in daily use – also in the ICT and software sectors. There are many ways to strengthen the Norwegian language, but I don't think what the interpellant outlines is the way to go. The Progress Party has nothing against us having access to Swedish and Danish literature in the libraries and schools, and that we have the great access we have to several television stations in and cultural entries from our neighboring country. The question is whether we should prioritise scarce resources for this area. Here, the Progress Party will agree with Minister of Education Djupedal, who has recently come to the conclusion that there must be a far higher priority and more focus on the core areas of Norwegian school. We think that's very good, and that's in itself a good copy of what the Progress Party has said in the last 20 years. The Council of State announces the arrival of a language message, and the Progress Party looks forward to it. On this issue, we want to make our assessments more concrete, but we will clearly focus on the pressures from the world languages, on the challenges that large immigration to Norway has given us in relation to language, and also on the future of the new Norway. We have argued in previous language debates in this Chamber, and we are firmly convinced that it is not possible to ensure that the new Norway survives only by coercion, quotas and state aid. It is necessary to focus on the daily voluntary use both in the public sector and in the media if the neo-norm has to be able to survive, as we all want.
ParlaMint-NO_2007-06-01.ana.ud1321e784	I would like to add a comment to the representative from the Progress Party when it applies to new Norwegian as a language. Besides having the right to use new Norse, it's also important that we get equal opportunity to use it. Then it's e.g. important with the organisation of good literature — there are many challenges — so that a person has a good opportunity to use new drugs. Several hundred years back in time, the North Americans talked and understood each other. They understood each other with their Nordic part of the Indo-European language. Today, we often have to resort to English when understanding fails. The Nordic language understanding is falling. Many other regions in Europe envy the Nordic region, which understands neighbouring countries' languages. Here, exceptions must be made for Finnish, Icelandic, Sami and Greenlandic, which do not belong to the Nordic part of Indo-European, and where, naturally, little is found in common. But developments seem to be going the way that we in Scandinavia also need to talk more and more about each other via English. The Nordic language community is perplexing. It seems that the North has to jump off the Northern Germanic branch of the Indo-European and into the English. Several studies have been carried out to find out how the language is understood in different countries. A 2001 survey shows that we are here in the country and those in the Faroe Islands who understand neighbouring languages the best. The results of a text and speech understanding where a maximum score could score 10 points gave 7.01 to the Faroe Islands, 6.14 to Norway, 4.38 to Sweden, and 3.87 to Denmark. A similar survey of recruits in 1976 gave similar results. The Norwegian language understanding is therefore the second best. I think it's due to active dialect usage, and we have two smooth scripting languages – new Norwegian and Bokmål. We are water with linguistic variation – both orally and in writing. In this country, people have seen Swedish television for as long as we've had television. This has undoubtedly led to greater knowledge of Swedish languages – especially through popular serials such as the Archipelago Doctor and children's program such as Pippi Langstrømpe and Emil in Lønneberget. In recent years, several Danish television series for Norwegian audiences have also been shown – both on NRK and TV 2. They've become very popular with many Nordics, and we'll assume that this also has a positive effect on the understanding of Danish by the North. In recent years, Swedish education in Finland and Danish education in Iceland have gone back, and there are strong forces in this country to reduce training in new Norwegian and the number of literary texts in Swedish and Danish. All of this leads to a sluggish Nordic language skills and a greater difficulty in speaking together in Nordic languages. It's probably mostly English that comes in where teaching in Nordic languages goes out, and now it seems that we don't have to go further than neighboring countries to use English. But can it not be called progress if we have to speak English with Danish and Swedish, as one does today with Finns and Icelanders? Nordic language cooperation has existed as far back as the 1800s. In 1869, the Nordic language meeting was held in Stockholm to discuss the coordination of spelling. Between the Norwegian participants was Henrik Ibsen and the linguist Knud Knudsen. The Nordic Council has been concerned about this issue as long as it has existed. The Nordic languages are the best to describe Nordic circumstances, and the Nordic community has a symbolic value. At the same time, there has been a decrease in Scandinavian language teaching in several Nordic countries, and this has not strengthened Nordic understanding. It's an unfortunate development. On the other hand, youth exchanges between Nordic countries are popular and help to strengthen Nordic understanding. We need to be active to save the community and our cultural base. The Nordic Council's literary prize is an important and heavy prize in this way, a safe number. 2 in the North after the Nobel Prize. Here, the Nordic Council has made a great effort for the cultural community and the language of the Nordic region. The Nordics speak with a voice in different languages. We have to fight for it to continue, for example. through language training in teacher training and for pupils in school, increasing youth exchanges and by building up the barriers that still exist for the free movement of labour between the Nordic countries.
ParlaMint-NO_2007-06-01.ana.ud1321e810	Language is identity, and language is an important part of our culture. We know that globalisation means that some languages are under pressure. Of course, it is nice that countries have more contact between themselves and that the world is getting smaller in many ways. At the same time, it requires that we be more aware of keeping track of and facilitating cultural diversity and linguistic diversity. This makes it necessary to have a targeted policy to ensure languages. The Nordic Council adopted a declaration on Nordic language policy at its meeting in the autumn of 2006. The declaration contains a general and principled introduction with definitions, where the starting point for the Nordic language policy is underlined. The measures are clarified under the main headings, areas for which it is to be worked, and to which each country is to focus, are reported, as the interpellant did well. The Declaration on Nordic Language Policy is very positive. In the view of the Centre Party, linguistic cooperation must be an important part of Nordic cooperation. The centre party will work actively in bulk and government to ensure that the measures to ensure and strengthen the languages are prioritised and put to work. Societal development is moving towards an increasingly important language. On the one hand, there is increased trade, migration and closer international cooperation, including in the Nordic region. Norway has e.g. closer cooperation with Sweden now than we had in the Union era. On the one hand, there are fundamental changes in the economy. The service sector has become increasingly important and thus language as an input. In the industrial community, labour and capital were dominant. Now there is human capital that owes debt and causes the land to grow, knowledge and communication, with the language as a red thread and a frame. For this reason, a general awareness of language, linguistic quality and skill also in Nordic contexts is a sign in time and a commitment to deeper cooperation, understanding and strengthening identity, also as a basis for meeting and communicating with cultures and people outside the Nordic region. Research shows that the Nordics’ understanding of other Nordic languages, especially the other Scandinavians, is sometimes better than the Swedes and Danishes’ knowledge. There's two reasons for this. The one is the status of the dialects, folk speaking, here in the country. The second is the bilingual situation in Norway with two relatively similar Norwegian languages. This – a variation in both speech and writing – gives the Nordics a comparative advantage: we are more watered down by the fact that a language can vary, have different expressions. For this reason, increasing the focus on balancing new Norwegian-bokmål is, in fact, an action which means better representations also for a better Nordic language policy. This is also reflected in the Soria Moria Declaration as one of the Government's bet areas. The interpellant points to a number of concrete areas of activity in which it is important, in his view, to strengthen efforts, such as linking competences to minority languages, dealing with scientific languages, i.e. Norwegian languages in the academy, the exchange of youth between the Nordic countries, and teacher training, etc. This is the focus area that we in the Center Party can put ourselves in the back of the whole heart. One could comment very much on the post of the representative Knudsen from the Progress Party. I thought it was the integrity of the post that was interesting. For the motto was, as it is for the Progress Party in very many areas of society: ‘If it is not broken, don’t fix it’. It's a mindset where repair is what's always in the high seat, rather than the prevention, and it shows a fundamental difference between the two. The Progress Party and the Center Party, where we in the Center Party see it as a goal in itself to prevent repair from being necessary once. It was a little bit of a siding. The relationship that exists between the Nordic countries through the language gives us good support for close cooperation. So, language is a factor that can help strengthen cooperation and development in our countries. The Center Party hopes that the declaration will contribute to a stronger language policy effort in the whole of the Nordic region in time to come.
ParlaMint-NO_2007-06-01.ana.ud1321e831	After all, I register that language and language debates are not the most committed thing to Stortinget. I had imagined a full hall when we were going to discuss language, identity and who we are as human beings. I also record that the so-called cultural party Right does not find any reason to participate in debates on language and policy. In addition, I also think we could have been saved for the bay-like post from the Progress Party. I'm sorry, President, that I used the word "bajas," but I don't think there's any more comprehensive word for the post he made. It would have been an advantage if the representative of the Progress Party had seen through what was adopted at the Nordic Council, what the Nordic Council of Ministers has come up with, and the declaration adopted by the Nordic Council. That was a quote from the declaration to which the representative of Knudsen referred. It is always an advantage to read the basic documents in the case before taking part in a debate. I thank those who have been involved in the debate. It's an important thing. It's about our identity, it's about our understanding of us as human beings, and it's about Nordic and our future Nordic cooperation. As the Council of State said, and as several others have said, the basis for the close Nordic cooperation is that we have a language community. It is this community of languages that we are committed to further developing and strengthening, precisely to strengthen cooperation in the Nordic region. That's what the Nordic Language Declaration points out, what to do at Nordic level and what to do at national level. We return to a debate on language policy when we receive the message from the Ministry of Culture. Then we will have a broader debate on Norwegian languages, but also on the Nordic languages and cooperation on them in the Nordic countries. I think we have major challenges, because, as many have said, the Norwegian language and the different Nordic languages are under pressure. And as I said in my post, if we go in and see within academia, we see that the Nordic languages are losing ground. Even if I don't want to shout warnings – there may not be any reason – there's reason to fear that in 20, 30, 40 years the Norwegian language has lost its hegemony within the academy. It gives cause for concern, because it's like I said about our understanding of ourselves as human beings.
ParlaMint-NO_2007-06-01.ana.ud1321e845	The President will point out – as the speaker himself pointed out – that ‘bajas’ is not a good word in this context.
ParlaMint-NO_2007-06-01.ana.ud1321e848	If there's a good word in this context, there might be a shared opinion about, but if there's a good word in this room, it's probably another case. I must say that I also find it strange that the Right Party is not taking part in the debate. But then it is better with the Progress Party that actually participates. I still think it is a paradox that the Progress Party, which in so many respects is committed to taking care of the Norwegian and our peculiarity and is afraid that we will be diluted by international influence, does not see that strong Nordic cooperation on language policy will actually help to make everyone stronger. But you might also say that this relationship, by being stronger together, has not been the great force of the Progress Party either. On the other hand, I think it is possible to have a fairly broad political majority otherwise in order for us to have a very ambitious objective that the Norwegian language should be a full language in all areas of society. In my view, there is reason to call out the warning that the interpellant was a little uncertain about. There are areas within the academy where you don't necessarily have full terms in 5, 10 or 15 years and a vocabulary in Norwegian. It is about investing in textbooks, teaching in Norwegian, research reports, doctoral thesis and international articles translated into Norwegian, and through this we maintain a good Norwegian professional language in all areas of society. If it starts at maybe the most special small and narrow subjects, it can expand not only within academia but also into other areas of society. I think of this as a little prelude to the debate we get when we get a language message. I hope that we will then get a great and broad commitment, for this is a very important matter that is about exactly what the interpellant says, about our identity and our society. I guess there's a few things that express who we are, as strongly as the language we use. So this is a question that goes far beyond the narrower cultural policy perspective. This is about the broad culture, about who we are, and it's about all areas of society. By doing so, I am delighted with the debate we get over the autumn and winter on language policy in Norway.
ParlaMint-NO_2007-06-01.ana.ud1321e859	The debate on substance is closed. So 3 is over.
ParlaMint-NO_2007-06-01.ana.ud1321e877	A quick Internet round shows that «Indoor climate in School-Norway» is a hot topic around the whole country. Headings such as ‘School is on fire’, ‘Eating pills to cope with school day due to poor indoor climate’ and ‘School, a health risk’ have been listed in different media only in the last two or three months. They represent a selection of many articles that illustrate that school-Norway conditions are not quite as they should be. In many municipalities, there is often a lack of knowledge of the effects of the indoor climate and of the requirements that can be imposed. It is not easy to find systematic surveys of indoor climate in Norwegian schools. The Norwegian Institute of Air Research conducted a student-based research campaign in 2003. It had a lot of excitement — a total of 688 schools — and is the closest I have come to a survey of the situation in the school. The study revealed that 35 pst. of the classrooms examined had problematic air quality, while 7 pst. had unacceptable air quality. There is, not surprisingly, agreement between how students and teachers experience air quality and CO2 concentration in the classroom. The researchers Pawel Wargokki and David P. Wyon at the Technical University of Denmark in Lyngby have demonstrated that the air in the classroom has a significant impact on students’ presentations at the school. Students work both faster and better with lower indoor temperature and good ventilation in the school room. The school shall disseminate knowledge and develop competences. The indoor climate is an important part of how well the learning environment appears. Overseeing the Danish Labour Inspectorate and indoor climate expert Jan Vilhelm Bakke, at the same time, agrees with the findings of the Danish researchers and states – in VG 4 February this year – that «the schools are still indoor climate hosts in Norway». Furthermore, both he and Dr Gunilla Wieslander, from the Department of Occupational and Environmental Medicine, the Academic Hospital, Uppsala, points out that the indoor climate in the school “must be improved”. It is a paradox that while children have little opportunity to influence their own working environment, – as these researchers say – the effect of indoor climate is much greater for them than for adults. Doubled outside fresh air added 8 pst to the students' working rhythm. Bad indoor climates in schools and kindergartens are becoming a serious social problem. Asthma is now something over 10 pst. by Norwegian children, according to the Norwegian Asthma and Allergi Associations. Studies from Oslo show, according to the same source, that up to 20 pst. by the children may be defined as children with asthma bearings. When the indoor climate is poor, children are more distressed – and it also helps to make more children sick or sicker. School is a central part of the everyday life of all children. It shall be a place for the development of knowledge and competence. Then it can't be a place where you'll find that your plague might be amplified. The indoor climate is not just CO2. We are also talking about dust, exhaust gases and moisture. Here the causal relationship is complex, but there are clear indications that people who live in homes with moisture and mold are at increased risk of asthma and allergies and develop other forms of hypersensitivity. After passive smoking has now been eliminated as an indoor climate factor, mould and moisture are the factors that give rise to the greatest indoor health problems. It's not that you haven't focused on this problem, but there might be something about the way we approach the problem, which makes good wishes and good will not produce the desired effects. The regulation on health protection in schools and kindergartens came into force in 1996 and was a breakthrough in improving the physical working environment for children and young people in schools and kindergartens. Training laws Chapter 9a, the School environment of the students — also known as the Working Environment Act — came into force in 2003 and also helps to ensure the psychosocial environment. The Education Directorate has followed up, for example: by establishing a national school advisory service in 2003 and by launching a new online guide on the school network in March this year. Furthermore, annual conferences are organised, primarily for decision-makers in municipalities. If quality and knowledge in school are to be really focused, it must also be the environment that sets the framework for education. The success of creating good conditions for school learning is central to Norway’s position as a knowledge nation in the future. It's done a lot of good, but the question is whether it's enough, and whether it's effective in achieving the goal. As I started with, the headlines are hitting us. Many report that, as new building requirements and new methods are introduced — and building becomes ‘better and better’ — the challenge is really growing. It is a paradox, but I have been confirmed by several teams, including from the Norwegian Asthma and Allergy Associations, that the situation is not really getting better. Lack of competence in, knowledge and knowledge of this area remains high. I believe a lot of the challenge is that we may have been committed to unilateral self-control and information about rights and claims in this area. The measures are well and good, but are fast too demanding, too bureaucratic and too scarce for each individual student, teacher, principal or supervisor. In particular, if one has not established perfectly clear, concrete and measurable standards to measure it against. During my review of various suggestions, I have noticed that in many cases there is a claim against the claim, and then the fight often becomes too heavy for the person who has taken the initiative. Let's be open to it: in such a world, the strongest and most action-oriented comes forward. It is obvious that there is a problem that there seems to be a total lack of studies on the state of schools and kindergartens. The one who doesn't look doesn't find it either. Those who do not have standards to measure against may also not require action. Norway’s Asthma and Allergy Associations have been operating advisory offices on indoor climate-related issues for many years. Earlier this week they reported through a look-up on their website that they looked at the situation of Norwegian schools and kindergartens with concern. I am informed that linked annually receive several thousand enquiries from employees, parents and others about poor conditions in the country's kindergartens and schools. The association also says that they do not see any reduction in the problems reported, rather on the contrary. Consent on objectives and desires can be a danger in this area, because we might forget to check that our wishes also need to be met with actually improved quality in the indoor environment. We have independent supervision and clear, defined standards in a number of key areas of society. With regard to the indoor climate, we have left this to self-control, information measures and the lack of standards monitoring. I think you should consider doing something about that. Clear standards must be defined and a follow-up system followed by an independent body must be established. I think the example of NILU's study in 2003 is quite interesting. An independent body, NILU, conducted a school survey by offering schools a free measurement package that students could use themselves. Then such a check becomes a good pedagogical exercise. It could be combined with knowledge of the environment and its impact on concentration and learning, and it could be implemented without the high costs of building up its own supervisory body. It is Barneastma this year, and Norway's Asthma and Allergy Associations deserve to focus on this issue. I hope and look forward to an interesting exchange of views on an important topic – with the Council of State and the Stortinget.
ParlaMint-NO_2007-06-01.ana.ud1321e923	The representative, Gundersen, is addressing a very important theme. A good physical work environment is an absolute prerequisite for a safe school day and a good learning environment. The physical school environment inside and outside should contribute to the health of children and young people and contribute to a good learning situation. At the same time, a good physical school environment is an important prerequisite for well-being in school everyday life. A good indoor climate is perhaps the most important part of the physical environment at school, because children spend most of the school day indoors. At the same time, the indoor environment is crucial for the learning situation of students. Standards and requirements for the physical school environment in primary and secondary schools are laid down in the Training Act Chapter 9a. It is established that students are entitled to a school environment that takes into account their health, safety, well-being and learning situation. The school environment is also regulated by other laws, regulations and administrative provisions, including ‘Regulation on environmental health protection in schools and kindergartens’ administered by the Ministry of Health and Welfare. The regulation has some detailed provisions, but is based mainly on discretionary standards to the satisfaction of the environment. Under the regulations, the schools shall have an approval of the municipalities. The Training Act states that the physical environment must meet the professional standards recommended by the professional authorities at all times. The use of standard standards is necessary for both local adaptations and updates as a result of new knowledge. Thus, the Training Act makes recommendations from the professional authorities as legally binding rules on the physical school environment. For the indoor environment, «Guide to the regulation on environmental health protection in schools and kindergartens» provides concrete standards that must be complied with. Among other things, a maximum level is set for the amount of permitted carbon dioxide in indoor air and a minimum level for the temperature in school rooms. That guidance, as well as the «Recommended professional standards for indoor climate», published by former Folkehelsa, now the National Institute for Public Health, also provides a number of other standards which are legally binding under the regulations of the Training Act. However, it is the impact of the school environment on the basic students. A school environment is not good if, based on the student’s situation, it does not promote health, well-being and learning. Students and their superiors are therefore entitled to have complaints in the school environment dealt with within a reasonable time by the school and to be heard through various councils and school committees. The control systems and supervisory mechanisms to ensure compliance place a responsibility at the school, at the school owner and at the state. The school and the school owner are responsible for ensuring that the requirements of Chapter 9a of the Training Act on Good Physical School Environment are met in daily work. An important part of this work is the duty of each school to carry out a continuous and systematic effort to contribute to a good school environment, which ensures the student's working environment. In addition, the obligation to ensure the establishment of such an internal control system is laid down in the Regulation on Environmental Health Protection administered by the Ministry of Health and Welfare. This means that the school and the school owner cannot passively wait for some to complain about any illegal circumstances. On the contrary, the school must actively promote health, the environment and safety in line with the legislation. Work will be carried out throughout the school year and the school will have a systematic approach to work. This means that samples are not good enough. The school and the school owner must have a system to prevent and detect violations of the law at an early stage. To cope with this, the school and the school owner need to set specific goals for the school environment that are tailored to the local challenges of the school. This implies an obligation for each school and school owner to monitor local conditions and plan to take action to achieve the objectives. One measure to improve the indoor climate is regular measurements of air quality and temperature. It is also important that the school has a system to ensure that the air does not contain dangerous amounts of different components, as well as to investigate whether other indoor climatic factors, such as light and radiation, acoustics and mechanical indoor environments, are adequately addressed. The State has delegated responsibility for overseeing compliance by school and school owners with the requirements of the Training Act to county offices. The requirements for the school and the school owners to have an internal control system shall facilitate the implementation of the supervision activities of the county council by requiring the school to document how it understands the requirements and what the school actually does to meet them. If such supervision reveals circumstances that are contrary to the requirements of the law, conditions may be required to be corrected. In addition to providing instructions, the county council shall provide guidance on how to meet the requirements and cooperate with the school owner to ensure a good outcome for the students. Effective and competent State supervision of good capacity is an important prerequisite for good control. More measures have therefore been put in place to strengthen the supervision of the county and to improve the management and coordination of supervisory activities at national level. Over the course of 2007, there will be efforts to target and streamline supervision through development, development of competences and guidance. Among other things, a new guide to the provision of the Training Act on the requirement for a sound internal control system in municipalities and county municipalities will be developed. The supervisor will mention the requirements and content of the obligation to have an established and sound internal control system. It shall be completed by 1 June 2007 and shall be made available to the municipalities in an appropriate manner, so that the requirements are elaborated and clarified to the school owners of the country. In addition, the Ministry will carry out an overall assessment of State instruments vis-à-vis the local government sector in order to maximise the overall impact of the measures. The evaluation will include, inter alia: also assess the relationship between supervisory practices and guidance practices, in line with the St.melding. No 16,... and no one was left. Finally, the learning environment for students — in class and out — is very important for children to be able to succeed in school. That is why a very important question is raised by the representative of Gundersen, which is a matter of high priority for the Government. I therefore look forward to good cooperation with Stortinget, and I think it is interesting that the representative Gundersen is raising this important debate.
