ParlaMint-NO_2007-06-05.ana.ud458e51	The representative André N. Skelstad, who has been licensed, has once again taken the seat.
ParlaMint-NO_2007-06-05.ana.ud458e506	The cord shift is over.
ParlaMint-NO_2007-06-05.ana.ud458e509	In the red-green rhetoric of the fisheries policy, it has been almost a mantra that the introduction of the structural arrangements for the sea fishing fleet and the coastal fishing fleet in 2003 and 2005 represented a breach of a previous tradition, etc. According to the same rhetoric, today's government would create peace in troubled waters by suing for a wide anchored settlement in this matter. It is right that the structural arrangements have created debate, both in the industry, in the Stortinget and in local communities along the coast. But it has to be allowed to say that the most disturbing color in this matter is between the group offices of the government party on the Stortinget and between the government offices a few quarters further away. If the goal was really to get a broad connection to the drug use in the fishing industry, the result, even with near-sighted red-green eyes, must be called a failure. The largest business organization, the Fiskerlage, has learned that the structures introduced by the previous government were wanted. It would have been better if the Fish team had seen that they were carried on. The decisions taken today will not just meet with the cheers from that team. It is easy to understand that waves have gone high internally in the government party in this matter. Two of the government parties announce directly in their batch program that they will terminate all arrangements that involve the purchase and sale of allowances. It has now been concluded that the structural arrangements are necessary both to adapt the fishing capacity of the fishing fleet to the nutrient base and to ensure a better operating economy. For the sake of both sustainability and responsible management, I am of course pleased that there is now a union agreement that structural arrangements must be maintained. That this involves a powerful turnaround for several of the red-greens, we note with interest. But the surprise goes almost to infidelity when I now see that the Center Party and SV believe that the structuring of vessels under 15 meters in the coastal fishing fleet should also be introduced. The cooperation management never came up with any suggestions to introduce structuring here. Not enough for the government party to collect well to carry forward a structure as a tool in the ship groups where such arrangements have already been established, an extension also extends the structure to apply to new ship groups. With this presented, at least the two junior parties in the government constellation must have come so far from their original position that it is now impossible to see any relationship between the party position and the government position. From the Christian People's Party's side, you're smart. We are on what was introduced by Bondevik II. There is no compelling reason to extend the scope of the structures now. Here you can wait until we know more about the effects of the already signed structure. Many smaller communities have been sceptical about the consequences of introducing structuring into this part of the fleet now. We choose to listen to them. Fishing industry is an important industry. It means a lot to the employment and value creation along the coast. I would really wish it had been possible to find together in a broad settlement in this matter. The industry had a sense of urgency. Decisions that we are making today have a date stamp: best before September 2009. This raises serious doubts as to whether the fishing industry is really getting the stability and safety that is so important and that the industry really is. However, one aspect is important to continue: there is a broad consensus that the allocation of resources between vessel groups should remain stable. It's an important premiss and an important signal. On the part of the Christian People's Party, I would like to stress that we are open to compromise and a broad compromise. We did not silence the ultimatum. But when the government party's message is that not a comma in the structure message can be changed, the starting point for compromise is gone. Then it is natural that the Christian People's Party stands at its primary position, as they are expressed today. The Government Party has chosen to place the ultimate emphasis on maintaining its internal, fragile compromise, which in this case can well be presented as a truce agreement, at least out of this large-scale period. There is apparent tranquillity in the government, but not along the coast. With this I address the proposals in the committee position that the Christian People's Party has seen.
ParlaMint-NO_2007-06-05.ana.ud458e537	The representative of Sørfonn has drawn up the proposals he referred to. It's going to be line change.
ParlaMint-NO_2007-06-05.ana.ud458e542	I have noticed that the Christian People's Party as a member of the Bondevik II government, and as the representative himself explained in his contribution, carried out a restructuring of the fishing fleet that was quite dramatic, without presenting the matter to the Stortinget – a privatisation of our common fishing resources. With a pen stroke, the allowances were made forever. Two years later we see that the Christian People's Party is heading towards structuring for vessels less than 15 meters. Can the representative Sørfönn elaborate this shift – i.e. the link between ship structuring above and below 15 metres – more closely? Does he understand that someone perceives this so that the party has now switched on a more populist line?
ParlaMint-NO_2007-06-05.ana.ud458e549	There must be a misunderstanding here, for the Bondevik administration never suggested structuring for vessels from 11 to 15 metres. It is right to put in place structures for seagoing fishing fleets. Our argument for that was quite a deal. We need to structure both to conserve resources and to obtain the necessary ignition for fishing. So we said, and we're still saying, structuring is an important and certainly useful tool, but at the same time it might be good to evaluate the effect of structuring before moving on to other fleet groups. In the case of vessels from 11 to 15 metres, request that the operating arrangements be passed on. It's the exact same thing that Bondevik II went in for, but we've tightened it up, so one gets away with what might be called abuse of these operating arrangements.
ParlaMint-NO_2007-06-05.ana.ud458e558	Very well known, the Christian People's Party has programmed that they want to consider a system of repatriation of allowances to the community. It was done in the Grand Election Programme for the current Grand Election Period. Former Prime Minister Bondevik emphasised this very clearly in an election debate on Husøya on Senja in August prior to the last major elections. Today, we experience that the Christian People's Party unequivocally defends eternal structural quotas through the setting that is to be voted on today. This has also been an indispensable requirement, as we have experienced, in the discussions we have had with the Christian People's Party on the structural policies of the future. My question to the representative of Sørfonn is: does not the representative of Sørfonn see that the Christian People's Party's programme to investigate a system for the fall-back of structural quotas is contrary to what one today is in favour of, to continue eternal quotas? How can it now be possible for the Christian People's Party to comply with its own programme formula to investigate a system of discards linked to fishing quotas?
ParlaMint-NO_2007-06-05.ana.ud458e568	There's two things to answer to this. Firstly, the fact that one has entered for time-limited quotas does not mean that there is a privatisation of fish resources. The Christian People's Party's starting point is that the fishing resources are to be managed by the community at its best. The hues for the duration of these quotas are a very different matter. But when I said that, I said in my post – and I like to admit that – that we did more attempts on the way to finding compromise solutions that could give other results than what we see today. When what Gullvåg's representative called the "extensive hand", but which was perceived by us as a fist, was present, we found that it was not possible to reach a compromise. That's why we're now dealing with what Bondevik II went into, and we think it's the most tidy thing.
ParlaMint-NO_2007-06-05.ana.ud458e577	No more words have been asked for a line.
ParlaMint-NO_2007-06-05.ana.ud458e580	Today, we are discussing one of the most important fisheries policy issues in this bigotry period. It is a political responsibility to establish the framework conditions for the Norwegian fishing industry and it is a political responsibility to strike the balance between business and social considerations. The structural issue is about what the fishing fleet of the future will look like – its size, composition, activity – and not least where it will be located. It is about ensuring a profitable fishing fleet that creates activity and employment along the coast, and is not centralized to a few large coastal municipalities. The government’s proposal balances various considerations. The aim is to provide the industry with stable, predictable and long-term framework conditions. Structural policy is essentially about the legitimacy of the whole fishing industry. The changes in structural policy made by the previous government — mainly the introduction of eternal allowances, combined with an increasingly open trading of allowances and rights — gave rise to an increasing centralisation and concentration of power. It was clear to all that one was only at the beginning of a process that would lead to a large-scale privatisation of Community resources of enormous economic value. In addition, when the policy of the former government was not founded and anchored in an ordinary deleveraging process, it was necessary to set in motion the process that is currently receiving its preliminary finale with this deleveraging process. The decisions taken today will provide a different fishing industry than the Bondevik II Government has been working for. We are completely reversing important parts of the previous government's fisheries policy. Those who claim otherwise are unable to see the clear differences in principle and ideology that are now reflected in a new fisheries policy. A large majority of this room emphasises that fishing resources are a Community resource which in the future will continue to belong to Norwegian society, not to individuals or individual shipping companies. The privatisation policy, which was accelerated by the policy of former Svein Ludvigsen, must therefore be reversed. So it is said to be no to eternal quotas. The structural quotas shall be returned to the group after 20/25 years and the industry shall be allowed to depreciate the structural quota costs over the same period of time, respectively. One shall not underestimate the economic impact this may have on industry in the future. For the centre party, some of the most enjoyable thing today is that a clear majority in this room say no to the additional taxation of the fishing industry through a resource tax. This is done despite the clear recommendation of some theoreticians and organisations to link resource taxes to eternal allowances. This now avoids an endless structural pressure, which would be devastating for the fishing industry we know today. The rate of the resource shall continue to be charged through a larger fleet, and not least through activity along the whole coast. Furthermore, it is said that more careful structuring than the Ludvigsen introduced for the coastal fleet, both below and above 15 metres, is achieved through a lower quota ceiling. I would like to stress, in relation to the debate we have had today, that the operating arrangements implemented by Ludvigsen involve a tougher structuring pressure than the one adopted today for boats between 11 and 15 metres. In the case of the Centre Party, it has been a main objective to slow down the large-scale concentration of ownership of the resources that the previous Government provided. Otherwise, important milestones are the need to investigate further limitations of ownership in the industry and supplementation quotas and re-recruitment. An overall committee even points out that new recruitment needs to be followed up in the framework of structural policy, and that is important and good. The structural policy now adopted in the Grand Duchy is a good compromise which balances various considerations. The opening of a very cautious structure for the coastal fleet, both above and below 15 metres, is part of it and must be viewed against the decision to refuse eternal quotas and that we have put a final stop to the introduction of resource interest rates. The balance of the proposal is also reflected in the decision not to add up to a redistribution between the groups and that the structural gains will remain in the individual groups and thus contribute to the stability and predictability of the investments made and the future. For vessels less than 11 metres, one hopes for a freer adaptation, but it is important to stress that it can never be considered to allow the operators of this group to have an opening for free fishing, irrespective of the total quantity and distribution between groups. In the further investigation of ownership restrictions, this is very important for meeting future pressures on allowance and owner concentration. On the part of the Centre Party, we would like to stress that we want to review and tighten up the possibilities of owning both within the sea fishing fleet, in the pelagic sector, in the trawl industry and in the coastal fleet. This applies to majority and minority shares as well as to the limitation of ownership between the coastal fishing fleet and the sea fishing fleet.
ParlaMint-NO_2007-06-05.ana.ud458e608	It's going to be line change.
ParlaMint-NO_2007-06-05.ana.ud458e611	I had the pleasure of reading in the Central Party Party program, and I want to refer to a little bit of what it says there. ‘The centre lot is a principal opponent of negotiable allowances and fishing fleet rights. Structural developments both in the coastal fleet and in the sea fishing fleet have now gone so far that there is a danger to important coastal fishing environments. The centre party wishes to stop this development and will endeavour to liquidate the possibilities for the purchase and sale of allowances and rights.» It also states that the Centre Party will liquidate the possibility of selling allowances and rights in order to avoid uncontrolled dismantling of the fishing fleet. It is tempting to ask how much impact the Centre Party has had in the context of the structural communication. Does the Center Party mean the same thing now as they meant when they adopted their party program?
ParlaMint-NO_2007-06-05.ana.ud458e623	It's good that the Progress Party is involved in the Center Party's program. Much of what's in the Center Party's program is set out in the Soria Moria statement – so here he has a lot to learn. I would like to stress that the structural policies that are now being adopted will impose stronger restrictions on structuring, and it will provide a stronger opportunity to avoid the privatisation of fishing resources than is provided for in the programme of the Centre Party. The reason for this, which is not defined in our programme, is that we now have the opportunity to bring the eternal allowances back to the community, and that we also avoid resource interest taxes. We then get a lower structuring press for boats less than 15 meters than the previous government introduced through the operating system. All in all, this implies a high degree of connection to the programme of the Centre Party, although the arrangements of the individual schemes are somewhat different.
ParlaMint-NO_2007-06-05.ana.ud458e630	So this case has evolved into a Norwegian championship in spin-offs and lifting breaks from the red-green government parties. The centre party, which has previously been the object of structuring, today appears to be a new-freest member of what they previously strongly opposed. Is it true, then, that the Central Party has seen the light of the fisheries policy when it wants to structure down to 11 metres? It has now also become very clear to the world that the operators of fisheries can neither rely on the Central Party's laws in the election campaign nor on decisions not being taken retrospectively. How does the Central Party think that businessmen should be able to think in the long term when the government and the Central Party policies are so short-sighted that the policy has expired on the date before we come halfway through the parliamentary term?
ParlaMint-NO_2007-06-05.ana.ud458e637	What Mr Aspaker is not able to see is the overall coherence of the structural policy that is now being adopted. As I have underlined in my post, and also earlier in the line change, the overall picture will now mean that you get a better situation than what is laid down in the program of the Centre Party, where we only had the conditioning system as a structural instrument directly. So today we are given the opportunity to have a lower structuring pressure in the coastal fleet – also below 11 metres – than the party of the representative of Aspaker introduced in the previous period. We avoid eternal allowances, for which the Party of the Right has been strongly involved, which means a large degree of privatisation of fishing resources. We're avoiding a resource tax, which I'm glad that the right party is also joining now. It is important to avoid future structural pressures in the fishing industry. Perhaps the most comprehensive and decisive part of this decision is that we are now avoiding the extra structuring pressure that a resource rate tax opening could have resulted in.
ParlaMint-NO_2007-06-05.ana.ud458e642	No more words have been asked for a line.
ParlaMint-NO_2007-06-05.ana.ud458e645	For the Left, it is important to have a competitive national and international fishing industry, that we ensure fishing and activity along the whole coast, that we get safe and secure jobs for fishermen, and not least that we manage fish resources in a way that makes us have fish in the future. This I believe most people can join, and it is therefore a pity that we should not have a broad agreement on a new structural message. When the representative of Gullvåg says that we could get it, it was just to join the presentation that had been submitted from the government party, I have to say that it is not a deal. But we understand that it was so broken from the government party's side that it was not possible to get any negotiations on it. In order to obtain a competitive industry that can both compete in domestic recruitment competition and compete for price and quality in the international market, the framework conditions for the industry must be such that the owners will invest, such as managers in all other industries. It is therefore necessary to be able to plan operations and investments on the basis of a safe operational basis, which in the case of fishermen is that they must know at least how much fish they are allowed to take up from the sea in the future. This also determines whether the banks are willing to provide long-term loans for investment. The quota system has arrived because the big community will make sure that no more fish than the resource can be fished. The structuring was introduced because the big community wanted private fishing to take place within the total amount that, according to the marine scientists’ recommendations, is justified, at the same time as overfishing. The structure within the sea fishing fleet also means that the farms will have a smooth and stable supply of raw materials. Structure is not something that the fishermen themselves and the fleets have robbed themselves of, so one can get the impression of many times. If the structuring gains are too low for single layers, structuring will stop, and it will no longer be a contribution to prevent overcapacity. Left says that the best way to ensure good resource management with opportunities for investments that provide modern and secure jobs is time-limited structural quotas, as was the case with the previous government. This also gave way to innovation and innovation in the fishing fleet – we saw – something that Norway is totally dependent on to have an industry that claims to be international and secures activity along our coast. We know from experience in both fisheries and other industries that businesses that do not have a large enough nutrient base and stable framework conditions do not have renewable energy in themselves and are gradually being removed. That is why we believe that, for the whole of the coast, time-limited quotas are important. We are also in favour of structuring boats between 11 and 15 meters with the same foundation as for the other group. This group also needs a better nutritional basis. The ruling claims that they have a legal basis for making the already-allocated time-limited structural quotas time-limits. It might be legal. But this means that at least the Left is not moral, nor is it practical and economic. Changing the levels of play after the start of the game is putting behind the lights of fishermen who have gone into action with significant resources in the belief of a stable fisheries policy. On the left, the Government supports setting quota ceilings to limit the quota that can be allocated to a single vessel in fishing for each species of fish. The quota ceiling also helps us get a large and decentralised fishing fleet. And just like the law of participants, which ensures that concessions are to be distributed to active fishermen, Left says that the necessary frameworks are given to prevent Norwegian fishing from being carried out by an elite on land and run by money movers. The fact that the shipowners are to decide on the construction and investment on board is, in the Left's view, also important for a modern and innovative industry. The left is strongly opposed to the district quota system, and we support the proposal to remove it now. Finally, I would like to point out the issue of resource allocation – I am a little concerned about the right-wing representative Kvalvik. It is important and decisive for peace and stability in the industry that the Government allows the current allocation of resources between the fleet groups and within the individual fleet groups to be fixed.
ParlaMint-NO_2007-06-05.ana.ud458e666	It's going to be line change.
ParlaMint-NO_2007-06-05.ana.ud458e670	The representative made is understandably concerned with the distinction between fixed-term and perpetual allowances. But do I understand it now so that the representative Gerde really does not have a fundamental attitude to this question? Is it so to understand that it is actually and quite exclusively the length of the proposed structural period against which the Left is actually opposed? And then the next question is, if so, what does the representative think the desired compromise should contain?
ParlaMint-NO_2007-06-05.ana.ud458e675	It is not a secret that the Left could have discussed a compromise that went along. Now, what we're essentially opposed to is that those who have already received a time-limited quota are going to get them. We are strongly opposed to that. The other thing we could be talking about is if the government party were willing to try to make a compromise. For us, the most important thing is that a fisheries policy is created that gives good and long-term guidance to those who are going to operate.
ParlaMint-NO_2007-06-05.ana.ud458e680	Time-limited allowances – or what I call eternal allowances – give a willingness to invest, it is said in the post of the representative Gärde. At the same time, the left goes in to establish that the fishing resources are the community's resources. The left deepens it in its program and through the comments they are included in today's setting. My question to the representative Gerde is: Does the Left Party not see any contradiction between the continuation of an unlimited or permanent quota and the determination that the fishing resources belong to the community – or the group, if so? Doesn't the representative Gerde see that there's an obvious contradiction here?
ParlaMint-NO_2007-06-05.ana.ud458e687	It may almost seem like government parties are talking about private and public fishing. We've realized that there are private quotas, it's private fishing for quotas when the quotas are in private ownership. And there's only one distribution within the groups that is then the question. For us, it's important that those in this group know what they have to do for a long time, so that they can plan, get the economy on their legs, run the fishing and get a safe and strong nourishment.
ParlaMint-NO_2007-06-05.ana.ud458e694	No more words have been asked for a line.
ParlaMint-NO_2007-06-05.ana.ud458e697	The Soria Moria Declaration provides clear guidance for the link between the Regional Policy of the Government and the Fisheries Policy. The value creation of our common fishing resources shall, as far as possible, benefit coastal communities dependent on fisheries. There are several ways to achieve this objective: universality, district quotas, the marine value creation programme and bet on fresh fish. But it is essential that we have a fishing fleet that contributes to employment across the coast in order to achieve our objectives. Our political mandate on the structural issue has been to find the right balance between the business economy on the one hand and social considerations on the other. When we took over the government offices, we put in place a structural break, and we put down the Structural Committee, which was given the task of promoting proposals to secure the fishing resources as common property, ensuring a fishing fleet that contributes to activity across the coast, while ensuring a modern, varied and profitable fishing fleet. These are also the main objectives of the Government's structural policy for the fishing fleet. The Structural Committee made several proposals on how to design the future structural policy to meet these objectives, and the Government carried out a comprehensive consultation round before we concluded and presented the Structural Communication in March. It's been, and it's still, a lot of commitment around structural policy. That is good, because both the case and the industry deserve attention. This is also something we've deliberately added up from the Government with the process we've been running. We have wanted to get rid of our views as much as possible, and so ensure that all aspects of structural policy were highlighted. Everyone who has wanted it has had the opportunity to express their opinion before the Government concluded. We have listened to business organisations, employees, municipalities, county councils and many others. The challenges have been to balance the different interests against each other and to counter the Government’s fisheries policy objectives. Fishing is a barrier along the coast, and our proposals provide the basis for both large and small fishing vessels to continue to have local anchoring and to be an active workplace in the future. The Government's willingness to change the fisheries policy in this area must be understood on the basis that fishing is the very bearer of the coastal settlement pattern. That's the way it should be in the future. The Structural Communication states that fishing resources are and must be the property of the community, which is to be exploited for the benefit of coastal fisheries-dependent communities. Our proposals ensure a stable and good framework for industry, and it is a sensible further development of the structural policy for which there was a cross-political agreement before 2003. I regret that the other parties insist on permanent structural quotas, and therefore have not been able to join the Government's proposals. So I've noticed the attention the committee has on recruiting in the fishing fleet. This is a work that the Government prioritises, and it is a problem we are going to tackle on a broad front, including an assessment of recruitment quotas and the importance of the school system for recruiting competent fleet crews. I would also refer to the rapporteur's statement on the Committee's position and the proposals recommended by the majority. They will of course be followed up by the Government.
ParlaMint-NO_2007-06-05.ana.ud458e716	It's going to be line change.
ParlaMint-NO_2007-06-05.ana.ud458e719	Research will be important for the fishing industry in the future. The Bondevik I Government examined the introduction of a R & D levy in 1998 and proposed the establishment of such a scheme was promoted by the Stoltenberg Government in 2000. A total increase joined the government's proposal. The size condition was that the industry itself should have full dispensation rights over these funds, and that these funds should not be used as a substitute for ordinary public funding for research and development. The size of the market placed a decisive emphasis on the industry itself wanting to introduce a R & D levy and on the agreement of the industry on the framework of the scheme. This has now been amended in the revised budget. Can the Council of State only ensure that the change made in the revision does not violate the conditions laid down by the Stortinget for the Research Fund of the Fisheries and Aquaculture Industry?
ParlaMint-NO_2007-06-05.ana.ud458e726	I may not see the whole link between NOFIMA and structural policy, but let me still answer the question. The NOFIMA case has been dealt with by both the previous government and the current government. The FHF, the research fund of the fisheries and aquaculture industries, is the one that manages the fee that this is about. They will also decide in the future how that money is to be used and the projects for which they are to be used. What we've said is that a share of that money is going to be channelled through the NOFIMA system. I am absolutely convinced that is a wise strategy to develop strong marine research institutes in Norway for the competitiveness of Norwegian fishing industries.
ParlaMint-NO_2007-06-05.ana.ud458e733	The fishing industry now has two years of structural freezes. Today, we are dealing with framework conditions that are being changed retrospectively. We have experienced the introduction of an unnecessarily burdensome NOx tax, we have a district quota system that does not work, we have a debate on rigid delivery conditions, we have a fishing industry that is being discriminated against to an even greater extent through a net wage scheme for competing shipping, and we have revised proposals where the Government is to charge half of the fee paid by the fishing industry on a voluntary basis to a research fund, after pressure from the Bondelag. The structural communication is being adopted today without a broad parliamentary basis, despite the fact that the opposition has stretched out a hand in order to reach a political agreement on the framework conditions for the fishing industry. Does the Council not see that the fishing industry needs predictable framework conditions? And why do not the government parties have any willingness to reach a parliamentary agreement on the framework conditions for the fishing industry?
ParlaMint-NO_2007-06-05.ana.ud458e743	I record that the Right says two completely different things in the setting and in the hall here today. It is said that the Government's proposal for a new structural policy is simply an adjustment to what the previous government stood for, while regretting very much that there has been no broad agreement on structural policy. If the Right believes that we have only proposed small adjustments, why is it so difficult for the Right to join our proposals? I also register that today's right is very concerned about settlement. The same willingness to settle was not present in the previous enlargement period, when the government used its majority in the United Kingdom to break with a long cross-political agreement on structural policy, which was agreed up to 2003.
ParlaMint-NO_2007-06-05.ana.ud458e751	The Council of State and the Christian People's Party are probably a few on at least two points, first, that the allocation of resources between the groups of vessels should be fixed, and second, that the important fishing industry is attenuating long-termity and robust framework conditions. An assertion for the latter is a broad agreement in Stortinget. From that point of view, I would like to ask the Council of State if it is in the process of doing so, the Swiss government parties have some good advice in their ears at Stortinget, just to contribute to a broad settlement in Stortinget – which unfortunately was not.
ParlaMint-NO_2007-06-05.ana.ud458e758	I think it would have been very good if the government parties and the Christian People's Party could come to an agreement in structural policy. I also believe that there should have been a basis for this in the light of the positions of the Christian People's Party in the previous magnificence period. In fact, the Christian People's Party was in a government that proposed a structural arrangement for ship groups between 10 and 15 metres. A consultation proposal was sent out in the summer of 2005. It was a scheme that would cover far more vessels, without a time limit for the allowances and with a significantly higher quota cap than we have proposed. That's why I think it should have been possible for the Christian People's Party to join our proposal.
ParlaMint-NO_2007-06-05.ana.ud458e763	In the big message and in the government party comments, there are used hints indicating that the government wants the allocation of resources between fleet groups to be fixed. The issue of resource allocation has been the subject of a great deal of conflict between fishermen, but in recent years, there has been a kind of agreement between groups. Can the Council of State now assure us that the current allocation of resources between the fleet groups, and also within the individual fleet groups, is also consistent with the current government's fisheries policy?
ParlaMint-NO_2007-06-05.ana.ud458e770	I would like to refer to the Storing Message, where we say that industry should be ensured stability and predictability in terms of the allocation of resources between the different quota groups. When it is said that the government must continue to have the freedom to take action, such as: When we took out beam trawl concessions and compensated for new concessions within the industry beam group, because we saw that the type of action was overall good for the industry.
ParlaMint-NO_2007-06-05.ana.ud458e775	There's been a lot of talk about the previous period. Let me clear up a misunderstanding. It was not that the government of Bondevik had a majority in the Stortinge in the previous period, as the Council of State said earlier. In contrast, in the previous period — and this is also the case in this period — Finnmark County was opposed to coastal fleet congestion. According to the Storing Notice, it is also stated that, in particular, vessels below 15 metres must be protected against reductions in number. We have also heard in today's debate that both the representative Breck of the Central Party and the representative Kvalvik of SV have said that they have somehow been pressured into this in a compromise with the Workers' Party. When we then know that Minister of Fisheries Pedersen of the Workers' Party was formerly rapporteur in Finnmark and felt exactly the same in the previous period as the County Council in Finnmark thinks today, I wonder: who has changed the view on this matter? Obviously, there's no one.
ParlaMint-NO_2007-06-05.ana.ud458e780	I will immediately give the representative Lien the right to the fact that the previous government did not have a majority. The party of progress was a party of support for that government and helped to put in place the structural arrangements that then came. I would also like to remind you of what the Progress Party agreed on in the previous period, namely that the structural quota scheme would apply to all the length groups within the coastal fleet and not only to the two highest length groups, that there would be an opportunity to exchange quotas between the different length groups and, as the Progress Party said, there would not be an artificial limit due to length. It would also remove any geographical restrictions on the aggregation of allowances within the structural quota system, which would remove the quota ceiling. On the same day as the Government presented its structural policy, 16 March of this year, the Progress Party sent out a press release stating that SV had been over-implemented in terms of its sarcromantic approach to the fisheries policy. In the period that has passed since 16 March, the Progress Party has turned around and opposed structuring in the group between 11 and 15 meters. It's in itself not alarming. We are used to the fact that the Progress Party often changes its mind. What is alarming is that you want an impact assessment. It would be very interesting to see an impact assessment of the proposals that the Progress Party made in the previous period.
ParlaMint-NO_2007-06-05.ana.ud458e789	The cord shift is over.
ParlaMint-NO_2007-06-05.ana.ud458e792	I believe that a total increase, and this debate, too, is in agreement that the fishing industry is one of the most important industries we have in Norway. It is also one of the most forward-looking industries, if not the most forward-looking, that will give us well-being in the years to come. The international focus of this industry also provides Norway with significant knowledge and revenue. The knowledge of the industry on markets and quality assurance contributes to knowledge that can be used in other industries in Norway, both in those that are already internationally targeted and those that are more nationally targeted. Prior to the 2005 general election, the government parties, and in particular the Workers' Party, were very clear that a more active industrial policy should be pursued. It was said that in all policy areas, active enterprise policy should be the focus. There is no secret now that we are soon half-way through this process, that the active industrial policy of this government has been absent. The Party agrees that a more active industrial policy should be pursued. There has been a consensus between the Progress Party and the Workers' Party, at least before the Grand Prix elections. But instead of pursuing an active industrial policy, the Government is leading a more confusing industrial policy for the whole of business. There is a significant split within government parties that contributes to this, but also a unclear industrial policy on the part of the Government. It has also been referred to in the current debate in reply to a number of party program formulations for several of the government parties, which say something different than what is the government's policy in this matter. It shows that one party in the government largely outruns two smaller partners, and I think that's probably a little lucky both for the policy that comes, and for the predictability of business policy, which is totally dependent on business. What are you going to do with an active industrial policy? The most important thing in an active industrial policy is that the state takes on the role of organiser, that the state is an active partner, and a partner that does not put obstacles in the way. The State shall be a partner to remove obstacles instead of creating new ones, a partner to reduce burdens in bureaucracy and in taxes and taxes. This also applies to the highest degree to the industry we are debating today, the fishing industry. This contrasts with what the rapporteur, Steinar Gullvåg, of the Workers' Party, stressed in the Government's fisheries policy. He has stated several times that the Government's fisheries policy leads to an ideological distinction. It is interesting that so far we have not heard the words ‘ideological distinction’ from the responsible Council of State in this area. Ideology of left radicalists in the government parties comes before what may be in the industry’s interest. That's interesting. That is clearly what should be the active industrial policy of this government. Resistance to so-called privatisation presupposes industrial predictability and job security in industry and coastal districts. That is clearly what Steinar Gullvåg means by ideological separation. In that case, I think a lot of people would have asked off this ideological distinction. One limits the ownership of the allowances in 20 years. It may be an ideological distinction, but companies require predictability. The economy requires predictability for those who want to invest in the industry in a long-term perspective. I believe that the conclusion of this debate is that the Government is pursuing an ideological, unpredictable policy in this area, as it is also doing in a number of other industrial policy areas.
ParlaMint-NO_2007-06-05.ana.ud458e809	Today, we are dealing with the most important fisheries policy issue in this session, which is very important for the red-green parties. It's about our fishing resources. The starting point for the fisheries policy of the Government is set out in the Soria Moria Declaration. It is decided that the value of our national fishing resources will benefit, as far as possible, coastal communities dependent on fishing. The goal is to brighten the houses along the coast! It is also important for the Workers' Party that we have a fishing industry with farm economic profitability both on the fishing side, in industry and in the aquaculture industry. We have rich natural resources here in the country. It gives us an advantage that we have to manage for our common good, and these resources we have to use in a good way. The fisheries sector is one of the most important industries in this country, providing jobs along the coast and large export revenues for our country – in fact, it is our largest renewable export product. We're managing a sea area six-seven times larger than the mainland. This gives us great possibilities, but it is also a great responsibility to ensure that fish stocks are managed in a sustainable way. Fishing has been the basis for value creation and settlement along our coast for hundreds of years, and it must also do so in the future. In order to ensure sound management, fishing industries need to change in line with developments elsewhere in society. Because although technological developments make it possible to store resources more efficiently, there is limited access to resources. Norway has reason to be proud of its history when it comes to fisheries management, which in contrast to many other countries have proved to be resilient. There's a lot of the horror examples of the opposite. The worst is from the coast outside Newfoundland in Canada at the Great Banks. 15–20 years ago, the largest migratory cod population in the world remained. Trawlers from all over the world at the city, and despite repeated protests from the coastal fishermen in Newfoundland, the world's jets were not stopped until the sea was black. The fish hasn't come back yet, 15 years later. The most important thing is to have an administration that doesn't result in what happened in Newfoundland happening again. There is a great political consensus about this in Norway today. Structural schemes are an important tool to influence the extent and distribution of activity in the Norwegian fishing industry. With the arrangements, vessels are sold and moved, enterprises are concentrated, workplaces are created or they disappear, both at sea and on land. It is a political responsibility to be attentive to this and to strike the right balance between business and societal considerations. This is about having large trawlers and coastal fishermen, and we need to find a balance between large owner concentrations and single operators. We also need to find schemes to collect and maintain resources, so that we get maximum value per. kilos of fish. This means that fish resources should not be owned by a few, such as the previous government, and as happens in Iceland. Fish have now been 'big business' and a case for bank, finance and large capital. The Icelandic fisheries policy has led to dramatic consequences for the Icelandic fishing communities. When the nutrient basis disappeared, the building also disappeared. In this country too, we see that small coastal fishing-dependent communities are particularly vulnerable to the loss of fishing jobs, because one has a more unilateral industrial structure than many larger communities have. Providing good conditions for coastal fishing can therefore prove to be the most profitable in the long run, both for coastal settlement and for the profitability of the industry. The previous government amended the 2005 regulations on the purchase and sale of quotas without going through the Stortinget. The changes allowed the most capital-intensive operators in the fishing industry to buy allowances for eternity and at prices that only the fewer had the possibility to participate. I see and confirm that the opposition party is still stuck in that policy. But it can't be so that only the most capitalists can secure their fishing rights – and that forever. I am pleased that our Government takes the job of cleaning up this.
