ParlaMint-NO_2007-12-17.ana.ud1745e106	The representative of Asmund Kristoffersen, who has been licensed, has again taken the seat.
ParlaMint-NO_2007-12-17.ana.ud1745e481	I am pleased with the extra promise that the Vegvesenet now makes to repair the road after race and flooding. The road system has a challenge in the future by taking stock of the consequences of increasing extreme weather damage on the road network. The same applies to the railway network. At these times, all parties, with the exception of the Progress Party, are in the process of concluding a climate settlement on the Stortinget. Then it's worth noting the comment of all the parties, except the Progress Party, where a reminder of the man-made climate change, a note that the Progress Party is not in, and also has no alternative. It confirms that there is a reason why the Progress Party is not involved in the work of concluding a climate settlement at Stortinget. In the proposition, there are several issues that show that there is a significant increase in costs compared to previous calculations. This has been a strong increase in 2007 in both road and rail entrepreneurship. It's not uncommon with a 30-40 pst price increase. A comprehensive committee addresses this in the configuration and asks the Government to consider measures to reduce the growth in costs. It can be done, among other things. be a review of the policy for calling out contracts to contractors and postponing road projects. It is alarming if the representative Halleraker claims in his statement, it is true that the construction industry is adding overprice to its supply. In that case, BNL should, if Halleraker is right, use their forces to raise the industry to be clean rather than to bring a steady outcome to the State Road Service, which does a good job of facilitating the construction of contractors. The Ministry has a close follow-up to these conditions, both in relation to the State Road Service and the Railway Agency. If you want to do something about it, you'll have to do something about it. considered using the contract strategy more actively. It may be to break down the contract price into smaller contracts in order to increase competition, more small and medium-sized enterprises that can offer more. Furthermore, a number of major contractor prices may be illuminated, combining installations at large contractor prices, which will also have an international interest with the aim of attracting foreign entrepreneurs, which in turn will ensure greater competition. In connection with the Stortinget's briefing on the cost overruns of the two Hardangerbrua and Stadtbanen projects in Bergen, I have noticed that the Progress Party has benefited from a rematch on both of these. The progress batch will have additional quality assurance of the traffic base of Hardangerbrua and new external quality assurance of the costs and revenues of the urban railway project and that the final project will be resubmitted to Stortinget. As I have answered questions from the Transport and Communications Committee, the traffic base of the Hardanger Bridge project is based on long-term analyses. No new moments are currently required for a new analysis of the traffic base. The cost report is not of a similar long-term nature, and there are requirements for updating these estimates. I also want to use the ability to come up with a clarification for the Progress Party. The progress batch has a comment in the setting that it is not as I explained in my answer to Question No. 5 to the Committee, that the Stortinget's decision on the financing of the bridge was inconclusive. I would like to make it clear that, of course, it is the decision to build the bridge and the cost frame that was co-ordinated. The progress party voiced, as in many other cases, for the project, but against toll financing as part of the cost recovery. The urban track is part of the Bergen programme toll package. As with toll packages in general, there are indications as to how to deal with any additional costs. Cut of planned projects in the project portfolio is a common way of resolving this, and it is a statement as shown in the individual proposition submitted to the Stortinget. Otherwise, of course, I am glad that in all cases there is support from a majority in the Committee.
ParlaMint-NO_2007-12-17.ana.ud1745e504	It's going to be line change.
ParlaMint-NO_2007-12-17.ana.ud1745e507	Initially, I would like to remind the Council of State that the Progress Party has not been invited to any climate negotiations at Stortinget, but that we are still in the area of transport, and that is what we are talking about here today, is concerned about having effective, safe and environmentally friendly roads. My question to the State Council is about Hardangerbrua. We have now heard the Council of State repeat that she sees no need to re-assure the income side, as the case-rapporteur had in mind. My challenge to the Council of State is how she perceives the wording of the remarks of a majority who, in addition to the government parties, also include the Right Party, the Christian People's Party and the Left: ‘this underlines the need for a new limited quality assurance of the entire project’.» [[...]] Is it just about the cost side? Is it completely reprehensible to look at the traffic base and thus the income side of the bridge when you still have a year to ensure quality?
ParlaMint-NO_2007-12-17.ana.ud1745e519	First of all, what I said when I mentioned the climate agreement was that this confirms well that there is a reason why the Progress Party is not invited. To the question of Hardangerbrua and quality assurance: the basis of income has been quality sound both at the stage of a planned project and, of course, through the external quality assurance. There is nothing to suggest that the traffic base should have changed, i.e. the long-term forecasts of the traffic base have not changed. Nothing has happened to indicate that there are changes in the traffic base from the proposition was made. It is the cost side that has changed, and we then go into and implement a new quality assurance.
ParlaMint-NO_2007-12-17.ana.ud1745e527	I also want to record Hardangerbrua. Hardangerbrua is a unique project. It is almost realized without a budget from the state at all, despite a cost framework of around NOK 2 billion. Big local riot, 77 pst. for the construction of a bridge, a survey showed in the Official Journal of Bergen, first priority in the district of Hordaland and in the municipalities around it. But in the national media one can get the impression that the project leads to large state counts, which is not the case. Does the Council of State agree that in a project such as Hardangerbrua, with such strong localisation and not least such a strong financial contribution, the government body has a special responsibility to follow up the project and to ensure that it is realised, as prescribed?
ParlaMint-NO_2007-12-17.ana.ud1745e534	I agree with Mr Halleraker that national media and also some politicians are trying to create the impression that Hardangerbrua is spending a lot of money on government budgets and is distorting other projects that it would be more important to produce. I want to distance from such a reality description. I agree that this is a project with great local involvement and a large project of effort. That being said, there is a responsibility on the government powers, at the Minister of Transport, to get things done and to get projects out, the same who is funding it. It is clear that there is an extra eagerness where a local waits for a project that one has worked for too long, but whether there are government funds or local funds, should not be involved and affect our attitude to the matter. In any case, we shall be clean, constructive and proper and have the projects realised, both cost-effectively and as quickly as possible.
ParlaMint-NO_2007-12-17.ana.ud1745e541	I spent a little time at the end of my post addressing the situation that the Hurtigruten ASA is currently in. A total increase was finally behind a state arrangement in cooperation with Hurtigruten, so that it would sail safely until 2012 and call at certain ports. The situation today is that the fast-haul company is undergoing major and necessary changes – changes that the company must make. It is then extremely important that the State should follow up its commitments to Hurtigruten. I am surprised that it takes so long to have the framework conditions renegotiated, among other things. after the costs incurred by the NOx charge on the Hurtigruten. What is the situation for these negotiations? And when can you count on one to be in the goal?
ParlaMint-NO_2007-12-17.ana.ud1745e551	It is difficult for me in a forum like this to say something about the negotiations that are going on. It is in the nature of such negotiations that they are internal and that they cannot be said so much. What I can say is that it's demanding, because part of Hurtigruta's activity is related to the government purchase, while part of it is connected to another commercial enterprise. We're also a party to this case, as in some other cases, and it gives us a little bit of a headache. This applies to ESA – that we come up with what we need, and that we need to approve it there. Therefore, there will be a few rounds, but I hope that we will complete the negotiations as quickly as possible over the New Year, and that one will find good solutions that will ensure both commercial operations and, in particular, government purchases and calls at important ports along our coast until 2012, which will take place.
ParlaMint-NO_2007-12-17.ana.ud1745e558	The constant exceedances of projects already under way appear to be an increasing problem. It travels, for example: competition issues are effective enough, so that costs are kept down and that the organisation of projects is adequate, so that the timing of projects is optimal. Permits in the construction industry to next year have been announced due to project uncertainties. How will the Minister of Transport take control so that we get predictability and as much money as possible again?
ParlaMint-NO_2007-12-17.ana.ud1745e565	Of course, the extent to which the excesses we have seen will continue will depend on how the market is going to be, both on construction and on installations – for that matter, to a close extent. I note that the plant industry repeatedly says that there is no capacity available, but we note that there is little competition in the outbound supply, which is normally a sign that one has enough to do. So here, there's not quite a match between word and action. In my article, I mention some of the things we are working on now, simply to go through the contract strategy and see if we can split up installations, whether we can merge installations, either to come down to the medium-sized and smaller entrepreneurs – because I believe that to the extent that there is no capacity, he is there – or to reach foreign entrepreneurs to a greater extent than we do today. This is going to work actively, and I really hope that in 2008 we will get a new pace on the issues where someone has now had to take a little break.
ParlaMint-NO_2007-12-17.ana.ud1745e576	I want to address two things: first, a follow-up on the traffic base at Hardangerbrua. The council says nothing has changed. I mean, she's wrong. There are new toll-based packages on the way forward, the Vossa package and the Quamma package, and the people of the region have clearly said that they give priority to racial protection. Driving time studies have come in retrospect, cost studies with different driving routes have come in retrospect, and we have ferry traffic that has changed dramatically and clearly after the advance collection of tolls was introduced. First of all, we still have time to take a thorough hedge of the income base. So to the City Railway in Bergen, which is given special treatment. And if I get it right, it's because even if individual projects, one of two large ones, crack by 40 pst, it's okay, you can keep it pretty undisturbed, as long as you're within a program and within a community that allows one project to eat freely from other projects. Is that correct? Is that what makes you allowed to continue the progress of the Urban Railway in Bergen, by 40 pst. exceedance?
ParlaMint-NO_2007-12-17.ana.ud1745e583	First of all, the toll projects in Hardanger were not known when creating the forecasts for Hardangerbrua. They've been working for a long time, and they were well-known at that time. So I still mean that the traffic pattern that you see has not had any major changes since the arrangements were made. In the case of Urbana in Bergen and other urban packages – Bybana is part of an urban package – according to Stortinget’s decisions, that if one has exceedances of one project, it means that one must reprioritise within the remaining package. There is no new principle that has been put in place when it concerns the urban road, it is a principle that has been in force in the urban packages that at least I have been away in my time, and I think it has also been so before my time. Walking in and looking at how to re-prioritize a job is, of course, a job that needs to be done locally.
ParlaMint-NO_2007-12-17.ana.ud1745e590	So the chord change is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2007-12-17.ana.ud1745e595	Firstly, I think it is important for us to take the necessary measures so that we can now build Hardangerbrua. I think those who are doing this are entitled to have it implemented. In fact, I believe that at least in the government parties there is agreement on that, although there is a part that is trying to attack the representative of Langeland in that area. Then I'm going to have to put Jahn Sahl on a little visit, and that might be nothing new. But I want you to be a little bit more precise in what you're saying. Firstly, with regard to racial protection, this government is keeping the level that has been stated in the national transport plan. I think it's important to bring it with me, because I guess it wasn't like this during the Bondevik II administration. So you have to remind each other about the state of the kingdom sometimes. So a little bit about the Hurtigruten and the sailing pattern. It is true that the short-term memory can be the same as any one of us – that you end up in Stortinget by keeping the sailing pattern of Hurtigruten, and that there was agreement on that. But then, of course, it wasn't like that from the start. In fact, the Bondevik II government suggested that the sailing pattern for the Hurtigruten be split up. This meant that you were going to change in relation to calls, you were going to use speedboats, you were going to use airplanes, and you were going to use ‘you name it’ – the whole package – to try to split up the sailing pattern of the Hurtigruten. So I think it's important to remember a little bit about what was going on. In fact, it was the Workers' Party, SV, the Centre Party and the Advance Party that initially got a majority to keep the sailing pattern to the Hurtigruten, and then the Bondevik government – it's probably right as the representative Jan Sahl says – came in time, and it was agreed that you should keep the level you had today. So it's like when you're negotiating, it's hard for the Storting to get involved in those negotiations. It is estimated that it is in safe hands and that it is agreed to maintain the navigation pattern of the Hurtigruten as it is today until the date of the agreement, 2012. But it's probably not to stick under the chair either that the Hurtigruten is struggling with the economic part today, so we're all hoping that you get these things in place, and that, as she said, the Council of State will come back to the Stortinget with a briefing.
ParlaMint-NO_2007-12-17.ana.ud1745e606	A few comments on the tap. The case rapporteur started with being in Bali as well as being in the evening post today. If climate hysteria can help us better secure both road and rail networks, especially in terms of racial protection, we can at least enjoy it. This has long been the intention of the Progress Party, and still believes, completely independent of negotiations, among other things. in Bali: It is important that we have effective, safe and environmentally friendly roads. So to what might be the main theme of the proposition itself, this is that the price of big projects cracks. There's probably more reasons for that. There may be uncertainty among contractors — mentioned — but what is also clear is that the project basis presented is often inadequate. This is not only true in the urban runway project. There is a good deal of unwarranted, or omitted, information that there is actually a poor project base. But it is. I repeat what the municipality of Bergen itself uses as one of its explanations that the project seems to crack with a preliminary 40 pst. «necessary changes from the original project base». It's a bad job, and it costs when it has to be taken back. What also emerged when the Transport Committee had its budgetary hearing in the context of the 2008 State Budget was precisely the fact that many projects have a poor basis. This was asked by representatives of the construction industry, and it became very clear that yes, this was the case, and it was also given examples of how this species behaved, that it has actually received praise and thanks from the state road service when it has been made clear from the contractor team that projects have been poor, had shortcomings and had a need for creation. So this is an essential factor when you seem to get a lot of cracks, is completely clear, at least as the Progress Party sees it.
ParlaMint-NO_2007-12-17.ana.ud1745e623	I have to take the floor too briefly to express my surprise that I am being criticised for talking about climate policy in relation to the transport sector in my article. It was a strange criticism – that one could not talk about the climate in connection with a sector that is responsible for so much emissions. That the Right Party and, in part, the Christian People's Party come with that criticism, amazes me. I'm not surprised that the Progress Party does, but the parties on the Stortinget that negotiate a climate settlement with the Government don't want to discuss climate when talking about the transport sector, when talking about the Cityban, when a permission is 39 million. kr to repair the climatic damage, it is strange. Just this focus is important when discussing transport – all the way. Right, Left and Christian People's Party even has 15 proposals that go on transport, in the climate negotiations, so this is really strange. When this is true of price developments, it's clear that if you go to the store and buy something that has a price, it turns out it's 50 pst. More expensive, one actually doesn't have the money. And that's my point. The stork has agreed to the expansion of Hardangerbrua, which I also believe. But the government now says that you want to go in and look at this, go through it. So price developments have increased by 38 pst. increase in the route of administration. Yes, then you can talk about amounts other than what the Stortinget decided. That's what the government is now taking, and it's me as the case spokesman and as a representative of the plural party appreciates that the government is doing.
ParlaMint-NO_2007-12-17.ana.ud1745e632	I actually didn't think I would take the word several times in this case, but it became necessary for two reasons. In the reply between the Council of State and the representative of Sortevik, Sortevik concluded that there has been a failure in the traffic development of the ferries to replace Hardangerbrua after the introduction of pre-tolls. That's not right. I'm here with statistics from the ferry company and from the state's own censuses on Hardangervidda, which show exactly the same trend as they've shown in the last five years. It is true that there was some traffic failure in the first two months of the current year. But it was largely due to storms and storms and the closure of Hardangervida in the first two months. But it looks like they're taking in that decay at the end of the year. So I think you should be a little bit careful with the source base. It's a lot of actors. The committee knows very well what I'm talking about when I say that we're overwhelmed with unsubstantial information in this case. I also have to say that I think it is a bit striking that the Progress Party, at Sortevik, is drawing a completely different project into the case of over-costs at Hardangerbrua and in connection with that project asking that you relate to cost keys for realised projects that were completed almost ten years ago. Well, then, sir. Langeland, who came up with some criticism of me and the Right. I don't quite understand what he's aiming for. I can't say that I criticized his climate awareness. What I said, however, was that ferries – and especially conventional ferries, but also gas ferries – have far greater emissions, especially CO2 emissions than rolling stock over a bridge. It actually shows all the investigations, so I think it's right to point out from this pulpit. But that climate negotiations in Bali went well, I agree with the representative of Langeland in.
ParlaMint-NO_2007-12-17.ana.ud1745e648	I must also make a brief visit to the representative of Langeland, who thought that the Christian People's Party had criticized him for mentioning the climate in connection with transportation. The Christian People's Party is strongly concerned that the transport sector is one of the biggest polluters, and that we have the biggest challenges in the climate debate in the future. I particularly underlined that the Urban Railway in Bergen was an air-conditioning project. What I pointed out – I actually didn't criticize – was that Hallgeir Langeland follows up the SV's previous position on cutting the construction of Hardangerbrua. There has been a Christian People's Party consistent. We've gone in the past to build Hardangerbrua, and we're still on it. I also refer to what Mr Halleraker said about the environmental accounts in relation to conventional ferries on the same route.
ParlaMint-NO_2007-12-17.ana.ud1745e655	The representative of Sortevik has had the word twice and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2007-12-17.ana.ud1745e658	It'll hold. The representative Halleraker gave me a visit. With regard to ferry statistics and Hardangerbrua, we'll look at the whole region and all the connections, including the different high-mountain crossings. What he did not mention were other projects, the desire in the region to improve racial protection, studies on driving time and studies on driving costs, all the factors that make it possible to look at the traffic base and hence the revenue base of the bridge in order to ensure safety around the project. That should be everyone's concern. So he mentioned, without mentioning it, the Jondal Tunnel, which was completed in 2001. We're now in 2007. The point of linking costs and calculations to a project completed in 2001 is that it is in the same neighbourhood, and it is the same type of project. As we see it, there are indications that this has been very generously appreciated. If you just start from what you know, the identical tunnel in the same area, the price picture looks more comfortable.
ParlaMint-NO_2007-12-17.ana.ud1745e667	Several have not asked for the floor on case No. 3rd@item: inlistbox [[Fotation, see page 1534]]
ParlaMint-NO_2007-12-17.ana.ud1745e683	At the request of the Transport and Communications Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each lot and up to 5 minutes to the Council of State. In addition, the President will propose that there be no change of line, and that those who have to sign on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2007-12-17.ana.ud1745e690	The case concerns the progress made in the development of the emergency network adopted in the past in Stortinget, and the re-priority of appropriations for 2007 and 2008. As explained in St.prp. No 1, the supplier is delayed in its delivery of the emergency network. Initial progress plan indicated that most of the first stage development would take place in 2007. However, in line with the revised plan, it is assumed that the network will be ready for use in Eastfold, Follo, Oslo, Romerike, Asker, Bærum and Søndre Buskerud police districts in November 2008, i.e. approx. eight months delay in relation to the original propulsion plan. The Ministry of Justice assumes that expenditure in 2007 as a result of the delay of the supplier is lower than previously expected and lower than that foreseen in the 2008 budget. In view of this delay, the Ministry of Justice proposes to reduce the appropriations for Item 1, Operating expenditure by 46,327 million. kr in 2007. In addition, an up-to-date assessment of the progress of the work in relation to the payment milestones of the contract shows that in excess of 100 million. kr for item 45, Larger equipment purchases and maintenance, will not be paid to the supplier in 2007. It will therefore be transferred to 2008. At the same time, there is no need for allocation to the post in 2007, as it is sufficient to use unused funds transferred from 2006. The Ministry of Justice therefore proposes to reduce the allocation of Item 45 by 7,881 million. NOK 2007 to NOK 0. A unanimous committee has noted that the emergency network project is eight months late in relation to the initial propulsion plan, in view of the fact that the supplier Nokia Siemens Networks AS revealed during the planning work that key delivery activities will take more time than expected. In the interest of quality, the development plans have therefore been revised. However, the Committee assumes that the planned evaluation will be carried out and that the Storting will be briefed on this before the development of Phase 2. I assume that the parties themselves may make other comments. With that, I'm putting forward the committee's recommendation.
ParlaMint-NO_2007-12-17.ana.ud1745e703	It is actually 364 days since the last time we dealt with the matter of emergency networks in Stortinget. At the time, it was essential to have the matter dealt with quickly to prevent the risk of a postponement of the first stage of development. The case was dealt with at Stortinget within 14 days of its submission until it had been examined by decision. At the time, the Progress Party was very critical that the Committee did not have more time to seek views and to hold consultations in order to obtain different views and to ensure that the Committee was properly dealt with. We therefore think that there is something special when we now feel that the development will actually be over eight months delayed, when it was so crucial 364 days ago to have the matter dealt with just to avoid delays in the first stage of development. I have also registered that the Minister of Defence has stated that the defence will no longer deal with Siemens, because it now appears that the defence staff are targeted for possible corruption from among others. Siemens. It becomes interesting that it is perfectly proper for the State that one department should be able to agree with a company with which another department is not allowed to act, because there has been a suspicion of illegality. Where is the logic of this? I also register that in this case KOFA has found a breach of the law on public procurement in relation to the agreement concluded with Siemens on deliveries to the emergency network. It's interesting to know how the Council of States will follow this up. Otherwise, on behalf of the Progress Party, I would like to say that it is important to keep progress now, and that we will not have a new suspension of the establishment of the emergency network in Norway until next year. Because it's essential that it gets in place, and that you can start using it, so that the different floors now get the emergency network that you've long wanted to put in place. We're glad that now it seems that we're there. I therefore hope that the Council of State will be able to answer some of the questions I have raised, to ensure that in November 2008 the first stage of development of the emergency network will be opened.
ParlaMint-NO_2007-12-17.ana.ud1745e714	I was particularly pleased with the end of the post by the representative Hoksrud. There were good reasons to deal with it so quickly when we dealt with it in Stortinget last time. Just getting the amount of time you got was a prerequisite to get this going fast. I'm going to think that if you had put it off that time, we wouldn't be talking about eight months' postponement today, but maybe about a longer postponement. So the reason they chose to treat it quickly 364 days ago was that several parties saw the need to get a new emergency connection in place as soon as possible. It is important because it is of safety importance, but it is also important in terms of investigation, and it is important in terms of employment and communication, which is crucial for our emergencies. I am pleased that the representative, Mr Hoksrud, finally underlined the need for this to be put in place as soon as possible. It's my responsibility and my business in our management of the directorate, which is now going to get this in place. Let there be no doubt that we work every day so that this is now time-consuming, because it is so crucial. I believe that it is actually one of the most important tools that Norwegian police and even emergency services get, not only to create security, but also to create better opportunities for investigation. As regards the contractual aspects, and the questions raised by the representative Hoksrud on the agreement itself with Siemens, and also the question of the proceedings in KOFA, I have to refer to my seat State Council in the case, Trond Giske, who has also replied to the control and constitution committee on the issues such as: Hoksrud travels. It would not be right for me to go into these questions at this round, given that it is Trond Giske who acts as the Council of State in the contract law relationship.
ParlaMint-NO_2007-12-17.ana.ud1745e723	First, I would like to thank you for the small answer I received – that was not that much. But I understand that it is the Council of State that has responded to it by the Committee of Control and Constitution. However, I think it is something special that the Council of State refers to the proceedings the last time, as it was not found anywhere that it was due to the kind of postponement that we have now experienced, and that the Council of State says that if you had had a proper and responsible procedure in the committee, you would have an even longer postponement in this. I think it's taking it easy. In fact, I think it's quite serious. When that case was pending, there was no presumption of a possible postponement of up to eight months. I also think it is a little special that the Council of State will not go into the problem that I am drawing up about this because the Minister of Defence has now said that you do not want to enter into new agreements with Siemens, where I am then challenging whether it is such that one department will be prohibited to enter into an agreement with a company, while another department would like to enter into an agreement with the same company. I think that after what has come up, and if this turns out to be keeping goals in the right forums, Siemens is a company that will clean up the very things that have now come up. But I think it's a little special that the government doesn't have a clear and unambiguous answer as to whether you want to trade with Siemens, or whether you don't want to trade with Siemens. One government council says you don't want to do that, while other government councils keep trading with this company.
ParlaMint-NO_2007-12-17.ana.ud1745e734	Unfortunately, I just have to insist with the representative Hoksrud that when the rules of the Stability Code are implemented as they do in this case, and the Government in dealing with such a large contract as the emergency network contract has chosen to exercise caution because of the issues of stability, I have to show restraint by sea to enter into it, as it has actually been dealt with by another government council. I have awakened to go into the contractual issues. I ask you to understand that. I would think that the reaction might have been different if I had started going into the question. With regard to the postponement and the passage of time here, the circumstances which justify a postponement, and for which the rapporteur has explained well, have come up after the treatment which was carried out here in Stortinget. So this is not related to choosing a quick treatment here in Stortinget last. I want to say that in that case, there are new conditions that have affected the postponement, and that were not ruled by when we discussed this last. What was my small point was that I think it was very important that the Storting did it quickly, so you started this question. At the same time, as well as well as being well explained by the rapporteur, by a unanimous committee and also by the department, it is also true that, among other things: for quality reasons chooses to apply the process as it has now been done. I think that's crucial. It's a huge and important procurement that the public makes. It's important with the formal. It is the government invited by, among others. the control and constitution committee to respond to. And you have to do that, because I think it's important just to keep these processes clear, while it's important that it's phased in in a real and serious way, so it gets the function that we all want.
ParlaMint-NO_2007-12-17.ana.ud1745e743	Several have not asked for the floor on case No. 4th@item: inlistbox [[Fotation, see page 1536]]
ParlaMint-NO_2007-12-17.ana.ud1745e759	At the request of the Control and Constitutional Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to members of the Government. In addition, the President will propose the possibility of a replacement of lines of up to five lines with replies from members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2007-12-17.ana.ud1745e768	This has been a long process in an important matter. Entra Eiendom has been through thorough investigations of the National Audit Office, not only once, but twice. Equally many times, the Committee has examined the matter, for the first time also with its own consultation. The scope of the case is reflected in the settings put forward by the Committee, with the many annexes in it. This is a big and important thing. Entra manages large amounts on behalf of the community and performs important services for the country. That's why it's important to go into this so thoroughly. So there are two settings that exist today. The first, Innst. S. No 124 for 2006-2007, was sent back to the Committee. It is then resubmitted with an additional setting, Innst. S. No 100 for 2007-2008. Strict requirements must be imposed on companies. Everyone in government and management of state companies should know that what they do is not only to tolerate the light of the day, but also critical light from the media and others. This means that it might be felt that the requirements are even more stringent than for other industries. That's the way it has to be. This applies to both the requirements for documentation of what is done, for executive remuneration, for bonus schemes and other matters, and not least to the essential requirement that the company follow the guidelines given by the Stortingen for the activities adopted. The Committee has asked for an explanation of the Storting as a matter of its own. There are several reasons for this. Firstly, there has been a raging development in Entra Eiendom. The number of properties managed by the company has increased since the company was started, as has the proportion of private tenants. Entra has also been involved in major development projects, such as: Bjørvika. The second reason is that the Riksrevision in its report maintains that Entra's business ideas and strategy in some areas have changed in relation to what was the premise for the formation of companies. The third reason is that the Control and Constitutional Committee has also previously asked for a statement on Entra Eiendom as its own case. Although the Stortinget has been told about Entra on various occasions, an overall committee now asks that there be a separate case about the company. I think that's wise, not least for the company's part, but also for putting behind you uncertainties and doubts that are created. So we want a strong foundation for Entra Eiendom. A new case whether the company could contribute to it. Let me just briefly mention that in the first setting, the Right and Advance Party have a wish to move forward with a partial privatisation or listing of the company. I, and the majority, disagree with that. Entra Eiendom is a company that serves the state well and that has not least a good tool to provide public enterprises with premises. I can't see that there is anything in this, which was supposed to mean postponing the company for privatisation or, for that matter, further competition. Entra is currently operating in a competitive market, but it is therefore state-wide. It is not common for an opinion to go back to committee, as happened with the first vote, but in this case it was absolutely necessary. The National Audit Board’s ad hoc module found that several of the property transactions were untransparent, without sufficient traceability and documentation. The Committee has now received assurances that this will be sorted out. In addition, the Riksrevision did not get the information they needed, and some of the information they received was not correct either. This is something that the Committee finds critical. The Storting must be able to exercise its control function, including: by means of the Riksrevisionen, the Riksrevisionen must be given the correct information. This is obvious, but sometimes it's necessary to even point out the obvious. In addition, let me stress that the Riksrevision has not documented any facts that would indicate that someone has gained an unfair or unlawful advantage at the company's expense. The Committee also questions the behaviour of the Management Board, or rather the fact that the Management Board has not acted. The board of directors should have taken hold at an earlier date of the property transactions to which it is referred, which were within the authority of the Director. The Committee welcomes the assurance that this has now been cleared up. A new management system is in place, and this management system should help to avoid this kind of thing in the future. Finally, let me underline how important the control task of the Storting is. This case shows it with all possible clarity. That means having confidence in the companies we have, and the Stortinge exercise the control function through the Riksrevision. This case fully indicates that it has been very necessary, and that it has now been cleaned up. In this way you can create a good and new foundation for Entra Eiendom, which is an important company in the state's portfolio. I recommend the Committee's attitude.
ParlaMint-NO_2007-12-17.ana.ud1745e798	It is a very comprehensive and thorough study that is being carried out in the Grand Duchy of Great Britain today. The main purpose of the Riksrevision with this survey was to see if Entra Eiendom AS has purchased and sold properties with a good commercial standing and in line with the Storting decision and assumptions. There is reason to give the Riksrevision honor to the thoroughness, content and form of the material presented. The primary purpose of Entra Eiendom is to meet the country’s needs for premises in the competitive market. The company was set free, on the basis of commercial considerations, to sell or rent out to others the premises exempted from leases with state tenants. These properties must also be developed for private use. This will help to streamline the use of office premises by the country. However, it is a prerequisite for the company to focus the purchase and development of new properties on state activities. This implies that the purchase and development of new properties directly targeted at county and municipal actors falls outside the Company's Storting assumptions. The company has in several cases waited for several years to clarify the use of the property or the organisational location of the ownership company. The National Audit Office questions whether this is in accordance with Storting’s intentions. The disclosure serves a public need, related to making property information publicly available. Transparency about property transactions contributes, inter alia, to: to prevent corruption and maladministration. Those who manage the property of the community have a special responsibility to be precise with such legislation, thereby leading by example. The relationship between Cort Adele's street illustrates with all clarity the risk the company's owners and the board of directors take by accepting that the discretion of lessees and the company's own employees is the only relevant basis for assessing whether the conditions of ownership are marketable. The supplementary report of the National Audit Office clearly shows that Entra Eiendom has provided incomplete and incorrect information in relation to the factual description in Document No. 3:2. Of course, it is very unfortunate that not all information is provided to the National Audit Office. The fact that central transaction archives have in addition been deficient does not make matters any better. I am pleased that the Council of State has addressed the critical issues identified in the comprehensive study, which has led to the company's practice being adjusted in a number of areas. This testifies to the power of action of the Council of State. I look forward to the matter that the Committee has now asked for.
