ParlaMint-NO_2007-06-13.ana.ud1426e94	The representative, Elisabeth Aspaker, will put forward a proposal for a representative.
ParlaMint-NO_2007-06-13.ana.ud1426e583	The representative, Bjørg Tørresdal, has taken up the proposal she referred to. It's going to be line change.
ParlaMint-NO_2007-06-13.ana.ud1426e588	The Christian People's Party, together with the Right and the Left, has a note that says that the state should govern through a framework, in which case the freedom of action and local democracy are strengthened. The Christian People's Party also supports the government parties in mainstreaming earmarked grants. Kindergartens with their billions of dollars can be incorporated, but the grant for cohabitation measures with about 10 million dollars. kr shall not be added to the framework grant, according to the Christian People's Party. Can the representative Tørresdal tell why the Christian People's Party has so little confidence in local politicians in this area, and what principle underpinning their departure from the framework grant?
ParlaMint-NO_2007-06-13.ana.ud1426e595	Yes, the Christian People's Party will be happy to answer that. The Christian People's Party is also involved in a note, along with the government parties, that in the case of new arrangements, it is important to have an eartag that has started well with them, until they are up and going and have been introduced into all municipalities. Lifelong learning is a pilot project in individual municipalities in Norway. When we have come so far that we offer a life course in all municipalities, we want to include it in the framework. This is at the project stage for now. We want it in all municipalities, and then we are going for a framework funding.
ParlaMint-NO_2007-06-13.ana.ud1426e602	The Christian People's Party's reasoning on labour immigration must obviously be based on an end of thought. It is assumed that there will be an increase in the number of older people in the population, and so it will remain in the long term, a situation where the demographic composition in Norway will change and remain stable. This means that if you are going to use labour immigration to address these challenges, you will have to go back and forth again and again, and this also increases the need, when these people get older, for additional services in their older lives. One cannot build the solutions on labour immigration here. The impact of the economy must be taken into account, and not least the market must be used and the pricing of these services must be used to recruit more people into the care profession. Then the question is, is it that the Christian People's Party wants to push the salaries of nurses and help nurses? Is it not the case that by increasing the migration of labour by auxiliary nurses and nurses, it will de facto keep the wage level down?
ParlaMint-NO_2007-06-13.ana.ud1426e611	I just want to repeat that it is not only the Christian People's Party, but also the NHO and most political parties in this Chamber who see that we need labour immigration to meet the challenges of the demographic development we have in our country. In order for there to be enough people both in private business and in public welfare, we need more people who can participate and help build our country further. That is why we are putting up with offensive policies to attract labour, rather young workers. It will meet part of what the representative was in. Therefore, the Christian People's Party has proposed on one matter later today that we give foreign students studying in Norway an opportunity to get a work permit for up to five years in connection with the studies. They will then be further qualified before returning home, and they will be able to contribute labour to our country.
ParlaMint-NO_2007-06-13.ana.ud1426e618	In the municipal bill four years ago, the compensation scheme came for resource-intensive users. Then the previous government weakened the arrangement when they went off, and now we're straightening out, so that the arrangement gets stronger than it was before. Let's add 425 million. kr. It gives more free money. You have to include that in your history when you say that there will be no more free money for the local government sector. Then I will make a little correction to the history of the Christian People's Party, and I will read the words of the Christian People's Party's own rapporteur in Tysnes: ‘I have major problems defending much of the government. A leader cannot continue as a spokesman when he or she cannot defend his or her own government.' He went on to say: ‘District policy, transport policy and everything related to the local economy make me unwell.’ Does the representative Tørresdal think that the Christian People's Party's own rapporteurs gave a distorted picture of the situation when you were in power, or does the representative Tørresdal now think that they gave a right picture, that it is good that there has been a change in the local economy, and that it is again possible to run a good care and get a good school policy around the country?
ParlaMint-NO_2007-06-13.ana.ud1426e636	All speeches must be addressed to the President.
ParlaMint-NO_2007-06-13.ana.ud1426e639	First, I have to say that the situation in 2003, i.e. four years ago, was much more difficult for the municipal sector. There was a lower tax intake, higher pension costs – overall, there was a more difficult situation, and there was a need for escalation. There, the Christian People's Party fully agrees with the rapporteur that it was unsustainable if you did not get a stepping up of the local economy. One knows that this negative trend reversed in 2004, and the Christian People's Party is very pleased that both have increased the framework and have allowed municipalities to retain most of the increased tax intake. I fully agree that the situation was unsustainable in many municipalities, and that it was not necessarily the greatest understanding of this at a central level. The Christian People's Party has become very aware of the situation in Norwegian municipalities and is pleased that it has now changed.
ParlaMint-NO_2007-06-13.ana.ud1426e644	The cord shift is over.
ParlaMint-NO_2007-06-13.ana.ud1426e647	I'll start by commending the Government for three things in this proposition. It is the Top Funding Scheme for Resource-Required Services, the Plan for the Inclusion of Designated Grants and the continuation of the Consultation Scheme with the KS established by the previous Government. In particular, the Top Funding Scheme for Resource-Required Services deserves commendation. It is important to meet these users with alternatives and, in particular, with organised services. Too many people today have institutions as their only alternative. Many young people who shouldn't be there are found in an old age institution. I'm glad that the government saw it going in the wrong direction last year, and now straightens out taking a long step in the right direction. With regard to the financial structure of the municipal sector in 2008, the arrangements of the Left Government follow a long way, but we disagree a little on how the municipalities will get the income. The left wants to keep a corporate tax rate of 4.25 pst. That means about $1 billion more to the municipalities. In addition, we want municipalities to have greater freedom to determine their own taxpayer. In other words, we want the municipalities to keep more of their own tax revenues and to withdraw less into the treasury to make the municipalities state branches. Another concern is the rapid growth of the public sector, which is contributing to the pressing of the overall economic situation. The level of interest rates is gradually increasing and the local authorities are gradually spending more, while we know that strong economic growth is also centralising. What left is at least satisfied with in the government’s approach is the commitment to climate change and the environment in the municipal sector. The so-called Green Energy Communities, for which the Government has presented a proposal, will contribute very little to extracting the potential of 15 pst. the reduction of climate emissions in Norway, which municipalities can actually contribute. 14 out of 431 municipalities do little in the national context. The left wants a stronger commitment to the municipal sector as an environmental and climate driver and has set aside 100 million. kr for such a commitment already in our proposal for a revised national budget for 2007. A systematic response is needed to adopt climate plans in all municipalities and to initiate measures. It is a challenge in itself, as many municipalities lack jobs working with environmental measures. We also promote a proposal to make municipalities the first line service for environmental information. When most Norwegian municipalities today do not have their own job working on environmental issues, little information is collected and organized for the inhabitants. This is a paradox when we know that we are responsible, among other things, for: water, sewerage, land use, transport planning, and thus spill over emissions and instruments that have the potential to contribute to the reduction of Norwegian climate emissions by 15 pst. The left also lacks a follow-up to the local democracy commission. We believe that the municipal proposition is appropriate as an annual status report for local democracy, a kind of state of democracy. A small start can be said to be when a separate project on the recruitment of women to local policies is mentioned in the proposition. But we also need to mention the status of immigrants engaged in politics, how children and young people participate, how many citizens' initiatives have been taken in the last year, and how many local referendums we have had in the last year. We also see an ever-increasing trend towards the creation of intercommunal companies, and such a more indirect democracy. A major challenge for the Government is the flow of migration running from the northern part of the country and internal parts of the eastern part of the country. This creates major challenges for the municipal sector in these parts of the country, not least in care and care. Indirectly, these municipalities also face tax access challenges because private business, especially small businesses, is hit by scarce labour supply. Especially in North Norway, the public sector is experiencing major recruitment problems. Removing flows are one of the challenges; another is to facilitate increased labour migration. We regret that the government parties would not take this discussion in connection with Document No. 8:32 proposal on labour immigration, representative proposal from the Right. One of the proposals from the Right, Christian People's Party and the Left is on a so-called neighbouring country visa. The left wants to have a so-called pomor zone identified between Finnmark and Murmansk, which may be one of several possible boundaries. Such a zone may appear as an important area for cooperation between Norwegian and Russian interests and for the exchange of labour. I take up the proposals of the Left.
ParlaMint-NO_2007-06-13.ana.ud1426e673	The representative Vera Lysklätt has taken up the suggestions she referred to. It's going to be line change.
ParlaMint-NO_2007-06-13.ana.ud1426e678	First of all, thank the representative Vera Lightcloth for the honor of the Government for what has happened to resource-intensive services. Then I would like to ask the representative Lyskleatt if it was bad to be a member of the Left and sit in government and close the government career with strong cuts in just this arrangement. As it is soon approaching two years since the Left left of the government, it is nearby to ask the Left, which I know is good at the bottom in terms of Community solutions and to ensure well-being: is the time soon to finally break with the right and find yourself better and perhaps closer to political friends?
ParlaMint-NO_2007-06-13.ana.ud1426e685	I thank you for the question. I know that the representative, Hagebaken, has been very concerned with this system of resource-intensive services. It appears that there is a broad consensus that no batch has a good conscience for the 2005 decision, including the government batches, which, in addition to helping to reduce the compensation, have also raised the point of impact of reimbursement in 2007. The more happy it is that the Government for 2008 proposes a model in which the reimbursement rate is increased to 85 pst. In addition, it is proposed to simplify the model and increase predictability for municipalities. As I said in my post, the government deserves praise for this initiative. The left fully supports prioritizing those who need it the most.
ParlaMint-NO_2007-06-13.ana.ud1426e699	I share the concerns of Lyskleatt's representative about relocation flows, that some municipalities, because of tax access, have a poorer opportunity to have a good service offer than other municipalities. That is why we want redistribution. So I share those assessments. But what surprises me then is that when the representative Lyskleat comes up with that consideration in her post, she in the same setting promotes a proposal that will have exactly the opposite effect of what Lyskleatt speaks for, just that the municipality's share of the corporate tax will be increased to 4.25 p.m., when we know what the outcome would be. This will lead to almost all growth in the municipal sector coming to the big cities with high tax inputs and large enterprises, and no growth will occur, for example. to large parts of Finnmark, Hedmark and other areas where there is no strong nutritional basis. Is it not an inconsistency when the representative Lyskleatt speaks for the tax-deprived municipalities in the first place, and for the districts in the second round, but later today is going to vote for a proposal that gives the same municipalities less income? So I encourage the Left to change its position during the day.
ParlaMint-NO_2007-06-13.ana.ud1426e708	The left wants to keep a corporate tax rate of 4.25 pst. It'll mean 1 billion more to the municipalities. In addition, we want municipalities to have greater freedom to determine their own taxpayer.
ParlaMint-NO_2007-06-13.ana.ud1426e713	The cord shift is over.
ParlaMint-NO_2007-06-13.ana.ud1426e717	The aim of the government parties is that the municipality of Norway should shine and that elected and elected employees in the municipalities should straighten their backs. And then you might well ask yourself why it's so important. Well, we think it's important because Norwegian municipalities as a system are absolutely brilliant. Employees and elected representatives in municipalities provide people with the most important services in everyday life. The municipalities are the democratic arena that we have closest to people, and the municipalities are a motor in social development locally. It is the whole of the task portfolio that makes the municipalities ingenious instruments to cultivate the community and the Community solutions. This whole system facilitates closeness, transparency, sound priorities and good use of resources. I record that some arguments for more ringing and price financing. Well, then you're just ruining the genius of this system. In order for the municipalities to fulfil their functions and to be perceived as genius by the inhabitants, they must have a solid economic foundation. Strengthening the local economy has been a key element in realising the Government's vision of what municipalities should be for the inhabitants of the country. From 2005 to 2008, the real growth in the income of the municipal sector will be about DKK 20 billion. In addition, we know that there is NOK 6 billion in 2006 as a result of extraordinary tax revenue. It is gratifying that efforts in the municipal sector have already delivered results in the form of better services to citizens. The number of children in kindergarten was 21,900 in 2005 and 2006. A total of 5,800 new annual works were created in the care and care sectors in 2005 and 2006, and the target of 10,000 new annual works during the ageing period is, in fact, soon to be achieved. Good development continues in 2007. Statistical Central Bureau figures indicate a significant increase in municipal services from the first quarter of 2006 to the first quarter of 2007. As indicated by the grossing-up proposal, in 2008 there is room for 2000 new annual care services, continued child care and psychiatry and school interventions. The government strengthens the free income of the municipal sector by between DKK 2.6 and 2.9 billion compared to the State budget for 2007. It's these numbers that express the increased space for action in the municipalities in 2008. Within this, there is a strengthening of the Top Funding Scheme for Resource-Required Services of 425 million. kr. In the context of the review of the last year's budget, I said that my worst conscience was that we were unable to put in place a new and improved system for resource-intensive services. I am pleased that we now have a new system in place, a system that creates greater predictability for the municipalities, and thus provides the basis for better services for those who need this kind of service. Now, in two years' time – and we are going into the third with the strengthening of the municipal economy – we have been able to create an economic foundation that allows municipalities to play a better role in the development of society. This is primarily the expectations we have for the municipalities now. Yes, we will continue to strengthen the basic services for which the municipalities are responsible, but we also look forward to municipalities taking more account of economic development, systematising the work of the voluntary sector, further strengthening cultural work, putting energy and environmental plans in place, taking on place local development, etc. It is gratifying to be able to present a plan for the local economy for next year that will provide greater optimism and will provide many new opportunities.
ParlaMint-NO_2007-06-13.ana.ud1426e732	It's going to be line change.
ParlaMint-NO_2007-06-13.ana.ud1426e735	I am not going to ask why the Government has now seen the light regarding the financing of resource-intensive services, but I am going to ask what the Council of State thinks about the rapporteur from the Skiptvet who is going south with 16 elite municipal politicians from his own municipality, as a bonus for a well-worked job in the municipal government period. It is not only the care of the elderly or the provision of school services that does not shine, it also does not shine from kindergarten cows, the maintenance of the municipality or the maintenance of municipal roads. What does the Council of State think when but reads about it? What are the signals that the Council of State sends when using municipal funds in this way? And isn't the Council of State concerned about all the unresolved tasks that exist in the municipal sector, when we see such a use of money in some municipalities?
ParlaMint-NO_2007-06-13.ana.ud1426e742	I never say anything about individual cases in the municipalities, either in this case. What I need to say is that I am deeply concerned that the municipalities are using the increased resources they have now received in a good way. If you choose to give bonuses, or you choose to spend money in other ways that people have doubts about are right, then it's important that people use their voting rights for the harvest and say what they mean. That's the system we have in Norway: we can put in new local politicians if we think that the sitting people are doing crazy things. My starting point is that the municipalities should manage their pounds in a way that ensures the best possible care for the citizens.
ParlaMint-NO_2007-06-13.ana.ud1426e751	The council said in its statement that we have now had two years of growth in the local government economy and are on our way into the third. Once again, the Council of State chooses to disregard its own documents showing the nice numbers. There should be nice figures for a council responsible for the municipal sector that the growth of municipal income is not just two years old, but actually four years old. It is quite strange that the Council of State does not choose to produce correctly, as one sometimes has to do when one is confronted with concrete questions and then also refers to its own technical calculation committee. Now it is the way that the Council of State and I have met in this room now regularly for two years to discuss how the development of the municipality's economy has been. Many would like to claim that we should stop meeting in this way! I want to come with an outstretched hand, because the representative Rolf Rekovam today had an article that, in my opinion, gave a realistic presentation of the situation. Was there anything in that post that the Council of State disagreed with?
ParlaMint-NO_2007-06-13.ana.ud1426e758	I like to meet the representative Höie in different settings, I, to discuss community economics and other things! There is no doubt that we are again putting forward a good plan for the municipalities. We're proud of that, and we're happy to be able to do that. I don't think it's right that I comment on individual contributions from the government's representatives, but what I think it has been put too little emphasis on in this discussion when we talk about the free revenues for next year is the action space that municipalities get from strengthening the resource-intensive services scheme by 425 million. kr. It contributes to a better system, and it is also a system that increases the scope of action of municipalities. It's strange that the right is dealing with all of its numbers. Take a trip to the municipalities, talk to rapporteurs, talk to advisers – then you will be confirmed that there is a whole new world out in Kommune-Norge, it is a completely different optimism to track down than it was under the previous regime.
ParlaMint-NO_2007-06-13.ana.ud1426e769	With regard to the distribution of corporation tax for 2008, there was a change in the method of calculation that led to a large impact on individual municipalities. This amendment was not mentioned in the proposal, and the Committee has now asked the Government to return to this matter in the context of the 2008 government budget for the autumn. My question to the Council of State is: Is it not important that this type of calculation change, which could lead to changes in municipal income of up to 180 million. kr, is the subject of political debate in this Chamber?
ParlaMint-NO_2007-06-13.ana.ud1426e776	I am busy giving correct and adequate information to Stortinget. I do not feel that there is any question about it in this case. What we're talking about are technical changes made in the underlying bodies of the Ministry of Finance. The Stortinget has now asked for a further explanation of these technical changes made in an underlying body to the Ministry of Finance, and the Stortinget is to be provided by sea.
ParlaMint-NO_2007-06-13.ana.ud1426e783	According to KS, local authorities are poor if interest rates continue to rise. According to Chief Economist Per Richard Johansen in KS, the municipalities have lost 600 million. kr on an interest rate increase of 1 percentage point. The reason why the interest rate change now affects municipalities is much worse. that the liabilities of municipalities are much larger than in the past. At the same time, the receivables that give interest income are about the same as before. There's nothing more in the bank than before, so interest increases are going to be hard. Does it not worry the Council of State that we can risk that the municipalities will not get the increase in freedom that is being provided if interest rates continue to increase to the extent that the Minister of Finance has also reflected?
ParlaMint-NO_2007-06-13.ana.ud1426e790	We're going to be glad that the Norwegian economy is going well. It gives increased income to the municipalities. But it is also true that we are in a situation in the Norwegian economy where the pressure is high. As the governor has announced over a long period of time, we have to be prepared for a certain increase in interest rates in small and not so frequent steps. The government conducts a responsible economic policy. We're concerned that we can't bring more resources into the economy than keeping interest rates in check, as opposed to what the Progress Party believes you can, that there are no limits to what resources you can bring into the economy. With the arrangement of the Progress Party, we would have the guarantee of a rapid interest rate rise. Our arrangement, which is a responsible arrangement, requires us to expect such developments as the governor has announced.
ParlaMint-NO_2007-06-13.ana.ud1426e797	I would like to take the opportunity to ask a little bit more about the distribution of corporate tax for 2008, which I asked questions about instead. Then the council replied that the underlying agencies had made a technical change. But this change is quite extensive. This is about the consequence for the municipality of Stavanger could be 180 million. kr if you make this change. Is it not worrying that underlying directorates of the Ministry of Finance, such as the Tax Directorate, are making such changes in the calculation without having been signalled from a political point of view?
ParlaMint-NO_2007-06-13.ana.ud1426e803	Here, the starting point is to facilitate a more accurate management of corporate tax. That's what I'm really concerned about, that we're going to do. Then we come back to Stortinget with full information on this once we have received the sufficient information from the underlying bodies.
ParlaMint-NO_2007-06-13.ana.ud1426e808	The cord shift is over.
ParlaMint-NO_2007-06-13.ana.ud1426e811	Much attention has been paid to this top-level funding scheme for resource-intensive services. That's good, because now it's going to be a much better and not least a much more fair order. This means a lot to many municipalities in the country. Nevertheless, we know that some municipalities will still feel that the costs in this area are high, and the costs are demanding in terms of the service provision for the rest. I just want to say a little bit about this, so that the municipalities this applies should be aware that we know about the challenges that lie here. This applies in particular to municipalities, often smaller municipalities, with many users compared to the population. This means that there will be many excesses to cover before the end of the top-level funding scheme for each individual user. So we believe that here you have to be able to allocate discretion to correct the situation for these municipalities, which is also said both by the Government in the proposition and by the majority in the position. Otherwise, I am glad that important steps are being taken to ensure that municipalities receive more refugees with high resource needs. In order to make it easier for municipalities to do so, we are in favour of the municipalities retaining the housing-stimulating special grant, while at the same time getting a full count in the top-level funding scheme. It represents a significant improvement of hundreds of thousands of dollars, perhaps up to $1 million per. uses when you see the whole change in our system here in context. I therefore have expectations that far more, preferably all, in this category now come out of asylum recipients and into residence. Because there's someone who really needs to get a faster settlement, there's this group. This requires cooperation between the state and the municipalities, but with what we have now done, the state takes a greater financial responsibility. Furthermore, it should be noted that we are asking the Government to assess regulatory changes in the current state of play in view of the fact that individuals today fall out of the Top Finance Scheme at the age of 67. Today's rules may have some unfortunate consequences, and pending a desired change here, we say that frames of discretion can also be used in this area to compensate bad-for-profit municipalities or to meet increased costs of a certain size in this context. Then I have to say something about what I choose to call the populism billion from the Progress Party. After the red-green government has strengthened the local economy and will continue to do so, so that in 2008 we are almost 20 billion kroner above what was level in 2005, so the Progress Party comes and says that they are going in for a billion more dollars. And then, when you know the history of the Advance Party in the area of municipal economics, it appears like a clean tactical manoeuvre a few months before the municipal elections. In addition, there is a high level of question as to whether the Progress Party in total is at all close to improving the situation of municipalities. I mean clearly no. I think of my own country: what would it look like in municipalities in Valdres and Gudbrandsdalen with the agricultural policy of the Progress Party? We would have had a severe depopulation of the districts across the country, with similar density, press problems and lack of capacity in larger cities. In view of the fact that the Progress Party will almost rage on Norwegian agriculture and implement strong cuts in state regional policy instruments, the Promotion Party's appeal to the municipalities is, moreover, promoted in a secure assurance that it will not be adopted, far from impressive. In the case of the Right Line of municipal policy, it is not that easy to get hold of it. Even though they're with the Progress Party for a lot, it's something that can also seem pretty good. The right is heavily concerned by the taxpayer. The right has never been known to be concerned with distribution policy, and we sometimes see how this also turns out to be true to the local economy. More and more emphasis should be placed on taxation, more emphasis should be placed on corporate taxes, as if you do not understand the different assumptions that individual municipalities have in order to obtain tax income. By making big differences between municipalities you create big differences between people, and there's a development that we don't want in any way, so here we really stand against each other -- the right side, not least the right side, on the one hand, and we that make up the red-green, on the other. I'm very surprised that the left is also on the wrong side here.
ParlaMint-NO_2007-06-13.ana.ud1426e826	In the option of St.prp. No 67 it says, among other things.\t\t You can change the ‘It is a goal of the Government to strengthen local democracy. The decentralisation of power and authority through framework funding and regulatory frameworks is necessary in order to provide citizens with services they are satisfied with and to create a positive development in each community.’;» It is with a little wonder to read this and then records that the largest government party, the Labour Party, voted against the basic law of the local self-government in Norway and elsewhere. wrote in the notes that, in their view, it could be difficult for the local self-government of Norway to lay down basic laws. In the setting of the municipal proposition, the government party points to the need for continuous work on renewal and efficiency in all parts of the municipal sector. It is shown that in the administrative reform, a major change in the division of labour between the levels of government will have a positive impact on the renewal and efficiency of the public sector. The progress party will claim that the result is the opposite. In our view, it's a simplification from today's system to a two-tier model with only state and municipality that could have given the desired efficiency. The party of progress is disappointed that the transition and the improvement in efficiency do not have sufficient attention from the Government's side. The government received many input from early autumn 2006 on good efficiency and modernisation measures from a number of municipalities. These proposals are not followed up, and the Government has not submitted a comprehensive plan for renewal and efficiency improvement, as they promised. Therefore, the Progress Party has, together with the Right, the following suggestions: ‘The Government is asked to explain the conclusion and progress of the project ‘Effectiveness and efficiency development in the municipal sector’. Furthermore, it is requested that there be a case of monitoring the efficiency and efficiency development of the municipal sector and a review of the instruments used to achieve high efficiency and good quality in the municipal sector.» The Progress Party is also disappointed that the municipal proposition does not include the right to challenge, which is a powerful tool for the launching of competition in the municipal sector. However, we will show that local authorities have the possibility to introduce the right to challenge locally, and we would like the Government to develop clear guidance plans for those municipalities that want to launch such measures. The Progress Party would point out that competitive outsourcing is not the same as privatisation, but is a tool for optimising the supply of municipal residents. For these, it doesn't matter whether it's a private or a public company that wins a bidding round, because it's the quality and extent of the services that are decisive for the users. Ethics is important for the public sector. The Ministry has established the Forum on Ethics in the Municipal Sector and has launched a review of legislation of importance for ethical issues in the sector. A continuous focus is needed on the prevention and detection of unethical and criminal behaviour in the sector. There is a need for review and improvement of control procedures when something is detected incorrectly. It is important that individual local government and county councils exercise the necessary discretion when pointing out spokesmen and other elected representatives to municipal, intercommunal and, where appropriate, other companies. The Progress Party believes that ethics in the municipal sector is largely about how the sector is organised, and that openness, free competition and a level playing field for private and public activities are decisive. Here the government has rejected a number of proposals that would have strengthened the control of public sector resource use. We believe that in common with these matters, the government has not taken into account the gravity of the situation in Kommune-Noreg, and has not given the municipalities a better ride to prevent corruption and damage. If there's something that undermines people's confidence in the public, it's the detection of corruption and corruption, which unfortunately occasionally appears in the media. Very often it turns out that the municipalities where this happens do not have the necessary and good enough control systems that could have prevented this, that they do not have a control system at all, or leave an eye on what is happening. We all have a great responsibility for internal control and procedures that ensure a good ethical standard in the public sector.
ParlaMint-NO_2007-06-13.ana.ud1426e856	As the rapporteur said correctly, we have been given a new direction in the development of society and not least a much greater economic freedom for the Municipality of Norway. In turn, many municipalities have been given the opportunity to strengthen the most basic and important welfare services, such as school, kindergarten and care for the elderly. Several people today have pointed out that no one from the government parties has said anything about care for the elderly. I want to use my speaking time to say something about it. I record that the opposition is concerned with care for the elderly, but they also tend to blackmail the situation. I find that a little strange, when we know how they strained the municipal economy in their reign. For the Workers' Party, good and equivalent care for the elderly has always been one of our most important issues. We're not yet in target, but we've taken a cap to increase both capacity and quality. We're on track with the 10,000 new year works, and the growth in 2006 was over 3 900 years, the strongest growth in many years. We want an elderly care that is characterised by security and freedom of choice. Everyone should have a real opportunity to choose whether they want an offer organised at home, in nursing homes or in nursing homes. I am pleased that the government has announced that next year there will be a new investment grant to build more hospitals and nursing homes. The government's policy leads, without denomination of funds and detailed management of the municipalities. Of course, it is also crucial who controls the municipalities. We see a lot of examples of that. I heard from the post of the representative Ib Thomsen of the Progress Party that he was very concerned about the care of the elderly. In Oslo, the Progress Party sits with the senior bureau. A recent report from the Municipal Audit Office states that the number of hospitalised places in the capital has fallen, and the waiting list for room has hardly been longer. Is that what the Progress Party is talking about? So we know that it's the right-hand side that's been running Oslo since 1999. Unfortunately, the care of the elderly in Oslo does not shine. In Arendal, they have this year budgeted 50 new posts in care. This is in addition to the 40 posts they have already filled after the government change. It's in the Arendal scale a formidable increase. If we're going to succeed in getting an old age care as we want it, we need a lot of good employees. One of the major challenges of the coming years will be labour shortages. Here it is important that municipalities as employers do what they can to mobilise labour resources. This can be done by eliminating involuntary part-time work, reducing sick leave and stimulating older workers to stay longer in work. All of this requires close and good cooperation between the municipality as an employer and the employees and their organisations. Here the red-greens have a great advantage. We believe in and want to cooperate with the employees – and we can cooperate with the employees. Co-operation on conversion and renewal is a much better tool than the one-sided drive of competitive outsourcing and privatisation of the right.
ParlaMint-NO_2007-06-13.ana.ud1426e873	For a government we have! For a brilliant municipal minister this country has in Åslaug Haga! In this case, the Government continues its project for more well-being and more sharing. The voters chased the Bondevik government out of the government offices. And why did they do that? Well, they wouldn't have anything more of privatization and degradation of the public sector. The government's project is to strengthen local democracy, but it's so important: to give thousands of children a children's home and give the elderly a more dignified and secure care. People's reactions do not mean that they disagree with the measures the government is promoting, but rather that they want things to go faster. The Government fully agrees. I ask the opposition to notice that there is no popular requirement to reinstate the Bondevik government. In the last week, several parties have presented so-called integration action plans, or alternative foreign laws. While these parties are talking and talking, the government is in the process of acting, and this matter we are now discussing is another proof of that. It is enough to mention the increase in the integration grant, the continuation of language monitoring trials, free core time in kindergarten and the continuation of the ‘New Chance’ programme. We need to improve the funding mechanism for Norwegian training for immigrants, and we need to make sure that it is better adapted to the individual's assumptions. We're going to give municipalities that have asylum recipients a more real compensation for the costs associated with being a host municipality. We shall amend the regulatory framework for the Top Finance Facility for Resource-Required Services so that the housing-stimulating specific grant for refugees with severe disabilities or behavioural disabilities is not deducted when measuring grants. We cannot accept that these people will remain in reception for years, and this grip will stimulate the faster settlement of this particular group of refugees. Another thing I would like to comment on is better coordination of relief measures for people in crisis situations. The representatives might imagine getting a phone call that a sister was killed by her husband in front of their children. A few weeks ago, I met two women who have experienced this, when their sister was killed. One of the daughters had a gunshot wound in her hand as she stretched forward to try to protect her mother from being shot. Life overnight was turned upside down. Suddenly they were given responsibility for three children. In a situation where they really had more than enough to handle their children's grief, their own grief and shock, they had to look for themselves in bureaucratic jungle and fight countless battles to cope with the new everyday life. Unfortunately, we hear such experiences from more people in similar situations. People have had to sell houses, have quit the job and may have fallen into such processes. It's unsustainable. I believe that when people end up in such crisis situations, it has to be public. There must immediately be someone who contacts the closest relatives and says to them: You are now in an exceptional state, and I am here to help you. I'm going to take responsibility for finding out the system in relation to their needs, so that you can concentrate on dealing with your grief and get through it. - Call it a crisis agent. I am pleased that the Committee is largely united in the desire to ask the Government to assess how the assistance measures for people in a crisis situation can be better coordinated in individual municipalities. There can be great socio-economic gains in this, and I think it will be incredibly important for those involved. We can never guard against such terrible events happening, but we can contribute to the fact that the people who are being hit do not receive a double burden.
ParlaMint-NO_2007-06-13.ana.ud1426e894	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2007-06-13.ana.ud1426e897	One of the main challenges and demanding tasks of this government is to balance differences in society. We see trends in public poverty in Norway's largest cities. It is unemployment, people suffering from mental illness and discrimination — and problems are increasing. This should be a high priority for those of us who are responsible politicians. In the Soria Moria Declaration, the Red-Green Government sees a strong and clear link in social policy, where the NAV reform will have a central role, where a social housing policy becomes more important, where poverty eradication, habilitation and treatment measures for drug addicts also become an important part of our social policy. There is a need to strengthen capacity in the area of prevention, follow-up, treatment, care and aftercare. There will be a need for a number of new measures, such as lowthreshold drug centres, workplaces, accommodation with staff, motivational clinics, follow-up and follow-up positions in municipalities. The action in this field must also include treatment and rehabilitation measures in criminal care and specific measures for children and women. Good quality in the treatment of drug addicts requires faster help and interaction between very many different levels, including measures to reduce the recent recruitment of drug addicts. This is why the focus on children and young people is very, very necessary to strengthen prevention. We are particularly concerned that the psychosocial offer for children and young people in municipalities is not well developed. The same applies to school health for children and young people. However, in the mental health escalation plan, it is now set up to provide a separate supervisor for mental health work among children and young people, and we are pleased with that. Several dwellings are also expected to be completed during 2007. Among the beneficiaries of municipal services, the incidence of mental illness is increasing. Therefore, it is incredibly important that we be able to prepare individual offers in line with this. It is set at SEK 2.8 billion in 2007 for the operation of such services. We have also briefed that there will soon be a stepping-up plan for the drug field that will lay a good foundation for action in this field. We are pleased that this is now mentioned in the Community proposal. [[President clubs]]
