ParlaMint-NO_2007-03-08.ana.ud644e41	The representative, Kenneth Svendsen, will put forward a proposal for a representative.
ParlaMint-NO_2007-03-08.ana.ud644e392	I perceive that the Government and the majority parties do not see the seriousness and the challenges the municipalities have, so I have some questions for the Council of State. Why does the Council of State not want to impose equally stringent requirements on independence in municipalities, and may it also see whether there are different ways of doing this task at this time? The second question I have is that Kosmo believes that the Riksrevision should take over all the audit for the municipalities, i.e. that it should take place at a state level. What does the Council of State think is the motive for that? Is it because this ensures independence in the audit of the municipalities, or because the Riksrevision has free capacity to deal with these things?
ParlaMint-NO_2007-03-08.ana.ud644e401	I do not think there is any doubt that my post revealed that the government is taking questions relating to the independence of the auditors very seriously. This is part of the big complex that connects with how we're going to avoid scandals of the kind we've seen in Oslo and Bærum lately. We put a lot of effort into reviewing laws and regulations and all aspects of ethical behaviour. When we don't want to go into the proposal that lies here today, I've explained it carefully in my article. It is a matter of simply not believing that the proposal put forward here by the Progress Party contributes to our achievement of our objectives. But now we're going to follow up, and if things happen, if we're going to get information or if we're going to come up with research that indicates that this is something that needs to be done, we're going to evaluate it at that point.
ParlaMint-NO_2007-03-08.ana.ud644e408	Several have not asked for the word for a line. Several have not asked for the floor on case No. 2nd@item: inlistbox [[Footage, see page 2207]]
ParlaMint-NO_2007-03-08.ana.ud644e430	First something about the background because I'm taking up this field. I do it because the thinking – and the way of working – that lies in what I come back to is an important part of what we can call civil society, the idea of volunteering, community thinking, in Norwegian society. I myself have met it through various phases of my life: as an employee in the Church's Bymition, in meeting very vulnerable groups, where I learned early that meeting people with respect and the fact that people retain respect and dignity and in addition have a chance to share it with each other, gives strength, and later in the work started by the then Social Ministry, where, in close dialogue with the voluntary organization life in Norway, what is called the Voluntary Cooperation Body developed, and where Norwegian authorities showed great insight and understanding by realizing that voluntary action in Norway is something that lives a life of its own, and where the authorities' task is to understand it, to support it, but not try to control it or control it. The then political regime understood well – it was a workers' party government. Later, other governments have also stated that this is a joint heritage that we have in Norway. Now when I take up the self-help subject, it's on such a general background. As I perceive self-help, it is about trying to achieve a greater degree of influence and control over one's own life through a joint effort with others in similar situations to that one's own, as I've already had. And at the focal point of self-help that exists, it is based on the fact that experience-based self-help knowledge can be a driving force for a new national health understanding. This self-help understanding is based on the following thinking: a fundamental belief that all people have life resources, and that self-awareness in interaction with others makes it possible to use their own forces. Let me give you some examples. One of the examples I think is familiar with the general public debate. Psychologist Heidi Tuft published a book about his life and his fight against cancer a few years ago. She refrained from treatment, but in the book she told about how by mobilizing psychic forces she really managed to create something in her life that we others just had to read about, listen to, think about, and look to. Later on, I have had the pleasure of meeting a young woman who has simply made it a project to wander around the world and spread joy, saying that one should represent “vere power” – that is, find a kind of close contact with what is inside one’s self, and take it out in such a way that one in itself and together with others promises a situation that can otherwise be perceived as very difficult and vulnerable. In other words, self-help is in a way to grasp your own opportunities, find your own resources and take responsibility for your life and direct it in the direction you want. Self-help is to initiate a process in which a person turns from being passive to an active participant in his own life. When someone, like me, has experience from encounters with vulnerable people, and people who have worked with people in a needed situation, there is at least one thing you learn: there are very powerful forces in people if you show respect. An experienced nurse said to me 20 years ago, "Dørum, it's a lot easier to lift people who think there's something about them than to lift them that there's nothing to do with. The lady had broad experience, she had lifted many, and knew what she was talking about. I had to think a lot about it, and later I had to give the person very correctly. It was 20 years ago at the Ammerud home, a hospital run by the Church's City Mission in Oslo. It was a meeting with professionals who had security in their professional role. But more importantly, they had grown beyond the professional role, so that in many contexts they actually appeared to be related, because there were no relatives. It's not something you learn at school, it's something you can bring with you because you, together with your colleagues, develop it as an ethical awareness of your job. If we take self-help into contact with the Norwegian health reality, self-help can contribute to the development and new knowledge of the experience-based and the professional knowledge. It simply gives us the cancers we have in life, a chance, as well as all the professional knowledge that a health auxiliaries carry. I have gathered some quotations from people who have lived with self-help. One of them says: Talking to someone who has knowledge of the same thing as yourself, is recognition and makes sense. Another says: To meet other people who are in a situation almost equal to one's own, can approach the magical. Or, it all of a sudden tells about the amazing forces that occur in a human being when you get this recognition into your life. In the case of Self-Help Norway, we know it in practice as self-help groups in areas such as the mental health field, where we got what is called the Anxiety Ring — people who have a relationship with anxiety, anxiety as part of their own lives — we have had the interest group for women with eating disorders, we have met the self-help in somatic health, with the Association for Breast Cancer Surgeons, the Rygg Association, the National Association for Traffic Damage, etc. Always is mastering, handling and mental health access to everything. The point is not to heal, the point is to develop the life forces that all people carry. Self-help is therefore about enhanced mastering and quality of life. Now, if you look at the development of the self-help field, at least as I have experienced it through this period of 15-16 years, I think it has evolved from looking at self-help as a group of the sick, to dealing with a particular way of thinking – just a certain way of approaching challenges in life. The need that has led us to have a national plan has made the self-help field visible and driven it forward in close cooperation with our public authorities, both in the department and in the directorate. The national plan also describes the self-help field through its history. The node Self-help that exists helps to gain insight into how people in civil society can benefit from self-help, and it helps to focus on local and regional units and self-organised businesses that interact on the basis of participatory democratic principles. Self-help Norway is working on this in a very concrete way that I am not going to go into now, but that I have chosen to sketch in this way. As regards the relationship of authorities to the self-help field, it has been expressed and anchored in a series of large-scale documents for quite many years. Now I haven't brought all the numbers for the different years, but we had a big message in its time called «Don't let the grass grow again between neighbors» – that's many years ago. Then, of course, we have the Stairs for Mental Health. These two don't describe the self-help field directly, but they bring out the experience-based knowledge and the necessity of mastering, and what you call “empowerment” on March 8th, that is, that you bring out the cancers in your own life and that way you say, yes, but I am something, I stand for something and I'm worth something. St.meld. No 16 for 2002–03, the first national self-help plan to be presented and presented. Here we also see that self-help has evolved from being a tab of the will to be part of our society's understanding of public health work. That's why I see that healthcare can benefit from self-help in a number of ways. I'll mention them very briefly: first of all, as an ideology that reinforces the fact that users are worth something. Secondly, as an integral part of many treatment services and training activities. Thirdly, as an aid to health professionals, that you can see something in a day-to-day way where you can get tired and tired, cf. my little example from the Ammerudhome. And fourthly, as part of the interaction between primary health services and non-governmental organisations. Let me take a big side run. I've just been to India and met people at a school in a big city, where it almost shines on everyone that they're proud of what they're doing – everyone's proud. You hear a nine-year-old girl standing looking at you, saying I'm going to be a lot better than what you've ever been. Yes, March 8, no matter what the perspective – you see what you're dealing with. You go home and think that there's much you can learn by walking around the world, among other things. by discovering its own sources and roots. In terms of self-help as a way of thinking and working in relation to the professional, we know from experience with the country's volunteer centres that professionals – psychologists, psychiatric nurses – can use this in different ways, and developing this is so important. I'm going to finish this interview by referring to a book that came a few years ago, by a VG journalist named Jon Magnus. The book was called "The Way of Karlswagna" and is a love story about his wife who dies of cancer. It's his description of how to meet a health care system that on the one hand is almost hopeless, and on the other hand is absolutely wonderful. You see, it happens wonderfully when people are influenced by the ideology I've been trying to talk about in this interview. I'm going to go straight up the interpellation to create a dialogue from me, at the speed I have, to a government council and a department that I know is committed to the matter, and to ask questions about how we can benefit from this and move on together.
ParlaMint-NO_2007-03-08.ana.ud644e470	The representative Dørum has put an important, but not often discussed, theme on the agenda in Stortinget. I think that's good. I fully agree with the representative that maritime aid activities are a very important part of the prevention work in the field of mental health. In a society where more and more people have mental distress and problems in mastering life, it is important to promote this kind of public health work. In Norway, as the representative has explained, we have undertaken systematic work to promote maritime aid, including: through a national maritime aid plan. And in the Mental Health Plan, more action is being taken to strengthen this field. Medical aid as a method is, as has been said, a way of raising your own resources and changing the situation of life in a positive direction, despite the fact that life can be experienced both difficult and difficult. Medical assistance can strengthen the ability to master one’s own life, improve the quality of life and improve people’s ability to participate in society. Medical care is also an important tool to promote user involvement, as I see it. Measuring, participation and user involvement are also important objectives of the escalation plan. Support has therefore also been provided for maritime relief activities to strengthen the mental health of the population. When Stortinget dealt with the public health report, St.meld. No 16 for 2002-2003 The Recommendation for a healthier Norway decided to draw up a national plan for maritime aid. Several non-governmental organisations participated in this work, and the plan was presented in October 2004. This plan would contribute to the systematisation and dissemination of experiences and knowledge on maritime aid, it would contribute to more research and knowledge development and to the establishment of new maritime aid groups. The Public Health Communication has just used the Anxiety Ring definition of marine aid, which is expressed as follows: ‘Self-help is to seize your own opportunities, find your own resources, take responsibility for your life and direct it in the direction you want. Self-help is to initiate a process, from passive recipient to active participant in their own lives.’ Medical care is a method that can be used by individuals who want to address their own problems and create a change in their lives. It is based on the fact that all people have resources and forces in them to change a difficult life situation. But it's important to say that it's not about getting together or coping with everything. Rather, the person with a problem or disease also has knowledge and drive to change the situation. Like the representative Dørum, I have great faith that change often occurs in the meeting with others. It is also essential for maritime aid as a method. Just because the meeting with others is so important, most of the work is done in groups. Here, people who struggle with something in their lives can practice trying and failing in a safe environment. I believe that this work is of great value when we know that so many people meet the wall, through all the demands, expectations and performance pressures that we are subjected to differently. The social assistance groups are not run by professionals but by so-called starters. The opinion is that marine aid should not be a relief for the ancillary public service but a supplement to professional assistance. Medical work is about mastering e.g. mental health, not concerning the treatment of disease. I see that some of the maritime aid groups that have come to date have often been based on themes characterised by women's experience, for example. nursing care groups for women with eating disorders, for traumatised women and for people with anxiety problems. But men also have a lot to pick up by participating in social work. For example, there have been many men in some of the first naval groups that were established, e.g. Anonymous Alcoholics and Anonymous Narcomans. That's why it's more right to say that naval work is primarily about being human and taking active control of your own life. I want to bring forward some interesting experiences from the Angry Ring, which Dørum also had in mind, which is one of Norway's largest maritime aid organisations. An evaluation of those who participated in the 1990s showed that participants had been given increased motivation to work with their problems, strengthened their sense of sea and increased transparency about their own problems. This, in turn, led to better social inclusion and less social isolation. The findings fit well with what is described in both Norwegian and international literature in the field. In other words, it benefits! The National Maritime Aid Plan contains four main points: to establish a national focal point research and knowledge development to set up a grant scheme for local actions to conduct nationalconferences and an international conference The main measure in the national self-help plan has been the establishment of a national navigability hub. It was known to open in the spring of 2006 in Oslo. This national focal point has different tasks. It shall include, inter alia: be the coordinator of a network of different groups and maritime assistance organisations. The node shall provide information, train starters, provide advice and guidance and help to establish new groups in different areas. There are also online solutions to stimulate maritime relief activities. In Norway, so far, no research has been carried out on marine aid, but what has been done shows that there is a need for a national focal point that can disseminate knowledge about the groups and the method. In a recent meeting with the manager of the node Self-help Norway, Solbjørg Talseth, I got one of them. informed that training is now to be provided for all employees in the learning and mastering centres of health establishments. I think that's great! These centres are well established in the corporate structure we have. I believe that the course for employees at these centres is a great measure and an example of how the voluntary and public sector can achieve more by pulling the load together. The aim of this is for us to launch more maritime aid groups across the country. There is a need to strengthen research and knowledge development in this area. Here we are, for the time being, in the preparatory phase. I see it as very important that more research is done in this area. Research shall also contribute to elucidating and documenting challenges and opportunities in the field of maritime aid. I stress that research activities will be launched in this area during this year. In order to stimulate increased maritime aid activity in the field of mental health, a separate grant scheme has also been established. There has been a great deal of interest in and many applications for this scheme. We have received applications from city councils, municipalities, educational institutions, learning and mastering centres, user organisations and other non-governmental organisations. The ADHD Association has received grants for naval assistance for its members, the Community Foundation for Sexual Abuse, which is an umbrella organisation for 16 centres against incest and assault, has received funds, Mental Health in More and Romesdal has set up naval assistance groups for young people who are struggling, and naval assistance groups for relatives of people with mental disorders are also to be set up, to mention some examples from the rich flora of what is going on in the field of servitude. The first national conference was held in December 2004 and was launched as a maritime aid network. Since then, annual conferences have served as an important meeting place, with a broad audience. As far as I know, Norway alone is about having a national plan for maritime aid. Several Nordic countries have made contact with us and with the focal point Self-help Norway to get advice and ideas for their own planning work. But we also have a lot to pick up from other countries anyway. I think, among other things: on research results and experience-based knowledge in this field. In 2005, an international conference was organised in Norway to disseminate maritime aid knowledge and to use international networks in this area. The representative, Dørum, asks how I will follow up on the work on maritime health after 2008, when the Roadmap for mental health expires. Firstly, I would like to say that the Government is proposing to return to the Budget for 2008 with an overall explanation of how to follow up the mental health field when the escalation plan expires. That's where we'll also give a review of the topic that we're talking about here. I can't foreshadow promises of follow-up in individual areas, but I hope what I've said is that I'm very concerned about strengthening this field. We know it takes time to rework structures for naval aid work and build skills. This applies both to the auxiliary and to the voluntary sector. I believe this is an important contribution. I would also like to say on a day like this, the International Women's Day, that it is not appropriate to suspend or lay down a job that affects so many women – including men, it is important, but it affects to the greatest extent a great number of women. That's why the node Self-help Norway is something we're going to evaluate, but I'm going to say right away, we're not going to put it down.
ParlaMint-NO_2007-03-08.ana.ud644e526	It's probably a coincidence, but a straightforward coincidence, that the interpellation came up today. Interpellation and the Council of State answers are about how to be conscious of the forces of one's own life and use it positively. I thank the Council of State for an answer that I think was both thorough and marked by great willingness to search for insight and use it. I always think it's nice to be able to say that, and then I think it should be part of the political culture that we can say that, when that's the way it is. I understand that the Council of State cannot forge any administrative processes, but at least I perceive the deep understanding and understanding of this field by the Council of State. When I take the word again, it's just to emphasize that the more we professionalize society, the more we can risk that old-fashioned, simple experience of meeting people as they are, doesn't always get on the road. I have personal experiences from my own life where those who helped me most often were the ones who had the shortest education. Often people with a little longer education were so keen that it happened that you had to help them a little, and one does. But it's not like this is in general. You hit smart people everywhere, a little independent of both title, rank and background. But I think the whole self-help stitch that we have in common in this interpellation, in a society characterized by education, is about giving something on the road that can't normally be put between the permes of a book, but that might be described as living experience, and the systematizing of living experience in such a way that it's for joy and benefit. That's what the state council has been up to, the national focal point is doing. I also agree with the Council of State that this has been very important for many women, who have gained their natural self-confidence with this, but I also agree without further ado that this will apply to men in very many situations. When, for example: Regarding the work I've been through in other parts of my life, fighting the completely meaningless situation in which men beat because they find no other way to react emotionally, you know that there are ways to approach this that can make you wiser and better. My appeal to the Council of State is, in essence, that she includes what is in her response to me, and sees how the awareness and insight of this can in some way be preserved in the many educations of health professionals we have, so that in these professional educations you get more than what I got. Because in its time I was trained to be a socionomist who would keep a professional distance, but at the same time be empathetic. Everyone realizes that it's relatively hesitant. But fortunately, I met some wise teachers on the way, who knew how to be people against people, and at the same time become wiser. That's what it's important to cheer up. It's got to be my comment to the Council of State. I expect that point to be passed on to all those who are going to train those who are going to be the helpers of our society.
ParlaMint-NO_2007-03-08.ana.ud644e535	I feel that the representative Dørum and I, on behalf of the Government, are fully in agreement with this case, and how important it is to be able to use this method, using these people in various maritime aid groups around the country. In fact, we humans are seamen who are really the best experts at what's going on, and then sometimes it needs professionals who are trained for it. But I also fully agree with Dørum that education is no guarantee of giving the best help. Of course, it's crucial to give the professional help, but basically it's about being people and how to meet people, meet people with respect. As I said, I had a meeting with Solbjørg Talseth – as I know Dørum – the head of the association Self-Help Norway. I'll visit them during the spring to get more involved in what they're doing. I am also concerned that we are now getting research started in this field. I'm going to give the follow-up to naval aid work a separate report in connection with the state budget for next year, in order to report back on what we have done after this debate and on the way forward. I think that here there are really an incredible number of possibilities, which really cost very little, but which give a great deal of counting, and which can give people, despite difficult life situations and diseases, a much better life in their difficult situation. So I can just confirm that I'm going to follow this carefully sail, and I'm going to report back to Stortinget. And I feel that we have common goals about this important matter.
ParlaMint-NO_2007-03-08.ana.ud644e544	I want to start by giving a big tribute to the representative Dørum for putting this debate on the agenda. This is a topic that we haven't discussed too much in Stortinget, and I have to report it with shame, but it's a field that has enormous potential and that's very important. Actually, every day, we should ask ourselves what we as representatives have done to facilitate helping people to move from a client role, a victim role, or a patient role – to become head of their own lives. In other words, in good Norwegian «empowerment», or maritime aid. Too often, people are made poor, often in the best interests. Sometimes it's just about power and distance between ordinary people and professionals. Unfortunately, in society we often tend to focus on the shortcomings and problems of individuals and groups, and many people also experience that the resources they have are not being seen or taken seriously by the auxiliaries. It has to end. Lise Aasmundstad, director of the Rehab pilot — her founding project in drug treatment — has said that a dose of heroin is placed at one end of Hardangervidda and an abstinent heroinist at the other end, so the heroinist will start going before she has thought about it for two seconds. This, says Aasmundstad, testifies to great courage, enormous willpower and a lot of resources. This has to be translated into positive energy. The node Self-help Norway talks about ‘From curing to coping’, or from curing to mastering, I think we can translate it with. They are committed to promoting understanding of the principles of self-help, which they define as ‘a basic belief that all people have life resources, and that awareness of themselves in interaction with others makes it possible to use their own powers’. These are amazing words, and I am concerned that we have to do this in practice. Because if we can translate what these words mean, in practical action, I think we can achieve small revolutions. On the website self-help.no I can read an article by a specialist in clinical psychology Gjermund Tveito, who says: "I have a basic belief that people can figure out their lives, and I view self-help as an important cultural contribution. The empowerment movement is a counterweight to the field of expertise and the synthetic life where all that has to do with emotion is unwanted and disruptive. I believe the health care system today needs this counterweight." I think we should notice this insight. In order to promote the maritime aid idea and the empowerment movement, we politicians need to ask for, support and talk about maritime aid. It must be part of plans and strategies, and we must ensure that the national self-help plan developed by the Social and Health Directorate is disseminated. Social assistance is a lot about the view of people. In addition, as Tveito describes, democracy is about being at the same level as equivalent people. The node Self-help Norway says: ‘Experience-based self-help knowledge must be a driving force for a new national health understanding.’ They want experience-based knowledge to be used in conjunction with professional knowledge, among others. as part of capacity-building actions. As far as the Roadmap for mental health is concerned, the aim is to contribute to the most normal life, well-being, improved quality of life and participation in society. This shall be achieved through independence, independence and mastery, and the focus shall be on prevention. Medical care is an important part of the country’s preventive mental health work, and the focal point is an important part of health promotion and prevention. Norway is the first country in Europe to have a national stake in this field, and we have received a lot of attention. Both research and experience make the need for a national focal point visible. This is in order to gather, process and analyse people’s own experiences from different auxiliaries arenas, to disseminate knowledge on participants’ experiences in maritime assistance and to develop knowledge and understanding of the benefits of different auxiliaries for participants. The node shall develop a living environment of competence, where different actors can gain and contribute knowledge. The work is already well under way, and according to the maritime hub, the progress is actually greater than the employees have the opportunity to meet. Medical care is also a very important part of user participation, which the Government is concerned with ensuring and developing. And I believe that the Council's response to the interpellant is bearing witness to the fact that this area will receive both her attention and support in the future.
ParlaMint-NO_2007-03-08.ana.ud644e580	Help needs to be provided to people in difficult situations. At the same time, they need to be able to use their own resources and help themselves and other people in the same situation. St. pp. No 63 for 1997-1998, The Roadmap for Mental Health, has provided leadership for today’s work on mental health, and the obliging plan was a commitment to provide people with mental health problems — and the sector elsewhere — with a lifting that was absolutely necessary. The aim of the escalation plan was to strengthen all stages in the response chain. The goal was to create a comprehensive and coherent treatment network, where the user perspective was to remain in focus. The Bondevik I government specified that the user perspective was central to government policy, and gave the following definition: ‘User participation is based on respect for the individual and is in our society a good thing in itself [[...]] Human experience and knowledge must be recognised and used by those who are set to help. In St.meld. No 16 for 2002-2003 Response to a healthier Norway, the public health report, was self-help described as a field of action. A national self-help plan was proposed there. The aim of the plan was to promote self-help methods as a tool for prevention. Through participation in self-help groups, many people experience that life’s problems do not develop into stressful mental problems. The Communication defined self-help as addressing own opportunities, and self-help can improve the ability of individuals to express their problem and thus provide a basis for mastering and better quality of life. Contributing to a self-help group can help to strengthen the ability to benefit from professional assistance. Meeting others who have the same experience can be experienced as a liberation by too many. Many challenges in life are related to blame or shame, and in many areas we lack transparency. The individual who experiences something difficult may think that he or she is the only one who has experienced a similar event or feeling. Often it turns out that there are more in the same situation. Furthermore, many have learned to deal with and get out of difficult events or to deal with difficult feelings, and sharing experiences and solution strategies with others can be fruitful. The establishment of the Self-help node Norway was part of the national self-help plan, as an information and dissemination channel. I will give tribute to the interpellant, who is concerned with the continuation of this important work done in self-help in Norway. Mental health is central to public health and closely correlates with concepts such as mastering, adaptability and quality of life. It's about the individual's resources in everyday life, resistance to mental and physical stress, which we all experience, and our ability to master our own lives. I perceive that the government is concerned with public health, and further investment will be important in a public health perspective. Governments quoted in their article the definition of self-help by the Scaring Ring: ‘Self-help is to seize your own opportunities, find your own resources, take responsibility for your life, and even direct it in the direction you want. Self-help is to initiate a process, from passive recipient to active participant in their own lives’. What is important is that the anxiety ring defines anxiety not just as a problem, but as a resource – or in another way: a normal reaction to something that is difficult or wrong. Norwegian Self-Help Forum says: Whoever has a problem also has knowledge. That is well said, and it may be appropriate with the words «It knows best how the shoe presses it». Recognition of the importance of individual experience must continue to be enshrined in mental health protection in Norway.
ParlaMint-NO_2007-03-08.ana.ud644e614	Let me do some slightly general considerations after a few years of political seagoing service. I have been – and I am – a strong supporter of the educational revolution we have had in Norway, including the professionals we have received. But of course I haven't been able not to notice how in many ways we have trained ourselves away from close contact with the close things. That is, it happens that you become theoretically wise, and that's good, that's necessary. I'm a strong supporter of it. But it happens that you're on the road because of the grip that's not good enough, not getting close enough to the people you're going to help. Let me use an example that tells you something about self-help. In a completely different role in my life, I met as a trusted Norwegian citizen, as a government council, a tired, drug addicted couple. They had walked all over the Norwegian auxiliaries. I sat and listened to them with my good friend and worked with Rita Sletner. It struck me that they had basically met socionomists, child protection educators, nurses or doctors. After a while they just looked at me and said that either they were ignorant, rude or arrogant. Then I asked if they had met someone who at any time hadn't been like that. Then they said, mostly policemen, because they almost never went out to be anything other than what they were. It strikes me that any professional here in life who is perceived as never going out to be anything other than what you are, has achieved something very well. It means that in your life you've managed to integrate your practical, necessary theoretical knowledge with your normal humanity in such a way that when you're here, you're here in a completely right way. You're not trying to express anything other than that, and we understand that very well. I think the power of self-help is exactly what the others in this interpellation debate have been about, showing people, no matter how they are exposed – and the representative Thorkildsen had a brilliant example of it – that we see that they are something. Although the dress theme may not invite you to believe it, we still show the understanding that we understand that there are some forces. Meeting people in such circumstances, and many other circumstances – I drew up an example from a nursing home in Oslo – I think it's about life forces that it's difficult and tough to get political, because it doesn't look like the cutting table. That's why I'm very happy that we can have the Interpellation Institute in Stortinget, that we can have this open conversation that we have here. It's important, I think, to tell the Council of State when she commits herself as strongly as she does, because it doesn't give immediate mention. But I think it's important for our whole society and maybe to be able to say the day that you've ended up with politics, that you've made a small contribution to making the world a little better than it was before you started. I think the thinking behind self-help is pretty important thinking in that way.
ParlaMint-NO_2007-03-08.ana.ud644e629	I think it's been a good debate, and there's no doubt that it also seems like there's a very broad political consensus that this is an area where it's important to continue working on to give more opportunities to both participate in abstinence groups and in other ways get the opportunity to master your own life in an even better way, despite difficult life situations. I can only assure the representative Dørum that I am going to try to contribute on the basis of the job I now have, in a good way in this area that – there I agree with Dørum – will not be paying off tomorrow or the day after tomorrow and perhaps not in any year either. But anyway, we're going to have a big focus on that, too, from the government side. I thank Dørum for this interpellation debate.
ParlaMint-NO_2007-03-08.ana.ud644e636	The Interpellation Debate on Case No. 3 is over.
ParlaMint-NO_2007-03-08.ana.ud644e642	Then Stortinget is ready to go to voting.
ParlaMint-NO_2007-03-08.ana.ud644e650	During the debate, Mr Lysklätt has put forward a proposal on behalf of the Left. The proposal reads as follows: ‘The decision asks the Government, in the event of any implementation of the Data Storage Directive [[2006/24/EC]]
ParlaMint-NO_2007-03-08.ana.ud644e680	Two proposals have been put forward during the debate. It's: proposal No Ib Thomsen, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on the proposal from the Commission to the Council (Doc. 2, from Bent Höie on behalf of Right and Left The proposal from the Progress Party reads as follows: ‘The Government asks the Government to submit legislative proposals to incorporate municipal audit into the statutory audit law, so that in future the independence of the statutory auditor in the municipal sector is as stringent as the independence of the statutory auditor in the private sector.’
ParlaMint-NO_2007-03-08.ana.ud644e704	The proposal from the Right and the Left reads: ‘The decision asks the Government to come back with proposals ensuring greater independence for auditors in the municipal sector.’ An alternative is to vote between the setting and the proposal from the Right and the Left. The President assumes that the Progress Party now wants to support the proposal subsidiaryly. - It's nodding. The Committee had set up: Document No 8:13 [[2006-2007]]
ParlaMint-NO_2007-03-08.ana.ud644e727	In Case No. No voting theme is available.
ParlaMint-NO_2007-03-08.ana.ud644e738	There is no record. Thus, today's map has been processed. Does anyone require a word under Section 37(a) of the Rules of Procedure before the sitting is cancelled? - The meeting's been cancelled.
