ParlaMint-NO_2007-02-06.ana.ud797e45	The representative Hans Olav Syversen, who has been licensed, has again taken the seat.
ParlaMint-NO_2007-02-06.ana.ud797e574	The fact that patient records are straying is a known problem — whether they are electronic patient records, whether they are patient records in paper form, or what they are. Many governments and state councils have had the opportunity to do something about this problem. That is why I am pleased that the Council of State Sylvia Brustad has addressed the problem and is looking at how to solve it already this year. Despite strict rules on how patient information is to be stored and used, there is an ongoing breach of the current regulations. Why should we keep such information? This is in order for healthcare professionals to provide the fastest possible and best possible diagnosis and treatment of patients receiving treatment at individual institutions. The balance between privacy on the one hand and the need for good treatment on the other is difficult. The Council of State warns that the business meeting in 2007 will require health businesses to provide for the phasing-out of old technologies that do not meet current needs and requirements. I think it's important that one not only does it, but also that the different healthcare companies invest and maybe develop common systems, that there is not a competition between individual companies about who is the best, but that one jointly uses the research, technology and knowledge that exists to find the best possible solutions. It is important, as the Council of State points out, that it is necessary to log who is inside the individual patient records, to see if they actually have something to do there. For there are not only strict rules and requirements; one must also be able to control who is inside and why they are inside. Do they need to review the individual records, or are there other things they are looking for in obtaining patient information? That is why I think it is necessary to require these regular checks, regardless of which health institution they are. As I said, balances between privacy and important and necessary health information are difficult. Instead of limiting such information, it is important that a person takes action to improve the safety of all patient information, including through: what the Council of State points to in its response, better information for health professionals, the development of new and better technical solutions and the availability of control systems through the logging of those involved in the individual records. It is important that we have solutions that provide the patient with security of privacy in relation to the information that is stored and who will obtain that information. At the same time, the patient must be confident that the information provided by health professionals also provides the individual patient with a good treatment for the diseases that one has at all times.
ParlaMint-NO_2007-02-06.ana.ud797e587	The interpellant addresses a very important issue in its interpellation. Unfortunately, these are also issues that have emerged at regular intervals in recent years, in fact over a number of years. I also want to give the Council of State a boost here, which is clearly gripping this discussion and will actually try to do something about it. It shows that you want to get rid of it in my opinion, the obscenity that is out there because you don't think well enough in the daily routines you have, and not least what kind of responsibility you actually have as a health care professional against this. And then we're not going to ignore that when we get electronic records in place, there's going to be other possibilities. It will open up opportunities related to having a password limited access to perhaps parts of the journal, linked up against, I kept saying, a "need to know" base, i.e. what you need to know, further down in the organisation, but at the same time the treatment staff has the full and complete overview, which is important to have at all times. But we should not forget that until we have it in place, we have great challenges. Because there are difficult amounts of information that lie in the systems that we have per. Today, and that's the part we have to look at a little bit about how we're going to be able to deal with in the future. One is, of course, that we have routines in place at all times. I don't think the big problem necessarily is that you, I kept saying, deliberately leave off a journal somewhere, or don't think about what you're doing. I think it's probably carelessness that makes a difference. It's easy to lay off the journal while you're working on something, and when you get back, others have had access to this information. So I think it's at the routine level you really have to take action here now, so you get rid of the problem itself. It is also important that we look at what is involved in the technical solutions, especially now in a transitional phase, when going from written records and possibly to electronic records. There will be major challenges, and there will be major challenges that will take time to find solutions. Firstly, there will be situations in which journals that we already have today are to be introduced into the new system. There is also a need to find technical solutions for the types of databases to be used and the main solution. Who is it that's going to be able to get in and see in the journal, how are we going to limit this, how many firewalls are we going to have to have in order to secure ourselves in the future against the break-in of the systems? Here are a number of things that need to be solved, and then it's actually important to use the power of ownership that you have to enter and govern, so that we have the same system wherever in the treatment chain you are, and so that you can also transfer information in a society where patients also move, so that the imagery that can be put into this follows the written material, and not least that we have a traceability system that makes it quite obvious that we can go in and find out: who is it that's inside the journal? But then it's also important that we just have our computer systems in place, so that once you get into a system via your computer, there must also be a system that allows you to automatically log out of the system if you don't sit and use that computer over a certain period of time, just so you don't have to get into the situation that the next person who comes down and sits down and works on the same computer, feels that the previous person's documents are open. This is very important that we have clear and proper control. So I'm looking forward to the state council taking hold of these things. In fact, it is reassuring that the Council of State takes this seriously, but it is time for us to have the big challenge in the future. How do we solve this, and, not least, how do we solve it so that we have the security of health care professionals with the information to be provided, while at the same time ensuring that the patient has good routines that make sensitive patient information unbalanced? I'm looking forward to getting a proper solution.
ParlaMint-NO_2007-02-06.ana.ud797e600	I see it as the interpellant takes up two completely central issues in its interpellation. One is the patient journal as a tool for good patient treatment, that the information is available in such a way that it can be used both in diagnostics and in treatment – that is one piece. The second piece is that the information is treated as it is, namely person-sensitive information which is subject to confidentiality and which is not to be accessed by unauthorised persons. Both are important. What I think gives cause for concern is that the debate on electronic records has been going on for very many years. If you look at the story, you can see that the first electronic data storage started at the beginning of the 1970s, but unlike what you should believe, it came from municipalities and not hospitals. I record that the first available electronic computer system in Norway in healthcare was the Balsfjord system, which was developed precisely for primary health services in Balsfjord, a municipality at Storsteinnes in Troms, with three doctors, Arnulv Eide, Roar Johnsen and Toralf Hasvold. It was developed in cooperation with the University of Tromsø as early as 1976, and it was taken into practical use in 1980. That system worked well. In fact, the systems that have replaced it have been built over the same reading in many ways. There have been some more sophisticated ways of processing the data, but basically there are systems that are very similar, by entering a text, storing laboratory responses and other data, and thus having an electronic journal that is available. What is to be thought of is that, for example, doctors – like me – who were trained in the early 1980s and have worked most of their lives until now in primary health care are hardly used to anything other than working with electronic records. I believe that today, as far as I am aware, there are no doctors who do not have an electronic computer system available. So, 25 years after it became common, when you talk to doctors in Norwegian hospitals, they're still sitting with a dictaphone, and they're talking about so much time if they were to write that journal themselves, that they won't go into it. What we are facing in the hospital sector is a conservatism with regard to the use of new electronic tools that can hardly be imagined. Some of the worst are my own profession, the doctors, simply because those who have been in the system for a very long time, have not learned the benefit of a completely self-evident tool. What you can experience when you get into a doctor's office in a hospital is that patient records are stacked on the office desk, so you hardly see the doctor behind it, and then you're surprised at the next time, when you're going to an outpatient clinic, that the paper file is not available. It is clear that this is problematic from both of the areas I mentioned in the introduction and in which the interpellant has been involved. This means, first, that data are not available when the patient is going to have follow-up treatment, but it also means that sensitive information is available in a way that they should not be. In fact, as far as the development of electronic tools within the hospital system is concerned, this development cannot occur from below. To that is the resistance too great. It looks like you have to take the overall grip and tell them that they no longer live in the Stone Age, but that the electronic age has come too far. In many ways, the hospital services in Norway live in the electronic stone age. It is clear that securing patient data is much easier when stored electronically, because you can have routines for it, and you can protect the data. Of course, it can also be misused by much easier loading over electronic data a lot, but basically it is that electronic systems require routines. It requires the approval of the Data Protection Authority and there are reprobable procedures along the way. So this is where health businesses have to face up to today's reality, and then you have to use resources to get this in place. One side we haven't discussed here is the economic implications. The lack of good practice and so little use of electronic tools in hospitals also costs enormously, as a result of not finding the necessary data, often having to retake blood samples, often having to re-examine X-rays, etc. – and within a sector that annually burns NOK 75 billion.
ParlaMint-NO_2007-02-06.ana.ud797e613	The patient record is essential in providing the patient with adequate health care. The history of disease and the monitoring of symptoms, risk factors, family conditions and test responses are of great importance for the treatment to be implemented. This is crucial especially for patients who cannot account for their own medical history. Furthermore, the patient record plays an important role in documenting which treatment is given, at what time, and by whom. These conditions call for the journal to be available to those who need it in the course of treatment. On the other hand, accessibility helps to obtain it from unauthorised persons who are not required to have access to the file. The information in the patient records is of a sensitive nature. Often, the information is provided in a situation based on trust between treatment and patients. That is why we have strict rules on professional secrecy. However, patient information on a weighing basis may have a significant impact on the individual concerned. In particular, the debate on the transparency of insurance companies in the patient records of people is made visible. It is therefore important that patient records are subsequently treated. The switch from paper-based patient journals to electronic journals helps to reduce a not uncommon problem with paper-based journals, namely that they are being weighed down. The availability of the journal in question is a good thing for the patient and facilitates the work of health professionals. Nevertheless, there is an alarming notice in the newspapers that the unsolicited person can read the records without their right to do so. Report on the supervision of the confidentiality and availability of electronic patient records at Akershu University Hospital, carried out by The state health surveillance and the 2006 Data Protection Authority are thus alarming. The oversight revealed two deviations. One showed that Akershus University Hospital does not ensure that the privacy-related personal data of the electronic patient record system DIPS is properly protected from the transparency of employees who do not have a legitimate need for the information. Among other things, it was found that the systems of random peer-reviewing in journals were cumbersome and time-consuming. The second finding showed that the hospital had not carried out systematic risk assessments in relation to the protection of electronic patient records. DIPS is the electronic journal system Health East has chosen to bet on for hospitals in the region. Health surveillance in Oslo and Akershus received a statement of concern in 2004 that the system was not secure against unauthorised access. It has also been reported that there have been repeated incidents where the whole system has been down and, as a result, the record information has been unavailable to treatment personnel. Health care must be provided in such a way as to satisfy both the requirement of professional soundness and the obligation of professional secrecy. The obligation of professional secrecy under the Health Care Professional Act Section 21 implies that healthcare professionals and businesses have an active obligation to prevent others from accessing patient information. Section 16 of the Health Register Act requires the controller to provide adequate information security with regard to confidentiality, integrity, quality and accessibility through planned and systematic actions. I am pleased that the representative Wohnning has focused on the need to ensure better privacy with regard to patient records. It is essential that sick people can get help without fear of sensitive but nevertheless important information about them emerging.
ParlaMint-NO_2007-02-06.ana.ud797e630	First, I want to say that this interpellation actually has quite a timing compared to the Greatness discussed in the previous week in connection with Document No. 8:14 for 2006-2007, and Odelstinget’s treatment of Ot.prp. No 49 for 2005-2006, just how sensitive health information on the individual patient and privacy was is. Then we've come to the patient records, and they're undoubtedly the largest collections of sensitive and reliable information about individuals. These are information which is obviously necessary for the medical treatment and must be available to those who are required to have treatment functions. Without access to such information for those who should, and need it, a natural challenge to the defence of the health care itself is, of course, to avoid it. The challenge is to limit access to this information to just those who need it. There are several cases that have been mentioned here today, and as we all know, which have shown that unfortunately it is not a proper system, cork technical or – I would also point out – organisational, which prevents third parties from having access to and access to patient records. The supervisory authorities have established that an important reason is — and it has not been mentioned so much here today — that the structure of computer systems is poorly adapted to an organisation where health professionals work across posts, across sections and across departments. The fact is that this organisation, which is quite common in very many health care agencies, helps to ensure a high level of responsibility for very sensitive personal data do not achieve goals. In my opinion, it is alarming that in particular healthcare professionals have been so absent from their redeploying careers. I would like to ask the Council of State directly about these key issues, their obligations to pay attention and privacy, is the theme that is explicit in the discussions in the corporate meeting, and, if so, in what form these elements are reflected in the subscription documents. The old paper-based patient journal is not a better traveler than the electronic patient journal, rather on the contrary. I guess we've got good descriptions of that before today. But the challenge we are facing is that access to modern patient records must be regulated. Nevertheless, the system is also substantially based on trust. But there has to be a system that restricts access, and sanctions have to be established against those entering patient records without needing it. I think it was in 2005 or 2006 that it was a serious case that the sneaking of a set-up in a health care establishment in Northern Ireland was discovered. The subject apparently had no motive other than to be curious, but the subject had both seen and read sensitive information for which it is mandatory. I mean to think that the guilty person wasn't under the current law, and so he didn't get any punishment. If the current legal rules are not good enough, that is. that if such a look without legitimate cause does not give rise to legal sanctions, I believe that this story, this event, tells us that there is a need to change the law. I would like the Council to comment on this particular issue. Of course, the system and control, including the possibility of sanctions, are not enough. Long-term and continuous efforts to raise awareness of employees and to build good attitudes about the handling of the perhaps most sensitive information available about individuals in a society need to be much more focused than today. The responsibility for a satisfactory privacy within this sector is, of course, a responsibility for the management. The very top leader of health care services is the Council of State. I perceive the state council's posts today so that she takes this responsibility very seriously.
ParlaMint-NO_2007-02-06.ana.ud797e649	This debate has been marked by a high degree of consensus. Sometimes it may be good that it is not the party political differences and markings that characterise the debate here in the Chamber, but that it is the consensus on important issues. The representative, Ballo, had an interesting look at the differences between the degree of technical up-to-dateness of primary health services — i.e. that of primary doctors and those of hospitals. He did well when he said the hospitals were living in the electronic stone age. I'm going to think you've come to the bronze age in at least most places. But he is quite obviously right in that there are considerable differences, and he is probably also right in his diagnosis of what causes this. Only at one point will I reserve myself, because he used the term "conservatism" in a way that I don't appreciate, namely, as a description of – I had almost said – the spinal cord reflex that consists of opposing changes in this world. I would prefer to call that by other names than exactly 'conservatism'. However, in substance, the attention of the representative, Mr Ballo, is important. He also had another important point: that when discussing the economy in this context, it should not be forgotten that while there may be significant investment costs in choosing optimal technical solutions, operating costs are much larger by not choosing good and efficient solutions. If this is seen in a larger economic context, it is clear that it will also be good financial management for hospitals to choose the best technical solutions. Finally, let me repeat that I consider the response of the Council of State to be very positive and very satisfactory, and look forward to her following in action the promises she has made in terms of tightening up management responsibilities and strengthening the training function of all aspects of the specialist health service with regard to the care and care of the duty of confidentiality.
ParlaMint-NO_2007-02-06.ana.ud797e659	It is not in every debate that we experience that there is broad consensus, but I have, like the representative, the reward, experienced in this debate, and it is good in such an important matter. And then I also agree with the representative's salary in relation to what Ballo said here, that it's clear that there are challenges in the hospital system related to this and related to using electronic tools, but it's far from some rock age. New things are being developed that have come much further than what we find in a part of the primary health service, but it is not the most important thing here. The important thing is that we have a very clear set of rules. But it'll get better. I can assure you that we will send an express ban on unauthorised access to patient records at the hearing, as requested. We will ensure that personnel are adequately informed about both legislation and how it is to be practised, and what happens if it is not practised in the way it should. We also need to make sure that it is made even more informational for all those who should know more about this, that we get a standardisation of knowledge solutions, so that we have better control, that we are now conducting seminars and gatherings with those involved in hospitals, including private ones, and that of course we are also going to use the business meetings when appropriate, to ensure that this is followed up. I'll guarantee that this is going to be followed up.
ParlaMint-NO_2007-02-06.ana.ud797e666	That being the case, it is no. 2 completed.
ParlaMint-NO_2007-02-06.ana.ud797e684	Today’s interpellation concerns something that was very central to the 2005 election campaign. The question of filled or empty swimming pools occupied people, and the ‘swimming hall index’ became a concept. I was one of those who thought it was exciting that the Workers' Party would go out with the campaign 'We're going to fill up!'. One should not have much insight into the problem to realize that this promise would cost a little. However, a small roll of bathing around life at an empty pool became a strong picture. It created expectations. Access to swimming pools occupied people. It should take care of the Storting too. I'll elaborate on that. I could not, however, dare to find out how the Workers' Party's 'We shall fill up!' promise from the election campaign, and contacted the Norwegian Swim Federation. There I got the following answer: ‘We have not taken a new ring round, but with such a counter, there is probably a number between 15 and 20 that is either reopened or opened. However, it is probably also a good part that is closed. So the sum total is about 200 fewer basins today than 10 years ago." That's 25 pst. reduction and no change since the election. It's time for the government to take its campaign seriously. In this interview, I will take for granted the reasons why swimming pools should be on Stortingen's agenda. I want to focus on the needs of the school, on drowning, on health and generally self-organized activity, and finally on the conditions of the swimming sport as sport. Swimming facilities are expensive for municipalities, both investment and operational. Here you drew up some objectives in St.meld. No 14 for 1999-2000, Change in sport — also known as sport — and in the subsequent committee setting. However, without following up on changes in the framework conditions, the situation will not improve. I hope the Minister of Culture can agree to discuss how to do that. We have curricula in school that are very specific about what Norwegian students should learn. Competence objectives are clear at both 4th, 7th and 10th year stages. Students shall end up being able to ‘swim on their stomachs and backs and dives’ and ‘explain and perform life saving in water and life saving first aid’. According to a survey of 5th graders and their teachers carried out by the MMI on behalf of the Smömförbundet and the Rescue Company, only 46 pst. by the asked hat swimming. If this survey is representative, it means that 33 000 10 year-old students per year. year-olds have not received any instruction on swimming. Very many of them can't swim. It's dramatic. Among the students who had been taught swimming lessons, it was only 24 pst. which was given 4 hours per day. months or more. When I address this question to the Minister of Culture and not to the Minister of Knowledge, it is because installations are the prerequisite for action. If there is no swimming pool available, the Minister of Knowledge can do little. But he can appeal to the question. There was a big investment on the swimming pool 30–40 years ago in Norway. The number of children who could not swim went down dramatically. It was the result of drowning statistics. In traffic, we have a zero vision, but we allow 2,167 people to drown in the last 15 years, without this creating a lot of noise. There are 145 people per day. years! The fact that many children do not learn to swim could result in an increase in drowning accidents. With large immigration to Norway, the problem is not reduced either. We know that many immigrants need special follow-up in this area. A zero vision is at least as current for drowning as for road accidents. The swimming pools we invested in a generation ago are worn out. A new bet is needed. Swimming may be the health-threatening activity that can be performed by most people, whether they are young, old, disabled or disabled. There are 400,000 Northmen who say that they swim for the sake of the trim, and more people want it if they could. Studies show that there are among the most popular activities among young people and the elderly. In the swimming pools there are a total of 20 million visitors in a year, and there is largely unorganized activity. Swimming is one of the world's biggest athletes, and the practitioners there depend on facilities in line with other sportsmen. However, the sport of swimming is faced with completely different challenges than other sports. The development of sport requires, first and foremost, a swimming pool in the local environment, and then sport must be made available free of excessive costs. Practices vary widely in municipalities. In total, however, studies show that in a sports hall the organized sport disposes of 98 pst. of the time, while a swimming pool is disposed of only 7.4 pst. of the time of the swim. Swimming clubs carry out significant preventive work where the school is temporarily failing, but their activity is slowed down due to a lack of time. We need to bet on this. In St.meld. No 14 for 1999–2000, a plant mass to be adapted to the activity profile of the population is said to be very good. It was agreed that access to swimming pools was important, also in small municipalities and in smaller places. Additional incentives were adopted for these, but development has not progressed in the desired direction. Then you have to ask, why? There is no point in referring to the fact that the red-green government has granted so much extra to the municipalities. In sum, municipalities have added new tasks that cost a lot more, from the red-green ones. Specific and targeted measures are needed here. The wish of the Committee on the Rules of Procedure, the Verification of Credentials and Immunities, as the statement in the Newspaper today shows, that swimming pools are included in the loan scheme, is one step, but I do not think that is enough. The real bend I think is in the allocation of toys. In accordance with the legislation, swimming pools may receive up to one third of the funding from gambling funds. However, such a large proportion of support for the total funding needs is completely unattainable. The maximum support for a 25-metre swimming pool is one third of 8 million. kr, based on what I have found. Today, such a swimming pool costs a minimum of 50-60 million. kr, and in many cases it costs more. The maximum amount is completely out of proportion to reality, and the aid as a share of the total cost framework is too low. There will be an important signal about a perception that swimming pools are expensive, but that in a country such as Norway, they are essential for preventing drowning and are important for the quality of life of many people and for public health. Taking this into consideration by the Minister of Culture, he may experience that it is not just the fried bottleneck that is left after him in this area. Taking a hold of this constraint, the municipalities will experience it as a great stimulus. It is time for the Government to show that it was serious about its campaign 'We're going to fill up!'. This will cost a little, but the government can still avoid the smell of fried bottle. We might need a zero vision of drowning to get speed on the construction side. I hope the Minister of Culture takes the challenge seriously.
ParlaMint-NO_2007-02-06.ana.ud797e712	I fully agree with the interpellant of Gundersen that swimming is important for physical activity, rehabilitation and training. Swimming is an activity that is of great benefit and joy to many. Therefore, it is important to organise facilities that offer a good offer to all who wish to swim. In addition, swimming is one of the few characteristics you can actually die of not controlling, so it is also an important dimension of lifesaving – situations that we saw too often come up in Norway, unfortunately. Initially, I would like to stress that the representative's questions concern the responsibilities of several departments. Learning plans and requirements for swimming training are under the responsibility of the Minister of Knowledge, while responsibility for sport and state grants to sports facilities lies with the Minister of Culture and the Church. Furthermore, municipalities have an important role and a separate responsibility in both of these areas. Of course, the framework laid down by the municipal budgets also has a significant impact. This calls for joint efforts by different sectors and the use of a combination of instruments. The government has taken it seriously and has taken action in several sectors, which I will come back to after answering the first part of the representative's questions. The first part of the question concerns the follow-up to the ambitions of swimming pools in St.meld. No 14 for 1999-2000, Sports life in change, which was treated under the previous Stoltenberg government. The Sports Communication highlights a stronger priority for some sports facilities, including: the facilities used by most people. Swimming facilities are one of several types of facilities that are specifically developed. The answer to the question is short: Yes, I believe that the ambitions for swimming pools expressed in the Sports Communication have been followed up on the sport policy section. In this context, the figures are clear: as stated in the Sports Communication, 155 million were allocated. from the funds available for investments in swimming facilities between 1988 and 1998. It was equal to 6 pst. the total allocations to ordinary sports facilities during that period. During the period 1999-2006, there has been a sharp increase in the allocation of the funds for investments in swimming facilities. In this period, more than 450 million were distributed. kr for new construction and rehabilitation of swimming pool. It's equal to 15 pst. of total allocations of gambling funds to ordinary sports facilities during that period, i.e.: over a doubling of the proportion going to swimming facilities. Thus, in line with what was promised in the Sports Communication, it has been a strong, real priority for swimming facilities through distributions from games to sports facilities. It is now important to stress that the game scheme is based on applications for facilities. Thus, it is primarily the municipalities that are to be credited for the increase in the allocated games that has resulted in a swimming pool. It is the local priority that has led to this result. The Ministry has also significantly increased the grant rates for swimming pools in recent years. This is in line with the promises made in the Sports Communication and has contributed to the strong increase in the release of funds for swimming facilities in recent years. In addition, special provision has been made for large installations, with exceptional grants to them. The representative’s other question is whether I am satisfied with the financial framework for swimming pools in Norway. To that I would say the following: Government parties are very aware that the population of part of the country's municipalities does not have a satisfactory swim offer. That is why, as the representative has pointed out, it was also part of the 2005 election campaign. We considered it more important to provide for this kind of welfare measure – infrastructure and basic services for the population – than to provide for even greater tax havens and reductions in public budgets. We've taken action that, overall, has created good conditions to improve the situation at the country's swimming pool. The economic instrument in my portfolio in this context is a means of sport. As we have seen, more and more of these have gone to the construction and rehabilitation of the swimming pool. It is important to be aware that grants from the funds are reserved for investment in sports facilities. The cost of operating sports facilities is a municipal responsibility and is completely outside the playing field. In many cases, the operating costs experienced by municipalities are more problematic than the investment cost itself. The current government has increased transfers to the municipalities by DKK 12.5 billion in two years. We see that this has an impact on the sporting infrastructure. In several municipalities, better finances have given opportunities to reopen closed basins. Only during 2006 are 25 previously temporarily closed basins reopened. And you can't help but notice that as long as these basins are municipal -- and I think there's a broad consensus that they're still going to be -- it's the general municipal economy that decides whether reopening the pool is prioritised, towards nursing homes, home help, extra teachers or other important welfare measures in the municipalities. So the clear change of direction in saying no to tax bills and yes to better municipal frames is the main reason why municipalities should be able to do the job of reopening and refilling water in the pools. Then we also look at other possibilities to help municipalities, as well as the general framework. One possibility is the existing offer of interest compensation for school buildings. Under this scheme, municipalities may apply to cover interest on investments in school buildings by the State. The Ministry of Knowledge is professionally responsible for the scheme, while the Ministry of Local and Regional Affairs is responsible for the budget. This is a system I know very well, since in its time I was the Minister of Education who proposed it. We proposed using 15 billion kroner over eight years. It has gone faster than expected, and in this year's budget, the scheme has been extended by NOK 2 billion – i.e. 2 billion new ones being distributed to municipalities. Many municipalities have taken advantage of this possibility. The regulations also provide for the construction of a swimming pool associated with the school to be part of the scheme. This has been shown by the municipalities to use. In this way, even more municipalities will have predictable and favourable conditions for investments in the swimming pool. Then, of course, the government has come to realize that in the attitude of the Church, Education and Research Committee to the Stortinget it is called: «The Committee notes that the interest-rate compensation scheme for the refurbishment of school buildings has been very successful and refers to the continuation and reinforcement of this scheme.» I have also noticed that the Committee asks the Government to consider a future extension of the scheme for swimming pools not associated with schools but used for educational purposes. It is clear that part of the smallest pools, let's say those less than 12,5 meters long, associated with school buildings, which were the training pools in the old days, are not always appropriate to reopen. Instead, many municipalities choose to build a central facility used by all schools, and the general population, perhaps in connection with a larger bathing facility. We are now working on how we can follow up these comments from Stortinget. It's under the Department of Knowledge. There is an assessment of how to implement this. My response to the representative is therefore that I am well pleased with what this government has done to improve the financial environment for the investment and operation of the country's swimming pool. However, I am not satisfied until the availability is such that everyone who wants it has a good swim offer. This is a goal to go after. But I am sure that the grips the Government has taken will improve the availability of the swimming pool and thus promote swimming training, rehabilitation and physical activity for both children, youth and adults.
ParlaMint-NO_2007-02-06.ana.ud797e759	I thank the Minister for the answer. I'm very happy that you're working on this, something else would surprise you, as it was probably a unanimous committee behind this recommendation. I think, as the Minister of Culture was concerned about himself, this is a cross-ministerial responsibility. It affects many departments. We have curricula in school that obviously can't be filled. It is clear that it is not the Minister of Culture's direct responsibility, but it is the Minister of Knowledge. So it could be interesting if you actually took this up at a cross-ministerial level and discussed actions across the spectrum. I am happy to hear that he feels that you have done a lot, but that you are not satisfied – there is a lot left. But the vicious discussion about tax policy and transfer to municipalities can always come back to almost any case here in the Chamber. I just wanted to point out that there we have completely different angles of incidence. We believe that a tax policy that reduces the burden on people leads to increased value creation and thus higher tax revenues in the long term, so that we release funds for this type of investment. I would like to point out that when you have been dealing with different issues in Stortinget, you have also seen the tasks that have been followed up with the additional allocation to the municipalities. If you add it, I actually think the problems are much bigger than the money that's come with it. But I don't think we should go on. Of course, we have municipal autonomy here. It's the municipalities that have to do the job. Centrally, you have to make sure that they do the job properly. And there we see that the results are not good. I agree with the Minister of Culture that we should not just count the swimming pool, because there is a good deal of swimming pool that obviously is never really meant to open again. And it could be that you have a lot of 12.5 meters of swimming pool spread around the municipalities as it is now much better to replace with a new 25 meters pool, or even 50 meters of pool. But then you have to realize that it costs a lot of money. There's a lot of investment for the municipalities. And that's what we see in ourselves, by the fact that there's been a lot more money from the games to the swimming pools, but still it doesn't help in the overall picture around. Too many people don't have access to a swimming pool. There are too many people who do not receive swimming training as intended, and hence drowning accidents and that type of problem. Here, it's important to keep focus on the future.
ParlaMint-NO_2007-02-06.ana.ud797e770	I am very pleased with the broad connection that especially when the Workers' Party gets for its election campaigns. This was something we talked a lot about in the 2005 election campaign, that the municipalities lack resources to do this. But the answer was that no, the municipalities had enough resources, it just wasn't efficient enough, it wasn't privatized enough, or it wasn't rationalized enough. We thought it had to be converted – and the money had to be taken from somewhere. Now I'm not going to make this a discussion about using more oil money. But just think of the situation of a municipality that is in a press area, and wants to rust up the swimming pool. Well, you have to find plumbers, carpenters, electricians, masons and craftsmen, who can alternatively be very busy putting heat cables in the driveway of the country to these people who have got the big tax havens. There is simply a lack of professionals to do the job. We notice that now when we build the opera. Some newspapers have reported that costs have been higher than estimated, not because there are exceedances in the project itself, but because the price growth in this industry is stronger than in other industries. Therefore, a government will have to find the money that, among other things. shall be used for the training of swimming pool, the employment of bathguards, security officers and whatever it is. We must have a comprehensive economic policy. And then it's important to turn the money from, among other things. tax incentives for a solid municipal economy where this can be implemented, not only in the broad sense, in free resources that municipalities can use, but we also need to look at possible earmarked schemes, either through sports or through loan schemes for school buildings and, if possible, changes to those regulations, if possible. These will of course be budgetary matters, so it will of course be dealt with in broad, comprehensive government, and then assessed in that context, just in order to achieve a comprehensive economic policy. Let me also say a few words about the fact that the main source of earmarked grants for swimming pools is the sports equipment from tipping. What we're doing with our ticker ego -- we're cleaning up in other games -- is making sure that Norwegian Typing keeps its position, and that they develop their games that led to a new trading record in Norwegian Typing in 2006 -- sales increased by half a billion. This leads to 50 new millions on the construction side of sports, which will again benefit swimming pools and swimming facilities. So the overall game policy that we are pursuing is also helping to lay the foundation for municipalities around the country to develop different sports facilities, including swimming facilities. I think the zero vision is a brilliant idea. We know that there are also some drowning accidents associated with alcohol/drug abuse, so we have a long canvas to fade to reach that zero vision – not just build swimming facilities and have swimming training, but pursue a comprehensive policy that contributes to such vision implementation.
