ParlaMint-NO_2007-12-18.ana.ud731e131	The representative, Mr Solvik-Olsen, will put forward a proposal for a representative.
ParlaMint-NO_2007-12-18.ana.ud731e515	It's going to be line change.
ParlaMint-NO_2007-12-18.ana.ud731e518	The representative, Lund Bergo, said that in the past they were voluntary teams and organisations funded by gambling, which created major social problems. The typing key is probably still present, and the volunteering of gambling is still being financed, even if it is not machines, for which he is probably aiming. I want to ask the representative Bergo questions about the grass root fraction. In the 22 largest cities in our country, there is an incredible diversity of voluntary teams and organisations. Does the representative of Bergo think that the countless voluntary teams and organisations in the big cities that have to fight with the ten major humanitarian organisations about this grassroots share – which still does not make up more money – are they part of the already existing distribution – going to get more money?
ParlaMint-NO_2007-12-18.ana.ud731e525	It is surprising that the representative of the Progress Party is concerned that people themselves should be allowed to decide what part of their waste is going to do, and that they prefer the state to control that money. But I'm recording what the representative means. I believe that the grassroots ratio is basically an attempt from Norwegian Typing to get more gambling going to get more money in the cash register. I think it's all right, if there's gambling that doesn't create more addiction, and it's called harmless. Now let's see what this is. I think that in itself is a creative measure. It's not a big or important thing. But it's a creative grant from Norwegian Tipping. What I think is most positive about it is that it can ensure that we can now bring in organisations that have not previously been searchable for these funds. But I see that the big ones can come in. I think there might be a problem in the cities. But I think in small communities we'll see that it's the local teams and organizations that get these grants.
ParlaMint-NO_2007-12-18.ana.ud731e532	In previous line changes in budgets and cases during the previous period, we have been within the limits of what should be government or public tasks and what should be the tasks of the voluntary sector. SV has previously stated – I think it was the representatives of Lund Bergo and May Hansen – that e.g. parts of the activities of the Blind Alliance and the Rescue Company could also be State tasks. I want to draw that issue a little bit further, in relation to the involvement of non-governmental organisations in the area of child protection institutions and rehabilitation – to use one example. We could also mention on the hospital side, for example. Revmatism Hospital, of which the Sanitation Association is concerned. How does the representative Lund Bergo view the ownership of these activities by non-governmental organisations? Does the representative of Lund Bergo think that these are establishments which should preferably be State-owned?
ParlaMint-NO_2007-12-18.ana.ud731e539	Yeah, basically I'll do it. At the same time, I live in Norway. To put it that way, I guess we can do so much history that we're happy that the voluntary institutions existed when the state didn't see it as interesting at all to deal with those who might have been the worst. And it works. What I'm skeptical about is when the type of business that the representative Thommessen mentions is turned into business – business. I'm probably a lot more positive to that Freedom Norway can do this. I have the principle that I want the state, in any case, to take responsibility for the financial framework and operation and the problems of this, and to solve the problems. But for decades to come, we're going to take advantage of Freedom Norway, I think of it as a natural thing. In any case, I believe that even if the State has a primary responsibility, we will always want an additional offer from volunteers, in addition to what is a state norm for such a business.
ParlaMint-NO_2007-12-18.ana.ud731e546	Most sectors are mentioned in voluntary notifications, both welfare organisations, minority organisations, sports organisations, children’s and youth organisations, etc. But it's a group that's completely left out, and it's the environmental and outdoor organisations. What's the representative Lund Bergo's comment on that? Is it because environmental organisations are very critical to challenge the sitting government – the same as it is – if there are things they are not content with? Is it their critical attitude that one has not taken them along, or is it a mistake? The second is the VAT Compensation Selection. We heard here that the Center Party was surprised that this was about to cancel out, for example. a zero rate was not included in the mandate. Was SV surprised by that?
ParlaMint-NO_2007-12-18.ana.ud731e555	First of all. That's not exactly what Molvær Grimstad says. I agree that there is not much about environmental organisations, but it says something. The nature protection association is mentioned, Bellona is mentioned, the Norwegian Tourist Association is mentioned – so it is mentioned. I will claim that in SV we have hot thoughts for the environmental protection organisations, and we will make sure that they are viable in the future as well. So the second question -- and the answer is really a little bit the same. Very familiar we will get this on the table in mid-February, and will then probably be able to deal with it in the spring. I should also like to see that the VAT question was dealt with in the message, but that is not the case now. Then we will have to take it in the broad political context when this is available.
ParlaMint-NO_2007-12-18.ana.ud731e563	The cord shift is over.
ParlaMint-NO_2007-12-18.ana.ud731e566	Voluntary sector is used to fine party speeches. We all agree that voluntary engagement is important and has a lot to say to a lot of people. There is broad political agreement on this. But when it comes to handling the volunteer messages, we see clear political distinctions between the right-center on one side and the left-hand side on the other. Yes, there are different views of the relationship between state and civil society. Rarely has it been clearer than now. On 16 June 2006, the Opposition Party shall produce a Document No. 8 proposals to improve the framework conditions for the voluntary sector. St.meld. No 39 for 2006-2007 Freedom for all was expressed on 10 August 2007, more than one year after the presentation of the draft representative. When the message finally arrived, I expected a review of the themes we included in the proposal for a representative. It has not happened. This may include: say that we have a different view of the relationship between state and civil society. The Christian People's Party wants a voluntary sector of freedom to exist on its own terms and by its own means. It may look as if the Government sees voluntary activities as triggering government policies. The Christian People's Party places emphasis on free means. The government wants direct government support. The Christian People's Party will use fiscal instruments that provide good framework conditions without State override. The government wants direct support with leadership to achieve its own goals. The government reveals the instrumental approach in the same way as when we handled the cultural budget a few days ago. The representative Espen Johnsen was within the Christian People's Party's proposal in the position on the green card for children and young people. It's not a management of voluntary teams and organizations, it's a gift card that allows all children to participate in leisure activities. Those who are involved in voluntary work do so on their own merits and on their own commitment. We need to take care of that. It will then have to facilitate the development of the sector's own resources. In a chronicle published in the Evening Post on 15 November, Håkon Lorentzen writes at the Institute for Social Research: ‘The development thus weakens the role of national organisations as stakeholders and strengthens them as state entrepreneurs.’ Debate editor Knut Olav Åmås followed up in the same paper on 19 November. There he reflected on the danger that the critical role of voluntary organisations would be weakened when the government wanted organisations to set public goals. He writes that the sector is 'pressed by the state and local government sector, who intensively want help to solve their inflating tasks'. Dependence between the country and the voluntary sector must not make voluntary organisations the hub of the country. I'm concerned that the government over time weakens the national organizations as knowledge bases, drivers of activity, and as corrective to public power. We have to respect volunteering and organisational life for what they are, not just for what they do. The voluntary sector is an important correction to public power. I ask myself why not the nature and environmental sectors are mentioned in the message more than with keywords. Is it because, as the Government sees it, they don't provide community-based services? Public ownership and participation in environmental policy debate are central to anchoring and solving the major environmental challenges we face. The value of open air life for good quality of life — through the combination of physical activity and natural experience — and the attitude of the environment and sustainable development must bring with it a completely different focus on the voluntary field than the government puts forward in the message. The government has given the impression that they will come back to the zero rate question for the voluntary sector once the Culture VAT selection has delivered its opinion. But then it turns out that this is outside the selection’s mandate to assess, as the Minister of Finance also confirmed on direct questions from the signatures of the question hour earlier in the fall. I'm surprised and realize that volunteering is a good idea. The Christian People's Party believes it is necessary for the Government to put forward a case in which the service tax, the VAT rate and the VAT rate for voluntary teams and organisations are assessed. I would also have liked the red-greens to want more knowledge about key fiscal instruments that provide better framework conditions for voluntary action — and greater freedom at the same time. The Christian People's Party wants to strengthen voluntary action that does not override. That's why we have a number of suggestions that can contribute to it. Voluntaryness is important for what it is, and for what it has to say to individuals and to society. I would like to address the proposal that we have in the vote.
ParlaMint-NO_2007-12-18.ana.ud731e603	The representative May-Helen Molvær Grimstad has taken up the proposal to which she referred. It's going to be line change.
ParlaMint-NO_2007-12-18.ana.ud731e608	I had believed that in the setting – and at least in the post now – we had been told how the Christian People's Party will stand up to that part of volunteering that is not insignificant, and that from 2009, with the Christian People's Party's arrangement, will lose NOK 1 billion. It's a pretty comprehensive sum, and I think it would be good for the volunteers to figure out what kind of policy the Christian People's Party has for these organizations. The Christian People's Party is opposed to the game policy of which Walterd Replystad Haugland took the initiative, and which is now being followed up. The Christian People's Party will use its entire Norwegian Tipping investment fund in 2008 – and thus go away from the agreement we had with volunteering. The consequence of this is that from 2009 on, volunteering with 1 billion DKK is less in income than it has had in the last year, and it will have in 2008 and 2009. Then it is strange and surprising that there is no cork in the setting of the cultural budget, in the financial setting, or in the setting of the volunteer message, how the Christian People's Party has intended to claim that DKK 1 billion will be lost for volunteering. How will the Christian People's Party deal with this?
ParlaMint-NO_2007-12-18.ana.ud731e617	I'm happy for that question. The Christian People's Party felt it was important to strengthen voluntary teams and organisations. And if we were so lucky that we had got multiple numbers on Stortinget to remove the slot machines, which have given very many gambling problems over time, we would also be taking responsibility over the state budget to strengthen volunteer teams and organizations. We have not received a majority for that, but in the state budget for the current year, we have proposed additional measures in addition to the Government's proposal both when it is due to pay, which has been proposed to increase from NOK 4000 to NOK 5000, and the limit on the employer's tax. That would give you 10 million proceeds. kr. The tax deduction for voluntary teams and organisations has been proposed to increase from NOK 12 000 to NOK 18 000. This will mean a great deal for voluntary teams and organisations. But I think that if we had got multiple numbers, we would have to have allowed more money for research, such as. to the Cancer Association, which has not received funding from the State budget for research. The Christian People's Party wanted our offensive with it.
ParlaMint-NO_2007-12-18.ana.ud731e624	It could have been tempting to take a round with the representative Molvær Grimstad on all the good suggestions that have been made in this room on gambling policy, and that Molvær Grimstad has voted down, but I will not. I want to go back to volunteering. When I read the setting, I was initially a little worried. It's a pretty aggressive opposition, which is negative at almost all possible points. I was more reassured when I read the notes from the consultation rounds and saw that the opposition's moments had little support for them in fact, namely Freedom Norway. I think of this a lot like a reconstructed contrast in terms of the view of volunteering. When it comes to being instrumental, we have been and are – in part. And then we are careful that there should be autonomy in the sector at the same time. Does the representative Molvær Grimstad think that there is a fundamental difference between opposition and position in the view of autonomy, or is there a degree difference?
ParlaMint-NO_2007-12-18.ana.ud731e633	What is important for the Christian People's Party is that we strengthen voluntary organisations – without demands. During the budget debate a few days ago, Minister of Culture Trond Giske, when it came to the leadership of the Year of Manhood, was quoted on what he said to the Class struggle – I believe it was there – that the organizations were evaluated according to whether they had achieved their goal of government. What we do not want is to use the voluntary sector to implement the policy objectives that we set. We'll let the volunteers themselves come up with an idea of what they think is important. When it comes to voting down good suggestions, the SV has gone to the Christian People's Party a long time after they have come to government. It is good proposals – not directly before the game policy, but in other areas – that are voted down by SV today, and one would believe that SV would be with and support, for example. to abolish VAT and to get a case on it. We will continue to do good things. The SV shall have a honeymoon. When it comes to gambling policy, it's those who've gone the farthest, and I should like them to continue to do that.
ParlaMint-NO_2007-12-18.ana.ud731e644	The representative of Molvær Grimstad places great emphasis on the difference between the state and civil society. We are from the Center Party's side some with the Christian People's Party in that it is important to ensure independent financing of the voluntary sector. That's exactly why it's important. the importance of reducing the use of project materials, as pointed out by the Committee. But then it happens that society wants to achieve some goals in other areas. I could say, as an example, putting money into the public health area. Is it so to understand that the Christian People's Party believes that voluntary organisations that might initially work on that kind of problem setting should be excluded from applying for these funds? Does the Christian People's Party mean that that kind of means should go unabated to public institutions and actors alone?
ParlaMint-NO_2007-12-18.ana.ud731e651	The Christian People's Party has never said that organizations cannot search for funds. What we're responding to is that a set of more and more money targets and asks the organizations to use it for that purpose. Strengthening the public health perspective is very good, but volunteering teams and organisations must be involved in making a contribution to the premise and guidance for how they want these funds to be used. There should not be such a level of detail management from the Government’s side that if the money is used specifically such and such, then a person can get his action plan implemented, and that’s good. We want voluntary organisations to be involved in and run and decide what they want to bet on, and the state would like to make money available.
ParlaMint-NO_2007-12-18.ana.ud731e656	The cord shift is over.
ParlaMint-NO_2007-12-18.ana.ud731e659	Volunteering in Norway has a rather special role, it has historically had a very special role, very different from much of European volunteering. The European voluntary service has been most charities, while the Norwegian voluntary service has been most affected by maritime aid — organising to meet the challenges of a local environment. The vast majority of Community solutions we have in the country are based on voluntary initiatives. It's about our hospital services, it's about the education of nurses -- as the historic, beautiful left lady Fredrikke Marie Kvam started up here in the country -- and it's about social assistance, which was really a game system, where everyone in a building got together and the house had special challenges, for a few months each. The legend system was not a system that is considered to be particularly fine from the point of view of human rights and dignity, as we are talking about. But it was a pretty incredible system. I think I see the system implemented today – that people with special challenges should come home socially to each of us, and that we should take responsibility for them for them for a few months each. It is clear that there was a large amount of social intervention based on voluntary efforts and initiatives. Until today, for example: in the crisis centre movement that has been working against incest — efforts have been based on voluntary initiatives among people who have been very committed to issues they want to solve. So society, the community and the state have taken over gradually. Virtually all parts of our social community have started through burning fires that have been engaged in solving a social challenge. The state has been very little innovative in this area. It is therefore important to facilitate the innovation that is voluntary in relation to Community construction in the future. That is why it is important not to red tape. That's why it's important to facilitate people's initiative, people's desire to spend money on different things, being channelled that way. For this reason, the Left has been very much involved in launching some major projects to get something done – not just with bureaucracy but with VAT regulations, with voluntary donations giving tax deductions. It is also about the employer’s fee. There has been no more than one year since the Left presented a Document No. 8 proposals to increase the limits of the employer’s contribution. Then we heard from the government that it was impossible to implement. Today they're trying to reach the goals left set, and they think it's very nice. I want to stay at this grass root, which we now heard was not a suggestion from the Government, but from Norwegian Typing. For me, this is a fundamental difference in the approach to volunteering, because what you focus on is where you put the funding. By providing all funding through the public sector, it will be important for voluntary action to adapt to public policy. By adding all the funding to the private sector, you turn it that way. We in the Left believe that there must be a variety of sources of income for the volunteers. But what you do with the grassroots percentage is you focus on organisations having to market themselves to the big players. So it's not going to be the most important thing to focus on the activity, it's going to be on the marketing of the sea. For me as 4H's, it is important to market 4H in those arenas where you meet the big players – those who spend a lot of money. There won't be any more money out of it, because it's just 5 pst. of what you already have there. Then you're going to spend that money focusing on marketing to the big players as an activity in non-governmental organisations. What the Left believes is that a rather need to open up to organisations to develop their own games, so that people actually support the organisations they want to support, through other games and not through Norwegian Typing. Today, Norwegian Typing has acquired a position in the distribution of money both for volunteering, culture and sports that are out of proportion to what was the way of thinking. There are many challenges here, but it is clear that there is a fundamental difference in the approach between the opposition and what the government has presented.
ParlaMint-NO_2007-12-18.ana.ud731e677	It's going to be line change.
ParlaMint-NO_2007-12-18.ana.ud731e680	The opposition has gathered on a common ideological attack platform they call an instrumental approach. The paradox is that a number of organisations themselves have an instrumental approach to what they do. As the representative Skei Grande pointed out, there are a number of organisations that have really been the forerunners of Velferds-Norway. It is the abstinence movement, the Church’s City Mission, the Sanity Women, the Rescue Company and the Red Cross – organisations that are asking for public money today to solve the necessary welfare tasks. Does the Left believe that these organisations should end this? And if not, does the Left believe that the municipality and state should not make any demands as to how this money is used, or have any idea of how this money should be used?
ParlaMint-NO_2007-12-18.ana.ud731e692	Now I think we have to go a little round and frame up these organizations, because there are actually some of them who don't receive public support – which basically don't want to receive public support – because they want to do the task they're doing, without such support. For example, Norwegian Women's Sanitation does not receive public support. Enough about that. What's the starting point of the left is that we think you have to have a variation of channels. We believe that organisations must be able to create their own revenues, preferably through games, which historically have been the arena to do so. It is also a matter of providing public support specifically to small organisations, to children’s and youth organisations and to those organisations that work too little resources. Then we also have to have other types of grants. We are not opposed to public support, but we are opposed to public governance governing what people should do and to public governance, for example. consider people in organisations to motivate organisations to do things they don't really want to do.
ParlaMint-NO_2007-12-18.ana.ud731e701	When a representative hears Trine Skei Grande say about the grassroots part, the impression is that the organisations locally are going to convert the whole business from what they are doing today to market itself in relation to this 5 pst. grassroots parts. Then is my question to Trine Skei Grande, who highlighted own lottery as an alternative source of income: is it that the organisation's own lottery doesn't have to be marketed? And is it that the marketing done for the grassroots part leads to heavy expenditure for the local organizations?
ParlaMint-NO_2007-12-18.ana.ud731e708	At risk of being a little instructive to Mr. True with regard to history here: it is true that the voluntary organisations were initially those who had a monopoly on the waste part in Norway. It's a historical fact. So it was that you started with a lot of money for a special case, so that the state would kind of go into the game market for one thing. Then you started typing, then you started with Lotto, and then came the Flax block. Then the Prime Minister promised that there would never be any more new games, and he promised that there would never be any more scratch weight than this. Now the vending machines were to be the organisations' market. In fact, the organisations were refused state support because they had not entered the automatic market. And then the state thinks that you should also take the vending machine market. At the same time, all new games are limited – and frozen – while Norwegian Typing is given free ropes to one after the other, with great creativity, while access to the NRK is also available in the best possible time. So what Sande said is, to put it mildly, historyless.
ParlaMint-NO_2007-12-18.ana.ud731e715	The representative, Trine Skei Grande, warns against being a teacher. I could return it to the representative when she claims that organisations like the Sanity Women are in principle not receiving money. Now it is the case that women in health care run large, important institutions and receive millions of public funds, just as a number of other organisations do. Does the representative think that when public authorities have bodies about the quality of these services, then this is an instrumental approach and that the state and local authorities should not have any idea of how these large appropriations should be used?
ParlaMint-NO_2007-12-18.ana.ud731e722	There must be a big difference between participating in a bidding round in order to provide services to the public or to carry out voluntary organisational work. The Norwegian Women's Sanitation Association is not supported by its organisational work. They actually spend most of their time collecting money for the social work they do. However, they also provide some services to the public on the basis of tenders, and then there are common tendering rules applicable to these organisations, as is the case for other private actors. That's how we've done it in the distribution of tasks between the private and the public with us.
ParlaMint-NO_2007-12-18.ana.ud731e727	The cord shift is over.
ParlaMint-NO_2007-12-18.ana.ud731e730	Just a little case information in relation to the line change, so it shouldn't be suspended in the air: it was the previous government that introduced a freeze for new games. The current government has lifted this freeze and granted approval for new games, including from voluntary action – only to clarify it. Voluntaryness means a lot to us. Without sport, culture and other non-governmental organisations, Norway would be a much poorer country. A good society depends on good welfare arrangements. But a strong civil society and a strong community are also involved in creating a society where everyone is involved – perhaps the most important factor in creating a society that is good for everyone. This is why the Government has promoted a big message of volunteering, the largest and most comprehensive review of Norwegian volunteering ever, where the voluntary sector is recognised for its invaluable efforts and where it is stated that the framework conditions for volunteering should be improved in the years to come, and where, at the will of volunteering, the importance of volunteering is made visible. It seems that the opposition confuses a description of the great social importance of volunteering with an instrumental idea that this is the objective of voluntary activity. I appreciate the fact that an overall committee is behind the main message in the communication, namely that the voluntary sector is important. The voluntary notification has as one of its main objectives the experience of organisations of a good support instrument from the public, smaller bureaucracy, simplified support schemes, tax havens and new actions, such as a voluntary register and amended lottery rules facilitating voluntary activity. The notification also warns that in the future there will be less project support and more direct support, so that organisations themselves will have greater freedom. In addition, we significantly improve the framework conditions for voluntary organisations. In the Communication, the Government proposes a historic voluntary effort, a voluntary billion – an annual increase in payments from Norwegian Typing to the volunteering of DKK 1 billion. I heard the representative from the Progress Party talk that the message was not concrete. Well, it's very concrete. This billion is going to be over 300 million. more in the year of sport, and solid increases to many non-governmental organisations, inter alia. The rescue company. They hoisted the flag to the top and celebrated on their websites when the volunteer message came. In 2008 and 2009, we will in addition spend SEK 1.4 billion on ad hoc support for organisations that have lost large revenues following the ban on machines, so-called transitional funds. I remember that one last greeting from the previous government to these organizations was that these transitional funds, which at that time were estimated at about 900 million. NOK, should not come because the organisations had had such extra income. Now they've had a lot of extra income in addition to it; yet, the government provides good transitional resources. We are introducing a new support scheme for the local laws, the so-called grass root fraction. Anyone with a Norwegian Typing game card can choose a local layer or an association that you want to support and that will receive 5 pst. bet by the player, regardless of whether the player wins or loses. It could be between 400 and 500 million. kr right on the account, to sports teams, to corps, choirs and other local teams. Anyone who has operated a local team knows what NOK 10000, NOK 30,000 or NOK 100000 are entered in the account. This will be a real handshake to the local volunteer. It's almost not to believe that the opposition parties are opposed to this. But I am happy for the discussion when the money begins to enter the corps, choirs and sports teams – and to tell you that the Left, Christian People's Party, Right and Advance Party went against this. The money wouldn't have gotten into these accounts if they had got it as they wanted. We also reduce taxes on volunteering. As early as next year's government budget, the tax-free compensation limit from voluntary teams is doubled from NOK 2000 to NOK 4000, and the reduction limit is raised from NOK 30000 to NOK 45000. This will make it easier to provide compensation for those who make an extra effort. Again, this represents 1 per million of the tax burden that the previous government gave in total. Nevertheless, there was no place for this tax base in four years. There were others, the richest, who were most important. The hard work is an important part of voluntary work, but when all the fires in the volunteer get better working conditions, they can spend their time on the most important, namely the activity that engages them – whether it is sports, culture, social work, local charity work or other things. It's our approach to volunteering. The most instrumental approach must be to force the will to spend even more time on money collection rather than on the activity they decide. Voluntary efforts in Norway are very much too important for societal goals. A great deal of effort is being made, including: in the fields of health and youth work, rescue services and international solidarity. But that's not the goal of volunteering. The goal of volunteering is that the people who engage in it can decide for themselves what they want to do, get involved in what they burn for, and do voluntary work where you cultivate your own interests, develop your abilities and feel like part of a community. The good interaction between the public and voluntary sectors has helped to make Norway a better country to live in. Many new services are first developed by voluntary activities and then taken over by the public. That's the way it's going to be in the future. The Norwegian Women's Sanitation Association is mentioned here. They built the first institution for patients with tuberculosis and showed the way to control the disease, and the service was gradually taken over by the public. Some of the replicants have claimed that the message fails to mention those organisations that are critical and challenging power. They have now received a response from the government parties that they are actually mentioned in the notification. But, fortunately, the voluntary sector in Norway is so large that if we were to talk about every organization and every team, we would have to double the size of the notification.
ParlaMint-NO_2007-12-18.ana.ud731e759	It's going to be line change.
ParlaMint-NO_2007-12-18.ana.ud731e763	I think it is significant when the Council of State says that he would like to hear what the Christian People's Party, the Left, the Right and the Advance Party say when the money starts to fall in. Maybe he doesn't hear anything for a while, because we don't know how this money should fall in, and we don't know how much money it is. Governments refer to the volunteer billion. He should have boasted that he has actually volunteered in front of the billion and that there will be real money for volunteering. But before the introduction of automatic monopoly, there was a surplus out to volunteer teams and organizations of $4 billion from vending machines. Then I wonder what the government wire is going to spend the rest of the profits from vending machines for, because I assume that this billion he's talking about after 2009, is on the profit from vending machines.
ParlaMint-NO_2007-12-18.ana.ud731e770	Now, fortunately, it's going very well for Norwegian Typing. The representative, Woldseth, knows very well that the aim of the automatic reform was to significantly reduce turnover. We would not have had the same profits from Norwegian Typing's gaming terminals as what we have had from the machines, at least not as it was in the peak years 2004 and 2005. The real disaster of Norwegian voluntarity would have come if the Progress Party had been able to implement its policy of liberalising gambling policy: free from foreign companies, preferably with a licence, but which is very difficult to control – as we saw with the automatic reform – with increased gambling dependence, major social tragedies and less money for Norwegian voluntarity. This must be the worst policy, both in terms of social consequences and not least in terms of income for teams and organisations in Norway.
ParlaMint-NO_2007-12-18.ana.ud731e777	In its speech, the Council of State said that this as perceived by the opposition as an instrumental approach, namely that the policy objective is rather systematically linked through the communication to voluntary activity, they consider as a purely descriptive. Then I would like to point out that there is something about which signals you give, and how they are perceived. I want to go to the state budget, where we had a post that meant that Freedom Norway would have its own position, a person who would work with – I think it said – the integration perspective with voluntary organisations for next year. Now it's probably not entirely random that it's just integration that it should be working on, in connection with that we're facing a year of diversity. How does the Council of State feel that this person is going to work? Doesn't the Council of State see that it's very close to seeing such a grip as a pretty instrumental act against non-governmental organisations?
ParlaMint-NO_2007-12-18.ana.ud731e784	Clearly, an instrumental grip is called politics. Our policy objective is for all people in Norway to have equal opportunities to participate in organisational life. I actually thought it was a goal right divided. We see that people with a minority background are less involved in voluntary laws and organisations, especially those newly arrived in the country. We don't think it's because the organizations have set themselves the goal that they don't want immigrants. We think there are some structural problems here. Freedom Norway is concerned about it, and they have written it in their volunteer manifesto that they have made together. That is why we have made it possible for them to carry out what they themselves want. But, of course, it is also a political goal for people with a migrant background to participate in teams and organisations. A proper way, at the will of Freewill in Norway, is to have a central coordinator who can work, facilitate and help organisations with their goals. But if there's an organization that doesn't want immigrants, then it's a shame, and I want to counter it politically, but of course we shouldn't force it on them. But I really hope that the Right agrees with me that this is an important goal.
ParlaMint-NO_2007-12-18.ana.ud731e791	When one belongs to the government party, one should believe that this was a volunteer message that everyone was very pleased with. But when we have listened to the organisations, there are many who are content with the description, but who do not think the measures are good enough. Voluntaryness Norway, which has been mentioned several times here, was very disappointed when they received a letter from the Government stating that a zero rate is not included in the mandate of the VAT Compensation Selection. One accepted that the problem was not part of the message, but when one knew that this was not in the selection, the disappointment was great, because many voluntary teams and organizations say that if something is done about the VAT problem, it will be the most likely thing for voluntary teams and organisations to do. Therefore, I am surprised when the government party will not even be on the proposal where we ask the government to sort out both service VAT, graduated VAT and zero rate, so that voluntary work is strengthened.
ParlaMint-NO_2007-12-18.ana.ud731e796	Firstly, it was on our own initiative that we promoted volunteering before VAT issues were clarified – this is done in a separate inquiry under the Ministry of Finance. Secondly, it is nice that volunteering is actually in the sample, both Freewill Norway and the sport movement are there and have the full opportunity to address the questions they want. Thirdly, of course, we will have a difficult process afterwards, and I have no faith that volunteering will not promote its views and arguments. But it's strange that the government party from the previous period, the Christian People's Party, did nothing about this when they were in government position. They sat there for seven out of eight years until 2005 and provided government budgets, without improving the VAT situation for voluntary activities. This could be done for the purchasing system for goods, which has been in existence since 1997, and could also be done after the VAT reform in 2001. I understand that the Christian People's Party has far greater ambitions and hopes for the framework conditions of volunteering with the Workers' Party, SV and the Center Party in government, and that's all there is to have.
ParlaMint-NO_2007-12-18.ana.ud731e803	Espen Johnsen said that if you disagree with the Government, you're against volunteering. I know that there are a good number of organizations that have been very critical for the introduction of grassroots share, and I guess they are then defined as against the Government and also against the volunteering. I won't tell them their names, because then maybe they won't get any support in the future. Nevertheless, I would like to take the opportunity to ask the Council of State to guarantee – ‘you get rid of me’ has disappeared a little as a concept, because it does not matter anyway – that there will be no bureaucracy linked to the grassroots percentage. Can you guarantee that income increases so this isn't just a redistribution? And can you guarantee that the small district organizations will be the big winners, as Erling Sande said, and that it's not the clan, which is a very good purpose, and the Vålerenga who gets it – that the little ones might get some money?
ParlaMint-NO_2007-12-18.ana.ud731e810	The President will remind you that all speeches must be made through the President.
ParlaMint-NO_2007-12-18.ana.ud731e813	I think this could be a pretty simple and unbureaucratic system. It's kind of a bit fluffy about Klanen and Vålerenga. For me, the Vålerenga is much more than a tapestry team. You have 70 different nationalities who play age-determined football. I think it's an excellent purpose for a grass root fraction. I'm not going to say that everyone who disagrees with the government's policy is against volunteering, but I'll almost say that the left is approaching that point. There's at least a consistent line here, because you're as bold in government as in opposition. One was against the changes in the key in its time, which gave 800 million. It was against the idea that the money for the cultural school bag should go out to grassroots, against the 1st p.m. of the Cultural Promise, against the transitional money after the automatic reform, against the automatic reform, against the voluntary register, against the collection control, and against the grassroots percentage. So I wonder what hurt the volunteer has done to the Left, Right and Christian People's Party, since at the point after point one goes towards what is the volunteer's own desires and interests.
ParlaMint-NO_2007-12-18.ana.ud731e820	Voluntaryness knows better than that, so I'm not going to argue against all of the government's plans. But I want to give him an opportunity to answer the question I asked. Can he guarantee that there will be more money? Can he guarantee that the small organizations get something? I support all the nice things he said about Vålerenga, and hope that it is printed in Addressavias as well. I would like a guarantee from the Council of State that he is able to focus on this which means that it is not only the big organizations that win, but also the small ones.
ParlaMint-NO_2007-12-18.ana.ud731e827	I don't know who wins or loses. I know this is what people are going to decide for themselves. I actually trust that people will take care of their neighborhoods, that they will take care of the local sports team, their corps, the 4H association, or what's most important locally. But I can't guarantee it, because I don't decide. The whole point of the reform is that people have to decide for themselves here. It's quite incredible that the left actually goes against it. I think it's going to give increased revenues for Norwegian Typing, because it'll clearly show the relationship between playing at Norwegian Typing's game and giving money to volunteering. If we only got NOK 2-3 billion of what is now being played online, over at Norwegian Typing, it would have covered up more than the grass root. But the left does not escape the fact that they were against the new tipping, and they were against the game reform. We would have lacked many, many millions of dollars in the pot of volunteering, grassroots share or not, if the Left had been able to make an impact on its policy. I see that the representative now leaves the pulpit, but she does not escape what the Left has stood for in the government and in opposition.
ParlaMint-NO_2007-12-18.ana.ud731e835	The cord shift is over.
