ParlaMint-NO_2007-01-31.ana.ud49e24	The representative Borghild Tende, who has been licensed, has again taken the seat.
ParlaMint-NO_2007-01-31.ana.ud49e510	The Minister for the Environment is very straightforward – it is a climate policy measure so that the Minister of Finance is not over-educated by the debate. [[Laughter]] I really must say that the Left's voice in the environmental debate surprises me very much. What was the legacy from the Left in climate issues? The left-hand heritage is a gas power plant that plows and runs on snow white and emits almost a million tonnes of CO2 per. years. The heir of the Left was not a single penny in relation to the cleaning of new gas power plants. That job is what we have started, that job is the new red-green government – and we are now demanding the further development of gas power plants. Then, of course, it is – it is quite clear in the Soria Moria Declaration – that new gas power plants must be cleaned. What we're doing now is implementing this on Kårstø, and implementing an agreement on Mongstad, where we can get to a huge, huge technology project, which the Left had never done in government, and which can make sure that we can't just clean Mongstad, but get to technology that's commercially interesting. It can save the world.
ParlaMint-NO_2007-01-31.ana.ud49e518	The President accepts three follow-up questions – first, Tord Lien.
ParlaMint-NO_2007-01-31.ana.ud49e521	When you hear this debate here, you would think that the greenhouse gas emissions were drastically reduced in the last period. I guess it wasn't like that. But in relation to what is now mentioned here about Finnmark and that one million tonnes of CO2 is emitted from there, I would like to point out that on Kårstø a gas power plant is now being built that will also emit one million tonnes of CO2 in the year for the rest of this period. Now the government has said that there you're going to spend 5.6 or maybe 7 billion dollars on clearing this million tons of CO2. Then it is time to ask – and then the government agrees on who wants to answer the question – what reduction could we have had if these 5, 6 or 7 billion had instead been used to clean up coal power in Europe. Then I might ask that the Council of State Storberget answer that question. [[Laughter]]
ParlaMint-NO_2007-01-31.ana.ud49e539	State Council Helen Bjørnøy is probably the right person.
ParlaMint-NO_2007-01-31.ana.ud49e543	As the Minister of Finance has said up to several times now, this government has determined that new gas power plant concessions should be cleaned. As far as Kårstø is concerned, we have said that we should contribute to cleaning, and we had a wish to get it in place by 2009. Then the representative Lien is probably also aware that the NVE submitted a report just before Christmas that stated that the progress plan that was originally planned was difficult to keep. We had a big consultation meeting last week, and the government is now drawing conclusions for further progress on Kårstø. There is a problem about whether to convert the economy at home with thought-provoking reductions. It's a problem I don't want to go into, because it's about being obliged to take emission reductions at home as well. [[President clubs]]
ParlaMint-NO_2007-01-31.ana.ud49e548	The President will again draw attention to the fact that there is a small clock on both trusts, both for the representative and for the member of the government. Børge Brende – for follow-up questions.
ParlaMint-NO_2007-01-31.ana.ud49e553	In fact, I think it is a little sad and an expression that climate change is not taken seriously when government councils are sitting and flirting on the first bench and, in addition, they say that the opposition should look down, in a situation where it is clear that the government does not have a policy – for the time being – as to what climate reductions Norway aims to implement. It is clear that the Minister for the Environment did not have cover in the Government for his statements. Then you raise your voice – with weak arguments – and you owe it to those who were before. Greenhouse gas emissions were slightly lower in 2005 when the Bondevik government went off. It will be exciting to see if you jointly make a policy to achieve the same result in 2009. And on behalf of whom did the Minister of Environmental Protection express himself in the evening post earlier this year, when she guaranteed 20 pst. reduction? At least it couldn't be on behalf of the Government. I invite the Minister for the Environment to cooperate. [[President clubs]] We would like to help the Minister for the Environment so that she can now get an impact on the Government for an ambitious goal. [[The President clubs again.]] How can we help Government Council Bjørnøy in relation to its own party leaders and prime minister?
ParlaMint-NO_2007-01-31.ana.ud49e558	It is quite correct, as Børge Brende says, that there were some reductions in emissions between 2001 and 2005. First of all, the high oil prices caused a switch from boilers to electricity. But what we need to be very aware of is that the projections that we are now seeing, and that we now have, show an increase. This is primarily due to decisions taken by the previous government. Everyone who works with climate policy knows that decisions you make in previous years have consequences after a few years. What we're now seeing is exactly that. The development of Snow White, permits on the Worm Lange, Kristin field, Alvheim field, etc., are permits granted by the previous government, which now result in increasing emissions. So we have a climate bill that this government now has to make sure to get paid, and we have to do that. I am very pleased with the cooperation invitation.
ParlaMint-NO_2007-01-31.ana.ud49e563	I actually asked a question, President!
ParlaMint-NO_2007-01-31.ana.ud49e568	The representative is asked to read the regulations again and deal with them. Lars Sponheim – for follow-up questions.
ParlaMint-NO_2007-01-31.ana.ud49e573	Let me first say that these false rules we have heard about the climate policy of the previous government are going to have their aftermath. I'm not going to spend my time here on it. I have recorded that the representative of Kvassheim pointed out that environmental policy has received a parallel to the thirty silver coins of the Bible at the Joint Union meeting, nor has it been commented on. Nevertheless, I would like to give the Minister for the Environment the opportunity to say something about the power – or lack of use of power – of the Government that an Minister for the Environment has – possibly the last question about the environment in this round. There's a few weeks until there's been seven years since a government went off on environmental issues in this room, a historic day. It won't happen this time, partly because it's a majority government, partly because it's impossible for a government not to do what an Environment Minister says, at a time when climate issues are the most important thing for a government. The Minister for the Environment has enormous power, and probably more power – in this government – than any Minister for the Environment has had, for that very reason. And my simple question is, why doesn't the Minister of Environmental Protection use the enormous power she has to put down her feet, knowing that nothing can happen to her head in the Government?
ParlaMint-NO_2007-01-31.ana.ud49e580	I can assure the representative Sponheim that I am using my power and my influence to establish a policy for this government that ensures that the environment permeates all sectors. That's what we've actually seen. The 2007 budget is an illustration of what we can do in terms of the environment, and when we ensure that the environment permeates all sectors of society. We've seen a historic investment on the railway. We have been given CO2 management, and we have provided a lot of money for technology development. We've had a tax change, we've got renewable energy – and we have the oil fund. The most important way to operate is to ensure that environmental policies are implemented across all environmental areas and sectors of society. I have that influence, and I use it. And I'm going to promise Sponheim that he's going to see stronger and stronger tracks, for the Soria Moria statement is to be fulfilled.
ParlaMint-NO_2007-01-31.ana.ud49e590	Let's go to the next main question.
ParlaMint-NO_2007-01-31.ana.ud49e593	My question goes to the Minister of Justice, so that he also gets a little to do today. In the news today, we can read that almost 7,000 criminals have been released from prison in the past year to bring down the atoning cows. The State Council of Storberget has stated that his great goal as Minister of Justice is to remove the reconciliation cows, and the head of the Justice Committee, Anne Marit Bjørnflaten, has told Dagbladet that the reconciliation cows will be gone in 2009. I am not going to say that the Minister of Justice can magic, but figures from 2006 show an increase in the pay queues. Although I can read today that we have had a slight reduction this month, it is nevertheless worrying when we know that the reasons for this are primarily the use of projected parole. More and more people get out of prison before they're done. Only last year it was 150 years in an extraordinary penalty discount. This is a mechanism that reduces the punishment of prisoners regardless of what they are convicted of. It's a gift package for the criminals, and it's a mockery of the relatives and the victim. The criminals shall pay the penalty for which they have been sentenced. In addition, we have a new form of reconciliation queue, which is a reconciliation queue for social punishment. The Progress Party has warned against this for a long time, but it is nevertheless evident that the Minister of Justice is satisfied. Governments now have two-and-a-half years to get rid of the settlement queues. The construction of Halden prison has not started yet, and the opening of the new open spaces is not enough, when you know that there are even more places, and then especially closed spaces, we need. My question to the Council of State will then be: Will the Government continue to release the convicted persons before the end of their term of office, or can the Minister of Justice now guarantee that he will take this seriously and grant more money for the expansion of the existing prisons and put in place more settlements than we have today, without the criminal being premiered and released early?
ParlaMint-NO_2007-01-31.ana.ud49e604	I can guarantee that the government will do what it can to bring down the reconciliation queue in Norway. Following the accession of the Government in the autumn of 2005, we put in place immediate measures. The queue grew until the summer. It was then in 2,700 convictions who were waiting for a zone in Norway. After that, the measures have begun to work, and I am very pleased about that. There is also a broad majority in the United Kingdom who have supported many of the measures taken. Since the queue reached its peak of 2,700, it is a pleasure for me today to say that it is now down to 2,300 – a decline of 15-20 pst., which shows that we are on the right track. This is a decline that we demanded for a long time in the opposition, and which I'm glad we get. This shows that after the previous government's lack of effort in this area, we are now getting a trend in terms of pay queues where the figures are going down. Fortunately, this also applies to social sanctions. It is quite right, as the representative says, that we must not build a queue in terms of social sanctions either. So the government has chosen to spend extra money on the provision of free time, both last year and this year, so we have ambitions that we will get a long way in terms of the gender in terms of social sanctions already in the summer. When it comes to the issue of early release, it is an instrument used to reduce the queue, and as the Right Party, the Christian Party, the Left Party, the Workers' Party and the SV have been committed to both under the previous government and under the current government. It's an instrument we want to use, just to get rid of the queue, but it's seaworthy so that it's an instrument we want to liquidate when we see that we're dealing with the settlement capacity in Norway. There's our point that it's better to release a person after 85 days than to let him sit for 90 days, so let him go five days before, instead of letting him wait three or four years to come in and zone 90 days. It is better to let him come in and zone 85 days quickly, than to wait long time and zone 90 days.
ParlaMint-NO_2007-01-31.ana.ud49e614	I thank you for your answer. The councils may think it's nice numbers he refers to today, but nevertheless we should be aware that there are 2,300 standing in the queue, as well as those waiting to punish their community. The Progress Party has also repeatedly called for the criminals who are foreign nationals to be able to pay their fines in their home country. This has also been agreed by the Council of State and addressed both in this room and in the media. Making a faster transfer to the home country of foreign prisoners will release many places in Norwegian prisons. We also know that a good part of these are in queues. One might wonder why this isn't going to happen immediately. My question is then: is there any disagreement about this use within the Government, or will the Minister of Justice now be able to put it into effect so that foreign nationals are given a zone in their country of origin?
ParlaMint-NO_2007-01-31.ana.ud49e625	I can explicitly say yes to that, in the sense that we are doing what we can for more foreign nationals to zone in their home country. But it is not that the Norwegian Minister of Justice can decide overnight that now all Poles will be zoned in Poland. We have to deal with the fact that we live in an international society, and that there are several authorities that need to have a word in the team. But there's a lot of things we can do to make more people get zones in their own country. Initiatives have been taken, inter alia: Norway, in order to improve the Council of Europe Convention, to facilitate the transfer of foreign citizens, and we are now looking at the possibilities of adopting early expulsion decisions in the case of those convicted in Norway. Finally, we are now working actively in relation to our criminal services to go through all foreigners in Norwegian prisons to see if we can send them back earlier. It's a work that already bears fruit.
ParlaMint-NO_2007-01-31.ana.ud49e634	There will be two follow-up questions – first Elisabeth Aspaker.
ParlaMint-NO_2007-01-31.ana.ud49e637	It is difficult to take the Minister of Justice seriously when he claims that the Government is on the right track in criminal policy. More and more prisoners have been released into the street in the past, young, dangerous criminals are not to be arrested and imprisoned, and the police are experiencing a critical custody situation and are not even sent to prison for some serious crime. These developments are definitely going in the wrong direction, and the result is that people are experiencing increased insecurity. Is this the change in course the government has announced in criminal policy?
ParlaMint-NO_2007-01-31.ana.ud49e644	This is a totally incorrect description of the development. So first of all, the queue is going down. It is at a significantly lower level now than when the Right sat in government, as it remained stable at a reasonably high level. That is why we have established more than 300 new prison sites during 2006 and 2007 and have decided that we should spend more than DKK 1 billion on establishing the new large prison in Halden. So this is a development that we've addressed, just to solve this problem. So we're going to see that the numbers go down, and we're going to have to recognize that right when we see the numbers. It's not right that Aspaker says that we're releasing prisoners earlier and earlier. This is a practice that the Right also carried out when they were in government, precisely on the grounds of getting rid of the reconciliation queue. The same release discount – if you call it that – given today was given under the previous government. We have assessed whether we should extend this, but we have not found that advisable. This is the Government's complete agreement.
ParlaMint-NO_2007-01-31.ana.ud49e651	Odd Einar Dørum – for follow-up questions.
ParlaMint-NO_2007-01-31.ana.ud49e654	I am not going to take the history description – we can debate it elsewhere – just notice that the queues are fluctuating slightly, and we are going to be happy that they are going down to 2,300. The time I was responsible for this, it was my ambition when the queue was to be terminated during the period we are in now, that it also included the winding-up of the early release. It is true, as Storberget says, that early release is a temporary measure, and it has had broad support. I would like to ask the Council of State to confirm here in the main hall that winding up the payroll per. 2009, as I see it, the government's goal is also to include that at that time you no longer have the early release. At some point, it gave approx. 130 parking lots. I think it's important for the Storting to know. I would also like to ask if the government is prepared to provide the country with more closed places. The government has put at risk the plans that have come to a successful start in Salten. The government knows that there were also plans to double the capacity in Halden by going from 250 to 500 places. But the main question is: Will early release be abolished as part of the policy of abolishing the queue by the end of 2009?
ParlaMint-NO_2007-01-31.ana.ud49e665	That's our clear ambition, and I've also informed Stortinget in the past. One of the reasons we want to break down the pay queue is that we want to get full reality into the payoff both in terms of length and in terms of quality. It's important that we get people into reconciliation quickly so that the compensation works, but it's also important that we maintain the level that the courts have actually set for punishment. Now, when we are going to wind up the reconciliation queue, it is our clear ambition that this early release too should be removed. I am pleased that the former Minister of Justice confirms that there has been a broad political agreement on this. When it comes to the question of closed places, there is only one thing a government can do to get more closed places, and it's building more closed places. Here the previous government on the table had a big plan to build a prison in Halden that would cost over $1 billion. I'm glad that the government I'm a member of, has now chosen to take the first spasmodic and will spend over 100 million dollars. In order to start construction, this prison should be kept clear as quickly as possible – with more than 250 places.
ParlaMint-NO_2007-01-31.ana.ud49e674	Let's go to the last main question.
ParlaMint-NO_2007-01-31.ana.ud49e677	The Minister of Justice may stand still, the question is to him. Drug use is undoubtedly one of the biggest problems of our time, because it often adds life to the drug user in ruins, and because it also affects a large number of relatives, who can experience having their whole life situation turned upside down. The right has called for zero tolerance to drugs because we believe society must clearly signal that we are taking the drug problem seriously and that we will put in the necessary means to combat it on a broad front. Instead of being supported by the Minister of Justice, we are experiencing a shocking attack, as evidenced by the fact that the Council of State has only listened to one ear, and that he is closing its eyes to a rather dramatic development, where drug abuse has got its foothold even in the most pig-grown strata, where drug seizures are increasing and the methods of smuggling are increasingly being speculated, and where more and more young people and their families are being ruined by drug abuse and its consequences. Right-wing zero-tolerance policies mean that we say no to drugs and that we stand up to help those drug addicts. Our government is delivering the greatest bet of the times on fighting and rehabilitation, and the Right has followed up in its alternative budget proposals. Today’s government has delivered the worst drug budget in eight years, and the pace of medically assisted rehabilitation is so poor that it will take 70 years to help those who need it. The Minister of Justice has ended up in a blind defense of drug free zones in cities and stops there. I note that we have a Minister of Justice who ignores the concerns of parents, increased drug seizures and the development of dangerous abuses in the workplace as well. How can the Minister of Justice defend his defence of drugs and his government take action in the field of drugs to help drug addicts out of abuse and into a more dignified life?
ParlaMint-NO_2007-01-31.ana.ud49e694	I have to ask the representative to prove that I have at any time entered into a more or less blind defence of drugs – then the representative will look for a long time. But when the government also says that it wants to have an active attitude with regard to drugs, it does not mean that we should blindly use the tools that we have used over the years and that in many cases we do not actually see working. 60-70 pst. Of those in Norwegian prisons today, there are considerable problems with drug use. 80 pst. of which return to criminal behaviour after release. It seems to me that it is a timely question that other instruments are being put in place to address the problems that drug users and not least society are struggling with. That is where I believe we should respond quickly. But we're also going to allow ourselves to think differently about these. Nor have I at any time been in favour of free zones in Oslo, as the Right to Constantly point out. The Labour Party and several parties have supported on previous occasions, which was carried out under the previous government, was an injection room in Oslo. It should be a place of assistance where, among other things: the most aggravated drug users can receive a different offer of health care assistance, but also in the case of a number of other social problems, which can actually contribute to reducing crime. I'm convinced that the only way we can solve the problems with drugs and alcohol is to have multiple thoughts in your head at once. That's where I think the Right is not present.
ParlaMint-NO_2007-01-31.ana.ud49e704	I hear that the Minister of Justice describes a very serious situation with regard to the extent of the drug problem in Norwegian society. But I do not hear that he is very clear in the signaling of reinforced measures and a completely new and different dimensioning of the investment in rehabilitation. I also note that he does not comment on the embarrassing fact that he has provided the worst budget for eight years in terms of rehabilitation, while also describing the prevalence of the drug problem among criminals. Governments have repeatedly boasted of the police budget, and the police are undoubtedly important in the fight against drugs. Then I would like to challenge the Minister of Justice: how can he defend the fact that the police operating budgets now turn out to be eaten up by local investments for emergency networks and for more expensive cars, which means that you eat from the operating funds and transfer them to investment? Where, then, is the increasing capacity of the police to prevent and combat drug crime?
ParlaMint-NO_2007-01-31.ana.ud49e713	I am pleased that the Right Representative now chooses the argument in the police resource discussion that there are other elements that eat up the police budget, as she claims. Some of that is also wrong. In the case of cars, for example, we see that the total price increase on cars goes to zero when you see that some cars actually get cheaper and some get more expensive. I would recommend the representative Aspaker might not swallow raw the description her sources give of the police budgets. This gives me an opportunity to just say that it is not right as the Right Repeatedly has said, that it is this government that cuts the police budgets. Once we got in position, we increased the police budgets by over 100 million. kr. It was the same autumn, 2005, that the Right chose to cut the police budget. This level we have actually chosen to maintain. So this constant claim that the government wants to cut down on the police operation is not correct. In addition, I also ask the representative of Aspaker to note that it is this government that is now helping us to record a record high record at the Police College to train more people, and at the same time a billion investment into a completely new emergency network, which is certainly important for the Norwegian police.
ParlaMint-NO_2007-01-31.ana.ud49e722	There will be follow-up questions – first Solveig Horne.
ParlaMint-NO_2007-01-31.ana.ud49e725	Combating drugs is a major task for society. We see today that there are several Norwegian prisons that have major drug problems. In fact, it is often easier to get drugs on the inside of prison than it is on the outside. The use of dogs in prisons is very important for the prevention of drugs in prisons. But we know that criminal services don't have enough money to have at least one dog in each district, so that they can easily get control of dogs. Then my question becomes: What will the government do to reduce drug use in prisons, and will there be money to increase the use of dogs for controls in prisons?
ParlaMint-NO_2007-01-31.ana.ud49e734	It's an important problem-solving that Horne's representative addresses. However, it cannot be limited to drug use alone. It must also include other drug use such as tablets and alcohol, which we see as dominant among those admitted to Norwegian prisons. Therefore, it is important that the prison, as far as possible, is a drug-free zone. The figures we now have in identifying the drug situation in Norwegian prisons are not clear-cut dark, and they are not as dominant as the representative Horne later believed. But it is important for us that this work is strengthened. In fact, I believe that now that we are strengthening criminal care, it helps to reduce the burden per person. We are also helping to increase resources to carry out safety work and also work against drugs. Then I would like to say: when it comes to preventing drug abuse, whether in prison or outside prison, perhaps one of the main prerequisites is that we can dampen the usual, legal drug use in society, dampen the consumption of alcohol by young people. There I am now inviting the Progress Party to also participate in cooperation, so that we can really get a preventive jaf on such serious crime.
ParlaMint-NO_2007-01-31.ana.ud49e743	André Oktay Dahl – for follow-up questions.
ParlaMint-NO_2007-01-31.ana.ud49e746	First, I have to say to the Council of State that we actually voted for the budget to which it was referred so brilliantly in 2005. I think, after two years, it might have been time to do a little name-change in the Department of the Council of State, to the Royal Total Unacceptable This Must-It-It-No-Me-Ministry. I'm not going to do that, just in respect of the hardworking people who are trying to follow all the conflicting signals that are constantly coming away from the Council of State. The government's policy consists of two things: release the prisoners, it's ours – all year round – and the people's need for security seems to play a minor role especially when you look at the situation in Oslo streets. Is the Council of State comfortable with the fact that the situation in Oslo streets is out of control, while at the same time cutting the police budgets back to the level it actually was at before – if you take the figures that actually form the basis of the Aspaker question, which is in fact corrected and correct and adequate for the situation, as the police themselves perceive it.
ParlaMint-NO_2007-01-31.ana.ud49e758	I have to repeat: the government does not cut in the budget of the Oslo police district from 2006 to 2007. The right-hand side keeps repeating it all the time. There was a cut in Oslo police district, and it came from the previous government in the 2006 budget. Then it was a real cut for the Oslo police. It was done when the right was put in government. We tried to correct this situation by providing Oslo police districts with an additional grant for 2006, among other things. Six million. kr. Then there's someone who's done a cut in the Oslo Police District, and it's the Right Party that André Oktay Dahl represents. That doesn't mean we don't have a challenging budget situation for the police over the whole country. Then it's not like it's floating in Oslo's streets. There has been a considerable effort to overcome the recriminal crime in Oslo, a work that we now see bearing fruit, and which just shows that the Government is taking hold of a very serious crime development, among other things. in Oslo.
ParlaMint-NO_2007-01-31.ana.ud49e765	The oral question procedure is now over, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2007-01-31.ana.ud49e771	There will be some changes in the questionnaire, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The changes were as follows: Question 1, from the representative Svein Flätten to the Minister of Finance, has been transferred to the Minister of Labour and the Minister of Inclusion, who is directing him. At the request of the Minister for Labour and Inclusion, this question is moved and answered before question 12, to be answered by the same Council of State. Question 3, from the representative, Mr Brende, to the Minister for the Environment, has been transferred to the Minister for Oil and Energy, who is directing him. However, the question has been withdrawn. Question 4, from the representative Line Henriette Holten Hemdal to the Minister for Oil and Energy, has been withdrawn. Question 5, from the representative Torbjørn Andersen to the Minister for Oil and Energy, is postponed until the next Question Time, when the Council of State has left. Question 15, from the representative of Dagrun Eriksen to the Minister of Health and Care, lapses, as the questioner has a history of disease.
ParlaMint-NO_2007-01-31.ana.ud49e787	Question 1 will be answered before question 12. Let's start with question 2.
ParlaMint-NO_2007-01-31.ana.ud49e796	‘The Government has now stopped the task differentiation project for public transport. Will the Government stop all task differentiation projects that allow municipalities to take over tasks for which the county is initially responsible?’
ParlaMint-NO_2007-01-31.ana.ud49e803	A number of task differentiation tests have been approved between 2004 and 2007. All trials shall be scheduled to be completed for the prescribed experimental period. The test law provides for an ordinary trial period of four years with the possibility of applying for a two-year extension. Any extension of the trial period beyond 2007 must be considered on a case-by-case basis and, inter alia, on a case-by-case basis. be seen in the light of the administrative reform to be implemented from 1 January 2010. The Government uses the Generalist Municipal System as a principle for the organisation of the local government sector, i.e. that all municipalities should initially have the same task. However, task differentiation in some demarcated areas may be complementary to the generalist community system. New tests on differentiated solutions need to be considered in each sector, but it is not appropriate to give municipalities a particularly wide range of responsibility. As regards the trials on the alternative organisation of the management of transport systems in Bergen and Trondheim, it is decided that these will end after the regular trial period of four years. A decisive reason for this is that there is no local agreement between the parties to extend these trials. When the trials were started, it was explicitly said that they should be continued, there had to be agreement between the parties. The test in the Kristiansand region is agreed and can be extended. The test in the Stavanger region is not subject to the Test Act, so cooperation may continue if agreed by the Parties.
ParlaMint-NO_2007-01-31.ana.ud49e812	What we're experiencing here is again the government's lack of faith that municipalities can take on bigger tasks than they do today. The evaluation of the pilot project in Bergen and Trondheim for public transport has not been completed. This means that you do not know whether this has led to a better offer for the citizens, which should be the most important thing in this case. If the answer that the municipal minister now gives is that although the evaluation report from Bergen and Trondheim, when it is available, will be positive in relation to the experiences of the inhabitants of the public transport service, it will not be relevant, for example. for the Government to grant applications for similar schemes for other cities in Norway, e.g. Stavanger and Kristiansand?
ParlaMint-NO_2007-01-31.ana.ud49e819	Here you have to distinguish different questions. If we're going to extend an experiment that's been over four years, the parties have to agree on it. As far as Trondheim is concerned, none of the parties is in favour of extending the experiment in its present form. As far as Bergen is concerned, it is true that the municipality of Bergen wants to extend the experiment, but the municipality of Hordaland does not want it. We have to respect what was the starting point for the trials, that the parties must agree to extend. That's not the situation. For the evaluation, it shall start in the harvest and shall continue the first quarter, possibly the first six months, of the following year. Then you get to come back and look at the assessments that are available at that time.
ParlaMint-NO_2007-01-31.ana.ud49e828	I again note that the audience's experiences of the offer are not a criterion here, but that it is the county council's fear of losing tasks leading to government policy in order to be able to give the municipalities extended tasks. In Trondheim, there is also a pilot project on child protection. Is it such that the Government also considers to terminate this pilot project, or is it a pilot project that will be possible to continue for the future as well?
ParlaMint-NO_2007-01-31.ana.ud49e835	I am prepared to continue a series of attempts at task differentiation, but we have to consider from sector to sector and from place to place what is wise to do, but all the time in the understanding that it is the generalist principle that is to be the leading. In the case of public transport, which was initially the representative's question, it is a fact that the municipality of Hordaland is very little satisfied with the way the municipality of Bergen has followed up the project. So there's probably also reason to think that people in Bergen have noticed little about this. However, it will then be clarified by the evaluation process, and then at a later stage a decision will be taken on how to organise public transport in the Hordalands and Bergen areas.
ParlaMint-NO_2007-01-31.ana.ud49e864	These questions are drawn.
ParlaMint-NO_2007-01-31.ana.ud49e878	This question has been raised.
ParlaMint-NO_2007-01-31.ana.ud49e885	I allow myself to ask this question to the Minister for Transport: ‘How quickly will the process progress be added to the Ministry of Transport in order to ensure that the broad local agreement on Oslopackak 3 was finalised in the autumn of 2007?’
ParlaMint-NO_2007-01-31.ana.ud49e892	Expected growth in workplaces and busses in Oslo and Akershus are contributing to the development of transport growth and to the development of an efficient, safe and environmentally friendly transport system. Government is satisfied that local politicians in the Municipality of Oslo and Akershus County Municipality are taking these challenges seriously and through extensive cross-political cooperation, have been able to put forward a comprehensive proposal to meet the challenges by continuing the road procurement system in the Greater Helsinki Region through Oslopakton 3. I am aware that the use of tolls to operate public transport has been a particularly important feature of the local decisions on Oslopackak 3. The government will return to this and other questions in connection with the capital message submitted to Stortinget later this session. It is agreed that an external quality assurance of early stage design options – KS1 – should be carried out for State investment projects above 500 million. kr. KS1 was approved and launched by the previous government to improve the quality assurance of large transport projects at an early stage. The size has also joined this. The government is therefore following up this work. The total costs of Oslopackak 3 exceed the KS1 limit more than a hundred times, nor is there any reason for Oslopackak 3 to be managed differently from other major transportation projects in the country. I assume that the representative Dørum is not in disagreement with me in this. I also refer to the Stortinget's handling of Document No. 3:8 for 2005-2006, National Audit Office’s study of effectiveness in public public transport measures – Oslopakt 2. One of the main anchor points of the National Audit Office's review of Oslopackak 2 was that there were no clear targets for the bet. I can't see that Oslo Municipality and Akershus have defined such clear targets for Oslopackak 3. I am therefore busy that a thorough and holistic arrangement is being carried out for Oslopackak 3. I have already pointed out how important this is to the local authorities, both in meetings and in letters. A toll application for Oslopackak 3 must be processed normally in the State Road Service before the matter can be sent to the Ministry of Transport. With many remaining issues before the matter can be dealt with by the department, it is too early to say when the matter can be brought before the Stortinget during the enlargement period.
ParlaMint-NO_2007-01-31.ana.ud49e910	I am pleased that the Council of State notes that she is pleased that what is happening locally is being taken seriously. I do not agree with the Council of State that these are not clear targets for Oslopackak 3. Unpacked all the main sentence use in that document, it is said that traffic growth is to be taken through collective action. It is a clear objective and a prerequisite for the package, as set out, and the environmental effort is also linked to the road, by the fact that roads should be environmental measures in a part of the country where tens of thousands of cars are going — so that road measures are environmental measures. Therefore, I cannot agree that these are not clear objectives, but I understand that the Council of State will certainly ensure this in a dialogue with local authorities. As regards the formal aspects of the case, I understand what was said. My impatience is primarily linked to the fact that this package covers a number of projects that are not covered today – such as the desert exceedance – and not least money for collective action from 1 January 2008. I expect the Council of State to do its utmost to bring the matter forward as quickly as possible, and therefore my question to the Council of State is: Can she suggest when it can happen at the earliest? I'm assuming she's putting her best judgment and commitment into this.
ParlaMint-NO_2007-01-31.ana.ud49e919	I am pleased that the representative Dørum and I have a common understanding of the importance of this matter. I absolutely share Dørum's view that there are of course good goals in Oslopackak 3. It says that when it comes to the goal, when we know that what's in the package will not lead to reduced car traffic. But there's a big stake in public transport, which hopefully is going to take the big growth that we see coming in this people's rich area. That's what I think is important. The toll application came at the end of November. He was immediately transferred to the Road Directorate for further handling. I suggest that there should not be any training at any point for which I am responsible, but with the system inside KS1, it will at least be a good deal out in 2008 before you can count on that matter being done in relation to KS1 management.
ParlaMint-NO_2007-01-31.ana.ud49e926	I think it might be useful for us all to be reminded of what Oslopackak 3 is. So there is a broad, local willingness to cooperate in lifting local taxes on car use in order to ensure two purposes: the first is 50 pst. of the money to ensure operation and investment in public transport, and the other is to ensure that tough and environmentally-polluted roads are laid underground. In total, it is quite clear that the intention is for traffic growth to be taken collectively. It's also set up to do this. I understand the need of the Council of State to have a fair and proper treatment. My question is characterised by impatience after this is put in place, by the broad political consensus that exists here – because it is unique. It includes all parties in Oslo City Government and all parties except the Advance Party in Akershu County. It is rare for a Norwegian Minister of Transport to be able to cut the cord for something that could be called 40 billion kroner in local subsidies for the operation of public transport, the construction of public transport and roads. I realize that in the dialogue between the councils and me there is at least a common will to do so.
ParlaMint-NO_2007-01-31.ana.ud49e933	I can underline the last one. There is absolutely a common will to do this. I feel that we have a good dialogue with the local government, and that we have an understanding of the processes that need to be carried out when a project of this size is involved, which is far beyond the limits of KS1 management. In addition to the KS1 handling, we must also introduce a change of road laws, if we are to meet what is in Oslopakt 1. Such a change in laws will take a year. We must take the time we need, but we must not spend time beyond what is necessary to get a defensive handling of this important matter.
ParlaMint-NO_2007-01-31.ana.ud49e944	I would like to ask the Minister for Transport the following questions: ‘In Hedmark, 27 people were killed in car accidents in 2006. No state had more casualties. In addition, there are very many accidents involving injuries and serious material damage. Does the Council see any possibility of subsidising planned projects and granting money to highway 3?’
