ParlaMint-NO_2007-03-06.ana.ud392e79	The representative, Lena Jensen, who has been on leave, has once again taken his seat.
ParlaMint-NO_2007-03-06.ana.ud392e960	This has been a debate that has really brought little new into the world, and so it's probably just been wasted time, because most people express themselves as if they agree on what is happening. I want to grasp what Terje Aasland said in his post. He creates enemies where no enemies exist, just to make himself look better and the others like bad. But there is no party on the Stortinget that has ever argued that you should have an anarchy system within the power market. It is not true that all parties other than the Working Party or the Red-Greens believe that the power market should be complete without any laws or regulations to deal with. Then it's a little silly to keep an article where one of the closest future is that the other parts have finally seen the light. I remind Terje Aasland that in the last period the Progress Party has made more proposals to make it clear that the State is responsible for security of supply. So this is not a new theme presented by the Christian People's Party, although it is very important that we continue to discuss it. But then the Labour Party actually voted against. The Workers' Party has been a precursor to Norwegian energy policy, both when they are in government and when they are not in government. Among other things, Jens Stoltenberg's words that the time for the large hydroelectric expansions has passed have been seen as a premise for the energy policy that its governments have followed, including this one. We also see that the scrapping of the red-green batches made of green certificates will appear to be a premise for renewable investment for a long time to come. The problem in Norwegian energy supply has not been a lack of projects, but lack of political permission to expand the projects. 4 TWh with new hydropower is shredded. The first thing that the red-green government did was scrape 1.5 TWh with force from the tissue. When this project gets no, one can wonder where everyone who celebrates Document No. The 8 proposal that the state should be able to impose power build-up, then find the power projects, because we find hardly better power projects than exactly the Wefsna. So there's also a lot of talk about how great it's going to be with an evaluation of the Energy Act, and everyone is looking forward to it coming. Yeah, when's it coming? It's been used as an argument in a year and a half now from the red-greens that now we're going to evaluate the Energy Act and get the power system organized. Will that evaluation come during this period? No one says anything about it. When can we expect something to happen? The government now acts as a clean administration without will or ability to accelerate anything of solutions, and it's quite tragic. It's a little interesting when you talk about an evaluation of the energy law, that the representative Ola Borten Moe in the class struggle last year even said that there will finally be an evaluation of the energy law, it has existed for 15 years now. Has he already forgotten that the Bondevik II government evaluated the Energy Act and presented the evaluation in the revised budget in May 2005, i.e. just before the elections? The Labour Party and the Centre did not have a single comment on that evaluation. Where does one expect the new, great revolutions to come now? It would have been very nice if there were any comments on this from the red-green ones.
ParlaMint-NO_2007-03-06.ana.ud392e977	First of all, I have to say that my purpose was not to create enemies where there are no enemies. On the contrary, my intention was to stress that in this room there is now a concerted majority of large-scale figures that actually see the importance of the evaluation to be carried out by the Energy Act, precisely in order to try to have it analysed and, if necessary, to make corrections in connection with a lack of triggered investment commitment from 1990 until now. That recognition is in this room, and it's actually a new confession, as I register it. I think that is a good signal for the further work and for the further assessments to be made. The evaluation notified by the Council of State shall be carried out and any changes shall be made during that period. Then we get back to what has to be done. There's no doubt that we have some challenges. Most of it works well, but we have some challenges in this area. I think the debate here has been good, but I think it is actually a little regrettable that the Progress Party is trying to create a confrontation in this debate. I recognise that the Progress Party uses strong words in the debate here. They make it – as usual – as if we are balancing on the brink of an energy crisis every year. In fact, in 2005 we exported 12 TWh, and in 2006 we balanced 0.7 TWh. If so per. definition is an energy crisis, I think the energy crisis actually exists in a stronger monn in the Progress Party than in the Norwegian society. But then it's created that image, and we're obviously vulnerable, and we have to do something about this. That is what the debate has been about, and I think that the evaluation will be a good tool. It's actually so that there's no political invulnerability in this room. Many, and many, concessions have been promoted, both for hydroelectric power development and for new gas power plants. The problem is that the investment willingness has not been present. One has not had a price level that has triggered investment. That's the main problem related to the situation we're up against. To call it political invulnerability must, of course, be in recognition of the fact that political skill actually arises by setting all the requirements for the environment, nature intervention, storage problems, etc. to the side. It is now politically viable in terms of energy issues, according to the definition and assessments of the Progress Party. I'm sorry about that attitude, and I actually didn't think it was there either.
ParlaMint-NO_2007-03-06.ana.ud392e991	It became a bit pathetic to hear the representative from the Workers' Party, Terje Aasland, stand here and present it as if the country were not balancing on the edge of a power crisis. That's actually what has been the reality both before this winter and some years earlier. In seven of the last 11 years, power imports/export accounts indicate that Norway has been a net importer of electrical energy from our neighbouring country. In my view, the Energy Act has been somewhat positive and correct. With regard to this evaluation, I have some problems seeing what major changes had to come out of it. As a result of the failure of the Energy Act to function according to its intentions, as was believed and hoped when it was adopted in 1990 and introduced in 1991, it is, of course, that one has not been able to generate enough new projects. So we can say that the market demand side has worked, but in terms of the supply side, politicians have – among other things. in this room – the blame for the failure of the 1990 Energy Act to function according to the intentions. Hydropower projects on the inside of 4 TWh have been shown to have been stopped or reduced by collapse and government. In terms of political intervention in the Energy Act, at least we from the Progress Party will blame the bulk of the blame for the fact that the Energy Act has not worked according to its purpose, precisely because large numbers and governments have not followed up on the intentions of the Energy Act. I'm sorry. I am also a little surprised by these hateful or harsh outbursts against the Energy Policy of the Progress Party. For my part, I can say that at least in the two years I have been on the Energy and Environment Committee, the Progress Party has made a number of proposals – for which we have not received support from the Workers' Party – precisely to improve the energy balance in Norway and to strengthen the security of electricity supply in Norway. It is just a pity that the Progress Party has not received support for all these good proposals. On this basis, I find it very strange that we are under attack by the Workers' Party, who have just agreed to vote on a number of proposals. We remember an additional protection plan a few years ago, where 7.5 TWh was actually protected – and the Labour Party was involved – against the votes of the Advance Party. We can refer to many hydropower projects that the Workers' Party has opposed, but for which the Progress Party has been. That is why it is strange that this is now coming from the representative of Aasland.
ParlaMint-NO_2007-03-06.ana.ud392e1002	I am very happy to hear from Terje Aasland that we have no supply problem in Norway, that the power crisis has been cancelled, that this is going to go bad, and that the government has full control. I'm glad to hear this. I hope that Terje Aasland will also send that message up to workers' party-driven Moors and Romsdals, South-Trundelags and North-Trundelags. The county politicians of Aasland are not as safe as he is, so they need to get the message. The industry in the same countries also needs to be informed that the power crisis has been cancelled and that the supply situation is quite straightforward. Terje Aasland also refers to a number of reservations that make it impossible to build gas power plants. These reservations did not show Stoltenberg when, in his May 1 speech in the Nord-Trøndelag, he told the residents there that now it was just to stick the spade in the ground, now it was time to start building a gas power plant. It could have done something about the security of supply in central Norway. But today there are many reservations from Aasland. I expect that he will explain why he has so many reservations, reservations that Stoltenberg did not take on 1 May last year. So the government's only act in this matter is to force a small municipality in Hordaland, the municipality of Austevoll, to accept the development of a wind farm. That's what the government is doing to resolve the power situation and remedy the power deficit in Central Norway and the West, and it's not a policy the Progress Party is behind.
ParlaMint-NO_2007-03-06.ana.ud392e1011	I haven't called off any energy crisis. I've just tried to focus on the fact that in 2005 we exported 12 TWh, in 2006 we went roughly in balance, and that maybe the energy crisis is created more from this pulpit than out in real life. But I have also stressed that we have a strained energy situation, and that we need to look at the possibilities. We've also done a lot of things. These include: granted some gas power plant concessions that have not triggered investments, with the exception of Kårstø. Then you're on the move now in Mongstad, thanks to this government. Other concessions have also been granted, as mentioned above, which have not been followed up by investment measures. It's primarily about the price level. So I think it's a bad claim to say that the majority has not followed up on the intentions of the Energy Act. That's actually what we've done. The main intention of the Energy Act was to have a market that worked and to exploit the investments that were already there. That was the main intention. The main intention of the Energy Act is not what the Progress Party and Torbjørn Andersen are saying from this pulpit. The reason for the Energy Act was not to set aside any type of regulation in terms of protection or environmental considerations, etc. No, on the contrary, a system that would initially exploit investments already made and ensure that the market would trigger new investments. So now it turns out that it doesn't work properly in terms of security of supply. And then I'm glad that we're in agreement on the way that's going on, and that there are things that should possibly be done.
ParlaMint-NO_2007-03-06.ana.ud392e1020	Several have not asked for the floor on case No. 3rd@item: inlistbox [[Fotation, see page 2149]]
ParlaMint-NO_2007-03-06.ana.ud392e1056	Let me first clarify the starting point for this interpolation. It is not meant to fight against the development of a CO2 value chain, nor CO2 management in general. I would like to stress that the Progress Party in its 2007 Alternative State Budget actually proposed to allocate funds to get the projects going both on the Tjeldbergodden and on Mongstad. We record that no other parties added money to this, despite the fact that Mongstad is going to be the moon landing to the Government. The Progress Party has also proposed in Document No. Eight proposals for the state to be responsible for the CO2 value chain. That, too, was the vote of the Red-Green parties on the Stortinget. The Party welcomes the possibility of using CO2 for increased oil extraction. The Premise of the Advance Party has thus been put in place. The reason why we wanted a debate on the CO2 clean-up project at Kårstø is that, as the Government has put it, the project does not provide much benefit compared to the huge costs. Kårstø is not justified by arguments about technology development, CO2 reductions or cost-effectiveness. I record that many from the research environments and the energy industry have publicly stated that Kårstø is a blind lead in this work. So let's think about the reality first. Is Kårstø a significant climate action, as some say? At best, Kårstø clean-up will reduce CO2 emissions by 1 million tonnes, given that the gas power plant is running around 24 hours a year, and that the clean-up is quite efficient. The Institute of Energy Technology has now said that even with effective cleaning, there will be emissions of approx. 200000 tonnes. Given the global emissions of 31 billion tonnes of CO2 annually, the emissions from Kårstø are negligible in the global context. In addition, clean-up with the technology put up by the Government will produce around 3000 tonnes of problem waste in the form of amino compounds. So there's no climate action that matters. At least there is nothing that will satisfy anything in relation to the Kyoto agreement. Is it, then, a technology development project? If Kårstø was actually broken through, Mongstad wouldn't be described as the moon landing. Ergo: The government itself has realized that Kårstø is no breakthrough. In the Question Time on 18 October last year, the Minister for Energy, Mr Enoxsen, said that: ‘On Kårstø, the Government takes full and complete responsibility based on today’s expensive technology, which is a technology that will be used only in very few cases.’ Ergo: The government itself admits that the project will not be suitable for being copied very many places. The Director of the Institute of Energy Engineering stated to the Government during this consultation that full scale clean-up of today’s technology ‘will not bring significant innovation gains’. The technology put up on Kårstø has not been tested on this scale and has to be scaled up at least ten times in relation to the largest plants today. A normal procedure will then be a step-by-step approach, with pilots for demonstration and verification of technology — and then scaling up. The first two steps jump the government into the scheme they have presented. It is also a recognition that Norwegian suppliers are unable to deliver to a full cleaning facility at Kårstø in relation to the plans of the Government. It is doubtful whether they will be able to deliver anything at all before Mongstad in 2014. Reference is made to Aker Kværner's offer of a pilot project. There is therefore no Norwegian competence to cover the CO2 project on Kårstø, nor if a driver is driving it at all planned locations – Tjeldbergodden, Mongstad and Kårstø. Thus, the government’s policy will be a pure subsidy to foreign suppliers of CO2 clean technologies, for example: Fluor and Mitsubishi, who have also not built any full-scale facilities anywhere in the world. After what I have been told, Mitsubishi has some plants that are around 30 MWh, and it is quite far up to a plant of 420 MWh, which is planned at Kårstø. So technology development won't be particularly in place on Kårstø, as the government adds. Is that, then, a cost-effective climate action? Yes, with a project of 5 billion kroner plus/minus 40 p.p., with operating costs of 370 million. kr per year, one receives a cost of action per year. tonnes of CO2 purified at approximately 700 kroner per year. tonnes, given that the installation is in operation at 100 pst. of the year. On the other hand, if you reduce the operating time to 5,000 hours per year, you're up to 1000 kroner per year. tonnes. If you go down to 25 pst. Operating time in the year, which is very likely, depending on gas prices, is talking about a climate action with a price of NOK 2 200 per year. tonnes. Based on 700 kroner per day. However, tonnes, to be optimistic, are at least 10 times more expensive than alternative CO2 abatement measures. In addition, the CO2 treatment uses approx. 20 pst. of the production of energy. So you get a reduction in power from 420 to 350 MWh. It's an energy loss equivalent to the production of Smøla wind farm every year. Point Carbon, one of the companies involved in the quota trade, can guarantee that they can buy quality-secured climate allowances at a tenth of the price compared to what is planned at Kårstø. The price of Kårstø is therefore approx. 15 times today's allowance price. If one is to benefit from Kårstø technology, as a source of income by selling it to other countries, it must be expected that the other countries will say that this is a cost-effective technology. I think there are very few countries, at least per. today, which has said that they are willing to implement climate action at all costs. We are looking at how effective and comprehensive quota purchases are in some EU countries. There is no reason to believe that such countries as China will worry about cleaning their CO2 emissions until they have at least started to clean up the air in their big cities. A trip in Shanghai I think illustrates the problem. I think there are very few Chinese people who want to accept that you clean CO2 before cleaning sulphur emissions. Then there is no reason to believe that China and other countries that would need it would spend money buying a single copy of the Kårstø plant. Petoro investigated 12 current CO2 value chains in 2006. Kjell Pedersen in Petoro says to Stavanger Aftenblad on August 10, 2006: ‘Collection of CO2 on Kårstø by 2009 must not become a more important objective than to establish the first full value chain for CO2’. [[...]] This is supported by Brian Bjordal in Gassco. Hydro-shef Eivind Reiten spoke strongly critically about the focus on the deadline in the Norwegian CO2 debate. He says to Technical Weekly No. 36/06: ‘The perspective must be what Norway can contribute, instead of fighting about the dates for when cleaning can be in place.’ And to the Evening Post on September 11th, Reten says: ‘We must not paint ourselves into a corner where we are forced into solutions such as investing in non-sustainable sewage treatment plants, instead of making a thorough effort on the big technology leap I think we will get to.’ On 9 October 2006, Svein Sundsbø from Norsk Industrie stated that Kårstø cleaning should be iced and that the funds should be spent on the gas power project in Central Norway, where CO2 can be used as pressure support in the Draugen field and also solved the power crisis. In other words, the project is not convincingly good. In other cases where there are billions of investments, the Storting spends a long time getting into all the facts to know what the benefits are, what the costs are, and what the risks are. So at Stortinget, we have in a couple of hours, and with two-sided mentions in the expansion proposition of the Oil and Energy Department on the budget, initially allocated 720 million. kr for CO2 cleaning on Kårstø. Then the NVE came a little later and said that the price tag was 5 billion kroner. When we discussed the budget, the Progress Party asked a number of questions to the Minister for Oil and Energy: How much will this cost? What are the operating costs? What kind of technology are you going to use? How much CO2 do you expect to get cleaned? There was no clear answer to that. Nevertheless, the Storting went and granted so much money, without bearing in mind what the price tag will be at the end. This is bad craftsmanship from the Government, and it is bad craftsmanship from the Stortinget, which adopts such a big project, based on so little knowledge. It is not least irresponsible to use taxpayers' money. A project must be defended on the basis of dietary/benefit considerations, research and development etc. It's not an independent argument that it's written in the Soria Moria statement. Political compromise formulations in the Soria Moria Declaration do not bring technological solutions into place. In any case, the government should be grateful that they have now finally seen the challenges and have said that they will postpone clean-up from 2009 to 2011. Although SVs Hallgeir Langeland and others do not realize this, and say that CO2 cleaning is still going to take place in 2009, there is movement going on, and that is good. However, the link between the different CO2 projects is still lacking. Through Kårstø, many people in the research community fear that they can only forget about something that involves Norwegian competence, in Mongstad. It's when I hope to have a debate where the government shows that they're actually seeing the whole, that they're willing to postpone Kårstø so that they don't put the Tent Credits and Mongstad at risk, that they're looking at other possible projects, so that people who come up with the coal and gas power projects in the next few years, know what the framework conditions they have to deal with, that those like IFE, who are working on tying up CO2 gas with e.g. olivin or titanium-containing products, also enter the large research pot, and not to carry out Kårstø at any price.
ParlaMint-NO_2007-03-06.ana.ud392e1190	The government’s climate policy contains several elements and instruments, and is not based solely on CO2 capture. Regardless of the start-up of a full-scale CO2 treatment plant on Kårstø, the Government will ensure that Norway complies with its Kyoto obligations. As a significant energy nation, Norway has a unique opportunity and responsibility to ensure the cleanest possible energy production and to contribute to the reduction of global greenhouse gas emissions. This is an important background for the Government’s CO2 management objectives. By focusing on technology development and concentrating on reducing carbon capture costs, CO2 capture and storage could be a global climate action. The IEA estimates that CO2 capture and storage can be between 20 and 28 pst. of total global CO2 savings by 2050. The EU's energy package, which was presented on 10 January of this year, aims at achieving a full scale capture of CO2 from 2020. The EU is committed to increasing its commitment to research and construction of 10-to-12 demonstration installations for the capture of CO2 from coal and gas power plants before 2015. With Mongstad Step 1, Norway is thus several years ahead of the EU. The government's decision to cooperate with Statoil to implement two-step capture and storage of CO2 on Mongstad is a milestone. The State and a commercial company have never previously entered into such mutually committed cooperation. In the context of Step 1, a technology company will be set up to own and operate test facilities for the qualification and development of technologies and solutions for the capture of CO2. The aim is to develop solutions that can reduce costs and technical and economic risks associated with full scale CO2 capture. This allows us to contribute to a reduction in costs sufficient to make capture and storage an attractive global climate action. If we achieve this, Norway will have made a significant contribution to the fight against global climate change. There has been a significant development in CO2 management since the Soria Moria declaration was written. Statoil and Shell have launched the ‘Halten CO2 project’. Gassco, Gassnova and Petoro have submitted a report showing that it is difficult to identify positive-current CO2 chains, Norway's watercourse and energy directorate, NVE, has produced a report on CO2 management at Kårstø, and, as mentioned, the Government has cooperated with Statoil on the full-scale capture of CO2 in two steps at Mongstad. As a follow-up to the objective of the Soria Moria declaration, I commissioned the NVE in 2006 to start the pre-projecting of a CO2 management plant on Kårstø. The NVE’s report on the project was delivered in December 2006. This report showed, among other things: – as has already been said – start-up in 2009 is not realistic, even if a very high level of risk and a shy economic environment is required. The start-up of the installation may be possible at the earliest by the end of 2011/2012. The costs of a full-scale capture facility, transport and storage included will be in the order of DKK 5 billion in investment and SEK 370 million. kr in annual operating costs. The cost of action depends, of course, on – and varies greatly with – the operating time of the power plant and the capture plant. The decisions of Soria Moria were based on the information you had at that time, and reflect the Government's objectives. The target was 2009. Unfortunately, the NVE's thorough planning shows that this is possible at the earliest by the end of 2011/2012. In the light of the NVE report, the Government invited a consultation to be held on 26 January 2007. I take with me the recordings from the consultation in the further work on the establishment of a fishing facility on Kårstø. All input from this consultation is available on the Ministry of Oil and Energy’s website. The government insists that the CO2 emissions from the gas power plant at Kårstø are to be cleaned, but we need to have a degree of humility in order for a full scale capture plant not to have been built in the past. There is a high risk and high cost of being first. Good project management and good processes are therefore essential for success. The government is now working to get this in place. The Ministry of Oil and Energy is concluding a contract with a project manager for the establishment of the fishing facility. The project manager will follow up NVE's work on the pre-projecting of a catchment facility on Kårstø. The government will later appropriately report back to Stortinget on further plans and progress for CO2 management at Kårstø. An updated budget allocation for the current year will be presented in the revised national budget. In 2006, the Ministry of Oil and Energy commissioned Gassco, Gassnova, NVE and the Oil Directorate to assess possible transport and disposal solutions in which CO2 from Kårstø and Mongstad are seen in the context. The project will run until 1 March 2008 and shall form the basis for the decision of the authorities on the choice of the means of transport and disposal. Timetables and cost estimates will be submitted according to the progress plan in June 2007. It's set at $30 million. for this work in 2007. So Kårstø and Mongstad are seen in context. Work planning is based on the preliminary assumption that 100 000 tonnes of CO2 from Mongstad will be handled in October 2010 and that the volume of CO2 from Kårstø will be able to be transported from the end of 2011/2012. The Government will also, in an appropriate manner, report back to the Storting on further plans and progress for the transport and disposal of CO2. Three CO2 management projects are currently planned in Norway: Mongstad steps 1 and 2, Halten CO2 and Kårstø. I refer you to St.prp. No 49 for 2006-2007, which was submitted last Friday. The Government commits to establish a State undertaking to protect the interests of the State in CO2 management projects. The State enterprise will maintain technology development in Mongstad, a full-scale plant on Kårstø and transport and disposal of CO2 from both Mongstad and Kårstø. It is a clear wish that Norwegian CO2 management efforts should contribute to Norwegian industry building up the necessary skills and becoming competitive with regard to low-carbon technologies. Today, there are too few suppliers of CO2 handling facilities to find real competition in the market. A key instrument for reducing fishing costs is effective competition. If Norwegian industry is prepared to compete in this competition, large market opportunities will also open up internationally. There is another issue that needs to be addressed – the issue of State aid to Mongstad and Kårstø. The Ministry of Oil and Energy is in dialogue with ESA and various EU Directorates on this matter. Finally, being first out costs. Being first out of full-scale cleaning involves economic risk in the form of exceedances. But it is not that full-scale cleaning on Kårstø does not have a learning effect on future projects. It's been fixed in the NVE's report. It was clearly also established in the consultation that the Kårstø facility will have a learning effect. Installations of this magnitude have never been established in the past. It is quite obvious that the establishment of a full-scale sewage treatment plant on Kårstø will give us a learning effect that we will also be able to have with us in the technology development work done on Mongstad. The government sees the two projects in the context of the transport and landfill of CO2 and also of the technology development to take place, which will reduce costs. We will develop a competitive technology that will be applied far wider than a few gas power projects in Norway.
ParlaMint-NO_2007-03-06.ana.ud392e1324	I am impressed by how gallant the Minister of Energy manages to refer to 2011/2012 as a target for Kårstø – despite what is stated in the Soria Moria Declaration. Camel pissing has obviously become common in the government quarter. It's a straightforward historical review given by the Council of State. There are many objectives mentioned that have not been challenged by the undersigned in any way — nor by others. The question I tried to raise is whether the government's proposal for implementation makes sense. The Council of State mentions a lot about Mongstad, but the question is, will one still add up to a full-scale facility worth NOK 5 billion, plus/minus – with operating costs of SEK 370 million. kr in the year – to be put in place, regardless of whether Kårstø becomes a base load facility or not? I hope the Council of State can confirm it very clearly, so that Hallgeir Langeland also understands the answer. The Minister of Energy points out that a lot has happened with regard to CO2 since the Soria Moria statement was written. There's no doubt about it. And it's great if the Minister of Energy adjusts the course afterwards – and gets the whole government involved. The question concerning Kårstø is: Will a full-scale plant be implemented in 2011/2012 – if that is what the Council of State said – even if it means that no Norwegian company will be able to deliver a full-scale plant? Ergo, should a company subsidise foreign suppliers? It will mean a competitor of Mongstad technology if it is realised in 2014 – a competitor who has been on the world market for at least two years before Mongstad comes into operation. And how will other gas and coal projects be treated? Will they have the same framework conditions as Mongstad and the same support from the State? Or has the government agreed that Kårstø and Mongstad will be realized at almost any cost, while all others who come with the project will be required to clean up CO2 from day one, but not one crown in support? The Council of State said that at the government consultation it was unequivocally established that Kårstø would have a learning effect. For God's sake, I hope a teacher does a little bit when one spends NOK 5 billion on a plant. However, Kjell Bendiksen of the Institute of Energy Technology clearly states that a full-scale Kårstø sewage treatment plant based on current technology will not provide a significant innovation gain, that technology is very energy-intensive and results in a significant reduction in the efficiency of the power plant. That was his input according to a note he handed out. Then it is not unambiguous, as the Council of State said. When you talk about a whole here, it's not just to see Mongstad and Kårstø in context, and also the Tent Credit, but it's to show all the other good CO2 projects that exist. I mentioned IFE's investment in olive oil and perfume, but I also want to mention EnPro, who is working on converting seawater into agricultural water. The oil company Shell was recently out in the media and said they were researching how to get CO2 gas into bricks. Such things can be at least as interesting as CO2 cleaning on Kårstø to NOK 5 billion.
ParlaMint-NO_2007-03-06.ana.ud392e1358	The first and most important prerequisite for the industrial use of CO2, for which we have received several examples, is that CO2 is actually available. Purifying CO2 from gas power plants will mean industrial opportunities that we will of course be able to look at and hopefully put into practice. It's too early to say what kind of applications there are. The project to e.g. Industrial power More related to Hustad Marble is just such an industrial project aimed at using CO2 for industrial purposes. However, it is not possible without first being willing to take the costs of developing CO2 management facilities, and so getting CO2, which can be used for such purposes in the next round. Kårstø won't be a competitor to Mongstad. As I have said, in the government's work, these two facilities are set up to complement each other, have transfer value, and where transport/deposit is to be seen in the context. We also include this in the same organization in order to get spin-off as far as possible, and in order to get cost reduction measures both places as far as it can be done. We assess from the Government's side how we can best contribute to the development of Norwegian technology. Suppliers have built CO2 treatment plants for many years on a much smaller scale than those on Kårstø, Mongstad and Tjeldbergodden. But Norwegian companies don't have qualified technology. Aker Kværner has come quite far in his Just Catch project. Of course, it is a goal for the Government to contribute to the competitiveness of Norwegian technology to have a place internationally in future clean-up projects. So Ketil Solvik-Olsen asked how the Government will handle other projects that had to come up, both in terms of gas power and coal power. The answer to this is primarily in the Soria Moria declaration. What we've said in the Soria Moria statement is that for the concessions that are already given, we won't change the assumption. In fact, that also applies to Forest, as opposed to what was tried to give the impression in the previous debate. The concession at Skogn stands firm. We will contribute to CO2 management there as well. In the case of new concessions, they shall be based on CO2 management. What financial support, if any, will be given to new projects, we will take from project to project, and we will see what can be possible under State aid legislation. We'll get back to that when the concrete projects show up.
ParlaMint-NO_2007-03-06.ana.ud392e1397	Norway is in a serious climate change situation. There's no doubt about it. It takes this government over. We're assuming that we want to get out approx. 60 million. tonnes of CO2 in 2010. If we look at the Kyoto agreement, to which all parties, except the Progress Party, have joined, emissions will exceed the 1990 level plus 1 pst, which is our starting point, that is. 50.3 million. tonnes. That's almost 10 million. tons more than what it's added up to there. Natural power plants on Kårstø will release approx. 1.25 million. tonnes of CO2 with 8,000 hours of operation. Obviously, we have a formidable task ahead of us when we see this in connection with other emissions on the base. This we have to take seriously, this we have to take over. We can't do like the Progress Party, and ignore that we have great challenges here. In our assessments, we focus on the advice of different experts in this context, not just advice from a one-sided expert group. We also address what the Intergovernmental Panel on Climate Change has emphatically stated, namely the challenges ahead of us. We fully support the global international agreements, and the Kyoto agreement is just such an agreement. The world needs more agreements, not fewer, to meet the major challenges. We need to have international driving rules. We can't buy ourselves one-sidedly by buying allowances out. We have to take a considerable amount of domestic, and this obliges. I say this initially in connection with the interpellation of Ketil Solvik-Olsen, which concerns cleaning on Kårstø, because when I hear this representative of the largest opposition party, I get confused to those degrees – and I don't think it's just me. But I can't get a hold of it. Where will the Progress Party? Ketil Solvik-Olsen argues unilaterally for an economic case on Kårstø. Then he goes on to say that they don't intend to go to the fight against the CO2 chain. No, no, no, no, no, He goes on to say that Kårstø is a dead end. All right. They are the trailers of the Kyoto Agreement. All right. What did the government of the Advance Party do? Where will the Progress Party? Therefore, this is in many ways an economic calculation made by Ketil Solvik-Olsen of the Kårstø project. Yeah, we're going to have that with us. But the government has invested almost $1 billion this year to seize the opportunity to create a value chain, which is completely new in Norway and the world. Then, as a nation, we must also use public funds to get this going and to meet the major challenge, namely the pollution problem for future generations. But I notice that the largest opposition party has no policy in this area, for one day they say one thing, the next day they say something else. I also have to refer to the excellent interpellant, which says the following: ‘The Kyoto Agreement regulates greenhouse gas emissions during the 2008-2012 contract period. Norway is unlikely to meet its obligations without significant purchases of allowances from the rest of the world.» When did the Progress Party join the Kyoto Agreement to guide Norway? It is an industrially political great promise that we are now taking. It must also be seen in the context of Mongstad, the Tent Goods etc. It has an industrial potential in itself that is formidable, not only for the nation, but also internationally. The landfill systems shall be viewed in a context. Then Kårstø will be there too. We're taking the step here, we're doing a job on behalf of the nation to actually meet the big challenges. It must be done in interaction by the state and the builder.
ParlaMint-NO_2007-03-06.ana.ud392e1424	There is no doubt that this issue is also about how we will be able to meet our Kyoto commitments in the future, how we can facilitate meeting perhaps the greatest challenge of our time, not least because global climate change is going to meet us – perhaps first, and most brutally and most intensely. Interpellanten, Ketil Solvik-Olsen, said that the cost of action would be at least 700 kroner per person. tonnes of CO2 that it is up to 10 times higher than the price level of international climate action permitted by the Kyoto Agreement, and that the Kårstø funds ‘will provide far greater benefits on the use of environmental measures abroad or technology development in Norway’. I understand the reasoning, but I very much disagree with the conclusions. At the same time, I just want to say, when the interpellant refers to expert opinions, that it is, as I have seen it, a little selective when the Progress Party chooses to listen to experts. It is clear that this will be expensive, and there is no one here in this room who has been authorised to issue blank cheques – nor in this area. Let me just say that I understand the interpellant in one area, and that is that if the best possible solution conflicts with the fastest possible solution for full-scale CO2 capture, we have to choose the best possible solution. But Norway, as a nation, has earned a search warrant. Without comparison with any other country in the world, we have served our search for oil and gas production. We've become a power of export. We are one of the largest oil exporters and also among the largest gas exporters in the world. Who else is better technologically? And anyway, who is better able to develop economic technology in this field than just Norway? I think it's a cardinal neglect if we fail in this area. Knowing that there are worse and more serious examples out there in the world – in China, for example, where one opens a coal-fired power plant every week – we have a commitment hanging over us that we must not turn our gaze away from. And I think we're making a mistake in relation to the reputation we're going to have as an environmental nation, as a technology nation, etc., if we're looking to ask ourselves the question: what can little Norway, please, contribute in this context? Well, if we're equiping ourselves to be able to develop a pilot in this area, we've done what we might be best able to do technologically and economically. I think in the future we will blame ourselves brutally if we turn away from this area. We can afford this. We have become hungry because of our oil and gas exports, and we also probably have technology nationally to develop what is needed to deal with and be at the forefront in order to manage the full-scale capture facilities for natural gas production. That is why this is an important matter. I don't want to be in this context primarily criticizing the Government for setting goals. But if it ends so that it stands in contrast to each other, to reach the best possible solution versus a fastest possible solution, I would think the government is able to navigate towards the best possible solution. The moon landing was used as an example, but I'm not sure the United States set a time target. And if you were in the vicinity of a time target, you didn't choose an Apollo solution to buy a Sputnik solution that could save time. We have to be in front here. We need to develop Norwegian technology, but we also need to assume the international commitment that we are at least economically best equipped and robust enough to assume.
