ParlaMint-NO_2007-11-08.ana.ud1064e38	The representative, Kari Lise Holmberg, will present a proposal for a representative.
ParlaMint-NO_2007-11-08.ana.ud1064e466	It's going to be line change.
ParlaMint-NO_2007-11-08.ana.ud1064e469	The Christian People's Party wants an ambitious climate policy. That's good. The center part divides the ambitions. But to achieve an ambitious climate policy, we need action that works. Due to our association with the EEA Agreement, these measures may, for example: are intended to conflict with competition policy in the EU. My question to the Christian People's Party is the following: If it turns out that competition policy in the EU is increasingly hindering action that works in climate policy – which also the Christian People's Party stresses the importance of – then will the Christian People's Party be willing to reconsider its position on the EEA Agreement?
ParlaMint-NO_2007-11-08.ana.ud1064e476	It is nice that a former centre party, currently in government, ask for advice on how to deal with EU and EEA matters in government. We would like to give advice there, but first of all, we are now busy getting a broad national climate deal. As you know, today there are three opposition parties in talks with the government to get a wide climate settlement. When it comes to the question of reaching a necessary agreement on Mongstad and Kårstø – that is, what the representative was looking for – I have to be allowed to return the question. This is just one of the big challenges that the government has. They're actually asking for an answer to what the hold is. Is this a problem, or is it not a problem? So we have to wait for a clarification from the Government on this question.
ParlaMint-NO_2007-11-08.ana.ud1064e483	Several have not asked for the word for a line.
ParlaMint-NO_2007-11-08.ana.ud1064e486	Let me first thank the Minister for Foreign Affairs for his presentation. The Central Party has considered the follow-up to the European Communication as a mixture of an orientation on where the processes in the EU, which are of importance to Norway and in which we are already engaged, are facing new initiatives, and the communication of concerns in areas where it is crucial for Norway to engage. For the Central Party, the European Communication was also the unanimous attitude of the Stortinge against the European Communication that not only the Government should pursue an active European policy, the Stortinget and the Scientific Committees of the Stortinge should do the same. That is why my party colleagues in other committees will also be active in parts of the debate that are taking place in areas related to their field of competence – for which the Minister for Foreign Affairs has well arranged. I'm going to focus on how the Center Party hopes the Storting should be able to take more responsibility in European matters in the future, with the background of the presentation. The size shall be reflected in the development of European policies in the past. We will help to identify key priorities for Norway. We have to take responsibility. We must not be passive in the process of European integration. When the Stortinget dealt with the European message, the vote was unanimous. I should like to admit that for the Central Party, the description of the EU was generally positive, so I find that the Minister of Foreign Affairs' statement is also positive. However, we accept this in order to reach an agreement on more transparency and prior involvement in the treatment of European affairs, and that several EEA and European issues should be able to go through the Scientific Committees. Most importantly, however, the Committees were to be given the right of initiative in European matters, so that the Government could get an early signal on the Storting's positions, and that the Committees could early invite them to consultations and have dialogue with the respective expert councils on matters that are important to the country. Our reading of the Storting decision for the European Communication was that early information on initiatives in the Commission would enable the Storting to contribute to greater transparency and debate. At that time, we can also early involve social actors and help to safeguard Norway’s interests against the negative effects of the EU’s most common unilateral market thinking. The Foreign Affairs Committee chose to be relatively open in its referral to the Presidency to return to the Stortinget with new draft Rules of Procedure. The setting says that: ‘the Standing Committees shall also be able to take initiatives to follow specific EU/EEA-related issues. In this context, the Committee recommends that the Presidency examine a supplement to the Rules of Procedure of the Storting which gives such right of initiative to the Standing Committees.» The Central Party is eagerly awaiting the Presidency's proposal to amend the Rules of Procedure. We are impatient to start a real debate and that Norway's top political body should be actively involved in policy-making on issues that require ever-new sovereignties. The Committee also noted that Norway’s EEA membership is increasingly turning foreign policy into domestic policy. The EU is trying, and succeeding far on the way, to provide market leaders for our environmental policy, our energy policy, our ownership policy and our employment policy. I think the Foreign Minister's statement with all clarity made it visible. He briefed on climate policy, chemicals policy, food policy and asylum policy – to mention something. These are policy areas for our expert councils. The Committee's initiative would be better based on annotated lists of EEA cases, the semi-annual informal written information provided by the Ministry of Foreign Affairs on the adoption of relevant acts, the adopted half-yearly statements by the Ministry on matters pending in the Commission, the more frequent use of short notices and the Storting's own expanded investigation competence in EU/EEA cases. Most of this, apart from the right of initiative of the expert committees to organise hearings in European affairs, has led us to engage in dialogue with the specialist councils and to obtain short-term reviews which could contribute to the early involvement of the Scientific Committees of the European Parliament. For example, the right of initiative for short notices could be included in the Committees in the half-yearly presentations. In the Foreign Minister's presentation, I noticed several issues that could be good candidates for such big messages as we requested. Now the Central Party belongs to those who support people in the EU in their demand that the draft reform treaty be tested with a referendum, as polls in many EU countries show that people want. Regardless of this, the statements of our foreign minister are so important that I think the Storting should get a big message where the Government explains what is changing, what consequences it has for our cooperation with the EU, how we should deal with it, and whether it has implications for the contractual content of the EEA Agreement and the Schengen Agreement. Secondly, the Minister for Foreign Affairs referred to the Commission’s Blue Paper on an integrated maritime policy and a more comprehensive maritime policy. These are areas where Norway has vital and great interests. According to the Foreign Minister’s statement, the Blue Paper will contain several elements with which Norway has generations’ experience. This is an example of what the Centre understands as a theme in which the Storting should be able to get a short scoreboard as a basis for early involvement in the priorities towards the EU. The third area that can be suitable for more thorough review is the issue of EU immigration, asylum and border policies. The link now made by the Minister for Foreign Affairs with development policies in neighbouring countries and the neighbouring continent in the south to reduce the flow of refugees is central. Early involvement in this process is reported on the part of Norway. It is also a matter of course to present the Storting more thoroughly, where one can be given the opportunity to discuss the role of Norway in this process, and what it may mean for Norway’s Schengen and Frontex exposures. These three issues are examples of issues that I think the Storting should be involved in more closely than just through a statement. They also illustrate that the six-monthly presentations can be provided by a specialist council. Furthermore, the EEA Committee should be able to choose to send cases to expert committees for consideration, which should receive a more thorough policy assessment. In conclusion, I would like to say that I have taken the freedom to reflect on how we can involve Stortinget more actively in European policy, among others. based on the six-monthly presentations. I hope that it can inspire us to look forward, as we did when we dealt with the European Communication in ours, regardless of the position on membership of the EEA and the EU.
ParlaMint-NO_2007-11-08.ana.ud1064e533	It's going to be line change.
ParlaMint-NO_2007-11-08.ana.ud1064e537	When the Central Party entered the Government and signed the Soria Moria Agreement, it was already there that a compromise was reached from the Central Party in relation to accession to the EEA, and that is part of the everyday life of the policy. As long as the EEA Agreement and the relationship with the EU are relatively unproblematic, there are probably not the major problems for the Central Party either. Now, in this debate, the Central Party has chosen to challenge the Christian People's Party on their position on the EEA Agreement, if there is a conflict with Mongstad. How does the centre party view this, and how far is the centre party willing to go in order for us to get a solution to Mongstad if we do not get the optimal solution as the oil and energy minister wants?
ParlaMint-NO_2007-11-08.ana.ud1064e544	It's always hard to predict the future, and here it's going to be the case. We don't know what will be the result of the government's investigations into the EU. We will go reasonably far towards finding a solution, and I believe that the solution will lie within the same area of interest that the EU will have, even if they have not come as far as their work is concerned to complete the legislation that we are all waiting for.
ParlaMint-NO_2007-11-08.ana.ud1064e549	International organised crime is taking increasingly serious forms and is affecting both individuals, businesses and society as a whole. It is therefore essential that we facilitate the participation of Norwegian police in international police arenas, so that Norway too can contribute actively to the fight against international crime. Norway's relationship with Europol and Schengen is central here. Despite the need for increased international police cooperation, the Centre Party has shown resistance to Norway's participation in the Schengen cooperation. Does this statement from the Government mean that the Centre Party has given up its opposition to Norwegian Schengen cooperation and that the Centre Party is behind the active participation of Norwegian police in EU judicial and police cooperation?
ParlaMint-NO_2007-11-08.ana.ud1064e556	The Central Party is behind what is designed in the Soria Moria Declaration. We are sceptical about parts of the Schengen Treaty, but we are within a cooperative framework that allows us to be said to be action-oriented in this way. However, I note that Norway cooperates well with the countries around us in a number of fields.
ParlaMint-NO_2007-11-08.ana.ud1064e561	Several have not asked for the word for a line.
ParlaMint-NO_2007-11-08.ana.ud1064e564	I would like to take this opportunity to thank the Foreign Minister for a good presentation. This is the second of its kind, and it helps to reinforce the impression that this is a useful tool for promoting government information and consultation on Europe-related issues. I am particularly pleased with the balance between general questions related to e.g.: The EU Reform Treaty, and more concrete issues related to specific issues of relevance to Norway. With regard to the first, the Reform Treaty, I fully support the Foreign Minister's assessments. However, I missed the deepening of two important issues for Norway. One relates to the EU’s deficit of democracy. The Minister for Foreign Affairs rightly pointed out that if the Treaty is ratified, national parliaments will have a more important role to play. However, I would have liked to see this deepened, as well as an assessment of whether this and other measures are enough to solve the persistent problem of democratic deficits that have followed the EU for many years. This will be of great importance to many Nordics’ assessment of the EU. The second relates to the path to further integration in the EU. Will it go deep, will it go wide, or will we see a core group surrounded by less ambitious countries? Strong forces move in different directions within the EU. The reason why I stress this is that it can be of great importance to what kind of EU Norway will have to deal with in the future, no matter what form of association we have to choose. With regard to the examination of specific fields of action involved in the presentation by the Minister of Foreign Affairs, it was mainly topical and good. This part of the statement was significantly strengthened in relation to the first statement, which was made in June, which I consider positive. I want to spend the remaining time on two subject areas on the more problematic side. State aid for CO2 cleaning in Mongstad and the Services Directive. CO2 treatment in Mongstad has become a very topical EEA-related matter over the past few weeks. The rug is the government's promise in the Soria Moria declaration of full CO2 clean-up at new gas power plants from day one. Since then, the Government has granted a concession for the construction of gas power plants in Mongstad without such a scheme for CO2 cleaning. However, Minister of Finance Kristin Halvorsen has assured us that CO2 cleaning will be in place in 2014 – despite the uncertainty of the technology to be used. Furthermore, there is uncertainty as to whether future EU legislation will allow for the scope of State aid that this requires. In addition, consideration is given to EU competition rules. I believe this shows that there has been a poor quality assurance of the promises made by the Government in this area. Within the EU, there is now a rope around the appearance of the State aid rules and the financing of CO2 capture. A draft State aid guidelines for environmental projects did not take Norwegian views into account, which does not promise the Government well. Furthermore, it can be mentioned that the European Commission has reduced the level of State aid for a CO2 management project in the Netherlands. This project was planned for 40 pst. State aid, i.e. a lower level of State aid than provided by the Government for the treatment plant in Mongstad. This raises several issues. One is whether the government has done a good enough job. Should it not have known about the uncertainty associated with EU legislation? Should it not take this into account when it went out and sold its “moon landing”? Furthermore, there are things that indicate that the procedure may not have been good enough. It turns out that the Government has not notified ESA of its involvement in the capture, transport and storage of CO2 both in Mongstad and Kårstø. Only the investment in the testing centre in Mongstad has been notified. This alone is enough to delay the project. Last but not least, there is so much doubt about the real agenda of the Government. Will it use the EU as a shell cover to fail to fulfil its full-scale clean-up promise at Mongstad in 2014? I believe that the government should clean this up as soon as possible. It has made significant efforts to streamline the handling of EEA matters. I'm thinking about St.meld. No 23 for 2005-2006, on the implementation of the European policy and the accompanying action plan. However, the management of State aid relating to CO2 clean-up has shown that it is unable to live up to its good intentions set out in these documents. Early warning, information flow, and transparency are key here. Another EU/EEA case where the Government is holding something is the management of the Services Directive. It was not mentioned in the first European political statement of the Minister of Foreign Affairs on 4 June of this year nor in the statement he made on Tuesday. I think this is striking, given the attention given to the Services Directive in Norway. The government seems to refuse to meet the desire of an overall opposition to make a statement here in the Stockholm Service Directive. This would provide a good opportunity to discuss the principal aspects of the Directive and its consequences for Norway. Every time this question has been raised, the Government has stated that it will come back to the Storting with an appropriate explanation at an appropriate time and in an appropriate manner. It has been able to show that the directive is being consulted. Following the expiry of the consultation period on 22 February of this year, it has shown that it needs time to review the consultation opinions and to complete the impact assessment. It is disappointing, given the Government's great emphasis on transparency and good flow of information between government and growth in the European Policy Implementation Communication. The background for this is understandable internal disagreement in the Government. But Prime Minister Jens Stoltenberg has assured that all necessary national measures against social dumping can be implemented even if the Services Directive is enforced. However, this has not been reassuring to his own people, which has resulted in significant opposition to the Services Directive within the Government and the trade union movement. This shows that good intentions related to transparency can get a brutal meeting with reality. Openness is easy to talk about, but worse to do something in practice when it's in its own rows, or when key promises of CO2 clean-up are at stake. Nevertheless, I would like to encourage the Government to go further in showing transparency in these and other EEA-related matters.
ParlaMint-NO_2007-11-08.ana.ud1064e624	It's going to be line change.
ParlaMint-NO_2007-11-08.ana.ud1064e627	In the same way as some others from the opposition, the Left chooses to address the process between the Government and the EU for the capture and storage of CO2 but without addressing the whole of the challenges that open up a great State economic impact in order to achieve ambitious climate targets on one side and EU/EEA competition legislation on the other. The question to the Left is the same as to the KRF: if it turns out that once in a while the wall meets the EU/EEA competition law to implement important climate measures, will the Left reconsider its view of the EEA Agreement?
ParlaMint-NO_2007-11-08.ana.ud1064e635	As my colleague in the Christian People's Party, the Left is also committed to bringing about a broad climate settlement now, and that must be essentially. As regards CO2 capture at Mongstad, I suggested in my post that it is possible that the government has not done well enough pre-work on this, neither in relation to competition rules nor to other rules. I'm sure the government will see it today. This has given them some problems, and they cannot just push them into the EU.
ParlaMint-NO_2007-11-08.ana.ud1064e643	Several have not asked for the word for a line.
ParlaMint-NO_2007-11-08.ana.ud1064e646	First, I would like to say that it is very good that so many people take part in this debate, and without demeaning the well-known face of the Foreign Affairs Committee, I think it is very positive that the trade committee is dealing with representatives here. That's what we've wanted to do together. I agree with that description that this is a lot of domestic policy – it is also about important parts of our economy and our political interaction with Europe. And then it'll be easy. And that's what it should be. I want to answer some questions that have come during the submissions. There were many detailed questions from the representative Solvik-Olsen. I think the oil and energy minister will get into some of them. But let me first say about the nuance between being uneasy, impatient and secure in the development of the Mongstad project in relation to the EU's work, that we feel by the Government overall when the international climate panel says that 30 pst. of the solution to the climate challenges must be in capture and storage, Bellona believes that 50 pst. of the challenges of the rich developed countries must be met in this way, and the EU has established this at its summit and is now working with legislation – then we see what progress is going on – that this is what we are going to do. Then, as the Minister for Oil and Energy has said – I agree and said in my statement – there is reason to be concerned about progress. Then 'disturbed' for me is synonymous with being impatient, because we have to go forward with this important project. I'm most concerned about what we read in the newspapers today from the IEA's latest assessments: 50 pst. increasing energy consumption by 2030 and a significant increase in CO2 emissions by all reference roads, and decisive measures need to be taken for the next six to eight years. This is why it is so important to do so, and Norway has to do so. Then I feel that we from the Government have been thorough in our briefing on the Mongstad project. There has been an entirely ordinary ESA process in stage 1, first stage, with CO2 management. The first contacts with ESA were made the day after the agreement with Statoil was concluded last October, and there has been close dialogue with ESA since then. The notification could hardly have been made before, because agreement with the participating companies was not cleared until this year. This could be described in detail by the Minister of Oil and Energy after his meetings in Brussels yesterday. I think it is quite amazing to hear the representative of the Progress Party ask questions about whether the Government is living in the real world on climate issues – here is the party that voted against the Kyoto agreement, which in 2003 denied that the climate challenge was real, and that is not part of today’s talks about reaching a broad national compromise to put strong action in Norway and internationally! In addition, the representative of Solvik-Olsen points out that we have a lack of realistic strategy towards the Bali conference, and that it is critical that our approach focuses on a solution that only rich countries can take on. It's the other way around. Norway emphasises what is to be done by incentives and solutions to involve developing countries in this agency. As you know, the contract covers only 30 pst. of the emissions. We need to bring the United States and Australia, but also China, India, Indonesia and developing countries, and there is a need for renewal in the agreement to achieve. The representative also asked questions about allowances free of charge. We have focused on getting Norway into the ETS Directive to give our companies a level playing field – that was a point in my presentation – as part of the EEA Agreement. And then we get to influence where we can, when this is also being developed in the further development of the quota mechanisms in the EU. Then there was a question of how far the development mechanism went. The representative said that it was 10 pst. which was set as a thank you. So it's going to be 20 pst. That's true. This is a result of the negotiations with the EU, and the idea is to put a ceiling on preventing too many allowances from being brought into the system from outside, thereby undermining the EU's own system. And then we'll also look at how it'll evolve over time. It was pointed out by the representative, Mr Vallersnes, that in EEA cooperation we have a key challenge in dealing with the EU initiative. That does not mean that we are passive on a major agenda in Europe. But now the EEA Agreement is once such that the right of initiative for directives lies within the EU, and cooperation is largely about how the EEA countries, including Norway, adapt to it. In a more active European policy, one tries to set an ambition that goes further, namely to get into the process early in order to be able to influence. Here is the work on catching and storing a good example. So it came up in some lines – I would like to comment on it – that if we do not like the EU State aid system, will we leave the EEA? I also noticed the representative of Valle's observation that the EU is the free game of the market, everything else has to give up. I cannot join that assessment. I believe that the discussion we now have about state aid is an example of a wide range of regulation of the free play of the market. I would also like to point out that if the alternative to dealing with EU legislation, EEA legislation, if we were not to like it, is to say that we are going out of it, and then we are disconnected from it, I really don't think that is true. One of the reasons we got the EEA Agreement was that we were going to have a predictability that would prevent us from getting into situations where we were suspected of abusing State aid and thus being hit by anti-dumping measures. It's one of the important things of the EEA Agreement that it gives us that security. Now the representative Sørfonn is far more immigrated in Hindu-soul migration than I am, so I'm not going to go into that field heavily. But I would like to say that we have to put a sort of limit on what kind of EU debate we have in this Chamber – whether we like or not the EU's reform proposals and what way the European Union is going, whether it is democratic or not democratic. I think it's an amazingly exciting debate, and I'm putting it in where it might be. But it is the case that we are not in the EU, and when I am going to explain the EEA and EU issues that are relevant to Norway, we need to find some kind of interface with the EU's internal issues, which are, in some ways, the main issues for the participating countries and where we are going to come in. I accept that there may be different views of where that line goes, but I have now at least tried to draw a line in my statement around it. This applies to the Services Directive, which is not mentioned in the presentation. Well – to the representative Larsen and the representative Sørfonn – there is no attempt to be closed. The Services Directive is there, it can be studied, it has been published, Norway has given consultation opinions. So we have three years before it has to be in Norwegian law, and we have to follow it very closely. The Prime Minister, me and the Minister of Industry have informed Stortinget that we should come back broadly with an orientation. What we're doing now, after hearing this, is going through what Norwegian laws and regulations are being affected by the Services Directive as we see it, and with a very firm focus on being able to implement national measures against social dumping. But I can confirm once again that we will return to Stortinget with this matter in a broad and thorough manner that will meet all the requirements for transparency and discussion that the important matter needs. So to the representative Samuelsen, who, in my opinion, made an interesting reflection around St.meld. No 23 for 2005-2006 and follow-up. I think we had about 90 measures in that message, and we believe that about 70 of them are now implemented. But it's important that the Storting thinks further along this line, and I notice his suggestion to get short staging messages as a room for discussion. It might be interesting to hear more about how the committee views it, and have a discussion about it. I would also like to say that the fact that the Storting is also engaged politically in relation to key EU issues, not least up to the European Parliament, is an important part of how Norway can pursue a more active European policy together. Because it's clear that in some of these institutions, our access is worse. When the Minister of Oil and Energy reports in Brussels to discuss CO2 capture and storage, we have central meetings, for Norway is an important player in Europe, and I believe the EU sees the importance of the work that Norway is doing in this area. They listen to what we have to say, and I also believe that at the end of the day we will come to a good solution to that field. But throughout the institution of the European Parliament, there is the challenge greater. On the part of the Government, we try to be present in different contexts where we have opportunities, but when national parliaments now have a more central role in the institutions of the European Union, probably into the next decade, I hope the Stortinget will be the meeting place consciously seeking ways for a country outside the Union as well.
ParlaMint-NO_2007-11-08.ana.ud1064e693	It's going to be line change.
ParlaMint-NO_2007-11-08.ana.ud1064e696	I am reacting a little to some of the statements made by the Minister for Foreign Affairs. He says that the Progress Party will not be involved in today's talks about a climate settlement. The truth is that the Advance Party has not been wanted from the red-green. We would like to participate ourselves, we have written it in a letter to the Prime Minister, but I note that the Government would rather talk about the Advance Party than the Advance Party. It is sad that the Minister for Foreign Affairs is not dealing with the proposals that the Progress Party has actually promoted around the Kyoto agreement, rather than bringing in old mold. I am even more responding to the incorrect information provided by the Minister for Foreign Affairs on what kind of climate quota law the Stortinget has actually adopted, because in the Norwegian climate quota law no free quotas are allocated to industry established after 2001, nor to increased production in existing industry after 2001. That's strange, and that's why the Progress Party responds and asks: what will one do when the underlying assumptions, that they should have to buy allowances through the green development mechanism without restrictions, have changed? The restrictions are 80 pst. Ban, 20 pst. gets a right to buy. Then the assumptions have changed.
ParlaMint-NO_2007-11-08.ana.ud1064e703	The President is not quite sure whether'retirement' is a parliamentary expression, but it must go for this time.
ParlaMint-NO_2007-11-08.ana.ud1064e706	I can live with it. When the Advance Party is not involved in those conversations, it is because we believe that the basis of the attitude to this question does not make it natural to enter into that type of conversation. That's our assessment. Then the Norwegian quota law has been thoroughly discussed. We've selected a historical intersection to evaluate how to define the emission level. It's also going to be put to the hearing, and it's going to the ESA, and I respect that this might be different. With regard to the use of the Kyoto mechanisms, there are restrictions on the level of the enterprises involved and covered by the EU ETS Directive – not Norway as a country. But I'm open to you having a discussion about the modalities of this. That's also why there's been an openness around it, there's been proposals from the Government, the allocation will also be put to the hearing, and then we'll listen and learn in that process.
ParlaMint-NO_2007-11-08.ana.ud1064e715	I intend to return to CO2 capture later. I want to come up with a reflection after hearing the statement that was made on Tuesday, and it is that it seems that the Government's position and the implementation of climate issues are entirely dependent on it being possible to do so in cooperation with other European countries through the EU. The statement made by the Council of State was a statement that described that, at all important points, the EU is in fact the means of action, including the implementation of global climate policy, as we wish. I would like to ask the Foreign Minister to comment on whether it would be possible to implement our climate policy without the EU having created a CO2 quota trading system, without the EU being a party to the conversation, and without any reason, for example. the policy they are now pursuing.
ParlaMint-NO_2007-11-08.ana.ud1064e726	It is no wonder that a statement on EU/EEA matters is about the EU/EEA, and so was my statement. I think I will answer yes to that question. The beginning of my presentation was that the idea of the EEA Agreement was to ensure equal, predictable rules for Norwegian business and a wide range of others in relation to the European. For historical reasons, it is natural. I also said that when the EU could make its quota cooperation, it was because over so many years they had developed common rules and common institutions to ensure compliance, etc. Therefore, it was natural for Norway to choose this key instrument, which will provide fairly guaranteed emission reductions, also marked, important volume, by joining the ETS Directive. I also believe that it is not only important for us to be able to implement the Mongstad project within the framework of rules accepted in Europe, but it also increases the scope for dissemination of what we do – if Mongstad succeeds – that we have it closely integrated into European cooperation. I am absolutely convinced that if Europe is not the task of growing up, we will not be able to transport technology or influence international negotiations.
ParlaMint-NO_2007-11-08.ana.ud1064e731	I want to go back to the Services Directive. I have no doubt that the Government is working hard on matters, and the Foreign Minister also confirms that the Government will come back to Stortinget with a broad orientation, with a conclusion. We've been on us for three years, he says. Can the Minister of Foreign Affairs, however, lift a little on the veil and give an indication of what time this will happen – in the fall, next year or later?
ParlaMint-NO_2007-11-08.ana.ud1064e738	I am basically skeptical to veil in any form, so I can take it completely away and say that we are working on that matter with the thoroughness the matter requires. Important political decisions shall be taken by the Government on the Government’s view of it. We have chosen a wide-ranging consultation procedure, receive many input, analyse the need for legislative changes, carefully assess how we can implement an active and complete policy against social dumping, outside the Services Directive and within the Services Directive. When we're clear, the government makes its decision, and we come to the Storting in the usual way. To that, we don't need a veil, neither to cover or to illustrate. That's the way it is, and then we're going to give a very thorough orientation for the Storting and draw the Storing with it the way it is.
ParlaMint-NO_2007-11-08.ana.ud1064e743	It has become a feature of the Government’s energy policy that one has given bombastic promises that one has not provided room for action in relation to the EU and ESA to implement. We, who were in the election campaign as representatives of the then government parties, were told that it was a matter of willingness to implement an industrial power regime that provided the industry with cheap power. Now we know that the Council of State has returned from Brussels with a clear message that it cannot be implemented, and now the Government is going to be in the think-box. Similarly, in the case of Mongstad, bombastic guarantees were given when questions were asked about the EU’s possible position on this. Among other things, we received: in a debate with the Minister for Foreign Affairs, clear assurance that the arrangements would be implemented as described. The finance minister said that she could guarantee with her heart that Mongstad is ready with sewage treatment plants in 2012. Can the Minister for Foreign Affairs today join such a guarantee?
ParlaMint-NO_2007-11-08.ana.ud1064e748	I believe that with this huge challenge facing our country and, basically, the whole world, to find lasting technological solutions to the challenges of CO2 emissions, one must have a strong political will and define one's major goals. The government has done that. In my opinion, it would be a little ambitious if we had gone after all sorts of objections and restricted the ambitions before we launch them. We've done this in a way where we set a clear goal. We are now recording that the EU shares this objective. We record that the EU meets us with interest, because we are in the forefront of experience in this area. We're at the forefront because we've started early. The sum of that is that I agree with the Prime Minister that this is what we are going to do, because it is the common challenge of Norway, Europe and the whole world. Maybe it's between 30 and 50 pst. of the answer there. Then we'll have to take it step by step and have the ambitions with us when we deal with the futures we have in relation to the European Union.
ParlaMint-NO_2007-11-08.ana.ud1064e757	I note that the Labour Party can cooperate with a party which is against NATO, which is against the EEA, which is against Schengen and which has repeated this resistance even in government. They think it's all right for government cooperation, but they can't talk to the Progress Party about climate, despite the fact that we've wanted to talk. We have proposed reducing CO2 emissions, etc. That logic will be allowed the Foreign Minister to explain later. I would rather go back to the climate quota law. The Minister for Foreign Affairs spoke of a level playing field as a basis for the climate allowance law, despite the fact that, on the recommendation of the Government, the Stortinget decided that we should have a stricter climate quota law in Norway than in the EU, where, in particular, all new industrial activities in Norway established after 2001 and all existing activities after 2001 will not receive a single free quota. Not a single free quota! These are not the same framework conditions as in the EU. Then I ask, did the Council of State in its previous reply mean that he still opened up to allocate free allowances to that industry, depending on what one receives in response to the hearing?
ParlaMint-NO_2007-11-08.ana.ud1064e767	I want to ask for respect for the fact that this is not my subject area as State Council. There must be good answers to that from the responsible state councils. On the quota side, it's the Minister of Finance. At the same time, I would like to say that Norway has chosen to define an ambitious starting point in its review and submission to the Climate Change Act. We have chosen our reference period, and we have chosen to face a system where everyone has to pay for allowances. What it's about now is to be able to connect us to the European system. It has to be done in a way that the EU accepts. We have had thorough negotiations on this, and we have been able to put forward a scheme that we believe should give us that solution. Then there are normal consultations and normal contacts with ESA, and during that period we will of course go in and be listening and make sure that the system that comes is as good as possible.
ParlaMint-NO_2007-11-08.ana.ud1064e774	The cord shift is over.
ParlaMint-NO_2007-11-08.ana.ud1064e777	One of the formulations that I am looking for when such a statement is presented is the overall thoughts about the EEA Agreement. I am therefore very pleased that this government too makes it very clear that the EEA Agreement is of mutual benefit to the parties. It's a natural, banal sentence that doesn't necessarily say so much, but that establishes the basics, that we're going to make the best possible out of an EEA agreement that we probably have to live with for a good few years to come. It is then important that both government and growth through such a debate, through the work being done by the government, and through the work being done on the Storting, focus on how we can get the best out of cooperation. I think it's taken proper action both in this house and in the Government to exploit this cooperation better, look at, of course, that the EU is changing, but that we too can change, how we target our attitudes, how we get into a previous intervention. Here, a good piece of work is done. A support bar in the EEA thinking is a level playing field for business throughout the EEA area. We assume that this is still a fundamental principle. Although we feel a certain concern that it may be diluting, we do not think it is the Government's intention and meaning, but that we are actively working to ensure that our business life has the same conditions as business in the EU. I would like to comment on some of the issues raised by the Foreign Minister in his statement, including: the financial instrument now extended to Romania and Bulgaria. I have previously commended the Government for establishing a separate bilateral arrangement in which partnership with Norwegian actors was viewed. I think it can be a model that can be developed in future negotiations with new Member States, and perhaps also revision of existing schemes. In the future, I believe that we must try to give priority to targeting these funding mechanisms against the poorest countries. After all, we need to believe in the dynamics of many of these countries, both in terms of democracy and economic development, and that many of the new EU countries, which we can still see as new ones, are moving towards a positive development of wealth, thus gradually phasing them out, so that we can focus resources on those countries that need it the most. I think that is necessary, especially when we see that some of the old EU countries are still involved in schemes. We have to take that grip just in order to defend the arrangements. Otherwise, they become a little incomprehensible to taxpayers and internally to the EU. The EU's internal processes have been said to be actively following them. It is always a debate on how many views we should have on the EU enlargement process and the EU Treaty revisions. I think we should allow ourselves to have opinions where we feel that our opinions are relevant, where we feel that what is happening in the EU is relevant and interesting to us. In many cases, enlargements of the European Union are relevant to us, and we should dry out our point of view. Finally, I will focus on the EU's foreign and security policy, which is and will become more important. There are many common interests, not least in meeting with the outside world. Whether it is the Middle East, aid policy or WTO issues, there are many things we need to talk to the European Union about, but I would like to dwell a little on how coordinated the European Union really is and how far the European Union is really willing to go. Norway has some important interests, not least in relation to our northern regions, and not least in relation to Russia. Will it not be that the EU's capitals, the EU's Member State, will remain the main interlocutors of the special Norwegian foreign policy interests in the future, and that, therefore, it is to a lesser extent the EU, as a joint body, with which we will be able to have discussions, for example. on the challenges in the north? Kosovo is a challenge for an EU as a whole, said the Minister for Foreign Affairs in his statement. No matter what the EU does, I would say that it is a challenge for Norway. I would also like to say that it is not necessarily the case that Norway has to act as a blue copy of what the EU is doing. The fact that we are outside the EU can also mean that in such a context we make independent choices.
