ParlaMint-NO_2007-06-15.ana.ud714e76	The representative Mr Børge Brende will make a proposal for a representative.
ParlaMint-NO_2007-06-15.ana.ud714e565	Jan Tore Sanner used some of his minutes to talk about climate. I'm glad. I am pleased that the Right now seems to be coming on the offensive also in that debate. One of the measures he mentioned is cheaper environmentally friendly cars. As far as I know, it has been the case that the car charge system we provided at New Year works as it should. The average emissions of the average car are falling. That's very good. The problem with the Right is that they have promised the voters that the cars will be much cheaper. I have a look-up here, with a very nice picture of fiscal spokesman Peter Skovholt Gitmark, who a year ago, when we presented our car package, said about the car charges: “We have to reduce the car charges by at least three billion kroner.” I am very familiar with the fact that the Right in the State budget for this year and in the revised total reduced the car charges by a little less than 300 million. kr. Can Sanner explain to the Norwegian people where the remaining SEK 2.7 billion in reduced car charges have ended?
ParlaMint-NO_2007-06-15.ana.ud714e579	Interestingly, such questions are raised from government parties running like rats from a sinking ship from their election vows. We are taking steps in the right direction, and we reacted to the government increasing the tax on the most environmentally friendly cars, the flexible cars, in the state budget for 2007. More than half of the flexifuel cars are sold by Saab, and for them the fee went up from NOK 10000 to NOK 90 000. I believe in the market economy and people's everyday choices as a powerful tool to solve environmental problems. But then, as politicians, we have to play with consumers. Then we have to make sure that the environmentally friendly cars get cheaper. And I can promise the Micasen that the Right is going to follow up on the next state budget to make the environmentally friendly cars cheaper, so that we can start a completely necessary environmental policy reverse operation.
ParlaMint-NO_2007-06-15.ana.ud714e586	The President would point out that a very poor parliamentary language was used to characterise co-representatives.
ParlaMint-NO_2007-06-15.ana.ud714e589	Yeah, calling us rats is going to be Jan Tore Sanner's thing. If I, for example, had set up an arrogance contest with Jan Tore Sanner, so I think I'd lost every single time from here into eternity. I think that's proved by Jan Tore Sanner in the lines that have now been. When, as a fiscal spokesman with a high cigarette drive, we say that our alternative state budget is going to lead to a fall in interest rates, then it requires – at least I would do it as a recipient of the message – that we have some references and good professional evidence to point to. Per Olaf Lundtigen referred to today's business life. And in the class struggle today, Hallvard Bakke – he’s an old worker partyer – says that ‘Hear Jan Tore Sanner has the gift of fraternity’. So from the extreme left to the most market-liberalist one points out what is from Jan Tore Sanner, and I ask: can he document this professional in any way?
ParlaMint-NO_2007-06-15.ana.ud714e598	When the government presented its revised national budget, several economists went out and said that this would lead to increased pressure on interest rates. Vice-Central Bank Chief Jarle Bergo believed that budgetary policy had become more expansive than assumed. Right-wing proposals where we reduce expenditure growth, but I think it is more important that we increase labour supply and that we implement structural reforms that will increase the growth capacity of the Norwegian economy. I record that the Minister of Labour was out and said that labour immigration has led to 1.5 pst. lower interest rate than what we would otherwise have had. I have no doubt that our proposal will help to dampen the interest rate pressure. But when we talk about arrogance, what I've mentioned is that when the Storting Financial Committee spends one month discussing the revised national budget, the government parties do not comment on a single remark from the opposition parties. One does not at all show the willingness to cooperate and does not listen to our proposals, either in terms of poverty, the environment or any of the other ideas we have recorded.
ParlaMint-NO_2007-06-15.ana.ud714e607	The cord shift is over.
ParlaMint-NO_2007-06-15.ana.ud714e611	Five years and four days ago, the orphanage agreement was concluded. Everyone should be entitled to a reduced-price nursery. The Soria Moria statement followed it up. And the number of figures five years and four days later is clear: from the budget year after a unanimous increase in the nursery arrangement, there are 71,000 new all-day kindergartens built, and 46 000 new children have children's playgrounds during the year. In total, we expect that by the end of 2007, a total of 251,000 children will go to kindergarten. Only after our government took over has a formidable 38 900 kindergartens been built. It is also the case that in the revised national budget this year, we are adding to an increase in the estimate of the expansion of kindergartens from more than 19 000 kindergartens up to 22 500. This is a formidable bet. This is something we are proud to have been given the opportunity to take the initiative, and we note that several of the parties that in their time helped to conclude this unanimous agreement, today – and in the past – are running from the agreement concluded by, among other things. to increase the nursery price. And I notice that Jan Tore Sanner from the Right at all does not estimate the importance of the job offer because he and Right increase the kindergarten price by 300 kroner a month. But one should not be Einstein to understand that more expensive nursery places mean that fewer people will take advantage of the offer and thus the opportunity to go out to work. To give parents a real freedom of choice, it was a very important requirement that we lowered the nursery price. It's got to go down. We do this in the municipality by municipality. In Beiarn, the SV Frigg-Ottar Us has got free children's gardens, and this has led to all children in the municipality going to kindergarten, and has made sure that more people do it. In Oslo, we expand the trials on free nursery services. We make sure that several of those who need it most come to kindergarten. This is important to us. This is one of the most important choices of SV, and we're doing it. Every single time we present a budget, the government makes sure that this great welfare project that we have committed is actually being implemented. I'm proud of that, and that's what the government and I agree is an important investment. It's very much positive to track off the stakes in this budget. We get to the bet on fruit and green. So we're going to put fruit and vegetables in every high school. We're experimenting with all day school, both with free school meals at some point and with an extension of hours, because we believe this is the most important thing to continue with what our government has tackled, namely that one of the biggest challenges for school as a result of four years of Right School and many years of school policy that has not worked well enough is a drop-out in high school that has been alarmingly high. In professional studies in some of the northernmost states, we have a decline of about 50 pst. and upwards. We're doing something about this with a bet on advice. We're doing something about it when it comes to grips with people's early learning processes. We have a great commitment to environmental protection, and I think it's quite fascinating to listen to the Right, because – it's also been taken up in today's business – they didn't get a marketing order until they left the government offices. Now we come up with a proposal for a trading order in the budget we are presenting, which is more ambitious than any party in the opposition has proposed in the past. We'll make sure to put the 5pst in place. marketing obligations in 2009. As far as I remember, the Left's proposal was earlier on 2 pst, and 4 pst. in 2010. So we're going to start with a step-up right away. This is a large-scale commitment to climate and CO2 reduction. That's why I think the criticism from Jan Tore Sanner falls on his own unreasonableness. The economic situation is such that the unemployment rate after we take over is halved. That's how we've gotten the lowest unemployment we've had in the last 20 years. We are proud of this, and the fact that we maintain the high level of investment in labour market measures allows us to manage to get some of the people who have been unemployed in the past to come back to work. We are the first government to present a budget that is below the rule of action, sending out a clear signal to the market and others who are listening to us intend to pursue a policy and control the economy.
ParlaMint-NO_2007-06-15.ana.ud714e629	It's going to be line change.
ParlaMint-NO_2007-06-15.ana.ud714e632	The representative Heikki Holmås used much of his post to tell us how good SV is on kindergarten policy, and that's what they spent a lot of their time on in the last election campaign – that it was going to be full child care coverage. I'm from Buskerud. One of the worst municipalities in Buskerud in terms of child care coverage is the Lower Eiker, which is governed by the Workers' Party and the Socialist Left Party. There are growing queues for our little rolls, which come in kindergarten queues. When we look at the neighbouring municipality, Drammen, which is governed by the Advance Party and the Right, we abolish the kindergarten cows. I quote the Minister of Finance, who, according to Drammen's Official Journal, said in the TV 2 news: ‘The despairing young children’s parents, who now feel too slow in their own municipality, should have it high on the list when deciding who to choose for the harvest.’ Is Heikki Holmås’ advice to despairing little children’s parents in the Lower Eiker the same?
ParlaMint-NO_2007-06-15.ana.ud714e644	The answer to that is yes. You have to make sure to vote on the parties that fulfill the promises they have given. I don't know the situation in the Lower Eiker in detail, but I know the situation in this town, Oslo. We have the largest nursery cows in the country. There is no doubt that the City Council, where the Progress Party and the Right are running, promised full child care coverage by the 2007 elections, i.e. by August. We see very clearly that it is absolutely not possible to satisfy at all. There is only one reason for this – one has come too slow with this important, big effort to expand kindergartens. The first year of the Advance Party, together with the Right, ran here in Oslo, I guess you had a kindergarten expansion of about 300 places. Now you've got a big kindergarten extension. But the really big bet happened only after we got a government that was serious about reaching the goal of full child care coverage, namely the red-green government, our government.
ParlaMint-NO_2007-06-15.ana.ud714e649	The representative Holmås spoke a lot about kindergartens, as he says is one of the most important election vows. We did not hear anything about the other important thing, namely the fight against poverty. The representative of Skovholt Gitmark quoted in a reply to the committee leader earlier today The Board of Directors of the Rusfield, who writes on their websites that it is the addicts who pay the price. And on that it is ‘a historically poor government budget, followed by a historically poorly audited budget. Through the previous health ministers, the Russfield has sat down until the table, right at the bottom, but Brustad pushes the field back under the table. A crown is not allowed to start a bet that has been announced for almost 2 years». This quote defecated the committee leader as false premises and false conclusions. Does the representative Holmås have the same arrogant attitude toward those sitting at the bottom of the table?
ParlaMint-NO_2007-06-15.ana.ud714e661	No, no, no. I believe that we have worked well, but that we have no reason to be content until we have abolished poverty here in Norway. I think it's right to say that many of the people who are heavy drug addicts have to live off are social assistance. We have tried to escalate this social assistance by increasing the indicative norms for social assistance rates. We've increased the children's supplement for a lot of different benefits. We have made sure that unemployment goes down, which is an important contribution to ensuring that more people do not become poor. We come up with some universal arrangements, for example. fruit and vegetables at school. We know that the previous scheme that lasted for years had a very distorted social profile. As for the drugs field, there's no doubt that we have a big stake there, and we're following the escalation plan within the psychiatry, which a broad majority in the Stortinge have agreed to. The fact that we are going to present an action plan on the drugs field shows that these are things we are addressing – and not forgetting the community economy and its strengthening.
ParlaMint-NO_2007-06-15.ana.ud714e668	In the last two budget debates, I have asked the representative Holmås about the situation of rubrics. In both cases, the representative referred to what was to come, a proper upgrade, a bet, an escalation plan. The situation in the drug sector after SV has been in government for almost two years is a major deterioration. Still younger children go into congested environments. There's been almost as much recruitment to the drug community in Oslo in the first four months of this year as last year. Health surveillance is alarming: there is a unilateral commitment to drug and outpatient treatment, shorter long-term treatment, lack of coherence in services, a reduction in the number of rehabilitation sites, and many are not defined as rights spaces that should have become it. There are many who are seriously concerned. The only organisational grip taken by the government is to facilitate 100 new poles, in addition to a 50 million bet. NOK, and a little bit more last year. My question is: why hasn't the drug action plan come? I know what the government has tried to do, but why hasn't it come?
ParlaMint-NO_2007-06-15.ana.ud714e675	I don't have a good answer to that, except to say that it's coming, because this is about doing something about the troubles of the people who are the most outnumbered. It's very, very important. I believe that the job we have done in relation to ensuring that the local economy is cleaned up, for example. In a city like Oslo, you have more money to do a job on all kinds of fronts, and it is important to address this in those municipalities that have the biggest challenges. There is no doubt that Oslo is the municipality in the country that has the biggest challenges and has a good deal to do, and that it is important that they prioritise their work in the field of drugs. It's quite right, as the representative Laila Davøy says, that it's about the whole of the offer. We could like to have a discussion about the organisation of care and look at how those things were changed during the previous government. We had some debates where some of us would like to disagree with all the parts of the reorganisation that were taking place. But I think this is a debate that we need to spend more time finding out what are the important measures to help those people who have drug problems.
ParlaMint-NO_2007-06-15.ana.ud714e682	In the election campaign almost two years ago, there were very many from the red-green camp of politicians who promised the industry political power prices and cheap power. In the revised national budget we are dealing with today, the Government is in effect saying the same thing as the previous government, that this is difficult or impossible to achieve because of the EEA provisions, and that prices must be set in the market rather than in the government offices. On Wednesday we had an unusually rare concentration of testosterone in front of the Storting Building, it was claimed that politicians lacked balls – and there were probably especially red-green politicians in this context. But according to the newspapers, the Council of State has promised to keep the promises. Is the effort to get policy-determined and low prices for the electricity industry something the representative Holmås will give priority to the next few months?
ParlaMint-NO_2007-06-15.ana.ud714e689	Every time the representative Lars Sponheim is in the room, we have an unusually high concentration of testosterone in the hall, so we're used to it. [[Laughter]] I would like to refer to what the Minister for Oil and Energy has said in that matter in a press release in connection with the revised national budget, and to what was said by him and the Minister for Industry in relation to the demonstration that was on Wednesday, that is, that this is something we are working on and that we have ambitions to move on with. We're working on that case. I'm going to be able to contribute to this, because this is something we have mentioned in the Soria Moria Declaration, and that is decided upon in my party's organs.
ParlaMint-NO_2007-06-15.ana.ud714e696	The president would point out that even if you're eager, it might be a little age-old to be a little balanced in the use of words.
ParlaMint-NO_2007-06-15.ana.ud714e700	When there's a competition for arrogance, I don't know who would have won. But when there is a competition for self-confidence, I believe that the representative Heikki Holmås is very high on the list. A self-crust should be a known listener, as it usually comes from the heart. It'll do it in this case as well. There's almost one thing that this excellent government can't fix. When it comes to unemployment, it goes down, and the employment goes up, and it comes from, according to the representative Holmås, the government's excellent policy. But when, on the other hand, interest rate increases apply, there is something for which the Government has no responsibility. It comes from the international boom, for which, of course, the Government has no responsibility whatsoever. It's kind of hard to see this context. So I could imagine that the representative Holmås could explain more: how does the decline in unemployment come from the excellent policy of the Government, while the rise in interest rates does not come from the government's policy, that there are no grounds for this? How does it feel that the government is responsible for the one thing, and the other is not responsible for the government?
ParlaMint-NO_2007-06-15.ana.ud714e708	I don't want to participate in a competition for self-crust. But I think it's important to realize that part of the promises we've made, and give, we're actually following up on practical policies. The children's hail, which is one of the most important promises we have made, we follow up on practical policies, and I think that's important to say. But we're not satisfied – and I think it's very important to underline – because society will have challenges all the time. And as I said earlier to one of the replicators, I'm not satisfied with the situation that we have poor people here in the country. I am not satisfied until we have managed to eliminate poverty. So the unemployment rate and the interest rate. I am very pleased that the Progress Party acknowledges that there is a link between unemployment and interest rates, and that it also means, I suppose, that the Progress Party ends up on policy, when, after all, they have had an impact on the part of the policy that is about having an inflation target for the central bank that makes interest rates normalise between 5 and 6 p.m. But I think there's a difference between not running an active labour market policy and doing what our government is doing.
ParlaMint-NO_2007-06-15.ana.ud714e717	The cord shift is over.
ParlaMint-NO_2007-06-15.ana.ud714e720	I do not know whether the Minister of Finance sometimes recalls in his silent mind the old saying that ‘there is going to be a strong back to carrying good days’. For the good days, they're knowing now, and it's today's political actions and course presentation that will give political challenges in a few years' time – on good and bad. In the revised budget, the government has been helped by an economic situation that is quite unique. Revenue is increasing in the billions class, different public-interest companies are going so well that dividends are high in record terms, and the cost of popular-security is reduced by over DKK 2 billion. In total, it gives almost 5 billion dollars plus compared to the budget adopted — a dream situation — at least if you have a strong back. For the temptations lie there, the tasks are many, and the short-term can easily distort the long-term. The almost ten interest rate increases from Norway’s Bank in less than two years remind us of the long-term challenge: ensuring a balanced development in the Norwegian economy, where the use of oil money contributes to such a development — and does not counteract it. In line with this, the rule of action should now be used as intended, namely to reduce the oil-corrected budget deficit. The main challenge lies here, too: how do the good days of budgetary policy bear so that we do not risk that Business Norway and those with high mortgages will have to pay for lack of action – or should we say resistance – on the part of politicians? In our revised budget, we use slightly less than the government spends, but I'm not going to say in any way that there's going to be a difference in interest rates. What is important, however, is the overall signals for the financial years ahead. On the part of the Christian People's Party, we make changes to the tax arrangements, including: with stronger environmental incentives. We reiterate our desire for – and the need for – environmental cooperation across the blocks. I guess no one has considered a Christian People's Party to be the spirit and tobacco's foremost weaponist. We adjust the charges on these goods, though – and it is important to say – on a much smaller scale than the individual has found too well to inform the public. On the part of the Christian People's Party, we also want to stimulate increased savings. Therefore, we return to the individual pension saving with tax deductions. It can also have a positive effect on the economy as a whole. In a situation where we have a shortage of labour, about 25 000 people are in line for vocational rehabilitation. It is strange that the Government does not use the occasion for a power take-off in this area. Instead, the allocation was cut. We see that the provision of work training to drug users and those leaving prison is being dropped. It's a kind of red-green policy I don't understand. The Christian People's Party proposes in its revised budget a strengthening of family policy. We do that by strengthening the paper issue by one week, and by improving the rights of women entrepreneurs in the context of pregnancy and childbirth. Strengthening student-children's gardens and family protection is also a priority in the revised budget, as well as strengthening the voluntary sector, among others. in the case of the school sector and Freefonds. The government's care message was dealt with earlier in ours. Unfortunately, there was no binding plan, as we in the Christian People's Party had seen possible. In the revised budget we follow up from our side, among others. with a strengthening of the rehabilitation sites and with a stimulus to the elderly centres. We are also very impatient in the drugs sector. We're still waiting for a long planned drug plan. Many addicts want treatment, but they don't get it. Many institutions have vacancies, but do not have finances. Something should happen here – and we are doing something in the revised budget. I would also like to say that the Information Service's fund should have been treated in a completely different way. Here we risk that workers get a worse situation, by, among other things, orphanages are not rehabilitated, something else they could have been. Finally, we in the Christian People's Party felt that there was some kind of invitation to cooperate in relation to the revised budget. Then we could have done something for those who are struggling with their drug problems, and we could have done something about family protection and the health and care sector. We must note that there was no desire for such cooperation. We think that's gross, not because we absolutely need to cooperate with the government parties, but because there are a lot of things that would deserve a better solution than the revised budget provides. I'll bring this up with our suggestions.
ParlaMint-NO_2007-06-15.ana.ud714e753	The representative Hans Olav Syversen has taken up the suggestions he referred to. It's going to be line change.
ParlaMint-NO_2007-06-15.ana.ud714e758	It's been a year and a half since the Bondevik II government released its last budget – for a long time, we all hope. It seems to us that 150 years ago. That's why I want to repeat a little bit of the story from then on. The infant supplement was cut. The appropriations for the SFO were cut. The equity ratios for the elderly and the disabled were reintroduced. The appropriations forrenewal measures were cut. One suggested removing the net pay scheme for seafarers. An extended pay obligation under leave of absence. And it was proposed – and adopted – a tax bill of 12 billion kroner. Does the Christian People's Party feel comfortable – after a year and a half – living a great man on the money of others?
ParlaMint-NO_2007-06-15.ana.ud714e767	I don't know if the money the representative Klungland refers to. That would be the Norwegian people's in case. One might have a slightly different view of who actually owns the money around. We feel very comfortable with what we did in the Bondevik II administration. It provided the basis for an economic policy that the red-green majority can now benefit from. As the representative of Klungland well knows, this government can live with oil revenues far beyond what the previous government could. And I'm not sure if it's the red-green government's profit that the oil price is the way it is.
ParlaMint-NO_2007-06-15.ana.ud714e776	In today's vote, the representative of the Syversen is quoted as follows: ‘This member will reinforce the importance of kindergarten as the language training arena. This is particularly important for children with a minority background.’ In view of this, the Christian People's Party proposes to introduce free core time into kindergartens for children over three years of age, if parents receive cash support. I fully support the emphasis of the representative of Syversen on the importance of kindergartens for language training and integration of children with a minority background. What I'm responding to is that this only applies to children of parents who receive cash support. Why should not children who do not have babysitters or who have babysitters in kindergarten be offered free core time when we agree on the importance of language training and integration?
ParlaMint-NO_2007-06-15.ana.ud714e788	I think it must be a misunderstanding about what the representative of Lund Bergo has read. We support what the Government has proposed about free core time in specific areas, which the representative Lund Bergo was in, in order to strengthen language training. In addition, it is important that those not in kindergarten also receive language training. In order to prevent the possible effect that someone does not go to kindergarten because there is cash support for others, we have proposed what we have done. But it's not going to happen instead of anything, it's going to add up.
ParlaMint-NO_2007-06-15.ana.ud714e793	The representative Hans Olav Syversen emphasises in his remarks that the alternative draft budget of the Christian People's Party would involve a marginally better balance than the government's proposal, a saving of 80 million. kr. In my opinion, this is a very precise description. I think it serves the Christian People's Party to the credit that one does not arrogantly overlook the effects of one's own policies, as some others in this Chamber do today. But then the Christian People's Party expresses further concern for interest rate developments in the future through the following wording: ‘in order to avoid an even faster rate increase in the future than both the Government and market actors have previously foreseen, the Government must provide a government budget for 2008 where the structural oil-corrected budget deficit rises less.’ [[...]] My question to the representative Syversen is whether the Christian People's Party itself has a responsibility to make proposals to improve the balance of the economy. It is at least very positive that the Christian People's Party here expresses great support for the Government's ability to govern the Norwegian economy. What are the Christian People's Party's own proposals?
ParlaMint-NO_2007-06-15.ana.ud714e805	Now you referred the representative, Mr Brerk, to what we are proposing in the revised budget. Coming up with what we're going to propose in the ordinary budget for 2008, is a little early, all the time we're there in the year. We do not know the Government's draft budget. What I think is important is that the government for market and interest rate development reasons emphasizes that you want a budget that is so tight that we don't get any interest rate developments that go into a higher orbit than we would otherwise expect. Because we get that, I think the representative Breck and I will agree that those who want to suffer from it will be Norwegian businesses and individuals and families with high mortgages. I hope that both the Center Party and the Christian People's Party have a common interest in that not happening. Then I can promise the representative, Mr Brerk, that in our alternative budget we will ensure that we have an economic policy that does not contribute to higher interest rates than is necessary.
ParlaMint-NO_2007-06-15.ana.ud714e815	I just want to start by saying that I think it's probably both the Christian People's Party and Hans Olav Syversen that there's a difference between being in position and being in opposition. Then I want to give the Christian People's Party the recognition that in many ways the Christian People's Party is a party that stands close to the government parties, both in terms of community and not least in terms of focusing attention on those who have a need for assistance in Norwegian society. With that in mind, it surprises me – and it amazes me greatly – that the Christian People's Party has a proposal to reduce the day-to-day pay obligation by permitting from 34 to 32 weeks. Is this not an unsocial measure, which affects those who have involuntarily come into a very difficult situation, and who, in my opinion, should be in the group that the Christian People's Party has a desire to be part of and help?
ParlaMint-NO_2007-06-15.ana.ud714e822	It's an action we actually think we can defend right with today's situation in the labour market. I'm much more concerned that the government doesn't do anything for those who really need to get into the labour market. I have mentioned several examples that those who need work training do not actually get it, because of lack of funding. In order to use the praiseworthy words of the representative Jacobsen that we stand together in a number of matters, I would like us to be able to stand together in such a way that it would have been possible to achieve something during the examination of the revised budget just in order to meet groups that I believe we could jointly need a few extra dollars, so that they could have come out better than what they do with the government's arrangement.
ParlaMint-NO_2007-06-15.ana.ud714e829	Several have not asked for the word for a line.
ParlaMint-NO_2007-06-15.ana.ud714e832	The underlying forces contributing to the high temperature of the Norwegian economy have increased further since the 2007 national budget. As a result, estimates for several of the main economic figures have been raised in the budget we are now discussing. I can mention that the growth in private consumption is now estimated to be 4 pst., against 3 pst. in the budget, furthermore, that the increase in oil extraction investment has increased from minus 2,5 pst. to 5 pst. and that the housing investment has increased from 0 to 5 pst. In total, these increased investments and consumption in the private sector represent an estimated DKK 21 billion. When I bring this up, it's because it's important that we have the balance between public and private consumption in the debate on the Norwegian economy. We also need a strong focus on the tools that can be used, to also dampen the growth of the private sector, because it is an important part of the whole. That being said, on behalf of the Centre Party, I would like to say how pleased I am that our government continues to give priority to the community in the areas of opportunity that one has. It's reassuring. It is important now that we in fiscal policy go under the rule of action. It is therefore important that the requirement for priority and political leadership be even greater, because there are a number of tasks that need to be carried out. During a boom, there is a greater need to correct market forces – in order to ensure distributional reasons and to ensure investment in future, whether in education or in communication. Tax policy is a central element of fiscal policy, and it is central that fiscal policy continues to pursue the principle of ability. That's what's going on, and that's what can make sure here that we can also help change how we invest our money. The interest-rate instrument is necessary to be used. It's right to increase interest rates, as so far there's been an agreement in the hall. At the same time, we should be aware that its stronger tightening through increasing interest rates, the more evident is the weakness of this instrument. Both distribution and competition considerations are then very demanding, and we in the Centre Party are very pleased that the Government is very concerned about this difficult balance in its economic policy. The revised national budget has clear improvements and corrections in two key areas — both in terms of well-being and infrastructure. It's a significant addition to hospitals, which provides greater security. There is a strong commitment to child protection, which is absolutely necessary. Child protection reaches the lowest levels among young people, and there are very many who need extra warm care. On the infrastructure side, the Soria Moria Declaration has clear formulations about developing broadband for all households during this year. That's why it's set at 255 million. kr on that entry. It is important to point out that county councils are now given greater responsibility, and that is where there was a raging development in the use of broadband. This is probably a matter to which we come back, in order to ensure that it can develop further. Industrial power has been mentioned. An orientation on the industrial power situation has been provided by the Government, and the responsible State Council, Odd Roger Enoxen, will soon put forward concrete proposals on this matter. This issue concerns predictable power contracts for power-intensive industries, whether they are melting plants or woodworking industries. We are very pleased with what the Government has now clarified in this area. It is clarified from the State Council responsible that if the EU has different opinions on the proposal from Norway, one will refer the matter to the European Court of Justice if necessary. This is a position that both LO-linked industry and NHO-linked Norwegian industry have supported, and that is very good. Finally, we are facing major climate challenges. The government balances the proposal in the revised national budget, facilitates renewable energy taxes, increases oil and gas taxes – it is absolutely correct and important to keep that balance. At the same time, it is important that we have a massive public arrangement for future investments, in order to remove the large exhaust emissions on the base and in large industrial enterprises. It'll be demanding, but we can afford it.
ParlaMint-NO_2007-06-15.ana.ud714e855	It's going to be line change.
ParlaMint-NO_2007-06-15.ana.ud714e858	There was a line change here instead between the representative Lundtägen and me, where I, among other things, referred to something that the representative was very concerned about a year ago, namely lack of investment in the road sector and investment in national roads. Then the representative Lundtigen was concerned about the situation that is on many of our highways. So this government has put some more money into the state budget for 2007, but in the state budget that applied last year, there was no follow-up to the national transport plan. This means that there is still a significant lag in relation to national road investment and that of the national transport plan. Is this representative Lundtigen concerned? What will he himself take the initiative to do in order to put in place the necessary important road investments, such as: are extremely important for the basis of existence in the districts, for the residents living there, and for the goods and services to be transported?
ParlaMint-NO_2007-06-15.ana.ud714e865	It is true that there is a lag in the road sector. The centre party is concerned about the situation of the emergence of our roads. The objective analyses carried out by the Road Directorate of Road Standards show what everyone sees, namely that there are major unfinished tasks. What is now extra demanding, however, is that we use so many of our professionals for private investment that we are in a completely different and much more demanding situation in 2007 than what we were in just a year ago. But as I said, this requires political leadership. I can assure the representative of the Progress Party that this is a high priority area on the part of the Centre Party, because it is an area where very many people are concerned. One sees this as a matter of everyday life, and that something has to be done to reconcile what one considers necessary in terms of quality in 2007 with what the population wants.
ParlaMint-NO_2007-06-15.ana.ud714e874	The wall of silence is – if possible – even bigger after listening to the representative Lundtigen. Councillor Kristin Halvorsen admits that the objective of the Soria Moria Declaration to eradicate poverty is not being achieved. SV's Karin Andersen, head of the Labour and Social Committee, says she's disappointed not to have received more. If the representative Lundtigen agrees with both the Council of State and Karin Andersen that the Government is not doing enough to combat poverty, how can he explain that the government parties are not interested in supporting any of the opposition's proposals for measures to combat poverty, including any of the Right's proposals? I can mention ‘Indoor Tunet’ measures, a low-threshold service for people with mental and drug problems, strengthening child and youth activities in large cities, ‘Snow in the Door’ measures to provide young people with social assistance training, sustainable housing rather than shelter. When the Government salted up in 2005, it was obviously handed out skyscrapers, not only to government members, but also to the representative Lundtigen.
ParlaMint-NO_2007-06-15.ana.ud714e885	What is stated in the Soria Moria Declaration on eradicating poverty is central. It's a central parole, just like it's a central parole to have work for everyone. It is positive that the Right Party is now presenting its proposals on how to do something in this area, proposals of 75 million. kr. The government's proposal implies that one has other means of achieving the same. So the essence of the matter is that the government, when it comes to the total economy, will take care of those who are worse off, better than what the opposition wants to do with what they come with. But as I said, the centre party is happy that the right party has now focused a lot on the weakest of us. We hope that it will be vigorously followed up in the future budget.
ParlaMint-NO_2007-06-15.ana.ud714e894	As the representative Lundtigen is well known, the NOx fee is marked strongly along the coast. Many fishermen actually have to pay up to NOK 100 000 per year. person in NOx tax, without achieving the necessary NOx targets with it. It's a safe cost, but an uncertain environmental impact. Therefore, fishermen are very concerned about setting up the agreement basis for a NOx fund, so that a balanced development can be achieved in this area. We know that such an agreement must be notified by ESA. It'll take time. Then my question to the representative Lundtägen is whether he wants to be a driver for the government to have this contractual basis in place before the summer holiday, and whether he can in that case see whether the fishermen who paid the fee for 2007 can get it refunded.
ParlaMint-NO_2007-06-15.ana.ud714e913	The answer is, of course, yes. There is no disagreement within the Government about facilitating the representation Sahl said – a contractual basis for a NOx fund. What was done in connection with the budget last autumn is firm. What is being said is central: this must be notified to ESA, and we must ensure that there is a system that is proposed and that can be implemented. There's a high priority in the Center Party. I fully agree with the questioner that this has to be worked on a lot, and the Senter party is a driver for the matter.
ParlaMint-NO_2007-06-15.ana.ud714e924	A year ago, we also had a huge rise in the Norwegian economy. It went well, and the party was big when it came to cabin construction, boat purchase and a lot of things that you could say are luxury investments. The representative Lundtigen suggested that we need a limit on the interest deduction in the Norwegian economy, and many of us understood that this was an indication of what could happen in the state budget. It didn't. But my question is related to the fact that the purchase party has not only continued from last summer, but that it is increasing. We also see that the amount of the loan increases, so much that there might be a basis for some scepticism about where this is going. My question to the representative Lundtigen is: does he believe that his proposal to limit the deduction of interest still applies? And: Is there anything the Government should consider in view of the 2008 budget?
ParlaMint-NO_2007-06-15.ana.ud714e931	I agree with what the representative Sponheim here says, in that the need to look at the unlimited interest deduction is greater today than it was a year ago. Studies show that in the last half of 2006, a number of households have a negative savings rate despite high real wage growth. If one is not to be pressured to push interest unilaterally strongly upwards, it is certainly still a valid instrument to limit the interest rate deduction in the order of 2 million. kr per. taxpayer. It's a public proposal from the Center Party that we still have with us, but it's the government that decides what the Government is proposing.
ParlaMint-NO_2007-06-15.ana.ud714e938	A while ago, VG had a larger article where they took care of the 100 most deadly roads in Norway. The interesting thing was that 24 of these 100 were roads in Buskerud. I wonder what the Buskerud representative Lundtegen has done – and what he wants to do – about it, why is it not a stronger upgrading of the roads, especially in Buskerud? Before he replies, I would also like to note what he used as an excuse for the representative of Leirstein regarding roads, that the construction industry did not have the capacity. That's wrong. Two weeks ago, we met with the civil engineering industry and their stakeholder organisation. They say they only use 60 pst. of the capacity.
ParlaMint-NO_2007-06-15.ana.ud714e945	The centre party has made good contact with the responsible State Council. What has happened in that area is a significant improvement in relation to previous governments. It is important and right that there are differences in the availability of services around the country on the road. I have learned that especially for Buskerud and Telemark, the situation is more difficult than it is for many other states. There is a special need for us in Buskerud, and I am a representative of that. The capacity of the industry is such that it is smaller on the investment side than on the maintenance page. That is why it is right that the Council of State has set up, namely to ensure accessibility and maintenance as its main concern. The centre party has a keen look at this. We're a hot fan of creating a match between what's people's expectations, and what's the situation, even in the road sector.
