ParlaMint-NO_2007-05-08-2.ana.ud311e30	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2007-05-08-2.ana.ud311e513	In its report on the equipment, the coastal body has recorded a need for approx. 260 million. spent over five years in order to maintain the oil protection system at an acceptable level. So we still have time to follow the recommendations made by the Coastal Agency. The report drawn up by the Swedish Coast Guard Agency was dated in the autumn of 2005 and received in the Ministry of Fisheries and Coastal Affairs in January 2006. It is by no means unusual that the recordings of the various departments' budgets are not published immediately, and I am sure that we will find ample examples of whether we go back to the work of the Bondevik government, where Børge Burnde himself was a member. Then again, I would like to remind you that it was the Bondevik II Government that presented the last major communication on maritime safety and oil protection, and it is no longer more than in 2005 that the Bondevik government said that the further follow-up of oil protection needs to be assessed in the annual budgets depending on the budgetary situation. The report ‘Status of emergency equipment in relation to the recommended level of preparedness’ was completed in the autumn of 2005 and sets out the status of oil protection equipment as it was when the Bondevik administration left. So it's not that suddenly something completely new and revolutionary has happened over the course of the year and a half that has passed since then. The material has not suddenly become much older, and it is not that we suddenly have a lot of new traffic in the Barents Sea that we did not know about before.
ParlaMint-NO_2007-05-08-2.ana.ud311e520	I would like to start by saying that I think the interpellant is raising an important and topical topic for debate. At the same time, I cannot help but wonder about the great eagerness of the members of the previous government have shown from the first day in opposition to seeking results from the Stoltenberg government, in all areas they themselves did not do much. Our country has a long coastline, beautiful nature and great natural wealth. We are actively using these natural assumptions. Oil extraction, fishing, shipping and tourism are all key elements of our life base. Maritime transport is important for Norway and is an environmentally friendly mode of transport. We know that the transport sector represents 30 pst. of greenhouse gas emissions. It is therefore important for the Government to facilitate a greater share of freight transport by sea and by rail. That's what we're doing. I say this to underline the importance of prioritizing both preventive maritime safety and oil protection. Our basis of life and quality of life depend on our prioritisation of both elements to prevent shipping accidents and possible oil spills, and to be able to clean up if the accident is over. Our government and the majority of the population from the Workers' Party, SV and the Centre have shown in many cases that we are very concerned about the environment. The same is true of oil protection. The Soria Moria Declaration, with which the Stortinget will be known as the Government's actively employed tool, states: ‘The preparedness for oil protection needs to be strengthened, and we need to do more to prevent accidents from occurring and having disastrous consequences.’ This is the Government already well in following up, as much as in the Soria Moria Declaration. The Government has announced an increased commitment to oil protection in the revised national budget, more specifically 29 million. kr for the restoration of the main depot in Fedje. Our government will thus have strengthened oil protection by approx. 50 million. kr since it took over. And once we're in the much-discussed municipality of Fedje: I think Burnde's focus on oil protection is very positive, and surprisingly offensive, because the interpellant Burnde probably remembers that the government Bondevik, a government Burnde was a member of, in January 2005 St.meld. No 14 on maritime safety and oil protection, and so on, had both insight and opportunity to grant far more than the 11 million. kr as granted by the Government of Bondevik for 2006 to strengthen oil protection. In addition, the government of Bondevik proposed the conversion of the main depot at Fedje to the middle depot, as the government of Stoltenberg now proposes to restore to the main depot. I hope and believe that the Brende and Right will nevertheless follow the government parties when the proposal for a new main depot in Fedje is discussed in Stortinget. In the field of prevention of maritime safety, it is important to strengthen the tug capacity where necessary. In the Soria Moria statement, we write that the Government will ‘ensure a good towing boat capacity with fast response time along the whole coast’. Nord-Norway has been strengthened by state initiative. Many suggest that South Africa should be considered in the next round. Access to to towing boats with sufficient capacity may be essential to avoid a major disaster caused by an engine stop or other situation in the fairway. Our most important contribution is measures that can prevent accidents. Good tug capacity is such a measure. Sailing leaders far from countries are also a good prevention measure, because an action will have a longer response time if the accident is over. The government has received approval from the IMO on the route Vardø-Røst. As the Minister for Fisheries and Coastal Affairs has explained, it is now being considered to establish a leader in the West and South. The so-called AIS system was in place in 2005, a system that automatically identifies ships. This has provided a significant boost to coastal preparedness, and the Coastal Works and Traffic Centres provide a much better overview of available towboat resources. The interpellant attaches great importance to petroleum activities in the Norwegian sector in the Barents Sea, future oil extraction in Russian sea areas and in North-West Russia and increasing maritime traffic along our coast. With the new traffic centre for North Norway, which opened in Vardø this year, the monitoring of, among other things, North-enforced oil transport. We are making progress in both preventive maritime safety and oil protection. This government has ambitions to further strengthen this field, in line with the Soria Moria Declaration. I guess that's the interpellant that's satisfied with.
ParlaMint-NO_2007-05-08-2.ana.ud311e549	First, I must say that I am pleased that the report was published after a very strong pressure from the Progress Party. In fact, in order to get the report released by the representative Brende as an important premise for his interpellation today, it had to be completely at Prime Minister level. The Progress Party is very pleased that we are now having a debate in which we can see what we want to do to ensure that we have the best possible oil protection preparedness along our entire coast. For the Progress Party, it is important to ensure that we have a proper preparedness that is able to meet both today's demands and the demands of the future. It is also important that preparedness is good along the whole coast, because there is very high traffic along the entire Norwegian coast and not only in the north or south of the country. There is a lot of transport along the whole coast, and then it's important that you have a standby that will satisfy the whole coast. One of the last proofs that our coast is both scary and dangerous is the accident outside of Fedje, with the "MS Server" that went down. This showed with all clarity how vulnerable our preparedness is, and how important it is to have a proper preparedness to prevent pollution of both our environment and our nature in the best possible way. I want to praise the representative, Mr. Børge Burnde, for bringing up this important matter, so that you now get a real discussion in the Stortinget that is wide, and that comes into most of this with the preparedness along our coast. I must nevertheless allow myself to say that I am pleased that the Right finally realized that oil protection is important and something we have to do with, and that the representative Burnde has now got his eyes up. I noticed that he was out yesterday in Dagbladet and said that he, with the background of the report that was released in February 2007, felt that 200 million had to be spent. kr to ensure oil protection along our coast. In the context of the budgetary procedure and in the context of the review of the revised budget last year, the Progress Party proposed to increase the appropriations both in general for oil protection and, of course, in particular to restore the main stockpiles of Fedje. We proposed to increase the appropriations for replacing equipment by 100 million. NOK, to improve the capacity there, and we also proposed to grant an additional 100 million. kr to mark and correct the fairways along our coast – something that was right-wing. It's going to be a little bit special that you're so active now, half a year later, and really have the will and the belief that you can now spend 200 million. kr. It's also going to be a little special because on May 15th we're going to discuss the main depot in Fedje. There, the Progress Party has also proposed a comprehensive plan for the whole coast to see if we should have an even greater preparedness in some places and expand with more main depots. Unfortunately, there is the Progress Party on its own, but it may well be that other parties in connection with the treatment in Stortinget are also willing to join the Progress Party's proposal. I also think I have to comment a little on what the Council of State said, because she says that, based on today's safety assessment, the level of preparedness is satisfactory. Based on the report, which has been prepared by the Swedish Coast Guard Agency, I believe that this is not the point to be taken into account. In addition, when the Council of State says that it has five years to invest according to the report, the report clearly states that there is a need to take action every year, and now there is a long deficit in relation to what is said in the report. Finally, I must say that I am looking forward to the forthcoming budgetary procedures, and not least to the revised budget, which is coming soon. Then I hope that we will receive support from the Right to the Advance Party's proposal to increase the appropriations for oil protection in our country.
ParlaMint-NO_2007-05-08-2.ana.ud311e568	Like everyone else, I think it is great that former Environment Minister Børge Brende has taken up a matter that he himself was responsible for before, for debate in Stortinget. It is commendable that he points to the challenges that we face and that the Pedersen Council responded to, that we must take this seriously, that we should be better off – and we are in the process, we have done a good deal. So that's good. Otherwise, I would like to start by congratulating you on the well-received national meeting. I'm recording that the election campaign is now under way. But I hope that Fire doesn't do the same thing as Lae does in Oslo, simply feel like a victim when we rip up different things related to the role of the Right in government. It's not my intention to place the Right in a victim role position, because it's usually the ones that can most when it comes to dirty election fighting, and not the other parties. They have proved this in previous election matches. What's interesting is that in 2001, the SFT produced a report, which Børge Brende was responsible for, which said one needed 100 million. kr immediately to shore-side oil protection. Then maybe count a part of us -- SV anyway, because we suggested it -- by 100 million. In the budget to improve oil protection, however, the Council of State, the Minister for the Environment, was to withdraw responsibility for all oil protection and to give it to the Ministry of Fisheries and the Coastal Department instead of taking the responsibility that he now wants this government to take. So he had a specific report that said he should strengthen oil protection. Instead of doing something about it, he transferred responsibility to others. The second state council, like the Minister for the Environment, was to weaken oil protection in Hordaland, at Fedje, by bringing down an important oil defence agency. Then I have to say that I am a little surprised – or not really surprised, because I really want to go right out of the position all the way, and every time they get out of the position, they start to talk sense. Of course, having a strong oil protection system is important, and when Burnde says in Dagbladet that one must have 260 million. kr immediately, tell them that he is now out of government offices, but has good ideas in relation to oil protection. We'll be happy for that. But we must not forget that it was the Right and the previous government that contributed to weakening oil protection in Norway, and that is significant. This right now corrects this government. Some of the first things we do are easy to do as the Progress Party, SV and the Center Party wanted. We weren't supposed to put the depot in Fedje. Now it's the way our government, with the state council Pedersen at the head, recovers it, spends money on it, so that this important area has good oil protection. In addition, the Council of State pointed to several other measures which it has taken to combat towing boat preparedness and to its cooperation with the IMO on the Vardø-Røst route, i.e. to get ships further out. We are now taking a number of measures because we see that there is a need to have the best possible oil protection in Norway. That's why it's a little in place, I think, to rip it up against the person who was responsible for this before, and who did so little about it, when he now has a cigar guide here in the Storting that doesn't look like the pig, and reminds me that one should do the next time one comes into position – which I don't want – is actually to do the job myself and not to notify the person who has the government responsibility now, that the responsibility is here. We take that responsibility. We provide more money for oil protection. We'll make sure that there's a better towboat readiness, and we'll make sure that the oil protection equipment is better than he is today. So we're on. Keeping us right out of government, we get a good oil protection in Norway.
ParlaMint-NO_2007-05-08-2.ana.ud311e585	The President is in doubt as to whether the term «cigarage which does not resemble the pig» belongs to parliamentary designations of co-representatives and will request that the representative use other terms on a later occasion.
ParlaMint-NO_2007-05-08-2.ana.ud311e588	Good oil protection when accidents occur is particularly important for Norway as a coastal nation and as an oil producer. Without adequate oil protection, many people will feel that we are gambling with nature and livelihoods on the coast. This is a statement that I hear from a lot of people, and I'm very much in agreement with. The Christian People's Party has always placed great emphasis on oil protection. It has been very important for us when we have developed oil and gas policy, for example. in the Barents Sea. It has also been an important consideration in the past when oil companies spread along the Norwegian coast. In addition to the oil industry on our base, increasing coastal shipping is a development that also requires increased preparedness. Increased transport of oil from the Russian sector in the Barents Sea will require more offensive oil protection. From before we have the oil refinery at Mongstad in Hordaland. This is one of the most busy ports in northern Europe, with traffic out and into Mongstad, combined with a densely crossing coastal traffic. Now we see that shipwreck can cause great damage to nature. In winter, I experienced the "Server" uluk outside of Fedje in the seal of Mongstad. This was a scary demonstration, because compared to the consequences of a disaster with one of the fullest oil tanks, "Server" was the opportunity to look at it as a very small emission. All this activity requires a good organisation of oil protection. Then we talk about enough equipment, about top modern equipment and about well-trained and drilled crews with both experience and competence. It's about broad competence and people who can both deal with acute situations, prevent emissions and rock seabirds and animals and others that are hit by oil spills. Also in the Christian People's Party, we have noticed the report from the Coastal Agency on missing promises. There will always be a balance between the resources requested for oil protection and an assessment of the adequacy of oil protection. This balance is made by both government and government when we adopt the budget for government activity. From the Storting, it's very important that the Government gives us the information we need to make good decisions. That is why the Coastal Agency report is important to us in the budgetary management that we are now facing. In any case, the report does not provide a reason for complacency — to put it that way. Driving savings campaigns in the oil protection sector can be an expensive exercise, both economically and environmentally. Then I thought it was nice that the Council of State followed up what had been the practice of the Council of State, to talk at least as much about the policy of the Bondevik II government as about its own policy. It's useful to have good role models. We are pleased that the Council of State confirms that the main deposit in Fedje will be placed in the revised national budget. In fact, the representative Langeland says that it was something of the first government – and it is interesting to note, after two years, that it was one of the first government. We take note of that. Furthermore, we expect the Government to provide an assessment of the entire report in the context of the revised national budget. For the Christian People's Party, security for man and material values, for nature, for bird and animal life, will be especially important. Therefore, we need a well-organised oil protection system. We need the most modern equipment available. In short, oil protection must be good, and it must provide security for life on our harsh and harsh coasts.
ParlaMint-NO_2007-05-08-2.ana.ud311e611	First, thank you to the interpellant Burnde for putting a very important topic on the agenda. Ship traffic along the Norwegian coast has increased significantly in recent years, and we know that it will increase even more as a result of increased petroleum activity in the Norwegian sector in the Barents Sea and future oil extraction in Russian sea areas and in North-West Russia. In addition, the plans for a transport corridor between China and the United States via Narvik, the so-called NEW Corridor, will definitely increase ship traffic along our shores. Oil and other dangerous cargo cargoes may have serious environmental consequences in the event of accidents and losses. The left will therefore build an increased preparedness for such accidents and potential environmental disasters, including: large seagoing tugboats are in continuous coastal preparedness. Our marine areas are not only important for Norway but also important on an international scale in a long-term, sustainable perspective in order to ensure important natural resources. Therefore, both national and international efforts are required to ensure the environment in these areas. There is no doubt that enhanced oil protection throughout the coast will be essential to achieve this. The recent ‘Server’ cargo ship, which has been mentioned by several, that crashed outside of Fedje, is a reminder of the serious consequences that dense maritime traffic along our shoreline may have in the event of a loss and grounding if the circumstances are unfortunate. This time it was an empty cargo ship, where only its own fuel carried by the ship reached the sea and the coastline. Even this small discharge resulted in a clean-up that will take months and cost tens of millions of kroner. The left is concerned about the government's lack of commitment to oil protection on a broad front. I would like to take this opportunity to highlight the importance of voluntary efforts in the field of acute pollution. Experience with large oil protection operations shows that the number of hands at work determines whether and how fast oil damage in the coastal zone can be limited. The left is therefore amazed that the Government has not shown the willingness to support the World Wildlife Fund project ‘Clean Coast!’, which is an example of an important measure to ensure funding. The left has proposed earmarked appropriations for the State budget. Government parties have said no. As a representative of West Agder, I would like to take this opportunity to also draw attention to the arable land and the challenges facing this part of the country. The background is that people in Agder and employees in the Coastal Plant are concerned. There is very dense ship traffic in Skagerrak, with an average of 40 cargo ships and 18 tankers every day. In fact, there are far more tankers than, for example: along the Finnmark coast. Increased traffic in ships increases the risk of accidents and oil pollution. I record that despite this, the government is taking a very good time to improve oil protection: Two years after the fall of the Fjord Champion in the Søgne Archipelago, there is no daily tugboat in place to serve the agder coast.The study on coastal preparedness has been completed for over a year, but little has happened in its keel water. The Minister for Fisheries and Coastal Affairs has stated that national preparedness must be based as much as possible on existing available resources. It was mentioned in a recent Questionnaire. The Minister has referred to a proposal from the Coastal Works to hire a tow ship by the south coast and that the Coastal Works’ traffic centres monitor all shipping operations by means of automatic identification of ships — so-called AIS. In addition, the Ministry of Fisheries and the Coast has asked the Coastal Directorate to start the work of establishing a southerly sailing leader along the West and South. In addition, the defence has stationed the vessel «Norway» covering the Skagerrak area. The ship is also equipped with oil protection equipment on board. The Minister for Fisheries and Coastal Affairs has stated that the Government will return to Stortingen on the need for further action in the field of oil protection at a later stage, including the assessment of additional towing boat preparedness on the south coast. I do not think this is sufficient, given the risk of shipwrecks with subsequent oil spills off the meadow coast. I would therefore urge the Government to take a more offensive view of this and to announce that it will make a fresh effort on next year's budget to strengthen both the general oil protection equipment along the coast and the towing boat stand on the coast. Now it is the South that must be given priority. I believe this is an urgent matter.
ParlaMint-NO_2007-05-08-2.ana.ud311e651	Interpellant, Burnde, addresses a problem that occupies the whole coast. We will feel safe – confident that the authorities are doing what they can to prevent accidents, and ensure that in the event of an accident, everything that can be done will be done. A few years ago, Brande himself put in government, and from North Norway, they were called for involvement in this matter. Only now, one year later, we'll see that. The red-green government shows that it takes seriously the danger signals pointed out by the people of Northern Norway. When the fully loaded Russian cargo ship ‘Moscow’ had an engine failure outside of North Cape under the previous government, the nearest tugboat was 14 hours away. Fortunately, the machinery was started, and the accident was averted. But the incident shook the population along the coast, and the need for tugs turned out to be repressive. Now it is established state towing boat stand, and it is working together with the part of the industry that is required to keep tugboats themselves. The extraction of oil on the Russian side of the Barents Sea has started several years ago. For the coast, it has been important to establish a separate shipping route for the transport of oil along the Norwegian coast and to monitor it. The government has done a good job through international bodies to establish the route of navigation and to extend it to 30 nautical miles, not 4 nautical miles, which was the original territorial waters. Increased Russian petroleum activity and the transport of oil along the coast require close cooperation with the Russian authorities. The Red-Green Government has concluded a cooperation agreement with the Russian authorities on coastal surveillance, and we are proud of that. I hope that the previous government parties have turned around and will support the red-green government when it proposes to restore the main depot in Fedje. I think it is reassuring, when the minister is here, to hear that the government has such a focus and takes responsibility in this very important matter of the coast.
ParlaMint-NO_2007-05-08-2.ana.ud311e664	The size of ships carrying oil and gas along our coast reaches 200,000 tonnes. When Prestige sank in the Bay of Biscay, this was a boat with a size of 77 000 tonnes. ‘Prestige’ broke down in two and stood for major, serious environmental damage. We know that even if we take all precautions, such an accident can happen off our own coast. In order to be cleaned up after ‘Prestige’, efforts were required by nearly 120,000 people over a long period of time, in a climate far more favourable than in Norway — or in North Norway. Where do you think you're going to bring 120 000 people to clean up what you call a proper oil protection solution? With this in mind, the Progress Party has put forward proposals to strengthen it by means of several ropeboats, properly sized rescue boats and a shorter walk to a possible seafarer. Overall, the Progress Party has proposed 225 million. kr in addition to that adopted by the Storting. It is therefore surprising that an offensive former Minister for the Environment of the Right and today's Minister for Fisheries, both of whom have contributed nothing but voting down our proposals, has expressed such a positive opinion on our proposals today. Then there can be hope that one day our proposals can be adopted. One thing is that Norway needs to strengthen its national oil preparedness in all areas. We also need cross-sectoral cooperation with Russia, Iceland and other nations in monitoring, dialogue, warning systems and cross-border cooperation across countries in a practical everyday life, which needs to be followed up through international exercises that enable us to coordinate and cooperate effectively. Because the area we're talking about is enormous, and the scenario is horrifying if the accident should happen.
ParlaMint-NO_2007-05-08-2.ana.ud311e673	Increased oil activity in the north in combination with vulnerable nature requires strict precautions and high-quality oil protection. Both municipal and county politicians in North Norway have a clear expectation that the Government will make a solid state contribution to building an oil defence tool of the highest class, both in terms of equipment and in terms of competence to deal with an emission situation if the accident should first be out. Oil tanks off the North Norwegian coast are constantly increasing in number, and the Fedje disaster is a reminder of the importance of high preparedness and adequate equipment to minimise natural damage in the event of the accident. Norway’s Fire School in Tjeldsund, Northland, developed in 2006 vocational plans for training personnel for cleaning up the beach zone following an oil disaster. It was therefore very positive when in February this year the Ministry of Fisheries and Coast followed up giving the fire department a grant of one million kroner for a start-up package of equipment, so that the new training of team leaders and damage managers could get started. This is a good start, but what about the continuation? Although the responsibility for oil protection is three-fold, between the State, the municipalities and industry, there must be reason to expect the State to take overall responsibility in this area, and in particular in terms of training. However, the equipment of Norway’s Fire School is of little use if the fire school is not now secured for the course itself beyond 2007, so that this training can be established as a permanent offer to municipal personnel and to civil defence, which is another relevant target group, with the tasks assigned to it. A prerequisite for Norway's fire school in Tjeldsund to be able to recruit and maintain good teaching skills is that the activity is predictable. In response to the inter-pellant, the Council of State stressed the importance of focusing on prevention. In this context, I believe that training is central. Therefore, the State should now also commit itself by means of grants for the operation of oil-protection training courses in order to contribute to the establishment of a competent training body of instructors. With this in mind, I would like to ask the Minister for Fisheries and Coastal Affairs here today what she and the government will actually do to ensure that this course offer becomes a permanent offer, and that the Fire School gets the necessary predictability in its planning, and to ensure quality training in oil protection. I hope the Council of State can agree with me that today's situation, where oil protection training does not know whether it has operational resources from one year to another, is an unsustainable situation, given the importance of this task in ensuring that coastal oil protection is real and more than words in large-scale documents. In 2006, the Harstad Knowledge Park mobilised expertise environments, oil companies and supply industries in the north to cooperate on a pre-project, competence development oil protection. This is an expression of the high level of oil protection on the political agenda, but also of the desire to further develop the local supplier industry. Enterprises such as NorLense at Melbu and NOFI in Tromsø are both recognised suppliers of oil protection equipment, nationally and internationally. Increased activity in the north will cause increased ring-effects in the north, says the Government. I take it as a matter of course that this also includes oil protection measures, and I therefore welcome the fact that the Government is facilitating the oil protection industry in the north to develop new products that are even better adapted to the challenges of petroleum activities in the north.
ParlaMint-NO_2007-05-08-2.ana.ud311e694	The interpellant addresses important issues tonight. There's no doubt about it. The interpellant concluded its interpellation that we need to have a readiness that will be ready to deal with both today's and next year's needs, and that is not petty. We need to have a long term in what we're doing, and we need to know what we're doing both now and in the future. Therefore, as the Council of State also said in its response to the interpellant, it is important to dimension the preparedness in line with the risk assessments related to ship traffic. And you have to do that at all times – you have to do risk assessments. Risk assessments are not merely to establish depots. It is also important, and it must be done, cf. what the state council said about what's going to come to Fedje. But you also have to see it in a broader perspective: what is in front of us with what is happening on a Norwegian base, and what is happening along the coast – and the increased traffic? That is why this traffic centre is now being established in North Norway, in Vardø. It's just to have the surveillance at an early stage, when we see what's now happening in the Barents Sea and in the North Region, so we're now on the verge of that situation as well. I would like to add that we must not ignore the fact that maritime transport is also a very important environmentally friendly means of transport, which will undoubtedly have greater dimensions in the future. Then we must be prepared in that area as well. We also need to dimension these things in an environmental perspective – we need to see the social structure as a whole when we dimension these things. Then a lot of attention is paid to the costs, and in what is the Coastal Agency's recommendation, it appears that it has major economic aspects. But we're going to take that promise there as well. That's why the government has now started with the gradual escalation, and that's why we increased the framework conditions in 2006 by 11 million. NOK, and we're increasing in 2007 by new SEK 11 million. kr. We're building a rock here, too. The Soria Moria declaration will not be put in place in one day, but in line with what we have said, we will have a standby and a coast that we can rely on – preparedness and environmental. The establishment of the automatic identification rules that took place in January is also of particular importance. It is very important that we have both what the ships have as cargo, etc., the danger of it, and that we dimension in advance also in this area and point out the fairways of these ships, the areas in which they are going to go, so that we have the readiness. But I would also say, as a little parentheses to this, that we can never ignore human failure. Human judgements must also be made when the sea is extremely troubled. Significant steps have also been taken in the international sector. The IMO – as our December 2006 decision applied – was a hot topic when we had the oil business in the northern regions up to debate here in the Stortinget. It was also the sailing routes here that were important. That was the theme at the time. The government took hold of it, as it had already commanded, and entered into the IMO Maritime Organisation’s rules, and it is now being established from the summer of 2007. There have been many discussions about the tug capacity in North Norway. Now it's in place. Agreements have been concluded. It will also provide a very important sense of security along the coast and for the ships that are there. We know that when the danger arises, we also have a readiness here, and we have a certainty of that. I want to say it so that everything belongs together, as others have said before me. But it is important, at the end of the day, to review what I started with, that the dimensioning of preparedness must be seen in line with the risk assessments in many fields, including the infrastructure that we have in our society. That's where we think we've gotten a piece. We're going to get further, but we feel like we're now on track of what we've been saying, and we're going to do that.
ParlaMint-NO_2007-05-08-2.ana.ud311e711	I would like to thank the representative Mr. Børge Brende for bringing up a very important debate in Stortinget. Strengthening of oil protection equipment is important and necessary. It's a theme that covers the whole of North Norway, and especially North Norway, a part of the country that lives by the sea, and where people live by the sea, a sea that's still boiling. This theme takes SV and it takes up the Government. I am very pleased that the representative Burnde is taking up this topic, since the representative knows this field very well. The representative Brende was the State Council responsible for oil protection during the period 2001–03. In 2001, the SFT presented a plan that concluded that 100 million were needed. kr for immediate action within this field. I'm glad that Burne now apparently has great commitment to safety along the coast, yes, apparently almost as much commitment as that SV has. We need to focus on prevention, because when accidents occur, it is important that ships and equipment are quickly in place and prevent the disaster from becoming complete. We know that we can't bet on being good every time. SV is very pleased that the red-green government has established sailing routes along the coast in the north to the south of Lofoten. These are highly vulnerable areas, and it is a very important measure. The government has increased the budget in terms of preparedness. This is a big victory for SV, and the government will now bet on it. SV wishes, inter alia: that the response time shall be 6-12 hours everywhere. We have to step up the stakes on deposits, which is what this government is doing. I am very pleased with the answers of the Council of State, Helga Pedersen, to the questions and challenges of the inter-pellant. The government is doing a lot of good work. The fact that the Council of State also emphasises that further action will be considered in the future is very important. One of the important measures that this government must consider to be put in place is the ‘Barents Sea on screen’, a satellite monitoring system which has an overview of the sea areas and which will record boats within these sea areas. It will be important to see if boats are out of course, or if boats are on the right course. It will be important to be able to see any environmental crime taking place in our marine areas. I myself have visited and seen boats that have washed their tanks, because you do not have a good enough registration system for what is happening in our marine areas. It is our duty to ensure that oil protection is as good as possible. I am very happy that the Government is on the right course in this matter as well.
ParlaMint-NO_2007-05-08-2.ana.ud311e730	I would like to thank the representative Mr. Børge Burnde for focusing on a very important topic. There is no doubt that the increased activity in the Barents Sea, coupled with increasing coastal shipping, poses new and major challenges to Norwegian oil protection. The loss of the ‘MS Server’ outside of Fedje in winter was a visible evidence of this. ‘Server’ was a cargo ship with ‘only’ 300 tonnes of bunker oil on board. Finnland coasts are regularly operated by increasing oil tankers with around 200000 tonnes of crude oil. In Finnmark Dagblad on 26 April we are informed: ‘The amount of Russian oil transported along the Finnish coast may triple as early as this year to around 30 million tonnes. Further growth is expected in the years to come.» And on the other hand, «In 3-5 years, the volume is likely to be closer to 50 million tonnes than 30 million.» It appears in a report prepared by the Barents Secretariat. After the Fedje accident this winter, I took up with the working Minister for Fisheries and Coast the question whether he thought that the preparedness we have along the Finnmark coast today is good enough if a large oil tanker were to crash in winter storms, blasts and dark times. The answer I then received was that he was satisfied with the state of things. But with the new information that has now come from the Coastal Works, we have a great job to do in order to have a sound preparedness in the future that is dimensioned by the current risk we are facing. The challenges in the north are many in this context. Large distances with a very scattered and sparse population, a tough climate with cold and dark times, capacity constraints in infrastructure such as the telecommunications and mobile networks and resource scarcity will each have an impact on our ability to deal with a major incident. If we in Norway are hit by an accident similar to ‘Exxon Valdez’, it will yield extensive oil spills, at worst from Nordkapp and down to Brønnøysund. In the clean-up following the Prestige accident off the Spanish coast in 2002, 120000 persons participated. In Finnmark today there are approx. 73 000, large and small. The thoughts that are currently operating on our territory are up to ten times greater than the 'Prestige' was. The rescue exercise ‘Barents Rescue 2005’ made it clear that the defence participation with equipment and crew was absolutely essential for the exercise to be completed at all. Any rescue operation depends entirely on the presence and operation of these resources at all times in order to limit the extent of any oil disaster. In addition to our own resources, we also rely on all the help we can get from our neighbours in the north-east, Russia, Finland and Sweden. We now need a risk and vulnerability analysis that can provide us with guidelines on prevention preparedness work in the future. Furthermore, we still need a strong presence of the Defence in the northern regions. Civil-military cooperation must continue. Cooperation between the countries of the Barents region needs to be continued and reinforced, and infrastructure needs to be expanded and improved. Oil lentils from the 1980s do not keep track. Exercises in waves of about 0 meters show that the lenses stick under the surface as soon as they are towed. Research institutions in the north now need to develop new technologies and new types of lenses, and these must again be tested outside Vardø and Honningsvåg in extreme weather. At all levels, decision-making authorities with sufficient resources located in close proximity to where serious incidents may occur are now needed. I am, among other things, concerned about the competence of cold and dark operations. In other words, people who have the right situation understanding, training and training are needed. Close cooperation between local, regional, national and international actors is therefore very important in the north. I would also like to stress that those companies, companies or oil companies, which are going to operate off our coast, also have a significant responsibility for and a social obligation to protect the environment and our resources. Therefore, in cooperation with the authorities, all parties involved must now ensure optimal preventive activity. Nor should there be any doubt as to who is responsible for monitoring the proper conduct of operations and for ensuring preparedness and crisis management.
ParlaMint-NO_2007-05-08-2.ana.ud311e764	It is true that if the worst happened here, of course, it would have disastrous consequences. We've seen a lot of examples of that up through history. It is also the case that the industry, the activity, that triggers this threat, is an industry that throws off violently, meaning that the Norwegian state has adventurous revenues both in the short and long term. It is therefore, of course, the focus of an oil-protection stand and the activity being carried out must be carried out within a sound and sound framework. Of course, it is important to have oil protection. Like most of the others I've heard here, I think it's good that this is being taken up. Of course, oil protection must be proportionate to the challenges you face at all times, and the activity being carried out must be conducted within a sound framework. Some of us are happy with the steps that have already been taken and that have been explained here. I'd say you're a good piece on the way. Our goal is laid down in the Government Declaration. I want to say that I am looking forward to the completion of the goals that we have set ourselves, and that the escalation that is underway will be continued. So, of course, the main focus is on cleaning up after the accident has happened. The main focus must be on preventing the disaster from occurring. Important measures have already been taken. And then I would like to point out the management plan for the northern regions, as the government announced last year, which is just balancing the considerations between nature and oil and gas extraction. Some of us believe that the best way to secure vulnerable natural areas against oil spills is actually not drilling, not actually extracting oil in these areas. I'll be careful with these considerations. I stress the importance of the question, and I stress the fact that the revenues we have from these activities make this a priority for the years to come, and that the Central Party is looking forward to the ongoing escalation.
