ParlaMint-NO_2007-01-17.ana.ud2489e22	The representative, Jan Arild Ellingsen, will present a proposal for a representative.
ParlaMint-NO_2007-01-17.ana.ud2489e397	Paradoxically, I think I agreed with everything the Prime Minister said now. And I think that's a problem for the Prime Minister, because he doesn't relate to the actual reality that I think most people see, that it's been a shift of power. Now there are caricatures – and that may well be when I also use the term ‘Minister of State’ about Valla. This is a problem for the Prime Minister. So the Prime Minister needs to say that he is going to take power back and get a certain distance. I thought, after all that happens, that he would use the occasion in today's Question Time to do that, and it can be done in a real way, without getting unfriends in LO. Now we see that the prime minister, along with his two party leaders in the government, travels around and reaps applause in LO meetings, probably because they run a policy LO is satisfied with, and they travel out again with a check in their pocket, as I understand it. Åslaug Haga and Kristin Halvorsen appear more and more as bridesmaids for Jens Stoltenberg and Gerd-Liv Valla. Will not the Prime Minister use this opportunity to say that he is guarding the border so that this should not go too far, and that it may have to kneel a little bit the other way again?
ParlaMint-NO_2007-01-17.ana.ud2489e404	What I'm going to do is we're going to implement the program we went to election, and the statement that this government is making. The main objective of this government doing its job is not the distance from organisations – LO and other employee organisations. The goal of doing our job is to implement what is stated in our government statement. And we do that, whether it's building kindergartens, spending billions of dollars on care and school, strengthening employees' rights through a better work environment law, or that, for example. is to improve the day-to-day arrangements for the unemployed. There are things that many employee organisations are happy about. We think that's excellent. It's in our programs. So there's one goal if we do the job that the voters have asked us to do, and that's that we carry out the election vows. It is an expression of democracy that this government meets the voters, promises the voters something, gets a say in it and then implements the policy. It's not the distance from others that's crucial, that's how much of the choices we're making. And we carry out election vows. That's what we're going to measure.
ParlaMint-NO_2007-01-17.ana.ud2489e412	Here, too, the President will accept three follow-up questions – first Per Sandberg.
ParlaMint-NO_2007-01-17.ana.ud2489e415	I think everyone agrees with the Prime Minister that dialogue – with organisational life, with business – is very important. It has all the parties – a good dialogue too. But there will be something quite different than dialogue when the Workers' Party locally, e.g. in the municipalities, for example the municipality of Trondheim, enter into agreements and contracts with the trade movement. Then one has moved far away from what is dialogue, and into a cooperation that can be somewhat linked to what is happening this year, where the Joint Union has already gone out and said that they will give 1 million. kr in election support for the Workers' Party, SEK 200 000 to SV and DKK 100 000 for the Centre Party, based on the fact that the Red-Green Government will pursue a specific policy within the areas of labour supervision, labour environment law, social dumping, etc. Then you have a contractual relationship, and that's a long way from what's a dialogue. Does the Prime Minister agree that such agreements and contracts concluded are unfortunate?
ParlaMint-NO_2007-01-17.ana.ud2489e422	No agreements and contracts are concluded when wage and salary organisations choose to support the Workers' Party financially in open democratic processes. But what they see is that the Labour Party is responsible for, for example, this policy. good pension schemes, good social security schemes for the unemployed or a good work environment law are policies that serve their interests, contrary to the policies of the previous government, such as: the reduction of unemployment benefits and the weakening of the Working Environment Act. There is nothing different than the fact that when some of the richest people in Norway provide financial support to a part of the right parties, it is because they agree with the desire of the right parties for lower taxes to the richest, among other things. by removing the taxes on wealth. There are different political opinions that receive different political support, in full transparency. This is not contrary to democratic principles. On the contrary, here in Stortinget, we have legalized how this is going to happen.
ParlaMint-NO_2007-01-17.ana.ud2489e427	Per-Kristian Foss – for follow-up questions.
ParlaMint-NO_2007-01-17.ana.ud2489e430	I agree with the Prime Minister that dialogue with the social organisations on both sides is an important part of what we can call the Nordic model. But it's not right what the Prime Minister said in his first response to the representative Sponheim, that power studies show that there is a mix of party power and organizational power that is a prerequisite for this model. It is a strange sight, represented by the Norwegian Labour Party and the LO. For example, the Nordic model works. now excellent in Denmark, where there is no such mixture of power, but where one respects the organisations as it is, on an independent basis, and has dialogue and cooperation with them in full transparency. Earlier today, I asked a question that the Prime Minister refuses to answer, whether he will, on a general basis, characterise the management of a labour conflict. I'll take note of that. However, the prerequisite for the functioning of this organisational model and of the Nordic model referred to above is transparency. Then I will challenge the Prime Minister to be open on one point: Was the Prime Minister informed about Martin Kolberg's request to the U.D. to find a new position for Ingunn Yssen?
ParlaMint-NO_2007-01-17.ana.ud2489e439	First, I would like to say that Norway and Sweden are among the countries that have had close cooperation between social democratic parties and a strong trade union movement. I believe that this is an important contribution to Norway and Sweden reaching as far as we have in very many areas. I maintain that a strong social democratic party, in cooperation with a strong trade union movement, is a contribution to creating the kind of welfare society we see in the Nordic countries. Secondly, I would like to say that characterising a particular personnel conflict on a general basis is a pointless question, in the sense that if you come up with a general characteristic of a particular case, you have given an opinion on the particular case. That is why I agree with the representative Sponheim and disagree with the representative Foss in dealing with the specific matter. I am informed that several parties and many representatives have contacted the Ministry of Foreign Affairs if it is possible to apply for specific posts. I believe it has been a tradition that many parties have followed, and in which I see nothing wrong.
ParlaMint-NO_2007-01-17.ana.ud2489e448	That's not what I asked.
ParlaMint-NO_2007-01-17.ana.ud2489e453	May-Helen Molvær Grimstad – for follow-up questions.
ParlaMint-NO_2007-01-17.ana.ud2489e456	Financial support from LO gives them power and influence. The Prime Minister has repeatedly been on the wane front in things where one has had a lot of trouble with the LO. The debate that has been in the media lately with bullying and harassment is becoming quite special because there is close cooperation and sometimes a connection between the LO and the Labour Party. Isn't the Prime Minister concerned about the signal effect when the media are babbling over issues of bullying and harassment? I understand that a person cannot say anything about or go into a personal matter. But the underlying problem is the signal that a prime minister won't say anything about a matter that's illuminated up and down in the media in terms of bullying and harassment. If an error occurs in individual matters, a clear signal can be given. What will the Government do, and what does it think is acceptable and unacceptable?
ParlaMint-NO_2007-01-17.ana.ud2489e463	I can repeat and underline that this government is against bullying and against harassment and to escalate the work for a good working environment. We have taken several steps to do so. We have both strengthened the legislation and strengthened the Labour Inspectorate, and we have campaigns going on. But there have been concrete personnel conflicts in different parties, in different organisations, and I've never been involved in them – whether it's in other parties, or it's in other organisations. It's from a very clear and clear perception that this is about being neat. I believe that the representative Sponheim has had a neat approach, that we should not go into concrete matters, while other representatives at least are somewhat vague about what a Prime Minister's role is, and whether or not he is going to go into and think about a concrete staff case. I believe that it is important to be neat in this matter.
ParlaMint-NO_2007-01-17.ana.ud2489e472	The size goes to the next main question.
ParlaMint-NO_2007-01-17.ana.ud2489e476	Since the turn of the millennium, several large and medium-sized vessels have been lost in South Norway. Still others have come in distress and created almost no accident. I mention ‘Green Ålesund’ in 2000 and ‘Rocknes’ in 2004. Both of these accidents led to the initiation of an evaluation of oil protection preparedness in Norway. The evaluation of the ‘Rocknes’ loss led to St.melding. No 14 for 2004-2005, referred to as ‘On the safe side’. While it was being treated in Stortinget, the «Fiord Champion» was in fire in the North Sea outside Kristiansand, and the nearest tugboat with the capacity to haul this ship was in Stavanger, twelve hours away from the accident site. ‘On the safe side’ points to a number of deficiencies in Norwegian oil protection. Coastal works report ‘National towing boat standby’ from January 2006 goes further. Together, these two documents point to serious deficiencies in oil protection equipment in state depots, lack of emergency response exercises, lack of preparedness in South Norway, lack of equipment to rehabilitate beach areas and ensure biodiversity. The last thing we've been given a thorough demonstration of the Fedje voices is pretty good. If this is seen in the context of the fact that there are also significant shortcomings in the digital mapping of the Norwegian coast, it can be concluded that the level of oil protection protection is in no way on the safe side. Through a number of questions and proposals, including the budget as late as December 2006, the Progress Party has focused on oil protection preparedness. It is tragic if it is such that there must be another accident before the government also wakes up and sees the seriousness of the situation. Therefore, I would like to ask this question to the Prime Minister: will the Government now start to follow up on the recommendation of ‘Safe side’ and ‘National Towing Boat Preparedness’, or will the Government also allow this to end accidentally with another evaluation?
ParlaMint-NO_2007-01-17.ana.ud2489e485	What the government will do is review the experience of the accident we have now had, and we will take action. But again, it is important that we do this in the best possible way, and therefore it is important that we first see what lessons we can learn, and then apply the measures. Some measures have already been taken, including: in the case of new sailing stages in North Norway and other exposed areas. We also see that there may be a need for other measures, including: in the case of oil protection equipment depots and other measures which may help to reduce the risk of accidents and help to increase our preparedness to deal with accidents. This is a very important work. We have built up oil protection equipment over several years, but technology is changing, and traffic is increasing, and therefore there may be good reasons both to strengthen the rules on the nature of ships, where the member is going to go, for duty of unloading, for quality on maps and for oil protection equipment. All of this is being reviewed, and then we will present proposals in turn and in order for the Stortinget, when we find it right and necessary.
ParlaMint-NO_2007-01-17.ana.ud2489e490	I note that the clear signal I am reading from what the Prime Minister says is that this will end up in yet another evaluation of Norwegian oil protection, which I am sure will end up with a new report from the Swedish Coastal Agency that things are too bad in place, equipment and preparedness are too bad, and I think that is really a pity. It could be tempting to ask if it is such that the coast of North Norway, that is, Troms and Finnmark, is more important to the Government than the coast of Helgeland, Trøndelag and the West. Then I want to quote a document that I assume the Prime Minister is familiar with. It says: ‘The preparedness for oil protection needs to be strengthened, and we need to do more to prevent accidents from occurring and having disastrous consequences.’ Another quote – so this is from the Soria Moria statement: ‘The government will ensure a good towing boat capacity with rapid response time across the coast.’ What has changed since the fall of 2005?
ParlaMint-NO_2007-01-17.ana.ud2489e507	We are increasing security and security. We have already implemented measures, including: fairway, which is important to prevent accidents. But it's not like we're implementing all the measures at the top of a year. We are in the process of taking action, have taken some action, and are considering further action. We also need to follow up the Soria Moria declaration on oil protection and other measures to increase safety at sea, both in order to avoid accidents and to better manage accidents.
ParlaMint-NO_2007-01-17.ana.ud2489e512	Because of what has happened this past week, and because it is time, the President will allow four follow-up questions – first Elisabeth Aspaker.
ParlaMint-NO_2007-01-17.ana.ud2489e515	The loss of the ‘server’ raises undoubtedly important questions about how best to prevent such serious accidents. Ship traffic outside the Norwegian coast is significant and, in particular, in the north, the number of ships loaded with oil is increasing. We therefore have a great common interest in raising preparedness, in order to prevent accidents and pollution. We don't have weather conditions, and there's a lot of evidence that the weather just gets wilder. We also know that the likelihood of accidents is higher in difficult weather, and it is also more difficult to assist ships with problems in bad weather. The right-hand side clearly sees the importance and importance of getting even more focus on oil protection and oil protection. I wonder if the Prime Minister does not now see the need to increase research efforts in this area, and that even more needs to be done to develop even better equipment to deal with shipping. I also wonder whether it is not now that we should go further in developing the sailing trail along the entire Norwegian coast, and that the traffic centre in Vardø can get a greater and wider responsibility for the entire traffic along the coast.
ParlaMint-NO_2007-01-17.ana.ud2489e522	It is useful to get on the table the kind of proposal that the representative mentions. We are going through many different proposals to strengthen preparedness and avoid accidents along the Norwegian coast. So, as I have already mentioned, we've shifted the route, put it further out into the sea in North Norway to help reduce the risk of accidents, and we've got it approved by the United Nations Maritime Organisation, so that security is increased. So now we're doing the same thing, or at least we're doing the same thing, in the case of South Norway, in the case of Røst and in the case of South Norway. There's a work going on in the Coast Guard, and we might have to get it approved by the United Nations Maritime Organisation. We're not done with that work, but the government has at least taken it on board and is doing well to help increase safety also in the south, if the Coastal Agency recommends it, and if we get it approved by the United Nations Maritime Organisation. In addition, it's important to do a lot of other things, and we're also working on that.
ParlaMint-NO_2007-01-17.ana.ud2489e533	The Christian People's Party has seen good reasons on several occasions to be able to restore the main depot in Fadje. But I would say that it is a derailment of the debate to make that question a major cause of the accident that has now occurred. There was, after all, some drainage on Fedje, but unfortunately the equipment had expired, and there was extreme weather in the area. There are modern Norwegian-produced oil lances today that can be rolled out of one man and pulled by one boat and operated within 15 minutes. The new lenses also withstand a higher wave height than the old ones, and the coastguard vessels are now getting this equipment on board. But coastal depots are struggling with 15-year-old equipment, and it is said that something is rotting. The coastal body has asked for better equipment on several occasions, and the content of the so-called secret report that the media have recently requested is also likely. My question to the Prime Minister is: does the Prime Minister see the need for us now to spend money renewing the equipment in our oil depots?
ParlaMint-NO_2007-01-17.ana.ud2489e542	There are so many reports and so much documentation now pointing to the fact that the equipment we have is not good enough. That's why the government has started a job of looking at what, and how we might be renewing oil protection. We want to do that, but we have to take things in turn and in order and in the right order. It was the previous government that decided to close the main depot in Fedje. Little has happened in this area in the last few years. Now we want to look at what we can do to escalate the oil protection equipment, by getting new sailing managers, casualty duties, etc., but also by strengthening the equipment.
ParlaMint-NO_2007-01-17.ana.ud2489e549	Gunnar Kvassheim – for follow-up questions.
ParlaMint-NO_2007-01-17.ana.ud2489e552	There was a high level of awareness as the 2007 State budget did not increase the allocations for oil protection equipment or for strengthening the towing boat capacity. I will leave that behind today, but I would point out that voluntary action is also an important part of the preparedness. That's what we see when people from the Wilderness Fund are now doing an important job in the beach stones in Fedje. Last year, the Villlmarksfonds applied to the Government for 500000 kroner for training of volunteers who could be put at the disposal of the authorities. It was a strong wish for this along the coast. Many municipalities supported this work. Surprisingly, the government said no to this support, with the result that many of the planned courses could not be implemented. It was petty, and it was surprising. Can we expect the Government, in the light of the experience we now have in Fedje, to reconsider its position and look more positively at the voluntary response to oil conservation?
ParlaMint-NO_2007-01-17.ana.ud2489e560	First of all, I just want to say that I do not believe in our allocation to tugboat and oil protection equipment caused any greater surprise than the previous government's allocation over four years. So to the extent that that alert sight, I think it was just as much or as little as previous years. The second is that we are now also looking at the possibility of increasing the appropriations for oil protection. So I would like to stress that non-governmental organisations have a very important job to do. They're making a fantastic effort, even now linked to the accident outside of Fedje. They get equipment and participate in the action there. Following an invitation from the Ministry, the Villlmarks Foundation, together with the Swedish Coast Guard Agency, the Norwegian Fire College and the Norwegian Oil Protection Association, also participate in a cooperation project in which knowledge training and development are carried out in order to deal with oil accidents. So there's this kind of cooperation going on. If we're going to expand it and grant more, we're going to have to look at it.
ParlaMint-NO_2007-01-17.ana.ud2489e567	Arne Sortevik - to the last follow-up question.
ParlaMint-NO_2007-01-17.ana.ud2489e570	The Progress Party has constantly warned against building down the main oil protection depot on Fedje. The Labour Party has also done so. The Labour Party's Olav Akselsen came to the election campaign in 2005 with promises that this property would be in place in 2006. It hasn't happened. Will the Prime Minister now take action to ensure that we have a main deposit in Fedje? The dramatic event last weekend clearly shows that it's useful. It's necessary, and it's right to have a main depot on Fedje, with the special location that this place has. This shows that the Coastal Authority’s assessment has been incorrect in the past, and it shows that the warnings of the Progress Party have been correct. Does the Prime Minister also agree that it is better to have one oil warder too much than one oil warder too small?
ParlaMint-NO_2007-01-17.ana.ud2489e577	It is true that the Workers' Party was also critical of the decision of the previous government to shut down the main oil ware on Fedje. We're now working on a job of looking at where we're going to have oil protection pots, whether we're going to have more than today, and what kind of equipment we're going to have. Because this is so important, we need to take a thorough assessment of what is the proper use of our resources, and how we get the best oil protection along the coast. At the same time, this accident has shown that the most important thing we can do is to prevent accidents, because when there are high seas, what can often be done with oil protection equipment is limited. That is why we also look at the possibility of changing the routes of navigation in order to help avoid accidents. That's the best thing to do.
ParlaMint-NO_2007-01-17.ana.ud2489e582	Let's go to the last main question.
ParlaMint-NO_2007-01-17.ana.ud2489e585	When the draft terms of merger between Statoil and Hydro became publicly known on 18 December last year, Prime Minister Stoltenberg cheered and confirmed that he had worked for the merger for a long time, and that he had had dialogue with the companies in advance. It is also publicly known that the Prime Minister was presented with the merger agreement itself. In retrospect, the debate has little to do with the impact that the merger should have on Norwegian oil policy. Instead, various representatives of the Workers' Party, the Centre Party and the SV requested amendments to the Merger Agreement itself on two key points. They don't want Eivind Reiten to be the director of the new company, and they want to keep the Statoil name itself. In the evening post today, the group leader of Statoil Helge Lund states the following: ‘Only the two boards may amend the integration agreement until the final merger agreement is signed.’;» It goes on to say: ‘And if the draft terms of merger are first adopted, it is not possible to amend them at all, states the Head of Statoil. In practice, this means that the Storting has only two alternatives: yes or no to the whole merger.’ This sets the output from Jan Bøhler & Co. in a very strange light. I therefore have two questions for the Prime Minister. The first is, was the Prime Minister aware that the name of the new company should not be Statoil, and that the director should be Eivind Reiten? The second question is whether the Head of the Statoil today pronounces in the Evening Post, meaning that the Workers' Party, the Centre Party and the SV of the Stortinget cannot affect the content of the Merger Agreement, but that in practice there is a yes or no to the merger itself.
ParlaMint-NO_2007-01-17.ana.ud2489e608	This is a very important question. I'm glad of this opportunity to say a little bit about it. First of all, I think we need to clear up a little bit of the process. One reason why we chose to make Statoil a listed company was that Statoil had the opportunity to create these kind of alliances, make mergers. And one of the ideas was the possibility of creating a large Norwegian oil company. I'm glad it's now due to be the result. It's been an idea, a thought that I think has been reasonable for years. The second is that it is true that we had meetings, oral presentations, with the management of the two companies before the publication of an integration agreement. But the integration agreement as such has not been submitted to the Government. It's a confidential agreement. That's not the final merger agreement, and I think that's where some of the confusion arises. What the companies are doing now is that they are working on the draft terms of merger, or what is also called the merger agreement. It shall be drawn up at a later date. They're not done, and it's in the process we have good dialogue and good contact with the government. Then it is true that under the Share Act, the Boards are the ones to draw up the merger agreement, or the draft terms of merger. The agreement shall be submitted to the general meeting and the general meeting shall then have the opportunity to vote yes or no. But it is seen in the debate as if the merger agreement were made. It's not made, it's made now. We have good dialogue with the companies, and we have said in a press release – and I am of course behind it – that we support the idea, the principle, of a merger, but that we will await the details of the merger agreement when they are to be drawn up, and then decide on them at the end.
ParlaMint-NO_2007-01-17.ana.ud2489e619	My question relates to whether the Prime Minister understood that important elements of this plan of integration, which is to become a draft terms of merger, are that Eivind Reiten should be the Chairman of the Board and that the name of the company should not be Statoil. Now Helge Lund, and also Eivind Reiten, have determined that there are no plans for any changes at this point. And then the question of these different plays that come from the Workers' Party, the Center Party and SV in Stortinget is pure games for the gallery. It is not that one can treat such a company as if it is one's own red-green toy grinder, it is a company to act in an international market. The manager has previously pointed out that after we got a red-green government, there has been a discount on companies that the state is in – in other words, companies are losing value because red-green politicians are going to go so much into the corporate governance itself. Does the Prime Minister see that the debate we are now having on the content of the draft terms of merger can also help to weaken the new company?
ParlaMint-NO_2007-01-17.ana.ud2489e628	This government has behaved very correctly and correctly in relation to Statoil-Hydro in relation to the particular work on merger. We have supported the idea and the principle of merger. Like all other owners, we shall decide on the merger agreement, the draft terms of merger – which have not yet been drawn up but are now drawn up in these days and weeks – when they exist, and then there is contact with the companies. It's the government that's going to make it, but they're doing it in a good dialogue. We have had good dialogue with the companies about these things. Secondly, I would also like to stress that whether it is Tore Nordtun from Stavanger or Right-wing representatives from Stavanger who disagree with some of the proposals that have been put on the table, for example. with regard to the allocation of group functions to different cities — Stavanger and other cities — I believe that the type of attention, the type of debate, will withstand this process. The crucial thing is that we have a majority government that could set up and contribute to the company's governments being able to present the agreement they made. It was hard for the previous government to do.
ParlaMint-NO_2007-01-17.ana.ud2489e635	As a result, the President only allows two follow-up questions – first Kåre Fostervold.
ParlaMint-NO_2007-01-17.ana.ud2489e638	We have recently seen many good examples of how an active red-green ownership policy may look in the future, perhaps especially when looking at the media management from the government parties in connection with the Statoil-Hydro merger. The red thread of the red-green ownership policy seems to be creating as much uncertainty as possible as to what state interests really are. Governments in several of Norway's largest companies have to deal with various signals from government parties about management salaries, options, location, board of directors, name selection, etc. Therefore, it may be appropriate to clarify the following around the Government's intentions in the Statoil-Hydro merger: When the Prime Minister has now indicated that the Government will spend an estimated NOK 25-30 billion on buying up to a share of 67 pst. in the new merged company, does he think that these extra tens of billions in circulation could create pressure in the Norwegian economy?
ParlaMint-NO_2007-01-17.ana.ud2489e646	First of all, this government has a very clear ownership policy, and it is reflected in several documents, among others. in the ownership message, where we are very clear that we are now putting an end to the unfair options we have seen in many companies. It's clear, it's clear, and that's something this government is implementing, but I'm a little uncertain about what the Progress Party really thinks about it. At least the Labour Party and the Government are for it, and implement it. Secondly, this government has cooperated with the companies, so that it has now started, well started, to create a large Norwegian new oil company. It hasn't worked out before. We are happy that we are a government that can participate in that process. It is a strength to be a majority government when talking to companies about the type of large, controversial projects such a merger. There's no reason to be unsure about what's the main point: getting a merger. We're doing a good job, and we're having a good dialogue with the companies.
ParlaMint-NO_2007-01-17.ana.ud2489e655	Ingredient S. Sørfonn – for follow-up questions.
ParlaMint-NO_2007-01-17.ana.ud2489e658	It is quite correct, as the Prime Minister Net said, that in the ownership message, the Government has formulated several reasonable principles of good ownership and not least our clear and clear definition of the role of owners and their role. But after seeing various big politicians from the government party close to being released in the newspaper columns in recent times, I have some doubts as to whether they are in agreement with and some in the same principle. So my question to the Prime Minister is: does the Prime Minister see the representatives of the Government Party who have expressed themselves in full public opinion about the design of the top leadership of the new company, as part of the Government's parliamentary basis on the Stortinget? If the answer is yes, then it is entirely unproblematic that these props to spread doubt between the adders, owners, etc. on the merger agreement, in fact, indebtedness? Or does it matter to the Prime Minister what the support players at Stortinget have to say about this?
ParlaMint-NO_2007-01-17.ana.ud2489e665	The important thing for me is that I am absolutely sure that the companies and the companies are at all in no doubt about what the Government believes. We've had a very good dialogue all the way. A contribution to this is that we are a majority government, so that we are sure that we have a foundation for the process that has been conducted and is now being conducted, because they are not finished with a final merger agreement or a merger plan. That there may then be different opinions in several batches, including in the opposition batches, for example: on a central point such as the location of group management and functions is a discussion/different views that this process tolerates, as long as the Government is clear and clear to the companies, and that is the Government.
ParlaMint-NO_2007-01-17.ana.ud2489e670	The oral question procedure has now ended, and the current map has been completed. Does anyone require the word under § 37a of the Rules of Procedure before the sitting is cancelled? - The meeting's been cancelled.
