ParlaMint-HR_2021-06-24-0.u42830	Now it's Mrs. Vukovac's turn to present the position of the House Movement Representatives Club.
ParlaMint-HR_2021-06-24-0.u53005	My fellow coat of arms, thank you very much. Since you directly called me for a violation of the constitution, I would only remind you that the decision to amend the Rules of Procedure and Art. 293a. delivered by HS, not by the President and Vice President HS. So your argument is very thin if you take this as an example that you should or should not have chosen Mrs. Djurdjevic. And please don't deceive the public, I'm only saying this for that reason so no one would think that I or Vice President Reiner broke the constitution. So it's amazing that you used such an argument. Let's move on now, it's time for our esteemed colleague, Nikola Grmoy, on behalf of the Most Representatives' Club.
ParlaMint-HR_2021-06-24-0.u53006	Good afternoon, everyone. So, I don't like it when such complex topics are taken up by some firm stances, especially from people who, I don't think, haven't even read the candidate's programme, a good part of them didn't even take part in this session of the Justice Committee where there was a hearing of candidate Zlata Djurdjevic and it's clear that Zlata Djurdjevic is a HDZ candidate for good, after all, she was their candidate, so for certain, for certain functions. What I think is controversial here, and I am glad that the president of the SDP has tempered the public's views and expectations a little bit. So, some kind of public fama was created that the election of Zlata Djurdjevic, in fact, would lead to a failure of corruption and in the Croatian judiciary, that this would be a victory over these corrupt structures in the Croatian judiciary, so that it would end up dealing with corrupt judges, and that does not correspond to the truth. So, the candidate herself, I was at the hearing, I'm the only member of the Justice Committee who gave all the candidates a positive opinion because I think it's good for the procedure, that it should be discussed. What I find not good is that the president proposes an HS candidate without speaking to anyone. So we here should give support means someone the president chose before the public call that took place. We knew it was his candidate and then we should not know here the Homeland Movement should support Zlata Djurdjevic after being brutally offended by the president's position. So no one as HS, as representatives of clubs by the president, has consulted this one, so let's talk, let's see who really is the best candidate for that function. The other thing is, we will ultimately, here in HS, need to vote for someone for whom HDZ and SDP will agree, so it will eventually be. So, when HDZ and Milanovic agree on candidates, it will be a candidate who will get most of them, and the rest of us will need to support it or not support it. I tell you here immediately when HDZ and the SDP agree on candidates I certainly will not support it the same way as in 2017 when we were part of the ruling majority, when HDZ and SDP agreed on this shameful composition of the constitutional court we were against. We were against the Mlakar who faked himself in Austria. Zoran Milanovic raised his hand for Mlakar, and now he's not doing well, he's not doing well with the constitutional court, and now they're not sure how you voted them all together in this constitutional court assembly together. And responsibility, I agree, is the biggest responsibility on HDZ for the state of justice, but cannot escape SDP from responsibility. We can't escape either those of us who have been or who don't know how many ministers, the Minister of Justice, as long as those turbulences and she's the government she was, so neither can we. So, those stories are us or them, so we're going to reform the judiciary now, we don't have any responsibilities, they're stories for little kids, you sell them to someone else, you can't sell them to me. Do you know when changes will take place in the Croatian judiciary? Something my colleague Bartulica said about it, when we change our head, when we change our mentality, means in which everything is solved through connection, from health services to judgments. Then we will change the situation in the Croatian judiciary, not by selecting one person in the Supreme Court where everyone showed when they voted against it. He told his colleague, Zekanovic, that he said something about her. No, that says it's a caste that doesn't want someone from the academic community now, so it's coming to the Supreme Court. It's just talking about it, it doesn't say anything about a candidate. So, people, let's be objective, let's get away from some flat-rate, let's try to look at things. Zlata Djurdjevic said in her programme some good things, that only moving justice policy will not solve problems in the Croatian judiciary. So we now in the DSV which is the source of corruption, I repeat that my thesis is the source of corruption, we have two politicians and we have representatives of the academic community. So politics has a minor, minor impact and it shows that the situation in the judiciary is bad not only because of the influence of politics, although politics has influence but is bad because of what I'm talking about, what I'm talking about. It wasn't a politician who bribed judges, it was a football manager who bribed judges. Moving justice policies will not prevent new Mamics, but rather change of mentality and an effective and independent institution that will treat anyone who wrongs about the law and any judge who associates with the convicts in the way in which it is necessary. How many cases were there that the judges themselves punished those who acted that way. Who answered? No one. There are no responsibilities in Croatia, there are problems. I'll just take a quick word on the public hearing. Therefore, the candidate has shown to the committee a very high level of knowledge about the functioning of the judiciary in Croatia but in parallel legal systems, however, its public explanations about the situation on the judiciary and the situation in our Supreme Court have been somewhat inconsistencies with the expectations of the candidate from the post she has been running for. It thus speaks on the one hand about the strong and strong position of the President of the Supreme Court and the tools at his disposal, while on the other hand it quite rightly concludes that the Supreme Court as such, the law took away the possibility of fulfilling some of its tasks such as unifying judicial practice. There means Zlata Djurdjevic notes well that the number of cases that come to the Supreme Court is too small for the Supreme Court to be able to fulfil its role in unifying court practice at all. In such circumstances as the candidate is obviously aware, she must be aware that her administration structure as she calls it, will not be enough to meet the expectations that exist in the public and which she created herself, they were the most created by the President of the Republic who turned this election story of the Supreme Court into a story of a full account of corruption, so when we choose Zlata Djurdjevic, corruption in Croatia will disappear. That is not true, it is a deception and it should be clearly told to Croatian citizens here. So, I think it is necessary, this public call, we all know, so when the ruling majority is against, some clubs have already made it clear that they are against, that Zlata Djurdjevic will not be elected. It is necessary to call a new public call, it is necessary that the president enters consultations with the opposition clubs after the candidates arrive for that public call in order to finally come to the election of the President of the Supreme Court or the President of the Supreme Court, which is either the only time or means and this does not match what should be agreed with the Prime Minister, so if the Prime Minister controls you in such a way that you and the Croatian Parliament and the majority cannot vote without a moment, then it means there is nothing left to the President but to agree with the Prime Minister and to ensure the majority for this joint proposal, it will be a joint proposal. I can already say that for this joint proposal without anyone talking to the Mosta Club asking us about our views on candidates, that's not how I intend to participate in this debate. And another thing that was coming down on Zlati Djurdjevic. It's a matter of handing over Perkovic. So, the fact is that Zlata Djurdjevic was against lex Perkovic. Not as some claim it was for lex Perkovic, but she gave her opinion on it, on the extradition itself, meant doing comparative practice of European countries and what was disputed to me, the same opinion was given by Derencinovic, who, for the purposes of the DORH, gave the same position as Zlata Djurdjevic, the only thing that was disputed to me, so in the whole story, was that Zlata Djurdjevic did not publicly declare it, so it was a matter of transparency, publicly declared that the opinion she gave, which by no law was disputed, so she did not declare that this opinion was commissioned by Nobil and that she was actually done and may have been paid, means by the defense of Perkovic. That's the only thing that's disputed. That intransparency, in all of that. [[The incursion president: Thank you.]] Here, thank you.
ParlaMint-HR_2021-06-24-0.u53007	Thank you. We are going to the fifth debate, the Center and GLAS Representatives Club, two colleagues will speak, respected colleague Mrak-Taritaš and respected colleague Oreskovic. First up, comrade Dark-Taritash, here you go.
ParlaMint-HR_2021-06-24-0.u53008	Thank you very much, dear President of the Croatian Parliament, dear colleagues and colleagues. I think it's important at first to say one thing. This is not a question of some verbal conflict between the President of the Republic and the Prime Minister who entertains or pisses the public, as who and how when, this is a fundamental issue of the functioning of institutions and whether we are even a state that can be called state. Because if the Constitution, laws, parliament, courts and all other institutions fall to their knees in front of individual personal or party interests, then we all have a serious problem together. And I'd say this isn't even a debate about the Professor himself. Zlati Djurdjevic, a debate we have been having for months and a debate on whether we are ready for a step forward. In this case, in the judiciary and with regret, the only conclusion that can be drawn from all this which has been said and done so far is that we are not ready for a step forward. I'd say this isn't just a discussion about Professor. Djurdjevic. Unfortunately, in the big part, it really is, but it's a huge damage and an indicator of the state of things. I really don't think that one man can make a revolution and overnight magical wand erase all problems, especially in an institution like the Supreme Court, not to mention the judiciary as a whole at all, but one person can send an important message and give an even more important tone and direction to what's going on. One of the things that we've determined all these months, and it seems to me that no one puts any doubt on that fact, which is that it's Professor. Zlata Djurdjevic is a perfectly qualified candidate. That's what prof. Zlata Djurdjevic meets the formal criteria is understandable in itself. It is about a model, professional, scientific and public career in a country such as Croatia where real people are constantly missing for the right places. That should be nice to everyone. Her résumé is simply brilliant, but perhaps it's not because it wouldn't be a problem to choose her. Professor Djurdjevic has a serious flaw in his résumé, in several places even pointing out that it is a virtue that will help her with the election. It is independent of politics and formal and content in its work that independence has shown. It's not like many of the top independent candidates that HDZ here proposes for various functions and various bodies that choose the parliament could hide pieces of their lives to hide political ties. So when we get a list of some allegedly independent candidates that we're proposing here in the assembly, I do one very simple thing, Google knows everything. I Google the name and last name and add the HDZ and then I regularly discover that we are dealing with people who are local HDZ officials, present or former, or were representatives of that party in some council somewhere or are donor spouses or lecturers at their youth academys, etc., and so on, that Google knows a lot of interesting things. - Mrs. Crescent. Zlata Djurdjevic doesn't have that kind of reference, and therefore, not all of us lying together, HDZ doesn't want her. It's not someone you can control, it's not someone you can blackmail. Her independence of our prime minister scares away, and there's no way she'll pass. Unfortunately, there is nothing unusual about Croatia, but now the public has been given the opportunity to see it clearly and unequivocally. We'll get a clean professional through the mud without a problem, so some party appliances that aren't even up to their knees will give a lecture on how she broke the constitution and the laws. And she only broke one thing, didn't bow deep enough to Prime Minister Plenkovic. Thank you.
ParlaMint-HR_2021-06-24-0.u53009	Thank you, too. Time please stop. Now will be continued by colleague Oreshkovic, please.
ParlaMint-HR_2021-06-24-0.u53010	The chairman, my fellow MPs and MPs. First of all, I am really embarrassed by the very aggressive tone that has been under discussion for months not only today but rather the choice of a member of the judicial authority. And that kind of creates an impression in the public, especially among those who know the profession well, that our competences are also questionable for doing the jobs for which we are paid and for which we are elected by citizens. And this debate, in which there are very few arguments, and quite a lot of incorrect claims, will demote all quality people who hold to their dignity to report any public invitation or public competition in the future. I wonder if we have forgotten or may never have been aware that HS is the body most responsible for creating the conditions in which the judicial authority should or may carry out its tasks in accordance with what all our citizens expect under the constitution and law of the Republic of Croatia. HS is the one who designs the design of individual institutions, especially those that should do internal control within the same judicial authority, and this pattern is insufficient, insufficient and for decades bad. HS is the one who makes the laws by which judges are tried, so many among them who are honest, conscious and responsible are very often making judgments and decisions that citizens are not satisfied with, but they are not the judges, it is our fault. And the only thing I can agree with today is that one person, neither the President nor the President of the Supreme Court, can and will not reform the Croatian judiciary. That's our job. However, in order to be able to do so, we should first clearly define, without political market and division, which are key problems within the judiciary itself. And it might be useful, it might have been opportunised if we had devoted a whole week or a month of debates on the situation in the Croatian judiciary, putting on the agenda instead of what kind of trinkets report, for example, the main state attorney for the past year, but also the report by the President of the Supreme Court. It would be good if we had organized thematic discussions on which to repeat the material from the GRECO reports. So GRECO is an international organisation of the Council of Europe, there are 50 Member States, all countries there have sent their most prominent people from the justice system, whether they are judges with the highest court cases or general state attorneys or their deputies. So, the most professional auditorium has made its recommendations through 5 cycles of evaluation of the state of justice and the fight against corruption in the Republic of Croatia. And today we're actually talking about something that comes from the fourth evaluation circle and the recommendations that were then made. And one of them was then to change the way the Supreme Court President was elected because the procedure previously defined through the constitutional powers of the president of the state to propose a candidate then elected by the parliament proved in practice too politicised. How politicized and bad we have a chance to see it now. And we should remind ourselves that we have conducted the research paid by the World Bank on the reasons and the causes of non-trust of Croatian citizens in our judiciary and based on this research we have made a small but still insufficient step in the Law on Courts which provided for a public call to be called, that candidates apply their lifes and work plan to give the President of the State the opportunity to, on the basis of certain criteria and values, convince the public that the candidate he proposes is not their political choice. I appreciate Zlata Djurdjevic as an academic expert, however, I do not agree to this artificially created division and the conflict he caused and created by Zoran Milanovic from which the discourse of this entire debate stems, which is that either we are for Zlata Djurdjevic as an independent candidate or we are for a corrupt HDZ judiciary. If indeed the entire Croatian judiciary is corrupt and HDZ is corrupt, then Zlata Djurdjevic will not save it and on the other hand, where do we get the right to treat all other candidates in advance as someone who would be an exhibit of HDZ or any other policy? We are not aware of the way in which we have actually offended the quality judges who have responded to the competition but all others who will have to make the call again. I will speak of the constitutionality of this new public call in individual speeches. Thank you.
ParlaMint-HR_2021-06-24-0.u53011	Thank you. The sixth debate, IDS Representatives' Club, will be held by respected counterpart Marin Lerotić, please.
ParlaMint-HR_2021-06-24-0.u53012	Dear President of the Parliament, colleagues and colleagues. Here is this saga on the election of the President or President of the Supreme Court for almost 150 days, and as we can hear so far in this debate, it will not end tomorrow. And the problem is the judiciary as a whole, the problem is the laws that are lumpy, which are full of holes. And because of these laws, we end up in this situation today. And that is because some lawyers believe that the President of the Republic, in this case Mr Milanovic, is not related to the DSV procedure, some say he is. It is not clearly defined that the candidate must be proposed from the part that appeared in the competition, some say he must. And the constitutional provision makes it clear that the President of the Supreme Court is elected on the proposal of the President of the Republic of Croatia, in this case by Mr Milanovic. And it's actually a representation of this country, a representation of the situation in the judiciary, a representation of a law that's full of contradictions, and every law interprets how it wants it, or how you suit it at a certain point. And that's not good for this country that's in crisis, though, economic and what we need is economic stability, so last week we voted out some rebalancing advocates where the deficit has increased by 6 billion kuna by the end of the year is probably going to be over 17 million kuna, so let the citizens figure out if we have economic stability. The political stability that is thin, but come on, there is also unfortunately a judgment that will be in crisis tomorrow because we should vote on the President or the President of the Supreme Court, as we hear tomorrow, and that will not be the case, and that is the head of the judicial authority responsible for the functioning of the judiciary. And that's why we are here today in this almost unexplainable situation because everyone interprets the laws and the constitution as they wish. So we'll try to be responsible in IDS, we'll support Mrs. Zlata Djurdjevic, president of the Supreme Court, in hopes and somewhat naively, that tomorrow all parliamentary deputies will be responsible and that we will not be brought to the door of the judicial crisis in this country. Thank you.
ParlaMint-HR_2021-06-24-0.u53013	The seventh debate, a Green-left bloc representative club whose name Sandra Bencic, a respected colleague, will speak for you.
ParlaMint-HR_2021-06-24-0.u53014	Thank you. Dear colleagues and colleagues. So, the election of the president or president of the Supreme Court of the Republic, elected by the President of the Republic of Parliament, is here for me by a process which should preferably guarantee the democratic legitimacy of a person headed by a judicial authority. It's a very public question, until the administration of this candidate, Professor. Zlata Djurdjevic, who stressed and repeatedly stressed the importance of the democratic legitimacy of the judicial authority. Why? Therefore, it is important to repeat that the judicial authority is one of three branches of government which is independent of the other two but is in a mutual relationship and this relationship should be characterized by the ratio of brakes and balances. So, each other's controls and prevention of encroachment of one power to another. The independence of the judiciary means two things: internal independence, which means that every judge in the individual procedure is free to apply the law and to determine the facts in accordance with the law and the Constitution, not as told by the President of the Court, for example, or as someone at some session of the court of another. The internal component is extremely important and I was very glad that it was just the candidate for the Supreme Court President who repeatedly emphasized it. Second, external independence. External independence shall ensure the inability at all to influence the executive authority and the policy on judicial decisions in individual cases. And what do we have today out of independence? We have that there is no public understanding in the work of the judicial authority that independence does not mean independence from the law, that it does not mean independence from every form of public criticism, that it does not mean liability to the public and to the citizens, that independence means that judges judge by the Constitution and the law, and not by someone's orders and expectations. But it doesn't mean independence from public criticism. What, therefore, today we have a closed system in which not all of us, I repeat, not all judges, but part of the judges, are seeking even more protection from public criticism, which, in the case of unfavourable newspaper articles, sues journalists, and while each other is being charged with huge damages, which eventually fall in the European Court of Human Rights, we have even votes, and among other things, from the current president of the Supreme Court who think, be careful now, that the views of citizens on the judiciary and on the perception of corruption in the judiciary are harmful trials and that they de facto represent attacks on the independence of the judiciary. President VSRH current. At the same time, we have a President of the Constitutional Court who is openly socializing, painting and publishing on Facebook photos with friends from HDZ and that, no less than the president of the Assembly Club of HDZ, Mr. Bačić, and that's normal for everyone, because they're friends, so people have to hang out, right? That's normal. We have situations where the most important judicial decisions are therefore made at the meetings of the VSRH and taken in the Constitutional Court, that they are not public. And they are not public not because of the crown, but because there is an internal resistance at the top of the judiciary and in the Constitutional Court that the argument put out is not exposed to the public, and then to public criticism. And all together, it led to this low level of trust in the judiciary together, of course, with the corruption cases we've had. But what did we learn through Golden Djurdjevic's candidacy? I want to stress that because I don't want everything that she's been through, which she's said and argued falls into the water tomorrow when, of course, you, out of the short-term political interests, reject her candidacy. We have learned that in Croatian society there are people who really live excellence in the field they deal with, people who have already received a lot of recognition for their work, so this should not mean much to them, persons who show an exceptional level of integrity and independence and who are willing to expose themselves to the limits in order to show that the judiciary could be and what kind of justice should be. We also learned that policy selection does not have to be a politically motivated choice, it clearly told us that it does not have to be a choice based on political similarity. However, she pointed out, many countries choose judges in parliament or the presidents of courts, as we choose the president of the court in parliament, but not on the basis of political similarities, but on the basis of objective criteria of expertise, integrity and public reputation of that person because they are capable of it. And that's the only thing Zlata Djurdjevic was saying, she wasn't saying that more policies were needed in the election, but that the choice of VSRH president was the only link of democratic legitimacy in the choice of judges and that if this person was chosen by objective criteria, then the fact that we choose the representatives body is irrelevant, if we are able to choose in this way. But paradoxically, the one who gave us a huge loan that we're capable of actually being the victim of that belief, because, well, we're not. So the arguments that you HDZ and their pendants, from the Sovereignist to the Homeland Movement that will vote against the candidate together, show how much we didn't actually deserve that loan. For example. counterpart Zekanovic said she was not conservative enough, as if it were important in any way, so she presents examples of the US Supreme Court without understanding at all the differences between the role of the Supreme Court in the United States and the Republic of Croatia, the difference between the Anglo-Saxon system and the continental system, means she knows nothing about it, compared incomparably because she watched 5 American films. Literally so, it was the level of debate it was, I saw three American films about the Supreme Court. The HDZ is making arguments that are coming down to the same, so you're talking about the problem because it has agreed to be president's candidate, so it's not good enough, regardless of what the president suggests to the Constitution, it's not good because it has agreed to be president's candidate. The bridge tells us that it is logical that the Homeland Movement will not support the candidate of the president of the Republic of Croatia when the president rudely insulted them. So that's an argument. With such arguments, we are here defending someone's position to support or not to support it. So all these arguments talk about that one large part of this assembly does not understand its responsibility in selecting the leaders of the judiciary, does not understand the criteria and is not capable of having one single procedure, so one single part, removed from the ring of the short-term day policy, agreeing that we will not and will not have to get political points, does not matter in that single procedure, and that only once in the term we do the right thing, we choose, not on the basis of some of our preconceptions, not on the basis of the next poll of the popularity of politicians, but on the basis of public interest and citizens' interest to move towards strengthening trust in the judiciary and to improve the work of the judiciary. So, only once should we get out of the shoes of short-term political points and the short-term struggles of Pantovic and Mark's square. Many times in these discussions it has been pointed out that it will not be the VSRH president who will not be a great reformer of the judiciary, he can not do it himself, it is true, it is not an all-powerful function, but the choice of such a person who has shown the incredible breadth of knowledge, the firmness of character in relation to all political options, is an exceptional signal to everyone in the judicial authority who could trigger this avalanche of the necessary changes, and even attitudes and relationships to their own responsibilities within the judiciary. By doing so, you can strengthen your confidence in the justice system. So we have a great opportunity to change, and precisely because we have it, which we have seen, which is clear, is what HDZ crushed it at the very beginning. Thank you.
ParlaMint-HR_2021-06-24-0.u53015	Thank you, too. Before I give my injuries to the Rules of Procedure, just a little fellow Sacic, I don't usually intervene, but I didn't understand the reason why you called the two representatives' clubs the HDZ's "brands" because they showed their political stance. I don't think it's correct because then someone can tell you that you're someone's locket because you've expressed your political position. So here's what it is, I won't give you a warning, but I'd like to pray that we avoid that kind of thing after all. Comrade Sacic, here you go.
ParlaMint-HR_2021-06-24-0.u53016	Dear President, that's exactly right. I'm reporting a breach of the Rules of Procedure, Art. 238, ma'am. Sandra Bencic, indeed unworthy, incorrect, non-legislative and extremely trendy in front of the Croatian public, has declared an honorable club of elected people in HS, Croatian sovereigns, and so I assume the Homeland Movement, to be "the princes of the HDZ". Shame on you can be, from where you're entitled, we never allow it. Your political views can be expressed, but if you insult us uncontrollably, we will not allow it.
ParlaMint-HR_2021-06-24-0.u53017	Thank you, fellow Sacic. Thank you very much. I said what I thought was necessary. Here's my colleague Bacic.
ParlaMint-HR_2021-06-24-0.u53018	Thank you, Mr. President. Mrs. Devereaux. Bencice hurt her ankle. 238. The Rules of Procedure degrades and insults HDZ deputies. Nowhere, and never, ma'am. Bencic is not the HDZ Club, nor did any HDZ representative say he would not support Mrs. Bencic. Zlata Djurdjevic, because she is the candidate of the President of the Republic, no one can be the president of the Supreme Court if she is not the candidate of the President of the Republic, but we said we would not support Mrs. Djurdjevic because she was involved in an anti-zazonic procedure, and that is an important difference and you should know that.
ParlaMint-HR_2021-06-24-0.u53019	Thank you very much, dear colleague Bacic. Here's another call from my colleague, Zekanovic. Here you go.
ParlaMint-HR_2021-06-24-0.u53020	238, the Rules of Procedure got hurt. Dear colleague Bencic obviously has a problem with Croatian sovereigns because we have clear policies and a clear world view. I know she's more, much more suited to some vague policy of some clubs, like. Here's a colleague of the Most who won't speak out on this subject whether you're black or white, but, ma'am. You've got to deal with it. We have been and we will be clear and in this case we have been and will be against Zlata Djurdjevic.
ParlaMint-HR_2021-06-24-0.u53021	Thank you very much. And this was more of a replica than a violation of the Rules of Procedure, but since I haven't given anyone a warning, I won't give it to you either, so let's move on with the debates. Now it's the HDZ Representatives' Club, and I'm sorry, colleague Zekanovic, here's your break.
ParlaMint-HR_2021-06-24-0.u53022	Dear President HS, you can do without the mask now, right? Dear President HS, I request a 10-minute recess to further consult on the agenda item in question. I must point out here that some people seem to mind that the parallel is drawn between the US elections for members of the Supreme Court and what is happening in Croatia. The parallel is very clear to all, as in the case of the Americas, about the exponents of one policy. In the case of America President Donald Trump managed to install and place his conservative judges. In the case of Croatia, President Milanovic seeks to set up a left or left candidate, which is Zlata Djurdjevic. My right and my position is politically clear to be against such candidates, and I will not hide that exactly my motivation in politics has been motivated by just what you do in politics. So, my political goal is that it is you from the coalition that we can!, from your parties and from the SDP you will never be in the position of government, whether it's you or wrong. However, what you deceive the Croatian public is a clear fact that we are here in opposition, so we are in opposition and against HDZ, and we have been before you and we will be forever and you cannot count on us. Perhaps you can count on some of the other clubs, but you will not be able to count on Croatian sovereigns, nor could you count on them.
ParlaMint-HR_2021-06-24-0.u53023	Okay. I'll call in an article. 293b, so we're not going to take a break even though I have to formally approve it. It is now up to the HDZ Representatives' Club and dear colleague Drazen Bosnjakovic, please.
ParlaMint-HR_2021-06-24-0.u53024	Thank you very much, Mr. President, colleagues and colleagues. Here is the item of the agenda where we will decide on the proposal of the President of the Republic of Croatia on the election of the President of the Supreme Court of the Republic of Croatia. If we see an ambience in which it or the atmosphere in which it happens, it's not really what I'm going to say promisingly. On the one hand, there are really debates about the situation in the judiciary that encourage all of what we saw in the Municipal Court in Osijek, all of what we saw in some other courts, and this really provides a very ugly and bad picture of our judiciary. On the other hand, for the first time, we have the procedure of electing the president or president of the Supreme Court on the basis of a public call, that is for the first time. We've always had that constitutional provision so far, the president of the Republic proposes, and the parliament elects the president. Many were dissatisfied with such a solution, they said it was precisely necessary to find some solution that would be more transparent, where the public would be aware of why someone was proposed to such an important and responsible function. And the only change we've made in the amendments to the Courts Act to achieve this really maximum transparency is we've introduced a public call. The introduction of a public call throughout the procedure means, in fact, the realisation of that constitutional principle which says that public functions must be available to all under equal conditions. So it's done and then there's this huge noise, that's the solution that he supported otherwise at the time when we brought the SDP, he didn't support the law, but that solution was certainly this one that was acceptable to them, which they were talking about. However, now that we have come at a time when we need to make a public call, when we need the basis of a public call to get a candidate or a candidate, it has really gotten out in public a lot of noise because it has been said that it reduces the president's powers, that it is the opposite of the Constitution, that it is absolutely unconstitutional. The Constitutional Court also conducted a procedure before the Constitutional Court, an assessment of the constitutionality of the law, and the Constitutional Court, as many, in fact, most of the vast majority of the constitutional experts said there was no unconstitution and so the Constitutional Court made a decision. However, we had, here, two public calls, in the first public call, we remember, there were three, I think, candidates, the president said he didn't support anyone and he proposed to this HS candidate who didn't answer a public call. Of course, there she's not in any area of illegality, we don't argue at all, I answer a public call needs someone who really has ambitions and who reflects on that position, thinks he has references and thinks he has a program. However, we also said on the Committee on the Constitution that such a proposal, proposed someone who did not participate in a public call, that it is illegal and that such a candidate cannot come before HS. What would that mean if it came? That would mean that these three people who came forward, who wrote the work programmes neatly, were not in the same position as someone who would come here, whom we would decide without knowing his program, which he, as he looks at the judiciary and all that. And there's a good solution, it means a public call, but it requires whoever comes to it to write and some kind of program that contains his vision, his goals, his measures that he can take under his authority. After that, when we've done this story in some way with our first public call, we have a second public call, which is said, okay, now we're going to respect the procedure, but already by the proposings, whoever answers, I'm going to suggest her. Well, that's not correct, you know, because here, what I'm saying as HDZ, even though I'm looking at it, everyone's saying, what, why the HDZ won't support, turns out that a HDZ representative doesn't even have to talk to me because everyone knows what HDZ thinks and what HDZ is proposing. What we want as HDZ, we really want at the head of the Supreme Court a person who is expert, who is competent, who has a reputation and who will actually propose measures and who will act according to both the Constitution and the law. And in order to come to this, we believe that it is necessary to encourage people in Croatia who meet these conditions to realize the constitutional principle that these functions are available to those who actually, who meet the conditions for it. We want a public call in which people will not be afraid because tomorrow someone will muddle them, because tomorrow someone will criticise them, but we want a public call where at least 10 relevant candidates will come to the meeting of the Justice Committee, with which they will, on which they will give an opinion to the General Session of the Supreme Court, will then come to the table of the President of the Republic and the President of the Republic will say, I propose this and it will come to the Assembly. Or they'll say I don't suggest anyone, repeat a public call, I don't think anyone deserves that place. However, we have constant recommendations, we have insults in relation to very important institutions on people, and that is one environment where we will find it difficult to encourage people, and that is why the HDZ Club insists and we send a message to all those who meet the conditions, who have a program, who have ambition to act as president of the VSRH, let them report, let them participate in this public call. Our reasons why we won't support this candidate we said. We believe that whoever reflects the position of the Supreme Court cannot ignore the law and accept the fact that it is proposed without him participating in a public call without him writing a work programme. That's for us, that's what we've been saying forever, that's what we're saying right now. It's a good thing there's a program, we talked about the program on the Justice Committee, we pointed out in public that this programme should have a very different view for us than this. It comes from some thinking whether judges have democratic legitimacy or not, whether the judge should be named like this or not. Whether politics should participate more in this choice or not. No, I don't. Politics should not participate to this end in the choice of VSRH President or in the choice of judges and presidents of other courts in the Republic of Croatia, because judges and the judiciary must be independent. The independence of the judiciary is one of the most important conditions for the rule of law because, if policy is to deal with the choice of judges and presidents of the courts, it really won't be good, it's one of the most important criteria that we are in the process of negotiations, and related to obtaining the status of EU members, one of the most important criteria that we have negotiated, and therefore we have changed the Constitution, so we have changed the laws, that the policy comes out of the judiciary, to reduce the impact on the least possible measure. Should DSV have more politicians? So the recommendation of the Venice Commission that the DSV must have the profession in greater numbers than what is the influence of politics and the academic community. We're sorry that the situation is like this, that we actually have a public call, under one of these pressures, so I say, very, very bad situations that were happening in the judiciary itself, but we're also sorry that one environment was actually created to take away someone's power, that all of this is unconstitutional. Can someone in 2021, when we're all talking about transparency and the public, be against a public call? I really don't think that makes any sense. We should encourage people who are competent, who have a reputation, here, from this place I congratulate Davor Derencinović, so to the head of the Faculty of Law in Zagreb for the criminal material law that he has become, who has been elected Judge of the European Court of Human Rights. So, we and the professors of great people who can behave, have us and among lawyers, have us and among the Presidents of the Supreme Court, among the judges of the Supreme Court, we have great people who have something to say, but we have to give them one tolerated environment, one tolerable atmosphere to answer this public call that will probably follow because how the club announcements are hard for us, that any candidate, that the proposed candidate, will get the necessary majority. I repeat, the HDZ Club will not support this candidate for these two reasons. And as for the next steps, we hope in fact that as many candidates as possible will come forward so that the applicant can make a quality proposal. Here, thank you very much.
ParlaMint-HR_2021-06-24-0.u53025	Thank you. This brings us to the end of the club debate. Now we'll take a 10 minute break and we'll continue at 11 o'clock and 10 minutes. We have 17 individual discussions and so far a registered club for the final debate. I'll see you at 11 and 10. It's 11:00 P.M.
ParlaMint-HR_2021-06-24-0.u53026	[[CONTINUATION AFTER THE MEETING IN 11.10 HOURS]] And now we're moving on to individual debates, it's Mr. Milan Vrkljan's turn, here you go.
