ParlaMint-HR_2021-07-08-0.u42844	Ruzica Vukovac will be the position of the National Movement Representatives' Club. Here you go.
ParlaMint-HR_2021-07-08-0.u55681	Now, on behalf of the Center and Voice Representatives Club, a respected colleague, Mrak Taritash, will speak. Here you go.
ParlaMint-HR_2021-07-08-0.u55682	Thank you very much, well-respected Croatian Presidential Assembly. Dear colleagues from the ministry, colleagues and colleagues, the world we live in today is much different than it was just a few years ago, and those changes that took place occurred in the world of pensions and pensioners. Croatia is lacking workers in many economic branches today. Something that not long ago seemed utopia, but the fact is that there is an economic branch where really when people retire they can't work, but there are economic branches where that's possible. For example. Take a look at some shopping chains that targetedly advertise jobs for pensioners because there's no one to work with. At the same time, something that hasn't changed and which is unfortunately the same, is that pensioners in Croatia still have very small pensions that are often not enough for a dignified life. In general, work for pensioners, for pensioners, or when you retire to work for 2 hours, 4 hours a day or work a week is no newspaper in the EU. It is something that you are really and we have been able to see for years that is being used and it has often been a question of why some of the good practices we see in some EU countries do not have, too. In 2018 it was the first amendment of the law that made it possible, and here this amendment will allow for a certain group that I will say a little bit about later. What we are witnessing is that by progress of medicine and for the sake of better quality of life we really live longer, that we are healthy and that age is no longer what it used to be. Many 65 - year - olds and 70 years of age are still in power, can make a significant contribution and may not really want to retire because they will not be able to live from it. That's why it's good that I can work part-time and it doesn't abolish the right to pay off my pension along with my salary. Especially today, and so everything will be more and more in the future when we really have more and more jobs that are looking for less physical strength and more intellectual capacity. I must admit that we also support the idea of including in this group pensioners those who receive family pensions, and what is proposed by this law. They have so far been excluded from that right, and it is obvious that the interest in such work exists. So, since 2018, when it is as the proposer in the explanation says that the number of pensioners working has tripled, but on the other hand, let's look at the figures and let's see what that trend says. This triple number of pensioners working is 17,690 and it is still a relatively small figure because if we currently have a million and a half employees in Croatia, there is about 1% of that figure. So 1% of the total number of employees are pensioners who have decided to work behind retirement and thus contribute to this one imbalance that we have on the labour market. The basic idea should certainly be that all those who want and can do it after retirement can actually do it without being, perhaps, in such a picturesque way, in a minus. What's our problem in Croatia, it's small pensions and besides that financial component, I'm sure it's for the pensioners, so the financial component is still working, earning, slightly improving it all together, that it's important and psychological. People at the age of 65 are no longer older people, and their involvement in social flows is extremely important, the ability to continue to be active and contribute, is certainly developing with them pleasure, self - respect and a general mental, emotional state of these people. This unfortunate crown and I, every time I have the chance to say, I don't agree that we're in a new normal, I absolutely think we're living abnormally, that some people we've met with masks so when I hope, one day, we won't have to wear those masks anymore, and when we meet someone on the street, we won't say hello for the simple reason that we knew him or her just the masks. I do kind of hope so, but that's what I said last year, that 2022 will still be the crown for a free year, but it depends on us and everything and it's another topic that we had a chance to talk about yesterday and still. I think it's just respect, that mental, emotional state of people is extremely important. Behind this unfortunate crown we will see the consequences of both young people and young generations, but surely, what I am absolutely sure is, and that this is also the consequence of the great effect on the pensioners who were at home, who could not see their loved ones, and this way that you actually involve someone in the labour market is extremely important. And therefore, as has already been said, they were the exclusive beneficiaries of a family pension which on average have fewer pensions than the average pension in Croatia and more than 20% are at risk of poverty, but there is also another data that I would like to especially highlight, and that is more than 90% of the users of family pensions are women. From the well-known data that I'm not going to go into right now, here, right now there's a little more women in the assembly than our male colleagues, but that would be something else to talk about. Women retired, and in the case of a family pension, it is those whose married or out-of-marriage partners died and they are at special risk of poverty and social exclusion. When there is any campaign for parliamentary elections, I think that parties, regardless of whether they are in the right part of spectrum or the left part of spectrum, somehow advocate and talk about this one family pension that is defined in another way, in the way that it is defined in some other EU countries, which means that you can also have part of your pension of the deceased spouse or out-of-marriage partner. I think the time has come, regardless of all promises, I have been listening to those promises for ten years, regardless of all promises, to really make a quality analysis and that we have such a single proposal in our own, therefore, legislation. I have to admit that there are no big illusions that it will be almost, but I deeply hope that, without three years, for the next three years without a choice, that it may be one of the things ahead of the election, but let it be. That's very important. It is extremely important for all those who are still using this family pension and who are truly at risk of poverty, to have the opportunity to have part of the dead partner’s pension along with their pension. Likewise, the 2018 indicators tell us that yet not many pensioners have decided to retire and work. What we should really do, we have a labour problem, this labour force problem will still be, we have a problem with those who are also physically because it's impossible to work beyond retirement, but we also have those needs where possible. It is therefore important that we make this law really possible and open that possibility for a number of pensioners, but what is extremely important and what should be, and this is in the portfolio of this ministry to really offer different fans and different employment opportunities. One of the things that we are at the bottom of the EU scale, which is lifelong education, is that you are educated for other professions, requalifications, but that will be the topic, I hope, some other debates. Thank you very much.
ParlaMint-HR_2021-07-08-0.u55683	He will now speak on behalf of the HDZ Representatives' Club, dear colleague Majda Buric, please.
ParlaMint-HR_2021-07-08-0.u55684	Thank you, dear President of the Croatian Parliament. Dear representatives of the Ministry of Labour, the pension system, family and social policy and HZMO, respected MPs and MPs, so this proposal of the Law amending and supplementing the Pension Insurance Act with the final proposal of the law suggests that family pensioners can also work half the full-time and also receive the full amount of pension. Only 5 articles of the law are amended and completed to increase social security, as well as to reduce the risk of poverty. Just to remind you, when we talk about family pensions, we are actually talking about pensions that a member or family member or family member can achieve after the death of an insurance or pensioner, of course under the terms of the prescribed law, and the user is not necessarily just a widower or widower, but they can also be other categories, family members who are also prescribed by law. The continuation of the expansion of pensioners who can also work and receive pensions is envisaged primarily by the HDZ electoral programme just over a year ago. In addition, the work of pensioners enters the programme of work of the Government of the Republic of Croatia from 2020 to 2024 and other strategic documents such as the National Recovery and Resistance Plan from '21. Until '26. and the National Development Strategy until 2030. In addition, a longer stay in the world of work means a higher pension. I must mention that the average retirement pension for pensioners with 40 and more years of employment is without international contracts according to the latest data of 4.780 kuna, which is a share in the average salary of 67.5%. However, long-term benefits in the world of work are not only economic or financial but it also improves the quality of life in general. And it's important that people make sense of the need for a longer stay in the world of work and that they can and if they really want to work. I would like to remind you that the 2018 pension reform further extends the cycle of pensioners working and receiving pensions to early retirement beneficiaries and long-term pensioners. One of the outcomes of this pension reform is that we today have nearly 18,000 pensioners in the Republic of Croatia who are also receiving pensions and who are doing what it means that pensioners show both the need and the interest in working with pensions and the longer stay in the world of work. Today, in the Republic of Croatia, almost all categories of pensioners can work, and after this law enters into force, so after 1.9, family pensioners who have a total of 216.000 in the Republic of Croatia will be able to work, and who are indeed in all age groups that I will talk about later. I particularly stress here that in the term of Prime Minister Plenkovic's government, all pensions for a million and 240,000 pensioners grew by more than 13%, and for the lowest pensions, they grew by as much as 17%. And the pension payment was never in the Covid crisis either, nor will it be questionable. It's also paid off, so-called. Covid supplement or one-time monetary income for pensioners up to 1,200 kuna. Those who receive pension only in the Republic of Croatia have already received the supplement, and those who receive both Croatian and foreign pensions will receive the add-on of up to 1,200 kuna in this month, so July. This government has also introduced a national compensation for over 65 years of age, amounting to 800 kuna per month. Many governments have promised this, the government of Prime Minister Plenkovic has achieved this which is highly socially sensitive and responsible to those who have fewer, and therefore the lowest pensions with regular indexing and an increase of 3.13%. There is also a further increase in these minimum pensions, an additional 3% increase that you can learn more about in the National Recovery and Resistance Plan. An additional 6-month period was introduced for each child born or adopted, which means that the mother and the father will have an increased pension of 2% during retirement each child. What is also extremely important is that this government has removed inequalities in the pension system, has resolved generation injustice by allowing for a choice on a more favourable peace or only one from the first pillar plus 27% or it from both the first and second pillars with an addition of 27 and 20.25%, respectively, to deposits from the first pillar. The second and third pension pillars, i.e. capitalised and voluntary savings, were also improved and a one-time payment from the second pillar of 15% was made under certain conditions. As for the work of pensioners as I have already said in the Republic of Croatia today, nearly 18,000 pensioners are proof that pensioners appreciate the possibility of a long stay in the world of work and consume it. If we look at both the entrance and the exit of pensioners to the labour market, then it is the number of 32,000 pensioners, however, about 18,000 are active at this time. Most pensioners work in Zagreb and Zagreb County, Primorje-Gorski Kotar County, Istria County and Split-Dalmatia County. What is important to stress is that the most common jobs these people carry out are professional, scientific, technical activities, construction, trade, processing industry, but also health care and social care activities. And when we look at sex, it's more men than women, and it's more men. They are mostly scientists, engineers, technicians, craftsmen, officials, etc. As far as family pensions are concerned, I have already said that today in Croatia it receives almost 226,000 users, its average amount is around 2,100 kuna, less than the average Croatian pension, and family pensions are dominant users. In fact, 93% of all users are women, and in more than 27% of the cases, the surviving spouse or extramarital mate is potentially at risk of poverty, and that percentage increases when it comes to a woman in a single household. Family pensioners according to age criteria are indeed different age groups. In the age group from 25 to 59 years. Almost 9,000 family pensioners. However, the most users are 60 years old. and more and there are almost 80% of all family pension beneficiaries. It should be pointed out here that, with the possibility of working and receiving a family pension, this law has been made possible by the government or the Ministry of Labour, the pension system, social policy and family since 11 months 2020. work to reassess and redefine the model, the existing family pension model or in a fairer way to calculate family pensions to make them more adequate and to affect the increase of social security and to reduce the risk of poverty. Since the pension system is primarily kept at work here, I must first of all stress that in the crisis caused by the Covid-19 epidemic, the government of Prime Minister Plenkovic protected all workers and employers with timely and adequate measures and thus preserved nearly 700,000 jobs and more than 100,000 employers. This ensures a stable labour market, a stable economy, but also a stable pension system because pensions are also kept at work. And in the most difficult times since the Homeland War because of the strategic approach to crisis management, we continue to record an increase in the number of employees and an increase in average wages and a rise in minimum wages and an increase in pensions. So today, compared to the same day last year, we have more than 50,000 employees and none of this happened in itself but was the result of strategic crisis management. Finally, I would like to say that the HDZ Club will certainly support this Law on Amendments and Supplements to the Pension Insurance Act. Thank you.
ParlaMint-HR_2021-07-08-0.u55685	Thank you, too. Now it's Mr. Emil Daus' turn in front of the IDS counseling club. Here you go.
ParlaMint-HR_2021-07-08-0.u55686	Thank you very much, Mr. Vice President. The very idea of allowing anyone to do so and to welcome her, of course the IDS will support this bill. But the reason for the proposal may lie partly on, at least, one wrong basis, and these basics are very low pensions that make pensioners try to gain additional income, not their freedom of choice and their desire to work at the end of their working life. And the government solves some of the consequences, but it doesn't solve the essence of the problem. The bottom line is that there's not enough working-age population, that we came from three workers from the '90s to one pensioner, today on just 1.25 workers per pensioner. And of course there are fewer children today, there are fewer families, but did it seem enough to minimise this by solving the causes, not only of course, this government but all the governments of the 30s, and the causes in those 30s. It was much, one more beautiful than the other, than the conversion and privatisation of the biggest robbery in the history of this people, the honor of the exceptions that showed that it could be done in quality, but we generally know the consequences of the economy, corruption at all levels, in all the pores of society, to express myself more freely than that hens, to organised crime, slowness and ineffectiveness of a huge and threefold state system, 255,000 employees in the state and public sector, whether that figure is correct, whether it is not, for the sake of discussion and whether it is necessary, whether it is not, but that it should be faster and more efficient. And all of that, and a lot more, has caused what is actually one of the key problems of evicting a working-age population of all professions and professions, just the last 8 years. About 300,000 citizens, when we join that move from the '90s for famous reasons, then we really come to an alarming number of working-age residents. And related to this also not only now but all these years is the chronic lack of vision of new economic and social policies with a view to 2050, not in 1941. And what they cannot recognise in public policy for at least 20 years is a chronic lack of state and leaderial decisions that mean and currently unpopular measures that are politically filling less, but solve problems in the long term. And when all this is put together, we get such a devastating result, and then it's no wonder the young mind is running out of the country, that we're getting out of the profession, qualified masters, doctors, teachers. We therefore believe that the quality of the resolution of all these needs a complete reform not only of the pension system but of the entire system. We actually need Croatia's reform as a whole, we need an orderly state. I just don't know yet, at least I don't see who's gonna do it. In developed countries, when up to 3 employees of a pensioner already panics, they want to reform the pension system. In Croatia we came to 1.25 workers on a pensioner and we are still engaged in cosmetic procedures, with a county where there is one worker on a pensioner, we also have a county where there are more pensioners than workers. And now, as a result of all of the contributions to pension insurance cover only 60% or approximately 60% of the pension costs, the rest of about 16 billion kuna is complemented by the budget, the one that was recently planned with a minus 17 billion kuna. Comrades and colleagues, respected ministers live in a new time that requires new social and economic models. The existing pension system has an entire century, 70 years ago there in the 50s in the Republic of Croatia we had almost nine workers on one pensioner, but there is no more, "times pass," there are not many large families like the former, there are not enough children to become active during a few years, and 35% of Croatian citizens between 15 and 65 are economically inactive. There are also at these ages and in the European countries inactive but it is about 20%. Is anyone thinking about it? Of course, it will not only solve the problem, and it may ease it in a transition to new decisions and solutions. And it's not five to twelve, it's twelve and five because the system shoots at the seams because there's no magic wand that's the responsibility of all of us right, left and right and right in the middle, the most government right now, but all of us who are doing this society because to express ourselves a little more vividly, if this continues what you're about to offer to the pensioners instead of retirement? Take your days off. I repeat, we need Croatia's reform as a whole, including unpopular measures where necessary, including difficult strategic decisions. Whoever dares to do so will save this society, not only the pensioners, but society as a whole, and my personal support will surely have it. Many other countries also have problems with the number of elderly people compared to the working active population, especially Europe. Europe is old, but is constantly introducing new measures, concrete measures to help new economic trends, new industries, young families, beginner workers. I'm not saying it doesn't seem in Croatia, but it's not enough, and what might be the basis of everything has a purified system, they have a refined healthy society with clear criteria, standards, a model based on profession, development, efficiency, not by grandmother and uncles. Now this is the thinking and action expected of people who manage the system, not cosmetic moves, but essential reforms. That's what the IDS expects from this government, we haven't even welcomed them before. And let the work of pensioners or family pensioners determine the number of hours absolutely that, we do not see why it has not been until now, but this will not solve the problem of more than 1.2 million pensioners in the Republic of Croatia. The problem will only be solved if the pensioners have pensions with which they can live with dignity every month, and I repeat, Croatia needs to be reformed as a whole. Thank you very much.
ParlaMint-HR_2021-07-08-0.u55687	Thank you, too. Mr Dario Hrebak will represent the views of HSLS and Reformers on this final bill. Here you go.
ParlaMint-HR_2021-07-08-0.u55688	Thank you very much. Dear Vice President of HS. HSLS and our club support such a legal proposal entirely. In fact, we need to be realistic today, we have two structural problems related to the topic that we are talking about right now, the first problem is that by ageing the population and low pensions we come to a problem that we have too many people in the pension system, and on the other hand, the number of people who pay contributions to the same pension system doesn't grow or grow slowly, unemployment decreases, the economy is growing in the years to come will be even more pronounced. Here we heard from the minister that practically this year we almost leveled with the record low unemployment rate from 2019, which was then record, and employment was also growing despite the crisis slowly but growing. Now, we are coming up with a key problem, an assessment of GDP growth in this year is bigger than we planned, the same growth is probably more likely to be expected next year, I suppose it will be in the next two to three years and, of course, it will all lead to a great need for labour, and that will also significantly determine the intensity that the Croatian economy will grow in the next five, seven or ten years. Today, we should say openly that pension contributions are no longer contributions but in some ways they have become taxes because in order to pay off pensions today, you have to seize the tax revenues of the state budget, the state budget and directly from such election tax revenues pay off pensions, which is long-term unsustainable. Many experts, we have heard various projections of some talking about the 300,000 workers that Croatia needs now in the system in order for the system to be sustainable and that it could work and that the economy could grow much faster than it is today or even faster than some optimists might want. This is a major problem for this country, and we only have left to find this labour shortage in foreign markets, although this is questionable to what extent we can do so through work permits for foreigners and which is essentially an educational structure of the same foreign markets of potential pools that enable workers to do so either from the neighbourhood or from remote countries such as Nepal, India, etc. This law is a good direction for Croatia to go, one good contribution will certainly give big problems, it will not be crucial, but it will be one good direction, although in our opinion it should be even more courageous. What else would we like to add, and what do we think that in the coming laws, which will further reform the entire system should think? Namely, there are other groups of pensioners to be counted on and which could also be stimulated, without being suspended from pensions that they receive on the labour market, in particular I mean pensioners of various retirement groups, but of course many of the younger ones who can still make their big contribution to the labour market and of course who want to, don't put anyone on the labour market unless he wants to, but I personally believe that there exists with good stimulation and a large number of pensioners who would return to the labour market if the state so stimulated them because they themselves are aware that they would thus further improve their social status. I don't see why the state would drive people who want to work and who can work not to get involved in the labour market, of course, it's important to stimulate them as I said and continue to pay off their pension. This, but also future laws that are being announced, which will mean further reform of the pension system and the labour system should think about how we can further curb what we all know exists, which is working on black. Because we can't pretend that working on black, especially in the retirement population doesn't exist, it certainly exists, and neither the pensioners nor the system have any long-term benefits from that work on black. Therefore, it is necessary to make and set up a system so that people work as voluntarily as long as possible, that a group that will not be suspended is expanded if they decide to continue work because I believe that we can also contain additional work on black. Of course, we have to make one conditional distinction here, and I'm going to say it openly without hesitation, the conditional difference between the public and the private sector. In fact, the private sector should be laid down in such a way that there are no conditions for them, and in public there should be conditions and conditions for the very deficitous interests that we really need, from doctors, military, police and all that we need for both Schengen space and border defence, but also a specific type of particular interests that the public sector needs. All in all, I think that this way and this direction that this law proposes, we will, of course, support it, give one good direction, but also open some small door towards what we all know to exist, according to what we all know would be good, but no one still dares to open up these issues, so that we fully open and liberalise, stimulate people from all retirement groups, I say especially those younger lives to re-enter the labour market, to give their contribution to the country, to their country in that same labour market and thus further stabilise the system that is really hard to maintain at this point. In any case, the Ministers will go and our club will give you support regarding this law, which today is our topic of debate in the assembly. Thank you.
ParlaMint-HR_2021-07-08-0.u55689	You, too. Mr Davorko Vidovic will represent the SDP Club's views. Here you go.
ParlaMint-HR_2021-07-08-0.u55690	Thank you, well-respected Vice President HS, respected ministers and associates. At first, I would like to say that the SDP will support this law and will support it partly for those reasons, which the minister also pointed out in his opening statement, but also for some other reasons which may have been less focused in this reasoning. In fact, the key purpose of the adoption of this law or the purpose of the Minister's presentation here is in some way the social protection function and the improvement of the social position of one part of the pensioner, in this case the beneficiaries of the family pension, while mentioning the budgetary benefit of such a working engagement of the pensioner, and in some ways it seems to me in a third place or more marginally, an emphasised, highlighted question to say so of market-based labour reasons for the adoption of such a law. In this final aspect, I would like to warn both ourselves and the public more prominently. Croatia is simply not able to Alimentate all its needs as a country, as a state, not in retirement, not in health, not in other sectors, and by the rate of employment of its population, Croatia is located in one of the three last places in Europe. We are convincingly in the last place when it comes to employment older than 55 years. and this is for a country like Croatia or any other country simply an amazing, incredible loss, I would say the most high-quality substance in the use of resources that a society can have in the first place, and that's, that's people. Such luxury and such dispersion is actually something that is acceptable and I would say that in front of this government, but also to all other governments, it's actually a task to define ourselves clearly and to clearly identify ourselves for historical and other reasons, because we actually want to do business policy, work systems and what we want with the pension system. When it comes to labour policy and employment, I would go from the principle that I would have to say to be universally accepted for exactly the reason I mentioned, which is the principle of paraphrasing that one action that went "let them hear" 20 years ago, the principle of "let them work". All those in this country who want, can and will do and who have someone to hire them should do so in the easiest way possible without the many obstacles that exist in Croatian legislation, in our rules, regulations, which in fact make it difficult to do so in all ways. In fact, the Anecdote story is what was called those nannies, the Nanny Act, which was made so that the basis of this law hired 3 or 4 nannies in Croatia because 100 obstacles were put in place, they had to have, I don't know, special toilets, special rooms, graduate colleges. They're guardian aunts. It's no substitute for kindergarten. Similarly, many obstacles are being made to the employment of people from students to pensioners. If we were to approach that principle, we could be angry that even though the trade unions were to mention it and always with them in the conversation and the arguments about it, Germany, in its own time 20 years ago, introduced a small business law within those Harc reforms where it was understood and accepted that there were decent jobs in every country, full-time jobs, undefined jobs, and that there were also occasional, temporarily what we call preeminent employment that could be regulated and significantly more flexible than when it comes to employment and when it comes to tax policy, when it comes to regulations, protection of work, etc., it would not be bad for me if we simply recognized that fact and made it easier for people to work. Someone here mentioned work on black. At this point, according to some of my calculations, at least 100,000 children are being guarded because they are not in kindergarten. Who are you guarding? They're mostly younger pensioners, they're women from 60 to 70 who are still in very much this one have great working potential. They're also women who care about old members. We say 65+, 65 and 85 or 95 is not the same thing. They care, they take care of the gardens, they take care of the.../incomprehensible/... household, and that work is not recorded anywhere, it's well paid, but it's work on black or gray that needs to be legalized, it needs to be made possible. In fact, the proposal for this law highlights this social protection character that should enable family pension recipients to be employed, but is taking away their right to a minimum pension, which can be extremely detimulative for these people to be employed at all. In this case, I might be willing to make a difference if it weren't for their right to be taken away, as it would be, I think we'll go as a club with an amendment to allow people to work full-time, but only if of course it's temporary, occasional or seasonal affairs. Because let the 80,000 foreigners that we need each year at this time cover most of the works in construction, but most of the tourism, catering, food preparation services, etc., where a good part of our pensioners, younger pensioners work, can work or shop, and make it possible for them to work, if they have already come to the sea to be a maid or I don't know an assistant worker in the garden of this hotel so that he can work full-time because it's a job that would simply be invaluable if it took four hours just, and in doing so, we would have to either cheat, break the regulation, etc., so to think about it and in this sense we're going to invest the amendment. When it comes to this social protection moment, I would also like to point out if the principle of this working policy is allowed to work, let people work, then the principle of pension policy should be the absolute principle of full social sustainability of pensions. So to ensure that people can live decently and with dignity from their earned pension on any basis, on any basis. Croatian laws have regulated these pension rights in different ways, and they must ensure a decent life for people. The worst reason to hire an elderly person is because there is nothing to live on so that it can improve this one to ensure a minimum of existence. Much more important would be the motive for people, to realize that people who have long been active, who work to have a very positive impact on their health, on their sense of social acceptance, values, importance, that motive would be because most of these people will work on these preeminent auxiliaries anyway. A very small number will be included as advisers, such as those who will transfer experiences, knowledge etc., but we must appreciate the large capital they have older because there are a number of prejudices that people of a certain age can't do jobs because they are either intellectually or otherwise sub-capacitated to follow trends. These are delusions that have no basis for truth. Older workers learn as quickly as younger proven, not as children, but one of 50, 60 as well as the one of 30. These people can make huge contributions to society and only seriously, responsible societies will approach with the greatest attention to their own values, in their citizens, in their people who can contribute to society as a whole. Thank you.
ParlaMint-HR_2021-07-08-0.u55691	Thank you. We're moving on to individual debates. It's Mrs. Anka Dark Taritash's turn. Here you go.
ParlaMint-HR_2021-07-08-0.u55692	Thank you, well-respected Vice President of the Croatian Parliament. Dear Ministers with associates, colleagues and colleagues, when we approach a problem, I always think about the problem the way scientific articles are written. Then you have to have some keywords and then somehow pull out the keywords and I try to kind of take a stand and define it. Here, when it comes to this problem, the key words would be small pensions, the disproportionateness between the number of our fellow citizens or us who are working and those who are receiving a pension and the great need for additional labour, and those three key words should be answered and tried to give an answer. As I already said on behalf of the club, this is one way to help those who really have small pensions, but with that financial moment is extremely important and the social, psychological moment for people to be satisfied, but I'd love to, and have a feeling like you know that fire burns, or we have a fire and a big fire, and with a pot of water then only some of the arms we have there are a little bit of shutting down, but that's better than having nothing. But for some things, a serious step should be made and a serious story defined. What we have a problem in Croatia and which should see how it can be solved, and every reform is painful, there is no reform that is not painful, and that is why people are difficult and decided to reform because it is incomparably better to talk about reforms than to do them, and it is good to have someone else's backyard and not their own. What I'd like to say is that we've all touched the problems of working on black. So, a large number of women because, as we have the data 90% of women is a beneficiary of a family pension, a large number of women decide to work on black and that's what needs to be the interest of the state, which is that this black work is reduced to the least possible measure because from that work on black you benefit because you get those who do it get some additional means to make life easier because of those 90% of women who use family pension are 27% in danger of poverty or not to say poverty, and they are forced to work because other options do not exist. For that reason, it's good to have this kind of amendment and the addition of the law, but it's never sort of solved until the end, somehow we always stop halfway because it's good to read the numbers always. As I have already said the result of 2018 when it was introduced that you can work on pension for up to four hours is about 1% of those who work today use it, so from the employees use it all together. There's one thing that came up I think it's time to think a little bit about seeing what and how, they're your pensions under special regulations. 175,000 pensioners or every seventh pensioner uses their pension under special regulations. I won't list them now if I have too little time, and I don't have to include it in this topic yet, but some other EU countries also have pensions according to special regulations and it's not our wetlands, but our wetlands are when you see how much we have together, that's the first thing. And the other thing is when you see that the number of pensioners by special regulations instead of getting smaller every year, the number of pensioners is increasing every year. What I really want to say is, for us, for our pension system and for what we have, we need serious reforms and we are aware of that. Serious reforms do not live on Mark's square on either side, and of course the government does not live on either side of this House, because these decisions should come. This is a drop in the sea, you're going to have as much help as those who are using family pensions, and as I've already said most of them are women, decide on this, and how many of them will remain on that old model of one work on black and gray economies, then we'll have a chance maybe in a year or two to see it. But it would certainly be a good idea for that beauty to be able to expand people's work. People want to do let's let them work and make their work legal, or really be right. Thank you very much.
ParlaMint-HR_2021-07-08-0.u55693	Thank you, too. You have two replicas. The first line was requested by Mrs. Nemett.
ParlaMint-HR_2021-07-08-0.u55694	Thank you. Dear MPs. From 1990 until today, we have a socio-social phenomenon mainly in the Istrian County and Kvarner area, and it is called Badanti. Badants were women who were forced to go to Italy because of their small pensions or small incomes and to be nurses, cleaning women, and to do a number of other jobs. These are women who have really helped their families to live a somewhat normal life, and the question is, what have they done to themselves? We have not solved this phenomenon with these changes and additions and these laws that we have passed so far, these women are forced to work. Today we offer the possibility for pensioners to make extra money, but we haven't solved the problem why they unfortunately have to do so today.
ParlaMint-HR_2021-07-08-0.u55695	Thank you. Answer, please.
ParlaMint-HR_2021-07-08-0.u55696	Thank you very much. So what you've indicated is really a problem for one part of the Republic of Croatia. These women there are working on black and I'm sure that this amendment and the addition of the law won't make them change it into something else, and we have to take care of some other parts of the Republic because somewhere else they go to work over the summer when it was tourism and there was a need. We need to be aware of these facts and we can never iron everything by law, but let's iron or iron some things we know, which we know are a problem because they too are forced, so they must, they can't, from this life, be aware that sooner or later they can come into conflict with the law no matter where. Therefore, these problems need to be approached, and we do not systematically, from case to case.
ParlaMint-HR_2021-07-08-0.u55697	Thank you. Mr. Zeljko Pavić.
ParlaMint-HR_2021-07-08-0.u55698	Honorable MPs. In your speech in your debate, you mentioned that we should reform the pension system, but let us not forget that this reform is impossible unless we reform public administration, health reform, education reform, a different approach in the economy, different incentives to economies, etc., etc. We can't make that reform unless we've done everything else, and that's where we haven't even started yet. There's the problem. We keep talking about the consequences, but we're not talking about the causes. Thank you.
ParlaMint-HR_2021-07-08-0.u55699	Answer, please.
ParlaMint-HR_2021-07-08-0.u55700	Thank you very much, colleague Pavic, for your replica. So we live all the time in the weeds and we always solve the problem the moment we have a problem and then we recognize it or we don't recognize it and we do it with some kind of short-term measure. Reforms are such a handsome word and we all enjoy using it, but let's just tell ourselves if we're ready for them, if we want to make them. Because for certain reforms should be a consensus for everyone, which is impossible, but for some things should be and I don't think that always, you can solve things completely, and you can sort things out in part. When we talk about this partial solution, I did not accidentally cite these pensions according to special regulations. So these pensions, according to special regulations, went where they shouldn't go. Let's try to get out of it and let's do it a little bit. We'll take it one step at a time. [[Thank you. Thank you very much.]] Thank you.
ParlaMint-HR_2021-07-08-0.u55701	Thank you, ma'am. Dark-Taritash. You don't have any more replicas. It's Mrs. Devereaux's turn. Majda Buric. Here you go.
ParlaMint-HR_2021-07-08-0.u55702	Thank you, esteemed vice president of HS, respected ministers with associates, respected MPs and MPs. So by teaching what I've already said, I'm going to keep talking based solely on the fact of the pension system with an emphasis on family pensions. The Croatian pension system, as you all know, is three-stage, however, also rests on the system of generation solidarity, so I will also touch labour markets, i.e. employment. Peace is often seen as something that is healthy for granted, as something that comes in itself, but that is not so, pension is the right that is achieved on the basis of work, contributions, internships and capitalisation, if this is the second pillar. Family pension as we have already had the opportunity to hear is that pension that members or family members can make after the death of an insurance or pensioner, of course, under the conditions prescribed by law. This is not necessarily just a widow or widower but could be other members of the family who are also, prescribed by law, from children to stepdaughters, abstentions, etc. Today, in Croatia, the family pension receives almost 216 thousand users who are open to the possibility of working half full-time and receiving full-time pensions. With the aim of a long stay in the world of work that is imperative, with the aim of increasing social inclusion, but also to reduce the risk of poverty and those who want and who can work, they will also have the opportunity to do so. The 2018 Peace Reform extended the circle of pensioners who can work and be retired to early retirement and to long-term insurance pensions, so they are users who are 60 years old and 41 years old. And once these changes are adopted and complemented, they will be able to operate almost all categories of pensioners, except for disabled pensioners with complete incompetence to work. I would like to stress that the pre-election programme of the HDZ has announced a further expansion of the circle of pensioners who can work and receive pensions more than a year ago, and, teachingly, the work of pensioners is entering into the strategic documents of the Government of the Republic of Croatia's programme, the National Recovery and Resistance Plan and the National Development Strategy. In addition, all these documents state the objective of a fairer calculation of family pensions in order to increase adequateness, and we know that it is from the 11th month. Last year, an active and working group working on this issue. I reiterate that in the past 4 and a half years, Prime Minister Plenkovic's mandate has absolutely increased all pensions by more than 13%, while the lowest, which is receiving about 270 thousand of our citizens, has increased by about 17%. For comparisons, only 4.6% of pensions increased throughout the government's mandate from 2011 to 2015. Peace is kept in jobs, so if we promote two periods of global crises, which is the period of '11. By '15, the economic crisis and the period of health crisis, or the crisis caused by the Covida-19 epidemic, then we see in fact different crisis management models. The numbers are really irrefutable, as are the results. While the government is in office since '11. Until '15. achieved a flood of unemployment of nearly 400 thousand unemployed, in fact 384 thousand in February 2014 despite the existence of a job-preservation measure, which was then not activated or consumed and was achieved and realised for only 4000 users throughout the period of '11. Until '15. This government has, in turn, maintained a stable labour market, a stable pension system by strategic approach and strategic management of serious and responsible policies, and one by safeguarding the lives and health of all our citizens. Why am I saying all this? Because the pension system is also preserved by work Places, i.e. a stable labour market, which is this government of the Intruder: The Time of Mrs. Buric, the Time./... Thank you. [[Intruder: Thank you.]]
