ParlaMint-HR_2021-12-07-0.u71541	[[CONTINUES AFTER MEETING IN 13,00 HOURS]] Here you go.
ParlaMint-HR_2021-12-07-0.u80606	As far as transition is concerned, it's not a list of good wishes, it's concrete, this is in this part of the last law that we've passed in front of this house. The law on the electricity market has quite worked things out, and this one just continued them. We are not the ones in the situation now to wait for what will happen but to actively participate in what and how and how. So we follow everyone and everything they do, all possible shortcomings we've removed from these laws, and we'll make sure that all the energy approvals that are approved to follow are at what stage so that every time and your question in this esteemed home can be answered when and how much will be done. As far as the fastest finger is concerned, he's only present at the Environmental Protection Fund in the part where the interest is so high, and the funds don't have enough to make it possible. As for the premium He's going to go to a public tender, there's no quickest finger [[Intruder: Thank you.]] than who's more favourable. [[Thank you very much.]]
ParlaMint-HR_2021-12-07-0.u80607	Comrade District, here you go.
ParlaMint-HR_2021-12-07-0.u80608	Thank you, dear President of the Croatian Parliament. Dear Secretary of State, that just when you were talking about the Environment and Energy Efficiency Fund, we know that yesterday the first phase of the application ended for, to the competition for the energy reconstruction of houses and for the installation of a system for the use of renewable electricity sources. So here is the data that over 8,850 applications have arrived and that 390 million kunas are available as well as increased allocated funds. I wonder if you think there will be enough money, funds and whether these competitions will continue for a little more frequent periods, because the last competition was as much as I know in 2015.
ParlaMint-HR_2021-12-07-0.u80609	Here's your answer.
ParlaMint-HR_2021-12-07-0.u80610	This is a lot of funding, and I hope that these funds will be sufficient. If they do not make it clear that they will continue from the new financial perspective and funds of the fund, which, which are not unsatisfactory, since the price of emission units has already crossed EUR 60, means that the fund has, has enough resources for such projects, for such projects. It is clear that it is important to monitor and implement these projects, that they happen and that this and parallel to these funds that you mentioned here, 400 million kuna from the National Recovery Plan, will be allocated to companies that were also in competition before, and have failed to obtain funds because there was not enough funding. So besides this, we're going with a new one, with new ones, so we're expected to have a serious amount of solar panels by the end of 2022. that they will be installed by means of these funds. [[Intruder: Thank you.]]
ParlaMint-HR_2021-12-07-0.u80611	Comrade Brumnic, here you go.
ParlaMint-HR_2021-12-07-0.u80612	I am sorry that there is no minister here, but I am sure you remember how your ministry defended the third degree of purification in Zagreb and stood on the side of a concessionary who made enormous profits at the time. All that I see in this law appeared between the two readings suggests that investors here too will make enormous profits on behalf of Croatian citizens. Now your opinion of why some of these things appeared in the law between the two readings, without practically being mentioned anywhere in the debates.
ParlaMint-HR_2021-12-07-0.u80613	Here's your answer.
ParlaMint-HR_2021-12-07-0.u80614	I don't see where you found it that this law will make enormous profit, it absolutely doesn't stand. I categorically refuse those, I understand you well that you have said, that the work is done, that the privates will now make enormous profits. No, that's out of the question. We're going to encourage only at the reference price. The reference price will mean in the competition to determine which one is the top reference price. On, according to the latest projections, EUR 58 was in a support programme approved by the EU. And we won't change it too much. It will be here somewhere, EUR 58, EUR 60 will be the reference price. Yeah, what enormous profits for, for privates? If the reference price is EUR 58, we do not give lip to it. That's it for you. We won't give much more money, almost nothing. [[Intruder: Thank you very much.]]
ParlaMint-HR_2021-12-07-0.u80615	Thank you very much, Secretary of State. You're done with your replicas, please return to your seat. Are the committee's reporters now going to take the floor? No, then I'm opening a debate. The first is counterpart Zekanovic, but he is not there, so he loses his right to speak. The second is a colleague of Totgergeli on behalf of the HDZ Representatives Club. Here you go.
ParlaMint-HR_2021-12-07-0.u80616	Thank you, dear President of the Croatian Parliament. Dear state secretaries with co-workers, colleagues and fellow MPs, in order to increase the share of renewable energy in final consumption in line with the energy transition targets for the low carbon economy as early as 2015, we passed the Law on renewable energy sources and highly efficient co-generation. We are currently at 28% of renewable sources in total final energy consumption while our target has been set to 20%. More than a thousand megawatts of new production plants on renewable energy sources and highly efficient cogeneration have been built in the incentive system. However, still a large share of renewable energy sources for heating and cooling are based on the use of heating wood in the household, and that is why it is necessary to make a step in the greater use of new technologies that use renewable energy sources, and can meet the needs when it comes to heating space or hot water as well as cooling. The latest amendments and additions to the law have made significant progress particularly when it comes to the production of electricity for their own needs in distributed production facilities. I will remind you in 2018, we have also introduced users of self-supply facilities where we have enabled such a user to build our own self-supply facility and transfer extra energy into the network, and when there is a shortage it takes from the network electrical energy. We have practically ensured that there is a way to store energy from such customers and this is a calculation within the accounting period where the user pays only the difference of more energy from the network. This was primarily made for solar power plants. In this bill, of course, we are in line with the directives that were adopted after the last amendment, but also with the electricity market law adopted, so we are introducing new participants in the active buyer and energy community into this law. Special attention shall be paid to information on administrative procedures and to the understanding of the procedures for project holders and constructions wishing to invest in renewable energy. Furthermore, guarantees of origin currently introduced for renewable electricity are extended to cover and gas produced from renewable sources. The paper in relation to the existing law is also the introduction of opportunities to join with other member states voluntarily i.e. join our national support programme or partially coordinate it. A simple notification procedure for connection to the network, power generation plants shall be established up to 10.8 kW and physical connection to the electrical network within a month. The ministry can raise that maximum power from 10.8 kW to 50 kW. A contact point shall be introduced to see an energy market operator providing guidance at the request of the applicant during the whole administrative procedure of submission of applications and the authorisation procedure for the construction of a renewable power plant. In order to calculate the share of energy from renewable sources, reports shall be introduced in a transparent manner in accordance with the Regulations, but shall also define energy sources. So now we have a division into the energy source of solar radiation, wind energy, hydroenergy, geothermal energy, biomass energy, sea energy and unspecified and other renewable energy sources. The law also regulates clear rules, scope and dynamics of providing support in line with the possibilities of planning development, construction and modernisation of energy systems, all for the purpose of meeting the new national target for the use of renewable energy from at least 36.6% of renewable energy sources in final gross energy consumption by 2030. In relation to the text in the first reading, the proposer was listed in the final proposal of the Law to renewable energy sources and highly efficient cogeneration by respecting certain proposals, remarks and opinions between the first and second readings. The HDZ Club will support this final bill. Thank you.
ParlaMint-HR_2021-12-07-0.u80617	The second club to speak will be the IDS Representatives Club and the esteemed colleague Emil Daus. Here you go.
ParlaMint-HR_2021-12-07-0.u80618	Thank you very much, Mr. President. I won't be very long. There three years ago when I first came to the Parliament, I didn't think I'd do this, but I want to commend the HDZ Ministry who accepted a good part of our proposals and I was even surprised. So the proof is that through a constructive debate one law can be reached, of course we are not satisfied and not all is accepted, and only here at one three points will I manifest myself, so I won't be a debt. On the question of my first reading, whether the same owner will be able to produce electricity on one cadastrian particle where it has a connection point, and it is used on the second catastrian particle where there is another connection point and whether, under such conditions, that 80 % of the connection power can be used on the basis of the sum of more electricity consent, the answer is that consumption must be at the site of production. It's not widely described, it's not very argumentative, but it looks like a pretty solid attitude, and I guess here it was trying to protect itself from possible speculation, which is fine, and of course we're up to it. In practice, however, there may be a need as stated. on one property can be a connection place in several particles or more connected places, more went into this context from good intentions to practice, not guilty, so perhaps still remains, the scratch will actually show and eventually all laws are subject to some amendments, additions and sublaws. The other was about that I had before in the replica and my colleague Totgergeli also mentioned that part, that's what in Art. 31. where the power of 10.8 kW is defined and it is stated that the operator has a period of one month in which it must approve or reject a request for the connection of the manufacturer based on a simple notification, there may in practice be it ineligible or almost impermeable because the connection to the power grid without approval is in some way illegal, even when it becomes legal through this quiet mechanism, the safety risks of connection to the network under the voltage shall not be excluded, the distributor shall switch off the voltage on the connection cabinet with which the investor does not have access, because only the distributor has the key, etc., and the applicant points out that this remark is working on Article. 17. EU Directive 2018/21 provides for a simple network connection notification procedure, and all Member States shall establish a simple network connection notification procedure, whereby the installation or united production units of consumers of their own renewable energy and demonstration projects with an electrical capacity equal to or less than 10,8 kW or equally valuable for non-trof-phase connections are connected to the network after notification to the distribution system operator. Furthermore, in the event that such capacity is exceeded, there is still the possibility of joining the network but at that time it does not take place through the simple notification procedure for network connection, but in a regular process, taking due account of system security. In this part, the Proposer calls for a directive, I don't know what this directive is based on, but in practice this can be very difficult in Croatia, we have talked about this before. It is simply technically impossible for the HEP power plant to be connected to the network, it would be good to explain, he explained before in part, almost entirely the silent approval mechanism I realized, if I understood correctly that it would actually be pressured against HEP, HEEP ODS to respect that deadline for a month. I appeal once again, I understand, but once again I appeal to be persistent in this because in practice investors have big problems, performers or already those who are there with HEP or representatives on the ground of this deal. And lastly, on the question of my first reading, whether the funds will be raised from CO2 trading, which have so far been the income of the Environment Fund, and under the proposal of the law are being poured into CROTE, the promoter points out that the practice within the EU is that the energy market operator is partly financed from CO2 emissions, and energy transition is further financed by the funds. In this case, unlike the previous one, it does not refer to a directive but to practice. What's only questionable is how many fid-in tariffs are even practice in European countries. The fund has, the fund has a much more efficient bar so far deployed funds to a wider range of measures and users, CROTE would reroute funds exclusively to entities that have priority electricity generation, okay, but systems that are self-sustainable and don't really need co-financing. Here's my chance to commend again. The truth is that we've been constructive, but we've seen more than once, but this time we've seen one positive reaction on the other, and maybe this is an example of how new laws that are not ideologies or worlds actually work. Thank you very much.
ParlaMint-HR_2021-12-07-0.u80619	The 3rd club to speak is SDP's club and respected colleague Mirela Ahmetovic, please.
ParlaMint-HR_2021-12-07-0.u80620	Thank you very much, esteemed President HS, the esteemed Secretary of State with a co-worker, co-workers and colleagues. First of all, the differences between the first and second readings of the law. In the document published in addition to this final proposal, the law states that the applicant has made certain amendments in the final draft of the law, including, for example, amendments to the article. No. 51st century 1st. 4. which in your first reading, you wanted to limit the takeover of surplus electricity produced from renewable sources to those final customers with their own production and self-supply users whose connection power towards the supply of electricity to the network does not exceed 80% of the connection power in the direction of the takeover of electricity from the network. Well, that's not what the Proposer has changed on his initiative. I'm personally on behalf of the SDP Club, that's exactly what I'm looking for. A colleague, Daus, was close to a similar clue to the change. As far as your change is concerned, not only have you not self-initiatedly changed but you have actually given up the change because such a provision has already been defined by the law of 2018, and you wanted this law to take a step backwards and ask for a small fee of 100% and to accept the benefit of 80%. Not to mention negative repercussions that would have led to the achievement of the 36.6% renewable energy target by 2030. So, it's no shame to say the SDP Club has proposed and there's something we've accepted, but it doesn't matter who suggested, if you're self-initiative, I'm truly truly pleased that you're back to that original version of the law. As for the objections that you state as those you did not accept and explain the reasons why you did not accept them, I regret to conclude that the rest of my comments I made or put on the Committee on Environmental Protection, as well as those in the debate on behalf of the SDP Club, except for the one I spoke about earlier. This law, unfortunately, will not meet its objectives, and will remain the opposite of the EU directive at least in the area where the EU is committed to civil energy because it will continue to favour large and small ones. She's still in art. The 51st provision of monthly electricity billing instead of annual, and as I was saying during the first reading, it is known that higher production is in sunny months when at the same time lower consumption is compared to those of non-sun if we talk about solar energy. Moreover, small producers continue to be charged an incentive fee even though they are already producing electricity from renewable sources and, of course, it is illogical that they have already contributed to this production itself, and are now also contributing to the payment of this incentive fee. In this context, the proposer thought of protecting or pardoning only companies that are entering a business crisis, and as regards citizens of renewable electricity producers, the applicant does not have such sensitivity. In the whole of the law, what is most interesting is, of course, what is part of the law relating to the State aid programme, and it has been made interesting by the results of previous support that did not go in favour of the citizens of the Republic of Croatia who finance these support, but in the favour of individuals who have been allowed to do so from the pockets of those same citizens, and this remains a problem in the law. That is why I remain at the point of view that I have expressed on the Committee on Environment and Nature Protection as regards the formulation of art. 16th century 3. which says that the support programmes for electricity from renewable sources are designed to ensure, among other things, that renewable energy producers increase their market revenues may be an unfortunate formulation, but I'm really afraid simply not clear enough formulations may not really be a bad intention and we don't have to be afraid of anything, but here I love that everything is clean, black on white and there are no doubts in which to swim and in which direction citizens actually pay for it all. Therefore, the objective of the aid should be to encourage as much production of electricity as possible from renewable sources, but, with as little incentive as possible, impose on citizens. And the share of premium support by authorised producers in their total revenue from first electricity should, of course, be as small as possible. Let us not forget that these same producers, and we are talking about large producers, and in particular, these energy producers, through wind power plants and geothermal sources, of course for already known reasons, huge affairs, corruption affairs, also have stimulating contracts with HBOR which, through commercial banks, provide a very low interest rate for such projects. So let them take the right entrepreneurship rick if they are already referred to entrepreneurs as producers, for example, in Germany. So the price in Croatia can't be the last 5-6 years between EUR 90 and 110 and market 50. You know what it's like in Germany? EUR 49. There are EUR 55 in Serbia, here is the latest information. The Secretary of State said 58, I hope that's really how it's going to be, we'll see about that. It will be enough, more than enough for large ones, since we know that investment in large power plants is about EUR 700,000 per megawatt, and let's say that in small solar plants is about EUR 1 million per megawatt, so 30% more expensive investment for those small in the beginning. In any case, these laws also pay a small fee for renewable sources and pay for the development of a network for large ones. Small nets don't need them, they need big ones, at least not in that range. So you understand what I'm saying, the kid doesn't need a boost, they need a big one. Little people just need a fair system so they don't take it to give it big. That's what I'm afraid of. In Article 18, as I said in my replica to the Secretary of State, the ministry has committed that the audit of the support will not be at the expense of the rights already granted or at the expense of the economic sustainability of the project. And it's okay with that legal formal basis, but I'll repeat once again I'd be happier if the ministry commits that support will not be at the expense of those who provide the funds from which they are generated, which are citizens and of course I still represent the position that the revision of the support programme, not the contracts, should be more frequent than it is 5 years. And no, I won't accept such a simple explanation for five years is too long. The SDP Club continues to argue that it is necessary to install in the law a provision which will ensure that large production facilities or large power plants covered by the quota regulation are exempt from the market premium or guaranteed by a ransom price. This will prevent non-transparentity and corrupt activities in this area will also increase the production of electricity at the site of consumption. We're talking about buildings, OPGs, micro-enterprises, small or medium-sized enterprises and commercial facilities. And it is those who pay compensation for renewable energy sources and the full budget of the Croatian energy market operator. In fact, these large power plants cannot be an incentive to the expense of the citizens of the Republic of Croatia but must be on the market as well as in other EU countries. I will list just a few data from 744 megawatts of wind power plants, for example our HEP built one single in Corlat 58 megawatts, and now another not hep of course opens, but China of 156 megawatts, and only this wind power plant takes over 50 km2 of Croatian surface area and Croatian territory. Even though HEP as a public company has used the funds of citizens who have collected and built their own or their wind power plant of all citizens because HEP is still a public enterprise if it does not change in the meantime, we do not give it to individuals and to domestic and foreign individuals who are rich across the back of our citizens, we also give Croatian territory, while HEP achieves between a billion and a half billion kuna profits. So HEP has extra money, but electricity prices don't cut, but it does increase. So I'm just going to point out the fact that here I am in the local power supply unit this year, and I got HEP's offer, of course, in a public tender that was almost twice as high as the previous offer. Therefore, the prices of electricity will grow, growth and household prices, or for citizens, let us not deceive the public, but HEP needs such a large profit not to invest in reducing electricity imports but to sponsor its PR, of course not to be investigated or questioned. And in this law, we acknowledge that the most important source of funds to pay off these incentives is just a means of compensation for renewable energy sources and cogeneration. Paradoxically, it is paid by all citizens of the Republic of Croatia who pay electricity bills, pay those who have nothing to pay for the same electricity. Plasticly, the state spends these same fees in a strange way granted privileged conditions for large producers, i.e. to return to those same citizens what they paid and overpaid. The SDP club is not going to support such a law that suits large ones at the expense of small ones. Thank you very much.
ParlaMint-HR_2021-12-07-0.u80621	As the fifth, a respected colleague, Zeljko Pavić, will speak on behalf of the Social Democrats Club. Here you go.
ParlaMint-HR_2021-12-07-0.u80622	Dear President of the Assembly, dear secretary with associate, colleague and colleague, I will look back at a few new things that we have in the law, and what we will welcome is something similar that a colleague from the IDS has welcomed, and I will not repeat what you have already said, but I will say what we have noticed and what we welcome. There is, among other things, an article that says that a new production plant is considered to be a reconstruction of an existing plant if it includes significant parts of the production plant and if it extends the expected duration of the production plant and that it meets several conditions when we are actually talking about the construction of new plants. Since we're talking about the reconstruction of an existing facility here, we're going to look back on what was written in the previous version of the law, which is that one of these conditions is also the age of the existing power plant. For, specifically for hydropower plants, for 30 years, for biomass power plants 20 years, biogas 20 years of bioaccumulation 20 years, solar power plants 20 years ago, and it was written earlier that it was for wind power plants for 15 years, and now in this version the law says 20 years, and we welcome it since last time we were at the last reading we talked about it and they were critical of it as an unacceptable fact since we saw practice from Europe, for example. from Spain to have wind power plants last about 20 to 25 years. So that's one of the things we definitely welcome. We do not know that in the law, of course we do not need to write it in the law, but we had discussions here about the production of biogas or biodiesel in Sisak, I do not know if there are any other plans related to the possible production of electricity in Sisak, given that there are already some plants there, whether there is a plan for Croatia to make such a refinery and a power plant, since we already have energy there that would allow us to actually have renewable energy sources. What bothered me a little bit is the mention of the register of renewable energy sources to cogeneration and privileged producers. That's what I was talking about on the board yesterday, I didn't get the right answer, and it's that this register is according to what the law says, namely no mention of the term or the word that it is mandatory, but given what it is used for and that it will be used among other things for reporting on the National Energy and Climate Plan adopted in 2019. That's what it says in the article of the law, I believe that the register should be binding. And with the simple insight into that register that's being monitored now, we can say that the register is not complete at first, so there's not all the... that you should have, and the second is that no data on all the power plants that exist on a particular territory. I've specifically tried it on the data from our county from which I come, so data from Krapina-Zagorian County and I can tell you that actually there aren't all the data in that register about all the power plants, which is not good. Which is not good because, first and foremost, the power plants are financed partly from European funds and partly from the budget. There were also partly grants, and now there are no such power plants recorded anywhere, and they should be recorded that's the first thing, and secondly, those power plants are actually selling electricity to HEP, so that even from that position there should be something written in that register about these power plants. In addition, new education programmes or retraining and employment programmes related to green energy are mentioned, of course we welcome this, but the competitions will soon be required to work on these power plants, we will need installers for these power plants. Whether we will succeed in making new educational programmes in the meantime, whether we will succeed in making programmes to requalify our people for these jobs and whether we will succeed in hiring them in such a short time, I doubt it. Again, it happened to us that we actually have one discretion over our needs. In fact, if we were to pass such a law we should have gone to such educational programs sooner, we should have had them before in our high schools and we should have had them in adult education programmes among other things and programmes for retraining individual professions. I don't know if you're familiar with the fact, but in certain counties there really are no installers of any kind. And now what's going on? If you don't have an installer that's as close as you can get to retraining these people? You're going to have a hard time retraining the accountant to be an installer on the roof or some other facility, so I don't think that's good, and I think we should have done something about it sooner. Of course, it says in the law that other ministries will be working on that part, I suppose it should be the Ministry of Education, but the Ministry of Education has done nothing about it so far, and we are actually left to the enthusiasm of high school principals and those who know the problem that will happen in the future and who are actually looking for new programs and pushing these programs in their schools, if they push them and if they are able to do them, given that there are no curriculas for such education. In addition, the law mentions a part about information, and I am interested in the phase in which we are informing our citizens, which I asked in the last debate, are we going to have some services informing our citizens whether our citizens will be able to ask questions other than in the ministry about their power plants that they will put on their roofs and what about local self-government units? Whether local self-government units will have any other transport besides private entrepreneurs who know the problem and who, as consultants, can provide consulting services related to the construction of power plants, especially if they go to the community of electricity consumers. When asked about the wandering power plants you answered me and I think it's okay, except for what I just asked you if it's possible at sea, given that some countries have wind power plants at sea, in the north of some countries have wind power plants at sea in the north, some countries like Brazil have solar power plants at sea, so I believe that we will be interested in doing it on our sea, especially in that part that is not interesting for tourism and is not interesting for customers. This reference price I suppose my colleague Brumnic will say more, but what I was interested in if you could answer me later in your later debate, who will define this reference price? Whether we define ourselves as a State or we are dependent on one part and on Europe. So, is there something in Europe that dictates to us, or can we define the reference price ourselves? And what I'm still interested in is about certificates. Namely, the Law states that the Ministry of Construction Affairs recognises the certificates to be assigned by another Member State in accordance with the criteria prescribed by us. What interests me is whether our certificates will also be recognised in other Member States, i.e. whether our employees or workers who have made requalifications that have acquired certificates or through schooling in secondary schools or through the retraining of the power of these jobs will have no problem in the Member States or will have to do a recertification or I am interested in whether Croatia is in some negotiations with members of the European Union so that our workers can work in Europe without recertification. Thank you very much.
ParlaMint-HR_2021-12-07-0.u80623	Thank you, too. We're done discussing clubs. We're going to individual debates now. We've got two reported. The first is the colleague Brumnic. Here you go.
ParlaMint-HR_2021-12-07-0.u80624	The Honorable President of the Croatian Parliament, the Honorable Secretary of State, colleagues and colleagues. Ah, where are you going? Let's get out of the environment, HEP, why do I mention HEP? Because it's the company that has the biggest profit in the Republic of Croatia. Are we aware of that? The largest profit in the Republic of Croatia, no company in the Republic of Croatia has more profits than HEP. Why? Because it was made possible by the government. And then ask yourself how a good law how one commendable idea that the European Union has for green energy, energy self-sufficiency, which Europe began to implement the truth for a will 4.5 years ago because this directive that we are building on there today in 2018 turns into something called HDZ. Why am I saying that? Because they did what they were supposed to do when a law was passed, which is to analyze the effects of the laws so far, which is what every time I go out for this pay phone I talk about when we talk about making either a new or an amended law. No, why not? Because the previous law has taken several HDZs to prison. The DORH examined a bunch of documentation signed there, and when you read what is written in these amendments to the Law, then you realize that all changes between the first and second reading go de facto and favorite investors. Each change as a cover of investment protection actually removes the risk from the investor and transfers the risk to Croatian citizens. Here, colleagues before me talked about large and small, in Croatia there should be no large and small, it should be those who pay taxes, which contribute to this society and those who do not contribute to this society, or benefit from this society. Those who contribute most to this society are Croatian citizens. Conclusion: Chapter 1 of this Law should read: “How this Law will contribute to the better and better life of Croatian citizens, how we will help, not help,” but allow the young to get involved. In this law, they scream exactly the opposite, how to disable them. A colleague mentioned something that was said in the first reading, the second reading does not explain why it was changed. The first reading said 15 years, now says 20. A colleague who then writes that, now says 20, that a colleague who talked about it called it a crime and now writes 20. I have to admit from that I only conclude that when it was called crime it was true if it changed. When you look at it, the Ministry is being arranged as a contact point, that contact point is something that let's tell us Europe suggested we do, it turns out to be one good place to do the whole job, but the job of the manual is how things should be done, by the operator. Then it turns out that the Ministry that actually determines and receives investors would actually be the point of lobbying, literally, to be the point of lobbying. A colleague mentioned an article. 21 I interpret it completely differently when it comes to the reconstruction or the construction of new ones. Try to put yourself in a 100% income model for 7 years, you have to pay it in 20 years, the difference will probably encourage the State if you want there to be an investment. If you divide 20 by 7 somehow, or 7 by 20 then it turns out that your profit at the annual level is 35%. And so I pulled the parallel with the third degree of purification in Zagreb with which this ministry was more than familiar in the past period and where it was practically a person would say defend. Article 23 is also disputed since the debate comes to an end and Article 24 and Article 30(2) which de facto defines. [[The incursion president: Thank you.]] Thank you.
ParlaMint-HR_2021-12-07-0.u80625	It's been a while. Here's a replica. That's right. [[So maybe I can make some of this work in her.]] Comrade Oreshkovic, here you go.
ParlaMint-HR_2021-12-07-0.u80626	Thank you, Chairman. Here's a colleague of mine you've kind of pointed out that the problem is that this law goes in favor of large ones, and at the heart of small ones, and somehow you said that it shouldn't be in the Croatian system. Personally, I don't think that's the biggest problem. They can always be large and small, provided that there are clear and transparent criteria, a system of supervision and control and transparency, and absolutely none of this is in our system. This law lacks fuses, no anti-corruption mechanisms. And you've made a good point of putting the ministry as a focus point, as a lobbying point, and we've seen an example of a minister we refer to as T.C. I don't know if he has a name or a last name, because he doesn't appear in the House on important issues. What it looks like when we don't have effective, fast, effective law enforcement bodies. Thank you.
ParlaMint-HR_2021-12-07-0.u80627	Thank you very much. Here's your answer.
ParlaMint-HR_2021-12-07-0.u80628	Well, I can only actually agree with most of what you said. When I was talking about big and small, I was talking about things that contribute to society and those that make money out of society. I believe that society should encourage those who contribute to society, and you and I are aware that they contribute most to the fact of Croatian citizens. So I say we should have encouraged them first. As for the transparency you're talking about, transparency always comes from your head. If it is the prime minister who is transparent then all his ministers and ministries and all state officials will be transparent. When the Law on the City of Zagreb was passed, I invited the prime minister to read again what he had sent, or what his services had sent to the Croatian Parliament, and so I invite him this time. Thank you very much.
ParlaMint-HR_2021-12-07-0.u80629	Now reported on behalf of the proponent, State Secretary Ivo Milatić, five minutes. Here you go.
ParlaMint-HR_2021-12-07-0.u80630	Thank you, Mr. President of the Croatian Parliament, distinguished parliamentary representatives and MPs. I am obliged to react and use these five minutes after Mr Brumnic's presentation, because I categorically refuse to discuss HEP in this way, the ministry, of us who propose this law, to twist the thesis. Telling me to come back from those 15-year wind power plants. To say that we're here because someone mentioned some crime, put it now on 20 is deplaced. So these wind power plants with 15 years of duration were in the law that entered 1.1.2016. see this brought by the Government of Zoran Milanovic and the Minister of the then Vrdoljak proposed this respected home and it was adopted. See, in 2018, we do change and supplement laws, leaving that lifetime the same as it was. No one here on the left or on the right slows that part, but that's fine, for 15 years there has been. The last time Mr Bernardic here said he didn't like it, that it might be corrupt meaning he recognized corruption in his ranks in a way that he concluded that the then proposer might have wrongly put it. I don't see it that way that it might have been so scary, but that it hurt your eyes, which would have been said in the Dalmatian dictionary of those five years is the difference. I said here at this table then that if some experts don't tell me why it's 15, it can't be 20, it's going to be 20. And clearly none of the experts told me it couldn't be 20. We put 20 on it, and I'm standing absolutely on it. And we don't have any dilemma at all. To say that HEP has a big profit, so free God that HEP doesn't have a big profit. It is best that in this country it is the only company that remains 100% in Croatian hands that does not have that kind of profit. When we talk about someone having a big profit, then he's got a big investment rating, then he can invest a lot, then he can be in debt to invest. He can do something that someone who's private won't do. He can make energy facilities, he can go to that part of the country where maybe someone as a private would never go and that's the role of the responsible state. So HEP doesn't spend his money on PR. HEP spends its money on investment and investment and take a good look at HEP's investment plan and how much investment it is and it will be more and more. HEP plans to invest by 2030 and a half megawatts in renewable sources, i.e. invest and create renewable sources, and it will certainly do so. That's not at all controversial. But you can't hep with a hundred, two million do it. Where did you get that idea? And when it is mentioned here that HEP is paid for the price of electricity, so don't fool Croatian citizens. The current now paid by Croatian citizens is 53 euros, with 240 on the video these days. Do not speak from this esteemed House of such untruth to the Croatian public. It pisses me off, it pisses me off like a citizen and a taxpayer. Don't do that. HEP doesn't pay expensive electricity to citizens. It is logical that you are in a public competition in your municipality and some entrepreneurs are now getting bigger offers because you are a category of entrepreneurship, because you are predicting this in a year ahead or two. There's supposed to be a correction of some electricity prices, but clearly, we're talking about citizens here right now. And the price you Croatian citizens are constantly calling for is the least bullying them, the price Croatian citizens will pay, and we will see which one they will be. So let's not say it like that and that was why I was reacting here now because simply HEP has invested in Corlat, will now invest in 120 megawatts of solar in Corlat and very quickly still in Stankovci, even in several places on Cres Hep will have 200 MW of renewable sources by 2024. It can Hep and it's okay. Could he have done more? Maybe he could've done more. But as far as this ministry is concerned, both these governments and these laws that we pass, none of these laws will stop HEP in any negative sense from being even more efficient and better, and not even a private investor because they are also interested in Croatia to create an energy transition.
ParlaMint-HR_2021-12-07-0.u80631	Thank you. We have four replicas. As far as I can see, first up is a colleague of Oreshkovic's. Here you go.
ParlaMint-HR_2021-12-07-0.u80632	Thank you, Chairman. Dear Mr. Milatić, you said you refused and you categorically refused to talk about some issues when the opposition called for corruption in such a way. So I warn you that, first of all, there should be a minister who is now supposed to be in charge of the Croatian Parliament because the Croatian Parliament is choosing him and the Croatian Parliament is controlling him. And you're in no position to speak to us with a tone of categorical rejection. And as for your way of interpreting HEP and the price HEP charges to Croatian citizens, it is your duty to explain to all of us why this price is forming. We will check whether she is adequate or not, and the citizens themselves will have their own position. Instead of your reporting that this price is appropriate and that it is not expensive, and you have actually said nothing concrete about the price itself, you should have explained why such a price was formed.
ParlaMint-HR_2021-12-07-0.u80633	Thank you very much. So just one thing. The secretary of state here is completely legitimate and legal because it's defined by our acts. He could be a minister, he could be a secretary of state, so everything was done okay. And what you objected to him was a rhetorical figure to me. So here's the answer.
ParlaMint-HR_2021-12-07-0.u80634	Thank you, Mr. President. As far as I'm concerned, that's my ministry's position. I'm convinced it's my position and my government, and so is my personal position. I don't think I said anything if I categorically said that I was excluding any insinuation of corruption on what we're proposing here today both to the government's work and everything else. However, these laws, which I have been here for a year, have been regularly walking along with you, are being discussed in order to say and as much as possible better regulation would not have happened without God’s help, which might have been similar to what you mentioned, and which may have been the basis of some decisions and laws that some previous administrations have made, rather than this administration. That's what I wanted to say and nothing else.
ParlaMint-HR_2021-12-07-0.u80635	My colleague Jelkovac, come in.
ParlaMint-HR_2021-12-07-0.u80636	Thank you very much, Your Honor. Dear Secretary of State, this law is actually very important for our future because it creates a framework for us to use renewable energy sources and I think it's a good thing that this proposal actually created a framework for those citizens in society who want to deal with renewable energy sources to do so. It is certain that the thesis here is that this proposal does not benefit all citizens, but only individuals think it is not true, and I would like you to explain it again because of our citizens. Because it is certain that in society everyone will not be involved as investors in renewable energy sources, but I think that is why it is important that we have those in society who will use it in the best possible way, and that citizens will be allowed in the part in which it is in their interest to also use renewable energy sources as it has already seemed. So please explain it one more time. Thank you.
ParlaMint-HR_2021-12-07-0.u80637	Here's your answer.
ParlaMint-HR_2021-12-07-0.u80638	Thank you. It's clear what you said and thank you for your replica. So in this law it is clearly prescribed that a manual will be created which will be made publicly available on the Ministry's website. This manual means that every citizen and entrepreneur will mean what he is interested in the entrepreneur for some major projects, citizens for his project i.e. on your home and on your cottage, put on your property where exactly you see it and it will be written in one place which are all procedures, procedures for one citizen to become a producer of renewable electricity. That's what this law wrote and I don't understand how it can't be read from this law when it's detailed and who's going to be involved in making this manual because clearly it can't be the ministry itself. We have both HROTs and ODS and HOPS and everyone else and that's what you're talking about and here I agree with you that and the citizens... [[You don't understand.]]
ParlaMint-HR_2021-12-07-0.u80639	Thank you. A colleague of Ahmetovic, please.
