ParlaMint-HR_2021-03-10-0.u27281	The sixth debate, SDP representative club, respected colleague Ivana Posavec Krivec, please.
ParlaMint-HR_2021-03-10-0.u38203	Mrs. Andreja Maric.
ParlaMint-HR_2021-03-10-0.u38204	Thank you very much. Dear colleagues, you mentioned algae, so third-generation biofuels. The fact is that algae have the ability of far greater yields with lower inputs. So they can produce energy by a hectare of 50 to 100 times more than the classic raw materials of the soybean type. I came across data, however, from 2018 that only 6 EU members have biorefineries that use second and third-generation biofuels. So if that's really so good, and obviously as far as algae are concerned, what do you think the problem is why is there no greater momentum in the use of algae to produce biofuels?
ParlaMint-HR_2021-03-10-0.u38205	Thank you. Answer.
ParlaMint-HR_2021-03-10-0.u38206	Thank you very much. So I'm here on several occasions mentioning the following. What's the role of the state? The role of the state is to create conditions in which someone will recognize their moment. At the moment someone recognizes, they recognize that they can also build a biofuels plant from algae in the region of the Republic of Croatia and that they have that interest he will do so. If he has no interest, he won't. And that's actually the key question. And we send the wrong messages, we wander. So, after we've really done that much, I'd say recklessly, so no matter what we're going to subsidize the production of biofuels, because we had to subsidize the production of biofuels, after the factories said so, okay, the finished story, every next one will say that's the state that's going to change its mind. This country will move forward when nobody sees whose government was left, center or right when the government continues where the previous one left off. [[Intruder: Thank you.]]
ParlaMint-HR_2021-03-10-0.u38207	Thank you very much, thank you very much, no more replicas. Next debate, Mr. Bull. Here you go.
ParlaMint-HR_2021-03-10-0.u38208	Thank you very much. When we talk about biofuels, then we really ask ourselves otherwise citizens, here and our people expect us to give solutions, not just copying regulations. Biofuels are biomass. Forests, algae, bio-waste, anything that can get fuel, oil. But in us here, when we talk about it, here I was just going to mention, when oil prices are rising, it's been terrible, here today since last January, so from last year, so a year and two months ago, today is the biggest price in that period. And, of course, that our potentials, here I look at our potentials, our forest, our branches, my leaves, I look at all these potentials, which is why we don't use it, and so all the time I'm asking, by this forest, by our agricultural land, by our agricultural land, with our waste separation, how many areas in the Republic are used to produce biofuels? I can't get that answer yet, it was settled by law last year, you said when it was solved, that we were using all the potential and whether renewable energy sources, mainly subsidies were that system of green economy i.e. green policies, like Krsh Fallen. What subsidies, what rules are these? How is that going to work? That's what you decide. And we here in the Parliament, like we're at the university department, and now we have to talk about what's biofuel. If the European policies that I say again are called on by the Prime Minister, by the European Commission, by the European Council, by the Council of Europe, to move towards green policies, what effect does Croatia have? What are those plans? What does that mean for a farmer, what does that mean for a farmer? What does that even mean? And what are your plans besides this,... 14%? [[The speaker doesn't understand.]] Yeah, that's how you talked about wind, wind power plants, so we have a problem with our citizens paying for it, just wind power plants, renewables, 2 billion kunas from their pockets. What will the subsidies be, I'm curious? Do we, in government, at the Ministry, really threaten the environment led by Coric, do you really do this on the ground, do you plan? Are you going out with those suggestions? So I know here, I will repeat, in Split Ante Cikotic, the town councilman suggested that we have at the dump site of Split, a solar bus charger of the city. Does Croatia use these funds from EU funds? Do we have any national plan or are we going to implement from the Minister of Environmental Threat and the destruction of Mr. Coric's economy, the policy of transporting garbage from Vrgorec from the same sanitary conditions 120 km to Sinj? That's what I'm gonna say again. Well, it occurred to a man that he wouldn't pay a penny if nothing had happened to the CGO, that harmful, lečevica that was promoted by A. Sanader, 30 million kn in 10 years you spent and the waste was biofuel because part of it was waste. Biowaste we have which can also be biofuel, could be compost. Help our farmers. Actually, what are we doing here? We are doing a system of subsidies such as Krš Padedene, and I am therefore interested in always silence because of such renewable sources, green policies, of which of our advantages do we do damage to our citizens, mostly repeat, where you are now a colleague of Boric, a coalition partner of M. Pupovac, where people live in Krš Padjene, mostly Serbian national minorities who are left behind, threatened and environmentally and economically? Speaking of people of Serbian nationality, then I'm talking about people of political Croats who allegedly choose him here to run the Croatian state, where are these people? 2 billion kunas we must pay this harmful project out of our pocket for the subsidies it has brought, so that you don't get angry, your coalition partner, the HNS in the Government of Z. Milanović,... [[Intruder Radin: Thank you, weather.]] [[The speaker doesn't understand.]]
ParlaMint-HR_2021-03-10-0.u38209	- Mrs. Crescent. Maria Selak Rasudiæ, replica.
ParlaMint-HR_2021-03-10-0.u38210	Comrade Bull, I'm going to ask you something you looked back on in your replica. I wonder how realistic do you think it is that we are introducing such progressive green policies into our public transport when we have not done something that should be preceded and that has at all ensured the functioning of this public transport for all our citizens and especially for those who need it?
ParlaMint-HR_2021-03-10-0.u38211	Answer.
ParlaMint-HR_2021-03-10-0.u38212	I thank you for this question. And I'll thank you for being able to do it again and I'd like to thank you now and for the citizens of my county, mostly the Cetina region, where the traffic of Makarska, the traffic of Sinj, is transporting students on buses over 40 years of age to diesel that burns one or two weeks or a month, and they're lucky to stay alive. You know how she smokes out of them? Whoever he is, I don't know, I can't get enough of what that movie was, smokes out of them like it's an old blue rara. So we haven't prepared the conditions, the infrastructure, and we have the potential for renewables, for reducing fossil fuels, and not just that, instead of preparing that infrastructure, we give to foreigners, that's the next law, to explore our Dinarids. To drill, dig, exploit. And we call here on green policies while we favor foreigners to use our natural resources exclusively for their benefit, whether it's MOL or someone else.
ParlaMint-HR_2021-03-10-0.u38213	Time. Mr. Stromar.
ParlaMint-HR_2021-03-10-0.u38214	Thank you very much, Mr. Vice President. Comrade Bulj, you do not touch this situation at all in your debate, which is that the entire planet Earth is in danger, and new alternative energies are more expensive than conventional and without subsidies we certainly cannot reduce greenhouse gases. We need to think about it, we need to think about not only us here today, but our children, who are going to live on this Earth, and we all have to work together and really reduce greenhouse gases.
ParlaMint-HR_2021-03-10-0.u38215	Answer.
ParlaMint-HR_2021-03-10-0.u38216	Well, yes, the objective of this directive, which is prescribed neatly, is essentially to reduce greenhouse gases and use fossil fuels, to reduce greenhouse gases, it's the goal, so that's what we're talking about at the club, on behalf of the club, that's the goal. But what's in reality? What's in reality? We, Croatia, have plenty of sun, we are sunny, we are Mediterranean, we are numerous, we have many days of sun. So more Finland uses solar energy on solar plants, photovoltaic cells than Croatia. 0.5% we use. The EU 5%, Mediterranean countries and up to 20%. We use 0.5% of the sun. Well, that's the problem that we're just copying directives and regulations, and nothing is done. Neither the waste management nor the use of biomaterials that can be produced, and subsidies are particularly the issue, and this was particularly well arranged by Minister Coric on the matter of Krs-Padjene which is the robbery of the centuries as far as the Croatian people are concerned. [[Intruder: Time.]]
ParlaMint-HR_2021-03-10-0.u38217	- Next debate, Mrs. President. Mariana Petir.
ParlaMint-HR_2021-03-10-0.u38218	Thank you very much, Mr. Vice-President of HS, State Secretary with co-workers, MPs and MPs. Amendments to the Law on Biofuels for Transport are proposed in order to bring the Republic of Croatia's legislative framework in line with the amendments to the EU legislative framework created by the adoption of the Directive on the use of renewable energy sources. This Directive establishes a common legal framework to promote the use of renewable energy in transport in such a way as to prescribe each Member State that the minimum share of renewable energy in the final energy consumption in the transport sector is 14% by 2030, which we must recognise is quite an ambitious objective. It is therefore necessary for Member States to provide an indicative route for increasing the renewable transport elections by 2030 and to set the obligation for distributors, petrol and diesel fuel suppliers in line with this indicative route and to monitor the achievement of the objectives. Maybe if we had these obligations earlier, it wouldn't have happened if the biofuel production plants in Croatia were shut down. The main problem is that there were no penalties for non-mixing biofuels. In 2019, a total of 5.28% of biofuels were placed on the market, of which 7.85% were required according to what we have established in the National renewable energy Action Plan by 2020. Given that we do not produce biofuels, this means that we import them, and it seems to me that a better solution would be to place unprocessed and processed agricultural areas in the function of producing raw materials for the production of biomass energy in order to achieve national and European targets in the use of renewable energy sources. In Croatia, we have 39 biomass power plants, a total of 86 169 kilowatts and 41 biogas plants, a total installed power of 45 922 kilowatts. It is important from this point of view what needs to be done in order to use the resources we have available in a smart way, and I would suggest, above all, making a map of renewable energy sources because it is a prerequisite for us to achieve ambitious targets in the use of renewable energy sources. Of course I think the future is in electricity. However, this transition cannot happen overnight, especially because electricity storage technology is not yet sufficiently available in either Croatia or other Member States of Eastern Europe. Every liquid fuel car produced today in Europe will be driven for at least 6 years in the Western Member States and then another 10 years in the Eastern Member States. Those vehicles will use oil derivatives. Some Member States are considering banning internal combustion engines in 2040, which means that fossil fuels will take at least 40 more years. It is therefore important to give the opportunity to all types of renewable energy sources, not just to some. I consider it important to place a particular emphasis on renewable energy sources created in agriculture and forestry and which are an important contribution to European and climate policy. At the time of the agricultural crisis, the synergies of these two policies, ensure appropriate product objectives and reserve a sufficient amount of food in the event of increasingly frequent natural disasters and significant summer losses. We should aim to achieve self-sufficiency in the production of protein for animal food and to reduce imports of soybean and to preserve existing jobs and create new jobs, especially in rural areas. But Europe is still deficited in the production of protein for animal food. Today we depend on imports, we do not have a clear strategy unlike, for example, China which has become the world's largest importer of soybean, developed a security strategy and can seriously endanger European protein supply. The question arises as to why Europe is the world's first wheat exporter, while the second is the soybean importer. Are the crops of pods a kind of orphan among crops in the EU? The production of protein plants used to be large, has now fallen into the EU because it is not attractive enough. The European support for soybeans was abolished in 1992, and an even bigger problem is that soybeans from imports have duty-free treatment and I believe that this should be changed. Thank you very much.
ParlaMint-HR_2021-03-10-0.u38219	Stay, you've got a line of replicas. Mr. Shimičević.
ParlaMint-HR_2021-03-10-0.u38220	I thank the vice president of HS. Dear colleagues. Sustainable development and environmental protection are, in fact, the basis of the survival of civilization, but we live in a global world where there is neither God nor man, and in these conditions everything that is done is done on a profit basis. So my question to you, do you think that these natural disasters that are present in the world are just a reflection of the uncontrolled cutting of the forest or the consumption of fossil fuels? And by analogy, are we Croats importing unhealthy food, and we have here a god-given country area where we can produce food and to what extent affects the health of people in Croatia? By eating unhealthy food, we are actually becoming a sick nation, so everything is based on profit, which is by no means a good way to preserve civilization. Thank you.
ParlaMint-HR_2021-03-10-0.u38221	Thank you. Answer.
ParlaMint-HR_2021-03-10-0.u38222	Thank you very much. My colleague Simičević, you are right, unfortunately, all are facing more or less profit and this is reflected in the phenomena in nature that is significantly changing, are increasingly an elemental accident and, in fact, by destroying nature, man is questioning the sustainability of the entire food chain and its own survival. You are right when you draw attention that it is very important to achieve self-sufficiency in food production and control what we produce and what we eat. The National Strategy for Combating Cancer recently adopted in HS, which has just brought about the issue and importance of a healthy diet when it comes to preventing cancer from getting better, should also be one signal for a new direction in which we should go.
ParlaMint-HR_2021-03-10-0.u38223	Mrs. Maria Jelkovac.
ParlaMint-HR_2021-03-10-0.u38224	Thank you very much, Vice President. Dear colleagues, you said yourself that the future is safe in electric vehicles. Do you think it would be a good idea to make solar chargers in Croatia, make a network of solar chargers because as we see now, we actually have cases where these classic chargers are on electrical energy, and I think this would be a much better solution to make sure that some parts of the Republic of Croatia have just such, that they are supplied with such chargers, that we have such a network. On the other hand, since we have large areas of untapped agricultural land, do you think it would be justified to co-finance in a way grown tails and thus be used for biofuels? Thank you.
ParlaMint-HR_2021-03-10-0.u38225	Answer, please.
ParlaMint-HR_2021-03-10-0.u38226	Thank you very much, colleague Jelkovac. We certainly need sufficient infrastructure throughout Croatia if we want to increase the use of renewable energy sources in this sense and in transport, so certainly this idea that you are presenting about charging stations that would be on solar power is something that is necessary and welcome. When I said it was about ambitious objectives set by the directive, and the negotiations were long and difficult, I mean, not only in Croatia today, but in Europe only 5.7% of renewable energy sources are used in transport, we have to achieve 14%. So that's why I advocate the adoption of a map of renewable energy sources because then we would know it's the most profitable sun, where the most profitable wind is, where it's the most profitable water, and where we need to put these unprocessed surfaces into operation because I think it's better to grow on them those agricultural products that can be used in biofuel production than that these agricultural areas are empty.
ParlaMint-HR_2021-03-10-0.u38227	Thank you very much. Mr. Boric.
ParlaMint-HR_2021-03-10-0.u38228	Thank you very much. Comrade Petir, today we hear from our colleagues that we about renewable energy sources are bad, disaster, etc., especially one colleague who constantly advocates renewable energy sources, and is constantly talking against one such project that we should say, which is built and which contributes. Today we're talking about biofuels, and we have the fact that we're on our way, and unfortunately we've closed down certain plants because there's obviously been some disturbances on the market, but the state obviously hasn't done something right. Is there any reason to eliminate the incentives we've had, that the reason is something else? The question is, how do we get those plants back and how do we increase your biofuel production in our country so we don't have to depend on biofuels being imported to make up for these kind of obligations that we have to have? What should the state do for me or for you to somehow come back again, since we know that at least in the biowaste part we have thousands and hundreds of thousands of tons that we don't know how to take care of?
ParlaMint-HR_2021-03-10-0.u38229	Thank you. Answer.
ParlaMint-HR_2021-03-10-0.u38230	Thank you very much, fellow Boric. So I think it is very important that, with the adoption of this directive, it also creates this clear obligation for suppliers and distributors that did not exist and that, in any case, it certainly contributed to the withdrawal of some producers from that production, because unfortunately, some were more profitable or we could say more easily, and there were no sanctions to import biofuels than to buy on the domestic market. Since we have obligations to meet, I certainly find it extremely important to consider what capacities we have within our own state so that we can produce as much as possible. In this sense, I really advocate the fact that we try to put the working, raw agricultural surfaces into operation and that these companies that have announced the production of second generation biofuels, which is also the company in Vukovar and INA in Sisak, are also one promoter of renewable energy sources.
ParlaMint-HR_2021-03-10-0.u38231	Thank you. Mr. Ante Bacic.
ParlaMint-HR_2021-03-10-0.u38232	Thank you, Vice President. Comrade Petir, you have long been a member of the European Parliament itself, these topics are familiar to you and you have worked on them and you have imposed here and in the Croatian public quite a bit on these topics, the opposition looks like, this looks like an individual law, we have to look a little wider, this is still part of the European Green Plan and the National Development Strategy that we recently adopted in HS and this is something we have committed ourselves to. The EU, as you know, but you acted here firsthand, wants to take over the primate of this topic, wants to take over the primate of reductions and greenhouse gases, which is why this ambitious plan, which the European Commission has presented, is that we will be back to, to over 40% of the 1990s level, and I think that, as a country deprived of heavy industries, we can do very quickly some steps, especially regarding what you mentioned for electric vehicles and the reduction of the bar in that public transport.
ParlaMint-HR_2021-03-10-0.u38233	Thank you very much. Answer.
ParlaMint-HR_2021-03-10-0.u38234	Thank you very much. Comrade Bačić, it is true that this directive is part of a complex legislation, an energy climate package long under discussion and even longer negotiations. I was the rapporteur of the Committee on Agriculture of the European Parliament on the Directive on renewable energy sources and rapporteurs in the shadow of the Committee on the Environment and can only confirm that the negotiations were extremely difficult, that there were huge differences in positions between the European Parliament, between the Commission, between the councils and that what we have today is a compromise. A compromise that will make the new Member States and Member States in Eastern Europe far more difficult to achieve than some other Member States. That's why I stress what our advantages are and we should make better use of these advantages when it comes to renewable energy sources.
ParlaMint-HR_2021-03-10-0.u38235	And the last replica, Mr. Stromar.
ParlaMint-HR_2021-03-10-0.u38236	Thank you very much. Dear fellow Members, there is a good situation in your debate, not as imposing that we must do something but that there is potential, and that is the potential for the development of an abandoned rural space. You have made a very good point and I think that, after the adoption of this law, the Ministry of Economy and Environmental Protection and the Ministry of Regional Development and the Ministry of Agriculture should work on that and create conditions for us to actually have 14% of biofuels in fuel in 2030.
ParlaMint-HR_2021-03-10-0.u38237	Answer.
ParlaMint-HR_2021-03-10-0.u38238	Thank you very much. Comrade Stromar, of course, all of these goals are positive because they actually want to contribute to a better situation, especially in transport in a sector that is so demanding when it comes to the impact on climate change and when it comes to environmental protection where obviously the shifts have been the slowest so far. That's why we need to challenge all the forces to, to get to these shifts, and that's one rational and clever use of those resources that we have at our disposal. What I have as information, early 2001. The EU has increased the production of protein for animal food in combination with biofuel production and thus reduced the import of food required for animals and achieved some 35 to 40% self-sufficiency in 2015. For biofuel production across the EU, 3% to 4% are used agricultural land and decreased imports of protein by 10%. [[/Intruder: Thank you very much.]] So we have to look conceptually at it, not just as one area but as a connection. and give one added value. [[Intruder: Thank you, time]] Thank you.
ParlaMint-HR_2021-03-10-0.u38239	Thank you, thank you, thank you. Now it's Mrs. Devereaux's turn. Maria Selak Rasudic.
ParlaMint-HR_2021-03-10-0.u38240	Fellow Members and fellow parliamentary representatives, of course, there is no principle of dispute with the introduction of this directive into Croatian legislation. But what concerns us all and what is here is whether the introduction of this directive will really contribute to a change in practice. Are we really going to bear witness to a circular economy, such a popular term that we often boast about when we need to talk about both our green policies and our green policies within the EU. How can we in any way encourage such a circular economy to which this directive aims? If we introduce and punish distributors who do not mix biofuels with fossil fuel unequivocally and if we punish them for failing to achieve the energy savings required, then there is a strong possibility that the consequences of such practice will be felt by consumers precisely because as long as we do not have a prerequisite on this market that all these distributors can actually use biofuel or mix it with fossil fuel, then in practice we will have a situation for them if they implement such directives in the act of rising prices, and ultimately that price finally makes consumers feel. Let's remember what the situation looked like once. At least once in this biofuels area, our future was light. 2005 We had the idea that we would be one of the leaders in biofuel production, we had three companies Modibit, Biodizel Vukovar and Vitrex, which dealt with the mentioned production, but all three failed. Why did they fail? They failed because of the debts they generated, because they were not competitive and because of incentives they did not receive or were not paid in time. I will also remind you that during the time of Minister Vrdoljak the incentives stopped arriving and that they were forced to sell below the production price. In the end, a story that began optimisticly back in 2005. It ended in such a way that today and 2020, respectively. which is our last reference point and in this description of the law, we were unable to achieve the objectives set. We are unable to achieve these objectives at both biofuel levels, gas levels, electricity levels, all renewable sources that should be crucial in what we like to call a green future. We are also sentenced to imports of biofuels, and we are also sentenced to imports of reprocessing because we do not have our own market that can meet the needs of biofuels in Croatia. How do you solve this problem? In particular, the fact that the introduction of INA into the market or Biorefineria in Sisak will solve something in so many problems is a solution. I would remind you that there are plans in the Biorefinery in Sisak to apply to the EU Investment Fund, which should create 120 jobs as well as about a thousand indirect jobs. Given this coronary crisis, given what happened with the earthquake in Sisak-Moslavina County there should be our focus and there should be all our political focus. We know how many problems Rafineria is in Sisak, we know that it has been a year before the shut-off and that there have now been 300 people before the cancellation, if we are really going to work here in the Assembly to introduce directives that will go towards biofuels, then let's try to use our political energy to focus on the Refinery in Sisak so that it can manage this transit to solar power plants, but also to biofuels, according to biorefiniery, to find new jobs to not close down, not to fail the City of Sisak, but also to the entire Sisak-Moslavina County.
ParlaMint-HR_2021-03-10-0.u38241	Mr. Bull's first replica.
ParlaMint-HR_2021-03-10-0.u38242	Thank you very much. In your debate, you mentioned circular management, sustainable development in essence everything we prescribe from the EU in Croatia is done the opposite, and we are all in favour of reducing greenhouse gases, we are all for sustainable management. However, what to say when the rules of the ministers at the last cabinets or Minister Coric example Krš-Pađena are also a renewable source of energy such as biofuels are all essentially one weighting, one setting and one crime. If the circular management of Krš-Paden 2 billion kunas are these vermins from this ministry the secretary of state is behind you, they made the Croatian people on Krš-Paden, do not wave at the head of your colleagues from HDZ, these pests can make the Croatian people what was done on Krš-Paden... and those people who live here, as well as Croatian energy. [[The intruder doesn't understand.]]
ParlaMint-HR_2021-03-10-0.u38243	Mr. Bull's answer. Here you go.
ParlaMint-HR_2021-03-10-0.u38244	Comrade Bulj, here we have allowed Sisak to fail, and we are talking about Biorefinery in Sisak to save both jobs and refinery. I would like to remind you that if we have the Ministry of Energy and Environmental Protection at all these two are often incompatible and contrary to each other before something that is complementary, perhaps even if we really had renewable energy sources, but in practice this is not the case. This is not only problematic at the level of Croatia, it is also problematic at EU level because I will remind you that carbon... in the production of biofuels was problematic because in the environment it eventually took place in the production of more damage, more pollution than it benefited from biofuels. It's a key environmental problem that's less talked about, so we move on to the third generation, etc., but the question is what we're going to eventually discover about it.
ParlaMint-HR_2021-03-10-0.u38245	Mr. Grmoy.
ParlaMint-HR_2021-03-10-0.u38246	Thank you. Dear colleague Selak Raspoudic, this story of the Sisak bio plants, it's actually an alibi story to cloud reality. The fact that HDZ just shut down and allowed the Sisak refinery to be shut down and then now to send the story that some kind of transformation would happen, that jobs would be preserved. The picture is actually different, the picture is so that it moves out of Banovina, that a lot of kids checked out, for example. in Petrinja from school and that actually there is no perspective. What is only safe and will double is the number of HDZ candidates in the upcoming election for the county because there will be not one but two, Žinic as an independent and Celjak as an official HDZ candidate.
ParlaMint-HR_2021-03-10-0.u38247	Mrs. Selak Raspadic.
ParlaMint-HR_2021-03-10-0.u38248	A colleague of Grmoi, it seems that the consequences of their poor political action in Sisak-Moslavina County have finally been bitten by the HDZ ranks themselves, so they are no longer felt exclusively by citizens, but also by their ranks. That may well say how well they cope with the current crisis in Sisak-Moslavina County. And as for the refinery in Sisak, it needs to be a lot of our political appeal and political goal, and we have to stand up for it at least once again in the EU investment funds when we don't have any solutions or adjustment of the market to come to some jobs. If it's 120 now, and 300 people are questionable it's not even half, but a thousand places indirectly if it could be a big gain for that end. No matter what I say, this is more of a marketing trick than something they're going to live up to in practice, at least we here in the opposition are trying to advocate that story.
ParlaMint-HR_2021-03-10-0.u38249	Thank you. Mrs. Maric.
ParlaMint-HR_2021-03-10-0.u38250	Thank you very much. Dear fellow Members, I am pleased that you are the principles of this subject of Biorefinery in Sisak, I have read quite a bit here as part of the preparation has been declared a strategic project. The ministry has resolutely given the status of a strategic project, plans are to invest EUR 250 million, so it will start in 2025, and the INA itself says that support is needed from the government and, of course, the European Funds. And what you said is crucial, and it's actually in the debate, it means big announcements, and the question of how much it's going to be realized together. And it's really important and I'm undermining here, and the secretary of state hears that the state can, so to encourage and produce, here I found this plant "Miskantus", so also a lease to farmers, all those land that stand unworked, incentives, and then it's probably going to be some of it all, not just big plans. Thank you.
ParlaMint-HR_2021-03-10-0.u38251	Answer.
ParlaMint-HR_2021-03-10-0.u38252	Thank you, colleague Maric, I'll agree with you. The problem that these earlier producers of those three who eventually shut down was also connected to the state to pay off the incentives and debts that were being accumulated, but also that no broader thought was being considered, so they didn't even have the necessary material to produce that fuel on their own market, on the basis of what you were saying. So if we're really going to go to happen in practice what's announced with Biorefinery in Sisak, then we have to ensure that we have here and the raw materials, otherwise it's going to remain a dead letter on paper. If this is indeed going to happen, the announcements are otherwise to be careful that this raw material production does not go beyond the production of food because symmetry was happening, so is this directive. We are far from it, I don't think it's a danger in the Croatian frameworks right now, that we should start producing something at all, think about this time wider strategically so that we can have the conditions for this refinery to finally come to life, and with it and the jobs. And the people who will remain in Banovina. [[Intruder: Thank you]]
ParlaMint-HR_2021-03-10-0.u38253	No more replicas. It's time to go now, ma'am. Sandra Bencic.
ParlaMint-HR_2021-03-10-0.u38254	Thank you. Don't mind my laptop, but I didn't print it, so we contributed a little bit to the environment, I guess.
ParlaMint-HR_2021-03-10-0.u38255	Can I read the same thing?
ParlaMint-HR_2021-03-10-0.u38256	You can, too, see what kind of big letters I have to put on. Okay, I wanted to talk about this issue that's bothering me, and that's how we treat production resources, including biogas, but also other resources that come from biomass. In particular, it's an important question of how we treat biowaste. And now the way we treat it is that we're still actually dealing with waste management biowaste we treat malts not as garbage. Why like garbage? Citizens are paying for his departure, not that we're refusing to pay them the price. Secondly, the cities and I will give you an example of Zagreb, paying huge figures for transportation so-called. non-hazardous waste, among other things, and biowaste, and who do they let drive it to? Here I will tell you a recent competition where the City of Zagreb has concluded three consortiums, two of these consortiums are actually for the export of biomass and biowaste which, led by companies from the Bioen Group that produce among other things and biogas. Bioen is therefore owned by Oleg Maksimov, a Russian owner who, among other things, owns the "Biogas Power Plant Orehovec" and "Biogasara organica Kalnik". It's two companies headed by two consortiums who got that job. At 2.G. 48 million kunas from the City of Zagreb will be paid for one part of the contract, and another consortium headed by the company from the same group will receive 68 million kuna for it. So we're talking about some 110 million kunas for the transport of something that we represent in this law as a resource, as a resource. It seems to me like if Croatian forests paid sawmills to drive a tree to produce something from it. True, this biowaste is not completely clean, it is true that it needs to be further recycled and separated, but it is a resource for energy production and for producers who have a preferential status of the electricity producer, or that because they produce energy from renewable sources, they also get a higher price for their product. That price, that's the price we all pay citizens to finally get it. That's why I'm talking about citizens paying for it three times. And that this is an extremely profitable business. It's no problem what a business or what someone earns, the problem is what a measure is and how we treat what it really is, we should treat in a circular economy as a resource. If we talk about the circular economy, then in the circular economy, biowaste would be treated like this. It's a resource, so that means that the citizens who separate them refuse to do so from the cost of waste disposal. It means that the city doesn't pay someone to drive away but actually gets money for it because it's a resource. However, the city should have its resources from composts further where it will produce its biofuels for its public transport and it is a circular economy. This is not a circular economy, this is a classic kleptomaniac not to say how to milk money from public funds and pockets of citizens to create extra profits from certain companies. Not to say that these companies that I've mentioned are actually connected companies, they're tied companies, one gets in one competition, the other on the other, part by piece, part by piece, and you're actually creating a retail monopoly on that market and you're giving up the possibility that as a public authority you're producing biofuels for your own resources, such as public transportation or for your own services. I don't know, it doesn't look like a circular economy to me, and it doesn't look like a good policy in terms of protecting the rights of our citizens. and protecting the interests of the budget [[Intruder: Thank you.]] Thank you. [[Thank you very much.]]
ParlaMint-HR_2021-03-10-0.u38257	Mr. Boric, replica.
ParlaMint-HR_2021-03-10-0.u38258	Thank you very much. My colleague Bencic, I've been listening to you on the board, and you're talking about someone charging people with biowaste disposal, if I understand correctly. This must not be charged and no one can charge for it, so you can only charge for the transport of mixed municipal waste. Everything else is free, and to take care of what you took, and by the citizens produced, somewhere you have to take care of it. Now, that taking care of something costs money. Now, I'm asking you, you're the same in a political race right now probably through your candidate, how are you going to solve hundreds of thousands of tons of waste, biowaste that will come out, especially now in the spring at the time of the bloom, when it should be circumcised, etc., where are you going to take it, who's going to take care of it and who's going to cost it? Will the citizens, the city, or will you make some kind of quick production that will fix it quickly? Here, just so we know, we're not talking nonsense, no. For false things are repeated [[Intruder: See...]] Our citizens can't charge biowaste. [[/Intruder: Yeah, okay.]] [[You can't hear the intruder.]]
ParlaMint-HR_2021-03-10-0.u38259	Now, [[- Okay. - Okay.]] Now you can answer. [[I'll be right back.]]
ParlaMint-HR_2021-03-10-0.u38260	So the price that citizens pay in total for waste is high because it's not valorized or where we have the conditions for separation, it's not valorized. The separation conditions and we don't have anywhere, and that's what we failed to say. Okay. But this matter of yours, taking care of it, it's not taking care of, it's not taking care of, you understand? It is, however, the resource from which the final product is produced that goes to the market. And yes, if you were to ask me how we would handle it, so, yes, if we had been able to manage it, we would have already built all the infrastructure for separation, separation, sorting and the same, as well as, the same accompanying infrastructure as composts, so that we could use for the public needs of a specific city or municipalities precisely those byproducts that come and products that come into existence because of course our goal, to cheape both public transport and energy that we pay for. and if they wanted to have it within the public authority, [[Intruder: Thank you.]] owned by cities and municipalities. [[Intruder: Mrs., Mr. Pavić.]]
ParlaMint-HR_2021-03-10-0.u38261	Mr. Pavić has a replica. Mr. Pavić has a replica.
ParlaMint-HR_2021-03-10-0.u38262	Dear MPs, we must not forget that these are not activities but are projects, that these are processes and we cannot solve it in one day, Mr. Boric. So we have a project that over a month, 2, 3, 5, a year, we make some sort of dump, to make biowaste storage, to prepare for the production of biofuels, so we can't do that overnight. And I agree with you, in the third month of this year, they won't do anything. But if a good project is made, if good project documentation is made, if EU funds are withdrawn, if funds are received from our funds, I think such projects can be made. Let us not forget that the construction of biorefinery is planned in Sisak, however, there is no plan to use biowaste to produce new bioenergy, but what is planned? Plant planting. Imports from China. It's already done. are being sent and... [[Thank you, thank you.]]
ParlaMint-HR_2021-03-10-0.u38263	Thank you very much. Mr. Pavić, you cannot replicate Mr. Boric's replica. You can only replicate Mr. Benchcock who will now answer. Which will now fit. Which will answer now, please.
ParlaMint-HR_2021-03-10-0.u38264	Here, like this. So to establish this circulatory system from which both citizens and the public benefit, it is a project, a programme that lasts from 5 to 10 years to set up the entire infrastructure. What I think is wrong in the direction in which we are going, is that very often at renewable energy sources we go to mega projects or large projects, not understanding that the concept of circular economy is a concept that needs to localise the economy and that the measure is a measure that is a measure of local community and that these plants should also be owned by a local community which, waste produces, then uses it, so it recycles and receives a particular product from it that serves it again. No, we're going to another variant of the private investment in mega-projects. [[Intruder: Thank you.]]
ParlaMint-HR_2021-03-10-0.u38265	Thank you. - Mrs. Crescent. Nadj.
ParlaMint-HR_2021-03-10-0.u38266	Thank you. Dear colleagues, Bencic. You said cities should have their own compos. I agree with that, however, whenever someone proposes to a compost near the city, the citizens rise because it will smell. Let's remind Bezovica, so there was a project, wonderful, beautiful, all that wonderful, great, the citizens are rising, of course because they'll have smells, because trucks will transport waste and, of course, health will be compromised. That's what the citizens thought. How do we reconcile these two situations, that we have close to cities, that we don't have great costs, and that citizens don't actually smell that smell and threaten health?
ParlaMint-HR_2021-03-10-0.u38267	Thank you. Answer.
