ParlaMint-HR_2021-03-03-0.u27275	Let's move on, now it's SDP's Club of Representatives, dear colleague Mirela Ahmetovic, come in.
ParlaMint-HR_2021-03-03-0.u36915	Now, on behalf of the Centre and GLAS Representatives Club, a respected representative, Marijana Puljak, will speak. Here you go.
ParlaMint-HR_2021-03-03-0.u36916	Thank you, Your Honor. Dear colleagues and colleagues. The adoption of this law harmonizes the concepts with the Foreign Law and, as we have heard, will enable the exercise of the right to health protection with digital nomads, by definition of third-country nationals who are employed or engaged in remote business for a company or own company which is not registered in the Republic of Croatia and which does not perform business or provide services to employers in the territory of the Republic of Croatia, who are granted temporary stay in the Republic of Croatia, so it is by definition. What are digital nomads? In addition to this definition to tell a little bit, so mostly experts, it's mostly IT experts, experts from some creative industries that travel around the world and work remotely. So I can work from Croatia, Estonia, China or wherever, and their companies are elsewhere in the world. Since now we're living in these pandemic conditions, it's kind of a pandemic and it has improved this digital age when all people are working more and more remotely. Estonia is the first European country to allow digital nomads, Croatia has done so since this year on the 1st of January this year we introduced this possibility to us. Therefore, Croatia becomes a place where such people who are usually high in wages will be able to work and live, work at a distance, and here spend their income, and will contribute indirectly to the budget of the Republic of Croatia and local entrepreneurs. So this law only further defines how health care is used. I agree with those of you who said we're from Estonia, so this may be some sort of fashionable thing, but here's at least that we're in something first or here's at least another in Europe or the world. From Estonia we could also copy other good practices, so Estonia would say the world's first to digitise the state and local administration, so Estonia is a country of a million people, it's home to five so-called. Unique, it means five Startups worth more than a billion dollars. We're here 4 million or now we're going to see it by the list this year and less, we're on our way here to get one company that's worth more than a billion dollars. 20 years ago, Croatia had a GDP greater than Estonia, today Estonia has 50% higher than Croatia. So, in 2001, if we compare Croatia-Estonia in Croatia $5,300, Estonia $4,500, 2020 in Croatia in 15,200 in Estonia 23,000, so here we go in one thing to copy Estonia continue to do so. Another information, therefore, according to the regulation on how to calculate and the amount of funds to support third-country nationals who came into force in mid-February, since the digital nomad that wants to stay in Croatia must prove that there is at least two-and-a-half average monthly net salary paid for last year. It means at this point that it must have a minimum of about 16,000 kuna per month, so that's the one condition someone I think has mentioned before. According to estimates in the world, there are currently about 5 million people working as digital nomads, and given these conditions of the pandemic and what more people are doing on this principle and the development of technology that has actually accelerated this trend, a digital nomad is being considered somewhere around 17 to 20 million people. Some believe in Croatia that their arrival in Croatia is beneficial for the economy, here they would spend their money to benefit the wider community, on the other hand some critics believe that their arrival and rise in some prices of rents, apartments, etc. But I personally believe that attracting digital nomads is an opportunity, not a threat. So there will be no figures that will now save the economy in such a proportion, but a good certain impact will have an impact on branding countries and on the message to those people that Croatia is a good country for life. What is the problem in Croatia is that we cannot cross that line, so other than the sea and the sun we offer to foreigners and tourists and to all those we want.... /. attract, so it is not good to work in Croatia. The tax burden is so much so that none of the foreigners come to mind here to open a company and a company. That's the problem, and that's what we should be working on. Reduce burdens on entrepreneurs, reduce parafiscal burdens, make it attractive to foreigners not only as a tourist destination but also as an entrepreneurial destination. So, not only is it pleasant here because of the sun and the sea, and I don't know other benefits, but it's really attractive for foreigners and opening up companies and paying taxes in Croatia. So on behalf of the club, we'll support these changes. Thank you.
ParlaMint-HR_2021-03-03-0.u36917	As the fifth, she will be the SDP advocates' club and respected counterpart Andreja Maric. Here you go.
ParlaMint-HR_2021-03-03-0.u36918	Thank you very much, Mr. President-in-Office. Dear State Secretarys, colleagues and colleagues, the proposed legislative proposal in question is a conceptual alignment with the Foreign Law that we adopted last year especially in part of the new concept, a foreigner at a permanent residence or a long-term residence in the Republic of Croatia. In addition, this proposed amendments to the law further regulates the area of compulsory health insurance and the health care of foreigners in the Republic of Croatia and addresses the issue of the health protection of foreigners, in particular third country nationals, digital nomads. The adoption of this law will allow for the right to health care by means of a digital nomad, so we have already heard from a third-country national, who is employed and works through communication technology. It must have a company for which it operates or own company which is not registered in the Republic of Croatia and which does not carry out operations or provides services to employers in the field of our country, which is approved for temporary stay in the Republic of Croatia. Therefore, applying to compulsory health insurance is not required to submit a third-country national staying with us for the purpose of staying in the digital nomad. Therefore, he is obliged to bear the costs of using healthcare in a healthcare institution or in a private health worker or other healthcare provider in the Republic of Croatia. So he chooses where he will seek a favor depending on the clinical condition and knowledge of our health system. If we remember the current legal provisions of 2013 and 2018 to which these amendments apply now, it is defined who must submit mandatory health insurance and who does not have to. So here is a clear memory meaning that foreigners with an approved permanent stay in the Republic of Croatia, nationals of a Member State of the European Economic Area and of the Swiss Confederation who have an approved temporary stay with us provided that they are not necessarily health insurance in one of the Member States and nationals of a country that is not a member of the European Economic Area and of the Swiss Confederation if the EU rules are not otherwise defined. The rights and obligations of compulsory health insurance rest as for all of us on the principles of reciprocity, solidarity and equality. Those who are not obliged to apply for compulsory health insurance are parties to a temporary stay in the Republic of Croatia who are staying for secondary education and study purposes. Such are required to bear the costs of using health care on their own. And for a foreign child on temporary stay, for a foreigner who turned 18, he is a regular high-school insurance student in the Republic of Croatia who is paid by a parent, guardian or person whose child is invited to the Republic of Croatia. The state pays for those who have a solution to the welfare center. For a foreigner child who is a victim of human trafficking, abandoned, victim of organised crime without custody, no parental protection and no escort. Application for compulsory health insurance of a foreigner whose temporary stay in the Republic of Croatia is granted for the purpose of secondary education, study, specialisation or scientific research, who are scholarships to the authorities of the national authorities of the Republic of Croatia or the bodies of the units of local or regional (regional) self-government, shall be submitted by the grantor and shall be subject to the payment of contributions for compulsory health insurance, if the contract otherwise is not arranged. Application for compulsory health insurance is not mandatory for parties to a temporary stay with us for study purposes if they come for the purpose of the youth mobility programme, exchange of students, inter-universal agreements, etc., and then implements the body responsible for education and science activities again if health insurance is not covered by other programmes. Then, applying to compulsory health insurance is not mandatory to submit to the citizens of the EU Member State who have been granted a temporary stay with us, who possess evidence of comprehensive private health insurance. When we recently discussed the Foreign Law, the proposaler's representative pointed out that the Institute of Digital Nomads will not use a large number of persons, but by facilitating the conditions for them, it goes in the direction of promotion of Croatia, but also the achievement of additional revenues. When you ask existing or potential digital nomads or foreigners in Croatia which are the benefits of our country, they say it is EU membership, security, good Internet, good climate and favourable private health care. And given the miserable prices HZZO determines state health care institutions, what would they say then that there's a ruckus meaning in non-private health institutions where these figures are cheaper. According to the current rules of law of 2013 and 2018, health protection standards for the categories of foreigners have been defined, from emergency medical aid, the necessary treatment, or appropriate healthcare and other assistance, especially for vulnerable groups. For healthcare professionals in our country, especially in health institutions that are the founder of the Republic of Croatia or local unit, regional self-government has always been a priority for us to provide health care, not first to ask if you have money to pay for the service or whether you have health insurance. It is also important for us as medics to identify whether it is an emergency or not. I would like to remind you that under urgent medical care within the meaning of this law, the provision of diagnostic and therapeutic procedures necessary to eliminate the immediate danger to life and health is meant. Of course, reception workers are obliged to seek valid personal documents or evidence of the way in which healthcare is achieved which is easier when it is not an emergency when there is a more peaceful atmosphere, especially when you are in a private health care facility where users who pay themselves usually do not even go if they are an emergency. So, new times, new rules, should be considered of course and funding, but we hope that our Croatian health care especially for our residents will always be the first concern for patients, and the state is responsible for not doing business with the loss. It is an interesting provision from previous laws that I have mentioned continuing these additions. Therefore, health institutions whose founder is a local and regional (regional) unit of self-government are required in the case of a non-emergency medical condition to require a foreigner to make a previous payment of the cash amount at the level of the expected costs of the requested health service. The healthcare institution or healthcare professional of private practice or other healthcare provider whose stranger refuses to pay in advance a cash amount or refuses to offer another payment guarantee may refuse to provide medical services. Now, if the healthcare provider does not charge the costs of treatment or providing health care services, then that bill and medical documentation shall be forwarded to the Ministry of Health for the purpose of suffering. This goes then from the state budget and the state has to pay within 60 days, and if, in the meantime, the user still pays the bill in some way, then the one who charged it from the state must pay back the money. But we hope that it will not come to this and that all will actually follow the legal rules. One more thing was interesting to me when I read these laws from 2013 and 2018, says that the healthcare institution or healthcare professional or other healthcare provider who has a contract with the institution on the implementation of health care from compulsory health insurance is obliged to comply with the waiting list of persons from compulsory health insurance in a way that does not affect the order of implementation of contracted healthcare with the institution. It was also in the sense of that, that replica I asked the secretary of state, so you have those who pay for themselves, okay, he's going to choose where he's going to look for his health service, but the one who's a stranger so he has compulsory health insurance and comes in and tells him you hear the waiting list is your 6 months in the hospital question where he's going to look for his health care service. In any case, we believe that this is all expensive progress for providing health care and for foreigners so that the SDP Club will support this proposal for a law on amendments and additions to that law. Thank you.
ParlaMint-HR_2021-03-03-0.u36919	Thank you very much. The next Club of Representatives is that of HSS and HSU on behalf of which the respected representative Silvano Hrelja will speak. Here you go.
ParlaMint-HR_2021-03-03-0.u36920	Mr. Vice President, the Honorable Secretary of State, and I don't think there's a need here for the third time, for the fourth time to repeat the system of compulsory health insurance in the Republic, when someone is obliged to secure themselves, etc., I think it's really a waste of time after a couple of great discussions that have cut down the whole, the whole system. What should be said is that this law is really not the key to the survival of the economy in the Republic of Croatia and is a small procedure. Let's get this straight. So no one has the illusion that it will save something, and especially a small procedure at the time of the pandemic Covidom-19, since most jobs are done in the country and in the world by means of electronic media, so by means of video connections, through everything that stands for us today, thank God at our disposal otherwise life would seem almost impossible, or there would be a return to the past. In my opinion, this is a law that has the character of sacred leadership, so it won't help much, but it won't help, because it defines one exception, one exception to insurance, one exception to compulsory insurance, and that's so-called insurance. digital nomad. Now, how many such people will be forecasts are very ungrateful, very, very ungrateful. We all think of people in the industry, in the information industry, but either our attention or our focus here is just the question of whether that's the case. In the IT industry, they mostly work from their own house and exchange technologies and send solutions to make it difficult for these digital nomads to be concentrated. Maybe more where there are so-called. digital technologies that must be tested on site. Perhaps Mr. Rimac will have more needs for these people than he will have some informative, informative companies in the upward path. It should be recalled that in Zagreb, a campus that should have 800 people is expected to open soon, and this is one information firm from my surroundings, so the Infobip from Vodnjan should open that campus. So surely some small number of people will come here either for training or for exchange of experiences, etc. So here's my contribution to this discussion that we don't have a lot of expectations because those who have already, who offered challenging 10 years ago, have already taken advantage of it and time has gone by irrevocably, so this is not the time when Estonia has declared itself a digital nomad. This is very, very late. What I'm sure is, colleague Maria was here discussing whether it would increase or reduce health debts. They will be reduced safely because that man will have to pay for everything alone unless there is an emergency where he does not wonder whether anyone is insured or not but first provides a health care service. Talking about the potential of around 10,000 digital nomads is a little excessive and their consumption. How much, as far as I have a picture in my head of these people, they're very secretive, they can work 20 hours closed with chips and let this fast food, so no matter what they have money, they're not big, they don't throw away, and you don't see them in restaurants to honor, honor society, and to have some big consumption. I haven't seen them, and I live in the tourist hall of the Republic of Croatia. So I didn't notice, and I'm not even among those who are always in the house. So it's important to say to reduce expectations, to say that this is okay, it's okay we have an exception, we've defined something that's undefined. The HSS and HSU club as well as the board will support this and we have no dilemmas, but we do not need to create illusions about some epochal proportions of this law. What is certainly in the limbo is certain that a large number of young people are thinking about whether they might have an alternative to perhaps private compulsory health insurance. Especially when they hear about the problems of our health care system every day. Is there an alternative or is it for centuries of amen and is carved into stone that every 10 years further and again and much shorter than those 10 years we will also solve debts with major drugs and that we have a very bad health system and a great departure of personnel and therefore everything our health system is burdened with. Surely, then, this exception will also encourage our younger citizens to think further about whether there is an alternative. It's not forbidden to think like that, you know. It's not forbidden. In addition, we already have public insurance and private insurance, in addition to health insurance, which is a small segment and covers a small segment of the costs of the overall health system, not insignificant. And there's over two billion kunas a year. 2 billion kuna in additional health insurance to a private and public insurance company is not a small amount of money. It's not small money, it's about 7% of the total health budget of the Republic of Croatia. Therefore, all citizens of the Republic of Croatia have the right to think about what would happen if they had an alternative. Would you or would you conflict those two alternatives to see what is more effective and correct. What we have today is ineffective, generating problems, we're being re-tracted, we've got tremendously large costs and terrible debt in the health system. We will, without regard to the criticisms in the health system, consider this law small but fine by step and, as I have already said, the Club of HSS and HSS will support this law and vote for amendments to this law. Thank you very much.
ParlaMint-HR_2021-03-03-0.u36921	Thank you very much. We will now go to individual debates and will first speak the respected representative Marija Selak Rasdic. Here you go.
ParlaMint-HR_2021-03-03-0.u36922	My colleagues and colleagues opened Pandora's box. So, okay, you've heard of digital nomadics, someone thought it was super modern and that we might be able to implement something like that in our legislation, is to turn out to be one of the most progressive countries in Europe if not wider. Someone else added to that that's why our domestic economy is going to explode, that we're going to have an ad that we haven't had in these places, and that all the forces of third-country citizens are going to blend into the Republic of Croatia so that under the palm tree on our coast, they're going to drink cocktails furiously, they're going to spend on the most expensive accommodation in Diocletian's palace, and we're all going to rub our hands together. Ladies and gentlemen, I repeat, you have opened Pandora's box. Why? If you have asked the question of who are digital nomads and tried to regulate their status within the Republic of Croatia then a whole series of other issues regarding meeting with the modern age and regulation of this non-permanent preliminary work in the era of digitisation are being opened. We can't take a term like the concept of a digital nomad now, but in order to have a super tourist season, although I've listed eVisitor's data is not to be expected, at this time of course it's nothing to expect, but otherwise we'll have the effects that we've imagined, but we can't change it, and we can't ignore the situation and the situation of workers in Croatia who are also facing a new time of digitisation and who expect their working, health and other rights to adapt to new weather. If we're going to introduce these changes, if we dare to be one of the pioneers within the EU, let's continue, ladies and gentlemen, you have our full support. Where's the electronic vote, when are we going to go after the democratisation process? Let us imitate Estonia in the fullest sense of that word if we have already begun this way. When are we going to introduce the right to disenfranchise, or the right to disfellowship? When we recognize the fact that now at the time of virtualization, especially at the moment of the pandemic our workers are doing more and more than home because they are nonstop available through technology and do not have the right to disfellowship. Our Law on Labour in Art. 60 defines the concept of working time. When we will finally deal with this Labour Act, and we have announced its changes, so that we can implement the challenges of the modern era. Ladies and gentlemen, we opened Pandora's box. I'm going to say one more time, we can't just do digital nomads, and we can ignore the technologicalization of our reality at all other levels and ignore it most where it should be most important to us, which is in terms of the domicile population. Because are we thinking about how many Croats have become digital nomads? How many Croats leave Croatia to a third world that is more acceptable and accessible to them, where they can work and where they can enjoy the benefits of these eastern areas for money that they could never in Croatia. So when you see that all those who can leave in Croatia to be digital nomads in third countries, then ask a return question for whom you expect them to come here. We can't once again pretend that a beautiful shore is enough. We cannot once again push the only story as sustainable, and it is exclusively touristic. Already 20% of our GDP depends on tourism, and now we're all shaking if there's going to be a season to survive. Something so unsustainable can't condition life in Croatia. This may also be a positive step that recognizes technology, but also shows our confusion in the lack of a broader vision of how we will make our economy sustainable except for another marketing tourist trick. Ladies and gentlemen, we opened Pandora's box. If we want to step forward with time, think about the right to exclude, think about the electronic vote, think about all the other needs of a modern man who will do what is primarily important, which is to keep our citizens here because we only confirm Croatia's trend as a flow country, which we have already done with the Foreign Law, the countries in which people like the station They come and go, but no one stays. [[Intruder: Thank you.]]
ParlaMint-HR_2021-03-03-0.u36923	Thank you very much. We have several replicas, the first respected representative of Ante Kujundzic.
ParlaMint-HR_2021-03-03-0.u36924	Thank you, Chairman, dear colleague Rasudic. I think it is commendable to actually open Croatia in this form of digital nomads as such. However, a key starting point, at least it should be, the quality of all those currently living in the country, not all those who will come to Croatia with one such form of law. In this context, what will be the future of all those who create and work in this country, in particular craftsmen and businessmen, and then all workers?
ParlaMint-HR_2021-03-03-0.u36925	Dear representative... [[The speaker doesn't understand.]]
ParlaMint-HR_2021-03-03-0.u36926	Dear colleague Kujundzic. This is an important issue because the question that is not answered is, if we recognize the flexibility of work and jobs, as something important and decided to make it easier for third-country nationals to come and stay in Croatia, although the question is whether this really makes it easier for them because most of them are staying as tourists in third countries, and no one is touching them just because they expect some benefits from the local economy, so no one comes and doesn't check whether they break the laws because they work there and they're not tourists. If we were able to identify the needs of flexibility and relief at the level of digital nomads, why not do the same for the citizens of Croatia? Why don't we cut taxes, remove parafiscal burdens, and then more will be spent, and then the domestic economy will breathe, just like the arguments here explain the introduction of these legal changes for the purpose of digital nomad status.
ParlaMint-HR_2021-03-03-0.u36927	The next replica is the esteemed representative of Grumoja.
ParlaMint-HR_2021-03-03-0.u36928	Dear colleagues Selak Rasudiæ, a global economy and a global society are changing as a result of the pandemic, we are turning to more and more digital forms and work and this, the way we do our daily jobs and in this sense one question for you, Estonia may have gone the farthest, why here in HS when we vote on Friday, we can only vote by this electronic means if we are in isolation, not if we are sick because of some other diseases and whether finally both HS and Croatian society will go through e-voting which Estonia has already applied and why the ruling does not go in this direction?
ParlaMint-HR_2021-03-03-0.u36929	Dear representative Selak Rasdic.
ParlaMint-HR_2021-03-03-0.u36930	Thank you. We really live in the theater of absurdity. And I was recently hospitalized before the discussion of the Croatian Strategy and after presenting evidence that I could not stay in the Assembly, I asked to get involved in the debate online because I cared about such an important topic, of course that they refused me, although all the preconditions were there and although the same might happen if you were in self-insulation, not even disease. Instead of rewarding the will to work, she makes it impossible. Those questions really need to be answered. And as for the electronic vote, Minister Malenica said, the countries that tried to introduce this estimated that the risks were greater than the benefits that could come from these elections. Of course, we're thinking about it, but I think it's a question for the future, when the pre-conditions come to pass. So, which are the preconditions, now be careful, citizens' confidence in the system, its availability to all voters, the security of the system, etc. Yes, yes, citizens' trust in the system, we wait for that prerequisite to be acquired, with this authority, never.
ParlaMint-HR_2021-03-03-0.u36931	The next replica is the respected representative Zeljko Pavic.
ParlaMint-HR_2021-03-03-0.u36932	Dear MPs, it is quite absurd that you have now quoted the minister as saying that informing is the future and that in the future we will be able to use information technologies because information is everywhere around us, IT is everywhere around us. But to get back to the law. You have concentrated here in fact, most of your speakers have concentrated on digital nomads, but let's not forget that in Croatia and other countries people who are using digital platforms are not related to IT industry. In particular, there you open up a very large area in the field of coworking and coleading centers. Croatia is devoid of such centres, it is not expensive, it has beautiful landscapes, there are very nice places where you can live and work normally, where there is silence, peace, where you can create an environment for those people who want to work in a different environment compared to their country.
ParlaMint-HR_2021-03-03-0.u36933	Dear representative Selak Rasdic.
ParlaMint-HR_2021-03-03-0.u36934	When we talk about digital nomads, there is a big question besides that landscape that we are not worthy of and obviously the only thing we can sell if not devast, the big question is whether or not we have such preconditions that would keep these people and allow them to work in Croatia, so other than the available, fast internet, they are also coworking cooperatives, let's try translation, spaces. They are very few in Croatia, recently a large space has opened up in Sibenik, several people are staying there but this has not yet become a practice for us. And it is known that precisely digital nomads in such places where they meet other people and consider acceptable working environments. Indeed, in order to introduce these new concepts, it is not enough to make several legal changes, but to ensure that infrastructure is widely accessible that suits such a type of worker so that they can stay in Croatia at all temporarily.
ParlaMint-HR_2021-03-03-0.u36935	And the last replica of the respected representative of Petrov.
ParlaMint-HR_2021-03-03-0.u36936	Dear colleague Selak Rasdic, do you think these measures will help with the digital nomads? Please, say it.
ParlaMint-HR_2021-03-03-0.u36937	Dear representative Selak Rasdic.
ParlaMint-HR_2021-03-03-0.u36938	In order to answer that question, we need to know what is happening now in practice, how digital nomads function. They go to the land of eternal sun, to the countries of the Far East and come there as tourists, with tourist visas and no one touches them, stays in the country, enjoy the advantages of the domestic economy, most often go to those countries where living standards are cheap. So any form of regulation of their status is not important to them or not appropriate to them because for them the only prerequisite for coming is to avoid all-powerful red tape. I'm not sure it'll make it easier for them because one of the important criteria is what the tax system is like in that country because it can happen that they want to stay or get stuck and apply rules that apply to other citizens. Thus, it is important to know that neither Estonia nor Spain are tax havens, far from that and that this is an important criterion unlike Dubai, which is promoted as a country suitable for nomads, precisely because of its tax system.
ParlaMint-HR_2021-03-03-0.u36939	Thank you very much. The next individual debate will be the respected representative of Davor Dretar, please.
ParlaMint-HR_2021-03-03-0.u36940	Thank you very much, dear Mr. Chairman, Mr. Secretary, Mr. Secretary of State, welcome to all, colleagues and colleagues. As we have heard in this very high-quality debate, of course, we work in one, we are discussing a law that is quite ok and there is absolutely nothing controversial about it, but, sometimes through certain emphasis in this debate, it's kind of pulling about as if we're discussing a Croatian space program. So, we didn't exactly determine what digital nomad is, where it comes from, except that it comes from a third country, how it will exercise its rights, whether it will, of course at all, have the right to do so, so we decided that it will, will pay something, there are, of course, a few questions that the law would have to do more precisely in case of a possible health care service according to a digital nomad from a third country, as we do this charge, whether it will simply receive that health care service, go to the bill and maybe not pay, and then we'll have some problems to charge the health system, and that's where the law or this legal proposal might be a little more precise. As for our imagining of a digital nomad, it seems to me like a gentleman in swimsuits or I don't know, or a lady in a costume sitting next to a cocktail on the beach, not exactly like that. The respected representative Pavić mentioned and, of course, another possibility and these are call centres, so it is not a digital nomad of a person who works exclusively through some IT services, it can be called centres, Croatia is well placed here, located in the EU, at us and not using certain costs when talking about traffic, and perhaps it should build up the legislation a little more precisely. How are we going to attract him besides the laws? It's a very difficult fact at the speed of the Internet. We all know very well that possibly in Croatian urban areas we can count on secure Internet speeds of at least 100 MB/s, unfortunately in other parts of Croatia, the network is not so developed and I think it will be difficult to offer some quality service or better quality conditions for the operation of digital nomads, obviously we will have to wait for the benefits of 5G technology, at least those through the speed of Internet traffic. Anyway, we're a little late for Estonia, but we're not technologically ready to offer ideal conditions for digital work nomads yet because we simply can't provide them with everything they need, at least technologically speaking. And what I still wanted to remind all of you once again. I also wanted to make some of these proposals as proposals for amending the law in the second reading, but we're here in the emergency procedure, and I'd like to remind you once again what's really urgent here. Once again, I remind you, however, of the abuse of constitutional authority prescribed only an exception. For what reason do we talk about this, talk about it, and pass the law in an emergency procedure? It is not quite necessary to intervene urgently to have buses and trains of digital nomads frozen, tortured and waiting for us to pass these amendments to the law, so that they can pile up in Croatia because without it they will not be anywhere near. The fact is that such laws as they are, and they are not important and they are not crucial, and we need to bring them in as soon as possible and devote ourselves to some very, very, very important topics. What exactly are we going to have from this urgent amendment to the law, so I suggest that time evaluates. Either way, let it be this law, we'll support it, it's a little pebble on the way forward, but I'm going to harden it one more time, we're calling for a digital nomad, and we don't know how to attract an analog. Thank you very much.
ParlaMint-HR_2021-03-03-0.u36941	Thank you. We have several replicas, the first respected representative of Stipe Mlinarić.
ParlaMint-HR_2021-03-03-0.u36942	A fellow Dretar, so...
ParlaMint-HR_2021-03-03-0.u36943	And I'm sorry, the first respected representative is Selak Rasdic. Excuse me, please.
ParlaMint-HR_2021-03-03-0.u36944	Thank you. Comrade Dretar, in the last assembly of nearly 50% of the law was passed by emergency procedure, so far we're somewhere at 35%. I agree with you that this is a major problem that we have already been warned about and which is one of the basic problems of this legislative body that we feel is that everything is urgent, that we cannot set a priority or have any strategic plan, even in such situations where something that is not currently important for the Republic of Croatia on the agenda. In that sense, I'd like to ask you, isn't it logical that laws are passed when recognized for a need? Let's say that if the e-Visitor system shows that 4,000 foreigners are currently staying in Croatia, and it is the front of the guests from BiH, Germany and Slovenia, and in 4th place are citizens of the United States, it is already, already, some 4,000, these have no idea, 100th, for whom, for whom, for whom do we aim, and who can we attract? The numbers say the opposite.
ParlaMint-HR_2021-03-03-0.u36945	Thank you for asking.
ParlaMint-HR_2021-03-03-0.u36946	Dear Representative Dretar.
ParlaMint-HR_2021-03-03-0.u36947	Excuse me. Thank you for asking, dear colleague. Yeah, well, maybe we just want to meet the United States for quality relations now after Mr. Biden's presidential election and inauguration, but now they're joking aside. Yes, the fact is, and we keep saying it and we can say it like that all the time, "we honk" as rules are used and the abuse of constitutional powers prescribed as an exception to the adoption of laws. Unfortunately, we can only notice it, and who can change it.
ParlaMint-HR_2021-03-03-0.u36948	The next replica of the respected representative, Stipe Mlinarić.
ParlaMint-HR_2021-03-03-0.u36949	Dear fellow Dretar, I'd ask you if you knew, but I know you know everything, how long he lives and works, so on. digital nomads in the Republic of Croatia, in the area of the Republic of Croatia? Thank you very much.
ParlaMint-HR_2021-03-03-0.u36950	Dear Representative Dretar.
ParlaMint-HR_2021-03-03-0.u36951	My fellow Mlinarić, thank you very much. Unfortunately, I don't have that information, and I asked the respected Mr. Plazonic, and he doesn't, of course, referred me to the MUP. I'm going to ask this information with a parliamentary question, although of course it's not of crucial importance to us. The fact is that these people have the right to a health care service, if they need it, of course we know and the health itself is first, it will be given to them, as they will be charged once again, it is not here that this law is precise, we do not have the right instrument, nor do we have regulated payment methods or possible forced charges in case the digital nomad of a third country decides to go home with an unpaid bill. We'll see.
ParlaMint-HR_2021-03-03-0.u36952	The next replicas of Honorable counsel Petyr.
ParlaMint-HR_2021-03-03-0.u36953	Thank you very much, Mr. Vice President. My colleague Dratar, I got the impression that you're not too happy that the laws are changing quickly. Usually, in Croatia, citizens are unhappy because they seem to be changing laws too slowly sometimes, so they fail to achieve everything that they could do faster. The fact that there has been a change in the Foreign Law, that tax laws have been amended, that we are now discussing the amendment of the Health Insurance Act in order to meet with digital nomads that have already been proven to be entrenched by every destination where they come and I think that in this covid crisis it is a very important instrument that can help us, including our tourism, but also other segments of the economy. I'm curious to know how you're estimating that if we really came in here, we'd say open hearts and prepare everything, in what way will this trend of digital nomads continue to take place because as far as I've heard Mr. Jan de Jong run this initiative, he has a lot of optimistic prognosis?
ParlaMint-HR_2021-03-03-0.u36954	Dear Representative Dretar.
ParlaMint-HR_2021-03-03-0.u36955	Thank you very much. So let me point out once again, I'm not against the urgency of passing this law, I'm just against the fact that it's being brought by an emergency procedure, there's a slight difference. So, I have nothing against digital nomads from third countries and from the EU or whatever the legislative proposal defines them, just, just 100 times here, when I've talked about some let's say it so little less important parliamentary debates let's speed it up and agree absolutely that we have much, much more important issues in this country that require a longer, concrete not only parliamentary debate but also a change of legal procedures. As for the plan or my expectation of the development of digital nomads, we are at a time when we can freely say as a civilization, change ways, communicate, change the way we do jobs. I believe and firmly believe that 5G technology, one of its benefits, will be one mass acceleration and, of course, easier to do work for all of us. Thank you.
ParlaMint-HR_2021-03-03-0.u36956	The next replica of the esteemed representative, Puljak.
ParlaMint-HR_2021-03-03-0.u36957	Here's a thank you. Dear fellow, here we agree that this is one small step in attracting digital nomads, and we also think together that it will not remain to save the economy, but here it will help these people to feel more comfortable here, to be more. This comment on Coworking spaces can testify, they have been in Split for several years. I know, this trend I know about two companies that open up in the Omis area as some kind of agencies that will help digital nomads stay on and along our coast, etc. So this is one step, some kind of legal basis, and the market will continue to work on opening and coworking space and some of the other elements of the economy that will help this small sector. Here's just my comment on that side. Thank you.
ParlaMint-HR_2021-03-03-0.u36958	Dear Representative Dretar.
ParlaMint-HR_2021-03-03-0.u36959	Dear colleague Puljak, I agree completely. So again here we meet with one fact about which we here in the Croatian Parliament are bringing a legal framework, and in fact a digital nomad or digital nomad will attract a positive business environment in these areas and, in fact, our comparative advantages to another country. So once again, let's not call too much state interventionism in this area, let the market do its job, but once again I will stress, the market cannot exist, nor can it do its job without an adequate legal basis. Thank you.
ParlaMint-HR_2021-03-03-0.u36960	Thank you very much. The next debate will be the respected representative of Hrvojo Simic, please.
