ParlaMint-HR_2021-02-18-0.u27257	You, too. Mrs. Andreja Maric will be the position of the SDP Representatives' Club. Here you go.
ParlaMint-HR_2021-02-18-0.u34511	Now, on behalf of the SDP Representatives' Club, we will hear a respected colleague, Boris Lalovec, here you go.
ParlaMint-HR_2021-02-18-0.u34512	Thank you very much, Mr. President. Secretary of State with an associate. It is important to say, in the first place, that the SDP Club will support this Bill on Amendments and Supplements to the Law on the Implementation of Regulation 2016/2011 on Indexes used as benchmarks and that today would actually be a message to all those who invest, to all those who actually know that these ages are the most affected by investments in the time of the coronary crisis, that these values are the only investment values that are in the future to bear certain and economic growth and that one part of today's calculations in those investments will surely in the future and be the premium of the risk of how much of the company emits exactly its own production, emits CO2 or various other greenhouse gases, and that is, in fact, the main message here today, that this is on any voluntary basis, all of them entrepreneurs who will not only rank investment through certain investment portfolios but also small and medium-sized entrepreneurs who will, in the future, in fact, in the future, in fact, be the future, the financial and in the future, the financial and financial impact of the banks will be affected. How quickly this will develop, depending on how quickly these administrators will develop, because this is a very complicated job and, as the proposer himself has said, that it is looking for the administrator, this is now only formally where someone will administer those benchmarks. As you know and this was said in the introduction, the reference values are now in Croatia only who are administering the CNB, it is administering the national reference rate, meaning the average cost of financing banks that are now negative or somewhere around the zero and Zagreb Stock Exchange which is actually administered by the Zagreb index Crobex, which is actually due to the actual value of investment in the Zagreb Stock Exchange, right. Now we will see who will appear on the Croatian market around these benchmarks but it is important that this legal solution is defined and that they are defined and that the CNB and HANFA, because they regulate financial markets, the CNB that part of the bank is related, and HANFA all that is not really banks, that they will actually control it, prescribe certain conditions, or those that will administer, must present the methodology to the public or the regulator on the basis of scientific data, the methodology as it calculated a certain reference value. Because every form of property and this is said here very clearly, every form of property will be weighted in the future by that price that it emits or damages to the environment. And it's very clear here said and that's good. Why? And why Croatia is and it is good that it has adopted this agreement, it is good that we are a member of the EU because these certain benchmarks in the past have been the subject of manipulation. Manipulation of big world financial players. And they were even convicted and paid huge fines, many banks paid huge penalties because they manipulated benchmarks, the EU decided to regulate it, it decided to regulate and it is positive and therefore introduces new two benchmarks. But why is this important to Croatia? Because we're very, very sensitive to ecology. And why are we sensitive? Because we're a tourist destination. And it is very important in Croatia who invests, how much CO2 emits, how much greenhouse gases are because the largest part, 20% of GDP, depends on tourism and we like to be proud when we represent our country with green islands, with clean shores, with clean we can, with clean air. And in fact, in this work and these small entrepreneurs who are going to participate in tourism tomorrow and participate in this pure story, the ecological story, should be rewarded. They should be rewarded with lower capital prices, with lower funding prices, because they participate in one industry, in one industry that brings not only well-being, economic gain to Croatia but also bring both environmental and health and the whole positive story for the Republic of Croatia. And because of that, those who actually go to invest, and this will be about investment funds that will invest in tourism tomorrow, a number of investment funds that will invest in a number of small or medium-sized enterprises, we should also encourage such companies to get a lower price of capital through those that will also reflect through these benchmarks. And in fact, this is the goal of the Republic of Croatia which is also the goal of Europe, and in this part, we are in line with these two goals, and since we are very ecologically sensitive and that we are talking, I think we need to push this story even more strongly because Croatia has comparative advantages here, we have something to boast about, we have something to be among the first countries, that we adopt it, that it is implemented, that Croatian entrepreneurs feel it, and that is why I say, support this law, not only through this part where it will be defined as a reference framework only where it is placed on a voluntary basis, but actually here, it seems to me to be. 14 The current law prescribes the powers of the CNB and HAFA to adopt a series of sublegal acts that are appropriate in the meantime, are governed by EU regulations and guidelines of the European authorities, meaning that as soon as possible, and in fact this programme, and that this law is very narrow with actually government programmes and those guidelines of Directive 2030 of Croatia and in fact for the use of EU funds, means this is a very narrow link to the Croatian direction in which EU funds will be used and that we are very clear today to all those entrepreneurs who will compete for the EU funds, you will have a lower price of capital, invest in projects that are not, in fact, harmful to the environment and the Republic of Croatia, and that this is ultimately visible to be seen in better contributions, because these investments that they are actually making more environmentally acceptable behaviour, they are more expensive today. We have to be aware, they're more expensive today than traditional ones, the ones that emit CO2. They are more expensive and that is why we need to tell them very clearly, you will have support, invest and I hope that all of this bill will be accepted. Thank you very much.
ParlaMint-HR_2021-02-18-0.u34513	Let's move on. It is now up to the HDZ Representatives' Club and esteemed counterpart Anton Kleman.
ParlaMint-HR_2021-02-18-0.u34514	Thank you very much, Mr. President. Dear colleagues and colleagues, a respected secretary of state with an associate. Here, we have heard, in some way, the support of all those who have so far discussed this law, which, if viewed as as narrow as a law that will define therefore reference rates in relation to therefore sustainable development compared to the emissions of greenhouse gases and harmful substances around us, then we can really end it in one minute. As my colleague Lalovac said, here, and who supported this bill's proposal, it is one framework that opens up one debate, one reflection on the Croatian economy, the economy of Europe and indeed should be paid full attention to it because what depends on us at this point, but everything that through the application of this law, through the financing of sustainable industries, will reflect both for our children and for the future of this country. We must also say that Croatia definitely has comparative advantages compared to other countries because it is not a highly industrialised country and as such it can go the right way into an ecological production, into an investment cycle that will certainly be supported with green, therefore with green economy funds and with everything that brings us now these more generous European funds that are contracted so some time ago by the Government of the Republic of Croatia and indeed generous, it is expensive ahead of us, and we must definitely use them in the best possible way by thinking about sustainable development and environmental production. It is also important to say that we must in some way, regardless of what administrators are defined through this law, which is CNB and HANFA, that we must find ways to agree to both finance and investment funds and banks to subport at lower interest rates through the calculation of the reference values of manufacturers and service providers to motivate them for the green economy. It is the only way we will be able to come to this law because if not, if it is really on a voluntary basis as we have heard it, we will not be able to realize it, we will come to the right application of this law because simply, we are aware that everything that today bears the name and mark of the ecological one is today in our economy more expensive than what it is not, and we with these benchmarks for the purpose of one better consumption, the promotion of such products must come to the point that the capital that is being built into that product must be more competitive than the capital in which that product is not being built in. So we simply need to have awareness that Croatia has potential for green economies, and this law will certainly contribute to both financial institutions and our institutions that will be administrators making one contribution to finance such economies. We are in some way recognizable by the tourist offer and we like to boast that we have the best, most beautiful coast, best food, environmentally clean food, that our environment is relatively well preserved. We can say that national parks are one of our most recognizable tourist products, and that must be one good magnet and one good promotion of our tourism, but also the whole country. So we must also keep in mind that through the tourist product we can apply this Regulation, so all that is spent through the tourist product and through, which we can get through the tourist product and the plasma at a more affordable price, we can get with one good promotion, so green promotion where we can tell our potential guests that we are taking care of the planet, taking care of our country, taking care of the environment. More or less I wouldn't be really obsessing about, with these administrative and bureaucratic terms that go through this law and tend, it's more or less clear there that it defines administrators in principle, which is the CNB and the HANFA that will oversee this, so this bill, and in that sense HDZ will give support to this law in the first reading. Thank you very much.
ParlaMint-HR_2021-02-18-0.u34515	Let's move on with the debate, now it's time for the Club of Representatives of the Most, the Honorable Representative Marija Selak Rasdic, please.
ParlaMint-HR_2021-02-18-0.u34516	Dear colleagues and colleagues, the Honorable President of the Assembly. It is clear that the implementation of these regulations refers to the financial market, but it is also clear that the fundamental issue with which everyone starts and ends talks about climate change, the issue of eco-industry and how to respond to the challenges of the modern era. In this respect, as part of these amendments and the addition of the law, it is stated that by establishing these harmonised benchmarks, and by making minimum standards, each of these benchmarks will contribute to consistency between these benchmarks, and to increasing transparency and preventing manipulative green marketing, respectively, and Greenwashing. First, of course, I will express my dissatisfaction with the way we make laws here or what is delivered to us in terms of descriptions and assessment of the situation that is the prerequisite for new legal changes and acceptance of any law. In order to have a serious and system of debate in any amendment and addition of the law, we should also have arguments and criteria that tell us something about the situation on our market on the basis of which we will decide whether these amendments and additions in the frameworks of the Republic of Croatia are necessary and whether we can improve something beyond the regulations that we need to implement in our legislation. This is just one in a series of laws where we don't get any reference to the current situation in our country, and we're expected to have some excessive discussion. We didn't get that, unfortunately, in our replicas. So we mention here Greenwashing, we have no idea what's going on with Greenwasching or green marketing in the frameworks of the Republic of Croatia or at the level of the financial market. There is some assumption, as I have heard, that there is no such thing in Croatia, that I will personally put it under great doubt, given how much we are coughing for Europe in implementing green policies as such. And we didn't even have a more detailed look at what green marketing is and what is the situation with green marketing in all other industries. I believe that the concept of green marketing is extremely important and that this is one of the key concepts that Croatian citizens are not sufficiently familiar with, and as far as we are currently overrun by the eco industry, and the eco industry rather than doing what it should have done is a basic task, which is to fix or demonstrate the industry that exists with some quality criteria it contains and thus offers products to the market has proved to be a profit industry. In that sense, I would like to remind you that Europe a few years ago was shaken by an affair about the Volkswagen cheating on eco-tests. Such things should be taken into account when we adopt such regulations, or we implement these regulations, which will try to create some kind of a minimum common framework in order to prevent future fraud. These frauds are now an integral part of our lives. The conditions in which the diesel tests were carried out were adapted to a better passing that involved limited release of harmful gases. They justified their escot and thus were able to achieve a better market price. But in reality, the situation was very different. As shown by the subsequent results of allegedly independent testing, Volkswagen’s diesel cars far exceeded the permitted emissions of harmful gases. The epilogue of this problem was such that the US federal judge approved a record $17.7 billion between the Volkswagen Group and the regulator, and the owner of nearly half a million diesel cars in America, and the German car giant was obliged to start buying those cars that had these softwares that cheated on the eco-tests. The diesel fuel that has been fuelled by the reduction of the EU's tax as green is precisely the kind of financial policies that should have been used by environmentalists, and in the end, what they have done is used by consumers. It turned out to be a dangerous air pollutant, making it undesirable. Not long after Volkswagen's confessions came the results of testing other car companies that pointed to similar failures, and the problem was extended to the production of other technologies, and was the result of Samsung's fraud over the energy efficiency of their televisions. But what is most interesting in the entire eco-bura that was then launched is not diesel fuel, except for the obvious and necessary natural condemnation of Volkswagen's cheating for profit, which is why today we are talking about Greenwashing and green marketing this phenomenon has opened a much deeper problem that will be a fundamental problem for our future, which is the cost-effectiveness of the eco industry. Diesel cars aren't eco-freemies, and they're not God or any of my TVs, and what now? We may be able to choose other televisions or drive by alternative means of transport, maybe even walk. But what about other aspects of life? What's the state of organics and drinks, clothes and cosmetics? Research conducted in its own time by the Institute of Public Health “Dr. Andrija Printar’ has shown that nearly 36 articles from general use, roses and lip pens, eye pens, powders, mascara and shiners, of 114 tested were medically invalid due to the illicit presence of lead, which we did not know of course. And where now? So are we going to the pharmacy for five times the cost of eco cosmetics? Volkswagen's case is important because he pointed out the Greenwashing case and became a paradigm for such behaviour, which is that he pointed to the key fact that the eco industry is the profit industry, if not the most profitable industry that has been conducting trends in recent times. Unlike the standard industry and that's what our citizens have to be directed with, whose driver is the driver of the eco industry is fear, fear of what? Of E numbers, chemistry and chemicals, gray sky, cloudy water, or the consequence of technological progress. In fact, we'd have an unbreakable cream without it being canned, evergreen fruit without it being sprayed, the speed of a gas-free gas-free gasoline, in short, life without the consequences of life. Bombed signs of climate change, genetically modified food and the carcinogenicity of life in general, we live in fear of our own existence. That staff is recognized and commercialized. Because fear is a negative category because it is always afraid of something, eco products are not determined by gain but by lack. At the time of the technological and scientific boom, the food that must have been most important to our citizens, which I showed yesterday on the example of "gauda gatea" was requalified. One standard yogurt other than probiotic bacteria contained an entire alphabet of vitamins. In accordance with the demand for motivated fear, the offer has changed, so salami is not advertised by what it contains but by its lack of preservative. In large letters, the creams say they have no paraben, an additive that prolongs the duration and which is often associated with the formation of cancer. In general madness, even smokers who use cigarettes traditionally testify to a more casual approach to life succumb to a lack of trend, so many of them started smoking eco cigarettes without additives. This, in some naive interpretation, could be a sign of a positive trend in the awakening of a civil awareness of a responsible relationship to life that the eco does not cost and not only costs, and therefore the question of what the consequences will have and this is what Lalovac asked as a question, the implementation of these regulations at the level of the financial sector. Not only is it costing, but it costs more than a mere product at the level of what our citizens understand. So natural apples cost three times as much as plain, as cranberries, bread, vegetables. Absurd is next. The less ingredients it contains, the more it costs. Or the more ingredients it doesn't contain, the more it costs. At this rate, we can soon expect that the eco industry will very successfully charge us for empty packaging, or preserved the most harmless nothing. Wolkswagen's cars, eco salami and deodorant in a drugstore costing 100 kn, only isolated examples that represent the overture of what is coming to us. If the ecological industry is recognised as an industry that profites from fear and is therefore always a step ahead of us, is it not the basic question that it is created as a deliberate appearance of an existing that is increasingly successful in harvesting fruit where the unhealthy industry cannot? Do we help by buying expensive eco-products or by driving eco friendly cars the current status quo in which there are two sister industries, it healthy and harmful with the common goal of locating our current needs and weak points, where each of our wishes and even more each of our fears is well charged? As long as I think it's normal to pay more, what should be a prerequisite for going out on the market, health will have more than a decent price because why change the status quo? Why would genetically modified food be banned if it proved harmful for everyone if there is already an illusion of alternatives, healthy eco-food and eco-products and even an eco-financial market that is not available to everyone?
ParlaMint-HR_2021-02-18-0.u34517	The debate is over by clubs, so let's move on to an individual debate, first to speak to the respected colleague Miro Bulj, please.
ParlaMint-HR_2021-02-18-0.u34518	Thank you very much. This very important topic in which we speak, Croatia is very potent about ecological opportunities. However, the fact is that if we talk about benchmarks, green marketing, then it's very important what are models and ways and how to control the chief administrators of the CNB and HANFA, how to control for example. The presence of dangerous glyphosate herbicide in food. In the European Parliament where 48 euros of MPs were tested and all urine had the presence of this dangerous Herbicide that is related to GMO production. Of the 48th, 48th research says that in Croatia every other man has this dangerous herbicide. I also gave the Law on the ban on the use of glyphosate and glyphosate preparations, but it was not accepted and now the law is in production. We have meaning at this point the possibility of development, here's economic development and in agricultural eco-production. However, by marketing and we have more than 400 products of GMOs, of course it pushes Monsanto through its lobbyists and in the European Parliament, of course, mostly through soy, because we know what is done mainly in South America, that soybeans are produced which are resistant, which are treated with glyphosate, and simply that soybeans come to our market when imports and meat products, mainly from pork, end up on our shelves, that harmful poison, I think, of course, which cannot be associated with human life at all, it has a great influence on both water and in Croatia, on food, drink, even in clothing, in clothing. How do you fight this and how will the CNB know what product this is about on our shelves? Until our farmers can't place their organic products and at the same time we're hypocritically disabling farming. limit seed, domestic indigenous seed in a way that we try to do it ourselves and essentially collect seed production and, of course, destroy our domestic seed, destroy our manufacturer. Here I'm talking about agricultural products, and green marketing we know that in Croatia the only thing that's the same cellophane with European products, it might be a milky chocolate, the same cellophane, is essentially the same quality except that the price is higher. We have to do everything to do that today, here I am looking at braided prosciutto, pancet Dalmatian, our products are grown from our own cultivation. But there are no pigs and what's in there we can't sell, and on the market we have Dalmatian prosciutto, I'm just saying this is just a parallel. So we import through the meat of glyphosate and how do we protect that green marketing? So we have to work on this, we have to do everything we can to make sure that from growing up, I compared the example with the pig and the prosciutto or the panchet or the roast or the towering Slavonic, we have to compare it with our domestic product and these mechanisms interest me in the respected secretary of state. How will the CNB regulator or administrator regulate it? And when we talk about sustainable development, new i.e. environmental policies, the ecological economy, then we have to be very careful here. Import lobby, colleague Rasdic mentioned, i.e. Foreign producers such as the case was the production of the Volkswagen engine, of course they will do everything to sell their products on the market, which will show them ecologically clean, and in fact it has been proven not to be so. And in that, we must protect our production, our domestic production, our domestic economies. We're a tourist country, we've got too much surface land that's raw agricultural, we're trying to work on it and the triba regulator is working on it. and finance it and these are the values. [[Intruder: Thank you]] Thank you very much.
ParlaMint-HR_2021-02-18-0.u34519	Comrade Bulj, you have three replicas, first colleague Selak Rasudiæ, please.
ParlaMint-HR_2021-02-18-0.u34520	Dear counterpart Bulj, eco-certificates are extremely important, but not all have the opportunity to obtain an eco-certification. We have seeds from the OPG and announced amendments to the Seed Act which will de facto prevent the production of seeds on the OPG precisely because those who produce it will not have the opportunity to work on its work under the current bill and perhaps that production will be extinguished. What do you think we should do to prevent such a thing from happening in practice, or how to have real green marketing, and not this fake that is misleading our citizens under quotes eco product?
ParlaMint-HR_2021-02-18-0.u34521	Here's your answer.
ParlaMint-HR_2021-02-18-0.u34522	My fellow Members, I would agree with you that it is not enough just to prescribe regulations that are essentially in other laws that we are allegedly passing through some EU directives where we are essentially limiting the production of seeds and the use of seeds in our OPGs that are also being beaten. And other countries have come to an end and said that our OPGs that have 100,000 will fail, and in this way we will gather the production of seeds where they will do it, where they will do it, so my peasant from Sinj who has OPG in the Sinjsko field will go to Varazdin, that he will do that seed. So it only collects seed and, of course, it's a coup against the OPGs, it's an import lobby, and that's why we and as a club of MOST, together, and you and I have asked to withdraw this harmful law that suits import lobbys, which puts the last nail into the coffin of the Croatian village and peasant, which is the basic human right to seed, domestic species.
ParlaMint-HR_2021-02-18-0.u34523	Thank you. My colleagues, Vucilović, come in.
ParlaMint-HR_2021-02-18-0.u34524	Thank you very much, Mr. President. Dear colleague Bulj, it is evident that the Seed Act will collect production for our farmers, and we have seen the sugarcan finish, it has virtually stopped working, and in Osijek 200 workers are out of work this week. Is that Croatia's future? Is this the Slavonia project this government stands for? Ecologically green, and eventually workers on the street and tickets to Germany.
ParlaMint-HR_2021-02-18-0.u34525	Here's your answer.
ParlaMint-HR_2021-02-18-0.u34526	What's worse, yesterday the minister invites traders to collect sugar, so there's an even bigger blow to people, which is why I'm saying here we have to encourage domestic, domestic seed production of our own indigenous seed to make people cheaper to our production and that this product is competitive, not that we're shutting down our domestic producers as an example of sugarcane, and that import lobbys would have a margin. I'm just telling you one example, NP Plitvice Lakes, we know that the shrimp is famous and that we have visual fields like a brand, do not buy it from peasants and OPGs, defense cooperative potatoes in the face area, but they import it from Egypt and sell it for their own potato while Croatian OPGs in Lika fail. And that's it. So we're talking about implementation, we're talking about some things that are real. We in this way copying here under these lights only, in this house which the tribune would be a roof, copying laws in reality is quite different.
ParlaMint-HR_2021-02-18-0.u34527	Thank you. And the last replica of my colleague, Lalovac.
ParlaMint-HR_2021-02-18-0.u34528	Thank you, Mr. President. I agree with your discussion by my colleague Bulj, is it, as you yourself spoke of, unfortunately, very little promotion of Croatian indigenous domestic products which are not only this year is when interest rates fell, but we cannot forget before 5-6, 10.g. and 15 that they were interest rates of 15-20% and that and actually very difficult to distribute their products through trade chains, so there were some laws on unfair trade margins here, so I think that this is a set of some laws and about these benchmarks and about unfair trade margins, so I think it can still be done through a certain parliamentary debate and procedure legally can be encouraged and improved by the state of agriculture. Thank you.
ParlaMint-HR_2021-02-18-0.u34529	Here's your answer.
ParlaMint-HR_2021-02-18-0.u34530	Dear fellow Lalovac. I agree with you that as Parliamentarians, we have an obligation to seriously discuss all segments, of interest, of margins, so we have what we have often said we have had 500 fees and commissions, the CNB 4 billion kuna has taken from our farmers, economics and us. Four billion, not interest, but commissions and fees, five hundred, four billion kunas a year. So we have ways and elements, the CNB didn't do its job, it didn't stop at the protection of Croatian farmers, farmers, and that's why it suspects here. That's why we have to discuss it. We are a tourist destination, we have the possibility of green production, i.e. production of our domestic indigenous products, encouraging domestic seed production, plow our fields and allow for best market placements, both Croatia and Croatia during the tourist season and in the EU as a whole. [[Intruder: Thank you.]] Thank you very much.
ParlaMint-HR_2021-02-18-0.u34531	Thank you. We are now going to another individual debate, dear colleague Marija Selak Rasudiæ, please. Thank you.
ParlaMint-HR_2021-02-18-0.u34532	Dear colleagues and colleagues, the Honorable President of the Parliament. In this individual debate, I will return to what forced us to change our legal framework and, in this sense, served as a driver for change and at EU level, then at Croatia's level, and this change regarding the financial sector is only one in a series that should create a greener Europe and the world. It's a UN conference on climate change in Paris. I will look briefly at her and the questions she has raised because these are issues that are very much about our citizens and these are issues that we should ask again each time before we adopt any legislative framework that should go ahead with time and which should be environmentally acceptable. For the first time in more than 20 years, the Paris Climate Conference aimed to achieve a legally unbound universal climate agreement aimed at retaining global warming below 2%. It attracted more than 50,000 participants, including 25 thousand official delegates, intergovernmental organisations, UN agencies, civil society and negotiators from nearly 200 countries, to work together to create a framework aimed at reducing the emissions of harmful carbon gases. So the basic problem of the Paris conference was the problem of fossil fuels, coal, oil and natural gas. The question should be kept in mind, and counterpart Zekanovic puts the question on the trail, and this issue will constantly arise in public debates and that question, whatever we think of it, the interest of both Croatia and all the other public is that skeptics question the very idea of global warming. The basic question that arises when we talk about global warming, but also about all the data that we are dealing with today and on the basis of which we make these decisions, who is funding research? This is generally one of the biggest problems in science today. So here I don't mean to relativise global warming, but I mean to point out that when we list any scientific relevant data today, especially that have wider implications for the market, we have to ask ourselves if this is the same market that financed these research. What we're interested in is that laity can hardly understand the complexity of climate change, that it's obvious that this time countries that, not only in terms of environmental pollution, but wars and all the other ones that don't build but also in this world are destructive. It raises the question to what extent such conferences contain credibility or some of the leaders of such events is eco-awareness a new way to collect profits through green technologies, therefore, because eco costs. Eco costs a lot more than just an industry. But what I want to focus on is that we keep asking ourselves who's going to suffer more because of climate change? Will it be poor or rich? To what extent it is political, not just an ecological issue, and therefore should be discussed in parliament. In fact, developing countries have no technology or can afford it, and on the other hand, the question of Western responsibility that moves industry to the east because it's cheaper. Of course, the issue raised here was the issue of Croatian green policy, that we speak one thing, and we do another, we also talked about the Plomin C thermal power plant on imported coal, research and exploitation of the Adriatic for oil. The issue of guilt and responsibility, in which way, we asked the question of financial markets, but also in general? Large countries need to bear a higher burden because they are larger contaminants. Is that how we share the burden of climate change or are we all going to submit one universal regulation as we do now? Of course, the question of an alternative that we don't even discuss at all, are we going to focus on renewable energy sources, which we are now trying to do, or perhaps even nukes, in which it predicates, say, France, in which summit was held at the time? In 2013, 19% of the world's total electricity generation was produced by nuclear power plants. They're more environmentally acceptable, but they have a big waste issue. Is our fear of nuclear power plants irrational? Just like a plane that's safer than a car, but we're more afraid of them. Of course, the question is eco-aktivism, its potential aggression, which sometimes leads to counterproductive effects. Yeah, but how do you warn about change? The basic question is, are we able and willing to think about responsibility for future generations? Whether or not we're even concerned about the fact that the Earth is going through 100 years without resources? [[Intruder: Thank you.]] Can We Follow the Principle of Caution And the ethics of fear? [[Intruder: Thank you very much.]] Thank you.
ParlaMint-HR_2021-02-18-0.u34533	You've got replicas, so you can stay here. So, fellow Bull, you're first, here you go.
ParlaMint-HR_2021-02-18-0.u34534	Thank you very much. You mentioned colleagues, energy, renewables. Of course, they can sometimes be harmful to Croatian citizens, but I would say one problem. One problem Croatia cannot hear, and the Mosta Club has proposed. It's the microsolars law. Croatia uses less solar energy, given to God, which we have, than Finland. At this point, we spend huge funds on heating to our families that are socially endangered, to invest that money on renewable sources, i.e. For solar energy, to microsolare, these people would be solved and those families would be energy independent. And as we give incentives to foreign wind power companies, to invest that money in solar power plants on roofs, all over Croatia, every facility would have these microsolares, energy and would be. an independent family. [[Intruder: Thank you.]] Thank you.
ParlaMint-HR_2021-02-18-0.u34535	Here's your answer.
ParlaMint-HR_2021-02-18-0.u34536	I agree with you, colleague Bulj, that our core focus should be on a self-sustaining individual, not society as a whole. A step above that is the individual who will be able to use renewable resources to make himself energy efficient and thus contribute to environmental protection. So, we haven't really had a serious public debate in the public space about microsolars yet, we've suggested it within our own program, but there's no hearing about it today. At times, more advanced individuals appear, even in Zagreb, and more on the coast that have already seen the advantages of microsolars, but it is necessary to think systematically through different policies, particularly this financial one, at the level of the state that will allow this practice to spread to all our population. In a situation of serious and economic and ecological, but also various other threats, a self-sustainable individual is also a security issue.
ParlaMint-HR_2021-02-18-0.u34537	Second replica, fellow Shimičević, go ahead.
ParlaMint-HR_2021-02-18-0.u34538	I'd like to thank the president of HS, my dear colleague. You were talking about excessive CO2 emissions in the world. So who do you think is to blame for the CO2 emissions and how to help small and medium-sized entrepreneurs change technology to produce healthy food= since we are a tourist country and that we have an extremely important ecologicality, that we care about the clean environment, that it is important and clean sea, because tourism is an extremely important branch for us, and without tourism we would actually be in serious problems. Thank you.
ParlaMint-HR_2021-02-18-0.u34539	Here's your answer.
ParlaMint-HR_2021-02-18-0.u34540	So, on the one hand, there are always state policies that should make it possible for different incentives to gain some kind of fair advantage for those who use environmentally acceptable products, but what is there is crucial that we do not turn away from what I tried to warn in my exhibitions, which is the nature of the industry, to allow additional profits to those who did not deserve it. We need to fight to answer all these questions about the ecological standard, or the prerequisite for going to the market, and not something that can or does not have to be on the market, on which we will be able to reward, punish, or someone will profit from it. Especially in Croatia where we still have to work hard on the minds of individuals because you have now asked the question of the tourist season, and there would be a lot to say about how we manage our waste during the season. [[Intruder: Thank you.]]
ParlaMint-HR_2021-02-18-0.u34541	Thank you. Here, you can proceed immediately and finally on behalf of the Club of Representatives of the Mosta, again, so colleague Selak Rasdic, please.
ParlaMint-HR_2021-02-18-0.u34542	So here, I'm going to go back to what we were supposed to talk about here. These are low-carbon investment strategies and low-carbon reference values to measure the performance of investment portfolios. The problem was that different categories of low-carbon index with different levels of ambition appeared on the market. Although some benchmarks wanted to reduce the carbon footprint of the standard investment portfolio through others, only those components that contributed to achieving the 2° Celsius objective were chosen as set out in the Paris Agreement that I had looked back on. Therefore, what has happened is that many of these units of the benchmark index, despite their differences together, have been promoted as benchmarks for low carbon emissions. This is what enabled Greenwashing, or manipulative “green marketing. ” I'm sorry that we haven't had a bigger and more serious discussion here about the problem of green marketing, which is a growing problem of modern times, because it happens to us to exploit and make the capital market more acceptable and cost-effective precisely that green, ecologically, which should have been upgraded and the negative side effects of growing and non-critical capitalism should be eliminated. So the same thing that was to be served as a means of combating the consequences of non-critical capitalism appeared as something that had moved forward with it and which had just become a profit industry. We're really bombed by the ecological today. We are today in a way that is both valued and forced to buy ecologically, to drive ecologically and to fight for ecologically, if we want to be aware of citizens. It would all make sense, and it would be very useful if we really built an ecologically more acceptable environment. But what's going on? We are talking about the classification of waste, we have implemented ways of sorting waste and into our school systems, children grow up and with different shows that show them how to behave in terms of waste disposal, and in practice everything we classify ends together in our ecological bomb here next to Zagreb called Jakushevac or anywhere else at Croatia's level. So, with us, it is still as common as the debates in this House, the exercise of ecological or exercise of democracy. We, even the ecological ones that we try to implement at some levels, never end up, which is the case in waste classification, so that we can benefit from it and the positive consequences of it in practice. What I want to conclude, to remind you once again, is that this is not just a debate on indices used as benchmarks, let a dry debate, away from citizens' eyes, about a subject that sounds irrelevant. This is a debate on the key issue of our present that will even enable us to create a healthy future. It's a debate on how to make the Earth environmentally acceptable and debate how to destroy the appearance of this environmentally acceptable, which is manipulative green marketing, and that's where I'm going to point what I think is key. Once again, as long as it is not an ecological condition to go out on the market at all levels, but only one option with which to be allowed and can be manipulated on the market, we will only have a barren attempt to obtain eco-profits, less and less like, and more and more of the real face of the eco industry, whose victims we all are today. Thank you.
ParlaMint-HR_2021-02-18-0.u34543	... It didn't sound like it, ma'am. [[Specially enabled.]] Sandra Bencic, green-left block final.
ParlaMint-HR_2021-02-18-0.u34544	Thank you. So, stopping climate change, green reindustrating the Earth with the imperative of creating quality and well-paid jobs, as well as establishing a circular economy, are key social and political and economic challenges that await us in the next 15 to 20 years. These challenges, if they are managed by the state and given clear and unequivocal guidelines for development and green industry and the green economy, can be the greatest opportunity for the development and modernisation of this Earth that we have ever seen and the opportunity that we will certainly not have, if we end up as losers of the green transition. When I say that the state needs to manage these challenges, then we're actually setting and... a clear requirement to give up the idea that only the market will solve everything, that green transformation can be made based on individual ventures. [[The speaker doesn't understand.]] And that the state should only give a financial or regulatory framework, it just isn't and it's just not enough. And the green transformation doesn't mean what's most often said here, the ecological dimension. It has a significant economic dimension, a significant transformative dimension, and also a dimension in which the financial sector will then have to play a different role than it has so far because the transition to a circular economy that we talk about so much here, and very often with that concept, it actually means the end of the consumer society. The consumer economy we're used to. Buy, use, throw. In such a society and in such an economy, yes, the financial sector will have a more significant and much more regulated role than it is now. This regulation is also an attempt to put the financial sector in the service of green transformation and to regulate itself in some ways. But what I am coming back again is what is the role of us as legislators and what is the role of the state in this process? We, for example, believe that we should have already made a detailed assessment of the impact of the whole Green Plan and of the green transformation on certain existing industrial sectors, an assessment of the lack of production capacity for the needs of the green transition, which we do not have, which we do not produce, what will we have to import? Because these billions that we're pummeling here, I repeat again, will go to imports of goods and services, if we're not going to use direct public investment to secure domestic production of these goods and services. Of course, the question arises how will we get the financial sector to invest in this. It's a key problem. Why? Because the capital market does not have a specific, how can I say, tendency to invest in what is long-term and which has perhaps stable yields, but not large and is not highly profitable and fast-profit activity. And green re-industrialisation and what it offers is certainly not or should be fast money on which the capital market is used to. And what in this sense would be our proposal, in order to meet these objectives and realise these challenges that we have talked about, is that the state must also provide investment potential, not only from EU funds, but we should define as a state what strategic branches we want to invest in, set up an investment fund in which we will also enable citizens who have savings, on which they have no contributions, have 220 billion savings in banks, without any contributions and benefits, as well as pension funds that have 110 billion, which also have no place to invest, but in bonds, because we do not have long-term stable projects in which they can invest and thus actually combine public investment in order to mobilise the potential and private investments and small investors, as well as individual citizens, that we all participate together in green transformation. It's the only way we're gonna make it. Thank you. [[Intruder: Thank you.]]
