ParlaMint-NO_2017-10-25.ana.ud320e28	The representative, Nina Sandberg, will put forward a proposal for a representative.
ParlaMint-NO_2017-10-25.ana.ud320e440	A few weeks ago, the Health Directorate presented a report highlighting ICT as a major risk area in the health sector. It is noted that ICT systems may fall out due to hacking or errors. In addition, important information can actually be diverted, and privacy may be threatened. The report also states that many players are often involved in the ICT systems of the Norwegian health system, and that in itself is a risk factor. Many actors have asked for a coherent and stronger governance of the ICT systems in the Norwegian healthcare system and for them to talk together and be unambiguous. There is broad agreement on the need for stronger national governance. So my question to the Council of State is, when the risk area is so large, when we talk about foreign actors, about Norwegian actors, about doctors and nurses in this system: what does the Council of State do to take national action to deal with the entire ICT system, to deal with this risk area?
ParlaMint-NO_2017-10-25.ana.ud320e447	I immediately took those arrests when I took responsibility as Minister of Health. The first thing I did was order three comprehensive reports that described this whole situation, and it was a serious situation that emerged in the three reports. That is why I was totally dependent on taking a stronger national governance in this area. The first was to pass a law in Stortinget that provided the basis for having a modern infrastructure in healthcare. It was forbidden under the old law, so it was not possible to get it either. The second was to do something so unusual – for a Right Party government – as to set up a new directorate, a directorate for e-health, to ensure stronger national governance with the development of the entire sector. The third step was to establish National ICT HF as a joint owned company between the four regions, in order also to ensure stronger coordination. In the budget currently under consideration by the Stortinge, it is proposed to allocate 55 million. kr, precisely to ensure a common municipal solution for municipal health and care services in this area.
ParlaMint-NO_2017-10-25.ana.ud320e454	Let's move on to the next main question.
ParlaMint-NO_2017-10-25.ana.ud320e459	I understand that the Health Minister understands that I am going to ask him a question. A research group from the SERAF, the Center for Drug and Addiction Research at the University of Oslo, has drawn international attention to a study of long-term injections of the Naltrekson instrument. Treatment involves blocking all effects of heroin and other opioids, as well as alcohol and amphetamines, for four weeks at a time. I do not know whether 'news' is a parliamentary expression, President, but that is actually what the addicts become using long-acting Naltrakson. The active substance reduces the cravings for alcohol and effectively prevents overdose hazards from being used by opiates. This allows families to live almost normal, as reports in the media have shown. The study is published in the well-known journal JAMA Psychiatry and is the first of its kind in Western Europe. A total of 165 opiate addicts have participated, among others. at the Hospital in Vestfold. The study has been funded by the Norwegian Research Council and several health companies. I am sure the Council of State agrees with me that the study is very uplifting, and that such projects are important to continue in order to develop and improve LAR, medically assisted rehabilitation, for the heaviest opiate dependent users. Will the Minister of Health facilitate the continuation and extension of such research projects, and is the use of Naltraxone in LAR treatment considered in the ongoing revision of the national guidelines?
ParlaMint-NO_2017-10-25.ana.ud320e470	I fully agree with the representative that we need more research and development related to drug treatment, both in Norway and internationally. We have received an application and have had a meeting with Lars Tanum in this case. In that meeting we informed that the Ministry of Health and Welfare does not, of course, have own funding for research. We provide these funds through regional health companies and through the Research Council. This is important precisely in order to ensure scientific quality, the independence of research, and also the prioritisation of research projects on a professional basis in line with the needs of the service. So that's what's the way in if one wants more funding for research. In the case of this case, which concerns Naltraxone, there is a medicinal product that is not authorised for marketing in Norway and, according to the Swedish National Medicines Agency, there is no pending application for a marketing authorisation for long-acting Naltraxone when used in opiate dependence. It is in the case of the company that manufactures the medicinal product that has to apply for it. The Health Directorate is now working on revising the guidelines for the treatment of opiate dependent patients, and in this context the Directorate also wants to assess a broader choice of medicinal products for patients seeking medicinal products as part of the treatment. The Health Directorate has also ordered a knowledge summary of possible new drugs that may be effective and can be recommended in the new guidelines. Naltraxone could be one of the medicinal products considered, provided, of course, that the necessary authorisations are provided.
ParlaMint-NO_2017-10-25.ana.ud320e481	I think we can expect that there will be such an application quite soon. As for the doctor Lars Tanum mentioned, he actually felt encouraged to apply to the department for funds to pursue and continue this study. He is – with all due respect, the Council of State – rather disappointed by the rejection, or what he sees as a rejection. There is a widespread perception both in the treatment apparatus and among addicts that Norwegian doctors are unnecessarily restrictive in changing medications in LAR treatment. This is not due to rigidity in doctors, but simply to unclear guidelines. And such approval procedures to which the Council of State refers here take very long experience. Is there anything the Minister of Health can do to speed up this treatment period?
ParlaMint-NO_2017-10-25.ana.ud320e492	As far as research funding is concerned, I think it is important that we uphold the principle that it is not political management or the Ministry of Health and Welfare that allocates research funds to various research projects, and that is particularly important in medical research. Norway is about to contribute to one percent of medical research in the world. All medical research is international, knowledge is internationally available, and we therefore need to ensure that the funds used by Norway in research are used in those areas where we have the best assumptions. And with respect to reporting: I don't think the Ministry of Health and Welfare – or the undersigned – is the right to decide which research projects have the best quality. But we spend a lot of money on research, both through health regions and through the Research Council. I also think it would be an unfortunate signal to drug addicts if we were to have lower requirements for the standard of research related to drugs for drug addicts than the research on drugs for other patients.
ParlaMint-NO_2017-10-25.ana.ud320e499	It opens for follow-up questions - first Kjersti Toppe.
ParlaMint-NO_2017-10-25.ana.ud320e505	This is actually a very good theme to include in question time. We are discussing heroin treatment, etc. Very much, but this is a fantastic experiment. I myself have visited Health Bergen and talked to those who work with these patients, and they have very good results. Not least, many people who are not happy to be in LAR treatment may get out of it and become completely restless. It works in a very brilliant way, by blocking the effect of heroin, blocking the opioid receptors, so that you don't get the intoxication. So it's very good that there's political notice about it. It has also been shown by the Health Committee in several comments on the State budget. My question is whether there is anything the Minister of Health can do to get this approved to become a national project.
ParlaMint-NO_2017-10-25.ana.ud320e512	With regard to further research on medicinal products, the direct advice we have given researchers is that health regions have significant resources for medical research, and will probably be the place where the easiest funding will be possible. The alternative is to apply for the Research Council. As regards the authorisation of the medicinal product itself, it must be done in the same way as with all other medicinal products. There we rely on those who manufacture the medicinal product to seek authorisation for the use of this medicinal product for that purpose in Norway. I'm not aware that they've done that. But I fully agree with the representative that it is very positive and very good that this type of research and testing is already taking place in Norway today. It is also important, in particular, that this be done in parallel with the current siting of the Health Directorate and concrete assessment of the types of medicinal products to be available through medically assisted rehabilitation.
ParlaMint-NO_2017-10-25.ana.ud320e519	Nicholas Wilkinson – for follow-up questions.
ParlaMint-NO_2017-10-25.ana.ud320e524	The results for Naltraxon are very uplifting. However, as all research shows, the drug has to be viewed in conjunction with the rest of the treatment given, and drug treatment is very complex. Drug policy in Norway is not working well enough. 24 700 issues related exclusively to drug use and possession have been reported. 48 million. Dr has been fined on drug addicts, especially in Oslo and Bergen, and in 2015 we had 289 drugrelated deaths. The Council of State itself has been out there saying that he wants to launch an investigation into a comprehensive drug policy reform in Norway, where we are moving the follow-up of drug addicts from the justice sector to the health and care sector. We in SV want this to happen as soon as possible, and we wonder if the Minister of Health can tell us when the Stortinget will have a case of a comprehensive drug reform in Norway.
ParlaMint-NO_2017-10-25.ana.ud320e531	It is quite true, we have challenges in Norway — as in many other countries — linked to the fact that too many drug addicts have been met with punishment and fines rather than help, and that it has helped to build a barrier to helping either master the best possible life in an addiction situation or get out of a dependency situation. It has been an important matter for me to change the position of my own party in that matter, and I am pleased that we have been given the opportunity to do so. I record that very many other parties have done the same thing, and that it is actually a majority of the Stortinget who want it today. I have to come back to answering what will be the government's initiative in this area.
ParlaMint-NO_2017-10-25.ana.ud320e538	Ingvild Kjerkol – for follow-up questions.
ParlaMint-NO_2017-10-25.ana.ud320e543	These are promising drugs for a vulnerable group, which can deliver very good results for this patient group. It's a patient group that today has a very rigid health service that's hit through the LAR. It would be gratifying if there were results that would quickly make the medicinal product a part of the LAR, and if these frameworks were extended, so that they would be treated for these very ill people instead of what has been more traditional — moral indignation and punishment in the utmost consequence. The Council of State explains that it will not be possible to expedite an authorisation process, that it will follow normal processes, as for other medicinal products. My question to the Council of State is whether the government is planning a new overdose plan and whether he sees the possibility that it can be far more effective to use these new drugs.
ParlaMint-NO_2017-10-25.ana.ud320e550	In the case of medicinal products entering medically assisted rehabilitation, work is well under way. The Health Directorate has just ordered a knowledge summary related to new medicinal products which may be effective and which may therefore be included in the recommendation in the new guidelines for medically assisted rehabilitation. I fully agree with the representative that that kind of question is primarily professional, rather than political. Therefore, it is important that those questions are based on knowledge and such a knowledge summary has been ordered. This medicinal product could then be evaluated, in line with other alternatives. This government has put forward and implemented its own national strategy against overdose, and we are, of course, closely monitoring its effectiveness. And then we have to consider whether to extend or renew the overdose strategy when it goes out.
ParlaMint-NO_2017-10-25.ana.ud320e557	Let's go to the next main question.
ParlaMint-NO_2017-10-25.ana.ud320e562	I have a question for the Minister of Industry, because in Stortinget on 10 January 2017, it was decided that the government would issue a food law. 60,000 tons of food is thrown every year from the grocery stores, and we have people who have to lay low. We have volunteers who want to be a link here and who want to be part of and improve that situation. So Stortinget said that more food should be in the stomach of those who need it, and less should be in the broom. Now it's almost a year, and we've got a government budget back where it's finally coming back about this deal that was to come. The submission to the State budget states: ‘The distribution concludes that there appears to be no need for a food law at this time.’ I know that this is something in the agricultural budget, but it is the Minister of Industry who is responsible for the daily food industry. In the period 2010–2015, this industry has cut its food waste by 12 p.m., although the target was double, i.e. 25 p.m. It was a goal they said they could manage to reach, but they couldn't do it with the tools we had. The industry agreement with the key players is good, but does the Council believe that a food law could not be in and better this situation?
ParlaMint-NO_2017-10-25.ana.ud320e569	I believe that we all agree, both consumers, food operators, the food industry – absolutely everyone – that it is being thrown too much, and that we want to act in such a way that it is thrown less. I also see that good action has been taken by some actors related to both date stamping, offers and agreements with ideals. That's very good. I am among those who do not believe that we can legitimize everything we are for, or defame everything we are against, or that is dangerous, or that is unhealthy. I believe in good cooperation between the public and the actors. We've seen that, and we have more examples of that. Together with the Minister for Climate Change and the Environment, I had a meeting with the actors in my time to deal with the palm oil problem. We know that the Minister of Health has signed an agreement with the actors related to sugar – although it seems to have a little bad ‘dip’ by day. I think it can take important initiatives without legalising it – simply because what we need is not necessarily more laws and regulations, more bureaucracy, more reporting. Our goal is to reduce the reporting requirements for business, and then I think we're going to spend the time establishing good agreements, good ways of dealing with this, which contributes to the purpose we want, that's less feed.
ParlaMint-NO_2017-10-25.ana.ud320e577	Thanks for the answer. Norway has committed itself and given a stronger commitment when it comes to how we're going to get rid of food spills through the UN's yield targets, which says half of our food spills must be gone by 2030. If you look at the downturn we've had, the ones we've been working on now, and using the tools that the Council of State pointed to, we're far from being able to achieve the goal we've seen. If we follow the rate we have, at best we have a halve in 2040. Some of the grips that are taken in the industry are very good, but they are the easiest grips, one has picked the fruits that hang the lowest. If we're going to be able to achieve the measurements we've seen, we actually need a little bit stronger tilt, because everyone cut won't be profitable. How will the Council of State ensure that the daily food industry can take an even greater share of the responsibility for achieving the goals we have seen towards 2030?
ParlaMint-NO_2017-10-25.ana.ud320e584	I will not answer for the assessments made by the Minister of Agriculture on this bill – or the request to assess it. That question must almost be addressed to him. What I think is good is that we have achieved a cut of 12 pst. I don't think one should germinate out of it. It's often like when you start a job, that it's the lowest hanging fruits that are the easiest to pick. Then you have to work even harder, but I insist that legalizing or prohibiting all the actions we are in favour of or against is not the answer to all the challenges we have. We have to work harder with the industry. I am absolutely sure that we all have the same motivation to do something about this, and that the actors themselves can come up with good suggestions to deal with it.
ParlaMint-NO_2017-10-25.ana.ud320e591	It opens for follow-up questions – first Olaug V. Bollestad.
ParlaMint-NO_2017-10-25.ana.ud320e596	At this stage, the government believes that there is no need for legal regulation. At this point, we throw 60,000 tons of food a year that people needed in hungry stomachs. At the moment, the Blue Cross has to close one of its contact points where they distribute food, because they don't have enough food to distribute to those who need it the most. People walk away with empty stomachs and empty bags. In this state budget, the government cuts to Matvett and Matsentralen, and there are important actors to get food for those who distribute. My question to the Council of State is: When she answers that there is no need for legal regulation, what will she do to facilitate that the food is not thrown into the bosom, but comes in the stomach that needs it?
ParlaMint-NO_2017-10-25.ana.ud320e603	So both the bill and the cutbacks the representative referred to are on another department's budget, and of course I cannot go into it. What I can do is appeal to business. My experience is that business is taking important steps. They do it in terms of the environment, they do it in many areas that are important and right for us – without going our way on legislative proposals. That is why I believe that we need to work even more hard and get good solutions together with the parties in the food industry and the food industry. I would like to take such an initiative with the Minister of Agriculture.
ParlaMint-NO_2017-10-25.ana.ud320e608	Terje Aasland – for follow-up questions.
ParlaMint-NO_2017-10-25.ana.ud320e613	The most important thing here is well to find a positive willingness to do something about a big problem. 350,000 tonnes are thrown each year in Norway — large parts from households, but a large part from the food chain. It is positive to bet on food centres, to bet on industry agreements, but there is no doubt that this area also needs to be regulated. It is a little alarming that the government investigation that was published a few days ago is, as well, more of an explanation of why there is no need to regulate this serious problem. I am a little surprised when I experience that conclusion. Why should we not regulate such an important area, which drains us of resources, burdens the environment and climate, but not least when there are great values in the loss? So reporting something in this area would be a great strength – if you had regulated the area. Therefore, I am amazed that regulation does not take place, and hope that the government can change its mind on it.
ParlaMint-NO_2017-10-25.ana.ud320e618	My main ambition for business is to make simplifications. My main ambition is to free time from reporting to value creation. It was an ambition I thought I might have shared especially with the Workers' Party, which started an important simplification work. So the answer to all the challenges is not that we need more reporting, we need more rules, and we need new laws and rules. I don't think that's the way to go. Now I cannot explain the concrete assessments made in connection with this legislative proposal, because it is in another department, but I am absolutely sure that we can get good and even better solutions together with business in this area as well.
ParlaMint-NO_2017-10-25.ana.ud320e623	Geir Pollestad – for follow-up questions.
ParlaMint-NO_2017-10-25.ana.ud320e628	The power in the food value chain is largely found in three major food chains — the Norway group, the REMA 1000 and the Coop. When the government says no to the food cast, it joins into a pattern where one does not want to regulate this power, which is collected on so few hands. Ein has said no to the law of good trade. Competition supervision has a passive approach to the daily food chain. Now we're approaching a Christmas holiday, and one would like to talk nice about respect for food and no about cooking, but also this Christmas I think we'd like to see a cell for example. pig ribs are cheaper than dog fat. So my question is, is it the government's will to take a tougher hold and take a grip on the daily food power, or will a continue this cautious approach that one has had in the last four years?
ParlaMint-NO_2017-10-25.ana.ud320e633	I'm not doing my very best – and I'm doing my very best – to see the relationship between a food law and the competitive situation in the food market. I don't understand that, but I'm sure my imagination will fail as to what reasoning the representative here has based. What I can confirm is that in this area too, this government is going to intensify its efforts to help ensure that concentration does not increase, and that we also look at powerful measures to what we can do with the status quo. The law to which the representative referred was not intended to address the competitive situation. It is stated in the foreword to the law that this was not the intention. We've had an investigation on trade barriers. There are a number of proposals that we have at the hearing. We have also been able to assess our own intervention in the Competition Act which is also being consulted. We're going to take that hearing seriously, call the parties to a meeting and see what action we can take.
ParlaMint-NO_2017-10-25.ana.ud320e639	Lars Haltbrecken – for follow-up questions.
ParlaMint-NO_2017-10-25.ana.ud320e644	We have been shown in this inquiry that a large amount of food is also being thrown into Norway. These are resources on the way. My question to the Council of State is: When will the government instruct Norwegian municipalities to sort out the food waste as proposed by the Environment Directorate in January this year, so that these resources can be conserved and processed into e.g. biogas?
ParlaMint-NO_2017-10-25.ana.ud320e649	I understand that the Minister for Climate and Environment is missing here today. This is a question that belongs to the Ministry of Climate and Environment, and to which the Minister of Climate Change must answer.
ParlaMint-NO_2017-10-25.ana.ud320e654	Then we go to the next main question.
ParlaMint-NO_2017-10-25.ana.ud320e659	My question goes to the Minister of Health: Before the summer of 2017, the Council of State writes in response to the Stortinget that the system of free treatment should stimulate public health services to become more effective, and is not intended to undermine public hospitals. Well, now calls trust-chosen and responsible professionals alert. In Stavanger Aftenblad on 19 October, elected representatives of Stavanger University Hospital and Health Stavanger describe how Højre's performance project leads to the weak losing the fight for good and accessible health care and treatment. According to director of Health West, hospitals in the West have 80 million in 2017. kr less to walk with. Stavanger University Hospitals have not received funds to provide more and better treatment to mentally ill and addicted people. Animal treatment sites without a proven better treatment effect in the free-treatment selection system are paid by the same pot to cover the entire group of patients with drug problems and psychiatric disorders. It has had so extensive financial consequences that the hospital is now discussing the psychiatric bedpost they are going to lay down. Thus, the Right’s policy has led to a worse offer for patient groups to be lifted than before, and many fear a further downsizing of the close public offer in the Stavanger region, Bent Höie’s home region. According to the Council of State, the urgent hospital budget must therefore give priority to ideological curvatures in front of the treatment of patients, and in this case the Council of State will give more attention to the promises of Right healthcare than the patient's healthcare. What arguments does the Council of State believe justify the continuation of free treatment options, when we see that it weakens public health services and in the long term an equivalent health provision for all patients?
ParlaMint-NO_2017-10-25.ana.ud320e666	I hear that the tone from the Workers' Party has now received a whole new sound. While I have previously had to stand here in the Questionnaire and answer that free treatment options are not used enough, the criticism is now that it is being used too much. Yes, free treatment is becoming more and more popular among patients. One of the main reasons for this is that patients are given the opportunity to choose a treatment in which they have basic faith. Not least, it is important for people with drug dependence and people with mental health challenges. Many of them have tried treatment that is close and public many times, without getting better, and that is just one of the main reasons why many of them want to use other alternatives. I am pleased that free treatment options facilitate that very thing. Claiming that this affects healthcare is a little special, given that these private actors are paid less than the cost of providing similar treatment in the public sector. they receive a payment less than the price obtained; If the Workers' Party had reached through with its policies, abolished free treatment choices, fewer patients would have been helped, and those who had been helped would have had less freedom of choice. I've met some of these patients. I have met people who have been coerced into mental health, not only 50 times, not only 100 times, but even more than that, and who have now been given free treatment and see that they have finally found a treatment offer that they actually experience helping. The treatment offer, which in this specific case is about the Hurdal Lake Recovery Centre, had not had the opportunity to give to anyone other than those who could pay for it themselves, it would not have been for free treatment.
ParlaMint-NO_2017-10-25.ana.ud320e677	So the Council of State does not respond to why Stavanger University Hospital has to discuss which bedlinen to lay down for these vulnerable patients. In the vocabulary, the Council of State points out that there is freedom of choice that is the highest value here, that's what's going to make the big difference. Well, public treatment centres for rubrics account for more than 200 different offers today, including private and non-profit establishments that have contracts with health care establishments. These are freely available. Patients can choose them, use their high-value freedom of choice to get the treatment they are entitled to, but only a handful of people are offered free treatment. The new voice from the Workers' Party – the fact that there is a difference between me and a man, as it was before – I can't do so much with it. But does the Council of State feel that if you remove free treatment options, the rubrics will lose their freedom of choice?
ParlaMint-NO_2017-10-25.ana.ud320e686	Yes, a number of addicts will lose their freedom of choice because there are several drug institutions that do not have an agreement with the public or sufficient agreement with the public to survive. For example, Karmsund ABR Centres, which offer drug addicts good treatment, have now also established a private secondary school, which at the same time provides education. They would not be able to operate with the public agreement they have today, because it is far too small for it to be billable. It is an offer that would be in danger of being closed if the Workers' Party had won the election in the autumn. And there are a number of other similar institutions across the country. Drug addicts are now experiencing a dramatic decline in waiting time. The waiting time for addicts now is close to 30 days. A lot more people get help. The next year, we're also going to introduce drug addicts' package schedules, so that they get more coherent help.
ParlaMint-NO_2017-10-25.ana.ud320e693	It opens for one follow-up question – from Kjersti Toppe.
ParlaMint-NO_2017-10-25.ana.ud320e698	A central part — and the most important part — of free treatment options is that hospitals are required to purchase services from private individuals through supply. That's what's demanding now when one across the country gets feedback that public hospitals have to cut their supply to next year. In Bergen we are told that Health Bergen must cut between 150 and 170 million. kr. They shall reduce the number of beds by between 50 and 60. And at Sunnmøre, we're told that Health Møre and Romsdal have to cut 160 settings to next year, because they have a budget challenge of 219 million. kr. My question is whether the Council of State will still impose on public hospitals an increase in purchases from private people through free treatment options when public hospitals are in the situation they are currently in.
ParlaMint-NO_2017-10-25.ana.ud320e707	With regard to the economic situation in hospitals, it is that through the five budgets presented by this government, and the four that we have adopted, we have, in sum, allocated money to a higher growth in patient treatment than the last government has been able to for eight years. In other words, three years shorter time and higher growth in patient treatment. We have facilitated a record high level of investment in hospitals. It is invested in both construction and ICT, the hospital queues are shorter, the waiting time is the shortest that has ever been since it began to be measured. So it is that yes, there are several hospitals that have challenges that they have not managed to keep their budgets during 2017. But one cannot blame for free treatment because the public hospitals are unable to keep the budgets they have received.
ParlaMint-NO_2017-10-25.ana.ud320e717	The oral question procedure is now over.
ParlaMint-NO_2017-10-25.ana.ud320e731	There will be some changes to the questionnaire, and the President will refer to the electronic question list in this section. The changes were as follows: Question 6, from the representative Lars Haltbrecken to the Minister for Climate and Environment, is postponed until the next Question Time, when the Council of State has left. Question 7, from the representative of Mr Wilkinson to the Minister for Health and Welfare, will be answered by the Minister for Children and Gender Equality who directs him. Question 8, from the representative Carl-Erik Grimstad to the Minister for Health and Welfare, has been withdrawn.
ParlaMint-NO_2017-10-25.ana.ud320e760	The question from the wholesale representative relates to the qualification requirements for obtaining central approval and for the declaration of responsibility in construction matters. Due to a judgment of the EFTA Court, we had to suspend the system of local approval of undertakings. Local approval was based on the fact that, prior to granting a building permit, municipalities assessed the qualifications of the enterprise. The system of local approval was replaced by a declaration of liability by undertakings themselves. In order to reduce some of the unfortunate effects of the disappearance of local authorisation, the central approval voluntary scheme was strengthened in 2016. One of the measures was to clarify the training and practice requirements, which are a central element of the qualification requirements of enterprises. The clarification consisted in the transfer to the regulation of a table listing the educational level and practice requirements previously included in guidance. No changes were made to the content of the requirements themselves. Training and practice requirements for performing enterprises, including machine operators, have remained unchanged since 1997. An important part of the background for shifting qualification requirements from guidance to regulation was to ensure that all enterprises – including those from other EEA countries – were treated equally. Where reference is made to the retroactive effect of the qualification requirement provision, I believe that this is intended to ensure that undertakings that have applied for the renewal of the central approval have experienced that they have not been granted the same authorisation as before. As mentioned above, the qualification requirements for performing undertakings have been the same all the time. When the amendments to the regulation began to apply from 1 January 2016, it turned out that the clarification of qualification requirements came surprisingly to many. For some, this also had unfortunate consequences. After further examination, it became apparent that the qualification requirements had been practised more lightly than the legislation strictly provided for. One consequence of this was that companies had been granted a central authorisation which they would not have strictly had. I therefore have a strong understanding that the modest practice that has been used in the past meant that companies were expected to continue to be given great weight to real competences. When I came to know about this, we introduced a transitional arrangement for companies applying for the renewal of their central approval. Those undertakings may be assessed in accordance with the same qualification requirements as were practised before 1 January 2016. This implies emphasising the real competence of the undertaking together with formal competence. We are about to have a reassessment of qualification requirements at the hearing.
ParlaMint-NO_2017-10-25.ana.ud320e783	I thank you for your answer. In addition to this coming as a surprise to the industry, others have come up with this as a surprise, which has been much closer to the decision-making processes. Let me quote from the Roman journal of 16 October of this year: ‘The retroactive effect of the scheme is devastating for small and medium-sized enterprises throughout the country. Required taste of desks and bureaucracies, and total absence of practical sense’;» says Julie Brodtkorb, who is today the Managing Director of the Association of Machine Entrepreneurs, and who should be well known to the Council of State as well. Now that we have taken on new knowledge and a new reality, can we expect from the Council of State now announced that one will take over the everyday life of the companies and make sure that one does not encounter the problems described by the Association of Machine Entrepreneurs?
ParlaMint-NO_2017-10-25.ana.ud320e795	Let me first remind you why we have strengthened the system of central voluntary recognition. It's to combat work-life crime. It is based on a report that I asked the industries themselves to produce. The report is: it's easier to be serious. An important requirement from the industry has been that there should be qualification requirements. It was assumed that the qualification requirements had now been the same as those that have been in use since 1997. So these requirements have been managed in a more modest way. When we discovered it, we provided a transitional arrangement. There has been close dialogue with the different industries during this period, but I assume that the representative Gegelsvik is also aware that there are different views between the industries, so when Gülsvik now takes the position of the machine contractors, he must also be aware that there are other industries in the construction sector that have a different location. I'm concerned that we are going to fight the crime of working life. At the same time, we should be pragmatic in the way we deal with this legislation.
ParlaMint-NO_2017-10-25.ana.ud320e800	I thank you for that answer too. In its first response, the Council of State indicated that the background to the change that has occurred is that unfortunately, the EEA Agreement did not allow the maintenance of legislation to which the Council of State referred was favourable to Norway. This also makes it possible to have a situation in which local companies in Norway adapt to a regulatory framework that is increasingly tightening up in relation to formal skills, while at the same time having very strong competition from foreign competitors, which may be difficult to control, has the right recognition. How does the Council of State feel about following up on this situation?
ParlaMint-NO_2017-10-25.ana.ud320e807	The representative Gülsvik jumps over the fact that we have had the same code since 1997. The challenge has been that the legislation has been practiced contrary to the legislation. Then I am concerned that we should consider Norwegian enterprises – and non-residents – that have been in good faith. That's why we put in place a transitional arrangement. Therefore, DiBK has been in close dialogue with the industries. That is why we are about to have a new regulatory framework consulted. But we have to have rules that allow us to combat work-life crime. It is in everyone's interest – especially the serious companies, whether they are Norwegian or foreign. This is a voluntary registration scheme, which means that companies cannot be required to be registered in this scheme either.
ParlaMint-NO_2017-10-25.ana.ud320e815	‘The Government of the State budget states that the rights to the Post are sufficient to cover post-transmission five days a week. Postkom meiner Posten is underfunded with approximately NOK 540 million, and that the proceeds are not sufficient. The government also halves the drive to expand broadband. Does the Council of State mean that there is a strong or weak provision of communication for the people of the whole country, or is it such that not everyone should participate in the information society?’
ParlaMint-NO_2017-10-25.ana.ud320e822	This government is very concerned that everyone should participate in the information society, and that we should have good infrastructure throughout the country both for fibre, for postal services and for road and rail. That is why we have greatly increased the appropriations to build and maintain more roads, more railways, maintain airports and develop our shipping. We've also said that we're going to have a five-day distribution of mail across the country, and that we're going to have a common postage. All those requirements are set. That we disagree or discuss with the Post about how much they will be paid for the unprofitable services does not mean that we have reduced requirements, that means that we need to discuss more to find that consensus. It is only a small year since one could read in the media that the competitors of the Post on large packages believe that the Post gets too high subsidies to provide those services, while the Post itself thinks they are getting too little. That's why it's important that we do a thorough round of it, and now we also get an external job to find the right price from the state to the Post for the unprofitable services. In the case of digital infrastructure, that's really the main reason why the Post is struggling financially, too much of the amount of mail we sent before, has disappeared, simply because people use e-mails, not alternative providers physically, but e-mails and digital services. In this area it is good to see that today new figures are presented for this market, which shows that now has 80 pst. access to 100 MB or more. It's a strong growth in a few years. We see that the investment level in the industry is record high and has gone from around 7 billion. kr for well over 10 brd. kr if one compares 2013 with 2017. And that's the total investment here that counts, not necessarily how much of this is subsidies over the state budget. If we look at the areas that the Center Party often tends to move forward like those that have the worst coverage on fiber and 4G, it's just to mention, for example, Sogn and Fjordane, Hedmark and Uppland. Upland had 9 pst. 4G coverage when the Senterpartie left the Department of Transportation, but has over 90 pst. coverage today. The appropriations for subsidising the development of fibre have been approximately doubled in both Hedmark and Uppland and has increased by almost 250 pst. In Sogn and Fjordane, because we make sure that the money the state spends, your need is the greatest, instead of evenly distributing it across the country. There's no point in using government money where the market solves the challenges, but it's good to spend government money where the market doesn't solve the challenges, and that's where we've focused it better. This means that even though we are far from in goals, development has been very positive. It is in Hedmark, Oppland and Sogn and Fjordane that one gets the biggest growth in fibre development, which means that one takes back the deficit that was at the government shift in 2013.
ParlaMint-NO_2017-10-25.ana.ud320e833	I myself live in the Uppland County, which now has a broadband coverage of approx. 60 pst. There are more than 1 million inhabitants in Norway who do not have access to acceptable broadband capacity, and then mail, as this question concerned, is the option too many. There are also many broadband coverage, which have not taken advantage of the digital platforms. This is why Stortinget's 2016 order that there will still be post-transmission five days a week throughout the country, important. So my challenge to the state council is still how to secure within these promises now to deliver on what the government has ordered when it comes to five days of post-transmission.
ParlaMint-NO_2017-10-25.ana.ud320e838	One is expected to have a five-day post-transport service. If a person has to have anything other than that, the Stortinget shall take a new decision – one shall not interfere with it by means of over- or under-financing or co-financing, or anything with respect to the Item. So five days is on the ground. In the case of fibre cover, it's about 60 pst. coverage in Uppland and Hedmark — not at national average level, but strong growth, in fact a doubling compared to 2013, when the Senterpartiet left the Ministry of Transport. So in four years we've doubled the coverage here. For the number of people who have access to 100 MB: there are almost 2.4 million households in Norway. 1.9 million households, a little bit more than that -- 80 pst. - has access. That's 33 pst. who subscribe to it, so there are many who have access to it, but who choose not to use it. However, if you see for example: in the industry, which is generally the most important, fibre coverage went on industry... from 14 pst. [[President clubs]] to 61 pst. in four years.
ParlaMint-NO_2017-10-25.ana.ud320e847	Eighteen to letter mail, which this is about: it's a little special when the government proposes to use 261 million. kr for services of general interest, of which the company Kvikkas will have nearly 100 billion. kr for the Saturday distribution of newspapers, while the Post Norway will receive 165 million. kr for five days in a week to people and business. It's this particular me and the Center Party are worried about. Can the Minister for Transport ensure that Storting's order for five days of mail travel for the whole country will be valid for 2018?
ParlaMint-NO_2017-10-25.ana.ud320e852	As I have said in my two previous answers: Until the Storting makes other decisions, it is five days' postal distribution that applies. How it looks in a few years, yes we actually have to have a discussion on the ongoing, because if the decline we've seen over many years, continues, I think the Storting will also take a new discussion on how much money you're going to spend if it's actually not shared mail in many days. There are no indications of this in the allocation that is now in place, but what is possible to bring with it when a person sits and assesses how much money he gets subsidised, is that he also has to look at what obligations the Post has. By now taking one mail stream, instead of having A and B mail, the Post saves a lot of money. When the Post office no longer needs to have a Saturday postage, you also save money. There are cost savings, which you have to look into what they need in subsidies. With regard to the Saturday distribution of newspapers, it is correct that yes, there is Kvikkas doing the job. They now have a delivery quality that is on the level of what the post office had, but they take half the price of what the post office wanted when they submitted a tender for it.
