ParlaMint-NO_2017-05-10.ana.ud551e28	The called alternate of the South-Trundellag County, Ferhat Güven, now takes the seat.
ParlaMint-NO_2017-05-10.ana.ud551e594	Let's go to the next main question.
ParlaMint-NO_2017-05-10.ana.ud551e599	I have a question for the so far most modest State Council of Question Time, and it's about the railway reform. That is the following: the government’s original plan was to tender the first train sections in the competitive phase of trains on 3 February 2017. In December 2016, this was not achieved. That was the first warning that the government would fail in its outsourcing project. Last week the government announced that the competitive base of the companies that have been designated by the department but have not been published would now be published in spring, but are now exposed to the harvest. Consequently, the distribution of the basis of competition for the southern package of traffic is subject to a minimum of six months. The tender will not be awarded before summer 2018 and traffic starts are planned in June 2019. This means that there will be no obligation to tender on Sørlandsbanen, Jærbanen and Arendalsbanen until after the fall in September. Other sections of track have yet to be launched. The Workers' Party, SV and the Centre have consistently opposed this most controversial part of the rail reform, namely the partying of the NSB and the competitive outsourcing of passenger traffic. Can the State Council confirm in Stortinget that if there were to be a majority government of SV, the Workers' Party and the Centre after the election, we can stop the competitive outsourcing of NSB's passenger traffic?
ParlaMint-NO_2017-05-10.ana.ud551e609	What another government will do, I won't consider, but I don't think it would be smart, anyway. But what's important here is that SV should take a look at what's actually happening with the Norwegian railway now. Now it's a big bet, which means we're getting record numbers in terms of the number of passengers. The railway has a better reputation now than when SV crashed. It's only used in 7 billion years. kr more on the railway than SV was able to achieve when they were driving. The most important thing that happens is actually to improve the infrastructure, so that people can start trusting in the railway, that things work, that the switches of track are in order, and that the overhead line is in order. In comparison, in 2010, when the Railway Agency presented a report saying that the railway could collapse with what happened then, the response from the then Minister of Transport Magnhild Meltveit Kleppa was that this is serious, but that one cannot promise more money. Looking at the appropriations allocated to the Railway Agency in the following years for maintenance, there was a decrease from 2010 to 2011, a new decrease to 2012, a new decrease to 2013. So despite the warnings about collapse, the response from the red-green ones was to cut in maintenance. It wasn't very responsible. Therefore, the most important thing we do now is to increase the appropriations and actually prioritize maintenance in those appropriations. The second thing we have done is to improve the organisation and make the responsibility more clear. By 3 May at the latest, we had a sign that the property of the railway was collected in one place, where both ROM Property and Bane NOR – or the former property of the railway works – entered the same administration. One sees it possible to save a triple billion on the annual in follow-up and maintenance. That's the other one. The third part is competition. It is to ensure that those who are most suitable for providing services – whether it is driving a train or operating maintenance – do so. There is no SV unknown, it was opened for competition on goods under SV. We also want to continue what was done at Gjøvikbanen, which SV also lived well with, but I see that SV now has a different position than they had when they were in government.
ParlaMint-NO_2017-05-10.ana.ud551e624	I tried to look very well and believe that I perceived a yes at the front of the first two sentences, and that it is possible for us to stop the competition. Otherwise, I think it's all right to remember that if the Council of State had got what he wanted, the railway operation would have been more than halved compared to what the Stortinget has decided, and that SV throughout this period has had higher appropriations for railway than the Council of State has proposed and been on, and has constantly invested more on the railway. The point is this: if it is a yes, right-wing politician Linda C. Hofstad Helleland stated in a legendary interview in World Gang in September 2014 that her goal was to squish so much toothpaste out of the tube that the Workers' Party did not put it back. Is the Council of State now bitter because a Right Party government does not succeed in implementing the railway launch before the election and therefore does not have the toothpaste squandered entirely out of the tube?
ParlaMint-NO_2017-05-10.ana.ud551e631	I think it's a little bit weird input of SV. The goal is to get the best possible railway, and I think everyone who follows the results on the railway so far, is to say, you know what? There is no need to go back to red-green policy in this area, for there is more bet, there is better organisation, more train sets are ordered now, there are several departures from Oslo S, and the trains are more on track. Why in all days would a wish be the results that SV could refer to? The question originally raised by the representative Eidsvoll Holmås is really the same – reworded – as this: Will a government be able to govern as it pleases? That SV at all goes to elections and thinks they won't be able to influence anything if they get government power, but ask today's government if there's any possibility for it – well, our approach to sitting in government is that we should actually rule. That's why we've started a number of processes that the previous government let lie, just because we think we can control, and we show that we can control. That the representative Eidsvoll Holmås is unsure whether he can do anything if he comes into government, does not surprise me when I look at the results they achieved.
ParlaMint-NO_2017-05-10.ana.ud551e638	It opens for follow-up questions – first Torgeir Knag Fylkesnes.
ParlaMint-NO_2017-05-10.ana.ud551e643	We in SV thank you for the answer. In the government's eagerness to prevent NSB from obtaining competitive advantage in supply, the government has deprived the NSB of the ownership of the train equipment. It may be a little difficult for people to understand why it should be so that competitors can choose between own material or the country's material, while the NSB does not have a choice. This means that the NSB is flipped. Why has it been so important for the government to cut the NSB? Hasn't the point been to create competition on equal terms?
ParlaMint-NO_2017-05-10.ana.ud551e650	Yes, and the representative from SV is completely wrong. I think it's a little strange to meet SV – and to the extent that the red-green parties – for repeated debates on the rail reform with criticism from the red-greens about the rail reform, when they obviously discuss a completely different reform from what we're doing. One has to try to deal with what the government actually decides. Then you can agree or disagree with it. I see many reasons to agree with what the government does, simply because it makes sense. It's about creating a better railway. The infrastructure is now better than when SV ran. During the eight years SV crashed, the railway infrastructure fell annually. Now you maintain it so that it gets better every year. Most people should be happy about that. This means, among other things: that CargoNet can say: now we finally get a rise in the volume of goods on the railway, because the customers trust us. While the decline was quite great during SV's reign. We have accumulated some ownership that had previously spread. It also applies to the train sets, but the NSB will be treated equally with all others. The NSB shall have no disadvantages in this competition. We're going to make sure they compete on equal terms, as opposed to what SV now claims.
ParlaMint-NO_2017-05-10.ana.ud551e657	Eirik Sivertsen – for follow-up questions.
ParlaMint-NO_2017-05-10.ana.ud551e662	The councils probably think my question is strange too, as most of the questions that are asked to the government seem to be. The Council of State just said that the NSB should not have any competitive disadvantage in the market that the Council of State is now in the process of creating. He is concerned that the NSB should be able to compete with private companies in order to be allowed to offer an offer to travellers. It is therefore essential that the framework conditions of the NSB are clarified and that they know the conditions under which they will compete. Since last autumn, there has been a debate on the pension obligations and pension entitlements of NSB employees. It has not been clarified. So my question to the Council of State is, has the Council of State now been clarified and given the NSB clarification of what assumptions they are going to compete with, and what pension obligations do they actually have? And if he hasn't, when can the NSB get such a clarification?
ParlaMint-NO_2017-05-10.ana.ud551e669	That clarification comes very, very quickly, simply because we're presenting a document to Stortinget in a very short time. The claim about wing clipping was asked questions about SV. Then it's quite natural that I indicated that no, they don't get any disadvantages in this competition. On the contrary, I believe that NSB’s knowledge of the Norwegian market means that they have a competitive advantage compared to others. But it's a little strange to hear red-green politicians repeatedly raise this issue, as if competition is something completely new in the transport sector, when one has in red-green rungs competition on the bus, one has it on speedboat, one has it on ferries, one has it on aircraft, and one even had it on the Gjøvik track under red-green government, one actually opened up to competition on freight transport under red-green government. Does it mean, when the Workers' Party is so critical of competition for passenger transport, that they are against competition anywhere else? What's so very different about trains? I want the best possible offer to the travellers and a good company that runs it. That's what we're gonna do.
ParlaMint-NO_2017-05-10.ana.ud551e678	Janne Sjelmo Nordås – for follow-up questions.
ParlaMint-NO_2017-05-10.ana.ud551e683	The railway reform has now led to several managers, increased red tape, increased use of consultants, increased costs and been a huge time thief. In retrospect, the Council of State does not see that it would have been better to spend the money on e.g. maintenance on the railway instead?
ParlaMint-NO_2017-05-10.ana.ud551e689	Well, and if you look at the accounts, we've actually doubled the maintenance effort on the railway compared to when the Senter party ran this country. For eight years, the Central Party ruled the Ministry of Transport, and for eight years, the railway expired. Now we've been running for almost four years, and we've increased maintenance so much that the maturity now decreases. When the Senterpartie took over the government offices in 2005, the total maturity on the railway was 9,5 billion. kr. In the budget submitted by Stoltenberg and the Center Party in 2014, the overall maintenance allowance would be €18.4 billion. kr, approx. - Almost a double. So we have nothing to be ashamed of in that area. Looking at the use of consultants in the Railway Agency, it was twice as high in the years 2011–2013 as it has been in the years 2014–2016. So we've halved the consulting as well. In the previous eight years, a single reform was not carried out on the railway, despite being told that the railway could collapse. Under our government, we have carried out a reform, while at the same time reducing the use of consultants, while at the same time increasing maintenance, and at the same time expanding new sections. It shows that it is possible to do things differently from what the previous government did, and with good results.
ParlaMint-NO_2017-05-10.ana.ud551e698	Let's move on to the next main question.
ParlaMint-NO_2017-05-10.ana.ud551e703	My question goes to the Minister of Justice and Security. After 22 July, we received an undefiled report from the 22nd of July with recommendations to implement several actions it thought Norway needed to get better preparedness, including some critical response resources, so that we would be better equipped in the future. Well, the future is here now. It's been six years since 2011. Something has become better, but a lot remains, for example. the major response investments remain to be requested by the 22 July Commission. In particular, the Commission highlighted three points when it spoke of critical response resources in which Norway should invest. None of them are in place so far. Emergency centre. The government has talked a lot about Alna, and that they could not build there, but had to find another plot. They've spent almost four years finding another blank. The status is that the government has not put in place any emergency services, but is arguing with landowners. It has been legal food, and it is still not clear when we can expect an emergency room to be in place. Helicopters. The bill will not be paid by this government. Investments are staggered year after year. ICT in the police. The Commission said a lot about the need to do something with, among other things: The ICT systems of the police. More money is needed to make the necessary investments. This isn't done. The summary is status: not delivered and not followed up. My question to the Minister is as follows: When will the Emergency Response Centre be finished? When will the helicopters be in place? And when will the necessary investment come to ICT in the police?
ParlaMint-NO_2017-05-10.ana.ud551e724	I find it strange to hear the attempt of the Workers' Party to describe the preparedness in Norway. There are a lot of false representations that really amaze me, but there's also a direct error of the story you're basing on. Let's take the example of the emergency center. The previous government didn't do home homework. You really couldn't see the difference between the gross and the net. So you're essentially adding too little area. With Alna, who was their alternative, a created noise problem and beyond could have a number of factors – an inappropriate place to set up a national emergency centre. So we had to roll back and start over. I can report that we are on track with regard to the establishment of the National Emergency Response Centre. We'll get it in place, we'll deliver on time, and we'll also deliver on content. It is also clear, if you followed the news yesterday, that in the context of the revised national budget, we are committed to buying not two, but three helicopters with transport capacity for the police. In many ways, this is a revolution, a completely different situation, in order to deliver good preparedness for the country. Thus, in terms of police infrastructure, ICT infrastructure, significant investments have been made. It is a continuous work, which this government has taken up, which was not satisfied and considered important during the previous government, and which has expired. What the previous government didn't do in its period, in its eight years, is deliver this government, and we've never had a better preparedness than we have today.
ParlaMint-NO_2017-05-10.ana.ud551e733	Now the blue-blue government has been sitting for four years. One of my questions was as follows: When can we expect an emergency centre to be in place? Now four years have passed, and this government should take responsibility for that. It's also taken four years to put these helicopters in place. Nor does the Council of State respond when we can expect an investment plan where it is set up. As far as the last question is concerned, you promise investment in ICT. When can we expect money to be made available to do this with regard to the requirements and needs that the police are calling for? None of these three questions answered the Council of State.
ParlaMint-NO_2017-05-10.ana.ud551e738	ICT investment is ongoing. We've spent a significant number of millions on this over this period of government, and more will come after all the sunmarks. There is a high priority, and we are combining what has been a separate eye in the ICT of the police, namely that different systems and systems have not spoken to each other on a national basis. This government is doing something about it. But when you have ICT systems that have their origins back to the 1980s, actually at the end of the 1970s, it goes without saying that we have a great job to do. But we're in the process, we're delivering on it, and it's given priority. This also applies to all the other measures to which the representative refers. We had to start over because the previous government didn't do their homework at the emergency center. Helicopters shall be in place by 2019 at the latest.
ParlaMint-NO_2017-05-10.ana.ud551e745	Anniken Huitfeldt – for follow-up questions.
ParlaMint-NO_2017-05-10.ana.ud551e750	It's a little long to blame for those who've been before. We have received a demonstration of this from the Minister of Defence today, and now also from the Minister of Justice and Defence. But what the Riksrevision says about the lack of cooperation in the field of object protection is clear. Here the government has to take responsibility. I understand that the ministries want to exempt some public information for the sake of national security, but if the changes are made to hide criticism, it is very serious. My question is: does the Minister of Justice and Security agree with the Minister of Defence's decision to keep the summary of the Riksrevision report secret, and has the Prime Minister been involved in the assessment of this issue?
ParlaMint-NO_2017-05-10.ana.ud551e757	Once again, I experience that you have a demonstration in the production of a situation that is becoming extremely wrong. You talk about secrecy, you talk about it as if it's a political assessment to omit information from the public, and that it's been put into practice. This Chamber has adopted a Security Act and, through it, expects the Government to deal with it. The government has done the same. The professional assessments made by the Ministry of Defence are precisely professional assessments that suggest that it would be detrimental to the security of the state if more detail, as we talked about here, were to reach the media. It's a professional assessment. It's about security, and there's no political assessment at all. I think most people see that you would like to have released rounds like this. It does not help to inform the matter of creating an impression of a conscious political secret. That's not what this is about.
ParlaMint-NO_2017-05-10.ana.ud551e764	The National Auditor has a different version of the case than the Minister of Justice here explains. But my question is quite specific. This is ‘a professional assessment’. So you push the decision away. But it is the politicians who are ultimately responsible for the decisions in their own department. I asked the Minister for Justice and Security a clear question: Does he agree with the Minister for Defence's decision not to publish this summary?
ParlaMint-NO_2017-05-10.ana.ud551e769	So there are information sites that make these assessments. That is clearly stated in the Security Act. It is quite natural for me, as Minister of Justice, to deal with the professional assessments made in the Ministry of Defence. That's what this is about. It is not at all a question of keeping information secret of political desires. There's no need to do that at all. The public debate and the uprising that the opposition has managed to make on this matter should show that there is no interest in it. What you do is you create the impression that something is more serious than it really is. The reason why documents have been graduated is the security of the state. Then I would really like the opposition to be a little more responsive and a little bit more understanding to actually make those assessments, that there is a reason for that, and that it is about security.
ParlaMint-NO_2017-05-10.ana.ud551e775	Geir Inge Lien - for follow-up questions.
ParlaMint-NO_2017-05-10.ana.ud551e780	Recently discovered the Riksvision in a report is largely missing when it comes to object protection procedures. The former state council pointed out that the POD's reporting on the condition of object protection had been incorrect. My question to the Council of State is: What concrete action has the Council of State taken or will it take to prevent us from getting back into the same situation?
ParlaMint-NO_2017-05-10.ana.ud551e785	As I have explained in an open consultation with the Committee on Control and Constitutional Affairs, and which has also emerged in many rounds of public vocabulary, I have been very clear that today – in 2017 – the situation is different from the one that the Riksrevision report used, which dates back to 2015. We have come a lot further to put in place a plank for object protection. We have also gone further in the ongoing work of creating permanent basic protection. But it's also an economic issue where we gradually and steadily improve the situation. But we will never end up there – and I believe that both the undersigned and the Minister of Defence have been clear – that we are putting the end point and saying: now we are finished with the object-proof, now the readiness is good enough. It's a continuous work. It's going on all the time, but the situation is different today than it was in 2015.
ParlaMint-NO_2017-05-10.ana.ud551e790	So the oral question procedure is changed, and we're moving on to the ordinary question procedure.
ParlaMint-NO_2017-05-10.ana.ud551e804	There will be some changes to the set-up questionnaire, and in this respect the President will refer to the electronic question list. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 11, from the representative Freddy de Ruiter to the Minister of Knowledge, must be postponed until the next Question Time when the Council of State has left. Questions 12 and 13 from the representatives of Ruth Grung and Else-May Botten, respectively, to the Minister of Knowledge, will be answered by the Minister of Health and Care on behalf of the Minister of Knowledge, who has left. Question 14, from Hege Haukeland Liadal to the Minister of Knowledge, will be answered by the Minister of Labour and Social Affairs on behalf of the Minister of Knowledge, who has been away.
ParlaMint-NO_2017-05-10.ana.ud551e823	‘In Eastfold, the SSB figures in March show that there are now 7,700 children growing up in poverty. That's an increase of 14.1 pst. of the children in the county, with a national average of 10 pst. There's an increase of 500 children. From 2013 to 2017, the nursery price, the electricity charge, the level of tolls and the prices of petrol and diesel have increased, which particularly affects those with the lowest income, while the 50 richest so far have averaged over SEK 20 million each in tax cuts. Differences between people are increasing. Why does the Council of State think this is fair?’
ParlaMint-NO_2017-05-10.ana.ud551e830	Since this government took over in 2013, a number of measures to combat child poverty have been introduced. Increased participation in the labour market is the main means of preventing long-term low income and increasing income in the low income groups. In Eastfold, there is a higher proportion of children living in non-professional households than the national average. The government has stepped up its efforts in the 2017 budget to get more people working. The number of children in low-income families is increasing mainly as a result of a high level of immigration-driven population growth. More than half of children in the low-income group have a migrant background. Eastfold has a higher proportion of children with a migrant background than on a national basis. Many immigrants have low skills, weak basic skills or difficulties in obtaining recognition of their skills in the Norwegian labour market. Therefore, the government prioritises labour rights in the introduction programme and Norwegian training. A fast track is established into the labour market for refugees with requested skills. The government wants more young people to get into work and activity more quickly, and launches a youth effort to increase the follow-up of young unemployed people. From 1 January of this year, an activity obligation has been introduced for social assistance recipients under 30 years of age. The lack of secondary education increases the risk of falling out of work at an early age. The government emphasises early efforts and measures to increase the implementation of higher education. The primary education of high school students is targeted at pupils from families with a weak economy. A new two-year training course has been introduced by Nav. The Government introduces a lifelong right to secondary education. The provision of training for adults with poor basic skills has been reinforced. The government has put forward a strategy against child poverty. The strategy includes 64 measures to reduce the negative impact of growing up in low-income families and targeted prevention measures. That's the first strategy of its kind. We're going to take an extra responsibility to secure the social security network for children in poor families. Children shall not be loaded for the situation of their parents. The government has introduced more reasonable childcare facilities for families with low income and free core time in kindergarten for all children of low income families from their three years of age. The free part-time space test on the SFO has been extended. The National Disability Grant Scheme has been significantly strengthened. More children and young people get to take part in leisure activities and get holiday experiences. The government has put forward a proposal for child protection reform. Family protection services are strengthened. Health and school health services are strengthened. The follow-up grant scheme for children of mentally ill and children of drug users has been strengthened. We have put forward a national strategy for housing-social work. Housing aid has been increased for families with children and other large households, and the framework for housing grants has been increased. Overall, government policies make a significant effort towards those with the lowest income. We need to ensure a better everyday life for children and young people growing up in poor families.
ParlaMint-NO_2017-05-10.ana.ud551e859	It's nice to hear about all the measures, but we see that it's not going the right way. I also record that the Council of State mentions the immigrant families, but then it should be noted that the SSB says that even in families with no immigrant background, there are increasing numbers of poor children. Child poverty is not very much about social distress or lack of the necessary consumer goods, but it is a lot about exclusion and exclusion when you experience not being able to participate in what others can participate in. The Progress Party and the Right have cut the social benefits into chronically ill, disabled and disabled people. Does the Minister of Finance think that these parents will be better able to take care of their children when they get such cuts, while Norway's 50 richest runs off with millions of dollars each in tax cuts with greetings The Advance Party and the Right?
ParlaMint-NO_2017-05-10.ana.ud551e868	Again, the faulty claims made by the Workers' Party regarding tax policy come to this government. It is true that the largest amount of money spent by the government on tax reductions has gone to ordinary households. An average family has received NOK 8 000 in tax bills during these years, so it is wrong when the Workers' Party claims on repeated occasions that we have spent the large amount of money giving tax reliefs to the rich. That's just not right. We have spent the large amount of money, most of the space for action during this period, on things other than tax reduction — to strengthen health services, care services, education, transport and local economy. I refer to what I said in my first answer: Many of the measures that the government has provided, such as action against child poverty, are good measures that have been appreciated and that are about reducing exclusion and exclusion.
ParlaMint-NO_2017-05-10.ana.ud551e873	The biggest cuts in taxes have not gone to ordinary people. It's gone to Norway's richest. That's the way it is. To the municipal economy: In the Minister of Finance's own survey of the municipal economy, we read that 10 out of 18 municipalities in Eastfold are growing in 2017 during the country's growth, i.e. that the majority is less economically able to perform their tasks on behalf of the population – Marker kommune 1,6 pst. growth, Hobøl municipality 1,7 pst. growth, Rakkestad municipality 1,7 pst. growth, Rygge municipality 2 pst. growth, to mention some of the low-performing Eastfold municipalities. How does the Minister of Finance think that these municipalities will be better able to help families with children out of poverty when the government initially provides a budget for 10 out of 18 Eastfold municipalities? Does the Minister of Finance think this is fair distribution against the tax cuts of those in Norway with the most private assets?
ParlaMint-NO_2017-05-10.ana.ud551e882	Now the representative of Lauvås has to decide what he is to criticize. In the introduction to this issue, the representative repeatedly repeated that there has been growth in the economy also to the Østfold municipalities, but less growth than elsewhere. So overall, the local economy has strengthened every year during this government. We see from the accounts for the municipalities that things are going well now. Several municipalities are settled with significant profits. In spite of this, many Labour Party-driven municipalities see that they have a good profit, a liberal economy, yet they choose to impose increased taxes on property. Maybe you can't say that's basic social.
ParlaMint-NO_2017-05-10.ana.ud551e890	My question goes to the Minister of Finance: ‘If the party programme of the Progress Party was implemented, Norwegian municipalities would lose over 20 billion. SEK in income each year. It would have dramatic consequences for people in North Norway. Why will the Council of State, which is also the party leader of the Advance Party, cut off in school and care for the elderly to give billions of dollars in tax cuts to the richest of the country?’
ParlaMint-NO_2017-05-10.ana.ud551e899	Municipalities have several different tax incomes. Reductions in the level of taxation usually compensate municipalities. I would therefore like to believe that this is the property tax that Mr Juvik refers to. The representative Juvik manufactures it to remove the property tax as a tax bill to the rich. I think that is wrong. The property tax affects ordinary people – families with young children, the elderly and the young. We've seen a lot of examples of that in the last few months. The government wants people to keep more of their own income. That's why we've reduced taxes by about 21 billion. kr. Wide tax credits make it more profitable to work and create new jobs in Norway. But the big money has gone to secure the well-being of this government. Let's do that, for example. by strengthening the income of municipalities. The free income of municipalities has increased on average by 2.4 pst. since the government joined in 2013. It has facilitated a strengthening of the service provision throughout the country, including in North Norway. The government has in no way cut senior care and school, as the representative claims. On the contrary, we have raised the elderly and strengthened school education. A rise in early school effort is one of the government's important priorities. In the current year's budget, 1.3 billion is granted. kr to several teachers from 1 to 4. steps. All students should be able to expect to meet teachers with depression in the subject in which they teach. Compared to 2013, we have more than tripled the investment in further training of teachers, to 1.3 billion. krones. In 2017, 6,000 teachers were offered further training. Under this government we also see a change of pace in the care of the elderly. The appropriations for care services have increased by 1.5 billion. kr during this period. Now the state takes a greater responsibility for the development of nursing homes, the state now takes half of the bill. This has led the municipalities to expand more. We have arranged for the renewal and construction of more than 10,000 care facilities. Overall, we strengthen care for the elderly, at a time when there are more elderly people, and where the need for care services will increase. The government has prioritised the big money to ensure the well-being of most people. At the same time, we are strengthening the local economy and reducing taxes and charges for people and businesses. So that's how we take Norway safely through the long-term transition.
ParlaMint-NO_2017-05-10.ana.ud551e914	In spite of the list of the Finance Minister, the proposal contained in the Progress Party's programme to cut 11.4 billion is that. NOK in the property tax and NOK 10,5 billion. kr in the property tax, it will amount to over 22 billion. NOK for the municipalities. Based on what's said, that means that the Progress Party will compensate these 22 billion. kr for the municipalities? Despite the growth the Council of State is trying to refer to, and the showdown she's referring to, it's like these municipalities don't take this property tax on skates. It is in order to provide well-being and offers to the inhabitants that one feels compelled and has to collect this property tax, regardless of the party political stance. The question is very interesting: how to deal with, with an action room of 6-7 billion. NOK, to cover the 22 billion. kr with the proposals of the Progress Party, if you want to compensate the municipalities?
ParlaMint-NO_2017-05-10.ana.ud551e921	So what Juvik calls a show list is a fact. These are measures implemented by this government to strengthen well-being throughout the country. We have therefore implemented a wide range of measures that strengthen the rate of expansion of care for the elderly, and the Workers' Party has nothing to boast about. When the 2013 election was a fact, the Workers' Party admitted that they had not delivered to the care of the elderly. But the government has given priority to care for the elderly because it's the right area to bet on. The representative Juvik would like to ask the Minister of Finance about the recently adopted programme of the Progress Party for the next four years. That doesn't make any sense. There is nothing in this government's platform about property taxes in the current period. But I still believe that the representative has a crazy approach to this. First, property tax is not about tax relief to the rich. It strikes unsocially, and it affects particularly those who have poor finances.
ParlaMint-NO_2017-05-10.ana.ud551e930	It is interesting to hear that the Progress Party programme does not have any meaning for finance – it does. What is clear, at least, is that the Workers' Party in all its alternative budgets during this period had more to the municipalities than the government. This Minister of Finance has also cut property taxes on hydropower for municipalities, with almost 400 million. In 2017, she said in December that she would not be able to do anything about this before Christmas, but would come back to it. I can't see that it's yet settled in, and it's starting to hurry if you're not going to get 400 million too. SEK in tax cuts on property in 2018. Estimates of the values of the hydroelectric power plants, which received a dramatic change from 2016 to 2017, amount to almost 400 million. kr. With the information we have now, it will be at least the same amount in 2018 if this is not corrected, and Stortinget has said that this should be corrected. When will the Minister of Finance fix this, when can we expect this to be clarified? It is important for municipalities to clarify this.
ParlaMint-NO_2017-05-10.ana.ud551e939	Firstly, I did not say that the Progress Party programme has nothing to do with finance; I said that it was a programme adopted for the next four years, not for the current growth period. That's what I said. The government has announced that we will come back to the Storting with assessments related to property taxes and hydropower plants, and it is still on the table. We're going to do that. But I still think that the representative Juviks – let's say – about caring for the municipalities in terms of property tax – is a little special. I'm more concerned with the inhabitants. It has been raised beyond doubt that much of the unsocial property tax introduced in many Workers' Party-driven municipalities now affects ordinary people with a strained family economy – so it can. If that's the way the Workers' Party argues when they talk about taxes to the rich, I understand why the Workers' Party talks about taxes to the rich, if they also believe that property taxes are.
ParlaMint-NO_2017-05-10.ana.ud551e948	I didn't say that.
ParlaMint-NO_2017-05-10.ana.ud551e956	‘In 2016, the Municipality of Hedmark has been informed by the Ministry of Local Government and Modernisation that a new practice for the allocation of discretionary funds has been established following natural damage in the context of an application for beauties to cover damage to county roads. The new practice implies that compensation only becomes applicable when a county municipality has experienced exceptional costs of at least DKK 250 per year. the population. The Council of State therefore considers that the county authorities must at all times have a natural damage buffer equivalent to up to NOK 250 per year. is it a resident?’»
ParlaMint-NO_2017-05-10.ana.ud551e963	Municipalities and county councils that have incurred exceptional expenditure after natural damage may receive partial compensation through the discretionary means of the Ministry of Municipal Affairs and Modernisation. In principle, it is the responsibility of the municipality and the county to ensure good maintenance and satisfactory standards of the municipal infrastructure, so that the damage is minimised when extreme weather or similar occurs. However, in the event of an accident, no municipality or county municipality shall be left standing alone at high costs after flooding and storm. The municipality proposal for 2016 provided for the need for discretionary means after natural damage to be determined on a case-by-case basis. Since 2015, the Ministry has therefore assessed the applications submitted by the county councils with discretion, including the size of the total cost per resident. The Ministry has established a practice of refusing applications from counties that are less than SEK 250 per capita, which is the established limit for municipalities to apply for part of the costs incurred. The Ministry will propose, in the Municipal Proposition for 2018 presented tomorrow, that the guidelines for the assessment of applications for county municipalities be elaborated in accordance with established practice. The representative of Juliusus asks whether county municipalities must always have a natural damage buffer equal to 250 kroner per capita. A limit of 250 kroner per capita in order to be able to apply for grants corresponds to the limit for municipalities to apply for funds. The counties are large organisations and should therefore have a financial space to cover unforeseen costs of a certain extent. I would also like to remind you that beauty resources are being set aside from the county councils' overall framework grant, and that it is therefore natural that there is a certain threshold for the individual county council in order to receive a subsidy from this framework. I want the most predictability and equal treatment of county councils, and will ensure that disproportionate expenditure following natural damage is compensated. This will be supported by a defined ceiling for the possibility of applying for grants.
ParlaMint-NO_2017-05-10.ana.ud551e974	We know that floods and natural damage will be an increasing challenge in the years to come. For example, Hedmark County was given to the municipality of Hedmark. recently presented its NVE climate profile that confirms it – more rainfall, increased risk of flooding and slippage. If – in order to use Hedmark as an example still – one cannot count on any kind of compensation for costs up to NOK 250 per capita, this means that Hedmark must have at any time close to SEK 50 million. kr standing in a flood buffer. In that case, it will constitute a narrow seventh of the entire county's budget for the operation and maintenance of county roads. There's sums like zeros out, and then there, all of that that's come from increasing county roads over the period so far. In 2016-2017, the county had to make up 27 million. kr itself to cover damage as no grant was received from the Ministry. It is money that had to be taken from other planned county road projects, to push them out in time. How will it be that the government with a pen stroke obliges Hedmark County to take down the county road maintenance with a seventh?
ParlaMint-NO_2017-05-10.ana.ud551e981	Now it's not like there are special rules for Hedmark. We have the same rules for all counties, and we now set the same limits for the counties that we have for the municipalities. Then it is that municipalities and county councils have had a good economic development during this government. Hedmark County has a net operating surplus in 2015 of 271 million. kr, and in 2016 a net operating surplus of 228 million. kr or 7,4 pst. This means that the county councils with good government framework and good financial management themselves have set up a buffer to allow unforeseen expenditure to be taken. The county councils are responsible for maintenance and ensure that the infrastructure is so good that the damage is minimised.
ParlaMint-NO_2017-05-10.ana.ud551e986	Yes, Hedmark is an example of the fact that through this change of practice, all county municipalities have to count on increased expenditure on their own in the coming years. When Hedmark was struck last time by floods in 2012, the county municipality received compensation and the then municipal minister from the previous government explained to the Stortinget a practice in which the county municipalities were compensated for half of the costs up to NOK 250 per capita and all over that limit. Now the practice has changed, and I understand that there is something more in the municipal proposition tomorrow that confirms that practice. This makes one wonder how the government intends to make municipalities and county municipalities able to deal with the increasing challenge of extreme violence, floods and subsequent damage to, among other things. highways.
ParlaMint-NO_2017-05-10.ana.ud551e991	That's a good and important question. This is about where municipalities plan to build dwellings and where they plan to build infrastructure. We contribute by developing new digital elevation models, which provide more accurate knowledge of which areas are safe and which are more vulnerable, and we also provide good guidance to municipalities and counties in developing their spatial plans. This is important as a basic premise and tool from the state. I also agree, of course, that the State should set up when municipalities or county municipalities are hit by storms, floods and accidents and get unforeseen large expenses. I assume that the representative also agrees that it must be a proponent, so what we are really discussing is how much that proponent should be. We believe that what we now get in place for the county councils, in line with what is for the municipalities, is the right level to put on.
ParlaMint-NO_2017-05-10.ana.ud551e999	‘For Objection, the fees have increased by more than 50 pst. on some routes in the last few years. The government has made new offers on the FOT routes in North Norway, which has given lower air services for many. The result for the population and business in North Norway is that there are fewer conditions for creating values and less attractive living in the region. Differences between parts of Norway are increasing. What will the Council of State do to correct the negative consequences of a poorer flight offer in North Norway?’
