ParlaMint-NO_2017-05-03.ana.ud198e28	The representative, Mr Knag Fylkesnes, will present a proposal for a representative.
ParlaMint-NO_2017-05-03.ana.ud198e461	It is important that we have a strong and clear law that shows a ban on discrimination. We know that many people are being discriminated against, and the outdoor industry is one of the worst in terms of discrimination. The law is very clear that there is a ban on discrimination, and it has also been tightened up by the new anti-discrimination laws adopted by the Stortinget in 2013. The government has also sent to the Stortinget proposals for new equality and discrimination laws to strengthen the protection of discrimination in many areas, in particular discrimination on several grounds. It is not always useful with a good law if we do not also enforce the law, and today the law is such that discrimination does not have any consequences. And for the first time, the government has sent to treatment in Stortinget a proposal to change the whole enforcement system in the field of discrimination, where for the first time it will have consequences to discriminate, and a new, strengthened gender equality class can give up in the face of discrimination. For me, it is important that we have a law, it is important that it is enforced, and of course, it is also important when there is a law ban, that this is enforced. There are probably several cases that could have been taken to the courts to be tried.
ParlaMint-NO_2017-05-03.ana.ud198e473	I thank you for the answer, but my follow-up question goes to the Minister of Health and Care. More than two years ago, a broad majority in the United Kingdom adopted a new system of controls for municipalities with the nightlife industry. We now have a national dot load system. The regulation laying down the peak loads applied to various infringements provides for a two-point discrimination. The withdrawal of the grant may only take place if a service provider has applied 12 dots during a two-year period. This means that the check-up must reveal six cases of discrimination before the grant can be suspended for one week. As I pointed out earlier, it is paradoxical that because of this legislation, a municipality that Oslo has had to soften its efforts to combat discrimination in the world as a result of the introduction of national legislation. Now this has been a period. My question is: is the Council of State willing to look at this again, so that municipalities have more room for action to intensify their work, to finally end a totally unacceptable situation with discrimination in the outdoor sector?
ParlaMint-NO_2017-05-03.ana.ud198e484	Firstly, as the representative says, it was part of our larger municipalities that had already introduced different types of dot load. It was a system that worked well, but what we saw at the time was that there were very different practices in the municipalities when dealing with the alcohol law. Therefore, it was a broad desire, even from the industry itself, to have a national system that gave more equal treatment in municipalities, based on the dot load system. When a national scheme is introduced in which some municipalities already have a system, it will necessarily be necessary for some municipalities to adjust their original system, even if the dot loads that were introduced were also based on the experience of each municipality. With regard to the issue of discrimination, it is right that it has been inserted as a two-dot point. Nevertheless, there is a very big question of principle, because the purpose of the alcohol law is related to regulating the donation, while often it is politically tempting to use the sanctions in the alcohol law to take care of other social interests. There should be a limited one.
ParlaMint-NO_2017-05-03.ana.ud198e491	There will be follow-up questions – first Trine Skei Grande.
ParlaMint-NO_2017-05-03.ana.ud198e496	On the basis of what the Minister of Health concluded, I would like to follow up with the Council of State Horne. It's obvious that we have a police force in Norway to fight crime. It may be tempting to use it for something else, as the Minister of Health got in. We have rules for the outdoor sector, we have rules for our working life, we have rules for the functioning of our housing market, and all of these are matters where people experience discrimination. But on the other hand, we see that the government and others are very active in combating extremism, combating exclusion, talking nice about it in all the arenas you have the opportunity to do it, and making action plans to do it. But one is still afraid to use it that in the everyday life of many young people is really perceived as extremely unfair. Does the Council see a certain conflict between what the Minister for Health concluded his answer and the job she has?
ParlaMint-NO_2017-05-03.ana.ud198e505	For me, it is important that we have a good law that prevents discrimination, and that all groups, young and old alike, have a protection under the Discrimination Act, and I would say that the government has strengthened with the new common law on equality and discrimination. So it's not just having a law, it's got to follow up, and today it's not going to have any consequences if you're being discriminated against. We have a long period of procedure, and I want us to have an equality officer who is to be both a supervisor and a driver, who can be a watchman out there, and to take care of both children and young people who are being discriminated against. In the area for which I am responsible, it is important that people have information about their rights, that we have a good and clear law, that those who are discriminated against are taken care of, and that they get a quick clarification in or treatment of their cases. I believe that this will be strengthened by a new gender equality title, and it will also take care of the group that the representative addresses here.
ParlaMint-NO_2017-05-03.ana.ud198e514	Hege Haukeland Liadal – for follow-up questions.
ParlaMint-NO_2017-05-03.ana.ud198e521	My follow-up question goes to the Minister for Children and Gender Equality, who is responsible for discrimination. Youth with a migrant background drops off to the suburbs on the west edge, with certainty that they don't come in. This applies to Oslo. What has the Minister done specifically to see whether this is also a national challenge and a national problem?
ParlaMint-NO_2017-05-03.ana.ud198e529	We know today that many people are subject to double discrimination. They are discriminated against because of their background and ethnicity, and they may also be discriminated against in the case of disability. If you have both, you're extra exposed to discrimination. That is why the government of the new common law on equality and discrimination has made it clear what is going on, and strengthened it. Then there must also be consequences for discrimination. This is an important task that I also believe the Equality Ombudsman must have. The gender equality ombudsman shall have both a strengthened driving role and a guidance and supervisory task, and this must be clear also in relation to the challenges in the outreach sector. We haven't done any national survey on it, but there's probably statistics that the Equality Ombudsman has.
ParlaMint-NO_2017-05-03.ana.ud198e536	Hans Olav Syversen – for follow-up questions.
ParlaMint-NO_2017-05-03.ana.ud198e541	My question goes to the Minister of Health. I think it might be a bit of an overall debate when it is said that discrimination issues in the spirit industries are not suitable for the alcohol law, we need to have other legal bases to deal with. I think it's completely wrong. If one really sets out as a requirement – because it is a right to be granted – that there should be no discrimination here, then the sanctioning system is also best served by the same legislation as the authorisation is granted. So it's a fact that after the amendment to the law, it's more difficult to get involved in the industry that discriminates on the basis of skin color. So my question is, when it's going to be evaluated, will the Council of State look at whether the change that was made should change again, so that you can react to the kind of behavior that we've seen examples of?
ParlaMint-NO_2017-05-03.ana.ud198e548	That's how we can react. Therefore, this ratio is also punctuated by the alcohol law. What's worth thinking about, however, is that discrimination is not just in the outdoor sector, but we politicians have an instrument that we have to deal with very few other industries, that we can take away from them the very basis of life, which is giving. The basis for this, I believe, should be essentially linked to the purpose of the alcohol law, namely to prevent overdrinking and improper sale and donation of alcohol. There must be the most severe reactions. If we choose to include many other social conditions in the alcohol law, then we have one industry that we have an extremely strong tool to do, which we can use for a lot, while to all the other industries in society, we do not have the same reactions, simply because they do not have the alcohol law. It's something that also a business-friendly party that the Christian People's Party should think through.
ParlaMint-NO_2017-05-03.ana.ud198e555	Let's move on to the next main question.
ParlaMint-NO_2017-05-03.ana.ud198e560	My question goes to the Minister for Children. Child protection is about security, and it's about creating security for the most vulnerable children we have. One of the things that has created insecurity for child-rescue children, and which many have been involved in doing something about, is the tendering system, a tendering system that risks bringing children up from an environment they are familiar with and safe from, for example. the institution in which they are resident loses in a tendering procedure. Care is care – it is not a store. There was an important reason why the red-green government decided to stop the use of the tender in the national child protection system. One of the first state councillors Horne did was to repeal that decision and reintroduce the notice of the use of tenders. She wants to welcome commercial actors in child protection and does not want to give priority to non-profit-making or long-term agreements. We've seen a huge increase in purchases from commercial child protection companies in recent years, and we know that nearly 90 pst. by commercial child protection services are now provided by five large groups. So child protection is a lucrative industry for some large groups. So the Council of State has ordered a report from Vista Analysis, which came in 2016, and it has the striking name «The use of private actors in child protection – responsibility on the move?». I want to quote: ‘The day’s practice implies high profits for suppliers, more extensive services than necessary and increased costs for the municipalities and Bufetat for follow-up and control, etc.’. How much of the money the council grants to state child protection ends up profiting from commercial owners?
ParlaMint-NO_2017-05-03.ana.ud198e579	Let me first begin by saying that to me it is not so important who operates the offer, but the quality that is given to the individual child, and that children and young people who need the help of child protection get the help they need, and an offer that is adapted to the individual. We have many skilled commercial players who provide services to the public. They provide good services, and they have done so for many years, even under the previous government. I do not see it as a problem that commercial earns money in providing services that the public needs, but it is important that we are sure that it is paid no more than what is necessary and that they deliver the quality that we order. Services provided by private operators shall satisfy exactly the same quality and requirement of competence and quality as the services provided by the State. I would like to stress that the contracts under which this government has operated were concluded under the previous government. We signed new contracts last year with private and non-profit actors on the same line as the previous government did. In recent years – also under the previous government – there are about. half State institutions and half private and non-profit actors. That's the same thing as today. I have no idea what dividends are being made, but I'm concerned that children have good offers when they need it at all times, and whether it's a government, a non-profit or a commercial actor, it hasn't been the main criterion. The most important thing is that it is quality that we have an offer that is adapted to the individual children and young people at all times.
ParlaMint-NO_2017-05-03.ana.ud198e590	Although the Council of State has received a report that states that the responsibility is on the wrong track and that there are unnecessary costs, she is not interested in finding out where the money is going. It's an interesting attitude of the Progress Party on the use of tax money. Now we've got an answer to that, so let me move to municipal child protection. So Councillor Horne has received a report from the Health Authority, which is dramatic. It notes that many child-restraint services resolve cases and that they are not able to respond properly to concerns messages. Money is not everything, the council has commented on that report, despite the fact that, when she was in opposition, she proposed a stepping-up plan for municipal child protection. When SV had government responsibilities in this area, we carried out an escalation, about 1000 posts were allocated through an ear-marked plan – the child protection promise – in those years. It was the biggest effort on municipal child protection in over 20 years of age. So under the councillor Horne, the child-restraint lift has stopped. A change of pay has been granted, despite the fact that the aim was to reach a total of 1,500 new jobs. How many new posts in municipal child protection has Horne provided?
ParlaMint-NO_2017-05-03.ana.ud198e597	Let me add to the first question that we have ordered that report. It's a report that we're now going through, because it's also important to look at how state child protection is driven, especially against both state institutions and commercial institutions. So to the question. The government has increased the appropriations for municipal child protection by over 150 million. in recent years, and there has also been a strong commitment to some of the fundamental criticisms of child protection, namely the lack of competence. We see that the child-restraint pledge launched by the previous government, which we are now continuing to strengthen several other measures, is helping to reduce the length of proceedings by reducing the number of children in municipal child-responsors. It is also important to stress that municipalities have increased funds and that they have a statutory obligation to have sound child protection and to bet on child protection. Like the representative, I am concerned that there are too many differences in the municipalities related to betting on child protection.
ParlaMint-NO_2017-05-03.ana.ud198e604	It opens up for follow-up questions – first Kirsti Bergstø.
ParlaMint-NO_2017-05-03.ana.ud198e610	Governments are talking about the competence package, but we're talking about people who don't have time to eat the food package. The problems have once again accumulated in the protection of children after today’s government stopped the Child Protection Lift rather than completing it. At Councillor Horne's post, it has been generously given to the country's economic elite, while child protection is being eaten off with small amounts of money. And we now hear that there is no control over whether money spent on child protection goes to vulnerable young people or to child protection barons – through the bidding process, which has been reintroduced into child protection, where we see that market forces are once again going raw. I wonder if the Council of State Horne is satisfied with the development, for which she herself is responsible, or whether she might hope for the government's SV again, so that there might be a new boost for the most vulnerable groups here in the country.
ParlaMint-NO_2017-05-03.ana.ud198e618	Child protection is one of the most important areas in which we are working. The main work for the protection of children also takes place in a municipality, that the municipality has a good and safe child protection. The government has continued to invest in the municipal child protection system, as the previous government put it. We have put in place several jobs, which have also made there fewer children per case handler. I want to stress that the most important thing we can do for child protection is to prevent. We know that care takeover is expensive. For this reason, this government has focused on prevention: the municipalities that use more in health centres use less on child protection. It's to be able to get in early and help the families where they need it, and make your parents safe, so that you don't need a caretake. Then it is important as the reports that have come and as the Health Authority’s oversight shows that there is a lack of competence. There is also a lack of competence in the practice of the law. This is why the government also has a large-scale commitment to the competence of municipal child protection, which will benefit children and young people.
ParlaMint-NO_2017-05-03.ana.ud198e627	Sonja Mangt – for follow-up questions.
ParlaMint-NO_2017-05-03.ana.ud198e632	Child-restraint needs safe adults in child-restraint who can work. Under the red-green government, we also tried to put child protection into the frame, which turned out not to work. Then came the Children's Protection Lift, and there we had a lot of ear-marked means. It is not being followed up. In the new law – which we are now dealing with – we see that several tasks will be transferred to the protection of children in municipalities, and the money will be included in the framework. I wonder what kind of new information the Council of State has that framework grants will increase the manning and competence of child protection in the future. I wonder if she can share it with us.
ParlaMint-NO_2017-05-03.ana.ud198e639	In these years, the government has passed on the designation of the municipal child protection that the previous government started. It has also been important for us to ensure that municipalities pay more employees in the area of child protection. I would like to underline once that the municipalities have a separate responsibility for having child protection that is sound, that cooperates with other services, and that works prevention and with early efforts. It is also the aim of the reform of child protection presented by the government. The government wants to give municipalities greater responsibility for child protection, because we know that it is an incentive to work prevention, to see more services at one time and to get in early. I also want to stress – and it is very clear in the child protection reform presented to the Stortinget – that municipalities should be given greater responsibility, and that they must also be given greater financial responsibility. That's the transfer of money. I have faith in local democracy, that when local authorities get money over the frame, that money will go to the important work on child protection.
ParlaMint-NO_2017-05-03.ana.ud198e652	Geir Jørgen Bekkevold – for follow-up questions.
ParlaMint-NO_2017-05-03.ana.ud198e658	In the Committee on Family Affairs and Culture, we are now dealing with a proposition: changes in the Law on the Protection of Children, a reform of child protection. Proposition provides a good summary of the challenges in Norwegian child protection: lack of foster homes, numerous foster home placements are broken, and many children are in foster home queues. In addition, there are large municipal differences and a lack of differentiated measures for the children who need it. The question is whether this proposition responds to the challenges of child protection today. How will the Council of State ensure that there will be fewer violations and that we will have more foster homes and more support for foster homes in the future?
ParlaMint-NO_2017-05-03.ana.ud198e665	The government has provided a foster home message that was dealt with in the Stortingen one year ago, where there were many good measures, and where there were also request decisions from the Stortingen that we are going to follow up, and that is a job we are working on. We know we need more foster homes. It's hard to recruit, and that's why I'm glad that the Christian People's Party has also been involved in increasing the budgets for the recruitment work up against foster homes. In addition, it is within the framework of the child protection reform that municipalities are given a statutory obligation to search for foster homes in networks and relatives, which we know are also good foster homes. Then I want to mention that we have just put down a sample that is now going to go through the entire foster home care and also look at the arrangements up against the families, because we know that there are many foster families who are taking on an important job, who are not getting the follow-up and guidance they need to have in order to be in the important work.
ParlaMint-NO_2017-05-03.ana.ud198e674	Kjersti Top – for follow-up questions.
ParlaMint-NO_2017-05-03.ana.ud198e679	Child protection needs stability. Stavanger Aftenblad told in January 2016 the story of the teenage girl ‘Ida’ who was forced to move to a child protection institution 130 miles north of his hometown. In 2015, a total of 478 children in Norway were moved to a child protection institution or a state foster home in a country other than that from which they come. The Children’s, Youth and Family Directorate told Stavanger Aftenblad on 20 December last that the Ministry of Children’s and Gender Equality has announced that high productivity and capacity utilisation of child protection institutions are more important than placing children in the vicinity of the home. My question is why the council does not intervene here and is working to give children a legal right to supply in the vicinity of the child's home when it is at the best of the child?
ParlaMint-NO_2017-05-03.ana.ud198e688	It is important to ensure at all times that children and young people in need of an institution place are given the place that is best for this child. Then we must also be aware that it is approx. 1000 children living in institutions, and it will be impossible to have a specialised offer for each child in each region and each municipality. But it is important that both the municipalities and the state listen to the child and the youth – who was the failure of the Ida case – to find the offer that is there. I have been concerned that we should have an institutional offer that is a diversity and that, in the new child protection reform, municipalities now have a greater freedom of choice to choose the right institution. They don't have the opportunity to do that today; they often have to take the institution that's free. But we are committed to diversity and good quality in these institutions, and also to ensuring that children are involved in the choice of the institutions they need.
ParlaMint-NO_2017-05-03.ana.ud198e697	Let's move on to the next main question.
ParlaMint-NO_2017-05-03.ana.ud198e703	My question goes to the Minister of Oil and Energy: When large expansion projects have been launched into Asian shipyards, we have heard that this is due to the fact that Norwegian shipyards were not competitive. Nevertheless, we have repeatedly seen that the projects come to the Norwegian cap with a price tag that is far above the tender price. Economic overruns, faults that need to be repaired and significant delays in start-up production lead to extra costs. Through our tax system, a very large part of this is deducted from the taxes of oil companies. It is therefore important that we look at how this can be prevented. Norwegian shipyards have marked themselves as reliable suppliers at both price and quality. High standard of work and high level of safety ensure this. But it has also been reflected in the tender prices provided by these offices. The construction of Totals Martin Linge platform was awarded the Samsung yard in Korea in 2012. Last week it became clear that the project was in trouble. Both cost exceedances and delays were notified – 10.4 billion. kr over the budget and more than one year delay. On 1 May the sad message also came that 6 people were killed and over 20 were injured in an accident at work on this project. In the Workers' Party, we have seen the need to allow the authorities to do something to prevent such project failures. It is the responsibility of the companies to choose suppliers, but when the risk share of the community is as large as it is, the authorities should have a finger on the steering wheel. We have therefore put forward proposals to investigate how, through closer follow-up to development projects, governments can ensure that contract strategies and project implementation contribute to the achievement of our overall objectives in the field of petroleum policy. We have also noticed that the HMS standard in e.g. Korea is very different from Norway. While we had a death rate in employment in 2013 of 1.8 per hundred thousand years, Korea had 12.5. We therefore made proposals to determine whether the regulation on HMS in the petroleum industry could also be fully or partially applied in the construction of installations for Norwegian base. In view of the development of the Martin Linge project, with regard both to exceedances, delays and the tragic accident, what are the thoughts of the Council of State on what can be done to avoid this kind of undesirable development in the construction of projects into Norwegian Socket?
ParlaMint-NO_2017-05-03.ana.ud198e714	Firstly, I will also express that it was a terrible message to get that we have had a major accident at the Samsung yard with tragic outcomes for workers there, and there is reason to let our thoughts go to those who are now left without their loved ones. It is true that we have had a period back from 2010, under the previous government, where very many major projects related to the Norwegian oil and gas industry went to the yard in Asia. This trend has seen a significant change in recent years, and an increasing share of the project goes to Norwegian shipyards, the Norwegian supplier industry. I see this as an expression that oil and gas companies both see the whole of their acquisitions and also include delays and possible excess costs in their overall risk assessments when awarding contracts. A good deal of work has also been done in the Norwegian supplier industry together with the oil companies in the last two years, following the oil price drop, which contributes to a more competitive Norwegian supplier industry than before. There have been cost reductions, standardisation and contractual arrangements between the parties have been addressed. This has helped us this winter, for example. have seen that the Norwegian share of new contracts awarded has been very large. This is good news for the Norwegian supplier industry. Then I would like to stress that in the case of projects that are outsourced to other countries, it is the authorities in the respective countries that are responsible for the regulation and follow-up of the HMS work, as in Norway, that the Norwegian authorities are responsible for the follow-up of the labour law and the HMS work of Norwegian suppliers.
ParlaMint-NO_2017-05-03.ana.ud198e725	I thank you for your answer. It is true that a good deal of work has been done in the industry, and I hope that the oil companies have taken over the results we have seen, with exceedances and delays on previous projects that have gone to foreign yards. I don't think we're out of danger. Therefore, I would very much like to see us put in place a proper code and an opportunity to go closer to the oil companies in terms of the project follow-up. Just as we do in terms of extraction and as far down as the drainage of the individual fields on the Norwegian base, we need to be able to be sure that the companies have control over the development projects. That's why we've said we want to find out. The same applies to HMS. We can, through development and operational plans, impose conditions that there will be a good follow-up of HMS during the construction period.
ParlaMint-NO_2017-05-03.ana.ud198e736	It is quite right that the authorities have followed up the oil and gas activities on Norwegian soil through the legislation we have managed over 50 years, which has been gradually developed. With regard to the division of labour here, it is important to keep it clear and clear: it is the companies that are responsible for their acquisitions and as builders they must be it to the suppliers they choose, whether foreign or Norwegian. On the part of the authorities, we are clear that the companies have to carry out an activity that is in line with the HMS requirements we are making – which are among the most stringent in the world – for the activity on Norwegian pedestal. Petroleum supervision has a role in the deployment phase related to following up projects and ensuring that they are built in a way that allows them to be approved for activities on a Norwegian base when they come into service and are to be put into service. For this reason, the Petroleum Control Authority has followed up, for example: the development of Martin Linge, to which reference was made in the main question.
ParlaMint-NO_2017-05-03.ana.ud198e745	It opens for follow-up questions – first Torstein Tvedt Solberg.
ParlaMint-NO_2017-05-03.ana.ud198e751	I don't really understand that the Council of States is answering the question here. He comes up with some general considerations and general ideas about the development of the industry, but will not answer anything that is the serious issue that was raised. We see that the exceedances have increased, the delays have been longer and the accidents – last but not least now on 1 May – are more serious. I believe it has now reached a critical level and that this cannot continue. I hope the Council of State can answer if you don't see this, that development has now gone too far, that there is a need to take action, and that there is a need for such a basis as the Workers' Party has asked. It would be interesting to hear the views of the Council of State on whether or not he sees any scenario at all. Does it continue with major accidents and longer delays? Should one continue with the same inactivity? Or will one in any scenario imagine that it might be possible to take some grip and put such a warrant in place?
ParlaMint-NO_2017-05-03.ana.ud198e758	I would like to stress that most of the development projects on the Norwegian base are carried out on a level, time and diet, and are good projects that are very socially useful and provide revenue to the public. The development of large oil and gas projects is complicated. These projects are one of the most complicated things you can imagine – pure engineering! Sometimes challenges arise. The Workers' Party is concerned here with a whole new model which will, if necessary, contribute to the involvement of the authorities and decide on the strategy to be adopted by the different companies for their development projects. There's going to be a mix of roles that I don't think we're serving in the Norwegian oil and gas resource management. It is such that he has to share responsibility between the companies as builders and the authorities that can impose general requirements on the oil and gas activities on the Norwegian base.
ParlaMint-NO_2017-05-03.ana.ud198e767	So the oral question procedure is changed, and we're moving on to the ordinary question procedure.
ParlaMint-NO_2017-05-03.ana.ud198e781	There will be some changes to the questionnaire, and the President will refer to the electronic question list in this section.
ParlaMint-NO_2017-05-03.ana.ud198e786	The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 2, from the representative of Gunvor Eldegard to the Minister for Municipal Affairs and Modernisation, has been transferred to the Minister for Health and Welfare, who is directly responsible. Question 6, from the representative of Mr Kjerkol to the Minister for Health and Welfare, has been withdrawn.
ParlaMint-NO_2017-05-03.ana.ud198e799	‘’It cannot be on the money. It costs what it costs," said Siv Jensen in 2013. Given the government's policy over the last four years, there is reason to argue that the elderly have had to give way to tax cuts for those who have the most of them. State-funded care for the elderly is attempted in six municipalities, the legal right to hospitalisation met massive countermeasures from trade unions, the KS warned against changing the investment grant. There are many examples. Is the Council of State and the party leader satisfied with the answers she now gives to the elderly of the country?’
ParlaMint-NO_2017-05-03.ana.ud198e806	Since this government took over in 2013, we have provided better services and higher income for the elderly. The government has reduced taxes by 21 billion. kr, which has also benefited the elderly. Persons with a main pension income have received an average relief of NOK 3000. Pensioners at all levels of income on average have been relieved. Many pensioners also have high net wealth and benefit from the relief of property taxes. At the same time, a specific tax deduction ensures that pensioners at the minimum pension level do not pay taxes on pension income at all. We believe that pensioners should retain more of their own pension. Pensioners have built Norway through hard work for many years. Therefore, the government has also reduced the unreasonable curtailment of the pension to married and cohabiting pensioners. This means that on average, pensioners have got $8,000 more to walk with this year. Overall, the government’s policy provides a significant boost to pensioners’ income. Then the representative takes Gahr Støre wrong when he says that the care of the elderly has been given way to the government's tax relief. Under this government, the large amount of money has been used to strengthen well-being, including for the elderly. There were major deficiencies in the care of the elderly after eight red-green years. We're on the right track to fix that. I would like to remind the representative Gahr Støre of the Workers' Party's own concessions after eight years with the Health Minister of the Workers' Party. This period was started with a recognition from the Workers' Party that they had failed to provide care for the elderly. In the last four years, however, the Workers' Party has been working against the government's proposals to ensure the capacity and quality of care for the elderly. Parents do not have time for the Workers' Party's passive attitude in the care of the elderly. With the Advance Party and the Right in government, we now see a change of pace in the care of the elderly. The appropriations for care services have increased by 1.5 billion. kr. The state assumes greater responsibility for the development of hospitals. The state takes half the bill. This has led the municipalities to expand more. We have arranged for the renewal and construction of over 9 000 care facilities. We have provided grants for more than 3,000 new day-care sites for people with dementia, which allow more elderly people to experience lifelong lifelong learning and lifelong satisfaction in their everyday lives, while at the same time postponing the need for a sick home. We're legislating the right to hospitalization. We have reduced the proportion of people who involuntarily live in double rooms. We have launched a pilot project on state funding for the care of the elderly. Municipalities report high learning outcomes by participating in the experiment. They feel that health and care services, administration and politicians work together more and better than before. It could help to improve quality. Now the government is starting work on an older reform – live your whole life. We have to dry to think again also in the care of the elderly. We can't erase the differences from a desk in Oslo. That's why we're going out to talk to those who have the shoes on. It's in the municipalities the differences arise, but it's also where the good solutions exist.
ParlaMint-NO_2017-05-03.ana.ud198e846	I quite agree that it is in the municipalities the knowledge is and the shoe prints. It has therefore been interesting that the Congress of the Progressive Party has been that the State should take over the financing of the care of the elderly. The attempt was not particularly interested in the municipalities – many withdrew from it, and it has been standing as a rather wasted lift, if you can say so, for the care of the elderly in the municipalities. The government started a year ago with the so-called state funding of the elderly in six municipalities. A large number had before subtracting from the experiment, among others. because you thought you'd lose money on participating. So a question in the follow-up on care for the elderly is: How have the remaining municipalities been followed up by the government during this year? Can the Council of State explain the status of the pilot project so far? And is this a project she can imagine going on with and possibly expanding after the reception it has received in Kommune-Norway?
ParlaMint-NO_2017-05-03.ana.ud198e855	I actually responded to this in my previous answer, namely that the experience gained by the municipalities involved in the pilot project so far is very positive – better cooperation, which provides a basis for better quality of care in the municipalities that are part of this. So now the experiment isn't over, but I mean, as I said, we have to dry up thinking new. We are going to face formidable challenges in the care of the elderly because many more are getting older in the years to come. Then we have to be not only concerned with the number of places, but also with the quality of it. That is why we are also helping to improve the quality of care provided. What we see The Workers' Party is doing, which is much more alarming, is actively entering into municipal policy to re-municipalize the nursing home. It reduces diversity. It reduces the freedom of choice. And the term ‘welfare profitors’ has begun to be used for private health and care providers, which contribute to greater diversity and quality of care services. I believe that the Workers' Party is taking a major step in the negative direction of improving the quality of care for the elderly.
ParlaMint-NO_2017-05-03.ana.ud198e862	In 2015, the Labour Party presented from the opposition a rather thoughtful approach to better quality in care for the elderly, how we can measure our efforts against our elderly on quality and get away from the fact that it only runs on money volume. It is quite consistent with what this government is now saying it will do – and now it is going to listen to the municipalities. I think it is striking that after four years in the government offices and with a few weeks left by the session the government should listen out and gain experience from the municipalities to see what can be done on quality. I want to ask the Council of State: when it comes to the construction of new hospitals, is the Council of State satisfied with the pace of it, what has really happened as a result of the government's financial arrangement? There are numbers that indicate that it hasn't exactly given rise. Does the Council of State mean, then, that you have made the arrangements you have chosen from the government?
ParlaMint-NO_2017-05-03.ana.ud198e871	First of all, it's not like the government has only now begun to listen to the municipalities. One of the first things we did, and it was the Minister of Health who took the initiative, was to engage in dialogue with the KS in order to identify the actual needs of the municipality of Norway. During the red-green government, it was not possible to get an overview of what was the actual needs when it came to nursing homes. The municipalities were not allowed to keep waiting lists. Now we have taken active action to make sure that we know where the needs are, and it is through that monitoring of the need that we can also plan for a much more extensive development. And in parallel with that being mapped out, we've strengthened our efforts, increased state funding and gained speed in the construction of new hospitals. So there's a shift in the construction of new hospitals in relation to the red-green government, and I think it's based on the recognition the Workers' Party had after eight years in the government offices, that they had failed the care of the elderly. This government doesn't. We have prepared the groundwork, and we are now setting up another reform to strengthen the quality of care for the elderly in the coming years.
ParlaMint-NO_2017-05-03.ana.ud198e883	This question, from Gunvor Eldegard to the Minister for Municipal Affairs and Modernisation, has been transferred to the Minister for Health and Welfare who is directing it.
ParlaMint-NO_2017-05-03.ana.ud198e888	«The government has repeatedly voted against proposals that will improve the content of care for the elderly. We are particularly concerned about the offer of demented products. The majority has adopted an obligation to have day-to-day activities in all municipalities, but not enough money is granted. Those affected by the disease and their relatives will be injured if the offer is not severely escalated. Why has the Council of State chosen to ignore the actual figures, the needs of those affected and the consequences for them and their closest?’
ParlaMint-NO_2017-05-03.ana.ud198e895	We've taken a lot of steps to provide better services to the elderly in general and to people with dementia and their relatives in particular. We are fully committed to increasing the competence of municipal health and care services. We have significantly strengthened the investment grant for lucky day care facilities. We have created our own plan to improve the service provision for people with dementia – Demen Plan 2020. For the first time, such a plan has been developed in collaboration with people who have dementia and their relatives. Through Demenplan 2020, the government is targeting increased capacity, competence and quality in the supply of people with dementia, in line with the needs of users and relatives. The development of day-to-day activities for people with dementia is an important initiative in Demen Plan 2020. Activity offers can contribute to good and meaningful experiences for the individual and the relief of relatives, who are often in difficult situations. The government has announced that we will propose a change to the Health and Care Services Act to establish an obligation for municipalities to offer day-time activities to residents with dementia, applicable from 1 January 2020. In order to facilitate day-time activities in municipalities, a separate grant scheme has been established for all municipalities to apply for. It is estimated that there is a need for 9,200 seats, while by the end of 2016 there were 2,984 seats in service. In 2017, the government has arranged for about 750 more day-time activities for people with dementia in 2017. Unfortunately, the grant has been used to a lesser extent than foreseen. I believe that the municipalities now have strong financial incentives to expand an activity offer for people with dementia. Studies show that this can delay the use of more expensive services and relieve and prevent health damage to relatives, as well as improve the quality of life for users. It is also a good support system the state has, but unfortunately we still have challenges to get the municipalities to use the money allocated for this purpose, earmarked. I would now particularly encourage the municipalities to use the government grant that government has granted to build up the offer before the announced obligation enters into force in 2020. In this way, we will just create a better service for people with dementia and their relatives.
ParlaMint-NO_2017-05-03.ana.ud198e909	Thanks for the answer. We are certain that the Stortinget has agreed that municipalities should be obliged to establish day-to-day activities for people with dementia, and it should be in place by 2020. But then there will actually be a need for about 5,400 more home-building sites with dementia in the period from 2018 to 2020, and there is a good deal left to reach this goal. Nevertheless, the government chose to reduce the funds for the provision of day-to-day activities in 2017. In this year's budget, as the Council of State said, there are up to 750 more seats. It's too small, and the expansion will go too slow. At this rate – can the Council of State ensure demente and their dependants that the municipalities are able to fulfil their obligations by 2020?
ParlaMint-NO_2017-05-03.ana.ud198e916	The background for the subsidy was that the money was not used. It is a challenge if we give priority to spending large amounts in the state budget on the care of the elderly who are not used by the municipalities. Then there is a poor disposal, and therefore it is more important to spend the money that is not used, on other bets, for example. enhancing competence in the field of service. But I use every opportunity to encourage the municipalities to apply for these funds. Unfortunately, we still see that there is too little activity in municipalities in expanding daily activities and using the good state support system that is.
