ParlaMint-NO_2017-10-18.ana.ud398e28	The representative, Karin Andersen, will present a proposal for a representative.
ParlaMint-NO_2017-10-18.ana.ud398e427	For the Central Party, it is very important to have good arrangements for relatives with special responsibility for care. The new care allowance scheme for sick pups entering into force on 1 October of this year has been strongly criticised by the families who have suffered a reduction in their performance, thus experiencing a more precarious and precarious situation in a demanding everyday life. During the debate on the throne, a group of collusion decided that the government should make proposals for changes to the care scheme that ensure more financial security and care for parents with care tasks. My question to the Prime Minister is this: will the government propose an extension of today's regime in which families with young people who are judged to have life-threatening or other very serious disease will retain 100 pst. compensation for wages and salaries in excess of one year, so as to provide for the families who have had such rights under the previous scheme?
ParlaMint-NO_2017-10-18.ana.ud398e432	We'll go through that decision, and then we'll look at different schemes and come back to the Storting. Now it's like everybody gets 100 pst. cover the next year because they have a new time account and thus start at point zero. That means that right now there's no one in the group that needs to worry, because now we start at point zero again. We want to look at the different parts of this. The decision in the Storting is not specific, but it is also the case that a legislative decision has to be taken, and a budgetary decision has to be taken. One has to have budgetary frameworks to expand the arrangements for the future. Whether that's the arrangement or someone else we're going to end up with, we're going to look for the discussion we're going to have. But in that case, it will create a new difference between those who have long-term ill children and those who have seriously ill children in a shorter period. There was a difference before, where those who had persistently chronically ill children did not receive any care allowance at all. That difference will then be reintroduced, so that parents will get less care if they introduce the scheme as it is now outlined from the queryor.
ParlaMint-NO_2017-10-18.ana.ud398e440	Steinar Reiten – for follow-up questions.
ParlaMint-NO_2017-10-18.ana.ud398e445	I want to give tribute to the government for extending the care scheme to several groups who need it. It didn't happen under the red-green government. At the same time, targeted changes are needed to make the scheme even better for parents with seriously ill children. It's about the consideration of the children who need care, and good and predictable frameworks for their parents. The Prime Minister himself, in a previous response to the unanimous decision taken by the Stortingen a week ago, indicated that the government should come to the Stortingen with proposals for amendments. We in the Christian People's Party are happy that the government also realizes that there is a need for that. We need a proper review and a better estimate from the ministry of what different changes will cost. Then I also noticed that the Prime Minister says this is a budgetary question, and my question to the Prime Minister is: will the government in negotiations on the budget contribute to such targeted improvements?
ParlaMint-NO_2017-10-18.ana.ud398e454	Depending on the arrangements, the 2018 budget does not necessarily have a large impact on such a change. With the start of the time account at point zero from 1 October, it is in that case only a three-month effect. It's got to be a frame for it. The question is whether it should be done in budgetary negotiations now or whether it should be done in the context of the revised national budget. It may be a mechanism, and it is the system for those who have a mental retardation over 18 years, who are not part of the Time Account Scheme and start over again, who may have a greater impact from now on. These are things that we have to negotiate with the parties, but the usual thing is not that the government is proposing changes to the budget. They are usually the ones we negotiate with, who come up with proposals for changes in the budget. So it's free to make suggestions when we sit down and do this. But we're going to do the basic work on costs and regulatory changes that are necessary to look at some changes in this.
ParlaMint-NO_2017-10-18.ana.ud398e459	We move on to the next main question – Trine Skei Grande.
ParlaMint-NO_2017-10-18.ana.ud398e464	I have questions about the following to the Prime Minister: Knowledge is a key to change and a key to growth. Over 130 years ago, when the Left won elections in this Chamber by a very majority, Norway was one of Europe's poorest countries, and the main left-wing project to lift us up was a massive investment in school and knowledge. The NRK refers to a new history that is coming, which analyses the development of Norway at that time. Now Norway is one of the richest countries in the world, but it is also facing enormous transformations and very demanding processes both in the face of new technology and in the face of a new and greener everyday life. What the history has brought up again was the 2005 survey in Sogn and Fjordane, which showed that there are some states that have a culture that allows you to break the picture that is always given, that it is the bookcase of parents who decide whether children succeed in school. There are four things that make the school in Sogn and Fjordane succeed better than others. The first and most important thing is a fundamental respect for the teacher. The second is parents who support students through school if they do not have long schooling. They're safe girls. And that's the advantage of having new Norse. Some political formulas are overdue. So my question to the Council of State is: isn't it to bet on school, knowledge, respect for the teacher – to bet on these knowledge drivers in a society – an eternal formula that is as current today as it was when the Left State applied?
ParlaMint-NO_2017-10-18.ana.ud398e477	Well, I fully agree that it is vital that we have a good education system to meet the changes and changes we are seeing in the future. It is about the development of offers throughout the country, but it is also about the content. And it's about how society around it deals with education and the value of education. For example, the value of professionalism in this country, not only among us politicians, who talk nice about it, but also among people, because we need competent, good professionals in the years to come. It is an important part of our competitiveness and an important part of our level of knowledge to have good skilled workers. Respect for the teacher is important. We've done a teacher's vow in this period because we believe that it promises respect for teachers over time, and because that also means that we get more equal quality of teachers in Norway, at a higher level than we've had in the past. I think it's one part of the description of what's good in Sogn and Fjordane – it's very good with Sogn and Fjordane – that the representative Skei Grande didn't take along, and it's the collaboration between the Högskulen in Sogn and Fjordane and the municipalities' primary schools. It has been exceptionally good and has been a core element of quality development. I think that's important to take with me. When you have many small municipalities that individually can struggle to have quality development work that is strong enough, a college can do more of that, and it has really done so through its close contact with teacher training, teachers and quality development. It is a model for the rest of the educational institutions in Norway, to see how cooperation develops. This is why providing skills for those who lead the school, having quality development, is incredibly important.
ParlaMint-NO_2017-10-18.ana.ud398e486	I fully agree with the Prime Minister's analysis of the importance of the relationship between teacher training and teachers. But it's at the very point of respect for the teacher. It's at the very point of respecting the knowledge that the teacher is actually with and managing, and I think that's one of the keys to the challenges we're facing today. We know that 8 pst. of those who are teachers in primary school, they only have secondary school. How can we think we're going to be able to increase respect for the teaching profession if we can't get a dramatic boost in competence and less use of unskilled at school? So the next step, if we're going to make the big promise that we need to make for the conversion of Norway today, is to re-establish respect for the teaching profession, to increase respect for knowledge and to ensure that this happens around all schools – that not the struggle for the most adults in the classroom will be the important struggle, when we need the most knowledgeable teachers with education.
ParlaMint-NO_2017-10-18.ana.ud398e491	I fully agree with the representative Skei Grande that it is incredibly important both with respect for the teachers and that we have highly qualified teachers in each classroom. Our goal is for all students to meet a highly qualified teacher in their classroom, one that is good both on the pedagogical side, on the academic side and on the subject itself. That's one of the reasons we've made stricter demands to get into teacher training. That's why we've expanded to masters of teacher training, which is why we have a hugely extensive programme of continuing education aimed at subjects where there is a low density of skilled teachers in school. All of this helps to lift the teachers. In addition, it is important that we have a good offer of continuing education, decentralised education, which promises people who work at school and who need to fill up to qualify to become a teacher. But we need more teachers in the years to come.
ParlaMint-NO_2017-10-18.ana.ud398e496	It opens for follow-up questions – first Jon Gunnes.
ParlaMint-NO_2017-10-18.ana.ud398e501	I hear the Prime Minister say you should have professionally qualified teachers. Last week, however, the daily newspaper mentions a research report on special education in the school where special education is given special characteristics, and other studies reveal that the system of special education is not working. This means that students who receive this special education are quickly given a dissatisfaction stamp. They get excluded, they get social problems, they get less well-being, and they don't get their learning potential. It turns out that fewer than half of the students receive special education from specialised educators. Most are taught by unskilled assistants, despite the fact that all pupils with decisions on special education are required to be trained by a professional. We also hear from the contact teachers that it is such that they only get a medium profit.
ParlaMint-NO_2017-10-18.ana.ud398e506	It's a well-known case, and there's nothing new about this report, that very many of those who receive special education don't get it from qualified personnel. It's been known, I think, for the last 15 to 20 years that there's been a pretty large proportion of this, and there's going to be more of a kind of storage for some than actual help instruction. This is one of the reasons why the government's targeted early efforts are about setting quality requirements for what to do, how to follow up, to get an intensive approach, and then we have to be able to reverse resource use so that we get more skilled teachers in special education. What we're doing with master's education is, among other things. to educate a lot more people with depression in breaking the reading and writing code – those I have called code crackers. There are many different ways to teach kids how to break the first codes, and not all teachers are just as good at it. Then there must be resources available. They don't have to have special pedagogical basics, but it could be that they're good code crackers, and then you get qualified help.
ParlaMint-NO_2017-10-18.ana.ud398e512	Mona Little Fagerås – for follow-up questions.
ParlaMint-NO_2017-10-18.ana.ud398e517	Norwegian school screams for qualified teachers. Nevertheless, the government prevents motivated high-quality students from getting into teacher education because they don't have 4 in high-school mathematics. The result is that hundreds of study places are empty. At the same time, Prime Minister Solberg has separated his dream teacher, Jan Dubowski, former teacher at Sagene School. I must also mention Håvard Tjora, who is the whole of Norway's dream teacher, and more than 30 000 other skilled, experienced teachers. The reason for this is that it should increase the status of the teaching profession. But then I have to ask: which of these three options does the Prime Minister think challenges the status of the teaching profession the most: that Jan Dubowski and Håvard Tjora teach in Norwegian school, that teachers with high averages, but with 3 in mathematics, teach, or that 10,000 unskilled jobs as teachers?
ParlaMint-NO_2017-10-18.ana.ud398e524	The subject in which most of the professionals work is mathematics. The subject in which most of the teachers spend their time is mathematics. It's a relationship. When we've had many teachers who have taught mathematics without really being able to do it, it's been a challenge, which is also reflected in the fact that many students have not learned mathematics in such a way that they can master it further. We have to break that at some point. At some point we have to say that for a nation that thinks it's going to be digitized, technologicalized, that's going to live by being smarter in the future, basic mathematics skills are important -- you have to have that. That's why we have a large programme of continuing education in mathematics. This means that those teachers who are currently not qualified to teach mathematics in eight years' time have the opportunity to participate in the continuing education programmes that this government has set up in order to gain the skills to do so.
ParlaMint-NO_2017-10-18.ana.ud398e531	Let's move on to the next main question.
ParlaMint-NO_2017-10-18.ana.ud398e536	I want to go back to the topic of volunteering, and I'll do it with a slightly different input. In the Common Era, I noticed that the government used a term – or a heading – on it: «sustainable welfare society». Many say the state of sustainable well-being, and it's important in itself, but for society as a whole, volunteering is a very important part, because it's about how to solve the problems, and it's about what kind of society we want. I always think: a society with a strong civil sector, where many are volunteers, is a society that is much better than a society where it isn't. Because it's about people spending leisure time either on football training or on the choir, or at least create activity for the kids, which is incredibly important, or it's that people spend time and effort helping those who need it the most. Both parts create incredibly much positive in society. I also think it's often like that -- if you think about it yourself -- that when we do things that make sense to others, it gives a lot of back, so sum totals I think a creator of a much better society. That is why I believe that volunteering, or a strong civil sector, is actually an objective in itself, and should create a sustainable welfare society, is dependent on a strong civil sector. That's why the Christian People's Party is so clear that we want to fight for volunteering, for ideal actors, for the church, for the national colleges, for all parts of civil society. 60 pst. In Norway, it is time to work on a voluntary basis. It's amazing. The Prime Minister is talking about tight budgets and it's getting more demanding. Often you can also say that one dollar spent on volunteering returns $10. So my question is, when the government uses the term «sustainable welfare society», does the Prime Minister agree that we need more volunteering, a stronger civil sector – and not cut?
ParlaMint-NO_2017-10-18.ana.ud398e550	I fully agree that we need more people who contribute on a voluntary basis. I think in some areas of life, we need to do something different about volunteering. This applies, for example: people in the health and care sector, who may have to do too much for some periods because the public is too poor. It's part of what we're going to go through with our older reform — see if we can give our relatives a better dose of contributions, so that the public comes up with better relief measures at an earlier time, so that people get better and better, but also that families and others who make an incredibly high level of voluntary effort are able to stand by and get a better experience of it all. I agree with all of the words that the representative Ropstad has said about volunteering, but that does not mean that we should always just keep everything as it has been. When, for example, increases the allocation to volunteer centres by 15 million. kr, is because with it we trigger a different kind of volunteering than maybe other types of organisations do. And then we have raised the VAT compensation a lot, which means that there is now more room than before for many non-governmental organisations, but there can't be any argument that any scheme should be maintained. I know, for example. not whether it's an argument for a wine class in folk high schools – I don't know if the Christian People's Party is very much for it – or for a salsa course. The fact that the state is going to subsidize short courses at the national colleges for people my age who have a lot of leisure time, and who may want to experience something new, may not be our primary goal in providing support for the higher education institutions. That's why we have put in a conversion in the higher education institutions that reduces the appropriations, but how the intention is to take out the short courses, which are primarily for adults, which we really think we should be able to pick up in other ways in terms of our own leisure activity, than from direct state aid. I think it's fun with both wine and salsa, but I don't think I need state aid to learn about it.
ParlaMint-NO_2017-10-18.ana.ud398e557	I was a little uncertain about whether she should say that it was not necessarily fun for the Christian People's Party. I tend to say that in the South we are fully aware that Jesus made water for wine, but we don't like it! Actually, my purpose was not to go into all the budget cuts either, but we are going to take them into the budget debate. But that's more the principle and the superior, because it's a balance here, as the Prime Minister was in it. One shall not leave the burden to the individual, the relative shall take over, that is not the point of volunteering. Public and community shall stand around those who need it. The point is that one should spend less time in shopping and selling lots or selling Christmas calendars before Christmas, and spend more time doing the exercises, the volunteer work that helps so many. We've been to the VAT compensation. As I read it, it stands still – or at least there will be no more VAT compensation for the volunteers. But in terms of free income, less applications and such things: how does the Prime Minister think that we can make more provision for even more people to be voluntary, and that at least the figure does not go down?
ParlaMint-NO_2017-10-18.ana.ud398e564	Firstly, there are increases in many grants to volunteers, and some of them are application-based schemes, because there are tasks to be solved in our society. Then I fully agree that there is a need for operating support, but we must also be a little concerned about what objective criteria we have for what we provide in operating support. If we look at the state as a whole, there are many organisations that have received some operating support from several departments, while similar organisations have not received anything because they have incidentally not been linked to that sector in the same way. This applies, inter alia, to: some children’s and youth organisations, who have received a lot of money in specific areas. Then I think that if you want to have money in specific areas in addition to general support, there should perhaps be project support with more objective criteria. We're going to do this review in the future of the arrangements, and then we're going to have to look at how we age. But even if we agree on the fundamental basis and on the big questions – and we have done a lot to get more money, among other things. in tax deductions on orphan inheritance and others – this cannot be an argument for each budget line.
ParlaMint-NO_2017-10-18.ana.ud398e573	There will be follow-up questions – first Olaug V. Bollestad.
ParlaMint-NO_2017-10-18.ana.ud398e578	The Prime Minister said it was commendable that in many respects it had to be made public in the past, and that many relatives are struggling out. Some organisations just come in because the public cannot or cannot intervene. Two of them are the Salvation Army and the Gospel Center, located under a pot that needs to be applied for, and that pot is reduced by 40 million. kr. It is an application-based system that requires a lot of bureaucracy, and where you have to apply every year. One does not know in December if one gets money next year, if no one earmarks those funds. In addition, the money was not paid before May, June, July. These organizations run on behalf of the public, they have patients, they have employees, they have families around who wonder how their prisoners are doing. I wonder what the Prime Minister thinks about the system, which is so application-based that it becomes... [[The President clubs.]]
ParlaMint-NO_2017-10-18.ana.ud398e583	This is an arrangement which, in the budgetary agreement between the four parties last year, as far as I understand, increased by 100 million. kr. The 40 million reduction. kr is based on responsible budgetary practice. The application mass seems to be at a level of 40 million. kr less than that proposed in the budget. Thus, it is not a reduction or a cut for some organisations, it is a framework that is large enough, and that corresponds to what so far from the second round of applications seems to be the need – that is, it has been re-published. This is an application-based scheme, for projects are funded and operational support is provided through it. To have a different system requires a review of the criteria for operating aid. I think that requires a slightly larger race. This has always been an application-based scheme, and we cannot from the state designate individual organisations in an application-based scheme.
ParlaMint-NO_2017-10-18.ana.ud398e589	Kari Henriksen – for follow-up questions.
ParlaMint-NO_2017-10-18.ana.ud398e594	The Prime Minister said in a previous reply here today that legal aid and legal aid measures are less needed because the government has strengthened the protection system. It's quite eye-catching, because defence and legal aid can't be set up against each other. This is where the Prime Minister must speak against better knowledge. Blind people can call Phone News, 800,58,600, and read out today's newspapers. About 1,000 phones a month get this phone paper. So in the sequence of nonsocial cuts, we're going to find this. It is funded with NOK 600 000 – not entirely in line with the voluntary declaration launched by the government in 2015, which would ensure predictability and long-term sustainability. What will the Prime Minister say to the blind who are now deprived of the opportunity to follow up on what is happening, and why the entire support is removed in one budget, and not for example. half this year and the rest next year?
ParlaMint-NO_2017-10-18.ana.ud398e601	I'm a little uncertain about what arrangement this is under, but we've increased the reading aid for the blind from 20 hours to 40 hours, so it's an increase, and when the budget was put forward, the Blind Alliance just thanked for an increase in support for the reading aid for the blind.
ParlaMint-NO_2017-10-18.ana.ud398e606	Geir Pollestad – for follow-up questions. If I were to sum up the Prime Minister's answer on volunteering, I would say: the system over human beings, the objective criterion over engaged children and young people. Reasons are not reasonable. When the Right was to make lessons for 14,000 children and young people in 4H and their parents before the elections, they wrote in the budget proposal for the last year: ‘The Ministry of Agriculture and Food has had close cooperation with 4H Norway over several years. [[...]] In order to ensure that this cooperation can be continued, a separate item will be created under the heading from 2018. 1138.’» When the option was avoided, the answer to 4H was not that they received their own post on the state budget, it was that they were at the post, and were supported by over 7 million. kr. Can the Prime Minister explain why one has gone away from the promises in the budget for the past year?
ParlaMint-NO_2017-10-18.ana.ud398e623	I believe that there is no basis based on this state budget or on what I have said, to say that it is the system rather than man or objective criteria rather than engaged people. Objective criteria mean equal treatment for engaged people. This means that different organisations can apply for a pot for the actions to be undertaken or for operating aid based on a common activity and a common justification, rather than that some, because they have had a link with some sectors that have been stronger than others, have received a sustainable grant that has been protected. We have increased to a number of posts for non-governmental organisations. We've also reduced some arrangements. This means that we have given more free income to organisations through what we have done, and by making a tax deduction for contributions, which have increased, and which allows more non-governmental organisations to raise their own income. It is to ensure that masterless inheritance does not belong to the State, but is now part of a fund allocated to non-governmental organisations.
ParlaMint-NO_2017-10-18.ana.ud398e628	Petter Eide – for follow-up questions.
ParlaMint-NO_2017-10-18.ana.ud398e633	Several have been upset about the cuts in the free legal aid system, and that is understandable, for this arrangement is of a very principleal nature. The Prime Minister has replied that this comes back in other posts. Nevertheless, this feels very strong. I want to raise the debate to a very fundamental level. The cut-off in the free legal aid system in some ways signals an undermining of a very beautiful rule of law, namely that legal aid should be provided independently of the people's wallet. So it has to be fair. The cut indicates that this principle of equality in the rule of law is not perceived as important to the government. In other words, maybe we're in front of a kind of a value triangle in this thinking. My question to the Prime Minister is: is it that the government here actively wants to tell us and the Norwegian people that one wants to change the values of this, wants to change the principle that the rule of law should be open and fair... [[The President clubs.]]
ParlaMint-NO_2017-10-18.ana.ud398e642	I assume that what is now being addressed is the question of free legal assistance and not legal aid organisations. What we're doing is we're holding the lawyers' fees. That means there's an equal amount of help for everyone, but we're not adjusting the lawyers' fees. The legal fees are going to be NOK 1 020 per hour of free legal aid. There's no price adjustment in this. What we mean is that we don't have to pay the lawyers any more for the free legal aid – there are the same number of hours for free legal aid within the scheme.
ParlaMint-NO_2017-10-18.ana.ud398e649	Let's move on to the next main question.
ParlaMint-NO_2017-10-18.ana.ud398e654	Yesterday, the Energy and Environment Committee met the head of the Intergovernmental Panel on Climate Change, Dr. Hoesung Lee. The meeting was confirmed where the central work on carbon capture and storage is for the planet's climate. If we do not succeed in CO 2 management, it will be both much more expensive and much more difficult to achieve the objectives of the Paris Agreement, Dr. Lee points out. Norway has a special responsibility in this field. Our wealth is largely based on significant contributions to CO 2 emissions to the atmosphere over many decades. To that end, in Norway we have a wide range of promising CCS projects related to both process and waste recovery, which are technologically at the forefront. Projects have been implemented through good public–private cooperation. The initiative is right in terms of climate policy and makes industrial policy sensible. By becoming world leaders in this technology, new opportunities also open up for Norwegian business in the future. I would therefore like to ask the Prime Minister how it might be that the government in the state budget cuts 340 million. kr in the aid for on-going CCS projects. As the Prime Minister will have recorded, the proposal has met with strong criticism from many and very different teams. From Bellona to Norwegian oil and gas, from LO to NHO, protests have been hurled. There seems to be an unusually broad consensus that carbon capture and storage remains an important field of activity for Norway. In my view, the government in this budget proposes that 2018 should be a break in this important work. With this, the government sends a negative signal to the market and to the outside world that it is not fully convinced that CCS is the way to go. But if we are to stop the warming up of the globe in time, there is no time to lose. So what is the prime minister's reason for cutting this field right now, when the awareness of climate change drama and the significance of CO 2 management is greater than ever?
ParlaMint-NO_2017-10-18.ana.ud398e674	I also had a meeting yesterday with the head of the IPCC. Hoesung Lee and I also had a discussion about carbon storage, which was his main theme, namely the potential we have for carbon storage on a Norwegian base. It's also one of the areas that's still going through for next year. We have now reached the point in the CCS discussion that we need to make a decision to move into the next phase. The background for the budget to fall now is that we will now enter into the summary and, if necessary, the decision-making phase of launching a new concept. That means that there is no need for the same amount of money to operate the investigation piece that has been inside, but then we have said that if we go further in the next phase, it will cost significantly more than 300 million. kr. Then we're talking about the annual amount of billions to be spent on subsidies in one of these budgets. We have to do that when we're done with the process around this. We have therefore believed that it was not right to spend more money than we have done before we have a decision and are done with the draft selection studies that allow us to come to Stortinget with a recommendation from the government that we should now clean one, to clean up more – and with the calculations and the financial costs that are. Here, the Storting must be aware that these are billions of dollars in the next few years, which must therefore be taken within the same framework as the transport effort, the defence effort and everything else we want to do, at school, education and everything else, and this will compete for the same kind of means. We're now really at the point that somehow becomes the decision time during this spring. This means that we believe that it would not be right to just keep working on the investigation, when we are now really on the summary and the work that will be done before Christmas and into January. And then we come to Stortinget during the spring semester.
ParlaMint-NO_2017-10-18.ana.ud398e684	I am pleased that there is also a dialogue on storage in the North Sea, and we fully support that on our part. It's an important part of this work. But the projects that are now in full swing, under investigation and in preliminary operations in the process industry and waste management, are also very important. It is important that we have a technologically leading industry in this area – it is important for the climate, it is important for the industry. It is, as far as I have understood, good budgetary order that if you expect to spend money on this in 2018, it should be stated in the State budget and not given advance notice to the revised, as the Council of State Søviknes said here in the media recently, that there will be more money in revision. If you know that, you should put it in the budget now. The Prime Minister said in an earlier answer that this was a budget for the big questions, and I can hardly imagine any more questions than getting rid of the warming up of the globe.
ParlaMint-NO_2017-10-18.ana.ud398e693	The next step in this will result in the launch of a cost that will automatically mean payments of billions on the next three–four state budgets. That means it's right to have a decision in Stortinget before going on with it, and that's what the government's idea is. Now we're going to sum up, we're going to go through, we're going to make the cost calculations, we're going to make a decision about what we're going to recommend from the government to the Stortinget. It's coming in the spring. What numbers we were going to put into the budget would actually be a little bit unclear at the moment, because we're not in the area that we can say that. It's the moment of truth when it comes to CCS, which is now coming, and we're going to do this with a recommendation to the Storting, and not like the previous government right after a choice just put it in the drawer and end it, because it turned out to be too expensive. But no one should think that this is not going to take much of a room for action in the years to come. It must therefore be a priority in the budget.
ParlaMint-NO_2017-10-18.ana.ud398e700	There will be follow-up questions – first Else-May Botten.
ParlaMint-NO_2017-10-18.ana.ud398e705	If we are to achieve the climate objectives, we need to take political action and find the future solutions that will facilitate the reduction of greenhouse gas emissions from industry as well. The Norwegian process industry has made significant reductions in greenhouse gas emissions since 1990 and has clear plans to reduce the remaining emissions by 2050. This draft budget by the government puts into play the efforts that have been made around carbon capture. Both Yara and Norcem have come a long way in their full-scale fishing plans. The same thing is true of Klemetsrud with its combustion plant. Such great efforts need predictability and secure framework conditions in order to bring us up to date. Empty chat and cut does not reduce greenhouse gas emissions. Can the Prime Minister answer why you're going to cut here instead of bet? Because what's being said here is that you have to bet on it, and that's a lot of money. But you don't bring the money, you cut it.
ParlaMint-NO_2017-10-18.ana.ud398e712	I think I will refer primarily to my previous answer. So we're done investigating for Christmas. Now we're going to sum up. Then we're going to go into a possible implementation phase, which will involve billions of dollars. I heard in Stortinget that three projects should be carried out. There are significant amounts in the next few years, which, if we are to implement three, can be fast up to the size of the national transport plan in the annual priorities of the budget. If we're going to do one, of course it's less. These are the difficult choices. They'll come to Stortinget when we're done. There's always in projects an investigation phase, and it's going to be summed up, and then it's going to be decided whether to go on three, if you go on one, if you go on one, if you don't go on one. That's the point we get to in this spring. I am curious to hear if the Workers' Party intends to implement three. Then it'll be interesting to hear what level of taxation we're going to have in the future.
ParlaMint-NO_2017-10-18.ana.ud398e719	Une Bastholm – for follow-up questions.
ParlaMint-NO_2017-10-18.ana.ud398e724	Carbon capture and storage for industry is a prerequisite for achieving our climate goals. Instead of cutting it now, the government should have presented a financing plan for all three major point emissions in Norway that we know we need to implement in the next few years. Another important climate action that governments often highlight themselves is to make it easier to choose environmentally friendly for most people. That's why many of us were surprised when we saw that the government is proposing to increase the VAT on public transport from 10 p.m. to 12 pst. – this is after increasing the VAT from 8 pst. to 10 pst. Last year, which meant that Router in Oslo and Akershus lost 23 million. - Thank you. - Thank you. - Thank you. I would also like to remind the Prime Minister that Stortinget has decided that the growth of urban passenger transport should be taken with public transport, bicycles and corridors. The government writes in the draft budget that there will be some compensation, but Router now says that they expect to lose 16 million. kr this year because of the increase in VAT. Who does the Prime Minister think should take the cost of the government's increase in VAT on public transport? Should it be the municipalities or the travellers?
ParlaMint-NO_2017-10-18.ana.ud398e735	There might be something on the side of the main question, but since it's the first question hour, I think I can answer it. It's a system in which we compensate for the increase in terms of what the grants to the county councils represent, and what costs they have. It never hits 100 pst. for each county. Someone will end up getting a little bit more, and someone might get a little bit less. That's all transmission systems between state and municipality in this area. But we're increasing the consumption tax in Norway through this, and we're making our VAT system the same. You can be in favour of or against it, but there are solid efforts for collective development in this budget – over 600 million. kr. There is a great deal of collective effort, and collective protection is largely protected from what is done with the VAT changes here.
ParlaMint-NO_2017-10-18.ana.ud398e742	Ola Elvesuen – for follow-up questions.
ParlaMint-NO_2017-10-18.ana.ud398e747	I think I could choose what I'm going on with, but I'm doing it on carbon capture and storage. There is no doubt that carbon capture and storage will be necessary to achieve the international climate objectives, and that we will have negative emissions in the second half of this century. For a few years Norway has been on its own to have a stake, but we saw last week, with a new government in the Netherlands, that the Netherlands is embarking on a comprehensive commitment to carbon capture and storage with a reduction of 50pst. of emissions by 2030, and 20 pst. this shall be taken in carbon capture and storage. We from the Left are too thorough in planning, but we have to make sure that the time it takes doesn't make the projects disappear on the way. My question becomes to the Prime Minister: Is she safe, before the matter comes to Stortinget, that there is no such uncertainty that the projects themselves are put at risk? And further, will she have greater cooperation with the Netherlands too, now that there is an opportunity?
ParlaMint-NO_2017-10-18.ana.ud398e756	At an earlier stage, the government entered into cooperation with the Netherlands and opened it in the case of CCS, early in the previous period. The Netherlands actually ended its bet at that time, and we'll see if it's taking up a new bet related to it. We have now reached a stage where we are working on completed projects towards Christmas/early January. There are funds to keep the hot organization in this, as it is in the budget. Then we have to work on the results of the concept studies, go through and see how this is going to be phased in, and just then choose if we're going to have one or three. So we have to take into account the cost this will have in the years to come. We can all be for something when we don't see the bill, but when we see the bill, we also have to start discussing whether this is the right thing to do. Is that what gives the most effect? Is this the one that has the most climate impact in the future? We must do that for all measures when they come.
ParlaMint-NO_2017-10-18.ana.ud398e766	So the oral question procedure is over.
ParlaMint-NO_2017-10-18.ana.ud398e780	There will be some changes to the questionnaire, and in this context the President will refer to the electronic question list in the salap. The proposed amendment to today’s Question Time is proposed. – It shall be deemed to have been adopted.
ParlaMint-NO_2017-10-18.ana.ud398e796	I allow myself to ask the following questions to the Minister for Municipal Affairs and Modernisation: ‘Since the winner of the competition for the government quarter has been selected, the project has again met with a lot of criticism, among others. from the City Council of Oslo and several city councillors. This is about massive building volume on small areas - which has been a theme since the ideas came in 2015. In previous discussions in the United Kingdom and in the media, the Council of State has been open to continued use of R5 and R6 in Akersgata, which houses eight departments, to reduce building volume. When will the Council of State decide on this, and how will the Grand Government be involved?’
ParlaMint-NO_2017-10-18.ana.ud398e811	As the representative Bøhler points out, the scope of the new government quarter was discussed when the ideas came in 2015. The project's new government quarter was then significantly reduced by reducing the land standard from 25 m 2 to 23 m2 gross per employee. This means that 9 000 square meters can be built less than what appeared in the idea sketches. This also makes sense from a climate and environmental perspective. The Oslo City Council supported the main actions of the proposal for a regulatory plan, with the majority of new settlements being placed between Grubbegata and Møllergata, where transparency and accessibility are important leading premises. At the same time, the City Council pointed out that the area was under pressure and that the space programme should be reduced. In the first half of 2018, the government will take a position on how to plan the project further towards the completed pre-project and quality assurance – KS2. In the context of the 2019 budget, we will describe the choices that form the basis for further planning. Then, probably in the second half of 2019, proposals are made for the Stortinget to launch the project with proposals for start-up, propulsion, allocation, etc. Towards summer 2018, a number of themes will be analysed. We have in Prop. 1 S for 2016-2017 briefed that R6 is not to be included in a new government quarter – for safety reasons. However, we want to place some of the government quarter functions in R5, i.e. government building west of Akersgaten. What functions and scope of these must we come back to. Furthermore, we add up to step by step the development of a new government quarter. It is therefore necessary to clarify which buildings are to be built in the first stage of construction and which departments are to enter these buildings. Some have suggested that the new government quarter be scaled down by not moving the Ministry of Foreign Affairs from the Victoria terrace. The Government bases its planning on the fact that the Prime Minister's office and all departments — except the Ministry of Defence — will enter the new government quarter. A number of points speak for a collection of departments, including: economics, improved efficiency and interaction, flexibility, more representative urban environment and fewer closed streets. The Council of the Police Directorate states that we should ensure an overall government quarterly rather than ensuring more individual departments located around the city. The discussion on Victoria terrace started in 2009. Then the Ministry of Foreign Affairs planned to move to new premises by building on the western railway site. By 2018, the Ministry will assess both the scope and the rate of expansion of the new government quarter. This includes the functions that can be added to R5.
ParlaMint-NO_2017-10-18.ana.ud398e835	I thank you for your answer. I would like to stress that the construction of a new government quarter is about the largest national construction project at least for 10 years to come, and about national symbols of great importance both for the city and for the country, and it should be broadly anchored in the Stortinget and in the opinion. I was very pleased with the rounds we had in 2015, about what could be assessed in terms of reducing the building volume. The Council of State concluded, as he also said to the evening post on December 18, when it came to the use of the buildings called R5 and R6 that there was a good basis for moving forward with this. My concern is that since then I have not seen any further feedback about it. I noticed that after the coup d'état of the winner, the Council of State repeated that it was flexible in terms of building volume. My question is: doesn't the Council of State think it's time for those involved in design and planning to know more about the size of the building volume than to wait until 2019 with final decisions?
